-0.00247+0.0011034i,-0.00067857+0.00087804i,-0.00031691+0.00014872i,-0.00026678+7.0114e-05i,-0.0014704+0.00083937i,-0.0027871+0.0004125i,-0.0017408+0.0013593i,-0.00030015+0.0024874i,0.00082423+0.002053i,0.001301+0.00073182i,0.0010388-0.00043096i,0.00058159-0.00090704i,-4.5931e-05-0.00044516i,-0.00043224+9.0635e-05i,-0.00081492+0.00032677i,-0.00017221+0.00073228i,0.001063+0.00089481i,0.0011564+0.001046i,0.00096493+0.00088216i,0.0010166+0.00050442i,0.00094483+0.00080562i,0.00076215+0.0010477i,0.00087623+0.001379i
-0.0010644-0.0013598i,-0.0011696-0.0009466i,-0.0017932+0.00024499i,-0.0019727+0.00030187i,-0.0021596-5.0953e-05i,-0.0012019-0.00010089i,-0.00056573+0.0008854i,-0.00014823+0.0014006i,0.00049985+0.00079862i,0.0007839+0.00076656i,0.00088007+0.00025921i,0.0011215-0.00015022i,0.00084165-6.2928e-05i,0.00051634-0.00099382i,0.00054118-0.001435i,0.00057719-0.00056482i,0.00076674-0.00010846i,0.00086528-0.00028071i,0.00042493-0.00018836i,9.9719e-05-0.00013668i,-0.00036701-0.00043525i,-0.00026159-0.00016322i,0.00037413+0.0003557i
0.00069547-0.0016854i,0.0010654-0.0012617i,-0.00025752-0.00060777i,-0.0010465-0.0012787i,-0.0020369-0.0022015i,-0.0033945-0.0016319i,-0.0027926-0.00014404i,-0.0017987-7.3842e-05i,-0.00053915-0.0004101i,0.00066316-0.0003415i,0.0010435-0.00063171i,0.00031852+0.00040201i,-0.00067005+0.0013642i,-0.00072871+0.00040396i,9.6237e-05-5.6004e-05i,0.0004453+0.00065442i,-0.000275+0.00056185i,-0.00061127+4.7917e-05i,4.0147e-05+0.00023373i,0.00047498+0.00025934i,0.00023354-0.00023667i,-0.00029867-0.00047007i,1.8782e-05+0.00020483i
-3.7979e-06+0.0017718i,-0.00014547+0.0010829i,-0.00046004+0.00016598i,0.00011986-0.0012426i,6.5068e-05-0.0024948i,-0.00091182-0.0027713i,-0.0014537-0.0016976i,-0.0011988-0.00044509i,-0.00052639+0.00010693i,-0.00024005+0.00021222i,0.00030274-0.00033548i,0.00048444-0.0008013i,-0.00072805-0.00068866i,-0.00093817-0.00060151i,-0.00065027+6.5157e-05i,-0.00065223+0.0007213i,-0.00031886+0.0009865i,-3.4584e-05+0.00049597i,0.00065647-0.00037454i,0.0012532-4.495e-05i,0.00037705+0.001075i,-0.00078144+0.0009636i,-0.00029388+0.0002659i
-0.00077196+0.0016387i,-0.0019892+0.0010258i,-0.0021974-0.00073719i,-0.0017728-0.0010199i,-0.0012742-0.0010796i,-0.0017268-0.0016045i,-0.0016189-0.00075887i,-0.00041267-0.00016285i,0.00036021+0.00023443i,0.00044163+0.00069507i,0.00047355+0.00051856i,0.00039922-0.00011701i,-9.2245e-05-0.00054582i,-0.00029944-0.000586i,0.00042061-0.00025826i,0.0013561-0.00036836i,0.0011909-0.00079439i,0.00040513-0.00045798i,-0.0002928-0.0006971i,-0.00079027-0.0010096i,-0.0010911-9.1311e-05i,-0.00072634+0.00062187i,-0.00091637+0.00012891i
-0.0010524+0.00056332i,0.00022537+0.0022393i,0.00091534+0.0032095i,0.001281+0.0015885i,-0.00013692-0.0006862i,-0.0014771-0.0013907i,-0.0016035-0.0011331i,-0.00087462-0.00096146i,-1.0352e-05-0.00014074i,0.0010282+0.00043441i,0.0006338+0.0003348i,-3.3158e-05+0.00018312i,-0.00039356-0.00035539i,-0.00086861-0.0011561i,-0.00077502-0.00085237i,-0.00073836-0.00032994i,-0.00016044-4.4801e-05i,0.00044864+0.00073329i,0.00083674+0.00079568i,0.0017094+3.7366e-05i,0.001282-0.0002249i,0.00050094-0.00015152i,0.00086927-7.3373e-05i
0.00042556-0.00037761i,0.00079522-0.00081874i,0.00035453-0.00041543i,-0.00071838-0.00031656i,-0.001614-0.0012411i,-0.0024649-0.0012235i,-0.0019193-0.00041365i,-0.00062679+0.00044917i,-0.00056662+0.00080053i,-0.00044572+0.00032878i,-7.9671e-05-0.0002281i,-0.00024657-0.00040558i,0.00032025-0.00017662i,0.00096993+0.00040902i,0.00036308+0.00037323i,0.00017502-0.00030943i,0.00036778-0.00058906i,-0.00010076-0.00031551i,-0.00016031-0.0004474i,0.00013728-0.00086002i,0.00068399-0.00065227i,0.0011107-0.00040676i,0.00024642-8.0254e-05i
-0.0010251-0.0025596i,-0.0014812-0.0012369i,-0.0021251-0.0011072i,-0.0031082-0.0010239i,-0.0028727-0.00045392i,-0.0015595-0.00022358i,-0.0012133-0.00020173i,-0.0011563+0.00012274i,-0.0012057+0.00025685i,-0.0012659+0.00035669i,-0.00042756+0.00072528i,0.00034035+0.0008522i,0.00054364+0.00057629i,0.00046309+0.00014083i,0.0005812+0.00016637i,0.00064359-5.2486e-05i,0.0006466-0.00053302i,0.00029041-0.00035352i,-0.00072245+9.4158e-05i,-0.0010658+0.00092494i,-0.00055633+0.0014556i,0.00024993+0.0010943i,0.00031678-0.0007099i
0.001324-0.00067919i,0.0002971+0.00011194i,-0.0003086+0.00040526i,7.3562e-05-0.00050357i,-0.00028183-0.0013366i,-0.0012939-0.00124i,-0.00075866-0.00025933i,0.00046859+0.00084523i,0.00052067+0.00034856i,-3.1431e-05-0.00089325i,0.00028772-0.0010909i,0.00046937-0.00060647i,-0.00027125+6.5397e-07i,0.00010404-0.00016691i,0.0007735-0.0006545i,0.0010913-0.00080825i,0.00062889-0.000326i,-0.00027165+0.00018815i,-0.00048097-0.00059355i,0.00029761-0.0014365i,0.00069795-0.00089143i,0.00065503-0.00035404i,0.00091833-0.0011753i
-0.00082666-0.0011986i,-0.0016284-0.0017534i,-0.0019561-0.0012655i,-0.0025505-0.00087588i,-0.0033626-0.0011419i,-0.0035978-0.0014361i,-0.0019065-0.0012266i,0.00075297-0.00034171i,0.00088097+0.00064716i,4.5341e-05+0.00053579i,0.0002494-0.00013638i,0.00069868-0.00036602i,0.00031818+5.5437e-06i,-0.00060238-0.0002746i,-0.00022067-0.00088941i,0.00012162-0.00085686i,-5.2922e-05-0.00033667i,9.2819e-05+0.00022149i,3.1976e-05-0.00024225i,-0.00015529-0.00057666i,0.00058329+8.4372e-05i,0.00072891+0.00070732i,0.00033764+7.0159e-05i
-0.00067957-0.00076169i,-0.0012917-0.0005924i,-0.0016649-0.00075549i,-0.001336-0.00078706i,-0.001607-0.00063587i,-0.0018695-0.00096877i,-0.0016696-0.00062693i,-0.0013295+0.00020637i,-0.00063372+0.00050304i,0.0001776+0.00043533i,0.00053535+0.00026073i,0.00014147+0.00016198i,-6.2819e-05-0.00049593i,-8.9092e-05-0.00067602i,9.8062e-05-0.00052083i,0.00037835-0.00050398i,6.7594e-05-6.4113e-05i,-7.5744e-05+0.00015649i,0.00061856+0.00012723i,0.0010269+0.00038839i,5.0714e-05+0.00015641i,-0.00056735+6.5357e-05i,-3.113e-06+0.00034628i
0.0011978+0.00081413i,0.0018132-0.00050835i,0.0022168-0.0014519i,0.0011898-0.0012698i,-0.00060211-0.0015157i,-0.0011743-0.0018749i,-0.0013141-0.00081994i,-0.00098305-0.0002919i,-0.0004031-0.00058969i,-0.00054029+0.00029077i,-0.00050604+0.00088276i,0.00031726+0.00088427i,0.0010607+0.00079345i,0.00099279-0.00035289i,0.00097496-0.00020159i,0.0011792+0.00050945i,0.0006761+0.00081772i,-0.00045568+0.00071119i,-0.00059138+9.9166e-05i,-0.00074212-0.0003027i,-0.0010033-0.00047495i,-0.00058626-0.00040292i,-0.00084426-0.00031555i
0.00024226+0.00075225i,0.00078067+0.0010425i,0.00057724+0.00064264i,-0.00054327-0.0018371i,-0.0013034-0.0029263i,-0.0016946-0.0024305i,-0.0012475-0.0012236i,-0.00063819-0.00010817i,-2.7969e-05-5.2067e-06i,0.00073347+0.00028598i,0.00079416-0.00016681i,0.0005084-0.0012457i,0.00054664-0.00067021i,0.00081806+0.00017923i,0.0014169+0.00029107i,0.0014106+0.0011733i,0.00043869+0.0011258i,-0.00010238+0.00042561i,2.1088e-05+0.00049042i,0.00043259+0.0003578i,0.00024061-0.00014118i,-0.00031695-5.4996e-05i,-0.00075524+0.00011929i
0.0013159-0.00046832i,0.00061611-0.00032077i,-0.00011537-0.0011942i,-0.001043-0.0022292i,-0.0024307-0.0029107i,-0.0038453-0.0014647i,-0.0026461-0.00025992i,-0.00043544-0.00076846i,-5.5205e-05-0.00073901i,-0.00010513-0.00042437i,-0.00050286-0.00071281i,-0.0010833-0.00077489i,-0.00034986-0.00015135i,0.0012752-0.00071715i,0.0013865-0.0016534i,0.00047319-0.0014419i,-0.00035846-0.00097073i,-0.0002816-0.00055695i,0.00080761-0.00037313i,0.0013656+2.0896e-05i,0.0006275+0.00030514i,1.4499e-06-0.0002852i,-0.00024039-0.00041871i
7.6676e-05+0.0029287i,0.00028927+0.002322i,0.00092456+0.0013514i,0.00074699-0.00028459i,0.00011105-0.0022694i,-0.0003986-0.0025733i,-0.00074955-0.0011416i,-0.00054542+0.00020903i,-0.00037917+0.0011057i,1.5401e-06+0.00087629i,0.00088803+9.9407e-05i,0.00087311-0.0002483i,0.00060894-0.0012935i,1.3803e-06-0.0021189i,-0.00030806-0.0010035i,0.00014929+0.00025397i,0.0006694+0.00049881i,0.000612+0.00022658i,0.00020873-8.2084e-05i,0.00028902-0.00031677i,0.00010037+0.00010981i,-0.00020628+0.00071356i,-1.7425e-05-0.000427i
-0.0018549+0.00125i,-0.00023874+0.0014681i,0.00029466+0.0013685i,0.00015352+0.00010366i,-0.0001184-0.001959i,-0.00080141-0.0025919i,-0.0011827-0.0016406i,-0.0010276-0.0011646i,-0.00078048-0.00037619i,-0.00018967+0.00014375i,0.00036778-0.00018726i,0.00033807-0.00053968i,0.00020163-0.00030663i,0.00068943-0.00014153i,0.00078363-0.00079096i,0.00058007-0.001129i,7.6374e-05-0.00065814i,-0.00013804-0.00056009i,0.00058755-0.00018657i,0.0015122+0.00095637i,0.0012911+0.00079782i,-3.365e-05-0.00040234i,-2.7219e-05-0.00030247i
-7.8487e-05-0.0002845i,0.00030865+0.00054659i,0.0010265+1.7482e-06i,0.001375-0.0012171i,0.00055498-0.001456i,-0.0015506-0.0018575i,-0.0018702-0.001184i,-0.0010546-0.00028973i,-0.00045974-0.00013718i,0.00025+2.3646e-05i,0.0005439-0.00024664i,0.00029142-0.0010277i,6.9565e-05-0.00079672i,-0.0001215+0.00014906i,-0.00073311+8.8667e-05i,-0.00085425-0.00050337i,-0.00056734-0.00034385i,-0.00018188+0.00020734i,0.0010321-0.00060996i,0.00091221-0.00094564i,0.00067307-0.00098059i,0.00063686-0.00076578i,0.00055522-0.00017099i
-0.0016009-2.8681e-05i,-0.0028699+2.5973e-05i,-0.002492+0.00051043i,-0.0020258+0.0011846i,-0.0018614+0.00031345i,-0.0017441-0.00096516i,-0.0010011-0.0015247i,-0.00016637-0.00088039i,-0.00046571+0.00022987i,-6.6956e-05+0.0005705i,0.00010287+0.00028728i,-0.00061005+3.0459e-05i,-0.00047908-0.00057447i,0.00048583-0.00096664i,0.0011516-0.00045559i,0.00085909+1.6193e-07i,0.0003021+0.00027444i,-0.00019552+0.00062064i,7.3079e-06+0.00060774i,0.00015302+0.00040213i,0.00019836+0.00036972i,-0.00027811+0.00043091i,-0.00039582+0.00052774i
-0.00053024-0.00043688i,-0.00016104-0.00033952i,-0.00059092+0.00033821i,-0.0010964-0.00026245i,-0.0013907-0.001362i,-0.0012705-0.0013384i,-0.0010835-0.00058208i,-0.00055929+0.00022068i,-0.00017787+0.00097858i,-0.00036119+0.001357i,-0.00048194+0.00093042i,-1.3111e-06+0.00019735i,0.00011586+1.9569e-06i,-7.4258e-05+0.00051001i,-7.7454e-05+0.00021718i,8.8178e-05-6.4334e-05i,-0.00012584+0.00037334i,7.7271e-05+0.00087293i,0.00071554+0.00044758i,0.00041945-0.00044214i,-5.3604e-05-0.00090999i,0.00049483-0.00045562i,0.0010482+0.00022385i
-0.00062841-0.0013209i,-0.00091688-0.00077254i,-0.001028-0.00085816i,-0.00059193-0.0014538i,-0.00034895-0.0012174i,-0.00072584-0.00056601i,-0.0014443-0.00078877i,-0.0016557-0.00093417i,-0.0012133-0.00041915i,-0.00072046-2.4677e-05i,-0.00018022-0.00013148i,-9.3359e-05+0.00011855i,2.8617e-05+0.00041404i,-0.00043343-5.2626e-05i,-0.00074795-0.00075533i,-0.00014292-0.0007283i,-0.00025726-0.00037792i,0.00029563+0.00016755i,0.00081151-0.0001716i,0.00090143-0.00067429i,0.00039303-0.00011986i,0.00024365+0.00012933i,0.00012398-0.00053991i
0.00083046+0.00063343i,0.00063655+0.0008633i,0.00053453+0.00031251i,9.0827e-05+0.00015774i,-0.00082975-0.00021472i,-0.0023675-0.0010706i,-0.002629-0.00089396i,-0.00081667-0.00052739i,0.00062144-0.00039148i,0.0011314-0.00031869i,0.0002933-0.00034829i,-0.00027105-0.00051756i,-0.00019509-0.00036498i,-4.6776e-05-0.00023941i,-0.00053336-0.00073687i,-0.00054346-0.00069872i,0.00037223-9.6095e-05i,-9.2051e-06+9.2257e-05i,4.2262e-05+0.00010999i,0.00020184-0.00018935i,-0.00042906-0.00040714i,-0.00039292+0.00031132i,-0.00050527+0.0004711i
-0.00095928+0.0021011i,-0.0010122+0.00094999i,-0.00080227+0.00027563i,0.00048245-0.00016036i,0.00080566-0.00066555i,0.00027768-0.0011295i,-0.00037958+0.00058238i,-0.00063252+0.0017696i,0.00031766+0.00075346i,0.000419-0.00060703i,0.00038063-0.00096068i,0.00064717-0.00082675i,-0.00012516-0.00034764i,-0.0011063+0.00031211i,-0.0011166+0.00025907i,-0.00076087+0.00035194i,0.00036043+0.00053155i,0.00066433+0.00071471i,2.868e-05-0.00013016i,0.00051818-0.00063077i,0.00096781-0.00012691i,0.000981+3.7273e-05i,0.00095395+0.00021769i
0.00013292-0.0016183i,0.00064626-0.0021008i,0.0014506-0.0021702i,0.0010186-0.0017543i,-0.0010549-0.0018368i,-0.0025374-0.001626i,-0.0022484-0.00010101i,-0.00090794-0.0001864i,-0.00010198-0.0012536i,0.00075425-0.0010029i,0.0012308-0.00045163i,0.00068137-4.6672e-05i,-0.00015965+0.00077043i,-0.00030073+0.00075837i,0.00034513+0.00020967i,0.00063488-1.3891e-05i,0.00093023-0.00046613i,0.00093218+8.0773e-06i,0.00047051-6.648e-05i,-0.00019014-0.0002537i,-0.00066887-0.00034935i,-0.00021944-0.00018874i,0.00051535+0.00015827i
-0.00031509-0.0012447i,-0.0013191+0.00050075i,-0.0024287+0.0010578i,-0.0027939-0.00012448i,-0.0025027-0.00059005i,-0.0019393-0.00051177i,-0.0016319-0.000603i,-0.00090775-1.2596e-05i,-0.00025369-4.5592e-05i,0.00038315-2.5087e-05i,0.00089322-0.00023071i,0.00058438+0.00030559i,0.00013369+0.0011978i,0.00015812+0.0010996i,0.00043371-0.00029527i,0.00043029-0.00090882i,0.00037586+0.0001368i,0.0005377+0.00046748i,0.00036616+0.0010393i,0.00022677+0.0014045i,0.00041308+0.00094769i,0.0003461+3.9448e-05i,-0.0002591-0.0004913i
0.0010461+0.00096518i,0.00088231+0.00086106i,0.0013083+0.0013121i,0.00158+0.00019761i,3.7773e-05-0.0021046i,-0.0021716-0.0011161i,-0.0026192+0.0001453i,-0.0015234-0.00017044i,-0.00064532+0.00015627i,0.00019869+0.00019548i,0.00074061+0.00044113i,0.00091666+0.00072441i,0.0011707-7.5986e-06i,0.00089649-0.000222i,0.0005789+0.00048428i,0.00063866+0.00043761i,0.00049343-0.00049986i,0.00057483-0.00017978i,0.00098365+0.00044834i,0.00066257-5.4868e-05i,-0.00029945+0.00018892i,-0.0013297+0.00071652i,-0.0013209-0.00065213i
-6.5299e-06-0.00054543i,-0.0011509-0.00073722i,-0.00072942-0.0013938i,0.00023847-0.0016472i,-0.0002635-0.0017854i,-0.0010734-0.0014172i,-0.00078815-0.00080001i,6.5076e-05-9.1143e-07i,0.0011296+0.00029151i,0.0014184-0.00043946i,0.00083722-0.00073721i,0.00018564-0.00036337i,0.00031472+0.00025821i,0.00097647+0.00087442i,0.00079022+0.0011612i,0.00030231+0.00048248i,0.00027356-9.0128e-05i,-1.8765e-05+0.00020313i,-4.5141e-05+0.00087665i,0.00023945+0.00021834i,0.00028066-0.00027807i,-0.00031494+0.00029841i,-0.00090915+0.00012806i
0.00043028-0.00092052i,0.00024832-0.0016405i,0.0010462-0.0019921i,-6.9881e-05-0.0033805i,-0.00123-0.0046499i,-0.0018337-0.0036568i,-0.0019158-0.001823i,-0.0011601-5.8162e-06i,-0.00049612+0.00026238i,0.00040366-0.00043159i,0.00077941-0.00032332i,0.00047708+3.4835e-05i,0.00074939+0.00015701i,0.0010537+0.00019515i,0.00053744-1.7043e-05i,0.0004685-7.8733e-05i,0.00068841+0.00014134i,0.00057753+0.0010783i,0.00065767+0.00161i,0.00038024+0.0007846i,-0.00039449+0.00019953i,-0.00047329-9.9488e-05i,-0.00064522-0.00055665i
-0.0016702+0.00020274i,-0.001632+0.00031666i,-0.00072315+0.0017278i,-1.3324e-05+0.0012584i,-0.00042813-0.0002771i,-0.0011217-0.0013829i,-0.00081529-0.00056105i,5.1835e-05+0.00061679i,0.0005859-2.4019e-05i,-0.00024435-0.00055391i,-0.00026722-0.0001131i,0.00041014-4.326e-05i,0.00047146-0.00063377i,0.00042025-0.00047612i,-7.4915e-05-0.00022777i,3.1128e-05-0.00063653i,0.0010853-0.00073228i,0.0015069-0.00061381i,0.001095-0.0012488i,0.00079103-0.0015444i,0.00059061-0.00077958i,-5.419e-05-0.00049711i,-0.00098372-0.00042605i
0.0005118+0.0017397i,0.00089807+0.0017021i,0.0019682+0.0013016i,0.0017438-0.00082951i,0.0001287-0.0025901i,-0.0012287-0.0027787i,-0.0022181-0.0017906i,-0.0014646-0.00059528i,-0.00032757+0.00032838i,0.00016803+0.00064292i,0.00034128+0.0011804i,-1.0155e-05+0.00091266i,-0.00025171+0.00057463i,-0.00038212+0.00060171i,-0.00082507-3.882e-06i,-0.00049242-0.000505i,0.00018717-0.00055348i,0.00022706+0.00016656i,-1.4211e-05+0.00040014i,0.00031626-0.00014516i,0.00053981-0.00078433i,0.00015014-0.00046518i,0.00015573-6.6446e-05i
0.0020964+0.00094219i,0.0018384+0.00086413i,0.0015573-0.00040723i,0.00067156-0.0021645i,-0.00047904-0.0032666i,-0.0016964-0.0025353i,-0.0014166-0.0009958i,-0.00029917-0.00032691i,0.00035964+0.00020315i,0.00052872+0.00017335i,0.0004276-0.0006695i,0.0009175-0.00046518i,0.00077408+0.0012201i,0.00021675+0.001716i,0.0003175+0.0012389i,0.00084854+0.00042175i,0.00072615+0.00022223i,0.0003766+0.00068443i,0.00060356+0.00036244i,0.00067202-0.00054528i,0.00024618-0.00018846i,-0.00045612-0.00023427i,-0.00033669-0.00051391i
-0.0012682+0.00017471i,-0.0016062-2.144e-05i,-0.00071219-0.00074104i,0.00064364-0.0010476i,0.00096622-0.0011835i,-1.3345e-05-0.0012555i,-0.0011254-3.7083e-05i,-0.0013423+0.00044665i,-0.00059508+9.9479e-05i,0.00017814+0.00043344i,0.00053728+0.00018236i,0.000494-0.00097203i,-0.00034631-0.0012382i,-0.00057355-0.001017i,0.00012043-0.00058413i,-1.8929e-05+6.067e-05i,-0.0001966+0.00041263i,-0.00064741+0.00055888i,-0.00051984-0.00024538i,0.00065842-0.00065163i,0.0009655-0.00015179i,0.00027869-0.00023183i,0.00044772-0.00046183i
0.0012789+0.00077245i,0.0020349+9.4385e-05i,0.0023184-0.00011038i,0.0010199-0.00165i,-0.00081316-0.0035577i,-0.0020549-0.003411i,-0.0022578-0.0014087i,-0.0015373+0.00043248i,-0.00028303+0.00050831i,0.00050022+8.3194e-06i,0.00035484-1.7073e-05i,0.00045039-2.1796e-05i,0.00063536+0.00033866i,0.00084153+0.00068012i,0.00088914-0.00011895i,0.00055961-0.0012019i,0.00013332-0.0011224i,0.00050577-0.00045961i,0.00082147-4.2544e-05i,0.00060289-0.00010514i,0.00062505-7.6778e-05i,-0.00013604+9.7245e-05i,-0.00051887+0.00042194i
-0.00088014+0.00082677i,-0.00070182+0.0015393i,-0.0003499+0.00155i,-1.9355e-05+0.0018574i,-8.4677e-05+0.0011798i,-0.00033848-0.00023027i,-0.00082703-0.00094489i,-0.0010451-0.0011275i,-0.00045926-0.00088046i,0.00036371-0.0003031i,0.00074894-2.7623e-05i,0.00087172-0.00015452i,-8.231e-05-8.28e-05i,0.00010609-0.00031287i,0.001313+4.4689e-05i,0.00043258+0.0004769i,-0.00047206+0.00061065i,-0.00081567+0.00028302i,-0.00024654+0.00029308i,0.00053198+0.0001425i,3.6716e-05-0.00064455i,-0.00018353-0.0003061i,-0.00014064+0.0004037i
-0.00038427+0.0017381i,-3.0643e-05+0.0025258i,0.00073836+0.0022739i,0.0018744+0.0016157i,0.00077065-0.0004409i,-0.0013954-0.0020737i,-0.0023066-0.00065006i,-0.002369+0.0010223i,-0.0015374+0.0015648i,-0.00079325+0.0012034i,-0.00063118+0.00056678i,-0.00031436+0.00013799i,0.00024575-0.00059154i,0.00065092-0.00071006i,0.00014956-0.0013344i,-0.00031934-0.0017721i,-0.00018572-0.0010892i,-0.00023018-0.00056165i,5.293e-05-0.00057935i,0.00032762-0.0001851i,0.00040904+0.00037052i,-0.00013319-7.9488e-05i,0.00017977-0.00048997i
-0.0010255-0.0011653i,-0.0016509-0.00045932i,-0.0017461-0.00053492i,-0.0015148-0.0016097i,-0.0019909-0.0023312i,-0.0027003-0.0020891i,-0.0024648-0.00091056i,-0.0011607+5.0113e-05i,1.0861e-05+0.0001375i,0.00067565+0.00037215i,0.0012237+0.0010367i,0.0013396+0.0005026i,0.0016624+4.5916e-06i,0.0016752+0.00032748i,0.001415+1.2305e-05i,0.00090718-0.00085556i,0.0002519-0.00077047i,-0.00042351-0.00059567i,-0.00054929-0.00080483i,-0.0007406-0.0011245i,-0.0017146-0.00077313i,-0.0015863-0.00011835i,-0.001194+0.00014714i
0.00072944-0.00016193i,0.0001543-0.0011544i,-0.00054463-0.0011034i,-6.4326e-05+4.508e-05i,0.00021533-0.00013634i,-0.000941-0.0017931i,-0.0015326-0.0015811i,-0.0011346-0.00028791i,-0.00044091-0.00044984i,0.00020273-3.2357e-05i,0.00050893+0.00076299i,6.6548e-05+0.00089979i,0.00035948+0.00028901i,0.0009216-0.00013415i,-0.00040413-0.00016811i,-0.00060746-9.6994e-05i,0.00024171-0.00015367i,0.00029777-0.0006286i,2.8731e-05-0.00055066i,-4.0463e-05-0.0005332i,3.046e-08-0.00019661i,0.00047525-8.0761e-05i,0.0011837+0.00010987i
2.3079e-05-4.5869e-05i,0.0019074-0.00028884i,0.0015085+0.00029854i,0.00099439-0.00018192i,0.00076942-0.0010008i,-0.00023966-0.00047264i,-0.0020412-0.00015143i,-0.0021945-0.00070565i,-0.00086584-0.00090518i,0.00044384-0.00045593i,0.0013755-0.00019913i,0.00084466-0.00028416i,-0.00031164-0.00066874i,-0.00070349-0.00041114i,-0.00037945-0.0003753i,0.00035754-0.00023437i,1.31e-06+0.00060424i,-0.00038874-6.6263e-05i,0.00031536-0.00087223i,0.0004302-0.00061079i,0.00025864-3.2263e-06i,0.0010274+0.00021412i,0.0015004+1.0032e-05i
0.00049276+0.00032605i,0.00081192+0.0013558i,0.00070455+0.0017239i,0.00016313+0.00048421i,0.00039064-0.00081203i,-0.00073153-0.0006837i,-0.0021079+0.00016424i,-0.0013821+3.1419e-05i,1.9418e-05-0.0003538i,0.00069078-0.00099429i,0.00020734-0.0012589i,-0.00067461-0.001139i,-0.00014557-0.00050047i,0.00034704+0.00054877i,0.00044167+0.00018314i,0.00093001-0.00043416i,0.0013812+0.00087992i,0.0013773+0.0016334i,0.0010985+0.00063385i,0.00057567+0.00067446i,3.6186e-05+0.00012135i,5.3035e-05-5.7263e-05i,0.00040721+9.9013e-05i
0.0009+0.0002278i,0.00030284+0.00035019i,0.00031264+1.4928e-05i,0.00010776-0.00082776i,-0.00032747-0.0023505i,-0.0015069-0.0027977i,-0.0016202-0.001257i,-0.00080732-3.5117e-05i,-0.0002976+0.00017907i,0.00037276+0.00045243i,0.00012512+0.00071042i,-0.00050595+0.00047386i,-3.4382e-05+0.00044041i,0.00021904+0.00015251i,0.00064774-0.00090901i,0.00089763-0.0011633i,0.00059992-0.00032934i,0.00065316-0.0001463i,0.00095647-1.7272e-05i,0.00031141+3.2109e-05i,-0.00037833-0.00044457i,-0.00023345-0.00047845i,-6.2157e-05+1.4407e-05i
-0.0001998-0.00053574i,-0.0011063-0.00078437i,-0.00092109-0.0014481i,-0.00056657-0.002459i,-0.0014672-0.0038304i,-0.0021944-0.0024006i,-0.0016152+5.9656e-05i,-0.00045984+0.00031619i,0.00041278+0.00020398i,0.00099257+0.00058791i,0.0014072+0.0011338i,0.0013383+0.0022141i,0.00052602+0.0019371i,0.00020358+2.2201e-05i,0.0002983-0.0013673i,-0.00038746-0.0015065i,-0.00087782-0.0011872i,-7.1069e-05-0.000613i,0.0007962-0.00031123i,0.00075245-0.00025129i,0.00017262-0.00025343i,0.00047103-0.00012023i,0.00088868+0.00029537i
-0.00029841-0.0027257i,0.00091959-0.00089527i,0.00069956-0.00035938i,-0.0007096-0.0017255i,-0.0014669-0.0019252i,-0.0021213-0.00097069i,-0.0019254-0.00018346i,-0.0010069-0.00035063i,-3.7436e-05-0.00057233i,0.00042925-8.8359e-05i,0.00035067+7.2313e-05i,0.001164-6.4641e-05i,0.0011832+8.136e-05i,0.00031692+0.00060522i,-0.00056677+0.00065539i,-0.00092843-1.1004e-05i,-0.0002404-0.00061508i,0.00033118-0.00034216i,0.0009245-0.00029273i,0.0010749-0.00037884i,5.4147e-06-0.00019786i,-7.0331e-05-0.00020552i,0.00050658-0.00035689i
0.00064007-0.0010969i,0.00032826-0.0011742i,-5.7277e-05-0.0010572i,-0.00034999-0.0015758i,-0.0013139-0.0022737i,-0.0020605-0.0021533i,-0.0017381-0.00089366i,-0.00033373-0.00014628i,0.00066129-0.00022569i,0.00031883-0.00063943i,0.00067437-0.00062183i,0.00068986+6.0224e-06i,-0.00032237+0.00046126i,-0.00062417+0.00055653i,-0.00048159+0.00022895i,6.1596e-06-0.00022255i,-0.00016497-0.00046598i,-0.00059329-0.00038696i,0.00049187-0.00012784i,0.00083668+0.00066361i,0.00037427+0.0011692i,-0.00030632+0.00036239i,-0.00052621-0.00034883i
0.00017693+0.0036948i,0.0010672+0.0029363i,0.0027913+0.0019851i,0.0022917+2.2525e-05i,0.00069577-0.0030248i,-0.0012665-0.0037948i,-0.0017732-0.0026583i,-0.00031849-0.0012226i,0.00077577+0.00016542i,0.00069738+9.7949e-05i,0.00079301-0.00093434i,0.00051968-0.0004544i,-0.0001591+0.00021946i,-0.00039789+0.00020783i,-0.00015879+6.8648e-05i,0.00031435+4.5098e-05i,0.00077234+2.1768e-05i,0.0011831+0.00062127i,0.0010163+0.00038784i,0.00096511-0.00053467i,0.00056864-0.001003i,-0.00029313-0.0014907i,-9.67e-05-0.001195i
0.00022414+0.0014927i,-0.00069324+0.00089409i,0.0002412+0.00066349i,0.0010091-0.00014989i,-0.00048836-0.0017257i,-0.0022164-0.0023157i,-0.0022431-0.0014712i,-0.0012766+0.00020845i,-0.000815+0.00090148i,0.00019843+0.0001145i,0.00058471-0.0001019i,-1.4372e-05+0.00014885i,-0.00011967-0.00034926i,0.00032218-0.00093045i,0.0010628-0.0013591i,0.0010622-0.0017863i,0.00043029-0.00087936i,-0.00022536+0.00026371i,0.00027788-0.0001017i,0.0012287-0.00016026i,0.0011341+0.00016161i,0.00044523+0.00018628i,0.00031546+0.00031653i
