-0.0021399-0.00091388i,-0.0020958+0.0001733i,-0.0014491+0.0020571i,-0.0011817+0.0017043i,-0.00084364+0.0013621i,-0.0010113+0.00058076i,-0.001402-0.00063006i,-0.00082652-0.0010998i,-0.00014696-0.00079078i,0.00015465-0.00046061i,0.00044989+4.9656e-07i,4.6825e-05+0.00031962i,-0.00053051-0.00037946i,-0.00043822-0.00072565i,-0.00057883-0.00091531i,-0.00061709-0.0011324i,-0.00052006-0.00082153i,-0.00078373+0.00062604i,-0.00054557+0.00025589i,-7.435e-05-0.0011114i,-0.0001188-0.00045254i,0.00029829+0.00025659i,0.00144+4.7217e-05i
0.00038038-0.0046686i,-0.00087539-0.0039741i,-0.0016915-0.0027084i,-0.00196-0.0016379i,-0.0016128-0.00035208i,-0.001092+0.00013108i,-0.00070532-0.0005419i,-0.0001522-0.00076491i,-0.00011295-0.00014664i,-0.00056487+0.0001766i,3.1387e-05+0.0010427i,0.00085017+0.0010156i,0.00083453+0.00024845i,0.00086364+0.00039367i,0.00020415-6.2843e-05i,-0.00073375-0.00025244i,-0.00040877-0.00044486i,-0.00024724-0.00092957i,4.0953e-05-0.000227i,0.00025216+0.00065053i,0.00044753+0.00055744i,0.0010074+0.00028696i,0.0012408-3.3863e-05i
0.001332-6.5554e-05i,0.0018513-0.00089743i,0.00094286-0.0013407i,-0.00058354-0.00083262i,-0.0012398-0.00055112i,-0.0011101-0.00071061i,-0.00035814-0.00046146i,0.00018598-7.7959e-05i,4.3274e-05-0.00057724i,-0.00072167-0.00090266i,-0.0012391-0.00057677i,-0.00056245-0.00062968i,-0.0001373-0.00045598i,-0.00025638+4.636e-05i,-0.00062644+0.00065459i,-0.0011529+0.00095565i,-0.0015735+0.00058055i,-0.0013219+0.00023628i,-0.00010331+0.00028264i,0.00039143+0.00011622i,0.00041891-0.000525i,0.00029069-0.00036379i,-0.00025478-0.00085348i
0.00024996-0.0012722i,0.00033554-0.0011744i,-2.63e-05-0.0013832i,2.7412e-05-0.00056341i,-0.00062443+0.00027158i,-0.00089949-0.00066948i,-0.00063808-0.0008719i,6.9034e-05-9.3222e-05i,0.00045876+0.00017075i,-5.4786e-05+0.00066195i,-0.00039331+0.00079356i,-0.0003896+0.00065535i,-9.6968e-05+0.00033473i,0.00046635-0.00013i,0.0010886-2.8408e-05i,0.00098887+0.00017178i,0.00018582+0.00032141i,0.00016085+0.00037063i,0.00020193+0.00041557i,0.00022349+0.00013635i,0.00037885+0.0002541i,-0.00058224+0.00066361i,-0.00077022+0.00022853i
0.00020341-0.0022333i,0.00052246-0.0019813i,-0.00033799-0.00073024i,-0.0010317-0.00032592i,-0.0012441-0.0006838i,-0.00046154-0.00037278i,0.00062574+0.00035356i,0.00049976+0.00051195i,0.0001241+0.00034265i,-4.0396e-05-5.8189e-05i,-3.5938e-05-0.00036169i,-0.0005257+0.00033507i,-0.00077016+0.0012848i,0.00050726+0.0012893i,0.00042529+0.00041634i,0.00013992-0.00047266i,0.00020047-0.00040963i,-0.00025187+9.0904e-05i,0.00015219+0.00021915i,0.00037855+0.00029787i,0.00025129+9.0795e-05i,0.00063705-0.00045002i,0.00067696-9.6689e-05i
-0.0010104+0.0019921i,-0.0020031+0.002109i,-0.00083668+0.0015869i,0.00099173+0.00095119i,0.001442+0.00049675i,0.00065866+3.6544e-05i,0.00062338-0.00027641i,0.0005116-2.7501e-05i,3.667e-05+0.00040252i,-0.00035441+0.00096864i,-0.00058332+0.0008036i,-0.00045804+0.00042454i,-0.00032669-0.00025723i,-0.0006405-0.0010023i,-0.0006704-0.00121i,-0.00027941-0.0013621i,0.00041826-0.0012853i,-7.5354e-05-0.00083709i,-0.00046787-0.00036003i,0.00033537-3.5012e-05i,0.00036613+7.0297e-05i,0.00010412+0.00054073i,0.00027439+0.00073762i
-0.00037117-0.0001457i,4.2398e-05+0.00096264i,0.00070064+0.0011799i,0.00029388+0.00025287i,0.00021061-0.001432i,0.00057131-0.001305i,0.00012212-2.8864e-05i,-0.00028144-7.4231e-05i,-0.00040202-0.0002877i,-0.00038364-0.00059372i,0.00019345-0.0010303i,0.00016946-0.0012488i,-0.00015539-0.00043726i,0.0003446+0.00024427i,-0.00031703-0.00015482i,-0.0013098-0.00043404i,-0.00089061-0.00029756i,7.5991e-05-0.00036089i,0.00014696-0.00034461i,-9.4128e-05-0.00054943i,0.0004564-0.00034509i,0.00053512+0.0004945i,-7.1097e-05+0.00053758i
-0.0028748-0.00084681i,-0.0023577-0.00044693i,-0.0021587+0.00042392i,-0.0021957+0.00058858i,-0.0012433+0.00014255i,-0.00079375-8.5552e-05i,-0.00027083-0.00082335i,0.00089977-0.00099227i,0.00079161-0.00047167i,0.0006436+0.00047359i,0.0010042+0.0012864i,0.00067113+0.00063417i,0.0008897+6.6158e-05i,0.00074756-9.5345e-05i,0.00029866-0.00048638i,-2.5215e-05+0.00025176i,-0.00040717+0.00083475i,-0.00023128+0.00069529i,0.00026175+0.00048352i,0.00048306+0.00047523i,0.00028088-0.0004559i,0.00066188-0.00073704i,0.0010395-0.00041776i
-0.0021493-0.0005093i,-0.0015208-0.00070423i,-0.0016813+0.00087417i,-0.0012573+0.00077853i,0.00054064+0.00039246i,0.00089345-0.00057008i,0.00073819-0.0013153i,0.00056296-0.00087454i,0.00037001-0.00032339i,0.00053655-0.0002761i,0.00045749-0.00039284i,0.00050293-0.00062933i,0.00045485-0.00054178i,0.0003791-0.00034925i,0.0003919-0.00079622i,0.00073216-0.0014499i,0.00078726-0.0010363i,0.00035445-0.00043977i,0.00017053+0.00052723i,0.00029997+0.0010351i,0.0002292+0.00089994i,0.00059714+0.00041199i,0.00030951+1.0032e-05i
0.00056714-0.0011517i,-0.00025686-0.0013874i,-0.00017047+8.8783e-05i,-0.0013896+0.0011814i,-0.002467+0.00078837i,-0.0012535+0.00019592i,0.00040687+0.00018395i,0.00095368+0.00030575i,4.7096e-05-8.1213e-05i,-0.0010103+4.0895e-05i,-0.0009296+0.00044735i,5.8208e-05+0.00011652i,0.00023415-0.00040027i,-0.00020585-0.0012175i,-0.0001609-0.0019361i,0.00017147-0.001641i,-0.00013274-0.00074761i,-0.00040677-0.00030336i,-0.00035407-0.00025949i,-0.00078903-0.00010116i,-0.00044208-0.00037724i,0.00028231+5.2262e-05i,0.00043244+0.0003372i
0.0011743-0.0014935i,-4.7033e-06-0.0011542i,-0.00051524-0.00072186i,-0.000173-0.00071451i,0.00083882-0.0011628i,0.00048132-0.0011318i,-0.00036124-0.00093765i,-0.00016342-0.00078747i,0.00047565-2.6757e-05i,0.00048477+0.00072694i,0.00073187+0.00035807i,0.00045031-0.00027974i,-0.0003969-0.00041583i,-0.00043595-0.00079366i,-0.00013024-0.0008636i,0.00030611-6.8585e-05i,0.0005858-8.2085e-05i,0.00049865-0.00034166i,0.00055335+0.00021137i,-2.1306e-05+0.00038696i,0.00019916+0.00012897i,0.00062723+0.00010661i,-0.00016625-6.3294e-05i
-0.0012642+0.002254i,-0.00072665+0.0019218i,-0.00015724+0.0016241i,0.00012703+0.00071926i,0.00030178-8.764e-05i,0.00011737-0.00098694i,-6.2437e-05-0.0011467i,9.9542e-05-0.00063726i,0.00033786-4.0785e-05i,0.00050624+0.00022765i,0.00046174-8.081e-05i,0.00069687-8.4291e-05i,0.00064414-0.00016327i,6.6198e-05-0.00065842i,-0.00015861-0.00077946i,-0.00062376-0.00084405i,-0.00097581-0.00099823i,-0.000186-0.00055564i,0.00030149+0.00025655i,0.00026133+0.00054284i,0.00028566+0.00049123i,-0.00018258+0.00013549i,-0.00098042-0.00017706i
