-0.00038582+0.00057854i,0.0012097-0.0004227i,0.00026399-0.0012995i,-0.00078061-0.00072894i,-0.0011097+0.0013028i,-0.0010804+0.0029474i,-0.001152+0.0031419i,-0.00051154+0.0022387i,0.00068948+0.0015551i,0.0019089+0.0012311i,0.0021145+0.0006532i,0.0011212+0.00040221i,1.7925e-05+0.00056688i,-0.00048189+0.00047445i,-0.00050735+0.00020892i,-0.0003838-0.00023743i,6.6221e-05-0.00014664i,0.00045046-0.00013144i,0.00044173-0.00071648i,0.00025602-0.00065258i,0.00051182-0.00040516i,0.00036076-0.00012739i,-8.8296e-06+6.6474e-05i
0.00052405+0.00059299i,0.00026159+0.0014344i,-0.00057297+0.0011651i,-0.00094995+0.0011482i,-0.00088919+0.0019586i,-0.0015962+0.0019886i,-0.0020228+0.0014806i,-0.0011815+0.00097372i,-0.00052513+0.00026892i,-0.00064228-0.00021816i,-0.00039206-6.2649e-05i,0.00027542+0.00023037i,0.00015507+0.00057961i,-8.3526e-05+0.00025809i,0.00012474-0.00050188i,-0.00023175-0.00016544i,-0.00068085+0.00024792i,-0.00083082+1.5224e-05i,-0.00056162+0.00029154i,-0.00011428+0.00033826i,-9.3877e-05-0.00043565i,1.4827e-05-0.00046707i,-0.00035424+2.3877e-05i
-0.00047528+0.0022538i,-0.00013366+0.0016649i,-0.00058845+0.00041044i,-0.0011716+0.0003599i,-0.0014164+0.0012374i,-0.0020972+0.0019935i,-0.0023357+0.0018714i,-0.0014935+0.00094205i,-0.00080533+0.00032924i,-4.3068e-05+0.00074335i,6.1134e-05+0.00055085i,-0.00043794+0.00020356i,-0.00062883+0.00015745i,-0.00044837-0.00021443i,0.0002979-0.00041311i,0.00053051-0.0006318i,-0.00026269-0.0009194i,-0.00058652-0.0011665i,-0.00096865-0.00074673i,-0.00082228-0.00038115i,-0.00036299+0.00017017i,0.0002948+0.000186i,0.00043501+7.8198e-05i
-0.0010001+0.0011907i,0.00014869+0.001194i,0.00094729+0.0005101i,-2.9747e-06+0.0001862i,-0.00098052+0.00076078i,-0.00087961+0.0016187i,-0.0011118+0.0012688i,-0.0016424+0.00054546i,-0.00117+0.00022833i,-0.00065806-0.00024297i,7.784e-05-0.00042038i,0.0013099+9.4667e-06i,0.00099282+0.00016122i,0.00043986-3.5578e-05i,0.0010271-0.00050511i,0.0014043-0.0012065i,0.0010524-0.001041i,0.00022717-0.00035765i,-0.00045838+7.3797e-05i,-0.00051452+0.00058429i,-7.5199e-05+0.0010122i,-2.687e-06+0.00090997i,-9.7972e-05+0.00049195i
-0.00054812+0.0021067i,-0.00073487+0.0010595i,-0.00039036+0.00018937i,-0.0008903+0.00053518i,-0.0011957+0.0012846i,-0.0016519+0.0014362i,-0.0019739+0.0015528i,-0.0015935+0.0018512i,-0.0011341+0.0020162i,-0.00090308+0.0017011i,-0.00013031+0.0004315i,0.0008403-0.00053886i,0.00074493-0.00028642i,0.00064221+0.00012237i,0.00096887-0.0002307i,0.0010206-0.00078388i,0.0010135-0.00049137i,0.00071091-0.00037216i,-0.00022067-0.00024957i,-0.0005776+0.00020448i,0.00018791+0.00045241i,0.0002672+0.0009174i,1.1905e-05+0.0006962i
0.0013949+0.00087311i,0.0010857+0.0010843i,0.00047449-1.3005e-05i,-0.0008405-0.00038301i,-0.0015492+0.00090842i,-0.0017767+0.0022705i,-0.0011251+0.0016382i,-2.1386e-06+0.0010196i,0.00044892+0.00066928i,0.00020567-0.00021333i,0.0002273-0.00024592i,0.00064529+0.00048735i,0.00048484+0.0009717i,0.00027534+0.00087794i,0.00030912+0.00085692i,0.00046538+0.00092631i,2.0616e-06+0.00069154i,-0.00076859-5.847e-06i,-0.0010668-0.00066013i,-0.00090978+3.9306e-05i,-0.00081956+0.00058723i,-0.0012+0.00048025i,-0.00050501+0.00011262i
0.00016957+0.0010291i,0.00022476+5.1817e-05i,-0.00024865+5.1495e-05i,-0.00049368-3.1468e-05i,-0.00082791+0.00039578i,-0.0012824+0.00091212i,-0.0010952+0.0011932i,-0.00081253+0.00070406i,-0.00022421+0.00037239i,-6.5959e-05+0.00033753i,0.00027837+0.00042944i,2.9229e-05+0.00046196i,-0.00090755+0.0001879i,-0.0010859-0.00029566i,-0.00026088-0.00064961i,0.00018666+6.9884e-05i,-0.00072458+0.00058015i,-0.00088314+0.00019267i,-0.00068823+7.3774e-05i,-0.00047538-0.00013713i,0.0001263-0.00010513i,0.00018533-0.00026601i,6.5403e-05-0.00079017i
0.0011889+0.0018718i,0.00070346+0.0018887i,0.00046169+0.00090967i,-0.00064049-0.00034142i,-0.001858+1.2851e-05i,-0.0019441+0.00072348i,-0.0014093+0.0010749i,-0.00068655+0.0011671i,-0.00054936-4.5488e-05i,-0.00063663-0.00072459i,-0.00074876+0.0002429i,-0.0010431+0.00023698i,-0.00022448-0.00014855i,0.00086336-0.00038621i,0.0010664-0.00076624i,0.0010657-0.00082195i,0.0001241-0.00079302i,-0.0010122-0.00020992i,-0.00058565+0.0004775i,-0.00022031+0.00021896i,-6.6777e-05-0.00043816i,0.00015571-0.00066623i,-0.00028537-0.00076538i
-0.0013596+0.0017271i,-0.00061622+0.0015771i,-0.00028173+0.00010865i,-0.0011825+0.00010808i,-0.0016085+0.0015427i,-0.00069219+0.0018579i,-0.00010795+0.00069272i,-0.00045389-0.00044i,-0.00047724+2.9889e-05i,-8.476e-05+0.00035786i,0.0004662-2.2559e-05i,0.00046347+2.636e-05i,0.00037425+0.00035132i,0.00086117+0.00021493i,0.00041948-0.00039226i,-0.00017189-0.0010667i,8.2366e-05-0.00030752i,-0.0007086+0.00026819i,-0.0020992+1.2493e-05i,-0.0016866-7.6509e-05i,-0.00055661+0.00013759i,-0.00034529+0.00062687i,-0.00044866+0.00010833i
7.9544e-05+0.00046063i,0.00070677+3.1535e-06i,0.00072301-0.00074905i,-0.0010855+0.00047588i,-0.0024452+0.0020169i,-0.002613+0.0031164i,-0.0019105+0.0032228i,-0.0013997+0.0022313i,-0.00071933+0.00040076i,0.00011949-0.00068888i,0.0006443-1.1215e-05i,0.0008806+0.00093573i,0.001493+0.00032939i,0.0016336-0.00051081i,0.0010576-0.00062793i,0.00084083-0.00081751i,0.00097464-0.00059592i,0.00036335+0.00015797i,-0.00050787-4.6982e-05i,-0.00068088-0.0006346i,-0.00050753-0.00040529i,-0.00055128-9.4699e-05i,-0.00079731-0.00049664i
-0.00010363+0.0018367i,0.0013697+0.0016337i,0.00041544+0.0012711i,-0.0011547+0.001162i,-0.0016652+0.0016485i,-0.0016575+0.0025494i,-0.0013079+0.0019586i,-0.0010158+0.0010238i,-0.00051047+0.00073228i,0.00057201+0.0004408i,0.0011316-8.3364e-05i,0.0012198+7.8536e-05i,0.0016014+0.0006367i,0.00090278+0.00035596i,0.00014355-0.00015653i,0.00055457+7.6631e-05i,0.00052156+0.00034614i,-0.00016092+0.00053606i,-0.001087+0.00012792i,-0.0013734-0.00034753i,-0.00050638+5.0342e-05i,-0.00014805+0.00032614i,-0.00055151+0.00016309i
-0.0013381+0.0021034i,-0.00099343+0.0024276i,-3.7241e-05+0.0017589i,0.00036651+0.0017023i,-0.00093781+0.0012059i,-0.0012254+0.00057493i,-0.0015431+0.001102i,-0.0022968+0.0012423i,-0.0017533+0.00075827i,-0.00072567+0.00090907i,0.00019063+0.0012666i,0.00023647+0.00022644i,0.00075176-0.00089091i,0.00073594-0.00084288i,0.00020348-9.3788e-06i,-0.00022217+0.00058694i,0.00031707+0.00012549i,0.0013581-0.00039573i,0.00054358-0.00035023i,-0.00073646-0.00031152i,-0.00071376-0.00019136i,0.00010738+0.00047396i,0.0001884+3.9913e-05i
-0.00017326+0.0012927i,-0.0019178+0.00082407i,-0.0020012-5.0812e-05i,-0.0023386+0.00029594i,-0.002645+0.0012018i,-0.0026645+0.0017807i,-0.0021243+0.0014936i,-0.00095656+0.0017221i,5.6444e-05+0.00097891i,0.00081215-0.00044289i,0.00066561-0.00050524i,0.00020702+0.00011598i,0.00019871+0.0011407i,0.00070804+0.0013109i,0.0010533-0.00014497i,0.00071419-0.0011494i,0.00018941-0.00075056i,0.0001972+0.00013534i,0.00049722+0.00088454i,0.00014352+0.00076483i,-0.00028903+0.00052369i,-0.00095553+0.00020489i,-0.0012232+0.00018776i
-0.0007331+0.0031002i,2.954e-05+0.0022571i,0.0017357+0.00048658i,0.00058181-0.0010959i,-0.00069029-0.0010824i,-0.0010163+1.1165e-05i,-0.0013853+0.00091093i,-0.0010794+0.00090522i,-0.0006285+0.001276i,0.00024181+0.0010028i,0.00068044+0.00011491i,0.00021233-0.0004238i,-0.00051467-0.00047312i,-0.001065-0.00014203i,-0.00083351+4.4444e-05i,3.8429e-06-4.5854e-05i,0.00037424+0.00037602i,0.00050041+0.00012823i,5.804e-05-0.00044884i,-0.00099864+6.5653e-05i,-0.0010779+0.00057748i,0.00033053+0.00046044i,0.001117-4.2139e-05i
-0.00076263+0.00068063i,0.00073816+0.001161i,0.001071+0.0012286i,0.00036967+0.00118i,9.9375e-05+0.0013564i,-0.00064751+0.0013431i,-0.0016228+0.00078742i,-0.0018115+0.00040777i,-0.0017234+0.00034483i,-0.00042973+0.00074251i,0.00062124+0.00031911i,0.0006364-0.00012332i,5.6663e-05-6.7783e-05i,-0.00020663+9.221e-05i,-0.00049763-0.00015424i,-0.00061482-0.00052048i,-0.00031942-0.0009141i,-0.00064755-0.0011627i,-0.00095763-0.00050996i,-0.00080745+0.00015052i,-0.00023999-0.0002281i,0.0002699-0.00079345i,0.00087709-0.00071152i
-0.001167+0.00096272i,-0.0009056+0.00055075i,-0.0015955+0.00042714i,-0.00092124+0.0018525i,-1.394e-05+0.003065i,-0.00086725+0.0027008i,-0.0018202+0.0017522i,-0.0010442+0.00072847i,-0.00016468-1.859e-06i,0.00079308-0.00027088i,0.001368-0.0002888i,0.00023687+0.00015865i,-0.00031768+0.00028546i,-1.8001e-06+0.00039626i,-0.00010734+0.0002355i,-0.00017758-0.00021996i,0.00044923-0.00040651i,0.00082344-0.00010666i,0.00035914+8.815e-05i,-0.00024058-1.7873e-05i,-0.00013998+0.00018754i,-0.00076581+0.0001812i,-0.0010251+4.8778e-06i
-0.00043309+0.0012805i,0.00017133-7.5128e-05i,0.00010625-0.00048483i,-0.00073442+0.000801i,-0.0012265+0.0015984i,-0.0016462+0.0021439i,-0.0018696+0.0016597i,-0.0011443+0.00081729i,-1.9752e-05-2.8349e-05i,0.00064159-0.0005721i,0.00076784-0.00036121i,0.00049386+0.00036156i,0.00011478+0.00020676i,-0.00080614-0.00089824i,-0.0013078-0.0014857i,-0.00090806-0.00083597i,-0.00077389-0.00033842i,-6.8018e-05-0.00068116i,0.00025595-0.00069399i,-0.0001806-0.00087577i,-4.9467e-05-0.0011869i,0.00039939-0.00068262i,2.9957e-06-1.9113e-05i
-0.0010724+0.0011885i,-2.8208e-05+0.002655i,3.8754e-05+0.0016415i,-0.0011444+0.00057451i,-0.0020228+0.00041032i,-0.0018487+0.00049325i,-0.00094661+0.0013799i,-0.00083995+0.0013705i,-0.00057559+0.00068765i,-0.00032806+0.00070376i,4.6717e-05+0.00039504i,0.0005121-0.00051275i,0.00024786-0.00043055i,-8.9107e-05+4.9985e-05i,0.00040998-0.00028033i,0.00082696-0.00053341i,-1.7202e-05-0.00036957i,-0.00080949-0.00032632i,-0.00079781-0.00048656i,-0.00042575-0.00022222i,-0.00026135+0.0006177i,-0.00031605+0.00079722i,0.00013103+0.00064881i
7.7109e-05+0.0013248i,-0.00091182+0.0022159i,-0.00093278+0.00051608i,-0.0014891-0.00029193i,-0.0016349+0.00033954i,-0.0016107+0.0022373i,-0.0015185+0.0029223i,-0.0010198+0.002312i,-0.00081207+0.001543i,-0.00088829+0.00050345i,-0.0012411-0.00053982i,-0.0011176-0.00086314i,-0.00010575-0.00039996i,0.00055343-0.00019541i,0.00096363-0.00060892i,0.00072562-0.00017037i,0.00034204+0.00012402i,0.00023683-0.00051412i,-3.9714e-05-0.00043953i,0.00016435-3.5625e-05i,-9.1246e-05+0.00012303i,-0.00042848-0.00024956i,-0.00035096-0.00015018i
-0.00013106+0.0019643i,0.00013326+0.0012717i,-0.00037887+0.00091772i,-0.00017436+0.00083513i,7.3169e-05+0.00083698i,-0.00056493+0.00025084i,-0.00082121-0.000396i,-0.0010116+0.0004122i,-0.0011536+0.0015776i,-0.00074131+0.0020171i,7.8065e-05+0.0014448i,0.00018381+0.001027i,-0.00048243+0.00053504i,-0.0010767-6.8255e-05i,-0.00045588-0.00027372i,0.00024487+0.0001756i,0.00039669+6.1313e-05i,0.00034276-0.00026829i,-0.00027902-0.0010548i,-0.00046473-0.0015488i,-2.4334e-05-0.0006949i,-0.0004046+1.8638e-05i,-0.00088341+0.00085233i
-0.001655+0.0015898i,-0.00062759+0.00096709i,-8.5894e-06-0.00030502i,-5.4168e-05+0.00031557i,-0.00051814+0.0017407i,-0.0018091+0.0017021i,-0.0025887+0.0012531i,-0.0021195+0.0011228i,-0.00080029+0.0012149i,4.9112e-05+0.00092986i,0.00044237-0.00018317i,0.00054857-0.00048792i,0.00040978+0.00015446i,2.3284e-05+0.00051648i,-0.0007278+0.00014344i,-0.00076465-0.00038069i,-0.00061054-0.0010002i,-0.0005153-0.00089436i,-0.00038304-0.0001384i,8.3437e-05+0.00020278i,0.00052377+0.00015195i,1.9529e-05-0.00076273i,-0.00025981-0.00081013i
-0.0010096+0.0023839i,0.00070417+0.0018742i,0.0014967+0.0020019i,0.00070381+0.0019121i,-0.00024435+0.0012127i,-0.001818+0.00091975i,-0.0025403+0.0011664i,-0.0017392+0.0011387i,-0.0002448+0.00083642i,0.00060786+0.00057549i,0.00019115+0.00016922i,-0.00051883-0.00040687i,-0.00066905-0.00027038i,-0.00040582-0.00022551i,-0.00051439+0.00013973i,-0.0007515+0.00075948i,-1.8127e-05+0.00077296i,0.00016249+0.00043141i,-0.00087717+0.00061046i,-0.00090829+0.00078162i,-0.00080114+0.00020812i,-0.0012448-9.716e-05i,-0.00073452-0.00056961i
-0.0018362+0.0019713i,-0.0013754+0.0027727i,-0.0014173+0.002388i,-0.0013188+0.0015627i,-0.0011375+0.0013881i,-0.00081502+0.0015229i,8.1501e-05+0.00061081i,0.00057667+6.5242e-05i,0.00012465+0.00072801i,-0.00042583+0.00097975i,-0.0003589+0.00086052i,9.7364e-06+0.00040059i,0.00047967+9.9964e-05i,0.0010543+0.00035618i,0.00094654+0.00027266i,0.00012424-0.00092928i,0.00058495-0.0012327i,0.00043237-0.00030243i,-0.00042463-0.00051637i,-0.00014889-0.00036905i,-0.00051404-0.00014068i,-0.00082318-0.00036528i,-0.00037015-0.00028719i
-0.00044475+0.0018924i,-0.00045043+0.0018484i,0.00033733+0.00059985i,5.2651e-05+0.00048358i,-0.0010623+0.0018727i,-0.0021051+0.0030003i,-0.0022933+0.0025504i,-0.0010233+0.0018287i,-0.00020953+0.0012062i,-0.00032846+0.0016067i,-0.00042489+0.0019778i,2.7724e-05+0.00044142i,-7.3291e-06-0.0011596i,-3.8921e-05-0.0010831i,0.0010145-0.00095728i,0.00069112-0.00085507i,1.5103e-05-6.5873e-05i,-0.00012766+0.00068589i,-0.0010357+0.00038409i,-0.0016421+8.3064e-05i,-0.0008286+0.00057382i,4.8297e-06+0.00048503i,0.00018041+0.00073203i
-0.0019951+0.00041956i,-0.0011395-0.00050455i,-0.00029687-0.00020337i,-0.0013221+0.0012118i,-0.0024955+0.0020626i,-0.0021871+0.00098319i,-0.0010154-0.00031546i,2.3737e-05-0.00021663i,-9.0442e-05+0.00046205i,3.4906e-06+0.0016203i,0.00037438+0.0017125i,0.00042359+0.00079767i,-0.0002297+0.00015608i,-0.00088143+7.9936e-05i,-0.00043531+0.00034241i,0.0001525+0.00024618i,-7.4159e-06+0.00013778i,-0.00014689-0.00031754i,3.5431e-05-0.0012694i,0.00029328-0.00061696i,0.00058313-9.1333e-05i,0.0002739-0.0001472i,-0.00030538+0.00022305i
-0.00071096+0.0010308i,-0.0013911+0.0014434i,-0.0010621+0.00075769i,-0.00082281+0.00041677i,-0.00086613+0.001231i,-0.00077129+0.0024999i,-0.0012901+0.0024357i,-0.0017642+0.0019568i,-0.0016057+0.00051106i,-0.00074396-0.00040783i,6.1392e-05-3.7927e-05i,0.00036172+6.1031e-05i,0.00023327+0.00024202i,0.0001171+0.00028246i,0.00020643-3.845e-05i,0.00052991+0.00014071i,0.00054023+0.00040581i,-0.0001539+6.9781e-05i,-0.00061792+9.0187e-05i,-0.00034504+9.42e-05i,-0.00084241-0.00019466i,-0.0013484+0.00016161i,-0.00090914+0.00048206i
0.00046041+0.0016548i,0.00023278+0.00093298i,1.2282e-05+0.00032276i,-0.00038845+0.00095466i,-0.0013873+0.0018587i,-0.0026234+0.0018296i,-0.0026804+0.00097692i,-0.0019514+0.00099944i,-0.0014661+0.0012811i,-0.00058295+0.0003407i,0.0004593-0.00088981i,0.000635-0.00083832i,0.00055118-0.00024491i,0.00081243+9.9725e-05i,0.00096617+0.00072974i,-0.00010029+0.00041573i,-0.00029481-0.00029404i,0.00011813-0.0005363i,-0.00031454-0.00024859i,-0.0001484-0.00019053i,-0.00048723-4.0091e-05i,-0.00036133+0.00061445i,0.000534+0.00081451i
-0.00022688+0.0025121i,-5.5369e-06+0.0019171i,-0.00047163+0.0010985i,-0.00014301+0.00088011i,-0.00070121+0.0012123i,-0.0012779+0.0018448i,-0.0012455+0.0020322i,-0.0010479+0.0012377i,-0.00073731+0.001238i,-0.00044364+0.0011747i,-0.00036046+0.00090737i,2.3512e-05+2.3965e-05i,-1.0036e-05-0.00085374i,-0.00021919-0.0006937i,-0.00031038-8.599e-05i,-0.00075122+0.00030894i,-0.00042779+0.00062124i,-0.00010431+0.00078376i,-0.00060979+0.00014251i,-0.00063622-0.0003813i,-0.00051876+0.0001726i,0.00013437+0.00041048i,0.00059479+6.4724e-05i
-0.00018647+0.00083451i,-0.00047441+0.0016379i,-0.00055865+0.00075073i,-0.00052988-0.0006413i,3.2726e-05+0.00021303i,-0.00035715+0.0013168i,-0.00048966+0.0012732i,-0.00026387+0.00053348i,-0.00040118-8.3488e-05i,0.00042661-0.00021807i,0.00069677-0.00061414i,0.00072654-0.0011885i,0.00055217-0.001474i,0.00057254-0.0007633i,0.00080439+0.00067767i,0.0010761+0.00045906i,0.00086614+0.0002703i,-4.8828e-05+0.00071298i,-0.00060631+0.00098391i,-0.00080924+0.00043956i,-0.00026439-0.00013743i,-0.00016179+0.00015389i,-0.00031975+0.00019258i
-0.0016488+0.0019032i,-0.0014061+0.0018664i,-0.0012259+0.00079336i,-0.0011031+0.00084842i,-0.001088+0.0013119i,-0.0012091+0.0013346i,-0.0014355+0.001443i,-0.00060748+0.0014835i,0.0002263+0.0019043i,0.00061364+0.0022569i,0.00059824+0.0017139i,3.4947e-05+0.00043614i,-6.4769e-05-0.00032758i,9.8516e-05-0.0004185i,0.00071914-0.000504i,0.00081525-3.612e-06i,0.00022881+0.00024993i,-0.00076274+8.2019e-05i,-0.0011653-0.00045972i,-0.00092651-0.00055509i,-0.00033486-0.0002401i,0.00026934-8.9593e-05i,0.00015273-0.00026341i
-0.0021603+0.0014352i,-0.0014811+0.0011789i,-0.00053816+0.001031i,-0.00050506+0.0013338i,-0.0013289+0.0017096i,-0.0019523+0.0014468i,-0.0020824+0.00082543i,-0.0021752+0.00075596i,-0.0015428+0.00083853i,-0.000187+0.00035603i,0.0003823-1.5275e-05i,0.00076258-0.00053991i,0.00072046-0.00060038i,0.0011368-7.36e-05i,0.0012107-0.00016268i,0.00028143-0.0006634i,0.00033507-0.00083603i,0.00047663-0.0010725i,-0.00071029-0.0011827i,-0.0010007-0.00079846i,-0.00028417-0.00038815i,0.00029507+0.00022959i,0.00042342+0.00039067i
-0.00058076+0.0019865i,-0.00046865+0.0011225i,-0.00090644-0.00014414i,-0.0012711-0.00024611i,-0.0016315+0.0011007i,-0.0016028+0.0020631i,-0.00079159+0.0019356i,-2.8206e-05+0.00075329i,0.00023412-0.00025557i,-7.4195e-05-0.00017587i,0.00051637+0.00037766i,0.00051285+0.00043455i,-3.3179e-05+0.00018437i,0.00019676+8.3265e-05i,0.00023035-0.00026564i,2.251e-05-0.00059948i,-0.0002357-0.0011058i,-2.3303e-06-0.0011524i,-0.00040239-0.00032787i,-0.00072798+0.00050933i,-0.00041137+0.0014175i,-0.00079976+0.0017237i,-0.00094252+0.0013755i
-0.00095743+0.0010669i,9.7349e-05+0.00069015i,0.00046304-0.00010694i,-0.00042999+0.00010966i,-0.001514+0.00017485i,-0.0021178+0.00032864i,-0.0024721+0.0010381i,-0.0016451+0.00093628i,-0.00077671+0.00061476i,-0.00035543+0.00015555i,0.00033334-0.0011221i,0.00035731-0.00086565i,-0.00022554-0.00010052i,-6.1446e-05+0.0002226i,0.00011389+2.8273e-05i,0.00022924-0.00062408i,0.00056482-0.00063993i,0.00038372-0.0005832i,6.745e-05-0.00025575i,5.8621e-06+0.0005323i,-0.00022157+0.00060277i,-0.00015963+0.0009838i,-0.00077561+0.00059485i
-0.0017097+0.0023612i,-0.00057308+0.0033208i,0.0011193+0.0023951i,0.00075327+0.0011966i,-0.00038041+0.00060615i,-0.00025201+5.7726e-05i,-0.00059371-0.00039806i,-0.00085591-0.00010011i,-0.00019385+0.00064373i,3.5088e-05+0.00067942i,-0.0002702+0.00035274i,-0.00058874-0.00031578i,-0.00034339-0.00053492i,-1.87e-06+7.0298e-05i,4.1872e-05+0.00064881i,-0.00058209+0.0005917i,-0.001164+0.00062582i,-0.00092037+0.00014987i,-0.00029283-1.4216e-05i,5.2864e-05+0.00055283i,0.000242+0.00090621i,0.00026337+0.00065233i,0.00019353+2.821e-05i
-0.0017399+0.00083952i,-0.0018755+0.00052276i,-0.0017916+0.00080259i,-0.0018828+0.0016491i,-0.0018886+0.001659i,-0.0025266+0.0017507i,-0.0022047+0.0023364i,-0.0013638+0.0014708i,-0.00032239+0.0010913i,0.00069742+0.00070106i,0.00056796-2.4061e-05i,-0.00022179+0.00065133i,-0.0010338+0.00058155i,-0.0010324-0.00081899i,-0.00056485-0.00067202i,1.7693e-05+0.00012989i,0.00012047+0.00021416i,5.1622e-05-0.00019033i,0.00017464-0.00070706i,-5.4469e-05-0.00067948i,-0.00058202-0.00070378i,-0.00067393-0.00050453i,0.00022329+0.00049771i
-0.0024219+0.002648i,-0.0012005+0.0018058i,-0.0011588+0.00087903i,-0.0012367+0.00081253i,-0.0014942+0.0015911i,-0.00092861+0.0012399i,-0.0016064+0.00050996i,-0.0017181+0.00099345i,-2.4756e-05+0.0011186i,0.00082939+0.00099852i,0.0011177+0.0013744i,0.00088262+0.0005732i,0.00017594+0.00025385i,-0.00056338+0.00095247i,-0.0011343+0.00053067i,-0.00095017-0.00023273i,-0.000642-0.00032204i,-0.0011064-7.4039e-05i,-0.0011156+0.00061959i,-0.00091044+0.00076558i,-0.00062245+6.8855e-05i,-0.00047767-0.00038863i,-0.00071207-0.00041795i
-0.001199+0.0025704i,-0.00071675+0.0028477i,0.000233+0.0016689i,0.00057407+0.00088669i,-2.9928e-05+0.00082207i,-0.0013572+0.00078789i,-0.0014659+0.0016561i,-0.0005035+0.0016433i,0.00051166+0.00070922i,0.00086962+0.00024966i,0.00047484+0.00042122i,0.0006478+0.00075151i,0.00085818+0.00070497i,0.00081003+4.8491e-05i,0.00034864+0.00026022i,0.0003575+0.00049107i,0.00033937-0.00026572i,-0.00011367+6.8853e-05i,-0.00044235+0.00055361i,-0.00039219+1.9067e-06i,-8.3231e-05-0.00031833i,-5.012e-06+0.00025614i,-0.00020655+0.00088536i
-0.00072033+0.0024722i,-7.7785e-05+0.0019484i,0.00057669+9.8222e-05i,-0.00073604+7.78e-05i,-0.0017873+0.0010869i,-0.0021926+0.0016418i,-0.0026468+0.0011085i,-0.0024925+0.00038103i,-0.0015155+0.00067729i,8.7984e-05+0.0013929i,0.00073014+0.0012068i,0.00068832+7.1117e-05i,0.00054567-0.00021608i,0.00092888-1.0315e-05i,0.00098142+0.0003936i,0.00047955+0.00084268i,0.00099676+0.00046087i,0.0009057-0.00016182i,-0.00021669-0.00039426i,-0.00087295-0.00018277i,-0.00035708+0.00059259i,0.00075106+0.00078329i,0.0011133+0.0007628i
-0.0020431+0.0021643i,-0.0021999+0.0028385i,-0.0016503+0.0025141i,-0.000945+0.0010734i,-0.00084652+0.00074769i,-0.0013188+0.0010129i,-0.00090638+0.00095859i,-0.00031194+0.00031912i,-0.00023073-0.00031486i,-0.00059155-0.00062288i,-0.001065-0.00028535i,-0.00096947+2.8638e-05i,-0.00066958+0.0003586i,3.6711e-05+0.00090054i,0.00027728+0.00059147i,0.00042364-0.00025684i,0.0001697-0.00030066i,-0.00044143+5.0618e-06i,-0.0011229+1.899e-05i,-0.0015594-7.7503e-05i,-0.0011678+3.5612e-06i,-0.0006939+0.00036858i,-0.00043917+0.00093251i
-0.00081341+0.001854i,-0.00051044+0.0011278i,0.00042482+0.00027532i,-2.7959e-05+0.00050364i,-0.0014396+0.0013632i,-0.0019746+0.0013054i,-0.0012493+0.00092519i,-0.00019827+0.00094382i,-0.00033941+0.0011486i,-5.4063e-05+0.0012042i,0.00082363+0.00038642i,4.8361e-05+0.00027793i,-0.00069361+0.0010911i,-0.00070205+0.00095408i,-0.00069749+0.00010916i,0.00084035-0.00040449i,0.001892-0.0009635i,0.0010754-0.0014774i,-0.00015832-0.00057721i,-0.00024759+0.00041478i,0.00035075+0.00054501i,0.0007585+0.00017017i,0.00011379-0.00063103i
-0.0018611+0.0025553i,-0.00042871+0.0024024i,0.0012916+0.0019662i,0.0012845+0.001291i,0.00060059+0.00068842i,-0.00056419-0.00012528i,-0.00086417+0.00018814i,-0.00037175+0.00089031i,-0.00014931+0.0013583i,-0.00024051+0.001614i,-5.244e-05+0.0010839i,-0.00010576+0.0002017i,-0.00019845-7.4005e-05i,6.3007e-05-0.00042375i,0.00032446-0.00095653i,-0.00036849-0.00054012i,-0.0007598-2.4039e-06i,-0.00040783+0.00014999i,-0.00024692+0.00054284i,-0.00064893+0.00016009i,-0.00036375-0.00038907i,-0.00022821-0.00083303i,-0.00038091-0.0011379i
0.00082507+0.0004018i,6.4043e-05+0.00023076i,-0.00082364+0.00044826i,-0.0014498+0.00097308i,-0.0014804+0.00074657i,-0.0010604+0.0005778i,-0.00055592+0.0013281i,-0.00024155+0.0013001i,0.00012217+0.00045418i,0.00067263+0.000611i,0.0014715+0.00044085i,0.0016793-6.9421e-05i,0.0013146-0.00048619i,0.00091044-0.00013542i,7.1537e-05-0.00029195i,-0.00035027-0.00086619i,-0.0003193-0.00019736i,4.6901e-05+0.00017883i,-0.00022769+7.0521e-05i,-0.00062957+0.00037025i,-0.00099466+0.00030048i,-0.0018314+0.00013022i,-0.0015815+0.00045936i
-0.0028737+0.00097214i,-0.0020671+0.00071014i,-0.0018791+0.0015409i,-0.0012562+0.0017818i,-0.00044732+0.0023716i,-0.00065976+0.0026801i,-0.0009014+0.0016625i,-0.00077089+0.0011472i,-0.00057372+0.0012641i,-0.00044906+0.00068558i,0.00010633+0.00018571i,0.00038416-0.00037955i,-0.00011826-0.00065911i,-0.00048531-0.00048676i,-0.0004712+0.00035305i,-0.00059163+0.0011378i,-0.00059564+0.0013619i,-5.9871e-05+0.00090465i,-9.5723e-05+0.00045525i,-0.00053755-0.00053995i,-8.7488e-05-0.0009836i,-0.00010852+0.00052437i,-0.00057503+0.0013703i
