-0.00035547+0.00030261i,-0.00011984+9.7073e-05i,8.8706e-05+0.00086223i,0.00059992+0.0012388i,0.001432+0.00096933i,0.0012262+0.00044535i,0.00031524+4.5495e-05i,-7.2807e-05+0.00011648i,0.00033145-2.1701e-05i,-6.06e-05-0.00068032i,-0.00079062-0.00041497i,-0.00084734+0.00045856i,-5.8527e-05+0.00055395i,0.00021528+0.00017628i,0.00023441+3.4156e-05i,0.00061577+0.00033574i,0.00049374+9.8567e-05i,0.0004699-0.00020301i,-0.00020062-0.00052025i,-0.00049668-0.00048835i,-0.00035581+1.4115e-05i,-0.00039329+0.00061454i,-0.00034769+0.00036522i
-0.00044435-0.00087364i,-9.8559e-05-0.00054687i,-0.00062678-0.00062701i,-0.00053717-0.00046323i,-0.0004562+0.00014948i,-0.00037844+0.00023174i,0.00040145-0.00021225i,-4.1776e-05-0.00061889i,-0.0010066-0.00075947i,-0.00036031-0.00020669i,0.00077917+0.00024234i,0.00026055+0.00047655i,-0.00024436+0.00048325i,0.0002768+0.00031958i,0.00037249+0.00064192i,-0.00041994+0.00091249i,-0.00069153+0.0010007i,-0.00015067+0.00057277i,0.0002418+0.00024227i,0.0005178+0.00052974i,7.0539e-05+6.2382e-05i,0.00028988-0.00021354i,0.00038416+0.00062869i
0.00059833+8.2681e-05i,-0.00034522+0.0004219i,7.2809e-05-0.00026621i,0.00068636-0.0013671i,0.00032285-0.0017064i,0.00054335-0.00093321i,0.00084623-0.0006335i,0.00050777-0.000821i,0.00015919-0.00041827i,-0.00016462-7.6275e-05i,-0.00022862+0.00040434i,-0.00052632+0.00093109i,-0.00049127+0.00065484i,0.00015697-6.4952e-05i,0.000467-0.0008302i,0.00026839-0.00096575i,-3.4727e-05-0.0007991i,-2.1894e-05-0.0010878i,-0.00050746-0.0010725i,-0.00087776-0.00074506i,-0.00032233-0.00052321i,-0.00039439-0.00019593i,-0.00053841-0.00047801i
0.0009371+0.00062209i,0.00079669+0.00076513i,0.00048119+8.1368e-05i,-0.00013635-0.00011728i,-0.00063993-0.00098401i,-0.00017786-0.0018571i,-2.1075e-05-0.0018624i,-0.00037933-0.001203i,-0.00034298-0.00036197i,-0.00030821-0.00016455i,-0.00072274-0.00037569i,-0.00033898-0.00020451i,-2.9656e-06-0.00029423i,0.00015048-0.00057415i,0.00083596-0.00038808i,0.00066482-0.0001304i,0.00010713-0.00057387i,-0.00019927-0.00061755i,-0.0004842+8.4785e-05i,-0.00036753-9.6022e-06i,-3.8575e-05-0.00022774i,0.00015532-0.00056641i,1.0189e-06-0.00046754i
-0.0020846+0.0012068i,-0.0011141+0.00092014i,-0.00048709+0.00047742i,4.2039e-05+0.00023228i,0.00082518+0.00046906i,0.00085624+0.00016267i,-0.000113-0.00040989i,-0.00070464-0.00098686i,-0.0010239-0.00046208i,-0.00028426+0.00096594i,0.00014686+0.0013i,-2.2474e-05+0.00028414i,0.00045152-4.516e-06i,0.0002496+0.00036982i,-9.4393e-05+0.00041651i,-0.00049806+0.00055558i,-0.0006693-0.00025344i,-1.1578e-05-0.00073814i,-0.00013421-0.00012038i,-0.00067937+0.00027607i,-0.00056095-3.0447e-05i,-0.00088424-0.00042214i,-0.0011729-0.00043837i
0.00019546-0.00050911i,-0.0015952-0.00074752i,-0.00067691-0.0020898i,-0.00036467-0.0023455i,-0.00067302-0.0017192i,-0.00019161-0.0016346i,-0.00024849-0.0012795i,-0.00041964-0.00049243i,3.1428e-05+3.5617e-05i,9.7712e-05+0.00031624i,-0.00033942+0.00035927i,-0.00056739+0.00055425i,-3.453e-06+0.0011302i,-2.3233e-05+0.0010452i,0.00027742+0.00045691i,0.00055837+0.000161i,-1.6662e-05+2.2369e-05i,-3.406e-05-0.00069433i,0.00036834-0.00056654i,3.1442e-05+0.00054896i,-0.00034248+0.00067548i,-7.8487e-05+0.00031944i,0.00011316+0.00043268i
0.0014803-0.00059249i,0.0011461-0.00057261i,0.00057328-6.7866e-05i,0.00073857-0.00029115i,0.00042667-0.00061161i,0.00054785-0.00062721i,0.00051606-0.0010069i,-0.00059283-0.0011311i,-0.00031085-0.0010676i,0.00034444-0.00092505i,-0.00021081+0.00011164i,-0.0011906+0.0012642i,-0.0013378+0.0011602i,-0.00057091+0.00097983i,-9.4358e-05+0.0010825i,-4.4952e-05+0.0002692i,-0.00020518-0.00027836i,-0.00024151+0.00016615i,2.2725e-05-0.00036986i,0.00012844-0.00049156i,0.00058738+0.00018604i,0.00024058-0.00040062i,-0.00059052-0.0013332i
4.9181e-05+0.001738i,6.3239e-05+0.0017858i,0.0007933+0.0011266i,0.0012478-0.00016573i,0.00096917-0.0014289i,0.00022723-0.0020967i,-0.00020763-0.0023002i,-0.00077134-0.0015162i,-0.00087752-0.00019284i,8.7332e-05+0.00067121i,0.00010049+0.00045973i,-0.00079254-0.00028087i,-0.0011529-0.00078252i,-0.00054464-9.9239e-05i,6.8536e-05+0.00053836i,0.00013504+0.00064615i,-0.00087414+0.00055286i,-0.00088634+0.00046709i,-0.0005503+0.00046091i,-0.00036039+0.0001662i,-0.00035155-3.4135e-05i,-0.00058072+9.9761e-05i,-0.00045519+0.0001433i
-0.0016039+0.00015201i,-0.0003711-4.114e-05i,0.00074172-0.00042122i,0.00053523-0.00028468i,0.00012965+0.0006625i,-0.00021233+0.00063213i,-0.00082532-0.00023654i,-0.001382-0.00044413i,-0.0011098+6.2524e-06i,-0.00059837+2.2863e-06i,-0.001047-0.00043678i,-0.0016506-0.00035689i,-0.00084539-4.218e-05i,-0.00065918+0.00023289i,-0.00085484+0.00024547i,-6.7725e-06+0.00047404i,0.00078141+0.0012227i,0.00074226+0.0012498i,0.00055716+0.00047753i,0.00040415+4.35e-05i,-0.00020871+0.00028274i,-0.00019436+0.00035263i,0.00081911+0.00011092i
-0.0016745+3.5623e-05i,-0.001951-1.6077e-05i,-0.0010059+1.5726e-05i,0.00025762-0.00022213i,0.0018106-0.00052113i,0.0013473-0.0003358i,-0.00046585-0.00068847i,-0.00044347-0.001214i,0.00010001-0.00048309i,0.00012728-0.00012823i,0.00058398+0.0001629i,0.00063445+0.00071611i,0.00051948+0.00070948i,0.00079716+3.9795e-05i,0.00059848-0.00028506i,4.8568e-05-0.00014152i,-3.909e-05-0.00033707i,-0.00014777-0.00069835i,-0.00071965+4.6678e-05i,-0.001344+0.0006232i,-0.0012773-0.00014605i,-0.00028768-0.00050488i,0.00022728-0.0003836i
6.7026e-05-0.00077382i,0.00064303-0.00038211i,-0.00010656-0.00052128i,-0.0011088-0.0012925i,-0.0010718-0.001146i,-0.00071747-0.0013013i,-1.5096e-05-0.0014354i,0.00054359-0.00081789i,0.00044459-0.00012362i,5.0268e-05+0.00075185i,-0.0002557+0.0010957i,-5.7977e-05+0.00060158i,-9.5082e-06+5.7088e-05i,-0.00030176+0.00010577i,-0.00037947+0.00038702i,-0.00030878+0.00064409i,9.988e-05+0.00042397i,0.00056148-0.00025322i,-0.00010638-0.00071523i,-0.00062818-0.00084379i,-0.00076645-0.00086131i,-0.0012237-0.00044369i,-0.0010891+0.00023433i
-0.00076758+0.00041377i,0.00076954+0.00054831i,0.0018508+0.0014272i,0.0015249+0.0012057i,0.0009756+0.00015083i,0.001276-0.0012183i,0.00095059-0.0011996i,3.0764e-05-0.00056928i,-0.00032826+2.2249e-05i,-0.00022784+0.00054583i,-0.00021566+2.6972e-05i,-0.00040965-0.0006847i,-0.00032599-0.00060731i,-7.0391e-05+5.599e-05i,-8.4782e-05+0.00068689i,-0.00063976+0.00058018i,-0.00060395+0.00037741i,-0.00039047+0.00021884i,-8.9876e-05+0.00042349i,0.00016481+0.00087228i,0.0002241+3.4964e-05i,-0.00042647-0.00032079i,-0.00097081+2.4789e-06i
0.00076805+8.6835e-05i,-0.00035009+0.0007188i,-0.0014738+0.0014278i,-0.0016574+0.0015021i,-0.00078121+0.00016559i,0.00045273-0.00099059i,0.00073955-0.0010236i,0.00036092-0.0013293i,-0.00043726-0.00094279i,-0.0010643+4.5048e-05i,-0.00027828+0.0001902i,-5.1337e-05-3.3731e-05i,-0.00035105-0.00012188i,-0.00027946-0.000258i,0.00046792-0.00042793i,0.00074003-0.00050117i,-0.00025659-0.00068832i,-0.00063215-0.0011947i,-0.00011171-0.00070426i,-9.4669e-05+0.00021981i,-0.00054047+0.00053641i,-0.00056404+0.00039045i,0.00037217+0.00033982i
-0.0016401+9.1454e-05i,-0.00045835-0.00028338i,0.001021-0.0005416i,0.0011979-0.00013267i,0.00071219+0.0005762i,0.00031201+2.4976e-05i,-0.00017469-0.001252i,-8.7013e-05-0.001034i,0.00067017+7.46e-05i,0.0011479+0.0004847i,0.00020112-3.2735e-05i,-0.00091782+9.403e-05i,-0.00093875+0.00054671i,-0.00070189-0.00045173i,-0.0005878-0.00067917i,-0.00024162-6.8337e-06i,-0.00027458+0.00015772i,-0.00042059+0.00027187i,-3.0087e-05+8.9425e-05i,0.00043034-0.00024339i,0.00029778+0.00062457i,0.00013622+0.00070622i,7.602e-05+2.6616e-05i
0.0011805-0.00060926i,0.00083121-0.00072447i,0.00075959-0.00046876i,-0.00022484-0.00063057i,-0.0015377-0.00088033i,-0.0013589-0.00063963i,-0.00029479-0.00059827i,-0.00038186-0.00088365i,-0.00011228-0.00075574i,-1.7625e-05+7.7126e-05i,-0.00032455+0.0004363i,-0.00065694-0.00038557i,-0.0010033-0.0013029i,0.00011698-0.0004439i,0.0012446+0.00029441i,0.001159-8.9182e-05i,0.00086323+0.00036481i,0.00091986+0.00070384i,0.00038797+0.00059213i,0.00037707+0.00017428i,0.00026856+0.0001829i,-0.00010392+1.5649e-05i,0.00030167+5.5243e-05i
0.0024609+0.00049149i,0.0016299+0.00019443i,0.00093157-0.00065354i,0.00055263-0.0017848i,-7.4521e-05-0.0019835i,-0.0001045-0.0021198i,-0.00084512-0.001969i,-0.0013179-0.0014927i,-0.00077222-0.0012232i,-0.00028411-0.00070011i,-0.00056518+0.00016492i,-0.00088015+1.6459e-05i,-6.5752e-05-0.00091325i,-0.00026752-0.00057945i,-0.00063901-2.2823e-05i,-0.00016954+0.00072214i,0.00039261+0.00074812i,0.00094497+6.2552e-05i,0.0011344+0.00028508i,0.00047418+0.00050661i,-0.00014529+0.00013358i,-0.00031706+0.00028021i,-0.00025639+0.00092282i
-0.0014231+0.00078633i,-0.001615+0.0011217i,-0.00095233+0.00083247i,-0.00021976+0.0008254i,-4.8744e-05+7.3588e-05i,0.0012358-0.0011398i,0.0018182-0.001524i,0.00072147-0.0019164i,-2.8074e-05-0.0013107i,-0.00038479+2.6325e-05i,3.9644e-05+0.00053202i,0.00067127+0.00012376i,0.00018383-0.00025242i,-0.00037767-0.00044594i,-7.8668e-05-0.00075931i,0.00065551-0.00096493i,0.00022029-9.409e-05i,-8.2778e-05+0.00073876i,0.00015638+0.00060803i,7.8716e-05+9.8e-05i,0.00025421-0.00031728i,0.00017661-0.00030095i,-0.0003313+0.00010463i
-0.00121+0.00096852i,-0.0011179+0.00097358i,-0.00053497+0.00085207i,-0.00069791+0.0007844i,-0.00072499+0.00022782i,-0.00080405-0.00068337i,-0.00065326-0.0012027i,-0.00019145-0.00094032i,-0.00013427-0.00032308i,-0.00044786+0.00096013i,-0.00018281+0.001666i,0.00029209+0.00085887i,0.00026108-0.00020318i,0.0010757-0.00071306i,0.0016114-0.00056844i,0.00087857-0.00044645i,0.00098942-0.00018145i,0.0010371-2.6701e-06i,0.0011438-0.0001164i,0.00056098+7.2905e-05i,-0.00037587+0.00028954i,-0.00019201+0.00046752i,0.00031641+1.9028e-05i
