-0.00017397+0.00024161i,0.0017711-0.00037893i,0.0015236-0.00093934i,-0.00055145-0.0011763i,-0.0023487-3.9624e-05i,-0.0018859+0.0012742i,-0.00042171+0.0016419i,-0.0002701+0.0017124i,0.00062646+0.0017011i,0.00064329+0.0011411i,0.0005795+0.00040092i,0.00023419-0.00066874i,-0.00061518-0.0011616i,0.00022552-0.00062918i,0.0010732+0.00019207i,0.00080719+0.00075411i,0.00049567+0.0004752i,0.00053789-0.00031547i,4.0038e-05-9.2417e-06i,-0.00055365-4.6368e-05i,-0.00040467-0.00034037i,-0.00010351+0.00066937i,0.00018043+0.00049626i
-0.0007437-0.002487i,-0.0018964-0.0012787i,-0.003806-0.00070369i,-0.0041688-0.0010169i,-0.0034049-0.00029023i,-0.0026243+0.00020072i,-0.0015823+0.00012577i,-0.00087241+0.00036505i,-0.00074406+0.00054772i,-0.00064488+0.00032664i,0.00027387-0.00012142i,0.00027478-9.1014e-05i,0.00023184+0.0002083i,0.00056332+7.1421e-05i,-0.00021462-0.00045882i,-0.0012196-0.0011985i,-0.00084347-0.00087741i,-0.00036647+0.00018992i,-0.00054662+0.00027291i,-0.00025157-9.9045e-05i,-5.6892e-05-0.00018734i,-9.8764e-05+0.00024344i,-0.0001328+0.00075068i
0.0018462-0.0011464i,0.00057-0.002478i,-0.0014956-0.0025422i,-0.0026309-0.0012244i,-0.0034817+0.00027175i,-0.0033152+0.00087395i,-0.0016426+0.0011738i,-0.001056+0.0019972i,-0.0015671+0.0017316i,-0.0018994+0.00075785i,-0.0016261+0.00028071i,-0.0012999-8.0183e-05i,-0.0013531+0.00027136i,-0.0011798+0.00045144i,-0.00069161+0.00024124i,-0.00054224-0.00047653i,-0.00019815-0.00071025i,-0.00020689+0.00054517i,-0.00037428+0.00054406i,-0.00031386+2.5274e-06i,-0.00039116+4.3216e-06i,-0.00036688-0.00010513i,0.00014319+0.00019921i
0.0010261+0.0005995i,0.0010964+0.0017232i,0.00034893+0.00093764i,-0.00035612-5.4492e-05i,-0.00089779+0.00012928i,-0.00053152+0.0010046i,-0.00027466+0.0021182i,-0.00099521+0.0023024i,-0.0011426+0.0022808i,-0.00088456+0.0021636i,-0.0016964+0.0016351i,-0.0021422+0.00092096i,-0.0019831+0.00050508i,-0.0016407+0.0010856i,-0.00073572+0.0017379i,-0.00039942+0.001481i,0.00024092+0.00086115i,0.00084762-0.00014821i,0.0004001-0.0002522i,-0.00012401+8.1974e-05i,-0.00025501-0.00013178i,-0.00024441-0.00060286i,-9.9375e-05-0.00022419i
0.00036609-9.6237e-05i,0.00062975+0.0002832i,0.00070545+0.00016304i,-0.00013619-0.00080874i,-0.0012058-0.0012221i,-0.0015996-0.00060241i,-0.00093581+0.00027745i,0.00035152+0.00098732i,0.0015268+0.00051472i,0.00070169+0.00013841i,-0.00064164+0.0010441i,-0.001072+0.0010879i,-0.00076852+8.9054e-05i,-0.00025538+0.00045733i,0.00015871+0.0012541i,0.0009197+0.001443i,0.0013763+0.0010156i,0.00052942+0.00064115i,-0.0001002+0.00051054i,0.00041028+6.4255e-05i,0.0011033-0.00067766i,0.00042763-0.00075944i,-0.00026059-0.00030322i
-0.00091384-0.0027121i,-0.00065606-0.0022431i,-0.0019431-0.0010735i,-0.0020877+0.00045694i,-0.0015407+0.0013202i,-0.0020162+0.00072332i,-0.00074521-1.5777e-05i,0.00074171-0.00025798i,0.00038856-0.00043155i,-0.00016476-0.00042355i,0.00058518-0.00059294i,0.0020127-0.00047546i,0.0033403+4.6112e-05i,0.0030634-1.6752e-06i,0.0012753-0.00049637i,-0.00035857-0.00028202i,-0.001094-8.5525e-05i,-0.00086774-0.00021372i,-0.00028222+0.00011126i,0.00015347+0.0010238i,0.00050979+0.0013656i,6.9875e-06+0.00099494i,-0.00035576+0.00033543i
-0.00025902+0.0018669i,0.00064651+0.0010327i,0.00075663-8.2748e-05i,0.00036814-0.0011754i,0.00054467-0.0018627i,0.0008145-0.0016601i,0.00050242-0.001409i,0.00040661-0.0011596i,0.0010704-0.00061429i,0.0011385-0.00046859i,0.0014901-0.00033468i,0.0019943+0.00015302i,0.0018725+1.7248e-05i,0.0011537-0.000766i,0.00071945-0.0012968i,0.00059372-0.0013059i,-3.9335e-06-0.0012455i,-0.00033812-0.0015202i,-0.00057617-0.0011079i,-0.0012372-0.00045021i,-0.0015797+0.00016634i,-0.00063445+0.00052854i,0.00026038-0.00016784i
0.00084282+0.00046008i,-9.9242e-05+0.0013063i,-0.00028539+0.00063599i,-0.0016989-0.0004656i,-0.0031083-0.0010171i,-0.0028147-0.00080982i,-0.0011888-0.00019734i,-0.00033854+0.00016634i,-0.00046264+0.00026865i,2.8784e-05+0.00015464i,0.00066159+7.1368e-05i,9.5662e-06+0.00065364i,-0.00062852+0.00088185i,-0.0002567+0.00047274i,0.00088238-7.7578e-05i,0.0011064-0.0011468i,0.00036611-0.0010768i,-0.00032611-0.00013223i,-0.00068711-0.0001377i,-0.00087912+4.7576e-05i,-0.00019328+0.00029333i,0.00054446+0.00047049i,0.00018765+0.00039663i
-0.00031116-0.00075157i,0.0010633-0.00097478i,0.00073836-0.00088543i,-0.0013749-0.0012828i,-0.0012139-0.00093658i,-0.00029003+0.00052128i,-0.00079228+0.0012551i,-0.0022847+0.0015328i,-0.0026953+0.0019759i,-0.0017671+0.0017295i,-0.0012387+0.0014529i,-0.0012624+0.0004908i,-0.0021623-0.00047681i,-0.0025186-0.00039762i,-0.00080093+0.00010622i,0.00097559+0.00051754i,0.0017809+0.00087206i,0.00088112+0.00086316i,-0.00043099+0.00067776i,-0.00082932+0.00022367i,-0.00052695-0.0001545i,-0.00035404-0.00070583i,0.00036596-0.00082074i
3.9423e-05-0.0008807i,-0.00055228-0.00094466i,-0.001259-0.0014904i,-0.0021181-0.0013429i,-0.0024026-0.00089693i,-0.0020038+0.00023897i,-0.001779+0.0022689i,-0.0022687+0.0028193i,-0.0025542+0.0020992i,-0.0020975+0.0015859i,-0.0023302+0.0010868i,-0.0024255+0.00022737i,-0.0016302-5.8533e-05i,-0.001385+0.00023356i,-0.0010778+0.00044406i,-0.00075244+0.0012286i,-0.00045055+0.0015565i,0.00034236-0.00027209i,0.00066382-0.0013106i,0.00082736-0.00048924i,0.00089716+0.00032148i,0.0011783+6.7754e-06i,0.0014219-0.00071466i
-0.00065548+0.00028962i,4.4287e-05+0.00088954i,-6.1162e-05+0.0018555i,-0.0011834+0.0026522i,-0.0017484+0.0022634i,-0.0011843+0.0021908i,-0.00029375+0.0011772i,0.00020415+0.00063704i,-0.00021005+0.00042158i,-0.00049807-0.00047186i,-0.00022492-0.0010149i,0.00026912-0.00092935i,0.0012338-0.00099261i,0.001078-0.00075724i,-0.00010709+1.411e-05i,-0.00087426-0.00022373i,-0.00013753-0.00028699i,0.00057424-0.00017662i,0.00081904-0.00045147i,0.00088126+3.0566e-05i,0.00088271+3.0432e-05i,0.0010538+9.1086e-05i,0.00022182+0.00039132i
-0.0023612-0.0026212i,-0.0038478-0.0018363i,-0.0050986-0.00066529i,-0.0053576+1.265e-05i,-0.0042315+0.00081897i,-0.000557+0.0008154i,0.002082-0.00038111i,0.0020342-0.001129i,0.0017642-0.0012427i,0.0010069-0.00043776i,0.00088896+0.00049933i,0.0024023+0.00075124i,0.0031757+0.00029811i,0.0022327-0.00030733i,0.00042942-0.0011977i,-0.00010305-0.0017094i,6.0285e-05-0.0010351i,0.00070775-0.00066772i,0.00083364-0.00039846i,-0.00045635-8.2745e-05i,-0.0010945+2.775e-05i,-0.00020368+0.00034145i,0.00019082+0.00035531i
0.0016673-0.0015532i,0.0022539-0.0021931i,0.001272-0.002235i,-0.00093013-0.0020566i,-0.002141-0.0016703i,-0.0019441-0.0014913i,-0.00028554-0.0012836i,0.0014916-0.00089603i,0.0015193-0.00013613i,0.0011305+0.00094726i,0.0012078+0.0017493i,0.00096393+0.0011257i,0.00043869+0.00097638i,-4.8794e-05+0.0012416i,0.00019549+0.00066014i,0.00055807-0.00045508i,0.00090175-0.00025951i,0.0007257+0.00095117i,8.9571e-06+0.00088379i,-0.00047183-0.00041511i,-0.00040862-0.00095041i,0.00014423-0.00097324i,0.00052428-0.00055574i
-0.00055754+0.00010298i,-0.00056384+0.00025554i,-0.00071261+0.00020573i,-0.0015162+5.0053e-05i,-0.00089141+0.00064666i,-0.00013058+0.00054288i,0.00015612-0.00031284i,-0.00053149-0.00028214i,-0.0012152+0.00034476i,-0.00012083+0.00084875i,0.00029957+0.00054071i,-0.00070757-0.00051768i,-0.0027518-0.0011132i,-0.0034606-0.00055703i,-0.001282-6.0222e-05i,0.00010935+2.36e-05i,0.00016202+0.00048481i,0.00042211+0.0010969i,-0.00021616+0.0010146i,-0.00078868+0.00078831i,0.0002458+0.00044923i,0.0013363+6.8385e-05i,0.00084954+3.1966e-05i
0.0011153+0.0013528i,0.00036425+5.9161e-05i,0.00016812-0.00036831i,-0.00050611-0.00042683i,-0.0019164-0.0011231i,-0.0018214-0.00149i,-0.0019014-0.0006433i,-0.0026575-0.00010165i,-0.002396-0.00068348i,-0.0016314-0.00092087i,-0.0013602-0.00096536i,-0.001515-0.0015564i,-0.0013843-0.0014341i,-0.0011585-0.0011961i,-0.0010357-0.00036267i,-0.0010568+0.001138i,-0.00020275+0.0014136i,0.00063456+0.00054041i,0.00062783-0.00035482i,0.00065705-0.00059959i,0.00099446-0.00017438i,0.00010436+0.00049791i,-0.00018732+0.00056585i
-0.0014155-0.001697i,-0.00064049-0.00067437i,-0.00063453-4.198e-05i,-0.0023106-0.0003815i,-0.0035645-9.1899e-05i,-0.0035782+0.00022715i,-0.0035054+0.00024183i,-0.0035709+0.00046409i,-0.0038861+0.00099269i,-0.002761+0.00087656i,3.6375e-05-0.00071455i,0.0012515-0.0017016i,0.0012764-0.0015716i,0.001572-0.0015356i,0.0012372-0.0011088i,-0.00026575-0.00031416i,-0.0010497+0.00044512i,-3.0856e-05-0.00015812i,0.00078937-0.00081447i,0.0005685-0.00067985i,5.4688e-05-0.00035665i,-0.0002325+0.00045479i,-0.00051721+0.00049849i
-0.0013166-0.00015603i,-0.0024679-6.0941e-05i,-0.0030289+0.00085201i,-0.0019275+0.0011077i,-0.00060139+0.001117i,-3.3002e-05+0.0010825i,-0.0001748+0.0008469i,-0.00056464+0.0012271i,-0.00030577+0.0015819i,0.00018057+0.00052335i,0.00017494-0.00036052i,0.0005319+0.00090699i,0.00081964+0.0021488i,0.00040434+0.00097754i,6.4452e-05-0.00072662i,3.6764e-05-0.0017344i,-0.00043871-0.0014826i,-0.0012108-0.0016747i,-0.00072343-0.0013167i,-0.0001692-0.00032512i,-0.00030557-0.00016693i,-0.00049103+1.1432e-05i,-0.00013835+3.1793e-05i
-0.00013868+0.00016487i,4.0876e-05-0.0017792i,0.00064617-0.0031911i,0.00092349-0.0026669i,0.0001223-0.001433i,0.00057173-0.001718i,0.0016863-0.0014336i,0.0024443+6.9351e-05i,0.0030467+0.00064161i,0.0020276+0.001047i,0.0008602+0.0016698i,0.00058746+0.0021785i,-0.0009381+0.002359i,-0.0013078+0.0012054i,0.00032037+0.00038391i,0.00078935-0.00041055i,-2.6353e-05-0.0011302i,-0.00081727-0.00044454i,-0.00090363+0.00078755i,-0.00071183+0.0011682i,-0.00026372+0.00030115i,-1.6097e-05-0.00027227i,-0.00040272-0.00069304i
-0.0016875-0.0015545i,-0.0021562-0.0020579i,-0.0028062-0.0018508i,-0.0038676-0.00072948i,-0.0042559-0.00036834i,-0.0028374+0.00011856i,-0.00062033+0.00039835i,0.0012604+0.00019962i,0.0021607+0.00045328i,0.00074659+0.00080268i,-0.0010476+0.0011506i,-0.001082+0.00063324i,-0.0016891-0.00038445i,-0.0018769-0.00066131i,-0.00040787+0.00053386i,0.00085604+0.0018846i,0.0011246+0.002447i,0.0011492+0.0022703i,0.0011963+0.001666i,0.00077086+0.00072842i,0.00017713+0.00062768i,8.368e-05+0.0004599i,0.00034145-0.00029264i
0.00024526-9.1963e-05i,0.0020081+0.00022189i,0.0023687+0.0010507i,0.00088195+0.00069347i,-0.00047916-5.4086e-05i,-3.5952e-05-0.00039725i,0.00060249-0.0001594i,0.00061394+0.00060902i,-0.00017097+0.0005883i,-0.0013539-0.00047492i,-0.00016152-0.00093045i,0.00071122-0.0021099i,0.00016941-0.0029956i,-0.00018137-0.0021735i,-0.00053382-0.00060446i,-0.00088839+0.00048004i,-0.00071187+0.0011257i,-0.00022632+0.0009964i,0.00032227+5.7876e-05i,0.0009787+0.0001046i,0.00043888+0.00075434i,-0.00030448+0.00052667i,2.3032e-05+0.0001916i
0.0011662+0.00030334i,0.0010973+0.00022373i,-0.00032057+0.00078176i,-0.0022245-0.00019385i,-0.0033151-0.00073751i,-0.0029713-0.0004321i,-0.0021787-5.0235e-05i,-0.0026968+0.00035685i,-0.0025328+0.00020725i,-0.0007416-0.00061451i,0.0011215-0.0010162i,0.001665-0.001303i,0.0025791-0.0011241i,0.0033223-0.00087122i,0.0020959-0.0014437i,0.00076256-0.0016392i,0.00053991-0.00075502i,0.00061947-0.00012351i,-0.00018656-0.00012581i,-0.00027242-0.0009963i,0.00055667-0.00097141i,0.00046506+0.00016183i,0.00045491+0.00089062i
0.0013088+3.7962e-05i,-0.00082011-0.00059582i,-0.0020063-0.0024251i,-0.0031784-0.0028244i,-0.004055-0.0017781i,-0.0032172-0.00010868i,-0.0019987+0.00077937i,-0.0022306+0.0013755i,-0.0020645+0.0010849i,-0.00079755-0.00052269i,0.00028661-0.0007935i,0.0011255+0.0010267i,0.0021454+0.0028387i,0.0024768+0.0022863i,0.0020474+0.00080587i,0.0013614-0.00028589i,0.00079504-0.00092879i,-0.00016245-0.00071259i,-0.00059806+0.00039965i,-0.00070239+0.00098994i,-0.00095163+0.00040987i,-0.00044566+1.4505e-05i,0.0005935-0.00038568i
0.0027689-0.00076757i,0.0025149-0.0015239i,0.0023127-0.001896i,0.00096391-0.0025054i,-0.00085077-0.0029263i,-0.0015817-0.0026011i,-0.0014272-0.0015653i,-0.00041678+0.00067855i,-0.00052903+0.0023622i,-0.0013612+0.0013384i,-0.0017618-0.00021198i,-0.0023391+0.00021375i,-0.002409+0.001462i,-0.00070625+0.0020105i,0.00060942+0.0013388i,0.00074715+0.0003632i,0.00081319-0.00043717i,0.00075577+8.5916e-05i,0.00061358+0.0009369i,1.007e-05+0.001255i,-0.00029994+0.0013392i,0.00021254+0.00071022i,6.43e-05+0.00046311i
5.1603e-05-0.0021793i,-0.00041028-0.0019986i,-0.00099275-0.0022829i,-0.0032452-0.0023095i,-0.0053037-0.0010624i,-0.0037976+0.00035887i,-0.00055388+0.00047679i,0.0012337+0.00013308i,0.0012807+0.00070381i,-0.0001346+0.0004755i,-0.0011843-0.00026087i,-0.0022554-0.0013297i,-0.003303-0.0018319i,-0.0029093-0.0012344i,-0.0025291-0.00058506i,-0.0023595+2.8316e-05i,-0.0010973+0.00065939i,8.5366e-05+0.0012365i,0.00087502+0.00090336i,0.00016923-0.00026145i,-0.0013226-0.0012119i,-0.00065177-0.00045155i,-0.00020085+0.00077531i
-0.0017775-0.00029511i,-0.0018125+0.00039599i,-0.0010118+0.00052064i,-0.00041384+0.00049521i,-0.00043614+0.0010895i,-0.00021226+0.00095321i,0.0011373+0.00082695i,0.0025426+0.00088817i,0.0030341+0.0011756i,0.0023473+0.0010049i,0.00068408+6.5259e-05i,-7.504e-05-0.0016918i,0.0003348-0.0033802i,7.7579e-05-0.0033485i,-0.0013133-0.0015914i,-0.0020369+9.0441e-05i,-0.00076317+0.00077154i,0.0010061+0.001585i,0.00086855+0.001455i,-5.6813e-05+1.5027e-05i,-0.00046639-0.00073915i,-0.00055965-0.00039941i,-0.00011098-6.3366e-05i
0.0022138+0.00077086i,0.0022985+0.00094139i,0.00095281+0.0011124i,-0.0011384+0.00047089i,-0.0024579+4.7243e-05i,-0.0028383+0.00078156i,-0.0026981+0.001634i,-0.0011856+0.0023907i,0.0007587+0.0011557i,0.0015128-0.00031833i,0.0021635+0.00030986i,0.0031259+0.0012018i,0.0037429+0.00086152i,0.0038865+9.5933e-05i,0.0025092-0.00020976i,0.00079736+0.00049787i,0.00016095+0.00098471i,0.00038894+0.00035197i,0.00080017-0.00030589i,0.00072109-5.7667e-05i,0.00062113-8.5293e-05i,0.00057116-0.0005359i,0.00039776-0.0001076i
-0.00023755+2.8399e-05i,-0.0017373+9.9108e-05i,-0.0030313+4.2626e-05i,-0.0026843+0.00042414i,-0.0026903+0.00035285i,-0.0019967+0.00057187i,-0.00096841+0.0014048i,-0.0014871+0.0011376i,-0.0016179+0.0002995i,-0.00040086+0.00097278i,0.0013639+0.0022567i,0.0024315+0.0032083i,0.0015146+0.00354i,0.0014158+0.0031033i,0.0020831+0.0019827i,0.001285+0.00060257i,0.00077927+5.9882e-05i,0.0005935-0.00013673i,-8.3672e-05-9.6818e-05i,-0.00086179-0.00016227i,-0.00059524-0.00019689i,0.00075914-0.00020783i,0.0013576-0.0002958i
-0.0020527-0.00035726i,-0.0026353+0.00093616i,-0.0029197+0.00057594i,-0.0026846-0.00070689i,-0.0032343-0.00061463i,-0.0026407-0.00065436i,-0.0011385-0.0011493i,-0.0013048-0.0010571i,-0.0017581-0.00077359i,-0.001067+1.022e-05i,-0.00062283+0.00010408i,-0.0023615+4.734e-05i,-0.0032992+0.00081507i,-0.0015633+0.0010055i,0.00012073+0.00053224i,0.00063979-1.9381e-05i,0.00091472-0.00027626i,0.0010596-0.00052668i,0.00023403-0.00082122i,-0.00082931-0.00067418i,-0.00087517-6.0458e-05i,-0.000331+0.00029471i,0.00010233+0.00048646i
0.0014137-0.0018852i,0.00033914-0.0028552i,-0.00084895-0.005181i,-0.002532-0.0064362i,-0.0030891-0.0059505i,-0.001831-0.0039451i,-0.00033804-0.0021631i,0.00056495-0.0012595i,0.00049578-0.0014778i,0.00023736-0.0014973i,-0.00012667-0.0019423i,-0.001665-0.003147i,-0.00305-0.0036096i,-0.0028036-0.0034821i,-0.0026283-0.0018127i,-0.002589-0.00098859i,-0.0012221-0.001023i,0.00021726-0.00083295i,0.00099836-0.00098978i,0.0010318+3.3001e-05i,0.0005192+0.00098266i,-0.00029797+0.0010781i,-0.0010774+0.00096895i
0.001537+0.0025768i,0.0024404+0.0025015i,0.0032805+0.0022864i,0.002374+0.00084442i,0.00051011-0.00038337i,-0.00071317-0.001065i,-0.00095039-0.0014773i,-7.3692e-06-0.0002572i,0.00031554+0.00086847i,-7.3932e-05+0.00032843i,0.00033153-0.0020096i,0.0015142-0.0046441i,0.0014097-0.0049188i,-0.00060112-0.0040745i,-0.0018178-0.0028987i,-0.0016765-0.00094119i,-0.0006853+0.00039696i,3.7069e-05+0.0013109i,0.00023591+0.00084759i,0.00057404-0.00053867i,0.0010853-0.0010352i,0.00083787-0.00069817i,2.4677e-05+0.00024797i
-0.0010932+0.00015751i,-0.00097769+0.00069769i,-0.0015259+0.0015807i,-0.0011149+0.0027022i,-0.0013622+0.0035537i,-0.0013342+0.0032397i,-0.0013997+0.0024101i,-0.00112+0.0015662i,0.0001574+0.0015619i,0.00054394+0.0017661i,0.00049774+0.0013193i,0.0018182+0.00080699i,0.0034771+0.00039115i,0.0032993+0.00018975i,0.0018445-0.00052595i,0.00075157-0.00053059i,-0.00015757+0.00010992i,-0.00036394+0.00062077i,-7.7158e-05+0.00095703i,-0.00019037+0.00047147i,8.7011e-05-2.5755e-05i,-0.00054628-0.00049359i,-0.0011925-0.0007496i
2.7716e-05+0.00048209i,-0.00099864+0.00023711i,-0.0015927+0.00015421i,-0.0019376+0.00071636i,-0.003017+0.0012029i,-0.0025954+0.0014074i,-0.0011914+0.002889i,-0.0009403+0.0045644i,-0.00054243+0.0041637i,0.00020087+0.0032814i,0.00089111+0.0035068i,0.0011946+0.0047195i,0.00035482+0.0054085i,0.00016619+0.0049885i,0.0015105+0.0029687i,0.0020822+0.00081069i,0.0017019+0.00059873i,0.001066+0.00048655i,0.00023066-0.00054944i,-7.4289e-05-0.001459i,-0.00021585-0.00070874i,0.0004611+0.00074014i,0.001353+0.00060415i
0.0009545+0.00069504i,0.0013604-0.00025415i,2.3751e-05-0.0017123i,-0.0025049-0.0024474i,-0.0037432-0.0024551i,-0.0029601-0.0015314i,-0.0017219+0.00080579i,-0.00074952+0.0026816i,-0.00039156+0.0024924i,0.00028402+0.0024379i,0.00028615+0.0018639i,-0.0010909+0.0015011i,-0.0026741+0.0022827i,-0.002388+0.0025098i,-0.0004538+0.0019747i,0.00023862+0.0017035i,-1.3195e-05+0.00076476i,0.00014749-0.00062461i,-3.9219e-05-0.00075571i,-0.00072477-6.0226e-05i,-0.00020527+0.0002868i,0.00060192+0.00011437i,0.00024759-0.0006634i
0.0014001+0.0023414i,0.0015897+0.001731i,0.0013498-6.0574e-05i,-0.00048859-0.0028587i,-0.0017086-0.0042058i,-0.0015036-0.0029265i,-0.0004707-0.0018891i,0.00010601-0.0020601i,0.00043459-0.00093943i,0.00045862-0.00031972i,4.6201e-05-0.0016027i,-2.344e-06-0.0033554i,-0.00057787-0.0046385i,-0.0007248-0.0043929i,-0.00040865-0.0025453i,-0.00050388-0.00088541i,8.3562e-05-0.00029238i,0.0011494-0.00012499i,0.0010171-0.00018135i,0.00065063-0.00061752i,0.00081283-0.00051538i,0.00059321-0.00027484i,-0.00018037+0.0003566i
0.0012288-0.00058492i,0.0012361-0.0024761i,0.0015745-0.0037994i,0.00087531-0.0040177i,-0.00019725-0.0030512i,0.00013008-0.0017749i,0.00038353-0.0020511i,0.00069215-0.0023232i,0.0007335-0.0025375i,0.0005979-0.0034616i,0.001441-0.0037461i,0.0027869-0.0042578i,0.003862-0.00447i,0.0033119-0.0042219i,0.0013188-0.0032707i,-1.6939e-05-0.0016788i,-5.8483e-05-0.00098815i,0.00015873-0.00025884i,0.0003523+0.00052964i,0.00062783+0.00044141i,0.00036973+0.0005419i,-0.00032851+0.00047247i,-0.00089579-0.00080004i
-0.00045068+0.00079941i,-0.00059976+0.0010918i,0.00054939+0.0022176i,0.0002413+0.0013167i,-0.00066871-0.00074144i,-0.0014317-0.0014016i,-0.0013537-0.0017198i,-0.00062217-0.0021177i,-0.0015349-0.0019056i,-0.0023708-0.0012847i,-0.0015797-0.00020656i,-0.00040873+0.00074699i,0.00073894+0.00049265i,0.0015094+0.00024873i,0.001263+0.00023934i,0.0012985+2.8723e-05i,0.0011139+0.00035521i,3.9617e-05+0.00064869i,-0.00091756+0.00068361i,-0.00040999+3.5294e-05i,0.00010126-4.0739e-05i,5.6761e-05+0.00062932i,3.5728e-05+0.00037101i
0.0021903+0.0010815i,0.0029775-0.0002808i,0.0026359-0.00035487i,0.00056256+0.00028863i,-0.00085196+0.00035723i,-0.0013109+0.00048388i,-0.0027945+0.0022052i,-0.003263+0.003947i,-0.0025399+0.004179i,-0.0027259+0.0039872i,-0.0030868+0.0044744i,-0.0032155+0.0046964i,-0.0031163+0.0038683i,-0.0018049+0.0032561i,-0.0003739+0.002805i,0.00016146+0.0022831i,0.00052752+0.00143i,0.00057935+0.00038397i,-0.00018125+0.00029288i,-0.00077173+1.1482e-05i,-0.00023366-0.00053435i,0.00036527-7.2837e-05i,0.00051457+0.00025057i
-0.0028814-0.0008962i,-0.0038416+0.00089023i,-0.0051067+0.0015928i,-0.00504+0.001336i,-0.00461+0.0026811i,-0.0030014+0.0041042i,-0.001625+0.0048991i,-0.0020018+0.0057139i,-0.002115+0.0058638i,-0.0015276+0.004889i,-0.0018133+0.0032345i,-0.0027938+0.0017896i,-0.0031424+0.0011202i,-0.001789+0.0012895i,-0.00055972+0.00057666i,-0.0011972+6.1371e-05i,-0.0014353+0.00051591i,-0.0012713+7.8224e-05i,-0.00065513-0.00058086i,-0.00011308-0.00029719i,-3.9218e-05-0.00015196i,0.00021048-0.00045795i,0.00035671+0.00016204i
0.0018874-0.00047521i,0.0021315-0.0020845i,0.00097462-0.0022925i,-0.0015116-0.0034121i,-0.0025709-0.0039304i,-0.0010139-0.0017869i,0.00071951+0.0013598i,0.001137+0.0027801i,0.0018776+0.0029786i,0.0029859+0.0017867i,0.003754-0.00015507i,0.0028813-0.001479i,0.0013742-0.0028915i,0.0012593-0.0019673i,0.0001827-0.00052786i,-0.00033266-0.00081002i,1.0387e-05-0.00032388i,-0.0004997-9.1164e-05i,-0.00066505-0.0007714i,-0.00070972-0.00077567i,-0.00068186-0.00019196i,-0.00016972+9.7579e-05i,0.00016234-0.00015685i
0.00019603+0.0020291i,0.0011347+0.00066441i,0.00031195-0.0014425i,-0.0013118-0.0029228i,-0.0018988-0.0039196i,-0.0011792-0.0034298i,0.00061905-0.0031779i,0.0023919-0.0027472i,0.0020502-0.002144i,0.0014759-0.0025307i,0.0028637-0.0023312i,0.0045091-0.00088488i,0.0049471-0.0008461i,0.003766-0.0018067i,0.0022647-0.0013405i,0.00081781-0.00038827i,-3.962e-05-0.0002627i,0.00055123-0.000157i,0.00090855-0.00020223i,0.00043061-0.0011245i,0.00051469-0.001181i,0.00071336-0.0007057i,0.00025169-0.0012867i
-0.00056674+0.0015046i,0.00010838+0.00043621i,0.00081297-0.0001825i,0.00049724-0.00079329i,-0.00029261-0.00077527i,8.8749e-05-0.0011432i,0.0013282-0.0030275i,0.0014173-0.0051452i,0.00097309-0.005977i,0.00087467-0.0041583i,0.00027822-0.0014856i,0.00024703+0.00027082i,0.0014976+0.0012871i,0.0021571+0.00079448i,0.0014474-0.00013525i,0.0014777+0.00013509i,0.0023507+0.00046694i,0.0016898-0.00015123i,0.00058359-0.00047594i,-8.6078e-05+0.00021249i,-0.00044927+0.0010961i,-5.95e-05+0.00041966i,0.00074421-0.0008425i
0.0026643+1.7311e-05i,0.0018477-0.001558i,0.0013369-0.0017274i,0.00078874-0.00022693i,-0.0004988+0.00030186i,-0.0014738+0.00021574i,-0.0023639-0.0010438i,-0.0024111-0.0021494i,-0.0017647-0.0017888i,-0.0026809-0.0016822i,-0.0040524-0.0013915i,-0.0041632-0.00025387i,-0.0039388+0.0010652i,-0.0025716+0.00054716i,-0.00073655+0.00031229i,-3.8723e-06+0.0011093i,0.00066629+0.0013291i,0.0008451+0.00085732i,0.00097797+0.00078465i,0.0013321+0.00075915i,0.00060452+0.00073882i,-0.00052292+0.0010294i,-0.00038201+0.0004466i
0.0031914-0.00074921i,0.0025703-0.0019232i,0.0007045-0.0030108i,-0.0013251-0.0023i,-0.0035094-0.00099999i,-0.0041023+0.00041132i,-0.0037689+0.0022328i,-0.0039373+0.0042616i,-0.0042295+0.0044167i,-0.0030926+0.0025918i,-0.0019709+0.0012835i,-0.0023084-0.00082534i,-0.0028821-0.0018586i,-0.0025584-0.00056262i,-0.0014771+0.00037066i,-0.0010003+0.00047841i,-0.00075828+0.00099157i,-0.00079158+0.0011762i,-0.00026243+0.00092305i,0.00061028+0.00072772i,0.0010181+0.00033021i,0.00062138+2.516e-05i,-0.00028721+0.00025104i
0.001033-0.00076713i,-0.0013341-0.00013908i,-0.0035744-0.00070976i,-0.0051967-0.0022875i,-0.0062534-0.0022119i,-0.0056926-0.00034419i,-0.0036968+0.0016116i,-0.0024821+0.0053157i,-0.0014423+0.0083014i,0.0010579+0.0070688i,0.0032574+0.0038335i,0.0031821+0.00086372i,0.0014583-0.00040477i,0.0010251+0.00029721i,0.0013343+0.00052572i,0.00085635+0.00023406i,-0.00022651-0.00047343i,-0.0017967-0.00052164i,-0.0017306+0.000401i,-0.00020343+0.0009729i,0.00014898+0.0010682i,-0.00029557+0.00014038i,0.00026382-0.00101i
