-0.0016956+0.0016275i,9.409e-09+0.0011195i,-0.00057986+0.0010373i,-0.0011264+0.00154i,-0.0010366+0.0028092i,-0.0001074+0.0033172i,0.00057264+0.0028911i,-0.00015509+0.00161i,-6.6367e-05+0.00022689i,-0.00019973+0.00017963i,1.8297e-05+0.00048553i,7.2033e-05+0.00019898i,-0.0003729+0.00015054i,-0.00093424+0.00028532i,-0.00072301+0.00052094i,-0.00017492+0.00059846i,6.65e-05+0.00057651i,-1.6941e-05+0.00024552i,0.0003358-0.00020204i,0.00036398-0.00019527i,-0.00034951-0.00041481i,-0.001065-0.00032367i,-0.001184+0.00045284i
-0.0032635+0.001262i,-0.0042534+0.0026235i,-0.0063957+0.0023048i,-0.0087445+0.00055402i,-0.0088985-0.0011724i,-0.0062921+0.00027754i,-0.0026803+0.0022574i,0.00027696+0.0032631i,0.0017483+0.0031291i,0.0016321+0.0023502i,0.0011331+0.0011236i,0.0015114+0.00026605i,0.0015831-0.00041632i,0.001204-0.00082627i,0.00074877-1.2978e-05i,0.00034036+0.00081958i,0.0004618+0.001214i,0.00052095+0.0013569i,0.0002985+0.0010288i,-7.0945e-05+0.0001841i,0.00049484+0.00022745i,0.0010109+0.00077108i,0.00055258+0.00036854i
-0.00036459-0.0016904i,-0.0032991-0.0010141i,-0.0053965+0.00090588i,-0.0084002+0.0040206i,-0.010227+0.0053837i,-0.007552+0.0038974i,-0.001829+0.002086i,0.0020626-1.464e-05i,0.0033774-0.0022606i,0.0036663-0.0031586i,0.0031022-0.0023887i,0.0021882-0.0016471i,0.0013096-0.0013411i,0.0011333-0.00092494i,0.0011666-0.00074577i,0.00061259-0.0012909i,0.00083632-0.00093325i,0.00074272-0.000231i,0.00050196-2.9555e-05i,0.00075328+0.00079135i,0.00029632+0.0011832i,0.00015561+0.00061223i,0.00029087+0.00047673i
0.0010503+0.00097909i,0.0021588+0.0016929i,0.0026912+0.0043004i,0.0017486+0.0065147i,-0.00046366+0.0068029i,-0.00066378+0.0046631i,6.9808e-05+0.00087452i,-6.1886e-05-0.0031475i,-0.00069208-0.0058873i,-0.0010101-0.0056272i,-0.00054912-0.0043048i,-0.00081334-0.0032311i,-0.00037061-0.0022301i,0.00015711-0.0015437i,-0.00019494-0.0010221i,-0.00028597+0.00017014i,0.0002038+0.00092578i,0.0001646+0.00043115i,-0.00025943+0.00028578i,0.00016958-0.00012926i,0.00054283-0.00074551i,0.00031639-0.0011799i,-0.00020504-0.00098947i
0.0016568+4.1671e-05i,0.0018468+0.0010978i,0.0032584-0.00022891i,0.0058433-0.0009906i,0.0057846+0.0011362i,0.0034468+0.0019266i,0.00088033+6.1208e-05i,-0.0032034-0.0023319i,-0.0058683-0.0038753i,-0.0053697-0.0039215i,-0.0043624-0.0027627i,-0.0034674-0.0008147i,-0.0022104-0.00049874i,-0.001397-0.00049906i,-0.0016+0.00014944i,-0.0015315+0.00038539i,-0.0010278+0.00043331i,-0.00071971+0.00024921i,-0.00066578+0.00041357i,-0.001027+0.00060926i,-0.0017826-0.00012715i,-0.0013742-0.0010251i,-6.7508e-05-5.52e-05i
-0.0029733+0.0026163i,-0.0026952+0.0019655i,-0.00087041+0.00087703i,0.0033416-0.0025508i,0.0061624-0.0041335i,0.0042635-0.0036048i,-0.00042679-0.002533i,-0.0042175+0.000105i,-0.0060344+0.0026432i,-0.0063531+0.0026027i,-0.0051337+0.00099862i,-0.003222+0.00079299i,-0.0023476+0.00092267i,-0.0022958+0.00047732i,-0.0019528+0.0002887i,-0.0011705+0.00032619i,-0.00031376+5.3406e-06i,-0.00014101-0.00018591i,-0.00014292-0.00073396i,-0.00018851-0.001078i,-0.00040641-0.00060632i,-0.0012337-0.00086519i,-0.0017913-0.00052839i
-0.0022493+0.00035513i,-0.0027783-0.00012911i,-0.00454-0.0013285i,-0.0063041-0.0039304i,-0.0057311-0.0052121i,-0.0043126-0.002845i,-0.0029351+0.00057592i,-0.00089775+0.002601i,0.00022943+0.0030706i,0.00013094+0.0033057i,-0.00036117+0.0027629i,-0.0005498+0.0014929i,-0.00041208+0.00093171i,-0.00049972+0.00082232i,-0.00031831+0.0011913i,0.00080331+0.00052402i,0.00073178-0.00064137i,0.00012823-0.00045302i,3.406e-05+5.4305e-05i,1.9904e-05+0.00056954i,4.2025e-05+0.0012295i,-0.00014856+0.0010371i,-0.0002271+0.00033799i
-0.0014624+0.0010144i,-0.0026043+0.0025348i,-0.006431+0.0041475i,-0.011022+0.0040087i,-0.011705+0.0024627i,-0.0075926+0.0023832i,-0.0017039+0.00235i,0.0023506+0.00096437i,0.002922+0.00029775i,0.0017178+0.00083573i,0.0014393+0.0011874i,0.0015853+0.00020565i,0.0008232-0.00071057i,0.00013741-0.0010827i,0.00046532-0.00086237i,0.0011071-0.00075932i,0.00085045-0.00092728i,0.00022-0.00063348i,0.00027048-0.00064442i,0.00073327-0.000385i,0.00059164-0.00011813i,0.00017976-4.706e-05i,0.00096434+0.00025559i
-0.0026212+0.0017946i,-0.0015993+0.0040957i,-0.00038613+0.0085895i,-0.00074243+0.012335i,-0.0026984+0.011718i,-0.0024208+0.0081896i,-0.00010333+0.0035507i,0.0016711-0.00088077i,0.0016605-0.002977i,0.0015076-0.002525i,0.0019776-0.0022149i,0.00203-0.0022833i,0.0011563-0.0024478i,0.0006983-0.0026732i,0.00084518-0.0025812i,0.00065581-0.0023807i,-0.00045058-0.0010176i,-0.0011709+4.971e-05i,-0.0006727-9.3647e-05i,-0.00032583-0.00061851i,0.00025981-0.0011724i,0.00071689-0.0014946i,0.00055863-0.0013748i
-0.001321+0.002662i,0.00081233+0.0022095i,0.0047601+0.0033518i,0.0078062+0.0060917i,0.0074174+0.0071889i,0.0042339+0.0046147i,0.0017337+0.00087056i,-0.00055119-0.0019926i,-0.0028021-0.0040554i,-0.0031766-0.0049237i,-0.0018067-0.004171i,-0.00098148-0.0028654i,-0.00031623-0.0012113i,9.4033e-05-0.00015731i,0.00016713+0.00022079i,-0.00037746+0.0007468i,-0.0010804+0.00062834i,-0.00026062-0.00034042i,0.00046824-0.00016124i,-0.00034649+0.00018985i,-0.00074662+0.00022192i,-0.0011674-4.357e-05i,-0.0015001-0.00093631i
-0.00013265-0.00026613i,0.00042633-0.00221i,0.0034827-0.0053738i,0.0069554-0.0075643i,0.0067868-0.0061219i,0.0037638-0.0037401i,0.0012845-0.0033291i,-0.001233-0.0030674i,-0.0032294-0.0023327i,-0.0037838-0.0022055i,-0.003946-0.0016624i,-0.0035177-0.00075361i,-0.0021094-0.00022382i,-0.00041968+0.00029248i,-1.4115e-05+0.001261i,7.5459e-06+0.002114i,-0.00035212+0.002154i,-0.0011321+0.00094931i,-0.00041923+0.00054219i,0.00025062+0.0014399i,-0.00023462+0.0011809i,-0.00041615+0.00079576i,-0.00052206+0.00074098i
-0.0018886+9.2027e-05i,-0.0019911+0.00033482i,-0.0035189-0.0018076i,-0.0057739-0.0076575i,-0.0047929-0.0095376i,-0.0028444-0.0062888i,-0.0024975-0.0022899i,-0.0026291+0.00051123i,-0.0029965+0.00108i,-0.0033279-0.00019588i,-0.002968+6.3187e-05i,-0.0018737+0.0011807i,-0.00019459+0.001414i,0.0010118+0.0013313i,0.0013312+0.0013525i,0.001405+0.0011542i,0.0014549+9.8864e-05i,0.0013578-0.00086862i,0.0014139-0.00071576i,0.00062917-0.00022303i,-0.00087628+0.00064592i,-0.0014564+0.00077016i,-0.0010727+0.00067707i
0.00051155+0.0020612i,-0.00078751+0.0033006i,-0.004152+0.0018847i,-0.010544-0.0011766i,-0.013965-0.0028702i,-0.011221-0.00077143i,-0.0066872+0.0018103i,-0.0029303+0.0017386i,-0.00082631+0.00095058i,-0.00088394+0.001334i,-0.0014546+0.0017862i,-0.00095507+0.0018141i,-0.00097144+0.0016566i,-0.00099819+0.00082948i,-0.00051509+1.9781e-06i,0.00050176-0.00058093i,0.00029611-0.0010761i,-0.00097208-0.0013591i,-0.0008022-0.00075451i,8.6155e-05+0.00024938i,0.00058425+0.0010998i,0.001208+0.0017257i,0.0015101+0.0011198i
-0.00027089+0.0013117i,-0.0015615+0.0034875i,-0.0038297+0.0081515i,-0.0074387+0.012199i,-0.0097435+0.011942i,-0.0082769+0.0096408i,-0.0038032+0.0067032i,0.00055889+0.002772i,0.0019928-0.00029603i,0.0016438-0.0010075i,0.0011157-0.00053447i,0.00076816-0.00056413i,0.00022117-0.00074677i,-0.0001042-0.00085931i,-0.00026086-0.0012072i,-0.00058197-0.0019869i,-0.00051997-0.00181i,-0.00076426-0.00082322i,-0.00052654-0.00035849i,0.00021867-0.0005652i,0.00016013-0.0013147i,-0.00023932-0.0017886i,7.5836e-05-0.0012075i
-2.2888e-05-0.0010797i,0.0012626+0.0013114i,0.0042848+0.0055055i,0.0060386+0.0098828i,0.005053+0.011317i,0.0043767+0.0093179i,0.0039442+0.0057822i,0.002459+0.0013837i,0.00059391-0.0026629i,0.00038012-0.0033391i,0.0010769-0.0022498i,0.00065736-0.0015059i,-0.00056284-0.0012715i,-0.000619-0.00043048i,-0.00038455+0.00094234i,-0.00082006+0.00083069i,-0.0013588+0.00027079i,-0.001247+0.0011211i,-0.00036773+0.0017536i,0.00027862+0.00088073i,0.00042344-0.00072143i,0.00086517-0.0013563i,0.00076827-0.00074777i
0.0021667-0.0017087i,0.0026934-0.0020673i,0.0067549-0.0036345i,0.012382-0.004996i,0.013078-0.0036236i,0.0089626-0.0020756i,0.0039952-0.0018382i,0.00018668-0.0019632i,-0.0015473-0.00201i,-0.0013679-0.0032312i,-0.0011176-0.0040848i,-0.0015385-0.0030359i,-0.0012886-0.001912i,-0.00019925-0.0005483i,0.0001092+0.0013401i,-0.00022445+0.001623i,1.4631e-05+0.0013949i,-0.00018151+0.00081299i,-0.00051916+0.00015301i,-0.00043893-0.00034384i,-0.00086448-0.00080534i,-0.00096962-0.00020055i,-0.00075573+0.00072968i
-0.00060129-0.0015676i,-0.0012761-0.0026032i,-0.0027359-0.0084054i,-0.0029141-0.013795i,-0.0021842-0.014897i,-0.0019707-0.010905i,-0.0020428-0.0060859i,-0.0023187-0.0033174i,-0.0031307-0.0016909i,-0.0033159-0.0017983i,-0.0040786-0.0017779i,-0.0034288-0.00089379i,-0.00079356-0.00029402i,0.00047366-4.3657e-05i,0.00085612+0.0012184i,0.0017271+0.0019298i,0.0025843+0.00068286i,0.0025741-0.00084558i,0.00091154-0.0010467i,-0.00088354-6.3194e-05i,-0.00096503+0.00114i,-0.00030229+0.0013895i,6.1925e-05+0.00098176i
-0.001756+0.00011492i,-0.0049959-0.00092231i,-0.010779-0.0027314i,-0.016615-0.0056098i,-0.017195-0.0060524i,-0.012636-0.0029583i,-0.007374-0.00071498i,-0.0034624-0.00076641i,-0.0022227-0.00082162i,-0.0030507-0.00018944i,-0.0027683+0.00030375i,-0.00089118+0.00043902i,6.1173e-05+0.00037813i,-0.00015104-0.00038997i,0.00046256-0.0013421i,0.0015164-0.0018879i,0.0011425-0.0021833i,0.00032351-0.0019498i,-0.0002584-0.0014906i,-0.0011087-0.00018271i,-0.0013399+0.0016917i,-0.00068932+0.0018278i,-0.00022119+0.00043258i
-0.0013695+0.0017432i,-0.002554+0.0032668i,-0.0054116+0.0077836i,-0.010513+0.011943i,-0.013427+0.011993i,-0.011445+0.009086i,-0.007157+0.0054226i,-0.003348+0.0022714i,-0.001094-0.0003179i,-0.00086085-0.00081822i,-0.00084339+0.0003791i,0.00027103+0.00029228i,0.00056636-0.0004144i,0.00015345-0.00094255i,-0.00025378-0.0015705i,-0.00074902-0.001912i,-0.0012141-0.0012852i,-0.0016794-0.00064138i,-0.0013947-0.00055402i,8.616e-05+0.00010423i,0.00032746+0.00083195i,2.1944e-05+0.00040422i,0.00050301+4.1833e-05i
0.00065401+0.00049i,0.0021098+0.0027597i,0.0039673+0.0077928i,0.0041676+0.014798i,0.0022636+0.016996i,0.00055831+0.013629i,0.0006647+0.0089573i,0.00054868+0.0037904i,-0.00020498-0.00026462i,0.00050949-0.00061609i,0.0015685+0.00018421i,0.0013314-0.00034385i,0.00030658-0.0006543i,-0.00044909+0.00014226i,-0.00060385+0.0001538i,-0.00041092-0.00012801i,-0.00054952+0.00022453i,-0.00079047-7.9904e-05i,-0.00045273+6.5382e-05i,9.849e-05+0.00041066i,0.00076897-0.00043145i,0.00085633-0.0011286i,0.00032019-0.0011456i
-0.00017167-0.00018625i,0.0015932-0.00072986i,0.0080323-0.0014169i,0.014603-0.0018167i,0.014505-0.00013257i,0.011013+0.0016688i,0.0078291+0.0021611i,0.0036655+0.00071475i,0.00033866-0.0013942i,-0.00017811-0.002759i,0.00032662-0.0029535i,-0.00016998-0.0026596i,-0.001283-0.0024193i,-0.001431-0.0012924i,-0.00045277+0.00070679i,8.7706e-05+0.0018471i,7.3682e-05+0.0016917i,0.00052721+0.0017147i,0.00085433+0.0012852i,0.00038214+0.00023869i,-0.00028669-0.00017279i,-0.00038022-0.0001298i,5.674e-06-0.00066959i
-0.00050933-0.0030758i,-0.00028427-0.0038995i,0.0014561-0.0091502i,0.0042068-0.015432i,0.0067735-0.015664i,0.0054662-0.010782i,0.0034018-0.0070683i,0.0018874-0.0054351i,-0.00064879-0.0036977i,-0.0018362-0.003784i,-0.002198-0.0043097i,-0.0023688-0.0029082i,-0.0015762-0.0019679i,-0.00073775-0.0014865i,0.0004205+0.00020712i,0.0019474+0.0014361i,0.0023595+0.00071017i,0.0017818-5.5163e-05i,0.0012887-0.00025241i,0.00012967-0.00016601i,-0.0016757-0.00022307i,-0.0018876+0.00056364i,-0.0010667+0.0008034i
-0.00026173-0.0023041i,-0.0043372-0.0033705i,-0.010596-0.0074256i,-0.016147-0.012064i,-0.015808-0.01327i,-0.011137-0.009986i,-0.0064908-0.0061929i,-0.0041389-0.0036763i,-0.002999-0.0020891i,-0.0031437-0.0017007i,-0.0035152-0.00068806i,-0.002331+0.00070676i,-0.0009924+0.0011507i,7.4712e-05+0.00052032i,0.0010342+4.7346e-05i,0.0014524-0.00027017i,0.0013507-0.0013108i,0.0010701-0.0023023i,0.00065393-0.0020948i,9.5759e-06-0.00020002i,-0.00077776+0.0011556i,-0.00054696+0.00050829i,0.00016278+4.4826e-05i
-0.001538+0.0013404i,-0.002971+0.003977i,-0.0091061+0.0085199i,-0.017363+0.0094958i,-0.020416+0.0073482i,-0.017071+0.0054331i,-0.01212+0.0034674i,-0.0081805+0.0012579i,-0.0047599+0.00084499i,-0.0033383+0.0014634i,-0.0021203+0.0020618i,0.00038149+0.001708i,0.00077952+0.00126i,-0.00019582+0.0013463i,-0.00052617+0.00031107i,-0.0011155-0.0010125i,-0.0024212-0.0011491i,-0.0026614-0.0011248i,-0.0018137-0.00093867i,-0.0012497+0.00044876i,-0.0002974+0.0016753i,0.00080352+0.0016759i,0.00061694+0.00083089i
0.00013993+0.0015457i,0.00058292+0.0052964i,0.00039815+0.012288i,-0.00034397+0.019044i,-0.0029442+0.020467i,-0.005147+0.016502i,-0.0046269+0.011895i,-0.0033173+0.0068378i,-0.0020955+0.001941i,-0.00021828+0.00016012i,0.001252+0.0008941i,0.0016365+0.001799i,0.0014469+0.0024155i,0.00020888+0.0022379i,-0.0013716+0.0014712i,-0.0022462+0.00053196i,-0.0025684+2.4499e-05i,-0.0029091+0.00036764i,-0.0023269+0.00029838i,-0.00057723+0.00089121i,0.00085119+0.00096427i,0.00086688-2.076e-05i,0.00056991-0.00017893i
0.00052889-0.0014656i,0.003432-0.00043291i,0.010895+0.003352i,0.018216+0.0080005i,0.017608+0.0099663i,0.012344+0.00879i,0.0087142+0.0069854i,0.0054025+0.0040361i,0.0023548+0.00018784i,0.001826-0.0014523i,0.0025255-0.001356i,0.0022217-0.00074684i,0.0016918-0.00094749i,0.0013531-0.00063593i,0.0014577+0.00012201i,0.0009358+0.00025247i,0.00026326+0.0010573i,0.00047727+0.0021734i,0.00057298+0.0014036i,0.0010276+0.00026517i,0.0012206+7.4698e-05i,2.6051e-05+0.00022586i,-0.00050913+0.00025747i
-0.00017046-0.0044363i,0.0020527-0.0065419i,0.0054905-0.011821i,0.010582-0.015955i,0.012808-0.014721i,0.010095-0.010225i,0.0080069-0.0070854i,0.0064166-0.0050085i,0.0029229-0.0034628i,0.00083797-0.0038699i,0.00030735-0.0037663i,-0.00018107-0.0020951i,-0.00047574-0.0020268i,-0.00020467-0.0022748i,0.00096374-0.0013073i,0.0018893-0.00049508i,0.0026779+0.00012228i,0.0026869+0.00051057i,0.0012598+0.00015556i,4.6362e-05+7.1868e-05i,-0.00076192+0.00073374i,-0.0011498+0.00058353i,-0.0007904-0.00027416i
-0.0018701-0.0012158i,-0.0038784-0.0025169i,-0.0076419-0.0088647i,-0.010915-0.016716i,-0.010425-0.018958i,-0.007094-0.015795i,-0.0035218-0.01145i,-0.0012213-0.0089058i,-0.0014002-0.0062209i,-0.0027459-0.0042423i,-0.0039241-0.002849i,-0.0043764-0.0015291i,-0.0044143-0.0017676i,-0.0029177-0.0021582i,-0.00085199-0.0017335i,0.00032265-0.0015322i,0.0010687-0.0022999i,0.0010278-0.0027668i,0.00034029-0.0015688i,-0.00075165-3.7861e-05i,-0.0014711+0.00071545i,-0.0013266+0.00059981i,-0.00062569+0.00026438i
0.001219+0.0034035i,-0.0025838+0.0033238i,-0.010327+0.0043299i,-0.019616+0.0035464i,-0.023109+0.00031764i,-0.019454-0.0012774i,-0.014681-0.0010464i,-0.0095877-0.0014458i,-0.0049653-0.0023162i,-0.0037222-0.0019089i,-0.0038687-0.00043871i,-0.0033212+4.8164e-05i,-0.0030035-0.00014158i,-0.0025335+0.00016186i,-0.0019655+0.00056959i,-0.0012762+8.1206e-05i,-0.0011378-0.00066989i,-0.0016357-0.0010148i,-0.0016343-0.0007432i,-0.00063451+0.00056837i,0.00015434+0.0014453i,7.7741e-05+0.00066869i,-0.00023376+0.00047054i
0.0022539+0.0021757i,0.0015925+0.0044797i,-0.001494+0.011326i,-0.0062424+0.019693i,-0.0099987+0.021876i,-0.010712+0.0176i,-0.0095781+0.012873i,-0.0075122+0.0085214i,-0.00508+0.0032159i,-0.0035176+0.0013673i,-0.0020815+0.0020339i,-0.00063107+0.0011737i,-2.6255e-05+0.0006065i,-7.1098e-05+0.0012477i,-1.7393e-05+0.00060377i,-0.00059217-0.00012898i,-0.001747-0.00026503i,-0.0018441+0.00088291i,-0.0013919+0.0017151i,-0.00093624+0.0015491i,5.1471e-05+0.0010023i,0.00073525+0.00052358i,0.00050812+0.00034605i
-0.0010039+0.0018396i,0.0022184+0.00422i,0.0099574+0.010194i,0.017399+0.016402i,0.017934+0.018028i,0.012518+0.015706i,0.0075362+0.012877i,0.003884+0.0096401i,0.00076094+0.0057422i,0.00010662+0.0026192i,0.0016717+0.00094118i,0.0027129+0.00056613i,0.0025171+0.00074115i,0.0015112+0.00067225i,0.00042813+0.00056066i,-5.6813e-05+0.00046378i,3.3295e-05+0.00022973i,0.00035476+0.00038543i,-0.00019377+0.00078851i,-0.00047353-0.00010551i,-0.00034467-0.0011219i,-0.0003676-0.00063882i,4.8201e-05+0.0003255i
-0.00025077-0.0015969i,0.002193-0.003677i,0.0094519-0.0076623i,0.018149-0.010684i,0.021179-0.0099773i,0.017574-0.0071314i,0.01397-0.0037091i,0.011368-0.0011512i,0.0067108-0.00047455i,0.0036552-0.0012173i,0.0030411-0.001896i,0.0026025-0.00069364i,0.0024136+0.00060765i,0.002431+7.5719e-05i,0.0013998-0.00077872i,0.000395-0.0004892i,0.00042063+0.0003115i,0.0013243+0.0013049i,0.00135+0.001104i,0.00057211-0.00036538i,2.2302e-05-0.00065844i,-0.00060216-0.00028228i,-0.00082066-0.00055395i
0.0010292-0.0010676i,-7.9226e-05-0.0055454i,-0.0013498-0.014277i,-0.0030087-0.023705i,-0.0039189-0.025676i,-0.0031222-0.020281i,-0.00085689-0.015417i,0.0011678-0.011611i,0.0018154-0.0075931i,0.00078815-0.0053903i,-0.0001379-0.0039801i,-0.00078382-0.0021886i,-0.00062727-0.0009468i,0.00039161-0.00080225i,0.00094767-0.00071131i,0.0017791-0.00058898i,0.0015508-0.0013321i,0.0010509-0.0012395i,0.00066304-0.00077198i,0.00010942-0.00094778i,-0.00045912-4.7632e-05i,-0.00084862+0.00068283i,-0.001299-0.00025445i
-0.00035326+0.0021951i,-0.0036627+0.0014452i,-0.012741-0.00050465i,-0.023573-0.004317i,-0.027694-0.0071379i,-0.023536-0.0070036i,-0.017928-0.0062969i,-0.012929-0.0071262i,-0.0076812-0.0081039i,-0.0054722-0.0063749i,-0.0051966-0.0029611i,-0.004212-0.0014063i,-0.0042392-0.001806i,-0.0037268-0.0010492i,-0.0015204+0.00033103i,-4.693e-05-8.7208e-05i,-1.5327e-05-0.0017161i,-4.7686e-05-0.0022712i,1.7985e-05-0.0011499i,-0.00047606+7.3273e-05i,-0.00057001+0.00038471i,-0.00053738+0.00058922i,-0.00025085+0.00045231i
-0.00012992+0.00047075i,-0.0027389+0.0037974i,-0.0094437+0.010782i,-0.016865+0.01946i,-0.019819+0.022437i,-0.017957+0.017934i,-0.014534+0.013019i,-0.01227+0.0081718i,-0.010367+0.0021267i,-0.0085435-0.00037119i,-0.0070022+0.00015944i,-0.0049526-0.0006195i,-0.003339-0.00095737i,-0.0019568+0.00046402i,-0.00076601+0.0016209i,-0.00029883+0.0010872i,-0.00041309+0.00041205i,-0.0012456-1.6969e-05i,-0.00093674-0.00040407i,0.00030074+0.00039743i,-4.3272e-05+0.001646i,-0.0011286+0.00074517i,-0.0013663-0.00038988i
-0.00012861-0.0007435i,0.0016301+0.002942i,0.0056395+0.010357i,0.0099641+0.019663i,0.010834+0.024225i,0.0085476+0.021428i,0.0059244+0.017384i,0.0031408+0.014714i,-0.00056744+0.009712i,-0.0021275+0.0054908i,-0.0012735+0.0039581i,-0.0002073+0.0022288i,0.00071713+0.00048825i,0.00059089+2.7924e-05i,-0.00040869+0.00041607i,-0.00075469+0.00069724i,0.00011332+0.001402i,0.00032122+0.0022833i,-6.5276e-05+0.0025629i,0.00039345+0.0015509i,0.000282+0.0007546i,-6.8709e-06+0.00095367i,0.00026332+0.0015823i
0.00059318-0.0011897i,0.0040185-0.0024384i,0.012692-0.0040325i,0.023209-0.005377i,0.02573-0.004681i,0.020185-0.0020919i,0.016294+0.00070034i,0.013429+0.0025539i,0.0091237+0.0028546i,0.0057188+0.0020253i,0.0046004-7.2376e-05i,0.0039154+6.0527e-05i,0.0029561+0.00064805i,0.0027698+0.00011605i,0.0017638-0.0004485i,0.00083193-0.0013373i,0.0012509-0.0012071i,0.001069-0.00072337i,0.00091472-0.00078227i,0.0011433-0.00080323i,0.00069761-0.00040054i,0.00022214-1.0565e-05i,0.00094731+0.00015905i
0.0021746-0.0029936i,0.0022366-0.0060144i,0.004621-0.014591i,0.0069807-0.025031i,0.0059724-0.027105i,0.0035413-0.019911i,0.0038881-0.013837i,0.0060132-0.011596i,0.0070865-0.008634i,0.0057285-0.0056991i,0.0035842-0.0043799i,0.0027525-0.0026511i,0.0029334-0.00062871i,0.0030455-0.00073486i,0.0016285-0.00070552i,0.00061629-0.00033946i,0.0014944-0.00068972i,0.001664-0.0011735i,0.00083072-0.0015802i,0.00014539-0.0013257i,-0.00037631-0.00070427i,-0.00048137-0.00042059i,-0.00066169-0.00041418i
0.0011079+0.00082108i,-0.0035739-0.0012686i,-0.012761-0.0082805i,-0.023331-0.016742i,-0.027456-0.01845i,-0.022872-0.013408i,-0.016097-0.011314i,-0.010706-0.012519i,-0.0053909-0.011732i,-0.0025663-0.0092856i,-0.0028934-0.0058866i,-0.002299-0.0026897i,-0.00065607-0.00090707i,0.00034232-0.00014916i,0.00066185-0.00040963i,0.0010805-0.0012458i,0.00026205-0.00091759i,-0.0009402-0.0011027i,-0.00085937-0.00091009i,-0.0011947-0.00018229i,-0.001647-6.2266e-05i,-0.0011078-4.3593e-05i,-0.00098419-0.00056639i
-0.0028696+0.0032164i,-0.006626+0.0064376i,-0.015595+0.011355i,-0.024528+0.017389i,-0.025941+0.01917i,-0.021114+0.014631i,-0.018418+0.0086652i,-0.017062+0.0036536i,-0.014134-0.00085831i,-0.010737-0.0024615i,-0.0078475-0.0011854i,-0.0057529+6.5604e-05i,-0.004278-1.5197e-05i,-0.0024795-0.00032111i,-0.00061796+0.00056998i,2.8989e-05+0.001097i,-0.0003489+0.00068032i,-0.0014391+2.4617e-06i,-0.00053662-0.00026203i,0.00061845+0.00012277i,0.00035137+0.00099449i,-5.4595e-05+0.0011618i,-0.0011709-0.00010319i
-0.0008779+0.0027536i,0.0016936+0.0072961i,0.0038096+0.018805i,0.0056791+0.030276i,0.0063491+0.03129i,0.0029407+0.023819i,-0.00053462+0.019243i,-0.0029115+0.01622i,-0.005717+0.010842i,-0.0065866+0.0071383i,-0.0051225+0.0053342i,-0.0044353+0.0030044i,-0.0050535+0.0012518i,-0.0042634+0.0012429i,-0.0025726+0.0015866i,-0.0021095+0.0013684i,-0.0015878+0.0011417i,-0.00030061+0.00091922i,5.5661e-05+0.0010818i,-0.00019409+0.001078i,-0.000134+0.00041275i,-0.00018436+0.00030975i,-1.1617e-05+0.0012531i
0.0036697-0.0015915i,0.0081036-0.0017384i,0.017722-0.00016608i,0.026866+0.0029497i,0.026386+0.004152i,0.019172+0.0047123i,0.015829+0.0067405i,0.014756+0.0073906i,0.010215+0.0062748i,0.0054174+0.0048905i,0.003659+0.0035598i,0.0027885+0.0023427i,0.0019768+0.0014366i,0.0007318+0.0011272i,-0.00011655+0.001374i,3.015e-05+0.0010295i,0.00023224+0.00073383i,0.00042318+0.00027241i,0.00032315-0.00016471i,-0.00011393-0.00046898i,0.00034805-0.00018349i,0.00046144+0.00014819i,0.00075371-0.0001527i
0.00084851+0.0018601i,0.0035312-0.0019186i,0.0094869-0.011365i,0.014605-0.02283i,0.013654-0.025867i,0.0099836-0.020306i,0.010003-0.015594i,0.011527-0.013379i,0.010801-0.0096186i,0.0085404-0.0065579i,0.005968-0.005876i,0.0044949-0.0053691i,0.0039769-0.0042491i,0.0025171-0.0025997i,0.00084403-0.00085403i,-0.00014774-0.00010785i,-0.00074238-0.001244i,-0.00055916-0.0024506i,-0.00012798-0.0020946i,3.7796e-05-0.0014186i,-0.00053677-0.00030937i,-0.0005952-0.00020963i,-0.00016063-0.00018168i
-0.001223+0.0032067i,-0.0056563-0.0020974i,-0.012029-0.012572i,-0.017751-0.02232i,-0.019069-0.024257i,-0.016216-0.019807i,-0.011551-0.017083i,-0.0078896-0.017308i,-0.0043616-0.016119i,-0.0019286-0.013656i,-0.0013504-0.010637i,0.00028225-0.0070519i,0.0012026-0.0047191i,0.0011195-0.0032553i,0.0013593-0.0016387i,0.0015849-0.0017157i,0.001841-0.0021998i,0.0013669-0.0013735i,0.00040563-0.0008466i,-0.00065968-0.00037755i,-0.0013763+0.00052912i,-0.00072526+0.00040053i,0.00068701-0.00080811i
5.4648e-06+0.00051851i,-0.0051894-0.00015157i,-0.016818+0.0017965i,-0.029563+0.0056504i,-0.03215+0.0088916i,-0.025695+0.0085699i,-0.021154+0.0055498i,-0.019671+0.0011334i,-0.016045-0.0035448i,-0.011757-0.0046271i,-0.0089514-0.0027494i,-0.0058512-0.0011436i,-0.0025897-0.00033639i,-0.00071828+0.0008999i,0.00067831+0.00058246i,0.00078119-0.00071342i,0.00015458-0.0012791i,-0.00025886-0.001251i,-0.00088285-0.001107i,-0.00033822-0.00030654i,0.00035526+0.00072058i,-0.00051254+0.00084053i,-0.00073835-5.7576e-05i
