0.00024828+0.0012423i,0.00017406+0.00088281i,-0.00031051+0.00062521i,-0.0018348+0.0011171i,-0.0022844+0.0009932i,-0.0013692+0.0015448i,-0.00090554+0.001318i,-0.00011635+0.00092089i,0.00012623+0.00036436i,9.1635e-05-5.7572e-06i,0.00052546+0.00064226i,-0.00018646+0.00053421i,2.8217e-05-0.00011528i,0.00039295+0.00053113i,-0.00045255+0.00086642i,-0.00068543+0.00012707i,-0.00051615-0.00078132i,-0.00030382-0.00046365i,0.00066632-0.00043241i,0.0010368+4.5131e-05i,1.7261e-05+0.0004736i,-0.00021019+3.0145e-05i,-5.3137e-05+0.00021817i
-0.0032553-0.0012535i,-0.0024209-0.00086325i,-0.0014703-0.00083471i,-0.0015851-0.00018739i,-0.00055317+0.00069085i,0.00098631+0.0010504i,0.0010638+0.00073418i,0.0004717-7.4056e-05i,0.00033079-3.7029e-05i,0.0009218+0.00012727i,0.0009948-0.00059703i,0.00018241-0.0004517i,-0.00019143+5.8608e-05i,-0.00054796+0.00040903i,-9.6337e-05+0.00071743i,0.00065369+0.00055157i,0.00059776+0.00039911i,0.00024384+0.00023575i,0.00010149+5.2758e-05i,0.00037702-0.00020846i,0.0005639-0.00015216i,0.00055271-0.00024842i,0.00037646-0.00048655i
0.00056927-0.00060134i,0.0023946-0.00071494i,0.0020661+0.0011059i,0.00050795+0.002309i,0.00024323+0.0014463i,0.00017236+0.00017766i,2.409e-05-0.0014629i,0.00080649-0.0014834i,0.0016984-0.0013401i,0.0021688-0.000964i,0.0010528-9.9067e-05i,-0.001017-3.3131e-05i,-0.0011148+0.00036123i,-0.00040866+0.00050553i,-0.00048033+0.00011788i,-0.00015773+0.00036652i,0.00047203+0.00046771i,-2.128e-05+0.0001279i,-0.00051228+0.0002986i,-0.00075579+0.00027567i,-0.0011653+0.00018051i,-0.0012148+0.00047098i,-0.0011464+0.00072658i
0.0028866+0.0011535i,0.0027008+0.0011689i,0.0029648+0.00052019i,0.0015029-0.00052648i,7.5561e-07-0.0016845i,-0.001183-0.0024774i,-0.0021284-0.0016141i,-0.0014084-0.00083562i,-0.00065583-0.0016298i,-0.00069245-0.001602i,-0.00085789-0.00036404i,-0.00062895-0.00032046i,-3.4953e-05-0.00086446i,0.00067649-0.00049579i,0.00082609+0.00081068i,0.00082923+0.00054874i,0.0010217-0.00050009i,0.00054401-0.00017381i,1.9909e-05+0.00036475i,-0.00055006+0.00051435i,-0.00022628+0.00032775i,7.5458e-05+3.1449e-05i,-4.9607e-06-0.00056702i
0.00035433-2.8513e-05i,-0.0003028-0.00023757i,-0.00057139-0.00033303i,-0.00022743+0.00037854i,-0.0011879+0.00054i,-0.001737+0.00027185i,-0.00071093+0.00057095i,-0.00020882+0.00032726i,-0.00069036-0.00059419i,-0.0017637-0.00066028i,-0.0018142-6.6911e-05i,-0.00054537+0.00049909i,0.000181-0.00057231i,0.00056745-0.0010823i,0.00054321-0.0013033i,0.00050255-0.0012285i,0.00045242-0.00057615i,0.00060127-0.00065082i,0.00093541-0.0008751i,0.0010017-0.00075714i,0.00068417-0.00020735i,0.00036952-0.00021663i,0.00039193+0.0002153i
0.0016002+0.00086746i,0.0022926-0.00059577i,0.0027312-0.00076137i,0.0022371-0.00084847i,0.0017969-0.00093909i,0.0013569+3.3658e-05i,2.1511e-05+0.0014823i,-0.00028665+0.0018697i,-1.1128e-05+0.00077619i,-0.00059664-7.7591e-05i,-0.00054284-0.00020094i,-0.00054869+0.00015155i,-0.00020438+0.00061496i,-6.0156e-05+0.0012325i,-0.00068496+0.00096282i,-0.00029692+0.00059984i,0.00025556+9.9913e-05i,0.00010658-0.00082647i,9.185e-05-0.0013091i,-3.0679e-05-0.00062892i,-4.5627e-06+0.00020448i,0.00057746+0.00087896i,0.0010174+0.0013756i
-0.00062289+0.0011944i,0.00067517+0.0029133i,0.0015537+0.0038015i,0.001121+0.0040062i,0.00078323+0.0036253i,0.0015972+0.0025753i,0.0027158+0.0017832i,0.0029733+0.00089426i,0.0020376+0.00050438i,0.00098599+0.00077058i,0.000178-1.2147e-05i,-0.00027033-0.00079196i,-0.00024075-6.2234e-05i,-0.00025753+0.00042653i,-0.00033995+7.2529e-05i,0.0004139-7.3305e-05i,0.00095118-0.00028071i,0.00080424-0.00042588i,0.00045592+0.00050173i,0.00031381+0.00031552i,0.00036286-0.00058835i,0.00057009-0.00017727i,0.0011008-0.00023609i
-0.0018685+0.00092046i,-0.0023925+0.001594i,-0.0022668+0.0025541i,-0.00081401+0.0023926i,0.0010898+0.0013839i,0.001567-0.00034074i,0.00092982-0.0015262i,0.0010956-0.0016657i,0.0022475-0.00016107i,0.0021073+0.0010711i,0.0014287+0.00035012i,0.0007327-0.00019556i,3.4566e-05-0.00055037i,-0.00034428-0.00034813i,-0.00080214+0.00058357i,-0.00075311+0.00051886i,-0.00019808+0.0004509i,-7.507e-05+0.00068157i,0.00019596+0.00015233i,0.00040735+0.00025412i,-0.00021718+0.00097865i,-0.00029532+0.00077055i,0.00010142+0.00035927i
0.0020396-9.4558e-05i,0.0018654-0.00041766i,0.0015377-0.00044262i,0.0011063-4.5017e-05i,0.00060367+0.00032075i,0.001001+3.4172e-05i,0.00098406-0.00080476i,0.00032564-0.0010865i,0.00092242-0.0007318i,0.001247+0.00010185i,0.00053009-0.00019882i,0.0002657-0.00048215i,0.00082555+7.3759e-05i,0.00030402+0.00022404i,-0.0004727-0.00042957i,0.00032986-0.00046744i,0.001097-4.4005e-05i,0.00077071-0.00026637i,0.00013138+6.807e-05i,-0.00046343+0.00040046i,-0.00049144+0.00028586i,-0.00037272+0.00069092i,-0.00065664+0.00088934i
-0.00068645+0.00074697i,-0.00057338+0.0010335i,-0.00070198+0.0013177i,-0.0007199+0.0013372i,-0.0012366+0.0014602i,-0.0014997+0.0004615i,-0.0015448-0.00037107i,-0.0013335-0.00035696i,-0.0014795-2.6879e-05i,-0.0021094-0.00053457i,-0.0018982-0.0015572i,-0.00073757-0.0014468i,-0.00029081-0.0010222i,-0.00048254-0.0014498i,-0.00028612-0.00075692i,-0.00019601-6.1279e-05i,0.00017044+0.0002546i,0.00026194+0.00032746i,5.8814e-05+0.00037527i,0.00042701+0.00048602i,0.00032759-7.3681e-05i,0.00026781-0.00041999i,0.00026183+0.00017673i
0.00020011-0.0011404i,0.0011524-0.00068779i,0.0016964-0.00066657i,0.00080663-0.0007947i,-0.00048662-8.6187e-05i,-0.00095827+0.00083106i,-0.001509+0.00036832i,-0.001896+0.00029084i,-0.0020939+0.00024162i,-0.0023294-0.00043342i,-0.0020034-9.0511e-05i,-0.00057474+7.2096e-06i,0.00052237-0.00059864i,8.9932e-05-0.00079704i,-0.00096564-0.00073955i,-0.00058642-0.00088907i,0.00083751-0.00014527i,0.00087896+0.00066091i,0.00020837+0.00040218i,0.00067213+0.00039721i,0.0014375+0.0003593i,0.0010687-0.0006797i,0.00091033-0.00037219i
0.0018204-0.0007802i,0.001977-0.0014598i,0.0010568-0.0010947i,0.00082004-0.00026027i,0.0006555+0.00039627i,-0.0008141+0.0010884i,-0.0022292+0.0021813i,-0.0015702+0.0026584i,-0.00011586+0.0015909i,0.00059538-7.954e-05i,0.00053931-0.00039607i,-0.00034629+0.00068452i,-0.0013506+0.001336i,-0.0012732+0.00082001i,-0.0010924+0.00068572i,-0.00073466+0.00059499i,-0.00031493+0.00064953i,-0.0001792+0.00089381i,-0.00049108+0.0004587i,-0.00017476-0.00079546i,0.00060147-0.00096758i,0.00059225-0.0003732i,0.00016233-0.00043776i
0.00079193+0.0029674i,0.00055146+0.0036949i,-0.001055+0.0037753i,-0.00036371+0.003634i,0.00093887+0.0032401i,0.0015165+0.0024967i,0.0019074+0.0010931i,0.002239-0.00016747i,0.0020164-0.00076734i,0.0014422-0.00077621i,0.0011601-0.00067543i,0.00068249-0.00010564i,0.00021121+0.00093691i,-0.00015345+0.00093394i,-0.00090201+0.00035618i,-0.00027161+0.00030264i,0.00071501+0.00053284i,0.00032391+0.0011629i,-0.00057681+0.0017017i,-0.00085156+0.0013058i,-0.00071533+0.00057234i,-0.00015558-0.00028304i,-0.00010534-0.00014532i
-0.0029795-0.00081787i,-0.0025405+0.0011917i,-0.0022357+0.0024717i,-0.0025697+0.0030239i,-0.001868+0.0033221i,-0.00025373+0.0021981i,0.00083981-0.00029261i,0.0017273-0.002156i,0.0017462-0.0026586i,0.00056198-0.0021166i,-0.00015317-0.00076697i,6.0656e-05+0.00053352i,0.00091411+0.00046087i,0.0015757-0.00012785i,0.0010486-0.00045842i,9.2688e-05-0.00050888i,0.00046455-0.00057035i,0.0010669-0.00032955i,0.00032331-0.00011094i,0.00010521+4.3196e-05i,0.00011319+0.0002784i,-0.00027461+0.00041264i,-0.00018953+0.00041699i
0.0028725-0.0015141i,0.0029711-0.0019011i,0.0027892-0.0023331i,0.0018005-0.0025653i,0.00013416-0.0018391i,-0.0005297-0.0015237i,-0.0001957-0.0012726i,-0.00020671-0.0016365i,-0.00063396-0.0013314i,-0.00079927-0.00026833i,-0.00092205-0.00018827i,-0.0005275-0.00086949i,-0.00054839-0.00085397i,-0.00099147-0.00020954i,-0.00070195-6.214e-05i,1.5025e-05-0.00065073i,0.0004567-0.00074841i,0.00064652-0.00014656i,0.00070633+0.00051527i,0.00086931+0.0010523i,0.00074771+0.00098933i,0.00032646+0.00044242i,-5.758e-05+0.00017743i
0.002005+0.0023868i,0.0018179+0.0019154i,0.001868+0.00058567i,0.0011647+2.6422e-06i,-0.00010845-0.0010366i,-0.001632-0.00081664i,-0.0026273+0.00044639i,-0.0033211+0.00064908i,-0.0032711+0.00093904i,-0.0026721+0.00049681i,-0.0025164-0.00049871i,-0.0020245-0.00091813i,-0.0005418-0.00084401i,-6.5292e-06-0.00061838i,0.00044152-0.00041491i,0.00089185-0.00073146i,-0.00031959-0.0007625i,-0.0011996-0.00039092i,-0.00017281-0.00024615i,0.0007805-5.0566e-05i,0.00039907+0.00044498i,0.00022151+0.00057871i,0.00041123+0.00031002i
-0.0016125+0.00055188i,-0.0019382+0.00063503i,-0.0013988+0.00033087i,-0.0011641+0.0005697i,-0.00031187+0.00040237i,-0.00070548+0.00044307i,-0.0014881+0.0013164i,-0.0016134+0.0012725i,-0.000757+0.00049074i,-0.00031749-0.00046886i,-0.00073064-0.0012265i,-0.00063734-0.0006218i,0.00020667-0.00042003i,0.00015581-0.00092477i,-0.00035304-0.00073587i,3.2835e-05-0.00054246i,0.00051238-5.4608e-05i,-1.2937e-05+0.00013691i,-0.00040132+0.00042449i,-0.00019967+0.00069599i,-0.00048627+0.00066771i,-0.00066879+0.00051924i,-0.00050413+0.00029602i
0.002619-0.0027723i,0.0014222-0.0037816i,0.00090128-0.0033599i,-7.5944e-05-0.0025745i,-0.0018983-0.00080609i,-0.0025849+0.00023879i,-0.00091818+0.00056906i,0.0013651+0.00072726i,0.001774+0.0001375i,0.00055177-0.00076496i,-0.00067219-0.00068008i,-0.00089808-1.8622e-05i,8.6164e-05+0.00057722i,0.00072646+0.0011762i,-3.602e-05+0.0012282i,-6.4307e-05+0.00099838i,0.0006162+0.00044604i,0.00090592+3.3325e-05i,0.00023208+0.0001509i,-0.00026271+0.00019063i,0.00038225+0.00046979i,0.0004823+0.00020131i,0.00040947-0.00034108i
0.0037925-3.4057e-05i,0.0034455-0.00029253i,0.00088074-0.00028158i,-0.0012348+0.00016604i,-0.002163+0.00019281i,-0.00082368+7.2666e-05i,0.00067827-0.00042472i,0.0014348-0.0012809i,0.0016912-0.0016581i,0.00099751-0.001597i,0.00018431-0.0010494i,-1.9159e-05+0.0001463i,0.00015197+0.0012602i,-0.00058731+0.00080146i,-0.00069126-0.00052106i,-0.00010378-0.00093622i,-0.00010343-0.00092961i,0.00012539-7.3032e-05i,0.00039548+0.00083042i,0.00039221+0.00069021i,0.00033951+0.00044881i,0.00039039-0.0003111i,0.00058018-0.00052574i
-0.0023448+0.0027176i,-0.0020548+0.0033287i,-0.0019973+0.0017155i,-0.0013001+0.0012321i,-0.00068876+0.0017972i,-0.0004216+0.0011396i,-0.00039507-0.00068772i,4.0728e-05-0.0012696i,0.00032388-0.000443i,9.7393e-05+7.9385e-05i,0.00012131+0.00027978i,0.00039953+0.00021697i,0.00018116+6.9708e-05i,7.6613e-05+0.00016088i,3.3222e-05-8.0642e-05i,-0.00028148-0.00071522i,-0.00072665-0.0010272i,-0.00083134-0.00056743i,0.0001252+0.00010197i,0.00071056+0.00055571i,0.00033092+0.00085804i,-0.00028712+0.00076946i,-0.00059906+0.00099519i
-0.00095173-0.0024808i,-0.0022045-0.00060234i,-0.0016683-0.00060102i,-2.4465e-05-0.00068054i,0.0016286+0.00040935i,0.001883-0.00018421i,0.00035158-0.00023485i,-0.00051523+0.0018i,-0.00077456+0.0025183i,-0.00073573+0.0016536i,-0.00067307+0.0006262i,-0.00055098-0.00030411i,-0.00091617-0.00048416i,-0.0005833-0.00054774i,0.00031721-0.00034177i,-0.0005363-0.00016665i,-0.0010704+0.000233i,-0.00049242+0.00035718i,-0.00014253-3.0764e-05i,-0.00010408-0.00051222i,0.00040019-0.0004612i,0.00058535-0.00013236i,0.00027435+0.00022253i
0.0026387-0.0013555i,0.0011438-0.0013827i,-0.00015295+8.549e-05i,-0.00090784+0.0001778i,-0.0015604-0.00039698i,-0.0012241-5.1136e-05i,-0.0012176+0.00079199i,-0.0013988+0.0013289i,-0.00085478+0.00081329i,-1.5684e-05+0.00063765i,0.00016084+0.00066607i,-0.00081454+0.00016082i,-0.0012629+4.9143e-05i,-0.00069676+0.00048688i,-0.00048573-0.0002693i,-0.00047844-0.0013941i,-0.00076678-0.00078815i,-0.00076871+4.7027e-06i,0.00063112-8.0107e-06i,0.0010319+0.00013465i,0.00014957+0.00046872i,-0.00040642+0.00058341i,-0.00010707+0.00057388i
0.00096469+0.0011722i,0.00068098+0.00087319i,-0.00060726+0.0013768i,-0.0021618+0.0019909i,-0.0024875+0.0014144i,-0.0013287+0.001402i,-0.00036608+0.00047195i,0.00069501-0.0012447i,0.0010767-0.0021831i,0.00030464-0.0020531i,-0.00016196-0.0011304i,0.00013153-0.0005893i,0.00024626-0.00027099i,0.00045146-0.00040789i,0.00088441-0.00060719i,0.00021127-0.00044115i,-0.00087783-0.00046538i,-0.00093667-0.00023219i,-0.00067818+0.00055414i,-0.00052566+0.00077279i,-0.00016168+0.00015853i,0.00031299-3.9963e-05i,0.00050466+0.00011222i
-0.0026261+0.0015807i,-0.0025715+0.0012087i,-0.0018911+0.0015888i,-0.0011231+0.001579i,-0.00061967+0.001391i,-0.00050396+0.0014413i,-0.0003021-0.00045503i,0.001062-0.0021705i,0.0013209-0.0026107i,-3.247e-05-0.0028731i,-0.00066943-0.0024568i,-6.5448e-05-0.00087614i,0.0010917+0.00033472i,0.000899+0.000743i,2.3052e-05+0.00028905i,-0.0011142-0.00054279i,-0.0013708-0.00068879i,9.0643e-05-0.00039501i,0.00085159+0.00013861i,0.00030954-1.7174e-05i,0.00041363+8.5698e-07i,8.1159e-05+0.00081702i,-0.00049394+0.00041356i
-0.00033762-0.0013426i,-0.00019216-0.00069282i,-0.0003529-0.001202i,4.2996e-05-0.00071027i,0.00070365+7.7563e-05i,-0.00022004+0.00053694i,-0.00074891+0.00066574i,-0.00030793-0.00069688i,0.00020217-0.0022363i,-0.00039915-0.0021819i,-0.00055754-0.0014556i,0.00043875-0.00076577i,0.0011999-0.00071419i,0.0015103-0.00050546i,0.00091809-0.00034456i,0.00049278-0.00057089i,0.0011879-0.00050509i,0.00066179+0.00024682i,-0.00058112-0.00017192i,-0.00051359-0.0004896i,-0.00031667+5.5319e-05i,-6.7273e-05+0.0002482i,-4.0162e-05-0.00023221i
0.003951-0.00049579i,0.0035284-0.00012669i,0.0016478-0.0014886i,-0.00097532-0.0021045i,-0.0025241-0.00058575i,-0.0020727+0.0013726i,-0.001003+0.0032232i,-0.00012155+0.0032924i,0.00081295+0.0017556i,0.00078603+0.00028545i,0.00021274-0.0006763i,0.00050739-0.00078429i,0.0014509-0.00049824i,0.0011745-0.00057393i,0.00050436-0.00075257i,0.00083428-0.00056357i,0.00071071-0.00036776i,-0.00013479-0.00059514i,-0.00091385-0.00062742i,-0.00065616-0.00022126i,-3.858e-05+2.2218e-05i,0.00022742+0.00029186i,-0.00021688+0.00082631i
0.0026683+0.001484i,0.0022324+0.00062366i,0.0014822+0.00043013i,-0.00052731-0.00050484i,-0.0021964-0.0013586i,-0.0028534-0.00016173i,-0.0019617+0.0014756i,-0.0006121+0.0020182i,0.00038248+0.0022143i,0.00041575+0.00208i,-0.00048584+0.0015242i,-0.0010389+0.0013128i,-0.0016795+0.0012148i,-0.0014707+0.0016502i,-0.00028632+0.001791i,-0.00060002+0.00058285i,-0.00057953+1.2118e-05i,-6.1026e-05-0.00013262i,0.00016701-0.00034775i,0.00042369-0.00022013i,3.3984e-06+0.00094912i,-0.00094217+0.0017108i,-0.0010835+0.0017397i
0.00017098+0.00081107i,-0.00031031+0.00045117i,0.00091497+0.00014559i,0.0010727-0.00050704i,0.0015996-0.00055445i,0.0012114-0.00016268i,5.6941e-06-0.00025779i,0.00035528-0.00073769i,0.00052427-0.0015201i,8.1462e-06-0.0014635i,-0.00032793-0.00087193i,-0.00056346-0.00033339i,-0.0012058+0.00053461i,-0.0015057+0.0011232i,-0.0007727+0.00090305i,-0.00027722+0.00047029i,-0.00033816+0.00026455i,-0.00047917+0.00061829i,-0.0011432+0.00094547i,-0.0012161+0.00092647i,-0.00039877+0.001048i,-0.00037584+0.0006938i,-0.00029491+0.00035426i
0.00064694-0.00027577i,0.00049978+0.0011315i,-0.00022014+0.0021325i,-0.00058629+0.0011568i,-0.00081474-4.5043e-05i,-0.00053921-0.0011032i,0.00068847-0.0024725i,0.0013751-0.0031321i,0.00091607-0.0031282i,-0.00033215-0.0026033i,-0.00072246-0.0013846i,-0.0003729-0.00024557i,-7.086e-05+0.00036297i,0.0004307+0.00010475i,0.00073241-0.00033252i,-0.00035594-0.0004325i,-0.00074766-0.00073342i,0.00037253-0.00076241i,0.00092121-0.00034411i,0.00045272-0.0001366i,0.00011696+8.9794e-06i,0.00030652-2.2804e-05i,0.00090569-0.000442i
0.00033542+0.0039427i,0.0004666+0.0042115i,0.00086823+0.0031994i,0.0014735+0.0015555i,0.001118+0.00031446i,0.00021244-0.00049298i,0.000276-0.00089402i,0.00047753-0.001608i,0.00031518-0.0015662i,-0.00040928-0.0010174i,-0.00027683-0.0010635i,0.00033243-0.0015226i,7.1884e-05-0.001739i,0.00013382-0.0011949i,0.00072885-0.00089432i,0.0009019-0.00089131i,0.00048921-0.00077817i,-0.00015468-0.00093041i,-0.00034327-0.001234i,-0.00060029-0.00069305i,0.00012792+0.00022656i,0.00090277+0.00089528i,0.0005307+0.00078452i
0.00084528+0.0022123i,0.0027953+0.0017419i,0.0039544+0.0020876i,0.0023535+0.0020215i,0.00092529+0.0020786i,-0.0001741+0.0015024i,-0.0019723+0.0012217i,-0.001745+0.0021911i,-0.00038717+0.0019335i,-0.00012756-0.00022626i,4.9338e-05-0.0014586i,0.00026846-0.00083907i,-0.0008746-0.00088912i,-0.0012436-0.0011908i,-0.00040418-0.0006595i,-0.00011191-0.00032674i,0.00045514+0.00011511i,0.0012587+0.00026338i,0.00074294+0.00026788i,5.0883e-05+1.7998e-05i,7.2532e-05+2.064e-05i,-0.00042804-0.00024566i,-0.00037453-0.00061045i
-0.0023376+0.00040719i,-0.0020169+0.00097384i,-0.0019904+0.0028201i,-0.0021342+0.0035166i,-0.00096723+0.0025152i,0.00041977+0.0012762i,-0.00049353+0.00082178i,-0.0013685+0.0012489i,-0.00050173+0.0014833i,0.0011055+0.00062216i,0.002231-0.00028247i,0.0015333+2.6858e-05i,-0.00055837+0.00013674i,-0.0016806-0.00042131i,-0.0015787-0.0009123i,-0.0010274-0.00040125i,-0.0010269+0.00045132i,-0.00038379+0.00099002i,0.00080181+0.0013704i,0.00076989+0.0013603i,0.000483+0.00091519i,0.00065793+0.00093327i,0.00028862+0.0011782i
-0.0028784+0.0011267i,-0.003199+0.0018095i,-0.0027364+0.0027195i,-0.001474+0.0019432i,-0.00050351+0.00044171i,-2.775e-05+2.9095e-05i,-2.2485e-05+8.2442e-05i,0.0003604+6.006e-05i,0.0010614+8.2851e-06i,0.0016926+0.00076334i,0.0018386+0.0015361i,0.0010701+0.0019377i,-0.00050845+0.0020876i,-0.0012407+0.0012465i,-0.0014399+0.00045951i,-0.0019988-0.00014705i,-0.0010827-0.00010142i,-0.00032659+0.00070892i,-0.00043538+0.00048117i,-0.00054258-0.00026513i,7.0989e-05+7.4202e-05i,0.0003779+0.00070326i,0.00021592+0.00093445i
0.0014481-0.0011824i,0.0010856-0.001148i,0.00039782-0.001114i,-6.0841e-05-0.00094651i,-0.00017713+0.00031812i,0.00010834+0.0010569i,0.00079873-0.00015289i,0.0018553-0.0016589i,0.0013198-0.0024349i,-0.0009096-0.0015556i,-0.0009677-3.8706e-06i,0.0003345+0.00097665i,0.00055281+0.0014226i,0.00090598+0.0018052i,0.00089575+0.0010755i,0.00083691-9.6088e-05i,0.00085905+0.00064949i,0.00049608+0.0013177i,6.8651e-05+0.00019684i,-6.9089e-05-0.00081908i,-0.00032608-0.00054313i,-0.00018157-0.00077029i,0.0011623-0.0009534i
0.0025429+0.001333i,0.003419+0.0017994i,0.0038019+0.0011132i,0.0032373+0.0009107i,0.0018443+0.0013045i,0.0016123+0.0007904i,0.0020039-0.00029173i,0.0018563-0.00062163i,4.9989e-05-0.0011711i,-0.00097005-0.0015857i,-0.00083907-0.00074251i,-0.0011595-0.0003588i,-0.0012655-0.0011173i,-0.0011035-0.00082112i,-0.00059078-0.00073594i,-0.00018797-0.0015549i,-0.00030441-0.0014792i,-0.00096862-0.00092539i,-0.0020321-0.00095449i,-0.0020204-0.00049112i,-0.00075026-0.00017034i,0.00018281-0.00078201i,0.00056343-0.00095172i
-0.00063093+0.00090036i,-0.00012525+0.0001313i,-0.0005883+0.0003145i,-0.0017968+0.0011634i,-0.0018196+0.0018233i,-0.00014838+0.0013572i,0.00026757-0.00012791i,-0.00023065-0.00023303i,-0.00048481+0.0001395i,-0.0010599-0.00088346i,-0.0011741-0.0021168i,-0.001254-0.0018987i,-0.0015186-0.0011081i,-0.0010076-0.00084252i,-0.00051205-0.0013628i,-0.00042066-0.00090078i,-0.00016738+0.00019262i,-0.00029398+0.00099221i,-0.00055568+0.00094437i,-0.00029743-4.9009e-05i,-0.00045105-0.00026944i,-0.0005361+0.00025493i,-0.00028486+0.00046628i
-0.0021202-0.00052107i,-0.0022298+0.00020757i,-0.0015016+0.00034067i,-0.0010734-5.5219e-05i,-0.00096799+0.0001291i,-0.001655-3.3937e-05i,-0.0026456-0.00077667i,-0.0020515-0.00016588i,-0.00021097+0.00036996i,0.00014522-0.0009856i,-0.00060174-0.0015039i,-0.00084829-0.00091015i,-0.00099754-0.0006639i,-0.0014359-0.00077907i,-0.0012697-0.00077471i,-0.0013342-0.00043462i,-0.0015468+0.00013776i,-0.00077014+0.00094141i,0.0013135+0.0011287i,0.0018722+0.00080165i,0.0012805+0.00016042i,0.0006658-1.2273e-05i,-0.0004853+7.353e-05i
0.0012056+0.0003118i,0.0021543+0.0014762i,0.0029715+0.0010221i,0.0024271-0.00014877i,-0.00048165-0.0013043i,-0.0021284-0.0022596i,-0.0027989-0.0022754i,-0.002672-0.0011664i,-0.00085969+0.00017918i,0.00064702+9.3374e-05i,0.00047113-6.3686e-05i,8.3857e-05+0.00095734i,0.00050699+0.0014556i,0.00083403+0.001162i,0.00051866+0.0010686i,0.00036699+0.00039861i,0.00035981+0.00013209i,-0.00017481+0.00037355i,-0.0011593-0.000408i,-0.00089063-0.00093839i,0.00015997-0.00051902i,0.0012052-0.00014191i,0.0016172+0.00035305i
0.00067654+0.0011223i,0.0011164+0.001236i,0.00066639+0.0011514i,-0.00074513+0.00080643i,-0.0020424+0.00036212i,-0.001641-0.00021107i,-0.00032478+0.00016202i,0.001082-5.5194e-05i,0.0017383-0.00036416i,0.0010361+0.00060648i,0.00018237+0.0011534i,0.00059414+0.0010145i,0.00080003+0.00088396i,0.00046739+0.00031595i,0.00072033+0.00035924i,0.00032826+0.00047934i,-0.00046317-0.00014111i,-0.00090008-0.00057413i,-0.00089116-0.00087794i,-0.00058334-0.00066969i,-0.00041093-0.00020313i,7.478e-05+0.00035349i,0.00062923+0.00093277i
-0.0040345+0.0014793i,-0.0030274+0.00071669i,-0.0028336+0.00021403i,-0.0022952+0.001033i,5.2113e-05+0.0019685i,0.0017055+0.0029401i,0.0027844+0.0029188i,0.0033464+0.00058518i,0.0023848-0.0016153i,0.00065294-0.0011697i,0.0003475-0.00020704i,0.00031111-0.00053052i,-4.1283e-06-0.00066542i,-0.0003803+0.00022336i,-0.00080385+8.1178e-05i,-0.00039299-0.0011022i,-0.00075584-0.00073586i,-0.00051782-0.00026629i,0.00032347-0.00014804i,-0.00036893+0.0011352i,-0.0010593+0.0013158i,-0.00063304+0.00017354i,-0.00064647-8.3011e-05i
0.00027512-0.001429i,-0.00054375-0.00019289i,-0.0003992+0.00060448i,0.00088416+0.0014025i,0.00052884+0.0024608i,0.00081898+0.0029069i,0.0012315+0.0021454i,0.0018362+0.00072883i,0.00177-1.7604e-05i,0.00015155-0.00023251i,-0.0015593-0.0004538i,-0.0016915-0.0011495i,-0.0011853-0.00094788i,-0.00070516+4.6048e-05i,-8.0374e-05+9.1611e-05i,0.00072931-0.00030428i,0.001304-4.8999e-05i,0.00080801+0.00051517i,-0.00057406+0.00082473i,-0.00078865+0.0010926i,0.00062641+0.00073611i,0.00085027-0.0001305i,-4.6059e-05-0.00089337i
0.0003542+0.0014064i,-1.5501e-06+0.00094609i,0.00018666+0.0014712i,0.00080311+0.0019625i,0.00049802+0.0011036i,-8.7935e-05-0.0013761i,-0.0002826-0.0021659i,-0.0013017-0.0010821i,-0.0019954-0.00075436i,-0.0011157-0.00075804i,-0.00050469-0.00075103i,-0.00062704-0.00047423i,-0.0013784+0.00018004i,-0.0014463-0.00026032i,-0.00013325-0.00047233i,0.00057927-0.00018815i,-2.7424e-06+0.00041822i,0.00019475+0.00098151i,0.0012313+0.00066307i,0.0016458-0.00032804i,0.0016686-0.00077624i,0.0020257-0.00044687i,0.0015012-0.00037506i
0.00067999+0.00016301i,0.0019973+0.00068125i,0.00050571+0.00044525i,-0.0014758-0.00055257i,-0.0019468-0.0009137i,-0.002162-0.0019503i,-0.0030788-0.003075i,-0.0021803-0.0030154i,-0.00044872-0.0025642i,0.00029391-0.0023757i,0.00010679-0.0018663i,-5.3489e-05-1.9048e-05i,0.00031894+0.0014754i,0.0010029+0.0015691i,0.0011613+0.0008997i,0.00065719+0.00048228i,-9.4571e-05-5.582e-05i,-4.7251e-05-0.00063519i,7.3019e-05-0.00070483i,0.00058578-0.00045383i,0.00037526+0.00032345i,0.0006489+0.00076748i,0.0013208+0.0007671i
-0.00055299-0.001313i,-0.00053125-0.00062867i,-0.00097762-0.00027139i,-0.0011446+9.9132e-05i,-0.00081999+0.00057787i,-0.00045679+0.00018452i,-2.8994e-06-0.00041325i,0.00073927-0.00025611i,0.0012567-0.00045203i,0.00073779-0.0012203i,-0.00074413-0.0010255i,-0.00085252+0.00042794i,0.00059134+0.00065389i,0.0015576-0.00013193i,0.0015337-0.00079506i,0.00025778-0.00063814i,-0.00092514-3.2939e-05i,-0.001623+2.9968e-06i,-0.0016998-0.0002072i,-0.00078227+1.2173e-05i,-0.00038088+0.00071535i,-0.00050101+0.00089071i,0.00036115+0.0005815i
