0.00035545+0.00073394i,-0.0006822+0.00067315i,-0.0017904-0.00063748i,-0.00228-0.0018479i,-0.0025964-0.0015004i,-0.0028066+0.00023143i,-0.0027937+0.0013879i,-0.0014815+0.00064135i,0.00021302-0.0003985i,0.00053255-0.00066511i,0.00010442-0.00072734i,0.00010351-0.00046615i,0.0010083+0.00031696i,0.00095628+0.00060215i,9.4903e-05+0.00033025i,-0.00024651-0.0001607i,-0.00052364-0.00020098i,-0.00063667-0.00023179i,-0.00071518-0.00054537i,-8.2604e-05-0.00032204i,0.00098985+0.0001088i,0.00034954-0.00011486i,-0.00038223+4.6129e-05i
0.0020238+0.00080305i,0.0019753-0.00062857i,0.0026304-0.00066339i,0.0025021-3.5484e-05i,0.0012543-0.00032095i,8.1402e-05-0.0017702i,-0.00048443-0.0025716i,0.00033277-0.0025215i,0.0014281-0.002455i,0.00083255-0.0029531i,0.00035732-0.0032856i,0.00059853-0.0023302i,0.00091982-0.0010354i,0.00041765-0.00045491i,0.00029099+3.8016e-05i,0.00065133+0.00081642i,0.00082132+0.00035103i,0.00092072-0.00052039i,0.00023132-0.0010482i,0.00011652-0.00094704i,-1.2528e-05-0.00027992i,-0.00069382-0.00031159i,-0.00060614-0.0005743i
0.00089884+0.00027051i,-9.9875e-05+0.00096491i,-0.0011048+0.00050279i,-0.001197-0.00038582i,-0.00091161-0.00021981i,-0.001499+0.00033096i,-0.0013458+0.00033957i,-0.00094509-0.00035019i,-0.00082238-0.0013769i,-0.00082295-0.0025269i,-0.00060854-0.0028728i,6.7344e-05-0.0016478i,0.00024163-0.00035907i,0.0014507+0.00030041i,0.0020165+0.00013734i,0.00044846+2.6368e-05i,-0.0011131+0.00063141i,-0.00077549+0.00061898i,0.00072634-2.9555e-05i,0.001287-0.00039026i,0.00045991-7.0497e-05i,-0.00081739+0.0010666i,-0.0010684+0.0016122i
0.00043278-0.00052595i,0.00011374-0.0010565i,-0.00044554-0.0010285i,-0.00055499+0.0001289i,-0.0002417+0.00074423i,0.00045683-0.00021189i,0.00045412-0.00054548i,-0.00022794+0.00035944i,-0.0013254+0.00067988i,-0.0025+0.0011434i,-0.0018831+0.0017534i,-0.00049243+0.0017123i,6.3898e-05+0.0012966i,1.383e-05+0.0005242i,0.00053939-3.3868e-05i,0.00063115-0.00056122i,-0.00012346-0.00082274i,-0.00045102-0.00035881i,-0.00094828+0.0001767i,-0.00057645-0.00018864i,-0.00011128-0.00049877i,-8.9143e-05-0.00038128i,7.1036e-06-0.00072846i
-0.00067131+3.5286e-05i,-0.0014143+0.00059734i,-0.0012326+8.2641e-05i,-0.0010209+0.00047297i,-0.0017869+0.0012538i,-0.0014101+0.00068776i,-0.0002845-0.00038643i,-0.00011447-2.4187e-05i,-0.0011784+0.001054i,-0.0022127+0.0015483i,-0.0020299+0.0019327i,-0.0013591+0.0025494i,-0.0010847+0.0025995i,-6.8297e-05+0.0018566i,0.00032097+0.0009452i,-0.00026758+0.00053952i,-0.00048175+2.9185e-05i,5.3398e-05-1.7321e-05i,0.00051104+8.1503e-05i,0.00015261+2.2821e-05i,0.00045091-0.00033087i,0.00084341-0.0010025i,0.00027004-0.00057052i
-0.0016268-0.00041599i,-0.0024749+0.00039865i,-0.0018861+0.0014263i,-0.001462+0.0017769i,-0.001063+0.0010963i,-0.00011713+0.00015057i,0.0001137-0.00063702i,0.00070805-0.0013063i,0.0017774-0.0016399i,0.0015839-0.00063479i,0.00044173+0.00030259i,-0.00031136+0.00089901i,-0.0014123+0.0011013i,-0.002139+0.00051288i,-0.00081945+0.0005498i,-6.7562e-05+0.00011477i,0.00013189-0.00033894i,0.00079238-0.00023828i,0.00061962-0.00015003i,0.00040605+4.53e-06i,0.00090766+6.9417e-05i,0.00055876-0.00034822i,-0.00017905-0.00046618i
0.00087242-5.2578e-05i,0.00026906+0.00068344i,-0.00011897+0.00038294i,-4.5476e-05+0.0011436i,-0.00020306+0.00202i,5.8058e-05+0.0010085i,0.00041992-0.00064683i,0.0016313-0.0015196i,0.0023629-0.0024055i,0.0018883-0.0025015i,0.0007435-0.0015119i,-8.3596e-05-0.00041404i,3.0913e-06-0.00088529i,0.00088234-0.0018024i,0.00094979-0.001063i,0.00021004+0.00036551i,0.00069887+0.00066611i,0.0010838-0.00017411i,0.00057878-0.00066917i,-4.4713e-05-0.00053122i,-0.00011121-0.0011951i,0.00093864-0.00082584i,0.00075109+0.00016782i
0.0010756+0.0029233i,0.00049386+0.0021481i,0.00016887+0.00053397i,-7.3249e-05-0.0010577i,0.00042351-0.00091912i,-2.4894e-05-0.00091543i,-0.0012822-0.0011092i,-0.0011516-0.00038259i,0.00040813-0.00056737i,0.001508-0.0023079i,0.0011891-0.0030587i,0.00054258-0.0020082i,0.00068819-0.00097332i,0.00079558-0.00023885i,0.00061947-0.00055153i,0.00082743-0.00059345i,0.0010483-0.00038385i,0.00062322-0.00053153i,0.00043124-0.00016326i,0.00033895+0.00045854i,0.00017354+0.00023551i,0.00037026-0.00013784i,-3.7289e-05-0.00041122i
0.0019639+0.0015517i,0.0017962+0.001446i,0.0013713+0.0014517i,0.0012332+0.00026347i,0.0010025-0.0010047i,-0.0012508-0.00026616i,-0.0024282-0.00027363i,-0.0014697-0.0016554i,-0.0012982-0.0023701i,-0.0023147-0.0023598i,-0.0020392-0.00098361i,-0.00063816+0.00099453i,-2.6409e-05+0.00072036i,-0.00018769-0.00064862i,-0.00013244-0.00075534i,-6.004e-05-0.00016447i,-6.1341e-05+0.00021132i,-5.4803e-05+0.00045435i,4.997e-05+0.00036704i,-0.00020727-9.8322e-05i,-0.00031687-0.00041662i,-0.00024847-0.00084422i,-0.00034594-0.0011011i
-0.00088352-0.00096748i,-0.000997-0.000363i,-0.00093426+0.00031362i,-0.0011656-0.00014779i,-0.0011532-0.00067751i,-0.0011082-0.0011746i,-0.00097068-0.0013813i,-0.0012074-0.00086734i,-0.0020659-0.00070345i,-0.0021611-0.00021426i,-0.0018669+0.00092127i,-0.0012372+0.0020293i,-0.00095928+0.0024743i,-0.0010263+0.0016144i,-0.00048848+0.00053609i,-9.3985e-05-0.00049387i,-0.00015397-0.00019214i,-0.00032496+0.00056131i,-0.00037884+0.00055406i,0.00026054+0.00052352i,0.00042963+0.00059733i,-0.000256+0.00037968i,-0.00027908+8.0993e-05i
0.0026991+0.0014962i,0.0039087+0.00185i,0.0038433+0.0020718i,0.0024924+0.0021261i,0.0010985+0.0014558i,0.00067581+2.1134e-05i,0.0008667-0.00078114i,0.00097055-7.1027e-05i,0.00045934+0.0010395i,5.8615e-05+0.0012402i,-0.00036777+0.0014106i,-0.0010599+0.0019497i,-0.0022116+0.0020233i,-0.0017954+0.0012404i,-0.0006533-0.00012317i,7.0093e-05-0.00071176i,3.9587e-05-7.8971e-05i,0.00021268-0.00050992i,0.00062715-0.00060377i,0.0003929+0.00029745i,-0.00010625-6.7283e-05i,-0.00051698-0.00054933i,-0.0001923-7.2045e-05i
-0.00027317+0.00075222i,-0.00080132-0.00086396i,-0.0017096-0.0017039i,-0.0015679-0.001207i,-0.0011527-0.001236i,-0.0012493-0.0015943i,-0.00035103-0.001357i,0.00087114-0.00058366i,0.0013758+0.00086196i,0.001774+0.0009266i,0.0012329+0.00076204i,-0.00040633+0.0007778i,-0.0013668-0.00019501i,-0.00070867-0.00033767i,-0.00016964-4.7873e-05i,-0.00044059+0.00029702i,0.00022015-4.4504e-06i,0.00082247-0.0010482i,0.00067847-0.0014242i,0.00067884-0.00074076i,-0.0002083-0.00048056i,-0.00067324-0.00049987i,-0.00061442+0.0005386i
-0.0019139+0.00018967i,-0.0016358+0.0012817i,-0.00093648+0.0024625i,-0.0012162+0.0035778i,-0.0017747+0.0037536i,-0.00096955+0.0024986i,-8.8492e-05+0.00057618i,0.00021181-0.00075157i,0.00037826-0.0012958i,0.00035283-0.00096692i,0.00061472-0.00024184i,0.00098132-0.00065515i,0.0016641-0.0014856i,0.002047-0.001765i,0.0012314-0.0013074i,0.00010669-0.00022536i,-0.00038599+0.00022118i,-0.00029803-6.1261e-05i,0.00028996-0.00055503i,0.00054902-0.00063377i,0.00051965-0.00057354i,0.0002897-0.00055498i,0.00022155+1.5644e-05i
0.00025348-0.0001663i,-0.00053416-0.00087184i,-0.0018613-0.00050577i,-0.0021402-0.00048419i,-0.0018522-0.0013289i,-0.0024175-0.0016645i,-0.0016584-0.0010566i,8.5161e-05-0.0014562i,0.0006686-0.0027299i,0.00031387-0.0028128i,0.00025127-0.001271i,0.0012695+0.0001162i,0.0022445+0.00053141i,0.001856+0.00054299i,0.0014424+0.00059415i,0.0016771+0.00050832i,0.0012146-0.00027178i,0.00033308-0.00091044i,0.00049546-0.00037795i,0.00043607+4.9606e-05i,-0.00014414-0.00040651i,-0.00069027-0.00064332i,-0.00082421-0.00046805i
0.00017741+0.0010135i,0.0009803+0.0011348i,0.0019655+0.00029736i,0.0019202-0.0008304i,0.0013209-0.0011601i,0.00026423-0.0010615i,-0.0013318-0.0015176i,-0.0021835-0.0023087i,-0.0018095-0.0015066i,-0.001129-0.00042437i,-0.00063556+0.00030924i,0.00010095+0.00070835i,0.00043549+0.00097113i,0.00042818+0.0010942i,-0.00030061-0.00023366i,-0.00077454-0.0011597i,-0.00019955-0.00095384i,0.00064388-0.00071448i,0.00075073-0.00044439i,0.0004591-5.8033e-05i,0.0002473-3.5463e-05i,-0.00053421+5.6986e-05i,-0.00048361+0.00020918i
-0.0030878-0.001534i,-0.0037088+0.00030546i,-0.003807+0.001625i,-0.0024023+0.0026992i,-0.00052096+0.0034108i,0.00064291+0.0021973i,0.0010973+0.00026104i,0.00047364-0.00082041i,-0.00088957-0.00017898i,-0.0013965+0.0011787i,-0.00079346+0.0014493i,-0.0009023+0.00093075i,-0.0018251+0.0010959i,-0.0020391+0.00096898i,-0.001086-0.0001771i,-0.00039756-0.00088806i,-0.00035176-0.001646i,5.6613e-05-0.0014336i,-2.9234e-05-0.00070266i,-0.00054834-0.00047854i,-0.00055434-0.00044205i,-0.00011874-0.0003766i,0.00018144+4.9639e-06i
0.001351+0.0013441i,0.0021973+0.00070948i,0.0023976+0.00014348i,0.0017551+0.00029003i,0.00082251-7.6396e-05i,0.00020045-0.00049339i,-0.00027065-0.00043976i,-0.00036789-0.00010983i,4.3137e-05+0.00071154i,0.0011227+0.0014005i,0.0014357+0.001158i,-0.00081574+5.0709e-05i,-0.0031213-0.00045756i,-0.0020891+0.00014394i,0.00021424+0.0006421i,0.0012431+0.00089925i,0.00076714+0.00051036i,-0.00036371-0.0001716i,-0.00015371+7.0952e-05i,0.00049567+0.00035886i,0.0010521-0.00025084i,0.0012063-0.00027653i,0.00096595-0.00016526i
-0.0023277+0.00049259i,-0.0021734+0.0019802i,-0.0019081+0.0033679i,-0.0014252+0.0031005i,-0.0010083+0.0019251i,-0.00054822+0.00022908i,-0.0004351-0.0010141i,-0.00051078-0.0015611i,0.00025642-0.0014368i,0.0012993-0.00076124i,0.001184-0.00048515i,0.00018908-0.0012481i,0.00034259-0.0021733i,0.0012542-0.0022997i,0.0010022-0.00085595i,0.00091026+0.0010637i,0.0014972+0.00083231i,0.0014475-0.0004265i,0.00077176-0.00087767i,0.00068394-0.00099847i,0.00068168-0.0010834i,0.001099-0.00067559i,0.0016222-8.2247e-06i
-6.9378e-05-0.0023705i,-0.00093338-0.0017219i,-0.0020851-0.0012698i,-0.0024452+7.6932e-05i,-0.0020802+0.0015653i,-0.00061696+0.0018526i,0.00064634+0.001021i,0.0016922-0.0008646i,0.0012336-0.0023789i,-4.2623e-05-0.0026156i,-0.00061988-0.0017225i,0.00027375-0.00051893i,0.0026519-0.00013233i,0.0035483-0.00049134i,0.0022226-0.00040329i,0.00054989+0.00029934i,-0.00027355+0.00087509i,-0.00065894+0.00072448i,-0.00018886+3.8388e-05i,0.00069746+0.00043649i,0.00057926+0.00084024i,0.00024459+0.00038846i,-1.2045e-07+0.00016292i
0.00267+0.00040131i,0.0019699-0.0012487i,0.001159-0.0024953i,0.00044999-0.0017317i,0.00060429-0.00081016i,-0.00030089-0.00061472i,-0.00064798-0.00045401i,-2.9813e-05-0.00057434i,-0.00019006-0.0013985i,-0.00090034-0.0017602i,-0.001367-0.00079363i,-0.00047204+0.0006888i,0.00077208+0.0023192i,0.0010675+0.0025798i,0.00045575+0.00083678i,-0.00071524+0.00029502i,-0.00090385+0.00071757i,-7.1764e-05+0.00063136i,-4.4671e-05-0.00032468i,-0.00011429-0.00037568i,-0.00016359+3.0859e-05i,-0.00042248-0.0001417i,-0.00022445+8.138e-05i
-0.0010609+0.0019499i,-0.00098299+0.0011931i,-0.0012608+0.0011065i,-0.0015131+0.00076164i,-0.0011898-0.00019777i,-0.00015289-0.0007305i,-0.00021263-0.00079657i,-0.00055724-0.00085595i,-0.0009985-0.00047346i,-0.0013466+0.00051686i,-0.0007869+0.0012814i,-0.0010894+0.0017673i,-0.0022669+0.0029352i,-0.0030118+0.0030297i,-0.0016376+0.001102i,4.569e-05-0.0014065i,-9.0316e-06-0.0023933i,-0.0003339-0.0011896i,-0.00014187+0.00015338i,-0.0002099+7.0314e-05i,-0.00074333+0.0001362i,-0.0009845-7.7792e-06i,-0.0010551-0.00037549i
-0.00026053-0.0020438i,-0.0016031-0.0017631i,-0.0018974-0.00093685i,-0.00016354+0.0011628i,0.00095785+0.0022992i,0.00088697+0.0012897i,0.00046465-0.00022154i,-0.00063992-0.0013234i,-0.0011527-0.00091019i,4.6436e-05+0.0009632i,0.00073459+0.0015253i,-0.0011244+0.00047615i,-0.0032461-0.00044105i,-0.0024167-0.00087856i,-0.00029106-0.00095209i,0.0010597-0.00096732i,0.0015247-0.00078847i,0.0011621-5.1106e-05i,0.00062326+0.00052247i,0.0013361+1.5847e-05i,0.0017189-0.00058479i,0.0007548-0.00044575i,6.445e-05-0.00027501i
0.0010134+0.00042787i,-0.00024226+0.0011954i,-0.0016138+0.0015589i,-0.0020027+0.00073438i,-0.0017478-5.1543e-06i,-0.0017306+4.5864e-05i,-0.001254+0.00010684i,-0.00016876-0.00041135i,0.00054748-0.00015076i,0.000873+9.4397e-05i,0.00010456-0.00053857i,-0.0015015-0.0013095i,-0.0019448-0.0022169i,-0.00030802-0.0023054i,0.00049421-0.00090022i,0.00049776+0.00032007i,0.0011129+7.9166e-05i,0.00030466-0.00027319i,-0.00030852-0.00025165i,0.0005905+9.3296e-05i,0.00087236-0.00022877i,0.00054252-0.00016328i,0.00060542+0.0005422i
-0.0026403-0.0019008i,-0.0028975-0.001072i,-0.0032429-0.00039479i,-0.0041212-6.9266e-05i,-0.0038989+0.00047661i,-0.0020227+0.0010417i,-0.00014441+0.00090853i,0.00049583+0.00028606i,0.00037005-0.00057568i,0.00029262-0.0015895i,-0.00017111-0.0021041i,0.00052219-0.0019596i,0.0024155-0.0021334i,0.0027377-0.0022128i,0.0012852-0.0011976i,-1.5187e-05+0.00031385i,0.00014934+0.00057658i,0.00059253-5.483e-05i,-7.7064e-05-0.00023144i,-6.798e-06+9.888e-05i,0.00065583+0.00086302i,9.3483e-05+0.0011172i,-0.00047939+0.0007941i
0.00043104-0.0030423i,-6.4917e-06-0.0035141i,5.31e-06-0.0017271i,0.0003512+0.00029216i,-0.00025501+0.00098065i,-0.001071+0.0001059i,-0.0012971-0.00031773i,-0.0006674-0.00084961i,6.1933e-05-0.0018998i,-0.00069245-0.0018871i,-0.0014719-0.00079635i,-0.00010738+0.00097404i,0.0018293+0.0020357i,0.0018247+0.0010751i,0.00063948+0.00031707i,-0.00052428+0.00062837i,-0.00024273+0.00056871i,0.0012618-0.00027438i,0.00086562-0.00062607i,3.1572e-05-0.00026339i,0.00036375-7.2735e-05i,0.0007376-0.00018251i,0.00048507+0.0002592i
0.0023745+0.00023036i,0.0023828-0.00014382i,0.0013213+0.0003408i,-0.00050644+0.0010207i,-0.0010996+0.0010568i,-0.00054974+0.00031658i,-0.00038545-0.0018276i,-0.0003364-0.0033361i,-0.00075881-0.0032204i,-0.0009171-0.0012482i,2.6803e-05+0.0012764i,-3.704e-05+0.0028862i,-0.00077201+0.003076i,-0.00055619+0.0020355i,-0.00033465+0.00084276i,-0.00022554-0.00029851i,-0.00033922-0.00080463i,0.00012916-0.00038443i,0.00044699+0.00025665i,-0.00067628-2.4409e-05i,-0.0011718-0.00071292i,-0.00079679-0.00034805i,-0.00056897-0.00019999i
-0.0012705+0.00042106i,-0.0014353+0.0014366i,-0.0015437+0.0013947i,-0.0011655+0.00022325i,-0.0012147-6.4319e-05i,-0.00043885-0.00093787i,0.0005071-0.0017594i,0.00039101-0.0018625i,-0.0001535-0.00097013i,4.5198e-05+5.5284e-05i,0.00023595+0.00099595i,-0.0017244+0.0015395i,-0.0042555+3.1435e-05i,-0.0039429-0.0011282i,-0.0012561-0.0007035i,0.00030409-0.00078693i,0.00035327-0.0017402i,0.0012333-0.00070387i,0.0017872+0.00054133i,0.00085995+0.00087644i,-0.000444+0.00068599i,-0.00057571+0.00055135i,0.00040262+0.00060734i
-0.002385-0.0030351i,-0.002177-0.0021557i,-0.0032599+0.00019224i,-0.00428+0.0021086i,-0.003217+0.0024631i,-0.00094953+0.0018339i,-0.00034364+0.00068981i,9.2015e-05-0.00053526i,0.00058205-0.00019761i,0.0001697+0.00037118i,-0.00025944-0.00098663i,-0.0010034-0.0034408i,-0.0016773-0.0043349i,-0.0010813-0.002921i,0.00018491-0.0012146i,0.0006001+3.4908e-05i,0.00046692+0.00066518i,0.00057389+0.0015464i,0.00038986+0.0022283i,0.00053853+0.00095353i,0.00010606+0.00032517i,-0.00042689+0.00013325i,3.5178e-05-0.00031559i
0.00015783+0.00097723i,-0.00017789+0.0013765i,-0.00034403+0.00083045i,-0.0006914+0.0005929i,-0.00071511+1.2554e-05i,-0.00049866-0.00090997i,-0.00052381+0.00022455i,-1.5828e-06+0.0015961i,0.00026713+0.0011705i,0.00021301-0.00049427i,0.00054802-0.0030163i,0.00093051-0.0042545i,0.002044-0.0033764i,0.0025521-0.0017086i,0.0014314-4.6798e-05i,0.0008225+0.00080678i,0.0005979+0.0011665i,0.00019904+0.001459i,0.00030733+0.00082425i,0.00024978+0.00023279i,-7.7831e-05+6.5368e-05i,-3.082e-05-0.00033762i,0.00017056-0.00029334i
-0.00046826+0.0018867i,0.00043362+0.0012429i,0.0021593+0.0017688i,0.0025383+0.0019371i,0.0020042+0.0011731i,0.00038348-0.00010627i,-0.0006308-0.00096891i,-0.00054251-0.00089188i,-0.00087028-0.001205i,-0.0013554-0.0018354i,-0.00075199-0.0015949i,0.00139+0.0011187i,0.0038893+0.0028495i,0.0040703+0.0023081i,0.0015339+0.0011465i,-0.00063167+0.00063716i,-0.00082784+0.00032663i,-0.00090558-0.00071216i,-0.0012315-0.0015046i,-0.00053126-0.0012562i,-0.0001257-0.00089954i,0.00027819-0.00087401i,0.00033169-0.00032622i
0.0011003+0.00026971i,0.00059646+0.00020287i,-0.00035603-0.00031763i,-0.00093366-0.0005384i,-0.0014047-0.00065998i,-0.00065264-0.00096071i,0.00028594-0.0016221i,0.00099074-0.0027336i,0.0011755-0.0032985i,4.2266e-05-0.001907i,-0.0008564+0.0011183i,-0.00088505+0.0041965i,-0.0013316+0.0053379i,-0.001212+0.003912i,-0.00017105+0.0023327i,7.1736e-06+0.0011459i,-0.00012508-0.00040914i,8.6486e-05-0.0016806i,0.00030514-0.0017805i,0.00025096-0.00094947i,0.00016891-0.00017991i,0.00040801-0.00018839i,0.00044714+0.00011873i
0.000998-0.00070816i,0.00067002-0.0016492i,-0.00041288-0.0019232i,-0.0011207+4.3512e-05i,-0.001243+0.0008764i,0.00017971-0.00018974i,0.00121-0.0018318i,0.0014786-0.0028223i,0.0010721-0.0019283i,-9.8179e-05+0.00064847i,-0.0015199+0.0023303i,-0.0031602+0.0021974i,-0.0058492+0.0014493i,-0.0054517+0.0012237i,-0.0025658+0.00063557i,-0.00043025-0.00050527i,0.0012708-0.0010854i,0.0013417-0.0013716i,0.0014115-0.00034598i,0.0014631+0.00045061i,0.00068473-2.9295e-05i,0.00031092-0.00041602i,0.00023363-0.0010376i
-0.0014494-0.00096471i,-0.0022174+0.00065779i,-0.0015641+0.0020849i,-0.0019412+0.0023408i,-0.0014412+0.0013768i,-5.9298e-05-0.00012244i,0.00018082-0.0010714i,-0.00085707-0.00023403i,-0.00078798+0.00099789i,-0.00037871+0.0015145i,-0.0012071+0.00026701i,-0.0020247-0.0023244i,-0.0024671-0.0039337i,-0.0014583-0.003726i,0.00028164-0.0019946i,0.0012185+0.00026369i,0.0015808+0.00077743i,0.001701+0.00036171i,0.0013895+0.00047654i,0.00049182+0.00077532i,7.115e-05+0.00084461i,-0.00026622+0.00026951i,-0.00050433+0.00016174i
-0.00027382-0.0020827i,0.00021819-0.0028082i,0.00039592-0.0019294i,0.00055286-0.0010031i,0.00083187+0.00042993i,0.00033118+0.0011227i,-0.00096229+0.00071211i,-0.0021092+0.0018214i,-0.0016907+0.0019781i,0.00023575+0.00046579i,0.0015543-0.0017778i,0.0027058-0.003888i,0.0040415-0.0049087i,0.0039906-0.003742i,0.0030172-0.0014442i,0.0025307+0.00045322i,0.0019346+0.00098649i,0.00062883+0.00043684i,-0.0002089+0.00015579i,-8.7643e-05+0.00058332i,0.00034089+0.00042691i,0.00040793+8.4788e-05i,0.00014865+3.8864e-05i
0.0020549+0.0012873i,0.00044346+0.0014636i,-0.00083372+0.0010574i,-0.0017722+0.00061921i,-0.0024963+0.00014962i,-0.0023258+0.00042012i,-0.0013323+0.00079251i,0.00010479-0.00024243i,0.001495-0.0020497i,0.001685-0.0033827i,0.0017189-0.0025971i,0.0036515-0.00018802i,0.0052073+0.0020358i,0.0043903+0.0022751i,0.0020813+0.0010725i,0.0003799+0.00082103i,-5.5285e-05+0.0010334i,-1.6517e-05+0.0001946i,-0.00059996-0.00071902i,-0.0012336-0.0014629i,-0.0011556-0.0011889i,-0.00097395-0.00047229i,-0.00077519-0.0003004i
-0.0011622+0.0017622i,-0.001688+0.00069082i,-0.0012574-0.00065026i,-6.3233e-05-0.00082821i,0.00048883+0.00013676i,0.0006842-6.0966e-05i,0.00086598-0.0010727i,0.0014661-0.0021924i,0.0017411-0.0028992i,0.00058744-0.0015257i,-0.00050446+0.0013878i,-0.00054949+0.005077i,-0.00059521+0.006613i,-0.00045503+0.0046972i,-0.00011616+0.0023049i,-0.00081477+0.00085805i,-0.0013534-0.00055051i,-0.0010614-0.0012832i,-9.1075e-05-0.0012181i,0.00035461-0.00017283i,0.00049981+0.00040569i,0.00092666+0.00039524i,0.00071419+5.7748e-05i
0.00039714-0.002119i,0.000627-0.00024475i,0.0013775+0.0025128i,0.0018391+0.0025622i,0.0016918+0.0010396i,0.0014468-0.0002215i,0.0014412-0.00090091i,0.00091437-0.0018084i,0.00032808-0.0016906i,-0.00093314+0.00040247i,-0.0027349+0.0023277i,-0.005247+0.0027956i,-0.0068181+0.0022413i,-0.0057747+0.0014163i,-0.0033096+0.00071749i,-0.0010913-0.00036013i,0.00037547-0.0013363i,0.00066263-0.001395i,-0.00022767-0.00044629i,-0.00012619+0.00059895i,0.00024352+0.00038143i,0.00076089+0.00018142i,0.0011936+0.00044596i
0.0017085+0.0020373i,0.002182-0.00016138i,0.0015336-0.0002914i,0.00054349-0.00021477i,0.00011569-0.0013594i,-0.00018995-0.0021735i,-0.00084004-0.0021917i,-0.0014235-0.0015351i,-0.0015314-0.00018953i,-0.001992+0.0007127i,-0.0019797-0.00075073i,-0.0027048-0.0032629i,-0.0035724-0.0043213i,-0.0036794-0.0037485i,-0.0022212-0.0018683i,0.00049941-0.00064399i,0.0014918-0.0011016i,0.0011386-0.0017719i,0.00041145-0.0012638i,-0.00055701-0.00069634i,-0.00061793-0.00011093i,-0.00047003+0.00023207i,0.00051666+0.00041378i
-0.00054193+0.0016069i,-0.00070241+0.0022345i,-0.0012193+0.0025863i,-0.0017655+0.0017148i,-0.0026846-0.0001248i,-0.0027226-0.00071645i,-0.00089414+0.00011061i,0.00029277+0.0002979i,0.0005746+4.1004e-05i,0.001119-0.00054387i,0.0029205-0.0025026i,0.0044662-0.0046077i,0.0047602-0.0051126i,0.0047737-0.0043624i,0.0036264-0.0024298i,0.002018-0.00030416i,0.0017502-0.00014057i,0.0012833-0.00084015i,0.0014435-0.00010175i,0.0011489+0.00089647i,-0.00019401+0.00056565i,-0.00041947-0.00038635i,0.00019809-0.00048191i
-0.0010848-0.0025169i,-0.0011873-0.0043718i,-0.00021234-0.0038845i,0.00095113-0.0009427i,0.0019423+0.0011878i,0.0013678+0.0010101i,0.00027777+0.00027458i,0.00061993+0.0005236i,0.001866+0.00034451i,0.0031135-0.00051176i,0.0050701+5.8022e-05i,0.0074186+0.00243i,0.0084233+0.0034289i,0.0073888+0.0018582i,0.0042695+0.00073213i,0.0021738+0.0005318i,0.0019359+0.0010861i,0.0013767+0.001004i,0.00058406-4.8429e-05i,0.00057219-0.00028952i,0.00066092-0.00028662i,-2.6215e-05-0.001059i,-0.00012704-0.0015031i
0.0053987+0.0021551i,0.0060358+0.0021044i,0.0049464+0.0012076i,0.0020927-0.0011677i,-0.00034558-0.002852i,-0.0013328-0.0024721i,-0.00081072-0.00083318i,0.000745-0.00010858i,0.001779-0.00092472i,0.0015577-0.0008798i,0.00026247+0.0016958i,-0.0011627+0.0057614i,-0.00043713+0.0078468i,0.0016771+0.0060736i,0.0016765+0.0034816i,-1.0182e-05+0.0027184i,-0.0011518+0.0028281i,-0.00064564+0.0025279i,5.918e-05+0.0019932i,0.00010961+0.0014393i,0.00018316+0.00092795i,6.4116e-05+0.00045272i,8.0621e-05+0.00028761i
-0.0006169+0.00014154i,-0.0016786-0.00015309i,-0.0026818-0.0010567i,-0.0036108-0.00066181i,-0.0033796+0.00040676i,-0.0014142+0.00023864i,-0.00074723-0.00013673i,-0.0015978-0.00070674i,-0.0024611-0.0012764i,-0.0047727-0.00013851i,-0.0072518+0.001473i,-0.0085167+0.0021687i,-0.0079696+0.0027518i,-0.006068+0.0031437i,-0.0038833+0.0023734i,-0.0017855+0.00067391i,-0.0014655-0.000368i,-0.0018238-0.00056531i,-0.0016212-0.00051132i,-0.0013874-0.00017341i,-0.00075724+0.00018996i,0.00011132+0.00068755i,0.00080789+0.0007939i
-0.0016663-5.5072e-05i,-0.0021339+0.0019398i,-0.002419+0.0037286i,-0.0012993+0.0032806i,-0.00050889+0.0020901i,-0.00020617+0.0010179i,0.00052397-0.00069267i,-0.00039386-0.002491i,-0.0026311-0.0030084i,-0.0044143-0.0025135i,-0.0044167-0.0030513i,-0.0040805-0.0050747i,-0.0051433-0.0060491i,-0.0048643-0.0044321i,-0.001846-0.0026639i,0.00012378-0.0028378i,-2.9717e-05-0.0032392i,-0.00054091-0.0029542i,-0.0008924-0.002319i,-0.00085894-0.001371i,-0.00097779-0.00070793i,-0.0012368+0.00020191i,-0.0011744+0.00076596i
0.0015221+0.0011342i,0.00051591-0.0020938i,0.00055322-0.0040812i,0.0011739-0.0037457i,0.00057998-0.0031476i,-0.00076508-0.0022097i,-0.0013999-0.0013009i,-0.00035852-0.0012627i,0.00090927-0.0012272i,0.0014695-0.0014109i,0.0030972-0.0026645i,0.0051189-0.0051068i,0.0048034-0.0060469i,0.0024184-0.0052456i,0.0013078-0.0036164i,0.0019438-0.0021847i,0.0032142-0.0023474i,0.0031697-0.0033722i,0.0017279-0.0033386i,0.00046539-0.0019081i,-5.0789e-05-0.00066637i,-0.00071477-0.00078755i,-0.00077651-0.00071091i
