-0.0024057+0.0012095i,-0.0031711+0.0016734i,-0.002332+0.0024496i,-0.0006032+0.0023873i,0.00058411+0.0011529i,0.0006502-0.00031052i,0.00043657-0.0011601i,0.00033765-0.00064394i,-0.00026207+2.6415e-05i,9.9675e-05+0.00022633i,0.00054179+0.00024152i,-0.00076983-8.0319e-05i,-0.0011506-0.000884i,0.00023028-0.0010449i,0.00095995-0.00010092i,0.00084409+0.00018702i,0.00045076+0.00042413i,0.0002233+0.0011966i,0.00095208+0.0011203i,0.00076686+5.6655e-05i,-5.8019e-05-0.00033636i,0.00010699+0.00018782i,-0.00016123+4.0344e-05i
0.00021077+0.00026655i,4.5089e-05+0.00017278i,-0.00051012+0.0020391i,-0.00079248+0.0025419i,-0.00049886+0.00055688i,-0.0002782-0.00092771i,-0.0001216-0.00032142i,-0.00036111+0.0003339i,-0.0002378+0.0006036i,6.7151e-05+0.0010851i,4.5636e-05+0.0009681i,-7.0153e-05+6.9761e-05i,4.8741e-05-0.00077436i,0.00035389-0.0002587i,0.0001493-7.2746e-05i,0.00025745+2.1333e-05i,2.4229e-05+9.0289e-05i,1.7951e-05-0.00019766i,-0.00031365+0.00041507i,-0.0012787+0.00098036i,-0.0010939+0.00075379i,-0.00061189+0.0002696i,-0.00026956+0.00031799i
0.0015942+0.0013445i,0.0010518+0.0019049i,0.0013541+0.0010764i,0.0014262+7.6969e-05i,0.00029865-4.7488e-05i,-0.00090235-0.00012555i,-0.0013023-0.00073719i,-0.0010713-0.001182i,-0.0004511-0.00071397i,0.00032249-0.00011085i,0.00024675+0.00066532i,-4.7856e-05+0.00076105i,9.4842e-05+0.00032095i,-0.00023644+0.00021308i,-0.00036693+2.4632e-05i,-5.3361e-05-0.0002442i,-1.3921e-05+7.7529e-05i,-6.3022e-05+0.00030765i,-0.00014345+0.00012804i,-0.00034125-0.00025965i,-0.00040939-0.00024153i,4.2182e-05+0.00024784i,-0.00025088+4.3712e-05i
-3.9146e-05-0.002213i,-0.0005517-0.0018101i,-0.0017294-0.0013968i,-0.0022201-0.0011331i,-0.0013061-0.00040515i,-0.00012142+3.1059e-05i,0.00057062-0.00015588i,-9.6867e-05-0.00035334i,-0.0014115-7.2817e-05i,-0.0009921+0.00021399i,0.00020215+0.00057738i,-0.00010754+0.00044125i,-0.00085058+0.00022675i,-0.00051454+0.00073227i,0.00026543+0.0012592i,0.00038236+0.00044816i,-0.00024384-0.00038353i,-0.00038034-0.00063317i,-0.00010825-0.00044226i,-7.504e-05+0.00030378i,-8.6187e-06+0.00010459i,4.9211e-05-0.00028486i,-0.00036128-0.0001363i
-0.001265+0.00069022i,-0.00059659+0.0013663i,-0.00091447+0.0013121i,4.4676e-05+0.00029125i,0.00055317-0.00024418i,-0.00029537-0.00016468i,1.3104e-06-4.479e-05i,0.00044386-0.00045304i,0.0001146+0.0002968i,0.00017585+0.00074591i,0.00045782+0.00045273i,0.00032085+8.7471e-05i,-7.9979e-05-0.00073593i,-0.00040285-0.0013168i,-6.0983e-05-0.00057829i,0.00036885+0.00050565i,0.00059709+0.00074413i,0.00067049+0.00022486i,0.00010428-0.00045033i,5.3882e-05-0.00015857i,0.00090677+0.0010102i,0.00053555+0.0010002i,-0.0010457+0.00028671i
-0.001888+0.00030933i,-0.00042517+0.00013048i,-0.00054776+0.00063391i,-0.00080556+0.00064064i,0.00011736+0.00032545i,0.00052378-2.7036e-05i,0.00020227-0.0012418i,-2.1396e-05-0.0016114i,0.00011963-0.00069898i,-3.6018e-05+0.00034307i,0.00016104+0.00047964i,0.00036539+0.00018683i,0.00014948+0.00041409i,-0.00011395-5.8938e-05i,-0.00026122-0.00053376i,0.00018424-0.0006642i,0.00033573-0.00010998i,-6.9094e-06+0.00034778i,-0.00065032-5.7022e-05i,-0.00086097-0.00047126i,-0.00046297-0.00069637i,-2.2888e-05-0.00047137i,0.00028858-0.00042701i
-0.0012953+0.0011319i,-0.0018013+0.0014991i,-0.0022741+2.6643e-05i,-0.0015359-0.00046552i,-0.0007287-0.00042876i,-0.00055144-0.00070212i,-0.0002943-0.00015054i,0.00024176-7.4779e-05i,-0.00012003-0.00048086i,-0.00045097+0.00024421i,-0.00060316+0.00055174i,-0.0010672+0.00040558i,-0.00064348+0.00055286i,0.00018724+0.00034905i,-0.00029812+0.00064276i,-0.00088731+0.0013246i,-0.00079015+0.0013347i,-0.00057285+0.00096752i,-0.00031639+0.00045385i,-0.00059891+8.2231e-05i,-3.4796e-05+1.6659e-05i,0.00059681+0.00019815i,-0.00035919+0.00022414i
-0.0021749-0.00037631i,-0.0028531+0.00076354i,-0.0020479+0.0019946i,-0.00059555+0.0014807i,0.00066044+0.00051999i,0.0013365-0.00028354i,0.0012694-0.0006667i,0.00022095-0.0010964i,-0.00042122-0.0011487i,0.00022154-0.00010203i,0.00033174+0.00066292i,-0.00012657+0.00094587i,0.00032797+0.00047223i,0.00073477-2.0189e-05i,0.00055317-0.00017551i,3.0701e-06-9.0285e-05i,-6.3889e-05+0.00021385i,0.00031233+0.00015065i,0.00026026-0.00044073i,0.00015934-0.00024274i,-5.9111e-05-0.00014893i,-0.00052426+0.00042845i,4.7953e-05+0.0007847i
0.0036125+0.00020819i,0.0034447-0.00017284i,0.0034011-0.0017439i,0.0024449-0.0026875i,0.00035198-0.0028147i,-0.0011301-0.001861i,-0.0010333-0.0012882i,-0.00071368-0.00096229i,-0.00060821-0.00078353i,-0.00030489-0.0015784i,-0.00032146-0.00086438i,-0.00060175+0.00012997i,0.0003234-9.3345e-05i,0.0012965+0.00027378i,0.0010309+0.00051827i,0.00022547+0.00071378i,0.00073097+0.00034063i,0.00082775+0.00033345i,2.8335e-05+0.00035688i,-0.00022715-0.0001074i,-0.00035674-7.9294e-05i,-0.00033169-1.5454e-05i,3.3747e-05+0.00023762i
0.0018268-0.00048041i,0.001181-0.0014073i,-0.00018546-0.0020286i,-0.0013991-0.0016866i,-0.001619-0.0016588i,-0.0016544-0.0011452i,-0.00096356+9.8506e-05i,-0.0002094+7.8416e-05i,0.0001141+3.2997e-05i,-0.00011534+3.5407e-07i,-0.0005846-0.00032121i,-0.00021919-0.00038762i,0.00058087-0.00013859i,0.00011055+0.00042713i,-0.00032683+0.00045634i,-0.00082708+0.00023321i,-0.00040779+8.9522e-05i,0.0007762-0.00054617i,0.00088307-0.00068493i,0.00034697-0.0001928i,0.00017535+9.352e-06i,0.00025167-0.00042819i,0.00021188-0.00048491i
