-0.0012254+0.0003457i,0.00044259+0.00017873i,0.00064704+0.00098938i,0.0002776+0.0010746i,-0.00075516+0.0011525i,-0.00047968+0.0013258i,-4.3775e-06+0.0012864i,-0.00020541+0.001161i,0.0007896+0.00042348i,0.0017123-0.0005487i,0.0012208-0.00062127i,0.00077286-0.00029377i,0.00041747-0.00067818i,0.00039306-0.0013665i,0.00068434-0.0011734i,0.0009512-0.00090664i,0.00066363-0.00073993i,0.00047372-0.00040509i,0.00052671-0.00025316i,0.00033892-0.00013368i,0.00016696-0.00082713i,-0.00010528-0.00036188i,-0.00030479+0.00028834i
0.0016535+0.00024015i,0.00033775-0.00019235i,0.00059084-0.00057673i,0.0010372-0.0018543i,0.0010857-0.0027869i,0.00045145-0.001923i,0.00063841-0.00072522i,0.0010696-0.00031119i,0.0014034-0.000271i,0.00064542-0.00022618i,-0.0002366-0.00037957i,-0.00048347+0.00025438i,-0.00041048+0.00064757i,-0.00035964+0.00039344i,-0.00021286+0.00052707i,0.00047366+0.0013006i,0.00030522+0.0015079i,-0.00051949+0.00054153i,-0.0006926-0.00039351i,0.00012684-0.00072099i,0.00099375-0.00059065i,0.00068479-0.00053576i,-8.6295e-05-0.0006792i
-0.00092324-0.00067323i,-0.0012515-0.00023671i,-0.0013864+5.3541e-05i,-0.00088365+0.00081822i,0.00078562+0.00059503i,0.0012371-7.6829e-05i,3.7041e-05+0.00032333i,-0.00082411+0.00036268i,-0.00058195-0.00012584i,0.00036742+0.00021511i,0.00060028+0.00056357i,-0.00038096+0.00046769i,-0.0002303+0.00052456i,0.00093257+0.00049771i,-2.1154e-05+0.0004249i,-0.00095074+0.0001668i,8.592e-05+0.00015272i,5.6209e-05-0.0001133i,-0.00024189-0.00023911i,0.00031621+0.00038208i,0.00074518+0.00098708i,0.00056965+0.0013272i,9.2794e-05+0.00052849i
0.00090635+7.5463e-05i,0.0010753-0.00027708i,0.0012162-0.0011427i,0.0005464-0.0010711i,-0.00013698-0.00023763i,-0.00018807-0.00040856i,0.00010312-0.00053877i,0.00060925-0.0001539i,0.00060041+0.00031693i,0.00076264-0.00014436i,0.00064469-0.00061854i,0.00055799+6.9758e-05i,0.00068439+0.00044115i,-0.00016611+0.00044169i,-0.00057137+0.00084183i,5.3099e-05+0.00076352i,0.00070924+0.00044848i,0.00029432-0.00021573i,-0.00029454-0.00087972i,-0.00018751-0.00080776i,-0.00013733-0.00040155i,-0.0002369+0.00029768i,0.00011252+5.9704e-05i
-0.0017027+0.0026591i,-0.00079711+0.0030361i,0.00043835+0.0032689i,0.0022572+0.0028007i,0.0033382+0.0013993i,0.002831+5.6697e-06i,0.0013377-3.809e-05i,-0.00087968+0.00050576i,-0.0014357+0.00032024i,-0.00039658+0.00034668i,0.00029638+0.0001661i,0.00051553-6.044e-05i,0.00031121-0.00045915i,-0.00029852-8.5946e-05i,-0.00034268+0.00027086i,-0.0001676-0.00015164i,0.00016714-0.00071688i,0.00044791-0.00094023i,-0.00016474-0.00057552i,-0.00050259-0.00019758i,-0.00072525+0.00023433i,-0.00031926+0.00024331i,0.00028704-3.8492e-05i
-0.00013843-0.00020415i,-0.00056712-1.5864e-05i,-0.00031127+0.00030204i,0.00059541+0.00129i,0.0013755+0.0015784i,0.0016505+0.00062821i,0.00092677+0.00027107i,0.00056248-5.772e-06i,0.00076469-0.0003667i,0.00026011-7.7333e-05i,0.00046789+0.00026413i,0.00051651-0.00027705i,-0.00018778-8.9021e-05i,-0.00015146+0.00016599i,0.0002478-0.00057923i,0.00073819-0.00030637i,0.00063399+0.00047174i,-0.000129+0.0002334i,-0.00048701-0.00026982i,-0.00057072-0.00041943i,-0.00022297-0.00037284i,-0.00023682+6.4668e-05i,-0.00051245-0.00019613i
0.00076819-0.00026597i,0.0006025-0.00080139i,-0.0014523+0.00022633i,-0.002178+0.00050331i,-0.00061346+0.0001967i,0.00059287+0.00092744i,-0.0005216+0.0011669i,-0.0010041+0.00051664i,-3.2989e-05-5.786e-05i,7.8431e-05-0.00025912i,0.00022073-7.5781e-05i,0.00015922+0.00041818i,0.00015365+0.00063104i,-0.00023928+0.00034506i,-0.00033808+3.6184e-05i,0.00012132+0.00058978i,0.00064947+0.0012693i,0.00035123+0.00044448i,0.00024539-0.00044787i,0.00032639-0.0002699i,9.4017e-07+2.8447e-05i,0.00037047-0.00022629i,0.00050376-0.00038902i
0.0017683+0.0022772i,0.0024126+0.0024931i,0.003075+0.0021304i,0.0026038+0.001145i,0.0014103+6.2311e-05i,0.00074659-0.00093734i,0.00060763-0.0010834i,-8.5986e-05-7.1185e-05i,-0.00038198+0.00023922i,0.00074553-0.00095848i,0.0010504-0.0010124i,1.6853e-05+0.00025842i,-0.00060997-0.00016884i,-0.0011335-0.00058457i,-0.0011891+7.3166e-06i,-0.0005928+5.2563e-05i,-0.00093224-0.00036287i,-0.00054709-0.00038226i,-8.1976e-05+9.6423e-05i,-2.8731e-05+0.0011224i,0.00011481+0.00090345i,0.00051547-0.00042552i,0.00081039-6.0963e-06i
-0.0010411+0.00091845i,5.1941e-05+0.00061024i,0.00055207+0.00037738i,0.00083739+8.6368e-05i,0.0013958-0.00077002i,0.0012525-0.0016882i,0.0002902-0.0014437i,-0.0004079-0.00026206i,-0.00061133+0.00021378i,-0.00059813+0.00010715i,6.2398e-05+0.00010885i,0.00034865-8.8634e-05i,0.0003276-0.00022906i,0.00073177+0.00012851i,0.00051273+0.0011095i,-4.1181e-06+0.0011719i,-0.00071239+0.00044254i,-0.00094624-0.00016834i,-0.00038742-0.00014428i,0.00042906-0.0001915i,0.00078239-0.00043229i,0.00020843-0.00041948i,-0.00010923-0.00064461i
-0.0026897-0.000675i,-0.00326+0.00091224i,-0.003616+0.0033978i,-0.0024636+0.0041483i,-0.00012067+0.003042i,0.0011967+0.0013853i,0.00026706+0.00030591i,-0.00045589+0.00018153i,7.3814e-05-0.00036969i,0.00064007-0.0008994i,0.00019445-0.00048969i,0.00035069+9.102e-05i,0.00092844-0.00034222i,0.00077285-0.00094379i,0.00012036-0.00040439i,-0.00050842+0.00036738i,-0.00034726+6.5106e-05i,8.8975e-05-0.00023113i,-5.6713e-05+0.00028289i,-0.00016299+0.00014741i,-0.00033352-2.0506e-05i,-0.00019898-5.529e-05i,0.00035469-0.00043722i
0.0012588-0.00057737i,0.0022413-0.00069i,0.0024048-0.00070036i,0.0012032-0.00027669i,0.00029316-8.5311e-05i,7.0627e-05-0.00046399i,6.5571e-05+0.00016901i,-6.0174e-05+0.001129i,8.0597e-05+0.0013306i,-0.0001441+3.3522e-05i,-0.00019447-0.0010643i,0.00010844-0.00011193i,0.00051989+0.00069449i,0.00028786+0.0003993i,0.0001698+4.8894e-05i,0.00010323-0.00021296i,-0.00037706-0.00028585i,-0.00035146+9.4109e-06i,-6.5101e-06+0.00074171i,-0.00021282+0.00033722i,5.8403e-05-0.00031183i,-0.00047202-0.0002133i,-0.0011525-0.00044667i
-0.00088984+0.0012066i,-0.00085145+0.001228i,-0.00014364+0.0019317i,0.001118+0.0023113i,0.0019734+0.0020679i,0.0016601+0.00088565i,0.00068431-0.00035612i,-0.00080646-0.00024983i,-0.00078088+0.00030102i,-0.00012539-2.4308e-05i,0.00042711-0.00066794i,0.0011169-0.0006027i,0.00074267-0.00060067i,-0.00025022-0.00052549i,-0.00015569-0.00041203i,0.00099889-0.00014111i,0.00018563+0.00065114i,-0.00046101+0.00038874i,3.1308e-05+0.00019569i,0.00047055+0.00063756i,0.00014352-0.00055426i,-0.00053349-0.00099893i,-0.00040676-0.00031397i
-0.0016288+0.0015747i,-0.00028329+0.0016369i,-0.0010989+0.0022579i,-0.00069588+0.0023837i,0.0014774+0.0013998i,0.0021793+0.00010896i,0.0014334-0.00083766i,0.00046538-0.00048484i,4.2805e-05+0.00039443i,0.00065263+0.00036032i,0.00075866-0.00038322i,0.00058364-0.0014364i,0.00075-0.0016412i,0.0010686-0.00065931i,0.0014123-0.00038671i,0.001275-0.00064408i,0.00033009-0.0010227i,-0.00010361-0.0007787i,0.00029887+0.00020114i,-7.1658e-05+0.00084543i,-0.00051901+0.00030277i,-0.00029485-0.00058129i,-0.00078149-5.5592e-06i
-0.00021502+0.00077307i,-0.0010231+0.00063176i,-0.00046556+0.00042661i,0.00027587+0.00093878i,0.00076238+0.0016249i,0.00075869+0.0014827i,-0.00011112+0.00042583i,-0.00059198-4.9987e-05i,-0.00033621+0.00031775i,7.2524e-05+0.00044311i,0.00057022-0.00015293i,0.00091618-0.00010974i,0.00073352+0.00010245i,0.00052573-0.00018633i,0.00019812+7.0539e-05i,0.00028497+0.00015571i,0.00084525-0.00038246i,6.4657e-05+2.4621e-05i,-0.0010386+0.00049791i,-0.00076709+3.4065e-06i,-0.00023835-0.0004285i,8.2109e-05-0.00020617i,0.00016918+0.00011317i
0.0021118-0.00033297i,0.0031999-0.0011193i,0.0023081-0.0021347i,0.00061686-0.0019215i,0.00028076-0.00079914i,0.00089735-0.00052593i,-0.00013513-0.0009711i,-0.00058606-0.00064993i,0.00029838+0.00017242i,0.00024139+5.5749e-05i,-2.7864e-05-0.00015215i,-0.00019198+0.00020133i,8.2493e-05+0.00011218i,0.0007421-0.00054926i,0.00085108-0.00030019i,0.00063752+0.00028878i,0.00050118+0.00053708i,0.00041503+5.4588e-05i,0.00041701+3.5002e-05i,-0.00050562+0.0008165i,-0.00083181+0.0005796i,-0.00024393-0.00015391i,0.00030333-0.00070088i
0.00096428+0.001633i,-0.00015601+0.0015166i,-0.00031882+0.00099869i,-7.947e-05+0.00040729i,0.00038531-0.00051389i,8.7737e-05-0.0011876i,-0.00078293-0.0009961i,-0.00082332-0.00026174i,0.00049272-0.00044662i,0.00061167-0.00067744i,-0.00026581-0.00045079i,0.00013076+3.3525e-05i,-8.7413e-05+0.00061638i,-0.001076+0.00030392i,-0.001408-0.00034933i,-0.00068117-0.0004902i,0.00021699-0.0002185i,-0.00026666+0.00037343i,-0.00049035-0.00013246i,-0.00060158+0.00027286i,-0.00076582+0.00043484i,-7.915e-06+0.00061974i,0.0003327+0.0005216i
-0.0014444+0.00021232i,-0.00047942+0.001038i,-0.00046441+0.0024688i,-0.00051087+0.0029905i,-2.2489e-05+0.0015718i,0.00044526-6.8338e-05i,-0.00015166-0.00081387i,-0.00099799+0.00017093i,-0.0012643+0.00035008i,-0.00056736-0.00034016i,0.00053207-0.00067158i,0.00079187-0.00087341i,0.00066171-0.0008064i,-0.00018497-0.00032049i,-0.00084219-0.00045834i,-0.00025269-0.00079204i,-0.00061058-0.00048673i,-0.00062891-7.4628e-05i,9.2883e-05+0.00029957i,0.00059203-2.717e-05i,0.00047713-0.00036985i,0.00043965-0.00088602i,0.00030857-0.00065567i
0.00094027-0.00064134i,0.0017631-0.00042818i,-0.00016265-0.0010266i,-0.00094853+0.00019105i,-0.00026566+0.00095648i,0.000619+0.0011714i,0.00056356+0.0011485i,0.00019138+0.00071607i,0.00037623+0.00045994i,0.00031053+2.4228e-05i,-0.00017866-0.00043924i,-0.00020657+0.00024848i,0.00015601+0.00067073i,0.00014178+0.00038379i,0.0002676+0.00065562i,0.00036994+0.00075921i,-0.00015658+0.00059617i,-0.00037831+0.0001934i,-0.00012022+0.00019307i,0.00014811+0.0007269i,-7.9442e-05+0.0008987i,-0.00075656+0.00066349i,-0.00073224+0.0006219i
-0.00013227+0.00023993i,0.0010488+0.0012714i,0.00046479+0.0010119i,-0.0003565+0.00094359i,-0.00065741+0.0013455i,0.00011081+0.00026668i,0.0006981-0.00081549i,0.00024699-0.00086579i,-0.00024735-0.0006161i,-0.00050258-0.00051316i,-0.00048734-0.00052251i,-0.0012457-0.00037652i,-0.001416-0.0005476i,-0.0010141-0.00038339i,-0.0004474-0.00028028i,-0.00047593-0.000558i,-0.00048487-0.00027324i,5.2958e-05+0.00034976i,-0.00062293+0.00069202i,-0.0010066+0.00083097i,-0.0001985+0.00023086i,0.00066237-0.00015755i,0.00046546+0.00011145i
-0.00078029-0.00052199i,-0.001857+6.2075e-05i,-0.0011237+0.00082391i,0.00015377+0.00089896i,0.00048859+0.00058658i,0.00051852+0.00036299i,-0.00014467+0.00048161i,-0.00026827+0.00019633i,4.1066e-05+0.00026397i,0.00052714+0.00054529i,0.00093585+0.00058716i,0.00073447+0.00021444i,-1.0028e-05-0.00049825i,-0.00081471-0.00061554i,-0.00056647-0.00042239i,4.4198e-05-0.0003116i,0.00035639+0.00013718i,0.00016266+0.0002438i,-9.7681e-05-0.00059283i,0.00029797-0.00039738i,0.00021001+0.00016549i,-6.2191e-05+0.00022145i,-0.00013693+0.00044224i
-0.0012967-0.0030191i,-0.0018481-0.0021571i,-0.0024831-0.0014711i,-0.0021935-0.00032097i,-0.0012564+0.001077i,-0.00011048+0.0019122i,0.0005597+0.0014221i,0.00096934+0.0010905i,0.0010336+0.00086716i,0.00076104+0.00033685i,0.0007495+0.000665i,0.00022748+0.00081333i,0.00029135-4.3065e-05i,7.926e-06-0.0010544i,-0.00026636-0.00098006i,0.00019512-0.00028281i,0.0010529+0.00047778i,0.00097893+0.0010055i,-0.00042964+0.00020666i,-0.0010126-0.00056348i,-0.00091519-0.00058904i,-0.00049707-0.00078633i,-9.8141e-05-0.00069548i
9.748e-05-0.00062801i,0.00044125-2.2205e-05i,-0.0009081+0.0013737i,-0.0016581+0.0022227i,-0.0011618+0.0017224i,-0.00094375+0.00071999i,-0.0011425-0.00069971i,-0.00062501-0.0010627i,-0.00029405-0.00036668i,-0.00022731-4.5731e-05i,0.00016542+0.00029779i,0.00093978+0.00063469i,0.0011586+0.00076899i,0.00055393+9.1015e-05i,0.00041336-6.6196e-05i,0.00019059-0.00058914i,-0.00049126-0.00099397i,-0.00042593-0.00073994i,0.00035319-0.00053486i,5.3732e-05+0.00017411i,-9.9368e-05+0.00065333i,0.00042454+0.0003679i,0.00055897-0.00039i
0.0014135-0.00039844i,0.001507-0.00013042i,0.0016406-0.00066197i,0.00037446-0.00085602i,-0.0007406-0.00049124i,-0.00031022-0.00030371i,0.00052185-0.0002153i,0.00063228-0.00027666i,7.3798e-05+8.136e-05i,-0.00013479+0.00022455i,-0.00013541+0.00072152i,-0.00042062+0.00071651i,-0.00013621-0.00026097i,0.00040584-0.00016229i,0.00048703+0.00018983i,0.00053763+0.00058233i,0.0003336+0.00072169i,-8.12e-05+0.00064123i,0.00020621+0.00061525i,0.00048909+2.11e-05i,0.00028813-0.00040321i,-0.0007348-0.00036072i,-0.0009656+0.00028927i
-5.6163e-05+0.00044727i,-0.0012623+0.0010275i,-0.0020517+0.001347i,-0.0012785+0.00049135i,6.2549e-05-0.00032611i,0.0010535-0.00048483i,0.0013857+5.946e-06i,0.0012428+0.00035683i,0.0010984-0.00037027i,0.00042788-0.00063306i,-0.00040936+0.00029698i,-0.00066575+0.00080628i,0.00023835+0.00014358i,0.0015543-0.00037265i,0.0012723+0.00013279i,0.00047971+0.0006452i,0.00076722+0.00026324i,0.00079912+0.00021693i,8.3048e-05-7.5093e-05i,0.00021972-0.0006091i,0.00039556-0.00029447i,-0.00041819+0.0003906i,-0.0011363+0.00024888i
-0.00092573-0.00090691i,-0.0018243-0.0015835i,-0.0020572-0.00073148i,-0.0015821+0.0012826i,-0.00036107+0.0016549i,0.00050053+0.00051533i,0.00051879-0.00089383i,-2.4647e-05-0.0012678i,6.3198e-05-0.00094672i,-0.00017663-0.00026999i,8.8957e-05+0.00086678i,0.00064743+0.0010934i,0.00073333+0.00095183i,0.00053084+0.00045405i,0.00033278-3.6934e-06i,-7.7597e-05+0.00011704i,-0.00015323+0.0003988i,-0.00011112+0.00016233i,-0.00035944-0.00019121i,-0.0006108-6.4028e-05i,-0.00050561+0.00018285i,-0.00020815+0.00032811i,-1.5923e-05+0.00023008i
0.0029162+0.00063688i,0.0028532+0.0007223i,0.0028804-0.00057316i,0.002429-0.0024431i,0.0010559-0.0025493i,-0.00041708-0.0016434i,-0.00091508-0.0008289i,-0.0010175-0.00027833i,-0.00037275-7.3929e-05i,0.00057201-0.00016942i,0.00049839-0.00015793i,-0.00031318+0.00014425i,-0.00068472+0.00051159i,-0.00064979+0.00067592i,-0.00020613+0.00021926i,0.00086924-0.00021913i,0.00069232+0.00051612i,-0.00053012+0.00091062i,-0.0012343+0.00043096i,-0.00035134+0.00033917i,0.00041204+0.00027448i,-0.00064329+3.4334e-05i,-0.0012725-0.00028643i
-0.0029149+0.00055547i,-0.0042727+0.0015299i,-0.0043744+0.0034988i,-0.0017721+0.0044666i,0.00058924+0.004913i,0.0013656+0.0025392i,0.00033641-0.00013513i,-0.0003621+0.00069965i,-0.00023448+0.001405i,0.00038534+0.00095734i,0.00021735+0.00012171i,-0.00066467-0.001081i,-0.00033835-0.0010677i,0.00048562-0.0003449i,0.00036229+0.00011454i,0.00022196+9.9279e-05i,-4.1976e-06-0.0001223i,-0.00057484-0.00046311i,-0.00048341+0.00024916i,6.6348e-05+0.0011199i,0.00025306+0.0010497i,0.00027538+0.00035738i,-0.00026515+0.00013836i
-0.00079927+0.00075175i,-0.00032655+0.00085138i,2.4331e-05+0.0019852i,-9.7678e-05+0.0027351i,0.00083122+0.0018108i,0.0017842+0.0014316i,0.00077414+0.00071928i,-0.00019742+0.00014647i,-1.4936e-05-0.0002467i,0.00033857-0.00057474i,-0.00017709-0.00094033i,-0.00086223-0.0010654i,-0.00061539-0.00040856i,-0.00012516-0.0003601i,-0.00018608-0.00077139i,-0.00026886-0.00047755i,-6.8917e-05-2.8336e-05i,0.00032829+0.00041913i,0.0002088-0.00044627i,0.00056106-0.00099238i,0.00086979-0.00029073i,0.00039302-0.00071142i,-0.00027054-0.00068694i
-0.00054746-0.00089276i,-0.00047016-5.4256e-05i,-0.00021861+0.0021204i,0.00036834+0.0020677i,0.00091355+0.00055518i,0.0011181-0.00044906i,-1.8627e-06-0.00075297i,-0.00043766+0.00015717i,0.00021753+0.00076632i,0.00038177+0.00057653i,0.00039663+0.00047156i,0.0012111+0.00010664i,0.0011366-0.00027631i,0.00044733-0.00055097i,-0.00010951-0.00061681i,-0.00042291-0.00059199i,-0.00040961-0.00021709i,-0.00021356+0.00097408i,0.00026786+0.00080343i,0.00054428+3.3453e-05i,-6.1749e-05+0.00032107i,-0.0007353+0.00028492i,0.00011148+0.00029338i
-0.00090078-0.00050383i,-0.0014685-9.9813e-05i,-0.0011192+0.00036516i,-0.0022754+0.0013619i,-0.0025732+0.0014558i,-0.00068922+0.00082986i,-7.26e-05+0.00068451i,-0.00022651-0.00031781i,0.0005589-0.00043134i,0.00096937-0.00070453i,0.0010857-0.0011434i,0.00073062-0.0012403i,3.0952e-05-0.00074486i,-0.00065971+3.606e-05i,-0.00057858-3.6481e-06i,0.00061064+0.00015431i,0.00041074+0.0006881i,-0.00017284+0.00029466i,-9.0613e-05+0.00017136i,-0.00018921-0.00013035i,0.00024574-0.001193i,0.00083893-0.00093752i,0.00073414+0.00023482i
-0.0008031-0.001347i,-0.0012121-0.00033308i,-0.00066689+0.0020911i,0.00067228+0.0030599i,0.0019829+0.0024238i,0.0024709+0.0016625i,0.000587+2.9432e-05i,-0.00094689-0.0011634i,-0.00040437-0.00031276i,0.00017008+0.00066593i,0.00045912+0.00020887i,0.00089587-1.9027e-05i,0.00062699+0.00034217i,0.00035306+0.00032008i,0.000666-0.0001395i,0.00069141-0.00048604i,0.00071634+0.00037066i,0.00086322+0.001286i,0.00078681+0.00052681i,0.00063681+5.5806e-05i,0.00049137+0.0003543i,0.00021567+0.00028471i,0.00027296-0.0001777i
-0.0002998-0.00082359i,-0.00078872-0.00071783i,-0.0020337-0.00021211i,-0.001616+0.00091529i,8.2907e-05+0.0017667i,0.00092496+0.0011643i,0.00088242+0.00094015i,-0.00014711+0.00088963i,-0.00026859+0.0010354i,-0.00011265+0.00048228i,-0.00013996-0.0003523i,0.00050009-0.00043671i,0.00033857-0.00058695i,0.00016869-0.0003552i,0.0010846+0.00025781i,0.0012503+0.00026897i,0.0011113+0.00019267i,0.00063008+0.00024413i,-0.00056155+0.00031157i,-0.0010573+0.0001454i,-0.0010877-0.0010061i,-0.00038602-0.0013446i,0.00062885-0.00073438i
-0.00049548+0.0015003i,-0.00048718+0.00055173i,-0.00038266+0.00048881i,0.00049822+0.00012886i,0.0017144-0.00025772i,0.0020233-0.00054564i,0.00076658-0.0009183i,-0.00063335-0.00065072i,-0.00071813+5.1317e-05i,-0.00047023-0.00062725i,-0.00041332-0.0011331i,0.00012946-0.00047578i,0.00074918+1.6979e-05i,0.00028107+8.1223e-05i,0.00019314+0.00038361i,0.00037534+0.00084393i,0.00041151+0.00078198i,0.00052588+0.00083706i,0.00039311+0.0015194i,-9.3024e-05+0.0013541i,-0.00034074-0.00018362i,-0.00022393-0.0010871i,-0.00062366-0.00031287i
-0.0010116+0.00028157i,-0.001156+0.0004199i,-0.00237+0.00096062i,-0.0015516+0.0025756i,-0.00028513+0.0029562i,0.00066092+0.0018359i,0.0011036+0.00068147i,0.00030603-0.00016344i,-9.0349e-05-0.00010519i,8.6266e-05+0.00020918i,-4.206e-05-0.00023175i,0.00014035-0.00041359i,0.0012311-0.00022808i,0.0011344-0.00035604i,0.00075577-7.5214e-05i,0.00047675-0.00044116i,-0.00045177-0.0010832i,-0.00028675-0.00020547i,-8.6766e-06+7.7327e-05i,0.00010876+0.0008116i,0.00017333+0.00161i,9.7478e-05+0.0014967i,7.1039e-05+0.00090265i
-0.00038917-0.00011318i,0.00037206+0.00027485i,0.0011207+0.0016788i,0.00034177+0.0019208i,-0.00011082+0.001044i,0.0012885+0.00030902i,0.0017081+0.00047351i,0.00043506+0.0010213i,-0.00027242+0.00013516i,0.00029071-0.000833i,0.00052413-8.6537e-05i,-0.00027054-0.00010261i,4.4779e-06-0.00045377i,0.00046532-9.6692e-05i,-0.00021943+0.00039621i,-0.00024195+0.00039965i,-0.00011617+0.00038908i,-0.00023781+0.0002036i,-0.0003793+0.00021576i,-0.00023073+0.00038942i,-0.00023248+0.00029267i,-0.00089237+0.00011688i,-0.00095057+0.00012589i
-0.0021534-0.00021969i,-0.0024897+0.0014084i,-0.0030405+0.002769i,-0.0019003+0.0039868i,0.00088812+0.0035908i,0.0027895+0.00093088i,0.0019547-0.00026183i,0.00014013+0.0005109i,-0.00062609+0.0011441i,-0.00024551+0.00058521i,0.00023414+0.00018756i,0.00072325+0.00062991i,0.00072386+9.5569e-05i,0.00039203-0.00070285i,0.0001545-0.00029046i,2.885e-05+2.6955e-05i,0.00036295-0.00026686i,6.397e-05+0.00016621i,-0.00041517+0.00037561i,-0.00011508+3.4432e-05i,0.00059788-0.00065044i,0.00082861-0.00052743i,6.2657e-05+0.00021564i
-0.00025251+0.0012478i,0.0012507+0.0016451i,0.0012158+0.0022332i,0.00029818+0.0019122i,0.0003338+0.0011653i,0.0012225+1.7816e-05i,0.0010936-0.00030444i,0.0010442+0.00025537i,0.0011187+0.00061005i,0.00051113+0.0002214i,0.00026935-0.00013122i,0.0011151+6.0289e-05i,0.0016363-0.00027393i,0.0014274-0.00098768i,0.00041311-0.0010658i,-0.00056537-0.00042895i,-0.000769+0.00018068i,-0.00082457+0.00064134i,-0.00054456+0.00025476i,-0.00014098-0.00022558i,-0.00031308+8.5623e-05i,-0.00078624-0.00013779i,-0.00063056-0.0002334i
-0.00182-0.0010031i,-0.0024465-0.001149i,-0.0023724-0.001127i,-0.00098865+0.00031883i,0.00049449+0.0018625i,0.0013365+0.0019079i,0.00093763+0.0007695i,-0.00027274+0.00026253i,-0.00094105+4.6089e-05i,-0.00066603-0.00029628i,-0.00042556-0.00067832i,-0.00044517-0.00030524i,0.00052664+0.00031807i,0.0014163+4.7652e-05i,0.0015228-0.00062264i,0.001419-0.0006739i,0.0010203+0.00030545i,0.00077611+0.0006314i,0.00038743+0.00047552i,0.00012433-3.3814e-06i,0.00016354-0.00030049i,-0.00066746+0.0002119i,-0.00058828+0.00012101i
8.7053e-05+0.00035268i,-0.00058868+0.00088242i,-0.0015252+0.001747i,-0.00066955+0.001745i,0.0010571+0.00044654i,0.0018564-0.001005i,0.0015653-0.00061904i,0.00090203-4.2845e-05i,0.00063586-0.00040842i,0.00037305-0.00028304i,-9.8038e-05+0.0005069i,-0.0005087+0.00086785i,-0.0005153+0.00066579i,-0.00036603+0.00026389i,-1.787e-05+0.00026878i,0.00038935+0.00075024i,0.00053996+0.0012139i,0.00067136+0.00064036i,0.00036816-0.00027867i,0.00047283-0.00023168i,0.00056944-5.2345e-05i,0.00080617-0.00058594i,0.00061802-0.00074687i
0.00011875+0.0008778i,3.5287e-05+0.0012046i,-0.00014641+0.0014336i,0.00073813+0.0012532i,0.00082106-0.00023288i,0.00039633-0.0012125i,-0.00012622-0.00064691i,-0.0001113-0.00064438i,-0.00015218-0.00044398i,-9.7772e-05-0.00070889i,-0.00022399-0.0008592i,-0.00073001-0.00055352i,-0.00018091-0.00012679i,-0.00014291+0.00062645i,-0.00084612-1.5497e-05i,-0.00068291-0.00053635i,-0.00082832-0.00038215i,-0.00074511-0.00030837i,-6.5243e-05+0.00027904i,9.4828e-06+0.00068021i,-1.809e-05+0.00072332i,3.0275e-05+0.00078927i,-0.00056594+0.00054904i
5.9229e-05+0.0017809i,0.00078514+0.001284i,0.0021378+0.0013201i,0.0019534+0.0020438i,0.001211+0.0011188i,0.0011284+0.00012521i,0.00042131+0.00072663i,-0.000178+0.0020619i,0.0004904+0.0026112i,0.0006613+0.0010689i,0.00048968-2.5462e-05i,0.00065696+0.00064015i,-2.9852e-05+0.00067063i,-0.00069729+0.00086515i,8.5926e-05+0.0005196i,0.00025705+2.4182e-05i,0.00018799+0.00075265i,0.00036406+0.0010118i,5.6574e-05+0.00059109i,0.00022154+0.00031556i,0.0005008-0.00038724i,0.00039275-0.00083554i,-0.00041307-0.00056136i
-0.00017345-0.0003898i,-0.00053061-0.00038118i,0.00040586+0.0018381i,0.001274+0.0015304i,0.0016099+4.437e-05i,0.0018457-8.0355e-05i,0.001032+0.0001086i,0.00039556-0.00098787i,0.00084942-0.0012318i,0.00080134-0.00044012i,0.00040734-0.00017973i,0.00024898+7.3964e-05i,0.00027906+0.0003201i,0.00034739+0.00055902i,9.4604e-05+0.00045825i,-0.00022391-1.6039e-05i,-0.00070474+0.00018278i,-0.001353+4.5236e-05i,-0.0012528-0.00040361i,-0.0002085-0.0008355i,0.00042829-0.00082639i,0.00028415-0.00026266i,0.00028063+9.9843e-05i
0.00089878-4.622e-05i,0.00034091-0.00123i,-0.00051558-0.0010574i,-0.00073512-4.3114e-06i,6.6163e-05-3.8917e-05i,0.00043922-0.0003197i,0.0005558-0.00039648i,0.00074817-0.0004807i,0.0010205+6.2667e-05i,0.0010961+0.00018471i,0.00073334-0.00018488i,0.00047477-3.5577e-05i,0.0008174-0.00015117i,0.0014725-0.00045142i,0.001208-0.00057326i,-9.4344e-06-0.00039737i,-0.00018786+0.00017205i,-0.00047968+0.00059132i,-0.00050935+0.00044994i,-0.00017173+0.00034142i,-5.185e-05+0.00024038i,-0.00039009+0.00052626i,-0.00049748+0.00041205i
0.001597+0.0021623i,0.001787+0.00045571i,0.0030478+0.00036975i,0.003177-0.00031364i,0.0024242-0.0023749i,0.0018205-0.0030616i,0.00015173-0.0019851i,-0.0006437-0.00072709i,-0.00082704-0.00049797i,-0.00080645-0.0011018i,-0.00078759-0.0017461i,-0.00093726-0.00075441i,-0.00041746-4.5404e-05i,-0.0003175-0.00058392i,-0.0001174-0.00024023i,-7.5847e-05+0.00050382i,-0.00037635+0.00033882i,-0.00035383+0.00012811i,-0.00012248-0.00019341i,0.00010501-0.00049684i,0.00021171-0.00012595i,-0.00025001+0.00039419i,-0.00071779+0.00040048i
