-0.001229+0.0016319i,-0.0012888+0.0024372i,-0.00076312+0.0026736i,4.1898e-05+0.0025039i,0.0008521+0.0019002i,0.00048074+0.00046552i,0.00026171-0.0001568i,0.00039581-0.00026526i,-0.00015401-0.00021654i,-0.00085065+0.00035307i,-0.00020985+0.00066437i,0.00029966+0.00022405i,0.00032745+0.00029787i,-0.00014655+0.00023206i,-5.3183e-05-0.00038158i,0.00042187-9.2654e-05i,-0.00033593+0.00028214i,-0.00039731+0.00019436i,-0.00039135-2.9365e-05i,-0.00033504-0.00014348i,0.00037335+0.00010266i,0.00076368-0.00044299i,0.0014281-0.00060454i
-0.0015059+0.00024137i,-0.00077105+0.00042803i,0.0013422+0.001992i,0.0023759+0.0022959i,0.0019442+0.0010753i,0.0010006-9.6198e-06i,0.00022955-0.00081409i,4.7211e-05-0.00063295i,3.2968e-05-0.00010344i,0.00038262-2.7094e-05i,0.0006236-0.00027996i,0.00023785-0.00045123i,0.00011571-0.000457i,0.00062649+0.0001558i,0.0011085+0.00066334i,0.00056411+0.00042223i,0.00015704-0.00025023i,0.00042719-0.00040853i,0.00015187-0.00046106i,-0.00036853-0.00049726i,-0.00039113-1.3348e-05i,0.00046137+0.0007482i,0.00074512+0.00081639i
-0.0015372+0.0017498i,-0.00088199+0.0011137i,-0.0012116+0.0011629i,-0.0010874+0.00023706i,0.00038937-0.00053907i,0.00024545-0.00094901i,-0.00066708-0.0006796i,-0.00050474+0.00031736i,-0.00045154+0.00022551i,0.00037468+0.00031248i,0.00087279+0.00084695i,0.00010734+0.00022768i,-2.4272e-05-0.00093395i,0.00051324-0.0015305i,0.00064457-0.0012103i,0.00067774-0.00062049i,0.00085367+0.0002532i,4.4379e-05+0.0010497i,-0.00036211+0.00053793i,-6.8738e-05-0.00030297i,-0.00015984-0.00057417i,-0.00023402-0.00032168i,6.3184e-05+0.00029001i
-0.00052004+0.00082801i,-0.00029255+0.0015196i,0.0012888+0.0024682i,0.0015854+0.0017202i,0.0011151+0.00091193i,0.0009621+0.00059547i,0.00096052+0.00014538i,0.00038343+0.00021549i,0.00027682+0.00085599i,0.00049473+0.00069497i,0.0003618+0.00018158i,0.00054282-7.0853e-05i,0.00025451+0.00017154i,-0.00028391+0.0010346i,-0.00041223+0.0013268i,-0.00024858+0.00063042i,0.00031952-0.00032127i,0.00092944-0.0006369i,0.00034616+0.00020139i,-0.00040453+0.00015592i,-0.00041792-0.00011017i,-0.00034254+2.7201e-05i,0.0002441-0.00029913i
0.00037522-0.00095207i,-0.00021351-0.0012568i,-0.00037021-0.00021941i,-0.00099269+0.00023526i,-0.00056598+2.0747e-05i,5.6777e-05-0.0001154i,0.00067881-0.00031236i,0.0004496-0.00042631i,-0.0006228-0.00072696i,-0.00096492-0.0010585i,-0.00077568-0.00055178i,-0.0010718+0.00018376i,-0.00040756+0.00087429i,0.00048098+0.0010552i,0.00066908-5.0193e-05i,2.2376e-05-0.00060678i,-0.00053042-5.0342e-05i,1.1694e-05+0.0010552i,0.00011477+0.0013266i,-0.00019149+0.0012423i,9.6834e-05+0.00091098i,0.00045899+0.00052006i,0.00048708+0.00077031i
0.00046363+0.00090536i,0.00035736+0.00089573i,0.00053752+0.00060522i,0.00085439-0.00021192i,0.0005315-0.0010586i,0.00034501-0.00093103i,7.9213e-05-0.0004099i,-0.00047316+0.00049765i,-0.00041434+0.0007244i,-0.00026504-0.00022807i,-0.00068025-0.00017623i,-0.00077727-9.2088e-05i,-0.00058142+0.0002243i,-0.00072763+0.00047723i,-0.00096637-0.0001831i,-0.00079471-0.00029099i,-7.1701e-05-0.00033783i,0.00022113-0.00039641i,9.316e-05-0.00035677i,0.00087273-0.00010318i,0.0015844-0.00017497i,0.00053786-0.0003655i,-0.00067677-5.7204e-05i
-0.0027967-0.0015398i,-0.0025139-0.0014425i,-0.0019644-0.00065247i,-0.0013817+0.00053855i,-0.00062501+0.0021151i,0.00060433+0.0025418i,0.00074527+0.0010676i,5.9746e-05+0.00016341i,-2.7481e-05+0.00038709i,-0.00062138+0.00016547i,-0.00089442+0.00022822i,-0.00021699+0.00053151i,0.00015488-0.00011854i,0.00019944-0.00045249i,0.000527-0.00014311i,0.00070257+0.00048427i,0.00035187+0.0003245i,-0.00019348-0.00025225i,-0.0010066+8.0657e-05i,-0.0013106+0.00067963i,-0.0013269+0.00077035i,-0.00084461-0.00022012i,0.00013552-0.00070594i
-0.0019026-0.00019318i,-0.0030491-0.00034014i,-0.0029215+0.00093784i,-0.0019768+0.0017279i,-0.0011704+0.0018649i,0.00028027+0.0011411i,0.00021293-6.1262e-06i,-9.0368e-05-0.00052426i,5.7052e-05+0.00029252i,-0.0001336+0.00032223i,7.0547e-06-3.4706e-05i,4.4714e-05+0.00041942i,0.00015586+0.00064745i,0.00027236+0.000579i,0.00010123+0.00011018i,0.00040166+4.799e-05i,0.00014477+0.00030283i,0.00025782-0.00015971i,0.00023561-0.00065268i,-0.00012249-0.0010305i,-4.1691e-05-0.00095931i,6.3214e-05-0.00087883i,-0.0001059-0.00048593i
-0.00195-0.00051582i,-0.001899+0.00039191i,-0.00031294+0.0022548i,0.00091824+0.0021077i,0.00030052+0.0016078i,0.00038981+0.0009222i,0.00024824-0.00017472i,-0.00018642-0.0011789i,-0.0005376-0.0012247i,-0.00043191-0.00082321i,0.00031205-0.00011587i,0.00043688+0.00014931i,0.00060749-0.00026875i,0.00058377-0.00056373i,8.2612e-05-0.0009516i,-0.0003594-0.00073388i,-0.00055874-6.4353e-05i,-0.00044701+0.0003677i,-0.00018898+0.00018114i,0.00027621-0.00027648i,0.00055799-1.0369e-05i,8.8131e-05+0.00054523i,-0.00049424+0.00041718i
-8.6873e-05-0.0019887i,-0.00054692-0.0027424i,-0.0021108-0.0019634i,-0.0029878-0.00081008i,-0.0020743+0.00018623i,-0.0011618+0.0010379i,-0.00052451+0.00095047i,-0.00054577+0.00023865i,-0.00052612+0.00019895i,-0.00070137+0.000278i,-0.00077932-0.00042191i,-0.00012649-0.0012955i,0.00043877-0.0010721i,0.00058445-0.00057882i,0.00052903-0.00056919i,0.0004167-0.00060248i,0.00053935-0.00059189i,9.5637e-05-4.0663e-05i,-0.00049978-0.00019441i,-0.00061831-0.00046893i,-0.00072313-0.00012982i,-0.00094661+0.00039706i,-0.0011315+0.00065355i
-0.00098173+0.0017558i,0.00041266+0.0025089i,0.0016875+0.002771i,0.0022367+0.0024491i,0.002106+0.001332i,0.00074605-0.00033089i,-0.0012051-0.0012417i,-0.0010122-0.0014455i,8.4654e-05-0.00072717i,-0.0001134+1.9658e-05i,-0.00044377+0.0005044i,-0.00078391+0.00067025i,-0.0009993-8.8062e-05i,-0.00049728-0.00065811i,0.00016387-0.00014202i,-0.0003195+0.00083043i,-0.00097696+0.001208i,-0.00046856+0.00066895i,0.00033671+0.00010706i,0.0004083-7.5212e-05i,-0.00011018+0.00016259i,-0.00072333+0.00044555i,-0.00071314+0.00041373i
0.0010562+0.00025908i,0.00031663+0.0011461i,-0.00093107+0.0011215i,-0.0016009+0.00037895i,-0.0015358+0.00056611i,-0.0015189+0.00029095i,-0.00082594-0.00068933i,-0.00022189-0.0010946i,8.7919e-05-0.0011779i,0.00049673-0.00073056i,-0.00062299-0.00033683i,-0.0015746-0.00053974i,-0.00084493-0.0010717i,-0.00022834+2.5744e-05i,-1.2124e-06+0.00088432i,6.6e-05+0.00059126i,0.00031981-0.00020598i,8.6867e-05-0.0009205i,-0.00063536-0.00047815i,-0.00010922+0.00079374i,0.00018192+0.00051085i,-0.0003499-1.4706e-05i,-0.00067967+0.00048099i
-0.0027867-9.5309e-05i,-0.0021281+0.00058881i,-0.0013614+0.0023944i,-3.8873e-05+0.0033973i,0.0011372+0.0019864i,0.0016259+9.2696e-05i,0.00051914-0.00031299i,-0.00076831-0.00062414i,-0.00091637-0.00059077i,-0.0008236+6.2471e-05i,-0.00046563+0.00036953i,1.7591e-05+0.00059671i,-0.00016336-6.3963e-05i,-0.00054663+0.00030311i,-0.00012405+0.00075553i,0.00028781-0.00010767i,0.00039934-0.00020176i,0.0015348-0.00020318i,0.0013957-0.0003981i,-0.00013477-0.00068298i,-0.0006891-0.00053289i,-0.00018171-7.2466e-05i,-0.00024888+0.00023869i
0.00046123+0.00014892i,0.0014729+0.00068699i,0.00083305+0.00051932i,-0.00049189+7.3483e-05i,-0.0010814-0.00040583i,-0.0016087+4.7874e-05i,-0.0013286+0.00088331i,-0.00042463+0.0010801i,-7.1605e-05+0.00033295i,-2.5645e-05-0.00031581i,-0.0002676-0.00073736i,-0.0003986-0.00078289i,0.00011012-0.00047837i,-1.7026e-05-0.00031284i,-0.00095103-0.00013992i,-0.00085374+0.00032709i,-7.6088e-05+0.0003537i,-9.3034e-05-0.00024507i,-0.00026309-0.00043128i,-0.00036605+6.4648e-05i,3.097e-05-0.00016315i,0.00041718-0.00016121i,0.00012501+0.00014514i
-0.00059916+6.335e-05i,6.7273e-05+0.0018348i,0.00079075+0.0021656i,0.0013016+0.001349i,0.0004191+0.00092909i,-0.00013218+0.00051249i,0.00033384+6.9887e-05i,0.0007908-0.00069642i,0.00053447-0.0007808i,0.00021857-0.00079318i,-0.00030802-0.0002773i,-0.00040228-0.00023972i,-0.00035842-0.00081981i,2.8351e-05-0.00081325i,0.00091051-4.4418e-05i,0.00078058+0.00067389i,0.00038172-2.0555e-05i,-0.00034375-0.00027457i,-0.0007429+0.00077174i,-0.00012818+0.0010669i,0.00077997+0.00068331i,0.00073826+0.00082195i,0.00088545+0.0010528i
-0.0012157+0.0021448i,-2.7127e-05+0.0026733i,0.0010888+0.0027724i,0.0016926+0.0016187i,0.0011902+1.0074e-05i,-0.00013358-0.00098636i,-0.00067284-0.0010163i,-0.00089765-0.00049265i,-0.00036582-0.00026519i,0.00012344+0.00086703i,-0.00052668+0.00025256i,-0.0015259-0.00040206i,-0.00097542+0.00011975i,0.00015965+0.00042562i,0.00066138+0.00060284i,0.00022355+0.00013121i,-0.00077581-0.00059642i,-0.00035939-0.00060311i,2.1558e-05-0.00054793i,-0.00028127-0.00028276i,-0.00018893+0.00013383i,0.00019441-5.1919e-05i,-3.4881e-05+2.644e-05i
0.00069656-0.0011693i,0.0010668-0.00062946i,0.00084601+0.00020712i,0.00030709-0.00018284i,0.00024372-0.00021373i,8.3742e-05-0.00020525i,-6.0084e-05-0.00051247i,-0.00054255-0.00022373i,-0.0011182+0.00019077i,-0.0015988+3.2697e-06i,-0.0013217+0.00013022i,-2.6319e-05+0.0012723i,0.00093008+0.0017239i,0.00038941+0.0010139i,-1.1776e-05+0.00036391i,3.3416e-05+0.00011502i,-0.0003721-5.7384e-05i,-0.00033048-0.00031027i,0.00048117-0.00035222i,0.00052374+0.00016016i,-6.5068e-05+0.00020646i,-5.5548e-05+0.00093209i,0.00011378+0.0019853i
-6.3631e-05-0.0010266i,0.00042742-0.00083766i,-0.00051407+0.00067225i,-0.0011524+0.0023163i,-0.00072848+0.0022888i,-0.00015965+0.0012119i,-9.1557e-05+0.00028951i,-0.00048051-0.00017659i,-0.00092949+0.00013078i,-0.00092745+0.0015813i,-0.00084464+0.0012995i,-0.00069194+0.0005559i,-0.00017378+2.6843e-05i,-0.00021339-0.00079427i,-0.00029057-0.000426i,-0.00038634-8.7319e-05i,-0.00079535-0.00014174i,-0.0010388+0.00036626i,-0.00068386+0.00058703i,-0.00039604+0.00044262i,-0.00040337-0.00035741i,-4.0737e-05-0.00024453i,0.00020476+0.00057848i
