-0.004728+0.00092218i,-0.00085425+0.0011974i,0.0004956+0.0014206i,0.0014772+0.0024027i,0.0023824+0.0026839i,0.0023022+0.0017708i,0.0012726+0.0012877i,0.00073376+0.00098255i,0.00024627+5.3375e-05i,0.0001157-0.00049223i,0.00065429-0.00074333i,0.0012668-0.00072616i,0.00091675-0.00078637i,-0.00021001-0.0011899i,-0.00081379-0.00092591i,-0.00012415-0.00084981i,0.00062352-0.00042404i,0.00048275+0.0002526i,0.00071704+0.00020154i,0.00057014+0.00020709i,-0.00032277+0.00046976i,-0.00033499+0.00066129i,6.1913e-05+0.0008209i
-0.00019129+0.00085097i,0.00054843+0.0020355i,0.0017511+0.002058i,0.0028741+0.0019777i,0.0031786+0.0011785i,0.0022257+0.00014455i,0.0013197+3.9106e-05i,0.00034709-0.00012461i,-0.00059251-0.00072896i,-0.00074874-5.7744e-05i,-0.00070142+0.00039638i,-0.00012247-0.00066982i,0.0002881-0.0011111i,0.00027127-0.0005328i,0.00025913-0.00030773i,-0.00020694-0.00035468i,-0.0001154-0.00065819i,-3.0656e-05-0.0008497i,-0.00043467-0.00069778i,-0.00048519+7.2758e-05i,-0.00073095+0.00069509i,-0.00026296+2.5396e-05i,0.00018351-0.00025333i
-0.001028-0.0013872i,-0.0014502+0.00044529i,-0.0016075+0.0011446i,-0.00013088+0.00083209i,0.0011257+0.001244i,0.0015575+0.0012106i,0.0015839+2.0374e-06i,0.00098223-0.00056729i,0.00011317-0.00035763i,-0.00040014-0.00046115i,-0.00024849-9.3112e-05i,0.00016974+0.00033561i,0.0007627+0.00015144i,0.0014108-5.9051e-05i,0.0011145+5.0325e-05i,0.00066299+0.00032969i,0.00037823+0.0006192i,0.00023335+0.00068798i,0.00014832+0.00094613i,0.00039359+0.00128i,0.00016494+0.00096991i,1.28e-05+0.00060052i,0.00015885+0.00015176i
-0.00027756+0.00054273i,0.00074357+0.0013894i,0.0013999+0.0025971i,0.0031058+0.0018845i,0.0048241+0.00017393i,0.0043994-0.0014069i,0.0029376-0.0015062i,0.0012666-0.00050088i,0.00048212-0.00011843i,0.00013234-0.00018011i,-0.00031146+0.00036917i,-0.0008916+0.00061076i,-0.00061476+8.505e-05i,-0.0004621-0.00060531i,-0.00039175-0.00062208i,8.4132e-05+0.0005123i,-1.4831e-05+0.0010677i,0.00031492+0.00034411i,0.00088112+0.00038859i,0.00024819+0.00066081i,-7.7312e-05+0.00023827i,-3.9223e-05-0.00015446i,-0.00020499-0.00034646i
0.00059374+0.0014234i,0.00091374+0.0013216i,0.0010326+0.00072506i,0.0023834+0.000262i,0.0036664-0.0004528i,0.0026875-0.00093162i,0.0002392-0.00063022i,-0.00038619-0.00047643i,0.00022006-0.00011533i,8.9204e-05-0.0002706i,-0.00030337-0.00035669i,-0.00057093-0.00012043i,-0.00080322+8.9435e-05i,-0.00090255-0.00010785i,-0.00055038-0.00019089i,-0.00018769-0.00057191i,0.00034723-0.00088489i,8.7411e-05-0.00042975i,-0.00027326-0.00074272i,-0.00011117-0.00086639i,-0.00058302+8.8946e-05i,-0.00078873+0.00010766i,-0.00030006-0.00054519i
-0.00028362+0.00031433i,0.00082585+0.0011806i,0.0019998+0.0035543i,0.0033226+0.0040084i,0.0036637+0.0016137i,0.0025869-1.5842e-05i,0.0017683+1.0527e-05i,0.00068493+0.00067751i,-0.00016938+0.0012077i,6.6669e-05+0.0011098i,0.00014633+0.00084791i,0.00028861-0.00022513i,0.00024254-0.00080266i,-0.00023423-0.00076554i,-0.00018057-0.00060562i,-0.00016974-0.00016386i,-1.8739e-05-2.0266e-05i,-0.00028035+0.00013459i,6.86e-05-4.0376e-06i,0.00085629+0.00033474i,0.00056247+0.00076077i,0.00034407+0.00083464i,0.00023491+0.00065327i
-0.00053637+0.0022773i,0.00018336+0.0021248i,0.0014014+0.00079357i,0.0024563+2.9738e-05i,0.0033175-1.351e-05i,0.0027312-0.00083069i,0.00071478-0.0017344i,-0.00020808-0.0013532i,0.00040249-0.00043083i,0.00084308+0.00014441i,6.982e-05+0.00063402i,-0.00088032+0.0011218i,-0.00084716+0.00036178i,-0.00038553-0.00041605i,-0.00010445+0.00016322i,0.00034063+0.00036104i,0.0013465-6.0869e-05i,0.0016394-0.00013016i,0.00028969+0.00031943i,-0.00038729+0.00034298i,6.8101e-05+0.0001964i,-0.00047936+0.00042671i,-0.00073352+0.00048232i
0.00069099+0.0025589i,0.0018913+0.002052i,0.004007+0.0014037i,0.0054298+0.0005186i,0.0051024-0.001138i,0.0038914-0.0012854i,0.0015953-0.0007936i,3.558e-05-0.00073145i,0.00052242-0.00037358i,0.0010775-0.00050864i,0.00065731-0.00060863i,-0.00035824-0.00072193i,-0.00043975-0.00059397i,-2.9817e-05+0.00064454i,0.00020067+0.0014045i,-8.8937e-05+0.00094174i,-0.00060759+0.00020904i,-0.00055434-0.00034716i,-0.00023764+0.00019389i,0.00042638+0.00064423i,0.00092078-7.9235e-05i,0.00072965-0.00052845i,0.00014876+5.2788e-05i
-7.0561e-05-0.00011757i,0.00023073-0.00023124i,0.00047672+0.00082324i,0.0012332+0.001921i,0.0020127+0.0019082i,0.0030216+0.00075131i,0.0022102-0.00064598i,0.00087353-0.00089482i,0.00053721-0.00045316i,-0.00015377-0.00073427i,-0.00023664-0.00090697i,0.00028797-0.00045764i,-0.0002219-0.00057448i,0.00014243-0.0004512i,0.0010751-7.3695e-05i,0.00081527-0.00016342i,-1.1028e-09-0.00044247i,-0.00042435-0.00022843i,-0.0001699+0.00032723i,0.00046712+0.0006062i,0.0006531+0.00041391i,-4.4249e-05-0.00040905i,-0.00018362-0.00048286i
0.0014023-0.00092498i,0.00088413+0.00048791i,0.0017595+0.0014976i,0.0020484+0.0011928i,0.0025138-0.00030151i,0.002859-5.3445e-05i,0.0018485+0.00075946i,0.00074877+0.00037876i,0.00065596-4.6586e-05i,0.00018452-0.00012835i,-0.0006922-7.4688e-05i,-0.00091732-1.7474e-05i,-0.00089352+5.926e-05i,-0.00075334+8.1295e-05i,1.2515e-05-8.525e-05i,0.00045954-0.00066532i,-0.00023233-0.00070951i,-0.00089243+3.4955e-05i,-0.00072257+0.00013106i,-0.00076214-0.00028379i,-0.00062578-0.0001864i,-0.00010098+2.5436e-05i,0.00057354+0.00027686i
0.0010638+0.00024346i,0.00038032+0.00030648i,0.00059606+0.0005124i,0.0014334+0.00067851i,0.0020606+7.9773e-05i,0.0025896-0.00016107i,0.0014508+0.00028895i,0.00033794+0.00057315i,-2.2373e-05+5.7645e-05i,-0.0009583-0.0009992i,-0.001171-0.00093929i,-0.00047325-0.00050189i,0.00038303-0.00060804i,0.00079472+7.5769e-06i,0.000788+0.00042105i,0.00063996+0.00025224i,0.00027189-0.00046781i,0.00014343-0.00077185i,-5.7341e-05-0.00039914i,-0.00043398+0.00039348i,-3.1898e-06+0.0011571i,0.0002248+0.00092454i,0.00041972+7.0679e-05i
7.1998e-05-0.00015456i,0.0018793+0.00010785i,0.0026865+0.0019258i,0.0031965+0.0024042i,0.003387+0.00092478i,0.0026313-0.00060193i,0.0014168-0.00075439i,0.00015948-0.00034251i,0.00013063-5.5919e-05i,0.00024784-0.00021994i,3.0388e-05-0.00024609i,7.0839e-05+0.00058034i,-1.7287e-05+0.00067532i,1.9775e-05+0.00042158i,-0.00047867+0.00021868i,-0.00077138-0.00018686i,-0.00084844-0.00042668i,-0.0010023-0.00028619i,-0.00039308+0.00019044i,-0.00026895+0.00028841i,-0.0006267-0.00054886i,0.00018276-0.00094335i,0.00011734-0.00102i
0.0001681-0.0010001i,-0.0003074-0.00075134i,0.00099137+0.00026874i,0.0024103+0.00053102i,0.0031589+1.6956e-05i,0.0028602-0.0003519i,0.0018685-0.0001307i,0.0013677-0.00015982i,0.00058818-0.00015093i,9.1469e-05+2.6852e-05i,-0.00036173+7.63e-05i,-0.00026438+2.5544e-05i,-0.00026082-0.00052026i,-0.00041532-0.0012326i,0.00025398-0.0010146i,0.00058584-0.0011922i,0.00035129-0.00091566i,-0.00017258+0.00035503i,-5.4766e-05+0.00086543i,1.4307e-05+0.00078984i,-0.00027865+0.00036i,0.00025254-0.00012229i,0.00038404+4.0318e-05i
0.0017743-0.0019347i,0.0018957-0.0017734i,0.0013933-0.00089939i,0.0014657-0.0011558i,0.0016386-0.0018787i,0.0010803-0.0012642i,0.00071103-0.00056028i,0.00038129-0.00053855i,-0.00029712+7.6101e-06i,-0.00061749-0.00056473i,-0.0003156-0.00079904i,0.00065984+0.00041206i,0.00073393+0.00073055i,0.00068563+0.00084416i,0.00079354+0.00095144i,0.00015972+0.00085793i,-9.9336e-05+0.0010116i,0.00011232+0.00086845i,-3.3324e-05+0.00025321i,-0.0005085-0.00075442i,-0.00016357-0.00031068i,-0.00045298+0.00037473i,-0.00070894-0.00013862i
-0.0019794+0.0021141i,-0.0014954+0.002476i,-0.00034227+0.0032706i,0.00082843+0.0034365i,0.0023936+0.0023126i,0.003119+0.0010727i,0.0025301+5.0486e-05i,0.0015361+0.0004845i,0.00060515+0.00070591i,-0.00073834-4.8282e-05i,-0.00085487-0.0009466i,-0.00014653-0.0013483i,-0.00013667-0.00098182i,-0.00067047-0.00052219i,-0.00082409-5.027e-05i,-8.5551e-05+0.0011459i,0.00076386+0.0014031i,0.00027927+0.00064781i,0.00010769+0.00043476i,0.00077392+0.00085189i,0.00030208+0.00097666i,0.0002612+0.00074469i,0.0010611+0.00072822i
0.00064193-0.00057144i,0.0012975-0.00047451i,0.0024038-0.00038748i,0.002508-0.00018131i,0.0022643-0.00032726i,0.0023178+5.7535e-05i,0.001736+0.00015501i,0.00055516+3.7076e-05i,0.00046349+0.00014025i,0.00038795-0.00040136i,1.7184e-05-0.00074369i,-0.00024648-5.8681e-05i,-0.00063629+0.00057459i,0.00017429-5.0693e-05i,0.00060672-0.00072058i,0.00022995-0.00034791i,0.0002759+0.00032717i,0.00015796+0.00073815i,9.421e-05+0.001046i,3.7537e-05+0.00074339i,-0.00088849+0.00045725i,-0.0011562-0.00033467i,-1.9687e-05-0.00099614i
-0.00059826+0.00086376i,-5.3959e-05+0.002164i,0.0012691+0.0035058i,0.0030036+0.003057i,0.0044472+0.0017734i,0.0034768+0.00053928i,0.001362+0.0002996i,0.00027791+0.00035354i,0.00014812+0.00027317i,1.3522e-05-0.00047898i,-0.00034259-0.0010127i,0.0003319-0.00078007i,0.00072104-0.00030176i,0.00022052+3.5597e-05i,0.00044888-0.00036085i,0.00015939-0.00055924i,2.6491e-05-0.00024117i,0.00043863-0.00010996i,0.0001638+0.00023388i,0.00018655+0.00016243i,-2.4041e-05-0.00033438i,-0.00072764-0.0001105i,-0.00025423+9.1242e-06i
-0.002225-0.0019856i,-0.0015346-0.00085201i,0.00038294+0.00020563i,0.0020004+0.0010558i,0.0019574+0.0008922i,0.0010057+0.00090177i,0.00022835+0.00035456i,0.00050747-0.00011009i,0.00056607+0.00025384i,-0.00032383+5.7467e-05i,0.00029494+0.00030368i,0.0010502+1.7615e-05i,0.00028241-0.00070921i,3.0116e-06-0.00072317i,-0.00014925-6.9355e-05i,0.00010902+0.00027321i,0.00035101+0.00057774i,0.00019325+0.00064569i,-0.00036221+0.0002273i,-0.00019181+0.00065374i,-1.4675e-05+0.00090033i,-0.00049694+0.00055716i,-0.00072506+0.00050902i
-0.0015821+0.00090184i,-6.622e-05+0.0010704i,0.00048177+0.0019127i,0.0016+0.0022908i,0.0032245+0.001676i,0.0037146+0.00048433i,0.0018411+0.00013671i,-0.00025326-0.00049169i,-0.00016087-0.00071154i,3.1533e-05-8.1415e-05i,-0.00064581+0.00040023i,-0.00082686+0.0007173i,-0.00018034+9.1704e-05i,-8.5633e-06-0.00079155i,-0.00050652-0.00032642i,0.00011423+7.2302e-05i,0.00049713+0.00021945i,0.00020508+0.00089935i,0.00018621+0.0012115i,0.00043964+0.00061988i,0.00042189+0.00012826i,0.00038775+0.00066089i,0.00077141+0.0010962i
0.0011628-0.00020322i,0.00061395-0.00016743i,8.9943e-05+0.00092667i,0.0008097+0.0011908i,0.0010717-0.00067019i,0.00080259-0.0021946i,0.00061296-0.0017969i,0.00051992-0.00092462i,0.00048286-0.00088292i,0.00033945-0.00071496i,-0.00026446+3.6194e-05i,0.0001172+0.00048851i,0.00081553+0.00063366i,0.00057625+0.00062912i,-0.00030559+0.00061852i,-0.00051161+0.00011261i,-0.00035329-0.00077054i,-0.00018597-0.0010224i,0.00063891-0.00033479i,0.00035493+0.00039026i,-0.00048457+0.00049847i,-0.00065606+0.00061252i,-0.00022542+0.00044374i
-0.0012386-0.0009814i,0.00078719-4.5045e-05i,0.0029066+0.00084618i,0.0046904+0.0015138i,0.0047389+0.0020565i,0.0040617+0.00077192i,0.0020706-6.4435e-05i,0.00010186-0.00023576i,-0.00019653-0.00026579i,8.3839e-05-0.00025745i,-0.00031907+0.00035783i,-5.5433e-06+0.00096501i,0.00077028+0.0010121i,0.00085268+0.00069236i,0.0010338+0.00068829i,0.00072942+0.00045775i,0.00032757-0.000717i,0.000144-0.00080658i,-0.00033858-0.0001946i,-0.00036062-0.00018525i,9.9501e-05-0.00036466i,0.0010426-0.0001255i,0.00099747+1.592e-05i
-0.00063427-0.00024257i,-0.0012949+0.00021522i,-0.0010654+0.00071841i,0.00033341+0.0017722i,0.0020278+0.0024048i,0.0026557+0.0022071i,0.0017377+0.0018586i,0.00043379+0.0010676i,0.00034213-0.00019393i,0.00032621-0.00052087i,-0.00068731-0.00080065i,-0.0014825-0.00092112i,-0.00092808-0.00072353i,-2.4213e-05-0.00082046i,-0.00010573-0.0010892i,0.00026017-0.0011195i,0.00084756-0.00060126i,-3.3388e-05-0.00040267i,-0.00067272+0.0002566i,-0.00036324+0.0006833i,0.00049816+0.00035809i,0.00066169-3.7919e-05i,-0.00014413-0.00017744i
-0.00047136-0.00065324i,-0.00088642-2.8512e-05i,-0.00010691+0.00058531i,0.00086005+0.0002927i,0.0013108+0.00043417i,0.0017959+0.00062661i,0.00083759+0.00021149i,-0.0004168+0.00023564i,-0.00035678-6.8499e-05i,-0.0003082-0.00044848i,-0.00071775+0.00033996i,-0.0013581+0.00056239i,-0.00072555+4.1735e-05i,0.00029591-0.00013041i,0.00084998-0.00058472i,0.00084671-0.00024778i,-0.00012563+0.00059523i,-0.00085092+0.00071034i,-0.00095254+0.00055633i,-0.00062201+0.00077766i,-0.00046424+0.0006788i,-0.00029488+0.00070711i,0.0006153+0.00074982i
0.00033761+0.0012383i,0.0007206+0.0011612i,0.0011489+0.0021984i,0.0019614+0.0018742i,0.0023651+0.00084613i,0.0018541-0.00039921i,0.00080632-0.0012593i,0.00050046-9.9104e-06i,0.00087903+0.00062404i,0.0005396-0.00019992i,-0.00023277-0.00040943i,-0.00023773-0.00014154i,-4.0057e-05+7.1017e-05i,-0.00023479+4.3419e-05i,-0.00011502+6.3124e-05i,6.8781e-05+4.1374e-05i,0.0004964-0.00054143i,0.00092367-0.00071139i,0.0010551-0.0004499i,0.00045514-0.00080569i,-0.00063615-0.00062755i,-0.0005595-0.00018049i,-0.00019401+3.5026e-05i
0.002875-0.00074816i,0.0018878-0.00083879i,0.0015319-0.0014652i,0.0013064-0.0014475i,0.0011327-0.00095533i,0.00086552-0.00030723i,0.00080115+0.00026529i,0.0013266-0.00029967i,0.0016132-0.00092076i,0.001418-0.0007209i,0.0012955+0.00020906i,0.00081872+0.00077273i,-2.339e-05+0.0010525i,-8.1661e-05+0.00056338i,6.4883e-05+0.00082893i,0.00047006+0.00054658i,0.00024711-0.00041361i,0.00014975-0.00078625i,0.00029653-0.00012258i,-0.00027018+0.00030359i,-0.00067197-0.00010822i,6.0353e-06+0.0001153i,0.0011051+0.00062824i
-0.0010375+0.00046181i,-0.00033399+0.0014487i,0.00083448+0.0026991i,0.0020023+0.0026891i,0.0026878+0.0012332i,0.0029194-0.00013659i,0.0027766-0.00070436i,0.0019908-0.0005771i,0.0003426-0.00083748i,-0.00050274-0.0015252i,-0.00061274-0.00026457i,-0.0010026+0.00048858i,-0.00033959+0.00033305i,0.00044907+0.00092154i,0.00021799+0.00023003i,3.3448e-05+0.00027057i,0.00056709+0.00091372i,0.00011953+0.00075308i,-0.00078461+0.00078359i,-0.00017411+0.0011702i,0.0001014+0.0010707i,-0.00017488+0.0011205i,-0.00028233+0.0006254i
0.00085888-0.0018504i,0.00049496-0.0018115i,0.00019937-0.0030921i,0.0003461-0.0019219i,9.7029e-05-0.0004851i,-0.00043237-0.00067378i,-0.00076923-0.00013187i,-0.00093854+0.00062968i,-0.00030515-0.00026014i,-0.00017103-0.00010967i,-0.00051118+0.00072444i,0.00010522+0.00047322i,0.00059782+0.00021673i,0.00049765-0.00011754i,0.0003868-0.00030805i,0.00066079-0.00014294i,0.00073276-3.8723e-05i,0.00056886+4.7239e-05i,0.00054953+0.00070587i,0.00030357+0.00047852i,-0.00023595-0.00047984i,-8.6882e-05-0.0005712i,0.00031202-0.00025159i
0.0014055+0.0016136i,0.0017692+0.0019076i,0.0028704+0.0025839i,0.0035463+0.0019596i,0.0031067+0.00054753i,0.0022695-0.00052039i,0.00103+0.00054928i,0.001213+0.0014268i,0.0017624+0.00069562i,0.0010539-2.8015e-05i,8.955e-05-0.00027087i,0.00010863-8.0588e-05i,0.00036793+4.687e-05i,-0.00061438-1.6119e-05i,-0.00084667+0.00034644i,4.9348e-06+0.00069591i,0.00049251+0.00052131i,-0.00030609-8.8063e-05i,-0.00095868+0.00017685i,-0.00093049+0.00072288i,-0.00032736+7.3468e-05i,0.00089744-0.00018931i,0.0014358+0.00028096i
0.001528+0.0029891i,0.0029034+0.0021702i,0.0051814+0.0022445i,0.006104+0.0013264i,0.0052806-0.00083594i,0.0029149-0.001398i,0.0012703-0.00050983i,0.0010686-0.00028681i,0.0012194-0.0001935i,0.00094724-8.4659e-05i,0.00034049+0.00052194i,-0.00014419+0.00097275i,-0.00040242+8.0975e-05i,-0.00015158-0.00097868i,-0.0001996+7.5792e-05i,-0.00018283+0.00077057i,-0.00015203+0.00021302i,-3.698e-05+0.00052026i,0.00017318+0.00038038i,0.00010381-0.00060156i,0.0002184-0.00020568i,-0.00012871+8.8447e-05i,-0.00032565-3.3137e-05i
-0.00086949-0.00025018i,-0.0013328+0.00043904i,-0.00041546+0.0010275i,0.0012745+0.0014165i,0.0017605+0.00059788i,0.0021037-0.00021172i,0.00212-3.8816e-05i,0.0017972-0.00013504i,0.0016387-0.00059635i,0.00097445-0.00027908i,0.00014367+0.00046766i,0.00037893+0.00054837i,0.00058284+0.00051079i,-4.867e-05+0.00023253i,-0.00042892-0.00072355i,-0.00027471-0.0008563i,-0.00059358-0.00034167i,-0.00055687-0.00049231i,0.00041519-0.00049662i,0.00084242-0.00032325i,0.0001857-0.00032353i,3.5723e-06-0.0003424i,0.00014376-0.00058451i
-0.00010744-0.00032734i,0.0010185-0.00041025i,0.001945-0.00045579i,0.0022255-0.00025167i,0.0020848+0.00044737i,0.0016241+0.00055405i,0.00071287+0.00010578i,0.00016836-3.5733e-05i,0.00021141-0.00065933i,-0.0005457-0.00075743i,-0.0012178-0.00099851i,-0.0010261-0.0002129i,-0.00034473+0.00061414i,-0.00024276+0.00065944i,-0.00019421+0.00064621i,0.00027904-7.069e-05i,0.0004355-0.00071078i,0.00071668-0.00025597i,0.0012564+0.00070726i,0.00058604+0.0009016i,-0.00032691+0.00085222i,-0.00019362+0.0010994i,1.0767e-05+0.00056792i
-0.00133+0.00065732i,-0.00046587+0.0011086i,0.0011768+0.0016112i,0.0025759+0.0018997i,0.0033285+0.001105i,0.0028951+0.00020084i,0.0010653+0.0010381i,0.00037503+0.0017559i,0.00019166+0.0013436i,-0.00069705+0.00074192i,-0.00041371-0.00011991i,0.00064112-0.00056582i,0.0011907-0.00030083i,0.00099029+0.00010572i,0.00031105-0.00026176i,-0.00027249-0.00018516i,-0.00038148-3.8915e-05i,0.00043537-0.00054938i,0.00012518-0.0005049i,-0.00071458+0.0002049i,0.00016674+0.00041424i,0.00071849+0.0004737i,-0.00047205+0.00086741i
-0.0017063-0.0021021i,-0.0023336-1.5359e-05i,-0.0031279+0.0022857i,-0.0013845+0.0029102i,0.00023261+0.0024829i,0.00070545+0.001525i,0.00087765-0.00020416i,0.00031346-0.00062914i,-0.00013923-0.00048809i,0.00059315-0.00041182i,0.00075112-0.00015928i,0.00070645-0.00010955i,0.00081823+0.00039366i,0.00046736+0.00044763i,0.00049081-8.5919e-05i,0.00049795-0.00028431i,0.00040859-0.00084257i,0.00025871-0.0010914i,0.00054157-0.00024103i,0.00024199+0.00067985i,-9.1669e-05+2.2282e-06i,-9.0326e-05-0.00037698i,-0.00042187+0.00021781i
-0.00098366-0.00054821i,0.00035244+0.00059641i,0.00056838+0.001915i,0.0011397+0.0023837i,0.0019239+0.0014803i,0.0017739+0.00074814i,0.0011712+0.00055716i,0.00118-0.00038203i,0.00061169-0.00058607i,-0.00028536-0.0002887i,-3.9239e-05+9.3377e-05i,0.00080248+0.00056664i,0.0012053+0.00083777i,0.0008473+0.00039591i,-2.9659e-05-5.2175e-05i,-0.00029921-0.00014614i,-0.00048999+9.6738e-05i,-0.0010072+0.00018448i,-0.00020454+0.00033469i,0.00067215+0.0010017i,0.00037467+0.0012114i,-0.00031432+0.00020523i,-0.00045323-0.00055169i
0.0001199+0.0021163i,0.0005497+0.0022803i,0.0022791+0.0012034i,0.0041394+0.00050825i,0.0039853-0.00020718i,0.0026043-0.00051824i,0.0013572+0.00037818i,0.0010415+0.0006571i,0.00096595+0.00034312i,-0.00023185+0.00043161i,-0.0007203+0.0005015i,-0.00040608+0.00085229i,-0.00050015+0.0014124i,-0.00047086+0.00089597i,-0.00034182+0.00056114i,2.0834e-05+0.00046914i,0.00064451-4.2176e-05i,0.00091885+0.00024312i,0.00054613+0.00046793i,6.2228e-05+0.00018088i,0.00064733+0.00049551i,0.00025219+0.00063738i,-0.0010309+0.0001652i
-8.2343e-05-0.00059075i,-0.0015107+0.00051685i,-0.0019428+0.0012282i,-0.00092418+0.0015324i,0.0012615+0.0011655i,0.0019863+0.00016744i,0.00089762-0.00048832i,-0.00042274-0.00066823i,-0.00059489-0.00041172i,-4.5911e-05-4.7299e-05i,-0.00029215+1.1323e-05i,-0.00023311+0.00026133i,0.00064663-0.00012631i,0.0016819-0.00027419i,0.0016887-0.00011838i,0.0009474-0.00093032i,-4.9403e-05-0.00063354i,0.00014263+0.0004451i,0.00049732+0.00063998i,0.00042297+0.00034502i,0.00086093+0.00024945i,0.00093691+0.00097936i,0.00023319+0.00085117i
-0.0010348-0.00020562i,0.00035048-0.00058783i,0.0023343+0.0003712i,0.0030264+0.0012785i,0.0034874+0.00027776i,0.0033006-0.00032035i,0.0018795+0.00013349i,0.00038524+0.00045104i,8.9604e-05+0.00013946i,0.00034651-0.00035754i,3.532e-05-0.0004176i,-0.00011747+0.00019417i,6.7108e-05+0.00017708i,7.463e-05+8.8523e-05i,6.5658e-05+0.00049901i,-0.00040396+0.00050608i,-0.00021682+0.00047288i,-0.00015444+0.00058556i,-0.0005883+0.00053316i,-0.00049013+0.00059093i,0.00023058+0.00038538i,0.00025453+0.00016589i,0.00038515+0.00046714i
0.0033922+0.00075945i,0.0043349+0.00049089i,0.0042841-0.00080918i,0.0044817-0.00168i,0.0038181-0.0016987i,0.0024768-0.0014149i,0.0015822-0.00051213i,0.00079679-0.00060059i,0.00077817-0.00061135i,0.00038928-0.00062658i,-0.00039312-0.00079283i,-0.00044554-0.00029822i,-0.00028229-5.3392e-06i,-0.00041689+0.00037451i,-0.00045152+0.00080685i,0.0002362+0.00085749i,0.00053213+0.00036574i,-9.7245e-05-0.00017858i,5.0906e-06-0.00039353i,0.00066334-0.00049226i,0.00077099-0.00031118i,0.00084528-0.00047356i,0.00084491-0.00034301i
-0.0006168+0.0022472i,0.00011397+0.0027205i,0.00067525+0.0037318i,0.0010612+0.0043805i,0.0010817+0.0034057i,0.0010038+0.0014371i,0.00079877+0.00071933i,0.00018833+0.00060423i,5.2925e-05+0.00028134i,0.00028167+0.0003839i,0.00087215+0.00054285i,0.00088938+0.0006221i,0.00040941+0.00027148i,0.00043649-4.723e-05i,0.00057686+0.00051324i,0.00032402+0.0007524i,0.00011485+0.00027754i,-0.00056074-0.0004129i,-0.00057001+4.2203e-05i,-0.00030524+0.00089182i,-0.00026305+0.000849i,-0.00014065+0.00041744i,-0.0003768+0.00031835i
-0.00053843-0.0020457i,-0.00049542-0.0021976i,0.00034745-0.0015917i,0.0014524-0.00024848i,0.0019854+0.00090567i,0.0013739+0.0017469i,0.0004982+0.0011486i,0.0012452+0.00035402i,0.0022831+0.00027109i,0.0016857-0.00046423i,-0.00012426-0.00037102i,-0.00068583+0.00022062i,-0.00032768+0.00052298i,-0.00036585+0.00062264i,0.00015757-7.1411e-05i,0.00063524-0.00081165i,-8.6763e-05-0.00047053i,-0.0012327-7.592e-05i,-0.0007799-0.00063794i,-0.00078761-0.00071033i,-0.0013239-0.00042641i,-0.0005069-0.0001767i,0.00032908-0.00046243i
0.0026372-0.00049916i,0.0026534-0.00021781i,0.0020115+0.0007471i,0.001371+0.00012379i,0.0012723-0.00083383i,0.0015118-0.00092929i,0.0015672-0.00079444i,0.0014963-9.4939e-05i,0.00093559+0.0001733i,-0.00040462+9.4465e-05i,-0.00072213-4.3661e-05i,0.00014577-0.00016902i,0.00013328+0.00031921i,0.00075545+0.00028563i,0.0013925+0.00010334i,0.00064289+2.3054e-05i,-0.00068516+0.00075852i,-0.00064711+0.00078956i,0.00071239-0.00012231i,0.0012369+0.00040926i,0.00084481+0.00095229i,0.00064241+0.0011109i,0.00034783+0.00079776i
0.0022127-0.00063883i,0.0013687-0.00036581i,0.00060985-0.00034824i,0.00043611-0.00062266i,0.0006526-0.00062844i,0.00062134-0.00021864i,0.00017976+0.00052196i,-8.6539e-05+0.0004833i,-0.00020644-0.00038988i,-0.00056868-0.001043i,-0.00023463-0.00095012i,-0.00012371-0.00097735i,0.0003466-0.00055803i,0.0011655+0.00082423i,0.00037525+0.0010858i,-1.5663e-05+0.00077441i,0.00016374+0.00049392i,9.0852e-05+0.00052318i,-0.00047056+0.00054506i,-0.00067215+0.0002651i,-0.00041726+0.00017911i,-0.00021572+0.00026624i,-0.00029923+0.00039521i
1.3742e-05+9.8025e-05i,0.0012984+0.0001211i,0.0024155+6.9343e-05i,0.0031236-0.00034207i,0.0035667-0.00018402i,0.0030105+0.00033002i,0.0019338+0.00046954i,0.00073579+0.00079925i,0.00051117+0.00082136i,0.00048548+0.00059427i,4.5419e-05+0.00062659i,6.2279e-05+0.00084228i,0.00032358+0.00031837i,-0.00023106+6.4092e-05i,-0.00087454-0.00036732i,-0.001043-0.00092662i,-0.00079434-0.0007711i,-2.8094e-05-0.00026331i,-7.143e-05+0.00024445i,0.00016597+0.00028427i,0.00036795-9.2041e-05i,-0.00039696+4.5775e-05i,-0.00051531+0.00034916i
-0.00060166-0.00081564i,-0.0011906+0.00023127i,-0.00095217+0.0018149i,-4.1272e-05+0.002228i,0.0019575+0.0013066i,0.0018678+0.00032805i,0.00076894+9.5573e-05i,0.0002995+0.00033412i,0.00050286-0.00021105i,0.00090508-0.00055893i,0.0002926+0.00051563i,-0.000414+0.0010958i,0.00051652+0.00045327i,0.00074+0.0001466i,-0.00017615-0.00011876i,5.5339e-05-0.00030027i,8.0653e-05-0.00066972i,-0.00025993-0.00057576i,-0.00066718+0.00037342i,-0.0010309+0.00051178i,-0.00063481-0.00024704i,0.00056405-0.0001022i,0.001412+0.0010027i
