-0.00060644+0.00056465i,-0.00013917-0.00055974i,-0.0013494-0.00068946i,-0.0026896+3.1526e-05i,-0.003704+0.0010985i,-0.0026932+0.0017326i,-0.001374+0.0019139i,-0.00083727+0.0011797i,0.00068378+0.00036864i,0.0010858-0.0003267i,0.00048356-0.00089783i,-0.000157-0.00088429i,-0.00070556-0.00047012i,-0.0012974-0.00055127i,-0.0012254-0.0004607i,-0.00037661-2.504e-05i,0.00076872+0.00012526i,0.00044677-0.00011264i,-0.0005809+0.00011607i,-0.00044425+0.00017297i,0.0002443+0.00032322i,0.00031982+0.0004109i,0.00020482+0.00057066i
0.00060956-0.0014612i,-0.00049464-0.0016396i,-0.0016068-0.0013215i,-0.0026441-2.5972e-05i,-0.0024065+0.0012664i,-0.0013158+0.0019173i,-0.00035541+0.0013983i,0.00021117+0.00069681i,-0.00014091+0.00089493i,-1.5693e-05+0.00029306i,0.0004569-0.00074768i,1.5082e-05+6.8463e-05i,2.2255e-05+0.0005809i,0.00036411+0.00035473i,0.00025768+0.00044567i,0.00025145+0.00069097i,0.00016309+0.00147i,-0.00080209+0.0016485i,-0.00081975+0.00084103i,-3.164e-05+0.00029062i,-0.00013074+0.00040644i,0.00023128+0.00092447i,0.00058187+0.00027887i
0.00081299+0.0016997i,-0.00021381+0.0015786i,0.0010137-7.1243e-05i,0.0014146-0.0016099i,0.00028302-0.0018482i,-0.0004589-0.0015419i,-0.00081387-0.00093164i,-0.00066164-0.00023072i,0.00014831+0.0005634i,0.0009511+0.00085974i,0.00066373+0.00071084i,-0.00019691+0.00053644i,-0.00065829+0.00030278i,-0.00071708+8.8332e-06i,-0.0012495-0.00016774i,-0.00079216+0.00033561i,0.00047461+0.0010089i,0.00090311+0.00083908i,0.00043-0.00025271i,0.0003028-0.0011963i,0.00065417-0.0013333i,-5.4894e-05-0.00096541i,-0.0001181-0.00027691i
-0.00018714-0.0016118i,-0.0014889-0.00064096i,-0.0021075-3.6231e-06i,-0.0025797-0.00036536i,-0.0033877+0.00038942i,-0.0036224+0.0013472i,-0.0030874+0.0012389i,-0.0017026+0.00094993i,-0.00059527+8.8778e-05i,2.5198e-05-0.00035964i,-0.00015532-0.00032694i,-0.00035069-0.00015556i,-0.00031772+0.00016875i,-0.00022751+1.2579e-07i,4.32e-05-0.00076585i,-0.00043586-0.00085071i,-0.00082219-0.00055386i,-0.0010693-0.00059014i,-0.00079702-0.00083663i,-6.7007e-05-0.00033554i,-0.00016438+0.00066564i,-0.00048309+0.00023443i,-0.0006854-0.00048749i
0.00043402-0.0011651i,-0.00049604-0.0017918i,-0.0021537-0.0025963i,-0.0029078-0.0017633i,-0.0028344-0.00022182i,-0.0020478+0.0010219i,-0.0007788+0.0011475i,-0.00015747+0.00068924i,-0.00041565+0.00058259i,-0.00024546+0.0006639i,0.00014016+0.00020877i,0.000187-0.00082098i,-8.8098e-06-0.0011634i,-8.5246e-05-0.00081157i,-0.00026728-0.00057313i,-0.00077866-0.0004047i,-0.00039285+0.00044488i,0.0003825+0.000491i,0.0010134-0.00018691i,0.00016102-0.0004018i,-0.00069266+0.00028676i,0.00015488+0.00043617i,0.00043945+0.00013244i
0.0024252+0.00040897i,0.0027946-0.00040757i,0.0014902-0.00061304i,-0.00051845+5.8405e-05i,-0.0015578+0.00051841i,-0.0020206+0.00026738i,-0.0016679+0.00019062i,-0.000906+0.00070883i,-0.00023314+0.00091818i,0.00033872+0.00072483i,0.00018872+0.00025588i,-0.00037572+7.8214e-05i,-0.00049722-0.00014884i,-0.00030396-0.00060537i,0.00011348-0.00015961i,0.00018447+0.00049721i,0.00015383+0.00048855i,-0.00021375+0.00024437i,-0.00016422+0.0002294i,0.00013946+0.00020821i,-0.00016943+0.000234i,-0.00042765-0.0001481i,-0.00013448+2.1267e-05i
-0.00089435+0.0008366i,-0.0012242+0.0010765i,-0.001927+0.00023666i,-0.0031139+0.00037779i,-0.0038868+0.00077869i,-0.0033754+0.00092714i,-0.001905+0.00045092i,-6.3521e-05+0.00030617i,0.00066017+0.00018958i,7.4886e-05-6.733e-05i,-0.00060534-0.00036868i,-0.00046768-0.00033027i,-0.00016664+0.00030773i,-0.00073803+0.00045955i,-0.001218-0.0002939i,-0.0011799-0.00028372i,-0.00093247+0.00032499i,-0.00081254+5.1494e-05i,-0.00043629-0.00065487i,4.0896e-05-0.0002505i,0.00018526+0.00029028i,0.00017565+0.00037199i,-0.00015154+0.00016789i
0.00054065+0.00052212i,0.0010556+0.00073431i,0.0011099-0.00058503i,0.00045771-0.0019791i,-0.0012267-0.001353i,-0.002202-0.00057242i,-0.0020299-4.3038e-05i,-0.0015508+4.0615e-05i,0.00013815-0.00013632i,0.00081322+5.3646e-05i,0.00021452+0.00033861i,-4.0196e-05+0.00075576i,-0.00041932+0.00078533i,-0.00052382+0.00076963i,0.00019892+0.00092036i,-7.4781e-06+0.00050082i,-0.00035253-9.4161e-05i,-0.00073394-0.00047582i,-0.00091991-0.00050805i,-0.00055233-0.0002278i,-4.8908e-05+0.00028055i,5.0233e-05+0.00068506i,0.00018928+0.00029672i
-0.00098923-0.001699i,1.6484e-05-0.00042548i,0.00036396+0.00095342i,-0.00040903+0.0012245i,-0.0012599+0.00035514i,-0.0017999+0.00078977i,-0.0019093+0.0013361i,-0.0012859+0.00043364i,-0.00021538-0.00020494i,0.00068038-0.00015723i,0.000543-4.1511e-05i,0.00023675-0.00020884i,6.5299e-05-0.00025766i,-0.00033171-5.1878e-05i,-0.00050094-0.00037053i,-0.00014363-0.00090193i,0.00016606-0.0011407i,-0.00010467-0.00045281i,0.00027947+7.498e-05i,0.00082936-1.4028e-05i,0.0002705-3.7728e-05i,3.4879e-05+1.1904e-05i,-7.4516e-05+0.00032501i
-0.00074465-0.00075339i,-0.00050601+0.00047966i,-0.0018194+0.0015395i,-0.0033292+0.0017455i,-0.0037362+0.0022764i,-0.0022959+0.0025926i,-0.0001868+0.0015808i,0.00048507+0.00048624i,-0.00011456+0.00067448i,-0.0003346+0.00091502i,9.1048e-05+0.00034393i,0.00012066-0.00072302i,0.00050364-0.0010958i,0.00068774-0.00077468i,0.00054071-6.2832e-05i,0.00041294+0.00041742i,0.00032236-3.5512e-05i,0.00033053-0.00044342i,0.00028842+0.00047695i,0.00017587+0.00021652i,0.0003024-0.00044536i,0.00061326+0.00022821i,0.00076921+0.0006779i
-0.00046452-0.0012278i,-0.0013784-0.0009476i,-0.0021562-0.0014117i,-0.0031595-0.0011678i,-0.0044739+0.00039043i,-0.0042266+0.0014923i,-0.0024195+0.00037735i,-0.00067526+0.00019519i,-2.486e-05+0.0007386i,-6.2199e-05+0.00023361i,-0.00024252-0.00046878i,-3.9332e-06-0.00021628i,0.00048378+0.00050706i,0.00067868+0.00053961i,0.00027785-0.00020455i,-4.2779e-05-0.00048022i,-0.00027751+0.00020588i,-0.00027033+0.00075649i,-6.7174e-05+0.00027651i,0.00010853-0.00017843i,0.00024056-0.00074399i,0.00055201-0.0008911i,0.00039539-8.3941e-05i
-0.00087885-0.0010091i,-0.00026029-0.00052289i,0.00092578+0.00028062i,0.00061218-0.00011567i,-0.0013059-0.00024096i,-0.0025185+0.00025982i,-0.001465+0.00048207i,-0.00076065+0.0005351i,0.00024509+0.00060968i,0.0015304-0.00017041i,0.00079182-0.00084859i,-0.00080272-0.00051671i,-0.0012102-0.00055197i,-0.00056784-0.0002803i,0.00055582+0.0005104i,0.00071128-0.00029263i,0.00027327-0.0011353i,0.00014131-0.000322i,7.3569e-05+0.00037818i,-0.00011629+9.486e-07i,-0.00024683-0.00027073i,-8.071e-05-0.0001083i,-0.00026915-7.4136e-05i
-0.0016556-0.00091146i,-0.0016309-0.00097003i,-0.0018781-2.5847e-05i,-0.001856-5.1298e-05i,-0.0015286+0.00012453i,-0.00086969+0.00018187i,-0.0011165+1.2533e-05i,-0.0012066+0.00067047i,1.7795e-05+0.00097203i,0.0014173+0.0011845i,0.001071+0.00045498i,5.1406e-05-0.00039812i,-0.00054683-0.00068382i,-0.00059957-0.00083383i,-0.0010258-1.4788e-06i,-0.0014755-0.00014395i,-0.00086928-0.00049951i,-0.00021574-0.00015562i,0.00010808-0.00045407i,0.00048047-0.00075666i,0.00030037+0.00034454i,2.6502e-05+0.00039697i,-0.0001304-0.00013961i
0.0020389-0.0012918i,0.00049674-0.0017617i,-0.0018418-0.0028932i,-0.0032367-0.0028654i,-0.0040158-0.00081701i,-0.003616+0.00034836i,-0.0025581+0.0001566i,-0.001177+6.7537e-05i,-0.00031969+0.00072949i,0.00033175+0.00088054i,0.00044022+4.4193e-05i,7.4975e-05-7.8839e-05i,0.0001421+0.00073781i,-0.00010423+0.00020394i,0.00026112-0.0010383i,-0.00010267-0.0011236i,-0.00058155-0.00096912i,5.5395e-05-0.00037113i,0.0003897+0.00062788i,9.0413e-05+0.00087911i,5.8493e-05+0.00057541i,0.00017208+4.3847e-05i,-0.00030377-0.00021414i
-0.00050266+0.0009231i,-0.00091679+0.0019965i,-0.00093045+0.0019679i,-0.0019627+0.0011515i,-0.0027212+0.00038613i,-0.0020817-0.00014739i,-0.0015459-7.6792e-05i,-0.00096394+0.00043414i,0.00010495+0.00099562i,0.00036662+0.00091749i,-0.00019727+0.00044448i,-0.00065418+0.00024636i,-0.00035118+0.00051385i,-0.0001362+0.00010015i,-0.00074715-0.00054168i,-0.0015026-0.00052374i,-0.00098436-0.00018278i,0.0001479+0.00021374i,-0.0002456+0.00020329i,-0.0011328-0.00046725i,-0.00058967-0.00021023i,0.00024258+5.6234e-05i,0.00016853-0.00030196i
0.00074564-0.0004273i,0.00097707-0.0013305i,0.00032542-0.0016911i,-0.0018422-0.0014202i,-0.0035208-0.00050691i,-0.0033385+0.00031774i,-0.0020901+0.00075974i,-0.00057079+0.00086014i,0.00026042+0.00015466i,0.00023259-5.6442e-05i,0.00021419-0.00011329i,0.00014202-0.00057368i,-1.6497e-06-0.00025051i,-0.00012562+0.00063919i,-0.00031751+0.00093851i,-0.00053567-8.648e-05i,3.9855e-05-0.0009448i,0.00087767-0.00040278i,0.00074592+2.3343e-05i,0.00028639+0.00024595i,9.8042e-05+0.00063518i,-6.5535e-05+0.00091877i,0.00011635+0.00021778i
-0.0019389-0.00085013i,-0.0016585+0.0005331i,-0.00077427+0.0021457i,-0.00019817+0.0019011i,-0.00097686+0.0017456i,-0.0022089+0.001758i,-0.0021428+0.00086683i,-0.00049062+0.00021177i,0.0012304+0.00029764i,0.00086191+0.00034122i,-0.00054045+0.00029815i,-0.0003076-0.00091161i,8.9009e-05-0.0013607i,0.00019011-0.00045889i,-0.00043734-0.00020576i,-0.00096664-0.00018834i,-0.00047868+0.0002733i,-0.0003855+0.00083573i,-0.00057477+0.00060989i,-0.0010832-1.2987e-05i,-0.00072377-0.00012082i,0.00059734+5.0206e-05i,0.00042331+0.00013096i
-0.00064118-0.0025415i,-0.0022288-0.0024895i,-0.0035955-0.0010139i,-0.0031584+0.00072642i,-0.0026398+0.0010635i,-0.0023287-0.00041088i,-0.0016658-0.001105i,-0.00097877+0.00045506i,-0.00039654+0.0010591i,0.00031309+0.00040197i,0.00027111+0.00042107i,-0.00067888+0.00042003i,-0.0013401+0.00023538i,-0.0010967-0.00036651i,-0.00066375-0.00070812i,-0.00031294-0.00042219i,-0.00037829+5.2517e-05i,-0.00050806-0.00019615i,-0.00068925-0.0001166i,-0.00090902-0.00036976i,-5.7689e-05-0.00076264i,0.00059518-0.00029907i,0.0011299-0.00010259i
0.0018748+0.00046722i,0.0016243+0.00049216i,0.00019675-0.00010906i,-0.0012604-0.0010813i,-0.0023322-0.001177i,-0.0028042+9.636e-05i,-0.0022276+0.00077168i,-0.00091283+1.248e-05i,3.8369e-05-2.7167e-05i,0.00032324+0.00090942i,0.00084974+0.00074334i,0.00024412+8.5156e-05i,-0.00016087+0.00042071i,-0.00056099+0.0010469i,-0.0010222+0.00051361i,-0.00086358-0.0006642i,-0.00085527-0.00067801i,-0.00065229-0.00017463i,-0.00063419-0.00066099i,-0.00098224-0.00073994i,-0.00097172-0.0001022i,-0.00035822+0.00058687i,0.00038555+0.001219i
0.00065749+0.00033374i,0.00010183-0.00057878i,6.1583e-05-0.0015576i,-0.00079258-0.0010637i,-0.0022933+0.00025344i,-0.002943+0.0009051i,-0.0023385+0.0013389i,-0.0016659+0.00098026i,-0.00057557+0.00050838i,0.00070089+0.00036476i,0.00015797+0.00042843i,-0.0010952+0.00025361i,-0.00069177-0.00017181i,5.4132e-05-5.9051e-05i,7.1766e-05-8.858e-05i,0.00039273+0.00060176i,0.00015293+0.00058333i,5.5306e-05-0.00011001i,0.00021355+0.00024596i,0.00033571+0.001015i,0.00025196+0.00062793i,0.00038902-0.00020048i,0.00063205+0.0003368i
-0.0012299-0.0029039i,-0.0015207-0.0016199i,-0.0026249-9.2819e-05i,-0.0033632+0.00096754i,-0.0037377+0.0012655i,-0.0031289+0.00071284i,-0.0019811+0.00058745i,-0.00073781+0.00089618i,-0.00028015+0.00052364i,0.00013665+0.00079112i,0.00046954+0.00057842i,0.00065724-8.6789e-05i,0.00085828+0.00013735i,0.00020662-4.8413e-05i,0.00017069-0.00042686i,-0.00035747-0.00067191i,-0.00097451-0.0010614i,-0.00083386-0.00034608i,-0.0010013-9.12e-05i,-0.0013652-0.0004678i,-0.001089-0.00053588i,-0.00037689-0.00070799i,-4.532e-05-0.00028252i
0.0013043-0.0016939i,0.00052296-0.0012731i,-0.0010165-0.0019609i,-0.0019145-0.0026191i,-0.0024692-0.001392i,-0.0027703+8.9225e-05i,-0.0015071+0.00079312i,-8.7834e-05+0.00069352i,0.0010192+0.00086727i,0.0015971+0.0010133i,0.00098941+0.00027877i,0.00039182-8.6304e-05i,0.00022717-0.00052511i,0.00031259-0.00025903i,0.00011226+0.00038258i,-0.00011164+0.00010614i,-0.00030439-3.7562e-05i,-0.00024438+0.00021144i,0.00020591-7.3281e-05i,0.00034683+9.6285e-05i,0.00040137+0.00039193i,0.00062363+0.00018757i,0.0005862+0.0001843i
0.0013327+0.0032576i,0.0013074+0.0014809i,0.002127+0.00090499i,0.00067587-0.00014629i,-0.00088035-0.0011694i,-0.0018753-0.00053609i,-0.0019185-0.00026251i,-0.0013593-0.00010048i,-0.00068458+0.00062289i,7.205e-05+0.00055704i,0.00071387-0.00056488i,0.00069677-0.00064168i,0.0001169+0.00036257i,-0.00063885+0.0007809i,-0.00070604+0.00090242i,0.00012252+0.00014963i,-0.00023027-0.00034744i,-0.0007874-0.00052849i,-0.00052433-0.00086222i,-0.00015121-0.00082243i,-0.00021457-0.00078155i,-4.0008e-05-0.00080465i,-1.3051e-05-0.00044534i
0.0020634+0.00047721i,0.00082759+0.00023853i,-0.00071868-0.00067666i,-0.0017351-0.0019965i,-0.0023285-0.0026611i,-0.0028271-0.0019003i,-0.001985-0.00092333i,-0.0011058-0.00033725i,-0.00039531+0.00021276i,0.00060863+1.7647e-05i,0.00084868-0.00016603i,9.388e-05+0.00022578i,-9.3216e-05-0.00020066i,7.628e-05-0.00020244i,0.00035333+0.00039969i,0.00031657+0.00058087i,-0.00044077+0.0010413i,-0.0010631+0.0014995i,-0.00028354+0.00052161i,5.7321e-05-0.00078151i,0.0004653-0.00097835i,0.00083653-0.00047451i,0.00014077+0.00012242i
-0.0007821-0.0027839i,-0.0017995-0.0019722i,-0.0014835-0.00093738i,-0.0021832-1.4335e-05i,-0.0034704+0.0008978i,-0.0028815+0.0015543i,-0.0012723+0.001744i,-0.00069974+0.00092931i,-0.000377-5.652e-05i,-0.00029831+0.00030494i,-0.00014094+0.00090056i,-0.00035608+0.00015417i,-0.00043959-0.00032342i,-0.00014961-0.00023459i,-0.00037893-2.0532e-05i,-0.00042042+0.00021273i,-0.00072881+0.00026806i,-0.001589+0.00022854i,-0.0017711-0.00012351i,-0.00084374-0.00041717i,-0.00012465-0.00054606i,-0.00035863-0.00060542i,-0.00025301-0.00041203i
0.00044727-0.0012712i,-0.00081649-0.00020864i,-0.0024088+0.0023321i,-0.0031462+0.0026785i,-0.0027674+0.0017145i,-0.0024317+0.00098838i,-0.0020873+0.00061615i,-0.0012675+0.00094923i,-7.6616e-05+0.0011834i,0.0006208+0.001171i,-0.00019677+0.00095958i,-0.0013661+0.000126i,-0.00038151+1.041e-05i,0.00045134+0.00032941i,-0.00032153-5.1849e-05i,-0.00030818-0.00026495i,0.00019857-0.00013951i,0.00018958+0.00029964i,0.00033807+0.00055383i,0.00039229+0.00043962i,-0.00022482-0.00023502i,-0.00026939-0.00046741i,-0.00013348-0.00033731i
-0.00041426+0.0011568i,0.00027943+0.0018341i,-0.00035908+0.00052927i,-0.0011936+0.00071303i,-0.0021385+0.00098778i,-0.0014722-0.00098784i,-0.00017432-0.001348i,0.00032777-0.0010151i,0.00035807-0.00023086i,0.00050465+0.00081142i,0.00090089+0.00040057i,0.00051379-0.00063161i,-1.5702e-05-0.00098645i,-0.00040234-0.00061249i,-0.00065155-0.00075871i,-0.0004602-0.00064587i,-0.00016427-0.0003401i,3.5879e-05-0.00066643i,0.00017522-0.00059038i,-0.00048535-0.00043983i,-0.00056035-0.00026832i,0.00033083-5.3415e-05i,0.00096787+0.00012086i
0.00091134+0.0020688i,0.0011282+0.001754i,0.0014676+0.00046862i,0.00094756-0.00095162i,-0.00020803-0.0012727i,-0.0015929-0.0005851i,-0.0016601+0.00038501i,-0.0010925+0.00068211i,-0.00049915+8.6667e-05i,0.0003382+0.00019207i,0.00087647+0.00019602i,0.00042584-3.3008e-05i,-0.00051655+0.00017113i,-0.00060173+0.00063893i,0.00039342+0.0010721i,0.00049647+0.00095789i,-0.00019603+0.00044047i,-0.00022847+0.00058958i,0.00036506+0.00069286i,0.00066318+0.00027184i,0.0003548-0.0004071i,0.00046391-0.00082696i,0.00067762-0.00055996i
-0.0027847+0.00066005i,-0.00242+0.00091775i,-0.0017266+0.0021348i,-0.0013148+0.0015742i,-0.0018067+0.00084424i,-0.0021058+0.00064418i,-0.001732-5.6288e-06i,-0.0012375-9.1554e-05i,-0.0004748+0.00087562i,0.00056386+0.0013675i,0.00082868+0.0016053i,9.8035e-05+0.00090729i,-0.00056391-0.00047036i,-0.00064657-0.0013806i,-0.00034933-0.0017249i,7.5575e-05-0.0012043i,-0.00020764-0.00084768i,-0.00088164-0.00026292i,-0.00073531+0.0005702i,3.8074e-05+0.00012718i,0.00034149-0.00016009i,-0.00024439+0.00060821i,-0.00042048+0.00046103i
0.0015827-0.001805i,0.0012473-0.0024517i,-0.00093074-0.0021858i,-0.0024914-0.00036562i,-0.0020837+5.1044e-05i,-0.0016096-0.00063491i,-0.00084261+0.00019904i,0.00012522+0.00048236i,0.00068996-2.1768e-07i,0.00124+0.00015885i,0.0014385+0.00055906i,0.00075495+0.00024949i,-0.00021485-0.00099297i,-2.7667e-06-0.0010287i,0.00015833-4.0039e-06i,-0.00032684-0.00018281i,-0.00075691-0.00072576i,-0.00060926-0.00047186i,-0.00084611-0.00044198i,-0.00095764-0.00066242i,-0.0002885-0.00057271i,3.9032e-05-0.00047244i,-0.00031978-0.00047348i
0.0016011+0.00026521i,-0.00040637+0.0012173i,-0.0009622+0.00052396i,-0.0013193-0.00083424i,-0.0028195-0.0013234i,-0.0033058-0.00099872i,-0.002535-0.00021293i,-0.0012474-0.00015182i,0.00025279-0.00042368i,0.0010084-0.0006562i,0.00085531-0.00085864i,-0.0001555-0.0004444i,-0.00059382-7.2517e-05i,-1.5659e-05-0.00054174i,-5.3349e-05-0.00052553i,-0.00066551-0.00050872i,-0.0006133-0.00072746i,0.00011628-0.00039307i,0.00072203-0.00028088i,0.0003807-0.00025325i,-0.00014057-0.00041094i,-0.00018657+0.00032943i,-0.00050784+0.00036241i
-0.0022132+0.0011594i,-0.0015102+0.00048654i,-0.00059457+0.00099385i,-0.00031318+0.0011484i,-0.00031556+0.00080267i,-0.00094687-0.00036135i,-0.0019818-0.0006265i,-0.0013637+5.6134e-05i,-0.00098978+0.00082407i,-0.00085851+0.00088699i,0.00014345+0.00014816i,0.00036153-0.00072062i,-0.00015321-0.00058269i,-0.00066479+0.0001691i,-0.00026197-0.00021299i,-8.5949e-05-0.00047017i,-0.0011384+7.3487e-05i,-0.00061473+0.00014646i,0.00046909+0.00017276i,0.00087259-0.00038308i,0.00088017-0.0006831i,0.00032062+0.00011743i,-0.00059517-4.7959e-05i
-0.00016996-0.0018231i,-0.00066759-0.0013054i,-0.0010237-0.0010624i,-0.0016865-0.00086628i,-0.0016652+0.0003626i,-0.0011676+0.0010963i,-0.00068999+0.0014583i,-0.0011339+0.0015769i,-0.00060101+0.0013541i,0.00052851+0.00085413i,0.00068036-0.00012679i,0.00037004-0.00068728i,8.8699e-05-0.00015392i,-0.00014505-0.00015053i,-0.00051243-0.00097456i,-0.00073969-0.00074968i,-0.00065954+3.4209e-05i,-0.00065471+4.3811e-05i,-0.0001531-0.00032044i,0.00027309-0.0004607i,0.00088392-0.00075877i,0.0011026-0.00075764i,1.3617e-05+4.8647e-05i
0.0011552+0.00045698i,0.00097839+0.00025049i,0.00034641+0.00023286i,-0.00043997+9.9942e-05i,-0.0017585-0.0011609i,-0.0028983-0.0015898i,-0.00238-1.9229e-05i,-0.0015506+0.00067442i,-0.0003001+0.00047669i,0.00089689+0.00012037i,0.0016837-0.00022043i,0.0014053-0.00050415i,0.0012062-0.00082476i,0.0011787-0.000221i,0.00052474+0.00021156i,0.00039613+0.00057819i,-2.8751e-05+0.0010238i,-2.6797e-05+0.00015367i,0.00054025-0.0010576i,0.00022222-0.00052467i,-0.00058828+0.0003361i,-0.00075266+0.00051531i,-0.00048442+0.0005602i
0.00031571+0.0018942i,-0.00073857+0.0014094i,-0.00029816+0.00066582i,-0.00012797+0.00043287i,-0.0013746-4.0554e-05i,-0.0021646+0.000199i,-0.0017064+0.0013115i,-0.00092003+0.0012577i,0.0001453+0.00074041i,0.0010068+0.00038125i,0.001356-3.4268e-05i,9.422e-05+0.00015408i,-0.0014637+8.3193e-05i,-0.001333+9.3493e-06i,-0.000842+0.00029457i,-0.00043673+0.000503i,-0.00052286+0.00031199i,-0.0001727-9.5537e-05i,0.00021172+0.00012299i,0.00017914+0.00025474i,0.00035115-0.00042678i,-4.9367e-05-0.00058769i,0.00024388-0.00022347i
0.00048152+0.00071567i,0.0016068-0.00036027i,0.0023287-0.00074709i,0.00099207-0.0015243i,-0.00084006-0.0011246i,-0.0017305-5.6343e-05i,-0.0017346-0.00015225i,-0.00090833-6.9845e-05i,0.00041937-2.8555e-05i,0.00094721+0.0001844i,0.00035384+4.8563e-05i,-0.00017762-0.00029306i,-0.00052556-0.00029249i,-0.00074028-0.00039371i,-0.00089034-0.00034072i,-0.00036156-0.00022324i,0.00028928-0.00027871i,0.00047894+0.00019798i,2.1203e-06-4.4368e-05i,-7.9046e-05-0.00065116i,0.00015181-0.00042649i,0.00055067-0.00060809i,0.00079881-0.00038103i
-0.00057002-0.0021705i,-0.0010584-0.00050956i,-0.00096432+0.0010148i,-0.00074729+0.00075991i,-0.00085071+0.00025199i,-0.0014082+0.00085547i,-0.0018168+0.00074251i,-0.00085777-0.00018612i,0.0001869+6.8613e-05i,-0.00029234+0.00027173i,-0.0006242+0.00017028i,3.3476e-05-4.5157e-05i,0.00027547-0.00056331i,0.00063885-4.2421e-05i,0.0013375-0.00021558i,0.00072066-4.2598e-05i,-0.00031305+0.00027975i,-0.0006732-0.00013818i,-0.00085818-0.00050834i,-0.00042133-0.00037516i,-0.00047068-0.00072501i,0.00012543-0.00045621i,0.00046239+0.00041918i
0.00042875-0.0016705i,-4.6096e-05-0.0025963i,-0.0018793-0.0030652i,-0.0035649-0.0031045i,-0.003344-0.0016689i,-0.0026833-0.00081703i,-0.0019073-0.00054753i,-0.00054581+0.00024695i,-0.00019251+0.001327i,-0.0002749+0.0011448i,-0.0010762+0.00019175i,-0.0012707+0.00052408i,-0.00013094+0.00078755i,0.00011166+0.00051723i,-0.00028436+0.0003292i,-0.00036344+3.8993e-05i,-0.00065723-3.8065e-05i,-0.0011457-0.0002078i,-0.00089985-0.00029694i,-0.00046752-0.00032809i,-0.00054126+0.00014111i,-0.00015803+0.00045721i,-1.4348e-05+0.0003656i
7.2756e-05+0.0028415i,-0.00011954+0.0043284i,0.00063911+0.0032432i,0.00073996+0.0012411i,-0.00082686-0.00043807i,-0.0022224-0.0011156i,-0.0010399-0.0002894i,0.00046212+0.00014077i,0.00018656-0.0002805i,0.00026007-6.7728e-05i,0.00033972+0.00041538i,8.4369e-05+0.00039892i,0.0001127+4.2661e-06i,0.00010535-0.0010538i,-0.00037488-0.0013635i,-0.00092059-0.00062181i,-0.00081113+0.00015742i,-0.00024264+0.00058139i,0.00029045-4.8282e-05i,0.00036443-5.7196e-05i,0.00013966+0.00020852i,0.00063497+0.0002285i,0.00079404+0.00034277i
-0.0013845+0.0013844i,-0.0006865+0.00080004i,-0.00069065+0.00063834i,-0.0015952-0.00042655i,-0.0015309-0.0011853i,-0.0019917-0.00037769i,-0.0016602-0.00017035i,-0.00076456+0.00023321i,7.531e-05+0.00092513i,0.00065777+0.00030316i,0.00042067-0.00027031i,4.4269e-05-0.00061896i,-0.00026776-0.00088721i,-0.00042123-0.00043503i,-0.0006908+0.00053615i,-0.00047561+0.000626i,0.00014418-0.00053473i,0.00059514-0.00072707i,0.00046259+3.8471e-06i,-0.00020968-0.00019867i,0.00028513-0.0002928i,0.00066927+0.00035011i,-7.2569e-05+0.00039556i
0.0018503-0.000743i,0.0019885-0.00021618i,0.0014037-0.0003941i,0.00065167-0.0010727i,-0.0011288-0.00091387i,-0.0026684-0.000277i,-0.0026734+9.1329e-05i,-0.0014149+0.00033315i,-0.00035935+0.0010576i,0.00047764+0.0009336i,0.0013189-1.416e-05i,0.0007935-0.00080411i,0.00034882-0.00070144i,0.00059574-0.00029143i,0.00030031-0.00046556i,-0.00020966+2.8872e-05i,-0.0010622-0.00020661i,-0.00064931-0.00071562i,0.00047423-0.00023001i,0.00018437-0.0012033i,-0.0003134-0.0019455i,-0.00020062-0.0008701i,0.00029349+4.9582e-05i
-0.001009+0.0013289i,-0.0012606+0.00044001i,-0.0028129+0.00032981i,-0.0034564+0.00048846i,-0.0034414+0.00041329i,-0.0027377-0.0001602i,-0.002009-1.5529e-05i,-0.0014327+1.9761e-05i,-0.00026604-4.0096e-06i,-0.00021686-3.7434e-05i,-0.00054269-0.00021874i,-0.00032937-0.00021617i,-0.00023149-0.00036003i,-9.4114e-05-0.00090762i,0.00036089-0.0012958i,4.1501e-05-0.00099072i,-0.00050331-0.00074293i,-5.6481e-05-0.00088643i,0.00083731-0.0013489i,0.0011044-0.00085021i,0.0012123-0.00022906i,0.00046508+0.00021799i,-0.001087+0.00067295i
-0.00075485+0.0016655i,0.00033351+0.0020595i,0.00096823+0.0020681i,0.00063157+0.00081504i,-0.00048623-3.7592e-05i,-0.0013172+3.3832e-05i,-0.00078921+2.0725e-05i,-0.00064107-0.00023058i,-0.00095336-0.00026202i,-0.00035461-0.00018719i,0.00064808-0.00030561i,0.00048623-0.00073287i,0.00017685-0.0010843i,0.00043628-0.0012005i,-0.00026893-0.0014389i,-0.00097973-0.0010236i,-0.00082012-0.00040422i,-0.0010784+9.7455e-05i,-0.00071222-1.6274e-06i,0.00019144-0.00061229i,0.0007544-0.0010848i,0.00057093-0.00064607i,-8.3932e-05+0.00027148i
