-0.006924+0.0015745i,-0.0041603+0.0028662i,-0.0018621+0.0018952i,0.00017241-0.00055973i,0.0006462-0.0011425i,0.00014965-0.00068524i,-0.00013319-5.8668e-05i,0.00016708+0.00096741i,0.0010538+0.00069175i,0.00079755-0.00034015i,-0.00032806-0.0010625i,-0.00037866-0.00088436i,0.00034012-0.00079689i,0.00070378-0.00028309i,0.0003324+0.0005784i,-5.5982e-05+0.00078443i,-0.00047949+0.0013717i,-0.00045366+0.0012748i,8.505e-05+0.00027772i,8.5183e-05-0.00070946i,-0.00055775-0.00054773i,-0.0013726-0.0002562i,-0.0011602+9.9864e-05i
-0.0040139-0.0019896i,-0.0032335-0.00033947i,-0.0014168-0.0004133i,0.00064721+9.5957e-05i,0.0018861+0.00037121i,0.0020635+0.00060856i,0.0012634+0.0016921i,0.0010525+0.0018612i,0.0020462+0.0017092i,0.0035113+0.00077464i,0.0032138+0.00033929i,0.0014104+0.00018017i,-8.6754e-05-0.00026085i,-0.00028084-0.00016575i,-8.9017e-06+0.0001434i,1.6066e-05-0.00016545i,7.6505e-05-0.0002248i,-4.8887e-07+0.00023349i,0.00022713+0.0010459i,0.00012842+0.0011243i,-1.7214e-05+0.00061354i,-3.0043e-05+0.00019003i,-0.0002954-0.00051773i
-0.0071767-0.0035536i,-0.0052192+0.00018217i,-0.003872+0.0021775i,-0.0013188+0.0022318i,0.0011653+0.0015137i,0.0027369-0.00068901i,0.0038166-0.0025782i,0.0026073-0.0033625i,0.00015515-0.0040008i,-0.00077757-0.0029502i,-0.0005211-0.0010889i,-0.00095538+1.4881e-05i,-0.0015279+0.0007089i,-0.0012227+0.0010725i,-0.00050568+0.0011504i,0.00014859+0.0010665i,0.00027259+0.00088202i,2.5711e-05+0.0011508i,-0.00033884+0.00097877i,-1.3993e-05+0.00061279i,0.00069465+0.00098945i,0.00074092+0.0003981i,0.00041688-5.3289e-05i
-0.007878-0.0012104i,-0.0043907+0.0016497i,-0.002155+0.002066i,0.00060054+0.0016229i,0.0021139+0.001184i,0.0012942+0.00047712i,2.3891e-06-0.00034463i,-0.00079029+0.00042668i,-0.00038175+0.0025361i,0.00041718+0.0028809i,0.00025418+0.0019701i,-1.172e-05+0.001149i,-0.00037487+0.00027741i,0.00012008-5.0622e-05i,0.00093283-0.00042619i,0.0010833-0.00058473i,0.0005763+0.00024527i,-0.00020857+0.0010682i,-0.00062403+0.00096636i,-0.00057911-0.0004742i,-0.00042581-0.00062594i,-0.00043756+0.00088965i,-0.00099127+0.0013045i
-0.0065638-0.0057297i,-0.0054256-0.0020208i,-0.003441-0.00066446i,-0.0015505+0.0005916i,-0.00091396+0.0017551i,0.00094387+0.0017924i,0.003006+0.0004379i,0.0030594-0.00090117i,0.0020779-0.0019405i,0.0010104-0.0020245i,0.0002892-0.0016808i,0.00022783-0.0020445i,0.00036728-0.0018356i,7.1254e-05-0.00065218i,-0.00026692-7.9069e-05i,0.00018477-0.0005727i,6.2906e-05-0.00057477i,-0.00023242+0.0001314i,-0.00039739+0.00074366i,-0.00018641+0.0007062i,0.00039635-0.00029973i,0.00010757-0.0005188i,-0.00050179+0.00070197i
-0.0085117-0.0056145i,-0.0066677-0.0024456i,-0.0043106-0.0016823i,-0.0012779-0.00065324i,0.00065545+0.00029239i,0.000633-0.00047425i,-0.00046517-0.0019547i,-0.002088-0.0021893i,-0.0025283-0.0011813i,-0.0024184+0.00055495i,-0.001992+0.001376i,-0.0015992+0.0017457i,-0.0014646+0.0016543i,-0.0014367+0.00053002i,-0.0011631-0.00022739i,-0.00015415-0.00043265i,-2.3895e-05+8.4608e-05i,-0.00059488+0.00064256i,-0.00045613+0.00061698i,-0.00068285+0.00015368i,-0.00038955-0.00068565i,0.00044693-0.00059791i,0.00036807+7.984e-06i
-0.0045856-0.0046977i,-0.0026182-0.00099625i,-0.0015961+0.00061799i,-0.00032831+0.00051026i,0.0010564+0.00034264i,0.0015695+0.00077579i,0.0017728+0.0019986i,0.001899+0.0024214i,0.0022893+0.0011375i,0.0021715-0.00074522i,0.0017569-0.00084818i,0.0021861+0.00016869i,0.00099241-9.4975e-06i,-0.00043851-2.6241e-05i,-2.7045e-05+0.00029021i,0.00076408+0.00029544i,0.00075781+0.00084696i,0.0001608+0.0012203i,-0.00014057+0.00048375i,-0.00063639-0.00024829i,-0.00089487-0.0003998i,-0.00011712-0.00012085i,0.0004261-0.00038439i
-0.0073989-0.0052248i,-0.0042229-0.00082078i,-0.0019107+0.0014302i,-0.00037435+0.002504i,0.00081421+0.002146i,0.0018578+0.00011521i,0.0026135-0.0026435i,0.001218-0.0036714i,-0.0011925-0.0031895i,-0.0024396-0.0027915i,-0.002453-0.0022442i,-0.0021626-0.0011774i,-0.0016319-0.00020115i,-0.00061133+0.00024383i,-0.00014266+0.00060125i,-0.0009635+0.00037364i,-0.0011945+7.9418e-05i,-7.514e-05+7.3232e-06i,0.0001699+0.00013895i,7.2435e-05+0.00035289i,1.6074e-05+0.00097187i,4.0076e-05+0.00028253i,0.00024522-0.00090608i
-0.004176-0.004204i,-0.0031955-0.0012555i,-0.0025663-0.00041677i,-0.001113-0.00050615i,-1.6754e-05-0.00068419i,-0.00020808+5.5002e-05i,-0.0016111+0.0011724i,-0.0015443+0.0027619i,0.00010307+0.0034478i,0.00098401+0.0019382i,0.0010745+0.00050513i,0.00070518+0.00074912i,8.3959e-05+0.00050343i,-0.00014146-0.0001067i,-4.8587e-05-0.00016872i,0.00021235+0.00025158i,-0.00022214+0.00091066i,-0.0012701+0.0010266i,-0.0011052+0.00082562i,-0.00044728-0.00023377i,-0.00033269-0.00094621i,5.8896e-05-0.00045394i,0.00010683+0.00078978i
-0.0068741-0.00376i,-0.0046605-0.00037011i,-0.0029362+0.0010486i,-0.00081519+0.0019051i,0.0016187+0.0021374i,0.0027426+0.0017042i,0.0032203+0.00070493i,0.0032095-0.0014937i,0.0023295-0.0033841i,0.00073812-0.0036964i,8.0086e-05-0.0029047i,-0.00010158-0.0015498i,-0.00046421-0.0010738i,-0.00014908-0.00055212i,0.00030155+0.00019951i,0.00025426+0.0001116i,0.0007392+0.00012532i,0.00089247+0.001015i,0.00020269+0.0012873i,-0.00041482+0.00089383i,-0.00036404-0.00020745i,-5.5158e-05-0.00073305i,-0.00060523-0.00023921i
-0.0041498-0.0020026i,-0.0024261+0.00011789i,-5.2158e-05-0.00039341i,0.0015032-0.00049497i,0.0023423+0.00032549i,0.0013651-0.00012399i,-0.00055476-0.001133i,-0.0016615-3.7642e-05i,-0.0017668+0.0012441i,-0.00090229+0.0012814i,-0.00096149+0.0010094i,-0.0012128+0.0012934i,-0.00016556+0.0012936i,-8.3448e-05+0.0011309i,-0.00033994+0.00070973i,-1.5244e-05+0.00062585i,6.1205e-05+0.001077i,-1.813e-05+0.00086144i,-0.00025433+0.00012664i,-5.9957e-05-0.00038224i,0.00045195-0.00027642i,0.00018785-0.00029575i,-0.00025965-0.0011232i
-0.0081529-0.0066634i,-0.0060584-0.003012i,-0.0036145-0.00099384i,-0.0012309+0.00085897i,0.00050987+0.0016093i,0.00090796+0.0016174i,0.001176+0.0013556i,0.0024853+0.0010293i,0.0034892+6.0618e-05i,0.0025945-0.0003506i,0.0020871-0.00010307i,0.0019183-0.00032694i,0.00074482-0.00096343i,-0.00079424-0.00093973i,-0.0016436-0.00087747i,-0.00056242-0.0004555i,0.0003019+5.3384e-05i,-0.00018803+0.00057119i,-0.00064064+0.00095519i,-0.00062973+0.00071202i,-0.00033313+0.00031458i,5.1024e-05-0.00016046i,0.00091609-0.00042622i
-0.0052502-0.0061569i,-0.0029086-0.0011769i,-0.00098182+0.0010112i,0.00036048+0.00056168i,0.0015257+0.00085279i,0.0022213+0.000808i,0.0015299-0.0011393i,-0.00084848-0.0029545i,-0.002524-0.0025407i,-0.0021368-0.00085312i,-0.0014425+0.00040498i,-0.00094218+0.0003864i,-0.00021154+0.00071653i,0.000344+0.0012006i,0.00049937+0.00072527i,0.00071724-0.00015443i,0.00063403-0.0002633i,-1.9889e-05+0.00072559i,-0.0001139+0.00063457i,6.5729e-06-0.00039761i,0.00023144-0.00064259i,3.9636e-05+0.00026588i,-0.00043354+0.00075682i
-0.0049655-0.0056336i,-0.0038104-0.0025854i,-0.0029262+0.00039704i,-0.0017832+0.0019935i,0.00023658+0.0018094i,0.0005496+0.0011402i,-0.00042154+0.00087264i,0.00018796+0.0016792i,0.0015589+0.0023543i,0.0017829+0.0020302i,0.0010469+0.0011146i,0.0010025+0.00049486i,0.0010843+0.0011495i,0.00044459+0.001611i,0.00074122+0.0010949i,0.00087387-1.8895e-05i,0.00011491+7.4173e-05i,-0.00048162+0.00072854i,-0.00069511+0.00065088i,-0.00025153-0.00026657i,-0.00077888-0.00055879i,-0.00078224-8.3072e-06i,-6.1714e-05+0.00018743i
-0.0062427-0.0019638i,-0.0027723+0.00035083i,-0.00099156+0.00088423i,0.00090843+0.0010539i,0.0027699+0.0017196i,0.0035757+0.0019842i,0.0037163+0.00093688i,0.0034221-0.0015591i,0.001435-0.0029888i,-0.0004005-0.0031408i,-0.00033054-0.0030015i,-0.00017295-0.0024858i,0.0001572-0.0014554i,-0.00011506+7.6426e-05i,-0.00084813+0.0004385i,-9.9353e-05+0.00034033i,0.00050539+0.00043512i,-0.00010843+0.00086612i,-0.00065246+0.0011192i,-0.00077905+0.00085582i,-0.00060906+0.00036948i,-0.00053626-0.00024739i,-0.00065993-0.00056683i
-0.0062849-0.0041673i,-0.0043137-0.00086859i,-0.0025441+0.0012723i,-0.00054014+0.0024999i,0.0014152+0.0017334i,0.0018127+0.00018477i,0.00013906-0.0010541i,-0.0018871-0.00054178i,-0.0018277+0.001223i,-0.00071895+0.0017133i,-2.6634e-05+0.001406i,0.00022912+0.0012266i,0.00017385+0.001623i,-0.00010537+0.0017388i,-0.00010355+0.0009243i,0.00019261+4.4413e-05i,-0.0003153-0.00012946i,-0.00064691+0.00013326i,-0.00032974+9.9227e-06i,-0.00043501-0.00039006i,-0.00033408-0.00011775i,-0.0004861-0.00036054i,-0.00023886-0.00018071i
-0.0086547-0.0018602i,-0.0053005+0.0012737i,-0.0019135+0.0026478i,0.00049226+0.0024703i,0.0020081+0.0013742i,0.0024246+0.0012391i,0.00267+0.0012439i,0.0034603+0.00067566i,0.0032819-0.00077567i,0.0013835-0.0020371i,0.00091016-0.002167i,0.0014691-0.0018661i,0.00039679-0.0014724i,-0.00054018-0.0010108i,-0.00018185-0.00020619i,0.00027027+0.00036497i,0.00052481+0.00036902i,-3.3819e-05+0.00057903i,-0.00051077+0.0010768i,-0.0002383+0.0010156i,-0.00037745+0.00077694i,-0.00049548+0.00057486i,0.00035127+0.00023461i
-0.0024122-0.0026926i,-0.0012657-0.0011568i,8.6661e-05-0.00053819i,0.0015082-0.00035281i,0.0024682+9.4242e-05i,0.0030784-0.00069798i,0.0023724-0.0018853i,7.2898e-05-0.0019185i,-0.0015363-0.00055393i,-0.0016732+0.00091444i,-0.0020993+0.00060174i,-0.001808-0.00053715i,-0.00087088-0.00018503i,-0.0011962+0.00056895i,-0.0010681+0.0003193i,-0.00073667+0.00036693i,-0.00079671+0.00023195i,-0.00063142-0.0003806i,-0.00014943-0.00049523i,0.00010474+0.00026877i,-0.0001229+0.00089172i,-0.00019379+4.2956e-05i,-0.00017271-0.00010686i
-0.006335-0.0028967i,-0.0037462+0.0013172i,-1.264e-05+0.0023036i,0.0020307+0.001434i,0.0021415+0.00096417i,0.0017876+0.00060007i,0.0017908+0.0011957i,0.0019373+0.0021741i,0.0020871+0.0017226i,0.0018393+0.00042881i,0.0012017-0.00022497i,0.0012016+0.0006552i,0.00092605+0.0014934i,0.00078355+0.0007433i,0.0010558-0.00027399i,0.00085924-0.00027079i,0.00043556-0.0008943i,0.00014273-0.00091384i,-0.00060882-0.00070237i,-0.0010883-0.00023833i,-0.00047916+0.00056172i,-3.8576e-05+0.0004186i,-4.8283e-05-0.0003327i
-0.0064046-0.0040959i,-0.0045255-0.00059199i,-0.0023135+0.0013725i,-0.00053366+0.0017456i,0.00067668+0.0017871i,0.0024428+0.0018819i,0.0030295+0.00058662i,0.0020849-0.0019952i,9.3149e-05-0.0028233i,-0.002149-0.001275i,-0.0023177-0.00011801i,-0.0018634-0.00026442i,-0.0019661-0.00073728i,-0.001336-0.00081352i,-0.0006262+5.1459e-05i,-0.00053349+0.00043944i,-0.00066443-0.00055147i,-4.9051e-05-0.0010133i,0.00017539-0.00080844i,0.00035874-0.00013388i,-0.00028209+0.00037679i,-0.00036616+0.00030101i,-0.00017967+0.00043503i
-0.0054945-0.0077627i,-0.0042669-0.0037447i,-0.0026082-0.00099195i,-0.00049624-0.00031492i,0.00071954-0.00018615i,0.00077649-0.00038375i,8.9705e-05-0.00076584i,-3.031e-05+0.00089887i,-4.7325e-05+0.0022765i,0.00023277+0.0018056i,0.00015436+0.0019897i,-0.00015727+0.0021683i,7.5049e-05+0.0014432i,0.00017278+0.0005874i,-4.1425e-05+0.0003516i,5.0557e-05+3.6334e-05i,-0.00024209+3.4872e-05i,-0.0004988+0.00077569i,-0.00021437+0.00094103i,-2.7765e-05+0.00040672i,-1.8913e-05+3.2103e-05i,0.00025045-0.0003562i,0.00065685-0.00064135i
-0.0041159-0.0045166i,-0.0018314-0.00073967i,-0.0010771+0.00076573i,0.00037595+0.0012243i,0.002613+0.0017541i,0.0036151+0.0014782i,0.0025244+0.00085666i,0.0023867-0.00097928i,0.0022371-0.0023431i,0.00037429-0.0019873i,-0.00044712-0.0014325i,-0.00044808-0.0012162i,-0.00083981-0.0011663i,-0.001255-0.000894i,-0.00093207-7.1208e-05i,-0.00029596+3.5967e-05i,0.00055908-0.00073674i,0.00021611-0.0008679i,-0.00064199-0.0002888i,-0.0007846+0.00049003i,-0.00028096+0.00042985i,6.448e-05+0.00016049i,0.00039076-0.00023255i
-0.0049453-0.0055115i,-0.0032778-0.0012774i,-0.0018782+5.5249e-05i,0.00039383+0.0014622i,0.0026+0.0018846i,0.00309+0.00066131i,0.0016069-0.00078482i,-0.00037625-0.0007752i,-0.00122+0.0010755i,-0.0011741+0.001547i,-0.001084+0.0011241i,-0.00052444+0.00087824i,0.00031466+0.0002587i,0.00016803+0.00043703i,-0.00042472+0.0012267i,-0.00084912+0.00082908i,-0.0010285+9.1002e-05i,-0.00084118+0.00056536i,-0.00053459+0.00044935i,-4.6061e-06+0.00019367i,0.00012321+0.00138i,-0.00037559+0.0017758i,-0.00045909+0.00062821i
-0.0081502-0.0014103i,-0.0053904+0.0024079i,-0.002757+0.0020161i,0.00017477+0.0020444i,0.0019825+0.0022436i,0.0023839+0.0016211i,0.0016402+0.0015803i,0.0018776+0.001492i,0.0023385+0.00081669i,0.0016096+0.00014751i,0.001356+6.2842e-05i,0.0018409-0.00019193i,0.001534-0.00055516i,0.000339-0.00048314i,0.00017782+0.0007412i,1.7184e-05+0.0018075i,-0.00052894+0.00072265i,-0.00093369+2.1568e-05i,-0.001282+0.00013906i,-0.00015121+5.9271e-05i,0.0010696+0.00076433i,0.00035415+0.0012916i,-0.00015199+0.00072669i
-0.0079249-0.0038513i,-0.0050362-0.00066461i,-0.0038844+0.0010869i,-0.0012116+0.0022526i,0.0030934+0.0026659i,0.0054041+0.0015484i,0.0033467-0.00026841i,-6.4868e-05-0.0012878i,-0.0016506-0.00088563i,-0.0013974+0.0001922i,-0.00079775+0.00064771i,-0.0011688+0.00021567i,-0.0010241-0.00015254i,-0.00050472-0.00019416i,-0.00052232-0.00033544i,-0.0010281-0.00035572i,-0.001982-0.00015842i,-0.0015716-3.6458e-05i,-0.0004158+0.00022876i,-5.2057e-05+0.00060816i,-2.0928e-05+0.00084402i,0.00016786+0.0008974i,-0.00029984+0.00084736i
-0.0044488-0.0035071i,-0.0022513-0.0005254i,0.00013148-0.00061215i,0.0011259-0.00082922i,0.0013722-0.00089808i,0.0011554-0.001076i,0.00063721-0.00036462i,0.00055829+0.00051086i,0.0010287+0.0006577i,0.0017437-4.2807e-05i,0.0010664+0.00067398i,-0.00011042+0.0015069i,-0.00018808+0.00062645i,-0.00021121+0.00033718i,-0.0001273+0.00067935i,-0.00027213+0.00035494i,-0.00047783+0.0006946i,-0.00091809+0.0012145i,-0.00055718+0.00023334i,0.00044098-0.00061579i,2.0123e-05-0.00040665i,-0.00081121+0.0003373i,-0.00024937-6.9195e-06i
-0.0037761-0.0012182i,-0.0026416+0.0010443i,-0.0010657+0.0019222i,0.0014762+0.0021426i,0.0031147+0.0015646i,0.0030761+0.0007997i,0.0022883-0.00010945i,0.0011806-0.0010798i,-0.00047769-0.0015281i,-0.001192-0.0014726i,-0.00076498-0.0009558i,-0.00076596-0.00095922i,-0.0013919-0.0011112i,-0.00046209-0.0010336i,0.00053687-0.00086694i,0.00018107-0.00021051i,0.0002065-0.00038201i,-0.00014825-0.00023342i,-6.4549e-05+0.0001938i,0.00030498+0.00054005i,0.00061303+0.00035741i,0.00072971-5.1052e-05i,-8.3643e-05+1.9737e-05i
-0.0055769-0.0026372i,-0.0029082-0.00039268i,0.00041285+0.00090115i,0.0029139+0.00068071i,0.0044462-0.0006368i,0.0036283-0.0021521i,0.0011614-0.0029468i,-0.0004401-0.0013573i,-0.00027641+0.0012037i,0.00050317+0.0018669i,-5.8806e-05+0.0010271i,-0.00085466+0.00084764i,-0.00035764+0.0012052i,-0.00036128+0.00052949i,-0.0006943+5.531e-05i,-0.0012178+0.00072189i,-0.0014762+0.0011296i,-0.00055916+0.00060244i,-0.00049036+0.00062033i,-0.00020042+0.0011344i,0.00020598+0.00063937i,-0.00025438-0.0001637i,-3.2706e-05-0.0003678i
-0.0047106-0.0052879i,-0.0046486-0.0015148i,-0.0034307-0.00079278i,-0.0015105+0.0016416i,-5.1266e-05+0.0027769i,0.00010944+0.0020335i,0.00068136+0.0014288i,0.0017749+0.00053604i,0.00090554-0.00049394i,-0.00019795-0.0013992i,-0.00013015-0.00080943i,-1.1957e-06+0.00019803i,-0.00043264-0.0001548i,-0.00041112-7.0291e-05i,0.00015615+0.00012344i,0.00024954+0.00019066i,8.114e-05+0.00040418i,-5.9424e-05+9.7469e-05i,-3.7353e-05+5.0307e-05i,-0.00038021+0.0002272i,-0.0007186+0.00074398i,-0.0012385+0.00056179i,-0.0010699+0.00063932i
-0.0035753-0.0055275i,-0.0014532-0.0029358i,-6.6782e-05+4.714e-05i,0.00089368+0.0010567i,0.0016247+0.00022041i,0.002178-0.00093895i,0.0019962-0.0011882i,0.0010896+2.1045e-05i,-0.00066564+0.0014567i,-0.0015524+0.0012003i,-0.0018807+0.0010954i,-0.0018322+0.00143i,-0.00046579+0.0011914i,-8.4939e-05+0.00080829i,-0.00030426+0.00054458i,-0.00029742+0.00010731i,-0.00043968-0.00024312i,-0.00057176-0.00067354i,7.2601e-06-0.00063967i,0.00051115-0.00012484i,0.00052716-0.00027794i,0.00060588-6.3533e-05i,-0.0003262+0.00030989i
-0.0075364-0.0015158i,-0.0049697+0.0011092i,-0.0025644+0.001885i,-0.00044339+0.0014739i,0.00096816+0.0014733i,0.0011494+0.0003357i,0.00061317-0.0010363i,0.00039213-0.0011221i,0.001173-0.00054293i,0.0014319-0.0002682i,0.001555+0.00026347i,0.0020622+0.00048984i,0.0019775+0.00013491i,0.00070894+0.00031753i,-7.6368e-05+0.00068918i,0.00012321+0.00067549i,-0.00045746+0.00099568i,-0.0006102+0.0007715i,-0.00012651+0.00041235i,-2.8668e-05+1.0724e-05i,0.00052455-0.00026198i,0.00011636+0.00069289i,-0.00044874+0.0011204i
-0.0077194-0.0038294i,-0.0056887+0.0014401i,-0.0027758+0.0031305i,0.00059329+0.0025957i,0.0026764+0.0024793i,0.003447+0.002282i,0.0033256+0.0019908i,0.0026052+0.00083155i,0.0011438+0.00017236i,-0.00028947+1.388e-05i,-0.00098146-0.00071601i,-0.0013772-0.0011556i,-0.0015297-0.0011438i,-0.00062179-0.00055431i,0.00016024+0.00025165i,-0.00070027+0.00046031i,-0.0010642+0.0004548i,-0.00013878+0.00037246i,-8.3966e-05-0.00024327i,-0.00054422-0.00040956i,-0.00056395+0.00045787i,-0.0010613+0.00086203i,-0.0018509+0.00059251i
-0.0086275-0.0046602i,-0.0065658-0.0019236i,-0.0042788-0.0003041i,-0.00097957+0.0014395i,0.0015553+0.0019966i,0.0023706+0.00018929i,0.0018042-0.0013615i,0.00067697-0.00099083i,0.00074253+6.5423e-05i,0.0012723+0.00050431i,0.00091798+0.0002424i,0.00067724+0.00020909i,0.00014653+0.00072374i,-0.0002792+0.00037388i,0.00032449-0.00020958i,0.00045195-0.00051663i,-2.3343e-05-0.0012221i,-0.00032477-0.00040979i,-0.00075679+0.00065464i,-0.00089669+0.00040346i,-0.00090226+7.8815e-05i,-0.00065652+0.00059989i,-0.00040946+0.0012698i
-0.0050904-0.0062039i,-0.0025393-0.0013312i,-0.001818+0.0017558i,0.00017291+0.0024856i,0.0029788+0.0029752i,0.0032933+0.0027655i,0.0011742+0.0015599i,-8.0119e-05+0.00093705i,-7.3239e-05+0.00038696i,-0.00021615-0.00018178i,0.00016959-0.00035277i,-0.00013367-0.0008558i,-0.00094824-0.0014438i,-0.0010017-0.0010958i,-0.00038404-0.00013943i,0.00038511+5.8442e-06i,0.00027642-0.00026703i,-0.00072334+0.00035265i,-0.0013948+0.00026317i,-0.00089291-0.0011754i,-0.00042695-0.0015902i,-0.00057155-0.00087041i,-0.00045712-0.0004773i
-0.0030077-0.0041504i,-0.0027627-0.0015299i,-0.00092345-0.001221i,0.00166-0.00085281i,0.0031227-0.00048489i,0.0025826-0.0015102i,0.0019533-0.0022783i,0.00099268-0.0020262i,-3.7607e-05-0.0016263i,-0.00075882-0.0011553i,-0.00093272-0.0007224i,-0.00079766+0.00025169i,-0.00080137+0.00076232i,-0.00095457+0.00035899i,-0.00065784+0.00045248i,-0.00050045+0.00057048i,-0.00056672+0.0005964i,-0.00012806+0.00034707i,0.00073387+0.00036303i,0.00085353+0.00083065i,0.00019983+0.00096802i,-0.00028381+0.00050814i,-0.00069943+6.9221e-05i
-0.0043458-0.00066385i,-0.0030683+0.0020345i,-0.0016584+0.0025398i,0.00054887+0.0022239i,0.0023448+0.0012611i,0.0016087-0.00016531i,-0.0005598-0.00059286i,-0.0011228-0.00028475i,0.00028674-0.00056358i,0.0012027-0.0010163i,0.001451-0.00020115i,0.0018031+0.00014424i,0.00109-3.9364e-05i,0.00020627+1.0122e-05i,0.00026259-0.00036878i,0.00017536-0.00062383i,-5.4617e-05+8.424e-05i,-0.00066407+0.00090707i,-0.00047537+0.00047451i,0.00054828-0.00064773i,-0.00029109-0.0012236i,-0.00095156-5.9909e-05i,-0.00025873+0.00094603i
-0.0039656-0.0030226i,-0.0017042-0.00058007i,0.00069983+0.00068321i,0.0032324+0.00059285i,0.0049859+0.00054083i,0.0046652-0.00056898i,0.0037124-0.0016853i,0.002064-0.0010514i,0.0011499-0.00070548i,0.00073866-0.00070583i,-0.00037842-0.0011302i,-0.0015683-0.0012966i,-0.0021623-0.00017992i,-0.0013219+0.0003473i,-0.00072305+0.00037985i,-0.00092993+0.0011499i,-0.0010414+0.0019345i,-0.00048748+0.00095024i,0.00032492-0.00010428i,0.00022189+0.00059592i,9.9669e-05+0.0010377i,0.00043418+0.00050958i,-4.8497e-05+0.00020722i
-0.0082185-0.0049619i,-0.0069743-0.0008101i,-0.0046885+0.0016365i,-0.0013005+0.0019742i,0.00078584+0.0016431i,0.00055551+0.00067481i,-0.00031398-0.0014259i,-0.00091298-0.0029087i,-0.00070205-0.0021121i,-0.00017991-0.00022143i,-0.00054792+0.0005996i,-0.00013303+0.00070481i,0.0006365+0.00032333i,0.00066796-0.00014799i,0.00054396+0.00018242i,0.00057154+0.000873i,-0.00010334+0.00099443i,-0.00041747+0.00025052i,-0.0003707-1.8527e-05i,-0.00033646+0.00062541i,-0.00023387+0.00073641i,6.2914e-05+0.00032717i,-6.1049e-05+0.00045946i
-0.003407-0.004468i,-0.001602-0.0012188i,-0.0003049-0.00083068i,0.00093411+0.00037079i,0.00089383+0.0018816i,0.0013233+0.0021046i,0.0026949+0.0023647i,0.0026697+0.002767i,0.0020955+0.0020883i,0.0015709+0.00045982i,0.00018604-0.00041559i,-0.0010117-0.00071805i,-0.0011005-0.0010309i,-0.00034995-0.00017758i,-0.0002919+0.00038853i,-0.00054713+0.0001903i,-0.00053765-8.469e-05i,-0.00061122-0.00026004i,-0.00067845+6.4364e-05i,-0.00079674-0.00021477i,-0.00064882-0.00020408i,-0.00047374-0.00011663i,-0.00043681-0.00034936i
-0.009732-0.002613i,-0.0069324+0.0005902i,-0.0037821+0.0018026i,-0.00016313+0.002143i,0.002408+0.0023344i,0.0032678+0.00080783i,0.0029829-0.0021516i,0.0016208-0.0028898i,0.00018473-0.00097024i,-0.00074393+0.0011989i,-0.0014346+0.001482i,-0.00071014+0.00094893i,-1.0947e-05+0.00080054i,-0.00080255+0.00062658i,-0.00055737+0.00027363i,0.00072844+9.0486e-05i,0.0006028-5.6704e-05i,-0.00043275+0.00016982i,-0.0013157+0.00060634i,-0.0012455+0.0007611i,-0.00035967+0.0014619i,5.4171e-05+0.0019183i,-0.00033752+0.0010964i
-0.0082667-0.0048848i,-0.0062995-0.0012445i,-0.0029344+0.0017663i,0.00016745+0.0031698i,0.0019443+0.003891i,0.0021232+0.0036303i,0.00095727+0.0031043i,-0.00050691+0.0024521i,-0.00019443+0.001638i,0.00075199+0.0013289i,0.00046463+0.00019098i,0.00054768-0.00079585i,0.00056274-0.00055159i,-0.00034189-0.00055794i,-0.0010262-1.6554e-05i,-0.0013236+0.00029257i,-0.0010213+0.00045756i,-0.0004159+0.0010893i,-0.0001447+0.00077445i,-0.00036965-0.00023472i,-0.00071679-0.00039312i,-0.00092428-0.00051693i,-0.0010208-0.00069522i
-0.0060444-0.0028572i,-0.0044011-0.00080143i,-0.0015588+0.0012394i,0.0015112+0.0017482i,0.0044509+0.0010099i,0.0051929-7.5817e-05i,0.0038956-0.00087289i,0.003314-0.0015348i,0.0028708-0.0014848i,0.0016941-0.00090129i,0.00042763-0.00064011i,-0.00057777-3.8008e-05i,-0.0012007+0.00045263i,-0.00088709+0.00076497i,-0.00077654+0.00088666i,-0.00069048+0.0008146i,-0.00032474+0.0010182i,0.00040928+0.0011514i,0.00076267+0.00047707i,0.00021143-0.00011262i,0.00043518+0.00018873i,0.00055053+0.00026165i,-0.00056308+1.6652e-05i
-0.0033929-0.0042628i,-0.001508-0.0019795i,0.00064567-0.00045568i,0.002469+0.00040734i,0.0034121-0.00051526i,0.0020206-0.0011519i,-0.00047927-0.00094136i,-0.0018491-3.0369e-05i,-0.0021016+0.00076002i,-0.0014581+0.00050599i,-0.00061345+0.00017517i,-0.0002696+0.00031544i,-6.1502e-05+0.00039603i,-0.00018653+9.7861e-05i,0.00020799-6.2963e-05i,0.0006596+5.4669e-05i,0.0008089-1.9931e-05i,0.00048636+0.00046244i,-0.00018244+0.00090966i,6.3551e-05+0.00010498i,0.00043627-0.00091795i,0.00050209+8.4481e-05i,0.00039657+0.00071696i
-0.006921-0.0060496i,-0.0047034-0.003014i,-0.0023499-0.00042319i,-0.00053434+0.001078i,0.00082701+0.0012994i,0.0030446+0.0010534i,0.0043953+0.0012147i,0.0044984+0.0013333i,0.0032106+0.00075408i,0.0013841+0.00048944i,8.2995e-05+0.00042775i,-0.00015621+0.00094338i,-0.00056883+0.0013321i,-0.00087006+0.0011197i,-0.00085577+0.00073069i,-0.0012108+0.00071102i,-0.00091644+0.00061719i,-0.00072465+0.00068805i,-0.001501+0.00099902i,-0.0010517+0.0005046i,9.4472e-05+0.00073365i,0.00063102+0.00066034i,0.00095006+0.00035635i
