-0.0034466-0.00038376i,-0.0031415+0.00028835i,-0.0038286+0.0017346i,-0.0023098+0.0021398i,-0.0012653+0.0026841i,-0.00075411+0.0024675i,-0.00014684+0.0026164i,0.00057382+0.0023301i,0.00087715+0.00086516i,0.0013352+0.00029535i,0.0016114+0.00014821i,0.00085617-0.00033616i,0.00074017-0.0012336i,0.00196-0.0015016i,0.0021929-0.00048255i,0.00083057-0.0005434i,0.00040145-0.00098802i,0.00084802+7.3974e-05i,0.00062786+0.0010057i,-0.00072412+0.00034849i,-0.0011251-0.00025334i,-0.00039894-8.5357e-05i,-0.00024548-7.7591e-05i
0.0019795-0.00033674i,0.0011756-0.00088478i,0.0003384-0.0013676i,-0.00067286-0.00088417i,-0.0012983+0.00019768i,-0.0016877+0.0013257i,-0.0014518+0.001895i,-0.00056607+0.0015387i,8.7669e-05+0.00026106i,0.00018287-0.00018154i,-0.00025895-0.00062771i,-0.00027321-0.00077267i,-0.0003916-0.00018538i,-0.00083679-1.6453e-05i,-0.00072858+3.6267e-05i,-0.00073713-0.00010947i,-0.00078982-0.0002045i,-0.00015171+0.00029565i,0.00033754+0.00058812i,0.0005336+7.897e-05i,0.00077053-0.00083919i,0.0002734-0.00091591i,-0.0002322-0.00032347i
0.00085951+0.00010366i,0.0012775-0.00020578i,0.0011191-0.00092793i,0.00060804-0.0005783i,0.00026636+0.00039722i,0.00017734+0.0010666i,-6.9508e-05+0.001263i,-0.00020638+0.0010018i,-0.00014352+0.0007774i,-0.0003379+0.0010703i,0.00016577+0.00031415i,0.00019495+0.00010209i,-0.0002278+1.0749e-05i,-0.00017162-0.00048111i,-0.00078029+0.00015257i,-0.0012378+0.0010203i,-0.00049427+0.00060573i,0.00053937+0.00025272i,0.00042901+0.00048608i,0.00029035+0.00010489i,0.00062109-0.0004775i,0.00020693-0.00031848i,-0.00041894-2.6957e-05i
0.0024303+0.0014947i,0.0023527+0.00050285i,0.0016217-0.0011294i,0.0011264-0.0015485i,7.2048e-06-0.00090126i,-0.0010707-0.00030652i,-0.0014599+0.00080478i,-0.00032336+0.0015628i,0.00063068+0.0014995i,-0.00010966+0.0011206i,-0.00055444+0.0012433i,-0.00071419+0.00061449i,-0.00059557-0.00043251i,-6.7237e-05-0.00079661i,-0.00027295-0.00062958i,-0.00029762-3.6779e-05i,0.00015991+0.00060423i,0.00039645+0.00062443i,0.00052235+0.00070859i,0.00076416+0.00081877i,0.00025571+0.00067623i,0.00017449+0.00038222i,0.00020884+0.00022914i
0.00038221-0.00039565i,0.00029617-1.3162e-05i,0.00056515-0.00057152i,0.001059-0.00058188i,0.00039684+9.8619e-05i,-0.00087274+0.00087237i,-0.0010561+0.00046254i,-4.1211e-06+0.0001694i,0.00053635-0.00022984i,0.00047813-0.00084316i,0.00075232-0.00068973i,0.00035267-0.00016218i,0.00018195+0.00049416i,-8.1506e-05+0.00017496i,-3.8586e-06-0.00026754i,0.000246-9.9039e-07i,0.00017881+5.9121e-05i,0.00020313-0.0006921i,0.00042453-0.00062605i,0.00027498+0.00026995i,-0.00025604+2.5811e-05i,-0.0005384-0.00061611i,-0.00013943-0.0001736i
0.0014586-0.00026954i,0.0010162-0.00071249i,0.00087581-0.0015983i,0.0003726-0.0018466i,-0.00084353-0.00040869i,-0.0017776+0.0011589i,-0.00052953+0.0013529i,0.00035133+0.001469i,0.00010045+0.0010813i,2.2714e-05+0.0003868i,-0.00017129+6.2943e-06i,-0.00028731+0.00037197i,0.00013964+0.00031376i,0.00071829+3.1282e-05i,0.0011505+0.0010859i,0.00082936+0.0017715i,-0.00012436+0.0011507i,-0.00020344+0.0011381i,-0.00013275+0.00071039i,-0.0002462-0.00023464i,0.00017921-0.00095119i,0.00062751-0.00065117i,0.0009932-0.00043182i
-0.00081058+0.00051254i,-0.00090827+0.0016323i,-7.4023e-07+0.0021343i,0.0005361+0.0014111i,0.00032672+0.00029478i,-0.00041828-0.00020436i,-0.0009089+0.00043007i,-0.00078184+0.00070774i,-0.00052317-0.00018658i,-0.00043945-0.00081562i,-0.00034735-0.00086254i,-0.0001731-0.00077762i,-0.0005049-0.00085548i,-0.0013013-0.00062757i,-0.00056298-0.00064747i,0.00057114-0.00019955i,0.00068527+0.00022567i,0.00064774-4.5297e-06i,0.00030301-0.00026233i,0.00063433-0.00024023i,0.00057373-0.00028192i,-7.4639e-05-0.00049648i,-0.000391-0.00067903i
-4.3233e-05+0.00011532i,-0.00016877-0.0003114i,-0.00033456-0.00015495i,0.00036955+0.00025386i,0.0011207+0.00014103i,0.0007976+0.00019827i,-3.7599e-06+0.00086359i,8.4996e-05+0.0014658i,0.00050277+0.00073073i,0.00082675+0.00036955i,0.0011216-3.0806e-05i,0.0014722-0.0011421i,0.0011239-0.00082477i,0.0003838+0.00013643i,0.00034557+0.00070983i,0.0005118+0.00037501i,-0.00021455+0.00021972i,-0.00066622+0.00056435i,-0.0011758+0.00018972i,-0.00060263+0.00017433i,0.00013446+0.00094621i,-8.9245e-05+0.00046162i,-0.00020892+5.2207e-05i
0.00097365-2.4034e-06i,0.0011592+0.00046631i,-0.00033884+0.00034471i,-0.00081753+0.00021894i,-0.00065837+0.00040755i,-0.00073814+0.0010215i,-0.00038307+0.0013877i,0.00028642+0.00091581i,0.0014099-0.0001596i,0.001381-0.00031883i,5.2776e-05+0.00032785i,-0.00059393+6.5509e-05i,-0.00034941+6.2653e-05i,6.6753e-06+0.00021677i,0.00058354+0.00032984i,0.00064032+0.00078128i,1.8065e-05+0.00054314i,-7.4231e-05+0.00011283i,-0.00016335+0.00038303i,-0.00068773+0.00054749i,-6.6327e-05+6.476e-05i,3.5519e-05-0.00013878i,-0.00051081-6.526e-05i
-0.0023635-0.0026818i,-0.0015114-0.0023712i,-0.001248-0.0014117i,-0.0018585+2.1277e-05i,-0.0013107+0.0011632i,-0.00064886+0.00094158i,-0.00070254+0.00069104i,-0.00052225+0.00039787i,-0.00057005+1.97e-05i,-0.00013328+9.0582e-05i,0.00074168+8.0361e-05i,0.0014785-0.00049535i,0.0018038-0.00044972i,0.00099523+0.00016253i,0.00057993+0.00014306i,0.0010298+0.00045188i,0.0004612+0.0006514i,-0.00022935-4.0608e-05i,-0.00016075-0.00036236i,-0.00057547-2.156e-05i,-0.00079897-0.0003015i,-0.00038339-0.00072811i,-0.0003596-0.00057173i
0.0017305-0.002284i,0.0014346-0.0024397i,7.623e-05-0.0031099i,-0.00098527-0.0021448i,-0.0011187+0.00048759i,-0.00082841+0.0020064i,-0.0009928+0.0023616i,-0.0011148+0.0018053i,-0.00067329+0.00035442i,-0.00094387+0.00022315i,-0.0012255+0.00066261i,-4.1347e-05+0.00063069i,0.00050108+6.187e-05i,-2.9365e-05+0.00053413i,0.00020491+0.00079373i,-7.6701e-06+0.00041763i,-0.00092295+0.00075282i,-0.00085772+0.00093085i,-7.4089e-05+0.00034106i,0.00034186-0.00058323i,0.00022518-0.00068402i,-0.00012408-0.00011962i,-0.00053885-9.7477e-05i
-0.00028499+0.0024905i,-0.00014064+0.0013051i,0.00038255+0.00040265i,-0.00062884+7.0366e-05i,-0.0011407+8.2419e-05i,-0.0012307+0.00040074i,-0.00050193+0.00088145i,0.00038168+0.00076668i,0.0011847+0.00084337i,0.00085522+0.0011213i,-0.00019562-8.7509e-05i,0.00014955-0.0015053i,0.00048564-0.001366i,-0.00011922+2.0494e-05i,-0.00031912+0.00029892i,0.00055735-0.00027115i,0.00091621-0.00034682i,0.00071154-0.00031478i,0.0007574-0.00094629i,0.00056171-0.0008733i,0.00035781-3.7463e-05i,-3.7703e-05+0.00030153i,-0.00071576+0.00016389i
-0.00064214-0.0018419i,-0.00076655-0.0027247i,-0.0010757-0.0021627i,-0.0010036-0.00026787i,-0.00069734+0.0015714i,-0.00090227+0.0023031i,-0.00060539+0.0014417i,0.00053368+0.00072176i,0.00054687-0.00015222i,-0.00053874-0.00053654i,-0.00028313-0.00059992i,0.00093854-0.00065078i,0.001777-0.00092979i,0.0020052-0.00095249i,0.0015636-0.00020321i,0.00041006-0.00021113i,-0.00031763+0.00035401i,-6.1086e-05+0.00038986i,0.00021394-9.2071e-05i,0.00056941+0.00033166i,0.00053537+0.00016852i,3.0662e-05-0.00012409i,1.238e-05-6.4382e-05i
0.0011923-0.0015538i,0.0015986-0.0015098i,0.0014537-0.0020317i,0.0014538-0.0015215i,0.00032305-0.00020925i,-0.00062481+0.00048915i,-0.0012458+0.0011608i,-0.0012053+0.0014103i,-0.00070023+0.00085516i,-0.00033503+0.00013292i,0.0002119-0.00039067i,0.00063959-0.00078321i,-7.1045e-05-0.00012572i,-0.001631+0.00041402i,-0.00067622+9.7615e-05i,0.00069955-0.00050112i,0.00093422-0.00030137i,0.00044199+0.00033288i,-0.00028185+5.2751e-05i,-0.00065296-0.00066621i,-0.0010872-0.00089071i,-0.0007226-0.00032445i,0.00030755-0.00022845i
-2.9272e-05+0.00079416i,0.00091018+0.001064i,0.0010164+0.00093025i,0.00092128-0.00020894i,0.00015449-3.3646e-05i,-0.00072659+0.0010353i,-0.00041296+0.0016987i,-0.00078769+0.0013294i,-0.0012492+0.00048602i,-0.00047122-0.0002127i,0.0009153-0.00066502i,0.0016147-0.00091822i,0.00088268-0.0012142i,0.00072281-0.00092318i,0.0011808-0.00047534i,0.0010163+0.00027267i,-3.9219e-05+0.0005107i,-0.00010768+0.00055501i,2.2215e-05+0.00046895i,-0.00065731-0.00014202i,-0.00057973-0.00031474i,0.0006473+6.429e-06i,0.00068137+3.5494e-05i
0.001396+0.00034019i,0.0022354+7.3301e-05i,0.0017801-0.00046374i,0.0012164-0.00040735i,0.00087004+0.00063589i,-0.00047976+0.0016029i,-0.0015079+0.0012101i,-0.00085386+0.00065156i,-0.00022246+0.00030182i,0.00026649+0.00016188i,0.00013828-0.00047936i,0.00022676-0.0011453i,0.00041076-0.00037222i,0.00063665+0.00088799i,0.00066693+0.00084845i,0.00042852+3.6346e-05i,0.00065907+6.778e-05i,0.00052675-6.6869e-05i,7.0021e-05-9.4323e-05i,2.4171e-05+0.00011354i,0.00013272-0.00055379i,-0.00038684-0.00074095i,-0.00045081-8.3611e-05i
-0.0011772+0.00026717i,-0.0013486+0.00066064i,-0.00097451+0.0010908i,-0.0011359+0.00093174i,-0.0012528-0.00067807i,-0.00088478-0.00099577i,-0.00044464+0.00015012i,-0.00064253+0.00064587i,-0.00061664+9.5448e-05i,-0.0001717+0.00038813i,0.00039646+0.0010603i,4.936e-05+0.00061656i,-1.5536e-05+0.00015087i,0.0003909+0.00086712i,-0.0001904+0.0010741i,-0.00079114+0.00051706i,-0.00079981-0.00019898i,0.00049443-0.00049286i,0.00086062-8.048e-05i,0.00085622+0.00058506i,0.00096498+0.00096461i,0.0008442-0.00017952i,0.0010766-0.0010949i
4.5753e-05-0.0022306i,-0.00010518-0.0013896i,-0.00024785-0.00043736i,-0.00045819-0.00019158i,-0.0010392-8.5361e-05i,-0.0013506+0.0010023i,-0.00067188+0.0014203i,0.00020286+0.00087918i,-0.00018991+0.00033697i,-0.00062376+2.7667e-05i,0.0003193+0.00032735i,0.001853+0.0005532i,0.0015696+0.00026721i,0.0010145+0.00029666i,0.0014989+0.0012449i,0.0010504+0.00069657i,0.00031888-0.00081775i,0.00056176-0.0011097i,0.00053172-0.00028376i,5.404e-05-7.1152e-05i,-0.00018932-3.0614e-06i,-0.00083355+3.3825e-05i,-0.0021344+0.00030814i
0.0015094-0.0010098i,0.0013337-0.0019808i,0.0017159-0.0027569i,0.00032822-0.0028818i,-0.00047138-0.0018586i,-0.00090505-0.00017647i,-0.0013769+0.00077391i,-0.0008866+0.00091409i,-0.00017241+0.0010921i,-0.00017636+8.2042e-05i,-0.00071892-0.00036512i,-0.0010227+0.00052098i,-0.00048896+0.00089291i,-0.00022697+0.0014059i,-0.0011124+0.0015668i,-0.0007528+0.00091633i,4.851e-05-0.00013862i,-0.00039674-0.00038304i,-0.00052398+0.00033599i,0.00013441+5.3743e-05i,0.0011751-0.00018218i,0.001786+0.0005056i,0.0013047+0.00075235i
0.00057372-0.00064706i,0.0010639-0.00061133i,0.0010405-0.00059487i,0.00020089-0.00068325i,1.1566e-05-0.00047212i,-0.00048347+0.00032951i,-0.00096292+0.00079393i,-0.00017383+0.00086886i,-6.8162e-06+0.0003269i,-0.00042988+0.00015206i,-0.00030707+0.00054761i,-0.00042878+0.0010812i,-0.00071996+0.00076002i,-0.00018556+0.00016571i,0.00017612+0.00034365i,-0.00037826+0.00019975i,-0.0005326-0.00060497i,-0.00033599-0.00032617i,-0.00055285+0.00024875i,-0.0011552+0.00022993i,-0.001104+0.00040891i,-0.00031467+0.00034184i,1.0467e-05-0.00022267i
0.0037776+0.00075411i,0.0045028+8.5713e-05i,0.0027474-2.0691e-05i,0.00048027+6.2381e-05i,-0.00049678+5.2401e-05i,-0.0014541+0.00014832i,-0.001437+0.00086626i,-0.00065432+0.002044i,-0.00036382+0.001579i,0.00014638+0.00052692i,0.0010943+5.0272e-05i,0.0018262-0.00065156i,0.0010642-0.00052597i,-4.0424e-05+0.00036258i,0.00019129+0.00037144i,0.00046362-9.0418e-05i,0.00012215-7.3801e-05i,-0.00010745-8.1359e-05i,0.00016684-0.00048474i,0.00035967-9.4456e-05i,0.00048189+0.0001782i,0.00027717+0.00032593i,2.4766e-06+0.00082109i
-0.00095353+0.0033709i,0.00013005+0.0030932i,0.0012431+0.0015517i,0.00065314+0.00077961i,0.00011528+0.00080122i,-1.8712e-05+0.00092222i,-0.00038389+0.00083895i,3.579e-05+0.00067946i,0.00033471+0.00042511i,0.00010368-0.00016147i,-0.00015091-0.00055561i,-0.00047838-0.0011036i,-0.0010091-0.000657i,-0.00093185-0.00013486i,-0.00050744-0.0003272i,-0.00034806-0.00020197i,-0.00040983-0.00025252i,-0.00066126-0.0005961i,-0.00072841-0.0005058i,-0.00053665-0.00044331i,-1.0225e-06-0.0004219i,0.00016698-0.00058i,-4.1142e-05-0.00029509i
-0.0017998+4.3747e-05i,-0.0019684-6.1527e-05i,-0.0014293+0.00061771i,0.00010966+0.0011403i,0.00051879+0.0010844i,-0.00068834+0.0013759i,-0.00099166+0.0014011i,-0.00062015+0.00060986i,-0.00048837-6.5129e-05i,-0.00022542-3.2148e-05i,0.00020192+2.072e-05i,0.0010926-0.00051788i,0.0014023-0.00044351i,0.00039475-5.2541e-06i,0.00010016-0.00073355i,0.00040574-0.0014534i,-0.00010596-0.00076001i,-0.0003005-0.00027482i,-0.00034312+0.00011993i,-0.00031913+0.000779i,0.00034035+0.00083929i,0.00078803+0.001046i,0.00019532+0.00098902i
0.00048083-0.00020967i,-1.0596e-05-0.0016684i,0.00034009-0.0017067i,0.00054048-0.00078072i,-0.00037298-0.00071765i,-0.0014642-0.00012235i,-0.0018246+0.0013618i,-0.0013103+0.0010198i,-0.00096414+0.0003461i,-0.00038666+0.00056043i,0.00086124+0.00037046i,0.00078215+7.6724e-05i,0.0009136+0.00052649i,0.0010407+0.00068694i,-9.2376e-05-0.00025939i,-6.7306e-05-0.0003503i,0.00060065-8.8956e-05i,-1.9883e-05-0.00034801i,-0.00025638-7.5024e-05i,0.0002221+6.1358e-05i,9.6119e-05-0.00050585i,-0.00062989-0.00017598i,-0.00038275+0.00039225i
0.001736-0.00067604i,0.0029707-0.0015144i,0.0018655-0.0016532i,0.00060231+9.172e-05i,0.00059536+0.0017071i,0.00051215+0.0018116i,-0.00010148+0.0012371i,0.00030902+0.00067507i,0.00037133+0.00096164i,-0.00027557+0.00091163i,-0.00013117+2.6744e-05i,0.00086992-0.00018735i,0.0011994+0.00023647i,0.00050426+0.00010291i,0.00054919-0.00019317i,0.00069598-0.00044087i,0.00048938-0.0011136i,2.7773e-05-0.00077134i,-0.00030957-4.3839e-06i,-0.00019644-0.00012647i,-0.00079049+0.00019137i,-0.0015755+0.00026006i,-0.0013379-0.00033048i
0.0015351+0.0014561i,0.0020398+0.0012257i,0.0026671+0.00024568i,0.0018206-0.0011502i,0.00044998-0.0013358i,-0.00016432-0.00079627i,-0.00091276-0.00034616i,-0.0011322+1.4321e-05i,-5.4031e-06+0.00025563i,0.0011971+0.00015836i,0.0013785-0.00055776i,0.00084388-0.00092882i,0.00069075-0.00048436i,7.5375e-05-0.00068026i,-0.00052662-0.0011035i,-8.5548e-05-0.00043482i,0.00013864+0.00041659i,-0.00028711+0.00031979i,6.9024e-05+0.00019832i,0.00064898+0.00050018i,0.00071606+0.00032579i,0.00080033+0.00085665i,0.00048793+0.0014693i
0.001078+0.00077475i,0.0012214+0.00063512i,0.0011238+0.00016457i,0.00037012-0.00038677i,9.2165e-05-0.00060327i,-0.00081121-0.00032462i,-0.0017534+0.0012074i,-0.0014607+0.0015003i,-0.0002226+0.00035722i,0.00099967-7.3682e-05i,0.0012135-0.00026242i,0.0007008-0.0010243i,0.00022518-0.0013331i,0.00019896-0.00042044i,0.00016053+0.00076185i,-0.00056854+0.00050039i,-3.502e-05+0.00068965i,0.00049062+0.0012471i,-0.0004025+0.0007014i,-0.0006514+0.00018466i,0.00041137-0.0002168i,0.0011503-0.00064294i,0.0008573+6.0092e-05i
0.00083582+0.0011349i,0.001513+0.00024942i,0.0021961-0.0010385i,0.0014566-0.0015105i,-0.00060739-0.00057213i,-0.0022584+0.00065875i,-0.0016133+0.0016243i,-0.00064015+0.0023726i,1.3236e-05+0.0020255i,0.00046387+0.00082805i,0.00043795-0.00035896i,0.00039446-0.00040156i,-5.6463e-05+0.00042821i,0.00018476+0.00094499i,0.00037326+0.00082482i,-0.00051528+0.00049377i,-0.0008103+0.00079591i,-0.00048967+0.00051623i,3.7284e-05+0.0002904i,-0.00038962+1.641e-05i,-0.00070186-0.0004466i,-0.00052542-0.00050648i,-0.00047163-5.5003e-05i
0.00046931-0.00047816i,0.00082044-0.00050523i,0.00095864+0.0003392i,0.000906+0.00033902i,0.001095-0.00050484i,0.00070742-0.00041564i,3.6782e-05-7.9156e-05i,-0.00081653+0.00054577i,-0.0010539+0.00037003i,-0.00041131+0.00028213i,0.00036975+0.0008686i,0.00066216+0.00013141i,2.5275e-05-0.00082847i,-0.00041546-0.00070917i,-1.2877e-05+4.8392e-06i,-0.00075545+0.00039096i,-0.0012313-4.8938e-05i,-0.00063184-0.00033728i,-0.00028246+9.0069e-05i,-0.00070847+0.00081212i,-0.00087427+0.001194i,0.00014243+0.001171i,0.00029359+0.0011452i
0.00048534-0.0011436i,-0.00030561-0.00079443i,-0.00024206-0.00088395i,-0.00037535-0.00052855i,-0.00067888-1.3343e-06i,-0.00095988+0.00046043i,-0.00092258+0.0002524i,-0.00031292-0.00039525i,5.7653e-05-0.00051516i,0.00018753-0.00027328i,9.9479e-05+0.00033312i,9.7674e-05+0.00040815i,0.0002439+0.00013302i,0.00015395+0.00039494i,-0.0003587+0.00086775i,-0.00022804+0.00051686i,3.0259e-05+0.00015507i,0.00030957-7.3494e-05i,0.00038001+5.8873e-05i,0.00054636+0.00027239i,0.00066084+0.00051278i,0.00048598+0.0011474i,0.00057505+0.0011988i
0.0024557+0.00061361i,0.0027702-0.00079913i,0.0021945-0.0011808i,0.0006744-0.00098398i,-0.00048539+4.5283e-05i,-0.0012065+0.0013661i,-0.0010952+0.0016426i,-0.00021524+0.0012229i,-0.00012557+0.00070936i,-0.00023726+8.9797e-05i,-0.00012111-0.00016544i,0.00040742+0.00013275i,0.00057546+0.00012038i,0.00052175+9.3364e-05i,-0.00010569+0.00033073i,-0.00063937+0.00031635i,-5.3856e-05-5.2249e-05i,-0.0001449+3.6083e-05i,-0.00015926+0.00074051i,0.00032176+0.001087i,-4.8468e-05+0.00075884i,-2.3813e-05+0.00019894i,-7.8679e-05-0.00023509i
-0.00011829+0.0012806i,0.00015748+0.00067932i,0.001079-0.00041361i,0.0013313-0.0010775i,3.6042e-06-0.0011068i,-0.0016319-0.00012472i,-0.0013728+0.00062652i,-0.0006195+0.00093686i,-5.7034e-05+0.00035717i,0.00058086-0.00021729i,0.0006004+4.5268e-05i,-5.8851e-05+7.1317e-05i,-5.2303e-05+0.00038243i,-0.00012155+0.00058787i,-1.664e-05+0.00047979i,0.00045114+0.0007575i,0.00056876+0.00020888i,0.00065667-0.00057518i,0.0002633-0.00035185i,-2.1288e-05+9.2353e-05i,-0.00012557+0.00035281i,-0.00032939+9.1604e-05i,0.00011948+0.00047249i
0.0012302-0.00035626i,0.00097816-0.0017039i,0.00045366-0.0028153i,-0.00019509-0.0015127i,-0.00054429+0.00079305i,-0.0010854+0.001082i,-0.0014869+0.00087462i,-0.00077832+0.0017119i,0.00017146+0.0018378i,-9.8517e-05+0.0014738i,0.00011326+0.00097735i,0.0006759+0.00055973i,0.00035623-0.00023602i,-0.00035105-1.3801e-05i,-0.0003853+0.00046497i,-0.00010379+8.6692e-05i,-0.00022876-0.00034904i,-0.00021624-0.00066744i,-0.00012831-0.00065183i,0.0003547-0.00041777i,0.00050659-0.00011656i,-0.00020009+7.466e-05i,-0.00056049+0.00047161i
0.0032138+0.00042182i,0.0024965-0.00070098i,0.0017224-0.0012662i,0.00069226-0.00094265i,-5.1112e-05-0.0011373i,-0.0011205-1.5585e-07i,-0.00099348+0.0010371i,-0.00028663+0.001088i,0.00014928+0.00028733i,0.00053376-0.00067307i,0.00028902-0.0006278i,0.00027623+9.6446e-05i,-0.00052069+0.00026871i,-0.001188+0.00036913i,-0.00082709+0.00032217i,-0.00043299-2.5483e-05i,-0.00050427-0.0008476i,4.2434e-05-0.00090478i,0.00094209-0.00023392i,0.0010602+0.00013949i,0.00033956-5.2568e-05i,-8.7882e-05-0.00039606i,6.6668e-05-0.00099706i
0.00099814-0.00077803i,-0.00018118+0.00011644i,-0.001091-0.00012522i,-0.00027006-0.00056584i,0.00063796-2.3877e-05i,-0.0002448+1.6894e-05i,-0.0013465-0.00041815i,-0.0011504-3.1688e-05i,-0.00045494+0.0002681i,-0.00041446+0.00044522i,-0.00022387+0.00019723i,0.00068876-7.2876e-05i,0.0011599+7.9356e-05i,0.00095338-0.00014855i,0.0010805+0.00025697i,0.0010556+0.00032269i,0.00040139-0.00020717i,-8.9479e-05-0.00035197i,-0.00051529-5.6127e-05i,-0.00060831+0.00090178i,-0.00044545+0.00084616i,-5.3042e-05-0.00029662i,2.1324e-05-0.00022871i
-0.00025218+0.0020267i,-0.00099154+0.0019341i,-0.00039086+0.00092762i,0.00024841+0.00018444i,-7.9798e-05+0.00019118i,-0.0012168+0.00086866i,-0.0012403+0.00069736i,-0.00010465+0.00039382i,0.00041496+0.00099452i,0.00045987+0.0008635i,0.0012049-7.0651e-05i,0.0015105-0.00014338i,0.00038988+0.00087191i,-0.00027739+0.00091547i,0.00018172-4.0492e-05i,0.00069458-0.00031529i,-0.00026154+0.00020143i,-0.00020783+0.00026591i,0.00042895+8.9023e-06i,0.0008552+0.00034919i,0.00071295+0.00083052i,0.00079879+0.0013399i,0.00073905+0.0012688i
-0.0010811-0.0033906i,-0.00075123-0.0025993i,-0.0015281-0.0013421i,-0.0010931-0.00056165i,0.00024317-0.00063317i,-0.00022976-0.00023716i,-0.00094039+0.00071646i,-0.00040847+0.00070065i,-0.00049549-0.0005972i,-0.00059293-0.00059814i,9.3473e-05-2.2801e-05i,0.00020969-0.00014735i,0.00034514-0.00028742i,0.00060308-0.00059141i,0.00063398-0.00045328i,0.00068606+5.1239e-05i,0.00082342-8.6488e-05i,0.0014824-0.00019045i,0.00087804-0.00038106i,0.00035505-0.0004483i,0.00038751-0.00033836i,0.00025978+0.00020632i,0.00011477+0.0008041i
0.00018064-0.0015303i,0.00050511-0.00030921i,0.00096212+0.00082297i,0.00056675+0.001153i,0.00025585+0.0011189i,-0.00026114+0.0011748i,-0.00089048+0.0009405i,-0.00029341+0.0004182i,0.00040246+0.00027096i,0.00072189+0.00031034i,0.00051384+2.8616e-05i,-0.00039388+3.3822e-06i,7.535e-05-0.00012762i,0.00066158+0.00013155i,-7.5386e-06+0.00041575i,-0.00031251+0.00052142i,-3.1703e-05+0.00084531i,0.00039862+0.00020972i,0.00094326-0.00060744i,0.00089349-0.00010138i,0.00040736+0.00012612i,0.00067831+0.00017054i,0.00096116+0.00077212i
0.0011579+0.0011504i,0.0012582+0.001321i,0.00089912+0.00081787i,0.0010206+0.00091377i,0.00060861+0.00092331i,-0.00041972+0.0011698i,-0.0011112+0.00093152i,-0.00067324+0.00022494i,0.00036459+1.1059e-05i,0.00021658-0.00019527i,-0.0003529-0.00064012i,-0.00017936-0.00087832i,-0.0001179-0.00048068i,-0.00045691+0.00028129i,-0.00056553+0.00053385i,-0.00054085+0.0005361i,-0.00034204+0.00035414i,0.00036917+0.00018232i,0.00062985+9.2398e-05i,0.00035324+0.00041305i,0.00049418+0.00088318i,0.00098279+0.0004967i,0.00098354+0.00026557i
-0.00069605+0.00032629i,0.00018309+0.00083329i,-0.00012423+0.00052852i,-0.0006209+0.00032548i,-0.0005031-1.6416e-05i,-0.00055903-0.00010814i,-0.00033848+0.00023455i,-3.164e-06+0.00045557i,-0.00034121+0.00051914i,-0.0001879+0.00030462i,6.1352e-05+0.00070826i,-9.7937e-05+0.00044514i,2.5234e-05-0.00018215i,0.00053267-0.00018733i,0.00037833-0.00028481i,-0.00027657-0.00011113i,-0.00014646+0.00036625i,0.00030347+0.00052185i,7.3316e-05+0.00010349i,-0.00038887+0.00043202i,-0.00010805+0.0011557i,0.00054984+0.00083893i,0.00019301+0.00055935i
-0.0014069+0.00043217i,-0.00040448+0.00050315i,0.00067103-0.00035132i,0.0010364-0.0013203i,6.3419e-07-0.001199i,-0.001255-0.00054809i,-0.0014866+0.0011989i,-0.00070639+0.0018933i,0.00021787+0.00099296i,0.00028607+0.00011105i,0.00035926+0.00030028i,0.00036081+0.00039499i,0.00050467+0.0004105i,0.00037487+0.00031599i,-0.00022335+8.7729e-05i,-4.8136e-05-0.00014076i,-0.00015904-0.00015981i,-0.00032869+0.00021376i,-0.00066434+0.00073761i,-0.00049201+0.00086247i,0.00014675+0.00015583i,-1.4337e-05-0.00032357i,0.00051498-0.0006232i
-9.2509e-05+0.0012996i,0.00081837+0.0012217i,0.0020949+0.0014572i,0.0019543+0.0011921i,0.00095282+0.0010951i,0.00049523+0.00040489i,-0.0004113+0.00091393i,-0.00082291+0.0015128i,-0.00033161+0.00042939i,-2.4536e-05-5.3046e-05i,0.00014031-0.00022882i,0.00054666-0.00031506i,0.00020866-1.3135e-05i,-0.00030924-7.8313e-06i,-6.9394e-05+0.00026051i,-0.00016677+0.0001269i,-9.2637e-05-0.00069338i,0.00013567-0.00095229i,0.00027865-0.00070318i,0.000459+5.9224e-06i,0.00083256+0.00014257i,0.00065081-0.00022853i,-0.00030017-0.00033199i
0.002533-0.0011983i,0.002788-0.0017899i,0.0021251-0.0020363i,0.0011304-0.0015682i,0.00019936+0.00074958i,-0.00042515+0.0022041i,-0.00085714+0.0018516i,-0.00042687+0.00089218i,0.00025121+0.0001431i,0.00017867-0.00015247i,-1.8549e-05-0.00010344i,0.00010867-0.00028494i,0.0005807-0.000584i,0.0003625-0.00094229i,-0.00011735-0.00090771i,-0.00012685-0.00089342i,1.1059e-05-0.00069129i,-6.3874e-05+0.0003185i,0.00018802+0.0006077i,0.00017518-0.00011069i,7.146e-05-0.00011951i,0.00021147+0.00020286i,-0.00017458+0.00020007i
