-0.005337+0.0016477i,-0.0042359+0.0023105i,-0.0035513+0.003149i,-0.001573+0.0027191i,-1.3733e-05+0.0018928i,0.000525+0.0020233i,0.0004011+0.0022004i,0.00098114+0.0025008i,0.0017281+0.0023383i,0.0023241+0.00052832i,0.002169-0.00073201i,0.0012665-0.0012644i,0.00090137-0.001853i,0.00043461-0.0019393i,-0.00081545-0.0014088i,-0.0017487-0.00050614i,-0.0013258-0.00052977i,-0.0003683-0.00063422i,0.00092629-5.824e-06i,0.0015071+0.00011029i,0.00058182-0.00033024i,-0.0001989-0.00054788i,-0.00016912+0.00056288i
0.00086136+0.0028365i,0.0019165+0.0013342i,0.001982+4.4223e-05i,0.0012824-0.001626i,0.00053647-0.0021696i,0.00025962-0.001341i,-0.00011658-0.00039863i,0.00018634-2.7784e-05i,0.001398+0.00031544i,0.0021803+0.0004245i,0.0013912-9.6978e-06i,-0.0001424-0.00025462i,-0.0009158+1.0884e-05i,-0.00083029+0.00034901i,-5.0547e-05+0.00030543i,0.0006341+0.00025247i,-0.00017493+0.00014693i,-0.001009+0.00044032i,-0.00045611-0.00014071i,-0.00011262-0.0010606i,-4.6937e-06-0.00022432i,-0.00032+0.00015228i,-0.00083281+0.0001044i
0.00071827-0.00010406i,-0.00017943-0.00047922i,-0.00024195-0.0011765i,-0.00091178-0.0014181i,-0.0014756-0.00079361i,-0.00082139-5.753e-05i,0.00012803-0.0003484i,7.6038e-05-0.00087183i,-0.00036905-0.00083077i,-0.00064282-0.00069088i,-0.00052747-0.00069418i,-9.9053e-05-0.00043272i,-5.8106e-05+0.00034869i,-0.00015349+0.00074256i,-0.0001596+0.00045795i,-9.7179e-05-0.00015186i,3.594e-05-0.00025759i,0.00020821+0.00023974i,-3.5639e-05-0.00036487i,8.2284e-05-0.00034869i,0.00041572-0.00047608i,0.00028977-0.00069145i,-0.00071062+0.00011841i
6.3369e-05-0.00057082i,0.00032854-0.0015217i,-0.0008508-0.0023165i,-0.00215-0.0019982i,-0.0032359-0.00082107i,-0.0028581-0.00014217i,-0.001013+1.1919e-05i,-0.00028+6.474e-05i,-0.00026439-0.0001943i,-0.00048588-0.00017023i,-0.00053519-0.00029396i,-0.00073669-0.0013328i,-0.00083633-0.0014802i,-7.7939e-05-0.00066776i,0.00052393-0.00072004i,0.00039563+5.0161e-06i,0.00044184+0.00094144i,0.0003238+0.00075404i,-8.633e-05+0.00023177i,-0.00037905-0.00044942i,-5.4727e-05-0.00095238i,-4.738e-05-0.0007803i,-0.00030173-0.00016804i
-0.0006808+0.00041918i,-8.087e-05+5.8206e-05i,9.4981e-05-0.00018983i,-0.00091841+0.0006274i,-0.0010595+0.0010107i,-0.00030295+0.00052262i,-1.5536e-05+0.00017354i,-0.00010561-0.0005018i,0.00038473-0.00073293i,0.0011188-0.00073093i,0.00028554-0.0011674i,-0.00090907-0.0010063i,-0.0008292-0.00062258i,-0.00073571-0.00086626i,-0.000648-0.0011754i,-0.00021724-0.00095912i,-0.00013439-0.00035629i,-0.00046897-0.00059776i,-0.00066597-0.0012792i,-0.00029459-0.00085673i,-3.7645e-06-0.00027548i,-4.2867e-05-0.00040857i,0.00011336-0.00038355i
-0.0025945-0.00049892i,-0.0024896-0.00025768i,-0.0024032-0.00094516i,-0.0018555-0.0012125i,-0.00077322-0.00065717i,-0.00038265-0.00032422i,-0.00020547-0.00055102i,-0.00044894-0.00092363i,-4.7734e-05-0.0018061i,0.00044386-0.0018379i,0.0010615-0.0014128i,0.00054195-0.001127i,0.00010382-0.00079603i,0.00081899-0.00085211i,0.00050791-0.00068419i,0.00021698-0.00054118i,0.00031242+1.9325e-05i,0.00060346+0.0001503i,0.00088958-0.0002415i,0.00058649-0.00096237i,0.00051176-0.00092708i,0.00062022-0.00029353i,0.00011483+7.2006e-05i
-0.0014281-0.00075306i,-0.0022451-0.00012471i,-0.0023777-0.00033607i,-0.0018896+0.00012209i,-0.0011698+0.0010845i,-0.00075118+0.00094063i,0.00050069+3.3931e-05i,0.0010897-0.00032472i,0.00015344-8.4941e-06i,0.00036474-0.00022962i,0.00096211-0.00020694i,0.0004279+8.627e-06i,0.00047702-0.00045435i,0.00037721-0.00055682i,9.3608e-06-2.7918e-05i,0.00027938+0.00037036i,0.0001892+9.568e-05i,1.4022e-05+0.00042072i,-0.00013287+0.00064737i,5.1088e-05-0.00024065i,0.00036672-0.00064851i,0.00039499-0.00039079i,0.00078741+0.0002613i
0.00025278-0.00066799i,0.00075852-0.00019207i,0.00098615-0.00012718i,0.0012584-0.00054854i,0.00049468-0.0009583i,-0.00063415-0.0012376i,-0.00045328-0.00045739i,-0.0001564-0.00022391i,0.00014449-0.00073737i,0.00046992-0.0012465i,-0.00012196-0.0010886i,-0.00052869-0.00059675i,-0.00048617-3.9471e-06i,-0.00056746+0.00060083i,-0.00056508+0.00085587i,-0.0002875+0.00078471i,-0.00051283+9.2482e-05i,-0.00045315-0.00097966i,8.3084e-06-0.0007622i,6.0228e-05+8.7196e-05i,-0.00027247-1.067e-05i,-0.00032269-0.00061745i,-0.00020051-0.00064896i
-9.6009e-05+0.0025432i,0.00035863+0.0021611i,0.00067256+0.0011527i,-0.00052321+0.00033955i,-0.00078019-0.00056754i,-0.00018611-0.00042422i,0.0001477+0.00052939i,0.00037998+0.00081518i,5.7382e-05+0.00051723i,-0.00061675+7.1507e-05i,-0.00044204-0.00073036i,-0.00014647-0.00074355i,-0.00017498-0.00037938i,0.00016186-0.00033235i,-0.00035276-0.00049122i,-0.00072266-0.00035598i,-0.00076309+0.00031288i,-0.00018954+0.00045091i,0.00046642+0.00016738i,0.00013371-6.3238e-05i,-0.00050773-0.00025141i,-0.00027496-0.00076604i,-1.6217e-05-0.0014381i
0.0011525+1.3142e-05i,0.0024012-0.0017319i,0.003251-0.0024517i,0.0018143-0.0025055i,0.00051485-0.0029202i,-0.00061973-0.0023478i,-0.00056298-0.00065662i,0.00072809-0.00013253i,0.0011796-0.0001694i,0.00088568-0.00045027i,0.00011497-0.00060592i,2.2963e-05-0.00037102i,0.00019501+0.00028038i,0.00026477+0.00077418i,0.00039581+0.00017511i,-0.00034769+3.3153e-06i,-0.00083963+0.00045231i,-0.00082428+0.00075324i,-0.00076946-7.702e-05i,-0.00058496-0.00050517i,-0.00054305+0.00019104i,-0.00052585+0.00043888i,-0.00070918-4.9864e-05i
0.0025094-4.2677e-05i,0.0019154+0.00030831i,0.0018345-0.00046381i,0.0012715-0.0016302i,-9.9579e-05-0.0018327i,-0.0017237-0.0011403i,-0.0012433-0.00056645i,-0.00018991-0.00036666i,-5.3437e-05-9.3663e-05i,0.00024944-0.00046678i,0.00058152-0.00082306i,0.00048759-5.5158e-05i,0.00055567-7.0482e-05i,0.00078664-0.00079255i,0.00040265-0.0003111i,0.00040144-2.864e-05i,0.0013478-0.00014827i,0.00095524-1.5134e-06i,-0.00019366-0.00021615i,-0.0008611-0.00054881i,-0.0013071-0.00039812i,-0.00090629-0.00014012i,-0.00056223+0.00050847i
-0.0027794-0.00056063i,-0.0033117-0.0012081i,-0.0033359-0.0010436i,-0.0027461+8.8998e-05i,-0.0018545+0.00075918i,-0.0011705+0.00092164i,-0.00017692+0.00045932i,0.00086199-0.00041002i,0.0016549-0.00086602i,0.0012448-0.00056386i,0.00046065-0.00045626i,0.0007359-0.00078907i,0.0010566-0.0012043i,0.0007814-0.0013517i,0.00072304-0.00095024i,0.00013332-0.00085358i,-0.00031065-0.00078297i,0.00081189-0.00034792i,0.0013626-0.0002295i,0.00081639-0.0004546i,0.00016037-0.00057189i,-2.5291e-05-0.00017563i,-0.00022251+0.00036835i
-0.00035334-0.002033i,-0.0002022-0.0011267i,0.00083029+0.00022165i,0.00036164-0.00015424i,-0.0012553-0.00058697i,-0.0012432+0.00027964i,-4.8652e-05+0.00069991i,0.00041303+0.00036274i,0.00062569+0.00011392i,0.00052394-7.2885e-05i,0.00031381-0.00021488i,0.00012527-1.2616e-06i,-0.00041029-0.00038186i,-0.0004484-6.5235e-05i,-0.00032841+0.00083415i,-0.00032338+0.00033777i,1.8004e-05-0.00036142i,0.0010439-0.00020144i,0.00075942-0.00036655i,-6.4991e-06-0.00092873i,-0.00055637-0.00037632i,-0.00059912+0.00038398i,-0.00039509-6.4782e-05i
0.0017909-0.0021062i,0.001153-0.0010588i,-1.017e-05-4.3998e-05i,-0.0016643+0.00038188i,-0.0021177-8.4799e-05i,-0.00094373+0.00020481i,0.00028737+0.00051087i,0.0011474-0.0005808i,0.001324-0.0012i,0.00057897-0.00079021i,-0.00044463-0.00073216i,-0.00071674-0.00079853i,0.00014258-0.00028621i,0.00092677-0.00043715i,0.00076381-0.00027396i,0.00025764+0.00016352i,0.00011995-0.00032944i,0.00011657-0.0010185i,0.00016884-0.0010759i,0.00071703-3.4256e-06i,0.00089286+0.00060868i,0.00030641-4.6631e-06i,-9.6895e-05-7.0126e-05i
0.0012179+0.00083845i,0.00076124+0.00045161i,-6.6838e-05-0.0010108i,-0.00049751-0.0015917i,-0.0011787-0.0010842i,-0.002155-0.00015971i,-0.0018811+0.00069862i,-0.00049303+0.00038897i,0.000267-0.00083885i,-0.00018639-0.00075882i,-0.00093985-0.00031428i,-0.00083921-0.00019798i,-0.00058546-8.0781e-05i,-0.00090179+2.4301e-06i,-0.00099799+6.4693e-05i,-0.00042545-0.00021914i,2.1637e-05-0.00016514i,-0.00060262+0.00022513i,-0.0010071+0.00015506i,-0.00051064-0.0004952i,-0.00048+1.9099e-05i,-0.00075438+0.00046011i,-0.00055472-0.00021251i
0.00090324+0.00053805i,0.00011704-0.00060553i,-0.00055593-0.0015166i,-0.00083479-0.0018945i,-0.00085009-0.0016141i,-0.00070972-0.00073327i,1.3867e-05-2.6949e-05i,-0.00026861+9.5589e-05i,-0.0006139-4.291e-05i,-0.00031518-0.00074563i,0.00022061-0.00049775i,0.00033415-0.00023431i,-0.00047768-0.0003928i,-0.00019611-0.00025551i,-0.00020996+0.00014039i,-0.00084262+0.00060947i,-0.00059587+0.00020801i,-0.00028665-0.00079465i,0.00036276-0.0012461i,0.00045378-0.00018668i,-0.00016378+0.00047296i,-6.4155e-05+0.00015108i,0.00029732+1.1839e-05i
0.00029598+0.00018948i,0.00064011-0.0010431i,8.5761e-05-0.0011988i,-0.00082165-0.0013506i,-0.0010231-0.0011275i,-0.0009911-0.00053736i,-0.00068635-0.0005144i,0.00019135-0.0013751i,0.00077321-0.0015822i,0.0011577-0.0014835i,0.00092623-0.0014666i,0.00074172-0.00080815i,0.00084391+0.00017786i,0.00083584+0.00096506i,0.00069169+0.0013028i,0.0006441+0.0011983i,0.00063012+0.00043383i,0.00099599-0.00021556i,0.0011427-0.00057288i,0.00024167-0.00055146i,0.00012905+5.5067e-06i,0.0001036-0.00034542i,-0.00026794-0.00074723i
0.00083615+0.00026345i,0.0011964+0.00011631i,0.0013159-6.3313e-05i,0.00065711+0.00020834i,-0.00053371+0.00049769i,-0.00079411+0.00057739i,-0.00028609+5.6606e-05i,0.00030298-0.0003454i,0.0003643-0.000631i,3.3416e-05-0.00057678i,6.295e-05-0.00045968i,-6.9811e-06-0.00085814i,-0.00039732-0.00067962i,-0.00067405-0.00038684i,-0.00041582-0.00050035i,-0.00024416+0.00033147i,-0.0007585+0.00040134i,-0.0005723-0.00068455i,0.00011551-0.00093022i,-0.00016005-0.00083904i,-0.00094284-0.00049006i,-0.0011136-0.00081839i,-0.00066357-0.0013607i
-0.0021187+0.00038692i,-0.0017821+0.0015837i,-0.0013844+0.00095038i,-0.001096+0.00019185i,-3.4112e-05+7.3487e-05i,0.0011213-0.00025981i,0.0011937-0.00068732i,0.00095976-0.0011069i,0.00082153-0.00066091i,0.00071427+0.00058342i,0.00032815+0.00059078i,-0.00082173-0.00068922i,-0.0010324-0.00086997i,0.0003604-0.00040107i,0.00083465-0.0003704i,0.00048714-0.00024277i,0.00011234-0.00015478i,-0.00029685-0.00032727i,-8.108e-06-0.0005355i,0.00039298-0.00058006i,0.00047908-0.00077027i,0.00068826-0.0011158i,0.0001469-0.00061758i
-8.6133e-05-0.00035418i,0.00015058-0.00030527i,-0.00028147-0.00026832i,-0.0012201-0.00083456i,-0.0013478-0.0014653i,-0.00069689-0.0017133i,1.7439e-05-0.00079932i,0.00015842-0.0010307i,-0.000722-0.0011485i,-0.00084401-0.00062541i,0.000496-0.0006864i,0.00089433-0.00022795i,-0.00043502-0.00096549i,-0.00067432-0.0013506i,0.00019838-0.00030357i,0.00078714-0.00017353i,0.00034901-0.00044721i,-0.00017866-0.0003186i,0.00037477-0.00017018i,0.00062602-0.00026937i,0.00059283+1.1009e-05i,0.00023297+7.552e-05i,-0.00020035-0.00061448i
