-0.003532+0.00062947i,-0.0025818+0.0010761i,-0.001995+0.0013676i,-0.0016164+0.0016906i,-0.0013864+0.0026503i,-0.00046713+0.0018706i,-0.00015305+0.0014253i,0.00033546+0.0027815i,0.0016229+0.0030741i,0.0020481+0.0023721i,0.0011453+0.00084352i,0.0011352-0.00053731i,0.00039979-0.00039886i,-0.0002873+9.9118e-05i,-0.00015071+0.00028205i,-0.00034759+0.0004327i,-0.00039047+0.00013539i,-0.00035495-0.00088454i,-0.00027225-0.0012321i,-1.6609e-05-0.00053593i,0.00067179+0.00010365i,0.00048056+0.00032311i,0.00037952+3.4401e-05i
-0.0025923-0.0013857i,-0.0032953+0.00015594i,-0.0025409+0.0014447i,-0.00078154+0.0020273i,-0.00015002+0.002699i,-0.00047489+0.0023294i,-0.00077907+0.0005757i,-0.00020326-0.00028591i,0.00065304-0.00020088i,0.00063891+0.00012756i,8.1039e-05+0.00019642i,-0.00035025-0.00027474i,-0.00035077-0.00038105i,-0.00010715-0.00039158i,0.00027863-0.00064883i,0.00061039-0.00056592i,0.0005132-0.00040547i,0.00059277-0.00015943i,0.0005554-0.00012814i,-0.00015401-0.00033287i,-0.00027072-0.00011449i,0.00023645+0.00089923i,0.00049283+0.0012934i
-0.001658+0.00032826i,-0.0017847+0.00027615i,-0.0026357+0.00070389i,-0.0016741+0.0017763i,-0.0008812+0.0030658i,-0.00030037+0.0029217i,0.00029937+0.0015498i,6.2903e-05+0.0007946i,-9.9463e-05+0.00081788i,0.00014149+0.00038729i,0.00097157-0.00014222i,0.00048324-0.00064918i,-3.2329e-05-0.00096836i,0.00024266+3.0536e-05i,0.00037942+0.00082535i,1.7871e-05+0.00049666i,-0.00028858+0.00021419i,-0.00016148+0.00027086i,0.00016328+0.00027002i,0.00050666-0.00048653i,-0.00023724+0.00017285i,-0.00042706+0.00017975i,0.00058827-0.00061301i
-8.5908e-05+0.00074166i,-0.00029398+0.00013159i,-0.00048831+0.00043304i,-0.0012475+0.0015595i,-0.00088566+0.00048057i,-0.00027841-0.00068564i,-0.00027135-0.0002173i,0.00034826+9.4507e-05i,0.00048629+0.00025819i,0.00043242+0.00082783i,0.00071218-0.00019281i,0.00021195-0.00096371i,-0.00063372-0.00069001i,-0.00058609-0.0008345i,-0.00022022-0.00037679i,-0.00049829+0.00019283i,-0.001099-3.7153e-05i,-0.00082935-0.00029044i,0.00027429-0.0005355i,0.00012924-0.0006418i,-0.00049662-0.00034931i,-7.0297e-05-0.00019622i,0.00010516-0.00064483i
-0.0012511-0.00011344i,-0.00065139+0.0011776i,-0.0012846+0.0026246i,-0.0015038+0.0036402i,-0.0023243+0.0046617i,-0.0023573+0.0041716i,-0.0016457+0.0020179i,-0.0013928+0.00062113i,-0.0009554+0.00042985i,-0.00031882+0.00094331i,-0.00010377+0.00039617i,0.00017929+4.4029e-06i,0.00048804+0.00063482i,0.00034936+1.9516e-05i,-2.4017e-05-0.00063831i,0.00018114-0.00094478i,0.00016317-0.0012796i,0.00032455-0.00082922i,0.00013524-0.00077828i,-0.00011507-0.000656i,-6.9074e-05+0.00022116i,0.00011571+0.00034311i,8.4637e-05+0.00064437i
-0.0024002+6.7869e-05i,-0.0022245+0.0002139i,-0.0022966+0.0010088i,-0.001574+0.0020742i,0.00021802+0.0023543i,0.00044372+0.0024281i,-0.00030691+0.0015069i,-0.00012194+0.0012512i,0.00035789+0.0012559i,0.0013928+0.00092513i,0.00097141+0.00054227i,6.022e-05-0.00027785i,0.00053452-0.00063953i,0.0006711-0.00071477i,-8.7323e-05-0.0012075i,-0.00031048-0.0013195i,0.00036982-0.00049409i,0.00088434-0.0002628i,0.00022389-0.00012215i,-0.00024022-0.0002768i,-4.8075e-05-0.00024595i,0.00035979+0.00038367i,6.3918e-05+0.00015824i
0.00013239-0.00051222i,-0.00024016+0.00010905i,0.00019361-0.00030029i,-0.00040737-0.00020818i,-0.0014029+0.00010483i,-0.0016245+0.00032787i,-0.0017063+0.00063772i,-0.00088891+0.00025031i,-7.9428e-05+5.3696e-05i,0.00094577+0.00027999i,0.0017523+0.00046585i,0.001247-0.0002361i,0.0011924-0.00047503i,0.0010808+0.00022476i,-5.9128e-05+0.00073345i,0.0001765+0.00065812i,0.00036841+0.00067986i,6.5776e-05+0.00064385i,-0.00032243+0.0012988i,-0.00089505+0.0010009i,-0.00092148-5.8212e-05i,-0.00064127-1.7132e-05i,7.5022e-05+0.00026441i
0.00018209+0.0020893i,0.00038918+0.0022168i,0.00034147+0.0029482i,0.00019419+0.0022183i,0.00066471+0.00092231i,0.00010668+0.00032347i,-9.5545e-05-0.000144i,0.00099265-0.00049643i,0.0018939-0.00039374i,0.0025724-0.00074534i,0.0022704-0.00050808i,0.00055965+0.00051831i,-0.00065516+0.00027695i,-0.00072315+0.00024722i,-0.00043425+0.00098126i,-0.0001092+0.00075335i,0.00028405+0.00022665i,0.00084707-0.00084713i,0.00082004-0.001296i,0.00013452-0.00049679i,-0.00031742+0.0002785i,-0.00044142+0.00062126i,-0.0006008+0.00031972i
-0.0012577+0.00013429i,-0.0020199-3.4896e-05i,-0.0017451+0.00087711i,-0.0010625+0.0017621i,-0.00077318+0.0019483i,-0.0010183+0.0012916i,-0.0014885+0.00096873i,-0.00069952+0.0013128i,0.00021925+0.00094028i,0.00040424-0.00042143i,-6.9603e-05-0.001265i,-0.00010823-0.00094265i,-0.00053619-0.00045153i,-0.0012354-0.00017686i,-0.00094734+0.0004837i,0.00025196+0.0010187i,0.00099217+7.1317e-05i,0.00066867-0.0011125i,0.00078257-0.00094881i,0.0011567+0.00036059i,0.00016833+0.00066789i,-0.0001942-0.0002188i,0.00013536-0.00075075i
-7.9658e-05-0.0013151i,-0.00016255-0.00021716i,-0.00067232+0.00038432i,-0.00055482+0.00097506i,-0.00026719+0.0021102i,-0.00060587+0.0023015i,-0.00088315+0.00090206i,-0.00099199-0.00054643i,-0.00017895-0.00084232i,0.00079279-0.00039477i,0.00016638+0.00020112i,-0.00032972-0.00014159i,-0.00069386+0.00013501i,-0.0011823-0.00014013i,-0.0010927-0.00090984i,-0.00025732-0.00089053i,-0.00013151-0.0005816i,0.00011423-0.00068882i,0.00035189-4.8442e-05i,-0.0006567+0.0003548i,-0.0006466+8.3793e-05i,3.1937e-05-0.00016853i,0.0004676-0.00019315i
0.0012248+0.0003363i,-4.3062e-05+0.00022887i,-0.00020447+0.00032764i,-0.00011683+0.00078497i,-0.00062245+0.0010131i,-0.00070239+0.0012972i,-0.00058969+0.0013169i,-0.00057068+0.00097665i,0.00030611+0.00040654i,0.00024096+0.00017062i,-0.00013273+4.0179e-05i,-0.00059647-3.5555e-05i,-0.00068538-0.00049327i,0.00038843-0.00053497i,0.00024073+0.00012865i,-0.00065699+0.00022773i,-0.00047318-0.00021107i,2.2229e-05+0.00036044i,-8.228e-05+0.00048609i,-3.7217e-05-0.00070006i,-0.00044397-0.00056887i,-0.0011478+0.00016004i,-0.00050771-1.9788e-05i
-0.0011898-3.7408e-05i,-0.0019377+4.6928e-05i,-0.0015469+0.00043054i,-0.0010717+0.0012693i,-0.001069+0.001518i,-0.00077834+0.00051913i,8.0992e-05-0.00081856i,0.00046962-0.00082143i,7.1946e-05+7.1948e-05i,0.0001219+0.00057018i,0.00047148+0.00016963i,0.00021849-0.0001245i,-0.00014646-1.1662e-05i,-0.00023613-0.00080023i,-0.00052698-0.0012415i,-0.000506-0.00066154i,-0.00047232+6.8736e-05i,-0.00064744+0.00022899i,-0.00022045-0.00029563i,0.00021419-0.00026599i,0.00053316-0.00055483i,0.00012164-0.0012064i,-0.00049174-0.00072272i
-0.0031314-0.00024027i,-0.0020806+0.0011073i,-0.0018083+0.0028593i,-0.0010524+0.0041301i,-8.9822e-05+0.0032692i,-9.1813e-05+0.0012128i,-0.0011948-3.2188e-05i,-0.0020401-0.00013962i,-0.001619+0.0002526i,0.0003229+0.00043331i,0.0017944+0.00061589i,0.00064046+0.00080389i,-0.00023214+0.00058076i,-0.00020545-5.0414e-07i,0.00010842-0.00034875i,0.00055408-0.00052378i,0.00054175-0.00037735i,0.00063816-0.0004432i,0.00080488-0.0011729i,0.00068117-0.0013183i,0.0001412-0.00097451i,-0.00029042-0.00058786i,-0.00088101-0.00024723i
0.00058243-0.0034161i,-0.00021306-0.0019609i,-0.0018623-0.0017246i,-0.0035383-0.00044275i,-0.0032663+0.00044666i,-0.0015433+0.00087761i,5.9108e-06+0.001154i,-2.8778e-05+0.0012047i,-0.00014486+0.0010671i,-5.3801e-05+0.00049356i,-0.0013753+0.00011145i,-0.0014157-0.00059776i,-0.00088266-0.00065023i,-0.00081894+0.00062159i,-0.00067315+0.0011234i,-4.3041e-05+0.00067463i,0.00067743-0.00013223i,0.00087518-0.0005868i,0.00049451-0.00053013i,1.0115e-05-0.00042417i,-0.00073084+3.4306e-05i,-0.0009374-6.7395e-05i,-0.00053173-0.00056089i
0.00076108-0.00027796i,0.0014079+7.4743e-05i,0.0017667+0.00045096i,0.00019565+0.00067161i,-0.00085261+0.0011896i,-0.00017033+0.0009862i,-0.00013137+0.00035158i,0.00012576+0.00075566i,0.00050294+0.00053275i,0.00069955-0.00050005i,0.00047454-0.00013374i,0.00028135+0.00064475i,0.00016351+0.00039933i,0.00024083-0.00020636i,0.00079471-0.00049836i,0.00088482-0.00022771i,0.0008545-1.7659e-05i,0.00085223-0.00087619i,0.00047104-0.00093551i,0.00047014-0.00026409i,0.00077591+0.0002383i,0.00074441+0.00017298i,0.00070476-0.00029019i
-0.0011098+0.00013195i,-0.0012113+0.0010743i,-0.00096445+0.0011847i,-0.00028996+0.0010458i,0.00016831+0.0021365i,-0.0002608+0.0028516i,-0.001248+0.0016876i,-0.00041421-1.0357e-05i,0.00066041+0.00018153i,0.00046916+0.0012447i,0.00034462+0.0010977i,0.00049672+0.00061001i,0.00017033+0.00018069i,-5.183e-05-0.0001725i,-6.6331e-05-0.00048598i,-0.00013956-0.0012692i,-0.00044662-0.0011329i,-0.00060515-0.00059784i,-7.1524e-05+0.00025512i,0.0005809+0.00039023i,-5.3063e-05+1.5601e-05i,-0.00026282+0.00010152i,9.7558e-05+0.00039274i
-0.0015979-0.0012577i,-0.0011082-0.00056852i,-0.001775+0.0009742i,-0.0019072+0.0019884i,-0.0011885+0.0024143i,-0.00094602+0.00068413i,-0.0012521-0.00042175i,-0.00034049+0.00021969i,0.00036583+0.00082204i,0.00052688+0.00067292i,0.00040342-0.00056708i,-0.00019835-0.00081542i,0.00034999+0.00011004i,0.0012037+0.00024615i,0.00055795-0.00075779i,-0.00038886-0.001865i,-0.00053601-0.0011251i,-0.00062286+0.00069797i,-0.00038341+0.0003927i,0.00016524-0.00095178i,-0.00013075-0.0010436i,-0.00037706-0.0001197i,-0.00019872+0.00048667i
0.001636+0.003483i,0.0022394+0.0026994i,0.0031502+0.0023229i,0.0032183+0.0016699i,0.0019709+0.00027043i,4.9679e-05-0.0004211i,-0.0011117-0.00012043i,-0.0011135+0.0005699i,0.00025911+0.0010154i,0.0013817+0.0011906i,0.00065136-1.5491e-06i,-0.00059961-0.00056878i,-0.0010146+0.00015641i,-0.0010423+0.0006628i,-0.00083637+0.00061732i,-0.0004809+0.00029458i,-0.0002029-2.4131e-05i,-7.83e-05+0.00021214i,0.00047653+2.1084e-05i,0.00045494+3.8808e-05i,-0.00031832+0.00036268i,-0.00052892-3.2802e-05i,-7.3562e-05-0.00080586i
0.0010305+0.00037858i,-5.5617e-06-0.00056837i,-0.00017675-0.0012415i,-0.00099844-0.0010335i,-0.0014601-0.00017974i,-0.0018196+0.00073272i,-0.0018337+0.00098137i,-0.0013806+0.00076628i,-1.4497e-05+0.00058246i,0.0017665+2.1675e-05i,0.0011977-0.00043758i,-0.00014838-0.00046707i,0.0001775-0.00073939i,0.00069653+1.7258e-05i,0.00054489+0.00066098i,0.00028374+0.0006492i,1.5295e-05+0.00046365i,-0.00017132-0.00021175i,0.00033972+4.1718e-05i,0.00037892+1.4555e-05i,-4.5178e-05-0.00080788i,-0.00013079-0.00066128i,-0.00027011+6.0202e-05i
0.00071059-0.00010909i,-0.00045287+0.00030474i,-0.001129+0.0013927i,-0.00089498+0.0014879i,-0.00067777+0.0014372i,-0.0013597+0.0015424i,-0.0013162+0.00060957i,-0.00018915+0.00045318i,0.00044397+4.5911e-05i,0.00062258-0.00076349i,0.00011856-0.00030855i,-0.00063566+8.1527e-05i,-0.00056755+0.00011519i,-0.00010008+0.00011911i,-0.00014704-0.00012764i,8.4597e-05-1.3704e-06i,0.00046332+0.00017826i,0.00030172+3.684e-05i,-0.00031108-0.00015544i,-0.0010421-0.0003159i,-0.0010659-0.00041405i,-0.00063038-0.00070025i,-0.0006567-0.00093453i
-0.0024181-0.00023715i,-0.0010988+0.00030011i,-0.00031906+0.00093164i,-0.00048789+0.0010709i,-0.00074673+0.00086841i,-0.0012554+0.0010535i,-0.0013999+0.00076356i,-0.00043002+0.00031563i,0.00059077+0.00064129i,0.00083035+0.00068478i,0.00019406-9.052e-05i,-4.244e-05-0.00063669i,0.00049011-0.00024739i,0.00064209+0.00020503i,0.00035705-0.0005157i,0.00025926-0.0011732i,-0.00010383-0.00068111i,-0.00043847-0.00034086i,-0.00054084-0.00063784i,0.00012841-0.00080328i,0.0007424+2.2568e-05i,0.00021566+0.00059288i,-0.0004037+0.00022016i
0.0016132-0.00079012i,0.0016961+0.0003929i,-2.194e-05+0.0015807i,-0.0015334+0.0019716i,-0.0021024+0.0012123i,-0.0016687+0.0013956i,-0.00077958+0.0014485i,-0.00017272+0.0010622i,0.00039875+0.00045502i,0.00025418-0.00059521i,-0.0002044-0.00037946i,1.6556e-05+0.00019359i,-5.6365e-06-0.00031176i,-0.00026059-0.00031964i,-1.9566e-05-7.3861e-05i,-0.00052777-0.00045457i,-0.00086532-0.00040801i,-0.00059681-0.0002481i,-0.00024521-0.00040458i,-0.00038845-0.00017419i,-0.00048159-0.00055278i,0.00034886-0.00081631i,0.00030208+0.0005114i
-0.00050313+6.8136e-05i,-0.0007244+0.00092819i,-0.00027947+0.0021073i,0.00024795+0.0027072i,0.00096755+0.0022816i,0.00069215+0.0010894i,0.00044397+0.00070319i,0.00061639+0.00060234i,0.00089002+0.00014161i,0.0013102+5.3517e-05i,0.00079616-0.00080251i,3.0423e-06-0.0013273i,-0.00035576-0.00086879i,-0.00030543-0.00045986i,0.00030556+0.00025109i,0.00030196+0.0004365i,9.4105e-06-0.00011273i,-0.00021068-0.00033523i,0.00019371-0.00022676i,-0.00026162-0.00043067i,-0.00076139-0.00035811i,-0.00073296+0.00025796i,-0.00038036+0.00011754i
0.00021676-0.00027432i,-9.5663e-05-0.00011801i,-0.00023727+0.00010203i,-0.00097831-0.00059442i,-0.0022607-0.0010843i,-0.0026921-0.0007277i,-0.0015444-0.00021071i,-4.9344e-05+0.0011872i,0.00077489+0.0014863i,0.0011289+0.00075698i,0.001236+0.00067372i,0.0008129+0.00065396i,-1.9829e-05+0.0010092i,0.00095971+0.0010925i,0.0021101+0.00081815i,0.0016612+0.0010709i,0.0011332+0.00028237i,0.00031988-0.00046427i,4.8446e-05+0.00014073i,-0.00018931+7.539e-05i,-0.00031078-0.00053986i,0.00013492-0.00053931i,-0.00018637+3.1681e-05i
0.0014375-0.0010668i,-0.00036408-0.0015302i,-0.0012874-0.00022148i,-0.00081772+0.00076943i,-0.00031023+0.00093151i,-0.00092942+0.00095804i,-0.00097768+0.0010628i,-4.8858e-05+0.00065906i,0.00057153+4.0233e-05i,0.0010765-9.9673e-05i,0.00071587+0.00024169i,0.00013928+0.00049553i,0.00037301+0.00096606i,0.00068662+0.00097079i,0.00027071+9.5991e-05i,-0.00047245-0.00050705i,-0.00050436-0.0010276i,0.00018312-0.00099648i,0.0011741-0.00026999i,0.0011359-0.00021002i,0.00018736-0.0003282i,-0.00018334-0.00032677i,-8.9254e-05-0.00021681i
0.0014965+0.001045i,0.0022644+0.0010411i,0.0025985+0.0010684i,0.0018651+0.00025422i,0.0005187-1.4694e-05i,-0.00041143-1.1962e-05i,2.4814e-05-8.3073e-05i,9.8237e-05+0.00042488i,0.00030041+0.00076884i,0.00049568+0.00067631i,5.0258e-05+0.00039764i,-0.00053632+0.0002253i,-0.00043878+0.00023352i,-0.00061815-0.00013383i,-0.00088642+6.6314e-06i,-0.00055246+0.00021028i,0.00015323-0.00016183i,0.00084785-0.00063768i,0.0002719-0.000996i,2.3982e-05-0.0011816i,0.00028891-0.00059738i,0.00034038+0.00019796i,0.00054558+0.00070335i
-0.0016828-0.00092101i,-0.0017504-0.00015471i,-0.0030337+0.00067108i,-0.003602+0.0017491i,-0.0030687+0.0025244i,-0.0022419+0.002052i,-0.0013024+0.00082556i,-0.00067924+0.00093736i,-0.00031163+0.001786i,-0.00039059+0.0012846i,0.00021422-8.9095e-05i,0.00053717-0.00019074i,0.00022988+0.00022132i,0.00035611+0.00035597i,0.00028248+0.00019162i,0.00022626+0.0002956i,0.00054535+8.0465e-05i,0.00052724-3.4269e-05i,0.00031211-0.00050558i,-0.00014507-0.00050848i,-0.00018421-0.00040936i,0.00023915-0.00053326i,0.00032202-0.0004694i
-0.00059885-0.0009917i,-0.00093614+0.00034119i,-0.0012525+0.0013344i,-0.001593+0.0014757i,-0.0018562+0.0010332i,-0.001738+0.00027524i,-0.0014217+0.00026895i,-0.0011237+0.0007711i,-0.00051841+0.00071528i,-0.00035488+0.00044393i,0.00020809+0.00019427i,0.0007393+0.00027514i,0.00092793+0.00013952i,0.0011425-7.4656e-05i,0.00063741+0.00028568i,0.00025668+0.00014807i,0.00037933-0.00049063i,0.00067392-0.00066971i,0.0010835-0.00075867i,0.00045243-0.00015281i,-0.00010528+0.0007533i,-0.00078398+0.00090608i,-0.00097156+0.00041543i
-0.00024026-0.00069983i,-0.00075085+0.00011005i,-0.0011219+0.0011623i,-0.00079296+0.0013909i,-0.00029558+0.0018i,0.00012857+0.0019268i,-0.00013323+0.0011661i,-0.0001756+0.0006665i,0.00032229+0.0010756i,7.4919e-05+0.00065771i,-6.5525e-05-0.00014873i,3.4322e-05-0.00060623i,-0.00017011-0.00072411i,-0.0003218-0.00097244i,7.224e-05-0.00092404i,0.00024092-0.0005418i,-0.00012583-0.00045054i,0.00017732-0.00078098i,0.0010705-0.00077828i,0.0010333-0.00032685i,-4.216e-05+0.00058184i,-0.00027966+0.0007786i,0.00043463+0.00042601i
0.00053017+0.0011642i,0.0017027+0.001645i,0.0011494+0.00054527i,-7.5599e-05+0.0010193i,0.00013663+0.0017816i,0.00024299+0.00086774i,-0.0001089-0.00016525i,0.0001848-0.00039022i,0.00058795-9.0523e-05i,-0.00013008-0.00029542i,-0.0004197+0.00014078i,-0.00076884+0.00080582i,-0.00094716+0.00027592i,-0.00045669+0.00014316i,-0.00052669+0.00092485i,-0.00068476+0.00074462i,-0.00021553+0.00020753i,-0.00024391+9.331e-05i,-3.4118e-06-0.00027038i,0.0010301-0.00062725i,0.0011444-0.00031675i,0.00058539+9.0366e-05i,0.00040238+0.00025653i
0.0017151-0.00073767i,0.0011866-0.00043069i,-0.00020274-9.1437e-05i,-0.0012527+0.0006805i,-0.0022494+0.0013481i,-0.0025846+0.0010876i,-0.0016542+0.00063581i,-0.00074825-3.8811e-05i,-0.0004589+0.0001576i,-2.5601e-05-8.7384e-05i,0.00084095-0.00061526i,0.00064789-0.00060254i,-0.00060215-0.00034587i,-0.0006854+7.2049e-06i,-3.1463e-05-9.3246e-05i,1.5532e-05+0.0002869i,0.00027614+0.00014258i,0.0011321-0.00084047i,0.00078529-0.0004066i,0.00021342+0.00034714i,-0.00036738-6.1856e-06i,-0.0008951+0.00024301i,-0.00039422+0.00043478i
-0.00065572-0.00272i,-0.0012653-0.0012516i,-0.0015163-0.0010219i,-0.0013202-0.001234i,-0.0014922+0.00011109i,-0.0013317+0.001149i,-0.0012474+0.0012344i,-0.0013161+0.0011565i,-0.00035382+0.0010502i,0.00071316+0.00068108i,0.00062536+0.00074478i,0.00028793+0.0011178i,0.0010758+0.00085138i,0.00083236+6.9343e-05i,0.00049749-0.00092296i,0.0013202-0.00088922i,0.001115-0.00042887i,0.00035484-0.00022158i,0.00014994-0.00062567i,0.00046271-0.00046461i,0.00046681-0.00054105i,0.00030712-0.00079347i,0.00011465-0.00021195i
0.0019642-0.00094852i,0.00010478-0.0010725i,-0.00096583-0.00046614i,-0.0015655+0.00060139i,-0.0019398+0.0017976i,-0.0026093+0.0022471i,-0.0021165+0.0023371i,-0.00096923+0.0020498i,-0.00026249+0.00076047i,0.00018495-0.00045859i,0.00039534-0.00097487i,0.00041384-0.0012659i,0.00018613-0.00055262i,-0.00017576+0.00024233i,-0.00040588+0.00020672i,-3.4593e-05-0.00032978i,0.0003692-0.00019423i,4.4188e-05+0.00019334i,0.00023902+0.00064898i,0.00066193+0.00074329i,0.00028879+0.00047969i,-0.00029453-0.00022233i,-7.5817e-05-0.00028583i
5.4826e-05+0.0012843i,-2.3799e-05+0.001309i,-0.00012407+0.00057813i,0.00025283+0.00031291i,-0.00034538+0.0010418i,-0.00069812+0.00095635i,-0.00059063-0.00035136i,0.00024556-0.00060784i,0.0012719+0.00031436i,0.00079633+0.0010712i,-0.00024146+0.0010654i,-0.00099036-0.00023241i,-0.00077344-0.0011434i,0.00012195-0.0009654i,4.8183e-05-0.00048565i,-0.00017192+0.00050741i,0.00025566+0.0016298i,0.00055477+0.0013251i,8.0628e-05-0.00031754i,-0.00013207-0.00084959i,-0.00020141+7.7043e-05i,0.00029671+0.00042732i,0.00026618-0.00053868i
-0.00021018+0.0022485i,-1.96e-05+0.0027745i,-0.00024965+0.0029891i,-0.00041311+0.0016636i,-8.0886e-05+0.001133i,-0.00038988+0.00079142i,-0.00022201+0.00037323i,0.00045183+0.00014731i,0.00095642-0.0002294i,0.0009833-2.3101e-06i,1.6231e-05+0.00038154i,-0.00020309+0.0002922i,-9.497e-05-0.00017701i,-0.00021815-7.1094e-05i,1.5918e-06+0.00027133i,0.00046009+0.00035494i,0.0011946-0.00014175i,0.001818-0.00067628i,0.0013035-0.00036806i,0.00079968-0.00022425i,0.00081879+0.00024129i,0.00031779+0.0002551i,0.00040826-0.00020451i
-6.3708e-05-0.0018023i,-0.00043789-0.0012939i,-0.00084195+6.0579e-05i,-0.00095347+0.0010566i,-0.00039258+0.0010161i,-0.00076237+0.00049201i,-0.0019381+0.00080216i,-0.0019675+0.0010741i,-0.00063446+0.00088962i,5.9461e-05+0.00056934i,3.1425e-06-0.00027122i,0.00017915-0.0004937i,1.7394e-05-0.00016501i,0.00037062+0.0006279i,0.00065994+0.00058867i,0.00048622-3.1798e-05i,0.00060358+7.9568e-05i,0.00012902-0.00046171i,-5.7069e-05-0.0014735i,0.00029681-0.001032i,-0.00031657-0.00061543i,-0.0001695-0.00060239i,0.00075149-0.00017974i
0.0031012-0.00097308i,0.0017949-0.00084659i,0.00090653-0.00059957i,0.00035853-0.00056305i,-0.00099161-0.00015763i,-0.0013056+0.00080622i,-0.001314+0.0011171i,-0.00092635+0.00081898i,0.00022298+0.0012657i,0.00048638+0.0015851i,-5.9735e-05+0.00083286i,-0.00056413+6.8578e-05i,-0.00041119-0.00019087i,-0.00040175-8.8543e-05i,9.4576e-05-0.00011256i,-0.00037235-0.00018266i,0.00013879+0.0003656i,0.0014109+2.5554e-05i,0.00074473-0.00055711i,-0.00020842-0.00058569i,-0.00056757-0.00056415i,-0.00014862-0.00046044i,0.0001469-7.1487e-05i
7.0414e-05+0.0017687i,6.2308e-05+0.0012328i,0.00036872+0.001498i,-5.4759e-05+0.00053456i,-0.00051763+0.00015926i,-0.0012396+0.00051475i,-0.0011471+0.00055974i,-0.00043234+0.0011298i,0.00074724+0.00064145i,0.0016243+0.0002538i,0.00078508+0.00055901i,-0.00055669+0.0001894i,-0.00052057-0.0005739i,6.0541e-05-0.0016009i,0.00010867-0.0013496i,-0.0001993-0.00024419i,-0.00066322+0.00033197i,-0.00053354-0.00029761i,-1.9977e-05-0.00030418i,6.776e-05+0.00024775i,-0.00058324+0.00049447i,-0.0012049+0.00018957i,-0.00068939-0.0001536i
-0.00042094-0.0024746i,-0.0011374-0.0013597i,-0.0014446-0.00043964i,-0.0016738+0.0002557i,-0.0016929+1.562e-05i,-0.00067337+0.00054879i,-0.00039512+0.00099523i,-0.00013662+0.00049929i,0.00080922+0.00035592i,0.00098935+0.00083178i,0.00091314+0.0006811i,0.0014413+5.8086e-05i,0.0017004-0.00015157i,0.0011868-3.534e-06i,0.0010354+0.00022145i,0.0011205+0.00015255i,0.00090978-1.6305e-05i,0.00030794-0.00025879i,0.00043674-0.00041653i,0.00073119-7.9816e-05i,0.00018517+0.00021409i,1.7717e-05+0.00025429i,0.00010805+0.00015149i
-0.001125-0.0014835i,-0.00074398+0.00028034i,-0.00076385+0.0024925i,-0.00059275+0.0034613i,-0.00059755+0.003202i,-0.00029859+0.0013204i,0.0003543+0.00091338i,0.00061317+0.0014274i,0.0005294+0.0014588i,0.00063254+0.0011912i,0.00052623+0.00011473i,9.4453e-05-0.00040825i,0.00065279-0.00055089i,0.0014312-0.00054957i,0.0013312-0.00089154i,0.00035632-0.001381i,0.00028088-0.00058972i,-0.00012116+0.00015387i,-0.00025488-0.00029351i,0.00046465-7.1657e-05i,0.00019478+0.00044948i,-0.00069752+0.000227i,-0.00085331+1.9425e-05i
0.0002048-0.0014673i,-0.00035845-0.00045014i,-0.00086389-0.00069248i,-0.001331-0.00044364i,-0.0014461+0.00037935i,-0.00040359+0.0010963i,-0.00012547+0.00073097i,-7.0425e-05-2.4199e-05i,0.00092724+0.00020422i,0.0012498+0.00021508i,0.00097445-0.00064908i,0.00045413-0.0010679i,-0.00021095-0.0011806i,-0.00043607-0.00092141i,-0.00027906-0.00040022i,-8.2342e-05+0.0003516i,-0.00047548+0.00075826i,-0.00056217+0.0011573i,-9.0981e-05+0.00095363i,4.0541e-05-0.0007126i,-5.8992e-06-0.0015895i,-0.00010451-0.0011648i,-0.00013468-0.00069862i
-0.0018166+0.0015041i,-0.0023111+0.0024845i,-0.002603+0.0028801i,-0.0026162+0.0027706i,-0.0018851+0.0025942i,-0.00093137+0.0024705i,-0.00014001+0.0011731i,0.00058824+0.00032489i,0.0012711+0.00053453i,0.0013317+0.00042697i,0.00075163-0.00016358i,0.00041138+0.00039346i,0.00030007+0.00072274i,1.9959e-05-0.0002696i,-0.00017441-0.0012545i,0.0001013-0.00078864i,0.00048647+0.00035786i,-0.00033685+0.00083273i,-0.0011708-0.00010467i,-0.0011208-0.0011661i,-0.00012206-0.00075997i,0.00051661-7.0244e-05i,-9.5287e-05+0.00020804i
-0.0015696-0.001815i,-0.0022211-0.0015704i,-0.00292-0.00072256i,-0.0016417+0.00058261i,-0.00031687+0.0018095i,-0.00024299+0.0013023i,-0.00029965+0.00058349i,-0.00045442+0.00066929i,-0.00041136+0.0010927i,-0.00010205+0.0012272i,3.6615e-05+0.00050273i,0.00016485-0.0004973i,4.8796e-05-0.00080597i,5.1188e-05-0.00051603i,0.00039076-0.00078411i,0.00010469-0.0015863i,0.00013984-0.0010727i,-6.2504e-05-0.00015813i,-0.00061214-0.00046962i,-0.00053665-0.0011863i,-5.0142e-05-0.00084622i,-8.2046e-05-0.0002314i,-0.00017658-0.00011122i
