-0.00045186+0.0005624i,-0.0016493-0.00018516i,-0.0014814-0.0014716i,-0.00067198-0.0015096i,-0.0014375-0.00039794i,-0.0018109+0.00032088i,-0.0011464+0.00078621i,4.5969e-05+0.0012531i,0.00088223+0.00099811i,0.00096213+0.00070619i,0.00060615+0.00012522i,0.00036918-0.00078455i,0.00011046-0.0011246i,0.0002703-0.001289i,0.00046811-0.00077088i,0.0001824+0.00019344i,0.00015719+8.2298e-05i,9.8029e-05+0.0002265i,-0.00028809+0.00049639i,-0.00025929+4.5012e-05i,-5.9785e-05-0.0004039i,0.0003004-0.00046573i,7.5583e-05-0.00050351i
0.00019424+0.00074611i,0.00031963+0.00031445i,-0.00017385-0.001391i,-0.00098604-0.0025873i,-0.00039614-0.0020119i,0.00099085-0.0010964i,0.00027835-0.00083215i,-0.00075935-0.00062019i,-0.000379-0.0012007i,0.00031013-0.0017234i,0.00043451-0.0010799i,0.00059792-0.00032174i,0.0010519-0.00071733i,0.0016897-0.0014299i,0.0021204-0.0010951i,0.0016046-0.00050373i,0.00022069+1.5342e-05i,-0.0011462-7.3866e-05i,-0.0013993-7.4603e-05i,-0.0012046-0.00042823i,-0.0005205-0.00063071i,0.00061572+0.00011271i,0.00080873+0.00044308i
-0.0013024+0.00092409i,-0.00099355-0.00014912i,-0.00076752+5.6136e-05i,0.00048926+0.00051524i,0.00085415-0.00024667i,0.00033783-0.0015684i,-0.00025229-0.0020472i,-0.00029996-0.0017758i,0.00027872-0.0006205i,9.4411e-05+0.00056801i,-0.00062803+0.00056344i,-0.0006001+8.9877e-05i,0.00038796+0.00021083i,0.001654+0.00052296i,0.0018171+0.00041i,0.0010738+0.0004911i,-3.2067e-05+0.00028797i,-0.00076618-0.0005198i,-0.00044787-0.00044589i,-0.00030677-4.6689e-05i,-0.00089632+0.00031665i,-0.001225+0.00048464i,-9.0647e-05-3.6984e-05i
-6.0303e-05-0.00089092i,0.00047355-0.0010807i,-0.00076487-0.00092847i,-0.0021196-0.00043642i,-0.0023416+0.00044187i,-0.001861+0.00088081i,-0.0012788+0.00065763i,-0.00089929+0.00025861i,-0.00054388-0.00019179i,-0.00053881+0.00029241i,-0.0002597+0.0011015i,0.00030393+0.0012928i,0.0007165+0.0011322i,0.0013312+0.0012965i,0.0010226+0.000317i,0.0003363-0.00070172i,0.00087842-0.00051062i,0.0012364-0.00085259i,0.0012052-0.00077466i,0.001408-0.0008529i,0.0009103-0.00098652i,0.00054261+1.6301e-05i,0.00027412-9.2754e-05i
-0.0020183-0.0014293i,-0.001163-0.0020799i,-0.00054474-0.0016398i,0.00033834-0.00097847i,0.001219-0.00081753i,0.0014458-0.0016753i,0.00052438-0.0021087i,-0.0010151-0.001372i,-0.0011278-0.00061921i,-0.00023518+0.00017926i,0.00060383+0.00041507i,0.0011165+0.00020783i,0.0010121-0.00029962i,0.00088057-0.00061202i,0.00080037+0.00010672i,0.00038877+0.00014513i,-0.00012884-3.8769e-06i,0.00055441-0.00012154i,0.00051233-0.00061692i,-0.00053124-0.00079177i,-1.0759e-05-0.0011771i,0.00041031-0.00080858i,0.00029868+0.0004274i
-1.2955e-05-0.00099212i,0.0019261+0.00023425i,0.0016539+0.0007712i,0.00023667+0.0010689i,-0.00090824+0.0010687i,-0.0014462-0.00011237i,-0.0011774-0.0016482i,-1.2101e-05-0.0015173i,3.2605e-05-0.00077174i,0.00026008-8.2417e-05i,0.00041675-4.1494e-05i,-1.838e-05-0.0003081i,0.00015044-0.00020648i,0.00037329-0.0003291i,0.00090786-0.00047506i,0.001322-0.00019915i,0.00062386+0.0001682i,0.00017775+0.00032203i,0.00039248+2.4586e-05i,0.00045777-5.2897e-05i,0.00011201+0.00014787i,-8.6673e-05+0.00060676i,-0.00041659+0.0012061i
-0.00033606-0.0023613i,-0.0014563-0.0023786i,-0.0024674-0.0023892i,-0.0024374-0.0018603i,-0.001703-0.00030167i,-0.00060697+0.0011678i,-0.00057221+0.0012201i,-0.00085832+0.00034113i,-0.00056647-0.00039982i,-0.00057135+0.00030102i,-0.00063845+0.0014581i,0.00017316+0.0014745i,0.00081208+0.0010261i,0.00069102+0.00068117i,0.00077773+0.00044703i,0.00049903+0.00046917i,-1.0016e-06+0.00083084i,-0.00030861+0.00094662i,-1.307e-05-3.6381e-05i,0.00026636-0.00030716i,-2.1346e-05+9.3543e-05i,-4.4269e-05+0.0004038i,-0.0001144-0.00051628i
0.0016243-3.3771e-05i,0.00088957-0.00092541i,0.00062122-0.00141i,9.5846e-05-0.0015246i,-0.00091982-0.0014056i,-0.0012759-0.00045251i,-0.00084471-1.9609e-05i,-0.00051583+0.00012066i,0.00011136-0.00042865i,-0.00044295-0.0013149i,-0.001239-0.0011776i,-0.00089345+8.826e-06i,-0.00064714+0.00025503i,-0.00048336+0.00034557i,-0.00065022-9.1211e-05i,-0.00059727-0.00049281i,-9.2201e-05+0.00014013i,-9.237e-05+0.00034793i,-0.00033055+0.00046453i,-0.00031126+0.00059478i,-0.00055472-0.0001547i,0.00020219-0.0003632i,0.00019888+0.00069685i
0.00098492+0.00060576i,0.0028887-0.00054898i,0.003051-0.0029807i,0.0016282-0.0037853i,0.00088126-0.0025527i,0.00034232-0.0018521i,0.00038168-0.0020642i,4.2863e-05-0.0018026i,-0.00042044-0.00065796i,-0.00020416+0.00011263i,-0.00076302+0.00031367i,-0.00061162+0.00066586i,0.00070273+0.00074722i,0.0003062-2.1737e-05i,-0.00032119-0.00029025i,-0.00018313-7.6019e-05i,0.00020215-0.00024318i,0.00043756-2.7872e-05i,-4.9981e-05+0.00041103i,0.00050503+0.00032135i,0.0011542-0.00024569i,0.00036812-0.00025129i,-0.00011946-0.00043227i
-0.0002444+0.00080274i,3.2868e-05+0.00058512i,0.0010164-0.00045866i,-0.00065304-0.00039308i,-0.0016766+0.00033863i,-0.00054365+0.00085048i,6.6677e-05+0.0001026i,0.00034875-0.00059539i,0.0001673-0.00025745i,0.00017608-0.00017467i,0.00081945-0.00017716i,0.00059795-0.00017826i,0.00024886+0.00029754i,0.0001355+0.00022517i,0.00011405-0.00049089i,-2.1142e-05-0.00028584i,0.00018782-0.00019496i,0.00030249-0.00025609i,-0.00085836-0.00077211i,-0.0013058-0.00032073i,-0.00043607+0.00052979i,0.00058962+0.00011816i,0.00039337-0.00048125i
0.0022071-0.0012787i,0.0027755-0.0018158i,0.0025077-0.0024103i,0.0013293-0.0032127i,-0.00030527-0.0026596i,-0.00043837-0.0013262i,-0.00018973-0.0016469i,0.00028063-0.0016035i,0.00067364-0.00052746i,6.1724e-05-0.00043514i,-0.00084086-0.00047105i,-0.00078865-4.074e-05i,-0.00060537+0.00057517i,-0.00042834+0.0011278i,-0.0008608+0.0010266i,-0.00090128+0.00099921i,-9.5428e-05+0.0010696i,0.0003424+0.00037758i,1.7414e-05-0.00021428i,-8.031e-05+0.00037525i,-0.00027035+0.0010659i,-0.0012232+0.0010554i,-0.0016409+0.001088i
0.00040468-0.0022566i,0.0009514-0.0019472i,0.0006519-0.0017899i,7.5563e-05-0.0016711i,6.9681e-05-0.0011892i,-0.0004243-0.0013029i,-0.00055092-0.0015845i,0.0001171-0.0015637i,2.5173e-05-0.0010032i,-0.00060993-0.00039546i,-0.00028531+0.00030655i,0.00020865+0.0015334i,7.7501e-05+0.0018424i,6.5345e-05+0.0013018i,0.000126+0.00097637i,-0.00014937-2.2278e-05i,-0.00081773-0.00021823i,-0.0008622+3.3404e-05i,-0.00050919-0.0004178i,-0.00048838-0.00047721i,-0.00047087-0.00044846i,-0.00036922-0.0007211i,-0.00017889-0.00055372i
0.0007921-0.0016401i,-0.00017534-0.0019017i,-0.00054975-0.0019352i,-0.0012107-0.001699i,-0.0017465-0.00079384i,-0.0017993-0.00018917i,-0.0010658-0.00023821i,-0.00024796-0.0002762i,-0.00034124-0.00011521i,-0.00077498+0.00010207i,-0.00037321+0.00017394i,0.00070453-2.6391e-05i,0.00037204+0.00014037i,-0.00042488+4.7315e-05i,-0.00049638-0.00035856i,-1.7393e-05+5.267e-05i,-3.723e-05-0.00041849i,8.3429e-05-0.00063569i,5.7151e-05-0.0001492i,-0.00019303-0.00046473i,-0.00032698-0.00032751i,-0.00025514+4.4815e-07i,0.00031538-0.00025313i
0.0022717-0.00013582i,0.0037052-0.0017941i,0.0036941-0.0028014i,0.0020822-0.0038993i,0.00052639-0.0040317i,-0.0012068-0.0023484i,-0.00091334-0.00097582i,7.5727e-05+0.00035933i,0.00032928+0.00045025i,0.00043546-0.00043063i,0.00038963+0.00015845i,-1.805e-05+0.0014311i,-0.00037507+0.001513i,-0.00035358+0.00036412i,-0.00043784-5.2722e-05i,-0.00024228-0.00070495i,0.00037995-0.0012071i,0.00046604-0.00071462i,-0.00026855-0.00012725i,-0.00053226-0.00022173i,-0.00023887-0.00081382i,-0.00053367-0.00026395i,-0.0011397+0.00095279i
-0.00045839-0.0011691i,0.00097891-0.00020261i,0.0019162+0.0010133i,0.00144+0.0028948i,0.0011164+0.0029001i,0.0009773+0.0011766i,0.00072261-0.00051971i,0.00081892-0.001899i,0.00069949-0.0019294i,0.00023545-0.00091078i,-0.0004581-3.0867e-06i,0.00011791+0.00076672i,0.00042672+0.00057875i,3.8012e-06-0.00025337i,0.00040329-0.00069969i,0.00062455-0.00070722i,3.8701e-05-0.00021177i,-0.00028833+7.9809e-05i,5.4214e-05-0.00019757i,-0.00046425-0.0007038i,-0.0013662-0.00093427i,-0.0014176-0.00043423i,-0.00067604+0.00017127i
0.00058759+0.00068346i,0.0014232+0.00053923i,0.001125-0.00087732i,-0.0003652-0.0006787i,-0.00020249-4.9222e-05i,0.0015183-0.00015403i,0.0013596-0.00074175i,0.00013416-0.0015982i,-0.00015699-0.0012718i,-0.00010914+2.1803e-05i,-0.00025975+0.00037016i,-0.00028432+0.0002719i,-1.2821e-05+0.00084407i,0.00068375+0.00094785i,0.00079783+8.9863e-05i,-7.3776e-05-0.00030475i,-0.00073816+5.0856e-05i,-0.00076649-0.00019054i,-6.1293e-05-0.00079717i,0.00060266-0.00070065i,-0.00023464-0.00026688i,-0.00027701-0.00015252i,-0.0001358+0.00034834i
2.0624e-05+0.0014765i,-4.7487e-05+0.00084192i,-0.00025279-0.00098114i,-0.00012185-0.001897i,-0.0003133-0.0016972i,-0.00044487-0.0014822i,-0.00050329-0.0011978i,-0.00093989-0.00083434i,-0.00068505+5.3119e-05i,-0.00092515+6.8553e-05i,-0.00090034-0.00032411i,-0.00046467+0.00019039i,-0.00068955+0.00071756i,-0.00065858+0.00033708i,-0.00026827-9.6907e-05i,0.00033246-0.00054358i,0.00037303+9.8892e-05i,0.00022825+0.00050419i,0.00027177-0.00038935i,0.00079736-0.0002831i,0.00059424-6.7532e-05i,-0.0001016-0.00045525i,0.00065461-0.00025927i
0.003449-0.00023381i,0.003322-0.0019213i,0.0018628-0.0031945i,0.00046647-0.0023256i,-0.00054472-0.0013607i,-0.0006249-0.0011471i,0.00051728-0.0014332i,0.0013845-0.0014947i,0.00068021-0.00085777i,-0.00074409-0.000402i,-0.0010496+3.43e-05i,-0.00026411+0.00076581i,1.513e-05+0.00070891i,-0.00027324-0.00041008i,-0.00013758-0.00051202i,-0.00024708-0.00048609i,-0.00056495-0.00081552i,-0.00068889-0.00049054i,0.00012765-0.00080316i,0.0012422-0.0012609i,0.0013194-0.00073089i,0.00055964-0.00052886i,-0.0005013-0.00057291i
0.0015849+0.0013151i,0.0019625+0.00022989i,0.0011037-0.0010507i,-2.7641e-06-0.00033215i,-0.00016359+0.00065283i,0.00054163+0.00072171i,0.00051474+0.00050221i,0.0001401+5.4459e-05i,-0.00023628+0.00022823i,-0.00044698+0.00011156i,-0.00052095+0.00024371i,-0.00049757+0.00084688i,3.1141e-05+0.00025766i,0.00018832+0.00010478i,-0.00013591+0.00031224i,-0.0003924+3.6423e-05i,-0.0004807-0.00044616i,0.00025395-0.00055972i,0.0012014-0.00022761i,0.00090513-6.0968e-05i,0.00048126+0.00014093i,0.00011773-0.00022639i,-0.0002394-0.00066319i
0.000854-0.0016914i,0.0013-0.0020206i,0.0017506-0.0037109i,0.000613-0.0044665i,-0.00032092-0.0022549i,0.00045144+0.00025022i,0.00073277+0.00056422i,0.00050006-0.0002688i,0.00056883-0.00041504i,0.00021459+0.00052912i,-0.00071599+0.00044667i,-0.0014687-0.00039086i,-0.00077402-0.00047702i,5.4331e-05+0.00016634i,0.00087238+0.00067081i,0.00076915+0.00019628i,0.0004707+0.00022232i,0.00087659+0.0011719i,0.001003+0.0011246i,0.0010003+0.00054275i,0.00048957-0.00013637i,0.00032452-0.00049164i,0.00010041+0.00044377i
-0.00047976-0.00025383i,0.00025333-0.0027545i,0.0014993-0.0045497i,0.0011249-0.0045505i,0.00019476-0.0030407i,4.4059e-05-0.002046i,-0.00018026-0.0015169i,-0.00058242-0.00098831i,-0.00012129+0.00025614i,0.00068716+0.0009497i,-3.155e-06+0.0010709i,-0.00073199+0.0013052i,-0.00054864+0.0013911i,-0.00075637+0.0011407i,-0.00058693+0.00041422i,-5.579e-05-0.00046279i,0.00053323-0.00043126i,0.001043+0.00021872i,0.001093+0.00051737i,0.0014582+0.00061226i,0.00093725+0.00054123i,-0.00031492-1.7376e-05i,-0.00022597-0.00037704i
-6.7657e-05-0.0036782i,2.4311e-05-0.0027251i,-0.00041524-0.00082223i,-0.00051466-4.5617e-06i,-0.00077414+7.1255e-05i,-0.00058532+0.00016693i,0.00013182-0.00034415i,5.5449e-05-0.00060683i,-0.00024174+1.012e-07i,0.00041658+0.00024466i,0.00074184+0.00065594i,4.0838e-05+0.0014836i,0.00017767+0.0017043i,0.00096513+0.0012265i,0.0010349-0.00034402i,0.0013276-0.0015458i,0.00059018-0.0010357i,-0.00058035-0.00044661i,-0.0007528-0.00077552i,-0.00011281-0.00074226i,-0.00018462-0.00055838i,-0.00035427-0.00057481i,-0.00043188-0.00013673i
0.002735+0.00022361i,0.0026746-0.0013198i,0.001601-0.0017998i,0.00039087-0.001081i,-0.00048158-0.00060641i,-1.7076e-05-0.00099471i,0.00070832-0.0012728i,0.0010803-0.00036134i,0.00070545-2.1196e-05i,0.00018754+0.00023494i,0.000406-0.00067175i,0.00029999-0.0012153i,0.00022063-0.0002224i,-1.2875e-05+0.00089985i,-0.00016343+0.0015987i,-0.00021025+0.0015216i,-0.00037154+0.00022472i,-0.00017351-0.00028295i,-5.328e-05+0.00050006i,-6.164e-05+0.00070039i,0.00082815+0.0010814i,0.00057212+0.00089461i,-0.00030716+7.0043e-05i
-0.0022108+0.00097784i,-0.00053676+9.6336e-05i,0.00051963-0.00087574i,0.0015283-0.0015125i,0.0013124-0.0021758i,0.00050669-0.0022109i,-7.3853e-05-0.0018283i,-0.00029852-0.0019438i,0.00037777-0.0015731i,0.0010779-0.00051626i,0.00090151-0.00032655i,0.00090693-0.00036788i,0.0010786-0.00071262i,0.0014522-0.001162i,0.0010493-0.0008395i,-0.00036164-0.00095529i,-0.00048098-0.00027845i,-0.00056335+0.00036718i,-0.00043947-0.00035825i,-0.00022054-0.00028006i,-0.00016192+0.00012155i,-7.2256e-05-0.00017965i,0.00018785-2.257e-05i
0.00054153+0.0012666i,0.0025134+0.00022681i,0.0029718-0.00049473i,0.0020119-0.0004955i,0.0011358-0.00045997i,0.00020071-0.00075247i,-0.00038397-0.0014846i,-0.00057214-0.0012401i,-0.00074207-0.00074355i,-0.000551-0.00011901i,8.9841e-05+0.00085391i,0.00032781+0.0010225i,-9.5458e-05+3.846e-05i,-0.00014674-0.00092383i,-0.00072527+2.8324e-06i,-0.0010359+0.0013242i,-0.00065568+0.0014357i,-0.00070383+0.0010866i,-0.00075648+0.0006358i,-0.00047498+0.00068038i,-0.0012134+0.00019308i,-0.0013346+0.00023704i,-0.00048254+0.00032942i
0.0025471-0.00021834i,0.0032735-0.00051413i,0.0019146-0.0013473i,-0.00059088-0.0010673i,-0.0024068-0.00061288i,-0.0022925+0.00054625i,-0.0012946+0.001564i,-0.00068985+0.0010913i,-0.00017287+0.00050897i,-0.00055429+0.00055906i,-0.00084979+0.00054272i,-0.00032969+0.00058021i,7.7209e-05+0.00086597i,-0.00082039+0.00092454i,-0.0011059+0.0003586i,-0.00074333+7.2185e-05i,-0.00081502+0.00039161i,-0.00047875-0.0001323i,0.00013101-0.0011831i,-0.00041901-0.00072854i,-0.00060001-0.00024854i,-0.00044179-0.00066231i,-0.00063395-0.0010031i
0.0020658+0.00015046i,0.0027569+7.7993e-05i,0.003083-0.0010249i,0.0026752-0.001256i,0.0017839-0.00089683i,0.00097743-0.00050811i,0.00040745-0.0010255i,0.00037021-0.00090291i,0.00029431-9.3988e-05i,0.00047722+0.00015118i,0.00087743+0.00058049i,0.00071963+0.00065841i,0.00062664+0.00065123i,0.00046317+0.00041285i,5.6635e-05-0.00020465i,-0.00049123-0.00086652i,-0.0006713-0.00075969i,-0.0007585+8.6417e-05i,-0.0010254-6.3295e-05i,-4.0536e-05-0.00076793i,0.00076419-0.00059249i,0.00012435+0.00014994i,-0.00065805+9.8386e-05i
3.5556e-05+0.00066148i,0.0016695-0.00046008i,0.0032386-0.0013373i,0.0031042-0.0013916i,0.0021266-0.0014897i,0.0012787-0.0017706i,0.00013575-0.0015542i,-0.00050081-0.0016321i,-0.00036324-0.0014883i,-0.00029993-0.0011136i,0.00010315-0.00061441i,0.00072879+0.00043025i,0.00033894+0.00043222i,-0.00057876-0.00094036i,-0.00055552-0.0014162i,-0.00046078-0.00077674i,-0.00056216-0.00046123i,-0.00093401-0.00047953i,-0.0011614-0.00076049i,-0.00035804-0.00068535i,0.00015688-0.00048807i,-0.00037517-8.9834e-05i,-0.00067198+5.1288e-05i
0.001477-0.00071149i,0.0024926-0.0017776i,0.0020803-0.0031686i,0.0003394-0.0037276i,-0.001333-0.0025477i,-0.00095974-0.0010882i,-0.00026362-0.00064988i,6.559e-05-7.8263e-05i,7.7441e-05+9.6096e-05i,-8.0871e-05-0.00022992i,-0.00047141-0.00068208i,-0.00066193+0.0002377i,9.1594e-05+0.0010868i,0.00057082+0.00046975i,0.00023397+9.7199e-05i,-0.00037072-0.00031001i,-0.0008019-0.00091326i,5.0758e-05-0.00096176i,0.0011669-0.00060153i,0.00086352-0.00017059i,0.00029404-0.00035538i,0.00060752-0.00012845i,0.00079786+0.00013935i
0.0015055+3.4614e-06i,0.0021149-0.00095269i,0.0027154-0.00075585i,0.001707-0.0010121i,-0.0004134-0.0018952i,-0.0016639-0.0015642i,-0.0013137-0.0010513i,-0.00062609-0.00083904i,0.0002222-0.00068664i,-0.00065845-0.00072195i,-0.0013494-0.00048117i,-0.0006095-6.0796e-05i,-0.00055928+0.00060143i,-0.00090914+0.00095429i,-0.00090416+0.00058364i,-0.00024497+0.00017321i,0.00074688+0.00045949i,0.0010059+0.00052493i,0.00056758-0.0004688i,0.0004049-0.00065646i,0.00027896-0.00014129i,-9.6308e-05-0.00039015i,-7.4766e-05-0.00082464i
-0.0011527+0.00031125i,-0.00017247+0.0010575i,0.0005113+0.00098444i,0.00096246+0.0019449i,0.0016667+0.0022002i,0.0012047+0.00076042i,0.00030437-0.00069597i,-3.9937e-05-0.00010347i,-0.00025802+0.0014407i,0.00049061+0.0019929i,0.00096306+0.0018262i,0.00088358+0.0010855i,0.00060736+0.00065346i,0.00093316+0.00029536i,0.0010243-0.00090546i,0.0002576-0.0010897i,-0.00030866-0.0010164i,-3.9171e-05-0.0018485i,-0.00010481-0.001734i,-0.00039653-0.00090259i,4.1673e-05-0.00059876i,0.00065084-0.00067568i,0.00056403-0.0010167i
-0.0018555+0.00013191i,-0.002132+0.00018582i,-0.002879+0.00034433i,-0.0021654-0.00089467i,-0.0006667-0.0013178i,0.00041853-0.00066602i,0.00065316-0.00047473i,-5.7043e-06+0.00040391i,0.00028019+0.0011298i,0.00060413+0.00065413i,0.00037765+0.00031171i,0.00072104+0.00029477i,0.00070628+0.00019927i,0.00079332-0.00043114i,0.00092434-0.0011753i,0.00081343-0.0010737i,0.00022414-0.00051111i,0.00031668-7.9269e-05i,0.00061492-3.4992e-05i,-0.00019236-0.00025002i,-0.00024197+2.4789e-05i,-9.2853e-05+0.00087409i,-0.00070068+0.00096271i
0.0013348-0.00071097i,0.0014544-0.0019215i,0.0011121-0.0027257i,0.0017578-0.0028227i,0.0015754-0.001697i,0.00051478-0.00073081i,0.00082074-0.00067501i,0.00077655-0.0012628i,0.00072837-0.0016104i,0.001422-0.00086923i,0.001061-0.00046588i,0.00016365-0.00088164i,0.00015047-0.00078493i,0.00032901-0.00057855i,0.0002908-0.00088554i,-0.00017036-0.00077476i,-8.9366e-06+0.00022907i,0.00034429+0.00064376i,0.00026041+0.00061883i,0.00037501+0.00079902i,9.037e-05+0.00027563i,0.00064961+9.6799e-05i,0.00059674+8.1708e-05i
0.0021447+0.00081801i,0.0021653+0.00020934i,0.0026231-0.0013136i,0.0018006-0.0018022i,0.00068128-0.0016161i,0.00092288-0.0019698i,0.00038987-0.0013706i,-0.00060762-0.00038578i,-0.00038228-0.00049128i,0.00040455-0.0009143i,8.0929e-05-0.00017349i,-0.0009385+0.00049876i,-0.0011933+0.00041618i,-0.00050853+5.3241e-05i,-0.00011856+0.00012459i,-0.00048968+0.00037267i,-0.00016837+0.00074016i,0.00044453+0.0011234i,2.3815e-05+0.00045006i,-0.00053704+0.00017008i,7.646e-05-0.0005211i,7.075e-05-0.00077044i,-0.00011833-0.00010061i
-0.00088972-0.00082047i,6.0702e-05-7.8705e-05i,1.6848e-05+0.00011577i,-0.00010227+0.0006654i,0.00045654+0.00028126i,0.00043287-0.00092863i,-0.00064849-0.0014569i,-0.0011471-0.0014695i,-0.00083919-0.0013394i,-0.00051119-0.00016322i,0.00031029+0.0011036i,0.00089855+0.0012964i,0.00054879+0.00043048i,-0.00019445-0.00012417i,0.0003825-0.00015207i,0.00086565-0.00075757i,0.00081985-0.00061295i,0.00066894-0.00059329i,0.0005494-0.00080665i,0.0010368-0.0010084i,0.001114-0.00095598i,0.00033412-0.00035545i,-0.00012648+9.6608e-05i
0.0023835-0.00023823i,0.0030115-0.0015951i,0.0021482-0.0031865i,-0.00029075-0.003601i,-0.002519-0.0026633i,-0.002364-0.0011116i,-0.0015191+0.00017401i,-0.0014636+0.00046579i,-0.0011056+0.00044459i,-0.00083253+0.00043412i,-0.0005305+0.0002339i,-2.3435e-05+2.8184e-05i,0.00020386+9.169e-05i,0.00027432+0.00022281i,1.1534e-05-3.3959e-05i,-0.0003186-0.00042104i,-1.4101e-05-0.00041046i,-0.00046377-0.00013895i,-0.00071392+0.00020767i,-0.00036082-2.5573e-06i,9.6747e-05+0.00024679i,-6.6316e-05+0.00039903i,-0.00037271-0.0004938i
-0.0014699-0.0025226i,-0.00033719-0.0025789i,0.00080079-0.0037173i,0.00080668-0.0022542i,0.00035402-0.00026194i,0.0011787-0.00013688i,0.0014885-1.3778e-05i,0.00076245+0.00040865i,9.3116e-05+0.00080756i,0.00034972+0.0010261i,9.0668e-05+0.00059787i,3.9304e-05-0.0004111i,0.00050335-0.00094621i,0.0006292-0.00038943i,0.00085817+0.00036833i,0.00029806-3.7527e-05i,-0.00042093-0.00035164i,-0.00015422-0.00017628i,0.00022919-0.00082795i,-0.00030789-0.0013996i,-0.00069754-0.0006199i,-0.00028385+0.00014052i,-5.3965e-05+0.00081591i
0.0003001+0.0008632i,0.00044006+0.00087347i,8.1592e-05+0.0010231i,4.776e-05+0.0020302i,2.2646e-05+0.0023039i,-9.5988e-05+0.00061628i,0.00040678-0.0012415i,0.0015262-0.0011538i,0.0011502-0.00018136i,5.533e-05+0.00029044i,-0.00043447+8.2884e-05i,-0.00022581+0.00026024i,-0.00053044+0.00077573i,-0.00019245+0.00013069i,0.00063941+2.6801e-06i,0.00021798+0.00052509i,-0.0005002+0.00014022i,-0.00030196-0.00011743i,6.5208e-05-0.00052082i,3.0428e-05-0.00079022i,6.8022e-05+0.00048618i,0.00024246+0.0012638i,0.00020784+0.00071858i
-0.00023036+0.0010548i,0.0010775+3.9816e-05i,0.0015959-0.0023431i,0.00088842-0.0041612i,0.00055986-0.0031374i,0.00028054-0.0019529i,-0.00041988-0.002409i,-0.00041938-0.0031766i,-0.00019371-0.0025956i,-0.00021463-0.00054669i,-0.00055193+0.0010584i,-0.00078605+0.0012971i,-0.00063457+0.00019356i,-0.00049037-0.00080321i,-7.0309e-05-0.00043603i,-0.00043643-0.00042124i,-0.00044491-0.00056155i,-0.00037924-9.3653e-05i,-0.00080571+0.00016145i,-0.00022234-0.00054818i,-9.0678e-05-0.00062674i,-0.00064839-5.5835e-05i,-0.0011931-0.00049365i
0.0024496-0.0024584i,0.0021543-0.002375i,0.0018407-0.0021777i,0.0013729-0.0020703i,-0.00023026-0.0014299i,-0.00056126-0.00087974i,7.5827e-05-0.0011848i,-0.00087149-0.0014206i,-0.0019197-0.00046775i,-0.0013674-0.00012106i,-0.0006887-0.0001429i,-0.00059026+0.00056628i,-0.00037268+0.00027789i,-0.0001185+8.7982e-05i,-0.00011679+0.0007188i,-0.00046333+0.00064834i,-0.00047784-8.5389e-06i,-0.00035276-0.00068546i,-0.00077781-0.0013322i,-0.00064103-0.00092706i,-0.00023657+0.00016668i,-0.00033716+0.00026302i,-2.2988e-05+7.129e-05i
-3.413e-05-0.0010757i,0.00039758-0.00075861i,-0.00037289-0.00020369i,-0.0016583+0.00059242i,-0.0018598+0.00033992i,-0.0007454-0.00067235i,0.00044074-0.0013081i,0.00094316-0.001092i,0.00022023-0.00019027i,-0.00035296+0.00060674i,0.00024211+0.0013585i,0.00098031+0.00067062i,0.00098153-0.00027709i,0.0012203-0.0004281i,0.0012374-0.0004256i,0.00025178-0.00014359i,-0.00047472+0.00016391i,-0.00098472+0.0004717i,-0.0011174+0.00018535i,-0.00069983-0.00015703i,-0.00098765-0.00029566i,-0.00096638+0.00057582i,-0.00032586+0.0011728i
0.00087125+0.00022721i,0.0014973-0.0013474i,0.00045024-0.0030211i,-0.0002228-0.0029975i,-0.0010469-0.0014547i,-0.00057642-0.00067276i,0.00042595-0.0010779i,-4.2549e-05-0.00095272i,-3.7384e-05-0.00063087i,0.00053498-0.00073116i,0.00074761-0.00019657i,-0.00010328+0.00034663i,0.00025833+0.00051628i,0.00046049+0.00016818i,4.1127e-05-0.00074934i,0.0004912-0.0014007i,0.00011468-0.00056527i,-0.00051891+0.00070482i,-0.00011702+0.00086521i,0.0005201-9.9937e-05i,0.0011973-0.00064777i,0.001097-0.00053475i,0.000509-0.00063993i
0.001024-0.00031311i,0.0038735-0.0012426i,0.0048481-0.002201i,0.0032284-0.0028001i,0.0011979-0.0024524i,0.00066958-0.0015577i,0.00049221-0.0015951i,-0.00065294-0.0023107i,-0.00091018-0.0015573i,-0.001313-0.00095857i,-0.0015524-0.00095638i,-0.00049275-0.00019891i,0.0002708+0.00027869i,0.00021277+0.00010022i,-0.00081838+0.00041024i,-0.0015493-0.00013636i,-0.0010624-0.0015252i,-9.1104e-05-0.001419i,0.00049916+3.9558e-05i,6.2073e-05+0.00031069i,-0.00071115-5.2997e-05i,-0.00060096+0.00016108i,0.00016417+0.00010784i
0.00071481-0.0006048i,0.0023836+0.00092722i,0.0026593+0.0015154i,0.0019082+0.00090519i,0.00065016+0.00049116i,-0.00043278+0.00077024i,-0.00051282+0.00020115i,-0.00055955-0.00062998i,-0.00080734-0.00077748i,-0.0010912+3.2618e-05i,-0.00081067+0.00062227i,-0.00072724+0.00040868i,-0.0011502+2.7814e-05i,-0.0014486-0.00037453i,-0.0011198-0.00099671i,-0.00050441-0.0010786i,-0.00023239-0.00070427i,0.00065389-0.00077607i,0.0013562-0.00083539i,0.0011217-0.00023145i,0.00088715+0.00017204i,0.00014829+0.00021648i,-0.00033896+1.0843e-05i
