-0.0051126+0.00022693i,-0.0043813-0.00028067i,-0.0042449+0.00064217i,-0.0023238+0.0015866i,-0.00046761+0.0025253i,0.00025207+0.002045i,-0.00022664+0.0019694i,-0.00020388+0.0022386i,0.00061043+0.001504i,0.001147+0.0006439i,0.0010252+0.00042387i,0.00044318+0.0001259i,0.00067631-0.00064161i,0.00089066-0.00093687i,0.00022069-0.00058562i,-0.00030462+0.00047025i,0.00042495+0.0011277i,0.00084497+0.0011743i,0.00033024+0.00086932i,3.8124e-05+0.0010795i,-0.00051675+0.00079698i,-0.00056344-0.00042231i,0.00017348-0.00056719i
0.0011953+0.00039153i,0.0011752+0.00017442i,2.0599e-05-0.00083874i,-0.0022153-0.0019449i,-0.0029532-0.0014471i,-0.0019767-0.00081498i,-0.00098314-0.00052522i,-0.0010902+4.5632e-05i,-0.0013138-5.4703e-05i,-0.00042201-0.00048614i,0.00014791-0.00098448i,0.00061536-0.00056096i,0.00061449+0.00050957i,0.00018753+0.0012201i,9.8967e-05+0.00088366i,0.00042494+0.00030039i,0.00032672+0.00068042i,3.3665e-05+0.00073463i,-8.5389e-05+0.00087289i,-0.00034792+0.0010479i,-0.00030761+0.00092172i,0.00020953-8.2008e-05i,-1.0724e-05-0.0004877i
-0.00031486+0.0016438i,0.00046112+0.0013551i,0.0014832+1.5497e-05i,0.00062605-0.00093433i,-0.00086872-0.00063375i,-0.0016033-0.00029996i,-0.0015349-0.00032391i,-0.00093284-0.00082024i,0.00020448-0.001501i,0.00069374-0.0015351i,0.0001741-0.0013339i,-3.5257e-05-0.0009519i,-0.00092806+0.00026606i,-0.00093855+0.0010004i,-1.0439e-05+0.0015382i,-5.6009e-05+0.0010017i,-0.00061243+0.00043732i,-0.001328+7.939e-05i,-0.0012252+0.00024935i,-0.00053342+0.00055918i,-4.3804e-05+0.00039552i,-0.00018309+5.1121e-05i,-0.000255-0.00021239i
-0.00042581+0.0030643i,-6.5925e-05+0.0025397i,0.00037641+0.0025245i,0.00031729+0.0014851i,-0.00022339+0.00077424i,-0.0012585+0.000697i,-0.0019125+6.0323e-05i,-0.0010242-0.00039995i,-0.00044561+0.00019427i,-0.0013427-0.00018253i,-0.0014782-0.00075295i,-0.00049106-0.00057759i,-0.00075212-0.00017713i,-0.001521-0.00021331i,-0.0016192-0.00010277i,-0.0017039+0.00042964i,-0.0014765+8.5469e-05i,-0.00081852-0.00094632i,-0.00071866-0.001852i,-0.0013543-0.0015731i,-0.0009089+1.5433e-06i,-0.00022577+0.00086688i,-2.6869e-05+0.00063746i
-0.0011035-0.001129i,-0.001158-0.00083472i,-0.00069958+0.00014239i,-0.00050663+0.00016107i,-0.00057712-0.00034598i,7.9231e-06-0.0003234i,-0.00063469-0.00053253i,-0.0022458-0.00094364i,-0.0024001-0.00061093i,-0.001614+0.00020007i,-0.0012217+0.00059865i,-0.00088197+0.00057176i,-0.00065846+0.00015038i,-0.0013856-0.00089907i,-0.0020951-0.001589i,-0.0014397-0.0013827i,-3.1119e-05-0.0012116i,0.0011786-0.0010626i,0.00097699-0.00036665i,0.00061449-0.00031364i,0.00041304-0.00026818i,-0.00038508-9.7621e-05i,-0.00086896-0.00043893i
0.0012085+0.0016496i,0.0018653+0.0012728i,0.0018813+0.00013941i,0.00069276-0.00019617i,-0.00089509+0.00015588i,-0.00061378+0.00051208i,-3.4397e-05+0.00018029i,-0.00047599-2.9791e-05i,-0.00046491+0.00061737i,0.0002708+0.00080028i,0.00069919+0.00052928i,0.00019282+0.00043121i,-0.00021518+0.00061625i,-0.0003267-0.0004065i,-0.00062181-0.0013575i,-0.00025683-0.0008239i,0.00058444+0.00018987i,0.0013394+0.00087654i,0.0010884+0.00079526i,0.00090508+0.00067972i,0.00082945+0.00034761i,0.00017523+0.00047072i,0.00027785+0.00012973i
-0.0022744-2.7122e-05i,-0.0028658-0.00080521i,-0.0028393-0.00027925i,-0.0025675+0.0016021i,-0.0015533+0.002444i,-3.3773e-05+0.0017504i,-0.00034117+0.0013278i,-0.00048997+0.00081786i,0.00027526+1.3323e-05i,0.00055132-0.0003656i,0.00088985-0.00047242i,0.0010999-0.00098101i,0.001083-0.00094008i,0.00039816-0.00092854i,-1.9991e-05-0.0013547i,0.0006091-0.00064424i,0.00069581+0.00056086i,0.00044704+2.6935e-05i,0.00031559-0.0010303i,9.2659e-05-0.00044066i,0.00011792+0.00012621i,0.00021029-0.00013721i,-2.5695e-05-0.00032411i
-0.0013402-0.0018649i,-0.00044275-0.0023199i,-0.0012604-0.0012948i,-0.0022384+0.00032091i,-0.0025588+0.0024832i,-0.0013117+0.0021368i,-0.00037884-0.00033696i,-0.00026366-0.0010928i,0.00047659-0.00079048i,0.00062145-0.00036975i,0.00051461-0.00047148i,0.00036767-0.00053097i,1.2876e-05-0.00032598i,0.00040219+0.00028854i,0.00041703+0.00090813i,6.6024e-05+0.00071997i,-0.0002433+0.0010362i,-0.00083289+0.0013207i,-0.0010363+0.0010555i,-0.000574-7.4382e-05i,0.00027434-0.000872i,-5.2671e-05-0.00026606i,-0.00020018+0.0004533i
-0.0021512-0.00011847i,-0.0023027+0.00020446i,-0.0027256+0.000631i,-0.0029403+0.00073791i,-0.0030781+0.00058617i,-0.0019179+0.00021286i,-0.00083144-0.00071561i,-0.00051599-0.00079907i,-0.00045836-0.00043355i,-0.0004572-0.00073818i,-0.00093057-0.0010679i,-0.0016586-0.00040272i,-0.0011276+0.00025251i,-0.00026191+0.00045326i,0.00011093+0.00047693i,-0.00039411+0.0011571i,-0.00084486+0.0016245i,-0.00056336+0.0011343i,-0.00077343+0.00030272i,-0.00060967-0.00047781i,0.0004458-0.00067935i,0.00046839-0.00085591i,-0.00068688-0.00033957i
0.00065879+0.0021849i,0.0022038+0.00095742i,0.0037907-0.00080274i,0.0026618-0.0022137i,0.00073194-0.0023208i,0.00017882-0.0012456i,0.00071806-0.00097564i,2.722e-05-0.00041218i,-0.00087236+0.00033435i,-0.00072113+0.00044731i,-0.0014796+0.00053213i,-0.0019124+0.00051665i,-0.0021002+0.00021895i,-0.0015557-0.00014183i,-0.00039479+0.00024785i,-5.8976e-05+0.00096392i,-0.00034079+0.00055847i,-0.00060245-0.00047248i,-0.00049416-8.4908e-05i,-0.00050524+0.00050012i,-0.000958-0.00011985i,-0.0005876-0.00049465i,-2.8854e-05-0.00069425i
0.0018383+0.00060306i,0.0026178-0.0010545i,0.0013348-0.0015389i,-0.00017642-0.0015278i,-0.001434-0.000869i,-0.0012978-9.9905e-05i,-0.00043004-0.00019864i,-0.00062186-0.00053223i,-0.00040528-7.6079e-05i,0.00027237+0.00027596i,0.00058069-0.00015468i,0.00053688-0.0012355i,-0.00014147-0.0013735i,-0.0010239-0.00072061i,-0.0010748-0.0014013i,-7.5152e-05-0.0021476i,0.00060839-0.0016898i,-0.00021448-0.0010403i,-0.00077325-0.00078283i,-0.00024746-0.00062918i,0.00019753-0.00038213i,0.00010466-0.00036602i,0.0003658-0.00034097i
0.0019786-0.0027013i,0.0021403-0.0025421i,0.0011238-0.0025396i,-0.0018744-0.0011884i,-0.0043644+0.00064441i,-0.0040491+0.0022653i,-0.0021908+0.0013492i,-0.00081634-0.00051123i,-0.00034368-0.00061026i,-0.00069429-3.1485e-05i,-0.00062375-0.00044929i,-7.7161e-05-0.00058277i,0.00046842-0.00091419i,0.00053262-0.00078594i,-0.00018623-0.0002267i,5.069e-05-0.0006497i,0.00045493-0.00072882i,-0.00031079+1.1718e-05i,-0.0008014+1.7144e-05i,0.00039178-0.00025443i,0.00076829-0.000412i,0.00048628-0.00010215i,0.00027538+0.00032395i
0.002001-0.0011559i,0.0014924-0.0023147i,-0.00012174-0.0039407i,-0.0015502-0.0028004i,-0.002892-0.0013456i,-0.0033243-0.00013566i,-0.0013908+0.0003415i,0.00038642-5.9682e-05i,0.00055062-0.00079471i,0.00053857-0.0014929i,-0.00010745-0.00090767i,-0.0002563-0.00045148i,0.00069227-0.00063156i,0.00079175-0.00083817i,0.00044764-0.00051147i,0.00066848+0.00035963i,0.00031452+0.00077555i,0.0001318-0.00011953i,0.00039385-0.00089573i,0.00033101-0.00059162i,0.00052891-0.0003775i,0.00058399+0.00047167i,9.1221e-05+0.00068094i
0.0011909+0.0017544i,0.0012032-0.00052066i,0.0014826-0.0018185i,0.00058704-0.001235i,-0.0010825-1.0451e-05i,-0.0018314+0.00044045i,-0.001055-8.9535e-05i,-0.00078521-0.00017762i,0.0002395-0.00015685i,0.0015943-0.00085416i,0.00057662-0.0011874i,-0.00059919-0.00030116i,-0.00046913+0.0012246i,-0.00040039+0.0016709i,-0.00023265+0.0015423i,0.00015659+0.0013182i,0.00068707+0.00099248i,0.00071014+0.0011137i,-0.00025589+0.0011759i,-0.00013205+0.00067168i,0.00054775+0.00028721i,6.9909e-05+0.00054341i,-0.00032292+0.00072383i
0.00035789-0.0016087i,-0.00038959-0.0026452i,-0.00063618-0.0024132i,-0.0016924-0.00053885i,-0.0020064+0.00072992i,-0.00099423+0.00095386i,-0.00029458-0.00036955i,0.00020231-0.0012513i,0.00024128-0.00069112i,-0.0013411-0.00092904i,-0.0020867-0.00084675i,-0.0012788+0.00023585i,-0.00059682+0.00030505i,-0.00067107+2.4157e-05i,-0.00039622+0.0010141i,-0.00037566+0.0020424i,-0.00054214+0.0014165i,-0.00017792+0.000754i,0.00054992+0.00092542i,0.00034202+0.0007164i,-0.00038205+0.00028669i,-0.00060881-0.00048431i,-0.00066998-0.0011718i
-5.5206e-05-0.0013709i,-8.2972e-05-0.0013972i,-0.0017843-0.00048246i,-0.0023492+0.00027039i,-0.0015481+0.0016048i,-0.0007778+0.0020793i,0.00019389+0.00085661i,0.00011928-0.00035459i,-0.00056653-0.00053597i,-0.00081237-3.7467e-05i,-0.0010235+0.00018547i,-0.0010615-5.99e-06i,-0.00012666+0.0001804i,-0.0002689+0.00034755i,-0.00077002-0.00012728i,-9.9956e-05-8.5237e-05i,0.00015125+0.00049775i,4.223e-06+0.00061504i,-0.00018645-0.00016806i,-0.0003949-0.0010125i,-0.00056369-0.00041436i,-0.00033384-4.3106e-05i,0.00023616-0.00050855i
-2.0426e-05+0.0020194i,0.00065071+0.0015927i,0.0013198+0.0008299i,0.00060705-0.00021943i,-0.00058126-0.00092041i,-0.00099093-0.00078116i,-0.0012461-0.00024424i,-0.0014503-0.00010373i,-0.001374+0.00015884i,-0.0011147+0.0010529i,-0.00025424+0.0005746i,-5.7701e-05-0.00064498i,-0.00090381-0.0010428i,-0.0015257-0.00095054i,-0.0015393-0.00078687i,-0.00048392-0.001162i,0.0006141-0.00084615i,0.00094776-0.00060061i,0.00082275-0.00093178i,0.00080213-0.00093928i,0.00092419-0.00011994i,0.00065335+9.4055e-06i,0.00031109-0.00095835i
-0.00011263+0.00169i,0.00054053+0.001249i,0.00059956+0.0011496i,0.00020797-0.00047854i,-0.00068657-0.0014246i,-0.0010791-0.0015109i,-0.0012397-0.0011448i,-0.00099415-0.00021847i,-0.00031506+0.00047844i,0.00011814+0.00074645i,0.00054615+0.0001766i,0.0015039-0.00077134i,0.0012214-0.0010853i,0.00051523-0.0014524i,0.00029278-0.0020234i,0.00037897-0.00206i,0.00010198-0.0015988i,-0.00051219-0.0010661i,-0.00061867-0.00050696i,0.00049958-0.00010134i,0.001693+0.00020088i,0.0018457+0.00044206i,0.0010845+0.00063031i
0.0022241-0.00091184i,0.0025996-0.001715i,0.0017815-0.0024935i,-0.00063924-0.0028834i,-0.0024792-0.0013283i,-0.0023247+0.00065761i,-0.0007834+2.1502e-05i,0.00011059-0.00091168i,0.00054538-0.00031164i,0.00072424+7.2468e-05i,0.0005784-0.00092217i,0.00025279-0.001119i,-2.5063e-05-3.8882e-06i,0.0010333+0.001302i,0.0014233+0.0012105i,0.0005984-0.00033929i,0.00014676-0.0010489i,0.00025945-0.0006923i,-0.00041131+0.00010607i,-0.00080591+0.00052481i,-0.00063616+0.00060072i,-0.00036817+0.0011798i,-0.00029607+0.0012408i
0.0025069-0.0025125i,0.0026879-0.0030262i,0.00098667-0.0034102i,-0.0013756-0.0022182i,-0.0028467-0.0004895i,-0.0024491+0.00073357i,-0.00097301+0.00080234i,-6.2786e-05+0.00016544i,6.2586e-05-0.0010332i,0.00041591-0.0023838i,0.0002131-0.0017672i,-0.0005316+0.00055519i,-0.0008641+0.0018944i,-0.0008671+0.0018254i,-0.0009186+0.0017315i,-0.00025853+0.0010781i,0.00067279+9.6086e-05i,0.0008484-0.0002495i,0.00055566+4.9436e-05i,0.00037183+0.00079497i,0.00023272+0.0012125i,-0.00038968+0.0007599i,-0.00062429+0.00050455i
0.00052264-0.001047i,0.00086397-0.00078721i,0.00030889-0.00027143i,-0.0016008-0.00034346i,-0.0026518+3.4253e-05i,-0.0014964+0.00096427i,-1.6322e-05+0.00059803i,0.00015863-0.00049642i,-0.00010591-0.00097677i,-0.00043728-0.0017111i,-0.00050068-0.00070896i,-0.00088455+0.0011139i,-0.0011658+0.00066676i,-0.00086424+0.00022572i,-0.00096138+0.0013472i,-0.00034216+0.0019368i,0.0011627+0.0010346i,0.001729-7.55e-05i,0.0009952+0.00016557i,2.5619e-05+0.00054025i,-0.0011185+3.7152e-05i,-0.0013195-0.0012606i,-0.0007322-0.0015579i
-0.00011409+0.0025922i,-3.9522e-06+0.0025887i,0.00076968+0.00042497i,0.00036967-0.00066651i,-0.00055628+6.0638e-05i,-0.00027124+0.00071364i,-0.00013629+0.00064267i,-0.00091036+0.00030902i,-0.0010204-0.00057256i,-0.00058906-0.00064514i,-0.00043832-0.00014406i,0.00035113-0.00039416i,0.0012535-0.0014691i,0.00033379-0.0010853i,-0.00098521+5.6538e-05i,-0.00078119+0.00039635i,0.00089999+0.00048321i,0.0026432+0.0010824i,0.0017551+0.00086091i,0.00043707-0.0011391i,4.885e-05-0.0012049i,-0.00017168-0.00069886i,-3.4041e-05-0.0015684i
0.0043728-0.0036503i,0.0046955-0.0051614i,0.0016717-0.0056181i,-0.0024988-0.004331i,-0.0043655-0.0014351i,-0.0037037+0.00052522i,-0.0017116+0.00053991i,-0.00077616+0.00075753i,-0.0008507+0.0009732i,-0.00097526+0.00071172i,-0.00068232+0.00090122i,0.00013131+0.00074158i,0.00055977-0.0001328i,0.00067995-0.0005478i,0.00082773-0.0011014i,0.00037941-0.0018957i,-0.0007109-0.002176i,-0.00067791-0.0013676i,2.5869e-05-0.00029502i,0.00037848-0.0002198i,0.00079849-0.0010631i,0.0012514-0.0011998i,0.0011018-0.00078445i
0.002476-0.0013227i,0.0032104-0.0010144i,0.0028221-0.0022216i,-0.00031977-0.00081827i,-0.0033979+0.001085i,-0.002755+0.0016404i,-0.0010898+0.0016286i,-0.00048022+0.00070181i,-0.0007181+0.00036793i,-0.0011022+0.00078019i,3.9355e-05+0.001075i,0.00032171+0.0010171i,-0.00041781-8.166e-05i,-0.00027606-0.00048832i,0.00049885-0.00052261i,0.00089571-0.00077412i,0.00022261-0.00074534i,-0.00060392-0.00066861i,-0.00041939-0.00027198i,-7.7649e-05-0.00028963i,0.00033883-0.00027129i,0.00029393-3.422e-05i,0.0006975+0.00025094i
0.0019248+0.0011717i,0.0020008+6.1642e-05i,0.0019221-0.00066751i,0.00017573-0.00081612i,-0.0011136+0.00066187i,-0.0013678+0.0014965i,-0.0013754+0.00036003i,-0.0009253-0.00062634i,0.00017974-0.00055325i,0.0011681-0.00076418i,0.001141-0.00097061i,-0.00012335-6.271e-05i,-0.00092106+0.0010398i,-0.0010825+0.0019141i,-0.00082554+0.00179i,0.00039966+0.0011013i,0.00045432+8.451e-05i,-0.00034442-0.00041381i,-0.00089372-0.0001566i,-0.00038773+0.00023934i,0.00024005+0.00053535i,-3.2103e-05+0.00096966i,0.00016735+0.0011821i
0.0011106-0.0021501i,0.00044645-0.0043895i,-0.00060601-0.005139i,-0.0031507-0.0028736i,-0.003817+0.00012169i,-0.0013822+0.001336i,0.00040512+0.0005431i,0.00097916-0.0005202i,0.0013939-0.00089011i,0.0013899-0.0012414i,0.0010108-0.0013328i,-3.1452e-05-0.00063181i,-0.0013777+0.00090811i,-0.0019825+0.0015122i,-0.0014993+0.0013762i,-0.0003552+0.0017358i,7.1403e-05+0.0012185i,0.00022873+0.00056884i,0.00025601+0.00058331i,0.00028334+0.0014467i,0.00013937+0.0020456i,-0.00029994+0.0012722i,-0.0009632+0.00082058i
0.00064081-0.0019175i,0.00049596-0.0016389i,-0.00085411-0.00020546i,-0.0016935+0.0011493i,-0.0015209+0.0018349i,-0.00010987+0.0011314i,-0.00022871-0.00060048i,-0.0010738-0.0018706i,-0.0011657-0.0024737i,-0.00083639-0.0020085i,-0.00060667-0.00066591i,-0.00093159-0.00070416i,-0.00035637-0.00069091i,-0.00013939+5.9969e-05i,-0.00041304+0.00050043i,-0.00063433+0.00092114i,-0.00056531+0.00036622i,0.00037357-0.00045679i,0.00028143-0.00044791i,-0.00077643-0.00017014i,-0.00053508+0.00067255i,-0.00041736+0.00041225i,-0.00051612-0.00049037i
0.00034436+0.0014367i,0.00042988+0.0014194i,0.0012684-0.0005622i,0.00042641-0.001704i,-0.0018567-0.00068163i,-0.0024594+0.00021188i,-0.0019053-0.00025432i,-0.0013709-0.00087586i,-0.0014478-0.0012933i,-0.001469-0.0013276i,-0.00095046-0.0007758i,0.00012622-0.00057463i,0.0012775-0.0005833i,0.00066999-0.00039267i,-0.00030937-0.00061444i,-3.0913e-05-0.0012846i,0.00088794-0.0014623i,0.00085293-0.00091604i,0.00077666-0.001268i,0.00082056-0.0024333i,0.00012747-0.0024882i,-0.00048951-0.0013744i,-0.00055107-0.00053502i
-0.00092346+0.00041044i,-0.0014595+0.00070905i,-0.0017127+0.0012169i,-0.0022278-0.00030263i,-0.0016026-0.00069692i,-0.00055177+0.00052079i,-0.00018421+0.0010607i,0.0002586+0.00037593i,-0.00058221+0.00026739i,-0.0017639+0.00088462i,-0.00083833+0.0004921i,0.00052247-0.00050058i,-2.9255e-05-0.0010665i,-0.00087232-0.00049187i,-0.00021132-0.00081717i,0.00011377-0.0017633i,0.00033875-0.0014773i,0.00077016-0.00045347i,0.00060309-0.00025086i,0.00013836-0.00083977i,-0.00051742-0.00099967i,-0.00023373-0.0010998i,0.00044924-0.0011885i
-2.1083e-05-0.0013844i,-0.00020708-0.00034702i,-0.00078168+0.00047489i,-0.0017431+0.00032438i,-0.0028598+0.00059076i,-0.0015697+0.000904i,4.9057e-05+0.00091945i,0.00020434+0.00067371i,-0.00043265+0.00035182i,-0.0010306+0.00066571i,-0.00079973+0.00028766i,0.0003491-0.000254i,0.0014939-2.9042e-05i,0.0017389+0.00012346i,0.0011041+0.00055217i,0.00061936+0.00041188i,0.00081302+0.00021498i,0.00045039+0.00076664i,0.00032577+8.0864e-05i,0.00040579-0.00088547i,0.00030315-0.00069414i,-5.774e-05-0.00070369i,-0.00017525-0.0002661i
0.0026022-0.0015045i,0.00084947-0.0041259i,-0.0011624-0.0050071i,-0.0032311-0.0026705i,-0.0035273+0.00027935i,-0.0021394+0.001896i,-0.0012376+0.001691i,-0.00037456+0.00031328i,0.00016977-0.00012953i,-0.00063634-9.0616e-05i,-0.0010291-0.00013826i,-0.00048863-9.4954e-05i,-1.7781e-05+0.0002894i,-0.00036082+0.0012409i,-0.001013+0.0019579i,-0.0015964+0.0024972i,-0.0017293+0.0021937i,-0.0013644+0.0010629i,-0.00082807+0.0004886i,0.00017268+0.0007159i,0.00032669+0.0013025i,0.00054775+0.00050127i,0.0012464-8.3712e-05i
-0.00083155-0.0030149i,-0.00038014-0.0041756i,-0.0017668-0.0038681i,-0.0035095-0.0020989i,-0.0024823+5.7359e-05i,-0.00015686+0.0004516i,0.00014647-0.00036226i,0.00036039-0.0012329i,0.0011137-0.0010741i,0.00096321-0.0011279i,0.00020082-0.00062663i,-0.00074373+0.00041465i,-0.0011238+0.00093424i,-0.0010297+0.0016517i,-0.0015848+0.0015784i,-0.0016123+0.0015942i,-0.0010976+0.0011499i,-0.00077442+0.00072909i,-5.3276e-05+0.0010048i,0.00092279+0.001097i,0.0011954+0.00088806i,0.00098424+0.00088996i,0.00037184+0.0010038i
0.00091427-0.0026781i,0.0013775-0.0032779i,0.00077267-0.0034051i,-0.0014439-0.0011877i,-0.003459+0.0015616i,-0.0026264+0.0017096i,-0.00049952+0.00010856i,1.1532e-05-0.0010509i,-0.0007486-0.0020013i,-0.00099775-0.0019407i,-0.00078555-0.00099929i,-0.00083981-0.00059438i,-0.00043363-0.00059574i,-3.481e-05-0.00066094i,-0.00011102-8.6157e-05i,-0.00041647-0.00031631i,-0.00046572-0.0012057i,-0.00033778-0.0013041i,-0.0005866+7.699e-05i,-0.00171+0.0010771i,-0.0019119+0.0010272i,-0.0017962+0.00041796i,-0.0018022+8.3921e-05i
0.0027855-0.0012944i,0.0037613-0.00089691i,0.002011-0.0012617i,-0.00073788-0.0016901i,-0.0024872+7.1149e-05i,-0.0026684+0.0019293i,-0.0015236+0.0014428i,-0.0013375+0.00079863i,-0.0019934+0.00020405i,-0.001443-0.0009068i,-0.00093884-0.00056218i,-0.00089216-0.00026593i,9.3194e-05-0.00071713i,0.0001862-0.00048852i,-0.00044276-0.0011253i,0.0001638-0.0021194i,0.0005782-0.0023185i,0.00020256-0.0017576i,-0.00016172-0.00099507i,-0.00015078-0.00069293i,-0.00034472-0.0009884i,-0.00081836-0.00089879i,-0.00044109-0.00033929i
-0.00051356+0.001612i,0.00030159+0.001134i,0.00045916+0.00097381i,-0.00098755+0.0015655i,-0.0029159+0.0021014i,-0.0025784+0.0017768i,-0.0010411+0.0014331i,-0.001074+0.001528i,-0.0014962+0.0015322i,-0.00090865+0.0012841i,5.467e-05+0.00080054i,0.00021961-0.00034119i,-0.00022166-0.0010712i,0.00024712-0.00057963i,0.0011078-0.00032439i,0.00095659-0.00062124i,0.00067677-0.0010306i,0.00057432-0.0015705i,0.00043293-0.0014709i,-0.00073721-0.00098749i,-0.0011299-0.00045547i,-0.00015929-0.0001615i,0.00021155-0.00010864i
-0.00060315+0.0009574i,-0.0010842+0.00057005i,-0.00042482-1.821e-05i,-0.001051-0.00048396i,-0.0026139-0.00032422i,-0.0027688+0.00030062i,-0.0010764+0.00049879i,0.00055039+0.00089639i,0.00098845+0.0013483i,0.0011208+0.00071469i,0.00093946-0.00030686i,0.00039955-0.00025452i,-0.00062734+0.00077021i,-0.0012081+0.00077998i,-0.00094976+0.00064126i,-6.977e-05+0.0016806i,0.00084235+0.0021311i,0.00052332+0.0012509i,-0.0001797+0.00065915i,-0.0008328+7.7857e-05i,-0.00083573-0.00097291i,-0.00052837-0.0012113i,-0.00055142+0.00019556i
0.00012862-0.0010355i,0.00056823-0.001465i,0.00057025-0.00085422i,0.00023213-4.6926e-05i,-0.0013882+0.0010409i,-0.0020034+0.00049904i,-0.0011251-0.0002787i,0.00014655-0.00027085i,0.00088589-0.00041874i,0.00080554-0.00076298i,0.00013102-0.0009771i,-0.0013733-0.0010145i,-0.0016927-0.00045179i,-0.001152+7.1573e-05i,-0.00042431+0.0012833i,0.00034796+0.0023875i,0.0010026+0.0022878i,0.0012752+0.0015535i,0.0013395+0.00089449i,0.00085289-7.5984e-05i,0.00073324-0.00088538i,0.001038-0.00053321i,0.00064532+2.2145e-05i
0.0017657-0.00089391i,0.0015964-0.001715i,0.00013894-0.002458i,-0.0010026-0.0033457i,-0.00088827-0.0022373i,-0.00089314+6.7245e-05i,-0.00062727+0.00039885i,-6.4052e-05-0.00026081i,-0.00010133-0.0008655i,-0.0003709-0.0018415i,-0.000286-0.0020659i,-0.00019665-0.00080533i,4.7323e-05-0.00011349i,-4.439e-05+0.00021859i,-0.00042092+0.00051614i,-0.00061021+0.00056428i,-0.0007242+0.0005709i,-0.00063155+0.0011292i,-0.00054272+0.0010537i,0.00039124+0.00043014i,0.0013284-1.6946e-05i,0.0011989-0.00055475i,0.00084538-0.00010678i
0.0019831-0.0014633i,0.0015118-0.0013718i,-0.00041567-0.0025989i,-0.0013777-0.0025973i,-0.002097-0.0008075i,-0.0025988-9.1781e-06i,-0.0016308-0.00064812i,-0.0007993-0.0017676i,-0.001444-0.0024162i,-0.0020302-0.0020434i,-0.0016275-0.0012324i,-0.00047922-0.00069376i,0.00032574-0.00082847i,0.00017531-0.00081813i,0.0004451-0.00049166i,0.00057474-0.00094586i,-0.00011613-0.0015986i,-0.00093411-0.0013969i,-0.0011071-0.0007723i,-0.00075351+0.00011574i,-0.00076657+0.00054452i,0.00017682-0.0005004i,0.00084961-0.0004039i
-0.00034158-0.0010662i,-0.00024931-0.00099774i,-0.00070048-0.0011284i,-0.0024361-3.5953e-05i,-0.003716+0.001598i,-0.0025382+0.0022232i,-0.001159+0.0013319i,-0.0020857+0.00020976i,-0.0028323-0.00032351i,-0.0029048+0.00032415i,-0.0022086+0.00074171i,-0.00064146-0.00010026i,-0.00030141-0.0015141i,8.153e-05-0.0016643i,0.0010284-0.0012494i,0.00048862-0.0014144i,-0.0007202-0.00075659i,-0.0013883-7.88e-05i,-0.00086893+8.8812e-05i,-0.00051467+0.00025791i,-0.00044116+0.00033202i,-0.00043045+0.00015129i,-0.00054414+0.00016238i
-0.0017176-0.00049585i,-0.0010913-0.00015299i,-0.00073513-0.0016337i,-0.0010272-0.0016811i,-0.001094+0.00096238i,-0.00053197+0.0018342i,-0.001018+0.00076972i,-0.0013238+0.0011833i,-0.0010561+0.0025149i,-0.00026729+0.0023649i,0.00079075+0.0013215i,0.00060016+0.00031464i,-5.4307e-05-0.0013424i,0.00028354-0.0018531i,0.0013495-0.00067919i,0.0011454-0.00048552i,-1.1456e-05-0.0013196i,-0.00045222-0.0016515i,-0.00023826-0.0011409i,-0.00025027-0.00062629i,0.00014236-0.00027414i,0.00058083-8.3075e-05i,0.00019831+0.00025276i
0.00055332-7.7502e-05i,0.00020257-0.00022579i,0.00031613-0.0010596i,-0.001145-0.0021178i,-0.0019119-0.0027127i,-0.00073294-0.001743i,0.00031819-0.0006689i,0.0011333-0.00019911i,0.0020346+0.0003002i,0.0023397+7.3935e-05i,0.0012025-0.00072669i,-4.6417e-05-0.00023702i,-0.00037933+0.00070011i,-0.00043986+0.0013809i,-0.00048907+0.0020425i,0.00012689+0.0024252i,0.00025162+0.0018096i,-0.00028216+0.00092201i,-0.00089496+0.00029724i,-0.0010006-0.0005772i,-0.00057452-0.00069989i,-0.00024831-0.00017253i,0.00052285-4.2508e-05i
0.00141-0.0028076i,0.00082801-0.0022866i,-0.0009118-0.0024389i,-0.0021781-0.0028756i,-0.0019137-0.0012493i,-0.0015926+0.00064543i,-0.00050689-0.00064342i,0.0006756-0.0015977i,0.00092478-0.0019192i,0.00077249-0.0023448i,-0.00054526-0.0020363i,-0.0013207-0.0010584i,-0.0010008-1.1401e-05i,-0.00091594+0.00088815i,-0.0010137+0.0014951i,-0.0010942+0.0016489i,5.164e-05+0.001431i,0.0010231+0.00040133i,0.00091755+0.00010702i,0.00059128+0.00019331i,-1.3213e-05-0.00044219i,-9.6526e-05-0.00076459i,-0.00015595-0.00099363i
0.00047449-0.002393i,0.0010475-0.0015613i,-0.00034615-0.00020512i,-0.0025379+0.0014067i,-0.0032566+0.0021112i,-0.0012412+0.0025716i,0.00012502+0.0023423i,-0.00072563+0.0014741i,-0.0025555+3.5097e-05i,-0.0033426-0.0013252i,-0.0024051-0.00073109i,-0.0010156-0.00038987i,0.00029513-0.00067281i,0.00031441-0.00091722i,-0.00046039-0.00069202i,-0.00089936+0.00010736i,-0.00055046+0.00033625i,0.00018047+0.00071997i,0.00050888+0.001466i,0.00084435+0.001437i,0.001102+0.0010514i,0.0014036+0.00086718i,0.00078016+0.00013445i
