-0.00063821+0.00014117i,-0.0010357-0.0013852i,-0.002315-0.0010897i,-0.0018892-0.00089235i,-0.00082406+0.00025394i,-7.8056e-05+0.001446i,-0.00021137+0.0018039i,-0.00022406+0.0022283i,0.00064604+0.0018759i,0.00071971+0.00074712i,9.5968e-05-0.00055001i,4.8987e-05-0.0011211i,4.7272e-05-0.001295i,-0.00022834-0.001308i,3.0809e-05-0.0010356i,3.8549e-05-0.0007162i,0.00035811-0.00011188i,0.00045836-3.6621e-05i,0.00024439+6.9838e-05i,-0.00052033+0.0002916i,-0.00024257+0.00046155i,0.00010708+0.00032119i,-0.00012364+0.00030869i
-0.0035327-0.018597i,0.0061373+0.0047786i,0.010288+0.020053i,0.008725+0.015808i,0.0065273+0.0065357i,0.0074643+0.0015418i,0.0075872-0.0014031i,0.0041527-0.003341i,0.0003064-0.0025582i,-0.0015413-0.00089233i,-0.001382+0.00045708i,-0.0011328+0.0020021i,-0.0014342+0.0030699i,-0.0016007+0.0030676i,-0.0017887+0.0018529i,-0.0011133+0.00088464i,-0.00099957+0.00078482i,-0.0014032+0.00059846i,-0.0013455+0.00075584i,-0.00089737+0.00067703i,-5.2596e-05+0.00067171i,-0.00028236+0.0012266i,-0.00058127+0.0010995i
-0.019262+0.00034276i,0.0063903-0.0047569i,0.023074-0.0057683i,0.01825-0.0060397i,0.0088601-0.0059007i,0.0047914-0.0071332i,0.0021535-0.0073882i,-0.00043165-0.0046208i,-0.0010948-0.001642i,-0.00068104-0.00012961i,7.6783e-05+0.00026757i,0.00043642+0.00022414i,0.00018816+0.00010609i,4.9878e-06+0.00060914i,-0.00022814+0.00097857i,-0.000444+0.00026637i,0.00033803-0.00046189i,0.0010773-0.00043631i,0.00042185+0.00045492i,-7.3526e-05+0.00085315i,0.00043165+0.00049522i,0.0017741+0.000158i,0.0029386+0.00045987i
-0.0056885+0.022628i,-0.007407-0.0045371i,-0.0062988-0.020926i,-0.0052261-0.015522i,-0.0043548-0.0064328i,-0.0054172-0.003577i,-0.0060377-0.0020075i,-0.0035291+0.00033395i,-0.00087578+0.0018386i,0.00083614+0.00085921i,0.0014628-0.0015548i,0.0012853-0.0035387i,0.00068938-0.0039139i,7.0573e-05-0.0030575i,0.00099982-0.0018101i,0.0015612-0.0013071i,0.0014711-0.0005235i,0.002006-0.00012135i,0.0017878-0.00079358i,0.0015662-0.00043713i,0.00049413+0.00059804i,-0.00021167+4.3716e-06i,0.00064823-0.0010328i
0.020024+0.016355i,-0.006524+0.011898i,-0.020473+0.0053303i,-0.013606+0.0035195i,-0.0036542+0.0032837i,-0.0013993+0.0040769i,-0.0016837+0.004849i,-0.00039516+0.0024651i,0.00089+0.000353i,0.00097429-0.00045227i,0.00028954-0.0015408i,0.00026932-0.0023686i,0.00074143-0.0032421i,0.00038722-0.0038339i,-0.00018707-0.0032276i,-0.00011933-0.0019802i,0.00026837-0.0010404i,0.00076303-0.0010878i,0.00059268-0.00093026i,-0.00030237-0.00051851i,-0.00062958-0.00095325i,-0.0008128-0.0010781i,-0.0017021-0.00042654i
0.022913-0.021353i,0.012992+0.0036942i,0.0033648+0.018179i,0.0024961+0.012621i,0.0038554+0.0037234i,0.005109+0.0022117i,0.0065882+0.0023848i,0.0057043+0.00078668i,0.002138-0.00050543i,-0.00045404-0.00039813i,-0.0010065+0.00096421i,-0.001264+0.003128i,-0.00078241+0.003551i,0.000506+0.0019394i,0.00030256+0.0010003i,-0.00028592+0.0020546i,0.00049632+0.003098i,0.00029688+0.0024788i,-0.0011958+0.0012911i,-0.0015658+0.00020418i,-0.0010953-0.00032339i,-0.001229+0.00019834i,-0.0013587+0.00076625i
-0.013963-0.029968i,0.0072673-0.015977i,0.019347-0.0041328i,0.014528-0.0032102i,0.0061865-0.0058368i,0.0048522-0.0067649i,0.004803-0.0064356i,0.0022353-0.0050031i,0.000221-0.0026487i,-0.00069391-0.00025082i,-0.00034941+0.0020524i,0.000795+0.0042865i,0.0015599+0.0041712i,0.0018881+0.0023933i,0.0015801+0.0015184i,0.0011347+0.0011715i,0.000195+0.0019457i,-0.00097675+0.0025752i,-0.0010407+0.002133i,-0.00086334+0.00077381i,-5.5433e-05-0.00017231i,0.0010312+0.00018548i,0.0016164+0.0011824i
-0.032032+0.008743i,-0.013534-0.011768i,0.0018266-0.021671i,0.0018343-0.015473i,-0.0012085-0.0071486i,-0.0020338-0.0049884i,-0.0031353-0.0036888i,-0.0030554-0.00096775i,-0.0016024+0.00017655i,-0.0007668+6.4888e-05i,-0.00045707-0.00051352i,-0.00046333-0.00033361i,-0.0010253+0.00035023i,-0.00052873+0.00050699i,0.00039566-0.00029638i,0.00075127-0.00076632i,0.00084446-0.00034593i,0.00058804-2.3659e-05i,0.0010009+0.00074479i,0.0010927+0.0010726i,0.00040312+0.00022502i,0.00075783-1.7686e-05i,0.0013129-2.2384e-05i
-0.0020724+0.042643i,-0.0176+0.021218i,-0.022776+0.0026125i,-0.014717-6.2001e-05i,-0.0048746+0.00089431i,-0.0027015+0.00062101i,-0.0035663+0.0024867i,-0.0015537+0.0036111i,0.00092211+0.0025354i,0.00095162-7.9306e-05i,-0.0010623-0.0028363i,-0.0036475-0.0041621i,-0.0048308-0.0040107i,-0.0036013-0.0027641i,-0.0017257-0.0020543i,-0.0011007-0.0016377i,-0.00040364-0.0018682i,0.00047913-0.0021296i,0.00053942-0.00084381i,0.00017391-0.00020921i,-0.00036279-0.00022855i,-0.00026885+0.00021362i,0.00021686+0.00020402i
0.045008+0.0088863i,0.01923+0.01959i,-0.00031397+0.022407i,-0.00076049+0.01636i,0.003382+0.008507i,0.003721+0.0063816i,0.0040262+0.0060729i,0.0045185+0.0021855i,0.0030248-0.00061174i,0.00060193-0.0010034i,-0.0019409-0.0010178i,-0.00387-0.00051846i,-0.0038802-0.00024799i,-0.0030977+0.00014914i,-0.0020418-0.00010487i,-0.00059388-0.00056527i,0.00010872-0.0005016i,-0.00020606-0.0011487i,-0.0010342-0.0017688i,-0.00081641-0.0010507i,-0.00018807-1.9445e-05i,-0.00041542+0.00091779i,-0.0015314+0.0011301i
0.022567-0.043178i,0.028505-0.01753i,0.026745+0.0026733i,0.019019+0.0031124i,0.010322-0.0011372i,0.0079178-0.00063689i,0.0082852-0.00084007i,0.0047368-0.0019344i,0.00073748-0.0015219i,-0.00089826+0.00025941i,-0.00017062+0.0020545i,0.0023011+0.0019482i,0.003447+0.00053978i,0.002082+0.00035867i,0.00071635+0.00095341i,0.0012043+0.0013659i,0.001348+0.0021861i,0.0011195+0.0022571i,0.0008934+0.0004586i,-8.3437e-05-0.00070926i,-0.00084795-0.00038315i,-0.00013239+0.00010899i,0.00041181+0.00099745i
-0.040414-0.03591i,-0.015045-0.037851i,0.0047905-0.031353i,0.0051467-0.023195i,0.00021717-0.014918i,1.3016e-06-0.010473i,0.0005664-0.0086099i,-0.00076387-0.0050761i,-0.0020211-0.0017532i,-0.00098727+0.00032893i,0.0014218+0.0017865i,0.0038781+0.0018746i,0.0055866+0.0011834i,0.0044907+0.00069376i,0.0029393+0.00058454i,0.0022588+0.0011857i,0.0027656+0.0023736i,0.0031651+0.0026171i,0.0016102+0.0020982i,3.1103e-05+0.0012766i,3.8881e-05+0.00033106i,0.00079362-0.0004074i,0.0010516-0.00035815i
-0.043354+0.034833i,-0.03859+0.0078948i,-0.028976-0.011769i,-0.021514-0.010425i,-0.013474-0.0034848i,-0.0095554-0.002924i,-0.0076862-0.0029076i,-0.0041273+0.00053897i,-0.0012456+0.002336i,0.00018714+0.0006013i,0.00036538-0.00169i,-0.00025447-0.0021968i,-0.0010653-0.0016914i,-0.0010578-0.0005688i,-0.00024247+7.1235e-05i,-0.00012817-7.7623e-05i,-0.00056748-0.00010858i,-0.00011628-4.1834e-05i,0.0004204+0.00019605i,0.00042333+0.00044803i,0.00017688+0.0010877i,1.502e-05+0.00080196i,-7.4163e-05-0.00088273i
0.028606+0.056209i,0.0053965+0.045908i,-0.011429+0.031068i,-0.0093705+0.024017i,-0.0012071+0.016978i,0.00022772+0.010636i,-0.00077658+0.0083795i,0.00055254+0.005583i,0.0018355+0.0017434i,0.0011287-0.0005421i,-0.0014963-0.0012752i,-0.0049042-0.00059836i,-0.006723+0.0016347i,-0.0049909+0.0024884i,-0.0027882+0.00035243i,-0.001969-0.00083839i,-0.0023883-0.00034514i,-0.0027123-0.0010095i,-0.0011355-0.001104i,0.00077926-0.00015051i,0.00092067+0.0010223i,0.00046988+0.0017486i,0.00047059+0.00080711i
0.063475-0.012638i,0.050482+0.0078919i,0.034586+0.019545i,0.028032+0.014769i,0.021501+0.0058773i,0.014927+0.0028978i,0.010463+0.0031145i,0.0063202+0.0011639i,0.0020186-0.0014818i,-0.0012564-0.0018432i,-0.0038792-0.0002982i,-0.0047711+0.0014381i,-0.0035214+0.0026112i,-0.002344+0.0024984i,-0.00096608+0.0016474i,-0.00015297+0.00077852i,-0.00068114+9.8911e-05i,-0.0014528-0.00085927i,-0.0021264-0.0011934i,-0.0010399-0.00031623i,0.00057337+0.00056132i,0.00094044+0.00065684i,0.00054877+0.00084065i
-0.0027227-0.071581i,0.013407-0.055077i,0.021982-0.033507i,0.01759-0.024136i,0.0086049-0.018622i,0.0066069-0.012272i,0.0069417-0.0081658i,0.002888-0.0053421i,-0.001163-0.0029903i,-0.0022535-0.0010413i,-0.00024413-7.105e-05i,0.0032806-0.00039395i,0.0047603-0.00087757i,0.0038685-0.00029327i,0.0033394+0.00072857i,0.0032152+0.0012963i,0.0021536+0.0005577i,0.00048489-0.00056641i,-6.0369e-05-0.0010398i,5.144e-05-0.0010983i,-0.00035826-0.001393i,-0.00013536-0.0018805i,-0.00018233-0.0014281i
-0.07246-0.015348i,-0.053436-0.027631i,-0.032617-0.031426i,-0.024865-0.024181i,-0.01838-0.013831i,-0.011163-0.0084563i,-0.0071724-0.0056188i,-0.0046343-0.0025832i,-0.0019753-0.00018897i,0.000821+0.0013205i,0.0035412+0.0006537i,0.0042767-0.0022331i,0.0029783-0.004914i,0.002055-0.004274i,0.0027632-0.0020055i,0.003871-0.00098719i,0.0031894-0.00051363i,0.0020776-0.00011285i,0.00165-0.00067663i,0.00099075-0.00056258i,-0.00070163-0.00014609i,-0.001734-0.0012269i,-0.001559-0.0018457i
-0.030309+0.069197i,-0.038448+0.050001i,-0.037491+0.028821i,-0.028152+0.022151i,-0.015713+0.017726i,-0.0076922+0.010605i,-0.0048787+0.0062709i,-0.0023453+0.0045505i,-4.411e-07+0.0028268i,0.0013508-8.7695e-06i,0.0018313-0.001834i,0.00065678-0.0012621i,-0.00084738-0.00059824i,-0.00031408-0.00045773i,0.00092086-0.00016893i,0.00063182+0.00079169i,0.00014185+0.0015722i,0.00062644+0.001792i,0.0011631+0.001191i,0.00051793+0.00063323i,8.583e-05+0.00026705i,-0.00011739-0.00022535i,-0.000935-0.00036965i
0.070478+0.050633i,0.051198+0.051067i,0.029007+0.042762i,0.020771+0.030969i,0.016864+0.017267i,0.011007+0.0095828i,0.007517+0.0068616i,0.0054218+0.0042982i,0.0029203+0.0016163i,0.0011098-0.00031998i,-0.0008285+0.00070642i,-0.0028946+0.0038341i,-0.0027764+0.0052593i,-0.0015005+0.0041714i,-0.0014459+0.0020572i,-0.0017665+0.0010402i,-0.0020212+0.0008925i,-0.0018017+0.00099318i,-0.00086155+0.00091492i,-0.00047977+0.00092295i,0.00049131+0.00046877i,0.0011014+0.00070237i,0.0010203+0.0018375i
0.065161-0.057129i,0.06215-0.039841i,0.050531-0.020986i,0.036776-0.015161i,0.022621-0.01313i,0.014793-0.0073728i,0.011371-0.0043084i,0.0069354-0.0042952i,0.0029705-0.0034697i,-0.00038011-0.0014179i,-0.0030325+0.0019981i,-0.0030564+0.0052639i,-0.0012429+0.0058152i,-0.0004+0.0036501i,-0.00075857+0.0017351i,-0.0017515+0.00077777i,-0.0024251-2.0241e-07i,-0.0028672-0.00015316i,-0.0015733+0.00015143i,0.00021038+0.00017815i,0.0013881-0.00013602i,0.0021927-0.00012696i,0.0021302+0.00042748i
-0.047254-0.076254i,-0.032206-0.069047i,-0.014774-0.052173i,-0.008913-0.037834i,-0.0072551-0.024851i,-0.0032924-0.015877i,-0.0012486-0.011856i,-0.0014187-0.0074036i,-0.0025992-0.0024015i,-0.002689+0.00091866i,-0.00051785+0.0019544i,0.0010975-3.1907e-05i,0.00090148-0.0034878i,0.00069871-0.0041277i,0.0017981-0.0025653i,0.0014934-0.002028i,8.2602e-06-0.0015011i,-0.00024541-0.0014624i,-0.00039148-0.0021783i,-0.0010766-0.0013712i,-0.0015298-0.00043252i,-0.0014062-0.0012165i,4.2126e-05-0.002237i
-0.088729+0.029968i,-0.079018+0.017346i,-0.058828+0.0044617i,-0.042054+0.0032342i,-0.026979+0.004729i,-0.015486+0.0018533i,-0.0097088-0.00014862i,-0.0056068+0.00088096i,-0.0027309+0.0020297i,-0.000212+0.0016592i,0.0016749-0.0012194i,0.00069071-0.0047896i,-0.0019619-0.0058294i,-0.0022269-0.0035997i,-0.00036341-0.0015273i,0.0012528-0.0015754i,0.0019081-0.001179i,0.0013834-0.0011476i,-8.5796e-05-0.00091565i,-0.0010973+0.0013183i,-0.0015423+0.0022184i,-0.0024185+0.0015408i,-0.0032383+7.7721e-05i
0.014038+0.094884i,0.0051228+0.082515i,-0.0036802+0.0589i,-0.0022463+0.041309i,0.0021585+0.02744i,0.0016303+0.016513i,0.0011171+0.010342i,0.0020609+0.006294i,0.0021819+0.0033573i,0.0023199+0.00013448i,0.0020687-0.0028643i,0.00058751-0.0034159i,-0.0010266-0.0022072i,-0.00063836+0.00041451i,0.00039345+0.0023128i,0.00058478+0.0019703i,0.0013311+0.0015913i,0.0022271+0.00070668i,0.0014915+0.00011918i,0.00051677+0.00083542i,0.0005464+0.0010747i,-0.00044783+0.0015889i,-0.0018794+0.0015911i
0.1026+0.0086415i,0.088927+0.013316i,0.063171+0.016306i,0.044973+0.011083i,0.030681+0.0038813i,0.018932+0.0012916i,0.012349+0.00093396i,0.0083482+0.00016994i,0.0048578-0.0009961i,0.0019378-0.0021041i,-0.0004043-0.00012535i,-0.00029759+0.0029616i,0.0017711+0.0031789i,0.0017273+0.0021756i,0.00068958+0.001974i,6.99e-05+0.0021792i,0.00055836+0.0025865i,0.0012237+0.0021439i,0.0020412+0.0004615i,0.0027293-0.0011248i,0.0025395-0.0011723i,0.0024473-0.00014105i,0.0021264+0.00043897i
0.03241-0.098673i,0.032597-0.085963i,0.029398-0.061117i,0.0199-0.043649i,0.010372-0.029714i,0.007381-0.017433i,0.0056319-0.011242i,0.0023597-0.0085531i,-0.00031217-0.0049868i,-0.0017967-0.00072589i,-0.0018465+0.0034679i,8.3715e-05+0.0054444i,0.0025558+0.0038726i,0.0029507+0.00082865i,0.00071606-0.00032959i,-0.0016322-0.00052413i,-0.0017401-8.7261e-06i,-0.0018701+0.00082515i,-0.0012017-0.00010099i,-8.9048e-05-0.0019202i,0.00066644-0.0030933i,0.0021869-0.0029003i,0.0031086-0.0025262i
-0.093046-0.052257i,-0.081997-0.048443i,-0.057781-0.040005i,-0.040435-0.026964i,-0.027065-0.013796i,-0.014636-0.006709i,-0.0084265-0.0042257i,-0.006081-0.0022661i,-0.0050762+0.00018968i,-0.0032509+0.0021846i,-0.00098732+0.0025487i,-0.00024049+0.0011491i,-0.00030047+0.00034714i,-0.00039755+0.00030076i,6.1634e-05-0.001063i,0.00036424-0.0026174i,-0.00093857-0.001971i,-0.0030517-0.000632i,-0.0030693+0.00015103i,-0.0015272+0.0010521i,-0.0015818+0.00057618i,-0.0016958-0.0011054i,-0.00085638-0.0024751i
-0.074151+0.081176i,-0.067341+0.073009i,-0.052463+0.05225i,-0.035146+0.037758i,-0.018419+0.025423i,-0.0081481+0.014002i,-0.0036042+0.0087481i,-0.0017809+0.0068843i,-0.0018571+0.0049276i,-0.00084333+0.0024584i,5.477e-06-0.00064518i,-0.002115-0.0022222i,-0.0040278-0.00054917i,-0.0034329+0.0014903i,-0.00056947+0.0012774i,0.00065706+5.0855e-05i,0.00055212-0.00087549i,-4.3413e-05-0.0013686i,-0.0011982+0.00031132i,-0.001251+0.0017199i,-0.00088159+0.0025847i,-0.0019445+0.0034546i,-0.0030539+0.0026729i
0.067971+0.089442i,0.06367+0.077731i,0.045714+0.058442i,0.033808+0.039294i,0.024516+0.020682i,0.014464+0.0095704i,0.010166+0.006016i,0.0082078+0.004136i,0.0047271+0.0020918i,0.001568-0.0014811i,-0.00070937-0.004392i,-0.0023717-0.0035035i,-0.0025496-8.8772e-05i,-0.0017651+0.0012515i,-0.00020549+0.0013768i,0.001935+0.0012296i,0.0030837-0.00016107i,0.0031641-0.0012012i,0.0021222-0.0013507i,0.00095216-0.00046662i,0.0012705+0.00094019i,0.0017143+0.0021909i,0.0010933+0.0032093i
0.10618-0.049377i,0.095392-0.048983i,0.069725-0.035503i,0.047338-0.025739i,0.028795-0.018782i,0.01621-0.010829i,0.010668-0.0069757i,0.0063664-0.0065096i,0.0030319-0.0049427i,0.0010645-0.0027158i,3.7718e-05-0.00035325i,0.00065963+0.00069004i,0.0019815-0.00072967i,0.0025449-0.0010301i,0.0024466+0.00035967i,0.0019931+0.00051364i,0.0022679-0.00012473i,0.0025147-0.00063604i,0.0024914-0.0015312i,0.0021748-0.0031806i,0.0020585-0.0042158i,0.0025264-0.0027933i,0.0031061-0.00069913i
-0.026006-0.11176i,-0.029122-0.10091i,-0.020777-0.073233i,-0.016547-0.048714i,-0.01318-0.029566i,-0.0067016-0.016736i,-0.004424-0.010925i,-0.0042871-0.0070677i,-0.0021093-0.0031468i,-0.00021948+0.00037682i,0.00098628+0.0036129i,0.0028672+0.0034975i,0.0032368-0.00020868i,0.0013841-0.0028657i,-0.00044592-0.0024745i,-0.0014108-0.00070972i,-0.001793+0.00070585i,-0.0011643+0.0011528i,-0.00028968+0.00014083i,-0.00067668-0.0021506i,-0.00088405-0.0036534i,-0.00062766-0.0034788i,-0.00022345-0.0035105i
-0.11731+0.0056087i,-0.10695+0.01403i,-0.076948+0.011055i,-0.050804+0.0099026i,-0.030933+0.01002i,-0.017139+0.0065972i,-0.010236+0.0037752i,-0.0062507+0.0032466i,-0.0025286+0.0029678i,0.00014254+0.0023845i,0.0019841+0.0025169i,0.0022901+0.0021539i,0.00097279+0.00090066i,-0.00019913-0.00077418i,-0.00096997-0.002074i,-0.0013123-0.00111i,-0.0018507+0.0021767i,-0.0020313+0.0042142i,-0.0016255+0.0037658i,-0.0018269+0.0020608i,-0.0029604+0.00054969i,-0.0035566-0.00082017i,-0.0038183-0.0021367i
-0.020156+0.11715i,-0.0064878+0.11009i,-0.0020972+0.07981i,0.0014765+0.052648i,0.0047316+0.031726i,0.0045876+0.017097i,0.0044496+0.0105i,0.0037002+0.0063387i,0.0011321+0.0030398i,-0.00060967+0.0004754i,-0.0020401-0.0023444i,-0.003211-0.0021047i,-0.002089+0.0016292i,0.00056378+0.0028602i,0.0020961+0.0010624i,0.0018716-0.00085135i,0.00085911-0.0010998i,0.00014247+1.2085e-05i,-0.00067642+0.0015776i,-0.0011307+0.0031841i,-0.00052886+0.0043193i,-0.00032987+0.0047015i,-0.00044807+0.0040784i
0.11288+0.041694i,0.10912+0.023466i,0.079092+0.012959i,0.053016+0.0056075i,0.034283-0.00099487i,0.020332-0.0025631i,0.013767-0.0017658i,0.0099843-0.0012403i,0.0048878-0.00089707i,-0.00020495-0.002215i,-0.0043427-0.0032698i,-0.005717-0.0015901i,-0.0032502+0.0010126i,0.0002893+0.0022561i,0.0026268+0.0023323i,0.0031595+0.0011668i,0.0024038-0.0010425i,0.0010993-0.0030416i,0.0004986-0.002578i,0.00098621-0.00025215i,0.0024059+0.0015972i,0.0036346+0.0025277i,0.0034714+0.003516i
0.064758-0.10136i,0.044047-0.10421i,0.026047-0.076881i,0.013481-0.05039i,0.0047224-0.032408i,0.0026998-0.018936i,0.0036264-0.01233i,0.0023367-0.0090589i,0.001575-0.0055137i,0.0008743-0.002367i,-0.0010592-0.00017725i,-0.0015661+0.00061166i,-0.0011098-0.00010687i,-0.00074452-0.00044927i,0.00045395-0.00011379i,0.0021849+5.0911e-05i,0.0022571-0.0016482i,0.00093702-0.0031598i,3.7149e-05-0.0039434i,-0.00033019-0.0040326i,8.7519e-05-0.0036342i,0.0010794-0.0034904i,0.0020773-0.0028359i
-0.086098-0.082818i,-0.095151-0.062405i,-0.071754-0.038825i,-0.046135-0.020638i,-0.029873-0.009012i,-0.017873-0.0043443i,-0.010561-0.0028133i,-0.0073114-0.0017136i,-0.0030104-0.0018382i,0.0015016-0.00025937i,0.0050924+0.0025519i,0.0054147+0.0018722i,0.0015223-0.0010736i,-0.0027628-0.002028i,-0.0042088-0.0015892i,-0.0026354-0.0015405i,-0.00084311-0.00077319i,0.00073091-0.00036607i,0.001821-0.0010309i,0.00057806-0.0018998i,-0.0012468-0.0031821i,-0.0019739-0.0040367i,-0.0019946-0.0040978i
-0.096466+0.06775i,-0.075186+0.083692i,-0.04592+0.06438i,-0.024983+0.040714i,-0.012369+0.026369i,-0.0057874+0.016133i,-0.0035406+0.011122i,-0.0030791+0.0081265i,-0.0029139+0.0044695i,-0.00073739+0.0022174i,0.0021538+0.0005243i,0.0035981-0.00074069i,0.0021616-0.00097642i,-0.0008307-0.00023662i,-0.0030876+0.00028422i,-0.0034769+0.0014509i,-0.0021299+0.0029605i,-7.0526e-05+0.0029724i,0.00085206+0.0018636i,-0.00014875+0.0014462i,-0.0019064+0.0020356i,-0.0037181+0.001869i,-0.0048389+0.00081671i
0.048318+0.10443i,0.069495+0.08581i,0.055638+0.052917i,0.036098+0.028437i,0.026228+0.014836i,0.018867+0.0077092i,0.013472+0.0052343i,0.0084399+0.0040215i,0.0028637+0.0032041i,-0.00076669+0.0016471i,-0.0029339-0.0001865i,-0.0031325-0.0004449i,0.00040193+0.00076018i,0.0040436+0.0010701i,0.0037522+0.00093223i,0.0014048+0.0016151i,-0.00042667+0.0030499i,-0.0013098+0.0037127i,-0.00026655+0.0029483i,0.0015054+0.0021487i,0.0016884+0.0027342i,0.0012546+0.0039548i,0.0011102+0.0040627i
0.11167-0.025867i,0.096251-0.053217i,0.060018-0.045543i,0.033196-0.027973i,0.020834-0.019354i,0.014054-0.013554i,0.010599-0.0093349i,0.0076115-0.0066523i,0.0035773-0.0034878i,-0.00088889-0.0017436i,-0.0051757-0.00054123i,-0.0054006+0.00081832i,-0.00080118+0.0011936i,0.0030476+0.00055422i,0.0045867+0.00023617i,0.0050841+0.00087888i,0.0036159+0.00054673i,0.00092081-0.0010411i,-0.0006004-0.00077707i,0.0003956+0.0003719i,0.0022894+0.00012912i,0.0043741-0.00017873i,0.0059759+2.7275e-05i
-0.0063831-0.11045i,-0.040111-0.10208i,-0.040499-0.064512i,-0.025203-0.033499i,-0.015086-0.018904i,-0.0091518-0.012576i,-0.0056291-0.0097443i,-0.0034208-0.0073428i,-0.00055515-0.0049672i,0.00014051-0.0029336i,-0.00033546-0.00022433i,-0.00022704+0.002029i,-0.00041401+0.0027006i,-0.00055839+0.0017693i,0.00042823+0.00011132i,0.0015768-0.0023134i,0.0011691-0.003674i,-0.00082122-0.002553i,-0.0019148-0.0017842i,-0.0017075-0.0023999i,-0.001406-0.0030807i,0.00030592-0.003597i,0.0018949-0.003913i
-0.10811-0.015854i,-0.10602+0.0221i,-0.067699+0.030303i,-0.034257+0.019475i,-0.019339+0.011922i,-0.011923+0.0082101i,-0.0081693+0.0053844i,-0.0056605+0.0027939i,-0.002351+0.00020857i,0.0014986-0.00086157i,0.0048653-0.00048235i,0.0038696-0.00015076i,-0.00039791+0.00073051i,-0.0033549+0.0025325i,-0.0037261+0.0026572i,-0.0032419+0.00077248i,-0.0025479-0.00065799i,-0.00081313-0.0018218i,-0.00081736-0.0013128i,-0.0028827-0.0003915i,-0.0042058-0.0008857i,-0.0051182-0.0013903i,-0.0055727-0.00078281i
-0.031177+0.099957i,0.0080227+0.10501i,0.022794+0.067739i,0.016661+0.032864i,0.010612+0.018656i,0.0074892+0.012288i,0.0054249+0.0095542i,0.0029389+0.007605i,0.00042407+0.0048926i,0.0011734+0.003253i,0.0030817+0.0009201i,0.0029674-0.0017308i,0.0015976-0.0018661i,-0.00071005-0.00028989i,-0.0030862+0.00094006i,-0.0024954+0.0021404i,-0.00041971+0.0023407i,0.00085677+0.0015315i,0.00047645+0.00078599i,-0.00014818+0.0013992i,-5.5751e-05+0.0026199i,-0.0012517+0.0034689i,-0.0029158+0.0038828i
0.091846+0.047305i,0.10795+0.0093454i,0.07426-0.011426i,0.038396-0.010742i,0.023739-0.0074273i,0.017487-0.0057758i,0.013216-0.0020995i,0.0088756+0.0012256i,0.0037074+0.0025015i,-0.00015147+0.0021572i,-0.0028807+0.00045515i,-0.0034076-0.001886i,-0.00056975-0.0034367i,0.0013744-0.0028551i,0.0013154-0.00060987i,0.0025188+0.0023079i,0.0032776+0.0037346i,0.0028257+0.0025202i,0.0021104+0.0011291i,0.0026702+0.00092136i,0.0036489+0.00089018i,0.003618+0.0014168i,0.0032132+0.0021835i
0.0618-0.077672i,0.025534-0.10299i,-0.0029784-0.07351i,-0.0071998-0.03596i,-0.0021977-0.019747i,-0.00015116-0.014091i,0.00096617-0.011558i,0.0019117-0.0088073i,0.0013966-0.0046235i,-0.0017789-0.0015907i,-0.005244+0.00075076i,-0.0044615+0.0023482i,-0.0014674+0.0012913i,0.00089397-0.0005907i,0.0022999-0.00088368i,0.0026862-0.00038108i,0.0020517-0.00016946i,0.00063523+0.00051974i,0.0010784+0.0014029i,0.0018459+0.0007112i,0.0018926-0.0014815i,0.0027932-0.0025292i,0.0027553-0.0032233i
-0.065243-0.065974i,-0.099965-0.03455i,-0.076197-0.003261i,-0.037163+0.0064545i,-0.019018+0.0051964i,-0.012027+0.0032057i,-0.007596+8.9242e-05i,-0.0057784-0.0029017i,-0.004144-0.0042158i,-0.0028887-0.0033951i,-0.00073516-0.00074425i,0.00094243+0.0026285i,0.00061603+0.004415i,0.00022396+0.0032023i,0.00043007+0.00055578i,-0.00086416-0.001758i,-0.0026422-0.0023952i,-0.002364-0.0014774i,-0.0015207-0.00023681i,-0.0012406-0.00050772i,-0.0014521-0.0014527i,-0.0023199-0.0024892i,-0.0028371-0.003471i
-0.078083+0.050417i,-0.054361+0.091051i,-0.017008+0.073671i,0.00052524+0.036175i,0.0014577+0.018171i,0.0016169+0.012005i,0.00070864+0.0087149i,-0.001571+0.0060341i,-0.002534+0.0033826i,-0.00058792+0.0012466i,0.0030624-0.00026468i,0.0042522+6.3565e-05i,0.0024035+0.0010654i,0.00059831+0.0015135i,-0.0011035+0.00081043i,-0.0029116-0.00045479i,-0.0034135-0.0010926i,-0.0022873-0.0012329i,-0.00079827-0.00099533i,-0.001718-2.7603e-05i,-0.0034769+0.00093782i,-0.003292+0.0018236i,-0.0024589+0.0023176i
0.038345+0.075487i,0.084906+0.058834i,0.07456+0.020847i,0.038389+0.00038005i,0.019222-0.00011702i,0.013385+0.00093125i,0.010643+0.00090238i,0.0078727+0.0024589i,0.0047511+0.0041966i,0.0036885+0.0033152i,0.0032536+0.00053895i,0.0011071-0.0020112i,-0.00088407-0.0021869i,-0.00076171-0.00026646i,-0.0012191+0.000917i,-0.0017364+0.00092405i,-0.00060188+0.00052437i,0.00023796-2.3855e-05i,-0.00082906-0.0010272i,-0.0013625-0.00073808i,-0.00073188+0.0018683i,1.0234e-05+0.0041805i,0.00086092+0.005088i
