-0.0011227-0.0014012i,-0.0010504-0.0019248i,-0.0015334-0.0016672i,-0.0011415-0.00055193i,-0.00086859+0.00069636i,-0.00055087+0.0014586i,-0.00020397+0.0013452i,0.00056243+0.00065958i,0.0014882+4.6527e-06i,0.0016134-0.0010614i,0.00093343-0.0011358i,0.00018761-0.00057062i,0.00051453-0.00077848i,0.00067451-0.00089047i,0.00024881-0.00022162i,-0.00026548+0.00042084i,-0.00034536+0.00035172i,-0.00024862+0.0003324i,-0.001034+0.00029272i,-0.0010661-1.2899e-06i,-0.00022286-0.00045879i,0.00015692-0.00084985i,2.1289e-05-0.00060369i
0.00093211+0.00055611i,0.0011046+0.00083759i,0.0013493-0.00071327i,0.0007305-0.0017779i,0.00024856-0.0010533i,0.00046617-0.00010435i,0.00098141-4.4748e-05i,0.00118-0.00011822i,0.00087463-0.00054466i,-7.6617e-05-0.000732i,-0.00065689+0.00042367i,0.00019805+0.00056537i,0.00084314-0.00028229i,0.00034052-7.637e-05i,-0.00034091+0.00043459i,-0.00099502+0.00021724i,-0.0016191+0.00044755i,-0.0013879+0.0011779i,-0.0010686+0.0013107i,-0.0008896+0.00056775i,-0.00045779+0.00015701i,-0.00039651-0.00040243i,-2.0211e-05-0.00038814i
0.0019459-0.00050223i,0.0017497-0.0010117i,0.002323-0.001582i,0.0013859-0.00039016i,-0.00038237+0.00083201i,-0.0012481+0.001114i,-0.0011516+0.00036564i,-0.00066347-0.00029294i,-8.117e-05-7.4401e-05i,-4.1224e-05+0.00031746i,0.00021156+0.00060426i,0.00082264+5.6246e-05i,0.00052155-0.0006119i,-0.00058861-0.0003112i,-0.0011548+0.0001301i,-0.00087851-0.00019728i,-0.00096576-0.00030032i,-0.0014209-8.628e-05i,-0.0012779-0.00012889i,-0.0006798-0.00083126i,-0.00038065-0.00076795i,-0.00034518-1.0598e-05i,-0.00038213+0.00018357i
-9.0836e-05-0.0011817i,-0.00066778-0.00056368i,-0.0021283-0.00056285i,-0.0020416+0.00088945i,-0.00083948+0.0032556i,-0.00023714+0.0041246i,0.0010732+0.0021209i,0.0014172-0.00024198i,0.00090151-0.00080272i,0.00055506-0.00033893i,0.00039229+0.00038882i,0.00090534-0.00057186i,0.00050674-0.0011482i,8.6751e-05-0.00027441i,0.0002173+0.00060813i,-7.7628e-05-8.8295e-05i,-8.6512e-05-0.0008549i,0.00012075-0.00052815i,-9.2159e-05-0.00042712i,-0.00014379-0.0005083i,-0.00018052-0.0010457i,0.00023889-0.0013696i,0.00053507-0.0012711i
0.000207+0.0010461i,0.0016402+0.0011146i,0.001602-0.00018924i,0.0010681+0.00033829i,0.0014568+0.001744i,0.00052523+0.0015809i,-0.00074114+0.00016954i,-0.00063112-0.00057936i,-0.00016075-0.00012912i,0.00017416+0.00011066i,0.00074332-0.00012185i,0.00021164-0.00091138i,-0.00074636-0.0013521i,-0.00046479-0.00057326i,0.00048308-0.00013493i,0.00083845+3.1523e-05i,0.00072816-9.4478e-05i,0.0012607-0.00057683i,0.0013182-0.00037676i,0.00034443-0.0003682i,2.8395e-06-0.00069102i,0.00058244-0.00024327i,0.00038769+0.00038704i
0.0025644+0.0018055i,0.0034912+0.00012156i,0.0032049-0.0018382i,0.0018494-0.0021123i,0.00092381-0.00026897i,0.00030671+0.00083289i,-1.9649e-05+0.00038948i,-0.00027788+0.00029667i,-0.0005169+0.00025544i,-0.00064231+0.0003019i,-0.00049984+0.00044088i,-0.00094238-0.0001604i,-0.0015965-0.00045404i,-0.0014195-6.089e-05i,-0.0011619+6.261e-05i,-0.0002674+0.00019316i,0.00037091+0.00066521i,0.00015626+0.00033834i,0.0002332+0.0001516i,-5.8444e-05+0.00078346i,-0.00035276+0.0011871i,-5.8825e-05+0.00036162i,0.00031512+0.00023782i
0.0015603+0.0016494i,0.00056574+0.002197i,0.0011618+0.003014i,0.001343+0.0022048i,0.0002342+0.0011971i,-0.00013581+0.00075015i,0.00024235+6.5195e-05i,0.00068521-0.00039915i,0.00060665-0.00051672i,0.00019277+7.0379e-05i,-0.00062117+0.00068092i,-0.00043588+0.0012001i,-0.00045341+0.00067724i,-0.0010448-0.00045049i,-0.0014041-0.00013626i,-0.00079701+0.00014215i,0.00026366+0.00029022i,-0.00090455+0.0010239i,-0.002008+0.0011107i,-0.00080365+0.00098895i,-6.8414e-06+0.0013754i,-0.0004579+0.0015747i,-0.00026117+0.00043686i
-0.00096828-0.0020002i,-0.0010669-0.0031291i,-0.0018811-0.0030354i,-0.0024244-0.00044763i,-0.0013409+0.0021207i,7.8802e-05+0.0018783i,0.00052896+0.00052648i,0.00036966-0.0003364i,-0.00074034-0.00079889i,-0.0017546-0.00053348i,-0.0016954+0.00046741i,-0.00059085+0.00085763i,0.00020525+0.0007007i,-0.0002905-0.00047538i,-0.00043185-0.00047122i,-0.00020182-0.00038553i,-0.0013127-0.00061043i,-0.001914+5.7257e-05i,-0.0009585+0.00040582i,-0.00043267+0.00034125i,-0.00038297+0.00014604i,-0.00061456+0.00017955i,-0.0010981-2.5897e-05i
-0.0001179+0.00023413i,0.00036031-0.00034592i,2.9995e-05+0.00046183i,-0.00024473+0.00049302i,0.00083143+0.0011862i,0.0018575+0.0021291i,0.0012181+0.0018102i,0.00016484+0.00068535i,-0.00069246+0.00045608i,-0.0010787+0.0010859i,-0.00053852+0.0014317i,0.00065918+0.0013864i,0.0012267+0.00042741i,0.00089082-0.00010723i,0.0012419-0.00028904i,0.0015165-0.00039362i,0.000869-0.00053248i,0.00019907-0.0010373i,-0.00020841-0.0011504i,0.0004056-0.00095316i,0.0010377-0.00043154i,0.00070999+0.00038154i,0.00059719+7.0262e-06i
0.0043512-0.0017054i,0.0051974-0.0024084i,0.003575-0.0029359i,0.0011394-0.0017956i,-0.0005066+0.00064016i,-0.00039195+0.0020585i,0.00094785+0.0018492i,0.0013699+0.001362i,6.8822e-05+0.0012493i,-0.00087116+0.00091311i,-0.00050713+0.00071942i,0.00025518+0.00010131i,0.00099817-1.9059e-05i,0.0016779+0.0018915i,0.0018102+0.0019197i,0.001202+0.00017687i,0.00052328-0.00052666i,0.0010304-0.0012949i,0.00090468-0.0020981i,0.00017065-0.0018797i,9.6759e-05-0.00066783i,0.0002183+0.0003287i,0.00063443+0.00050869i
0.0012784-0.0017544i,-0.00022908-0.0018333i,-0.0023594-0.0015033i,-0.0024842-0.00037388i,-0.0013916+0.0013913i,0.00059394+0.0023934i,0.0019377+0.0016438i,0.0016174+0.0011293i,0.00094751+0.0006171i,-4.0555e-06-0.0007845i,0.00055811-0.0011449i,0.001172-0.0012777i,0.0008057-0.0012305i,0.0010272-0.0010528i,0.0010929-0.0011939i,0.00036756-0.00092508i,0.00016867+4.1932e-05i,0.00065613+0.00037729i,0.001314+2.3897e-05i,0.0011794+0.00042591i,0.00099517+0.00081319i,0.00085439+0.0005814i,0.00042033+0.00096997i
0.00080541+0.00089268i,-9.8775e-05+0.00077247i,-0.00016064+0.0008058i,0.0005373+0.00070408i,0.00067234+0.00031878i,0.00038056-0.00018167i,0.00072685-0.00060985i,0.0022184-0.00016882i,0.0024473+0.00045739i,0.0016413-0.00023819i,0.0011477-0.0011231i,0.00044999-0.0012423i,-0.00034088-0.0011611i,-0.00044349-0.0012119i,-0.00089215-0.0011257i,-0.0014782-0.00082522i,-0.0012902-0.00060226i,-0.00071916+3.482e-05i,-0.00042253+0.00046564i,-0.00056631+0.0010876i,-0.00055532+0.0008436i,-0.0011612+0.0002008i,-0.0015573+0.00033876i
0.0025733-0.0019555i,0.0033054-0.0026552i,0.0019777-0.0029438i,-0.00033457-0.0023999i,-0.0016826-0.00090686i,-0.00072327+0.00036324i,8.6464e-06-0.00029262i,8.1273e-05-0.0013956i,0.0011732-0.0018927i,0.001177-0.0016332i,-0.00023481-0.001084i,-0.0013169-0.0003741i,-0.0011979-0.00040679i,-0.00017669-0.00069266i,-0.00032827-2.2148e-05i,-0.0010705-9.2584e-05i,-0.0013213-0.00059987i,-0.0016918-0.00059862i,-0.0020345-0.00018192i,-0.0010412+0.00020209i,0.00022739+0.00046074i,0.00059768+0.00013735i,0.00030827-0.0002271i
0.0030177-0.00027935i,0.0022201-0.0013103i,1.2155e-05-0.0024857i,-0.0012391-0.0021063i,-0.0019097-0.00031457i,-0.0014724+0.0017425i,-0.00064843+0.0014308i,-0.0002903-0.00044035i,-0.00033528-0.0025344i,-0.00086019-0.0023983i,-0.001579-0.00039882i,-0.0018497+0.0004665i,-0.0012043+0.00081591i,-0.00088005+0.0015789i,-0.00082306+0.001977i,0.00051874+0.0010762i,0.00093732-0.0010062i,0.00044567-0.0020303i,0.00034261-0.0018654i,0.00054101-0.001278i,0.00048954-0.00045378i,0.00039611+5.2389e-05i,0.0013807-0.00021117i
-0.002484-0.00088811i,-0.0030117-0.0023268i,-0.0019087-0.00062512i,-0.00090143+0.0022688i,-0.00011387+0.0036478i,0.00020813+0.003087i,-0.00038027+0.00070719i,-0.00079992-0.00033349i,-0.0015738+0.00053046i,-0.0014408+0.0011306i,-0.0003411+0.0023386i,0.00025816+0.0025792i,0.00040909+0.0014052i,3.768e-05+0.00044681i,-0.0011118+0.00046551i,-0.00089428+0.0010872i,0.00048003+0.00094946i,0.0013011+0.00042826i,0.0014153+6.6262e-08i,0.00073602-6.4588e-05i,0.00029688-0.00010836i,0.00064084+9.884e-05i,0.00084556-0.0002643i
0.002264+0.00027325i,0.0025258-0.00047841i,0.0020776-0.0013128i,0.0016582-0.00045187i,0.0012866+0.00026487i,0.00026717+0.0015739i,-0.00022347+0.0019859i,-0.0010254+0.0023629i,-0.001757+0.0028308i,-0.00076288+0.0022868i,0.00043851+0.0022234i,0.0014971+0.0009214i,0.0020455-0.0005971i,0.0014953-0.00084256i,0.0010555-0.001033i,0.00058392-0.0011791i,-3.8011e-05-0.0005726i,8.6927e-06+0.00070113i,4.6185e-05+0.0010416i,0.00043186+0.00060179i,0.00082761-0.00012975i,0.00067151-0.00024918i,0.00070202+0.00024719i
0.00090162+0.00048683i,0.0013115+0.00034929i,0.00087519+5.7972e-05i,9.2517e-05+0.00022783i,0.0005369+0.0010678i,0.0010186+0.0018048i,0.0015628+0.0022096i,0.001904+0.0027874i,0.0021011+0.0029997i,0.0021255+0.0014492i,0.0018207-0.0010273i,0.0013657-0.002119i,0.0010075-0.0017966i,0.0012844-0.0010905i,0.0012345-0.00091481i,0.00088747-0.0011274i,0.00043296-0.0011822i,-0.00036408-0.00050821i,-0.0012402+0.00044429i,-0.0016657+0.00081972i,-0.0015298+0.00034163i,-0.0012793+2.8382e-05i,-0.0012389+0.00031024i
-0.0028077-0.0012732i,-0.0035227-0.0014797i,-0.0037776-0.00070345i,-0.0031388-6.6078e-05i,-0.0008208+0.0014772i,0.002213+0.0024606i,0.0035146+0.0012877i,0.003489+5.6382e-05i,0.0033185-0.00038714i,0.002503-0.00051308i,0.0011129-0.0018791i,0.00038586-0.0021874i,0.00033844-0.0010389i,0.00045113+0.00010954i,0.00082482+0.00055245i,0.00082127+0.00018i,4.8724e-05-0.00029966i,-0.00050408-0.00087543i,-0.0012006-0.00045229i,-0.0015567-3.0402e-05i,-0.0016252-0.00020806i,-0.0019251-0.00098084i,-0.0017637-0.0017152i
0.0013819+0.00017357i,0.002008-7.7281e-05i,0.00099462-0.0016888i,-0.00045134-0.00047889i,-0.00055666+0.0010459i,0.00041569+0.00084714i,0.0017104-0.00083639i,0.0023031-0.0022346i,0.0020614-0.0026035i,0.00098009-0.0024316i,-0.00056069-0.0017386i,-0.0014445-0.00095643i,-0.0021578-0.0010004i,-0.0024117-0.00091853i,-0.0014366-6.8023e-05i,-0.000284+0.00055978i,0.00051969-6.3379e-05i,0.00060276-0.0011676i,0.00040024-0.0011594i,0.00067254-0.00057609i,0.00067924-0.00027006i,-0.00023041-0.00084635i,-0.00091877-0.0011493i
0.0012139-0.0003615i,0.003515-0.0011993i,0.0041176-0.0015648i,0.0014756-0.0010548i,-1.9482e-05-0.00044887i,0.00017013+0.00081076i,0.0006434+0.00089117i,1.6791e-05-0.00061289i,-0.001462-0.0013942i,-0.0023615-0.0013575i,-0.002769-0.00053881i,-0.0021359+0.00037184i,-0.0014371+0.00012058i,-0.00088178-0.00063669i,-0.00018586-0.00032984i,0.00016441+0.0006862i,0.00014585+0.0012579i,0.00053165+0.00081832i,0.0013738+0.00032912i,0.00099455+0.00072803i,0.00046216+0.0012747i,0.0003647+0.0014116i,0.00037172+0.00087353i
0.00081935-0.0033154i,-4.0491e-05-0.002688i,-0.0033934-0.0019407i,-0.0040733-0.00030305i,-0.0018276+0.0019027i,0.0011699+0.0030063i,0.0017931+0.0018492i,-0.00095388+0.0002117i,-0.0027524-3.4502e-05i,-0.002207+0.0008512i,-0.0015184+0.0021377i,-0.0011317+0.0023222i,0.00014332+0.0015723i,0.0015019+0.0018297i,0.0018845+0.0019367i,0.00075298+0.00076175i,-0.00044037+0.00021173i,-0.00045819+0.00012114i,0.00010047-7.8424e-05i,-8.6508e-05+3.7229e-05i,8.6436e-05-0.00026024i,0.00073024-0.00010321i,0.00067674+0.00023709i
0.00058696+0.0026416i,0.00044701+0.001623i,0.0012054-0.00011029i,0.0014594+0.00094316i,0.0007288+0.001913i,0.00031676+0.0013311i,-0.00029232+0.0010583i,-0.00097457+0.001904i,-0.00105+0.0025509i,-0.00038823+0.0017855i,0.0005728+0.00082156i,0.00037958+0.0010677i,-0.00012882+0.0020569i,-0.00040316+0.0025044i,-0.00075139+0.0016517i,-0.0003197-0.00013585i,0.00047078-0.00076743i,0.00018442+0.00040926i,-0.00029244+0.00036196i,-0.00042168+0.0001386i,-0.00030231+0.00049969i,-0.00032336+0.00031321i,-0.000737+0.0005071i
0.0002524-1.2449e-05i,0.00058906-0.00014916i,0.00079592+5.6288e-05i,0.00062458+0.0008998i,0.00037616+0.0018466i,-7.5051e-05+0.0024459i,-0.00024127+0.0015931i,0.00063352+0.0014881i,0.0015787+0.002388i,0.0020077+0.0014896i,0.0018855-2.005e-05i,0.0010313+0.0004338i,-0.00072001+0.00027287i,-0.0014848-0.0012506i,-0.0011139-0.00094928i,-0.00038108-0.00026907i,0.00034478+6.5946e-05i,-0.00048271+0.00044815i,-0.00068468+0.00059919i,6.6105e-06+0.00078199i,-0.00022568+0.00049335i,-0.00036395-0.00048883i,-0.00091155-0.00054292i
0.00081748-0.002944i,0.00056499-0.0033868i,-0.00020653-0.0015557i,-0.00053217+0.00062309i,-0.00061019+0.0018041i,4.0371e-05+0.0026502i,0.0018832+0.0019515i,0.0034625+0.00066108i,0.0033137-0.00063927i,0.0015127-0.0019453i,-0.00043099-0.0017804i,-0.00040984-0.001568i,0.00047045-0.0020256i,0.0013968-0.002254i,0.00068219-0.0023138i,-0.000617-0.0012823i,0.00016085-9.2633e-05i,0.0015307+9.8786e-05i,0.0018254-0.00025327i,0.00095187-6.5201e-06i,-0.00025487+0.0002028i,-0.00051156-0.00047297i,-0.00016756-0.0007072i
-0.00059831-0.0020953i,-0.0015036-0.0018331i,-0.003007-0.0024319i,-0.003447-0.0010115i,-0.0022642+0.0015886i,0.00011083+0.0024845i,0.0020666+0.00089676i,0.0019744-0.00032154i,0.00078241-0.0018029i,-0.00059312-0.0025167i,-0.0019667-0.0010737i,-0.0017727-0.00049941i,-0.00033175-0.00038359i,0.0010628-0.00024074i,0.0012667-0.00019076i,0.00021224-0.00069841i,-0.00089942-0.00077132i,-0.00067218-0.00076319i,-0.00015829-0.00087803i,-0.00016213-0.0010023i,0.00035786-0.00094449i,0.0005769-0.00059478i,0.00054696-6.492e-05i
-0.0018628+0.0021876i,-0.00019833+0.0015858i,0.00069602+0.0027741i,0.00055122+0.0036858i,0.0014543+0.0030871i,0.0026445+0.001055i,0.0019145-1.9319e-05i,2.3308e-05-0.00085571i,-0.0019213-0.0020371i,-0.0026711-0.0011855i,-0.0018397+0.00083628i,-0.00074079+0.00099765i,-0.00098074+0.00096942i,-0.0017313+0.0019222i,-0.0011743+0.0018481i,-0.00071232+0.00073533i,0.00022088+4.7673e-05i,0.0015358-0.0001169i,0.0010008-0.00046383i,0.00023193-0.0011579i,0.00011526-0.00059304i,0.00041433+0.00012737i,0.00053389-3.8843e-05i
0.0020455+0.0027929i,0.0028464+0.0019721i,0.003427+0.00035218i,0.0030199-0.00064166i,0.0013411+0.00017449i,0.00014455+0.0014772i,-0.00032706+0.00082158i,-0.0014856+9.3307e-07i,-0.0020987+0.0013818i,-0.0016719+0.0026954i,-0.00067868+0.0029161i,0.0001093+0.0020935i,-0.00038319+0.00086423i,-0.0021171-0.00030205i,-0.0025743-0.00046444i,-0.0011774-0.0011705i,0.00017524-0.0015242i,0.00045386+2.6566e-05i,0.00124+0.00082798i,0.0014536+0.00026187i,0.00097401-0.00042742i,0.00024242-0.00020048i,-0.00047245+0.00086577i
-0.0014839-0.001641i,-0.0028317-0.0020971i,-0.0044145-0.0013867i,-0.0035322+0.00096673i,-0.0018041+0.0026412i,-0.00052571+0.0023268i,0.00053301+0.0017675i,0.00097249+0.001785i,0.00094343+0.0030999i,0.002017+0.0033424i,0.0019866+0.001358i,0.00067631+5.4589e-06i,0.00029112-0.0010367i,0.0007493-0.0026892i,0.0010654-0.0023924i,-0.00011464-0.0011784i,-0.0013322-8.4514e-05i,-0.0012912+0.00078945i,-0.0014491+0.001115i,-0.0010543+0.0012344i,0.00012476+0.00053242i,0.00098041-0.0003631i,0.001142-0.0012698i
-0.0023709-0.0020115i,-0.0028192-0.0022329i,-0.002043-0.00054308i,-0.0013269+0.0029438i,-0.0005569+0.0049816i,0.0013227+0.0038943i,0.0027185+0.0020564i,0.0036179+0.0016146i,0.0041194+0.0013253i,0.0035373+0.00031353i,0.0020986-0.0010409i,0.0015414-0.0012188i,0.0028719-0.00069645i,0.0031589+3.5042e-05i,0.0025584+0.0005908i,0.00077601-4.8067e-05i,-0.0011436-0.00025776i,-0.0021602-0.00011411i,-0.0027334-0.00019406i,-0.0019071+0.00035976i,-0.00079424+0.000883i,-0.00024782-0.00066344i,0.00011884-0.0018127i
0.0036502+0.00051823i,0.0033291+0.0018451i,0.0013614+0.0011189i,-0.0003412+0.00027195i,4.6249e-05+0.0017441i,0.0010137+0.0025306i,0.00061289+0.00090267i,0.0016731-0.0011376i,0.002746-0.0031101i,0.0012069-0.0048375i,-0.00061274-0.003672i,-0.00098125-0.0014787i,-0.00073083+0.00031583i,-0.00074645+0.0015835i,-0.00074674+0.0019246i,-0.00045706+0.00074169i,0.00043406-0.0003564i,0.00084866-0.0011084i,0.0010952-0.0020434i,0.00021062-0.0026046i,-0.00090717-0.0023407i,-0.00014655-0.0011031i,0.00028095+0.0011858i
-0.0013621-3.0307e-05i,-0.0027742+0.00030645i,-0.00093341+0.00051666i,0.00047961+0.00022732i,0.0007288+0.00047919i,0.0014224+0.0013509i,0.0016696+0.0013979i,0.0011359+0.00020223i,-0.00010625-0.0019371i,-0.002392-0.0031704i,-0.0038553-0.0019636i,-0.0026912+0.00069411i,-0.0021927+0.0012194i,-0.0031889+6.3702e-05i,-0.0031305-0.00017905i,-0.0015538-1.6442e-05i,0.00033025-0.00019841i,0.0023245-0.00029225i,0.0035119+0.0001744i,0.0028866+0.00081819i,0.0014811+0.00017502i,-0.00016359+0.00018502i,-0.00084352+0.0012193i
-0.00075185-0.0028109i,-0.0017538-0.0032827i,-0.0038764-0.0023294i,-0.0042064+0.00020018i,-0.0027553+0.0023378i,-0.0007297+0.0021149i,-1.5579e-05+0.00073188i,-0.001167-0.00026584i,-0.0038194-0.00088073i,-0.0048057+0.00059113i,-0.0033177+0.0025163i,-0.001063+0.0022397i,0.00031878+0.00067902i,0.00034888-0.0009032i,0.0001558-0.0014503i,-8.5933e-06-0.0013817i,-0.00078654-0.00079223i,-0.0011684+0.00031375i,-0.00057888+0.0017249i,-0.00015591+0.0021493i,4.4582e-05+0.0010397i,-9.6986e-05+0.00055359i,-0.00064283+0.001196i
0.001572+0.0012341i,0.0030226+0.0005624i,0.0028606+0.00066182i,0.00072797+0.0023654i,-0.00033023+0.0047335i,0.00073714+0.0045081i,0.0015894+0.0025391i,0.00039571+0.0017516i,-0.0012254+0.0017781i,-0.0013218+0.0024557i,-5.0193e-05+0.0027057i,0.0015094+0.0016458i,0.0026336+0.0011069i,0.003223+0.00039659i,0.0027068-0.00059179i,0.0014611-0.00083135i,-0.00021209-0.00089112i,-0.0016254-0.00061561i,-0.0022508+0.00033511i,-0.002544+0.0015392i,-0.0022487+0.0015117i,-0.0020617+0.00021019i,-0.001598-0.00046445i
-0.00082702+0.0036901i,-0.00088966+0.0041427i,0.00020329+0.0035184i,0.001247+0.002578i,0.0012026+0.0033095i,0.0017252+0.0032543i,0.0020334+0.0027727i,0.0017052+0.0030951i,0.0020561+0.0037197i,0.0027357+0.0033657i,0.003354+0.0011796i,0.0027241-0.00041698i,0.0010798-0.00023947i,-0.00014203+0.00069296i,-0.00047318+0.00062933i,-0.0005921-0.00030157i,-0.00044546-0.00058694i,0.00019065-0.00088656i,0.00066476-0.0019077i,-2.7576e-05-0.0016545i,-0.00024129-0.001016i,0.00086173-0.00092675i,0.00069473-0.00067082i
0.0015235-0.0011732i,-0.00031484-0.0008997i,-0.0011014-0.0011353i,-0.00038829-0.00053509i,9.0786e-05+0.00027299i,0.0010208+0.0003881i,0.0023732+0.00020268i,0.003663+0.00046258i,0.0046512+0.00021342i,0.0047348-0.0014539i,0.0027357-0.0025765i,0.0002996-0.0021027i,-0.00073533-0.0020352i,-0.0016859-0.0015944i,-0.0024796-0.00030247i,-0.0020547+0.000445i,-0.00091468+0.00034522i,0.00064931+0.00082445i,0.0015675+0.0004079i,0.0015583-0.00068831i,0.0010306-0.00040946i,0.00050556-0.00089365i,0.00043556-0.0011822i
0.0010976-0.00011202i,0.00086709-0.00095326i,0.0010488-0.00061443i,-0.00034388-0.0014037i,-0.00061591-0.0019536i,5.8386e-06-0.0018992i,0.00087395-0.0019402i,0.0025816-0.0027746i,0.0033329-0.0049485i,0.0019401-0.0062683i,-0.00029125-0.0049529i,-0.0018701-0.0031222i,-0.0021848-0.0026274i,-0.00067339-0.0025462i,-0.00030919-0.0023973i,-0.0013537-0.0011399i,-0.00078754+0.00082137i,0.00059486+0.0016906i,0.0014911+0.0014481i,0.0012831+0.0013406i,0.0012161+0.0011903i,0.00051959+0.00058426i,-0.00031557+0.00080095i
0.00063283-7.8502e-05i,0.0014325+0.00035203i,0.0014142-4.6243e-05i,0.0014049+0.00015767i,0.00018807+0.0024424i,-0.00031381+0.0031701i,0.00029664+0.0010355i,-0.0013061-0.0016866i,-0.0047262-0.0034605i,-0.0055335-0.0032115i,-0.0043301-0.0021839i,-0.0026053-0.00095279i,-0.00020121+9.973e-05i,0.001498+0.00047187i,0.0017932+0.00084604i,0.0011742+0.0011943i,-1.6429e-05+0.00074134i,-0.00086764+0.00081713i,-0.0015476+0.001142i,-0.0011291+0.00064157i,5.2763e-05-0.00026862i,-0.00038916-0.0013328i,-0.0014457-0.001772i
-0.00055728+0.00050918i,-0.00091034-0.00048267i,-0.001063-0.00072736i,-0.00071273+0.0010966i,-0.00084519+0.0028372i,-0.00071515+0.0026053i,-0.00086632+0.0011556i,-0.0029884-0.00030319i,-0.0046778+0.00012867i,-0.0043716+0.0010154i,-0.0022085+0.0017095i,-0.00047876+0.0029698i,-0.00013174+0.0037622i,-0.00013458+0.0036657i,0.00082746+0.0022039i,0.0012083-0.00051413i,0.00070282-0.0017685i,-0.00011229-0.00090186i,-0.0011432-0.00065392i,-0.0013403-0.0014018i,-0.000931-0.0013591i,-0.0010787-0.0010121i,-0.00080061-0.0016509i
0.0025511-0.0008968i,0.00091261-0.0036183i,0.00080113-0.0053967i,0.0013139-0.0023353i,0.00080521+0.0014714i,0.0005002+0.0026642i,0.0010124+0.0035937i,0.00016239+0.0044687i,-0.00035153+0.0049976i,0.00040466+0.004918i,0.0014517+0.0034474i,0.0011709+0.0017967i,0.00013548+0.00030663i,-0.00066388-0.0011028i,-0.0015071-0.0019668i,-0.0010073-0.0019912i,9.131e-05-0.0019332i,-0.00028383-0.0017467i,-0.00050594-0.0012932i,6.698e-05-0.00097006i,0.00071574-2.6598e-05i,0.00098939+0.0010566i,0.00069841+0.00056521i
0.0024309+0.00017057i,0.0016047+0.00045636i,0.0004498+0.0010818i,-0.00082347+0.0020837i,-4.4901e-05+0.0027951i,0.0016927+0.0030827i,0.0021552+0.002762i,0.0024319+0.0028674i,0.0035442+0.003545i,0.0040039+0.0028968i,0.0033248+0.0012187i,0.0029666-0.0003222i,0.002637-0.0016564i,0.0015417-0.0027787i,0.00046296-0.0028989i,-0.00099685-0.0019932i,-0.00075639-0.00093983i,-3.4707e-05-0.00022193i,1.4747e-05+0.00031322i,0.00027243+0.00041408i,-7.1596e-05+0.00083601i,-1.5847e-05+0.0010621i,-0.00017959+0.00075887i
0.00093449+0.00056482i,0.00061278+0.0009653i,0.0015943+0.00027293i,0.002533-0.00054993i,0.0017281-0.0009067i,0.00093502+2.1936e-05i,0.0011554+0.00063155i,0.0023038-0.00075565i,0.003972-0.002137i,0.0036296-0.0029029i,0.0018523-0.0024103i,0.00122-0.001175i,0.00072017-0.00063766i,0.00038103-5.4382e-05i,0.00080293-5.4474e-05i,0.00094422-0.0005329i,2.0381e-05+0.00015735i,-0.00021533+0.00078543i,0.00021503+0.00064958i,0.00065795+0.0003348i,0.00022138+0.00046854i,-0.00061336+0.00063533i,-0.00077693+0.00033314i
0.0019904-7.5685e-06i,0.0023601-0.0016532i,0.0019009-0.0043496i,0.00012737-0.0040719i,-0.0020706-0.00068615i,-0.0026423+0.00059411i,8.2418e-05-0.0015936i,0.0020647-0.0039057i,0.0016133-0.00533i,0.00021697-0.0063929i,-0.00083882-0.0049932i,-0.0019822-0.0023692i,-0.0028159-0.00067368i,-0.0030898+0.00082692i,-0.0015616+0.0015897i,0.00022668+0.0015501i,0.00025308+0.0013734i,-2.6355e-05+0.0010514i,0.00074506+0.00083413i,0.0010869+0.00019579i,0.00061444-0.00043642i,0.0002212-0.00078406i,0.00023067-0.00088244i
0.0044157+0.00093727i,0.0057495-0.0015818i,0.0052755-0.0030134i,0.0023815-0.00086196i,-9.1011e-05+0.0031339i,4.4568e-05+0.0050576i,0.0008992+0.001885i,0.00054145-0.0030861i,-0.0012656-0.0049606i,-0.0034924-0.0035828i,-0.0040635-0.0016803i,-0.0036094-0.00026774i,-0.0036959-0.0002054i,-0.0030847-0.00046233i,-0.0012271+0.00068355i,0.0001509+0.0016003i,0.00053359+0.0013379i,0.00045383+0.0010607i,0.00053916+0.00090057i,0.0010144+0.00043011i,0.00098798+7.3007e-05i,0.00037918-0.00022588i,0.00056022-0.0007706i
0.002576+0.0015215i,0.0021093+0.0020123i,-0.00011408+0.0006322i,-0.0023903-0.00025647i,-0.0018628+0.00091254i,-0.00021292+0.0011621i,-0.00086032-0.00033105i,-0.0028421-0.0013319i,-0.0042203-0.00045787i,-0.0037707+0.0013682i,-0.0015771+0.0023823i,0.00011023+0.0026028i,0.0016929+0.0020677i,0.0032088+0.0013224i,0.0029176+1.1335e-05i,0.0019872-0.0010808i,0.001486-0.0014121i,0.0011782-0.0015727i,0.00046787-0.00085702i,-0.00050711+5.9479e-05i,-0.00068827-0.00016851i,-0.00079753-0.00086653i,-0.00090685-0.0010697i
