-0.00098546-0.0013134i,-0.00035196-0.00053898i,-0.00014637+0.0005165i,8.5107e-05+0.00078242i,-2.8212e-06+0.00023182i,-0.0003849+8.5335e-06i,-0.00028046+0.00044485i,-0.00011208+0.00042659i,6.6957e-05-0.00057403i,0.00065082-0.00078036i,0.00060092+0.0003534i,-0.00067287+0.0010057i,-0.0010252+0.00066482i,0.00058584+0.00010695i,0.0020016-0.00049439i,0.00074655-0.00099709i,-0.00028714-0.0010316i,-0.00017595-0.00040868i,-0.00015227-0.00024916i,-0.00067181+7.6542e-05i,-0.00015083+0.00063821i,0.00064365+0.0013831i,0.00057384+0.0011836i
0.00040857-0.0014953i,-0.00081879-0.0014642i,-0.0010951-0.00065379i,-0.00010363+0.00029076i,0.0005164-0.00043529i,0.00047058-0.00085558i,0.00011293-0.00025502i,-0.00060852-7.4624e-05i,-0.00096003-0.00099043i,-0.00069127-0.0015591i,3.9567e-05-0.00075251i,0.00065494-0.00048611i,4.699e-06-0.00026991i,-0.00053556-0.00020174i,-4.5281e-05-0.00025842i,0.00083526+7.0125e-05i,0.00091641+0.00010389i,0.0004388-0.00024512i,0.00025339-0.00022638i,0.00055245-0.00025006i,0.00060248-0.00038871i,-6.9141e-05-0.00012869i,-0.00047956+0.00022078i
0.0016136-0.0012711i,-0.00039336-0.00075102i,-0.001254-0.00035046i,-0.00098034-0.00074383i,-0.00050988-0.00068044i,-0.00024627-4.7383e-05i,-0.0002084-0.00046324i,-0.0001332-0.0010241i,1.7118e-05-0.0004207i,8.9879e-05+0.00020799i,0.00052633+0.00015479i,0.0005442+0.0003176i,-0.00041529-0.0002396i,-0.00025508-0.00070926i,0.00040446-0.00035726i,5.0788e-05-0.00038258i,-0.00042661-0.00025894i,-0.00050506+0.00018243i,-0.00041912+0.0001531i,-0.00024861+0.00042479i,8.3426e-05+0.00045599i,0.00026072-0.00025537i,-3.8908e-05-0.00082577i
0.0007471-0.0018631i,0.00010381-0.0019023i,-0.00091678-0.00059555i,-0.00064293-0.00022804i,-0.00057109+0.00026011i,-0.0010632+0.0013919i,-0.00090909+0.0015288i,-0.00016896+0.00038135i,-0.00049331-0.00050248i,-0.00034386-0.00091485i,8.2328e-05-0.0005552i,0.00018975-0.0001287i,-6.9685e-05+0.00038765i,-0.00022219+0.00045219i,0.00042304+0.00032275i,3.5962e-05+0.00050458i,-0.00013293+7.4605e-05i,0.00015216-0.00016379i,-0.00013459-0.0005127i,0.00036326+6.4554e-05i,0.0001095+0.0010944i,-0.00040891+0.00055104i,-0.0002475-0.00016326i
-0.0012287+0.00029748i,-0.0012373-0.00047197i,-0.0012739-0.00044127i,0.00010973+0.00013115i,0.00044685-3.5679e-06i,-0.00018923-0.0007238i,-0.00036924-0.00052365i,0.00012673-6.9955e-05i,0.00041595-0.00026735i,-7.023e-05-0.00036308i,-0.00015357-0.00019647i,-0.00047848-0.00026862i,-0.0011505-8.242e-05i,-0.00063044+0.0010953i,-0.00024586+0.0018029i,-0.00019548+0.00086868i,0.00014822-0.00045575i,0.00044787-0.00076881i,0.000732-0.00088431i,0.00012031-0.00011655i,0.00030053+0.0010148i,0.0008179+0.00055303i,0.00017235-0.00030012i
-0.0009106+0.00034032i,-1.9205e-05-5.987e-05i,0.0010242-8.6646e-05i,0.0019024-0.00035978i,0.00087169+5.223e-05i,-0.0013868+0.00066557i,-0.0015299+0.00039717i,2.9847e-05-6.7488e-05i,0.00050932-8.7265e-06i,0.00026268-0.00039757i,3.5622e-05-0.00087854i,-9.373e-05-0.00088105i,0.00029079-1.8628e-05i,0.0005418+0.00044762i,0.00032146+0.00015121i,0.00019559+0.00046916i,8.9255e-05+0.0011194i,-0.00035943+0.0010912i,-0.00043781+0.00082285i,-8.3495e-06+0.00086033i,0.0007117+0.00057495i,0.00079183-0.00050459i,0.00020231-0.0013338i
0.00058273-0.00081048i,0.00048252+0.0012881i,0.001555+0.0019658i,0.0011672+0.00077038i,-0.00046593-0.0006453i,-0.0011452-0.00070896i,-0.00057659-0.00020086i,-0.00030995-0.00036167i,-0.00083706-0.00070183i,-0.00064529-0.0007655i,0.00027854-0.00068894i,0.00059089-0.00022017i,0.0003207+0.00025902i,0.00012672+0.00071532i,-0.0003447+7.7154e-05i,-0.00057235-0.00050271i,-0.00071656-0.00047708i,-0.0011317-0.00015898i,-0.00063728+0.00065191i,9.449e-05+0.00046986i,0.00037816+7.2755e-05i,0.00061796+0.00024386i,0.00056523+0.00034948i
-0.00021947-0.0042062i,-0.0015729-0.0028923i,-0.0030387-0.001221i,-0.003252+0.00022309i,-0.0027387+0.00085653i,-0.0014673+0.0011348i,-1.5084e-05+0.00062662i,1.3256e-05-0.00029637i,-0.00072532-0.00098024i,-0.0005307-0.0008609i,0.00068201-0.00010457i,0.001547+4.4913e-05i,0.0014985+0.00041538i,0.0016553+0.00083607i,0.0013941+0.00052448i,0.00076618+0.00048941i,0.00084567+0.0006175i,0.00039836+0.00065707i,-1.7347e-06+0.00014533i,0.00073022-0.00027045i,0.00055843-0.00030026i,-0.00030354+0.0002307i,-0.00046768-3.4569e-05i
0.0011454+0.00099772i,0.00073872+0.0015675i,0.001674+0.0020027i,0.0015406+0.0013589i,0.00068487+0.00017113i,-0.0004597-0.00038234i,-0.0014605-0.00017841i,-0.0010557-0.0005397i,-0.0002614-0.00083395i,-2.7901e-05-0.00018572i,0.00045244-0.00020964i,0.00069459-0.0001671i,0.00047569-1.553e-05i,0.0001423+0.00044827i,-4.9749e-05+0.0010586i,0.00015602+0.00064112i,0.00026213+0.00014156i,0.00074914+4.022e-05i,0.0005814+0.00030387i,0.0001683+0.00031292i,-0.00025878-4.2946e-05i,-0.00030093-7.6324e-05i,0.00048485-0.00032356i
1.0115e-05-0.00059028i,-0.0012398+0.00023529i,-0.0013587+0.00079775i,-0.00029389+0.00084108i,0.00026922+0.00013266i,-0.00017137-0.00025701i,-0.00084856+0.00015064i,-0.00089205+0.00012474i,-0.00076087-0.00041262i,-0.0008476-2.2127e-05i,-0.00083247+0.00014826i,-0.00057639-0.00019688i,-0.00040606-0.00023339i,-0.00039835-0.00031863i,-0.00025561+0.00031381i,0.00018351+0.00057976i,0.00039462+9.3653e-08i,0.00095538+0.00085253i,0.00069452+0.0014872i,0.00026491+0.0010366i,-9.0696e-05+0.00034039i,-0.00071102-0.00017114i,-0.0010991-0.00054037i
0.0014943-0.00093886i,0.00036475-0.0010809i,-0.00081797-2.4891e-05i,-0.0010247+0.00049138i,-0.0010001-7.5776e-05i,-0.00095383-2.5122e-05i,-0.00058131+0.0005072i,0.00051114+0.00037682i,0.00058224-0.00023394i,1.8251e-05-0.00066276i,0.00045046-0.00039766i,0.00055613+7.6417e-05i,-0.00047727-0.00011626i,-0.0002387-0.00046848i,0.0004962-0.00023224i,0.00019176+0.00012961i,0.00012932+0.00049499i,0.00020793+0.00034686i,0.0002971+3.5917e-05i,-7.5838e-05-0.00017341i,0.00028314-0.00088279i,0.00063709-0.00099958i,-0.00081829-0.00027232i
0.0010193+0.0011822i,0.00062646+0.0020469i,-0.0002409+0.0017907i,0.00079911+0.0014178i,0.00053229+0.0015866i,-0.0001615+0.0012803i,-0.0001803+0.0010218i,0.00019264+0.0010137i,0.00039209+0.00042309i,-0.00043311-0.00018055i,-0.00050217-0.00037787i,-0.00019166-0.00037839i,0.00021396-0.00030363i,0.00038066+0.0003627i,-1.7583e-05+0.0010834i,0.00099761+0.00073667i,0.0011404+0.00044142i,0.00060444+0.00072409i,0.00012232+0.00014781i,-0.00074253-0.00083258i,-0.00011085-0.00057569i,0.00067375-6.8019e-05i,0.00030061-7.9241e-05i
0.001221+7.2675e-05i,0.0013274+0.00029514i,0.0023681+0.00051685i,0.0017426+0.00047651i,-0.00042583-0.00050466i,-0.001892-0.00090873i,-0.0014222-0.00022917i,0.00024741-0.00035844i,0.00064536-0.00081617i,-0.00010985-0.00093798i,-0.0011573-0.00087819i,-0.0012712-0.00026387i,-0.00046364+0.00031273i,-8.0854e-05+0.00075689i,-0.00031486+0.0010632i,-0.00031574+0.0006214i,9.2549e-05+0.00017116i,-0.00011103+1.1602e-05i,-0.00041437+0.00018391i,-0.00021303+0.00039291i,-0.00035072+0.00033152i,-0.00037567+0.00041728i,-0.00050422+0.00030387i
0.00050898-0.00024928i,0.0012325-0.00069664i,0.00046908+8.1984e-05i,-6.6858e-05+0.00079121i,-0.0002335+0.0012174i,-0.00055729+0.001072i,-2.4158e-05+0.00039865i,-6.9204e-05+0.00036841i,-0.00021838+0.00025188i,-0.00028507+0.00055251i,-0.00044952+0.00074344i,-0.00020569+0.00040172i,-0.0006668+0.00053171i,-0.00056574+0.00078385i,0.00039926+0.00061516i,0.0011117+0.00046408i,0.00095824+0.00029363i,0.00084488+0.00014522i,0.00079517-3.7816e-05i,0.00068939-0.00050174i,0.00084804-0.0008795i,0.0011087-0.00058929i,0.00036384-0.00016898i
0.0015739+0.00016193i,0.00079271+0.00076878i,0.0010973+0.0015264i,0.0013568+0.0011505i,-0.00017847-0.00038802i,-0.0016934-0.0012297i,-0.0011815-0.00045475i,0.00037354-0.00022398i,0.00064622-0.0010534i,0.00069621-0.00068532i,0.00142-0.00044729i,0.00037804-0.0002471i,-0.001332+0.00031428i,-0.0010735+0.00078396i,-0.00022831+0.00048111i,0.00063797+0.00066038i,0.00072123+0.00055967i,0.00074632-3.7769e-05i,0.0013723+0.00011027i,0.00094635-2.806e-05i,0.00017176+0.00034093i,0.0003765+8.1192e-05i,-4.5203e-05-0.00083318i
0.00060625-0.0018411i,-0.0011367-0.0013875i,-0.00094876-0.00015815i,-0.00088936+0.0013036i,-0.0007945+0.0010933i,-0.00032426+0.00091121i,0.00052765+0.001007i,0.0016044+0.00088606i,0.0016603+7.093e-05i,0.00056938-6.2731e-06i,-0.00018428+0.00019268i,-0.00033099-8.8289e-05i,-4.0498e-05-0.00014367i,0.0010957+0.0003037i,0.0014995+0.001086i,0.00061573+0.00080476i,0.0007531-0.00037856i,0.00065822-0.0008281i,-6.7702e-05-0.00057996i,0.00016842+0.00030019i,0.00047939+0.00082563i,0.00018788+9.6236e-05i,0.00030125+0.00037056i
-0.00018261-0.0007472i,-0.0003883-0.00016738i,-0.0018082-0.00055568i,-0.0013708-0.00055552i,-0.00092405-0.00020523i,-0.00064262+0.00076104i,0.00046997+0.0013714i,0.00056981-5.2051e-05i,0.00017847-0.0014817i,2.6532e-05-0.0016756i,0.00040052-0.0011528i,0.001062-0.00014405i,0.00090714+0.0011736i,0.00034507+0.0016763i,0.00063027+0.0011231i,0.00012292+0.00024009i,-0.00031561+6.4141e-05i,0.00032418+0.00031051i,0.00062759+7.2244e-05i,0.00051701+3.9191e-05i,0.00083539+0.00040671i,0.00069366+0.00049785i,0.00086861-0.00027117i
