-0.0016357-0.0008362i,-0.001502+0.00020156i,-0.0024479+0.0011603i,-0.0021967+0.0016357i,-0.0010689+0.0018064i,-0.00023878+0.0014337i,0.00021804+0.0015855i,0.00046916+0.00050748i,0.00026312-0.00075138i,0.00094832-0.00093551i,0.0010129-0.00066332i,5.5091e-05-0.00032499i,-0.00047744-0.00011273i,-0.00053509-0.00051123i,0.00013965-0.0010588i,0.00039999-0.00099429i,0.00034979-0.00012393i,8.1579e-05+0.00055321i,-0.00037851+0.00067625i,-0.00053728+4.5345e-05i,-0.00074422+9.8507e-05i,-0.00098175+0.00041383i,-0.00031956-0.00020876i
0.0011891-0.00072455i,0.0019126-0.00076616i,0.0015614+0.00073866i,0.00085028+0.0011979i,0.00065409+0.0011117i,2.1385e-05+0.0016037i,0.00052043+0.0012276i,0.0012259+0.0007186i,0.00085816-6.3776e-05i,0.00078288-0.00063515i,0.00085451-0.00038682i,6.293e-05-0.00012765i,-0.00082687+0.00030861i,-0.00096409+0.00054706i,-9.1243e-05+0.00014399i,0.00071147-0.00036874i,0.00053219-0.00060986i,0.0006988-0.00020668i,0.00065629+0.00043408i,2.6647e-05-1.5736e-05i,-0.00029837-0.00015732i,-0.0007445+5.3638e-05i,-0.00047355-8.3737e-05i
0.00086306+0.00021829i,-8.2827e-05+0.00017036i,-0.0011403+1.3768e-05i,-0.0015361-0.0002519i,-0.00076951-0.00070304i,-7.1935e-05-0.00047848i,0.00077601+0.00048998i,0.0012229+0.00053764i,0.00049466-0.00010621i,0.00026791+8.2146e-05i,0.00026251+0.00019091i,-0.00015659-0.0001287i,-0.00041109+0.00016436i,-0.00053593+0.00026975i,-0.00034607-0.00026223i,-0.00016664+0.0002947i,-0.00035271+0.00085211i,-0.00024275+0.00014856i,-9.3029e-05-0.00014703i,0.00044141-8.012e-05i,0.00073627-0.0004056i,0.00032068-0.00025165i,0.00063921+0.00022304i
0.0002524-0.00030711i,0.00076582-0.00060681i,0.00044217-0.00021264i,0.00058467+0.00039598i,0.0011969+0.00050123i,0.0010775+0.00056433i,0.0010285+0.0010313i,0.001192+0.00047376i,0.0010562+5.2356e-05i,0.00044072-0.00011091i,0.00040165-0.00048303i,6.9329e-05-0.00062662i,-0.00084361-0.00063393i,-0.0011537-0.00041562i,-0.00084575-2.7971e-05i,-0.00065012+0.00032163i,-3.5188e-05+8.7075e-06i,0.00043314-0.00011166i,-9.7226e-05+0.00061085i,-4.2398e-05+0.0007969i,6.089e-05-0.00022923i,0.00015075-0.0010361i,0.00031624+0.00013652i
0.0022521-0.00049703i,0.0024836-0.0011747i,0.0026324-0.001953i,0.0020659-0.0021486i,0.0016961-0.00013102i,0.0017936+0.0011257i,0.0013561+0.00095774i,0.00095513+0.00067216i,5.4953e-05+0.00056884i,-0.00068182+0.00067292i,-0.00065218-0.00010713i,-0.00038075-0.00054038i,-0.00024873+0.00028438i,-0.000668+0.00082742i,-0.00036308-0.00044566i,0.00038085-0.0012216i,-5.6432e-06-0.00041217i,-0.0009134+0.00038596i,-0.0014323+0.00065777i,-0.00059265+0.00090113i,0.00068809+0.00087916i,0.00080841+0.0004136i,0.00045572+0.00044221i
-0.00033061+0.001898i,-0.00068844+0.0010368i,0.000207+0.0017968i,0.0010565+0.0018207i,0.0012415+0.0010347i,0.00095009+0.00050039i,0.0010587+2.9842e-05i,0.0014896-7.0454e-05i,0.00079271-0.00029536i,-0.00036469-0.00077656i,6.0866e-05-0.0005226i,0.0003865-0.00039385i,-0.00026041-0.0006647i,-0.00063314-0.0011503i,-0.00018754-0.0016681i,0.00057375-0.0010862i,0.001077-0.00032635i,0.0013856+0.00041279i,0.00050534+0.00085074i,-0.00013733+0.00081705i,-0.00026132+0.0011552i,-0.00033038+0.0010092i,-6.4794e-05+0.00042985i
0.0020211-0.0012927i,0.0024161-0.0018858i,0.0014668-0.0018589i,0.00030181-0.0012424i,1.0815e-05-0.00037703i,9.1127e-05+0.00087644i,-0.00015611+0.0016281i,0.00018934+0.00078539i,0.0012718-0.00019266i,0.0009761+0.00013596i,-0.00059999-0.00012446i,-0.0012932-0.0002634i,-0.0010898+0.00079525i,-0.00066675+0.0018338i,-0.00047623+0.0014894i,-0.00028964+0.00022571i,-0.00010965-0.00058881i,-0.00022141+2.9233e-05i,-0.0003772+0.00092894i,-5.1593e-05+0.0014848i,0.00025793+0.0017784i,-0.00011556+0.0014303i,-0.00021849+0.0015681i
-6.3964e-05-0.0030759i,0.00037121-0.0030086i,-0.00031394-0.0019074i,-0.0012084-0.0015785i,-0.00085452-0.00037633i,0.00024275+0.00086387i,0.001057+0.0011196i,0.0013714+0.0011195i,0.0014912+0.00056323i,0.0011518-5.8047e-05i,0.00065498-0.00014058i,-7.0379e-05+0.00038555i,-0.00078691+0.0010767i,-0.00055332+0.00077928i,-0.00014282+0.0005421i,0.00019378+0.00087148i,0.00025155+0.00050403i,-0.00010289+0.00031578i,0.00030383+0.00023699i,0.00060937-8.479e-06i,0.00012299-5.8404e-05i,-0.00025038-0.00030106i,-0.00056728-0.00014475i
-0.0014288+0.00059253i,-0.0011337+0.00093492i,-0.00063825+0.001656i,0.00057089+0.00080898i,0.00077222+0.00050941i,0.00086363+0.00089389i,0.0010206+0.0004039i,0.00076997+4.8744e-05i,0.00061612+0.00014272i,0.00010451+0.00010567i,-0.00021056-0.00017453i,-0.00065178-0.00047457i,-0.0007403-0.0006646i,-0.00047504-0.0006262i,0.00019703-0.0004032i,0.00071666+0.00013645i,0.0003975+0.00065069i,0.00027749+0.00021616i,-0.00021086-0.00047014i,-0.00044074-0.0010945i,-0.00015518-0.00080633i,0.00024813-0.00060316i,0.0011822-0.0006108i
0.0029134-0.0023967i,0.0017227-0.0028122i,0.00050327-0.0030194i,-0.00045989-0.0018752i,-0.00096488-0.00052065i,-0.00019172+0.00057985i,0.0011637+0.0017408i,0.0014241+0.0010971i,0.0015545-0.00030315i,0.0013339-0.00087076i,0.00090281-0.00059827i,0.0007463-0.00010171i,9.028e-05+0.00082054i,-0.0005187+0.00064206i,-0.00076037-8.8409e-05i,-0.00056962+0.00047096i,0.00015559+0.0002051i,0.00079922-0.00028111i,0.00066678-0.00029104i,1.0978e-05-7.089e-05i,-0.00031181+0.00032409i,-0.00024719+2.7965e-05i,-0.0002214-6.871e-05i
0.0020374+0.001882i,0.0022106+0.0010242i,0.0016236+0.00029259i,0.0014173+8.4583e-05i,0.0010171+0.00078127i,0.00030382+0.0012194i,0.0010866+0.0013491i,0.0015147+0.00068681i,0.00077305+7.0327e-05i,0.00026368+0.0007287i,-6.0845e-06+0.00049644i,-0.00014592-0.00035789i,-0.00027506-0.00036773i,-0.000472-0.00058131i,-0.00035893-0.00062234i,-0.00020429-0.00068942i,-0.00026172-0.00016826i,-0.00031264+0.00017758i,-3.6946e-05-5.0795e-06i,0.00035455+2.5717e-05i,7.6517e-05+0.00015553i,-0.00058079+0.00054043i,-0.0004631+0.00082219i
