0.003716-0.001279i,0.003185-0.0023568i,0.0012928-0.0026524i,-0.00033849-0.0015918i,-0.0021673-0.0012898i,-0.0034886-0.00080925i,-0.0022703+0.0005235i,-0.00071252+0.001103i,0.00051029+0.0007019i,0.00044102-0.00014212i,-0.00025382-0.00066177i,3.5863e-05-0.00071264i,0.00050037-0.00062231i,6.5515e-05-0.00048351i,-0.00072478-0.00010641i,-0.00060967-2.9068e-05i,-0.0007702-0.00044041i,-0.0011017-0.00055575i,-0.00037523+0.00030858i,3.5584e-05+0.0011858i,0.00041641+0.0011593i,0.00079027+3.8855e-05i,0.00049307-0.00054538i
0.00016464-0.0011858i,0.00063851-0.0017473i,-0.00077186-0.0005671i,-0.0010031+0.00072835i,0.00048572+0.00010945i,0.00020546-0.00078938i,-0.0010983-0.0013148i,-0.0012937-0.00057473i,-0.00068198+0.00026474i,-0.0004044+0.00025219i,-0.00029375-2.5345e-05i,-0.00040821-0.00063185i,-0.00061341-0.00033105i,-0.00035348+0.00068154i,-0.00017666+0.00054277i,-0.00018378-0.00016576i,-0.00017379+0.00028727i,0.00016543+0.00099986i,0.0001699+0.00029185i,0.00062152-0.0007881i,0.001228-0.0012229i,0.00090115-0.00070267i,0.00023063+0.00017085i
0.0024225+0.0010965i,0.001551+0.0011967i,0.0010607+0.00046026i,0.00068819+7.2045e-06i,-0.0001488-0.00033594i,-0.001348-0.0009212i,-0.0013592-0.00058797i,-0.00064279-0.00050477i,-0.00050217-0.00061052i,3.3297e-05-0.0007657i,3.3192e-05-0.0012742i,-0.00064386-0.0013507i,-0.00064271-0.0010548i,0.00025995-0.00028574i,0.00025743+0.0002433i,-0.00080035+0.00016454i,-0.0011311+0.00014206i,-8.5898e-05+2.8266e-06i,0.00058878-0.00032547i,0.00058226-2.0046e-07i,0.00011992+0.00015113i,-5.9636e-05-7.0491e-05i,0.00020384-9.8273e-05i
0.0022105-0.00053558i,0.0019038-0.0018096i,0.001181-0.0020492i,0.00034813-0.0012523i,-0.00039761-0.00091491i,-0.00043943-0.0010335i,-0.00050971-0.00069947i,-0.00011498-2.9261e-05i,3.1425e-05-0.00032986i,-0.00090183-0.00069353i,-0.00081374+1.6513e-05i,-0.00067521-0.00044429i,-0.00057972-0.00042239i,-0.00029392+1.5448e-05i,-0.0006663+1.6607e-05i,-0.00073301+0.00051728i,-0.00031878+0.00069892i,-0.00036231+4.5129e-05i,-0.00068744-0.00076926i,-0.00045851-0.0013191i,0.00011319-0.00081521i,6.7362e-05-7.6977e-05i,-4.7941e-05+0.00038594i
0.0014191-0.00093703i,0.0014701-0.00092634i,-0.00036991-0.0012058i,-0.00068399-0.00041857i,-0.00046297+0.000439i,-0.0011283+0.00033381i,-0.0012874-0.0002889i,-0.0002503-0.00067853i,0.00011525-0.0007249i,-5.4284e-05-0.00057907i,0.00027434-0.00067264i,-7.6274e-05-0.00012062i,-0.00043377+0.00012748i,7.2071e-05-8.5815e-05i,0.00013301-9.5059e-06i,-1.2874e-05+0.00058574i,0.00018596+0.00070647i,0.00082181+0.00018957i,0.00070283-1.1529e-05i,0.00030064+0.00037744i,4.3976e-05+0.00059487i,0.00039958-0.00013914i,0.00039052-0.00024169i
0.0011107-0.00060435i,0.0012313-0.0010862i,0.0014477-0.00065803i,0.001444-0.00014824i,0.00034051-0.00033135i,-0.00038652-0.00061712i,-0.00034006-0.00020176i,4.2514e-05+0.00059599i,-4.2362e-05+0.0008395i,-0.00025822-0.00018604i,-0.00070019-0.00042287i,-0.00085203+0.00017811i,3.4028e-05+0.00049475i,0.00035757+9.9734e-05i,0.00019764-0.00045921i,0.00015765-0.00092293i,0.00019916-0.00057472i,0.00030217+0.00046187i,0.00021138+0.00051578i,0.00051613+0.0001641i,0.00069003+0.00043872i,0.00062229+0.00040444i,-0.00015814-0.00049967i
0.0042665+0.00020258i,0.0034068-0.00027711i,0.0018271-0.00053183i,1.9875e-05-0.00019503i,-0.00086208+0.00018393i,-0.0017052-0.00013872i,-0.0013311+0.0002483i,-0.00023972+0.00086144i,0.00040597+0.00037811i,0.0003848+0.00038064i,-0.00014836+0.00023819i,0.00039673+0.00034497i,0.001246+0.00025948i,0.00087032+0.00011634i,0.00064+0.00019755i,0.00086465-0.00017671i,0.00035597-0.00071327i,-0.00076588-0.00067013i,-0.00059006-0.00014352i,0.00065465+0.00048245i,0.00045371+0.00037484i,0.00040985+0.00019638i,0.00014377+0.00026189i
0.0017431+0.0011105i,0.00040065+0.00055973i,-0.00081862+0.00031938i,-0.0013457+6.6772e-05i,-0.0013039-0.00039578i,-0.0010921+9.7002e-05i,-0.00097645+0.00026536i,-0.00066077+0.00015029i,0.00013287-0.000509i,0.00072285-0.0015428i,0.0010399-0.0011978i,0.00057886-0.00049634i,-3.3684e-05-0.00021078i,0.00055013+0.00017747i,0.00071681+0.00015457i,0.00076333-0.00010806i,0.00071775+0.00026475i,0.00043467+0.00031764i,-0.00049728-6.3828e-06i,-0.0013558-7.5069e-05i,-0.00081787-0.00040691i,0.00014639-0.00083952i,-0.00018299-0.00078365i
0.0015595-0.0021142i,0.0010095-0.0025036i,-0.00030152-0.0014306i,5.9694e-05-0.00072493i,0.00036331-8.6399e-05i,5.4439e-05-9.0335e-05i,0.00065653-0.00050311i,-0.00014995-0.0001243i,-0.0011517+0.00018212i,-0.0011915-0.0006114i,-0.0010912-0.00058234i,-0.00059052+6.8337e-05i,-0.00024638+0.00030014i,-5.522e-05+9.8634e-05i,0.00038677+4.3145e-05i,0.00027088-0.00033289i,-2.7128e-05-0.0010024i,0.00049971-0.0012498i,-4.127e-05-0.00089318i,-2.4329e-05-0.0002848i,0.00032736-0.00017258i,0.00027606-0.00025268i,0.00094108-9.1452e-05i
0.00098484-0.0011298i,0.0016685-0.0014854i,0.0007009-0.00098519i,0.00061258-1.6299e-05i,0.0014723-0.00047895i,0.00086481-0.00087134i,0.00025897-0.00079849i,-0.0002794-0.001474i,-0.00065132-0.0013118i,-0.00040978-0.00079873i,-0.00010004-0.00037748i,-0.00029864-0.00013188i,-0.00083414-0.00037746i,-0.0010268-0.00035808i,-0.00067631-0.00014254i,-0.00015388-0.00056262i,-0.00014248-0.0002978i,-0.00068645+0.00041372i,-0.00064007-3.3246e-05i,-8.9204e-05-0.00024105i,0.0001616-0.00029117i,4.8586e-05-0.0002814i,-0.00022406-0.00035203i
0.0014993-0.00066138i,0.0010729-0.0021928i,9.6804e-05-0.0020725i,-0.00052164-0.0004686i,-9.1769e-05-0.00033138i,0.00050709-0.00088385i,-0.0004593-0.0010833i,-0.0009618-0.0013032i,-0.0008332-0.00069199i,-0.00062554-0.00019145i,4.3816e-05-0.00018893i,-2.1063e-05+0.00035869i,-0.00016657+0.00030606i,2.8107e-05-0.00015259i,-6.8031e-07+6.1673e-05i,0.00030842-0.00026754i,0.00056872+9.9031e-05i,0.00054742+0.00055219i,0.00038053-0.00027683i,0.00026436-0.0011321i,0.0001262-0.0009472i,0.00049724-0.00066009i,0.00089156-0.00070751i
0.0012587-0.00019953i,0.0018037-0.00051121i,0.0007909+0.00051625i,0.00055897+0.001193i,0.0008734+0.00027242i,0.00042903-0.0011328i,-9.4133e-05-0.0018471i,-0.00072836-0.00103i,-0.00081288+0.00020071i,-0.00021587+0.00011228i,0.00011933-0.00063137i,-0.00057043-0.00079541i,-0.00083717-0.00029715i,-0.00030903+0.00028153i,-0.00019211-0.00016659i,-9.6727e-05-0.00059083i,-0.00045179-0.00029133i,0.00015262+0.00022008i,0.0003472-0.00011443i,0.0001685-0.00046019i,0.00031547+1.28e-05i,3.8904e-05-0.00010392i,7.674e-05-0.00058233i
0.0022817+0.0010267i,0.0016282-0.00028031i,9.5214e-05+4.4319e-05i,-7.9612e-05+9.5817e-05i,-0.00059412-0.00098235i,-0.00090979-0.0015456i,-0.00062294-0.0012169i,-0.00099115-0.00032919i,-0.00025184+0.00035746i,-4.6903e-05+0.00038957i,-0.00091379-0.00060436i,-0.0010492-0.0012195i,-0.00064527-0.0011079i,-0.0002085-0.0005663i,0.00020897-8.2477e-05i,-0.00033626-0.0010548i,-0.0010892-0.0013755i,-0.00088357-0.00061212i,-0.00026853-0.00015405i,-0.0004076+0.00010324i,-0.00081532+0.0003645i,-0.00035679-0.00051089i,7.2376e-05-0.001394i
0.0029748-0.00085577i,0.0024479-0.0024577i,0.0015004-0.0012915i,-0.00036874+0.00014706i,-0.0012941-0.00047523i,-0.0011407-0.0014158i,-0.00085864-0.00074533i,-0.00083401+0.00042349i,-0.0002347-0.00015475i,0.00067242-0.00074324i,0.0003554-0.00020176i,-0.00041426-0.00050565i,-0.00049751-0.00086023i,1.2084e-05-0.00041958i,0.00013156-4.6926e-05i,9.7839e-05+0.0003974i,0.00024021+0.00028976i,4.2317e-05+5.122e-06i,-0.00082935+0.00052829i,-0.0012171+0.0014029i,-0.00071962+0.0011257i,0.00061475+0.00037183i,0.0010785+0.00022395i
0.002687-0.0004818i,0.001668-0.0012312i,0.00042429-0.0011816i,-0.00024226-0.00029794i,6.2254e-05+0.00013988i,0.00034553+0.00037754i,-0.00040418+0.00030199i,-0.00099324+0.00031995i,-0.00043451-0.00015499i,-0.00053505-0.0010746i,-0.0011798-0.0011557i,-0.00062449-0.00030716i,0.00013989+0.00029465i,-5.7989e-05+0.0002119i,-0.0005229+0.00018959i,-0.00048543-6.0894e-06i,-0.00032018-0.00042663i,-0.00028595-0.00016827i,3.5379e-05+0.00097022i,0.00019149+0.0014698i,2.0714e-05+0.00065061i,-5.9899e-05-0.00019302i,-0.00059624-0.00053097i
0.00095019+0.0012322i,0.00045171+5.8488e-05i,0.00081821-0.00020903i,0.0010828-0.00036255i,0.00069647-0.0011778i,-0.0007864-0.0015175i,-0.0015404-0.0016005i,-0.00070618-0.0012935i,-0.00020297-0.00092187i,4.1161e-05-0.00040922i,-0.00025576-0.00023951i,-0.00013458-0.001141i,-0.00031555-0.00091842i,-0.00081029+0.00056342i,-0.00074051+0.00093639i,-0.00025529+0.00048197i,0.00049365+0.00019237i,-8.6357e-05+0.0001072i,-0.0010771-0.00037267i,-0.00066718-0.00065557i,0.0004789-0.00035833i,0.00052757+0.00012268i,-6.6901e-05+0.00078173i
0.0027727+6.7825e-05i,0.0017578-0.00083186i,-0.00023743-0.0017289i,-0.001214-0.0014947i,-0.0016765-0.00095377i,-0.0016512-0.00091193i,-0.001337-0.0014574i,-0.0010978-0.0018264i,-0.00066143-0.00099665i,-0.00063771-0.00018i,-0.00062834-0.00013044i,0.00012505+0.00013239i,0.0009657+0.00049159i,0.00072435+0.00053109i,0.00021907-3.5845e-05i,0.00023284-0.00041489i,0.00014701-0.00050701i,0.00020646-0.00026654i,0.00021601-0.00074857i,0.00011283-0.001117i,0.00054276-0.00041705i,0.00048154-2.1509e-05i,5.5361e-05+0.00029836i
-0.0001757-0.001424i,0.00052616-0.0017993i,0.00068599-0.00092378i,0.0005-0.00037174i,8.3093e-06-0.00015727i,-0.00029731-0.0005037i,-0.00024339-0.00010808i,-0.00016072+0.00011226i,-4.7807e-05-0.00059478i,-0.00026401-0.0013064i,-0.00043078-0.0015412i,-9.9376e-05-0.001001i,-0.00037286-0.00042455i,-0.00018118-0.00031025i,0.00037322-0.00014087i,0.00020504-0.0007319i,0.00026088-0.0010808i,0.00058588-0.00043653i,0.00108+0.00053612i,0.00075444+0.00035069i,-5.0857e-05-0.0004741i,-0.00025444-0.00073762i,0.00031218-0.00078208i
0.0040683-0.0018554i,0.003659-0.0014763i,0.00055119-0.0023i,-0.00071902-0.0018174i,-0.00033354-0.001246i,-0.0004627-0.00022946i,-0.00072317+4.6386e-05i,-0.00098421-0.00084602i,-0.00087761-0.0011275i,-0.000755-0.000751i,-0.00065771+1.5823e-05i,-0.00031936+0.00013641i,-0.00022553-0.00021472i,4.2728e-05-0.00037054i,-0.00028588-0.00036997i,-0.00070822+0.00015689i,-0.00070763+0.00078574i,-0.00073474+0.00080551i,-0.00037347+0.00066423i,-1.9853e-05+0.00089363i,-0.0001197+0.00074583i,-0.00038506+0.00024491i,-0.00012158+0.00031606i
0.0033239-4.7135e-05i,0.0022638-0.0017115i,0.0014037-0.0024173i,0.00035743-0.00075211i,-0.00049791-0.00012808i,-0.00030353-0.00086148i,-0.00047653-0.0011988i,-0.00075745-0.0011452i,-0.00031722-0.00079388i,-5.5889e-06-0.00046149i,5.2163e-05-0.00034901i,0.00020668-0.00060865i,0.00037381-0.0010406i,0.0003787-0.00098831i,-0.0001504-7.4838e-05i,-0.00047631+0.00047417i,-0.00010679+0.00040772i,-0.00013615-0.00047762i,-8.8187e-05-0.0010703i,0.00058335-0.00019516i,0.00096595+0.00077061i,0.0002943+0.00042988i,0.00022744-5.3426e-05i
0.0020559-0.0012129i,0.0018659-0.0011145i,-5.7707e-05-0.00041528i,-0.00079117-0.00055736i,-0.00012714-0.00010688i,-0.000363-1.682e-05i,-0.00070916-0.00055688i,-0.00035615-0.00046458i,-0.00036021+0.00015816i,-0.00025185+0.00012741i,-0.00014613-7.1125e-05i,-0.00077037-0.00024604i,-0.00033513-0.00064917i,3.0771e-05-0.00033618i,-0.00034791+9.8977e-05i,-0.00091707-7.0189e-05i,-0.00064084-3.7557e-05i,-3.6836e-05+0.00014019i,2.9434e-05+0.00033593i,0.0002141+8.8488e-05i,0.0001189-0.0005604i,-0.00015033-0.00039055i,0.00015723-0.00034666i
0.0013153-0.0013565i,0.0018228-0.0016445i,-9.0564e-06-0.00039354i,-0.00034543-0.00018611i,-6.5098e-05-0.00039307i,-0.00026359-0.00045883i,-0.00069235-0.0011928i,-0.00090771-0.00096128i,-0.0010999+0.00025777i,-0.00075529+0.00037049i,0.00034585-0.00060104i,0.0003852-0.0010267i,7.0023e-05-0.0011091i,0.0003711-0.00051955i,0.00041877-0.00035749i,0.00027334-0.00091926i,-0.00047057-4.1638e-05i,-0.0012535+0.00060142i,-0.0009396+0.00051248i,0.00013878+0.00042815i,0.0012285-0.00031108i,0.0011395-0.00056012i,0.00088047-0.00046344i
0.0032557-0.0029506i,0.0025262-0.0018223i,0.0006864-0.0017984i,-0.00071871-0.0016914i,-0.0008712-0.00036279i,-0.00013055+0.001156i,0.00010059+0.000983i,0.00025876+0.00031138i,0.00048933-0.00027182i,-0.00021441-0.00073678i,-0.00037568-0.00052565i,0.00025663-0.00023742i,0.00070819+0.00020213i,0.00044831+0.00027207i,-8.157e-05-0.00016308i,0.00016724+2.28e-05i,0.0007502+2.3389e-05i,0.00077477-0.00049204i,0.00030377-0.00069019i,-8.448e-05+0.00046196i,5.6348e-05+0.0012694i,-0.00033618+0.00025616i,-0.00091647+8.2549e-05i
0.002272+0.0017379i,0.0019399+0.00073851i,0.0010996-0.001132i,0.0006169-0.0023611i,0.00017154-0.0028279i,-0.0010812-0.0024218i,-0.0011183-0.0014841i,-0.0004125-0.00084185i,-0.00011824-0.00069822i,-0.00013829-0.00081183i,-9.6599e-05-0.00077161i,0.00034265+0.00029316i,0.00080416+0.0010352i,0.00072668+0.0001188i,0.00049882+0.00017508i,0.00050421+0.00018427i,0.00025317-9.9714e-05i,0.00011187-0.00021841i,0.00013793-0.00021434i,0.00022631-9.8245e-05i,0.00011416-0.00014646i,-0.00044549+0.00055543i,-0.00055835+0.00082323i
0.0018306+0.00021757i,0.00078717-0.00089468i,-0.0002779-0.00083601i,-0.00083591+0.00056614i,-0.0010444+0.001002i,-0.00093573+0.00031377i,-0.00010315-0.00044297i,0.00045336-0.0012669i,0.00015338-0.0013166i,-0.00017841-2.9141e-05i,-9.7636e-05+0.00014318i,-0.00018269-5.3675e-05i,-0.00051077+0.00012817i,-0.00032311-0.0001196i,5.9118e-05-0.00041147i,-9.0855e-05-0.00034621i,0.00032701+0.00038943i,0.0010744+0.00050818i,0.0008127+0.00021775i,0.00010593+0.00013778i,-0.00012751-0.00036615i,0.00069516+0.00011954i,0.0011295+0.00085823i
0.00249+0.0019951i,0.0017778-0.00047517i,0.0012433-0.0014663i,0.00096929-0.0017066i,0.00055776-0.0016548i,-0.00037372-0.0016981i,-0.0012236-0.0013616i,-0.0012833-0.00097795i,-0.00038577-0.00031399i,0.00025451+0.00012783i,0.00024857-0.00027362i,0.00027221-9.3283e-05i,0.00013436+0.00021049i,8.1879e-05+0.00070669i,-9.9572e-05+0.0010766i,-0.00016217-7.6863e-05i,0.00014285-0.00046839i,0.00050163+0.00019912i,0.00055435-2.806e-05i,-0.00015373-0.0005343i,-0.0008234+0.00011603i,-0.00032298+0.00061807i,0.00021128+0.0006323i
0.0014752-0.0021611i,0.0013892-0.0020837i,0.00012946-0.00093731i,-0.00055136+0.00035535i,-0.0010611+0.00091601i,-0.0014554+0.00034383i,-0.001057-0.0003838i,-0.00015208-0.00028484i,0.00013148-0.00022784i,-0.00032751-0.00019365i,-0.00074805-0.00086043i,-0.00083041-0.0011258i,-0.00055688-6.2554e-05i,-0.00026969+0.00066586i,0.00018405+0.0005691i,0.00049148+0.00015836i,5.1273e-05-0.00055808i,7.5168e-05-0.0013646i,0.00041419-0.0013019i,0.00083291-0.00053951i,0.00079041-0.00032396i,0.0001807-0.0001226i,-0.00042142+0.00038516i
0.002659+0.00055866i,0.00228+0.00039192i,0.00017775+0.00025412i,-0.00067953+0.0002063i,-0.0011017+0.00021454i,-0.00067339+0.00040205i,-0.00042911+0.00056799i,-0.0003078+0.0003732i,2.9514e-05+0.00029476i,9.1981e-05-0.00037411i,-0.00027285-0.00099233i,7.7172e-05-0.00045055i,0.00041881+0.00070196i,0.00078717+0.00050552i,0.00075826+1.5488e-05i,0.00020219+0.00036908i,0.00035193+0.00040378i,0.0005911+1.0032e-05i,4.9775e-05-0.00020586i,-8.2031e-05-0.00055436i,0.00058873+0.00018194i,4.6591e-05+0.00084817i,-0.00032868+0.00087438i
0.00091652-0.00071269i,0.00096862-0.00060073i,6.4912e-05+0.00066838i,-0.00049675+0.0015434i,-0.00030193+0.00059761i,0.00022038-0.00037026i,-6.8576e-05-0.00095053i,-0.00044475-0.00068731i,-0.00097538-7.181e-06i,-0.0005423-0.00022556i,-3.7041e-05-0.00059767i,-0.0004641-0.00025278i,-0.00081758+0.00038983i,-0.00025032+0.00067552i,0.00060272+0.00069605i,0.00034009+0.00074465i,-0.00043001+0.001113i,-0.00054171+0.00099481i,-0.00061401+0.00087835i,-0.0004776+0.00067073i,4.3773e-05+7.6553e-05i,0.00015914+0.00016671i,0.0003625+0.0005075i
0.0022043-0.0004329i,0.0018181-0.0016383i,0.0012974-0.002603i,0.00029911-0.0018711i,-0.0016681-0.00058129i,-0.0018885-0.00083034i,-0.0010428-0.00052691i,-0.00031299-0.000567i,0.00034999-0.0012045i,0.00034057-0.0010635i,0.00022595-0.00027184i,6.625e-05+0.00021276i,0.0003527+0.00055235i,0.00046034+0.00037068i,6.0511e-05-0.00020684i,-0.00049116-8.0028e-05i,6.0388e-06+0.00032025i,0.00067635+0.00018803i,-0.00011492-0.00018621i,-0.0016647-0.00029895i,-0.0013171-0.0004015i,0.0001858-0.00054718i,0.00053851-0.00059415i
0.0029698-0.0027788i,0.0029787-0.001997i,0.001315-0.0015949i,0.00021862-0.00050551i,-0.00076068+0.00079515i,-0.00043713+0.0013497i,6.9336e-05+0.0015615i,1.0618e-05+0.00073606i,0.00017134-0.0002782i,-0.0005624-9.8987e-05i,-0.0014114-0.00058593i,-0.0004524-0.00063684i,0.00069507-0.00019887i,0.00083449-0.00011825i,-0.00034001-0.00018368i,-0.0010721-4.5327e-05i,-0.0004028+1.8489e-05i,0.00037596-0.0002392i,0.00058409-0.00011807i,0.00075802+0.00040823i,0.00056143+0.00082875i,-0.0007022+0.00019647i,-0.001259-0.00044413i
0.0032316+0.0017061i,0.003335+0.00046206i,0.0018522-0.00024879i,0.00060155-0.00064671i,-0.00012708-0.00084145i,-0.00082749-0.0012477i,-0.0010193-0.0010794i,-0.0011141-0.00016308i,-0.0011739-5.5548e-06i,-0.00082117-0.00062442i,-5.7936e-05-0.0009939i,0.00031909-0.0005375i,-0.00033501-0.00036341i,-0.0006195-0.00041979i,-0.00027993-0.00026432i,0.00022398+0.00018708i,0.00046597+0.00040729i,0.00043795+0.00033595i,0.00071857+0.00052853i,6.2601e-05-0.00027897i,-0.00054995-0.001498i,-0.00021147-0.00078097i,0.00019425+0.00065478i
0.0012493+0.0013041i,0.0010068+0.00054203i,-0.00047817+0.00049153i,-0.00096186+0.00027592i,-0.0010278-0.00012972i,-0.00092752-0.0007552i,-0.0005294-0.00072216i,-0.00012883-0.00040553i,-0.00063329-0.00031811i,-0.0013517-0.00081591i,-0.0013245-0.0012649i,-0.0010592-0.00067014i,-0.00018719-9.3702e-05i,0.0001926+0.00031947i,-0.00012427+0.00069768i,-0.00031995+0.00028236i,-0.00039276-0.00021073i,-0.00038525+1.2894e-05i,-0.00056035+0.00025386i,-0.0008985+0.00061542i,-0.0011514+0.0010511i,-0.00051671+0.00044231i,0.00037166+9.7246e-06i
0.0026484+0.00047675i,0.0015999-0.0010169i,0.00017094-0.00049166i,-0.00024311+0.00016706i,-0.00051348-0.00021573i,-0.0010422-0.00092291i,-0.0007646-0.0013527i,-0.00026672-0.0012054i,-8.8474e-05-0.00036912i,-0.00045126-5.9357e-05i,-0.00073733-0.00056444i,-0.0004588-0.00061325i,-0.0005513+0.00020145i,-0.0010121+0.00020051i,-0.00066412-0.00041163i,0.0004976-0.00021291i,0.00072826+6.2368e-05i,0.00039399+4.5353e-05i,0.00043399+0.00038308i,0.00027227+0.00047172i,-0.00024747+0.00040752i,-0.00087306+0.00024677i,-0.00096096-6.2084e-05i
0.00041335+0.00030757i,-0.00030272-0.00038269i,-0.00038407+0.00016469i,-0.00092479+0.00020829i,-0.0011083-0.00040181i,-0.00041312-0.0011934i,-2.9785e-05-0.0011597i,0.00019366-0.0010187i,0.00025205-0.00099957i,0.00095589-0.0013376i,0.0013747-0.0015932i,0.00076422-0.0013195i,0.00046689-0.00074681i,0.00026225-0.00025479i,-0.00033083-0.00032442i,-0.00036393-0.0005354i,9.655e-05-0.00047473i,0.00082155-6.3623e-05i,0.00053884+0.00062392i,-0.00060113+0.00039998i,-0.00029826-0.00021548i,0.00014418-0.00025852i,0.00032181+0.00044552i
0.001027-0.0011027i,0.00033075-0.0025846i,-0.00087631-0.0016386i,-0.00060623-0.00051159i,0.00043777-0.0002595i,0.00025371-0.00082858i,-0.00036171-0.0021656i,-0.00030497-0.0015982i,0.00010803-0.00050116i,-4.0475e-06-0.0013449i,8.8863e-05-0.001597i,0.00037206-0.00080015i,-0.00046152-7.88e-05i,-0.0011437+0.00038032i,-0.00075523+0.00024587i,8.5778e-05+0.00026892i,0.00041942+0.00058856i,-0.00011037+9.4484e-06i,1.6261e-05-0.0006168i,0.00049544-0.00019068i,0.00025167-0.00032924i,-0.00025481-0.00067411i,9.5467e-05-0.00071758i
0.003046+0.00057299i,0.0027869-0.00059005i,0.0005707-0.00037023i,-0.00096713+0.00015832i,-0.00012894-7.7153e-05i,-8.4585e-05+5.0944e-05i,-0.00093435+0.00042851i,-0.00065132+0.00030341i,6.9927e-05+1.043e-05i,6.5772e-05+6.9813e-05i,0.00024544+0.00016905i,0.00048403-0.0003943i,0.00055776-0.00020443i,0.00038789+0.0008148i,-0.00040207+0.0008656i,-0.00061596+0.00065764i,-8.5624e-05+0.00089873i,0.00047472+0.001029i,0.00023473+0.00012056i,-0.00033175-0.00047938i,-0.00032938+9.2168e-06i,-0.00020798+0.00042087i,-0.00014781+0.00069293i
0.0020077-0.00011853i,0.0016075-0.00072575i,0.00082785-0.00059125i,0.00010101-0.00078556i,-0.00038081-0.00078166i,-0.00090192-0.0010226i,-0.00086332-0.0013364i,-0.00083791-0.0013092i,-0.0010007-0.00099415i,-0.00083985-0.00077304i,-0.00082952-0.00079412i,-0.0011186-0.00021656i,-0.0010704+0.00013491i,-0.00039374-0.00048317i,-9.4318e-06-0.00053337i,0.00016196+2.275e-05i,0.0010296-0.00010615i,0.0011282-0.00044878i,0.00016249-0.00065575i,-0.00086327-0.0005153i,-0.0011664-0.00037024i,-0.0011355-1.6232e-05i,-0.00098561+0.00094568i
4.3435e-06-0.0017908i,0.0017191-0.002544i,0.00010881-0.0016588i,-0.00033598+0.00013875i,7.1042e-05+0.00088802i,0.00064182+0.00048802i,0.00069172-0.00093113i,-0.00021871-0.001969i,-0.0010937-0.0016483i,-0.0009638-0.00084767i,-0.00050484-0.00041356i,-0.0001095-5.2982e-05i,0.00052956+0.00038138i,7.8246e-05+0.0005627i,-0.0009672+0.00032076i,-0.0010546-0.00017007i,-0.00068948-0.00038586i,-0.00024124-0.00034688i,-0.00029978-0.00013531i,-0.00047474+0.00016822i,0.00056586+0.00047341i,0.0012849+0.0003745i,0.00089504-0.00011079i
0.0033987-0.00095194i,0.0028623-0.00038182i,0.0014454-0.00031027i,0.00083404-0.00099722i,0.00029388-0.0013263i,-0.0003674-0.0014412i,-0.00060619-0.0011925i,-0.00030219-0.00023383i,0.00074719-9.6269e-05i,0.00084159-0.0010209i,-9.0738e-06-0.0012464i,0.00017838-0.00085032i,0.0007577+0.00025224i,0.00028733+0.00091038i,-0.00033283+0.00093618i,-0.00018822+0.00076459i,-0.00016517+0.00036995i,4.7898e-05+0.00069224i,0.00068464+0.001311i,-2.1201e-05+0.0013035i,-0.00069119+0.0011474i,-0.00036164+0.00039306i,-0.00046296-0.00039943i
0.0013936+0.0010118i,0.0010071+0.00070258i,0.00093495+0.00083058i,0.00057885+0.00033167i,-1.0324e-05-0.00013248i,-0.00054294-0.00032998i,-0.0013006-0.00018839i,-0.0015109-0.00055657i,-0.00071092-0.00049595i,0.00037539-0.00018338i,0.0012514-0.00016161i,0.0010229-0.00027995i,-0.00046598-0.00022916i,-0.00075612+0.00063771i,-0.000385+0.0011192i,-0.00063111+0.00041136i,-0.00025267-0.00034049i,0.00028621+2.4683e-05i,0.00024392-6.5891e-05i,-0.00060194-7.0992e-05i,-0.00099303+0.00035054i,-0.00018614+0.00045497i,0.00058285-2.1698e-05i
0.0014697-0.00082096i,0.00044406-0.0019887i,-0.00068379-0.0025669i,-0.00078286-0.0018839i,-0.0012243-0.0011724i,-0.0022469-0.00053083i,-0.001213-0.00044845i,-3.1082e-06-0.0003336i,-0.00049542-0.00082039i,-0.0003553-0.0011285i,0.00038982-0.00084424i,0.0010141-0.00077605i,0.0011141-0.00059535i,0.00086174-0.0008733i,0.00063312-0.00011122i,0.00022143+9.5627e-05i,0.00029408-0.0008883i,-4.2412e-05-0.00063177i,-0.00020496-0.00046464i,-0.00012949-0.0005845i,-0.00031409-0.00024489i,0.00023796-0.00042974i,0.00045106-0.00031591i
0.0033976-0.00050661i,0.0034243-0.00053201i,0.0018489-0.0012763i,-7.2615e-05-0.00095956i,-0.00098508-0.00081174i,-0.0010478-0.0011683i,-0.00075543-0.0004229i,-0.00079525+0.00015982i,-0.00068058+0.00012337i,-0.00053989-0.00033212i,-0.00029403-0.0011104i,0.0003822-0.0010934i,0.00059989-0.00021284i,0.00027975+0.00030551i,7.2849e-05-0.00019155i,9.6257e-05-0.0005243i,-0.00016911-0.00016533i,-0.0002785-0.00012274i,0.00071704-0.00022715i,0.00096486-0.00011633i,0.00042355-0.00041488i,0.00022168-0.0011391i,-8.6256e-05-0.0011882i
