0.0012134+0.00011999i,0.0013219-0.0021265i,0.00087989-0.0030589i,0.00053625-0.0025084i,-0.00026059-0.00084349i,-0.00064389+0.00047286i,-0.00063388+0.0013357i,0.00038535+0.0021593i,0.0016505+0.0015263i,0.0015794-0.0001205i,0.00076012-0.001078i,-4.2924e-05-0.0011296i,-0.0010215-0.00075335i,-0.00040864-0.00088641i,-0.00013667-0.0011017i,-0.001143-0.00060426i,-0.001014-6.8947e-05i,-5.0796e-05+1.2539e-05i,0.00065495+0.00058319i,3.5943e-05+0.0010467i,-0.00028909+0.00069931i,-0.00012086-0.00048151i,-0.0002587-0.00082937i
0.0023347-0.00028473i,0.0048583-0.0011613i,0.0051276-0.0010789i,0.0034362-0.0013788i,0.0015058-0.0013859i,0.00071913-0.0014362i,0.00094721-0.0017493i,0.0010784-0.0011972i,0.0012277+1.6595e-06i,0.0020485-7.1829e-05i,0.0026361-0.00066411i,0.0020214-0.0010612i,0.0012622-0.00099817i,0.00098688-0.0011274i,0.00085526-0.0012565i,0.00071005-0.000727i,0.00083877-0.00010118i,4.716e-05-0.00024171i,-0.00091261-0.00039808i,-0.00081449+0.00031661i,-0.00045902+0.00083041i,-0.00019284+0.00053574i,-0.00038372+0.00032956i
0.0021822+0.0017131i,0.0041179+0.0012331i,0.0048026+0.00034429i,0.0036628-0.0010932i,0.0022291-0.0022595i,0.00056036-0.002617i,-0.00055769-0.003005i,-0.00061815-0.0017078i,7.838e-05+0.00021603i,5.9833e-05-8.3715e-05i,-0.00014466-0.00090105i,0.00069971-0.00075262i,0.0012118-0.0013646i,0.0013487-0.0011725i,0.001229-0.00045364i,0.00077732-0.00040422i,0.00086007-0.0001674i,0.001094-0.00027246i,-0.00018726-0.00030571i,-0.0012982+0.00013433i,-0.0010723+0.00015149i,-0.00053503-0.00029676i,-0.00076698-0.00025336i
0.0022942+0.0022063i,0.003934+0.0019757i,0.0044624+0.00099019i,0.003692-0.00022257i,0.0024372-0.00097295i,0.00069448-0.0010387i,-0.00045973-0.0019698i,-0.00060455-0.0020273i,-0.000244-0.00013175i,1.8397e-05+0.0010623i,0.00055814+0.0019258i,0.00083511+0.0014539i,0.0011451-0.00011935i,0.0010975-0.00023969i,0.00090003-0.00019412i,0.0008323-0.00013969i,0.00046369-1.2398e-05i,-0.00035406-0.00041505i,-0.0012337-0.00029165i,-0.0011861+0.00010378i,-0.00020641-0.00022105i,3.4468e-05-0.0005635i,8.9991e-06-0.00027795i
0.0023005-0.0024619i,0.002788-0.0029548i,0.0018173-0.0030101i,9.4399e-05-0.0030942i,-0.00058694-0.0024166i,0.00055258-0.0015158i,0.00063981-0.0017343i,-0.00027597-0.0013084i,3.209e-05-6.9059e-05i,0.00069572+0.00079798i,0.00059922+0.001311i,0.00042547+0.0015035i,0.00096496+0.0012209i,0.0012623+0.00063614i,0.0017275+0.00061859i,0.0019204+0.00040373i,0.0010657+0.00010709i,1.0852e-05-1.6785e-05i,-0.00043665-0.00074885i,-0.001026-0.00097507i,-0.00088689-0.00037501i,-0.00020822-0.00021232i,-0.00063092-0.00023613i
0.0023228-0.0034082i,0.002843-0.0026216i,0.0027916-0.0028617i,0.0020401-0.0020573i,0.00052979-0.00054027i,-0.00067939+9.629e-06i,-0.00020469-0.0004007i,0.0003392-0.00034944i,0.00078464+0.00017825i,0.0014938-0.00087505i,0.0010268-0.0014426i,0.00069721-0.00047295i,0.0014082+0.00060031i,0.0017272+0.001055i,0.0010078+0.0013037i,0.00013064+0.00061408i,0.00028167-5.4834e-05i,7.2723e-05-0.00020099i,-0.00034338-0.00011232i,-0.00043901-0.000184i,-0.00010733-0.0001834i,0.00012293-0.00015487i,-0.0006408+0.00040713i
0.0001584+0.00064385i,0.0019376+0.0008628i,0.0041652+0.00099604i,0.0046768-0.00080353i,0.0030649-0.0028808i,0.0019543-0.0033662i,0.0011832-0.0025822i,0.0001857-0.00064982i,0.00015965+0.00072235i,0.00014324+0.00013151i,-0.00038953-0.0010767i,-0.00024402-0.00094903i,0.00058547-0.00030284i,0.00087487-0.00056952i,0.00055938-0.0014381i,0.00014059-0.0011818i,0.00034902-0.00061154i,0.0011225-0.00065122i,0.00053014-0.00036771i,-0.00079717+6.7395e-05i,-6.1866e-05+0.00065588i,0.00056067+0.00082958i,0.00056115+0.00054428i
0.0044586+0.00092719i,0.0059031+0.00032493i,0.0068453-0.00079148i,0.0055075-0.0020697i,0.0027032-0.003004i,0.0015467-0.0033606i,0.0012453-0.0033838i,0.00051912-0.0026319i,-0.00032854-0.0010478i,-0.00075044-4.623e-05i,-0.0008852+0.00042033i,-0.000535+0.00075089i,-0.00018016+0.0008845i,0.00013299+0.00056924i,0.00012078-0.00074716i,-0.00025944-0.0016647i,-0.00031794-0.00061216i,0.00030913+0.00025868i,0.00053241+0.00044137i,-0.00039403+0.00033042i,-0.00039483-0.00012206i,0.00015048-0.00053432i,0.0005618-0.00047839i
0.005009+0.0015143i,0.0071834+0.00064258i,0.0065518-0.00097889i,0.0043951-0.0021419i,0.0019113-0.0027486i,-0.00030087-0.002925i,-0.0014105-0.0030427i,-0.0014964-0.0021317i,-0.00072399-0.00044605i,0.00032156+0.00075946i,4.9241e-05+0.0015233i,-0.0003903+0.002141i,-0.00020756+0.0018263i,-0.00010938+0.0010242i,0.00027957+0.00034893i,0.00077665+9.9332e-05i,0.0012304-0.00023854i,0.0010826-0.00056i,-3.7869e-05-0.00051026i,-0.00091904-0.00029201i,-0.00084984-2.9207e-05i,-0.0002407+0.00030299i,8.9219e-05+0.00056451i
0.0040654+0.00063224i,0.0042677-8.4372e-05i,0.0040104-0.0009484i,0.0033736-0.0012323i,0.0022635-0.0013024i,0.0013333-0.0015306i,0.000164-0.0011077i,-0.00085297+0.00029632i,-0.00065196+0.0011841i,0.00039662+0.0010046i,0.00080668+0.0010479i,0.00098854+0.0013566i,0.00077023+0.0015227i,0.0004698+0.0010358i,0.000446+0.00080633i,0.00042067+0.00050796i,0.00033623+5.9047e-05i,0.00022018-2.2608e-05i,-0.00028701-0.00017557i,-0.00030971-0.00013226i,-0.00023332+0.00036189i,-0.000549+0.00038679i,-0.00044653+0.00032388i
0.0027048-0.0016298i,0.0044295-0.0022403i,0.004379-0.002508i,0.00265-0.0022143i,0.0015853-0.0013423i,0.002004+0.00021793i,0.0022626+0.0010499i,0.0018195+0.0016024i,0.0011705+0.0017894i,0.00010959+0.00019149i,-0.00049588-0.00093949i,-0.00015051+9.1876e-05i,0.00095872+0.0013293i,0.0019248+0.001558i,0.0017021+0.0014995i,0.0013383+0.0014436i,0.0011945+0.001446i,0.00072741+0.00061228i,0.00022933-0.0004723i,8.4191e-05-0.00053788i,0.0001038+5.6249e-05i,0.0001235+0.00086751i,-0.0001919+0.00037584i
0.0045653+0.0008927i,0.0056813+0.00025016i,0.0052322-0.00047061i,0.0029936-0.0008267i,0.00076256-0.0014854i,0.0012532-0.0022879i,0.0021923-0.0021471i,0.0015756-0.00057978i,0.0010817+0.0010113i,0.00060496+0.0005692i,-0.0010022-0.00024247i,-0.0022232-0.00011467i,-0.0014181+5.4188e-06i,7.7184e-05-0.00044999i,0.00060954-0.00066368i,0.00017553-0.00015894i,0.00041319+0.00031811i,5.5687e-05+0.00075772i,-0.00031584+0.00040144i,-0.00020743+0.0001025i,-0.00064187+0.00067962i,-0.00048396+0.0012579i,-0.00014817+0.0015476i
0.0037411+0.0028105i,0.0060253+0.001544i,0.0059303-0.0011572i,0.0032598-0.0037408i,0.001062-0.0040863i,-0.00020192-0.003388i,-0.00094095-0.0031786i,-0.00038111-0.0020248i,0.00053015-0.00042126i,0.00012419+0.00022971i,-0.00071339+0.00031976i,-0.0010425-3.8695e-06i,-6.6801e-05-0.00016397i,-2.224e-05+0.00047577i,-0.00051493+0.00074891i,-0.00029398+0.00027058i,-0.00031709-0.00066598i,-0.00072859-0.0010302i,-0.00063727-0.00064857i,-0.00051554+0.00019309i,-0.00045563+0.00046147i,-0.00028736-4.7974e-05i,-0.00014945-0.00070662i
0.00097986+0.00080587i,0.0016741-0.00085283i,0.0037079-0.0014994i,0.0051077-0.0030562i,0.0033685-0.0038181i,0.001498-0.0032021i,-0.00039775-0.0020775i,-0.001361-0.00065751i,-0.00020275+7.6381e-05i,0.00084776-0.0005416i,-0.00025111-0.00049118i,-0.0015234+0.00021257i,-0.00068538+0.00022765i,0.00020259-0.00049711i,0.00029743-0.0010581i,-0.00012863-0.00085677i,-0.00031846-1.0833e-05i,-0.00028447+0.00075229i,-0.00094195+0.00029777i,-0.00080225-0.00022815i,-0.000378-1.3949e-05i,-0.00056226-9.1663e-05i,-0.0010832-1.3529e-05i
0.0035009-0.0027381i,0.0040812-0.0022397i,0.0022774-0.0017613i,0.00049686-0.0011345i,5.4597e-05-0.0011615i,0.00011418-0.0004053i,-0.00047762-1.2027e-05i,-0.0011267+0.0010509i,-0.001114+0.0013541i,-0.00064189-0.00034331i,-0.00046288-0.0016515i,-0.00068946-0.0012557i,-0.00018275+0.00021093i,0.00059726+0.00064438i,0.00076011+4.4362e-05i,0.00060245+0.00012567i,-0.00022175+0.00053869i,-0.00066054+0.00058062i,-0.00032734+0.00040479i,-0.00039775+1.2153e-05i,-0.0010516-0.00015005i,-0.0010023+0.00079337i,-0.00050079+0.0010213i
0.0035555-0.0026342i,0.0057422-0.0030291i,0.0062412-0.0036613i,0.0045462-0.0046666i,0.003146-0.0035253i,0.0024926-0.00062493i,0.0025024+0.0010606i,0.0024015+0.0024383i,0.0014805+0.002836i,4.0508e-05+0.00028742i,-0.0016226-0.0018124i,-0.0028134-0.00071573i,-0.002395+0.00034673i,-0.0010298+0.00020084i,-0.00013433-1.4062e-06i,-0.00026463-0.00050986i,-0.0004857-0.0010084i,0.00016871-0.00036095i,0.00082747+0.00099201i,0.00017267+0.0018684i,-0.00047508+0.0015097i,4.7218e-05+0.00036897i,0.00060414+0.00021993i
0.0051829+0.0014317i,0.0070443+0.0014213i,0.0093371-1.8652e-05i,0.009413-0.0020809i,0.0063643-0.003007i,0.0038473-0.0024099i,0.0028333-0.0015447i,0.0026186-0.0002011i,0.0023343+0.00022164i,0.0014352-0.00093118i,0.00026879-0.0011262i,-0.001146-0.00019001i,-0.0015635+0.00041763i,-0.0012128-3.9184e-05i,-0.00098206-0.00063405i,-0.00078039-0.00034184i,-0.00048873-8.9253e-05i,-0.00061903-0.00054813i,-0.00098051-0.00062761i,-0.0015785+0.00020105i,-0.0011447+0.00076331i,-0.0006044+0.00027618i,-0.00055592+0.00013849i
0.0030965+0.0010964i,0.003706+0.0023681i,0.0021552+0.00094246i,0.00079474-8.7459e-05i,0.00067113-0.00029537i,0.00085072-0.00095297i,0.00048059-0.0016474i,0.00059143-0.0013928i,0.0011597-0.0013379i,0.0010716-0.0015701i,0.0012494-0.00068166i,0.0013119+0.00074199i,0.00039911+0.0016072i,0.00015234+0.00097776i,0.0007925-0.00047357i,0.0010809-0.0011269i,0.0011114-0.00043089i,2.7773e-05+0.00018082i,-0.00056574-6.7557e-05i,-0.00071577+0.00049871i,-0.00091937+0.0013322i,-0.00086431+0.00051762i,-0.00049443+0.00021565i
0.002934+0.0015655i,0.0037238+0.0014921i,0.0046899+0.00013231i,0.0036538-0.0013269i,0.0029505-0.00094586i,0.0030271+0.00082746i,0.0017356+0.0012739i,1.3527e-05+0.0008792i,-6.546e-05+0.00031627i,0.0010638-0.001062i,0.0017501-0.0022818i,0.0013152-0.0023364i,0.00049599-0.0018928i,0.00038779-0.0011799i,0.0010139-0.00076601i,0.00063474-0.00066403i,-0.00021015-0.00019671i,-0.00021955-0.00040342i,7.0311e-05-0.0013478i,-0.0004474-0.0010965i,-0.00085638-1.9538e-06i,-0.00055419+0.00084669i,-0.0003759+0.00053203i
0.0007455+0.0018996i,0.0032481+0.0012459i,0.0043824+0.00065166i,0.0046637-0.00016238i,0.0046223-5.8575e-05i,0.0042018+0.00047677i,0.0031557+0.0016433i,0.0017805+0.0035138i,0.00034945+0.002744i,0.00016327-8.7923e-05i,0.00050963-0.0014854i,-0.00048104-0.001989i,-0.00092267-0.0020875i,-0.00021693-0.0017259i,0.00060789-0.0013311i,0.0011701-0.00081807i,0.00057913-0.000325i,-0.00019605+0.0002176i,0.00012713+6.111e-05i,-0.00016713-0.00018797i,-0.0014964+0.00010822i,-0.0016941+0.00062079i,-0.00018532+0.00020947i
0.0016022+0.00031414i,0.0020197-0.0012862i,0.002314-0.0016404i,0.0030189-0.0017471i,0.0024286-0.0012554i,0.00173+0.00041684i,0.0025725+0.00079375i,0.0025707+0.0012078i,0.0016078+0.0013727i,0.0010734+0.00033654i,0.00011417-0.00010456i,-0.0010785+0.00025471i,-0.0019051+0.000907i,-0.0014047+0.0013209i,0.00016386+0.00044452i,0.0010331-0.00088617i,0.001001-0.00092991i,0.00077205-0.00091299i,-0.00019726-0.0013394i,-0.0015248-0.00050374i,-0.001026+0.00035545i,0.00025736+0.00055663i,7.8817e-05+0.0004475i
0.0024202+0.00050508i,0.0035681+0.00069058i,0.0046856+0.00058835i,0.0037124+0.00039052i,0.0025309+0.00099736i,0.0018259+0.0019987i,0.0010631+0.0022535i,0.00095528+0.0015666i,0.0014307+0.00074176i,0.0019784+0.00075173i,0.0019103+0.0004532i,0.001177+0.00019727i,0.00062977+0.00016898i,0.0010815+3.3637e-05i,0.00083173+0.00061997i,-0.000171+0.00052884i,-0.0002451-0.00061276i,-0.00032612-0.00057928i,6.2489e-05-0.00054018i,0.00030234-7.0919e-05i,3.7819e-05+0.00090751i,0.00027932+0.0010274i,0.000101+0.00036532i
0.00072319+0.00026784i,0.0029683+0.00018234i,0.0035309+0.0002863i,0.0029739-0.00048635i,0.0027527-0.00051129i,0.0021125-2.4621e-05i,-9.2553e-05-0.00049563i,-0.0017754-0.00083526i,-0.00077982-0.00073822i,0.0015336-0.00066795i,0.0022522-0.0014838i,0.0017276-0.0026837i,0.0011327-0.001955i,0.00027327-0.00015285i,-0.00061009+0.00019741i,-0.00033471-0.00046996i,-0.00017537-0.00011311i,-0.00029938+0.00051239i,-0.00039337+7.6071e-05i,-0.00074998-0.00029292i,-0.00090989-0.00012027i,-0.00027523+0.00026702i,2.5132e-05+0.00066319i
0.0028662-0.0043508i,0.0043173-0.0052528i,0.0045596-0.0046677i,0.003679-0.0031029i,0.0019271-0.0014028i,0.00016745+0.0012408i,-0.0016538+0.0033017i,-0.0026862+0.003988i,-0.0020802+0.0029897i,-0.00057008+0.00082016i,0.00078726-0.00030095i,0.00094465+9.1799e-06i,-7.4316e-05+4.6142e-05i,2.3405e-05+8.0762e-05i,0.00076707+0.00044428i,0.00038572+9.2599e-05i,-0.00034441-0.0006638i,-0.00022661-0.00037946i,0.00028166+0.00045622i,-0.00040594-0.00042674i,-0.0014033-0.0010741i,-0.0016281-0.00028568i,-0.0013963-6.0787e-05i
0.0062578-0.0014022i,0.0057649-0.0035671i,0.004276-0.0036913i,0.0014215-0.0017503i,-0.00097851+0.0002041i,-0.0011864+0.0021971i,-0.00042601+0.0041517i,-0.00050527+0.0051652i,-0.0001052+0.0041593i,-0.00014461+0.0032119i,-0.0012008+0.0021267i,-0.0012878+0.00025178i,-0.0012942+0.00039469i,-0.00066987+0.0015178i,0.00033661+0.0012883i,0.00045465+0.00073966i,-0.00027354-0.00013741i,-0.00058429-0.00075661i,-0.00046591-0.00077622i,-0.00095096-0.00018633i,-0.0016142+0.00060426i,-0.0013925+0.00015984i,-0.00084594+0.00013949i
0.0058963+0.00061695i,0.0080148-0.00049259i,0.0077557-0.0014124i,0.005365-0.00076113i,0.0026785-0.00012431i,0.00091629+0.00059587i,0.00024021+0.00084576i,0.00093249+0.0010381i,0.0027383+0.0015206i,0.0033138+0.001968i,0.0019887+0.001711i,0.00069499+0.00096384i,0.00019162+0.00069612i,0.00057559+0.00064406i,0.0011065+0.0001598i,0.0014497-0.00035924i,0.0014286-0.00051657i,0.00086264-0.0012731i,0.00048612-0.0013938i,-0.0005703-0.00059912i,-0.0017411+0.00045759i,-0.0014206+0.00052817i,-0.0001431+1.5882e-05i
0.0077742+0.0001225i,0.0090038-0.00045237i,0.0079006-0.0013924i,0.0047677-0.0018624i,0.0015899-0.00044121i,-0.00080452+0.0011967i,-0.0021541+0.0013698i,-0.0016005+0.00023263i,0.00018069-0.00018546i,0.0020464-7.6481e-05i,0.0027201+0.00034248i,0.0016934+0.00051967i,0.00041583-0.00026857i,-6.8654e-05-0.0010042i,0.00044845-2.3582e-05i,0.0013629+0.00090673i,0.0017276+9.8075e-05i,0.00092153-0.00081332i,2.8251e-05-0.00080765i,-3.3846e-05-0.00056671i,-0.0001753-0.00053928i,-0.00095879-0.00091538i,-0.00081151-0.00041209i
0.0011948+0.0031052i,0.0028362+0.0020396i,0.0028658+0.0018013i,0.001526+0.0011437i,-0.0010399-0.00030689i,-0.0029628-0.00090758i,-0.0043673-0.00028631i,-0.0044375+0.00075261i,-0.0032987+0.0019583i,-0.0015913+0.00092105i,-0.00028394-0.00019461i,0.00025315-0.00047856i,0.00016653-0.0017489i,0.00012528-0.0019903i,0.00060236-0.00098289i,0.00060384+3.7354e-05i,0.00021405+8.8565e-05i,0.00027574-0.0008338i,0.0002379-0.001888i,-0.00036562-0.0018928i,-0.00064355-0.0013429i,-0.0012269-0.00051085i,-0.001186+1.7503e-05i
0.0046035+0.0039381i,0.0072388+0.0031816i,0.0087212+0.00075214i,0.0062776-0.0011607i,0.00027592-0.0016293i,-0.0044221-0.00012431i,-0.0047957+0.0027679i,-0.0033466+0.0037441i,-0.0014897+0.0032104i,-0.00018963+0.002958i,-0.0001055+0.002299i,-0.0012516+0.0010987i,-0.0016921-0.00017453i,-0.0012081+0.00055284i,-0.0011893+0.0015018i,-0.00019281+0.000689i,0.00060293-0.00034783i,0.00048985-0.00025696i,0.00073258+0.00026461i,-3.0246e-05-0.0005189i,-0.00066744-0.00083246i,-0.00031353-0.00028184i,-0.00054133+0.0002472i
0.0057261+0.0031725i,0.0091087+0.0019754i,0.0092318-0.0002373i,0.0064162-0.0021623i,0.0024421-0.0021442i,-0.00064514-0.0018596i,-0.0017113-0.0002243i,-0.00087242+0.0021241i,0.00044327+0.0030673i,0.00096416+0.0025051i,0.00030367+0.0018214i,-0.000765+0.0016061i,-0.0010537+0.0013565i,-0.00053023+0.00044366i,-0.00032918-0.0001154i,-0.00037016-0.00026215i,0.00052993-0.00014287i,0.0013064-9.9483e-06i,0.00069989-0.00013893i,-3.9296e-05-0.00053423i,-0.00046218-0.00077247i,-0.0008422-0.00023953i,-0.0010681+0.00035459i
0.0053171+0.0013892i,0.007307+0.0013958i,0.0064423+0.0003735i,0.0030047-0.0010608i,-0.00044229-0.0030223i,-0.002494-0.0036302i,-0.0030388-0.0037565i,-0.0014482-0.0024581i,0.00077617-0.001051i,0.0016417-0.00034372i,0.00066758+0.00049655i,-3.2043e-05+0.001249i,0.00043419+0.0019301i,0.00065459+0.00090293i,0.00028774+0.00011562i,-0.00017249-0.00033729i,0.00076023-0.00054118i,0.0016546+0.00012693i,0.0006014+9.8235e-05i,-0.00015309-0.00045203i,-0.00016609-0.00066947i,-0.00094985-0.00015102i,-0.0016243+0.00049904i
0.002145+0.0036879i,0.0044612+0.0034462i,0.0044173+0.0025912i,0.0026102+0.00080827i,-0.00018667-0.00042296i,-0.0029935-0.0015998i,-0.0049514-0.0022421i,-0.0040394-0.001054i,-0.0017825-0.00018571i,-0.0010318-0.00024263i,-0.00083964+0.00019374i,-0.00066097+0.00036358i,-0.00026851-0.00028221i,-0.0003524-0.0013992i,-0.00071463-0.0017481i,-0.00033052-0.0008829i,9.3486e-05-0.00022214i,0.0012433-0.00044188i,0.0023256-0.00095852i,0.0014947-0.0013314i,-8.9294e-05-0.0010338i,-0.0007299-0.00044077i,-0.00089499+0.00012257i
0.00038382+0.0025162i,0.0035143+0.0019976i,0.0055561+0.00087111i,0.0044675-0.00062794i,0.0013726-0.0021002i,-0.0019391-0.002489i,-0.0047006-0.0020273i,-0.0052006-0.0003528i,-0.0033865+0.001508i,-0.0019411+0.0017212i,-0.0024512+0.00042995i,-0.0022938+6.2402e-05i,-0.0013831-0.00044546i,-0.00055501-0.0013636i,-0.00044738-0.0012526i,-0.0011294-0.0014143i,-0.0013101-0.0016866i,-0.00040549-0.0015231i,0.00093664-0.0013037i,0.000692-0.00099233i,4.8394e-06-0.00075929i,-0.00023338-0.0001752i,-0.00037383+0.00030378i
0.0036737-0.0014089i,0.0043307-0.0013727i,0.0028752-0.0029292i,0.00054998-0.0028067i,-0.0011906-0.0025551i,-0.0029087-0.0035029i,-0.004241-0.00246i,-0.0036951+0.00039466i,-0.0017209+0.002078i,-0.00043682+0.0018959i,-0.0011366+0.0016053i,-0.0016063+0.0015402i,-0.0011145+0.0012097i,-0.00044267+0.00077711i,0.0001901+7.268e-05i,9.4176e-08-0.0002798i,-0.00019028+0.00029897i,0.00034261+0.00051175i,0.00077034+9.4543e-05i,0.00038263-0.00020282i,-8.1862e-05-0.00070754i,-0.00048901-0.00019762i,-0.0013564+0.00023413i
0.0036549-0.0016812i,0.0050268-0.00073472i,0.0045205-0.00099765i,0.0017071-0.0013631i,-0.0014523-0.00036433i,-0.0026065+9.8731e-06i,-0.0018722-0.00027863i,-0.001044+4.3706e-05i,-0.00025989-0.00010384i,5.8226e-05-0.00074706i,-0.00019071-0.0002403i,-0.00046584+0.0011917i,-0.00022415+0.0017795i,-0.00031176+0.0014514i,-0.00011412+0.00076748i,0.00032776+0.00013732i,0.00051151-0.00072981i,0.00041872-0.00094577i,0.00077432-0.00092285i,0.00083059-0.0014931i,-0.00011077-0.001096i,-0.00068208-0.00065635i,-0.00078663-0.00055396i
0.0054936+0.0044207i,0.0085129+0.0025125i,0.0093226+0.00075507i,0.0056573-0.0010056i,0.0016179-0.0041459i,-0.00047598-0.0065893i,-0.001668-0.0072517i,-0.00092717-0.0053159i,0.00034075-0.0028424i,-3.1054e-05-0.0020267i,-0.0014831-0.002084i,-0.002307-0.00083796i,-0.0017199-0.0001399i,-0.00092331-0.0007198i,-0.00074401-0.0010379i,-0.00023671-0.0016127i,0.00031891-0.0021684i,0.0011367-0.0014208i,0.0015495-0.00048359i,0.0010737+0.00017182i,0.0002622+0.00076994i,-0.00034673+0.0003216i,-0.0010432-2.9626e-05i
0.00045325+0.00045822i,0.0020333-0.00059999i,0.0017908-0.00083158i,0.00033944-0.0013287i,-0.0012977-0.0032871i,-0.0029061-0.0062678i,-0.003807-0.0077907i,-0.0039702-0.006181i,-0.0035822-0.0031844i,-0.0029819-0.0013953i,-0.0026662-0.00074685i,-0.0024231-0.00034956i,-0.0009455-0.00049005i,0.00036745-0.0013998i,0.00068987-0.0018174i,0.00061541-0.0015571i,-0.00020213-0.00039717i,-0.00053423+0.00071751i,4.1426e-05+0.00047187i,0.00019638-0.00040759i,5.6021e-05-0.00057642i,-2.5609e-05-0.00046139i,-0.00057694+0.00018278i
0.0021623+0.00051872i,0.0038134+0.00014175i,0.0035714-0.00021338i,0.0007969-0.00037449i,-0.001362-0.0024004i,-0.0018692-0.0044381i,-0.0034114-0.004399i,-0.0038698-0.0026923i,-0.002062-0.00054402i,-0.0012173-0.00064431i,-0.0014522-0.00087784i,-0.001524-0.00090956i,-0.0015311-0.0013212i,-0.00031684-0.00055684i,0.00062731-0.00023912i,0.0006081-0.00035592i,0.00063547-0.00046443i,0.0009119-0.0010025i,0.00085144-0.0012098i,0.00076201+0.00013298i,0.00059954+0.0009944i,0.00014461+0.00056731i,-0.00026192+0.00053332i
0.001103-0.0013643i,0.0041567-0.0021035i,0.0045107-0.0022973i,0.0018191-0.0028639i,-7.3738e-05-0.0038641i,0.00059456-0.0047903i,0.0014308-0.0048891i,0.00098857-0.0019772i,0.00019685+0.00089553i,-0.00069505+0.00046158i,-0.0011204-0.001584i,-0.00077003-0.0014864i,-0.0011996-0.00047336i,-0.0012987-0.00023433i,0.00048392-0.0013029i,0.0017687-0.0011312i,0.001564+0.00023624i,0.0013292+3.6396e-05i,0.00051674-0.00048673i,0.0006976-0.0004617i,0.001095-3.9553e-05i,-5.7289e-06+0.0003132i,-0.001093-0.00015462i
0.0037823-0.0020988i,0.0063567-0.0012359i,0.0059082-0.00029616i,0.0036723-0.0019351i,0.0014381-0.0043778i,0.00091513-0.0062039i,0.0019472-0.0061195i,0.0023981-0.0046831i,0.0022972-0.0025318i,0.0016435-0.002014i,-2.2184e-05-0.0020976i,-0.0014887-0.001378i,-0.0012037-0.00062172i,0.00041682+5.4918e-05i,0.001688+1.7821e-05i,0.0015028-1.8013e-05i,0.00084836-1.8165e-05i,0.00076117+0.0004603i,0.00067933+0.0010757i,0.00042777+0.0012073i,0.00065667+0.00074246i,3.0644e-05-7.8743e-05i,-0.00072659-0.00032828i
0.0024012-0.00095001i,0.0039453-0.00016552i,0.0025011-0.0001201i,0.00097152-0.0018475i,0.0014866-0.004485i,0.0026401-0.0066723i,0.0028351-0.0078427i,0.0014545-0.0070714i,0.0010181-0.0050125i,0.0014948-0.004202i,0.00043604-0.0036843i,-0.00022048-0.0030463i,0.00027662-0.0022897i,-1.4227e-05-0.0013303i,-0.00010021-0.00060102i,-3.6692e-05+3.5761e-05i,-0.00034034+0.00030184i,0.0006843+6.3271e-05i,0.0017029-0.00029431i,0.00085498+0.00019137i,-0.00051098+0.0009515i,-0.0010158+0.00080138i,-0.001257+0.00051604i
0.0070869+0.0024747i,0.0092933+0.0019193i,0.0076721-0.0012391i,0.0031286-0.0050518i,0.00057809-0.007927i,0.0014347-0.0093912i,0.00064131-0.008874i,-0.001492-0.0052172i,-0.0015881-0.0015084i,-0.00050786-0.001362i,-0.0010762-0.0019632i,-0.0014738-0.001125i,-0.00071743-0.00043403i,-0.0003342-8.2444e-05i,-0.00038901+0.0010059i,-0.00032406+0.0013621i,0.00074987+0.00066457i,0.0013415+0.00022642i,0.0011108-0.00011154i,0.00074944-0.00014948i,-0.00010983+0.00012425i,-0.00049577-0.00078407i,-0.00056347-0.00097023i
0.0078859-0.0014266i,0.0094485-0.00071722i,0.0077621-0.0026433i,0.0037036-0.0046607i,0.0018062-0.0043066i,0.0025986-0.0027047i,0.0019726-0.0010801i,0.00038667+0.0011106i,-0.00012896+0.0022162i,0.00044107+0.00064231i,0.00057278-0.0012239i,0.00014082-0.0016419i,-0.00079973-0.0013316i,-0.0014023-3.6383e-05i,-0.0013416+0.00082899i,0.00015733+0.0001338i,0.0016564-0.00062502i,0.0016765-0.00020947i,0.0014932+0.00058315i,0.00090751+0.00081289i,-0.00065798-9.4002e-05i,-0.0017657-0.00082531i,-0.0018148-0.00077381i
0.0015313-0.00027232i,0.0023331+0.0027967i,4.9494e-05+0.0028304i,-0.001056+0.00072433i,0.0021937-0.00090355i,0.0074663-0.0031151i,0.0094161-0.0038025i,0.0068179-0.0017619i,0.0046694+0.00092005i,0.0037721+0.00083577i,0.0028357-0.0016764i,0.0017664-0.0024356i,0.0011938-0.001341i,0.0010248-0.00028862i,0.0010855+0.00039829i,0.0014563-0.0002473i,0.0014435-0.00074083i,0.00085012-0.00032212i,-0.00038587-0.0005309i,-0.00025422-0.00021073i,0.00037296+0.00076013i,-0.00050478+0.00064377i,-0.0010612-0.00012647i
