-0.0033688+0.0006394i,-0.0023932-0.00049523i,-0.0029293+5.283e-05i,-0.0017771+0.00049862i,-0.00072364+0.00096347i,-0.0011498+0.0011683i,-0.00075571+0.00081114i,0.00049783+0.00081963i,0.00073338+0.00038996i,9.4744e-05-9.8135e-05i,-0.00018637+6.8576e-05i,4.0984e-05-0.00033i,0.00036668-0.00079258i,-0.00037351-0.00085533i,-0.0011758-0.0011214i,-0.0010616-0.0011075i,-0.0011505+3.6701e-05i,-0.0013095+0.00092292i,-0.0010428+0.00091012i,-0.00073361+0.00077789i,-0.00015829+0.00041848i,0.00051783+0.00023748i,0.00034044+0.00010703i
-0.00013098-0.00061117i,-8.3054e-05-0.0016194i,0.00072438-0.0021869i,0.0011829-0.0015222i,0.0021471-0.00085906i,0.0015837-0.0012523i,0.00067226-0.0015883i,0.00055416-0.0010347i,-0.00029997-0.00087233i,-0.0012506-0.0012554i,-0.0011851-0.0019284i,-0.00055863-0.0010648i,-0.00053941-9.6912e-05i,-0.00018266+0.00018754i,0.00011979+0.00044139i,0.00022635+7.6434e-05i,0.00038172-6.7998e-05i,0.00037109+1.6242e-05i,0.00067001-0.00016747i,0.00094061+0.00032599i,0.00088421+0.0001642i,0.00062478-0.00041529i,1.4684e-05-8.1618e-05i
0.0016037+0.00078145i,0.0022292+0.0018308i,0.0020563+0.0015842i,0.0011687-0.00025892i,0.00090349-0.00058906i,0.0014745-0.00065836i,0.0012126-0.001023i,1.2389e-05-0.00075953i,-0.0005496-0.0012015i,-0.0006587-0.0023908i,-0.0011775-0.0020516i,-0.0012348-0.00088438i,-0.00040679-0.00081082i,0.00027519-0.00034655i,0.00075126+0.0010092i,0.00072663+0.0010816i,5.7018e-05+0.00051914i,-0.00073468+0.00020982i,-0.00030876+0.00058597i,0.00074176+0.00089454i,0.0010482+0.00016103i,0.0003004-0.00015333i,0.00028912-0.00044581i
-0.0019877+0.0019931i,-0.002265+0.0018426i,-0.00043419+0.0018403i,0.0016841+0.0016075i,0.0021042+0.00031625i,0.0016199-0.00093399i,0.0010578-0.00046464i,0.00032746-0.00013469i,0.00045918-0.00065147i,0.00015999-0.00089491i,-0.00027552-0.0016618i,0.0010558-0.0015621i,0.001654-0.00040753i,0.00059433+0.00095635i,-0.00035553+0.0019106i,-0.0006777+0.0016499i,-0.00050321+0.0013662i,-0.00022455+0.0011466i,-0.00015741+0.00056431i,0.00034941-0.00026462i,0.00063638-0.00046532i,0.000223+0.00011086i,0.00023367-2.5012e-05i
0.0010302-0.00012324i,0.0001402-0.00037566i,0.00051943-9.2661e-05i,0.00060958-0.0012984i,0.0012463-0.0020983i,0.0008942-0.0021674i,0.00025833-0.0019051i,-8.7263e-05-0.00089059i,0.00019985-0.00034835i,0.00015182-0.00053039i,-0.00018342-2.8559e-05i,-0.00035643+0.00063285i,-0.0017163-0.0001548i,-0.0027606+9.4254e-06i,-0.0020008+0.00052633i,-0.0010326-0.00067232i,-0.00019732-0.00056414i,-7.5168e-05+0.00049312i,-0.00034825+0.00035664i,-0.00070581-4.0067e-05i,-0.00081323-0.00013743i,-0.00059375+0.00010179i,0.0001553-0.00014214i
0.0033693+0.00065113i,0.0042495-4.7584e-05i,0.004823-0.00093955i,0.0034547-0.0017685i,0.0020386-0.0017078i,0.0011528-0.0012601i,0.00030555-0.0012401i,-0.00070074-0.0006051i,-0.00062587-0.00079963i,-0.00055379-0.0013788i,-0.0016111-0.0012825i,-0.0021881-0.0013842i,-0.0016775-0.0014584i,-0.00022017-0.0012282i,0.00068214-0.00097286i,0.0007257-0.00090675i,0.0005993-0.00073998i,0.00010415+0.00018703i,-0.00034169+0.0010437i,0.00032258+0.00070851i,0.00043557+0.00027685i,-0.00019351+0.00059178i,-0.00069975+0.0010526i
-0.00092809+0.001484i,-0.0011659+0.001517i,-0.0011052+0.0011618i,0.00012043+0.0010584i,0.0015844+0.00035513i,0.0024987+0.00050856i,0.0013412+0.00071036i,0.0002014+0.00022954i,0.00056952-0.00024621i,-0.00015708-0.00055023i,-0.0017291-0.00049784i,-0.0015564-0.00087939i,0.00011166-0.0020311i,0.0011908-0.0021424i,0.0010968-0.00025815i,0.00056196+0.0009335i,0.00010961+0.00041778i,-0.00011314+1.6741e-05i,3.7044e-05+0.00024653i,0.00035478+0.00068564i,0.00021673+0.00085208i,-8.9203e-05+0.00021357i,0.00026324-0.00033918i
3.999e-05+0.00084051i,0.0011344+0.00090971i,0.0010362+0.0011987i,4.2243e-05+0.0010591i,0.0002191+0.00044556i,0.00054142-0.00052243i,0.00012516-0.00086955i,-0.00041987-0.00058487i,0.00053455-0.0012064i,0.001204-0.00152i,0.00055038-0.0012046i,0.00034212-0.0012991i,0.00043266-0.0012135i,0.00070813-0.0003538i,0.00068953+0.00038904i,0.00020781+0.00023607i,-0.0008087+0.00051931i,-0.00071903+0.0010446i,9.275e-05+0.0011927i,0.00028029+0.0010186i,0.00035934+0.00021275i,0.00017306-0.00052433i,-0.00070034-0.0006964i
0.0011577-0.0015267i,-0.0001541-0.00030045i,-0.0015886-0.0010662i,-0.0016423-0.00095946i,-0.00033998-4.5504e-05i,0.00052988+0.00027678i,0.0002386-0.00040255i,-6.6826e-05-0.0010783i,-0.00022243-0.00051638i,-0.00025068+0.00028431i,-0.0004703+0.0006618i,-0.00057263+0.0010545i,-0.0001668+0.0015005i,-0.00072841+0.0015915i,-0.0011396+0.0010469i,0.000131+0.00028583i,0.0010814-0.00035196i,0.00092277-0.00022309i,0.00075109+0.00042584i,-9.8878e-05+0.00026582i,-0.000328-8.6776e-05i,0.00054204-0.00017267i,0.001045-0.00074762i
-0.0011167+0.0024535i,-0.00063212+0.0030323i,0.00067114+0.0023488i,0.0016949+0.0012669i,0.0012244-0.0001627i,0.0011258-0.0013938i,0.00094768-0.0010716i,0.00015696+6.3346e-05i,0.00015071+0.00019086i,-0.00021168-0.00048821i,-0.001905-0.00077383i,-0.0021962-0.00099456i,-0.0015571-0.0021501i,-0.0014229-0.0030697i,-0.00052366-0.0022277i,0.00021185-0.001138i,-0.0003191-0.00056225i,-0.00085368-0.00031694i,5.3805e-05-0.00048926i,0.0009588-0.00046915i,0.000763+5.6506e-05i,7.6311e-05+0.00081625i,-0.00023541+0.00066232i
-0.0032178-0.00020995i,-0.0035788+0.00025684i,-0.0038685+0.0014728i,-0.0021481+0.0014083i,8.1973e-05+0.00018115i,0.00085206+4.2344e-05i,0.00034068+0.00028987i,-0.00050247-0.00025653i,-0.0010046-0.00045526i,-0.00084688-0.00019492i,-0.00091914-0.00011765i,-0.00062236+8.5835e-05i,0.00030343-0.0013102i,0.00077861-0.0026341i,0.00098502-0.00070593i,0.00074374+0.00092303i,-0.00027765+0.00093749i,-0.00017556+0.00074644i,0.00083307+0.00043751i,0.00082555-0.00016831i,0.00093095-0.00047744i,0.0014037-0.00018075i,0.00039376+0.00083813i
0.00070902+0.001164i,0.00063688+0.00064554i,0.0013644+0.0013003i,0.0013185+0.0018112i,0.0016773+0.0005803i,0.00066472-0.0010226i,-0.00049037-0.0019899i,-0.00055277-0.0014177i,-0.00092048-0.00070755i,-0.00050158-0.0014437i,0.00019323-0.001957i,0.00011884-0.0014539i,0.00087648-0.00058762i,0.002022+0.0006419i,0.0017932+0.001295i,0.00093121+0.00058985i,0.00084684-0.00020754i,0.00063209+0.00025197i,0.00039015+0.00035199i,0.00053006+0.00047381i,0.00055056+0.00079289i,0.00063057+0.00037322i,9.5736e-05+0.00046261i
0.0024508+0.0012264i,0.0024955+0.0011197i,0.0026269-0.00058231i,0.0020365-0.00036195i,0.00093038-0.000348i,0.00091785-0.0010402i,0.0015128-0.0007008i,0.0012159-0.00034534i,0.0011568+5.9871e-05i,0.0013575-0.0002898i,0.0011424-0.00011555i,0.00093192+0.00086716i,0.00026718+0.0011326i,-0.00071485+0.00072354i,-0.0011874+0.00029177i,-0.0011314+2.2867e-05i,-0.00094776+6.4435e-05i,-0.0005372-0.00011188i,0.00029325-0.00034614i,0.00063736-1.1732e-05i,0.00056967+0.00026913i,2.0481e-05+0.00050985i,6.6118e-05+0.00076215i
-0.00025339+0.0010238i,-0.00039775+0.0010493i,0.00084386+0.00124i,0.0018495+0.00084434i,0.0010856-0.00061798i,0.00056857-0.0016306i,0.00061029-0.0010973i,0.00059023-4.7034e-05i,-9.2387e-05-0.00023352i,-0.00050298-0.00097471i,-0.00097272-0.00092401i,-0.0024176-0.00030756i,-0.0027001+9.81e-05i,-0.0021313-0.00051492i,-0.0012969-0.0012473i,-0.00042415-0.0014933i,0.00016435-0.0010329i,4.2351e-05-0.00041491i,-0.00039609+3.3576e-05i,-0.00037558+0.00075118i,-0.00080193+0.00060784i,-0.00067303-0.00072239i,0.00058956-0.0011365i
0.00025907-0.00011641i,-1.6159e-05-0.00075747i,0.00070021-0.00040108i,0.0014474-0.00030665i,0.0021351-0.00065167i,0.0018196-0.00061737i,0.00050295-0.00089375i,-0.00073613-0.00086249i,-0.0011492-0.0010538i,-0.0010958-0.0018665i,-0.001485-0.0018048i,-0.0020733-0.0010526i,-0.00094158-0.0018531i,0.00023744-0.0027802i,0.0003448-0.0021611i,0.00047714-0.00045645i,0.00041888-0.00011721i,0.00049175+0.00024095i,0.00011076+0.00065319i,-1.3484e-06+0.0005376i,-4.8371e-05+0.00073709i,9.9755e-07+0.0010063i,0.00068025+0.00092792i
0.00026466+0.00010659i,0.0011138+0.00078811i,0.0018567+0.00033288i,0.0020014-0.00077941i,0.0015035-0.0012206i,0.00038627-0.0020874i,-0.00027083-0.0023981i,-0.0003454-0.0011245i,-0.00044263-0.0010393i,-0.00046687-0.001863i,0.00019568-0.0018259i,0.00018452-0.0013258i,-4.3929e-06-0.0011791i,0.00078429-0.00090315i,0.00088954+0.00034127i,0.00036476+0.00041217i,-0.00026288-5.0579e-05i,-0.00053462-4.1016e-05i,2.8802e-05+0.00021804i,0.00083376+0.00075748i,0.0011761+0.0010052i,0.0010752+0.00039461i,0.00017078-0.00021829i
-0.0014846+0.0012557i,-0.00013322+0.0017289i,-0.00059221+0.0025392i,-0.00038566+0.0022839i,0.00097981+0.0015501i,0.0016747+0.00020175i,0.0014215-0.00079922i,0.00052311-0.00095216i,-0.00012612-0.00086441i,-5.2848e-05-0.00049959i,5.1871e-05-1.5965e-05i,0.00057479+0.00055113i,0.001693+0.00014703i,0.0013456+1.8986e-06i,-7.7341e-06+0.00044655i,-0.0010706+5.6033e-05i,-0.0015086+2.461e-05i,-0.0011806+0.0005616i,-0.00083034+0.0003092i,-0.00086894+0.00025303i,-0.0011702+0.00043167i,-0.0013762-0.00045035i,-0.0011284-0.00097992i
-0.0010981-0.00097805i,-0.00081781-0.0013068i,-0.00057063-0.00052772i,-0.0012992-6.5529e-05i,-0.0011263-0.00074615i,-0.00020889-0.0010208i,-3.7759e-06-0.00077754i,0.00032028-0.00063454i,-6.4403e-05-0.00025252i,-7.0447e-05-0.00046942i,-0.00012814-0.00014853i,-0.00057986+0.00054061i,-0.00040138+0.00086077i,-0.0007848+0.0010117i,-0.00093567+0.00035391i,-1.8441e-05-0.00024328i,8.0638e-05-2.6748e-06i,-0.00064184+0.00038668i,-0.00065802+0.0011182i,-0.0002245+0.0009969i,0.00024555+8.7088e-05i,0.00072794-0.00033306i,0.0013207-0.00010889i
0.0019289-0.0016149i,0.00064185-0.0021298i,-0.0011468-0.0020788i,-0.0025554-0.0011572i,-0.0015435-0.00077466i,-0.00020488-0.00042296i,-0.00052707-0.00031686i,-0.00050821-0.00067809i,-1.2002e-05-0.0014228i,-0.0010033-0.0016757i,-0.0023654-0.00091994i,-0.0032597-0.00015994i,-0.0035243-0.00080861i,-0.0029992-0.0016179i,-0.0010911-0.0013378i,0.00033804-0.0011134i,0.00069241-0.00088745i,0.00055675+0.00023386i,-1.7715e-05+0.00084155i,-0.00067062+0.00045731i,-0.00068752+0.00028275i,0.00051353+8.0404e-05i,0.0010566-0.00012099i
-0.0019408+0.0012767i,-0.00024486+0.0014661i,0.0013307+0.0021942i,0.0016457+0.00091601i,0.0017726-3.4643e-05i,0.0022497-0.00027582i,0.0014826-0.00067128i,0.00027474-0.00047467i,0.00069685-0.00086676i,0.00086957-0.0016708i,0.0003941-0.001941i,0.0009456-0.0024335i,0.0013054-0.0024121i,0.00087283-0.0014404i,0.00070676-0.0005657i,0.0008857+0.00013835i,0.00080709+0.00014895i,0.00045143+0.00014643i,-0.00051346+0.00033302i,-0.00074922+0.00053144i,-0.00024181+0.00039442i,0.00012496+0.00020142i,-0.00031855+0.00083482i
0.0009557-0.0016504i,0.00040108-0.0020573i,-9.5458e-05-0.0025499i,-5.4234e-06-0.0023864i,0.00051004-0.00083652i,0.00019119-0.00090444i,-0.00019359-0.0012097i,-0.00032061-0.0004705i,-0.00014903-0.00030952i,-0.00051373-0.00066596i,-0.0009611-0.00053594i,0.00047097+5.1114e-06i,0.0019821+0.00054502i,0.00096391+0.0012694i,0.00034532+0.0015814i,0.00057531+0.0012009i,0.0002566+0.0013905i,-0.0003302+0.0016086i,-0.00084048+0.0004149i,-4.1105e-05-0.00018356i,0.00025456+0.00039587i,-0.00035507+0.0003071i,-0.00018426-0.00030551i
-0.00017135+0.0031552i,-0.00078132+0.0030809i,0.00024555+0.0016549i,0.0019922+0.00067031i,0.0033508-0.00023673i,0.0024591-0.0016769i,0.00043832-0.0020591i,-0.00017865-0.00086138i,0.00043444+0.00037862i,0.00098288-1.726e-05i,0.00037779-0.00041956i,-0.0003741-0.00029393i,-0.00010467+0.00047048i,-1.48e-05+0.0014673i,-0.00080709+0.0011246i,-0.0012924+0.00036284i,-0.0013834+0.000264i,-0.0012058+4.7314e-05i,-0.00088458-0.00026955i,-0.00050346+0.00032295i,0.00025609+0.0010501i,0.00093572+0.001126i,0.00087794+0.00023187i
-0.00064465+0.0014256i,-0.00062249+0.0011898i,0.0007776+0.00091721i,0.0013331+0.00052062i,0.0013071-0.00036225i,0.0013607-0.0015687i,0.00043212-0.0016339i,0.00036994-0.00037176i,0.00088485+0.00016402i,0.00046742-0.00089441i,-0.00094683-0.00086972i,-0.0020203-0.00015618i,-0.0024259-0.00037233i,-0.0028698-0.00093798i,-0.002136-0.0012739i,-0.00072191-0.0011889i,0.00022589-0.0012379i,0.00084534-0.0012342i,0.0010826-0.00076688i,0.00081545-0.00019481i,0.00087016+0.00079339i,0.00082079+0.00063121i,0.00080197+9.5602e-05i
0.0017371-0.00017593i,0.0010066-7.8195e-05i,0.0012889-0.00082607i,0.0012991-0.00087325i,0.0015635-0.0012371i,0.0015283-0.0019802i,0.00097572-0.0015332i,-2.0301e-05-0.00077659i,-0.00053878-0.0009832i,-0.00049194-0.0020214i,-0.0012707-0.0028879i,-0.0019197-0.0030309i,-0.0010427-0.0028603i,-0.00013851-0.0025727i,2.2252e-05-0.0016259i,-0.00014208-0.00077373i,0.00012231-0.00013121i,0.00035695+0.00051254i,0.0005213+0.00032149i,0.001236-0.00055796i,0.001151-0.00060582i,0.00038588+0.00028047i,-0.00065611+0.00077273i
0.0014114-0.0014027i,0.0022269-0.0014969i,0.0025418-0.0014276i,0.0019155-0.0012302i,0.0011408-0.00070769i,0.00041469-0.00079881i,-0.00074661-0.00046027i,-0.0012512-0.00024243i,-0.00021954-0.0012279i,-0.00032559-0.0022353i,-0.00065373-0.0013823i,0.00060344-0.00013708i,0.001957-0.00028706i,0.0018507-0.00041261i,0.00138-0.00021435i,0.0012717+0.00027175i,0.00085193+0.00057039i,0.00030855+0.00099024i,0.00033877+0.0011232i,8.7664e-05+0.00082968i,-0.00029597+0.00031356i,-0.00018226-0.00080352i,0.00016239-0.00072539i
0.001721-0.00073658i,0.00092428-0.00010695i,0.00011021-0.00057981i,0.00030384-0.0014493i,0.00068122-0.001086i,0.00075484-0.00031754i,0.00034503+0.00038921i,-0.00020461+6.3248e-05i,0.00014225-0.00098365i,5.8831e-05-0.0014439i,-0.00050123-0.0010232i,-0.00022961+0.00066306i,0.00047388+0.0017349i,0.00049212+0.0017302i,0.00023537+0.0011092i,-4.0095e-05+0.0010981i,-0.00032605+0.0010397i,-0.00038544+0.00083656i,-0.00049672+0.00085166i,-0.00015336+0.000987i,0.00012672+0.00053466i,-0.00041328-0.00026897i,-0.00045026-0.00036383i
-0.0023467+0.00091972i,-0.0010023+0.00069056i,-0.00080676+0.0013067i,-0.00020397+0.0017471i,0.0012331+0.0013214i,0.0015375+0.00025122i,0.00054724-0.00059924i,-0.00025142-0.00085943i,0.00032173-0.00037317i,-1.6034e-05+0.00030469i,-0.001358-0.00027955i,-0.0021597-0.00071806i,-0.002233-0.00030452i,-0.0024252+0.00026602i,-0.0015268+0.00062543i,-0.00042195+0.00016872i,-0.00088677-0.00024336i,-0.0008877-0.0003355i,0.00032092-2.2868e-05i,0.0011324+0.00071667i,0.00099196+0.0014127i,0.00066152+0.0012983i,0.00053351+0.00027931i
-0.0015129-0.0042115i,-0.0024168-0.0039855i,-0.0040475-0.0030662i,-0.003735-0.0015154i,-0.0016925-0.00047201i,-0.00020535-0.00028901i,-0.00012863-0.00039978i,2.9265e-05-0.00051173i,-2.9269e-05-0.00028488i,-0.00091228-0.001143i,-0.0013111-0.001463i,-0.0010022-0.00011652i,-0.00087465+0.00038362i,-0.0012077-0.00035542i,-0.00070669-0.00057353i,-0.00015967-0.00018103i,-0.00026553-0.00049325i,-0.00051875-0.0003463i,-0.00030789+0.00032954i,-4.7976e-06+0.00014027i,-0.00027545-0.00026887i,-0.00050128+0.00035797i,-0.00019663+0.00064183i
0.0014691-0.0018622i,0.0015249-0.001434i,0.0011228-0.0016662i,0.001697-0.0017848i,0.002318-0.0013442i,0.0015881-0.00087762i,0.00018118-0.0011164i,-0.00063337-0.00084995i,-0.00045517-0.00079832i,0.00037384-0.0025493i,0.00063362-0.0029429i,0.00058235-0.0019234i,0.00014768-0.0015275i,-0.00025335-0.0010712i,-0.00046971-0.00018575i,-0.00041594+0.00081505i,-0.00066666+0.0011619i,-5.3214e-05+0.0011777i,0.00066685+0.0012135i,0.00020913+0.00025284i,9.969e-05-8.5848e-05i,0.00043221+7.3498e-05i,0.00055416-0.00013963i
-0.0013483+0.0012607i,-0.00063119+0.00098133i,-0.00090006+0.0010435i,0.00022867+0.0011451i,0.0023589+0.00068359i,0.0025053-0.00067101i,0.0013649-0.00088761i,0.00076683-0.00014506i,0.00063532+0.00022269i,0.00054601+0.0003284i,-0.00015211+0.00069856i,4.4688e-05+0.00075743i,0.0010929+0.00035005i,0.00097364+0.00039615i,0.00056607+0.00042605i,0.00080867+0.00016766i,0.00045182+0.00038215i,7.0115e-06+0.00078591i,0.00031096+0.0011623i,0.00068153+0.00099069i,0.00077012+4.9632e-05i,0.00081259+7.2355e-05i,0.0012965-0.00032273i
-0.00060268+0.0019087i,-2.1531e-05+0.00226i,0.00021288+0.0017363i,0.00087292+0.00096756i,0.0018036+4.5857e-05i,0.0016838-0.0013277i,0.0010033-0.0017987i,-9.4806e-05-0.0007468i,-0.0007166-0.00017672i,-0.0010651-0.00077801i,-0.0019473-0.00064028i,-0.0020175+0.00053413i,-0.0012847+0.0010059i,-0.00079287+0.0013648i,0.00038909+0.0015613i,0.00095509+0.0012268i,-0.00055824+0.00032005i,-0.0013904-0.00015417i,-0.00089765+0.00016409i,8.4192e-06+0.00016894i,0.00029787+0.00025166i,-0.00031249+4.3398e-05i,0.00031743+0.00024674i
0.0010391-0.0019946i,0.00040553-0.0023019i,3.6298e-05-0.0022053i,-0.00051859-0.0021575i,-0.00013643-0.0015435i,0.00012534-0.00069443i,-3.4378e-05-0.00027128i,-0.00019734-0.00031489i,-0.00059251-0.0014148i,-0.0014528-0.0023595i,-0.0023368-0.0023926i,-0.002581-0.0014021i,-0.002496-0.0003389i,-0.0017484-0.00028958i,-0.00098348-0.00027141i,-0.00082234+6.4301e-05i,-0.0012844+0.00085932i,-0.0014015+0.0011844i,-0.0013126+0.00028576i,-0.0012848-0.00022446i,-0.00064797-0.00097022i,-0.00020678-0.00096085i,-0.00036941+0.00020579i
-0.00066399-0.00063766i,-0.00026534+0.00014127i,-0.00011385+9.3177e-05i,-0.00043937-0.00014977i,7.0706e-05-0.00013731i,0.0011423-0.00033981i,0.0005634-0.00075758i,-0.00029376-0.0009019i,-0.00045441-0.00028172i,-0.00079956-0.00042737i,-0.00068938-0.00062201i,-0.00019057-0.00054328i,-5.2856e-05-0.00071817i,-0.00079799-0.0006244i,-0.0012024-0.00053061i,-0.00064653-0.00039896i,0.00090393+1.815e-05i,0.0012513+0.00060343i,0.00071914+0.00073487i,0.00067089+0.00069308i,0.00049204-8.8289e-05i,8.6548e-05-9.8195e-05i,-0.00029138-0.00012472i
-0.001016+1.3972e-07i,-0.00099075-0.0005572i,-0.00015413+0.00045085i,0.00019384+0.00080086i,0.00081319+0.00085356i,0.00076022+0.00017572i,-0.00023639-0.00072274i,-0.00092441-0.00057406i,-0.00039416-0.00035725i,0.00024602+9.137e-05i,4.9602e-05+0.00052439i,-0.00012521+0.00038923i,0.000425-0.00031108i,0.00063812-0.00083505i,0.00022199-0.0010808i,-0.00042713-0.0010237i,-0.0010172-0.00070994i,-0.00057647-0.00026691i,-1.5084e-05-0.00013811i,0.00064079+1.8281e-05i,0.0012407-0.00040078i,0.0011769-0.00040007i,0.00078507-0.00049582i
-0.0020346-0.0013203i,-0.0015517-0.00091264i,-0.0022525+0.00055214i,-0.0011575+0.0016743i,0.00015595+0.0013587i,0.00060707+0.00016672i,0.00055029-0.00023097i,0.00051234+2.9082e-05i,8.3363e-05+4.2539e-05i,-0.00020762+0.00061953i,-0.00055138+0.0016456i,-0.00038798+0.0019701i,0.00043627+0.0014626i,0.00074969+0.00072178i,0.00059861+0.00095673i,-0.00010944+0.00040553i,-0.00057107-0.00056096i,-0.00056999-0.00038497i,-0.00051667+0.00012433i,1.2627e-05+0.00026904i,0.00067636+0.00032617i,0.00070864+0.00057159i,0.00040133+0.0011556i
0.0040284-0.00047441i,0.0028747+0.00056217i,0.0023472-0.0005807i,0.0023289-0.0020036i,0.0015273-0.001957i,0.00061946-0.0015523i,0.00052208-0.00141i,0.00070881-0.00098856i,0.00071237-0.0011525i,0.00071358-0.0017538i,-0.0011904-0.0017074i,-0.0029879-0.0010429i,-0.0025923-0.00018849i,-0.0019531+0.0013706i,-0.0012648+0.0017086i,-0.0006391+0.00075549i,-0.00042422+0.00076978i,-0.00044069+0.00094332i,0.00038492+0.00071109i,0.0011524+0.0007922i,0.00051018+0.00066433i,0.0001392+0.00048529i,0.00011647+0.00062348i
-0.0028132+0.0021673i,-0.0028527+0.0018031i,-0.00050669+0.0021533i,0.00064603+0.0017456i,0.0016419+0.00043933i,0.0022696-0.00081779i,0.0012217-0.0021867i,0.00043878-0.0017871i,0.00032551-2.9597e-05i,0.00059466-6.3135e-05i,0.00015781-0.001636i,-0.0001524-0.0025353i,-0.00011283-0.0021765i,-0.0010195-0.0013368i,-0.0019417-0.0011492i,-0.0012908-0.00088966i,-0.00021032-0.00047868i,0.00030277+0.00012179i,0.00054293+0.0012847i,-0.00027293+0.0016481i,-0.00093675+0.0012216i,-0.00016876+0.0005341i,0.00042245+0.00029955i
0.0011338-0.0014922i,0.0020629-0.0022984i,0.0013194-0.0027023i,-0.000624-0.0031494i,-0.00090258-0.0029488i,-9.0695e-05-0.0020335i,-0.00062311-0.0004852i,-0.0013092+0.00065728i,-0.00044243+4.467e-05i,5.0079e-05-0.00067956i,-0.00066787-6.1178e-05i,-0.00088307+0.00022287i,-0.00051807-0.00020738i,-0.00067541-0.0010845i,-0.00047595-0.0013668i,0.00050375-1.4335e-05i,0.00013918+0.0016091i,-0.00049027+0.0013453i,-6.6635e-05-8.6828e-05i,0.00025536-0.00014163i,5.5863e-05-9.3981e-05i,0.00012814-0.00011179i,-8.4983e-05+0.00012269i
-0.0018441-0.0010037i,-0.0029649-0.00043322i,-0.002894+7.777e-05i,-0.0012341+6.6104e-07i,0.00050488-0.00070915i,0.0007492-0.0011581i,0.00026368-0.001058i,0.00014014-0.0011409i,-5.5127e-05-0.0015888i,-0.00095537-0.0010509i,-0.0013765+0.00035755i,0.00026517+0.00081673i,0.0016411+0.0004999i,0.0022568-0.00012722i,0.0018682-0.00084052i,0.00078428-0.00091818i,0.00044664-0.00020162i,0.00027163+0.00033085i,0.00010188+0.00019556i,0.00030553+9.3e-07i,0.00067823+0.00016088i,0.0011744+0.0010843i,0.00082599+0.00091454i
0.00026629+0.0010798i,0.0013027+0.0010407i,0.0021274+0.00078844i,0.0017641+0.00017814i,0.0020412+8.7206e-05i,0.0015888-0.00030338i,0.00065882-0.000618i,0.00018516-4.4435e-05i,0.00039861-0.00020666i,2.8102e-05-0.0015102i,-0.0014638-0.0014266i,-0.0018964-0.0010677i,-0.001139-0.00038893i,-0.00051007+0.00022992i,0.00038192+0.00020146i,0.00069116+0.00046102i,0.00038851+0.00055186i,0.00054875+0.00070402i,0.00064447+0.00041228i,0.0009687-0.00017787i,0.00035552-0.0005114i,0.00016543-0.00012747i,0.00093896+0.00032824i
0.0016689-0.0013764i,0.00075256-0.00038591i,0.00019693-0.00044195i,0.00035672-0.00064415i,0.00046303-0.00066598i,0.0010267-0.0012713i,0.00045398-0.0013122i,-0.00014085-0.00095357i,0.00096443-0.0012483i,0.0011682-0.0020821i,0.00010721-0.0023002i,2.0842e-05-0.0017069i,-0.00028367-0.00063409i,-0.00061773+0.00090426i,-0.00083794+0.0017746i,-0.0012819+0.0016076i,-0.0011535+0.0013035i,-0.0005858+0.0008419i,-0.00059582+0.00018545i,-0.00084721-0.00012088i,-0.00026113+0.00080917i,0.00050842+0.0012489i,-0.0001178+0.00037144i
-0.0013345+0.00069224i,-0.0016121-5.9625e-05i,-0.0010071-0.00072513i,-0.0011015-0.00053364i,-0.00084211-0.00083552i,0.00055524-0.0006762i,0.00069478-0.00049924i,-0.00038001-0.00088994i,-0.0004728-0.00052165i,0.00020332-0.00029473i,0.00085183-0.00021521i,0.0014591-7.3596e-05i,0.00088737-0.00070188i,-0.00078404-0.0014376i,-0.0015744-0.0014131i,-0.0012007-0.00079891i,-0.0012259-0.00014069i,-0.0014861+0.0004245i,-0.00095863+0.00077178i,-0.00039734-6.489e-05i,9.7432e-05-0.00069616i,0.00060872-0.0004503i,0.00082979-0.0005063i
0.00053685-0.0010909i,0.00077715-0.00081215i,0.0011098-0.00074365i,0.0015784-0.0016735i,0.0023004-0.0010902i,0.0020938-0.00031619i,0.00032001+0.00019535i,-0.00083339+0.00021926i,3.9146e-05-0.00045871i,0.00014569-0.00075213i,-0.0011771-9.4e-05i,-0.0013588+0.00015611i,-0.00061337-0.00034877i,0.00012869-0.0012091i,0.00096655-0.0015656i,0.00014532-0.00098587i,9.2513e-05-0.00080143i,0.0010234-0.00049622i,0.0010639-0.00014417i,0.00037292+1.9855e-05i,-7.517e-05-6.3264e-05i,-7.6151e-05-0.00027534i,-0.00023119-0.00041942i
0.0013324+0.00017667i,0.001579-0.00097191i,0.0010778-0.00086688i,0.00069944-0.0005479i,0.0002456-0.00093142i,0.00042072-0.0010759i,0.00023819-0.0015479i,-0.0006345-0.0014899i,-0.00093463-0.0012405i,-0.0012734-0.0013235i,-0.0020882-0.0010732i,-0.0020217-0.0006452i,-0.00036083-0.00044509i,0.0015165-0.0006885i,0.0015006-0.00092047i,0.00025269-0.0011834i,-0.00027294-0.0014839i,0.00033051-0.0010178i,0.0010388+0.00010145i,0.00060455+0.00053639i,-0.00036487-0.00018893i,-0.00040758-0.00057868i,0.00029128+9.0833e-05i
