-1.318e-05-0.00033526i,-0.00067819-0.00063417i,-0.00071184+0.00026293i,-0.00061806+0.00018296i,-0.00064718-0.0011684i,-0.00097769-0.0008649i,-0.0010678+0.00010984i,-0.0001825+0.0010673i,0.0010269+0.00094684i,0.0016493+0.00030569i,0.0018722-0.00040751i,0.0008415-0.0010743i,-1.2128e-05-0.00082521i,0.0003494+0.00028778i,0.00061543+0.00081485i,0.00049306+0.00047914i,0.00032513+2.8655e-05i,-6.9093e-05-0.00030617i,8.3454e-05-0.00023044i,-0.00011121-0.00020518i,-0.00012744-0.00050139i,0.00047973-0.00017791i,0.00037742+0.00038783i
-0.00010272-0.0012905i,0.00033632-0.0015338i,0.00023186-0.0017178i,-0.00026625-0.0013782i,-0.00070031-0.00084034i,-0.00049688-0.00021678i,0.00018654+0.00032193i,0.0004617+0.0008209i,0.0002466+0.0011094i,0.00016544+0.0012796i,-0.00031322+0.0010054i,-0.00028424+0.00025047i,0.00089893-0.00022464i,0.0013063-0.00041995i,0.00012819-0.00022507i,8.1711e-05+0.00039349i,0.00023536+0.00088733i,-0.00081158+0.00042901i,-0.00064005-0.00031525i,0.00036753-0.00012561i,0.00064369-1.9321e-05i,9.8877e-05-0.00025246i,-0.00033411+0.00012406i
0.00098732+0.00066i,0.0005732+0.00084259i,0.00019831+0.000633i,0.00029952+0.00045827i,0.0005767+0.00062558i,0.00096134+0.00087856i,0.0017567+0.00052779i,0.002461+0.00043383i,0.0018206+0.0011562i,0.0011478+0.0010198i,0.00091877+6.69e-05i,0.00017358-6.4294e-06i,-0.00046415-0.00022965i,-0.00013775-0.00077162i,-0.00023377-0.00047872i,-0.0010004-0.00012053i,-0.001312-0.00012959i,-0.00086713-0.00016584i,-0.00033587+0.00010534i,-3.0581e-05-8.969e-05i,-3.3899e-05-0.0004463i,0.00011507+0.00032767i,0.00038838+0.00106i
-0.0011043-0.00057518i,-0.0017293-0.00038466i,-0.0022086-7.7394e-05i,-0.0018044-0.00080487i,-0.0013878-0.00073851i,-0.00084539+0.00021989i,-0.0004885+0.00016726i,-0.00031903+0.00028301i,-0.00019468+0.00017104i,-4.7095e-05+0.00014058i,0.00029897+0.00030912i,-0.00033638+0.00032969i,-0.00088122+0.00038278i,-0.00052151+0.00017273i,-0.0005968+0.00083358i,-0.0009763+0.0011908i,-0.00046008+0.0010138i,5.8039e-05+0.00072339i,0.00033455+0.00086686i,0.00064268+0.00084536i,0.00019282+0.00018915i,-0.00030958-0.00053732i,-0.00092533-0.00069301i
-0.00022186-0.00082393i,-5.9193e-05-0.00080149i,-0.0013016+0.00099152i,-0.0018269+0.0021649i,-0.00036188+0.0031109i,0.00091078+0.0028013i,0.00047059+0.0028812i,0.00052199+0.0038183i,0.0016022+0.0040066i,0.002333+0.0029368i,0.0022749+0.00096184i,0.0016892-0.00034413i,0.0011349-0.00024185i,0.00018755-0.00057696i,-0.00058314-0.00051045i,-0.00089726+0.00061208i,-0.0010082+0.00046161i,-0.001044+0.00023414i,-0.00039775+0.0005976i,-6.6505e-05+0.00067489i,-0.00079918+0.00021871i,-0.00060819-0.00036201i,-3.606e-05-0.00054399i
0.00034569-0.00044295i,-0.00042932-0.001059i,-0.00077089-0.0030715i,-0.0014441-0.0033119i,-0.0016557-0.0024795i,-8.3536e-05-0.0012174i,0.0011928-0.0013869i,0.00035775-0.0024613i,-0.0012502-0.0031006i,-0.0022844-0.0022826i,-0.0027461-0.00058052i,-0.0019423+0.00033474i,-0.0011263+0.0010889i,0.00029291+0.0014506i,0.0011027+0.0012946i,0.00060013+0.00067434i,0.00048922+9.6806e-05i,0.00059821-0.00016848i,0.00067604+0.0001011i,0.00053565+0.00025358i,0.00037766+0.0004646i,0.00077876+0.00031253i,0.00068666+0.00014729i
-0.0013871+0.00013167i,-0.0010378+0.00070068i,-0.001614+0.00093632i,-0.0011157+0.0019446i,0.00037749+0.0021986i,0.00085813+9.9333e-05i,8.5904e-06-0.0020923i,-0.00054822-0.0019443i,-0.0014023-0.00050959i,-0.0022389-0.00080747i,-0.0020733-0.0014335i,-0.0014547-0.0013022i,-0.00089842-0.00063639i,-0.00044889+0.00010143i,-0.00023323+0.0011232i,0.00046732+0.0012457i,0.00061949+8.7792e-05i,0.00044665-0.00045634i,0.00075026-0.00013898i,-0.00024877+0.00028975i,-0.00044284+0.00012952i,-4.4993e-05+0.00024408i,-0.00016826+0.00039444i
0.00045262-0.00043527i,0.0011424-0.00039017i,0.00098247-0.00060462i,0.00054689-0.00011189i,0.00034818+0.00022223i,0.00078908-0.0005507i,0.0010558-0.00088674i,0.00052724-0.00063073i,-0.00046797-0.00043815i,-0.00089924-0.00045582i,-0.00036521-0.00049052i,-0.00024123-0.00050716i,-0.00014185-7.5761e-05i,-0.00017345+0.00012943i,0.00017253+0.00035727i,0.00069935+0.00051743i,0.00030295-4.1487e-05i,-0.00057556-5.0613e-05i,-0.00072258+0.00018352i,-0.00010467-8.0323e-05i,-0.00014457-0.00030676i,-0.00012582-0.00069775i,0.00015801-0.00083009i
0.0010204-0.00063543i,0.00023042-8.7085e-05i,0.00021902-0.00062279i,0.00021206-0.0010352i,0.00051478-0.00052178i,0.00066934-0.00034961i,0.00088015-0.00066534i,0.00096609-0.00050778i,0.00031653-0.00080749i,5.7353e-05-0.0011665i,-0.00048046-0.00072062i,-0.00063181+0.0002155i,0.00023668+0.00022377i,0.00077681-0.00045943i,-0.00027467-0.0009903i,-0.0013188-0.0010262i,-0.0012352-0.00077601i,-0.00071439-0.00027571i,-0.0001528-8.6422e-05i,5.7421e-05-0.00089482i,0.00015695-0.00080647i,-3.5222e-06-6.6064e-05i,-0.00010051+0.00035792i
-0.0021144+0.0004741i,-0.0022397+0.0015177i,-0.0015482+0.0016355i,-5.211e-05+0.00087103i,0.00096479-0.00017178i,0.0015215-0.00058933i,0.00086355-0.00067965i,-0.00031214-0.00040238i,-0.00017682-0.00031302i,-3.8849e-05-0.0011999i,-0.00063352-0.0017096i,-0.0016025-0.0011476i,-0.0016693-0.00028027i,-0.0016564+0.00056866i,-0.0019028+0.00039815i,-0.00084842+0.00048105i,0.00045693+0.00074212i,0.00060352+0.0010205i,0.00021656+0.00076915i,0.0002287-2.681e-05i,0.00046799-0.00025227i,0.00042416-0.00026183i,0.00010912+0.00040792i
0.0023606-0.0016526i,0.0011134-0.0022455i,0.00075091-0.0025772i,0.00080426-0.0014327i,0.00036404-0.00056884i,-1.6267e-05-0.0016143i,-0.00052968-0.0010538i,-0.00082062-0.00010805i,1.0878e-05-9.0119e-05i,0.00060449+0.00031018i,0.00022332+0.000238i,-0.0002266+0.001021i,-0.0006223+0.0018287i,-0.00052118+0.0014335i,-0.00018029+0.001281i,0.00022641+0.00083471i,0.00055113+0.00038099i,0.00051052+0.00060619i,0.00018058+0.00045938i,-8.917e-05+0.00023865i,-0.00042503+0.00069085i,-0.00051807+0.00046007i,-0.00010344+4.193e-05i
0.0015676+0.00064006i,0.0013853+0.00046561i,0.0013859-0.00014743i,0.00039563-3.0816e-05i,3.6378e-05-0.00076022i,-7.4219e-05-0.001237i,-0.00010163-0.00062546i,0.00068924-0.00062622i,0.0015521-0.0014899i,0.00088957-0.0022061i,-0.00030597-0.001503i,-0.00059578-0.00022572i,-0.00057869+0.00039148i,-0.00097559+0.00050392i,-0.0011363+0.00017119i,-0.00060243-3.296e-05i,-0.00033317-0.00041913i,-0.00017373-0.00041238i,8.7999e-05+0.00016235i,0.00021311-7.4054e-05i,4.3976e-05-0.00037579i,0.00045573-2.7719e-06i,0.00073228-0.00024142i
-0.00016796-0.0013465i,-0.00063799-0.0013051i,-0.0016552-0.0015322i,-0.00081905-0.0014392i,-0.0001047-0.0012095i,0.00021105-0.0010693i,0.0013587-0.00062604i,0.0014309-0.00057625i,0.000346-0.00058664i,-0.00044162+0.00036494i,-0.0010965+0.00086097i,-0.0012048+4.7312e-05i,-0.00077127+0.00010756i,-0.0007503+0.00040816i,-0.00092763-0.00023196i,-0.00083789-0.00089621i,-0.00014178+7.6303e-05i,0.00011599+0.0004445i,-1.9005e-05-0.0004253i,0.00038653-0.00050933i,0.0009255-0.0002881i,4.8154e-06-0.00033994i,-0.00082557-0.00039494i
0.0013499+0.00068511i,0.0020887-0.00038329i,0.00069137-0.00020916i,6.1754e-05+0.00028485i,0.0017644-0.000549i,0.0015136-0.00064627i,0.00030868+0.00041577i,0.00053124+6.2002e-05i,0.0001009-0.00022428i,-0.00090908+0.00040726i,-0.0014256+0.00022207i,-0.0013034+8.0017e-05i,-0.00013887+9.0713e-05i,0.00089128+0.0002368i,0.00091304+0.00025007i,0.00027907+9.509e-05i,9.7286e-05-0.00019179i,0.00043795-7.9013e-05i,0.00056719+0.00094132i,0.00065492+0.0013116i,-0.00015682+0.00069931i,8.5243e-05-5.9019e-05i,0.0008352-0.00034976i
-0.00084357+0.0010449i,0.00015431+0.0010531i,0.00054217+0.0016009i,0.00093596+0.0021117i,0.0013022+0.0019108i,0.00084793+0.00036398i,0.00024754-0.00047717i,-6.278e-05-0.00039098i,-0.00010978+0.0002194i,-0.00020123+0.00073871i,0.00015654+0.00029863i,0.00049424-5.1095e-05i,-0.00051465-0.00021411i,-0.0017151-0.00025294i,-0.0016486-0.00045777i,-0.0010589-0.00077798i,-0.00051133-0.0012376i,0.00013083-0.0011666i,9.429e-05-9.3428e-05i,0.00029905+0.00016643i,0.00067805-0.0002076i,0.00012944+0.00011523i,-0.00058004+0.00019731i
-0.0025262-0.0017532i,-0.0030042-0.0012302i,-0.0029651+0.00095819i,-0.0017119+0.0017105i,0.0003553+0.00073012i,0.0011938-0.00023846i,0.00050554-0.00043723i,0.00087496-0.00090003i,0.0011391-0.00052146i,0.00032453+0.0008042i,3.1383e-05+0.0010529i,0.00027445+0.00021252i,0.00035107-0.00035139i,-0.00026945+2.3567e-05i,-0.00099752+0.00027032i,-0.00081787+0.00015047i,-0.0006169+0.00028794i,-0.00041995+0.00037728i,0.00016153+0.00036191i,0.00043525+0.00035888i,0.00023652+3.7397e-05i,0.0004638+4.824e-05i,0.00060061+8.4081e-07i
0.00095167+0.0024452i,0.0012615+0.0010814i,0.00067889+0.00044657i,-6.9567e-05-0.00023482i,0.00047788-0.00021047i,0.001013+3.9124e-05i,0.00089698-0.00039092i,0.00091682-0.00047172i,0.00051409+0.00018787i,0.00033863+0.000672i,-0.00054261+0.00046386i,-0.0012491-0.00060733i,-0.00034976-0.00085136i,0.00014132+0.00032148i,2.6253e-05+0.00094453i,-0.00013064+0.0005681i,-5.5656e-06+0.00011703i,0.00051774-0.00031152i,0.0010697-0.00056061i,0.00084359-0.00036028i,0.00025219-2.6949e-05i,-0.0003057+0.00067648i,-0.00051276+0.00034346i
-0.00073537+0.00083715i,-0.00018736+0.00092794i,0.0011064+0.00060204i,0.0018846+0.0006517i,0.0020097+0.00026594i,0.0023175-0.00024038i,0.0017954-7.2824e-05i,0.00013121-0.00061128i,-0.00031075-0.0011034i,0.00044139-0.00097985i,0.00062585-0.00041697i,0.00012831+0.00078981i,-0.00052011+0.00079263i,-0.00068584+0.00019344i,-0.0011544-0.00023581i,-0.0010848-0.00084352i,-0.0002635-0.0011699i,0.00025018-0.00086196i,0.0001953-0.00034726i,-0.000125-0.00026976i,-0.00026034-3.1283e-05i,0.00035782+0.00088412i,0.00086872+0.0010558i
-0.0015286-0.00019063i,-0.0015037-0.00026637i,-0.000786+0.00028543i,-0.000287+0.00087805i,-0.00038221+0.00039805i,-0.00090405-0.00045351i,-0.00010206-0.00093564i,0.00076691-0.00071356i,0.00099354+0.00026451i,0.00047539+0.00080297i,-0.00062702+0.00012504i,-0.00072708+0.000323i,-0.00078694+0.00094138i,-0.0009565+0.0011587i,-0.00054651+0.00093726i,0.00036826+0.00015309i,0.00038058-0.00064534i,-0.00031631-0.0010118i,0.00030222-0.00046311i,0.0001369+0.00071136i,-0.00038402+0.00015024i,-0.00040621+4.857e-06i,-0.00050613+0.00058367i
0.00056097-0.00028461i,0.0015857-0.0012675i,0.00096021-0.0012928i,-0.00031886-0.00088347i,-0.00092325-0.0010416i,-0.0010466-0.00055982i,-0.00056093-0.00041378i,0.00026253-0.00079663i,0.00067503-0.00090675i,0.00080538-0.00095039i,0.00084237-0.00055975i,0.0002795-0.00077676i,7.0436e-05-0.00095782i,4.4251e-06-2.3075e-05i,0.00025572+0.00029596i,0.00062525-0.00015577i,0.00044338-0.00020907i,0.00051778-0.00033836i,0.00093502-0.00021653i,0.0003386+0.00022101i,-0.00067415+0.00021612i,-5.546e-05+0.00030477i,8.821e-05+0.00077361i
-0.00063135-0.00023293i,-0.000264+0.00018422i,-0.00080938-0.0010766i,-0.00029128-0.00084988i,0.00052995+0.00010235i,0.00082712-6.919e-05i,0.0013999-0.00077932i,0.0014904-0.00084642i,0.00078123-0.00030607i,-0.0002087+0.00020665i,-0.0010774+7.3819e-05i,-0.0010257-0.00015282i,9.2305e-05+0.00014344i,0.00030785+0.00024053i,-0.00061412+0.00053731i,-0.00012348+0.00057024i,0.00044962+4.4259e-05i,-0.00018937-0.0002542i,-0.00047972-0.00019642i,-0.00046146-9.4093e-05i,-0.00035013-0.00022353i,-0.00039038-0.0011778i,1.8819e-06-0.001395i
0.0010218+0.0014078i,0.0013098+0.0011123i,0.0011606+0.00063297i,0.0015475+0.00043144i,0.0009167+0.00012196i,0.000468-0.000431i,0.00028509-0.00034691i,0.00010611-0.00030071i,8.6287e-05-5.3702e-05i,-0.00038785-0.00014193i,-0.00051953-0.00020568i,-0.00080873-0.00049236i,-0.0014913-0.00044151i,-0.00095727+0.00025629i,-0.0001023-1.4052e-05i,0.00044144-0.00044533i,0.00063213-0.00027209i,0.00059491-0.00071865i,0.00069063-0.00071905i,0.00018188-0.00025722i,-0.00019242-0.00018769i,-5.0553e-05+0.00053488i,6.6953e-05+0.00084153i
-0.00048017-0.00060764i,-0.00077158+0.00028372i,-0.00046567+0.00027708i,0.00012232+0.00046145i,0.00022781+0.0010855i,0.0007224+0.0013088i,0.0010554+0.00070428i,0.0012242+6.4948e-05i,0.00091791-9.0184e-05i,-0.00024644-2.7188e-05i,-0.0014524-0.00027478i,-0.0016024-0.00024647i,-0.00091373+0.0001047i,0.00025408+5.8401e-05i,0.00076068+8.8871e-05i,0.00010151+0.00081393i,-0.00010338+0.00093899i,0.00037184+0.0010898i,0.00035535+0.00069977i,-0.00055502+3.1458e-05i,-0.00083583-0.00083408i,-0.00014506-0.00083996i,0.00036525-0.0003549i
0.00038512-0.0013756i,-0.00017166-0.0016269i,-0.0022114-0.0011466i,-0.0032602-0.0005354i,-0.0021696+6.8227e-06i,-0.00083973+0.00062885i,-0.00032549+0.00045635i,-2.0045e-05-4.9667e-05i,0.00033739+4.8247e-05i,0.0005845+0.00042143i,0.00070434+0.00016828i,0.00056677-0.00022625i,9.9728e-05+0.00051981i,-0.00039435+0.0010884i,0.00026969+0.00051021i,0.00052249-0.00025091i,-0.000585-0.000618i,-0.00036253-0.001115i,0.00028465-0.00086751i,0.00094145-0.00012905i,0.0011468+0.00061847i,-4.2158e-07+0.00055102i,-0.00028195-0.00052754i
2.2552e-05-0.00018766i,0.001302-7.0878e-05i,0.0015032-4.9146e-06i,0.0012409-0.00026056i,0.0015039-0.00020094i,0.0015332-0.00062804i,0.0012519-0.00029073i,0.00077731-0.00032931i,0.00064213-0.0010635i,0.00061803-0.00083632i,-9.1019e-05-0.00026012i,-0.00049795-0.00027247i,-9.1096e-05-4.6569e-06i,0.00019131+0.00023616i,-8.1027e-05+0.00011048i,-0.00063863+0.00010262i,6.4699e-05+0.00036508i,0.0006785+0.00019567i,0.00012862+0.00045564i,-0.00032139+0.0012835i,-0.00016442+0.00095896i,2.4746e-05+0.00056824i,0.00016866+7.0249e-05i
-0.0011837+0.00086683i,-0.00062278+0.00088685i,0.00027082+0.00012479i,0.0012031+5.445e-05i,0.0013693-0.00015269i,0.00088951-0.00088398i,0.00013585-0.0016732i,0.00028167-0.0020062i,-0.00023736-0.0012045i,-0.0010599-0.0012692i,-0.00052645-0.0013029i,-0.00021677-0.00030862i,-3.3136e-05+0.00032049i,-0.00090685+0.0003833i,-0.0008622+5.6955e-05i,0.00020347-0.00060674i,0.00034397-0.00037353i,0.00022258+0.00011957i,0.00056943-0.00025618i,0.00089316-0.0010972i,0.00031234-0.00098084i,-0.00068003-0.00038121i,-0.00040873+8.7109e-05i
0.00066809-0.0021021i,0.00029651-0.0021782i,-0.00026727-0.0025794i,-0.000736-0.001521i,-0.00095369-0.00042025i,-8.417e-05-0.00032545i,0.00038938-0.00059445i,0.00039781-0.0006216i,-2.0077e-05-0.00069672i,-0.00017029-0.00063717i,-0.00047188-0.00015646i,-0.00021379-0.00051373i,-0.00020261-0.00055706i,-0.00034449-0.00050651i,0.00015047-0.00030567i,0.00024913-0.00042102i,-0.00022811-0.0007439i,-0.00038429-0.00023422i,-8.4573e-05+0.0001742i,0.00012418-0.0004315i,0.00046901-0.0011381i,0.0003391-0.00035026i,-0.0006349+0.00059257i
0.00034901+0.00012615i,0.00017366-0.0010996i,-0.00019973-0.0019545i,-0.00023064-0.00149i,0.00019396-0.0011554i,0.00044924-0.00077146i,0.00069718-0.00062972i,0.0009318-2.3267e-05i,0.00032846+0.00085158i,-3.1748e-06+0.000815i,-0.00035004-0.00012691i,-1.3571e-05-0.00049699i,0.00030999-0.00029352i,-4.9374e-05+0.0006518i,-0.00018196+0.0017422i,-0.0001802+0.0018561i,0.0002755+0.00096615i,0.00034834-2.2674e-05i,0.00041745-7.8442e-05i,0.00032345+0.00019467i,-2.5283e-05+0.00047817i,-0.00014371+0.00080774i,0.00034732+0.00011497i
0.00012156+0.00010652i,-0.0002071+0.0008263i,7.8438e-05+0.00086122i,0.00013471+0.0012006i,-0.00076757+0.0016953i,-0.0006231+0.0015009i,0.0002171+0.00096348i,0.00055718+0.00010287i,-0.00043684-0.00061843i,-0.0012131-0.00020896i,-0.00085891+0.00069831i,-0.00052767+0.00024459i,-5.6229e-05-0.0004616i,0.00046839-0.00057558i,0.00077046-0.00013984i,0.00078478-0.00018298i,0.00060817-0.00073156i,0.00013844-0.00040377i,-0.00065104+7.7594e-05i,-0.00054445+0.00012623i,0.00032152-0.00018375i,0.00013567-0.00032881i,-0.00023881-7.1825e-05i
-0.00063569-0.00013323i,-0.0011144-0.00035882i,-0.00056118+0.00024073i,0.00086959+2.478e-05i,0.001887-0.00032831i,0.00117-0.00036756i,0.00035641+4.8438e-05i,0.00012212+0.00034007i,-0.00027888-0.00042322i,-0.00025924-0.00082722i,-0.0003375-0.00081589i,-0.00073021-0.00039836i,-0.0011679+0.00065339i,-0.0020858+0.00048129i,-0.00145-8.0888e-05i,-0.00064783+0.0005741i,-0.00014047+0.000429i,-0.00025447-0.00055237i,-0.00081171-0.00057303i,-0.00073079-0.00041262i,-0.00029365-0.00035807i,-1.0531e-05-0.00052066i,-0.00033839-0.00052506i
0.0018389+0.00078479i,0.0025948+0.0011398i,0.0019977+0.00078639i,0.0002746-0.00043288i,0.00013211-0.0012452i,0.00013448-0.00034667i,-0.00012948+0.0009071i,0.00010371+0.00046145i,0.00060705-7.068e-05i,0.00060253-0.00038624i,0.00043455-0.00080428i,0.00046752-0.00070776i,0.00051668-0.00038518i,-0.00039923+0.00089166i,-0.0013625+0.0012679i,-0.00061824+0.00050475i,-2.5773e-07+0.00056802i,0.00024777+0.00050625i,0.00049781-2.2082e-05i,2.0064e-05-0.00029134i,-7.4592e-05+0.00053225i,-0.00013345+0.00088724i,-0.00021467+0.00050742i
-0.0019511+0.0011527i,-0.00050192+0.0011382i,0.00023782+0.001348i,3.2002e-05+0.0023084i,0.00015029+0.0016018i,0.00078505-0.00015187i,0.0011195-0.00078116i,0.00086956-0.00070767i,0.00064273-0.00022408i,0.0002568-1.1716e-05i,-7.171e-05+0.00053512i,-0.00038626+0.00083923i,-0.00061768-0.00030514i,-0.00070178-0.00072267i,-0.00076017+0.00012205i,-0.00045139+0.0001594i,-0.00038552+0.00051629i,-7.3199e-05+0.00075343i,0.00032606+0.0004543i,0.00056243+0.00046233i,6.9148e-05+1.1234e-05i,-0.00062168-0.00038758i,-0.00012733-9.4528e-05i
-0.0016928+0.00036266i,-0.0020042+0.00042812i,-0.00083691+0.00043479i,-0.00039567-0.00012084i,-0.0011231-0.00085928i,-0.0008337-0.0017652i,0.00043041-0.001527i,0.0012233-0.00063396i,0.0011984-0.00055848i,0.00028349-0.00018393i,-0.00082771+0.00078622i,-0.00015011+0.0010129i,0.00026748+0.0014134i,-0.0001877+0.0012904i,5.8402e-05+0.00099684i,-0.00013349+0.001098i,0.00019786+0.00032344i,0.0007392-0.00056569i,0.0005091-0.001125i,0.00082794-0.0010366i,0.00077463-0.0001623i,0.00051029-9.4843e-05i,0.00017495+0.00015457i
0.004405+4.568e-05i,0.0038791-0.00081266i,0.0042293-0.0014065i,0.0031679-0.00060759i,0.00042889-0.00062367i,-0.00099509-0.0011076i,-0.00047755-0.00040645i,0.00025037+0.00045562i,-0.00034462+9.8152e-05i,-0.0015592-0.00036813i,-0.00090687-0.00048525i,2.1251e-05-0.00067092i,-0.00075295-0.00051071i,-0.0010005+0.00029945i,-0.00051534+0.0010569i,-0.00035524+2.695e-05i,-5.5901e-05-0.00088107i,0.00035152-0.00014482i,0.00062277+0.00069263i,0.00080706+0.00077155i,0.00096074+0.00011963i,0.0010271+6.335e-05i,0.0004391+0.00050324i
-0.0014177+0.0007585i,-0.0012889+0.00074571i,-0.0012663-0.00059683i,-0.00087684-0.0011904i,-0.0002094-0.00065787i,0.00021288-0.00072831i,0.00071027-0.00072185i,0.0010182-0.00041197i,0.00072508-0.00075732i,-5.2503e-05-0.00078927i,0.00035535-0.0006541i,0.00075876-0.00044278i,-4.8289e-05-4.1117e-05i,-0.00067359-6.5788e-05i,-0.00072684+0.0001408i,-0.00013124+0.00022057i,0.0005153-0.00026064i,0.00034593-0.0012402i,0.00040895-0.0013936i,0.00055147-5.4572e-05i,0.00030813+0.00083785i,-0.00021003+0.00087144i,-0.00050657+0.00056052i
-0.0018129-2.145e-05i,-0.0010942-8.1378e-05i,-3.9672e-05+0.0028546i,0.0011164+0.0030778i,0.0012585+0.00079191i,0.0009338-0.0012123i,0.00083773-0.0013495i,0.0004827-0.00049661i,-0.00021662-0.00015115i,-1.5342e-05+0.00041694i,0.00042557+0.00033309i,0.00029584-0.00054408i,-0.00022735-0.00083261i,-0.0005644-0.00059321i,-0.00085939+0.00068669i,-0.00097721+0.0013359i,-0.00049073+0.00016288i,-0.00022227-0.00060567i,-0.00034004-0.00058966i,-0.00013823-0.00056388i,0.0002384+0.00023138i,2.6746e-05+0.0008202i,-4.7808e-05+8.3179e-05i
0.00048513-0.00036068i,0.00065547-0.00026913i,0.00041199+0.00026713i,0.00036646+0.00099431i,0.00091382+0.0015674i,0.0008659+0.0022851i,0.00019068+0.001582i,0.00018645+0.00061017i,9.368e-05+0.00041257i,-0.00050211+0.00019359i,-0.00057082+0.00079212i,-0.00053766+0.0012581i,-0.0011773+0.00068258i,-0.0013505+0.00012518i,-0.0010265-8.0041e-05i,-0.0004042-7.1705e-05i,0.00012401-2.8703e-05i,0.00085119-0.00016585i,0.00046706-0.0005077i,-0.00050722-0.00035459i,-3.7156e-05-0.00038658i,0.00022572-0.00044484i,-4.3103e-05+0.00029647i
0.00070059+0.0014718i,-3.8403e-05+0.001977i,-0.00032154+0.00013294i,-0.00034445-0.0013084i,7.3378e-05-0.00095177i,0.00029609-0.00090468i,0.00090735-0.00039988i,0.0012522+0.000532i,0.00027273+0.00026656i,-0.00059659-0.00018549i,-0.0010369-5.3506e-06i,-0.00054263-0.00010887i,0.00011766-7.8573e-05i,0.00032863+0.00039077i,0.00042007+0.00038768i,-6.0348e-05+5.6792e-05i,0.00030159+0.00020747i,0.0011733+0.0004939i,0.0010129-1.0994e-05i,0.00066635-0.00030414i,0.00032938-0.00061956i,-0.00021216-0.00098937i,-0.00047959-0.00038414i
0.00069937-0.00062993i,0.0021698-0.00043365i,0.0021506+0.0012493i,0.00191+0.0017138i,0.00072436+0.00051915i,-4.1452e-05-0.00048276i,-6.1855e-05-0.00059853i,0.00011151-5.0008e-05i,0.00054135+0.00070829i,0.00030604+0.0010281i,-0.00020703+0.00024642i,-0.00063326-0.000433i,-0.00111-0.00067579i,-0.0012187-0.00067929i,-0.001251+8.9324e-05i,-0.00034949+0.00061751i,0.00092747+0.00012897i,0.001017-0.00054552i,0.00043323-0.00031158i,-0.00017706-0.00035036i,-0.00025847+0.0001227i,0.00014059+0.00092657i,-0.00020675+0.00024335i
0.00057548+0.00062902i,0.0011819+0.00096596i,0.0012195+0.00019061i,0.00065629-0.00054383i,0.0003792+3.3162e-05i,-0.00036692+0.00045545i,-0.0010658+0.00041818i,-0.00054933+0.00033584i,0.00077759-4.3503e-05i,0.00099499-0.00053636i,0.00053613-0.00019699i,6.5871e-05+0.00045404i,-0.00046408+0.00097964i,-0.00030226+0.0011709i,0.00078776+0.0013004i,0.0011393+0.0007507i,0.00081098-0.00026317i,0.00066573-0.00091695i,0.00047821-0.00060687i,0.00061099-0.00029761i,0.00056725-6.2215e-05i,-0.0009613-0.00011204i,-0.00083758-0.00026287i
-0.00095446-0.0016262i,-0.00016369-0.0020804i,-0.00035402-0.0022182i,-0.00010166-0.0010717i,0.00064801+0.00040361i,0.0009671+0.00021384i,0.00062118-0.00083858i,0.00012615-0.0012026i,0.00014071-0.0009464i,-0.00018753-0.00038802i,-0.0013455+0.00012371i,-0.0014918+0.00067125i,-0.000456+0.00037103i,0.00035511-0.00041298i,-0.00035351-0.00088306i,-0.00013391-0.00057173i,0.00074926+0.00038633i,0.00045553+0.00081786i,0.00055672+0.00085135i,0.0004377+0.00045902i,0.0001687-0.00022744i,0.00037629-2.2817e-05i,0.00064156+0.0010242i
0.0004777+0.00083442i,0.00063419+0.0022534i,0.0015726+0.0024423i,0.002381+0.0018437i,0.0019103+0.0016363i,0.0014252+0.001015i,0.00044982+0.00027299i,2.5856e-05-0.00032879i,1.2184e-05-0.00043249i,0.00036896-0.00085375i,0.00045362-0.0012845i,-0.00057614-0.00099847i,-0.0013653-0.00091708i,-0.0010857-0.00025847i,-0.00071898+0.00046795i,-0.00028961+0.00050156i,0.00023419+0.00030193i,4.3056e-05+0.00029597i,0.00010172-0.00011505i,0.00048037-0.00011526i,-0.00031713+0.00089603i,-0.00099867+0.0013132i,-0.00087319+0.00072956i
5.8537e-05-0.00050685i,-0.00023207-0.00088058i,-0.00079493-0.0012421i,-0.0012316-0.0012738i,-0.00082561-0.00092284i,-0.00011943-0.0003084i,-0.00021841-2.4491e-06i,-8.3081e-05-0.00051567i,0.00051414-0.00023452i,-0.00032481-0.00050809i,-0.00070272-0.0014153i,-0.00063299-0.0011737i,-0.00037406-0.00071889i,-0.00051584-0.00055124i,-0.00058077-0.00089314i,0.0002619-0.0011244i,0.00037653-0.00080905i,0.00020936-6.5955e-05i,0.00023128+0.00036358i,0.00019858+0.00013876i,0.00056744+0.00016566i,0.00099925-0.00015322i,0.00075041-0.00072985i
0.0016424-0.00010012i,0.0010332+0.00068432i,0.00059916+0.0015659i,0.0011101+0.00084759i,0.0019081-0.00029936i,0.001141-0.00061095i,0.00060387-0.00031883i,0.00018764+4.294e-06i,-0.0001016+0.00020148i,0.00019464+0.00031989i,0.00035619-5.1119e-05i,-0.00030993+0.0004625i,-0.00096686+0.0011925i,-0.00095671+0.0015683i,-0.0001382+0.00093876i,0.00045376-0.00016891i,0.0003254-0.00056985i,6.4792e-05-0.00015973i,-0.00064245+6.6776e-05i,-0.00080522+0.00015916i,-2.5548e-06+0.00051925i,0.00018307+0.00058086i,-0.000196+0.00051646i
