0.00041714+0.0020017i,0.0015889+0.0018974i,0.0011145+0.00030921i,-0.00018188-0.0014998i,-0.001608-0.0012687i,-0.0017998+0.00043692i,-0.00032044+0.0010736i,0.00089907+0.00039956i,0.0013655-0.00013726i,0.00092171-0.00087607i,0.00054958-0.00067899i,0.00039899+0.00051656i,-0.00010944+0.0014169i,-0.00055098+0.0015331i,-0.00059699+0.00074088i,5.0012e-05+0.00034531i,0.0011397+0.0007202i,0.0012443+0.00013087i,0.00015131+0.00010098i,3.0345e-05-1.7565e-05i,0.00043144-0.00037305i,0.00035336-0.00072938i,0.00063321-0.00017729i
-0.0026353-0.0025304i,-0.0029317-0.0021018i,-0.0016866+9.4704e-06i,-7.4663e-05+0.001108i,0.0006166+0.001682i,0.0010128+0.00080445i,0.0014308-0.00043569i,0.0010884-0.00012185i,0.00028259+0.00041972i,-0.00014831-7.0192e-05i,-0.00035616-0.0002814i,-0.00026355-0.00011696i,-0.00017519+0.00016602i,-0.00041886+0.00025917i,0.00017347+0.00040806i,0.0011003+0.00022191i,0.00069053-0.0004694i,4.9115e-05-0.0001428i,2.2358e-05+0.00053142i,-0.0001203+0.00026718i,0.00054537+0.00016808i,0.00096329+0.00025968i,0.00079372+0.00044031i
0.0001112-0.0018219i,0.000108-0.00093153i,-0.00041466+0.00038128i,-0.00033902+0.00072556i,0.00017285+0.00011728i,0.00057738+0.00015134i,0.0008394+0.00019255i,0.00077158+0.00018074i,0.00036466+0.00023416i,0.00010805+3.6828e-05i,0.00012588-1.4598e-05i,0.00010076-5.7807e-05i,0.00021895-0.0013552i,0.00046224-0.0012707i,0.000222-0.00038705i,0.0003139-0.00019062i,0.00073934+0.0004153i,0.00070851+0.0007926i,0.0006262+0.00046997i,0.00034494-0.00013751i,0.00058472-0.00087714i,0.0015344-0.0011886i,0.0012597-0.0012565i
0.00076685-0.00093233i,-0.00057299-0.0002606i,-0.00016545-0.00078901i,0.00047497-0.00043561i,-0.00031356+0.0005051i,-0.00016359+0.00071437i,0.0010195+0.00069718i,0.0004219+0.0010626i,-0.00045989+0.00056128i,0.00015442-0.00067215i,-4.5061e-05-0.0007302i,-0.00026747-0.00013363i,0.00026921+0.00026807i,0.00046982+0.00029327i,0.00055249+0.00031011i,0.00028176+0.00024208i,0.00063104+0.00023246i,0.00070681-0.00017492i,-6.8941e-06-0.0014158i,-0.00038032-0.0018979i,-0.00026999-0.0014365i,-0.00054219-0.00071181i,-0.00059474-0.00043261i
-0.00098886-0.00071968i,-8.7651e-05-0.00058156i,-6.9255e-06+0.00012236i,0.00033104+0.00053423i,0.00060489+9.664e-05i,0.00094118-0.00047354i,0.0010253-9.994e-05i,0.00079493-7.784e-06i,0.0012272-0.00051891i,0.0012849-0.00067463i,0.00098372-0.00057913i,0.00047411-0.00093319i,0.00016724-0.0011445i,-0.0003034-0.00026609i,-0.00041013+0.00081575i,9.1184e-06+0.0010174i,0.00046477+0.00096241i,0.00063638+0.00062001i,0.00041005+0.00024863i,0.00088735-0.00024285i,0.00090053-0.0011632i,0.00033361-0.0015252i,0.00019204-0.0013571i
-0.0012409-0.00034992i,-0.0016528-0.0010757i,-0.0010444-0.00083324i,-0.00015794-0.00016679i,-1.1161e-05+0.00086121i,0.00022586+0.001346i,0.00079172+0.00099221i,0.0005691+0.00027608i,8.8712e-05-7.1533e-05i,0.00053627-6.1994e-05i,0.00035517-0.00051771i,-0.00064573-0.00061818i,-0.0009504+0.00041976i,-0.00080757+0.0010227i,-0.00055437+0.0012052i,-0.00055437+0.0011707i,-0.00048343+0.00060422i,2.4329e-05+0.00018929i,-3.2233e-05+0.00062518i,8.2361e-05+0.0011134i,0.00069347+0.00014548i,0.0009193-0.00029728i,0.0010677+0.0002916i
-0.00076863-0.0011505i,-0.0010852-0.00094714i,-0.0011291-0.00033199i,-1.6766e-05+0.0013779i,0.0010707+0.0015917i,0.00077211+0.00062849i,-5.8995e-05-0.00025159i,-4.7417e-05+5.1869e-05i,-0.00031442+0.00013484i,-0.00015086-3.8447e-05i,0.00034601+0.00084293i,0.00056598+0.00086328i,7.9311e-05+0.00048659i,-0.00033558+0.00013548i,-0.00024239+9.1995e-06i,-0.00021687+4.7802e-05i,0.000135-0.00050793i,3.6752e-05-0.00092308i,0.00019445-0.00074264i,0.00062322-0.00039434i,0.0010749-0.00051667i,0.00089379-0.00039594i,0.00066448-0.00043325i
-0.00065027+0.0010122i,-0.0010133+0.00053706i,-0.00061922+0.00050445i,-0.00021793+0.00078498i,0.00071947+0.00085052i,0.001681+0.00099878i,0.0016727+0.00026885i,0.00090052+0.00017612i,0.00067945+0.0011489i,0.00061082+0.00085599i,8.663e-05+0.00016803i,0.00020365-0.00026174i,0.00044353-0.00031035i,-0.00010819-0.00043879i,-0.00078937-0.00033348i,-0.00038314+0.00011786i,-5.2977e-05-0.00026648i,5.9361e-05+6.6976e-05i,8.7318e-05+0.00046484i,0.001065+7.376e-05i,0.0013467-0.00024973i,0.00070458-0.00019922i,7.2993e-05-0.00070435i
-0.00028823-0.0011265i,0.00053213-0.00082589i,-8.0541e-05-0.0011102i,6.8704e-05-0.0015692i,0.00022705-0.0005426i,5.7881e-05+0.00071428i,0.00055593+0.0012177i,0.0003991+0.00048892i,-0.0002026-0.0006585i,-0.0002104-0.00030389i,-9.403e-05+0.00012491i,0.00025752+0.0001509i,5.6586e-05-0.00046287i,-0.00044745-0.00024096i,-0.00010147+0.00079052i,0.00096451+0.0012193i,0.00062065+0.0010846i,-0.00038256+0.00050081i,-0.00036954+1.341e-05i,0.00031494-0.00046525i,0.0010302-0.0010257i,0.001174-0.0010385i,0.00081514-0.00040228i
-0.0013201-0.00085616i,-0.0018283-0.00046477i,-0.00015796+0.00025639i,0.00044507+0.001061i,0.00050773+0.00063921i,-5.3556e-05-0.00042808i,-0.0005042-0.00048069i,0.00013942-0.00031313i,0.00038158-0.00043152i,0.00042422-0.0006455i,0.00052958-0.0010605i,0.00032917-0.00058855i,0.00040264+0.00012564i,0.00037772+8.4579e-05i,0.00021808+0.00056774i,0.00064383+0.00090251i,0.00068723-9.7798e-05i,0.0002667-0.0007269i,1.1758e-05-0.00022167i,0.00029314-0.00068603i,0.00034782-0.00096832i,-0.00025832-0.00071099i,-0.00065281-0.00016561i
-0.0002843+0.00036181i,0.00017633-0.0002743i,-0.00036962+0.00027081i,-0.00093968+0.0010113i,-0.000388+0.0006657i,0.00036784+0.00016886i,0.00051323+0.00012593i,-0.00012526+0.00015948i,-0.00040008-0.00055553i,-0.00070642-0.00028179i,-0.00074877+0.00048053i,-0.00054371+0.00064468i,8.1113e-06+0.00026155i,0.00015625-0.00058545i,-0.00034733-0.00050371i,-0.00020008-0.00022127i,0.00024951-8.2451e-05i,-0.0001166+0.00035839i,0.00011388+0.00041328i,0.00040573-0.00024365i,0.00063429-0.00059595i,0.00062682-0.00070763i,-0.00018522-0.00020758i
5.5159e-05+0.00040621i,-0.00084158-0.00035164i,-0.0010396-0.00022788i,-0.00068224+0.00069696i,-0.00039067+0.00073063i,-4.5309e-05+0.00089259i,3.5459e-05+0.0010224i,-0.00032093+0.00062633i,-0.0004653+0.00014641i,-5.0512e-05+0.0001057i,0.00092495-0.00013368i,0.0010646+0.00022237i,0.00073652+9.1037e-05i,0.00034224-0.00033691i,-0.00040978+0.00053847i,-0.00031912+0.0010567i,0.00041457+0.0013391i,0.00073275+0.00070817i,0.00043484+0.00035833i,0.00037083+0.00079221i,0.00055521+0.0002469i,-0.00013809-0.00021893i,-0.00042729+0.00020727i
-0.00066289+0.00027914i,-0.0013307-0.00065791i,-0.00064944-0.00085623i,0.00057374-0.0011949i,0.00093579-0.0012188i,0.00035938-0.00033761i,0.00032333+0.00031562i,0.00060208+0.00030329i,0.00068004+0.00051177i,0.00051358-9.011e-05i,0.00032786-0.00093148i,0.00044537-0.0011285i,0.00067858-0.00093372i,0.0013004-0.00056386i,0.00098498+0.00012729i,0.00030936+0.00054392i,0.0002356+0.00057192i,0.00013204+0.00035791i,0.00073075+0.0007441i,0.00081214+0.00054496i,0.00022552+0.0001203i,0.00044408+5.0126e-05i,0.00073612-0.00035008i
-0.00017892-0.00056147i,-0.0013734-0.00037954i,-0.00077388+0.00017468i,-1.5131e-05+0.00034076i,9.1088e-05+0.00060665i,-0.00074825+0.0015808i,-0.00027882+0.001685i,0.00089831+0.0010289i,0.00051821+0.000254i,0.00050356+2.1609e-05i,0.0011987-0.00018432i,0.0012519-0.00058418i,0.00091806-0.00030453i,0.00049462-4.1091e-05i,8.7124e-05-0.00025377i,0.00071048-0.00027649i,0.00072993+0.00026703i,0.00068784+0.00058844i,0.00074679-6.7318e-05i,0.00019956-0.000482i,0.00067015-0.00075252i,0.00084435-0.00090416i,0.00010612-0.00070184i
0.00084224+0.0016567i,0.00051076+0.0013855i,0.00086097+0.00086853i,0.0011738-0.00011852i,0.00068108-0.0013835i,0.00033118-0.0011429i,-0.00042965-0.00042512i,-0.0010587+0.00039752i,-0.00064714+0.00091621i,-0.00015298+0.00037928i,7.6524e-05-3.8783e-05i,0.00036919+9.7585e-06i,0.00034815+0.00065046i,0.0003683+0.0014637i,0.00058272+0.001119i,0.00019853+0.0011965i,3.904e-05+0.0013225i,-0.00025934+0.0010427i,-0.00055447+0.0017308i,4.8726e-05+0.0020802i,-4.1422e-05+0.0013827i,-0.0005441-0.00022103i,-0.00062632-0.00086647i
0.00099563-0.00013491i,0.00026928-0.000114i,-0.00042162+0.00010724i,-2.1535e-05+0.00015941i,0.00041319-0.000319i,0.0013815+0.00024134i,0.0028284+0.00065472i,0.0026722+0.00010807i,0.0014983-0.00042787i,0.00072255+0.00013759i,0.00031599+0.0011652i,0.00023473+0.00084178i,0.00024296+2.4309e-05i,0.00033698+0.0004306i,-0.0001507+0.00060384i,-0.00019481-8.0414e-05i,0.0004265-0.00043822i,7.0433e-05-5.2286e-06i,-0.00049162+4.3998e-05i,-5.395e-05-0.00017728i,0.00030744-0.00035746i,-5.2007e-05+0.0002376i,-0.0006143+0.00069636i
9.9732e-06+0.0016697i,-0.00072907+0.00077316i,8.7213e-05+0.00099481i,0.00073206+0.00089355i,0.00086384-0.00052344i,0.00053576-0.00095268i,0.00040362-0.00021833i,0.00028043+0.00046686i,0.00060187-0.00035548i,0.001098-0.0012746i,0.0013165-0.00097302i,0.0014082-0.00052553i,0.0011878-0.00010724i,0.0011403-8.4091e-05i,0.00084781-0.0001833i,0.0001523-6.8947e-05i,0.00021892+0.00019029i,0.00058103+0.0005431i,-3.6741e-05+0.00065771i,-0.00065541+0.00029881i,-0.00053688-0.0001786i,-0.0001692-0.00048359i,9.5309e-05-0.00012414i
-0.0010622-0.001399i,-0.001816-0.0012495i,-0.0015155-0.00075189i,-0.00096787-0.00019851i,-0.00057587+0.00037979i,0.00015337+0.0004832i,0.0013872-0.00026608i,0.0011726-0.00094657i,-2.4564e-05-0.0011565i,0.00048772-0.0010031i,0.0014597-0.0012462i,0.0010545-0.00094308i,0.00059321+0.00070177i,7.1231e-05+0.001091i,-0.00042793+0.00061619i,-0.0015132+0.0002564i,-0.00071416-0.00037141i,0.00090243-0.00041447i,0.00049827-0.00059576i,0.00014893-0.00031125i,0.00049918+0.00010899i,0.00075257-1.0521e-05i,0.00025314-0.00038797i
-0.0012524-0.0026563i,-0.001318-0.0027676i,-0.0022803-0.00060207i,-0.0017474+0.0010861i,-0.00025978+0.0011822i,0.00090449+0.00098385i,0.0011953+0.00072719i,0.00082452+0.00065527i,0.00040747+0.00094859i,-0.0004049+0.0011786i,-0.00061474+0.00086209i,-0.00064929+0.00034173i,-0.00029691+0.00016856i,0.00034765+0.00020706i,0.00059889+0.00081208i,0.0006427+0.00076989i,0.00058672+0.00031405i,0.00044367+0.00059301i,7.7118e-05+0.00055849i,-0.00016793+0.00055873i,0.00027787+0.00048827i,0.00023231-1.1823e-05i,-0.00018681-0.0005084i
0.00057358-0.0012512i,0.00059144-0.0010023i,-4.5468e-05-0.00014437i,0.00043004+0.00036832i,0.0008282+0.00084972i,0.00069538+0.0009039i,0.00045801-1.0717e-05i,3.0725e-05-0.00027472i,0.00025659+0.00059163i,0.00041117+0.00091609i,0.00013436+0.00049293i,-0.00030734+0.00010901i,-0.00074317+0.00036244i,-0.0010263+0.0010254i,-0.0016975+0.0012346i,-0.00092155+0.0012159i,-0.00015965+0.0010726i,-0.00032786+0.00053679i,-0.00022689-0.00013741i,0.00029087-0.00078035i,0.00046075-0.00075304i,-6.749e-06-0.000583i,-0.00058299-0.00046594i
0.0011556-0.0006584i,0.00010033-1.3365e-05i,-8.6786e-05+0.00066119i,-0.0002405+0.00063846i,-0.00040566+0.00071382i,1.5498e-05+0.00089231i,0.00056548+0.00058392i,0.00016692-2.2908e-05i,6.2683e-05-0.00036429i,0.00095261-0.00044812i,0.0012644-0.00019927i,0.00068892+0.000156i,5.23e-05+0.00041423i,3.7514e-05+0.00010779i,0.00016011-0.00023006i,0.00011541-0.0002775i,0.00086823-3.7088e-05i,0.0012631+0.00011867i,0.00084151-0.00022088i,0.00034292+8.9672e-05i,0.00024912+0.00030777i,0.00063213-0.00051621i,0.00062574-0.00053496i
0.0004473-0.0012739i,0.00046695-0.00058999i,0.00012077-0.00033256i,-0.00017483-0.00023563i,-0.00023556+4.4731e-05i,0.00080325+0.0011891i,0.0014289+0.0014079i,0.0010322+0.0001519i,-2.2849e-05-0.0004129i,-0.0011507-0.00016362i,-0.00073998-0.000108i,6.7432e-05-3.3521e-05i,-0.00010433-0.00034381i,0.00011855-0.00071972i,0.00040393+0.00022509i,0.00061379+0.00094695i,0.00037919+0.00081061i,5.1386e-05+0.0006559i,0.00036556+0.00046414i,0.00054535+0.00014779i,0.00066656+0.00032804i,9.292e-06+0.0010249i,-0.00083881+0.00073908i
-0.00025836+0.00012534i,-0.0010309+0.00027247i,-0.00033726+0.00010597i,0.00034615-0.00035864i,0.00079682-0.00061479i,0.00041667-0.00070939i,5.6841e-05-0.00025007i,0.00052163+0.00022606i,0.0007756+0.00073511i,-8.2169e-05+0.0006777i,-0.00039876-0.00031165i,-0.00019527-0.0013982i,-0.00034643-0.0010951i,6.4974e-05-0.00036271i,0.00041504+0.00037488i,-0.00033816+0.0006685i,-0.00083359+0.00033797i,-0.00039327+0.00037252i,-0.0004435+0.00079152i,-0.00071337+0.00028299i,-6.3303e-05-0.00050044i,0.00011896-0.00046231i,-0.00040976-0.00053331i
-0.0012644-0.00081432i,-0.0011169+0.00035882i,-0.00054649+0.001789i,0.00089873+0.0018692i,0.0020544+0.001516i,0.0018469+0.0010902i,0.00095794+0.00070493i,-0.0004134+0.001173i,-0.00069244+0.00119i,-0.00024358+0.00064897i,-0.00092809+6.4738e-05i,-0.00091572-0.00014252i,-0.00011793-0.0005702i,-0.00015109-0.00040162i,-0.0006092+0.00052349i,-0.00048566+0.0008646i,7.8987e-05+0.0011298i,0.00022364+0.00034822i,0.00056184-0.00044009i,0.00056921-0.00091512i,0.00073873-0.00069031i,0.00044714+0.00033478i,-0.00016275+0.00059149i
0.00051414-0.0013224i,-0.00014492-0.0012941i,-0.00053925-0.0014976i,-0.00076455-0.0018102i,-0.00025472-0.00096691i,0.00015837+0.0004657i,0.0001258+0.00058011i,0.00059771-0.00031653i,0.0007626-0.00041569i,-0.00024427-0.00039473i,-0.00073892-0.00034838i,-0.00067025+0.0001774i,-0.0006131+0.00071177i,-0.00089157+0.00074701i,-0.00087121+0.00083614i,-0.0005296+0.00063804i,-0.00050454-0.00015431i,-0.00073737-0.00058908i,-0.00034861-0.00039565i,0.00027761+0.0004089i,0.00013795+0.00027328i,-0.00019475-0.00023937i,-0.00057162-0.00034718i
-0.00063843+0.00024832i,-0.00084338-6.448e-05i,-0.00022804-0.00018267i,0.0019295+0.00011841i,0.0027292+7.2679e-05i,0.0012924-0.00039728i,0.00060134-0.00049266i,0.00072026-0.00020297i,0.00057077-7.5738e-05i,0.00086193-0.00051281i,0.0009667-0.0004249i,0.00056661+0.00015403i,0.00010293-8.5996e-05i,-0.00023398+2.7525e-06i,-0.00028393+0.0004855i,-0.00048283+0.00091655i,-0.00072361+0.00031192i,-2.5108e-05+6.5836e-07i,0.00068077-4.9437e-05i,0.00028559+3.6182e-05i,-0.00018012+0.00015796i,-6.4299e-05-0.00012964i,4.5481e-05-0.00052465i
0.0013383+0.00013704i,0.0010853+0.0011002i,0.00061598+0.00094364i,0.00026875+0.00064393i,5.3211e-05+3.9311e-05i,0.00077558+3.6739e-05i,0.00060345+0.0007364i,1.4701e-05-0.00012197i,0.00026444-0.00063391i,1.7584e-06-0.00044025i,-0.00060821-0.00037026i,-0.00064023-9.791e-06i,-0.00043103+0.00055636i,-0.00016322+0.0011756i,0.0002667+0.00082728i,0.00073013+0.0011402i,0.00091897+0.0016335i,0.00048203+0.0011244i,-0.00029215+0.00080995i,-0.00088386+0.00064345i,-0.00058362+0.00040616i,0.0001377-0.00055796i,0.00069916-0.0016748i
-0.00053839-0.0015796i,-0.00098391-0.00069531i,-0.0015783-0.00038728i,-0.0012052-0.00089425i,-0.00051203+0.00035935i,0.00061983+0.0013675i,0.001472+0.0009313i,0.001124+0.00042215i,0.00033879+8.5376e-05i,-0.00040111+0.00010156i,0.00031981-0.00048934i,0.00092438-0.00063339i,0.00069786-0.0003008i,0.00048806-0.0010401i,-0.00048032-0.0011809i,-0.00087764-0.00018891i,-0.00048444+0.00094355i,-0.00029483+0.00091008i,-0.00012098+0.00031168i,0.00082129+0.00012751i,0.0012107-0.00022163i,0.00040704-0.00040322i,8.823e-05-0.00029134i
-0.00027904+0.0009098i,-0.0011017+0.00022152i,0.00049744+0.00069531i,0.0016634+0.00074549i,0.0015357-0.00023677i,0.00071906-0.00038992i,-0.0002092-0.0001517i,-4.1224e-05+7.551e-05i,0.00045564+0.00077043i,0.00051752+0.00049038i,0.00054019+3.1713e-05i,0.00028942+0.00060279i,-0.00029181+0.00067184i,-9.4023e-05+0.00039041i,-0.00026388+0.00025318i,-5.7656e-05+0.00039536i,0.0008588+0.00095458i,0.00087526+0.00093998i,0.00033611+0.00034995i,-5.5357e-06+0.00049238i,-0.00029081+9.0236e-05i,-0.0004781-0.00038219i,0.0003509-2.7324e-05i
-0.0017977+0.00018168i,-0.0011161+0.00025676i,1.3061e-05+0.00077991i,0.0011903+0.00036636i,0.0017103-0.00035471i,0.001114+0.00022632i,0.00062737+0.00051583i,0.0005602+0.00031365i,0.00062134+5.6487e-06i,0.00048455-0.00070833i,0.00093242-0.00046385i,0.0016205+4.9851e-05i,0.00075942+0.00044257i,-0.00054165+0.00017187i,-7.6209e-05+0.00024472i,0.00048318+0.00093537i,0.00019587+0.00056325i,0.00052164+9.1774e-05i,0.0010853-6.5047e-05i,0.00088053-0.00021585i,0.00014202-0.00032447i,0.00053158-0.00077324i,0.00064742-0.00060288i
-0.0022021-0.0014679i,-0.0023442+4.4015e-07i,-0.0010394+0.0013454i,2.1615e-05+0.001173i,0.00063123+0.00023139i,0.00015105-6.5662e-05i,0.00045726+0.00099082i,0.00087026+0.0010014i,0.00079219-7.4748e-05i,0.00052235-0.00049293i,0.00014108-0.00037047i,-1.396e-05-0.00093225i,-0.0009215-0.001001i,-0.0006661-0.00088302i,0.00046353-0.00084953i,0.00034191-0.00042307i,-0.00048706+0.00040544i,-0.00069139+0.00052795i,-0.00015848+0.00073221i,5.8387e-05+0.0009542i,0.00050631+1.3525e-06i,0.00099472-0.00020311i,0.00089774+0.0001418i
-0.00030142+0.00063944i,-0.00065155-0.00049214i,-0.00021925+3.9726e-05i,0.00012293+0.00044598i,0.00045722+0.00026278i,0.00038284-0.0006104i,0.00041043-0.00065998i,0.00077515+0.00023613i,0.00086167+0.00072748i,0.00035493+0.0007124i,-0.00031919+0.00081196i,-0.00079319+0.00015915i,-0.00092645-0.00050282i,-0.00049124-0.00031217i,0.00022708-2.1172e-05i,0.00092373+0.00045669i,0.00025169+0.00069331i,-0.00087289+0.0003698i,-0.00084124+0.00018381i,-0.00032587+2.0529e-05i,0.00040135-0.00040703i,0.00095671-0.00070576i,0.00080269-0.00038231i
-0.0014286+0.00014121i,-0.0017674+0.00027459i,-0.0016695+0.00087263i,-0.0006524+0.00044754i,0.00029769+0.00013135i,0.00059129-0.00016893i,0.00023435-0.00041312i,-7.6576e-06-0.00041953i,0.00094044+0.00012889i,0.0012665+0.00079978i,0.00068092+0.00065315i,0.00042875+0.00019461i,0.00058512-8.5179e-05i,0.00056572+6.0698e-05i,0.0006345+0.00059509i,0.00081602+0.00073864i,0.00057127+0.00047623i,-0.00023378+9.2508e-05i,-9.8875e-05+3.9288e-05i,0.001079+0.00065188i,0.0012586+0.00036412i,0.00071188-0.0005295i,0.00053267-0.00072477i
-0.00073162-7.4173e-05i,-0.0012858-0.00062096i,-0.0011399-0.00062329i,-0.00072673-0.00068356i,0.00057023-0.0010449i,0.0012256-6.7597e-05i,0.0013468+0.00026016i,0.00074518+0.00011734i,0.00050951+0.00069886i,0.00094894+0.0010559i,0.00082921+0.00086689i,0.0010122+0.0012006i,0.00062541+0.0012795i,-0.000637+0.00067281i,-0.00087082+0.00065521i,-2.9401e-05+0.0012077i,0.00052575+0.0012532i,0.00085389+0.0011518i,0.00076694+0.00053302i,0.00068308-0.00062077i,0.0007869-0.00084686i,0.00019502-0.00071049i,0.00030769-0.00045213i
0.00014792-0.0018907i,0.00061285-0.0020723i,0.00050177-0.0015269i,0.00043223-0.00097011i,0.0010778-0.0011563i,0.0013054-0.00078084i,0.0012421-0.00017461i,0.00032299-5.3087e-05i,-0.00085204+0.00017406i,-0.00078596+9.8219e-05i,0.00016583-0.00013703i,-1.0679e-05+1.5219e-05i,-9.7916e-05+0.00016565i,0.00015641-0.00037898i,-0.00020471-0.00043838i,-0.00016601+0.00052871i,-0.00016789+0.0013615i,-0.00038375+0.0013256i,7.1748e-05+0.00065791i,0.00028619+0.00016536i,0.00048369-0.00019317i,0.00059304+0.00010357i,0.00027701+0.00012551i
-0.00015665-9.4995e-05i,8.4148e-05+0.00021278i,0.00046452+0.00052033i,0.00028536+0.00083165i,0.0003275+0.00089144i,0.0012726+0.001022i,0.0018805+0.00080301i,0.0013518+0.00038366i,0.00074853+0.0005888i,0.00090988-1.4306e-05i,0.00083748-0.00067329i,0.00034128-0.00028291i,0.00034532-0.00013164i,0.00045723+7.1257e-06i,-7.5972e-05-6.734e-05i,-0.00060525-2.4693e-05i,7.6791e-06+0.00089391i,0.00083359+0.0011537i,0.00069762+0.00026781i,0.00023173-0.00071652i,-0.00031257-0.0011599i,-0.00084831-0.0010027i,-0.00099521-0.0010954i
-0.00067276-0.0021864i,-0.0011498-0.0014275i,-0.0016597-0.00017995i,-0.00076294+0.00029815i,0.00034502+0.00060623i,0.00096081+0.00096286i,0.00086348+0.00042353i,0.00050878-0.00015359i,0.00075002-0.00040903i,0.00030848-0.00045785i,-0.00020939-0.00015392i,-0.00035212-0.00060238i,-0.00080282-0.00080209i,-0.0004196-0.00030666i,0.00022633+0.00021967i,0.00020888+3.9309e-05i,-0.00042624+0.00023928i,-0.00064535+0.00066181i,0.0003366+0.00059605i,0.00060823+0.00038483i,0.00086766+0.00056386i,0.00050804+0.00088185i,-0.00037311+0.00060661i
-0.00078512-4.9107e-05i,-0.0018054+0.00036355i,-0.00098239+0.00050253i,0.00039286+0.00073891i,0.0007257+0.00099286i,0.00057867+0.0014137i,0.00029156+0.00082348i,-0.00012025-0.00039561i,-6.9357e-05-0.00071011i,0.00053834-0.00043066i,0.00040431-0.00026716i,-0.0002479-0.00040846i,0.00029597-0.00069424i,0.00056661-0.00030073i,2.9443e-05-8.8131e-05i,-0.0001645-0.00017436i,-0.00048782+0.0004578i,-0.00077264+0.00083775i,-0.001118+7.831e-07i,1.6636e-05-0.00036164i,0.0010827+2.1281e-05i,2.3767e-05+3.5594e-05i,-0.00080517-0.00019173i
-0.00023914-0.00035i,-0.00075332-0.00045902i,-0.00027503-0.00036577i,-3.8697e-05-0.00029379i,-0.00052086-8.2076e-05i,-0.00059247+0.0013712i,0.00026505+0.0014374i,0.00045561+0.00022526i,0.00011073-0.00021738i,0.00026523-0.00088408i,0.00085055-0.00099226i,5.7076e-05-0.00050061i,-0.00033844+7.6688e-05i,-1.1102e-05+0.00043216i,-5.1368e-05+0.00017879i,4.6753e-05+0.00016269i,1.8505e-05+0.00080811i,2.7581e-05+0.00094768i,0.00059318+0.0010026i,0.0006945+0.00017801i,0.00068449-0.00072055i,0.00065824-0.0009005i,-0.00084666-0.00040765i
-0.00098055-0.0019312i,-0.0018507-0.00083155i,-0.001282+0.00094013i,-0.00029304+0.0030219i,-2.6574e-05+0.0024836i,0.00024862+0.00092231i,0.00018421+0.00057223i,0.00037935+0.00019519i,2.2227e-05-0.00044159i,-6.6733e-05-0.00056786i,-0.00027527-0.00041731i,-8.8566e-05-0.00012774i,7.3408e-05+3.3113e-07i,-0.0010231+1.4087e-05i,-0.00093595+8.5343e-05i,0.0001788+0.00027236i,-0.00015605+0.00056073i,-0.00049065+0.00041042i,0.00050223+0.0006077i,0.00062201+0.00072654i,0.00055143+0.00084973i,0.00069074+0.0012055i,0.00028238+0.00037636i
0.00059375-0.001449i,-0.00037525-0.0019098i,-5.3344e-06-0.0012318i,-0.00047292-0.00054508i,-0.00089353-0.00025566i,-0.00067068-0.00014066i,-0.00035135-0.00021667i,-0.00027604-0.00038994i,-0.00014365-0.001011i,-0.00017815-0.0013739i,-0.00051987-0.00093057i,-0.00044046+0.0001294i,-0.00010944+0.00043642i,0.00018632+0.00030092i,0.0005019+0.00052797i,0.00012982+0.00061865i,-0.00014776+0.00013087i,-0.00023773+0.0005986i,-0.00024538+0.00099948i,0.00038714+0.00040182i,0.0010284+0.00012964i,0.00038665-8.8372e-05i,-7.7821e-05-0.00034617i
-0.0010135+0.0012075i,-0.00056282+0.00071898i,0.00029393+0.0008374i,0.0011065+0.00054954i,0.0015596-0.00095388i,0.0014569-0.0011835i,0.00048393-0.00069851i,-0.00042384-0.00032366i,-0.0005872+0.00046639i,-0.00021081+0.00044011i,0.00011701+4.0527e-05i,0.00027052+1.2342e-05i,0.00078165-0.00033228i,0.00063701-0.00069233i,0.00017331+0.00012522i,0.000358+0.0011531i,0.00016321+0.00069648i,-9.7656e-05-3.5279e-05i,-0.00034312+8.4201e-05i,-0.00063014-0.00045649i,-0.00069875-0.00051957i,-0.00042317-0.00021665i,5.7573e-05-0.00028321i
-0.00091431-0.0010438i,-0.002069-0.00029104i,-0.0012116+0.001105i,0.00045882+0.0007155i,0.0012467-0.00027549i,0.0014978-0.00032455i,0.0017998+0.0002561i,0.00082407+0.00054359i,0.00033699+0.00090183i,0.000601+0.00076946i,6.7347e-05+9.4982e-05i,-0.00013922-0.00014087i,0.00013237-0.00017836i,-0.00018794+7.0528e-05i,-9.6949e-05+0.00032106i,0.00037445+0.0005542i,0.00048565+0.0006972i,0.00018867+0.0010796i,0.0002602+0.0012073i,0.00062568-0.00013718i,0.00041623-0.0014029i,0.00020503-0.0011666i,0.00020638-0.00040302i
-0.0014418-0.00097025i,-0.0013187-0.002089i,-0.00018083-0.0014721i,0.0006836+0.00017663i,0.0010305+0.00040057i,0.0011184+0.00013411i,0.00063328-0.00018777i,0.00068773-0.00020743i,0.00072662+0.00023252i,5.9613e-06-0.00036495i,-0.00039524-0.001559i,-0.0012997-0.0010202i,-0.0018816-0.00030294i,-0.0014272-0.00041841i,-0.0006369-0.00023869i,9.8757e-05+0.00021979i,0.00054097+0.00063354i,0.00053064+0.00085899i,0.00033296+0.0003815i,0.00010234-2.4372e-05i,4.6862e-05-0.00051737i,0.00074493-0.00060042i,0.00063892-0.00014288i
