-0.0028579+0.0027658i,-0.0029232+0.0019498i,-0.0037508+0.0022532i,-0.0020261+0.0022798i,-0.00057376+0.0016057i,-0.00032963+0.001433i,1.67e-05+0.0019282i,-0.00011103+0.0017706i,-0.0006378+0.00094743i,0.00022739+0.00056442i,0.0010066-4.8562e-05i,0.00070456-0.00038553i,-5.3452e-06-0.00084054i,-7.4438e-05-0.0014264i,6.3299e-05-0.000834i,-9.7749e-05-0.00016181i,-3.6249e-05+0.0001749i,-0.00011853+3.5611e-05i,-6.3289e-06-0.00090936i,0.00034381-0.0012735i,7.908e-05-0.00044719i,-0.0003718+0.00031686i,-0.00026245-4.2299e-05i
-0.00095342+0.001632i,-0.0015514+0.00018979i,-0.0016699-0.001518i,-0.00061484-0.0019822i,-0.00051256-0.0010714i,-0.00033605-0.00059638i,0.00036689-0.00096583i,0.00030894-0.00059833i,0.00048341+0.00029687i,0.000743+0.00038046i,0.00049197+0.00017961i,0.00026796+0.00048578i,-0.00017691-0.00043115i,-0.00082492-0.0007682i,-0.00055858-0.00015793i,0.00010516+0.00011697i,0.00020604-0.00040096i,5.5631e-05-0.0010066i,-0.0001081-0.00047461i,-4.8308e-05-0.00031779i,0.00074653-0.00057293i,0.00081791-0.00031211i,-0.00012564+0.00011936i
-0.0038902+0.00058817i,-0.0035349+0.00017806i,-0.0008355-0.00018868i,0.00057307+0.00041649i,-0.0001164+0.00036132i,-0.00047357+0.00011702i,0.00013625+9.7051e-05i,-8.8677e-05-0.00055358i,0.00033426-0.00031996i,0.00095295+0.00043857i,0.00067509+0.0002134i,0.0002806-0.00015224i,0.00019645-0.00039544i,0.00035368-0.00025225i,0.00039757+0.0006198i,1.3381e-05+0.0010935i,-0.00048081+0.00065128i,-0.00075734-3.7944e-05i,-0.0010269-0.00075142i,-0.00084165-0.00015052i,-0.00021495+0.00025377i,0.00060939+0.00012326i,0.00045907+0.00040609i
-0.00073486-0.0025629i,-0.0011231-0.0026182i,-0.0026089-0.0011679i,-0.0023348+0.00010371i,-0.000807+0.00088812i,0.00069081+0.0013221i,0.00105+0.00063857i,-4.0823e-05+0.00011741i,-0.00050759-0.00039724i,-0.00027225-0.00016467i,-0.00012208+0.0010041i,0.00017463+0.0014541i,0.00061484+0.00088162i,0.0012662+0.00041093i,0.0012357+0.00058575i,0.00036846+0.00078814i,-0.00053602+0.00078077i,-0.0006562+0.00028067i,-0.00032731-0.00016555i,0.0003616-0.00020577i,0.000327+0.00059401i,0.00034098+0.0006809i,0.00090473+8.3108e-05i
-0.0027456+0.0025346i,-0.0030683+0.002425i,-0.001699+0.0018999i,0.00068107+0.0005449i,0.0016555-0.0009803i,0.00052356-0.00097261i,-0.0002087-0.0003333i,-0.0002929+0.0002142i,-0.0002231+0.0011157i,0.00022875+0.00097493i,0.00030444+0.00011815i,0.00021078+4.0509e-05i,-1.9421e-05+1.4383e-05i,4.1648e-05-1.2442e-05i,0.00073856+0.00019567i,0.00068213-0.000192i,-0.00012435+0.00020126i,-6.1313e-05+0.00092571i,0.00069226+0.00067909i,0.00066036+0.00018638i,0.00023209+5.4485e-05i,0.00022311+0.00029527i,0.00026589-6.3763e-05i
-0.0019422-0.0020878i,-0.0012981-0.0027257i,-0.00076253-0.0019291i,9.7347e-06-0.0022797i,0.00024638-0.0018523i,9.6085e-05-0.0006509i,-0.00026547-0.00076049i,-0.00070553-0.00045062i,-0.0011918+0.00054869i,-0.0014279+0.00076793i,-0.00096346+0.00058535i,-0.00040745+0.00070431i,5.9502e-05+0.00059363i,0.00035188+0.0006164i,0.00057269+0.00060868i,8.3273e-05-0.00012666i,-0.00060458-0.00056112i,-0.00013464-0.00034625i,0.00033738-0.0001523i,0.00015632+8.1778e-05i,-0.0003701-9.698e-05i,-0.00064597-8.0545e-05i,-0.00048611-4.2397e-05i
0.00099047+0.00077527i,0.0010235+0.00021065i,0.0013913-0.00039128i,0.00089269-0.0017196i,-8.1518e-06-0.0020378i,-0.00053704-0.00070672i,-0.00066857+0.0003414i,-0.00046588+0.00014217i,0.00012936+0.00037307i,-0.00015191+0.00073272i,-0.00079212+8.4643e-05i,-0.00099668-0.0004345i,-0.00052775+0.00013283i,-0.0002601+0.0010032i,-0.00092352+0.001016i,-0.001208+0.00068238i,-0.00042084+0.00030103i,0.00038407+4.2213e-05i,0.00019339+0.00010312i,-0.00030349+0.00052014i,-3.9821e-05+7.8647e-05i,0.00026309-0.00065194i,-0.00024652-0.00014399i
-0.0021677+0.00047171i,-0.0020963+0.0010888i,-0.0021743+0.00052041i,-0.0017352-7.1352e-05i,-0.00084558-0.00013i,7.8598e-05-0.00030025i,0.00042481+8.8612e-05i,0.00016665-0.00048799i,-0.00046248-0.00096945i,0.00026499-0.00072997i,0.0009764-0.00061864i,0.00040716-0.00034976i,-0.00023108+0.00081538i,-0.00034627+0.0012248i,0.00062809+0.00071564i,0.0011105-0.00020109i,0.00018768-0.00097649i,-0.00035155-0.000763i,-0.00014188-0.00050721i,-0.00055602-0.00026953i,-0.00049721+0.00025197i,-7.1115e-05+0.00046038i,-0.00065683+0.0005251i
-0.00057027-0.0006977i,-0.0020655-0.0016366i,-0.0017056-0.002297i,0.00012984-0.0020935i,0.00095164-0.0011462i,0.00083555-0.00010997i,0.0002847+0.00078046i,-0.00011753+0.00013803i,0.00020386-0.00097807i,-9.8315e-05-0.0010702i,-0.00066209-0.00037132i,-0.00060261+0.0005003i,5.5945e-05+0.0005361i,0.00085053+3.9419e-05i,0.00041773-0.00033917i,-0.00013923-0.00031837i,0.00022475-0.00022777i,0.00020865-0.00014842i,-8.417e-05+0.00018422i,-4.0179e-05+0.0006336i,-0.00049055+0.00041114i,-0.00034174+0.00038624i,0.00034065+0.00043062i
-0.00020879+8.7031e-05i,-0.00076258-9.8194e-05i,-0.0018891+0.00043282i,-0.0016825+0.00099568i,-0.00061501+0.00030122i,0.0001991-0.00037541i,0.0012909-0.00076716i,0.00094348-0.00081623i,-0.0006992-0.00016263i,-0.00064947+0.00051559i,-0.00049271+0.00050959i,-0.00077466+0.00058972i,-0.0010073+0.00011361i,0.0002472-0.0011803i,0.0011435-0.0011479i,0.00032477-0.00080974i,-0.00027453-0.00071847i,-7.9605e-05-0.00016947i,-0.00051342-0.0001932i,-0.00081104-0.0006157i,-0.00043038-0.00080107i,-0.00048106-0.00050105i,-0.00025264-0.00080114i
-0.00054373+0.00029484i,-0.00038887+0.00017347i,0.00058855-0.0010746i,0.0010813-0.00276i,0.000745-0.0026528i,0.00017192-0.001006i,-0.00040464+0.00018144i,-0.001175+0.00053372i,-0.001141+0.0008683i,-0.00036519+0.00091644i,0.00031664+0.00081733i,0.00068761+0.00061129i,0.0011887+8.773e-06i,0.0013816-0.00040843i,0.00079535-0.00044892i,0.0001005-4.7816e-05i,-6.9377e-05+8.1793e-05i,5.7905e-05-0.00044723i,-0.0002798-0.00020643i,-0.00027258+0.00042978i,0.00040502+0.00017588i,-0.00014253-0.0012519i,-0.00026825-0.00059632i
0.00075355-0.00040268i,-0.0014178+0.00032835i,-0.0023258+3.6693e-05i,-0.0020425-0.00039725i,-0.0013245-0.00018971i,-0.00034444+0.00034943i,0.00098551+0.00041017i,0.0018407-0.00031565i,0.0019094-0.00065082i,0.0010845-0.00030214i,0.00049932-0.00053194i,0.00067255-5.971e-05i,0.00077205+0.00065897i,0.00064053+0.0011117i,0.00060374+0.0009831i,0.00035384+0.00029756i,0.00036945-0.00056548i,0.00080004-0.00098033i,0.0005604-0.00080858i,0.00042205-0.00071703i,0.00036969-0.00099752i,0.00068588-0.00048658i,0.0011149+0.00044202i
-4.4885e-06+0.001954i,-0.0012402+0.0014702i,-0.0004215-0.00011441i,0.00042978-0.00080812i,-0.00017085-0.00070859i,-0.00059253-0.0010598i,-0.00014084-0.0012264i,-0.00050129-0.00079936i,-0.00099853-0.00016525i,-0.00026707-0.00032714i,0.00025502-0.00065229i,0.00048802-0.00086415i,0.0013979-0.000673i,0.0010116+0.00032517i,0.00010879+0.00066118i,0.00026556+0.00037534i,0.00099918-3.4287e-05i,0.0012185-0.00018861i,0.00084253+0.00034288i,0.0007908+0.00085528i,0.00041543+0.0012281i,-0.00025966+0.00077465i,-8.1172e-05+0.00039607i
-0.00036124-0.0019144i,-0.00043644-0.0012262i,0.00023671-0.00082221i,0.00035842-0.00085937i,0.00049363-0.0003801i,-0.00054601+0.00075124i,-0.0010703+0.00038606i,-0.00095481-0.00045187i,-0.001213-0.0010227i,-0.0011633-0.00066732i,-0.00098288+6.6247e-05i,6.5225e-05+0.00045918i,0.0010854+0.00092171i,0.0011416+0.0010986i,0.00062828+0.00083879i,0.00055298+0.0002895i,0.00078354-5.7313e-05i,0.00059598+8.2078e-05i,0.00042956-6.4558e-05i,0.00020687+0.00027579i,0.00050836+0.00079573i,0.00044852+0.000687i,0.00012144+0.00035176i
-0.00091573-0.0023388i,-0.0021909-0.001327i,-0.0029866-0.0010389i,-0.0013114-0.0012703i,-0.00022845-0.001159i,0.00010342-0.00094487i,0.00031257-0.00038473i,-7.478e-05+0.00021903i,-0.00040528+0.00085659i,-3.1891e-05+0.0010758i,0.00040826+0.0007678i,-0.00016374+0.00030736i,-0.00047871+0.0002071i,0.00013536+0.00065671i,-2.0738e-05+0.001074i,-0.00086851+0.0009899i,-0.0010304+0.00052584i,-0.001053+5.3105e-05i,-0.00046808-0.00029497i,-4.9889e-05+0.00015808i,0.00029066-0.0001082i,0.00050269-3.9562e-05i,0.00011571+0.00018412i
0.00041966+0.00029742i,-0.00023376+0.00091968i,-0.00039113+0.00058388i,-0.00059771-0.00050221i,-0.00094607-0.00051881i,-0.00043534+0.0005489i,-9.5287e-05+0.0016195i,-0.00032846+0.0011331i,0.00027719+0.00081111i,0.00093199+0.0011239i,0.00092585+0.00093191i,0.000468+0.00018705i,1.6205e-05+0.00011174i,-0.00096975+0.0011918i,-0.0016323+0.00089167i,-0.0013087+0.00040687i,-0.00078119+0.00068513i,-0.00049963+0.00095463i,3.5834e-05+0.0011749i,0.00018592+0.00079239i,0.00023472-0.0003851i,0.00039815-0.00062551i,0.00048935+0.00038026i
-0.00062509+0.00048469i,-0.0014071-1.7328e-05i,0.00015154-0.00083425i,0.0019684-0.0011273i,0.001567-0.00079219i,0.0009529+0.00010415i,0.0015064+0.00038193i,0.0013247+6.15e-05i,0.00071424-0.00016307i,0.00050841-0.00063953i,0.00010419-0.00067297i,-0.00045195-0.00011177i,-2.4217e-05-0.00010808i,0.00071146-0.0003555i,-0.00057387-8.9619e-05i,-0.0015823-0.00015477i,-0.0010057-0.00014292i,-0.00069653+2.4296e-05i,-0.00040897+0.00087806i,0.0001879+0.0018959i,0.00070306+0.001905i,0.00071155+0.0010346i,0.00076519+0.00050474i
-0.00037027+0.0011307i,7.9909e-05+0.00082475i,0.00087179+0.001716i,0.0011993+0.0011371i,0.0012738-0.00055394i,-5.7942e-05-0.001019i,-0.0010031-0.0010042i,-0.00054445-0.00091191i,0.00057566-0.00061852i,0.0013266-0.00034441i,0.0010923-0.0010376i,0.00086149-0.00098523i,0.00051975+0.00026592i,-0.00039056+0.00039909i,-0.0010741-4.0719e-05i,-0.0011428-1.9975e-05i,-0.00064995+0.00035941i,3.1447e-05+0.00020481i,0.000523-0.00053256i,0.0010736+3.0585e-05i,0.00097692+0.00055282i,0.00081236+0.00027555i,0.0004149+0.00070967i
-0.0013617-0.0018954i,-0.0022017-0.001614i,-0.0021609-0.0021517i,-0.00096086-0.0025907i,-0.0003469-0.0014632i,-7.1441e-05-0.00013542i,0.00049303+0.0005227i,0.00012767-0.0001194i,-0.0010723-0.00064842i,-0.0014238-0.00011521i,-0.0010224+0.00053561i,2.7718e-05+0.00071609i,0.00053915+0.00090227i,0.00034064+0.00037194i,-0.00030355-0.00018368i,-0.00041987-0.0005078i,0.00025875-0.0011032i,-0.00032248-0.00094295i,-0.00018813-0.00065613i,0.00037424-6.6105e-05i,0.0010058+1.7457e-05i,0.0017992-0.00043836i,0.0012906-0.00059302i
-0.0012688-0.0010466i,-0.00086632+9.2491e-05i,0.00056734+0.00066656i,0.0016189-5.5531e-05i,0.00084332-0.0014024i,0.0013426-0.0010956i,0.0015923-0.00021657i,0.00050146+0.00024082i,-0.00080081+0.0008593i,-0.0014801+0.0019265i,-0.00099842+0.0020642i,0.00025651+0.001244i,0.00085773+0.00039877i,0.00014852-0.00053735i,-0.00056439-0.0012298i,-0.0003972-0.0014589i,-0.00071619-0.0015554i,-0.00094523-0.0017962i,-0.00070618-0.001622i,-0.00014685-0.00099758i,-0.00024346-0.00011431i,-5.7195e-05+0.00063624i,0.0008176+0.00093809i
0.00033282+0.00048762i,-0.00055223+0.00078404i,-0.0010826+0.00019602i,-0.00025928-0.0009084i,-0.00012991-0.00096978i,-0.00063281+0.00035706i,-0.00015559+0.00075324i,0.00051722+0.00037209i,0.0011179+0.00057581i,0.00080102+0.0012816i,0.00049196+0.0013943i,0.00041761+0.00027536i,0.00021686-0.00031974i,2.376e-05+0.00043409i,0.00023428+0.00061448i,0.00070942-8.9927e-05i,0.00063815-0.00031286i,0.00095618-0.00031763i,0.0012547-0.00010551i,0.00096655+5.4531e-05i,0.00015068+2.4178e-05i,-0.00012693+0.00014991i,5.6112e-07-0.00017248i
-0.00076429-0.00016308i,-0.001276-0.0002006i,-0.00093581-0.00024456i,-7.4376e-05-0.00047218i,0.00089125-0.00058133i,0.0016785-0.00050275i,0.0014572-0.00027904i,0.00098234-0.00052875i,0.0009098-0.00075331i,0.0012107-7.3871e-05i,0.001312+0.00052634i,0.00022871+0.00024562i,-0.00023941+3.3054e-05i,0.00017886+2.7197e-05i,0.00031995-0.00075183i,0.0013784-0.0013485i,0.0020585-0.0011853i,0.0018807-0.0012689i,0.0015555-0.0014647i,0.0011995-0.0011296i,0.00096325-0.00043445i,-6.9144e-05+0.00013541i,-0.0018567+0.00074633i
-0.003674-0.00046627i,-0.0033055+0.00012261i,-0.0021596+0.0005454i,-0.00061223-0.00044215i,0.00058638-0.0011713i,0.00018366-0.0016144i,-0.00089617-0.0021747i,-0.00077948-0.0024106i,-0.00038409-0.0022357i,-0.00047126-0.0013745i,-0.00058714-0.0005796i,-0.00041571-0.00022966i,0.00039312-0.00030764i,0.0017005-0.0010925i,0.0024162-0.0010858i,0.0015392-0.00043363i,0.0011543-0.00019057i,0.0011957-0.00039624i,0.00059632-0.00067346i,0.00021912-0.0001236i,0.00071495-7.337e-05i,0.001469-0.00028364i,0.001192+0.0007006i
-0.0014565+0.00055514i,-0.00084168+0.0020716i,0.00067709+0.0031285i,0.0018841+0.0023074i,0.0020616+0.00075525i,0.0015403+0.00018154i,-0.00053385+0.00043687i,-0.0015586+0.0003654i,-0.00084319+0.00038579i,-0.00054503+0.00064897i,-0.00022423-0.00031323i,-3.6839e-05-0.00086927i,-2.3415e-05-0.0001748i,0.00022371-2.9099e-05i,-0.00010594-0.00047904i,0.0003457-6.7875e-05i,0.0010183+0.00044061i,0.00068992+0.00058818i,0.00060579+0.00078923i,0.0013091+0.0011773i,0.0010844+0.0011403i,-0.00034842+0.00045295i,-0.00091689-0.0003844i
-0.0043141-8.1334e-05i,-0.0053513-1.9846e-05i,-0.0059715-1.2717e-05i,-0.0030988-0.00033422i,-0.00030624-4.9373e-05i,-0.000128+0.00014757i,-0.00063562-0.00078261i,-0.00087067-0.0014416i,-0.00060422-0.00032571i,-0.00018892+0.00101i,0.00022733+0.00071725i,0.00018234+9.9956e-05i,-0.00014022-2.3956e-05i,-0.00038847-0.000524i,0.00030205-0.00085338i,0.00065357-0.00012169i,0.00047789+0.0002188i,0.00078018+4.5946e-05i,0.00044922-0.00010899i,0.00057459-0.00037794i,0.0010949-0.00066019i,0.00067724-0.00045684i,4.0814e-06+7.914e-05i
0.00096833+2.8807e-05i,0.00045382-0.0011586i,0.000735-0.0015454i,0.0016379-0.00061553i,0.001658+0.00054543i,0.00045015+0.0012376i,-7.7674e-05+0.00068448i,0.00099422-2.7319e-06i,0.0013053-0.00026956i,0.00086833+0.00033593i,0.00061589+0.00038718i,0.00053709-0.0011685i,0.00067203-0.0013689i,0.00057121-0.00012221i,0.001058+0.001216i,0.00073969+0.0017299i,0.00014419+0.00094876i,0.00016336+0.00020195i,-4.0462e-05+0.00040655i,-0.00020846+0.00071417i,-0.00033382+0.00040713i,0.00045504-0.00019657i,0.00088833-0.00068575i
0.0017911+0.0014848i,0.0016566+0.001648i,0.0014057+0.0018635i,0.00047413+0.0006303i,-0.00072801-0.00088161i,-0.00060331-0.00086824i,5.8635e-05-0.00036294i,0.00050314-0.00022655i,0.00035012-0.00067056i,-7.3684e-05-0.0015786i,-0.00022995-0.0017421i,-0.00013124-0.00046389i,-0.00047851+0.0008675i,-0.00030158+0.0014262i,-0.00076321+0.0012356i,-0.0015008+0.00045261i,-0.00027497-0.00012984i,-1.753e-05-0.00044789i,-0.00047375-0.00058689i,0.00025895+0.00023852i,0.00052145+0.0010045i,-2.1575e-05+0.0008657i,-0.00014558+0.00062344i
-0.0015202-0.0012912i,-0.0031642-0.00020069i,-0.0038918-0.00028992i,-0.0023824-0.00037803i,-0.0017427+0.00020974i,-0.00085577-1.1852e-05i,6.6783e-06-0.00055251i,-5.124e-05-0.0014075i,-0.00040434-0.0013943i,-0.0010695-0.0008498i,-0.00099622-0.00029237i,-0.00017332-0.00012829i,-0.00051347+0.00018417i,-0.001217+0.00096983i,-0.0013655+0.0011772i,-0.0019936+0.00029695i,-0.002287-0.00055755i,-0.00074297-0.00037455i,0.00068394+0.00059183i,0.00055598+0.0010355i,0.00044017+0.00074251i,0.00010637+0.00078342i,-0.00042114+0.00065595i
-0.0014517-0.002361i,-0.0013828-0.0031817i,-0.0021674-0.0024013i,-0.0016826-0.0011337i,-0.0012706-0.00066119i,-0.00083153-0.00058758i,-0.00089407-0.00040093i,-0.0012964-0.00018399i,-0.0012326+0.00064048i,-0.0010347+0.00083729i,-0.00014238+0.00069739i,0.00063521+0.0011253i,0.00071451+0.0011852i,-0.00011132+0.00031983i,-0.0012889-6.5978e-05i,-0.0011601-6.5528e-05i,-0.00058436+1.9139e-05i,-0.00079062+0.0003055i,-0.00047856+0.00040952i,-0.00012714+0.00021351i,-0.00030747+0.00011069i,-0.00091075+0.0003522i,-0.0012114+0.00081758i
-0.001071-0.0013384i,0.00010231-0.0015621i,0.00095903-0.0012456i,0.0012261-0.00095188i,0.0012019-0.00082457i,0.0013645-0.00070725i,0.0016628-0.00053697i,0.0018923-0.00045866i,0.0011027+0.00049408i,0.0012313+0.0013438i,0.0015845+0.001185i,0.00086595+0.00040912i,0.00043524-0.00064671i,-0.00030737-0.0011617i,-0.00058383-0.00084155i,-0.0002606-0.00050886i,-0.00034189-0.00076455i,-0.00036168-0.000798i,-0.00020437-9.3943e-05i,8.7746e-05+0.00026645i,0.00016747-0.00065886i,-0.00033519-0.0011188i,-0.00063354-0.00046242i
4.377e-05+0.00095914i,-0.00073584+0.0018015i,-0.00083904+0.0016801i,-9.6624e-05+0.00018383i,0.00041793-0.0018344i,0.00042516-0.0016879i,0.00065795-0.00024459i,0.00083219+4.6592e-06i,0.00085066-0.00053993i,0.00085332-0.00064435i,0.0004891+0.0005188i,-0.00035104+0.0010184i,-0.00067143+0.00062414i,-8.7343e-05-0.00012999i,9.4076e-05-0.0012188i,0.00055558-0.0017544i,0.0010938-0.0014727i,0.00060822-0.0008508i,0.00022775-0.0003629i,-0.00072928-0.00018615i,-0.0019356-0.00024121i,-0.0018462-0.00027038i,-0.0014106-3.5581e-05i
-0.00012683-0.0023818i,-0.0027965-0.0027017i,-0.0056399-0.0024857i,-0.0043652-0.001149i,-0.0011498+0.00055327i,0.0002193+0.0012717i,0.0013092+0.00058976i,0.0012691-0.00063756i,0.00035979-0.0018762i,-0.00019778-0.0022666i,0.00027446-0.001843i,0.0008849-0.00025552i,0.00061747+0.00068957i,0.0005602+2.567e-07i,0.00084574-0.00051233i,0.00080075-0.00048519i,0.00085839-0.00084514i,0.0011695-0.001401i,0.0015292-0.0013905i,0.00096607-0.00080989i,-0.00012609-2.4341e-05i,-0.00091864+0.0001925i,-0.00071081+1.944e-06i
-0.00078793-0.00042368i,-0.0014988-0.0018785i,-0.00057841-0.0025592i,0.00065485-0.0024701i,0.00039983-0.001923i,0.00041323-0.0011076i,-0.00032214-0.00030492i,-0.0014351+0.00011116i,-0.0016114+3.7694e-05i,-0.00091637-9.8222e-05i,-0.00040219+0.00060011i,-0.00092973+0.00082154i,-0.00042067+7.4098e-05i,-8.1323e-05+0.0004211i,0.00042242+0.00059418i,0.0016788-0.00034133i,0.0016304-0.00060421i,0.0011816-0.00024657i,0.00054655-0.00042037i,0.00058976-0.00033047i,0.0011998-0.00032059i,0.0011606-0.00016763i,0.00034054+0.00041895i
0.00056326-0.00081253i,-0.00040971-0.00078951i,-0.00074914+0.00054688i,-0.00067434+0.0014664i,-0.00070224+0.00075931i,-0.0010508+0.00037624i,-0.00043245+0.00068113i,8.898e-05+0.00046636i,-0.00012883+0.00017745i,-0.00025026+0.00056534i,0.0001752+0.00082546i,0.00080472+0.00029212i,0.0014568-0.00060687i,0.0016265+0.00021183i,0.0012651+0.0014906i,0.001453+0.0013625i,0.0016701+0.00082018i,0.0011825+0.00047286i,0.00051117-0.00012748i,0.00060892-0.00115i,0.0013406-0.0012836i,0.0016299-0.0011001i,0.0011999-0.0010523i
-0.0015064-0.0001551i,-0.0031308+0.0001312i,-0.0036933-0.00017191i,-0.0020074-0.0011181i,-0.0001581-0.00076801i,0.00069592+0.00030217i,0.00065531-0.00010948i,-0.00029984-0.00045381i,-0.00052027+0.00017831i,0.00073285+0.00093499i,0.0015552+0.00065418i,0.0014341+0.00010253i,0.001548+0.00061586i,0.0010474+0.00084076i,0.0007259+0.00061383i,0.0013463+0.00055351i,0.0014536+0.00051342i,0.0010932+0.00032122i,0.00086633-0.00080012i,0.00023389-0.0013245i,0.00025153-0.00037929i,0.00075269+0.00012951i,-6.1927e-05+0.00027021i
-0.0011826+0.00042136i,-0.00079678-0.00087566i,7.5405e-05-0.0015078i,-9.4765e-05-0.00088258i,-7.4827e-05-0.00071389i,0.00099771-0.0010976i,0.001478-0.00021273i,0.0014994+0.00037108i,0.0017221-0.00020559i,0.00080693-0.00068977i,-0.0005921-0.00066039i,-0.0012404+9.8749e-05i,-0.0011165+0.00080143i,-0.00092839+0.0010261i,-0.00070726+0.0016651i,-0.00071617+0.0019465i,-0.00044814+0.0012019i,-0.00017146+0.00055164i,0.00060358+0.00095543i,0.00071436+0.0007925i,0.00069651+0.00079972i,0.000944+0.0010754i,0.00045672-0.000367i
0.00042469-0.00010301i,0.00060717-0.00084234i,0.0015678-0.0015642i,0.0021346-0.0017303i,0.0005399-0.0017607i,-0.00063882-0.001165i,-0.00030505-0.0012501i,-0.00031846-0.0022331i,-0.00057571-0.0023407i,-0.00059854-0.0012464i,-0.00056502-5.0179e-05i,0.00026844+0.0011333i,0.00032982+0.0014661i,-0.00060461+0.0016981i,-0.0011322+0.0016801i,-0.0013297+0.00087652i,-0.0013167+0.00096485i,-0.00063544+0.00062061i,-0.00026676-0.00010913i,-0.00022027-0.00056779i,-0.00018656+0.00010363i,-0.00047428+0.00031544i,0.00011864-0.000393i
0.0010019+0.001562i,0.00012388+0.0015074i,-0.00026871+0.0025202i,0.00046035+0.0024061i,0.00058778+0.0008772i,0.000713-0.00030469i,0.00046716-0.00068873i,-0.00017701-0.0013507i,-9.8344e-05-0.0011563i,0.00029616-0.00028718i,0.00052441-3.3651e-05i,0.0005497-0.00025869i,-0.00051352+0.0004271i,-0.0017315+0.0011496i,-0.0022758+0.001538i,-0.001618+0.0016677i,-8.7966e-05+0.0011102i,0.00090082+0.00069978i,0.00087651+0.0011598i,0.00069752+0.0010684i,0.0013843+0.00057455i,0.001015+0.00086638i,-0.00017251+0.0014358i
-0.0017344-0.00095334i,-0.0023154-0.0011759i,-0.0013315-0.00069581i,-0.00048027-0.0016463i,-4.4087e-05-0.0019902i,-6.9145e-05-0.00056715i,-0.00029653+0.00098536i,-0.00053652+0.00056647i,-0.0001181+0.00063954i,0.00065434+0.0016887i,0.0007117+0.0016812i,0.00043364+0.00087668i,0.00024669+3.2642e-07i,-0.00073911-0.0004407i,-0.0021833-0.00032988i,-0.002212-0.00077993i,-0.00092563-0.0010371i,0.00048442+0.00012318i,0.00046623+0.00094483i,-0.0005768+0.00054715i,-0.0012314+0.00033106i,-0.00086806+0.00024734i,-0.00044418+7.9322e-05i
-0.00027622-0.00082646i,0.00013226-0.001026i,0.0017113-0.0015508i,0.0016185-0.00088329i,0.00061265+2.5588e-05i,0.00095496+0.00076433i,0.0013423+0.0015705i,0.0015043+0.001808i,0.0014049+0.0010896i,0.00060834+0.00018095i,-4.7353e-05-0.00060555i,-0.00051927-0.0010871i,-0.0014138-0.00063609i,-0.0018943+0.00018086i,-0.0016959-0.00063559i,-0.0016713-0.0013763i,-0.0014054-0.0010758i,-0.00095433-0.00027015i,-0.00042257+0.00046659i,4.2027e-05+0.00021084i,-0.00037063-0.00023132i,-0.00071352+0.0001012i,-6.5031e-05+0.00022947i
-0.00069839+0.0015791i,-0.00028896+0.0024506i,-0.00096767+0.0032418i,-0.00041523+0.0015721i,-0.00035851-0.00074966i,-0.00044719-0.0015699i,0.00052051-0.0014088i,0.00084386-0.001809i,-1.5634e-05-0.0016767i,-0.00056206-0.00076148i,-0.00035303+0.0001454i,-8.5321e-06+0.00014752i,-0.00016972-0.00086684i,-0.0008606-0.0016796i,-0.0010834-0.0013364i,-0.00087507-0.0014554i,-0.0013731-0.0019011i,-0.0019634-0.0011569i,-0.0020016-0.00020474i,-0.0017095-0.00029584i,-0.0010994-0.00053233i,-0.000703-0.00063775i,-0.00050831-0.00063494i
-0.0009873+0.0014844i,-0.0019725+0.00082662i,-0.0017633-0.00011594i,0.0001646-0.00091876i,0.00083598-0.00021477i,0.0001708+0.00041031i,0.00054031-0.00014384i,0.0008712-0.00084104i,-4.5059e-05-0.00065529i,-0.00094911-0.00074443i,-0.0012498-0.00093399i,-0.00061272-0.00023228i,0.00081477-8.7007e-06i,0.00086997-0.00048947i,-0.00028376-0.00090564i,-0.0011219-0.0013714i,-0.0013725-0.00054329i,-0.0013065+0.00010235i,-0.00059832-2.2046e-05i,0.00022051-0.00051376i,0.00048488-0.0010579i,0.00015002-0.00063882i,-0.00073058-0.00010718i
-0.0033188-0.0017795i,-0.0034805-0.0008967i,-0.0028752-0.00055569i,-0.00098777-0.00076968i,2.6834e-05-0.0020317i,6.7365e-05-0.0025567i,-0.00073629-0.001832i,-0.0010964-0.0012689i,-0.0011392-0.00032621i,-0.0010749+0.00054216i,-0.00065046+0.00037326i,-0.00027287-0.00013355i,0.00028539-0.00089368i,0.00091289-0.0017456i,0.0015182-0.0015081i,0.001911-0.00093819i,0.0019667-0.0014814i,0.0014102-0.0015503i,0.00071752-0.0012694i,9.1743e-05-0.0013542i,-0.00050796-0.0014514i,-0.00049465-0.00101i,-0.00073343-0.00081557i
-0.00032225-0.0017651i,-0.0010831-0.0014384i,-0.00055633+0.0001394i,-0.00045992+0.00017213i,-0.00074672-0.00038094i,-0.00066088-0.00017418i,-0.00074581+0.00027971i,-0.0011409+0.0010993i,-0.0010995+0.0013587i,-0.00023291+0.0014665i,0.00058274+0.0012135i,0.00080936+0.00046318i,-0.00010914+0.00031294i,-0.00038518-4.078e-05i,0.0010163-0.00039741i,0.0017146-0.00078012i,0.0020637-0.0012154i,0.0017054-0.0010777i,0.00092839-0.0012883i,0.00026554-0.0012906i,0.00024118-0.00047216i,0.0010124+0.00015476i,0.00096718+8.3894e-05i
