-0.00036023+0.00099223i,0.00090388-0.00049874i,0.00017373-0.00040376i,-0.0011033+0.00039459i,-0.0022891+0.0015574i,-0.0017905+0.0015777i,-0.0013149+0.00051749i,-0.0006132+0.00043987i,0.00051591+0.00044586i,0.00069611+0.00029902i,0.00029443+7.0596e-05i,0.00031063-0.00043738i,1.7764e-05-0.00029159i,-0.0008513-0.00022681i,-0.0012007-0.0001962i,-0.00081872+0.00049505i,-0.00059628+0.00033236i,0.00055309-0.00012861i,0.00080636-0.00021817i,0.00043997-0.00048001i,0.00062676-0.00047408i,0.00047244-0.00042971i,0.00033021-0.0002484i
-0.0004911-0.0013852i,-0.0007765-0.00044715i,-0.00092587+0.00032106i,-0.00038465-5.0521e-06i,-0.00063188-2.3594e-05i,-0.00069721+0.00030741i,-0.00029989-3.2691e-05i,-1.0801e-05+0.0002802i,0.00025353+0.00060954i,0.00075394+0.00042363i,0.00062199+0.00015492i,0.00022493+0.00021107i,0.00019973+0.00064374i,0.00063214+0.00074281i,0.0003598-1.2579e-07i,0.00036474-0.0011245i,0.0010156-0.00063107i,0.00033945+0.00025295i,-0.0002769+0.00011887i,-0.00023784-8.7997e-05i,0.00029339+0.00076947i,0.00080605+0.0012337i,0.00054217+0.00051115i
-0.00039038-0.0018396i,0.00059497-0.00052329i,0.00032199-0.00055509i,-0.00076655-0.00078728i,-0.0019229+0.00024295i,-0.0028666+0.0010276i,-0.0022481+0.00060365i,-0.00074218-6.9009e-05i,-3.7735e-05-0.0007263i,-5.574e-05-0.00077378i,-0.00024331-0.00024485i,3.6649e-05+0.00047881i,9.3141e-05+0.00086559i,-0.00037174+0.00019236i,-0.0012831-0.00066943i,-0.0013208-0.0011095i,-0.00037254-0.0008847i,-0.00042062-0.00039623i,-0.00087941-0.00023342i,-0.00060763+0.00016644i,-0.00014081-0.00025774i,0.00014775-0.0005028i,-0.00057421+0.00020774i
-0.00042332+0.0014896i,-0.00073054+0.0015936i,-0.00093331+0.0017849i,-0.00093866+0.00091599i,-0.00072252+0.00053359i,-0.00021634+0.00080819i,-2.9281e-05+0.0012953i,0.00026504+0.0015672i,0.00040368+0.00073043i,0.00027475+0.00012243i,-0.00014045-6.8673e-07i,1.157e-07-0.00012223i,2.3466e-05+7.3703e-05i,-0.00051164+0.00017607i,-0.00050111+0.00050521i,-0.00038948-0.00012874i,-0.0013992-0.00062476i,-0.0017704-5.0755e-05i,-0.00127+0.00033731i,-0.0009871-2.4364e-05i,-0.00027984-0.00053486i,-0.00039146-0.00044118i,-0.00053062+0.00011606i
-0.00093696+0.00081645i,-0.00022004+0.0010298i,-0.00051383+0.0018989i,-0.0006079+0.0013709i,-0.00084594-6.8048e-05i,-0.0013185-0.0002947i,-0.00080219-0.00012164i,-0.00045709-0.00092449i,-0.00047204-5.4014e-05i,-0.00026264+0.00046218i,0.0001366+0.00014821i,0.00040486+0.00017425i,0.00033023-0.00054052i,0.00035112-0.00048912i,-0.00018463+0.00010245i,-0.00088774+0.00040799i,-0.0012214+4.5706e-05i,-0.00092445-0.00086908i,-0.00056426-0.00065978i,-0.00018342-0.00015904i,-0.00034287-0.0003271i,-0.00039945-0.00013778i,-0.0003792-0.00014513i
0.00075457-9.6108e-05i,2.3519e-07+0.0013088i,-0.00017259+0.00057945i,-8.9089e-05+0.00068144i,-0.00073035+0.0010888i,-0.0009502+0.0010974i,-0.0008722+0.0011892i,-0.0016559+0.00022954i,-0.0016937-0.00092828i,-0.0011334-0.00084166i,-0.00067176+7.9732e-05i,-0.00028407+0.00016944i,0.00024793-0.00057552i,0.00038003-0.00071193i,-0.0001677-0.00032633i,-0.00047007-0.00019871i,-0.00041762-0.00029885i,-0.00038834-0.00049514i,-0.00026997-0.0008066i,-0.00064584-0.000858i,-0.00067708-0.00054451i,0.00011278-5.633e-05i,0.00042031-0.00054139i
-0.00010457+0.0020959i,-0.0011664+0.001947i,-0.0013462+0.00149i,-0.0012277+0.00082157i,-0.0021847+0.00054262i,-0.0025972+0.0011433i,-0.0016777+0.00088327i,-0.00073951-0.00051147i,0.00019366-0.00023958i,0.00031965+0.00035654i,-0.00056132-0.00052071i,-0.00090098-0.00061321i,-0.00034416+0.00047766i,-0.00015437+0.00047731i,-0.00049383-0.00035698i,-0.00057311-0.00070913i,-0.00038639-0.00049296i,0.00013749-0.00078213i,3.736e-05-0.0012511i,0.00017116-0.0010784i,7.0526e-05-0.00010571i,-2.32e-05+0.00041156i,0.00065758+0.00061127i
-0.00062529-0.00059465i,-0.0011787-0.00066405i,-0.00081907-0.0014984i,-0.00090301-0.00065937i,-0.00085053+0.00049867i,-0.00036924+4.6069e-05i,-0.00013353-0.00058453i,-0.00019709-0.00060874i,0.00047347-0.00062386i,0.001544-0.00029926i,0.00034728+0.00010875i,-0.00033343+0.00060811i,-0.00012719+0.00075561i,-0.00032932+0.00030462i,0.00042107+0.00016407i,0.0004337+0.00013421i,-0.00024395-0.00065347i,-0.00064944-0.00047726i,-0.00065168-0.00017438i,-0.00019548-0.00032835i,3.7632e-05-0.00012005i,0.00013758-3.2533e-05i,0.00028911+0.00038252i
9.4099e-05+0.00065237i,0.00073253-5.3299e-05i,0.00098617+0.00037874i,-0.00030282+0.00010607i,-0.0017673+0.00068699i,-0.0022351+0.00082433i,-0.001821-0.00029982i,-0.0013382-0.0007646i,-0.00072391-0.00014395i,-6.8401e-05+0.00036965i,-0.00067748+0.00012235i,-0.00098945-0.00025284i,-0.00050031-0.00031498i,-0.00011186+0.00024172i,-9.613e-05+0.00014102i,0.00015913+0.00013823i,-0.00054076+1.8818e-05i,-0.00071084-0.00027134i,0.00025142-0.00048864i,0.00024213-0.00076031i,0.00033745-0.00062713i,0.00048075-0.00040448i,1.6857e-05-0.00050381i
-0.00029271+0.00038542i,-0.00021759+0.0013604i,-0.0002826+0.0018297i,-0.00030468+0.00099853i,-0.0004617+0.00070528i,0.00053973+0.00046344i,0.00078438+3.8165e-05i,0.00062537-0.000165i,0.00024557-0.00015463i,-0.00021226-0.00053157i,7.5849e-05-0.0010696i,8.8688e-05-0.00090266i,0.0002725-0.00034123i,0.00089559+4.2359e-05i,0.00063709-0.00012509i,-0.00078518-0.00045766i,-0.001976-6.2305e-05i,-0.0011819+0.00080865i,0.00013563+0.0010032i,0.00029351-0.00024045i,0.00064636-0.00064436i,0.00044105+0.00010824i,-9.1648e-05+0.00024372i
-0.0018095+0.0019772i,-0.0016372+0.0026113i,-0.00063969+0.0030699i,-2.5106e-05+0.0016057i,-0.00017166-3.7868e-05i,-0.00070706-0.00055879i,-0.0012483-0.0005667i,-0.0014929-0.00077699i,-0.00062156-0.00027713i,0.00034641+0.00037882i,-0.00012565+0.00058717i,-0.00053936+0.00015601i,-0.00069459-0.00074418i,-0.0007378-0.0012798i,-0.00042421-0.00016792i,-0.00074343+0.0012287i,-0.0017435+0.0016845i,-0.0015941+0.0010939i,-0.00066493+0.00039149i,-0.00024186+0.00077857i,-0.00019917+0.0010464i,-5.1189e-05+0.00081393i,-0.00028842+0.00094533i
-7.5674e-05+0.00016295i,-0.00060332+7.856e-05i,-0.0010782-0.00025916i,-0.0015812+0.00043821i,-0.0020209+0.0020803i,-0.0026432+0.0022017i,-0.0024289+0.00099539i,-0.00093871+0.00058301i,0.00033863+0.00019992i,0.00084123-0.00024744i,0.00017237+0.00015987i,-0.0010544+0.00036088i,-0.0011025+0.00016886i,-0.00046306-2.5976e-05i,-0.00013348-0.00013752i,-0.00019541-0.0006213i,-0.00065138-0.0006834i,-0.00078017-0.00064308i,-6.8428e-05-0.00082318i,0.00040737-0.00076581i,0.0010334-6.0376e-05i,0.0015553+5.5206e-05i,0.0012601-9.9346e-06i
-0.0018145+0.0013328i,-0.0013798+0.0023912i,-0.00098608+0.0028984i,-0.0003936+0.0017268i,-0.00021561+0.00063966i,-0.00024587-8.7251e-05i,-0.00089859-0.00036932i,-0.00024576-0.00011023i,0.00044878-0.00044193i,-0.00019179-0.00069591i,-0.00060095-0.0006357i,-0.00017838-0.0010037i,0.0001296-0.00077431i,1.9379e-05-0.0005372i,0.00024479-0.00080703i,0.00065384-0.00021895i,0.00012018+0.0004624i,-0.00031189+0.00067347i,-0.00056134+0.00084242i,-0.00028911+0.00082433i,1.5468e-05+0.00058586i,0.00023885+0.0003068i,0.00028557+0.00018923i
-0.00076174-0.0023045i,0.00029833-0.0021956i,-8.8417e-05-0.00085152i,-0.00029271+0.0014909i,-0.00071034+0.0024044i,-0.00035936+0.0013619i,0.00026156-6.8863e-05i,-6.479e-06-0.00040222i,-7.2579e-05-3.1687e-05i,-0.00066688+0.00011808i,-0.0014582-6.6666e-05i,-0.00056207+0.00026171i,0.0003274+1.9057e-05i,0.00045649-0.00053395i,-0.00019449+0.00011011i,-0.00088947-0.00010218i,-0.00065576-0.00067162i,-0.00030807-8.2278e-05i,-0.00024717+0.0003433i,1.9824e-05+0.00020693i,0.00058893+0.00022598i,0.0007851+0.00013797i,0.00053487-1.8537e-05i
0.0002195+0.0014353i,-0.00028024+0.0018654i,-0.00015555+0.001751i,0.00010774+0.0010075i,0.00018976+0.00034577i,0.00010608-0.00014824i,-0.00031719-0.0013089i,-0.00026538-0.0014414i,0.00023676-0.00018095i,0.00018409+0.00075244i,-0.0002489+0.00042717i,-0.000406+0.00011702i,-0.00098635-2.3575e-05i,-0.001348+7.7633e-05i,-0.00056195+3.5794e-05i,-0.00020858-0.0010679i,-0.00097213-0.0011387i,-0.00089621+2.2812e-05i,-0.00058671+0.00022648i,-0.00015776-0.00053157i,0.00050415-0.00058124i,0.00083639+9.3825e-05i,0.00049696+0.00035336i
0.00011158+0.0010209i,-2.3386e-05+0.00096174i,-0.00023032+0.00077158i,-0.00072869+0.0011454i,-0.00091276+0.0015208i,-0.00083147+0.00042055i,-0.00036196-0.00041059i,-0.00027026-0.00068126i,0.00020917-0.0013119i,0.00090305-0.0011619i,0.00042727-0.00048146i,0.00020838-0.00049747i,0.00037969+6.1702e-05i,-0.00029539-0.00016099i,-0.00096272-0.0010031i,-0.0010236-0.00068964i,-0.0010028+0.00045924i,-0.00057416+0.00062711i,-0.00013683-3.5018e-05i,7.8021e-05+0.00025666i,5.722e-05+7.1313e-05i,0.00034561-0.00034704i,0.0010434+7.2941e-05i
0.00040998+0.0023049i,-0.00018089+0.0034238i,0.00021991+0.0024671i,0.00031597+0.00042805i,-0.00069536-0.00084057i,-0.0024057-0.0013991i,-0.0028207-0.00072265i,-0.0015744-0.00010833i,0.00011169-0.00031285i,0.00050306-0.00035634i,-0.00018945-0.00011914i,-0.00017569+0.00035632i,4.3205e-05+0.00081272i,-0.00032513+0.00028801i,-0.00059498+4.6216e-05i,-0.00066062+0.00045332i,-0.00050985+1.4956e-05i,-0.0006169-0.00050784i,-0.00048254-0.0002776i,0.0001792-0.00047804i,2.4443e-05-0.00016489i,-0.00049501+0.00021157i,-0.00035194-0.00058142i
-0.0012506-0.00042895i,-0.0005407+0.00043371i,-0.000872+0.00053564i,-0.001299+0.00070996i,-0.001244+0.0018216i,-0.0013973+0.0023469i,-0.0016517+0.0010353i,-0.00071372-2.7239e-05i,0.00045006-0.00016817i,9.112e-05-0.00093257i,-0.00056768-0.0010525i,-0.00011885-0.00075485i,0.0013126-0.00036106i,0.00089517+0.000529i,-0.00047661+0.00034496i,-0.0010622+0.00011651i,-0.00063054+0.00032185i,0.00010028+0.00021509i,0.00054296-3.9221e-05i,0.001246+0.00032257i,0.0010532+0.00092881i,0.00028286+0.0011088i,-0.0002421+0.0012745i
-0.00041183-0.00036163i,-0.0002809-0.00086895i,0.0003156-9.1113e-05i,0.00067166-0.00040883i,0.0002618-0.00099784i,0.00025439-0.00089787i,0.00033704-0.00047075i,-0.00013122-0.0002091i,-0.00050817-0.00029208i,-0.00081746-0.0004101i,-0.001361-2.9395e-05i,-0.0012961+0.0001155i,-0.0011864+0.00073776i,-0.0011072+0.00058183i,-0.00052631+6.6334e-05i,-0.0001292-0.00040347i,-2.7987e-05-0.0005307i,-3.9377e-05-0.00079949i,0.00077323-0.0011121i,0.0013516-0.00018686i,0.00050865+0.00047362i,0.00021494+0.00041892i,0.0004399+0.00082093i
0.0020903-0.00062266i,0.0017401+0.00021568i,0.0002141+0.00064968i,-0.0013324+0.0011973i,-0.0022657+0.0023955i,-0.0029382+0.0021886i,-0.001945+0.00044464i,-0.00040519-0.00056284i,0.0007916-0.00067513i,0.00044494-0.00026357i,-0.00073077-0.00013126i,-0.00053923-6.5142e-05i,-0.00061313+0.0002651i,-0.00067169+0.00038201i,-0.00057682-0.00016982i,-0.00054621-0.00055178i,-0.00014088-0.00023793i,0.00021629+0.00026716i,-0.00016027-5.6118e-05i,-7.7381e-05-0.00026484i,0.00025357+0.0002071i,0.00035442+6.7284e-05i,0.00055396-9.1615e-06i
-0.0013798-0.00051374i,-0.0013194-6.1259e-05i,-0.0021358+2.2267e-05i,-0.0016416+0.00011346i,-0.00067578+0.00058751i,8.4563e-05+0.00061107i,0.00023792+4.9239e-05i,-0.00058025+0.00012366i,-0.00018556+0.00054052i,0.0016257+0.00040497i,0.0022315+0.00026936i,0.0014619+0.00060535i,0.00034613+0.00059383i,-0.00021409+7.6941e-06i,-0.00044732+0.00012745i,-0.00071785+7.3577e-05i,-0.00096514-6.1125e-05i,-0.0014713-0.00022008i,-0.0015817-0.00055383i,-0.0011876-6.346e-07i,-0.00069004+0.00024711i,-0.00020605+2.9587e-05i,-1.2632e-05+0.00015517i
-0.00085803-0.0001144i,-0.001179+0.0007826i,-0.00053909+0.0011861i,0.00032001+0.0010821i,-0.00016451+0.00088503i,-0.00045479+0.00015435i,-0.00074154-0.00076265i,-0.0012287-0.00076601i,-0.0003347+0.00016254i,0.00053106+0.00021117i,0.00030782-0.00016434i,0.00028934-1.2885e-05i,7.228e-05+4.4471e-05i,-0.00022147+0.00016385i,-0.00087047+0.00029121i,-0.00057541+0.00022537i,-0.00044908+0.00038969i,-0.0013522-0.00022788i,-0.00065465-0.0009065i,0.00023674-0.00092928i,0.00062249-0.00035821i,0.0011488-0.00018542i,0.0008737-0.00057422i
-0.00076211+0.0008708i,-0.00063797+0.0015566i,-0.0007324+0.0018986i,-0.0010145+0.0020574i,-0.00074549+0.0024058i,-0.00062204+0.0016769i,-0.00084457+0.00012393i,-0.0013028+0.00024768i,-0.00093981+0.00053405i,-0.00026001-0.00056067i,-0.00050538-0.0010735i,-0.00046831-0.0007115i,-0.00025539-0.00017858i,-0.0010113-0.00037718i,-0.0011218-0.00045919i,0.00017876+0.00010944i,-0.00011818+0.00026135i,-0.00053331+0.00067723i,0.00033793+0.00086638i,0.0007119+2.274e-05i,0.00044683+0.00014092i,0.00017176+0.0001977i,5.8164e-06-0.00069579i
-0.00074809-0.00014602i,-0.0013043+0.00027377i,-0.00097704+0.00086857i,-0.00054136+0.00085114i,-0.00059251+0.0015227i,-0.00080034+0.0017152i,-0.001042+0.0006678i,-0.000696-7.9057e-05i,-0.00024057+0.00010901i,-0.00020195-0.00022724i,-0.00041933+0.00019824i,-0.00019957+0.00074478i,0.00014871+0.00045058i,-0.00054354-0.00037661i,-0.00050216-0.00045262i,-0.00011586-0.00034868i,-2.1922e-06-0.00016532i,0.00052507-1.4233e-05i,0.00059997-0.00039995i,0.00010671+2.199e-05i,-6.7344e-05+7.2664e-05i,-0.00025443-0.00051264i,-0.00035809-0.00050855i
0.0008396-0.0017631i,0.0010228-0.0010751i,-6.2934e-05-0.0010651i,-0.001927-0.0010106i,-0.0020173+0.00017379i,-0.0009777+0.0018274i,-9.5454e-05+0.0010614i,0.00051796+8.5658e-05i,0.00051019+4.0859e-05i,0.00018475+5.1814e-05i,2.6139e-05+0.00058857i,7.1836e-05+0.00066229i,-0.0005984-3.7024e-05i,-0.00058099-1.116e-05i,-0.00039803+0.00036204i,-0.00094734-9.9641e-05i,-0.00094601-0.0006399i,-0.00051527+6.0194e-05i,0.00027277+0.00063667i,0.00083872+0.00051262i,0.00042377-0.00018568i,0.00071208-0.00064492i,0.0012547-0.00041939i
-0.00040167+0.0021615i,-0.0015871+0.0013188i,-0.00061499+0.00085419i,-4.9442e-05+0.0015133i,-0.00074634+0.001211i,-0.00090296+0.00077495i,-0.00046562+4.9859e-05i,-5.5655e-05-0.00074216i,0.00064417-0.00093184i,0.00039815-0.00057957i,-0.00024664-0.00028302i,-0.00030171-0.00045442i,-0.00026833-7.6157e-06i,-0.00031329+4.7409e-05i,-0.00041788-0.00025691i,-0.00086344-2.1188e-05i,-0.0012938-4.7637e-05i,-0.0013786+0.00010927i,-0.0010443+0.00011545i,-0.00014422-7.0881e-05i,1.8121e-05-4.7525e-05i,-0.00020592-0.00037268i,-0.00034471-0.00041102i
-0.00028049+4.5868e-05i,-0.000115+1.777e-05i,-0.0013353-0.00069612i,-0.0018843-0.00096753i,-0.0014043+0.00032033i,-0.0017848+0.0018161i,-0.0011691+0.0011959i,0.00034093+0.00053401i,0.000416+0.00082809i,-0.001239+8.5497e-05i,-0.0019078-0.0011536i,-0.0012655-0.00096406i,-0.00064859-0.00048025i,-0.00049664+9.906e-05i,0.00039725-0.00024856i,0.00073303+0.00030234i,4.1462e-05+0.00083518i,-8.6369e-05+0.00047922i,0.00020162+0.00065075i,0.00079021+0.00057182i,0.00091608+4.4198e-05i,0.00059341+0.00053039i,0.00073451+0.00077034i
4.5162e-05-0.00020913i,-0.00062052+0.0010699i,-0.00070066+0.00072858i,-0.00054357-0.00030859i,-0.00065019-0.0007666i,-0.00091185-0.00084932i,-0.00047562-0.00032515i,8.0024e-06+0.0001083i,-0.00061597-0.00011274i,-0.00096998+2.1696e-05i,-0.00033462+0.00015488i,0.00035978+0.00056782i,0.00049748+0.00012502i,0.00059353-0.0008294i,0.00039098-0.0006081i,-0.00035779-0.00014875i,-0.0010847-0.00027356i,-0.00097765-0.0002194i,-0.00016051-0.00011566i,0.00076681-7.3608e-05i,0.00027137+0.00014003i,-2.4296e-05+0.00046233i,0.00086171-5.3218e-05i
0.0004142+0.0015059i,0.00058043+0.00228i,0.00038786+0.0018085i,-0.00077693+0.0012359i,-0.001596+0.001417i,-0.0015529+0.0010198i,-0.0013862+0.00055851i,-0.0011096+0.00090276i,-0.00025902+0.00064028i,0.00051218+0.0001702i,-8.3419e-05-8.2635e-05i,-0.00033895-0.00093061i,-0.000206-0.00074711i,-0.00015341-0.00011523i,9.0639e-05-0.0005073i,-0.00046768-0.00069298i,-0.0012615-8.435e-05i,-0.00088372+0.0010016i,-0.00044179+0.00082363i,-0.00050127-0.00066291i,-0.00037588-0.0010294i,-0.00027667-0.00059238i,-0.00028327-0.00029738i
0.00029488-8.1286e-05i,-0.00069453+0.00087106i,-0.00080034+0.00020249i,-0.00088252-0.00054922i,-0.00064195+5.6395e-05i,4.1538e-05+0.0007804i,0.00050237+0.00084243i,0.00059115+2.3779e-05i,0.00044265-0.0007324i,0.00086748-0.00079077i,0.00066286-0.00032972i,0.00058446+3.3263e-05i,0.00147+0.00012843i,0.0017762-0.00057228i,0.00073915-0.00057135i,3.7817e-05-0.00028622i,-5.5697e-05+8.2785e-05i,-0.00024227+0.00047014i,-0.0002041+0.00012485i,-0.00027407-0.00039543i,-0.00027588-0.00041763i,0.00051361-6.8984e-05i,0.00076784-4.1655e-05i
0.0005098-5.1862e-05i,0.001021-0.00012961i,0.0015181+0.00031796i,-0.00021389+0.00092931i,-0.0024787+0.00077967i,-0.0025154+0.00016972i,-0.0016892+0.00013739i,-0.00097462-0.00014737i,-0.00030491-0.00033954i,7.6225e-05-0.00042001i,0.0002215-0.00044014i,0.00060438-0.00039011i,0.00015673-0.00094727i,-3.455e-05-0.0017781i,5.6393e-06-0.0014689i,-0.00088463-0.00028131i,-0.0012566+0.00040853i,-0.0010221+0.00044248i,-0.00051484+0.00025335i,-4.9368e-05-7.468e-05i,-6.0051e-05-0.00029629i,0.00028304+2.3759e-05i,0.00070126-0.00068256i
-0.00056762+0.0012839i,-0.00080716+0.0011428i,-8.3346e-05+0.0017469i,-1.6497e-05+0.0014748i,-0.00077444+0.0009578i,-0.0006305+0.00031493i,0.00020001-0.00017798i,0.00053547-5.1445e-05i,0.00035918+0.00038566i,0.00074797+0.00016194i,0.00041156+3.0422e-05i,0.0003248+0.00024696i,0.00072678+0.00031661i,-3.9682e-05+7.4234e-05i,-0.0010434-0.00092782i,-0.0011078-0.0013048i,-0.00056516-0.0014033i,-0.00044108-0.00096428i,-0.00029345-0.0002169i,0.00016241+0.00037308i,-0.00055761+0.00041446i,-0.00044782+1.8153e-05i,5.121e-05-0.00045157i
-0.00083071+0.00052553i,0.00085175+1.747e-05i,0.0016161+0.00095888i,0.0010746+0.0013491i,0.00038645+0.00075229i,0.00021551+0.00034318i,-8.4147e-05+7.6898e-05i,-0.00077229+2.2391e-05i,-0.00059665-0.0001188i,0.00053495-0.00029611i,0.00039358-0.00021222i,-0.00018354-0.00032396i,-0.00015416-0.0003451i,-0.00039402-0.00012735i,-0.001137-7.5042e-06i,-0.00041719-0.00045869i,-0.00011928-0.00018372i,-0.0011402-0.00029537i,-0.00075735-0.00171i,-0.0003183-0.0014718i,-0.00051625-0.00025533i,-0.00015034+6.1498e-05i,0.0003731+6.1022e-05i
-0.00041736+0.00067263i,-0.00076906+0.0020995i,-0.0024324+0.0025018i,-0.0030375+0.0014412i,-0.0017811+0.00084569i,-0.0014143+0.00039247i,-0.0019203+0.00018896i,-0.0011348-0.00061634i,-0.00039077-0.0016337i,-0.00076883-0.0019136i,-0.0009038-0.0010912i,-0.00031704+0.00037915i,5.809e-05+0.00036241i,0.00017328-0.00031098i,-0.00033595-0.00018421i,-0.0013537-0.00035357i,-0.00057747-0.00060779i,0.0002715-0.00052752i,-0.00022069-0.00018928i,-0.0007009+2.6147e-05i,-0.00032059-7.4729e-05i,7.2777e-05-0.00031282i,0.00032406-0.00033639i
-0.0021799+0.00054064i,-0.0024021-0.00047956i,-0.0024247-0.00073761i,-0.0015241-0.0006742i,-0.00091542+0.00022985i,-0.00037266+0.0012228i,-0.00052113+0.00089053i,-0.0012584+0.00018754i,-0.00072079-0.00032154i,-0.00027107-0.00048852i,-0.000333-0.00061346i,-0.000466-0.00099946i,-0.00035309-0.00099312i,-2.2906e-05-0.00096345i,-0.00074964-0.00089143i,-0.0011839-7.8998e-05i,-0.001327-0.0001715i,-0.0016812-0.0003504i,-0.0011774+0.00040326i,-0.00032026+0.00080666i,6.3099e-06+0.00033053i,4.9744e-05-7.3634e-06i,-6.7297e-05+3.4198e-05i
0.00090681+0.00088406i,0.0012403+0.0016134i,0.0021513+0.0010777i,0.00096846+0.00050883i,-0.0010243+0.00011554i,-0.0013693+0.00025267i,-0.0011179+0.00024018i,-0.00094987+0.00038901i,-0.00084794+0.00052221i,-0.00086727-0.00010536i,-0.00093852-0.00049494i,-0.00085231-0.00023585i,-0.00081678-9.0471e-05i,-0.00095071-0.00036125i,-0.00028194-0.00031831i,-0.0002905-0.00027875i,-0.00093776-0.00016391i,-0.00074095+8.8809e-05i,0.00055724+0.00029981i,0.0012454-0.00023799i,0.00042751-0.00044033i,0.00055404+0.00010016i,0.00089409+0.00041542i
-0.00080219-0.00035405i,-0.001359+0.00049178i,-0.0020303+0.00045164i,-0.0023541+0.00070219i,-0.0021111+0.00087274i,-0.0015154+0.0010934i,-0.00097492+0.0011149i,-0.00029878+0.00035495i,0.00066186+0.00039577i,0.0013435+0.00020139i,0.00093254-0.00078673i,0.00052427-0.00094123i,-5.2809e-06-0.00032072i,-0.00028449-0.00010916i,0.00015891-0.00070869i,-2.1503e-05-0.00086228i,2.7195e-05-0.00031558i,-3.9732e-05+0.00033828i,-0.00042785+0.00068053i,-0.00018152+0.00053985i,0.00060869+0.00042523i,0.00078697+0.00032711i,0.00081122-0.00046723i
-0.0021554+0.0010774i,-0.0020046+0.0023447i,-0.00092005+0.002939i,-0.00011431+0.0018153i,0.00026612+0.00065336i,-0.00046039+2.9311e-05i,-0.0011116-0.00051671i,-0.00034326-0.00036031i,0.00011637-0.00045887i,0.00074259-0.0012523i,0.0014963-0.0017118i,0.0010291-0.0015842i,-0.00034856-0.0011725i,-0.00105-0.0011621i,-0.00075855-0.00065206i,-0.00026013-0.00031625i,-0.00021425-0.00057796i,-0.00066951-0.00067894i,-0.00033753-0.0005785i,0.00026865-0.00010927i,0.00023544+0.00016919i,-0.00031406+0.00015731i,-0.00025724+5.3631e-06i
-0.00039595-0.00024677i,-0.0011392+4.0462e-05i,-0.00085013-0.001186i,-7.0302e-05-0.0012957i,-0.00020265+0.00030622i,-0.00065879+0.0010669i,-0.00078356+0.00062683i,-0.00090515-0.00017914i,-0.00037451-0.00049206i,-9.2509e-05-0.00086241i,0.00018072-0.00086463i,0.00013463-8.1727e-05i,0.00011102-0.00018121i,-8.4633e-05-0.00038276i,0.00032535+0.00044709i,0.000479+0.00088177i,-0.00024842+0.00095474i,-0.00047389+0.00044704i,3.1528e-05-0.00060804i,0.00015783-0.00063966i,0.00029571-0.00026075i,0.0009208-0.00017479i,0.00086191+0.00011223i
0.0010135+0.001039i,0.00032971+0.0017254i,-0.00032624+0.0018027i,-0.00037241+0.0007811i,-0.0010496+0.0001576i,-0.001015+0.00017341i,-0.00017678+0.00043956i,8.0807e-05+0.00059845i,2.1558e-05-0.0002202i,-0.00017237-0.00060919i,-0.00031362-0.00015561i,-0.00019966+0.00050982i,0.00016418+0.00055198i,3.5867e-05-5.5127e-05i,4.141e-05-0.0004561i,0.00018866-0.00054789i,-0.0002296-0.00070269i,-2.2832e-05-0.0007611i,0.0004647+4.6607e-05i,0.00084197+0.00038036i,0.00080498+0.00042185i,0.00072754+0.00049937i,0.00061434+5.2402e-05i
-0.0016574+0.0010759i,-0.0018209+0.00038475i,-0.001758-1.1877e-05i,-0.0017291-4.1223e-05i,-0.0010927+0.00065523i,-0.00084425+0.0012036i,-0.00099331+0.00075487i,-0.00041394+0.00025991i,0.00051244+0.00036099i,0.00078533+0.0014043i,0.00021596+0.0017357i,4.9459e-05+0.0010747i,-0.00043741+0.00020604i,-0.00124-9.5703e-05i,-0.00091693+0.0003622i,-0.00021678-0.00017479i,-7.6223e-05-0.00011845i,-0.0005154+0.00042352i,-0.00034068-0.00053423i,0.00043575-0.0010903i,0.00058731-0.00095026i,0.00024858-0.00052544i,-0.00051875-4.5554e-05i
0.0020859-0.00037108i,0.00097228+0.0004026i,0.00024576-0.00012399i,-0.00062776-0.00099243i,-0.0010095-0.00098673i,-0.0016416-0.00037172i,-0.0019204-0.00073509i,-0.001068-0.001328i,0.00017194-0.0011339i,0.0013976-0.00095012i,0.0014479+7.9587e-06i,0.00030381+0.00069613i,-3.8333e-05+0.00084699i,0.00061524+0.00056534i,0.0012078+0.0001349i,0.001243+0.00099911i,0.00060122+0.0009099i,0.00051241+4.4376e-05i,0.00056125-0.00056415i,0.00058956-0.00039847i,0.00030087-7.6494e-05i,6.5198e-05-0.00033912i,-0.00021693-0.00063433i
0.0018874-0.0017779i,0.0010991-0.00011503i,0.00020845-0.00022437i,-0.0012927-0.00054484i,-0.0019368+0.0005372i,-0.0013848+0.0013758i,-0.00068787+0.00087969i,-0.00019703-0.00030909i,7.6545e-05-0.0009574i,4.5051e-05-0.001441i,8.6521e-05-0.0012928i,0.00039754-0.00096241i,0.00089836-0.0010504i,0.00078282-0.00093419i,0.00072563-0.00056296i,0.00094644+0.00016537i,0.00054261+0.00095416i,-0.00032056+0.0011384i,-0.00040874+0.0016454i,-0.00022633+0.0012085i,4.6274e-06-7.652e-05i,6.9437e-05+3.7751e-05i,-0.00046325-0.00010817i
