-0.0027485-0.00035506i,-0.0015708-0.00031519i,-0.0015823+0.0010623i,-0.0011437+0.0020506i,-0.00075701+0.0026093i,-5.3998e-05+0.0015073i,0.00076317+0.00035018i,0.0012693-0.00022076i,0.0015368-0.00011747i,0.0014691+0.00017962i,0.001445-0.0003697i,0.0012167-0.00097921i,0.00079274-0.0015597i,0.00067893-0.0016548i,0.0014955-0.0010858i,0.0015494-0.00061277i,4.9852e-05-0.00011133i,-0.0009024+0.00022828i,-0.00097074-0.00054781i,-0.00087351-0.00060628i,-0.00078515-0.0001584i,-0.00074075+0.00017341i,-5.42e-05-8.8853e-05i
0.0033892+5.3656e-05i,0.0038367-0.0011631i,0.0024831-0.0013572i,0.00018928-0.0010106i,-0.00067741-0.0012478i,-0.0008324-0.00088949i,-0.00042253-0.00049499i,0.00049579-0.00032098i,0.0010437-0.00025549i,0.00042169+7.1294e-05i,-0.00018159+0.0007744i,-9.2341e-05+0.00073587i,-0.00026837+0.00064207i,-0.00026349+0.0011169i,-8.9334e-05+0.0015231i,7.9286e-05+0.001077i,0.00055156+8.0675e-05i,0.00074667-0.00068763i,0.00013808-0.0007793i,-6.2581e-05+0.00030776i,-0.00028418+0.00076126i,-0.00060298-3.1991e-05i,-0.00078928-0.00014253i
0.0018105-0.0002041i,0.0028291-0.0007062i,0.0023802-0.0011101i,0.00082816-0.00071617i,-0.00063283-0.00027618i,-0.0012161-0.00043562i,-0.00079119-0.00071535i,-0.00027227-0.00016243i,0.00012635-6.1113e-05i,0.00024659-0.00022795i,0.00011452-7.3259e-05i,0.00029993+0.00023028i,0.00040474+4.0586e-05i,0.00047904+0.00022201i,0.00016263+0.00065542i,-9.6706e-05-2.9691e-05i,0.0003708-0.00039348i,0.00075799-0.00010994i,0.00096184+0.00029564i,0.00088651+0.00036268i,0.0010232-1.6922e-05i,0.0011739-0.00082413i,0.000755-0.00033138i
0.0012084-0.00064188i,0.0025632-9.9872e-05i,0.0021998-0.00047881i,0.0011028-0.00082982i,0.00068442-0.00080689i,0.00039688-0.00074646i,7.1663e-05+3.4557e-05i,0.00044301+0.00039852i,0.00043899+0.00024306i,-0.00018564+0.00016495i,-0.0005585-0.0002241i,-0.00064526+3.3751e-05i,-0.00072664+0.00015051i,-0.00038766-0.00043261i,-0.00042338-0.00031586i,-0.001236-0.00020315i,-0.00058337-0.00022472i,0.00032715-0.00042522i,-0.00027334-0.00064951i,-0.00034991-0.00052601i,-0.00041502-0.00051917i,-3.0033e-05-3.0236e-05i,0.00038005+0.00029504i
0.0011257-0.0011607i,0.00062321-0.0012026i,-0.00088765-0.00061503i,-0.0022211+0.00057162i,-0.0018424+0.00088792i,-0.00069942+0.00020644i,-5.6434e-05+0.00016853i,-0.00018475+0.00024571i,-0.00070324-0.00053769i,-0.00098721-0.00066028i,-0.00083015+7.092e-05i,-0.00021452+0.00071747i,-0.00015079+0.00062159i,-0.00014959+0.00062033i,0.00036139+0.00089268i,0.00026464+6.028e-05i,0.00077334-0.00022149i,0.0011525-0.00016766i,0.00076145-0.00062256i,0.00048304-0.00018878i,0.00030655+0.00031058i,0.00070583+0.00047671i,0.00052432-3.8242e-05i
0.0011524+0.00059419i,0.0012104+0.00037447i,-0.00037395+0.0018113i,-0.001413+0.0027042i,-0.0012171+0.0017827i,-0.00065171-1.8364e-05i,0.00031196-0.0010483i,9.6474e-05-0.00011206i,-0.00064874+5.7944e-05i,-0.00067702-0.00020643i,-0.0007268-0.00016211i,-0.00089243-5.5645e-05i,-0.00025691-0.00011035i,0.00030041+0.00026646i,0.00030209+0.00071638i,0.0007044+0.00063949i,0.0011021+0.00026033i,0.00022267-9.3954e-05i,-0.00022413-0.000172i,9.2645e-05-0.00047469i,3.9523e-05-0.0002528i,5.9531e-06-0.00020869i,-4.584e-05+4.2987e-06i
-0.00018899+9.6783e-05i,0.00066506-0.00025072i,0.00026703-0.00020541i,-0.00052686-0.00011946i,-0.00025153-0.00083238i,-0.00059422-0.0015164i,-0.00058053-0.0014911i,-0.00022956-0.0010689i,-0.00083031-0.00050031i,-0.000962-9.5011e-05i,-0.00044838-0.00040744i,0.00026581-0.0007839i,0.00021449-4.5769e-05i,0.00011327+0.00029888i,0.000464-0.00070522i,0.00026856-0.00065651i,1.3207e-05+0.00010409i,-0.00031313-0.00016708i,-0.00043491-0.00042691i,-0.00055737-0.00034172i,-0.00047856-0.0001668i,-0.00022339+0.00026608i,-0.00048263-0.0001764i
0.0015535-0.0013551i,0.0016452-0.00087102i,0.00071949-0.0012608i,-0.00022986-0.0013347i,-0.00073256-0.001133i,-0.0010628-0.00079405i,-0.00073752-0.00052272i,-0.00032118-8.0667e-07i,0.00050219+0.00038201i,0.00031264+0.0001783i,-0.00034533+0.00027099i,-0.00015839+0.0012133i,-0.00063218+0.0007195i,-0.00047794-0.0001501i,0.0001365-0.000216i,0.00040654-0.00042049i,0.00044357-0.00056065i,0.00024422-0.0002078i,0.0002599-7.723e-05i,-0.00023583+0.00015117i,-0.0001395+0.00037413i,0.00053155-0.00015365i,0.00024448-0.00087082i
0.00055657+0.0015509i,-0.0010166+0.0012728i,-0.0023967+0.0013811i,-0.0021589+0.0015242i,-0.00015792+0.00016535i,0.00069125-0.0012524i,0.00037219-0.0013016i,0.00043515-0.00069018i,0.0010105+0.00053496i,0.00043435+0.00094712i,-0.00043146-0.00025218i,-9.127e-05-0.0010104i,0.00045251-0.0006731i,0.00013457-0.00031726i,-0.00019693-0.00016748i,0.00037597-0.00063341i,0.00029968-0.00076371i,0.00035611-0.00024627i,0.00085009+0.00029816i,0.00070561+0.00049734i,-0.00041342+0.00026419i,-0.0010202-0.00044099i,-0.00054079-0.00069868i
0.00028722-0.00044415i,-7.3193e-05-0.00080858i,-0.0006608-0.00016543i,-0.00073388+0.00010628i,-0.00027818-0.00016108i,4.6832e-05-0.00015551i,0.00044003-0.00035341i,0.00066752-4.3021e-05i,5.5332e-05+0.00019115i,-8.1162e-05+0.00027661i,0.00035688+0.001238i,0.00036135+0.0015576i,-0.00024292+0.00056592i,-0.00028195-0.00031285i,0.00056271-0.00064277i,0.001075-0.00043622i,0.00080923-0.00027619i,0.00056244+0.00013525i,-0.00017116+0.00026125i,-0.00050944-0.00053329i,-0.00012417-0.00035226i,0.00016122+0.00017066i,0.00045312-0.00015405i
-0.00057526-0.0015137i,-0.0010017-0.0018773i,-0.00050387-0.00066358i,-0.00026713+4.7591e-05i,4.3048e-05+6.4797e-05i,1.1421e-05-0.00080836i,0.00028399-0.0015174i,0.0012182-0.0013031i,0.00078751-0.00091587i,0.0011288-0.00082269i,0.0015848-0.00027593i,0.00063508+0.00015523i,8.3788e-05+0.00026422i,0.00061659+0.0001773i,0.0011868+0.00025509i,0.00033885+0.00035186i,-0.0008196-0.00045937i,-0.00084989-0.00099954i,-0.00014621-0.00041276i,-0.00010147+0.00020694i,-0.00039352+0.00034023i,-0.00017247+0.00052998i,0.00026063+6.882e-05i
0.0033916+6.431e-05i,0.0031011-0.0017466i,0.00096073-0.0020238i,-0.0013684-0.00085834i,-0.0017914-0.00078717i,-0.0024526-0.0017723i,-0.0024443-0.00088524i,-0.0012709+0.00017388i,-0.00060652-0.00026146i,-0.0012196-0.00068429i,-0.0013287-0.00052131i,-0.00010217-0.00018897i,0.00018169+0.00050394i,-0.00032342+0.0013378i,-0.00016054+0.0012531i,-4.8358e-05+0.00051838i,0.00025686+0.00020616i,0.00029106+0.00027357i,-0.00050779-7.1871e-06i,-0.00098688-4.079e-06i,-0.0005733+0.00094516i,2.4869e-05+0.00037738i,-6.7553e-06-0.00075549i
0.0011545-0.00092501i,0.0020876-0.001815i,0.0016391-0.0014499i,0.00070372-0.00046945i,0.00026944+0.00015297i,0.00038589-0.00050057i,0.00043744-0.00020947i,0.00076918+0.00075034i,0.0005755+7.597e-05i,-8.6802e-05-0.00023481i,-1.5931e-05+0.00054407i,-2.3987e-05+0.00070097i,-1.813e-05-3.9757e-05i,1.7783e-05-0.00030053i,-2.1667e-06+0.00024675i,3.1528e-05+1.6209e-05i,4.044e-05+2.4915e-06i,-2.4032e-06+0.00038632i,0.00046436+0.00056332i,0.0010253+4.7142e-05i,0.00096488-0.00042049i,0.00034063+6.9457e-05i,0.00030035+0.0006283i
0.0015436-0.00037917i,0.00068033-0.0018224i,-9.6344e-05-0.0022695i,-0.00043326-0.00092803i,-0.00096603-0.00060328i,-0.00041217-0.00096953i,-0.00017439-0.00090395i,0.00011078-0.00056955i,0.00041858-0.00022833i,-8.2939e-05+1.9436e-05i,-0.00056682+0.00057671i,-0.00041875+4.0528e-05i,0.00022344-0.00059122i,0.00047497-0.000501i,0.00058118-0.00079879i,0.00033476-0.00063412i,-0.00033282-0.00048323i,-0.00026067-0.00066612i,0.00026064-0.00048468i,-0.00019033-0.00021571i,-0.0003849-0.00067568i,4.2262e-05-0.00054727i,0.0003319-0.00016356i
0.003013+0.0023456i,0.0031108+0.002659i,0.0021179+0.0020228i,0.0011226+0.0011844i,0.00018153+0.00050828i,-0.00034368-0.00020407i,-0.00096426-6.2607e-05i,-0.00061155+5.2714e-05i,0.000338+0.00031335i,-2.1637e-05-0.00012709i,-0.00078095-0.00043866i,-0.00091416-0.00053143i,-0.00036969-0.00036152i,0.00062325-0.00017358i,0.001324-0.00062148i,0.00035498-0.00077048i,-0.00088375-0.00010932i,-0.00067885-0.00049882i,0.00028108-0.00075076i,0.00071946-7.2232e-05i,0.0010522+0.00040332i,0.0009638+0.00028198i,-0.00010954-0.00028842i
0.0015623+0.0011373i,0.0014184+3.1626e-05i,0.00083044-0.00028599i,0.00050608-0.00054055i,2.3777e-05-0.0010734i,-0.0010151-0.0010842i,-0.00099729-0.0001457i,0.00012616+0.00020313i,-0.00011062-0.0003392i,-0.00036208-6.1311e-05i,-5.0441e-05+0.0007208i,-0.00021036+0.00053612i,-0.00032229-9.3349e-06i,-0.00013603-0.00018461i,0.00010177-0.00045091i,0.00010849-0.0011204i,-7.0678e-05-0.00090697i,-0.00020514-0.000489i,0.00013643+0.0001853i,0.00071715+0.0011748i,0.0003631+0.0010901i,2.3965e-05-0.00050488i,-0.0003683-0.0011331i
0.00050745-0.00059261i,0.0015997-7.88e-05i,0.001131+0.00046624i,0.00048908-4.5062e-06i,-0.00029106-0.00091929i,-0.00073099-0.00075737i,-0.00098699+0.00017037i,-0.00055512+0.00021086i,-0.00013057-0.00019061i,-0.00046315-0.00052943i,4.7886e-05-0.00070739i,0.0008979-0.00049047i,0.0011439-0.00049783i,0.0012082-0.00042868i,0.0011515-0.00060268i,0.00094959-0.00093244i,0.00044746-0.00018616i,0.00047681+0.00042618i,0.00046801-0.00020541i,-0.00020394-0.00041583i,8.8114e-05-0.00012214i,0.00080061+0.00012597i,-0.00028694+9.5441e-06i
0.0026876+0.0030164i,0.0021343+0.0025049i,0.00071051+0.0024391i,0.00059799+0.0012318i,0.001406-0.00065461i,0.00052772-0.0017153i,-6.9701e-05-0.001729i,0.00037173+1.6624e-05i,0.00016185+0.0011572i,0.0001442+3.4313e-05i,0.00036643-0.00097021i,0.0001617-0.00092864i,-8.1287e-05-0.00042573i,-0.00027838+4.808e-05i,-0.00040696-0.00042834i,-0.0001047-0.00083833i,-0.00027859-0.0012066i,-0.00025343-0.0016468i,9.167e-05-0.0010151i,-0.00017539-0.00022266i,-0.00059897+2.8569e-05i,-0.00011588+0.00027482i,1.5434e-05+0.00034567i
0.0023042+0.0026339i,0.0014233+0.0014552i,0.00093126-0.00024248i,0.00059655-0.0011403i,0.00023684-0.0012771i,-0.00076534-0.0012058i,-0.0009658-0.00060778i,-0.00027682-0.00028521i,-0.00028709+2.2674e-05i,-0.0005487+0.00028951i,-0.00015765+0.00064054i,-0.00035603+0.00055032i,-0.00071456-0.00028432i,-0.0011713-0.00097345i,-0.0009108-0.0011368i,2.7368e-05-0.00096856i,0.0010675-5.638e-05i,0.00032206+0.0004662i,-0.00063151+0.00030028i,0.0001151+0.00017944i,0.00074978+0.00034939i,-6.5415e-05+0.00026323i,-0.00029576-9.7131e-05i
-0.0010473-9.6084e-05i,-0.00072689+0.00031698i,-0.0010031+0.0014842i,-0.00090104+0.0015291i,0.00035709+0.00096736i,0.0010937-0.00014588i,0.00093707-0.00066418i,0.00082943-0.00058135i,0.00039679-0.00061152i,0.00043532-0.00024705i,0.00018147+0.00034627i,0.00019537+0.00041818i,0.0011764+0.00065871i,0.0010311+0.00019782i,0.00057889-0.0005664i,0.00050576-0.00017162i,0.00044065+0.00091119i,0.00037497+0.0012555i,0.00017784+1.7048e-05i,6.1538e-06-0.00074728i,6.8371e-05-0.00037113i,0.00046319-0.00035383i,0.00060972-0.00017566i
0.0010837+0.001787i,0.00036732+0.0016163i,-0.00043454+0.0014699i,0.00021603+0.0011169i,0.00076279+0.00047019i,0.00069277-0.00054361i,0.0001419-0.00099736i,-0.00031234-0.001072i,-0.00039924-0.00031483i,-7.8292e-05+0.00054406i,-0.00013313+0.00021496i,-0.00039108-0.00077157i,-0.0005152-0.001192i,-0.00029399-0.0015849i,0.00037773-0.001792i,0.0012788-0.0011804i,0.0013251-0.00028958i,0.0011094+0.00033735i,0.00091858+0.00068373i,6.7409e-05+0.00039767i,-0.00037319+0.00023643i,-0.00013178+0.00025583i,3.0121e-06+0.00048887i
0.0031589+3.042e-05i,0.0024895-0.00065079i,0.0016703-0.0005876i,0.00043428-0.0010672i,-0.00012056-0.00064614i,-0.00032192-6.2204e-05i,0.00019485+0.00010607i,0.00059395+0.00048838i,0.00026581+0.00043784i,-1.7643e-05+0.0010391i,5.6302e-05+0.0012972i,7.5645e-05+0.00070582i,-0.00015986+0.00061893i,-7.3951e-05+0.00055005i,0.00011212+0.0004492i,0.00027448+8.8312e-05i,0.0006388+0.00025525i,0.0004852+0.00018134i,0.00064239+0.00019762i,0.00073438+0.00016947i,0.00089293-0.00016867i,0.0013727+9.9856e-05i,0.000751+9.2407e-05i
0.0026358-5.559e-07i,0.0028304-0.00062769i,0.001603-0.00068843i,0.00054188-0.00047602i,-0.00011816+4.2837e-05i,-0.00086301+0.00030023i,-0.00069785+0.00051612i,-0.00056305+0.00029041i,-0.00042033-0.00044295i,-0.00034977-0.00062554i,0.00014665-0.00045352i,0.00044815-0.00053584i,0.00010186-0.00030231i,-0.00023799-8.1809e-05i,-0.00065541-0.00017158i,-0.00073025-0.0003832i,-0.00035671-0.00029664i,-0.00017329+8.6058e-06i,-0.00018102-0.00025428i,-2.5896e-05-1.3198e-05i,-0.00018593+0.0007218i,1.9962e-05+0.00033087i,0.00059266-0.0001963i
0.0026298+0.00029169i,0.0022048-0.00020689i,0.00086649-9.7181e-05i,-0.00025958+0.00014186i,-0.00036308+0.00041369i,-7.2221e-06+0.00047806i,0.00048111+0.00024842i,0.00057928-0.00038145i,0.0002999-0.0011223i,-0.00025803-0.0011461i,-0.00031751-0.00048605i,-0.00074837-0.00020532i,-0.0012228-0.00032609i,-0.00040918+0.00039336i,0.00015266+1.9907e-05i,0.00014682-0.00031232i,-0.00050517-0.00046606i,-0.00073656-0.00045753i,0.00025494+0.0002035i,0.00089687+0.00068157i,0.00090556+0.00079924i,0.001176+0.00070008i,0.00059689+0.00034864i
0.0017495+0.00059605i,0.002133-0.00056167i,0.0019214-0.00084085i,0.00077785-5.9172e-05i,-9.2777e-05-0.00052767i,-0.00071559-0.0021721i,-0.00067301-0.0017569i,9.3317e-05+2.3721e-05i,-0.00053181+0.00071659i,-0.00093844+0.00017092i,-0.00027683+0.00076961i,-0.00017483+0.00076271i,-0.00048494+3.3813e-05i,-0.0010105-0.00036223i,-0.00074875-0.0011817i,-0.00036378-0.00065125i,-8.9475e-06+0.00067162i,0.000197+0.00015177i,9.1933e-05-0.00048159i,0.00041877-8.0353e-05i,0.00052728+0.00030195i,-0.00022021-0.00021187i,-0.00042877-0.00036094i
0.0013863+0.0016027i,0.001865-0.00020541i,0.0011703-0.00087712i,0.00025289-3.7498e-05i,-0.00046416-0.00036742i,-0.00090346-0.0010417i,-0.0012981-0.00071359i,-0.00085233-0.00025723i,-0.00019214+0.00018868i,-0.00027966+9.6643e-05i,-0.000488+0.0003279i,0.00028142+0.00034052i,0.0005588-8.5197e-05i,0.00042261-0.00071862i,0.00037339-0.001384i,0.00020076-0.0011495i,-5.8429e-05-0.0008693i,-0.00054294-0.00065683i,0.00010195+0.00022664i,0.00046594+0.00054063i,-5.3885e-05+0.00022536i,-0.00020738+0.00098333i,-3.9036e-05+0.00074982i
-0.00022572+0.001641i,0.00025594+0.002003i,-5.0892e-05+0.0022362i,0.00046333+0.0016698i,0.0021004+0.00063262i,0.0025061-0.0010164i,0.0017548-0.0014284i,0.0010271-0.0010656i,-0.00025154-0.0005496i,-0.00061209+0.0001734i,-0.0003752-9.0133e-05i,-0.00058203-0.00029484i,-0.00038171-0.00050887i,-0.00013029-0.00085904i,-0.00014864-0.00033393i,0.00019959+0.00023875i,0.00029427+0.0001413i,1.64e-05+0.00031806i,-0.00069561+0.00033501i,-0.00019316+0.00013178i,0.00036301+0.00052397i,-0.00012258+0.00085252i,-0.00040066+0.00041511i
0.0018203+9.966e-05i,0.0011971-0.00085755i,0.00055984-0.00036639i,0.00016629+0.00069i,0.00080821+0.00033288i,0.00021978-0.00081495i,-0.00056052-0.0003416i,0.00029386+0.00085706i,0.00032528+0.00094305i,-6.5383e-05+0.00050743i,7.5133e-05-0.00022255i,0.00070972-0.00017891i,0.00098803+0.00035507i,0.0010387+0.00027889i,0.00093934-0.00018466i,0.00050597-6.6141e-05i,0.00066684+0.00013952i,0.00043016+0.0002127i,0.00017851+1.4835e-05i,-1.4934e-05+6.4714e-05i,-0.00039219+0.00043124i,-0.00026646-9.9379e-05i,-3.0615e-05-0.001088i
0.0012052-0.0018957i,-0.00024808-0.0024029i,-0.00056771-0.0018429i,-0.00050886-0.00060907i,-8.7182e-05+0.000302i,0.00039374+0.00046041i,0.00019955-0.00019144i,-3.7711e-05-0.00027652i,9.0447e-05+0.0004909i,0.00020909+0.00056188i,0.00047067+0.00011598i,0.00073102-6.8956e-05i,0.00034022+0.00014418i,-0.00011374+0.00039229i,-0.00049331+0.00012916i,-1.9204e-05-0.00022474i,-9.5004e-05-0.00040535i,-0.00080603-0.00035616i,-9.7537e-05-0.00073722i,0.0011486-0.00092454i,0.0010382-0.00055018i,-0.0001309+9.6445e-05i,-0.00074177+0.00060673i
0.00085957-0.00075587i,0.00076362-0.0012384i,3.6892e-05-0.0009396i,-0.00074111-0.00013486i,-0.00094716-0.00056246i,-0.00087164-0.0012805i,-0.00067422-0.0014103i,-0.00037952-0.0011283i,-0.00066984-0.00075985i,-0.00070707-0.00019996i,-0.00018288-0.0004947i,-5.6369e-05-0.00090568i,-0.00051321-0.00058291i,-0.00049733-0.00011929i,-9.2748e-05+0.00023288i,-0.00021244-0.00023784i,-0.00038726-0.00088251i,-3.2698e-05-0.00046687i,-1.0768e-05+3.1836e-05i,-0.00064889+0.00050762i,0.00017353+0.00089395i,0.00068359+0.0001341i,5.4199e-05-0.00078681i
0.0041825-0.0023852i,0.0036148-0.0021809i,0.0010271-0.00066922i,-0.00091081+0.0011712i,-0.00039055+0.001578i,0.00083026+0.00032968i,2.2964e-05-0.00096552i,-0.0005691-0.0015632i,-0.0001943-0.00061093i,-0.00044817+0.00084671i,-0.00028478+0.00084746i,0.00069138+0.0009194i,0.00097543+0.0013129i,0.00077964+0.0005041i,0.00027577-0.00046909i,5.4636e-05-0.00065199i,-0.00058459-0.00087469i,-0.00033776-0.00098561i,0.00016088-0.00033252i,0.0001241+0.00028248i,0.00015817+8.6862e-05i,0.00048676-0.00027822i,0.00058086-0.00023707i
0.0043773+0.0030209i,0.003878+0.0026182i,0.0018158+0.001047i,0.00049413+0.00033715i,0.00057221+1.0291e-06i,7.3779e-05-0.00033136i,-9.4685e-05-0.00023001i,0.00031938-0.00096732i,0.00040528-0.00078373i,0.0003351+0.00033526i,-0.00031687+0.00045605i,-0.0005486+0.00029963i,-0.00050991+0.00051476i,-0.00094048+0.00056478i,-0.00030709+0.00075776i,0.00054664+0.0010014i,0.0010569+0.00037529i,0.0010651-0.00016433i,0.00033742+0.00018296i,-7.1758e-05+0.00091457i,0.00012223+0.0012152i,1.0684e-05+0.00059279i,-0.00046061+0.00019806i
0.0002394+0.0020247i,-6.5003e-06+0.0018271i,0.00015218+0.00084589i,-0.00058792+0.00016717i,-0.0014929+1.9671e-05i,-0.0010733+0.00050779i,-0.00016867+0.00046958i,-0.00010445+0.00029364i,-0.00035402+0.00043206i,-0.00015698+0.00018582i,-1.3947e-05+0.00011236i,-0.00015618-0.00042832i,-0.00019763-0.00071188i,-0.00015954-0.00075657i,-0.00010051-0.0009712i,-0.00054193-0.00027479i,-0.00097901+1.1704e-05i,-0.00037582-0.00025732i,0.00024492+9.2666e-05i,0.00037258+0.00065665i,0.00041791+0.00037943i,0.00030021-0.0003038i,0.00016007-0.00062238i
-8.6255e-05+0.0016748i,0.00037737+0.0011554i,-4.1052e-05-9.3286e-05i,-0.0014959-0.00079824i,-0.0022432-0.0013443i,-0.0018038-0.0016783i,-0.0011435-0.00074082i,-8.5074e-07-0.00020547i,0.00036861+0.000299i,0.00039383+0.00042622i,0.00043871-1.9566e-05i,0.0002381+1.6844e-05i,0.00024492+4.4207e-05i,-0.00015333-0.00010892i,-0.00054283+0.0003013i,-0.00056642+0.00044017i,-4.0635e-05-0.00045763i,-0.00037581-0.0012729i,-0.00072434-0.0009072i,-0.00035976-3.4814e-05i,-0.00033281+0.00061726i,-0.00068636+0.0006499i,-0.00050918+0.00051672i
-0.00025356-0.0014559i,-0.00058223-0.0024073i,-0.00089757-0.002022i,-0.0004883-0.0013099i,-0.00013527-0.001713i,-0.00072058-0.0013339i,-0.0016265-0.0005128i,-0.00167-7.4187e-05i,-0.0002897+7.7085e-05i,0.00042402-0.00019113i,0.00011296-0.00062843i,0.00031359-0.00044404i,0.00012478+0.00064094i,-0.0002991+0.0013037i,-0.00025999+0.00088299i,-0.00046345+0.00083708i,-0.0010531+0.00036302i,-0.00083114-0.00041214i,4.4219e-05-0.0009076i,0.00058578-0.00032138i,0.00051971+0.00053733i,0.00029283+0.00040389i,0.00031726-0.00029402i
0.0022056-5.9325e-05i,0.0025694-0.00088142i,0.0016289-0.0016719i,-0.00017286-0.0019176i,-0.00084623-0.0016065i,-0.0010562-0.0011031i,-0.00085237-0.0010257i,0.00016767-0.0008637i,0.00039979-0.00050083i,0.00018944-0.00092987i,0.00010486-0.0012317i,-0.00016101-0.00045284i,-0.00030061+0.00064082i,-0.00078109+0.001241i,-0.00097719+0.00054352i,-0.00040539-4.6027e-05i,0.00060977-0.0006775i,0.0002081-0.00058576i,-0.00033443+0.0005322i,-0.00021788+0.00054278i,0.00023897-1.2601e-05i,0.00052658-7.6705e-05i,-0.00037719-0.00080267i
-0.00042265+0.00016711i,-0.00038055-0.00061728i,0.00042414-2.2863e-05i,0.0011682+0.00088394i,0.00088713-0.00028724i,-0.000177-0.001921i,-2.9224e-05-0.0018934i,0.00056742-0.00089015i,0.00032029-7.5854e-05i,-0.00061663-0.00021551i,-0.0013172-0.00059392i,-0.00058654-0.00057169i,-0.00040499+0.00039622i,-0.00095936-3.1565e-06i,-0.00085737-0.00067006i,-0.00069111-0.00019828i,-0.00043995-0.00039158i,3.3869e-05-0.00034907i,0.00070305+0.00049094i,0.00077138+0.0012051i,0.0005473+0.00076469i,0.00017407+0.00050663i,-0.00045569+0.00043964i
-0.00029663-0.0016904i,-0.0010804-0.0019174i,-0.0016451-0.00025996i,-0.00025116+0.0010878i,0.0018677+0.0014623i,0.0017727+0.00041137i,0.00096814-0.00071849i,0.0010616-0.001108i,0.00041767-0.001754i,-0.00011754-0.0015171i,0.00023978-0.00036161i,0.00018829+7.1037e-05i,0.00012686+0.00037542i,-6.6192e-05+0.00048554i,0.00049314-4.3591e-05i,0.0012929-0.00034246i,0.00099931-8.1012e-05i,0.00063852-6.7225e-05i,-4.1148e-05-0.00042336i,-0.00028905-4.3023e-05i,0.00010358+5.4483e-05i,0.00066001+2.3382e-05i,0.00075015-1.7432e-05i
0.0017679-0.00034422i,0.0016742-0.0022128i,0.00057033-0.0019745i,-0.000385-0.00095059i,-0.0005702-0.0010775i,-0.00030713-0.0021321i,-0.00066446-0.002446i,-0.00039595-0.0013173i,0.00060773-0.00042691i,0.0010575+0.00016882i,0.0005378+0.00038265i,0.00040644+0.00012599i,0.00022473-0.00030291i,5.099e-05-0.0005525i,0.00055181-0.00020479i,0.00049692-0.00015559i,0.00012237+2.8283e-05i,0.00012735+0.00028924i,0.0002606+2.7867e-05i,0.00011156-9.8212e-06i,-0.00077546+0.00062215i,-0.00056867+0.00026331i,-7.9977e-05-0.00014662i
0.0011355-0.00081057i,0.0015035-0.00072467i,0.00080888-0.00097228i,-0.00037488+0.0001625i,-5.9698e-05+0.0011983i,0.00046511+0.00037657i,0.00023858-0.00059285i,-3.7278e-05-0.00068047i,-0.00032413-0.00054787i,-0.00010136-0.00036037i,-0.00022475+0.00046553i,-0.00030252+0.00097041i,0.00045873+0.00051031i,0.00132+0.00024915i,0.0010947-0.00033475i,0.00026487-0.00049071i,0.00043739-0.0009966i,0.00076725-0.00079026i,0.00020805+0.00032196i,0.00014588+0.00022451i,0.00021051+0.00017325i,0.00058843-0.00015773i,0.00039322+0.00012254i
0.0010096+0.00025083i,0.0014653+9.398e-05i,0.00063869-0.00025303i,0.00030929-0.0016298i,-0.00029488-0.001846i,-0.00082489-0.0010182i,-1.4489e-05-0.00080113i,0.00024748-0.00086188i,0.00047766-0.00080006i,0.0004484-0.0011794i,9.8374e-05-0.0013603i,-0.00042912-8.74e-05i,-0.0011979+0.0010898i,-0.0015748+0.00096278i,-0.001122+0.00054791i,-0.00026303-0.00023191i,0.0002497-0.00039986i,0.00082608-7.9667e-05i,0.00087275+0.00015636i,-4.8316e-05+0.00018063i,-0.00055465-0.00034641i,-0.00070786-0.00094866i,-0.00072797-0.0008963i
0.0016916-0.0020987i,0.00079683-0.0014401i,-0.0011125-0.00069255i,-0.00078392+0.00010267i,0.00010874+0.00076502i,2.9412e-05+0.00055369i,-0.00038134-0.00040096i,-0.00067628-0.00042763i,-0.00079474+0.00037418i,-0.0010878+0.00047425i,-0.00098729+0.00034922i,-0.00022303+0.00063618i,0.00032779+0.0004469i,0.00059045-0.00027307i,0.0010601-0.0007262i,0.00086725-8.3138e-05i,0.00035538+6.0188e-05i,-1.6418e-06-0.00056331i,0.00091475-0.00095218i,0.0014032-0.00018265i,0.00050763+0.00061495i,-0.00030436+0.0003427i,-0.00063716+0.00063787i
0.0006647-0.00073478i,0.00066226-0.0008278i,-0.00011945-0.00063391i,0.00022028-0.00045938i,0.0012591-0.0013374i,0.00096411-0.0020813i,0.00028836-0.0016601i,0.0001106-0.0013754i,-0.00014311-0.00062747i,-0.00051695+0.00069886i,-0.0010143+0.00088659i,-0.00077326+0.00061487i,0.00021301-6.5807e-05i,0.00081378-0.0007151i,0.00022015-0.00073836i,-0.0001742-0.0012613i,0.00034806-0.00067824i,7.7696e-05+0.00035947i,-0.00016062+0.00048586i,-8.7571e-05-0.00018204i,0.00061678-0.00071884i,0.0012193-0.00014069i,0.00078563-2.5056e-05i
