-0.0019468-0.0006434i,-0.0020329-0.00062604i,-0.0022107+0.00038458i,-0.001278+0.0023288i,-0.00034304+0.0025549i,-0.00079155+0.0016756i,-0.0010272+0.00069737i,1.9761e-05+0.0014005i,0.0008931+0.0023305i,0.00074648+0.0020646i,0.0001536+0.0014592i,-0.00060018+0.00066611i,-0.00071571+0.00017839i,-0.00041303-7.1661e-05i,0.00067532-0.00015646i,0.000369-0.00028244i,-0.00034099-0.00047413i,-7.9838e-05-0.00055341i,-8.6034e-05-0.00029047i,0.00010103-0.00017257i,0.00034186-0.00077299i,0.00021132-0.00075607i,0.00032128-0.00087485i
-6.0559e-05-0.0072903i,0.0012183-0.010066i,0.0034385-0.0085456i,0.0041673-0.0044292i,0.0032835-0.0019952i,0.0021043-0.00084521i,0.0020249-0.00064292i,0.0040926-0.0011203i,0.0047231-0.0015002i,0.0024006-0.0013559i,4.6959e-06-0.00068314i,-0.00035674-0.00052945i,-0.00015033-0.0014041i,-0.00094299-0.0015862i,-0.00088805-0.0011987i,-0.00039284-0.00086298i,0.00010033+6.75e-05i,0.00035777+0.00081677i,-0.00037875+0.00094416i,-0.00083472+0.00021233i,0.00014973+0.00023211i,0.00078025+0.00035973i,0.00021585+1.478e-05i
-0.0084808-0.0012129i,-0.0099112-0.0032513i,-0.0061642-0.0042395i,-0.0010487-0.0045364i,0.00061037-0.0037631i,0.00080944-0.0030935i,0.00063152-0.0024371i,0.00013908-0.0029802i,-0.00021147-0.0037399i,-0.00042574-0.0025105i,-0.00073792-0.00081357i,-0.00095094+4.9858e-05i,-0.0014174+0.00056041i,-0.0022697-0.00010177i,-0.0018664-0.00072174i,-0.0011405-0.00089894i,-0.00094004-0.00099911i,-0.0008131-0.0004709i,-0.00086977-0.0003996i,-0.00093021-4.8501e-05i,-0.0008023+0.00067137i,-0.0005679+0.0010584i,3.652e-05+0.00028139i
-0.0047177+0.0061643i,-0.0081619+0.0071034i,-0.0095763+0.0055474i,-0.006991+0.0021413i,-0.0030356-1.4592e-05i,-0.0019982+1.14e-05i,-0.0018064-0.00044771i,-0.0019272-0.0016295i,-0.0033959-0.001988i,-0.0043866-0.00081906i,-0.0028579+0.00096769i,-0.0015307+0.0015433i,-0.0016527+0.0014075i,-0.0012011+0.0014825i,-0.00097992+0.0007446i,-0.0010924+3.1717e-05i,-0.00072243-0.00035745i,-0.00028959-0.00051198i,0.00021539+0.00014651i,0.0005185+0.00036371i,8.5058e-05+0.00075635i,-0.0008636+0.00035072i,-0.0015489-4.26e-05i
0.004396+0.008005i,0.0046863+0.011417i,0.0018471+0.011867i,-0.00016822+0.0083195i,0.00020828+0.0042371i,0.0001674+0.0022306i,-0.00143+0.0014278i,-0.0033817+0.0018427i,-0.0034053+0.0025875i,-0.0012346+0.0024829i,0.00016834+0.002802i,0.00010519+0.0028275i,0.00029586+0.0020489i,0.00063103+0.0015978i,0.0010066+0.00095114i,0.00094177+0.00015964i,-0.0004699-0.00023472i,-0.0005923+0.00024017i,-0.00012135+0.00042504i,-0.00079312+0.0007107i,-0.00077473+0.0011863i,-0.00088349+0.00062709i,-0.0005211+0.00039945i
0.0062194-0.0038482i,0.0090277-0.0025929i,0.0088473-0.00072328i,0.0050513+0.0017834i,0.0017661+0.0024721i,0.0013653+0.0026697i,0.0011981+0.003445i,0.0014159+0.0036643i,0.0013419+0.0040111i,0.0013478+0.0028966i,0.0014643+0.00045886i,2.5277e-06-8.2634e-05i,-0.0004848+0.00095128i,0.00054305+0.00040014i,0.00049633-0.00095616i,-0.00036528-0.001513i,-0.0009776-0.00079088i,-0.00092265+0.00019408i,-0.00064943+0.00068172i,6.7303e-05+0.00091278i,0.00067412+0.00076674i,0.00039544+0.00050824i,0.00020796+0.0004224i
-7.7862e-05-0.009539i,0.0010171-0.01217i,0.0030668-0.010079i,0.0035412-0.0041893i,0.0021432-0.00036539i,0.0023108+0.000101i,0.0031961-3.2319e-05i,0.0038562+0.0001204i,0.0033083-0.00019257i,0.0017935-0.0013027i,0.0007418-0.0016947i,-0.00088648-0.0009167i,-0.0014556-0.00055592i,-0.00058084+3.5336e-05i,-0.00065529+0.00014349i,-0.0005612-0.0003193i,3.4768e-05-0.00053509i,0.00064242-0.00051503i,-0.00020638-0.00022318i,-0.00089519-0.00045024i,-8.0486e-05-3.1459e-05i,-0.00020693+0.00046522i,-0.000609+0.00016871i
-0.0096624-0.0032613i,-0.011197-0.0047863i,-0.010121-0.0064331i,-0.00561-0.0059114i,-0.0019508-0.0030016i,5.5862e-05-0.0012124i,0.0011936-0.0015992i,0.0015339-0.0024209i,0.0010678-0.003251i,-0.00012741-0.0029073i,-0.0010798-0.00082574i,-0.0014325+0.00029039i,-0.0014405-0.00042794i,-0.0016123-0.00071559i,-0.0022799-0.00020151i,-0.0017773+0.00031109i,-0.00046754+0.00029713i,0.00012274-4.7455e-05i,-0.00025109+0.00089481i,-0.00061025+0.0011755i,-0.00041013+0.00029258i,-0.00043084-0.00019777i,-0.00046564-0.00018738i
-0.0062196+0.0057413i,-0.0094565+0.0085342i,-0.011264+0.0064847i,-0.0086201+0.0028579i,-0.0042647+0.0013121i,-0.0019205-0.00056167i,-0.0014571-0.002646i,-0.0017406-0.0038112i,-0.0023968-0.003468i,-0.0023896-0.0013799i,-0.001415+0.00074784i,-0.00055882+0.0012596i,-0.00053088+0.00070698i,-0.00045537+0.00056478i,-0.000845+0.00046947i,-0.0014319+0.00022324i,-0.0011633+0.00011272i,-0.00077579-0.0003939i,-0.00063933-0.00088287i,-0.00060019-0.00068764i,-0.00096163-5.861e-05i,-0.00092278-1.0017e-05i,-0.00034937-0.00023543i
0.0029501+0.0075991i,0.0043293+0.010694i,0.0031244+0.01221i,-0.00044763+0.0090342i,-0.0016549+0.0040882i,-0.00083848+0.0016145i,-0.0016522+0.00079841i,-0.003315+1.1453e-05i,-0.0036558-8.4139e-05i,-0.0023986+0.00076953i,-0.00085572+0.0019143i,9.3586e-06+0.0019696i,0.00039+0.0013529i,0.00074173+0.00062192i,0.00077234-0.00011532i,0.00015442+0.00040235i,-0.00023777+0.00068164i,-7.7007e-05-9.9897e-05i,-0.000189-0.00053641i,-0.00028586-0.00024994i,-5.4661e-05+0.00019746i,-6.8399e-05+0.00058486i,-0.00030412+0.00092932i
0.0086258-0.002251i,0.012959-0.0022157i,0.01359+0.00086448i,0.0098002+0.0036603i,0.0051526+0.0037383i,0.0023728+0.0033178i,0.00048153+0.0032465i,-0.00029652+0.0029984i,0.00032906+0.0032621i,0.00037309+0.0023267i,-0.00010351+0.00079176i,-0.00063608+0.00028723i,-0.00066879+6.6245e-05i,-0.00023067-1.0855e-05i,0.00016372-0.00049989i,8.3017e-05+0.00015619i,-0.00025338+0.00036406i,-0.00012278-0.00018185i,2.4626e-05+0.00021952i,0.00025634+0.00033537i,0.00058519+0.00014911i,-0.00024552+0.00069764i,-0.00093425+0.0012814i
0.0011025-0.0063539i,0.0020475-0.010213i,0.0044688-0.0097736i,0.0069216-0.0058463i,0.0055613-0.0019505i,0.0032383-0.00033667i,0.0019542+0.001055i,0.0022447+0.0020409i,0.0032961+0.0019343i,0.0027906+0.00069821i,0.00064488-0.00015232i,-0.0012781-0.00020686i,-0.0011234-0.0007385i,-0.00055282-0.0014401i,-0.00090554-0.00099878i,-0.0013906-0.0006017i,-0.00022474-0.0011421i,0.00098346-0.00096974i,0.00033201-0.0012535i,0.00048843-0.00088419i,0.0014564+9.8511e-05i,0.00084442+0.00014106i,0.00041898-0.00032286i
-0.0086185-0.0044494i,-0.011789-0.0069777i,-0.010857-0.008178i,-0.0057384-0.0072263i,-0.0014817-0.003676i,0.00037458-0.00081778i,0.0015392-0.0007446i,0.0031991-0.0014355i,0.0029034-0.0017968i,0.00050342-0.001632i,-0.0018408+7.616e-05i,-0.0023268+0.0012887i,-0.0020586+0.00021468i,-0.0016807-0.00013738i,-0.0014821+0.00047905i,-0.00081541+0.00034628i,0.00012646-0.00038414i,-4.1838e-05-0.00057981i,-0.00033799-0.00039617i,8.4752e-05+0.00014677i,-0.00020161+0.00099415i,-7.5554e-05+0.0009124i,0.00042576+0.00053186i
-0.0062079+0.0057228i,-0.0091764+0.0095587i,-0.01121+0.0091768i,-0.0088729+0.0049268i,-0.0045159+0.0014402i,-0.0017086+1.4445e-05i,-8.607e-05-0.0012459i,0.00024-0.0030736i,-0.0010491-0.003673i,-0.0014233-0.0020902i,-0.00088072+0.00011188i,-0.0004016+0.0012447i,-0.00077321+0.0018699i,-0.0010666+0.0018401i,-0.00044393+0.0010831i,-0.00030187+0.00077355i,-5.6495e-05+1.8035e-05i,0.00043333-0.0004716i,0.00031739-0.00078085i,-0.00030226-0.0015427i,-0.00079312-0.0010498i,-0.00087595-0.00046749i,-0.00038922-0.00044505i
0.005366+0.0083669i,0.0075187+0.01044i,0.006864+0.009631i,0.0031302+0.0063312i,4.7971e-05+0.0027617i,-0.001183+0.0012851i,-0.0018532+3.0598e-05i,-0.0025402-0.00054301i,-0.0028903-0.00039102i,-0.0022755+7.7922e-05i,-0.00069264+0.00073393i,-0.00070001+0.00075245i,-0.0016592+0.00098178i,-0.0012259+0.00093056i,-0.00049505+0.0001678i,0.00015431-0.00077769i,0.0001122-0.0010108i,-0.00018541+0.00038786i,-0.00074091+0.00094171i,-0.001461+0.0010377i,-0.0014635+0.0016216i,-0.00079535+0.0011236i,-0.00013409+0.00014321i
0.010022-0.0008262i,0.013254-0.0021187i,0.014192-0.00060317i,0.010868+0.0018454i,0.0046227+0.0015482i,0.00052069+0.0010361i,-0.0013088+0.001767i,-0.002408+0.0024826i,-0.0016521+0.0031897i,-0.00076607+0.0024648i,-0.00057913+0.00074818i,-0.00084085+0.00028713i,-0.00053614-0.00041517i,5.2587e-05-0.00089451i,-0.00040679-0.00016702i,-0.00025346-0.00039195i,-2.6353e-06-0.0010974i,-5.7556e-05-0.0016053i,3.9962e-05-0.0011429i,-0.0002364-0.00046069i,-0.00024082-0.00053657i,0.00036672+0.00077728i,0.00034657+0.00199i
0.0009807-0.011497i,0.00083801-0.015176i,0.0021557-0.015044i,0.0036579-0.010064i,0.0028045-0.0039773i,0.0012338-3.1556e-05i,0.0007293+0.0020922i,0.0014534+0.0030961i,0.0025885+0.0027066i,0.0024829+0.0010244i,0.00041046-0.00014892i,-0.0011123+0.00023798i,-0.00045819+0.00055922i,-8.6887e-05-0.00027957i,-0.00038047-0.00058967i,-0.00056778-1.388e-05i,-0.00085775-2.6237e-05i,-0.00057746+0.00020002i,-0.00011249+0.00047528i,0.00054661-2.2245e-05i,0.00041035+0.00062269i,-0.0002692+0.0018889i,-5.4577e-05+0.001618i
-0.0065433-0.0034895i,-0.011647-0.0053212i,-0.012556-0.0070932i,-0.0084588-0.0058519i,-0.003622-0.0036252i,-0.00048093-0.0013151i,0.0016548+0.00071444i,0.0031588+0.00033593i,0.0036797-0.0014541i,0.001857-0.0013786i,-0.00023393+0.00033216i,-0.0015385+0.00054925i,-0.0023171-0.00058179i,-0.0011836-0.0010321i,-0.00017743-0.00062243i,-0.0006643-0.00053993i,-0.00098454-0.00071957i,-0.00063229-0.001017i,-0.00040317-0.00093836i,8.9531e-05-0.0005417i,0.0003428-0.00054767i,0.00012311-0.0012471i,-3.5531e-05-0.0008902i
-0.007373+0.0079486i,-0.0090952+0.012633i,-0.0092138+0.013761i,-0.0064513+0.0094607i,-0.0021198+0.0047451i,0.00066617+0.0010887i,0.0019572-0.00044656i,0.0021192-0.0010448i,0.00071291-0.0021054i,-0.0001307-0.0021127i,-0.00028863-0.00050619i,-0.00061608+0.0005932i,-0.0011746+0.00046334i,-0.0012289+0.00092128i,-0.0012062+0.00173i,-0.0012143+0.0014337i,-0.00032704+0.00023327i,0.0006842-0.00041532i,0.00085487-0.00086535i,0.00073899-0.0010144i,0.00012152-0.0010542i,-0.00075679-0.00075683i,-0.00084422-0.00062855i
0.0041788+0.010091i,0.0088135+0.014441i,0.0091924+0.015146i,0.0060127+0.01152i,0.0029792+0.0054245i,0.0010734+0.00010769i,-0.00039231-0.0025853i,-0.0021314-0.0027546i,-0.0036579-0.001849i,-0.0029809-0.0006252i,-0.00098467+0.00032606i,0.00039295+0.00032249i,0.00034398+0.00051395i,-2.69e-05+0.0003932i,-0.00018187-2.4468e-05i,0.00032653+0.00030426i,0.00080435-2.9321e-06i,0.00050113-0.00030906i,-0.00011527+3.3922e-05i,-1.9262e-05+0.00017209i,0.0009+0.00056184i,0.00034473+0.0010241i,-0.00033245+0.0013166i
0.0078341+0.001088i,0.013059-0.0020116i,0.015761-0.0014754i,0.012563+0.0012796i,0.0065213+0.0017946i,0.0020204+0.00038525i,-0.0013593+0.00027135i,-0.0038142+0.0011445i,-0.003439+0.0019838i,-0.0013215+0.0022446i,-0.00039148+0.001054i,-0.00020967+4.7946e-06i,0.00055697-0.00078406i,0.00099464-0.001182i,0.00038231-0.00080841i,-0.00056229-0.0014639i,-0.00079966-0.0016115i,-0.00040124-0.0010901i,-0.00049965-0.00030453i,-0.00057459+0.00054428i,-0.00030353+0.00083505i,-0.00051293+0.0011245i,-0.0010002+0.00071978i
0.0010008-0.0099758i,-0.00014898-0.01621i,-0.00079964-0.018526i,0.00049129-0.013371i,0.0014519-0.0053486i,0.00028111-0.00041288i,-0.0011064+0.0016924i,-0.00043785+0.0028746i,0.0010941+0.0030643i,0.0015077+0.0025658i,0.0002676+0.0019316i,-0.0013571+0.00063954i,-0.0012421-0.00036817i,-0.00043759-0.00033047i,-0.00023787-0.0004468i,-0.000146-0.00011441i,-0.00095566+0.00051718i,-0.0012318+0.0004403i,-0.00053027+0.00018243i,-0.00067941+0.00044096i,-0.00060975+0.00078942i,0.00011869+0.0014807i,0.00044037+0.0013377i
-0.0077443-0.003307i,-0.014676-0.0034824i,-0.016603-0.0037673i,-0.011295-0.0043188i,-0.0047603-0.0020128i,-0.0019378+0.0011246i,0.00035806+0.0019973i,0.0032902+0.0023985i,0.0035748+0.0024243i,0.0021084+0.0010078i,0.0013347-5.403e-05i,-6.2585e-05-0.0003371i,-0.0013565-0.00013328i,-0.00082404+0.00083031i,-0.00011404+0.00058246i,-0.00031659-3.3988e-05i,-0.0010855+0.00032197i,-0.00096055+0.00046812i,3.6758e-05+0.00023519i,0.00076549+1.1333e-09i,0.0012042+0.00012532i,0.0015562+0.00022222i,0.0012687-0.00033574i
-0.0059187+0.0058576i,-0.0075665+0.012325i,-0.0080029+0.016149i,-0.0066214+0.011609i,-0.0036098+0.0039753i,-0.00047708+0.00092542i,0.0019417+8.83e-05i,0.0035318-0.0017403i,0.0032284-0.0028969i,0.0010567-0.0023118i,6.0396e-06-0.00070748i,7.1802e-06+0.00062444i,-0.00039694+0.00063274i,-0.00030859+0.00021219i,-0.00045906+0.00016586i,-0.0012206+0.00050673i,-0.0014724+0.0006421i,-0.0001792+0.00010114i,0.0013209-0.00063276i,0.0018936-0.00062952i,0.0014282-0.00041027i,-0.00011789-0.00036442i,-0.00048635-0.00024223i
0.0029562+0.0091633i,0.0085234+0.012184i,0.010819+0.014152i,0.0069211+0.012265i,0.0025559+0.0065324i,0.0018907+0.00091772i,0.001384-0.0021612i,-9.2064e-05-0.0035602i,-0.0015884-0.003069i,-0.0016531-0.0016005i,-0.00047788-0.00071347i,1.1239e-05-0.00049483i,-0.00043133-7.0903e-05i,-0.00084381+0.00063871i,-0.00021591+0.00067107i,0.00020209+7.5289e-05i,1.8404e-05-0.00053783i,1.0252e-05-0.00092921i,0.00048401-0.00095477i,0.00016072-0.00080972i,-0.0010562-0.0006775i,-0.0012903-3.1609e-05i,-0.00023581-0.00011611i
0.0090086-6.7302e-05i,0.014801-0.0053196i,0.018211-0.0069234i,0.015258-0.0037631i,0.0082687-0.00085304i,0.0025006-0.0010786i,-0.0013665-0.0019532i,-0.0033572-0.0013633i,-0.0030042+0.0011652i,-0.0009625+0.0020957i,-3.824e-05+0.0006282i,-0.00028068-0.00023379i,0.00021204-0.00029075i,0.00038869-9.2925e-05i,0.00050587+0.00013133i,0.00030778+3.3676e-05i,-0.00091158-0.00037548i,-0.00092292-0.00060789i,-0.00047264-0.00019026i,-0.0012684-0.0002317i,-0.0010541+7.3171e-05i,-0.00040467+0.00081675i,-0.00061879+0.001572i
0.0027726-0.0069213i,-0.00030065-0.01523i,-0.0014396-0.019007i,-0.00020116-0.015073i,0.0013458-0.0081539i,0.00015137-0.0027626i,-0.0020278-2.3325e-05i,-0.0018928+0.0017305i,-0.00084354+0.0031831i,-0.0001068+0.0031642i,-0.0012894+0.0019054i,-0.0018008+0.00087866i,-0.00042151-1.4234e-05i,7.3537e-06-0.00039014i,-0.00043782+0.00014615i,-0.00052262+9.328e-05i,-0.00032206-0.00010789i,-0.00037696+0.0001797i,-0.00049341+0.00044182i,-0.00078602+0.001005i,-0.00060951+0.0011814i,-0.00031625+0.0013246i,-0.0008805+0.0014772i
-0.0062648-0.0048353i,-0.014453-0.0035488i,-0.018179-0.0046523i,-0.01469-0.0050972i,-0.0083565-0.0030706i,-0.0038029+1.9932e-05i,-0.00064548+0.0029369i,0.0022923+0.0040269i,0.0034652+0.0022613i,0.0020711+0.00063965i,0.0001834+0.00011802i,-0.0011666+0.00024458i,-0.0016626-0.00028929i,-0.00047836-0.0010156i,0.00047563-0.0012687i,0.00033768-0.0011045i,-0.00062393-0.00042567i,-0.00034006-0.00017598i,0.00074636+0.00039254i,0.00038439+0.0007357i,1.8875e-05+0.00020444i,0.00046574-0.00045727i,0.00048436-0.0003985i
-0.0051349+0.0047878i,-0.0071959+0.013041i,-0.0091922+0.017217i,-0.0091772+0.013197i,-0.0061037+0.0066391i,-0.0017179+0.0027924i,0.0024294+0.0014125i,0.0048845+0.00080394i,0.00454-0.00053177i,0.0024369-0.0016496i,0.0012474-0.00079759i,0.0005919+0.00027703i,-0.00045442-0.00017381i,-0.0018297-0.00085548i,-0.0022858-0.00040628i,-0.0013981+0.00030674i,-0.00018407+0.0002312i,0.00045501-0.00037764i,-8.0664e-05-0.0007613i,2.6229e-05-0.00055209i,0.0011133+1.4666e-05i,0.0014963+1.7497e-05i,0.0004237-0.00060535i
0.00093776+0.0055284i,0.0093166+0.010412i,0.014483+0.014023i,0.011395+0.01243i,0.0061436+0.0078793i,0.0036859+0.0033568i,0.003038-0.00022546i,0.0018612-0.0028721i,-0.00020065-0.0033176i,-0.0013333-0.0019498i,-0.00010518-0.00066515i,0.00077167+0.00034648i,0.00054818+0.001229i,0.00037467+0.0015807i,0.00042494+0.0014478i,0.00055453+0.0013094i,9.7547e-05-6.2126e-05i,-0.0002681-0.001628i,0.00026077-0.0011483i,0.0005049-0.00070161i,4.5689e-05-0.0011912i,-0.00051801-0.0014311i,-0.00088495-0.00081571i
0.0066151-0.00087912i,0.012242-0.0085476i,0.016273-0.012461i,0.014637-0.0086231i,0.0084464-0.0035287i,0.0039941-0.0022204i,0.00065298-0.0035958i,-0.0022352-0.0036068i,-0.0030097-0.0015422i,-0.002332-0.0002227i,-0.0013174-0.00028656i,-0.00035546-0.00061961i,0.00043663-0.00039818i,0.00090873+0.00020393i,-3.8209e-05+8.1317e-05i,-7.9217e-05-0.00081176i,6.3829e-05-0.001049i,-0.00068556-0.00078226i,-0.00069446-0.00057824i,-0.00072688-0.00057107i,-0.0016089-0.00040109i,-0.0020808+0.00069659i,-0.00099241+0.0012004i
0.00037416-0.0049783i,-0.0036945-0.011758i,-0.0069837-0.016611i,-0.0060243-0.013652i,-0.0019834-0.0069253i,-0.0010488-0.0025785i,-0.002959-7.4368e-05i,-0.0037892+0.0017219i,-0.0025198+0.0026554i,-0.00066299+0.0023595i,-0.00081294+0.0010664i,-0.0018093+0.0010741i,-0.0018131+0.0007749i,-0.0013898+6.1347e-05i,-0.00038329-0.00031461i,0.00055376-0.00078086i,0.00052927-0.00079988i,0.0004624-0.00011446i,0.00045449+0.00057827i,0.0001245+0.00050025i,5.8322e-05+0.0008933i,-0.00027281+0.0010444i,-0.00038692+0.00044832i
-0.004424-0.0036223i,-0.014532-0.0019026i,-0.020616-0.0017789i,-0.016453-0.0022383i,-0.009237-0.0013814i,-0.0052268+0.00052486i,-0.0023675+0.0030617i,0.00046051+0.0041267i,0.0015627+0.0029229i,0.00083229+0.0014i,0.00011845+0.00087243i,-9.2866e-05+0.0012638i,-0.00052702+0.00088333i,-0.001654-0.00022623i,-0.0019414-0.00072792i,-0.00085292-0.00080327i,-0.00026365-0.00019009i,-0.00029935+8.4917e-06i,0.00027329+0.00034956i,0.00084789+0.0016809i,0.0014381+0.0015011i,0.001383+0.0013104i,0.0007926+0.0011658i
-0.0036458+0.0060124i,-0.0047204+0.015301i,-0.0049678+0.021763i,-0.0054351+0.018874i,-0.0046329+0.011152i,-0.0013236+0.0062173i,0.0017933+0.0039463i,0.0037702+0.0020187i,0.0039835+0.00026371i,0.0025759-0.00092964i,0.0010391-0.00046985i,-0.00046318+0.0008759i,-0.00052394+0.0006224i,-0.00026956-0.00051175i,-0.00074633-0.00048623i,-0.0012528-0.00015575i,-0.0012998-0.0010367i,-0.00052281-0.0020451i,0.00061411-0.0015272i,0.00099773-0.00084471i,0.00045242-0.00011903i,0.00081381-3.4954e-05i,0.00082612-0.00059969i
0.0045887+0.0024945i,0.012683+0.0070249i,0.017233+0.0093562i,0.015487+0.0082858i,0.0095956+0.0052732i,0.0057551+0.0024666i,0.0053881-0.00070445i,0.0044895-0.0033653i,0.0017766-0.0034308i,-0.00035422-0.0020385i,-0.00040831-0.00097672i,0.00047986-0.00035791i,0.0011513+0.0005149i,0.00028804+0.0011152i,-0.0011731+0.0005184i,-0.00084303+0.00043452i,-0.00021739+0.00015977i,-0.00030591-0.00077579i,-0.00070267-0.00092175i,-0.00085014-0.0012912i,-0.00054614-0.0015636i,-0.00060619-0.0015329i,-0.00041855-0.0012287i
0.0056114-0.0021575i,0.012655-0.01i,0.01582-0.016015i,0.012282-0.013592i,0.0068928-0.0068893i,0.0030834-0.0034932i,0.00078101-0.0043191i,-0.0014509-0.0048944i,-0.002924-0.0024839i,-0.0023784-0.00018187i,-0.0014085-0.00061058i,-0.001301-0.0013918i,-0.001376-0.00083909i,-0.0016365+0.00041402i,-0.00063969+0.00045285i,-0.00014274-0.00030208i,-0.00078061-0.00012075i,-0.00072205-0.00043329i,-0.00092898-0.00090103i,-0.0014919-0.00018452i,-0.0013514+0.00025708i,-0.0015107+0.00018705i,-0.0011651+0.00050418i
-0.001087-0.0065274i,-0.0049904-0.01501i,-0.0091993-0.019759i,-0.0068041-0.016929i,-0.0015364-0.010323i,-0.0007957-0.0054939i,-0.0031982-0.0030421i,-0.0043763-0.001035i,-0.0038218+0.00033345i,-0.0025033+0.0013993i,-0.0017502+0.00088032i,-0.0024816-0.00021364i,-0.0032239-0.00037784i,-0.0023741-0.00039576i,-0.00017069-0.00040272i,0.0005256-0.00015078i,-0.00055302-0.00026861i,-0.0013759-0.00035954i,-0.0012425+8.3182e-05i,-0.00017498+0.00025528i,0.00032986+0.00015063i,-2.3031e-05+4.3544e-05i,-0.00044938+0.00036136i
-0.0062857-0.0012809i,-0.017237+0.00098425i,-0.023514+0.0029603i,-0.021063+0.001841i,-0.01442-0.00039179i,-0.0074718+0.0004768i,-0.003729+0.0035378i,-0.0017068+0.0045266i,0.0006074+0.0028949i,0.00074986+0.0012526i,-0.0016815+0.0011728i,-0.0023955+0.0020259i,-0.0013585+0.0018493i,-0.00044991+0.00080866i,-0.0003687+0.00035805i,-1.2624e-05+0.00016313i,0.0005354-0.00035962i,0.0010364-0.000493i,0.00154-8.1868e-05i,0.00174-0.00013247i,0.0010552+0.00017231i,0.00019879+0.00070351i,-1.2276e-05+0.00085597i
-7.6053e-05+0.0020086i,-0.0014941+0.013071i,-0.0011571+0.019964i,-0.0012388+0.018195i,-0.0028842+0.010845i,-0.0023516+0.0058935i,0.0013996+0.0047081i,0.004293+0.0030977i,0.0036927+0.0006208i,0.00098604-0.00099086i,-0.0004162-0.00064797i,0.00023094+0.00041924i,0.000594+0.00010358i,-0.00033267+0.00012501i,-0.00083686+0.00080011i,-0.00029908+2.8625e-05i,0.00046447-0.00069128i,0.00096632-0.00050504i,0.00085482-0.00010049i,0.00069873+0.00060934i,-7.6725e-05+0.00064586i,-0.00040938+0.00027644i,-0.00025087+0.0004052i
0.0021601+0.0024301i,0.012219+0.0062051i,0.018409+0.0083877i,0.015987+0.0076243i,0.0096092+0.0061593i,0.006408+0.0039811i,0.0056848+0.0014279i,0.004608-0.0010923i,0.0024002-0.0029893i,0.00011183-0.0025129i,-9.705e-05-0.00067714i,0.00072859-0.00062164i,0.0006747-0.0015495i,-0.00027568-0.0011611i,-0.0015102-0.00037378i,-0.0010798-0.00022721i,-0.00055645-0.00066449i,-0.00061239-0.0012759i,-0.00078058-0.0011493i,-0.00054136+3.0292e-05i,9.5627e-05+0.00050668i,-0.00028242+0.00052847i,-0.0005244+0.00052254i
0.0058707-0.0046016i,0.012344-0.01314i,0.016181-0.019843i,0.013923-0.017558i,0.0084447-0.0094594i,0.0044868-0.0038144i,0.0023242-0.0035909i,0.00037526-0.0051743i,-0.0012831-0.0038741i,-0.0012963-0.0011015i,-0.0013087-0.0010533i,-0.0021803-0.0022654i,-0.0029141-0.00223i,-0.0023221-0.0011297i,-0.00095925-5.6445e-05i,-0.00026617+0.00022063i,-0.00073659+0.00031761i,-0.0014192-1.257e-05i,-0.00036034-0.00085223i,-3.4627e-05-0.00045733i,-0.00050274+0.00030746i,-0.00017819-0.00044246i,-0.000415-0.0011999i
-0.0017909-0.0032573i,-0.0077678-0.012811i,-0.012996-0.018504i,-0.012131-0.016985i,-0.0056351-0.010665i,-0.0021053-0.0059722i,-0.0030214-0.0038206i,-0.0039875-0.0015384i,-0.0038347+0.00027018i,-0.0024599+0.00037095i,-0.0020166-0.00022946i,-0.0031711-0.00045662i,-0.0033689+0.00044029i,-0.0024268+0.0010262i,-0.0011044+0.00054649i,-0.00055011+0.00038048i,-0.00094927+0.00035171i,-0.00053716+0.00078362i,0.0001093+0.0010903i,0.00031274+0.00074119i,0.00012626+0.00039487i,-0.00035515+0.00071838i,-7.4797e-05+0.0007778i
-0.0057342+0.0014266i,-0.015166+0.0041099i,-0.022361+0.0081265i,-0.020769+0.0083548i,-0.012587+0.0035375i,-0.0052283+0.00050557i,-0.0026822+0.0014345i,-0.0022614+0.0031473i,-0.00079465+0.0035701i,-9.864e-05+0.0020977i,-0.00074766+0.0012596i,-0.00087508+0.0018576i,-0.00060979+0.0018144i,-0.00032953+0.0011289i,9.8742e-05+0.00079404i,0.00072359+0.00066389i,0.0012585+0.00062326i,0.00071255+0.00063151i,0.00012104+0.0004501i,-0.00020924+0.00073218i,-0.00045987+0.00077574i,-0.00057832-0.00010981i,-0.0008185-0.00026795i
0.00088447+0.0069771i,1.1087e-05+0.018572i,0.0011162+0.027402i,0.0023667+0.024033i,0.0017961+0.014471i,-0.00031402+0.007583i,-0.00053316+0.0047935i,0.0017175+0.0032761i,0.0026329+0.0014746i,0.001366+7.9975e-05i,0.00032629+0.00077833i,0.00066481+0.0017052i,0.001326+0.00064115i,0.0014562-0.00058685i,0.0008013-0.0011063i,0.00073059-0.00079245i,0.00098965-0.00084321i,0.00079069-0.0010778i,0.00077547-0.00017614i,0.00040388+0.00016404i,0.00013778-0.00012873i,0.00089672+1.7975e-05i,0.0012269-6.4444e-05i
