-0.00040081+0.00099509i,0.0014222-0.00063336i,0.00039007-0.00077571i,-0.0010725-0.00023971i,-0.0021919+0.00093139i,-0.0016695+0.00099338i,-0.00072783+0.00094735i,0.000105+0.0011265i,0.0011401+0.00051993i,0.0010212+0.00044635i,0.00024509-7.5689e-05i,0.00014599-0.00047947i,0.00075455+0.00021886i,0.00021717+0.0010643i,-0.00023442+0.0015046i,-0.00028845+0.00065126i,0.00075508-0.00065406i,0.0010681-0.0009367i,0.00015957-0.0011125i,0.00018509-0.00077593i,0.00061792-0.00021128i,0.0010093+0.00016159i,0.00047949+0.00021814i
-0.00039533-0.0012561i,-0.0021022-0.00073282i,-0.0031826-0.00027858i,-0.0024098+0.0011836i,-0.00015358+0.0015215i,0.00090367+0.0006402i,0.00025482+0.00011678i,-0.00048894+2.2857e-05i,-0.00082518+8.1125e-05i,-0.00091786+2.6604e-05i,-0.00052818+0.00018579i,7.7733e-05+0.00020631i,0.00014931+6.2817e-06i,6.5763e-05+0.00030107i,-8.8833e-07+0.00026242i,0.00051519-7.1047e-05i,0.00059079+0.0009036i,5.5865e-05+0.0016658i,-0.00041084+0.0011807i,-0.00031557+0.00069571i,0.00054809+0.00022389i,0.00035456+0.00056614i,-0.00023249+0.00062435i
0.00083889+0.0022801i,0.0014882+0.0018955i,0.0017824+0.0017296i,0.0013154+0.00089129i,-0.00028344-0.00095462i,-0.00031812-0.0011732i,0.00026768-0.00043267i,-0.00041622-0.00086598i,-0.0012185-0.0011597i,-0.00093658-0.00021738i,-0.0011957+0.00042908i,-0.0011126+0.00025074i,-0.00018898+0.00019818i,0.00019074+0.0005261i,2.5832e-06+0.00041485i,-0.00024646-0.00076984i,-0.00017178-0.001398i,1.5377e-06-0.00095704i,-0.00010341-0.00041072i,-9.68e-05+0.00049562i,0.00029278+0.00077903i,0.00084506+0.00014603i,0.0005203+6.3003e-05i
-0.0011423-0.0016171i,-0.0027954-0.0016113i,-0.0028083-0.00077208i,-0.0017278+0.00033891i,-8.8078e-05+0.0011267i,0.0014834+0.00081128i,0.0017708+0.0008927i,0.00095291+0.00054032i,-6.7937e-05-0.00020346i,-0.00056666-6.4051e-05i,-0.00047762-3.0482e-05i,-0.00061921-0.00041858i,-0.0008597-0.0004491i,-0.0010609+6.8165e-05i,-0.00052472-0.00023996i,-0.00030829-0.0013296i,-0.00014656-0.0011553i,9.8431e-05-4.0975e-06i,0.00020367-5.6227e-06i,0.00018895-0.00038878i,-0.00027446-0.00012847i,-0.00079282-0.00047819i,-0.00098307-0.00084458i
0.00086493-0.00065634i,0.0010628-0.0010685i,0.00084279-0.0011048i,0.00070432-0.00058537i,0.0012357-0.0014531i,0.0020622-0.0023547i,0.0019364-0.0012078i,0.00065242-0.00038454i,-0.0008685-0.0001002i,-0.0014336+0.00049159i,-0.0014905+0.00070505i,-0.00065186+0.00083549i,0.000427+0.0002472i,-0.0001774-1.8977e-06i,-0.0010098+0.00032913i,-0.0010367+0.00045378i,-0.0003368-0.00055857i,0.0001829-0.0011211i,0.00070783-0.00027772i,0.00053119+0.00054607i,0.00047859+0.00056206i,0.00063455+0.00047996i,3.9172e-05-0.00023958i
-0.00027622+0.00023112i,-0.0014218+0.0019527i,-0.0021541+0.0023283i,-0.001827+0.002475i,-0.0013067+0.0021662i,3.4023e-05+0.0012626i,0.00079813+0.00048912i,0.00011241-0.0002013i,-0.0009348+2.6623e-05i,-0.00091941+0.00036677i,4.3138e-05-0.00048725i,3.291e-05-0.00090853i,7.7141e-05-0.00012345i,0.00024458+0.00046419i,-0.00011423-0.000467i,-0.00039793-0.0013897i,-0.00031719-0.0011197i,-0.00018193-0.00082183i,-0.00053812-0.00067094i,-0.00021797+0.00017466i,0.0005061+0.0010192i,-3.8442e-06+0.00061413i,-0.00088152+2.5875e-05i
7.5745e-05-0.0027281i,-0.00086551-0.0024645i,-0.0013192-0.0019034i,-0.00057011-0.0013221i,-0.00011416-0.00087576i,0.0010873+7.2964e-05i,0.0016586+0.00034947i,0.0011046-0.00016493i,7.6627e-05-0.00024592i,-0.0012907-0.00021965i,-0.00090363-0.00042755i,-0.00027269+0.00018407i,-0.00039628+0.0009974i,0.00066471+0.0008869i,0.0008644+0.00077364i,0.00054294+0.00096499i,0.00088182+0.00041767i,0.00020716+0.00040823i,-0.00045457+0.0011242i,0.000289+0.001678i,0.0005326+0.0012926i,0.00014022+0.00099642i,-0.00015595+0.0012396i
0.0012296-0.0018318i,0.00053979-0.00248i,-0.00026794-0.0027449i,-0.0005688-0.0022563i,-0.0004619-0.0011952i,-0.0003259-0.0008225i,0.00011722-0.00078884i,0.00020823-0.00051025i,-0.00021897-0.0004218i,-0.00069118-0.000568i,-0.00027218+7.918e-06i,-0.00028868+2.6399e-05i,-0.0007639-0.00024908i,-0.00036221+0.00026022i,0.00023429+0.00023909i,0.00042887-0.00012895i,0.00049878-0.00058179i,0.00050397-0.00060959i,7.6104e-07-0.00019644i,-0.00049259+0.00065461i,-0.00019623+0.0009946i,0.00028+0.001196i,0.00039644+0.00055393i
0.002552+0.0019012i,0.0029203+0.0020398i,0.0022027+0.0019775i,0.0015961+0.00078663i,0.00063557-0.00085828i,0.0007326-0.0017944i,0.00049077-0.0017807i,-0.00014068-0.0011278i,5.7233e-05-0.0008215i,6.1432e-05-0.0003851i,4.936e-05+0.00047762i,-0.00034301+0.00037667i,-0.00039145+0.00042067i,0.00037716+0.00042991i,0.00073535-0.00019961i,0.00045479-0.00010195i,0.00074294-0.00025763i,0.0011673-0.00094312i,0.00048867-0.00073418i,-0.00059862-9.1259e-05i,-0.00026728-0.00062375i,9.3138e-05-0.00059814i,0.0001439+0.00020464i
-0.00051723-0.00023067i,-0.0023139-0.0001727i,-0.0028987-0.0014585i,-0.0015319-0.0019684i,-0.00020937-0.0011093i,0.00050051-0.00016503i,0.00098029-0.00020004i,0.00016926-0.00071151i,-0.001193-0.00021372i,-0.0013639+0.00060401i,-0.00085436+0.00057337i,-0.00034316-0.00014292i,0.00020081-0.00031637i,9.2041e-05+2.9722e-05i,-0.00022147+0.0001863i,0.00023779-0.00036899i,0.00051058-0.00088316i,-0.00025848-0.00023725i,-0.0006097-2.5914e-05i,-0.00054495+7.1043e-06i,0.00028152+0.00065387i,0.000731+0.00098879i,0.0005677+0.00081493i
-0.00078346-0.0017948i,-0.0013989-0.00045491i,-0.0015661+0.0013308i,-0.0011605+0.0018717i,9.2739e-05+0.0016883i,0.00090188+0.0018573i,0.00071477+0.0013174i,0.00037023+0.00073517i,-0.00064554+0.00097527i,-0.001339+0.0010279i,-0.00079849+0.00068432i,0.00041123+0.00036822i,0.00058483+0.00059802i,2.3537e-05+0.0002721i,-8.1788e-06-0.000185i,0.00025132-0.000219i,0.00091681-0.0002741i,0.00064648+9.9092e-05i,-2.9721e-06+0.00077231i,-0.00018122+0.00040578i,-0.00063958-0.0001186i,-0.0005225-0.00017748i,0.0005213-0.00010911i
0.0018713-0.00015616i,0.0017142-0.0013156i,0.00098712-0.0018106i,0.00054419-0.00054286i,0.00045976+0.00093791i,0.0005032+0.0010916i,0.0007429+0.0003716i,0.00020065+5.1675e-05i,-0.00062259+8.191e-05i,-0.00072935+0.00042313i,-0.00045731+0.00013208i,-7.4956e-05-0.00010251i,0.00030072+0.00043829i,0.0007109+0.00036873i,0.00070397-6.7789e-05i,-6.8203e-06+0.00032452i,-0.00033493+0.00033612i,-0.00022181+0.00016066i,-0.00018832+0.00071714i,4.526e-05+0.00058335i,0.00011884-0.00020358i,0.00027847-0.00058628i,-0.00014481-6.1143e-05i
-0.0017788-0.00040985i,-0.0024696-0.00068702i,-0.0031397-0.00021394i,-0.0025948+0.00079003i,-0.0018126+0.0012492i,0.00041063+0.00052918i,0.0012305+4.3516e-05i,0.00034408-0.00064495i,-3.8701e-05-0.0013352i,-0.00038646-0.00038673i,-0.00087561-0.00044394i,-0.00088735-0.00043742i,9.2544e-05+0.00069107i,0.00041401+0.000984i,-0.00018042+0.00031837i,-6.074e-05-0.00061689i,0.00037059-0.00071193i,0.00031903-4.5129e-05i,0.0012438+0.00023575i,0.0014965+0.00029086i,0.0009718-0.00019829i,0.00018809-0.00057567i,-4.1078e-06+7.0794e-05i
-0.0011048+0.0019217i,0.00050351+0.0017095i,0.0009289+0.0022606i,0.0010451+0.00081141i,0.0018985-0.00086224i,0.0016265-0.0015092i,0.00092731-0.001284i,0.00010062-0.00083916i,-0.00089711-0.00088925i,-0.00095765-0.00065662i,-0.00055504-0.00055467i,-0.00044314-0.00063424i,-0.0011331-0.00035941i,-0.0011688-0.00016928i,-0.0009223+0.0004195i,-0.00088447+0.00041887i,-0.00091085-0.00043544i,-0.00093146-0.00011403i,-0.00061504+0.00067642i,-0.00071669+0.0010986i,-0.00034647+0.0011381i,0.00056217+0.00092786i,0.00088447+0.0003488i
-0.0017004+0.0019668i,-0.0009062+0.0019228i,0.00040634+0.0027476i,0.0013369+0.0013131i,0.0021629-0.00030374i,0.0019638-0.00040206i,0.00055403+0.00012262i,-0.00022721+0.00022838i,-0.00077882-0.00029083i,-0.00085171-0.0007821i,-3.6658e-05-0.000705i,-0.00031272-0.00017392i,-0.0014838-0.00014061i,-0.0013321-2.1298e-05i,-0.00076174+0.00014278i,-0.0001836+0.00019209i,0.00029781-0.00010043i,-0.00019483-0.00089908i,0.00043757-0.00097331i,0.0009185-0.0002037i,0.0003866+0.00051444i,-0.00015236+0.00075821i,-0.00097009+0.00098275i
0.0024747+0.0020686i,0.0035444+0.00061857i,0.0036473-0.00069942i,0.0022098-0.0021382i,0.001812-0.0032794i,0.002287-0.0028743i,0.0018556-0.0017294i,0.00059497-0.0010502i,-0.00073609+0.00011693i,-0.00095961+0.0010081i,-0.00071908+0.0008621i,-0.00074878+0.00085379i,-0.00050489+0.00124i,-0.00025102+0.0012714i,-0.00031243+0.001093i,-0.00040141+0.00029455i,0.00037825-0.000613i,0.0010411-0.00035579i,0.00068189-0.0001417i,-5.7455e-05+0.0001108i,-0.00024153+0.00020684i,-0.00047418+0.00033639i,-9.7045e-06+0.00046504i
-0.0014847+0.00065232i,-0.0017374+0.00061013i,-0.0010268+0.0011921i,-0.00021883+0.0016817i,0.0010959+0.001539i,0.0017867+1.919e-05i,0.0015063-0.00062991i,0.00088307-0.00073778i,-0.00010664-0.00040981i,-0.0011698-5.1505e-05i,-0.00099704+2.7193e-05i,-0.00075937+0.00057743i,-0.00084269+7.126e-05i,-0.00071611-0.00038062i,-0.0011106-0.00030833i,-0.00095105-0.00024742i,-0.00053984-8.4896e-05i,0.00019755-0.00039324i,0.00050686-0.00040551i,0.00036361-0.00013663i,-8.7512e-05+3.9942e-05i,0.00021927-9.6895e-05i,0.0007043-0.00034707i
-0.0025978+0.0003129i,-0.0036198+0.0012439i,-0.0023873+0.0018813i,-0.00012971+0.0016358i,0.00041123+0.00054952i,0.00055319-0.0011672i,0.0009902-0.0014269i,0.00054657-0.0011993i,-0.00065597-0.0006369i,-0.00035952+0.00040301i,0.00043379+0.00036933i,0.0001442+0.00028488i,0.00039239+0.00035436i,0.00033098+0.00012457i,-0.00046984+0.0001963i,-0.0009709-1.9282e-05i,-0.00053726-0.00052434i,0.00028171-0.00029554i,0.00038925-2.3674e-05i,0.00080962+0.00044155i,0.00056738+2.1526e-06i,-0.00023554-0.0011907i,-0.00019945-0.00073557i
5.1476e-05+0.0004719i,0.0010771-0.00025065i,0.001639-0.00080504i,0.0013217-0.00055812i,0.0010694-0.0015296i,0.00085943-0.0013759i,0.00035855-0.00057967i,-7.9056e-05+7.0774e-05i,-0.00068558+4.9659e-05i,-0.00069584-0.00021607i,-0.00064221+0.0001752i,-0.00081935+0.00061698i,-8.192e-05+0.00083959i,0.00036663+0.0007177i,0.0001733+0.00082341i,-0.00017995+0.00065374i,-0.00025159+0.00013714i,9.4385e-05-5.3306e-05i,8.0648e-06+0.00048508i,-0.00044105+0.00068485i,0.00018604+0.00028939i,0.0010463+0.00043941i,0.00064795+0.00024699i
0.0006881-0.0012101i,0.00012543+0.00028482i,-0.00034478+0.00031961i,-7.2828e-05-0.00045331i,0.0012118-0.00017563i,0.0011771-7.3976e-05i,0.0015492-0.00041432i,0.0010769-0.00044848i,-0.00021483-0.00032712i,-0.00039371-7.3811e-05i,-0.0004623-0.00040134i,-0.00088537-0.00032048i,-0.00090196-3.3633e-05i,-0.00012415+9.8468e-05i,-0.00040221+0.00054461i,-0.00049573+0.0005304i,-0.00010639-0.00033741i,-0.00079441-0.00053068i,-0.0012228-0.00048615i,-0.0007552-9.3259e-05i,-0.00020836+0.0012723i,-0.00010702+0.0017216i,0.00025496+0.0014903i
-0.00035574+0.0014532i,0.00025196+0.0011486i,0.0013298+0.0014653i,0.0009489+0.0016329i,0.0009051+0.0005887i,0.00043478-0.00011082i,1.7705e-05+0.00018889i,-0.00027428+9.4704e-05i,-0.00069063-5.4911e-06i,-0.0010959-0.00013849i,-0.001465-0.00060142i,-0.001692-0.00012954i,-0.0013597+0.0013639i,-0.00063854+0.001522i,-0.0001882+0.00020842i,0.0007671-0.00073882i,0.0013073-0.00019715i,0.00084571+0.00049441i,-2.3021e-05+0.00038025i,-0.00010623+0.0011203i,-4.1943e-05+0.0013363i,0.00011591+9.5021e-05i,0.00033945-0.0010339i
-0.0005653+0.0010695i,-0.0013373+0.0011103i,-0.001556+0.0013724i,-0.0010868+0.00081524i,0.00043517-0.00046443i,0.0014696-0.00074779i,0.0012361-0.00064123i,0.00078363-0.00049684i,-0.00036745-4.7167e-05i,-0.0011681+0.00065905i,-0.0012739+0.00060807i,-0.0010167+9.7356e-05i,-0.00043417+0.00010974i,-0.00042688+0.00057136i,-0.0005895-0.00010832i,-0.00056451-0.00051939i,9.7864e-05-0.00026375i,0.00054931-0.00013855i,-5.5672e-05-0.00037301i,-0.00035706-0.00082205i,-0.00010166-0.00045829i,0.00019302+0.00032962i,0.00031396+0.00064638i
0.00036981+0.0021085i,0.0019406+0.0012135i,0.0033423+1.121e-05i,0.0031249-0.00096027i,0.0022899-0.00057654i,0.0010496-0.00020839i,-0.00018398+0.0001532i,-0.0009835-5.5293e-05i,-0.001234-0.00036021i,-0.00089308-0.00051908i,-0.000103-0.00015162i,6.7256e-05+0.00094893i,-0.00016119+0.0013065i,1.842e-05+0.0010714i,0.00044837+0.00037472i,0.00071128-4.7381e-05i,0.0010786+0.00063128i,0.00056351+0.00027979i,-0.0001459-0.00058639i,0.00035671-8.9245e-05i,0.00095069-0.0001797i,0.00041306-0.00054268i,-0.00055341-0.00078436i
0.00081913-0.0015549i,-0.00011441-0.0011182i,-0.0018105-5.1318e-05i,-0.0023662+0.00086205i,-0.0017163+0.00099036i,-0.00039363+0.00017637i,0.0013099-0.00049417i,0.0017683-0.00085253i,0.00046658-0.00048165i,9.3874e-05+0.0002197i,0.00062178+0.00039679i,0.00044328+0.00037258i,0.00022047+2.889e-05i,0.00029909+2.9193e-06i,0.00039187+0.00013279i,0.00018003-0.00034965i,-0.00034446-0.00069099i,-0.00014549-0.00080835i,0.00010768-0.00081054i,-0.00037447-0.00034284i,-0.00038043-9.0822e-05i,-0.00028519+0.00022611i,-0.00027991+0.00047458i
0.00032689+0.00046324i,-0.00022351+0.00091007i,0.0002106+0.0012006i,0.0009402-7.641e-05i,0.0010384-0.0014979i,0.0011845-0.0013876i,0.0011428-0.00040554i,0.00034807-0.00048561i,-0.0005354-0.00097738i,-0.00076803-0.00064494i,-0.00029829-0.00050504i,-0.00038131-0.00066046i,-0.00044706+5.3541e-05i,0.0001165+0.00096243i,0.00079496+0.0007748i,0.0006954-5.5651e-05i,0.00031238-0.00012084i,-0.00049953-0.00043365i,-0.00055162-0.00076272i,-1.9934e-06-0.00012051i,0.00039502+0.00056308i,0.00054671+0.00085048i,9.0119e-05+0.00082709i
0.00078602+0.0012209i,-1.6383e-06+0.00042131i,0.00021215-0.00084814i,0.00068877-0.0013561i,-0.00020676-0.0015061i,-0.00055698-0.00010995i,-0.00017546+0.00088661i,-0.00044238-0.00027295i,-0.00075687-0.0010833i,-0.0009902-0.00049514i,-0.0013366-3.5074e-05i,-0.0015065-8.9165e-05i,-0.001264-0.00014583i,-0.00053972+0.00016429i,-7.6508e-05+0.00044495i,0.00068179+0.0001245i,0.0011154-0.00029373i,0.0004222-0.0004022i,-0.00017088-0.00014868i,-0.00016397+0.00057906i,0.00010688+0.00086974i,0.00037635+0.00018609i,0.0003495-0.00017329i
-0.00097242-0.00042012i,-0.0013367-0.00035638i,-0.00091916+0.00013189i,-0.00032287+0.00077202i,0.00070283+0.00048591i,0.00021821-8.2549e-05i,-0.00053507-0.00071746i,-0.00049097-0.00086975i,-0.0011915-0.00026052i,-0.00090293+0.00039808i,-0.00025792+0.00032283i,0.00063854-0.00017744i,0.00045267-9.001e-05i,-0.00055645-3.3023e-05i,0.00051605-0.00034469i,0.0014082-0.0006561i,0.00050946-0.00074101i,0.00048597-0.00016536i,0.0010493+0.00035127i,0.00098391+6.9282e-06i,0.00080213+0.00033959i,0.00031745+0.00042166i,4.9449e-05+0.00057873i
0.0034377-0.00036165i,0.0024898-0.00099306i,0.0015594-0.0011093i,0.00092487-0.0011768i,0.00049683-0.00080026i,0.00023876-0.00018952i,0.00012443-0.0001264i,-9.1527e-05-0.00078317i,-0.00023131-0.00097452i,-0.00043588-0.00019834i,-0.0010312+0.00083624i,-0.0013234+0.001102i,-0.00052019+0.0013035i,-0.0001596+0.0013394i,-0.00010937+0.0010748i,0.00087208+0.00067587i,0.0013557-0.00021767i,0.00040411-0.0011372i,0.00029985-0.00087433i,0.0010185-7.8172e-05i,0.0010538-0.0003891i,0.00036753-0.00029751i,0.00013464-6.6336e-05i
0.0015038+0.00098975i,5.0114e-05+0.0012856i,-0.00032827+6.8692e-05i,-0.00047102-0.00092859i,-0.0008448-0.0014054i,-0.00029874-0.00097744i,0.00076946-0.00030154i,0.00031729-0.00047301i,-0.00079489-0.00038473i,-0.0012734-0.00011687i,-0.00094173+0.0001148i,-0.0003496+0.0003081i,-8.2755e-05-9.0385e-05i,-0.00012887-0.00065248i,-0.00026001-0.00036894i,-0.00036749-0.00016565i,0.00064106+4.635e-07i,0.00076294-0.00022049i,-0.00052473-0.00064831i,-0.00061284-0.0003689i,-0.00041994+0.00039165i,-0.00042942+0.0010984i,-0.00018453+0.0012681i
-0.0013998+0.0020587i,-0.00021789-2.0701e-06i,0.0008176+0.00072537i,0.0013467+0.0017908i,0.0022819+0.0013958i,0.0019886+0.00051584i,0.00016775-0.00029591i,-0.0011336-0.00053174i,-0.00088838+0.0002108i,-0.00049305+0.00089513i,-0.00092306+0.00043102i,-0.0008558-0.00018742i,6.3485e-05-0.00029136i,0.00040452-0.00075207i,0.00073925-0.00033375i,0.00056227+0.00034797i,8.4573e-05+0.0002523i,-0.00028372-0.00043391i,-6.2726e-05-0.00068524i,0.00054795+7.8887e-05i,0.00051265+0.00063475i,-7.8237e-05+0.0010872i,-0.00027103+0.00099202i
0.0017933-0.0027092i,0.0013493-0.0027211i,-0.00047716-0.0020024i,-0.0016231-0.00096158i,-0.0016816+0.00012574i,-0.0007146+0.00017329i,0.00062907-0.00028155i,0.0005355-0.00063729i,-0.00025717-0.00098427i,-0.00042943-0.00046052i,-0.00029432+0.00020266i,9.5803e-05+0.00062078i,0.00015884+0.00055438i,0.0002635+0.00011622i,0.0003296+0.00014737i,0.00028358+0.00020339i,0.00068236+0.00030848i,8.3175e-05+0.00028017i,-0.00054042+0.00038209i,6.4171e-05+0.00086943i,0.00025278+0.00083298i,-0.00022014+2.4801e-05i,-0.00018793-0.00073074i
0.0013704+0.001147i,0.0004999+0.0010619i,0.00055058-7.3205e-05i,-0.00047832-0.001182i,-0.0013181-0.00094589i,-0.00060073+0.00076267i,0.0002993+0.00049232i,0.00034901-0.0004705i,0.00015916-0.00046565i,-0.00067609+0.00020465i,-0.0013047+0.00015317i,-0.00059206-0.00018513i,0.00023429-0.00021759i,0.00012045-0.00037382i,-4.2359e-06-0.00015134i,0.00051113-0.00014312i,0.00056439-0.0002033i,0.00014358+0.00022068i,-0.00011507+0.00064859i,-0.00033353+0.00041865i,-0.00044559+0.00036255i,-0.00047028+0.0010942i,-0.00034604+0.0015728i
3.8845e-05-0.00093996i,-0.0012004+0.00072458i,-0.0018009+0.00048465i,-0.0020604-0.00081531i,-0.0018811-0.0011631i,-0.00070067-0.00074718i,0.00039547-0.0004802i,0.00028898-0.00081263i,-0.00029361-0.00066297i,-0.00046134-0.00022046i,-0.00022287+0.00034823i,-0.00028117+0.0012459i,-0.00054892+0.0018035i,0.00052292+0.0014045i,0.0015838+0.00092949i,0.0015034+0.00024112i,0.00071766+0.00010467i,0.000413+0.00076212i,0.00053288+0.0008275i,7.936e-05+0.00035084i,-0.00015342+0.00015156i,0.00046973+8.8331e-05i,0.0010493+0.00030419i
-0.00084721-0.0011014i,-0.0009371-0.0017711i,-0.00099314-0.0004761i,-0.0013709+0.0004096i,-0.00087065+0.000182i,-0.00024644-0.00013031i,0.00033928+0.00020229i,0.00083391-9.871e-05i,0.00058868-0.00017641i,0.00038903+0.00070325i,0.0006883+0.00098807i,0.00057225+0.00047117i,0.00023784-0.00060048i,0.00098713-0.00062329i,0.0016411+0.00047513i,0.0011947+0.00075063i,0.00046631+0.00016709i,5.5789e-05+1.0253e-05i,-0.0006565+0.00057564i,-0.00018543+0.00054884i,0.00074429+0.00017271i,0.00012913-0.0003351i,-0.00025576-0.00053137i
0.0022891-0.0018087i,0.00331-0.002273i,0.0024525-0.0026315i,0.00060839-0.0027353i,-0.00032335-0.0017562i,-0.00058641-0.0012473i,-0.00020723-0.0011393i,0.00062567-0.00056808i,0.00018002-0.00038273i,-0.0012442-0.0001358i,-0.0019099+8.8915e-05i,-0.0010493+0.00096277i,-7.5046e-05+0.0015614i,0.00030611+0.00069863i,-0.00014162+0.00052179i,-0.00015524+0.0009967i,0.00013458+0.00054314i,0.00042543-8.1305e-05i,0.00019896+9.7122e-05i,-0.00075645-5.0872e-05i,-0.0012648+0.00046365i,-0.00075791+0.0014485i,0.000598+0.0013295i
-0.001194+0.00094623i,-0.001902+0.0026016i,-0.0012444+0.0023501i,-0.0004294+0.0017913i,-0.00026136+0.001026i,0.00071236+1.6316e-05i,0.001878+0.0002023i,0.0019676+0.00021709i,0.00063831-0.00032268i,-0.00035098-0.00057132i,-0.00031791-0.0011143i,-0.00082276-0.0010054i,-0.00075799-0.00029431i,-0.00027565-8.3051e-05i,0.00019019+1.0328e-05i,0.0010391+0.00064961i,0.00099987+0.00065577i,3.7209e-05+9.2721e-05i,-0.00053683-0.0003755i,-0.00025086-0.00035207i,-0.00027304+0.00011191i,-0.00080193-0.00033903i,-0.00066344-0.00066022i
-0.0012818-0.0018102i,-0.0011119-0.0026124i,0.00016285-0.001843i,0.00066693+1.1561e-05i,-0.00010391+0.0002553i,-0.00012115-0.0006351i,0.00069471-0.001452i,0.00066678-0.0014469i,-0.00025986-0.00049247i,-0.00057555+0.00059062i,-0.00074012+0.00017395i,-0.00087636-7.9189e-05i,-0.0010576+0.00081871i,-0.0013301+0.0010139i,-0.00046394+0.00012828i,0.00052374-0.00041536i,0.00073451-0.00010758i,-0.00017708+0.00013106i,-0.00038131+0.00028055i,-0.00034143+0.00064395i,-2.8181e-05+0.00057754i,-0.00025823+0.00064435i,-0.00088464+0.00056601i
-0.00024836-0.000766i,-0.00099062-0.00070173i,-0.0015435-0.00023724i,-0.0016841-0.0001256i,-0.0014977+0.00064751i,-0.0016385-0.00026989i,-0.0017028-0.00080377i,-0.0012584-0.00049828i,-0.00071032-0.00071446i,-0.00053427-0.00025687i,0.00019369-0.00038504i,0.00091032-0.0007067i,0.00084725-0.00025673i,0.00020223+0.00020267i,-0.00028136-5.287e-05i,0.00020995-0.00016916i,0.0006085+0.00020439i,0.00042986+0.00042615i,-0.00014967+7.9013e-05i,-0.00032074-0.0005916i,0.00078862-0.00029847i,0.0010471+0.00026622i,0.00064218+0.00069332i
-0.00026265+0.0012687i,0.00050891+0.00093404i,0.00076158+0.00069715i,0.0010378+0.00056224i,0.0017502+0.00045425i,0.001123-0.00066116i,0.00065422-0.0013809i,0.00073148-0.0014983i,-0.00045172-0.0011331i,-0.0012922-0.00057321i,-0.0009405-0.00055807i,-0.00064825-0.00054161i,-0.00041304-0.00016445i,8.2232e-05+0.00013163i,0.0004318+0.00060566i,0.00062117+0.00068962i,0.00013618+0.00012109i,-0.00087567+0.00025807i,-0.0010353+0.00043229i,-0.00097279-0.00015048i,-0.00063434-0.00021133i,-9.6114e-06+0.00026006i,-0.00054066+0.00096121i
-0.00072835+0.00051787i,-0.00077541+0.001439i,6.1214e-05+0.0013878i,0.0011702+0.00053594i,0.0014784+0.00077214i,0.0016271+0.00015452i,0.0011971-0.00053719i,0.00027553-0.00088896i,-0.0011669-0.0008128i,-0.0015029+0.0003972i,-0.00021154+0.00093579i,-5.0371e-05+0.00081008i,-0.00061766+0.00045795i,-0.00040123+0.00025156i,-0.00054357-0.00011377i,-0.00085001-0.00086937i,-3.6221e-05-0.0010018i,1.6917e-05-0.00058784i,-0.00040934-5.6192e-05i,-0.00031624+2.0714e-05i,0.00038037+0.00021636i,0.0007047+0.00090129i,0.00068305+0.0013049i
0.00049895+0.0014972i,0.00080772+0.00032387i,0.00029821+0.00010931i,0.00030072+0.00037722i,0.00044859+2.3136e-05i,0.00095793-0.00034994i,0.0014728-0.00021528i,0.0015099-0.00050154i,0.00040249-0.0003864i,-0.00044858+0.00052653i,-0.00020762+0.00072915i,-0.00054055+0.0006689i,-0.0012982+0.00071397i,-0.00051889+0.00075733i,0.00044155+0.0004181i,-0.0003076+0.00011681i,-0.00032024-0.00025623i,-3.0032e-06-0.0007908i,0.0002348-0.00011361i,6.5424e-05+0.00026443i,0.000176+9.7282e-05i,0.00036339+0.00078402i,-0.00028675+0.00099232i
-0.0018471-0.0008581i,-0.00016924-0.00096586i,-0.00039422-0.0018037i,-0.00085996-0.0021092i,0.00052225-0.0012547i,0.0015724-0.00023522i,0.0011583+0.00048915i,0.00016671-0.00022222i,-0.0006735-0.0011927i,-0.00047939-0.00038057i,-0.00019191+0.00061167i,-0.00078701+0.00032066i,-0.00055551+0.00038565i,0.00065187+0.00051975i,0.00052433-0.00010696i,5.5381e-05-0.00014637i,7.6283e-05+0.00046158i,0.00024082+0.00076178i,0.00040649+0.00041059i,6.905e-05+0.0003522i,1.6021e-06+0.00061839i,0.00040655-7.0494e-05i,0.00077724-0.00046235i
0.00055424-0.00032903i,0.0003395-0.00023691i,-0.0007404+0.00095483i,-0.00038243+0.0017851i,0.0012716+0.00086377i,0.0013481-0.00069896i,0.001399-0.0013183i,0.0011312-0.0014315i,-0.00019058-0.0011358i,-0.00038328-0.00094114i,0.00046072-0.00081679i,0.00045766-0.00016722i,-0.0005266+0.00025604i,-0.0011463-0.0002287i,-0.00023123-0.0006813i,0.00012905+0.00014877i,0.00011738+0.00079231i,0.0002887+0.00027984i,0.00032745-0.00073726i,0.00018613-0.00060498i,-0.00017546-0.0001188i,-0.00018883+0.00070391i,-0.00027555+0.0015994i
0.0001337+0.0022947i,0.0010376+0.0019667i,0.0027354+0.0014119i,0.0027324+0.00016604i,0.0014402-0.0010661i,0.00087215-0.0013004i,0.0012366-0.0010828i,0.0014978-0.00063907i,9.8086e-05+0.00020236i,-0.0014852+5.6752e-05i,-0.00093518-0.00074257i,-0.00036371-0.00088146i,-0.00022504+0.00021445i,8.6872e-05+0.00096249i,-0.00036603-8.873e-05i,-0.00042323-0.00075028i,0.00030096-0.00077318i,0.00027647-0.00084074i,6.3687e-05-0.00075187i,0.00013857-0.00069509i,-0.00025826-0.00092522i,-0.00089139-0.00050867i,-0.00062107+0.00011958i
