-2.6972e-05-0.0066859i,0.0035439-0.0066661i,0.0050436-0.0059528i,0.0040127-0.0061259i,0.0015283-0.0053591i,-0.00061039-0.0027867i,-0.00088153-0.00081973i,-0.0011942+5.2256e-05i,-0.00090575+0.0011812i,0.000248+0.001018i,0.0012035-0.00020195i,0.00082265-0.00070614i,-0.00053032+0.00036701i,-0.0015638+0.0018709i,-0.0011421+0.0019391i,0.00011828+0.0010721i,0.00055033+0.0012975i,2.6092e-05+0.00086182i,-0.00064536+0.00021229i,-0.00088429+0.00059702i,-0.0002762+0.0002691i,-0.00032773-8.0115e-05i,-0.0003746+0.00051685i
-0.0047487-0.0032719i,-0.0028555-0.0070872i,-0.00097308-0.0059426i,-0.00072632-0.0026593i,-0.0017996-0.00064568i,-0.0025611-0.00042454i,-0.0013481-0.00043278i,-0.0010471+7.7201e-05i,-0.001018+0.00054534i,0.00032384-0.00020971i,0.0011965-0.0013924i,0.00092271-0.0013867i,0.00081264+7.386e-05i,0.00036632+0.001643i,-4.9464e-05+0.0013336i,-0.00058171+0.00029504i,-0.000534+4.7342e-05i,-0.00079607+0.00040703i,-0.0010399+0.00065324i,-0.00088511+0.0011351i,-0.00059396+0.0013899i,0.0001727+0.00035516i,0.000724-0.0002817i
-0.0071031+0.0067962i,-0.0087986+0.0043817i,-0.0060597+0.0028271i,-0.0038645+0.0016094i,-0.0030459+0.00085136i,-0.0029338+0.00077252i,-0.0025106+0.00086395i,-0.0017388+0.0013538i,-0.00076437+0.0013889i,3.9482e-05-0.00030457i,0.00052403-0.0014819i,0.00066063-0.0012073i,0.00096607-0.00096832i,0.0012179-0.0013194i,0.00085608-0.001237i,9.5617e-05-0.00054615i,-0.00033474-1.218e-05i,-0.00086599-4.0592e-05i,-0.00091059-0.00081977i,-0.00018321-0.0010389i,0.00041187-8.2355e-05i,0.00093422+0.00053723i,0.00067513+0.00021778i
-0.0020761+0.011365i,-0.0056854+0.011151i,-0.0052371+0.007358i,-0.0026178+0.0038825i,-0.00084362+0.0023672i,-0.00026531+0.0011903i,-0.00054614+0.0003702i,-0.00071066+0.00069617i,-0.00029731+0.00090204i,-0.00047863-0.00055708i,-0.00098588-0.0009416i,-0.00023553-0.00082864i,0.00044787-0.0014803i,-0.00029164-0.0023983i,-0.00011425-0.0027877i,0.00060248-0.0017075i,-0.00016827-0.00056662i,-0.0004408-0.00048405i,-0.00016242+4.8588e-05i,-1.3005e-05+0.00022817i,0.0005913-0.00027874i,0.0005607-0.00014835i,0.00023222+0.00081494i
0.0059654+0.0079788i,0.0045943+0.011i,0.0031908+0.009801i,0.0023494+0.0071073i,0.0014808+0.0049467i,0.0012506+0.0034302i,0.00092502+0.0020079i,-0.00067942+0.0011532i,-0.0021798+0.00016402i,-0.0022036-0.00028418i,-0.0019233+0.00029195i,-0.00088912+0.0001316i,-0.00070244-0.0010733i,-0.0015856-0.0017482i,-0.001294-0.0011455i,-0.00071272+0.00011928i,-2.9972e-05+3.3402e-05i,0.00036259-0.00050681i,-9.9874e-06-0.00021344i,-0.00023859+0.00014908i,-9.7778e-05+0.00028686i,0.00022648-9.9659e-05i,-0.00036699-1.6582e-06i
0.0098505-0.0053128i,0.010967+0.00079213i,0.0073608+0.0040668i,0.0045179+0.0033807i,0.0022996+0.0014751i,0.00042077+0.00012405i,-0.00019681+6.8638e-06i,-0.0001743-0.00040202i,-0.0012642-0.0002727i,-0.001428+0.0010895i,0.00026229+0.0018243i,0.00045894+0.0014315i,-0.0009755+0.00086809i,-0.0022124+0.00039748i,-0.0016927-4.5318e-05i,-0.00060276-0.0004424i,-5.864e-05-0.00036879i,0.00033023-0.00057635i,0.0003412-0.00055611i,-0.00016488+0.00011019i,-0.00072071+0.00044602i,-0.00090717-0.00029942i,-0.0010964-0.00040619i
0.003437-0.011405i,0.0079946-0.0098229i,0.0074897-0.0064175i,0.00499-0.0046547i,0.0026346-0.0029245i,0.00076792-0.00075433i,-0.00014072+2.3411e-05i,-9.0567e-05+6.1127e-05i,-0.00053937+0.00055276i,-0.00020631+0.001062i,0.00092852+0.00069437i,0.0006857+0.00037151i,7.7401e-05+0.0019457i,-0.00013271+0.0032021i,0.00018192+0.0026133i,0.00054736+0.0016339i,0.00025153+0.0012947i,-0.00022646+1.9043e-06i,-0.0005333-0.00085866i,-0.00081697+0.00048679i,-0.00086073+0.00032264i,-0.00029569-0.00010367i,-0.00031197+0.00067321i
-0.010292-0.0059787i,-0.0074451-0.0090926i,-0.0035807-0.007129i,-0.0019866-0.0040232i,-0.0013131-0.0024255i,-0.0014614-0.0018542i,-0.0012321-0.0014429i,-0.00088102-0.00078318i,0.00036267+0.00045499i,0.0019258+0.0011157i,0.0017576+0.00031306i,0.0013094+0.00027764i,0.0018236+0.00094963i,0.0023065+0.0013055i,0.0018015+0.00038164i,0.00092155-0.0008014i,0.0002468-0.00010619i,-0.00043101+0.00046313i,-0.00032295+0.00064314i,-6.5413e-05+0.00058312i,6.1147e-06+0.0014193i,-0.00071661+0.0018691i,-0.00058748+0.0012435i
-0.015286+0.0063099i,-0.015165+0.0017327i,-0.010476-0.001418i,-0.0067272-0.0025265i,-0.0045938-0.0019538i,-0.0024425-0.00070903i,-0.0012268-0.00055581i,-0.001143-0.001171i,-0.00025477-0.00079784i,0.0014028-0.00064773i,0.0017295-0.00094286i,0.0010765-0.0010172i,0.0014954-0.00096961i,0.0020632-0.00095887i,0.0013684-0.00082425i,0.00020159-0.00057766i,-0.00081567-0.00065222i,-0.00077429-0.00041535i,0.00014248+0.0003992i,0.00035862+0.00041574i,0.00046778-0.00014659i,0.0010708-0.00010128i,0.00092554+2.0029e-05i
-0.0040056+0.014133i,-0.0088866+0.011727i,-0.0081472+0.0080268i,-0.0065048+0.0054196i,-0.0047701+0.003302i,-0.002119+0.0017242i,-0.0013048+0.0011395i,-0.00068767+0.0015934i,0.00053866+0.0012638i,0.000499+0.0001384i,-6.192e-05-0.00054947i,7.3221e-05-0.00076667i,-0.00010745-0.0014675i,-0.00067912-0.0030261i,-0.0011748-0.0030383i,-0.0012837-0.001445i,-0.0006379-0.00047189i,0.00049094+0.00045814i,0.0010772+0.0006226i,0.00039427+0.00026255i,-0.00014541-7.3467e-05i,-8.0262e-07-0.00040937i,0.00021501-0.0005308i
