0.0016597+0.0029531i,0.00032037+0.0017275i,-0.0017185-1.1922e-05i,-0.0021126-0.00019318i,-0.0024432-0.00016205i,-0.0033762+0.001553i,-0.0022707+0.0026704i,0.00010994+0.002201i,0.0010515+0.0011111i,0.0004761-0.00033326i,-0.00032764-0.00017846i,-0.0009197+0.00070705i,-0.0011222+0.0014216i,-0.001032+0.001331i,-0.0010134+0.00053095i,-0.0013048+0.00048105i,-0.0015648+0.0004721i,-0.00063604+0.00089565i,0.00060329+0.00093378i,0.00053481+0.0004086i,0.00010146-0.00027664i,0.00021587-0.00079844i,-0.00037279-0.0010951i
-0.00186+0.002943i,-0.0026397+0.0021983i,-0.0025499+0.00072681i,-0.0020649-4.8782e-05i,-0.0012852-0.00055707i,-0.00073714-0.00017921i,-0.00026598+0.00052472i,0.0003949+8.3763e-05i,0.00030028-6.3751e-05i,-0.00054932+0.00019215i,-0.00072826+0.0002288i,-0.00031381-0.0001251i,-0.00056754-0.00041034i,-0.00083302-0.00047853i,0.00026968-0.00076454i,0.00052527-0.00082718i,-0.0006837-0.00060068i,-0.00077444-0.00055387i,-0.00014483-0.00078043i,-0.00018074-0.00021653i,-4.7426e-05+0.00031739i,-0.00045161+2.582e-05i,-0.00071108+3.5545e-05i
-0.0033918+0.0043085i,-0.0048705+0.0051745i,-0.0046846+0.0051904i,-0.0022634+0.0031371i,0.00011106+0.00084293i,-0.00017408-0.00075102i,-0.0005408-0.0012381i,0.00033288-0.0009746i,0.0005758-0.00091777i,0.00028005-0.0008141i,7.7738e-05-0.00014019i,-0.0004596+8.2324e-05i,-0.00053912-0.00042048i,-0.00058788-0.00019826i,-0.00055905-3.2967e-05i,-0.00045042-0.00034549i,-0.0010915-0.0001428i,-0.0010605+2.3564e-05i,-0.00096313-0.00017889i,-0.0004028-0.00026471i,-0.00014564+0.00043976i,-0.00055934+0.00096482i,-0.00043708+0.00048267i
-0.0017018+0.0032384i,-0.0031665+0.0029544i,-0.0033781+0.0014019i,-0.0011203+6.0648e-05i,-0.00010937-0.00031917i,-0.0013715-0.00073506i,-0.0023667-0.0011131i,-0.0016799-0.00065533i,-0.00095839-0.00032535i,-0.00070154-0.00050862i,-3.155e-05-0.00057459i,0.00040018-0.00051288i,8.2175e-06-0.00040347i,-0.00061242-0.00077537i,-0.0015213-0.0013686i,-0.001481-0.0016789i,7.7064e-05-0.0019362i,0.0011078-0.00091381i,4.7284e-05+0.00034397i,-0.0008641+0.00041728i,-0.00077186-0.00018898i,-0.00060018-0.00060353i,0.00044477+0.00043627i
-0.0023478+0.0020545i,-0.002978+0.0023181i,-0.002629+0.0034974i,0.00023829+0.0028164i,0.0016572+0.0009547i,0.00035028-0.00048662i,-4.1361e-05-0.00058007i,-0.00035081-0.00032907i,-0.00071143-0.00041857i,-0.0006836+0.00037216i,-0.0010282+0.00046344i,-0.00065046-0.00044217i,0.00052692-0.00058505i,0.00067982-0.000555i,0.00066567-0.00073268i,0.00055801-0.00068727i,0.00017152-0.0012667i,0.00032337-0.0010154i,-0.00012928+0.00017915i,-0.00064872+0.00017255i,-0.00043118-0.00032008i,-0.00026653-2.5208e-05i,-0.00049266+0.00090036i
-0.00084078+0.0022755i,-0.0034142+0.00078993i,-0.0046401-2.4351e-05i,-0.0033132+0.00077452i,-0.001286+0.00096029i,-0.00020997+0.00044378i,-0.00027835+0.00014498i,-9.5786e-05+0.00084653i,-0.00028711+0.00048307i,-0.0008457-0.00057667i,-4.6829e-05-0.00055656i,0.00027279-0.00032402i,-0.00069771-0.00070357i,-0.00042276-0.0010951i,0.00027218-6.5708e-05i,0.00028916+0.00096319i,-0.00018161+0.00084738i,-0.0010897+0.0012178i,-0.0010205+0.0011258i,-0.00054901+0.00025323i,-0.00028539+0.00028192i,2.5198e-05+0.00015119i,0.00019307+0.00036264i
-0.00029175+0.0022724i,-0.0016829+0.0015473i,-0.0019821+0.00014933i,-0.0015526+2.6489e-05i,-0.00026492+0.00047369i,0.00065855+0.00063489i,0.00057956-0.00044869i,0.00063716-0.00135i,0.00054091-0.00074478i,-0.00052111+3.5581e-05i,-0.0011936+0.00047957i,-0.0013469+0.00037155i,-0.00076586+0.00079767i,-9.4856e-05+0.0010147i,0.00010343+5.6317e-05i,0.00018682-3.3801e-05i,0.00024676+9.6723e-05i,0.00071497+0.00035245i,0.00064343-7.5034e-05i,0.00041928-0.00028675i,6.0515e-05+0.00037397i,-0.00077673+0.00018299i,-0.0012102-7.8623e-05i
-0.002107+0.0034116i,-0.0042191+0.0023044i,-0.0045166+0.0021243i,-0.0019403+0.0013547i,-0.00017317+0.0005374i,-0.0010415-0.00059432i,-0.0015291-0.00081969i,-0.00077772+0.00026445i,0.00048691-0.00037693i,0.0010244-0.0010217i,0.00064538-0.00050979i,0.00021393-0.00018998i,3.4827e-05+0.00029512i,-0.00041117+0.00019066i,-4.2212e-06-0.00030546i,-0.00024366+0.00019398i,-0.0007948+0.00019446i,-0.0010699-0.00045006i,-0.0010191-0.00056384i,-0.0009958+0.00015005i,-0.00099549+0.00077195i,-0.00023236+0.00013466i,0.00015585-0.00050438i
-0.0001217+0.0023603i,-0.0015061+0.0028721i,-0.0026359+0.0020033i,-0.0018946+0.00039961i,-0.00059007-0.00037223i,0.00031929-0.00037204i,0.00065231-0.00041408i,0.00057224-5.437e-05i,6.0732e-05+0.00088028i,-0.00022284+0.00077161i,-0.00075935-0.00057932i,-0.0011672-0.000934i,-0.00086108+0.00016693i,-0.00077351+0.00062052i,-0.00031706+0.00055228i,-0.0002897-0.00028233i,-0.00034858-0.00080038i,-0.0002368-0.000324i,-0.00032326+0.00025396i,-1.3413e-05+0.00029339i,0.00050844-0.00030283i,0.00039575-0.00053577i,-0.00015114-0.00036836i
-0.00093347+0.001816i,-0.0024402+0.0017871i,-0.0037399+0.0011896i,-0.0033082+0.00036156i,-0.0017529-0.00020885i,0.00015427-0.00051118i,0.0010213-7.29e-05i,4.434e-05+0.00012838i,-0.0010232+0.00054707i,-0.0010288+0.0010351i,-0.00029561+0.0006962i,0.00011316+0.00036417i,-0.00030594+0.00010334i,-0.00070549-1.7151e-05i,-0.00066731+4.3592e-05i,-0.0010757+9.0983e-05i,-0.000885+0.00027296i,-0.00046741+0.00065128i,-0.00034786+0.00081537i,4.1306e-06+0.00018523i,9.0864e-05-8.8677e-05i,0.00029941-0.00033518i,5.3344e-05-0.0013416i
-0.0013104+0.0024906i,-0.0022843+0.0026957i,-0.0031717+0.0018605i,-0.002397+0.0010316i,-0.00082061+0.00057991i,-5.9108e-05+0.00010023i,5.8029e-05-0.00046814i,4.2435e-05-0.00036419i,-0.00068164+0.00012947i,-0.00093515+0.0007039i,-0.00010649+0.0010476i,8.0423e-05+0.00058669i,0.00042101+0.0001891i,0.00084482-0.00026239i,0.00044446-0.001139i,-0.00021894-0.0014335i,-0.00017669-0.00081725i,0.00030275-1.8654e-05i,0.00050148-0.00011927i,0.00037873-0.0003641i,-0.00016931+2.5669e-06i,0.00022758+0.00033254i,0.00066473+0.00030707i
-0.0020524+0.00036985i,-0.0034916+0.00023528i,-0.0051528+0.00098471i,-0.0043237+0.0016125i,-0.0013968+0.001675i,0.00039716+0.00087433i,0.0002658-0.00071233i,-0.00094975-0.0013706i,-0.0019959-0.00080391i,-0.0018311-0.00021407i,-0.0011243+6.8133e-05i,-0.00032381-0.00016986i,6.9363e-05-0.00012072i,-0.00016854+0.0004316i,0.0005216+0.00087831i,0.00048498+0.00083682i,0.00012538+0.00035205i,0.00052315+0.00010061i,-3.2194e-05+0.00025579i,-0.00043648+0.0010946i,-0.0002065+0.0012485i,-0.00054853+0.00053732i,-0.00046409+0.00028032i
-0.001842+0.00237i,-0.0035446+0.001255i,-0.0047357+0.0003863i,-0.0035512+0.00071203i,-0.0023057+0.00093549i,-0.0017047+0.00031538i,-0.00061824-0.00032644i,0.00053615+7.1356e-05i,-0.00040949+0.00026772i,-0.0013403+0.00033498i,-0.0013296+0.00048955i,-0.0011587+0.00083885i,-0.00029565+0.00094231i,5.0023e-05+0.00072228i,-0.00017038+0.00046371i,-0.00061279+0.00034485i,-0.00067377-6.2875e-05i,6.618e-05-0.00037961i,0.00038451+0.00015955i,-8.313e-05+0.00026471i,6.0979e-05-0.00033737i,0.0002699-0.00073279i,-0.00019274+9.9335e-06i
-0.0023111+0.0023639i,-0.0033169+0.0014749i,-0.003274+0.00095171i,-0.0015365+0.00045222i,0.00054202-0.00042168i,0.0014238-0.00094693i,0.0015751-0.00023554i,0.00061219-7.7053e-05i,-0.00034795-0.00025636i,-0.00071456+0.00010489i,-0.0011834+0.00013157i,-0.00033876-0.00019114i,0.00077423-0.00018567i,3.6304e-05-7.2906e-05i,-0.00024008-0.0001833i,0.00028807-0.0001705i,0.00043138+0.00041261i,-0.00022868+0.00041533i,-0.00061693-0.00023739i,-0.00024977-0.00058912i,-1.6114e-05-0.00053219i,-0.00013304-0.00064903i,-4.8109e-05-0.0011845i
-0.0029177+0.0023474i,-0.0031044+0.0036808i,-0.0036196+0.0036336i,-0.0022592+0.0020814i,-0.00022298+0.0010191i,0.00020393-0.00043444i,-0.00069203-0.001739i,-0.00081088-0.0010541i,-0.00045593-8.0458e-05i,-0.00032073-0.000109i,-2.7219e-05-0.00010967i,0.00023395-0.00035445i,-0.00041195-0.0013445i,-0.00063861-0.0016921i,-0.0003399-0.00064161i,-0.00040614-0.00048115i,-0.00069815-0.00037036i,-0.00069069+0.00010052i,-0.00028563-0.00025583i,-0.00048428-0.00085036i,-9.9148e-05-0.00046949i,0.00092672-0.00010636i,0.0011668-0.00011647i
-0.00049012+0.0015859i,-0.0022704+0.0011455i,-0.0030587+4.4764e-05i,-0.0021826+0.00027882i,-0.00076449+0.00076543i,0.00019622+0.00013541i,4.3907e-05-0.00024638i,-0.00068769-0.0011194i,-0.0010293-0.00087162i,-0.0011695+0.00019757i,-0.00060108+0.00023055i,-0.00045884-0.00011897i,-2.8375e-05+0.00018505i,0.00071756+0.0003056i,0.00071389+5.8744e-05i,-0.00020682-0.00027915i,-0.00091699+5.7364e-05i,-0.00038884+0.00055223i,0.00098429+0.00044582i,0.0012081+0.00040231i,0.00043947+0.00022637i,-0.00010939-0.00024571i,-0.00034907-1.0559e-05i
0.00017955+0.0027506i,-0.0017473+0.0019478i,-0.0027901+0.00068348i,-0.0020736+0.00020925i,-0.00088204+0.00058097i,-0.00059973+0.00078386i,-0.00075513-0.00045634i,-0.00084225-0.0011212i,-0.0013017-0.00083684i,-0.0014202-0.00091499i,-0.0010353-0.00070911i,-0.00040524-0.00036147i,-0.00020559-0.00015571i,-0.00050973+0.00016595i,-0.00022771+0.00017206i,-7.5633e-06+0.00025399i,0.00013705+0.00034634i,0.00022689-2.9408e-06i,0.00053427+0.00066892i,0.0010849+0.0010842i,0.0010192+0.00019011i,0.00081263-0.00047541i,0.00066995-4.7308e-05i
-0.00020085+0.0023948i,-0.0019763+0.00028579i,-0.0023811-0.0001287i,-0.0025605+0.0010642i,-0.0021884+0.0008867i,-0.0010937+0.00076741i,-0.00084822+0.00070068i,0.00024313+0.00091005i,0.0013661+0.00089579i,0.00036193+0.00059887i,-0.00060936+0.0003875i,-0.00046352-2.8969e-05i,-4.4863e-05+0.00025909i,0.00016442+0.0006351i,-0.00039777+0.0003839i,-0.00074072+0.00023147i,-0.00018118+0.00034321i,7.9638e-05+0.00051765i,0.0002185+0.00087574i,0.00052647+0.00045812i,0.00055692-3.0319e-06i,0.00054764+0.00029867i,0.00059545+0.00073202i
-0.0024539+7.1966e-05i,-0.0044138-0.00033181i,-0.0061091-0.00013388i,-0.0052125+0.00093019i,-0.0032292+0.0011352i,-0.0014145+0.00061492i,0.00028651+0.00022237i,0.0012387+0.00016602i,0.0011915+6.7891e-06i,0.00075796-0.00012063i,-0.00023499-0.00086791i,-0.0011915-0.00064246i,-0.00080076+0.0001241i,0.00011791+0.00016596i,4.4191e-05+0.00025269i,-0.00055149+0.00039765i,-0.00041598+8.0065e-05i,-0.00022702-0.00023386i,2.0955e-05-0.0002842i,0.00063285-6.579e-05i,0.00091333+0.00031949i,0.00047339-0.00022697i,-6.1484e-05-0.00043161i
-0.00099879+0.0013415i,-0.0021671+0.0016492i,-0.0029-0.00052202i,-0.0019811-0.0013125i,-0.00098145-0.0010445i,-0.00014917-0.00090256i,-0.00021847-0.00076425i,-0.00018864-0.00094104i,6.9529e-05-0.00030907i,-0.00015526-0.00036546i,-0.00055524-0.00065227i,-0.00072661+7.1759e-05i,-0.0005905-7.3358e-05i,5.6709e-05-0.00019267i,-4.9183e-05-0.00013893i,-0.00011539+9.7179e-05i,0.000283+0.00077895i,-0.00017793+0.00042528i,-0.00037739+0.00011415i,-0.00037207-4.4132e-05i,-0.00047946-0.00061334i,-0.00011593-0.00074241i,-0.00066005+0.00018835i
-0.0012115+0.002574i,-0.0026551+0.0025422i,-0.0027122+0.0014248i,-0.0020408+0.00090621i,-0.0013377+0.0007097i,-0.001068-0.00011534i,-0.00086748-0.00091423i,-0.00044718-0.001027i,-0.00081083-0.0010707i,-0.001337-0.00039539i,-0.00078114+0.00055235i,-0.00026127+0.00015874i,-0.0002832-0.00060956i,-0.0011231-0.00058471i,-0.00070652-2.5513e-05i,-0.00025592+0.0005729i,-0.0010132+0.00073002i,-0.00071698+5.101e-05i,-0.00035887-0.00061719i,-7.3032e-05+0.00011897i,4.4201e-05+0.00044832i,4.0726e-05-5.0099e-05i,-0.00016128-0.00088298i
-0.00059451+0.0025183i,-0.0031176+0.0023687i,-0.0042764+0.0013544i,-0.0024221+0.00025616i,-0.0007803-0.0001524i,-0.00090237-0.00049672i,-0.0004033-0.0010971i,-0.00057455-0.00057443i,-0.00097863-0.00023545i,-0.00027659-0.00045437i,-6.2019e-05-0.00028004i,0.00013787-0.00037656i,0.00071499+0.00014421i,0.00020135+0.00079i,0.0002436-6.0027e-05i,-6.1796e-05-0.00045974i,-0.00066135+0.00014274i,-8.965e-05+0.00051197i,0.00028007+0.00043663i,0.00017412+0.00018683i,0.00017359-0.00012118i,-0.00027511-0.00081259i,-0.00097429-0.0011862i
0.00078971+0.0034801i,-1.1828e-05+0.0022693i,-0.0013419+0.0013721i,-0.0017831+0.00029941i,-0.0017496-0.00084617i,-0.0011978-0.0014912i,-0.0010577-0.001104i,-0.00070721-0.00079445i,0.00048873-0.00057743i,0.00068355-0.00052729i,-0.00036899-0.00025625i,-0.0016225-6.7153e-05i,-0.0016843+7.9691e-06i,-0.00080777+8.8742e-05i,-0.0003037+0.00032889i,-0.00011415-3.0127e-05i,-2.715e-06-0.00073826i,-0.0003183-0.00049324i,-0.00072492-0.00050566i,-0.0010533-0.00033144i,-0.0011709+2.0483e-05i,-0.00022819-0.00055691i,-0.00010639-0.00047536i
0.00016907+0.0021636i,-0.0010578+0.0015247i,-0.001865-0.0005302i,-0.00092425-0.0014079i,-0.00069331-0.0016988i,-0.00075252-0.00077193i,-0.00027121+0.00010915i,-0.00060239+0.00010351i,-0.00049072-0.00075738i,-0.00045099-0.0013659i,-0.0010873-0.00095826i,-0.0012206+0.00023299i,-0.0008989+0.00101i,-0.0004076+0.0011082i,0.00029208+0.0013127i,0.00063287+0.00098003i,0.00041535+0.00042215i,0.00055407-0.00013491i,0.00085141-0.00026768i,0.00041603-0.00024641i,0.00033925-0.0011564i,0.00029881-0.0017889i,-0.00032499-0.00098749i
-0.002142+0.0025379i,-0.0034273+0.00204i,-0.0027266+0.0018905i,-0.0014154+0.0016629i,-0.0010118+0.0007121i,-0.0015579+0.00049907i,-0.0020237+0.00033822i,-0.00064963+0.00024787i,0.00013029+0.00087996i,-0.00033213+0.00079351i,-0.00053932+0.00046214i,-0.00022014+0.00058454i,-0.00067841+0.00081495i,-0.0010104+0.00046769i,-0.00063761-0.00043901i,-0.00056929-0.0010943i,-0.00024127-0.0007536i,0.00026653+0.00034152i,0.0002296+0.0011288i,0.00064468+0.0010327i,0.00090999+0.00033309i,0.00013332-0.00010814i,-0.00066228-0.00077802i
-0.0032974+0.0014205i,-0.0038498+0.001221i,-0.0042285+0.00079072i,-0.0036464+0.00061352i,-0.0017929+0.00034219i,0.00013017+6.4241e-05i,0.00088569-0.00013009i,0.00089908-0.00059346i,0.00052344-0.00020152i,0.00041039-0.00039277i,0.00073838-0.001118i,0.00032049-0.0012617i,-0.00078406-0.001596i,-0.0012247-0.0014441i,-0.00076697-0.0011576i,-0.0002739-0.0011495i,0.00029699-0.00075685i,0.00066037-0.00063984i,0.0006034-0.00089262i,0.00081491-0.0006588i,0.00063454-5.1663e-05i,-0.00016804+0.00016284i,-0.00034001+0.00017025i
-0.0012618+0.0036426i,-0.00070488+0.0029665i,-1.2881e-07+0.0022i,0.0010188+0.0014159i,0.00080628+0.00031562i,0.00032125-0.0016298i,0.00013701-0.0023364i,-0.00013448-0.00078085i,-6.1704e-05-5.6866e-05i,-6.5458e-05-0.00023352i,-0.00053124-0.00033042i,-0.00030892-0.00036628i,-0.00070327-0.00032482i,-0.00094785-0.0010073i,-0.00045907-0.0010046i,-0.00018173-0.00051009i,0.00016735+0.00059462i,-0.00017318+0.00099357i,-0.00097458+0.00072372i,-0.001101+9.5568e-05i,-0.00017205-4.8748e-05i,0.00057519-4.9182e-05i,0.00028926-0.00029106i
-0.0030468+0.0017752i,-0.0045735+0.0023423i,-0.0053246+0.003323i,-0.0037173+0.0029514i,-0.00058226+0.00081716i,0.0008985-0.00089183i,0.00049814-0.0010091i,3.9427e-06-0.00078171i,0.00016051-0.0014648i,-0.00030499-0.0017205i,-0.00079566-0.00098067i,-0.00020604+9.154e-05i,0.0007036+0.00070527i,0.0011515+0.00031152i,0.0015368-0.00053271i,0.0018348-0.00061367i,0.0011337+0.00032189i,0.00053636+0.001092i,-0.00020328+0.0011297i,-0.00020056+0.00061353i,0.00035676+0.00027634i,0.0002426+8.0073e-05i,0.00040981-0.00041833i
-0.0042517+0.0023858i,-0.0061107+0.0018833i,-0.0055935+0.0017751i,-0.0020764+0.001443i,0.00032221+0.00010139i,-4.375e-05-0.0012655i,-0.0011225-0.0019461i,-0.001034-0.0013835i,-0.0012357+0.00014589i,-0.00079662-3.7175e-05i,0.00044692-0.0010301i,0.00049565-0.00062214i,0.00067031-7.154e-05i,0.0013381-0.00085332i,0.00091565-0.0017582i,0.00065925-0.0017795i,0.00057571-0.0010609i,0.00026432-0.00012267i,0.00011873-0.00040749i,-0.00020534-0.00064336i,-0.0010812+7.5274e-05i,-0.0018093+0.00047491i,-0.0010501+0.00035522i
-0.0037252+0.00085631i,-0.0043649-0.00042019i,-0.0036207-0.00090737i,-0.0026338-0.00058922i,-0.001584+0.00043965i,-0.00070299+0.00071699i,-0.00086728-0.0002289i,-0.00096474-0.00052891i,-0.00029731-1.9992e-05i,0.00037895+4.6422e-06i,0.00026569-0.0010416i,-3.5057e-05-0.0015078i,-0.00023259-0.00077235i,4.8602e-05-0.00070233i,0.0012108-0.0011012i,0.0015849-0.00064007i,0.00015389+0.00024012i,-0.00091341+0.00022838i,-0.00049846-0.0005635i,-0.00029575-0.000684i,-0.00079198+6.5827e-05i,-0.0011291+0.00072936i,-0.0014213+0.00029632i
-0.001853+0.0030249i,-0.0016143+0.0030809i,-0.0024327+0.0026599i,-0.001581+0.0016592i,0.00025678+0.00069382i,0.00042935-0.00039243i,0.00032848-0.0011653i,0.00069521-0.0013528i,0.0001493-0.00074619i,-0.0011612-0.0005039i,-0.0016705-0.00056919i,-0.0011008-0.00048386i,-0.00065177+0.00067427i,-0.000301+0.00046632i,0.00065904-0.001032i,0.0011532-0.00076019i,0.0010536+0.00074765i,0.00026604+0.0015787i,-0.00083079+0.0014149i,-0.0012659+0.00022452i,-0.0011773-0.00090886i,-0.0012215-0.00062596i,-0.001031-0.00044591i
-0.00278+0.0034124i,-0.0041805+0.003955i,-0.0055316+0.0037102i,-0.0039297+0.0031039i,-0.0014516+0.0017187i,-0.0006916-7.341e-05i,-0.00083159-0.0011131i,-0.00086341-0.00082516i,-0.00062368+7.6199e-05i,-0.00066618-0.00041163i,-0.0004746-0.0015626i,-0.00077383-0.0015663i,-0.00074017-0.0012062i,0.0004693-0.00094343i,0.00091451-0.0010342i,0.00059852-0.00086034i,0.00039686-0.00095196i,0.00095414-0.0010403i,0.00092706-0.00033952i,-0.00039127+0.00068298i,-0.0007727+0.00045554i,-0.00095504-0.00073958i,-0.0013656-0.00063898i
-0.0024887+0.0040134i,-0.0037801+0.0029025i,-0.0041092+0.00071828i,-0.0031235-0.00019337i,-0.0010238+1.2908e-05i,-3.4824e-05-0.00065363i,-0.00045643-0.0016053i,-0.00086561-0.0014095i,-0.00042083-0.00025404i,0.00020288-0.00029019i,0.00032069-0.001034i,-4.9686e-05-0.0010514i,-0.00049989-0.00076156i,-0.00065395-0.00088904i,0.00013862-0.00085638i,0.00025372-0.00023308i,-0.00040223-0.00025232i,-0.00091028-0.00045295i,-0.00088143-0.00022011i,-0.0011131-0.00017893i,-0.0013719-0.00021081i,-0.00075261-0.0005638i,-0.0004501-0.00041312i
-0.002685+0.0011856i,-0.004278+0.0010578i,-0.0034193+0.001648i,-0.0019053+0.0021826i,-0.00088303+0.0019826i,-0.00051536+0.00055442i,-0.00069623-0.00095108i,-0.00099754-0.0007338i,-0.0010706+0.00019561i,-0.00075718-5.699e-06i,-0.0010508-0.0006296i,-0.0013949-0.00063731i,-0.0012334-0.00086712i,-0.00084634-0.0013195i,0.00026566-0.00068186i,0.00089419+0.00042835i,0.0008504+0.0010401i,0.00085104+0.00022017i,0.00054211-0.00028617i,-0.00066805+0.00014793i,-0.0013585-1.1367e-05i,-0.00082419-0.00028471i,-0.00093036-0.00092183i
0.00019887+0.0013889i,-0.0016743+0.00039013i,-0.0034193+0.00070346i,-0.0026687+0.0008478i,-0.00051728+0.00036788i,0.0006799+0.00038074i,0.00073872+0.00031572i,0.00042992+0.00019457i,0.00039719+0.00036103i,-0.00045514+0.00058847i,-0.0014182+0.00085081i,-0.00095947+0.00066197i,-0.00055774+0.00039799i,4.1062e-05-0.00017142i,6.5126e-05-0.0012612i,-0.00014159-0.0014326i,0.00018403-0.0002946i,-9.993e-05+0.00082929i,-0.00078309+0.000763i,-0.0012415+0.00046296i,-0.0012033+0.00033482i,-0.00036573-0.00060372i,0.00024139-0.0010969i
-0.0037007+0.0032145i,-0.0050678+0.0015306i,-0.0056645+0.0012049i,-0.003596+0.0023865i,-0.0010482+0.0019075i,0.00079316+0.0003624i,0.00034525-0.00028748i,-0.00094161-0.00076563i,-0.0010345-0.00026855i,-0.00081075+0.00097778i,-0.00022782+0.00092133i,0.00056653+0.00099919i,0.00072945+0.001355i,0.00047583+0.00048817i,0.00055957-0.0013384i,0.00094366-0.0016593i,0.00071641-0.00040605i,0.00061653+0.0002981i,0.00088489+0.00038907i,0.00055688-0.00027235i,0.00020963-0.00054592i,-0.00026444+0.00047729i,-0.00066492+0.00058709i
-0.0027148+0.0019081i,-0.0022416+0.0015024i,-0.0014283+0.00048032i,-0.000793-0.00049703i,-0.00026108-0.00099829i,-0.00052661-0.0016191i,-0.00088808-0.0013644i,-0.00076222-0.00043895i,-0.0010877-8.4498e-05i,-0.0010413-0.00036419i,-0.00019077-0.00084107i,0.00056555-0.0014084i,4.9173e-06-0.0021428i,-0.00095433-0.0028241i,-0.00029943-0.0020879i,0.00029615-0.00107i,-3.1568e-05-0.00027492i,-0.00043855-0.0004181i,-0.00069526-0.00031018i,-0.0004437+0.00062718i,-0.00038216+0.00045372i,-0.00067012-0.00019264i,-0.00025672+0.00047634i
-0.00085518+0.0020474i,-0.0033729+0.0016952i,-0.0039523+0.0010077i,-0.0028434+0.00033297i,-0.0023018-0.00062318i,-0.0012363-0.00063552i,-0.00011078-0.00070248i,-0.00048974-0.00067851i,-0.00080423-0.00021443i,-0.00045216-0.00063579i,-0.001198-0.0012048i,-0.0019329-0.00042813i,-0.0021154+0.00037052i,-0.0015099+0.00026514i,-0.00085483-0.00057039i,-0.00050868-0.0015283i,-0.00029386-0.0017838i,4.8886e-05-0.0011383i,0.00041364+0.00011617i,-0.00047493+0.00068036i,-0.00083431+0.00053626i,-0.0001029+0.00034385i,-0.00097528-2.6877e-05i
-0.0012915+0.0019568i,-0.0049262+0.0011839i,-0.0070125+0.00083684i,-0.0050017+0.0010854i,-0.0013793+0.00028056i,2.6225e-05-0.00078732i,0.00034505-0.00095755i,0.00013827-0.00063051i,-0.00022843+0.00025577i,-0.00040793+0.00070641i,-0.00074201+9.2292e-05i,-0.00066735+0.00046322i,-0.00048908+0.0011042i,-0.00084626+0.0013625i,-0.00048362+0.0008449i,0.00083175-4.7192e-05i,0.00084201-0.00069065i,4.0544e-05-0.0001566i,-0.00055734+0.00029185i,-0.0001904-1.7437e-06i,7.8377e-05+0.00020479i,-0.00098432+0.00094834i,-0.0011133+0.00073772i
-0.0041779+0.0009349i,-0.0059998-0.00021692i,-0.0073217-0.00090904i,-0.0048206+0.00061513i,-0.0016681+0.0018786i,-0.00094211+0.0012844i,-0.00053269+0.00031568i,-0.00033379-0.00023958i,-0.00062754+9.0056e-05i,7.1621e-05+0.00044065i,-0.00015832+0.00036726i,-3.0754e-05+0.000408i,0.0008565-0.00017921i,0.00034985-0.00067798i,0.00016998-0.00059733i,0.000656-0.0003058i,0.0006692+2.973e-05i,3.0532e-06-0.00037323i,-0.00049197-0.00071377i,-0.00073061-0.00071877i,-0.0012258-0.00052503i,-0.00049504+0.00019786i,-3.9107e-05+0.0003061i
-0.0022873+0.0020406i,-0.0032131+0.001371i,-0.0022841+0.0016998i,-0.0010011+0.00065512i,-0.00037787-0.00060952i,-0.00044368-0.0010325i,-0.00073778-0.001485i,-0.0012074-0.001171i,-0.0012269-0.0011962i,-0.00086559-0.0012246i,-0.00068753-0.0010558i,-0.00033635-0.00097335i,-0.00077049-0.00063577i,-0.0004912-0.00080872i,9.2906e-05-0.00089819i,0.00039146-0.0015779i,0.00098179-0.00157i,0.0010554-0.0010207i,0.00060725-0.00084249i,-0.0003505-0.00063373i,-0.0012153-0.00074187i,-0.0011218-0.0012804i,-0.00049401-0.00060628i
-0.0011809+0.0033205i,-0.0030563+0.0027491i,-0.0043376+0.0017789i,-0.0032044+0.0012136i,-0.0012809+0.00049183i,-0.00056726-0.0010172i,3.3519e-05-0.0015423i,-7.8356e-05-0.0010129i,-0.00015081-0.00039034i,-0.00093367-0.00043258i,-0.0026505-0.00064497i,-0.0033297-0.001052i,-0.0020141-0.00097465i,-0.00044375+8.2859e-05i,-0.00013305+0.00017298i,0.00048561-0.00077i,0.00056233-0.00083871i,-0.0002399-0.00015257i,-0.00046338+0.00062582i,-0.00051831+0.00050613i,-0.00089475+9.3355e-05i,-0.00067964+0.00025449i,-0.00013789+0.00051375i
-0.001441+0.0029632i,-0.0028+0.0017783i,-0.0032724-0.00052161i,-0.0027696-0.0011788i,-0.0019438-0.00052953i,-0.0015039+0.0002562i,-0.001712+0.00043218i,-0.0014736+0.00052769i,-0.00086717+0.00066108i,-0.00041263+0.00039096i,0.00027773+0.00021356i,0.00018243+0.00041699i,-0.00025476+0.00040744i,-0.00037146+0.00059391i,-0.00037641+0.00054318i,-0.00053004-0.00011803i,-0.0011362-0.00061009i,-0.00071594-0.00085279i,-0.00045421-0.0010882i,-0.0007519-0.00029727i,-0.00048158+0.00017544i,-0.00040641-0.00028498i,-0.00018227-0.00027981i
