-0.0025401+0.00024132i,-0.0021168-0.00016973i,-0.0026092+0.0010311i,-0.0018582+0.0022805i,-0.00052916+0.0026983i,-0.00024801+0.0025312i,-0.00061542+0.0019915i,-0.00043024+0.0017556i,-2.1356e-05+0.0013748i,0.0006302+0.00098099i,0.00059514-0.00024189i,0.00037908-0.0012307i,0.00091332-0.0014057i,0.00064209-0.001346i,-0.0006499-0.00087324i,-0.0014661-0.00017877i,-0.0011729+0.00038134i,-0.0001567+0.00063171i,0.00071621+0.00075989i,0.00049196+0.00060079i,-0.00027713-5.3389e-05i,-0.00024523-0.00035887i,0.0004059-2.3736e-05i
0.0014678-0.00043071i,0.0012101-0.00016046i,0.0010137-0.00035704i,0.00050192+0.0012099i,0.00090909+0.0019732i,0.0012865+0.0011362i,0.0011449-0.00018758i,0.00046723-0.00057581i,-4.1551e-05-0.00015053i,-1.2725e-05+2.7288e-05i,0.00047762+0.00028366i,0.00046542+0.00062525i,-9.7565e-05+0.00076617i,-8.3132e-05+0.001342i,3.5602e-06+0.001129i,6.7998e-05-6.5259e-05i,-0.00019383+2.1562e-05i,-0.00016014+5.3892e-05i,0.00054509+0.00011923i,0.00024574+0.00037459i,-1.0601e-05+9.9704e-05i,0.00078605-0.00036016i,0.0011625+0.00039389i
-7.0035e-05+0.0016584i,-0.00076398+0.001414i,-0.0013459+0.0014074i,-0.00029839+0.0011602i,0.00071053+0.00015924i,0.001394+0.00066377i,0.00043172+0.0015032i,-0.0008102+0.00093829i,-0.0011952+0.00014986i,-0.0005524+7.4353e-06i,0.00047068+0.00053211i,-4.4497e-05+0.00028195i,-0.00052074-0.00015539i,-0.00078661-0.0004183i,-0.0010694-0.00033604i,-0.00096789-0.00047052i,-0.00039475-0.00026663i,0.00052114+0.0003362i,0.00048901-0.00035844i,-0.00010806-0.00109i,-0.00026513-0.00088101i,-8.4383e-05-8.4622e-05i,0.00016264+0.00020131i
0.00075503-0.0001087i,0.00073956-0.00030615i,0.00080508-0.00025955i,0.00034151+0.00035346i,0.00044055+0.00063873i,0.0019778+0.00058193i,0.0023067+0.00025454i,0.001073-0.00026922i,0.00015861-0.00052263i,-0.0004115+0.0001856i,-0.00061719+0.00071321i,8.0895e-05+0.00047774i,0.00019235+0.00023634i,0.00036539+0.00017859i,-6.8324e-05+7.6699e-05i,-0.00075295+0.00051595i,-0.00045464+0.00052303i,0.00022945+0.00061352i,0.00025982+0.0010297i,0.00041967+0.00071312i,5.5196e-05+0.00046235i,-0.00051817-2.1648e-05i,-0.00026999-0.00045735i
0.00072165-0.0013716i,0.00035451-0.0031301i,0.00017414-0.0030726i,-0.0012799-0.0021113i,-0.0017662-0.0015951i,-0.00022819-0.00051557i,0.0006112+2.6229e-05i,0.00076472-0.00012732i,0.00048307-0.00017259i,-0.00068867-6.003e-05i,-0.00079927+0.00018765i,0.00029054-0.00044444i,0.00053917-0.00078449i,6.8782e-05-0.00039128i,8.7954e-05-0.00090852i,1.6231e-05-0.0011364i,-0.0002373-0.00017689i,8.7997e-05+0.00044617i,0.00039196+0.00061946i,7.8347e-05+0.0005984i,-0.00059428+0.00031448i,-0.00068704+0.00022305i,0.00033467+0.00055007i
-0.00088367-0.00061834i,-0.00014175+0.00075495i,4.3687e-05+0.0022499i,0.0003946+0.0031361i,0.00060549+0.0025368i,0.00064653+0.00079623i,0.00037608-0.00026924i,0.00012821-0.00064654i,-0.00023044-2.9559e-05i,-0.00052645+9.5431e-05i,4.5088e-05-0.00016589i,0.00044696-0.00027542i,-0.0002686-0.0009896i,-0.00088087-0.00090368i,-0.00085883-0.00020336i,-0.00026041-0.00015752i,-0.00058539+0.00042674i,-0.0011076+0.00072445i,-3.9017e-05-0.0002529i,-5.5491e-05-0.00065489i,-0.00030255-0.00020317i,-0.00010529-5.6227e-05i,-0.00041167-0.00018623i
0.00015855+0.0015575i,0.00067842+0.0012255i,0.0020131+0.0003783i,0.0024272-0.00015578i,0.0015285-9.207e-05i,0.00097304-0.00017328i,0.0009274+0.00019947i,-2.8475e-05+0.00043275i,-0.0013657-7.3752e-05i,-0.0017537-0.00030088i,-0.0012284+0.00046836i,-0.00059989+0.00070806i,-0.00053101+0.00041396i,0.00015774+8.5966e-05i,0.00053382-0.00050411i,0.00012155-0.00023445i,-0.00019198+0.00052593i,-0.00020007+0.00052774i,0.00011656+0.00020577i,-0.00016685-4.0408e-05i,-0.00045498+0.00015243i,-0.0013694+0.0002082i,-0.0013909-0.00023409i
0.00038246-0.00020689i,-0.0011905-0.00018522i,-0.0018775-0.00064677i,-0.0029159-0.00068979i,-0.0032151-0.0005328i,-0.0012861+0.00014574i,-6.8549e-05+0.0012054i,0.00043879+0.0012056i,0.0001891+0.00084508i,-0.00030516+0.00036407i,-0.00021948+0.0002387i,0.00016665+0.00079501i,-6.2929e-05+0.0011983i,-0.00046963+0.00057262i,-0.00032377+0.00017248i,-0.00067617-0.00026571i,-0.00063788-0.0008578i,0.00025354+8.9166e-05i,0.00041294+0.00033899i,0.00065933+0.00024935i,0.00076507+0.00019348i,0.00047844-0.00054381i,-0.00024362-0.00068636i
0.0013107-2.7403e-05i,0.0022756-0.00096786i,0.0028559-0.00028871i,0.0027177+0.00041174i,0.0021641-0.00042984i,0.00093148-0.001066i,-0.00013498-0.00016117i,-8.3548e-05+0.00061713i,0.00035965+8.6515e-05i,0.00035688-0.00046068i,0.00037577-0.00010189i,0.00017043+0.00039633i,-0.00040047+0.00052883i,-0.00015779+0.00029275i,2.8895e-05+7.9804e-05i,-0.00022175+0.00017616i,-0.00016485+0.00047612i,-0.00013934+0.00088577i,-0.0003931+0.00047061i,-0.00080427+0.00031188i,-0.00053358+0.00036101i,-2.2908e-05-0.00028929i,-0.00023535-0.00053857i
0.00041949-0.00083515i,-0.0012554+0.00019908i,-0.001733-0.00027285i,-0.0011184-0.0010018i,-0.00070831-0.00043563i,0.00011133+0.0010744i,0.00089926+0.00087574i,0.00023562+0.00054548i,-0.0006522+0.00031109i,-0.0002723-0.00069581i,6.143e-05-1.1585e-05i,0.00040529+0.00059635i,0.00063145-0.00037953i,0.00040083-0.00043266i,-0.00037406-0.00073284i,-0.00087648-0.00092817i,-0.00049778+0.00019023i,0.00017597+0.00093525i,0.00042315-6.4338e-05i,0.001067-0.0012236i,0.00059093-0.00086832i,-0.0002576-0.00021765i,-0.000214-0.00022404i
0.00066838-4.8295e-05i,-6.7784e-05-0.00012292i,0.00038073-0.00026399i,0.0015096+2.7221e-05i,0.0020669-0.00029554i,0.0016951-0.00047916i,0.0007915-0.00069805i,0.00015212-0.00032443i,0.00035816+0.00036407i,0.00015211+0.00034161i,-0.00070441+0.00020956i,-0.0013585+0.00027116i,-0.00092636+0.00039335i,-0.00025713+0.00045886i,-0.00046562+0.0004243i,-0.001326+0.00062544i,-0.00074095+0.00092669i,0.00072656+0.00089089i,0.0015815+6.7575e-06i,0.0010374-0.00012256i,-0.00010003+0.00027179i,-0.00071827+0.0003425i,-0.0013917-0.00024418i
-0.0018584+0.0017004i,-0.0020379+0.0035268i,-0.0023196+0.0047655i,-0.0014414+0.0043098i,-0.00047367+0.0031331i,0.00055108+0.0008852i,0.00040426+7.8506e-05i,-0.00073379-0.00042158i,-0.00079578-0.00033001i,-0.00047672+0.000785i,3.8128e-05+0.00093387i,0.0007288+0.00023005i,0.000483-0.00010171i,-0.00019258+0.00038078i,-0.00045161+0.00033296i,1.8238e-06-2.791e-05i,-8.5002e-05+1.9507e-05i,-0.00016139-0.00053114i,0.00022852-0.00052122i,0.00013979-0.00041758i,-0.000414-0.00093244i,-0.00024682-0.00096503i,0.00027478-0.00056418i
-5.3476e-05+0.00086364i,0.0011195-0.00077342i,0.0024515-0.0010933i,0.002481-0.00046205i,0.0022729-0.0003903i,0.002161-0.00064314i,0.0010111-0.00021904i,-3.5201e-05-0.00035426i,-0.00034936-0.0004882i,-0.00048397-0.00012691i,-0.00021557-2.6233e-05i,0.00010237+9.8938e-05i,0.00039318+0.00032037i,-7.5417e-05-0.00014252i,-0.00015473-0.00014831i,-0.00015313-7.1732e-05i,-0.00031163+0.00055482i,-0.00081253+0.001312i,-0.00058394+0.00061114i,-6.2811e-05-7.4741e-05i,-0.00048505-0.00044419i,-0.00080476-0.00063901i,-0.0001443-0.00037751i
-0.00093969-0.0011811i,-0.0015296+0.00029454i,-0.0012825+0.0021115i,-0.00030456+0.0020773i,3.4094e-05+0.0016681i,0.00057719+0.00027874i,0.00074863-3.2806e-05i,-0.00011837+0.00087365i,-0.00080696+0.0017705i,-0.0013027+0.0015085i,-0.0011486+0.00021839i,-0.00036164-0.00058542i,0.00045051-0.00092928i,0.00024726-0.00066688i,-0.00016462-0.00045636i,-0.00012034-0.00058481i,-2.1849e-05-0.000357i,0.00044404-0.00040611i,0.0004879-0.00091649i,-0.00077099+9.2349e-05i,-0.0010548+0.00036284i,-9.8326e-05+0.00010266i,0.00036933+0.00075808i
-0.0016961+0.00093422i,-0.0012449+0.00054233i,-0.001377+0.0017203i,-0.00029909+0.0028636i,0.0013665+0.0024031i,0.0025651+0.0013707i,0.0017164-6.698e-05i,3.9825e-05-0.0010379i,-0.00051827-0.0011819i,-0.0010047-0.00058185i,-0.0012292+0.00021091i,-0.00038132-8.2379e-05i,0.00039745-0.00065962i,0.00014783-0.00045235i,-0.00022574-6.4141e-06i,0.00019449+0.00024276i,0.00011927-0.00023929i,-0.00015496-0.00030846i,0.00048107+0.00035812i,0.00036579+0.00038275i,0.00030056-3.2742e-05i,0.00018995-0.00061334i,0.00011389-0.00033338i
-0.001315+0.00017935i,-0.00093384+0.0013574i,-0.0019611+0.0026216i,-0.0011131+0.0033996i,0.00053923+0.0030021i,0.0015129+0.0017307i,0.0015849+0.00040251i,3.9162e-05-0.00057855i,-0.00076279-0.00071415i,-0.00048021+0.0005794i,-0.00031673+0.001012i,0.00025682+0.00028664i,0.00022416+0.0004663i,0.00022088+0.00041664i,0.00078808+0.00035432i,0.00025797+0.00052776i,-0.00056506+8.9218e-05i,-0.00036133-0.00052539i,0.00016169-0.0004626i,0.00025588-0.0002191i,-0.0002976-0.0001698i,-0.00054209+2.3055e-05i,-0.00013018+0.00068405i
-0.0014617+0.001385i,-0.0011372+0.0016132i,-0.00099622+0.0018736i,0.00039353+0.0020623i,0.0029802+0.0013107i,0.0038455-0.00039215i,0.0024128-0.00078731i,0.0009173-2.738e-05i,0.00056252+0.00071777i,4.7795e-06+0.0010737i,-0.0005727+0.00061101i,-0.00028828+0.0001069i,-4.1181e-05+7.6095e-05i,-0.00038673+0.00022752i,-0.00057334+0.00039131i,-0.00035948+0.00058994i,-0.00038444+0.00085592i,-0.00036426+0.00079576i,-0.00014085-7.9082e-05i,5.4438e-05-0.0003146i,8.4387e-07-0.00058919i,-0.00014011-0.0005961i,-0.00056876+0.00038087i
0.00060797+0.0011419i,0.0004423+0.0017242i,0.0011753+0.0017982i,0.0017671+0.0015079i,0.0021041+0.0011993i,0.0028721+0.00073723i,0.0023358-0.00036812i,0.00043402-0.00014918i,9.5654e-05+0.00084752i,0.00017841+0.00077758i,-6.2101e-06+0.00046868i,-0.00022743+0.00052387i,-0.00070615+0.00039272i,-0.00028545+8.7769e-05i,0.00012775-0.00036057i,-0.00037034-0.00013262i,-0.00067401+0.00089782i,-0.00031461+0.00074812i,0.00031155-5.6507e-05i,0.00092127-0.00010902i,0.00059996+0.00011385i,0.00023956+0.0004761i,-1.8609e-05+8.5357e-05i
5.257e-05-0.001496i,-0.0015105-0.00075422i,-0.0016588-0.00019115i,-0.001552+0.0007763i,-0.00072596+0.00074319i,4.4813e-05+0.00035345i,0.00013589+0.00047164i,0.00032756+0.00037583i,0.00046912+0.00016589i,8.1588e-05-0.00058806i,4.1749e-05-0.00095055i,-0.00041675-7.2765e-05i,-0.00073869+0.00083516i,-0.00040991+0.00064048i,-0.00033678-0.00014524i,-0.00037367+0.00037296i,5.1109e-05+0.00096227i,-0.00016703+0.00072347i,-0.00038881+0.00047969i,0.00033666+0.00022815i,0.00070077+0.00026555i,4.4668e-05+0.00044784i,-0.00030169+0.00042796i
0.000315+0.0019511i,-0.00033246+0.0025635i,-0.00078702+0.0023261i,0.0010607+0.0019563i,0.0028379+0.0014019i,0.0026153+0.00028951i,0.0020064-0.00046324i,0.00092919-0.00076739i,0.00012836-0.00055346i,0.00014474-1.7238e-05i,0.00033529+0.00092851i,7.417e-05+0.00067186i,-0.00031906+0.00083255i,-0.00025824+0.0008748i,0.00076266+0.0003169i,0.0010355-0.00063391i,0.00025165-0.00052656i,-0.00023502+0.00045437i,-0.00046761+8.594e-07i,0.00011889-0.00015552i,0.00043064+0.00010483i,0.00044095-8.7351e-05i,-0.00025615+0.00021853i
0.00071922-0.0013605i,-0.00035461-0.0016344i,-3.7987e-05-0.00074129i,0.00058013-0.00017538i,0.0012623-0.00048434i,0.0011528+7.1857e-05i,0.0005089-0.00069875i,0.00053734-0.0018228i,0.00019588-0.0014441i,-0.00011232-0.00030378i,0.00015889+0.00047055i,-0.00013229+0.00022311i,-0.00028873-0.00033025i,-0.00037928-0.00042145i,-0.00065151-9.8956e-05i,-0.00072281-3.9801e-05i,-0.00053117-0.00057667i,-0.00012782-3.3182e-05i,0.0005717+0.00064196i,0.0011493+0.00019302i,0.0012163-0.00041778i,0.00097051+9.5004e-05i,7.9676e-05+0.00070607i
-0.00039585+0.0011339i,-0.00039933+0.002565i,-0.00030784+0.0024973i,0.00024425+0.002148i,0.00072304+0.0016344i,0.0014872+0.00039404i,0.0017396-9.1564e-05i,0.0007695+0.00017962i,-0.00026384-2.274e-05i,-0.00022332-0.00056778i,0.00056974-0.0006577i,0.00045938-0.00031375i,-7.469e-06+0.00024768i,-0.00073758+0.00012383i,-0.00083814-0.00013289i,-0.00077484-3.2517e-07i,-0.00093332+0.00052961i,-0.0005294+0.0013406i,-0.00021472+0.0010282i,-0.00080673+0.00031928i,-0.001544-0.00012769i,-0.00060472-0.00057947i,0.00031819-0.00034349i
7.3324e-05+0.00045199i,-0.00035083-7.2041e-05i,-0.0007131+0.00091685i,0.0012034+0.0013764i,0.0029027+0.0016292i,0.0021565+0.0011976i,0.00087189-9.2469e-05i,0.00035226+0.00021479i,0.00044163+0.00052541i,0.0006049+0.00035983i,0.00024785+4.8265e-05i,0.00020178-0.00065717i,0.00014093-0.00095667i,-0.00053759-0.0012245i,-0.00042789-0.00038885i,-0.00011244+0.00029281i,-0.0005804+0.00065775i,-0.00051192+0.0011964i,0.00030077+0.0007424i,-0.00044788-0.00020461i,-0.0010244-0.00016978i,-0.00080463+0.0002942i,-8.7668e-05+0.00040914i
0.0016961-0.0010245i,0.00095467-0.0021247i,0.0013288-0.0021605i,0.0026018-0.00055758i,0.0019333-0.00016189i,0.00034794-0.00093628i,0.00016134-0.0010349i,-0.00012532-0.00079125i,-0.00010703-0.00060909i,0.00037841-2.3687e-05i,-0.00049148+0.00059197i,-0.0010868+0.00048616i,-0.00025179+0.0004762i,0.00039306+0.00080124i,0.00055049+0.0004847i,0.000154+7.824e-05i,-0.00034508+0.00043306i,-0.00025738+0.0008607i,-0.00055672+0.0010963i,-0.0004666+0.00079034i,-0.00034408+0.00013686i,-0.00027749-0.00034863i,-7.0623e-05-0.00017459i
-0.0012488+0.00065366i,-0.0013865+0.0013894i,-0.0016645+0.0020646i,-0.0013075+0.0011757i,0.0005615+0.00060717i,0.0014014+0.00053978i,0.0013444+0.00053196i,0.0014077-0.00010021i,0.000889-0.00093983i,0.00011804-0.00032746i,-0.00058972-0.00010213i,-0.00082038+0.00039137i,-0.00083223+0.0010885i,-0.00037299+0.00032282i,0.00011613-0.00064687i,0.00017833-0.00049507i,0.00047303+4.7432e-05i,-1.2586e-07-9.9917e-05i,0.00013601+0.00056004i,-0.00020903+0.001655i,-0.00091211+0.00087553i,-0.0005397-0.00043993i,-0.00015006-0.00088048i
-0.0003908+0.00080356i,-0.00036346+0.00090797i,0.00056836+0.0016979i,0.0014988+0.0019092i,0.0016557+0.00049804i,0.0013343-9.6782e-07i,0.00039703-0.00018696i,-8.4606e-05-0.00023715i,0.00011517+0.00027882i,0.00011958-3.8186e-05i,-0.00029243-0.00043117i,-0.0009586-0.00039607i,-0.0010055-0.00047923i,-0.00048032-0.000306i,0.00041712-0.00046651i,0.0002395-0.00077417i,0.0001141-0.00084028i,0.00054905-0.00046614i,0.00015681-0.00032913i,0.00011288-0.00011453i,0.00011077+0.00024606i,-0.00054249+0.00019647i,-0.00071948+0.00029882i
0.0017461-0.00066565i,0.0016811-0.00072493i,0.00092445-0.0015629i,0.00035159-0.0011099i,0.0010321+0.00033962i,0.0015383+0.00088569i,0.00131+0.00053102i,0.0011949-0.00046205i,0.00038118-0.00049559i,-0.00049041+8.7855e-05i,-0.00031935+0.00029458i,0.00018628+0.00041689i,0.00024699+4.7855e-05i,-2.6591e-05-0.00012247i,-0.00041295+0.00050788i,-0.0011294+0.00084608i,-0.001884+0.00091772i,-0.0017207+0.0007428i,-0.00068094+0.00059679i,-3.7758e-05+0.00022921i,-0.00016575-0.00015542i,-0.00017604-9.3917e-05i,-9.2345e-05+0.00021542i
0.00097938+0.0018238i,0.0016352+0.00017663i,0.0029829-0.00068728i,0.0033006-0.00041849i,0.0021438-0.00097817i,0.001371-0.0016862i,0.00079473-0.0009313i,-0.00045092+0.00014557i,-0.00068828+0.00067549i,0.00026656+0.00021382i,0.00036078+0.00022228i,-0.00053258+0.00043342i,-0.00010367+0.00060169i,0.00065977+0.00082334i,-0.00035749+0.00027253i,-0.00079501-7.663e-05i,-0.00039721-2.7861e-05i,-0.00016021+0.00015756i,0.00023106+0.00036592i,0.00037148-0.00053561i,0.00052086-0.0012971i,-0.00056547-0.00042375i,-0.00070593+0.00067396i
-0.0011059+3.1819e-05i,-0.0018973-0.00065056i,-0.0024939-0.00092304i,-0.00080843-1.977e-05i,0.0010147+0.0012948i,0.0018101+0.0011814i,0.0019848+0.00015613i,0.0015129-6.6417e-05i,0.00078718+0.00065378i,0.00042639+0.0014101i,0.00049417+0.0013523i,0.00086503+0.00047178i,0.0010485-7.144e-05i,0.00068263-0.00039228i,0.00010282-0.0011083i,-0.00031907-0.00087133i,-0.00012642-0.00013792i,-2.4729e-05-0.00018097i,-0.00032171-1.2636e-05i,-0.00047585-0.00019198i,-0.00022783+1.1888e-05i,-0.00071428+0.00051375i,-0.00090034-4.2788e-05i
0.0017073-0.00036908i,0.00087522-0.00035703i,0.00056697-0.00045597i,-9.8968e-05+0.00024046i,-0.00043713+0.00030054i,0.00011437+0.00059894i,-3.6515e-05+0.00069195i,-0.0004205+6.3231e-05i,-0.00013786-0.0001457i,3.2475e-05-0.00028672i,-0.00025378+0.00045083i,-0.00032119+0.00063933i,-0.00058694+2.3627e-05i,-0.00088508+0.00025472i,-0.00033317+0.00066694i,0.00019008+0.0003635i,6.5032e-05+0.00022874i,-9.5122e-05+0.00031385i,-3.796e-05+0.00045371i,-0.00036739-0.00016642i,-0.00063916-0.00034296i,0.00022264+0.00023237i,0.0011086+0.0001132i
0.00070719+0.00049562i,0.00025677-9.2906e-05i,0.00017733+0.00056347i,0.00059578+0.0013872i,0.00078468+0.00077303i,0.00080146+0.00049957i,0.00073784+0.0010506i,0.00043844+0.00078897i,0.00026127-3.7736e-07i,-0.00012268+3.6489e-05i,-0.00033975+0.00033758i,-0.00040596-9.3221e-06i,-0.00076613-0.00012244i,-0.00071068+0.00095526i,0.00013848+0.0010587i,0.00068636-0.00016625i,0.00058354-0.00063217i,0.00061026-7.6832e-05i,2.5827e-06+5.2271e-05i,-0.00038668-0.0003103i,-0.00046821-0.00041587i,-0.0003658-0.00041989i,-0.00023412-5.5681e-05i
0.00084075-0.00045775i,-0.00024069-0.00090309i,-0.00099436-0.0014194i,-0.00058519-0.0010769i,-6.2526e-05+0.00030883i,0.00032644+0.00079549i,0.0006497-0.00058153i,-0.00027876-0.0010507i,-0.00055383-0.00010796i,-2.8376e-05+6.8301e-05i,-0.0004023+0.00084898i,-0.00025189+0.001078i,6.3919e-06+0.00073078i,0.00023803+0.00041707i,0.00017629+0.00011066i,0.00034161+0.00076978i,0.00037778+0.00075795i,0.0003351-7.3271e-05i,0.00038738+7.3631e-06i,0.00027586+0.00021514i,0.0005736+0.00025588i,0.00051016+0.00046822i,0.00033336+0.0002254i
-0.0014814+0.00064132i,-0.0016648+0.00085603i,-0.0017065+0.00092913i,-0.00069838+0.0010829i,0.00088842+0.0011029i,0.0011859+0.0013942i,0.0011+0.0011885i,0.00055217-8.4848e-05i,-0.00013653-0.00054638i,-0.00017652+0.0004166i,8.0139e-05+0.0010269i,3.903e-05-7.3497e-05i,-5.3025e-05-0.00086789i,0.00013486-0.00065875i,0.00016048-0.00013419i,-0.0001841+0.0004545i,-0.00038317+0.00037737i,-0.0002073+3.3735e-05i,-4.3529e-05-0.00018704i,0.00018082+4.6346e-05i,0.00036434+7.4482e-05i,0.00098915+0.00033174i,0.0009162+0.0012509i
-0.0014189+0.00085534i,-0.0013848+0.0013073i,-0.0012404+0.0021601i,-0.00064613+0.0024188i,0.0012425+0.0013025i,0.0022388+0.00055262i,0.0012944-0.00020913i,2.5246e-05-0.00088535i,-0.00060684-8.3294e-07i,-0.00087913+0.000443i,-0.00033599+0.00027628i,4.6365e-05+0.00042431i,-0.00043009+0.00025496i,-0.00070578-0.00046341i,-0.00054108-0.0014051i,-0.00066969-0.0010707i,-0.00025121-0.00046686i,0.00074412-0.00073512i,0.00043713-0.00039183i,-0.00015014-0.00019395i,-0.00044988-0.00032051i,-4.2729e-05-0.00013085i,0.00018841-0.00057781i
0.0016174-0.0018137i,0.001165-0.0016589i,0.00024971-0.00096506i,-0.00063755+0.00026499i,-0.00055058+0.0011374i,0.00055709+0.00091682i,0.00083641+0.00033809i,0.00042346-0.00021233i,0.00068856-0.0010552i,0.00027811-0.00074023i,-5.602e-05+0.00013256i,-0.00040115+0.00054699i,-0.00051645+0.00020608i,-3.1108e-05-0.00027777i,0.00011897-0.00030056i,-0.00055419-0.00047235i,-0.00015345+7.7515e-05i,-0.00028638+0.0009278i,-0.00088783+0.0012837i,-0.0006514+0.0012173i,-0.00030095+0.00066583i,0.00028293+0.00065288i,0.00088453+0.00051801i
-0.00019485-0.00084447i,-0.00077913-0.00050835i,-0.00096486-0.00058624i,-0.00030199-5.739e-05i,0.00035949+0.0011325i,0.0011183+0.001487i,0.0013861+0.0009137i,0.0011241+0.00027564i,0.00048918-3.2285e-06i,0.00015752+0.00029979i,0.00025341+0.00070902i,0.00075728+0.00081165i,0.00069366+0.00036536i,0.00039802+7.402e-05i,-4.1568e-05+0.00015852i,-0.00025819-0.00075423i,0.00043094-0.0009757i,0.00025107-0.00034825i,-0.00032766-0.00012665i,0.00041853-0.00021756i,0.00022193-0.00075891i,-0.00088246-0.00045996i,-0.00032042+5.9331e-05i
-0.001067-0.00047695i,-0.0017992-0.0007524i,-0.0020208+0.00022012i,-0.0012183+0.00056691i,0.00053949+6.4833e-05i,0.001441-0.00022206i,0.0014294-0.0005691i,0.00085982-0.00077009i,-0.00085047-0.00040163i,-0.0016182+0.00052913i,-0.00089284+0.0011239i,0.00015078+0.00034308i,0.00045472-0.00047918i,-0.00056123-0.00019892i,-0.00080609+0.00017461i,0.00031327-0.00035606i,0.00073266-0.00016475i,9.873e-05+0.00092906i,0.00018764+0.00078973i,0.00026808+0.00047201i,-2.7799e-05+0.00045579i,0.00060503+6.1863e-05i,0.00089827-0.00029314i
0.0024462-8.7093e-05i,0.0022123-0.00098942i,0.0014549-0.0016169i,0.00044912-0.00099822i,6.0441e-05-0.00051957i,-8.4626e-05-0.00056923i,0.00028724-0.0007236i,0.00022494-0.00059033i,-0.0002765-0.00047476i,-0.00059784-0.00062275i,-0.00097559-0.00028209i,-0.00057046-1.6468e-05i,6.3043e-05+6.6532e-05i,0.0003586+0.00034063i,0.0007718-0.00025218i,0.0011668-0.00047656i,0.00083366-7.7015e-05i,0.00054194-0.00024718i,0.0009914-0.00013815i,0.0013373+0.00016681i,0.0010942+0.00024388i,0.00071844+0.0003834i,0.00049293+0.00018794i
-0.0015122+0.00024148i,-0.0015575+0.00050316i,-0.00078131-1.8582e-05i,0.00072205+0.0010011i,0.0015722+0.002431i,0.001305+0.0018241i,0.0013672+0.0006178i,0.00073999-9.1954e-06i,-0.0005474-0.00024134i,-0.0011318+0.00019533i,-0.00084868+0.00089816i,-0.00054823+0.0011757i,-6.159e-05+0.000622i,0.00071282+0.00011706i,0.0003878+9.854e-05i,-0.00032647+0.00036082i,0.00033972+7.4243e-05i,0.0011156-0.00013692i,0.00071602+0.00025193i,-4.2203e-05+0.00033448i,-0.00048081-6.9526e-05i,-0.00010966+4.4629e-05i,0.00011966+0.00053631i
-0.0015824-7.6359e-05i,-0.00071407+0.00017471i,-8.6773e-06+0.00074047i,-0.00050494+0.0012936i,0.00051048+0.00065188i,0.0022134+0.00033821i,0.0019686-0.00012887i,0.00061603-0.0010445i,-0.00043864-0.0015748i,-0.00045463-0.00096399i,0.00026267+7.399e-05i,0.00029648+0.00029771i,-0.00013872-0.00047671i,-0.00044272-0.00088216i,-0.00058933-0.00063771i,-0.00054454-0.00038327i,-0.00048192-0.00040244i,-0.00036-0.00057176i,-0.0002058-0.0001125i,8.0318e-05+4.6183e-05i,0.00051157-0.00043107i,0.00046022-1.8173e-05i,-0.00012982+0.00019757i
-0.00020478+0.0023303i,0.00018657+0.0027315i,0.00017523+0.002859i,0.00078296+0.0021499i,0.0011703+0.00075601i,0.00099431-0.00088436i,0.00060283-0.0013461i,0.0005855-0.00018682i,0.00011223+0.00036317i,-0.00029487+0.00028865i,-9.0455e-05+0.00052416i,9.1812e-05+0.00059882i,-0.00022342+0.00012464i,-0.00069071+0.00038833i,-0.0010814+0.00068912i,-0.00090589+1.7787e-05i,0.00019721-0.00025002i,0.0005313+0.00057638i,0.00037809+0.00055939i,0.00091293-0.00032122i,0.00094303-0.0008508i,0.00050773-0.00099311i,5.6437e-05-7.1198e-05i
0.00050275+0.00022723i,0.0010438-0.0010607i,0.0013039-0.00092494i,0.0013652+0.00049862i,0.0022218+0.0008641i,0.00153+0.00059259i,0.00057388+0.0002586i,0.000757-0.00028301i,0.0011357-0.00073791i,0.00080549-0.00058047i,2.9551e-06-0.0001561i,-0.00019771-0.00042841i,0.00037322-0.00084166i,0.0003739+0.00012124i,4.6824e-05+0.00076574i,-0.00021569+0.00011743i,0.00043186-0.00055213i,0.0014401-0.00017357i,0.00080323+0.00077183i,-4.2543e-05+0.00030768i,-0.0001853-0.0009408i,0.00014893-0.0004767i,0.00012145+0.00027315i
-0.0014251+0.00057122i,-0.0017211+0.00043535i,-0.0021208+0.00071635i,-0.0013388+0.0015634i,0.00046425+0.0020965i,0.0015706+0.0011689i,0.0015421+7.1814e-05i,0.00036191+0.00014083i,-0.00022221+6.7519e-06i,-0.00017378-0.00045345i,-0.00018231-0.00036911i,4.5679e-05-0.00070524i,-3.1219e-05-0.0010194i,-0.00023911-0.00094598i,0.00019264-0.0012601i,3.2404e-05-0.0011389i,-0.0004606-0.00012671i,-0.00022974+0.00068i,0.0003126+0.00016412i,-0.00020683-0.00093519i,-0.00090743-0.00077905i,-0.00057275+0.00063867i,-0.00059907+0.0012752i
