-0.0018912+0.0016958i,-0.0012541+0.00024244i,-0.0011998-0.0004606i,-0.00019199-0.00086902i,3.9651e-05-0.00059833i,-0.00069996+0.00091162i,-0.0012628+0.0016665i,-0.000786+0.0013414i,0.00029567+0.00065781i,0.00090171-0.0001011i,0.00060533-0.00064366i,0.00016278-0.0012322i,-0.00031123-0.0010529i,-8.287e-05-0.0008056i,0.00024771-0.001162i,0.00018805-0.00077223i,0.00030285-7.0835e-05i,0.00025159+0.00011195i,-0.00020692+0.00024853i,0.00025342+0.0004992i,0.000539+0.00057284i,-0.00016868-0.0004802i,-9.4053e-05-0.0015263i
0.0027525-0.00062492i,0.0021605-0.00036093i,0.0019825-0.00026231i,0.0020707-0.0009309i,0.001265-0.0016837i,-0.00055725-0.0013546i,-0.00086021-0.00039095i,0.00019986+0.0007656i,0.001057+0.00057384i,0.00064063-0.00021934i,-0.00027245-0.0010214i,-0.00054542-0.00068367i,-0.00069452-0.00015469i,-0.00086348-0.00037241i,-0.00044395-0.00027854i,0.00014972+0.00037031i,0.00023163+0.00078917i,-6.8438e-05+0.0011317i,-0.00010154+0.0011467i,-8.5495e-05+0.00049838i,-0.00090176-0.00030101i,-9.4366e-05-2.5105e-05i,0.00126+0.00021856i
0.0021277-0.00021896i,0.0014651-0.0002251i,0.0024252-0.0010165i,0.002901-0.0019437i,0.0012425-0.0020719i,6.5825e-05-0.0012594i,-7.675e-05-0.00089613i,0.00045378-0.00063467i,0.0003119-0.0003149i,-0.00070805-0.00078688i,-0.0011586-0.00055043i,-0.00073013+0.00035521i,-0.0012392+0.00064397i,-0.0018076+0.00065403i,-0.00082855+0.00092687i,-0.00013186+0.00074558i,-0.00020701+1.5032e-05i,4.8237e-05+0.00047555i,-1.1925e-05+0.0010221i,-0.00085259+0.00064978i,-0.00090937-0.00021259i,-0.00085073-0.00050339i,-0.00020128-0.000168i
0.0024573-0.00056868i,0.0020709-0.00090907i,0.00091973-0.001414i,0.00082939-0.0014494i,0.00049219-0.0018747i,-0.00024917-0.0020863i,-0.00038304-0.001225i,-0.00035507-0.00067936i,-0.0003376-0.00069818i,-0.0010892-0.0011614i,-0.0011465-0.0011287i,-0.0010642-0.0002779i,-0.0016203-0.00034413i,-0.0007107-9.1368e-05i,0.00023924+0.0011334i,0.00057738+0.0013796i,0.00031326+0.00082142i,-0.00033296+0.0010597i,-0.00053291+0.001634i,-0.000243+0.0010089i,4.4856e-05+5.4647e-05i,0.00012377-0.00015607i,-0.00044598+0.00014469i
-0.00083773-3.9583e-05i,-0.00077175+0.00070424i,4.7933e-05-0.00047759i,0.00049722-0.0011878i,0.00034198-0.00059313i,0.00030634+0.00058646i,0.00050729+0.0011688i,0.00034315+0.00076778i,0.00011993+1.2082e-05i,-0.00043469-0.001072i,-0.00056061-0.00058182i,-0.0001569+0.00054375i,0.00082842+0.00079995i,0.00082316-0.00010652i,-0.00028546-0.00033729i,-0.00012159+0.00021169i,0.00026077+0.0003834i,8.4038e-05+0.00030614i,-0.00016954+0.00013953i,-0.00058688+0.00044712i,-0.00021768+0.0011071i,0.00040711+0.0010785i,0.00033611+0.00081572i
0.00028073-0.0020439i,0.00056012-0.0019632i,0.0020759-0.0020806i,0.0021184-0.002337i,0.00011829-0.0019536i,-0.00073631-0.00062021i,-0.00052043+0.00062991i,0.00021624+0.00045168i,9.6563e-05-0.00042264i,-0.000647-0.0010083i,-0.00086854-0.001288i,-0.00054045-0.00056557i,8.6165e-05+0.00058542i,-1.8076e-05+0.00028281i,0.00019125-7.6631e-05i,0.00078035+0.00090212i,0.00045512+0.0012397i,8.2998e-05+0.001123i,0.00033838+0.0007214i,-0.00015996+0.00041699i,3.6072e-05+0.00035408i,0.00024109-8.5213e-05i,-0.00020113-0.00086438i
0.0016953-0.00019447i,0.0024558-0.00026388i,0.0018038-0.00016867i,0.0023055-0.00027637i,0.0023094-7.7453e-05i,0.0003468+0.00027417i,-0.00062576+0.00067543i,-0.00025675+2.7413e-05i,0.00082374-0.00086894i,0.00057954-0.0010744i,-0.0005843-0.0015112i,-0.00039821-0.0013116i,-0.00018582-0.0011756i,3.09e-05-0.00096186i,-7.6617e-05+2.067e-05i,-0.00078521+0.00059117i,-5.8478e-05+0.001099i,0.00060022+0.00090302i,0.00010477+0.00037578i,-0.00086151-0.00028498i,-0.00094153-0.00063406i,-9.9526e-05+5.5071e-05i,0.00027066+0.00068685i
0.00051584+0.0012561i,-0.00021907+0.0002769i,0.00048373+3.2579e-05i,0.0021197-0.00033566i,0.0018519-0.00085406i,0.00091115-0.0010322i,0.00069184-0.00012817i,0.00071805+0.00010818i,0.00040523-0.00025843i,0.00042188-0.00072739i,0.00056298-0.00079041i,0.00049393-8.2392e-05i,0.00021314-0.00015889i,-0.00012813+0.00028884i,0.00039933+0.0013931i,0.0011611+0.0010363i,0.0010722+0.00035834i,0.00034492+0.00014488i,-0.00029377-7.8154e-05i,0.00015932+0.00051576i,0.00043734+0.00046797i,0.00024152-0.00063997i,0.0004855-0.00076585i
0.0021459+0.002847i,0.0022+0.0018683i,0.0022591+0.00081751i,0.0029939-0.00091947i,0.0022125-0.0020368i,-7.725e-05-0.0013372i,-0.0010429-0.00042596i,-0.00041445+0.00015063i,2.3241e-05+0.00013878i,-0.00034591-0.00089462i,-0.00074829-0.0013794i,-0.0012833-0.00090491i,-0.0007873-0.0010875i,0.00020328-0.0011118i,0.00011792+3.1571e-07i,0.00027618+0.00011851i,0.0004848-0.00041922i,-0.00013659+0.00026728i,-0.00090884+3.7411e-05i,-0.00065905-0.00052025i,-0.00036057-0.00029281i,-0.00023323-0.00059708i,-5.3673e-05-0.00032236i
0.00082654+0.0012453i,0.0016197+0.0012178i,0.0035178+0.00064762i,0.0045566-0.00069043i,0.0028539-0.0011855i,0.000245-0.0014032i,0.00014481-0.0012402i,6.0365e-05-0.00050982i,0.00015489+0.00025514i,0.00096285-0.00018009i,0.00071013-0.00064529i,-0.00078323-0.00085936i,-0.001365-0.001548i,-0.0011323-0.00065234i,-0.0010344-0.0003963i,-0.00065941-0.00095667i,-1.7646e-06-0.00058818i,-5.082e-05+9.2613e-05i,-0.00049303+0.00071128i,2.4266e-05+0.0012991i,0.0010323+0.00056001i,0.0013053+7.9211e-05i,-4.4896e-05+0.00051087i
-0.0012526+0.00048078i,-0.00072628+0.000868i,-7.5913e-05+0.0010589i,0.0011003+0.00049339i,0.0013109-0.0006821i,0.00057321-0.00018872i,0.0002979+0.00062636i,-0.00011185+0.00027559i,-0.00060131-1.5545e-05i,-0.00065565-0.00042733i,-0.00051045-0.00057949i,-0.00047356+0.00021009i,0.00011206-2.5749e-05i,0.00092826-0.00035556i,0.00061389+0.00019863i,0.00037783+0.00045776i,0.0010571+9.3215e-05i,0.00055553+0.00022787i,-0.00034278-2.7977e-05i,-0.00037373-0.00040218i,-0.00056978-0.00011582i,0.00011598-6.5204e-06i,0.00051546+0.00019555i
0.0019873-0.0010301i,0.0023246-0.0012972i,0.002059-0.0012923i,0.00088567-0.00098912i,-0.00025238-0.0013079i,-0.0006906-0.00088333i,-0.00059523+8.4494e-05i,0.00021006-0.00030117i,0.00043191-0.0016902i,-6.363e-05-0.0018012i,-0.00026849-0.00057421i,-0.00042692+0.00016674i,-0.0006715-0.00024786i,-6.8999e-05-5.2921e-05i,9.9881e-05+0.00021777i,-0.00055132-0.00059806i,-8.1259e-05-0.00134i,0.00093437-0.00067523i,0.0012073+0.00014914i,0.00065063+0.00037619i,3.0552e-05+0.00058059i,-0.00064983+0.00043651i,-0.00079428+0.00023142i
0.0015894+0.0001131i,0.0015085+5.3497e-05i,0.0016089+0.00027142i,0.00097046+0.00022841i,0.00060045-0.00028158i,0.0001991-8.5182e-05i,-0.00044856+0.00021219i,-0.00053738+0.00032367i,5.1356e-05+0.0004377i,0.00022612+1.4707e-05i,-0.00022491-0.00044905i,-0.00041686-0.00078781i,-0.0011459-0.00095735i,-0.001333-0.00029713i,-0.00065819+0.00075581i,-0.00054079+0.00085312i,-0.00017919+0.00036173i,-0.00012775+0.00091936i,-0.00025459+0.0016296i,-0.00078614+0.00096134i,-0.00053643+0.00026522i,0.00035165+5.1199e-05i,0.00011244+5.9618e-06i
-0.0015319+0.00097384i,-0.0014163+0.00014828i,-0.0012885-2.243e-05i,-0.00038792-0.00052278i,-0.00016531-0.0012755i,-0.0009905-0.0007667i,-0.00099947-0.00054896i,-0.00034481-0.0014435i,-0.00016696-0.0011207i,-0.00037223-0.00022479i,-0.00072449-0.00024105i,-0.0010198+0.00030337i,-0.00099341+0.00032602i,-0.0010886-0.00036294i,-0.00078415-8.1755e-05i,-0.0004056+0.00036849i,-0.00017244+0.00072595i,0.00084151+8.3119e-05i,0.00056279+0.00075821i,-0.00047554+0.0015619i,-0.00036085+0.00095116i,4.1135e-05+0.00035661i,8.5416e-05+8.9629e-05i
-0.00024325+0.00064593i,0.00029845+0.00089964i,0.00087919+0.00079217i,0.0018899-9.3746e-05i,0.0017297-0.00053217i,0.00049103-0.00096307i,0.00049261-0.00093898i,0.00022922-0.00031054i,0.00029732-0.00077218i,0.0003297-0.00099059i,-0.00040946-0.00059655i,-0.00023082-0.00065591i,-0.00015252-0.0013246i,-0.00076266-0.0016505i,-0.00071689-0.001233i,-0.0008502-0.00047317i,-0.00077227-0.00029829i,0.00053843-7.6199e-05i,0.00092989+0.0010794i,0.00036652+0.0012184i,-0.0002371+0.00050135i,0.00040268+6.2249e-05i,0.001148-0.00048685i
0.0014012+0.0012183i,0.001384+0.00043029i,0.0023371-0.00028607i,0.0034105-0.00069369i,0.0033409-0.0012234i,0.0020794-0.00037816i,0.001319+0.00064134i,0.00073285+0.00010826i,0.00016634-0.00071479i,0.00022601-0.0013541i,-8.819e-05-0.0013501i,-0.00063236-0.0011165i,-0.00059655-0.0011889i,-0.0001358-0.00082952i,0.00023783-0.00032341i,0.0004268-3.4178e-05i,-0.00017014+0.00057257i,-0.0009229+0.0005463i,-0.00019666+0.00014574i,0.00085917+0.00044823i,0.00070346+0.0011788i,0.00010189+0.00059795i,-0.00012624+0.00049329i
0.00044123+0.0011234i,-0.00031441+0.0017646i,0.00050683+0.0020249i,0.0016656+0.00024368i,0.0021959-0.0015691i,0.0012715-0.0011056i,0.00044046-8.5975e-05i,0.00042943-7.2253e-05i,0.00055364-0.00061517i,8.6435e-05-0.000897i,-0.00087059-0.00015203i,-0.00084027-0.00052764i,0.00021869-0.0015487i,0.00044391-0.00097955i,-3.3435e-05-0.00021766i,9.1894e-05-4.1161e-05i,0.00098739-0.00029962i,0.0011387-0.00063834i,0.00044775-0.00051261i,0.00021412+0.0002513i,-0.00010786+0.00049336i,-0.00098046+0.00018865i,-0.00064712+0.00011519i
0.0023283-0.0024623i,0.0027369-0.0024605i,0.0034191-0.002619i,0.0030403-0.0027285i,0.00079132-0.0024665i,-0.00092644-0.0014715i,-0.00096299-0.00016521i,-2.7762e-05-0.00018853i,0.00032652-0.00070334i,-0.00068258-0.00043808i,-0.0019708-0.00068605i,-0.0011484-0.00042349i,-0.00014353+0.00076925i,-0.00065286+0.00080181i,-7.1305e-05+0.0011245i,8.1577e-05+0.0020141i,-0.00044168+0.0010438i,-0.00021172+0.00041347i,4.0287e-05+0.00075831i,0.00060868+0.00066211i,0.00050409+0.00023435i,-0.00086099+0.00024696i,-0.00090449+2.7933e-05i
0.00046154-4.8892e-05i,0.00066593-0.00025276i,0.0015115+0.00046731i,0.0021426+0.00027492i,0.0017526-0.00056369i,0.00053706-0.00088378i,-0.00026503-0.00091359i,-0.00033964-0.00010334i,-0.00039775+0.00026946i,1.242e-05-3.9089e-05i,0.00015919+7.0045e-05i,-0.00051655-3.7477e-05i,-0.00058899-0.00051535i,-0.00045816-0.00039659i,-0.00015568-0.00019374i,0.001252+9.3205e-05i,0.0010894+0.00032473i,0.00027912+0.00037709i,-0.00019634+0.00061542i,-0.00032172+0.00050457i,-7.1501e-05+0.0001037i,-0.0003793+0.00037594i,-0.0001372+5.6653e-07i
0.0010359-0.00073873i,0.00046971-0.00061399i,0.0007752-0.0012582i,0.0015279-0.0011069i,0.0014935-0.00080101i,0.00045943-0.00087848i,-0.00016364-0.00065077i,-0.00076736-0.0014987i,-0.0012979-0.0014905i,-0.0017432-0.00046306i,-0.00148-0.00051597i,0.00010427-0.00041539i,0.001016+8.8026e-05i,0.00095928-6.7221e-05i,0.00055741-4.0429e-05i,-7.1172e-05+0.00055875i,-0.00047118+0.00075638i,-0.0004493+0.00014595i,0.00019201+0.0005323i,0.00055973+0.00055493i,0.00062113-0.00020844i,0.00061261-0.0004396i,0.00034992-0.0002337i
-3.3934e-05+0.0022756i,0.00097394+0.00076553i,0.0021477+1.1447e-06i,0.0024437-0.00082165i,0.0016025-0.0011006i,0.00012669-0.0010486i,-0.00089571-0.0012392i,-0.0013167-0.00076495i,-0.0013041-0.00020302i,-0.00066822-0.00042251i,0.00025941-0.00086614i,8.1894e-06-0.00085485i,-0.00047163-0.0010282i,-0.00042781-0.00077748i,-0.00016264-0.00019712i,0.0004609-1.8144e-05i,0.0007194+0.00038691i,0.00035607+0.0006661i,-0.0003826+0.00035501i,-0.00057957+0.00012834i,0.00054832+0.00055856i,0.00068648+0.00034318i,-0.0001114-0.00084558i
-0.0023624+0.0026131i,-0.00057288+0.0018175i,0.00074327+0.0015828i,0.001654+0.0016065i,0.0016948+0.0011209i,0.0011173+0.00051339i,0.00034623-0.00018277i,0.00037389-0.00046335i,0.00032483-0.0004296i,0.00015186-0.00041623i,-0.00021071-0.00062172i,-2.5961e-05-0.0013161i,0.00029355-0.0018062i,-3.6796e-05-0.0015234i,-0.00019146-0.00048168i,-1.9648e-05+0.00040077i,0.00035263+0.00057005i,0.00036047+0.0006814i,0.00027504+0.0008175i,0.00042761+0.00043306i,0.00051124-0.00023514i,0.00042252-0.00057656i,0.00026512-4.0243e-05i
0.0027836-0.0015634i,0.0031513-0.00069612i,0.002889-0.0020884i,0.0029659-0.0033154i,0.0018871-0.0030844i,0.00036934-0.002421i,0.00073612-0.0014074i,0.00093329-0.0003616i,-2.6959e-05-0.00011331i,-0.00061262-0.00031529i,-0.00070066+0.00022386i,-0.00042899+0.00052537i,-0.00021136-0.0003241i,-0.00073337-1.7682e-05i,-0.0012385+0.00064439i,-0.001028+0.00056517i,-0.00037914+0.00050823i,-2.986e-05+0.00076518i,0.00012395+0.0010138i,-1.9763e-05+0.00091846i,-0.00010036+0.00076525i,0.00024432+0.00079884i,0.00012649+0.00073156i
-0.00017348+0.0021511i,-0.00056948+0.0024109i,-2.6195e-05+0.002015i,0.0018776+0.0006766i,0.0018322-0.00085402i,0.00020953-0.00084197i,-0.00050687-2.2138e-05i,-0.00029287-2.7582e-05i,-0.00024983-0.00046124i,0.00013489-0.00037897i,0.0010462-0.00034863i,0.0011043-0.00012047i,0.00021262+0.00026006i,-0.00013463-0.00035543i,0.00031835-0.00038955i,0.00081334+0.00014098i,0.0010905+0.0004419i,0.0012455+0.00027762i,0.00070946-0.00017084i,-0.00049677-0.00013512i,-0.00041048+0.00023456i,-1.0146e-05-0.00032746i,-0.00022908-0.00048341i
-0.00084627-0.0012209i,-0.00023671-0.00088844i,0.00073092-0.0001443i,0.00098724-0.00045694i,0.0011719-0.0010885i,0.00088117-0.00077888i,8.4288e-05-0.00057341i,-8.1475e-05-0.00041708i,-0.00047692-0.00050863i,-0.0001715-0.0010761i,0.00056789-0.00080973i,0.0013852-0.00019381i,0.0013386-0.00011338i,0.00035215-0.00026733i,0.00042088+0.00042184i,0.00046769+0.00088792i,0.00077428+0.00078713i,0.0003902+0.00068276i,-0.00051004+0.00063778i,9.6778e-06+0.00081648i,0.00078476+0.00046952i,0.00047814-0.00111i,-0.0001336-0.0011606i
0.0033026-0.00098945i,0.0031849-0.0011023i,0.0038776-0.0019348i,0.0029815-0.0026234i,0.0014815-0.0035555i,-0.00036187-0.0030334i,-0.001059-0.00088194i,-8.4584e-05+0.00021002i,0.00022715-0.0010581i,-0.00061047-0.0014446i,-0.0015284-9.9745e-05i,-0.001661+0.00079172i,-0.0015067+0.0011464i,-0.0015904+0.00075136i,-0.00088121+0.00071357i,-1.8245e-05+0.0016199i,-0.00021122+0.0016794i,-0.00047544+0.00045804i,-0.00050693+0.00047144i,1.5063e-05+0.0013652i,0.00054215+0.00080112i,0.00061805-0.0001936i,-4.4478e-05+0.0004103i
-0.0006808+0.00018198i,0.0006127+5.3051e-05i,0.0020557-0.00027143i,0.0028676-0.0007037i,0.0015071-0.0011819i,0.00012712-0.00076722i,0.00030734-0.00046849i,0.0011557-0.00068391i,0.0006808-0.00056978i,-0.00055685-0.0014489i,-0.00018618-0.0019537i,0.00082524-0.0010036i,0.00051061-0.00065592i,-0.00051248-0.00033996i,-0.0008166+5.7258e-06i,-0.00019148+0.00018421i,-0.00017274+0.00061086i,-0.00012203+0.00086137i,1.5521e-05+0.0005747i,6.6011e-05+0.00043418i,-1.3064e-05+2.9321e-05i,-0.00032477-0.00065296i,-0.00022499-0.0001412i
0.00046706+0.0027952i,0.0024411+0.003242i,0.0030109+0.0037237i,0.0031701+0.0027627i,0.0028748+0.0012447i,0.0013871+0.0005344i,0.00038372+1.0871e-05i,0.00047592-0.0004909i,0.00037042-0.00089877i,0.00032959-0.0012904i,0.00039781-0.0011089i,0.0007695-0.0009304i,0.00051112-0.0011085i,-0.00035563-0.00025897i,-0.00051903+0.0007357i,-0.000149+0.00059687i,0.00038489+0.00050561i,0.00055852+0.00034368i,0.00065722+0.00011128i,0.00096744+0.00051678i,0.0012377+0.00011249i,0.0014252-0.00068406i,0.00087519-0.00023388i
0.00029622+0.0010319i,-4.7948e-05+0.0023892i,0.00062082+0.0007834i,0.0012084-0.00034207i,0.0014345-0.0017937i,0.0010568-0.0018518i,0.00033185-0.00036297i,-6.9137e-05-0.00040139i,-0.00061071-0.00059896i,-0.0014248-0.0011001i,-0.0012936-0.0012509i,-0.00049728-0.00034896i,0.00073965+0.00034341i,0.0010223+0.00010228i,0.00030385+0.00014843i,-0.00019995+0.00084814i,-0.00019377+0.00049746i,3.2921e-05+0.00016478i,0.00039463+0.00052818i,0.00063963+0.00068645i,0.00017184+0.00036619i,-0.0004514+0.00060162i,-0.00083809+0.0010927i
0.0013639+0.00010726i,0.0016092-0.0010179i,0.0027303-0.0017149i,0.0034576-0.0023617i,0.0014812-0.0023323i,-0.00045092-0.0009164i,-0.00029456+0.00012412i,0.00010169+1.0386e-05i,0.00010089-0.00011042i,-0.00028762-0.00081289i,-0.0013863-0.001735i,-0.0014094-0.0020944i,-0.0011935-0.0016744i,-0.00088357-3.2039e-05i,4.1677e-05+0.0011639i,6.6126e-06+0.00092278i,-0.00045436+0.00076364i,-0.00021034+0.00081823i,0.00068533+0.00039043i,0.0012507+1.4974e-05i,0.00042319+0.00014057i,-0.00099089+0.00017202i,-0.0011511+9.7163e-05i
0.0010385+0.0004537i,0.0016964+0.00086752i,0.0021947+0.0011318i,0.0024187+0.00015134i,0.0017901-0.0015047i,0.00051953-0.0015082i,-0.00012142-0.00040255i,-0.00027005-0.00024674i,-0.00038935-0.0012966i,-0.00086275-0.0013153i,-0.0011034-0.0011508i,-0.00059255-0.0006471i,-0.00019648-0.00046377i,-0.00058091-0.00097441i,-0.00066723-0.0004346i,-0.00037719+0.00041657i,-0.00036971+0.00016754i,-0.00066713-0.00042945i,-0.0007735-6.6668e-05i,-0.0004718-0.00025503i,-0.0004509-0.00055112i,-0.00065106-3.5175e-05i,-0.00057202-2.5762e-05i
0.0023617-0.00055018i,0.0024313-0.00023812i,0.0017667-0.00087338i,0.0012563-0.0014723i,0.00067518-0.0017093i,0.00024494-0.0011964i,0.00062585+0.00025139i,0.0010194-0.0001507i,0.00088484-0.00099056i,9.4459e-05-0.00096005i,-0.00088881-0.0010067i,-0.00058084-0.00093728i,0.00020072-0.0011762i,0.00047202-0.000241i,0.00046273+0.00079646i,0.001164-6.0187e-05i,0.0013757-0.00025416i,0.00058941+4.9137e-05i,6.4472e-06-3.2312e-05i,-0.00022595-0.00010482i,-0.00032818+0.00025917i,-0.00045405+0.00018435i,-4.2902e-05-0.00096357i
0.0001275+0.00046947i,0.00031879+0.0011251i,0.0019493+0.00077758i,0.0021128-1.8616e-05i,0.0010771-0.00046732i,0.00038392-0.00054238i,-4.2594e-05+0.000274i,6.9995e-05+0.00032311i,0.00056894-8.7448e-05i,0.001259+0.00017378i,0.0012815+0.00035646i,0.00031314-0.00019421i,-0.00030162-0.00047611i,-0.00047283-0.00075684i,-9.3029e-05-0.00060812i,0.00051233-0.00011219i,0.001067-4.089e-05i,0.0015643-1.8262e-05i,0.00086439+0.00035817i,-1.2186e-05+0.00047343i,-0.00014289+0.00045313i,-5.6002e-05-0.0001551i,0.00062985-0.00089738i
-0.0013947-0.00092568i,-0.00092971-0.00057353i,-0.00015284-0.00067714i,0.00077931-0.0015044i,0.00028674-0.0016765i,-0.00044159-0.00064071i,-0.00035164+0.00049383i,-0.00022359+0.0002449i,-0.00037741-0.0001172i,-0.0010139+0.00022933i,-0.0013711+0.00021462i,-0.0010546-0.00043685i,-0.00041658-0.00092907i,6.5163e-05-0.00017955i,0.00054122+0.0011697i,0.00054012+0.0013772i,0.00026807+0.00095303i,0.00020265+0.00078833i,-0.00031359+0.00080758i,-0.00026111+0.00071928i,0.00024462+0.00020295i,-7.3631e-05+6.0916e-05i,-0.00063449+0.00041074i
0.0047136+0.0012694i,0.0043568+0.0012989i,0.0044609-0.0009342i,0.0048179-0.0025988i,0.0031786-0.003579i,0.00095953-0.0026376i,0.00020302-0.0010647i,-7.9617e-05-0.0008766i,-0.00053948-0.00078595i,-0.00049494-0.00053281i,2.5732e-05-0.00077774i,-0.00021988-0.001381i,-0.0008679-0.0012727i,-0.00080513-0.00043469i,-0.00046321+0.00058099i,-0.00024528+0.0012122i,0.00017521+0.0008892i,0.00069897+0.00065491i,-3.6349e-05+0.00047801i,-2.928e-05+0.0001103i,0.00059143+1.0892e-05i,0.00020934+0.0005956i,-0.0006322+0.00057158i
0.00094573-0.00053161i,0.00088356-0.00038008i,0.001504-0.00062574i,0.0014249-0.00056071i,0.00033088-0.00083489i,-0.00024892-0.00090747i,-0.00073494-0.00010857i,-0.00073993+0.00020524i,0.00031325-0.0002573i,0.0005906-0.0002425i,-0.00035508+0.0003588i,-0.0010873+0.0013122i,-0.00084743+0.00099347i,-0.00043892+0.00029137i,-0.00034794+9.2059e-05i,-0.00054165+0.00035764i,-0.00058726+0.00094919i,-0.00017401+0.0014032i,0.00033501+0.0014453i,0.00031703+0.00099535i,-0.00023626+0.00023678i,-0.00075584-0.00066143i,-0.00058884-0.00052721i
0.00086597+0.00025621i,0.00020864+0.00018218i,0.00092228-0.00015996i,0.0018006-0.0003497i,0.001083-0.00035145i,-8.6873e-06-0.00034724i,-0.00060395+0.00021119i,-0.00030233+0.00066313i,0.00052638+0.00012178i,1.8951e-05-0.00026427i,-0.00098055-0.00034996i,-0.0016084-0.00046833i,-0.0019198-0.0008168i,-0.0012298-0.00017351i,-0.00037875+0.00040495i,-0.00035955+0.00091178i,-0.00033589+0.00081964i,-0.00039669+4.2112e-05i,-0.00044204+0.00019993i,-0.00039363+0.00032023i,-0.00015329+5.564e-05i,-0.00089439-8.8028e-05i,-0.0010583-0.00052689i
0.0011489+0.0028004i,0.001217+0.0036924i,0.0020922+0.003807i,0.0029787+0.0015293i,0.002893-0.00064871i,0.0016587-0.00081189i,0.0001355-0.00061867i,0.00016171-0.0012889i,0.0010802-0.0014136i,0.0010248-0.00069337i,0.00011732-0.00057904i,-0.00019655-0.001644i,3.5921e-05-0.0025401i,-0.00018115-0.0023939i,0.00027536-0.001223i,0.0011117-0.00035508i,0.00078109-0.00028171i,0.0001312+0.00018849i,-0.00018336+0.0010799i,-0.00050506+0.00051665i,-0.00049108-0.00043628i,6.7206e-05-0.00036806i,0.00040694-0.00046937i
0.0020955-0.001881i,0.0010276-0.00071626i,0.0019174-0.0012597i,0.0025061-0.0025382i,0.0008197-0.0029016i,-0.00029794-0.0016868i,-0.00022761-0.0004976i,0.00041056-0.00075934i,0.0011774-0.0010007i,0.00054675-0.00055676i,-0.00045501+0.00013311i,-0.00054575+0.00095504i,-0.00015111+0.00021214i,0.00016465+0.00026464i,-6.4743e-05+0.0011255i,0.00016026+0.00068552i,0.00084783+0.00028693i,0.00054128+0.00010346i,-0.00034167-0.00020448i,-0.0010619-0.00075768i,-0.00095773-0.0011678i,-0.0006313-0.0013684i,-0.0003123-0.00090931i
0.00013416+0.00050995i,0.00089228+0.001577i,0.0022022+0.0011196i,0.0025516-0.00050259i,0.0012541-0.0020603i,0.00054068-0.0016762i,0.00072047-0.0007442i,-0.00013684-0.00079429i,-0.00059528-0.00069744i,-0.0003674-0.00073034i,-0.00036228-0.00077483i,-0.00015593-0.00055665i,-0.00034858-0.00076861i,-0.0011341+3.5628e-05i,-0.0015573+0.0010017i,-0.00061175+0.00054744i,0.0005502+3.0754e-06i,0.00037384+0.0006836i,-8.3193e-05+0.0016506i,-1.7173e-05+0.0011441i,0.0002988+8.2268e-05i,-7.6234e-05-0.00033641i,-0.00023246-0.00078052i
0.00093427-9.8576e-05i,0.00039989+2.9022e-05i,0.00065207+0.00010225i,0.0020956+8.6883e-05i,0.0023346-0.00023007i,0.0011954-0.00044258i,0.0002373+0.00043026i,-0.00026675+0.00036236i,-0.00072192-0.00044513i,-0.00079097-0.00019938i,-0.00041171-0.00012698i,0.00019539-0.00030464i,0.00079613-0.00022726i,0.00024988-0.00045608i,-0.00053132-0.00029593i,-0.00073502-0.00017972i,-0.00090288-0.00023488i,-0.001234+0.0003049i,-0.0009184+0.0015903i,-0.00062212+0.0016046i,-0.00040893+0.00079307i,-2.3394e-05+0.0013602i,0.00015009+0.0012356i
-0.00093989+0.00027132i,0.00041257-0.00011902i,0.0008948+0.00031672i,0.00065305+0.00069757i,0.00033148-1.1122e-05i,-2.0119e-05-0.00057162i,-0.00032304-3.3359e-05i,-0.00016532+0.0002629i,-0.00075317-0.00011832i,-0.00090002-0.00065272i,8.0827e-05-0.00014269i,-9.9769e-05-0.00061265i,-0.0012991-0.0015791i,-0.00094926-0.0010553i,4.7627e-05+0.00021639i,0.00042599+0.00067322i,0.00038718+0.00106i,0.0002546+0.00099761i,0.0001453+0.00085458i,-0.00028028+0.0011934i,-0.00030476+0.00080669i,-0.00024933+0.0006438i,0.00018752+0.00056545i
0.00098263-0.00025807i,0.0018855-0.0014918i,0.0034521-0.0019588i,0.0035874-0.0025313i,0.0024998-0.0026885i,0.0012747-0.0014254i,0.00023783-0.00043911i,-0.0002091-0.00066285i,-0.00058422-0.0015524i,-0.00087121-0.0015969i,-0.00033341-0.00069575i,0.00025943+2.6871e-05i,8.8873e-05+6.3461e-05i,-0.00041955-0.00018941i,-0.00012525-0.00027787i,0.00055888-0.00042161i,0.00031656-0.00038994i,-0.00020928+0.0010125i,-0.00072189+0.0019107i,-0.00077006+0.0010545i,-0.00025775+6.9056e-05i,-0.00045761-0.00039597i,-0.0002642-0.00054785i
0.0025004+0.00083399i,0.0029546+0.0008736i,0.0044157+0.00070827i,0.0046745-0.0007188i,0.0024388-0.0018277i,6.3445e-06-0.0010087i,-0.0011315-0.00011535i,-0.0012804-0.0005562i,-0.0005365-0.00078694i,-0.00025808-0.00072475i,-0.00069571-0.00042116i,-0.00056126-0.00045434i,-0.00054438-0.00074617i,-0.00058656-0.0012159i,0.00022298-0.00085701i,0.00068475+0.00026479i,0.00081269+0.00042292i,0.0010685+0.0002502i,0.00033583+0.00029975i,-0.00075474+5.5475e-05i,-0.00080288+0.00077305i,-0.00029086+0.00064422i,0.00044215-9.1961e-06i
