-0.0022362+0.00023333i,-0.0015734+0.00043094i,-0.0015637+0.00038113i,-0.00054966+0.0010249i,-0.00063067+0.0018278i,-0.00093738+0.0021225i,9.59e-05+0.0024482i,0.00063344+0.0019623i,0.00084427+0.0011542i,0.00052787+0.00010951i,8.227e-05-3.0012e-05i,0.00021463+0.00040464i,-0.00014485+0.00018643i,-0.00050788-0.00024171i,-0.0002053-0.00032395i,-0.00057235-0.000297i,-0.0010759-0.00032242i,-0.001073-0.00073303i,-0.0010485-0.00087064i,-0.00098023-0.00049893i,-0.00059259-0.00046205i,-0.00021455-0.00088711i,-0.00051836-0.00039618i
0.0015724+0.0013201i,0.0015225+0.0012797i,0.002545+0.00063812i,0.0024747+0.00023939i,0.0013402+0.0005201i,0.00067219+0.0008636i,-0.00023352+0.0010882i,-0.00092555+0.0010593i,-0.00066762+0.0011581i,-0.00073817+0.00053305i,-0.00093299-0.00071722i,-0.0015068-0.00090519i,-0.0011067-0.00037195i,-0.00059275+0.00043532i,-0.00051404+0.00067346i,0.00054026+0.00053374i,0.0012394+0.00047062i,0.00042478-0.00010643i,-0.00072229-0.0010548i,-0.00014033-0.00084598i,0.00048556-0.00025224i,0.00064211-0.00038816i,0.00075543-0.00043247i
-0.0010107-0.00044611i,-0.00065291-0.00042116i,0.0017064+0.00072837i,0.0024791+0.0015569i,0.0011284+0.0022606i,0.00035551+0.0017178i,9.7422e-05+0.00087012i,-0.00084474+0.0006381i,-0.0012913+0.00091175i,-0.00064118+0.0014553i,0.00037866+0.0012315i,0.0006841+0.00063626i,0.00038614-0.00020093i,-0.00036232-0.00039537i,-0.00080336+0.00053068i,-0.00092489+0.00081561i,-0.00050325+0.00023962i,3.4886e-05+0.00010553i,-1.4994e-05-1.978e-05i,9.0626e-05-0.00022092i,-9.4272e-05-0.00020391i,6.7036e-05-0.000338i,0.00052273-0.00012905i
0.00057201+0.0010414i,0.0015337+0.0014472i,0.0011483+0.00072974i,0.00013247+0.00070516i,-0.00052936+0.0019705i,-4.5234e-05+0.002524i,-0.00061627+0.002254i,-0.00099865+0.0022462i,-0.00044166+0.0025774i,0.00051302+0.002041i,0.001229+0.00121i,0.00042295+0.00095011i,2.71e-05+0.00079574i,0.00033104+0.00052522i,-0.00033948+0.00018399i,-0.00091133+0.00011715i,-0.00054175+0.00034769i,-6.739e-05+0.00079729i,0.000292+0.0004805i,0.00063257-0.00021084i,0.00090776+9.7506e-05i,0.00085231+0.00053698i,0.0008846+0.00060057i
0.00047603+0.0016847i,0.00073243+0.0026406i,0.00085593+0.0020953i,0.00041135+0.0016332i,1.3261e-05+0.0018083i,8.122e-05+0.0018668i,-7.1018e-05+0.0011135i,-0.00066314+0.00050295i,-0.00064079+0.00049138i,-0.00065333+0.0008002i,-0.0010156+0.00072697i,-0.00078609+0.00088051i,-0.00052473+0.00045999i,-0.00086668-0.00058625i,-0.00076361-0.001291i,-7.6545e-07-0.000971i,0.00071302-5.4279e-05i,0.0011909+0.00016243i,0.00086518+0.00079313i,0.00048662+0.0011179i,0.0002384+0.00078444i,-0.00043984+0.00089576i,-0.00066716+0.00066775i
-0.0016673-0.0012291i,-0.00096126-0.00036981i,-0.00045839-0.00030136i,-0.00018246+0.00054725i,-0.00038742+0.0017609i,-0.0005679+0.0018911i,-0.00018441+0.0010677i,0.0002535+0.00042371i,0.00046893+0.00030797i,0.00022193+0.00090874i,4.1512e-05+0.0011322i,8.4947e-05+0.0003374i,-0.00014561+0.00042482i,-0.00068162+0.00032441i,-0.00093325+6.644e-05i,-0.00074565+0.00080386i,-0.00031925+0.00070866i,-0.00045748-0.00028634i,-0.00045915-0.00052539i,0.00040055+0.00013186i,0.00054967+2.9114e-05i,9.7395e-05-0.00037818i,8.0816e-06-0.00026835i
0.0011417-0.0015203i,0.0010072-0.00095768i,0.0011462-0.00064662i,0.0009005+0.00028752i,-0.00033232+0.0010346i,-0.0016273+0.00085086i,-0.0010974+0.0010722i,0.00011837+0.0014075i,0.00062472+0.0019461i,0.00046678+0.0022607i,0.00061596+0.0020993i,0.00076055+0.0012345i,0.00015216-0.00020554i,0.00038891-0.00093865i,0.00049356-0.00033945i,-0.00018457+0.00037079i,6.0906e-05+0.000782i,0.00043265+0.00074062i,0.00033259+0.00062198i,0.00036673-2.8025e-06i,0.00090151-7.3412e-05i,0.0010316-0.00010871i,0.0012078-0.00038508i
0.0018601+0.0001185i,0.00087996+0.00043833i,-0.00026509+3.0357e-06i,-0.00019318-0.00054527i,0.00011833-0.00024363i,0.0004221+0.00062124i,0.00088855+0.00057529i,2.6494e-05+0.00035073i,-0.0011871+0.00086658i,-0.00094091+0.0011431i,-0.00010241+0.00071337i,-0.00025118+0.00058038i,-0.00069199+0.00073226i,-0.00075535+0.00083372i,-0.00069841+0.00077056i,-0.00083793+0.00022154i,-0.001133+5.7948e-05i,-0.00022929+0.00030329i,0.00030456+0.00027223i,-0.00054432+0.00018836i,-4.199e-05-2.0061e-05i,-0.00026306-0.00031505i,-0.00077251-0.00022157i
1.3637e-05+0.003032i,0.001325+0.0034297i,0.0014077+0.0040119i,0.0016062+0.0030634i,0.0011845+0.0025372i,0.00021788+0.001684i,-0.00024381+0.00043367i,-0.00066182+0.00081168i,-0.00097232+0.002411i,-0.0007887+0.0020148i,-0.00029853+0.0003204i,-0.00024513-0.00083626i,-7.377e-05-0.00097045i,-0.00027377-0.00010744i,-0.00033377-0.00016565i,-0.00035108-0.0010436i,-0.00055631-0.0013086i,-6.7032e-05-0.00075538i,0.00032547-0.00027254i,0.00066179+0.00024655i,0.0004458+0.00030971i,0.00026153-0.00010936i,0.00025943+0.00014116i
-0.002097-0.00037762i,0.00039105+0.00044524i,0.0015583+0.0018417i,0.0014154+0.0019662i,0.0010714+0.0027209i,-0.00056796+0.0026512i,-0.0013066+0.0019029i,-0.0013435+0.0015394i,-0.0013894+0.0013414i,-0.00080002+0.00067633i,-0.00072609+0.00087562i,-0.00025137+0.0010926i,8.3845e-05+0.00013036i,-0.00086309-0.00074836i,-0.0013159-0.00051736i,-0.00011082+0.00073491i,0.00050468+0.0013724i,-7.3078e-05+0.00016507i,-0.00039219-0.00092353i,0.00013143-0.00082588i,0.00032753-0.00035658i,0.00053294-0.00016069i,0.00061769-4.4459e-05i
-0.0022072-0.0026839i,-0.0010028-0.00076773i,-0.00074382+0.0010966i,-0.00042261+0.0016702i,-0.00076936+0.0020454i,-0.00077852+0.0020523i,0.00033129+0.0011522i,0.00039903+0.00052134i,-0.00053718+0.00073174i,-0.00073537+0.001122i,-0.00102+0.0010951i,-0.00087565+0.00051012i,-0.00039936+8.1501e-05i,0.00010222-0.0005195i,0.0003433-0.00034706i,-0.00011582+0.00021994i,-0.00060267+0.00023445i,-0.00038053+0.00043368i,8.9224e-06+0.00036702i,0.00063107-0.00025063i,0.00033971-0.00060533i,-0.00095693-0.00063314i,-0.00060038-0.00065623i
-0.00085402+0.00028401i,-0.0013137+0.00055234i,-0.00081973+6.1623e-05i,-0.0003927+0.00051535i,-0.00039267+0.0019527i,-0.00058912+0.002367i,-0.00074398+0.0012918i,-0.00021005+0.0010558i,0.00025173+0.0012288i,-8.8318e-05+0.00076147i,-0.00051297+0.00070759i,0.00011723+0.00082642i,0.00090042+0.00062546i,0.0005103+0.00033722i,-0.00012561+0.00039172i,-0.00017035+0.00029532i,0.00013251+0.00037363i,7.0085e-05+0.00097366i,-4.0307e-05+0.00082896i,-0.0002281+0.0004485i,-0.0004772+3.6955e-05i,-0.00031613-0.00044962i,-0.00024934-0.00043724i
0.00087334-8.1162e-05i,8.9097e-05+0.0011825i,0.0010256+0.0011406i,0.00051738+0.0014145i,-0.0008274+0.0015573i,-0.00062372+0.0016009i,-0.00077276+0.0016788i,-0.0017153+0.0012537i,-0.0016736+0.00091141i,-0.00071721+0.0010024i,-0.00018343+0.00092935i,8.5313e-05+5.9313e-05i,7.5868e-05-0.00031528i,-2.8236e-05+0.00016245i,0.00036987+0.00069215i,-0.00015755+0.0003409i,-0.0004841-2.1209e-05i,-0.00013073+0.00053848i,-0.00015608+0.00062525i,-0.0003262-0.00011338i,6.6883e-05-0.00042285i,0.00024699+0.00027031i,-8.3431e-05+0.00038012i
-0.0017642-0.00081728i,-0.0011591+0.00087489i,-0.00020254+0.0023474i,0.00059044+0.0030407i,0.0010728+0.0028597i,0.0010755+0.0021024i,0.00036816+0.0011517i,-0.00038042+0.0006729i,-0.00061549+0.00075061i,-0.0002396+0.00080722i,-0.00043162+0.00086904i,0.0003014+0.00099074i,0.0012283+0.00074712i,0.00068347+0.0002111i,-0.00054908-0.0006265i,-0.00067259-0.00070949i,0.00028214+0.0001536i,0.00034343+2.6576e-05i,0.00010432-0.00041895i,6.2081e-05-0.00021756i,-0.0004507-0.00045222i,-0.00051435-0.00054504i,-0.00050773-0.00022324i
-0.0017503+0.001165i,-0.0011188+0.0019415i,-3.0808e-05+0.0027253i,0.0024479+0.0025745i,0.0029233+0.0019634i,0.0012188+0.00075967i,-8.4803e-06+3.5284e-05i,-0.0007361+0.0005853i,-0.00060797+0.0014712i,0.00038561+0.0014726i,8.6222e-05+0.0010436i,-0.00018953+0.00036273i,9.3397e-05-0.00018247i,-0.00024149+0.00073963i,-0.00058397+0.0011627i,-0.00060482+0.0012005i,-0.00039488+0.0010934i,-0.00030847+0.0010602i,-0.0001589+0.0012358i,-0.00015019+0.0010452i,0.00022426+0.00073882i,0.00068988+0.00032998i,0.00064089+0.00022144i
-0.00064874+0.0020806i,-0.00016656+0.0015171i,0.00086716+0.0014029i,0.0009292+0.001227i,-4.972e-05+0.0010857i,-0.00028859+0.0012519i,-0.00072531+0.00175i,-0.0013903+0.0018888i,-0.00042422+0.0015932i,0.00049361+0.00058966i,0.00037698-4.9816e-05i,0.00042594-9.8424e-05i,-0.00028527-0.00063688i,-0.0010174-0.0011969i,-0.00084263-0.00089351i,-0.00015756+1.009e-06i,-5.4245e-05+0.00094791i,-0.00033694+0.0011293i,4.263e-05-4.694e-05i,0.00039-0.00026599i,0.00024855+0.00034217i,-0.00081544+8.1003e-05i,-0.001259+0.00034545i
-0.00041655+0.0043701i,0.00034051+0.0037817i,0.0024169+0.002458i,0.0028998+0.0017981i,0.0023216+0.0016301i,0.0010861+0.00084848i,-0.00012254+0.00036397i,-0.00059533+0.00020002i,-0.00092615+0.00054455i,-0.00096229+0.00040952i,-0.00072+2.766e-05i,-0.0003392+7.944e-05i,5.2287e-05+0.00024999i,-1.6438e-05+0.00013261i,-0.00055768-0.00054341i,-0.00030137-0.00060819i,-0.00029645-0.00039385i,-0.00024244-0.00029976i,-0.00022458-3.9783e-05i,-0.00011051-5.2681e-05i,0.00039624-4.547e-05i,3.7068e-05-3.0262e-05i,-0.00033805+0.0002628i
-0.000687-0.0010603i,-0.00064973-4.3221e-05i,-0.00044699+0.0019724i,0.0002119+0.002789i,0.00045445+0.0022508i,0.00051432+0.0014383i,0.00022906+0.0011361i,-0.00057329+0.0013114i,-0.00057398+0.0011073i,-0.00042027+0.0010922i,-0.00030466+0.00054231i,0.00093073+0.00053943i,0.00094769+0.00043186i,-0.00026792-0.00021452i,-0.00071864-0.00011067i,-0.00030894+0.00015089i,-0.00017496+0.00083363i,-0.00045516+0.00061574i,-0.00071972-0.00082011i,-0.00092771-0.0015762i,-0.0010004-0.00093456i,-0.00016195-0.00025773i,0.00060993-0.00020399i
0.0030904-0.0022655i,0.0030353-0.0019291i,0.0029185-0.0018889i,0.0025693-0.0020829i,0.00074089-0.0011374i,-0.00038756-0.00041255i,-0.00032016-1.6388e-05i,-5.7222e-05+0.00082627i,-0.00041699+0.001589i,-0.00053096+0.0015459i,-0.000272+0.00073453i,0.00052787+0.0006714i,0.0013014+0.0004335i,0.0010119-0.0001703i,0.00011222-0.00037431i,-0.00017674-0.00046243i,0.00010805+8.357e-05i,-0.00019534+0.00077846i,-0.0010326+0.00059085i,-0.0013809-0.00030216i,-0.00075607-0.00018819i,-0.000185-0.00010478i,0.00012459-0.00045744i
-0.0019398+0.0028534i,-0.00090432+0.0022511i,-0.0001723+0.0020259i,0.000877+0.0016101i,0.0011126+0.0014499i,-0.0001652+0.0010629i,-0.00046944+0.0010005i,-0.0003467+0.001266i,-0.00088372+0.0012325i,-0.00077667+0.00069781i,-0.00062549+0.000106i,-0.00031049-5.8296e-05i,0.0001998-1.0654e-05i,-0.00086917-0.00017855i,-0.0014217+0.00035487i,-0.00073805+0.00091438i,1.0211e-05+0.00080804i,-7.0787e-05+5.4121e-06i,-8.4103e-05-0.0001016i,-2.5275e-05+0.00048264i,-0.00072702+0.00013551i,-0.00067056-0.0001314i,-0.00014501+0.00044525i
-0.0013008+0.003237i,-1.1948e-05+0.0029089i,0.00043153+6.9923e-05i,0.00015585-0.00016529i,-0.00094699+0.0017914i,-0.00073756+0.0020233i,-0.00060208+0.0015086i,-0.0011076+0.0011418i,-0.00082983+0.0016474i,-6.892e-05+0.0013774i,0.00021081+0.000188i,0.00012187+0.00054639i,-0.00031517+0.00057992i,-0.0012965-2.7786e-05i,-0.00074099-8.3654e-05i,0.00052608-0.00014044i,0.00056058-0.00012505i,0.00072541-5.0268e-05i,0.00078544+0.00062973i,0.00095979+0.0014274i,0.00081671+0.0010672i,8.0404e-05+0.00063228i,0.00014637+0.00026866i
0.0016312+0.0016207i,0.00175+0.0016887i,0.0031104+0.0012991i,0.0032893+0.0006716i,0.0015426+0.00024486i,0.00047856+0.00066848i,-0.00030798+0.0014531i,-0.0010559+0.0021854i,-0.00073261+0.0026778i,7.8272e-05+0.0011595i,0.00038177+0.0001476i,-0.00017817+0.00013798i,-0.00022035+0.00018085i,0.00047647+0.00035322i,0.00031826-0.00010751i,-0.00034238-7.6359e-05i,-0.00053135+0.00039586i,-0.0003316+0.00081553i,-1.6373e-05+0.00044935i,6.8161e-05-4.3914e-05i,0.00034941+0.00012963i,0.00037766+0.00018126i,-0.00010553+0.00094048i
-0.0010053-0.0027165i,-2.8512e-05-0.0012087i,0.0006313+0.0012939i,0.0014582+0.0034168i,0.0011158+0.0026399i,0.0004746+0.00049923i,0.00059623-0.00041802i,-0.00021328-0.00027525i,-0.0011101+0.00057822i,-0.00038675+0.00038313i,0.00048955+0.00025235i,0.001017+0.00049849i,0.00097488+1.6455e-05i,0.00042836-0.000102i,0.00043421-0.00051213i,0.00058905-0.00059447i,0.00054184-0.00025678i,0.00029959-0.00048173i,-0.00054341-0.00042628i,-0.00059081+4.2046e-05i,-0.00022756-0.00017804i,-0.0001468-0.00049059i,-0.0001804-7.5486e-05i
0.0011026-0.00020006i,0.0016013-0.00068282i,0.001404-0.00069044i,0.00099962-0.00039745i,-0.00011599+0.00015181i,-0.00064777+0.00032881i,-0.00037351+0.0010685i,-0.00021021+0.0021557i,-0.00044828+0.0020116i,-0.00019623+0.0010958i,0.00047773+0.00062978i,0.00034524+0.00055453i,3.6682e-05+0.00041814i,-0.00079381+0.0005672i,-0.0015035+0.00064169i,-0.00084221+0.00058951i,-0.00062142+0.00094821i,-0.00059729+0.0010659i,-0.00036444+0.0001287i,-0.00022123-0.00035233i,0.00012523-0.00062665i,0.00062091-0.00045576i,0.00041111+0.00010856i
-0.0025882+0.00135i,-0.0014282+0.00088741i,-0.00037837-0.00028318i,0.00017683-0.000846i,0.00041046+0.00047202i,-1.4914e-06+0.0019738i,-0.00051268+0.0012565i,-0.00011965+0.00063903i,0.00032156+0.00094918i,0.00063878+0.0010795i,0.00026142+0.0012944i,-0.00041996+0.00093142i,1.0506e-05+0.00020403i,0.00041523-0.00060032i,0.00018869-0.00071928i,-0.00010375-3.6712e-05i,-0.00042122+0.00040998i,-0.00025038+1.9852e-05i,-0.00016543-0.00043437i,-0.00046233-0.00056788i,-0.00012615-0.00028669i,0.00022743-6.2522e-05i,-0.00029579-0.00025745i
0.0020052+8.1961e-05i,0.0018809-0.00036208i,0.0022627-0.00014465i,0.0012137+0.0003911i,0.00058833+0.00059135i,0.00062709+0.00088825i,-0.00015163+0.00099892i,-0.0017219+0.0014174i,-0.0015472+0.0015299i,-0.00034103+0.00031778i,-0.00083309-0.00057462i,-0.0011557-0.0003298i,-0.00090942-0.00019611i,-0.00014851+0.0002057i,0.00040804+0.00034203i,0.00028342-0.00016947i,-0.0001577-0.00024571i,-0.00037092-8.9196e-05i,0.00065272-5.078e-05i,0.0010194+0.00020525i,0.00055403+0.00066931i,0.00061579+0.00033582i,0.00049642-0.00033402i
0.0020497-0.0031213i,0.0011297-0.00064024i,0.00061357+0.0017249i,0.00089919+0.0023519i,0.00013921+0.0021694i,-0.00061953+0.0012538i,-0.00073044+0.0002816i,-0.00049998+0.00028092i,-0.00059606-0.00010915i,-0.00083294-0.00067113i,-0.00027006-0.0007109i,0.00013758+0.00022311i,-3.889e-06+0.00065614i,0.00013293-1.8189e-05i,0.00025125-0.00035369i,0.00050657-0.00031871i,0.00085403+0.00013726i,0.00084069+0.00064724i,-0.00017993+0.00040148i,-0.00095128-0.0003399i,-0.00024589-0.00020298i,0.00037973+0.00033089i,9.6139e-05+0.00026471i
-0.0016534-0.0022638i,-0.00039555-0.0011363i,0.00068551-0.00048366i,0.00092604+0.00039225i,-0.00054878+0.0020835i,-0.0008876+0.0026062i,-0.00013121+0.0013388i,0.00030982+0.00043623i,-0.0001254+0.00059168i,-0.00090381+0.00031845i,-0.00088824+7.0229e-05i,-0.00033062-0.00013226i,0.00051309-0.0010533i,0.00089055-0.00083685i,1.5778e-05-0.00011997i,-0.00030163+0.00044615i,-0.00068419+0.00041998i,-0.00099834+0.00016616i,-0.0012214-0.00028444i,-0.00068472-0.00073443i,-0.00013903-0.00081433i,-0.00018725-0.00051637i,0.00053111-1.5499e-05i
-0.0033926+0.0033316i,-0.0016116+0.0019635i,-0.00014289+0.0018386i,0.00098757+0.0020457i,0.0012971+0.0022575i,0.00069235+0.0015625i,-1.776e-05+0.0006105i,-0.0007072+0.0006946i,-0.00080496+0.0012474i,-0.0007147+0.00092837i,-0.00077996+0.00014665i,-0.00049765-0.00044551i,-0.00052178-0.00034828i,-0.0011651-0.00048133i,-0.0011262-0.00051774i,-0.0003288+1.736e-05i,0.00025122+0.0002096i,6.1085e-05+0.00030515i,-6.4556e-05+0.0010166i,-0.00035309+0.0010415i,-0.00076583+0.00060952i,-0.00087662+0.00092496i,-0.00077539+0.00047771i
-0.00036805+0.003339i,-0.00085235+0.0028421i,0.00079913+0.0023909i,0.0011132+0.0017819i,-0.00019435+0.0014933i,-0.00051288+0.0015726i,-0.0012167+0.0017473i,-0.0022256+0.0016003i,-0.0012465+0.0017005i,0.00022928+0.001306i,0.00024572+0.00039437i,-8.6317e-05+0.00039583i,0.00018924+0.00057817i,1.9452e-05-0.0006492i,-0.00046006-0.00077338i,-0.00042362-6.9006e-05i,5.5743e-05+0.00015286i,0.00066211+0.00063033i,0.00061291+0.00028765i,5.6733e-05+0.00029997i,-0.00016338+0.00014033i,-3.4068e-05+0.00023355i,-9.6241e-05+0.00049381i
0.0030569-0.001368i,0.00077473+0.00089123i,-0.00090302+0.0016816i,-0.00074178+0.0017689i,-0.00074245+0.0010841i,-0.00022613+0.00086352i,-0.00031133+0.00097547i,-0.0007671+0.0014515i,-0.00059647+0.0019288i,-0.0010909+0.0012829i,-0.00075191+0.001175i,8.5029e-05+0.00080532i,0.00018107+0.00073233i,-0.00033231+0.00022127i,-0.00060722-0.00029011i,-0.00033477+8.2496e-05i,-0.0010851+0.00035572i,-0.0011958+8.2456e-05i,-0.00079397-0.00054613i,-0.00041315-0.0010812i,-0.00058568-0.00077437i,-0.00059799+0.00086942i,-0.00027698+0.0011724i
0.0003939-0.0029794i,0.00094527-0.0021116i,0.0020789-0.00062806i,0.0025702+0.00073226i,0.0010913+0.0012296i,-0.00085463+0.0016249i,-0.0016574+0.001652i,-0.00073694+0.0014467i,-0.0002075+0.0017225i,-0.00015216+0.0013118i,-0.00018738+0.00059479i,0.00024084-0.0001582i,0.00050268-3.5455e-05i,0.0002135+0.00017007i,0.00083933-0.00019571i,0.0003206+0.00027929i,-0.00070496+0.0011716i,-0.0013185+0.00010324i,-0.00074063-0.00095736i,0.00023659+0.00016896i,8.3267e-05+0.00039986i,-0.00021104-0.00034548i,5.7576e-05-0.0010749i
-0.0012131+0.00048304i,0.0010438+0.00012592i,0.002432+0.00019007i,0.0020417+0.00077516i,0.00093847+0.0015499i,-0.0002854+0.0016939i,-0.0011107+0.0020908i,-0.0007286+0.002391i,0.0001021+0.0020815i,0.00043707+0.0013718i,0.00051665+0.00063612i,-0.00026341+0.00028507i,-0.00087162+0.00025016i,-0.00075709+0.00020079i,-0.00035108-7.9736e-05i,-0.00045276+4.9081e-05i,-0.00073795+0.00011697i,3.6447e-05-3.8476e-05i,0.0012191-0.00012712i,0.00066105+0.00040654i,-0.00028314+0.00049756i,-0.00031744+1.7063e-05i,-0.00023776-4.7765e-05i
-0.0025701+0.004609i,-0.0020226+0.002826i,-0.00033141+0.0021275i,0.00016591+0.0023965i,-0.00058347+0.0018409i,-0.00078529+0.0011704i,-0.00047339+0.00060103i,-0.0006691+0.00059454i,-0.00078094+0.00042558i,-0.00037157+0.00019904i,-0.00061087+8.6183e-05i,-0.0011018+0.00027156i,-0.0006337+0.00021785i,8.5766e-05-0.00022823i,-0.0002869+0.00051371i,-0.00022151+0.00038866i,-0.00013271-0.0005933i,-0.00056025-0.00055346i,-0.00045905-0.00081918i,0.00029518-0.00085856i,4.8075e-05-0.00018409i,-4.26e-05+0.00027058i,0.00042377+0.00084322i
0.0027875-0.0018467i,0.00030533-0.00044874i,-0.0018198-0.00047548i,-0.0018568-9.3228e-05i,-0.0018369+0.00071479i,-0.0016032+0.00021522i,-0.00033066+0.00043095i,-0.00012898+0.0012815i,-0.00042346+0.0013679i,-0.00019295+0.00069239i,-0.00092937+0.00077842i,-0.0013378+0.0011607i,-0.00078495+0.0005496i,-0.00082287-0.000132i,-0.00025332-0.00017236i,0.0001734+0.00071973i,-0.0005394+0.0016825i,-0.00082691+0.0011292i,-0.00066109-0.00031027i,2.128e-05-0.00058914i,0.00030187+9.3477e-05i,-3.9456e-06+0.00011431i,7.3732e-05-0.00099797i
0.0025186-0.003877i,0.0032891-0.0021648i,0.0025478-6.3367e-05i,0.0019467+0.00075998i,0.00076511+0.00077615i,7.6315e-05+0.00021791i,-0.0002325-0.00015349i,-0.0005769+0.00056954i,-0.00041796+0.0014751i,-0.00037697+0.0012199i,-0.00087972+0.00086634i,-0.0013825+0.00032113i,-0.0011881-0.00012289i,-0.00080433+0.0001112i,-8.0125e-05+0.00019863i,0.00044959-4.7315e-05i,0.00036515-0.00018755i,-2.6059e-05+0.00028025i,-0.00058309+0.00071409i,-9.2886e-05-0.00020694i,0.00015038-0.0012946i,5.0079e-05-0.00065671i,0.00029448+0.00028865i
-0.00213-0.00056218i,0.00020339+0.00041961i,0.0029575+0.0016706i,0.0031825+0.0025115i,0.0014672+0.0028112i,-0.00037962+0.0018453i,-0.0010181+0.0014494i,-0.00043179+0.0017788i,-0.00027657+0.0017279i,-0.00060911+0.0011929i,-0.0011746+0.00036098i,-0.00086161+0.00045079i,-0.0004921+0.00032459i,-0.0007259+1.8995e-05i,-0.00071184-4.5135e-05i,-5.0851e-05-0.00024395i,0.00028327-0.00037203i,0.00017414+0.00017679i,-2.362e-05-0.00049869i,-0.0003943-0.0012599i,-0.00067125-0.00013073i,-0.00065018+0.00051359i,-0.00016701-3.2389e-05i
-0.0021888+0.0039472i,-0.0011036+0.0024102i,0.0008816+0.00021137i,0.001525-7.16e-05i,0.00083019+0.001056i,-2.5888e-05+0.0012102i,-0.00055447+0.0011653i,-0.0012044+0.00092633i,-0.00094574+0.0011122i,-0.00032682+0.0014385i,-0.00018578+0.0011007i,-0.00025354+0.0011397i,0.00050563+0.00029091i,0.00071233-0.00073114i,-0.00027538-0.00068557i,-0.00060174-5.7786e-05i,-0.00055073+0.00056167i,-0.00053673+0.00073587i,-0.00056593+0.00054603i,-0.00087675+0.00034118i,-0.00093112+0.00032661i,-0.00042083+0.00049785i,0.00022306+0.00017784i
0.0031213+0.0049173i,0.0025891+0.004592i,0.0027781+0.0022139i,0.0024871+0.00052856i,0.0017301-0.00013995i,0.0015446+0.00043132i,0.00052728+0.0010201i,-0.00042312+0.0013752i,0.0001058+0.0013487i,0.00034753+0.0010151i,-0.00042122+0.00024875i,-0.00065192-0.00044939i,0.00041527-3.2813e-05i,0.00081266+0.0010196i,0.00021356+0.0010634i,0.0004429+0.00081933i,0.00074684+0.00030132i,-0.00046842-9.1614e-05i,-0.00036728-0.00015974i,0.00037973-7.3857e-06i,0.00021286+3.6772e-05i,-0.00037056-0.00011265i,-0.00060539-0.00057035i
0.0044285-0.0028679i,0.0035899+0.00016674i,0.0019126+0.0021168i,0.00045518+0.0011064i,-0.0013252+0.00038922i,-0.0011696+0.00029796i,-0.00050866+0.00080727i,-0.00069722+0.0014839i,0.00019385+0.0016559i,0.0005773+0.00098015i,-0.00034701+0.0005014i,-0.00089649+0.0011057i,-0.00041091+0.00073291i,-0.00029704-0.00050111i,-0.00023605-0.0006761i,2.4616e-05-0.00020222i,-0.00015931-0.00035719i,-0.00076817-0.00036265i,-0.0010795-0.00040073i,-0.00029422-0.00048145i,0.00010519-0.00027835i,-3.3194e-05-0.00022456i,-0.00015382-0.00035052i
-0.0019222-0.0062322i,0.00029205-0.0041325i,0.0010161-0.0016281i,0.00053709+0.00029408i,2.4425e-05+0.0014273i,-0.00020201+0.0016547i,-0.00040766+0.0018286i,-0.0008262+0.0015702i,-0.00045252+0.0014543i,0.00022162+0.00079134i,0.00021133+0.00040908i,-0.00054929+0.00079215i,-0.00089519+0.00045902i,-0.00062077-0.00034019i,-0.0007254-0.00068487i,-0.00052881-0.00021707i,0.00010707+0.00045343i,2.7133e-05+0.00085775i,-0.00030151+0.000257i,-0.00039556-0.00080639i,-0.00050512-0.0003481i,0.00022121+0.00053699i,0.00063855+0.00096917i
-0.0050155+0.0018597i,-0.0041891-0.0004491i,-0.00071652-0.0012272i,0.0012566-0.0012149i,0.0011131-0.00033498i,0.00022173+0.0014393i,-0.00089393+0.0022715i,-0.0010232+0.0024541i,-0.00047281+0.0021965i,-0.00040843+0.001037i,-0.00062405+0.00062102i,-0.00074269+0.00081867i,-0.00046723+0.0003746i,-0.00051405-0.00034721i,-0.0010378-0.00038337i,-0.0012325-0.00012925i,-0.0010433-0.00042305i,-0.00056863-0.00050154i,-0.00030629-0.00073706i,0.0003351-0.00050242i,0.00067541+0.00062592i,0.000264+0.00043497i,9.8419e-05-0.00079811i
0.00092738+0.0070263i,-0.000405+0.0055418i,-0.000453+0.0027966i,0.00057303+0.0015132i,0.0014298+0.001464i,0.0012794+0.0012204i,-0.00025053+0.0012356i,-0.0018816+0.0016498i,-0.0019203+0.0011378i,-0.00022127+0.0010929i,0.00055365+0.0011835i,7.6733e-05+0.0012993i,-0.0002742+0.00072396i,1.2646e-05-0.00012132i,0.0001146-0.0005656i,-0.00011509-0.00056356i,-0.00037311-0.00038732i,0.00025378-8.6917e-05i,0.00077636-0.00021361i,0.00038476-0.00027428i,0.00032307+0.00065223i,0.00035698+0.00091957i,0.00013843+0.00017218i
