-0.00020649+0.00033112i,0.00036968+0.00048932i,0.000891-3.2558e-05i,-0.00015699-0.00073295i,-0.0019606-3.7484e-06i,-0.0024244+0.00089512i,-0.0012606+0.00079829i,3.6355e-05+0.00044395i,0.00091957+0.0004327i,0.0010311+0.00011107i,0.00095614-0.00032809i,0.00044729-0.00047547i,-0.00048857+7.8335e-05i,-0.0011708+0.00061156i,-0.0013239+0.00099312i,-0.00084101+0.00080973i,-0.00028687+0.0004523i,0.00016182+0.00074192i,-0.0002328+0.00088101i,-0.0004726+0.00049907i,0.00032649-0.00022239i,0.00029974-0.00017854i,-0.00061001-6.0504e-05i
0.00081917-0.0018153i,0.00013628-0.0016524i,-0.00035926-0.0016423i,0.00030992-0.0018364i,0.0020586-0.0023579i,0.0028456-0.0021034i,0.0020833-0.0017367i,0.00056098-0.0010414i,-0.0003206-9.6584e-05i,-0.00021176+0.00026389i,-0.00068811-0.00035945i,-0.0014958-0.0010206i,-0.00099702-0.00086259i,7.7598e-05-0.00069224i,-0.00018807-0.0010928i,-0.0010042-0.00053847i,-0.0012137+0.00049917i,-0.001+0.00040815i,-0.00045024+0.00060172i,0.00012754+0.00073693i,0.00061575+0.00020176i,0.00050402-5.8301e-05i,0.00024876-0.00026478i
0.0013535+0.0010609i,0.0024262+0.0016138i,0.0032153+0.0013385i,0.0027018+0.00096646i,0.0011597+0.00046664i,0.00066609-0.0005115i,0.0010568-0.00095528i,0.00080506-0.00099857i,0.00089296-0.0010435i,0.00065439-0.0013568i,0.00048535-0.0013606i,0.0003556-0.00073516i,-0.0006649-0.00043315i,-0.00090978-0.000493i,-0.0012093-0.00068274i,-0.0016768-0.00011613i,-0.00065335+0.001277i,-0.00017647+0.0010391i,-0.00088045-0.00033482i,-0.00094212-0.00051884i,-0.00022333-0.00063515i,0.00051643-0.00063605i,0.00041731-0.00025139i
0.00051068+0.0025353i,0.00044823+0.0018418i,0.0014681+0.00098388i,0.0020846+0.00031788i,0.0012038-0.00051634i,0.00015379-0.001927i,0.00040956-0.0023296i,0.00017645-0.0015547i,-0.00020466-0.0015991i,-0.00014375-0.0020608i,-0.00019642-0.0014142i,0.00040428-0.00056974i,0.00091145-0.00060523i,-0.0002021-0.00088686i,-0.0012639-0.0010638i,-0.0008134-0.0003594i,-0.00033706-0.00018177i,-0.00030258-9.8058e-05i,0.00043903+0.00016691i,0.00055234-4.5226e-05i,0.00014165-0.0001271i,-6.2051e-07+0.00045746i,5.7583e-05+0.0012424i
0.00051554+0.0020154i,0.00090374+0.0012136i,0.00023482-0.00011341i,-0.0007755-0.00051831i,-0.00060033-4.6101e-05i,5.7513e-05-0.00016962i,0.00010576-0.001093i,-0.00042322-0.0012228i,-0.00092014-0.00062058i,-0.001122-0.0004117i,-0.0015711-0.00048239i,-0.0016107-0.00014332i,-0.00075991+0.00023648i,-0.00043649+0.00013201i,-0.0013593+0.00033395i,-0.00102-0.00065578i,-0.00072669-0.0017258i,-0.0010203-0.00047767i,-0.0010675+0.00055269i,-0.00031902-0.00020303i,0.00017236-0.00086039i,0.0003327-0.0010997i,0.0010471-0.0007848i
-0.0014646-0.00034174i,-0.00038952+0.00083385i,0.00014468+0.00011152i,0.00079898-0.0010798i,0.0010594-0.0012458i,0.00069355-0.0013104i,0.00022139-0.0017694i,-0.00010726-0.001817i,-0.00081727-0.00048836i,-0.0010108+0.0012672i,-0.00071919+0.0018771i,-4.2715e-05+0.0017595i,2.3898e-05+0.0017224i,-0.00017197+0.00066439i,0.00040133+0.00031335i,0.00020066+0.00061815i,-0.00038891-6.6485e-05i,-0.00064129-0.00078717i,-0.00086136-0.00051533i,-0.00067269+0.0001942i,-0.00040363+0.00057203i,-0.00048758+0.00034487i,-0.00038491-2.4171e-05i
-0.0029002+0.00049102i,-0.0021504+0.0023207i,-0.0012398+0.0033402i,-0.00061967+0.0021761i,0.00085292+0.00051339i,0.0013337-0.00063866i,0.00020992-0.0012358i,0.00026654-0.00070674i,0.00055496+0.00060205i,0.00076618+0.0016604i,0.00033496+0.001834i,0.00019449+0.0012685i,0.00088752+0.00059636i,0.0015769-0.00030865i,0.0018372-0.00066472i,0.0014669-0.00068058i,0.00066876-0.00040248i,-2.0764e-05-0.00026113i,-6.839e-05+0.00013094i,3.4535e-05+0.0013487i,-0.00039763+0.001773i,-0.00023025+0.00096067i,0.00049036-0.00022467i
0.00089898+3.7342e-06i,0.00023638+0.0014624i,-0.00040983+0.0016325i,-0.00018936+0.00090808i,0.00078837+0.0001969i,0.001246-0.0014162i,0.00060456-0.00207i,0.00085599-0.00073223i,0.0010668+0.00047156i,0.001004+0.000588i,0.00088485+0.0013193i,-0.00032204+0.0013874i,-0.00082587+0.00022718i,1.249e-05-0.00050644i,2.2706e-05-0.00031346i,-0.00050232-3.3424e-05i,-0.00022031-0.00031688i,0.00074126-1.1565e-05i,0.00054569+0.00016943i,-2.5113e-05-4.442e-05i,0.00011688+0.00027007i,0.00029523-0.0003523i,-6.1511e-05-0.00072299i
-0.0011595+0.001123i,-0.00030659+0.0001155i,0.0016411-0.00011841i,0.0020194-0.00085986i,0.0021929-0.0014462i,0.0022515-0.0013247i,0.0014739-0.0017965i,0.00081055-0.0017869i,0.00071872-0.00046555i,0.00032083-0.00033357i,-0.00014587-0.00083007i,-0.00075464-0.00070674i,-0.00077954-0.0003748i,-0.00024982+0.00076591i,-0.00028487+0.0016684i,5.1485e-05+0.0011701i,-0.00014544+0.00044144i,1.4288e-05+0.0003593i,0.0010161+0.00064403i,0.0010026+0.00033994i,0.00022336+0.00054745i,-0.00041946+0.00028024i,-0.00019235-0.00061224i
-0.0027733-0.00075276i,-0.0026134+2.2735e-05i,-0.0030205+0.0020669i,-0.0027265+0.0029724i,-0.00067986+0.000942i,0.00064981-0.0022425i,0.00030822-0.0034524i,-0.00011401-0.0028583i,-0.00094162-0.0024179i,-0.0015-0.0016603i,-0.0014094-0.0010266i,-0.00055015-0.0010684i,0.00091901-0.0007591i,0.0013614-6.1736e-06i,0.00053808+0.00036542i,0.00013694+5.8808e-05i,0.00027348+0.0005053i,-5.0974e-05+0.0010441i,0.00029413+0.00090187i,0.00034964+0.00034487i,-0.0004338-7.0155e-06i,-0.00045954-4.9852e-05i,-0.00048765-0.00061797i
-4.2085e-05+0.00084795i,0.0008908+0.0012533i,0.00061173+0.0020224i,-9.1785e-05+0.0021653i,0.00019684+0.0011641i,0.00072998-0.00079071i,-0.0001416-0.002039i,-0.0013593-0.0014859i,-0.0019967-0.00049744i,-0.0018167-0.0004879i,-0.00049642-5.5243e-05i,0.00044901-6.4104e-06i,-0.00018367-0.00029633i,-0.00036217+0.00011256i,-0.00064272+0.00047654i,-0.0007981+0.00075371i,3.8917e-05+0.0012966i,3.9037e-05+0.00098289i,-0.0006392+0.00010308i,-0.0015304-0.00023384i,-0.0013409+3.5636e-06i,-0.00031358-0.00015162i,-0.00011306-0.00025738i
-0.00083224+0.0029836i,-0.0011896+0.0025843i,0.00012595+0.0013704i,0.0011462-0.00024813i,0.0004511-0.00093977i,0.00023716-0.0010673i,7.2371e-05-0.0012394i,-0.0011901-0.00094857i,-0.0014875-0.00031913i,-0.0012543+0.00032133i,-0.00054502+0.00039241i,0.00015797+0.00092628i,-0.00040798+0.00081745i,-0.0015927-0.00039863i,-0.0019896-0.0011064i,-0.0012455-0.0011656i,-0.00086171-0.00030563i,-0.00031814+0.00062114i,-0.00019213+0.00083695i,-0.0012976+0.00032345i,-0.00082288-0.0003253i,-0.00042575+9.8501e-05i,-0.0014164+0.00083173i
-0.0018892+0.0014804i,-0.0021709+0.0017163i,-0.00095651+0.001547i,-0.00087851+0.00078026i,-0.0013422+0.00015505i,-0.00024433-0.00015337i,0.00077758-0.00037983i,0.00056604-0.00045238i,0.00080965+7.2083e-05i,0.0010794+0.00051855i,0.0011531+0.00074914i,0.00047133+0.00076702i,-0.00073089-8.3499e-05i,-0.00085445-0.0011789i,-0.00058561-0.0019932i,-0.00092907-0.0018379i,-0.00083221-0.00057701i,-0.00053939+0.00032014i,-0.00013329+0.00043229i,2.6447e-05+1.1932e-05i,-0.00024998-0.00022751i,-0.00015293-0.00052283i,-0.00023438-0.00064968i
-0.00079838-0.0023751i,-0.0021732-0.0012402i,-0.0031384-0.00062272i,-0.0018416-7.9289e-05i,-0.00013874-0.00019086i,0.00098412-0.00079962i,0.0014271-0.001578i,0.0015861-0.001256i,0.00142-0.00056559i,0.00035765-5.6434e-05i,-0.0002314+0.0007268i,2.0592e-05+0.0015259i,-9.5069e-05+0.00081469i,0.00018061-0.0011739i,0.00018157-0.00072638i,-1.7377e-07-0.00016246i,0.00050652-0.00096967i,-2.2637e-05-0.00084346i,-0.00096452-0.00024094i,-0.00043116-2.9061e-06i,-1.1013e-05-0.00019585i,9.4089e-05-0.0010019i,0.0007378-0.00089659i
0.00054176-0.0018376i,0.0011329-0.0017591i,0.0014168-0.0020434i,0.0015848-0.0016679i,0.0013926-0.0010661i,0.0011277-0.0011758i,0.0016977-0.0019605i,0.0015406-0.0022516i,0.00056403-0.0015176i,0.00041847-0.00089161i,0.00015121-0.00041875i,-0.0013445+0.00026216i,-0.0013064+0.00024002i,-7.0628e-05-0.0002496i,0.00011719-0.00021243i,3.6283e-05+0.00011423i,0.00064406-0.00059741i,0.0013417-0.00097873i,0.0011951-0.00043299i,0.0011396+6.0195e-05i,0.0010656+0.00019406i,9.8456e-05-8.0746e-05i,-0.00024-0.0003991i
-0.002365+0.0029803i,-0.0027217+0.0035641i,-0.0022709+0.0036964i,-0.0010976+0.00249i,0.00049946+0.00061043i,0.0017166-0.0010517i,0.0017387-0.0016494i,0.0012111-0.0015853i,0.00082502-0.0010024i,0.00013006-0.00055441i,-0.00089566-0.00090805i,-0.00054323-0.0007118i,0.00027465+0.00020399i,0.00072023-0.00014941i,0.00066544-0.0013169i,0.00061691-0.0014083i,0.00072208-0.00054254i,0.00048581-0.00037991i,0.00089823-0.00026687i,0.00089706+0.00035682i,0.00055841+0.00057284i,0.0011465+0.00057055i,0.00090246+0.00032584i
-0.0031157-0.00069153i,-0.0026813-0.001099i,-0.0024075-2.4415e-05i,-0.001832+0.00097671i,-0.00085513+0.00071148i,0.00034048-0.00077641i,0.00070297-0.0021102i,-0.00054141-0.0021177i,-0.0013175-0.00083442i,-0.00095792-0.00044964i,-0.00052974-0.00037261i,-5.3734e-05-0.00033945i,3.8394e-05-0.00027012i,0.0002323-5.4348e-05i,0.00037204-5.9803e-05i,4.0585e-05+0.00036316i,7.9579e-05+0.00071218i,0.00041386+0.00092372i,0.00017985+0.00071734i,-0.00027529+0.00014688i,-0.00023533+0.00037398i,-0.00031809+0.00056878i,-0.00013006+0.00031809i
0.0019624-0.0018443i,0.0029676-0.0022261i,0.0016238-0.0026119i,0.0010437-0.0028959i,0.00043304-0.0036255i,-0.00071524-0.0029122i,-0.0010485-0.0015301i,-2.9388e-05-0.00099631i,1.4744e-05-0.00084274i,-0.00073929-0.00040124i,-0.00067926-5.8712e-05i,-4.4611e-05-0.00041794i,-0.00053895+0.00024196i,-0.0012229+0.0010181i,-0.00059778+0.00053788i,2.8691e-05+0.00067384i,-0.00035137+0.0010815i,-0.00093235+0.0015693i,-0.00054411+0.0014846i,0.00045536+0.0010752i,0.00051486+0.00032899i,-5.0743e-05-0.0004162i,-0.00047813-5.6135e-05i
-2.8822e-05+0.0013132i,7.6382e-05+0.0012417i,0.00014926+0.00079189i,-0.0002862+0.0011858i,-0.00018922+0.00044245i,0.0012506-0.0010873i,0.002115-0.002269i,0.0010482-0.0019954i,-0.00024065+3.5332e-05i,0.00084231+0.001091i,0.0022598+0.00024141i,0.0018608-0.0010765i,0.00033394-0.001312i,-0.00056309-0.00060224i,-0.00035826+0.00010006i,2.6571e-06+0.00060035i,-0.00020799+0.0012297i,-0.00058242+0.0013758i,1.3073e-05+0.00094744i,0.00013377+0.00056254i,-0.00033659-4.5717e-05i,-0.0010499-0.00018594i,-0.0011013+6.3326e-05i
-0.002034+0.00096612i,-0.0013317+0.0015537i,-0.00035211+0.0013798i,0.00073431+3.4405e-05i,0.0014998-0.00021858i,0.0017915-0.00045421i,0.0014892-0.001185i,0.00071037-0.0013118i,0.00055045-0.00052248i,0.00082025+0.0007532i,0.00066222+0.0014246i,-0.00035903+0.00089903i,-0.00058333+2.5257e-05i,-0.00052256-0.00020127i,-0.0011105-0.00026535i,-0.0012-0.00046422i,-0.0011793+0.00037936i,-0.0017841+0.0006047i,-0.0016818-0.00012784i,-0.00073089-0.00012288i,-0.00013714+8.4872e-05i,-0.00016361-0.00043444i,-8.5492e-05-0.0008267i
-0.0023005+0.00017539i,-0.0024262+0.0020976i,-0.0019224+0.002915i,-0.00068073+0.0014333i,0.00054596+6.0061e-05i,0.00080713-0.0018258i,0.0010513-0.00315i,0.00063744-0.0023657i,0.00016164-0.00096219i,-0.00010351-0.00041158i,-0.00036679+0.00015614i,-6.3919e-05+0.00047553i,-3.6885e-05+0.00024761i,0.00013804-0.00054216i,0.00038743-0.0012535i,6.7946e-06-0.0010056i,-0.0002532-0.00054729i,-7.0645e-05-0.0008361i,-0.0002257-0.00079166i,-0.00035642-0.00029797i,-0.00056811-0.00024343i,-0.00063646-1.8298e-05i,-0.00010338-0.00033061i
-4.9354e-07+0.00055422i,-0.00027832-0.00031209i,0.00072698+0.00029352i,0.0011171+0.00024372i,0.00016825-0.00068641i,-0.00032317-0.0011322i,-5.2785e-05-0.0016712i,-0.00028411-0.0024252i,-0.00041325-0.0020926i,-0.00077653-0.0014492i,-0.0012723-0.00092665i,-0.0012795+0.00042697i,-0.00080363+0.0007001i,-0.00077332-0.00019047i,-0.0010946-0.00097115i,-0.00090549-0.000785i,-0.00090283-0.00057813i,-0.00037262-0.00045116i,0.00030725-0.00019797i,-0.00031069+0.00049107i,-0.001242+0.00055877i,-0.0011375-0.00016425i,0.00033497+5.1768e-05i
0.00026029-0.0036072i,4.4362e-05-0.0026038i,-0.00035581-0.0012489i,-0.00070963-0.00072205i,-0.00062311-0.00063757i,-0.00089643-0.0012496i,-0.00067026-0.0021464i,-6.8105e-05-0.0024933i,-0.00048555-0.002008i,-0.0013937-0.00052799i,-0.0012219+0.00049156i,-0.00046149+0.00055001i,0.00047924+0.0001874i,0.00096052+0.00070391i,0.00098201+0.00074918i,0.00073564+0.00064043i,0.0007485+0.00091489i,0.00071539-0.00076826i,0.00046322-0.001442i,0.00052989-0.000606i,0.00043975-0.00025655i,-0.00014966-0.00022668i,-0.00030242-2.9534e-05i
0.0010252+0.00036025i,0.0013976+0.0002911i,0.001767-0.00016142i,0.0014103-0.00049017i,0.0013916-0.00088521i,0.00097902-0.00038552i,0.00072846-0.00022174i,-1.6632e-05-0.00053227i,-0.00087017+6.4444e-05i,-5.8953e-05+0.00034277i,1.3156e-05-0.00064484i,-0.00027467-0.0011433i,-0.00035497-0.00096159i,-0.00034689-0.00089893i,-0.00015038-0.00065651i,0.0006168+4.6897e-05i,0.00054994+0.00053268i,0.00062591+0.00075466i,0.00080505+0.00082007i,0.00041328+0.00039481i,0.0010197+0.00021941i,0.001599-3.4889e-05i,0.0013391-0.00070419i
-0.0016823+7.7742e-05i,-0.0024228+0.00020244i,-0.0010291+0.00034647i,0.00055096+0.0013296i,0.00074717+0.0013239i,0.001333-0.00026006i,0.0012389-0.00075849i,0.00018346-0.00030003i,-0.00031879+0.00018935i,-0.00021778+0.00056345i,-7.4209e-05-0.00048639i,-0.0003702-0.0013612i,-0.00040807-0.0011045i,0.00077399-0.0010631i,0.0016215-0.00038022i,0.0014684+0.00025537i,0.00080772+0.00083764i,0.00038784+0.00078599i,0.001001-0.00031875i,0.001548-0.00037198i,0.00045648+0.00011049i,-0.00035981+0.00033814i,0.00059384-1.7597e-06i
-0.00094068-0.0010221i,-0.0013168-0.00032285i,-0.0011387+0.00028365i,-0.0014444-0.00022063i,-0.0003853-0.00017102i,0.0023532-0.00054055i,0.0030874-0.0012383i,0.001088-0.0011824i,-0.0003046-0.0010491i,-0.00019182-0.00059264i,1.6953e-05-4.8069e-05i,0.00024349-0.0004275i,0.0008614-0.0003629i,0.00097885+0.00064187i,0.00033173+0.00070109i,0.00030992+0.00031031i,0.00072338-0.00019774i,0.0013082+0.00016921i,0.0015235-0.00011831i,0.00066612-0.00090696i,0.00017201-0.001037i,0.00040563-0.001238i,0.00047263-0.0012843i
-0.0021061+0.0022303i,-0.0021509+0.0027847i,-0.0016213+0.0037746i,-0.00088089+0.0025871i,4.1225e-05+0.0012147i,0.0010702-0.00036369i,0.00059938-0.0021454i,0.00019874-0.0024992i,0.00058591-0.0013879i,0.00086195-0.00020591i,0.0009491-0.00015962i,0.00098321-0.00025059i,0.0010902+3.5968e-05i,0.00087242+0.00017688i,0.00057389+0.00043078i,5.3259e-05+9.9931e-05i,-0.00094863-0.0005294i,-0.0014224-0.00034284i,-0.00088062-9.7247e-05i,-0.00062388-0.00028411i,-0.00089401-0.0003631i,-2.7784e-05+0.00015902i,0.0003301+0.00029742i
-0.0011106+0.0005439i,-0.0012203+0.00012104i,-0.00078905+0.00017051i,0.00062601-7.3046e-05i,0.0016479-0.00094349i,0.0020153-0.00235i,0.0011496-0.0028467i,-0.00019969-0.0020787i,-0.0006718-0.0011409i,-0.00016872-3.1317e-05i,-0.00046737+0.00063265i,-0.0002157+0.00064325i,0.00056031+0.0011392i,9.9367e-05+0.0013463i,0.00043717+0.00086066i,0.00088789+0.0013073i,0.00044048+0.0010619i,0.00040294+0.00050052i,-0.00016374-7.4501e-05i,-0.00092319-0.00062658i,-0.00060733+0.00017924i,-0.00012816+0.0005211i,-0.0001831+0.00016619i
0.00080597-0.002097i,0.00062719-0.0023386i,0.0014719-0.0038333i,0.0013515-0.0036055i,-1.3207e-05-0.0018877i,0.00026022-0.00093708i,0.00053668-0.0013617i,7.9557e-05-0.0019217i,1.6313e-05-0.00078378i,-0.00088774+0.00037012i,-0.0017676+0.0002549i,-0.0018215+0.00018795i,-0.0014391+0.00032604i,-0.0014317+0.00034535i,-0.0012558+0.00093843i,-0.00084724+0.0012353i,-0.00087413+5.3644e-05i,-0.00028175-0.00019715i,5.4812e-05+0.00034824i,-0.00012787-0.00056175i,-0.00014627-0.00043451i,4.3326e-05+0.00097444i,0.00045594+0.00067592i
0.0015129-0.00062367i,0.00026682-0.0010621i,0.00098302-0.0019163i,0.0011017-0.0017435i,-9.6986e-05-0.0014956i,-0.00032614-0.0012003i,0.0003362-0.00057085i,-0.00047315-0.00034351i,-0.0011271+0.00016738i,-0.00059341+0.00066982i,-0.0010832-0.0001513i,-0.00089361-0.00069715i,-0.00056359-0.00037844i,-0.0011403-0.00019147i,-0.0016866-4.6294e-05i,-0.0021951+0.00083443i,-0.0013306+0.00060745i,-0.00060504+0.00043357i,-0.00048216+0.00037897i,-0.0006037-0.00026954i,-0.00085472-4.7743e-05i,0.00011196+0.00066891i,-2.3056e-05+0.00077603i
-0.00046317+0.00011708i,-0.0010263+0.0012157i,-0.00092104+0.0018403i,-0.00087533+0.0022017i,-0.00068199+0.0023579i,0.00042099+0.0011745i,0.0010496-0.00058331i,0.00099029-0.0013215i,0.0012918-0.00084379i,0.001269-0.00069064i,0.00030831-0.0015423i,-0.00061237-0.0018882i,-0.00063475-0.0012647i,0.00023755-0.0010895i,0.00037752-0.00074619i,-0.00070155+0.00019361i,-0.00072996+0.00039393i,-0.00051356+0.00027504i,-7.6282e-05+0.00037075i,0.00025561+0.00014593i,-0.00021908-0.00032251i,-0.00050893+0.0004676i,-0.0007638+0.00087135i
-0.0026673-0.00084109i,-0.0021128-0.00083616i,-0.0013803-0.00026061i,-0.001074+0.00065858i,-0.00054195+0.00086603i,0.0012424+6.4704e-05i,0.0024299-0.00069728i,0.0021451-0.0003819i,0.00067239-1.2363e-07i,-0.00028791-0.00039217i,-0.00042447-0.00079652i,1.9559e-05-0.00026316i,0.00016532-0.00038099i,0.00022819-0.00048262i,0.00059087-4.1975e-05i,-0.00031778-0.00053267i,-0.00059279-0.0004852i,-0.00042281+0.00037701i,-0.00047746+0.00041549i,0.00011048+4.097e-05i,0.00031166-0.00038086i,0.00019676-0.00063687i,-2.9949e-05-0.0007024i
-0.00095515+0.00016505i,-0.00054323+0.00061987i,1.0976e-05+0.0012314i,0.00043194+0.0011987i,-7.6684e-05+0.00039173i,0.00062654-0.001226i,0.0014458-0.0019316i,0.001715-0.0017324i,0.0016589-0.00073665i,0.00042332-0.00081209i,-0.00068071-0.0012251i,-0.0010375+6.6996e-05i,-0.0014653+0.00056651i,-0.0015846-0.00024562i,-0.00049598-0.0012986i,-0.00047959-0.0017828i,-0.00054388-0.0012066i,6.6331e-05-0.00022775i,3.5997e-05+2.6254e-05i,-3.3707e-05-0.00030338i,-2.2515e-05+6.391e-05i,5.5457e-05+0.00027019i,0.00051945-0.00024469i
-0.0028748-6.0488e-05i,-0.0029603+0.0016536i,-0.0024751+0.0026147i,-0.00082636+0.0021428i,0.00053103+0.0015643i,0.0016182-4.5236e-05i,0.0014387-0.0017702i,0.00095031-0.0021346i,0.0003845-0.00091485i,0.0001196+0.00030651i,0.0008496+0.00091638i,0.0018929+0.0010249i,0.002005-6.8668e-05i,0.00178-0.00090611i,0.0016053-0.00097195i,0.0010191-0.00054974i,-7.8117e-05-0.00022117i,-0.00054613-0.00051844i,-0.00033701-0.0005825i,0.00032216-0.00058038i,0.00025262-0.00066195i,4.639e-06-0.00095314i,2.3415e-05-0.001015i
-0.0020935-4.6142e-05i,-0.0025317+0.0017702i,-0.0024884+0.0015154i,-0.0020928+0.0012216i,-0.00057212+0.00065734i,0.0016343-0.00059594i,0.0015688-0.0018408i,0.00047637-0.0021937i,-0.00028188-0.0013234i,-0.00036288-0.00077905i,0.00018791+0.00043078i,0.00050917+0.0016145i,0.0010228+0.0014098i,0.0012036+0.001016i,0.0010065+0.00063046i,0.00081173+0.00027948i,0.0011439+0.00026679i,0.00037479+0.00097302i,-0.00093423+0.0011304i,-0.00098639+0.00076168i,-0.00042892+0.00020494i,-0.00034003-9.8184e-05i,0.00011822+0.00026219i
-0.0005966-0.0023091i,-0.0020679-0.0032014i,-0.0027158-0.0019437i,-0.0020353-0.00059202i,-0.00057106-0.00041747i,0.001457-0.00084916i,0.0016045-0.0019478i,-0.00019198-0.0019915i,-0.0013004-0.00070356i,-0.00094081+0.00047782i,-0.00094165+0.00038054i,-0.00099448+0.00041374i,-7.2409e-05+0.0016523i,0.00095698+0.0019893i,0.0011494+0.0013661i,0.0017225+0.00047685i,0.0015318+5.9908e-05i,0.00089091+0.00054874i,0.00035592+0.00065541i,0.00022498+0.00014766i,0.00051041-0.00014205i,0.0011465+0.00024389i,0.00077808+0.0004239i
-0.0015568+0.00038567i,-0.003189+0.00080959i,-0.0032912+0.0016245i,-0.0015242+0.00055875i,0.00030845-0.00127i,0.0013349-0.0024394i,0.0019812-0.0018056i,0.0013379+1.7754e-05i,0.0002352+0.0011702i,-0.00016542+0.00033634i,-0.00065805-0.00089773i,-0.0012762-0.00079341i,-0.00048073-0.00060785i,0.00089734-0.0002405i,0.0017423+5.8678e-05i,0.0016781+0.00040013i,0.0014152+0.0011043i,0.0011114+0.00064534i,0.00013047+3.4186e-06i,-0.00014146-0.00067355i,3.5936e-05-0.00043621i,-0.00042742+3.0428e-05i,-0.00062905-0.00040248i
-0.0016067+0.00085137i,-0.001074+0.00069268i,-0.0012769+0.00089071i,-0.0019681+0.0017761i,-0.00052039+0.0013091i,0.0012703+5.9251e-07i,0.0010155-0.0010689i,0.0005904-0.00095989i,-0.00024438+0.00026543i,-0.00087898+0.00064521i,-0.0011251-0.000169i,-0.0011742-0.00096788i,-0.00097224-0.00044773i,-0.00071583-0.00026711i,2.2544e-05-0.00013379i,0.00044938+0.0013836i,0.00050334+0.0016709i,0.0005185+0.00038754i,0.00073623-0.00029241i,0.00038407-0.00099659i,4.4887e-05-0.00043554i,-0.00031606+0.00072574i,-0.00082048+5.2526e-05i
-0.00083494+0.00047249i,0.0009251-0.00060378i,0.0019313-0.0010184i,0.00028663-0.00041613i,-3.1911e-06-0.00030017i,0.00093749-0.0013498i,0.0014667-0.002025i,0.0018062-0.0016742i,0.0017949-0.00041964i,0.0011865+0.00062674i,0.00039078+0.00050648i,-0.00089778-0.00026376i,-0.0016598-0.0010059i,-0.0018133-0.00022892i,-0.0018776+0.0007647i,-0.0022001+0.00083025i,-0.0015748+0.00022443i,1.3083e-05-0.0002096i,0.00085953+0.00038248i,0.0005193+0.00095522i,0.00033059+0.00052469i,0.00070088+0.00037719i,-0.00041577+3.6195e-05i
-0.0021878-0.00045054i,-0.00047117+6.5527e-05i,0.00036233+0.00087707i,0.00013568+0.00084077i,0.00060388-0.00038198i,0.0018677-0.0013367i,0.00088078-0.0013665i,-0.00028659-0.0014399i,5.055e-05-0.0013694i,0.00014474-0.00067855i,0.0009878-0.000517i,0.0014345-0.00093862i,0.0008369-0.0011896i,0.00062387-0.00058046i,0.00026051-0.00046071i,-0.00064925-0.00058619i,-0.0012054+0.00022343i,-0.00078853+7.4379e-05i,-0.00071305-0.00010908i,-0.00075798-0.0002467i,-0.00038542-0.00024942i,-0.00018953-0.00027504i,0.00019554-0.00082931i
-0.0012293-0.0020227i,-0.0002696-0.0016865i,-2.4419e-05+0.00057734i,8.6736e-05+0.0016244i,0.00065558+0.00046719i,0.0015429-0.000906i,0.001733-0.0022664i,0.00027078-0.002433i,-0.00066872-0.00069004i,-0.00013145+0.00021451i,0.00045693-0.00015694i,0.0009032-0.00055876i,0.0013685-0.00044589i,0.0010872-0.00021148i,-6.6702e-05+0.00015162i,-0.00086919+0.00048089i,-0.00072346+0.00023773i,-0.00047716+4.7517e-05i,-0.00069777-0.00014763i,-0.00066649+9.2797e-05i,-0.0002309+0.00046238i,-0.00088013+1.361e-05i,-0.0012194-0.00037067i
-0.00023396-0.0003964i,-0.00038397+0.00024265i,-0.001029-0.00012029i,-0.0021127+0.00016131i,-0.00042503+0.00028495i,0.0018084-0.00037064i,0.00098121-0.0014353i,-0.00067831-0.0016437i,-0.0016358-0.00099931i,-0.0014967-0.00072832i,-0.00050293-0.0011394i,-0.00026587-6.9819e-05i,-0.00046399+0.00050698i,-0.00028616-0.00038774i,-0.00058689-5.1524e-05i,-0.00089253+0.00017845i,-0.0011062-2.3986e-05i,-0.00074895+0.0004061i,0.00063743+0.00041626i,0.00097473+0.00048296i,-0.00051647+0.00023894i,-0.00080964+0.00051593i,0.00038259+0.00095732i
-0.0017322+0.00027527i,-0.0013417+0.00081364i,-0.00028229+0.0005193i,0.0001699-0.00056275i,0.00019839-0.0014497i,0.0010196-0.0013459i,0.0012752-0.00080596i,-0.00030697-0.00055241i,-0.0017348+0.00050427i,-0.0022806+0.00077733i,-0.0020798+0.0004343i,-0.0013122+0.00076396i,-0.00049494+0.00088747i,-6.022e-05+0.00037829i,5.8402e-05+0.00017055i,-0.00011178-0.00028659i,-0.00036567-0.0010764i,-0.00016253-0.0010015i,-0.00015638-0.00037239i,-0.00042478+9.879e-05i,-0.00049856+0.00029026i,-0.00025454+0.00018257i,0.00034172-0.000128i
-9.7239e-07+0.00075787i,-0.00029759-0.00025474i,-0.00038282-0.0010039i,-0.0011897-0.00012815i,-0.0012692+0.00047752i,-6.4872e-06+0.00060752i,0.001603+0.00030986i,0.0019266+0.00021387i,0.00040171+0.00030749i,-0.0010826+0.00051271i,-0.0012393+0.00057163i,-0.001579+0.00069276i,-0.0019737+0.00038706i,-0.0016972+0.00089118i,-0.0012316+0.00086242i,-0.00014183-0.00013965i,0.0002752-0.00031434i,0.00013806-0.00033147i,8.043e-05-0.00027956i,8.416e-05-0.0004843i,0.00019633-0.00076683i,0.00070271-0.00059182i,7.5944e-05-0.00056394i
