-0.00075411+0.0010241i,-0.0010309+0.00025602i,-0.0022785-0.00041652i,-0.0020917-0.0002776i,-0.0020212+0.00098911i,-0.0022488+0.0019995i,-0.0012561+0.0024432i,0.00075798+0.0016118i,0.0018365+0.00035289i,0.0011001-0.00022022i,-7.0064e-05-0.00051711i,-0.0002951-0.0012422i,-0.00022195-0.00078755i,-0.00027794+0.00066637i,-0.00021901+0.0014319i,-0.00031161+0.001117i,-0.0001086+0.00049594i,-6.1171e-06+0.00041178i,-9.1047e-05+0.0010865i,-0.00044937+0.00096539i,-0.00018256+0.00021661i,-0.00023096-0.00067568i,-0.00057957-0.00039193i
-0.00053693+8.3495e-05i,-5.5275e-05+0.00095722i,0.00061526+0.0012771i,0.0006043+0.00059637i,-0.00073859-0.001915i,-0.00072904-0.0037418i,0.00051034-0.0025141i,2.4114e-05-0.0011104i,-0.00044622-0.0010517i,-0.00031898-0.00073432i,-0.00046229-0.00032745i,-0.00034167-0.00049932i,-0.00031114-0.00094616i,-0.0011934-6.2419e-05i,-0.0014767+0.001304i,-0.00074623+0.0013082i,-0.00017216+0.00020614i,-0.0002529-8.9187e-05i,-0.00062117+0.00041363i,0.0004718+0.0014902i,0.0013542+0.0024647i,0.00054304+0.0018782i,-0.00028708+0.0011031i
0.0027231-0.00036898i,0.0020345-0.001131i,0.00040802-0.0024345i,-0.00041731-0.0024364i,0.00050104-0.0011378i,0.0021124+0.0002975i,0.0025602+0.001267i,0.0023872+0.0022918i,0.0017441+0.0019677i,0.00069871+0.00084185i,-0.00023056+9.4386e-05i,-0.00047202-0.00077876i,-0.00063453-0.0018125i,-0.00026434-0.0014344i,-0.00010034+0.00011972i,0.00028415+0.00038068i,0.00027893-0.00017742i,-0.00031092+0.00011304i,6.7064e-05+0.00025905i,-0.00010377-0.00010419i,1.9066e-05-0.0001072i,8.5055e-05+4.4839e-05i,-0.00071377-0.00030591i
-0.00085228-0.0022583i,-0.0010234-0.0021972i,-0.00072406-0.0014063i,0.0005091+0.00042231i,0.00019115+0.0027333i,-0.0019877+0.0046068i,-0.0032444+0.0053575i,-0.0022229+0.0044322i,-0.00050299+0.002663i,0.00087437+0.0013441i,0.0016835+0.00087205i,0.0018831+5.5825e-05i,0.0015139-0.00058201i,0.00098702-0.00052694i,0.0012838-0.00031339i,0.0017164-0.00066976i,0.0013478-0.00087777i,0.0014333-0.0005535i,0.0013174-0.00096814i,0.00079728-0.0016092i,0.00052236-0.0014957i,8.9932e-05-0.00079547i,-0.00069652-0.00011987i
0.0025055-0.001395i,0.0019414-0.0016419i,0.00094358-0.0021959i,-0.00076374-0.0034755i,-0.0034018-0.0042941i,-0.0055152-0.0031959i,-0.00501-0.0018073i,-0.0023865-0.00085753i,-4.4925e-05-0.00065176i,0.001646-0.00076789i,0.0027066-0.0014874i,0.0024572-0.0030869i,0.0014997-0.0033876i,0.00077596-0.0017036i,0.0003958-0.00094076i,-0.00017856-0.00099953i,9.2172e-06-0.0011022i,0.00087304-0.0014411i,0.0007102-0.00041722i,0.00012022+0.00078465i,-0.0005221+0.0009606i,-0.00041384+0.00015415i,0.00014938-0.00046767i
-0.00060514+0.0039891i,-0.001781+0.005061i,-0.0013034+0.0058758i,-0.00051767+0.0036552i,-0.00053079-0.00039725i,-7.3399e-05-0.0039762i,0.00042717-0.0029777i,0.0014258-0.00056202i,0.0028709+5.9989e-05i,0.0026254-0.00015669i,0.0014474-0.0014207i,0.0006421-0.0024578i,-0.00038489-0.0017784i,-0.00031442-0.00035899i,-0.00024271+0.00042793i,-0.0010005+0.0011419i,-0.0011016+0.0011755i,-0.00024411-1.7326e-05i,-0.00021282-0.00089169i,-0.00068397-0.00051635i,0.00019132+0.00016513i,0.0011103+0.00012412i,0.00075091-3.0037e-05i
0.0017039-0.0018721i,0.0018859-0.0027578i,0.0025768-0.0034043i,0.0026319-0.0019883i,0.002919-0.00037234i,0.003554+0.0019711i,0.0033963+0.004044i,0.0036803+0.0032041i,0.0041139+0.0012643i,0.0038001-0.0013184i,0.0022917-0.002893i,0.00036831-0.0029577i,-0.0010151-0.0021945i,-0.0010737-0.0016811i,-0.00056237-0.0011772i,-0.0010313-0.0005485i,-0.00048243-0.00023396i,-0.00020227-3.9454e-05i,-0.00026962-6.4073e-07i,-0.00068064+0.0004515i,-0.00097673+0.00083718i,0.0003023+0.0006996i,0.00083092-0.00022745i
0.0021176-0.00096084i,0.0010349-0.0011537i,0.00037101-0.0018177i,-0.00046855-0.00094447i,-0.0022355+0.0016999i,-0.0032455+0.0036331i,-0.0032636+0.0042907i,-0.002233+0.003749i,-0.00088968+0.0012793i,-0.00020523-0.00078437i,-0.00034192-0.00076549i,-0.0011433-0.001482i,-0.00095347-0.0020748i,-0.00080988-0.0012479i,-0.00064827+9.944e-05i,0.0004941+0.00066469i,0.00064993+0.00035582i,-0.00039542+0.00025585i,-0.0010888+0.00088817i,-0.0011099+0.0010158i,-0.00086558-0.00011116i,-0.0005477-0.00093915i,-0.00050007-0.00072279i
0.00048753+0.0015873i,-0.00078151+0.0022224i,-0.00035767+0.0034711i,-0.00016924+0.0019472i,-0.0032335+0.00052393i,-0.0072676+9.536e-05i,-0.0074097-0.00028461i,-0.0040319+0.00046995i,-0.00069701-0.00011559i,0.0005886-8.2535e-05i,0.00025123+0.00077147i,8.4308e-05+0.00016163i,-0.00029365-0.00063011i,-0.00067883+0.00024348i,0.00030751+0.0016101i,0.0014972+0.0011842i,0.0012885+0.00055333i,-0.00027372+0.0010254i,-0.00081454+0.0010135i,-0.00048669+0.00099532i,-0.00018744+0.00028472i,-8.7405e-05-0.00058015i,3.3035e-05-0.0012876i
0.0037131-0.00021526i,0.0046208+0.00023665i,0.0041678-0.00085891i,0.0021039-0.0022401i,0.0010014-0.0045628i,0.0011458-0.0057582i,0.0013833-0.0041877i,0.0017727-0.0017783i,0.0016041-0.00067464i,0.0013445-0.00081138i,0.001605-0.00037062i,0.0018359-0.00032915i,0.0015229-0.00093184i,0.00077019-0.0003552i,0.00046567+0.00045032i,0.0003369-0.00026196i,-0.0014507-0.00096902i,-0.0018675-0.00081265i,-0.00046491-0.00015622i,-0.00089076+0.0005025i,-0.0010992+0.00084915i,3.2126e-05+0.00022436i,0.00081886-0.0006917i
-0.0025413+0.00036374i,-0.0025925+9.0566e-05i,-0.0028032+0.00036214i,-0.00087283+0.00075635i,0.0020427+0.0011234i,0.0033396+0.0019099i,0.0027612+0.0033753i,0.001886+0.0033169i,0.0016654+0.0019607i,0.0012232+0.0014718i,0.0012555+0.00082089i,0.001618-0.00057827i,0.00060514-0.0011556i,-0.00022434-0.00030383i,-0.00015872-6.2766e-05i,-0.000212-0.0013607i,6.6172e-06-0.0015737i,0.00047824-0.00070136i,0.00047417-0.00055155i,-0.000349-0.00078951i,-0.000467-0.00015657i,1.3679e-05+0.00042176i,0.00077634+0.00031467i
0.0015583-0.00059507i,0.0011675-0.00030842i,0.00059948-3.2422e-05i,0.00030023+0.00047031i,-0.0010755+0.0018682i,-0.0022087+0.0045532i,-0.0018737+0.0056401i,-0.00031321+0.0040263i,0.0010127+0.0018876i,0.0019272+8.5775e-05i,0.003026-0.0014927i,0.0026422-0.0027133i,0.0011164-0.0023383i,0.0009956-0.001756i,0.0017374-0.0019762i,0.0012464-0.0021i,0.00059681-0.0012252i,0.00089828+8.0939e-07i,0.00090878-0.0001832i,0.00025986-0.00036077i,-0.000232-0.00017918i,0.0001503-0.00025859i,0.00019932+0.00024224i
0.00057322-0.0018216i,0.0013854-0.0019552i,0.0009914-0.0024131i,-0.0017416-0.00069717i,-0.0050228+0.00064811i,-0.007467+0.00010408i,-0.007732-0.00068703i,-0.0043693-6.414e-05i,-0.0006423+0.00034235i,0.0014021-0.00064044i,0.0025681-0.0026483i,0.0017569-0.0045005i,-5.8417e-05-0.0037428i,-0.00087265-0.0016728i,-0.00092605-0.00064813i,-0.00062598+0.00050409i,7.0138e-05+0.001718i,-9.2336e-05+0.0019194i,-0.00093295+0.002123i,-0.0011572+0.0020155i,-0.00047722+0.0014665i,4.3369e-05+0.00046617i,0.00047483-0.00028098i
-0.0015412-0.00064681i,-0.0026287-0.0017062i,-0.0036507-0.0019816i,-0.0024392-0.0028039i,-0.00053311-0.0044752i,0.00029874-0.0056399i,0.00055747-0.0039136i,0.0015372-0.0011876i,0.0021406-0.00068945i,0.0014518-0.0010525i,-0.00010478-0.0011192i,-0.0011852-0.0013055i,-0.00064168-0.0012641i,4.5995e-06-0.0012732i,0.00038932+0.00031696i,0.00022484+0.0018988i,0.00028436+0.0014886i,9.3814e-05+0.00064089i,-0.0012521+0.00059027i,-0.0017009+0.0012659i,-0.0011192+0.0010094i,-0.00039737-0.00014289i,-0.00044549-0.0015928i
-0.0029985+0.00074802i,-0.0014971+0.00047375i,0.00033053+0.00045733i,0.0010845+0.00039664i,0.0029101+3.2518e-05i,0.0049417+0.00055048i,0.0047715+0.0011086i,0.0032335+0.0010016i,0.0020121+0.00068079i,0.0013241-0.00044833i,0.00049375-0.0018975i,4.1235e-05-0.0022113i,-0.00034074-0.002445i,-0.00073944-0.0022216i,-0.00093146-5.0062e-05i,-0.00073657+8.9657e-05i,-0.00038903-0.0010999i,-0.0002586-0.0011884i,9.6758e-05-0.00064077i,9.4185e-05+3.7124e-05i,-0.00028916+0.00022988i,-0.00016975-0.00037019i,0.00035099-0.00092125i
0.00059552+0.0016878i,0.00079532+0.0024281i,0.0011453+0.0025279i,0.00040697+0.0026578i,-0.00019705+0.0037965i,-0.00091525+0.0050272i,-0.0015783+0.0058023i,-0.00075227+0.0051031i,2.8656e-05+0.0024522i,-0.00075269+0.00029523i,-0.0014554-0.00038319i,-0.00095292-0.0010547i,-0.00067853-0.00099884i,-0.00080886-0.00020249i,-0.00024296+0.00026434i,0.0011231-0.00065534i,0.0014815-0.0010625i,0.0012163+0.00026282i,0.0013486+0.000939i,0.0010936+0.00074433i,0.00081748+4.9075e-05i,-0.00051813+0.00024745i,-0.0013466+0.00071815i
-0.0019984-0.0031903i,-0.0018944-0.003164i,-0.0026979-0.0025491i,-0.0043539-0.001165i,-0.0067536-0.00032346i,-0.0080694-4.794e-05i,-0.007001-0.0001371i,-0.0035452+0.00020352i,-0.00077323+0.00061366i,9.4742e-05+0.00066955i,0.0015907+0.00088217i,0.0026452+4.9703e-05i,0.0018983-0.0011796i,0.0013509-0.00054037i,0.0020373-0.00012239i,0.0026843-0.00041585i,0.0017722-3.1373e-05i,0.00082588+0.00013361i,0.0010949-0.00015355i,0.00081125-0.00013996i,0.00018358-1.2153e-05i,-0.00035393+0.00049459i,-0.00081355+0.00075829i
0.0012097+0.0019966i,0.0020252+0.0023862i,0.0024615+0.0011273i,0.0015553-0.00090837i,-0.00044012-0.0022946i,-0.00094803-0.0037004i,-0.00080721-0.0039678i,0.0003988-0.0017662i,0.0015154-0.00016955i,0.0015061-0.00074917i,0.0017892-0.00146i,0.0015679-0.0027032i,0.0008519-0.003179i,0.0011401-0.0013845i,0.0014896-3.8728e-05i,-0.00032786+0.00048857i,-0.0023646+0.0015485i,-0.0026692+0.0011531i,-0.0025339+0.00096044i,-0.0019533+0.0022106i,-0.00085507+0.0014438i,-0.00038465-0.00050392i,-0.00029806-0.0011673i
-0.00097039+0.00097549i,-0.0021058+0.00049566i,-0.0028881-0.0015907i,-0.00072716-0.0027925i,0.0022622-0.00201i,0.0027768-0.00051436i,0.0028872-5.7551e-05i,0.0026459+0.00024515i,0.0017434+0.00032396i,0.0022735-0.00019471i,0.0024927-0.00039258i,0.0016539-0.00067203i,0.00019127-0.00071115i,-0.0011067-0.00030159i,-0.001829+0.00034697i,-0.0025163+0.00075366i,-0.00216+0.00086317i,-0.00089822+0.00035686i,-0.00074602-0.00020386i,-0.0014897+0.00035285i,-0.0011463+0.0011323i,0.00047921+0.00086613i,0.0010623+0.00063587i
0.0028217-0.0020491i,0.0029579-0.0026251i,0.0029946-0.0011353i,0.0017869+0.0018029i,-0.00073393+0.0037166i,-0.0024302+0.0050667i,-0.0018389+0.0064425i,-0.00012042+0.005561i,0.0016705+0.0024755i,0.00267-0.00098324i,0.0020674-0.0038424i,0.00015491-0.0041356i,-0.0012927-0.0031469i,-0.0023586-0.0023424i,-0.0029429-0.0013386i,-0.0022521-0.00068658i,-0.00060004-0.00037218i,0.00035046-0.0003175i,-0.00028724+0.00020671i,-0.00040581+0.00019903i,3.9648e-05-0.00042787i,0.00062832-0.00066641i,0.00096464-0.00027904i
0.0016467-0.0015231i,0.0023189-0.0013596i,0.0013302-0.0012257i,-0.00077974-0.00047269i,-0.0035433-0.00038701i,-0.0063819+0.00074986i,-0.0057573+0.0018609i,-0.001804+0.0012767i,0.00048458-2.0868e-06i,-0.00056429-0.00116i,-0.0010404-0.0024282i,-0.0010415-0.0028858i,-0.0011788-0.0023028i,-0.00061421-0.0017773i,0.00044113-0.00083419i,0.0016055-0.00058406i,0.0017336-9.0235e-05i,0.0015973+0.00044546i,0.0015559-0.00028933i,0.0013636-0.0002029i,0.0014718+0.00047868i,0.0010534+0.00010975i,0.00050458-0.00034047i
-0.00094091-7.9515e-05i,-0.0015953-0.00036075i,-0.0022726-0.0006706i,-0.0026954-0.0024657i,-0.0022548-0.0048491i,-0.002577-0.0060224i,-0.0031624-0.0042841i,-0.0024589-0.0014642i,-0.00092778-0.00097805i,5.1816e-05-0.0020118i,0.00049374-0.0010012i,0.0016545+0.00014329i,0.0018432+0.00077629i,0.0013884+0.001539i,0.0017778+0.002104i,0.0025813+0.0016709i,0.0018499+0.00069403i,0.00015699-0.00018654i,-0.00029289-0.00012874i,-0.00036321+0.00083833i,-0.00027594+0.0011604i,-0.0004808+0.00052946i,-0.0013901+0.00013175i
-0.0013895-0.0010384i,-0.0014539-0.0011332i,-0.0018689-0.001821i,-5.2548e-05-0.0014829i,0.0019298+0.0002101i,0.0025988+0.001522i,0.0020162+0.0015231i,0.0020274+0.0006667i,0.002006-0.00037917i,0.0013183-0.00039776i,0.00094218-5.3897e-05i,0.0014936-0.00026372i,0.0016106-7.5359e-05i,-2.4486e-05+0.0012305i,-0.0015395+0.0017338i,-0.0023053+0.00081184i,-0.0024257-2.7478e-06i,-0.0021825-0.0001423i,-0.0015585+0.00036872i,-0.0014027+0.00057125i,-0.0021059-0.00036723i,-0.0018316-0.0012822i,-0.0016042-0.00092536i
0.00098834+0.00078897i,0.0010378+0.00034903i,0.0025528+0.00085363i,0.0033922+0.0021417i,0.0025145+0.0025198i,0.00071537+0.0023196i,-0.00017908+0.0032075i,0.00021084+0.0033261i,0.0014579+0.001913i,0.0010272+0.00064883i,-0.00040705+1.5324e-05i,-0.00067524-0.0012977i,-0.0010955-0.0033205i,-0.0015761-0.0039199i,-0.0016356-0.0034451i,-0.0016556-0.0032792i,-0.00094833-0.0023158i,-0.00068278-0.00096483i,-0.0015634-0.0002382i,-0.0015399-0.00048456i,0.00010811-0.00017017i,0.0014659-0.00032164i,0.0012311-0.00081259i
-0.00016854+0.00016372i,8.3681e-05+0.00081091i,-0.001439+0.0013448i,-0.002971+0.00059184i,-0.0045216-0.00064402i,-0.0052295+0.00012748i,-0.004792+0.0020082i,-0.0029899+0.0024731i,-0.00031036+0.0018742i,0.0013632+0.0010729i,0.0026634-0.0015585i,0.0029899-0.004994i,0.0007298-0.0054744i,-0.00027273-0.004155i,0.00099021-0.0026536i,0.00057381-0.0013395i,-0.00033005-0.00044241i,0.00036467+0.00041304i,0.00060189+0.00040505i,0.001379+0.00028429i,0.0020223+0.00048496i,0.0023677+0.00063948i,0.0021127+0.00022663i
0.000121-3.5567e-06i,-0.00045443-0.00090812i,-0.0012223-0.0013572i,-0.0015649-0.0024227i,-0.002022-0.0022944i,-0.0032793-0.0018685i,-0.0037434-0.0011808i,-0.0023043+0.00021749i,-0.00032697+0.00039526i,0.00056419-0.00091995i,0.0013616-0.0023482i,0.0014521-0.0027125i,0.0014086-0.0013994i,0.0013738+0.0012504i,0.0015351+0.0028233i,0.0023388+0.0028946i,0.002323+0.0024249i,0.0014314+0.0014012i,0.0010187+0.0011417i,4.9209e-05+0.0018575i,-0.00098659+0.0015704i,-0.00046254+0.00035438i,4.3503e-05-0.00016745i
0.00028627+0.00015173i,0.00029298-0.00053595i,0.0014587-0.00040571i,0.0024074-0.00021118i,0.0013408-0.000381i,-0.0010946-0.00092539i,-0.0016974-0.0010412i,-0.00048067+0.00055807i,0.00077328+0.00074813i,0.0017487-0.00094738i,0.0016056-0.00118i,-0.00047775+0.0001454i,-0.0027471+0.001316i,-0.0025259+0.0017655i,-0.0015377+0.002017i,-0.0013304+0.0022296i,-0.0011754+0.0014986i,8.5443e-05+0.00091323i,0.00047212+0.00064384i,9.5314e-06-6.9994e-05i,-0.00040975-0.00048825i,0.00028886-0.00088833i,0.001008-0.0015191i
0.0021098+0.00036713i,0.0012893+0.0018355i,0.0033446+0.0013753i,0.0042494+0.00034587i,0.00053086-0.00055323i,-0.00097484-0.00074475i,0.00080322+0.00029355i,0.0021387+0.00071242i,0.0036862+0.00041391i,0.0038885-0.0008462i,0.0013218-0.0020165i,-0.0007435-0.0017953i,-0.00078664-0.0018431i,-9.0201e-05-0.0028128i,-1.8088e-05-0.0029954i,-5.9426e-05-0.0024473i,-0.00017327-0.0015095i,-0.00026473-0.00032089i,-0.0006047-0.00029571i,-0.0012727-0.00073172i,-0.00064804-0.00051207i,0.00086853-0.00084589i,0.00098899-0.001334i
0.00065232+2.5589e-05i,0.00017593+0.00016118i,-0.0017414+0.00020429i,-0.0032332+0.00055732i,-0.0029003+0.00014249i,-0.0015545+0.0019713i,-0.0010925+0.004615i,-0.000799+0.0046568i,0.00063401+0.0028665i,0.00073838+0.00098879i,0.00027299-0.0007989i,0.0014613-0.0016679i,0.0039236-0.0019797i,0.0046878-0.0024262i,0.0036451-0.0028248i,0.0026382-0.0034397i,0.001553-0.0033553i,0.00046005-0.0019217i,0.00046194-0.00067224i,0.00069623+0.00013054i,0.00081157+0.00044044i,0.0014195+0.00061452i,0.0012682+0.0012591i
-0.00062093+0.0001698i,-0.00083518-0.0003853i,-0.0018937-0.0018725i,-0.0024953-0.0031144i,-0.0017581-0.0023355i,-0.0028329-9.6046e-05i,-0.0037164+0.001419i,-0.0023583+0.0021853i,-0.00092353+0.0011329i,-0.00074203-0.00062241i,8.5886e-05-0.0017922i,0.0029184-0.0022203i,0.0034377-0.0016245i,0.0018016-0.00029106i,0.0010082+0.00085838i,0.0011285+0.0013856i,0.00078577+0.00086537i,-8.3902e-05+0.00050327i,-0.00025963+9.329e-05i,-0.00042762+0.00033929i,-0.00062593+0.00096214i,-0.00088336+0.00049769i,-0.00031694+0.00019624i
0.0001701-0.0014991i,0.00013121-0.0013392i,0.00022964-0.0021899i,-0.00011387-0.0014779i,-0.0019652-0.00021717i,-0.0037564-0.0025052i,-0.0039-0.0026113i,-0.0018719-0.00083467i,-0.00017264-0.0012353i,0.00035392-0.0019935i,0.0010494-0.0020671i,0.00058772-0.0018957i,-0.0013131-0.0013807i,-0.0033347+0.00052743i,-0.0037252+0.0030195i,-0.0017193+0.0039634i,-0.00032739+0.003466i,0.00059666+0.0023529i,0.0011019+0.0016561i,0.00024228+0.00070406i,-0.00026172-0.00074831i,-0.00061658-0.0022601i,-0.00065589-0.0020267i
-0.00092974-0.00051032i,0.00012677-0.0019791i,0.001114-0.003219i,0.0013899-0.0023946i,0.00071775-0.0028446i,0.0011122-0.0030336i,0.0025316-0.0020702i,0.0024292-0.0009892i,0.0018702-0.00012339i,0.002265+0.00018235i,0.0014825-0.00020428i,-0.00024278-0.001537i,-0.0024219-0.0022672i,-0.0038962-0.0018463i,-0.003606-0.0015815i,-0.0027651-0.0016006i,-0.0013088-0.0011326i,-0.0010155+0.00034642i,-0.0015028+0.0013648i,-0.00072432+0.00033335i,0.00092312-7.1993e-05i,0.0014659+0.00047824i,0.00212-0.00023545i
-0.00079851+0.0004575i,-0.0012596+0.00048723i,-0.0017693+4.3846e-05i,-0.0030008-0.00074911i,-0.0021972-9.0281e-05i,0.00082593+0.0016288i,0.0021004+0.0028337i,0.001735+0.0026238i,0.0010835+0.0018063i,0.0010368+0.0013369i,0.0017575-0.00037194i,0.0022387-0.0020537i,0.0023609-0.0026535i,0.0025855-0.0025514i,0.002948-0.0022093i,0.0024498-0.0014054i,0.00093194-0.0010448i,-0.00060481-0.00064796i,-0.0014637-9.5222e-05i,-0.00083928-0.00042415i,0.00024261-0.00034394i,0.0006406-5.3606e-05i,0.00083538-0.00046521i
-0.0015369+0.0030828i,-0.0023129+0.0039349i,-0.0026334+0.0045828i,-0.0032751+0.0038579i,-0.0036169+0.0035195i,-0.0048202+0.0046733i,-0.0053571+0.0058796i,-0.0031233+0.0060883i,2.9322e-05+0.0033091i,0.0011273+0.00065009i,2.6469e-05+0.000339i,-0.00063534+0.0011994i,-0.00011585+0.001858i,0.0017591+0.0023367i,0.0036946+0.0017949i,0.0036916-0.00093426i,0.0020163-0.0024708i,-0.00013149-0.002521i,-0.00029715-0.0017954i,0.00065845-0.0002859i,0.00016271+0.00088367i,-0.00094334+0.0011651i,-0.0010027+0.00072443i
0.00074144+0.00037774i,0.00066008-0.0002078i,0.0016625-4.9369e-05i,0.0017235+0.00027266i,-0.00070119+1.2404e-05i,-0.0048216-0.0012197i,-0.006589-0.0010115i,-0.0046852+0.00055202i,-0.00079464-3.2521e-05i,0.0015922-0.0019408i,0.0024182-0.0030232i,0.0020513-0.0024898i,0.00026646-0.0008745i,-0.0011159+0.00070026i,-0.0023084+0.0015914i,-0.0013206+0.0017825i,0.00055402+0.0013444i,0.0012344+0.00087025i,0.0015931+0.00063101i,0.001545+0.00051645i,0.0010627+1.306e-05i,0.00078652-0.00069912i,0.00036491-0.0014101i
0.0043191-0.0037272i,0.0056931-0.005712i,0.0064766-0.0076855i,0.0045056-0.008851i,0.0017699-0.010991i,0.00064906-0.010664i,0.0015489-0.0063174i,0.0023352-0.0034961i,0.0025416-0.0032267i,0.0022325-0.0039611i,0.0019119-0.0045358i,0.0019154-0.0043508i,0.00084348-0.004336i,-0.0023494-0.0036694i,-0.0044064-0.0017974i,-0.003772+0.00049477i,-0.0014992+0.002301i,2.437e-05+0.0027003i,0.00043922+0.0025092i,0.00074154+0.0027211i,0.00013863+0.0019931i,-0.00081152+0.00046662i,-0.0009902-0.0011248i
0.0020906-0.0034228i,0.0025573-0.0027279i,0.0016234-0.0027475i,0.00082661-0.0017078i,0.0014287+0.00045023i,0.0021262+0.0035025i,0.003397+0.0044882i,0.0043842+0.0028326i,0.0036091+0.002428i,0.0017709+0.0022648i,0.001215+0.00051153i,0.001038-0.0010478i,0.0006944-0.0025658i,3.8946e-05-0.0039809i,-0.00071234-0.0039621i,-0.00090766-0.0033504i,-0.0021632-0.0023559i,-0.0032983-0.00090801i,-0.0028588+0.00078037i,-0.0024908+0.00093784i,-0.001971+0.00081939i,-0.00067648+0.0012838i,0.00028642+0.00085357i
-0.00079142+0.0013037i,-0.0011293+0.00181i,-0.0022615+0.0018626i,-0.0045653+0.0036153i,-0.0054506+0.0071284i,-0.0056653+0.0095733i,-0.0042788+0.0092702i,-0.0012918+0.0076095i,0.00073001+0.0036664i,0.00019134+0.00014108i,-0.001261-0.00084381i,-0.0016857-0.0019991i,-0.00077927-0.0019254i,0.00047432+0.00040457i,0.0015301+0.0019092i,0.0021169+0.00082292i,0.00071929-0.001653i,-0.0014499-0.0029501i,-0.0019433-0.0032325i,-0.0013049-0.0020303i,-0.00068994-0.00067131i,5.0498e-05-0.00017836i,0.00084822+0.00011746i
-0.00050065-0.0038311i,-0.0016375-0.0050103i,-0.00314-0.005485i,-0.0056961-0.0048625i,-0.010244-0.0051679i,-0.011619-0.0053134i,-0.0086372-0.0019054i,-0.0055944+0.0012227i,-0.0028265+0.00037364i,-0.00073583-0.00058656i,-0.00026487-0.0011943i,-0.00043699-0.0030557i,-0.0011346-0.0032651i,-0.00087086+4.7036e-05i,0.0012974+0.0031549i,0.0024936+0.0027379i,0.0025849+2.3244e-05i,0.0022398-0.001396i,0.001663-0.0011615i,0.0017677-0.0011566i,0.0013026-0.00092047i,0.00055965-0.00051637i,0.00043272-7.5946e-05i
0.0029027-0.0031266i,0.004558-0.0033004i,0.0061107-0.005844i,0.005415-0.0083649i,0.003538-0.010562i,0.001663-0.01031i,-0.00020794-0.0072444i,-0.0010223-0.0041015i,0.00091415-0.0025852i,0.0030836-0.0022609i,0.003711-0.0010218i,0.0038994-0.00014451i,0.0031302-0.00098233i,0.00080865-0.0018565i,-0.0022063-0.0020027i,-0.0036522-0.00055265i,-0.0024848+0.0022439i,0.00039345+0.004197i,0.0015045+0.003563i,0.00095209+0.0022602i,0.001574+0.001058i,0.0022133-0.00032317i,0.0013262-0.001266i
0.0026856-0.0087578i,0.0040118-0.0081013i,0.0037341-0.0086999i,0.0037714-0.0044164i,0.0053306+0.00067719i,0.0057835+0.0043177i,0.0050859+0.0037028i,0.0052365+0.00091081i,0.004571-0.0006114i,0.0026275-0.0010264i,0.0017736-0.00082947i,0.00061236-0.0011946i,-0.00044998-0.00099465i,0.00030998-0.00046731i,-0.00018382-0.00076351i,-0.0018396-0.00069774i,-0.0027872+0.00019751i,-0.0027901+0.0017259i,-0.00193+0.0021217i,-0.001991+0.002206i,-0.0019704+0.0020032i,-0.00084179-0.00020354i,-0.00049252-0.0016452i
-0.010568+0.012722i,-0.016319+0.014505i,-0.01922+0.021428i,-0.014278+0.020603i,-0.008199+0.018475i,-0.0040386+0.013558i,-0.001713+0.0094517i,0.00026509+0.009339i,0.0011949+0.008603i,0.0025548+0.0058637i,0.0041305+0.0019829i,0.0039444+2.4954e-05i,0.0023653+0.00060836i,0.0020503+0.00086519i,0.0038766-0.00031315i,0.0046741-0.0017811i,0.0022713-0.0020235i,-0.0010498-0.0019375i,-0.0017811-0.0017594i,-0.0010516-0.00037864i,-0.0015063+0.0012548i,-0.00089386+0.0019165i,0.0013078+0.0013306i
-0.00080002+0.0048938i,-0.0012848+0.0027645i,-0.00081873-0.00028923i,-0.002197-0.0051971i,-0.0069018-0.0092836i,-0.010828-0.010201i,-0.010491-0.0041021i,-0.0066518+0.0026328i,-0.0032756+0.0022531i,-0.0013057-0.0012153i,0.0011937-0.0032329i,0.0033265-0.0041582i,0.0024048-0.0037317i,0.00015831-0.0015704i,-0.00028538+0.00074415i,0.0016599+0.0017732i,0.003063+0.0001619i,0.0022955-0.0025362i,0.0012214-0.0031155i,0.0005835-0.0020026i,0.0004324-0.00089131i,0.00065107-0.00065667i,0.00073483-0.00043604i
-0.0024208+0.0020089i,-0.0016154+0.00057144i,0.0021849-0.00026198i,0.007084-0.0051382i,0.0096548-0.011101i,0.0076907-0.012249i,-1.1697e-06-0.0081318i,-0.0043645-0.0033094i,-0.0021379-0.0011394i,5.1657e-05-0.00084371i,0.00028943-0.0011465i,0.0010984-0.0010638i,0.0023303-0.00066827i,0.0017752+0.0003438i,0.00018496+0.0023657i,-6.9138e-05+0.0026495i,0.00083996+0.0018818i,0.001046+0.0014093i,0.00062094+0.00071176i,0.001616+0.00010852i,0.0024102-0.00019769i,0.0011951+0.00013307i,-0.00090765-3.1389e-05i
