0.0016075-0.00011194i,0.0022112-0.0014828i,0.0014859-0.0031476i,-0.00047904-0.0030658i,-0.0020896-0.0017635i,-0.0025894-3.3707e-05i,-0.0015994+0.001464i,-0.00065048+0.0013343i,8.0742e-05+0.0013427i,0.00013049+8.5902e-06i,-0.00030725-0.0013862i,0.00021368-0.0010533i,0.00068778-0.00045728i,0.0003124-5.4293e-05i,9.1739e-06+1.4613e-05i,-0.00033934+9.4478e-05i,-0.00078225+0.00018545i,-0.00075936-4.0571e-05i,0.00017103-0.00011263i,0.00067397-6.3402e-05i,0.00011125-0.00036293i,-1.6901e-05-3.9121e-05i,-0.00025461-0.00051407i
0.001514+0.0011623i,0.00098182+0.00070727i,0.00095424-0.00088641i,0.00085332-0.0016786i,-0.00086059-0.0012519i,-0.0022485-0.00017631i,-0.0010909+0.00021064i,-0.00025316-0.00012002i,-0.00014607+8.8965e-05i,5.0224e-05+3.371e-05i,0.00019369-0.00030983i,0.00051201+3.1888e-05i,0.000424+0.00015583i,0.00046287+0.00024984i,0.00070513+0.00037624i,0.00096983+0.0005749i,0.00060953+0.00035058i,-2.4186e-05+0.00026277i,-0.0003461+0.00038798i,6.7819e-05+0.00034581i,0.00024756-0.00015884i,-0.00042734-0.00035367i,-0.00061282-0.00017228i
0.00097053-0.00025572i,0.00068035-8.8117e-05i,0.00075483+0.00018361i,0.0011178-0.00043919i,0.0012402-0.00097166i,0.00017838-0.00096276i,-0.00031484-0.0011881i,0.00030989+5.0525e-05i,0.00077186+0.0011142i,0.00043106+0.00038567i,-0.00023359+0.00024362i,-0.00011424-0.00015004i,-0.00020693+7.2407e-05i,-0.000902+0.00046455i,-0.00064692+0.00011111i,-0.00020766+0.00010106i,-0.00032973+0.00046834i,-0.0002088+0.00053992i,-0.00044469+0.00017576i,-0.00047265+0.00010675i,-1.2454e-05+0.00028276i,0.00034679-0.00040533i,0.00019368-0.00085186i
-0.0019603+0.00035669i,-0.0015647+0.0011845i,-0.00091587+0.001538i,-0.00034321+0.00041716i,-0.0003489-0.00059984i,-0.00027554-0.0006473i,0.00026894+0.00026148i,0.00036479+0.00051862i,-5.3239e-05+0.00048573i,6.5792e-05+0.00032654i,-0.00045201+0.0001357i,-0.00034633-0.00057928i,0.00040304-0.00092038i,0.0011069-0.0010545i,0.00061496-0.00086876i,-0.00035322+4.5402e-05i,-0.00021525-0.0002713i,0.00017559-0.00073792i,0.00010381+0.00011286i,4.5851e-06+0.00068213i,0.00026561+0.00018695i,0.00015153-0.00066072i,0.00042524-0.0007319i
-5.3339e-05-1.3206e-05i,-1.5447e-05+0.00017513i,0.00088546+0.00034114i,0.0020586-0.00012002i,0.0019414-0.0010763i,0.00058871-0.00090494i,-0.00059607-0.0001937i,-0.00022333-1.7965e-05i,0.00040115+9.1207e-05i,0.0010844-6.4696e-05i,0.0010796+0.00014958i,2.6009e-05+0.00025462i,-0.00034751+0.00027221i,0.00044876+0.00048194i,0.00078687-0.00034409i,0.000503-0.00062015i,4.3493e-05+0.00013756i,-0.00056261+0.00045397i,-0.00095886+0.00085634i,-0.0007004-0.00011763i,0.00031623-0.00033836i,0.00088415+0.00052308i,0.00034598+0.00035214i
0.0022515-0.0016837i,0.00057987-0.0010684i,-9.8414e-05-0.001191i,0.00091205-0.0010941i,0.00044729-0.0009073i,0.00026459-0.0012432i,-1.1436e-05-0.00088718i,-0.00058354-0.00017591i,-0.00024173-6.5806e-05i,-0.00083225+2.1627e-05i,-0.0012147+0.00044919i,-0.00088251+0.0013159i,-0.00028324+0.00092093i,0.00024285-3.1341e-05i,0.00054468-0.00014369i,0.0004274-0.00013982i,-0.00015434-0.00023173i,0.00012526-0.00011197i,0.00061967-0.00033595i,0.00057897-0.00071453i,0.00073178-0.0011096i,0.00076552-0.0011475i,0.00081584-0.00063047i
-0.0014646+0.0042175i,-0.001226+0.0031109i,0.00074362+0.0014714i,0.0015253+0.00014336i,0.0013034-6.1906e-05i,0.00028725-0.00015349i,-0.00011144-0.001255i,0.0008083-0.0010586i,0.00102+0.00026203i,0.0010976+0.00088775i,0.001033+0.00035667i,0.00031871-0.00044151i,0.00024946-0.00069887i,0.00064422-0.00074822i,0.00083241-0.00056617i,0.00063787-0.00021743i,-2.482e-06-0.00024139i,-0.00025116-0.00078424i,0.00027173-0.00057594i,0.000829-0.00062158i,0.00088837-0.00081176i,0.00016721-0.00075268i,-0.00063871-0.0012229i
-5.862e-05+0.00013175i,0.00099364+0.00018339i,0.0012803-0.00049322i,0.0010695-0.0011062i,0.00045209-0.00107i,-0.00050489-0.00097757i,-0.00091421-0.000708i,-0.00034576-0.0006129i,-0.00021857-0.00013323i,3.8741e-05-0.00020396i,0.00035042-0.0002626i,0.0003916+0.00041579i,-1.7393e-06+0.00076817i,0.00013032+0.0010042i,0.00010561+0.00019158i,-0.00033749-0.00076923i,-0.00057802+4.1898e-05i,-0.00040967+0.00013012i,0.00018048-0.00025401i,-0.00021502+0.00011482i,-0.00061132+6.0367e-05i,-0.00074196-0.00076882i,-0.0010813-0.00067741i
-0.00021616-0.0031666i,-0.00032757-0.0026367i,-5.4294e-06-0.0010367i,0.00032377+0.00021759i,-7.8303e-05+0.0010324i,-6.5772e-05+0.0014541i,-3.8171e-05+0.0012977i,-0.00024208+0.0010297i,0.00026319+0.00055309i,0.00048644+0.00055939i,0.00048044+0.00023281i,0.00027684+0.00054378i,-0.00043722+0.00087827i,-0.0011974+0.00063382i,-0.00099075+0.00055019i,-0.00060634+0.0003703i,-0.00086572+0.00010854i,-0.00095827+0.00026279i,-0.00075455-0.00013517i,0.00018798+0.00025378i,0.00050111+0.00099128i,0.00031622+0.00081252i,0.0003003-8.4095e-05i
-0.0025558+0.00018538i,-0.0014144-0.00047514i,-0.00028432-0.00082985i,0.0010181-4.1236e-05i,0.0016753+0.0010045i,0.00079071+0.00048519i,0.00015776-0.00081592i,0.00024093-0.00086768i,5.1656e-05-0.00033795i,8.4428e-05+3.3221e-05i,0.00041312+0.00024532i,0.00042207+0.0008362i,0.00031886+0.001109i,0.00081864+0.0011657i,0.0012388+0.0010904i,0.0007922+0.00021733i,3.2579e-06-0.00031025i,-0.00050361+6.0674e-05i,-0.00045454+0.00050881i,-0.00016279+0.00073533i,1.6949e-05-3.9254e-05i,0.00057079-0.00093659i,0.0009939-0.0010127i
0.00029442-7.8796e-05i,0.000827-0.00075234i,0.0010052-0.00033148i,0.0013062-0.00086734i,0.0009186-0.0010964i,-0.00013993-0.0012417i,-0.0010154-0.00064599i,-0.00099935-0.00044264i,-0.00051297-0.00037737i,-0.00016792+0.0003186i,-0.00041643+3.8539e-05i,-0.00015419-0.00044463i,0.0005286+2.6777e-05i,0.00032392+0.00046761i,-0.00022053-5.5249e-05i,-0.0003428-0.00058524i,-0.00034972-0.00070909i,-0.00045358-0.00038705i,0.00037751-0.00013208i,0.001058-0.00025465i,0.0010591-0.00055469i,0.0010381-0.00073451i,0.0013191-0.00075472i
-0.0028962-0.0018061i,-0.0014018-0.00038924i,1.0363e-05-2.8467e-05i,0.0010145-0.0010899i,0.0011738-0.0006441i,0.00077927+0.00024446i,-0.00032381+0.00023729i,-0.00030901-0.00022687i,2.9445e-05+0.00012419i,-0.0005973+0.00063782i,-0.00030163+0.00093341i,0.00090838+0.000752i,0.0011451+5.5519e-05i,0.00072065-0.00079686i,-8.6546e-05-0.00075371i,-0.00033449-0.00018124i,-0.00016368-0.00036973i,0.00029175-0.00061552i,0.0005469-0.00091816i,-3.3846e-05-0.00056892i,-0.00029553-0.0002558i,-0.00010249+0.00026091i,0.00020137+0.00041908i
0.0025656+0.00027745i,0.0015163-5.6309e-05i,0.00070802-0.0010443i,0.00031603-0.0021038i,-0.00048815-0.0018395i,-0.0009422-0.00063553i,-0.00092375-0.00042586i,-0.0002111-0.00047264i,0.00021609-0.00023518i,-0.00012278+0.00065839i,-0.00019271+0.0019129i,-0.00011346+0.001876i,-0.00044771+0.0010603i,-0.00045124-0.00024577i,-0.00010435-0.00040696i,0.00041821+0.00039054i,0.00072073+9.2389e-05i,0.001266-0.00061457i,0.0014182-0.00060181i,0.00050079-0.00046557i,0.00017647-0.00060003i,0.00056233-0.00052098i,0.000703-0.00017858i
0.00051341+0.00045966i,0.00024843-0.0007939i,0.00036141-0.0010212i,0.000885-0.00069544i,0.0010775-0.00048574i,0.00017674-7.8717e-05i,-0.00036767-0.0001102i,-0.00033751+0.00021902i,-0.00014373+0.0010578i,0.00010626+0.00058913i,0.00026821-0.00020344i,0.0006754-0.0001193i,0.00089596+0.00043659i,0.0007517+0.0003807i,4.9325e-05-0.00013639i,0.00011468-0.00054746i,6.3294e-05-0.0006729i,-0.00031121+8.2499e-05i,3.7602e-08+0.00025282i,0.00068117-0.00010511i,0.00062139+0.00013538i,-0.00010518+0.00023458i,-0.00040637-0.00026147i
-0.0034557-0.00011575i,-0.0027491+0.00098768i,-0.00034252+0.0010806i,0.00091848-0.00010034i,0.00081008-0.00097155i,9.2806e-05-0.0011295i,-0.00075996-0.00071509i,-0.0011856-0.00024358i,-0.00031008+0.00019128i,0.00038607+0.00033426i,-0.00039621-1.4439e-05i,-0.00055613-0.00033778i,0.00033801-0.0011096i,0.00016917-0.0012043i,-0.00040428-0.00025752i,-0.00019621-0.00027833i,0.00013527-0.00067907i,0.00053191-0.00026416i,0.00063562+0.00016601i,4.4855e-05-0.00015513i,-0.00012359-0.00012973i,0.00015222+0.00041747i,-4.0696e-05-0.00014198i
0.0018369+0.00080951i,0.0016316+0.0012183i,0.0027697+0.00056399i,0.0025078-0.00025622i,0.0018749-0.0002121i,0.0011353-0.00021262i,0.00039809+0.00030786i,0.00026385+0.0011207i,-0.00036984+0.0016275i,-0.00080764+0.0015937i,-4.6997e-05+0.0011952i,0.00055518+0.00060357i,0.00044527+0.00013642i,0.00059957+0.00018329i,0.00033863+1.6989e-05i,0.0001835-0.00013105i,0.00057478-0.00042797i,0.00076794-6.0753e-05i,0.00029352+1.7768e-05i,-0.00052847-0.00025059i,-0.00082945+0.00017447i,-0.00075311+0.00051563i,-0.00010383+0.00023687i
0.0014471+0.00085111i,0.0014195-0.00035328i,0.0025916-0.001863i,0.0023939-0.0029351i,0.0005028-0.0027236i,-0.00070187-0.0013124i,-0.00051272-6.812e-05i,-3.5314e-05+0.00030846i,2.8917e-05+0.00017905i,0.00053287+0.00043338i,0.00081659+0.00044508i,0.00032335-9.3607e-05i,-0.0002843-0.00083328i,-0.00024244-0.00090706i,-0.00030478-7.7375e-05i,0.00021132+6.8842e-05i,0.0005948+7.8111e-05i,-2.8187e-05+1.6872e-05i,-0.00020019+3.9608e-05i,3.3569e-05-9.6882e-05i,-0.00056162-0.00081785i,-0.0005389-0.0011912i,-2.8002e-05-0.00082359i
-0.0009194-0.0010398i,-0.00066571-0.00088178i,-0.0019146-0.00048177i,-0.0018156-0.00054869i,-0.0010705-0.000485i,-0.00040148+1.3659e-05i,-0.0005071+0.00056377i,9.6859e-05+0.00073518i,0.0010962+0.00031514i,0.0011409+4.7243e-05i,0.00036678+2.243e-05i,-0.00036116-5.013e-05i,-0.00040899-7.0982e-06i,-0.00016139-0.00026407i,-0.00016281-0.00020517i,-0.00032775+0.00041661i,-0.00014209+0.00070372i,0.00094143+0.00024337i,0.0010905+0.00016007i,0.00020799+0.00044932i,-0.00025199+0.00027903i,2.648e-06-0.00038548i,0.00052552-0.00038395i
0.0030511+0.00046891i,0.0023168-0.00019719i,0.0025003-0.00026678i,0.0015937-0.0011846i,0.00068642-0.0019454i,0.00055288-0.001848i,0.00028006-0.0015735i,-0.00058857-0.0015115i,-0.00030232-0.0016152i,0.00055997-0.0010482i,0.00039123-0.00066715i,0.00049629-0.00026575i,0.00027938+0.00055963i,9.5914e-05+0.00019265i,-0.00046617+9.9452e-05i,-0.00092618+0.00088283i,-0.00072292+0.00099246i,-0.00058641+0.0010229i,-0.00087411+0.00061634i,-0.00054826+0.00014425i,0.00030971+9.4022e-05i,0.00028636-0.00032558i,-7.5086e-05-0.00027052i
0.00036156+0.003469i,0.0004606+0.0022191i,0.0019754+0.0015202i,0.0025056-0.00085824i,0.0011949-0.0021543i,-9.4187e-05-0.0010713i,-0.00054783+2.1468e-05i,-0.00035364+0.000551i,0.00036881+0.0012585i,0.0010671+0.0011023i,0.0012736-0.00034454i,0.00060363-0.0008087i,-0.00012268+0.00011653i,-0.0004807-0.00014886i,-0.00032966-0.00061227i,-0.00037704-0.00093119i,-0.00051015-0.00091908i,-0.00071352-0.00030524i,-0.00090771+5.138e-05i,-0.00055642-0.00056456i,0.00062118-0.00043322i,0.00092661-0.00063817i,0.00050443-0.00091591i
-0.00022777+0.0015547i,0.0012576+0.0016265i,0.0026199+0.00083771i,0.0031018-0.00074179i,0.0025296-0.00097259i,0.0015589-0.00044871i,0.00057081-0.0006887i,-0.00010598-0.00031601i,0.00028317-0.00015963i,0.00049085+6.3883e-06i,5.0239e-05+0.00031727i,-0.00071838+0.00022516i,-0.0011193-2.8565e-05i,-0.00079547-4.5908e-05i,-0.00024959-0.00048546i,-3.9633e-05-0.00073061i,-0.00012628-0.00070484i,-7.4555e-05-0.00014747i,-9.81e-05+5.269e-05i,0.00025963-0.00016513i,0.00074194+0.00028454i,0.00017469+0.00077888i,-0.0004832+0.00010719i
-0.00018222-0.0015294i,-0.00063993-0.0013096i,-0.0014708-0.0012113i,-0.00063383-0.0012481i,-0.00038916-0.00074014i,-0.00018937-0.00095901i,7.1492e-05-0.00099105i,0.00050401-0.00029545i,0.0011242+8.8777e-05i,0.00064184+0.00045513i,2.1256e-05+0.00071343i,-0.00023132+0.00038128i,-0.00076932-7.7546e-05i,-0.00070879-9.276e-05i,-0.00026232+0.00025977i,0.0001269-0.00017543i,-9.2945e-05-3.8443e-05i,-0.00010741+0.00035787i,0.00047616+9.2437e-05i,0.00039-0.00024827i,-0.0001701+2.5513e-05i,-0.00060596-0.00026726i,-0.00049602-0.0011227i
0.00043639+0.0011939i,0.00068489+0.0010408i,0.0021889+0.0005405i,0.0023139-0.00012704i,0.001871-0.00025482i,0.0011692+6.8855e-05i,0.00041564-7.7209e-05i,0.00057465-0.0004262i,0.00035638-0.00024851i,-2.5e-05+0.00013564i,0.00020261-8.7194e-05i,0.00043332+0.00045135i,0.00027731+0.0007256i,0.00036036-0.00025376i,0.00022407-0.00015159i,-0.00045+0.00041112i,-0.00034146+0.0002108i,0.00047668+0.00026678i,0.00037165+0.00022291i,-3.4929e-05-0.00038012i,0.00066443-0.0007942i,0.00085961-0.00018096i,3.0118e-06+0.00035215i
0.0020071-0.0016503i,0.0017771-0.0014392i,0.00066569-0.0016496i,-2.9701e-06-0.0010986i,-0.00034605-0.0013746i,-1.0861e-05-0.0016159i,6.6349e-05-0.0014741i,-4.6882e-05-0.0009818i,-0.0005212-0.00046562i,-0.00088782+0.00013952i,-0.00064356+0.00094988i,-0.00031435+0.0011538i,0.00017405+0.0011592i,0.00015669+0.00038157i,0.00051388+0.00025274i,0.00058581+0.00033624i,1.8645e-06-0.0003872i,-4.514e-05-0.00086805i,0.00060599-0.00043844i,0.00058247+0.00053196i,1.778e-05+0.00042137i,0.00025907-0.00040762i,0.0001761-0.00023611i
-0.0017382-0.0002818i,-0.0021524-0.00049027i,-0.00091319-0.00010049i,0.00020183+0.00011084i,0.00068259-0.00063305i,0.00067896-0.00037862i,0.00071823+0.00044063i,0.00058684+0.00059564i,-6.8729e-05+0.00038013i,-0.00027369-0.0002403i,8.2588e-05-0.00084779i,0.00024397-0.00054196i,-0.00031-0.00085861i,-0.00061727-0.001488i,-1.7617e-05-0.0014694i,0.00041676-0.001171i,0.00043794-0.0014824i,1.5919e-05-0.0012051i,-0.00089095-0.00036442i,-0.00072758-2.1294e-05i,-8.5719e-05+0.00011092i,-0.0001157+0.00029988i,0.00035204-0.00021734i
-0.00098585+0.0015055i,0.00020259+0.0020979i,0.00098932+0.0023432i,0.0014359+0.00091828i,0.0017237-2.2252e-05i,0.0012855-0.00025976i,0.00027024-0.00045763i,-0.00038566-0.00040625i,-0.00074029-0.00026181i,3.3121e-05-0.00023556i,0.00085635-0.00017923i,0.0003866+1.8875e-05i,-0.0005454+6.5287e-05i,-0.0010297-3.7461e-05i,-0.00059715-0.00083584i,-0.00013085-0.0012151i,-0.00053535-0.0006869i,-0.00042586-0.00031735i,0.00016837-0.00070493i,0.00038855-0.00066119i,0.00045458-0.00031419i,9.8339e-05-0.00026856i,-0.00033226-0.00041757i
0.0010274-0.00050947i,0.0014014-0.00055177i,0.0015275-0.0003098i,0.00079565+0.00081653i,-0.00096359+0.00096195i,-0.0016099-0.00025106i,-0.0015299-0.00043386i,-0.0010377-7.1573e-05i,-6.828e-05-0.00023491i,0.0001339-0.00027112i,0.000655-0.00029517i,0.00077452-4.9945e-05i,0.0006033+0.00088251i,0.00098231+0.0010884i,0.0010854+0.00035927i,0.00040096-0.00015092i,-0.00025177-0.00011179i,-0.00035086+0.00032017i,-0.00011669+0.00011061i,3.2224e-05-0.00080746i,-2.2242e-05-0.00054137i,-0.00015735+0.00012961i,0.00037809-0.00034836i
-0.0019902-0.0028057i,-0.0034496-0.0021866i,-0.0027339-0.00034046i,-0.00059538+0.00060878i,0.00040412+0.00080586i,0.00032248+0.0012785i,0.00018118+0.00046909i,0.00043566-0.00097343i,-0.00022641-0.00058551i,-0.00046735-0.00019776i,0.00023797-0.00016225i,0.00034839+0.00029445i,-6.9075e-05+0.00071278i,-0.00031875+0.00015109i,-0.00021479+0.00011038i,-0.00023449+0.0005323i,-0.00050562+0.00053152i,-0.00052084+4.102e-05i,-9.804e-05-0.00019726i,-0.0004472+0.00036265i,-0.00056358+0.00042505i,-0.00088124+0.00096935i,-0.0017699+0.0010152i
0.00045655+0.0023808i,0.0010656+0.0020456i,0.00098185-0.00024658i,0.00046639-0.0025068i,-0.0007719-0.003016i,-0.0015413-0.0022377i,-0.00083476-0.0016503i,-0.00045101-0.0016871i,-1.8363e-05-0.00094384i,0.00041813-0.00057473i,-1.9702e-05-0.00095325i,-0.00015672-0.0010196i,0.0002096-0.00087492i,0.00010452-0.0005129i,-0.00075944-0.00067876i,-0.00089416-0.0012906i,-0.00010272-0.00045817i,-3.5266e-05+0.00057908i,4.5581e-05+0.00050211i,0.00025476+0.0002053i,-4.5888e-05+0.00025821i,-0.00025912-2.1607e-05i,-0.00010535-0.00065485i
0.00088318-0.00079i,0.0014744-0.00042016i,0.0022248-4.2112e-05i,0.0014953-0.00093495i,6.9129e-05-0.0013987i,-0.00051644-0.00083063i,0.00029158+0.00012292i,0.00038465+0.00017946i,-0.00020689-0.00040672i,-0.00030545+6.8912e-05i,-0.00021298+0.00051297i,-0.00027112+3.7963e-05i,-0.00068724-0.00051639i,-0.00021819-0.00079961i,0.00086158-0.00082732i,0.00097006-0.00027869i,-6.5842e-05+8.3732e-05i,-0.00038837+8.3205e-05i,8.3975e-05+4.6588e-06i,0.00013942-0.00049238i,9.0209e-05-0.00082682i,-0.00023941-0.00014335i,-0.00076913+0.00032137i
0.0007858-0.0015688i,0.00070195-0.0019083i,0.00050575-0.0014458i,0.0001863-0.0007371i,-5.4848e-05-0.00010536i,-0.0004375-0.00028397i,-0.0007974-0.00010048i,-0.00072951+0.00016153i,8.3001e-05+5.9007e-05i,0.00024542+0.00040591i,-0.00037333+0.0015028i,-0.00015663+0.0011367i,0.00026069-0.00021621i,-0.00060857-0.00047834i,-0.0011051-0.00028143i,-0.00093764-5.9153e-05i,-0.0006476-3.0382e-05i,-0.00043663+0.00012294i,-0.0002677+0.0002612i,-8.7095e-05-3.4028e-06i,-0.00031308-0.00046705i,-0.00051533-0.00056634i,-5.5545e-07-0.0002367i
-0.00075519+0.0017416i,-0.00049386+0.0014169i,0.00016928-0.0006379i,0.00059629-0.0016691i,3.4408e-05-0.0017845i,-0.00064692-0.001842i,-0.0002259-0.00093868i,-0.00033731+9.7197e-05i,-7.7882e-05+0.00022362i,0.00025821+0.00044332i,-0.00047931+0.00042651i,-0.0011357+0.00075513i,-0.0009338+0.00084035i,4.7157e-05-0.00028699i,0.00027671-0.00079156i,-0.00070168-0.00026858i,-0.0010998-0.00020606i,-0.001091-8.9903e-05i,-0.00061189-0.00015424i,0.00015305-0.00084034i,-0.00028006-0.00077805i,-0.00044852-0.00072533i,-6.82e-05-0.00063164i
0.0020139-0.00072688i,0.0023292-7.9161e-05i,0.0025553+0.00060565i,0.0013735-0.00038609i,0.00032749-0.0016559i,0.00015676-0.0012649i,-0.00019437-0.00074698i,-0.00015954-0.00063597i,0.00031101-0.00027241i,0.00054875+0.00066452i,0.00016411+0.00039681i,-0.00031282-0.0004516i,-3.2499e-05-0.00073989i,0.00093548-0.00077253i,0.00047403+7.1616e-06i,-0.00041994+0.00057327i,-4.582e-06-0.00014892i,-0.00034095-0.0011224i,-0.00098446-0.00099697i,-7.7487e-05-0.00068426i,0.00030424-0.00020385i,-0.00038019+0.00020539i,-0.00046308-0.00020245i
-0.00064223+0.00043062i,-0.00037593+0.00016677i,0.00036009+0.00065439i,0.0006527+0.00050048i,0.00060015+0.00037786i,0.00050461-0.00037625i,2.788e-05-0.0011007i,-0.00025084-0.00070585i,-0.00056286+3.9321e-05i,2.5281e-06+0.00013996i,0.00068511+1.9875e-05i,0.00024784+0.00037791i,0.00021517+0.0010286i,0.00057011+0.00055074i,0.00095786-0.00039913i,0.0006732-0.00085019i,3.9772e-05-0.00074389i,-0.00043589-0.00056656i,-0.00015468-0.00049053i,0.00078557-2.3981e-05i,0.00026045-0.0003898i,-0.0004524-0.0010206i,-0.00071914-0.00033977i
-0.0015413+0.0011685i,-0.00059838+0.0023687i,-0.00032123+0.0015896i,-9.0272e-05+0.00046665i,8.1005e-05-9.869e-05i,0.00025815-0.00012728i,0.00046433-0.00079446i,-0.00022184-0.0014642i,-0.00012538-0.00078997i,0.00041757+0.00033421i,0.00011226+0.0004353i,-2.3107e-05+9.4958e-05i,-0.00011482+0.00041214i,-0.00026173+0.00026433i,-0.0001981+0.00013847i,-0.00068071+0.00012444i,-0.00058356+8.6245e-05i,0.00030749+1.051e-05i,0.00080243+0.0003094i,0.0010509+0.00023073i,0.00067979-0.00085906i,0.00012367-0.0011682i,-0.00075908-0.0010765i
-0.00038043-0.00012723i,0.00088018-0.00010394i,0.0029639+0.00074037i,0.002311-0.00055347i,0.0017313-0.0016104i,0.00084981-0.00061546i,0.00021363+0.00066432i,-0.00016761+0.00042324i,-0.00041539+0.00020715i,8.38e-05+0.0001807i,0.00014116-0.00092115i,-0.00028772-0.00079705i,-2.0343e-05+0.0001541i,0.00033487-0.00024696i,-0.00046331-0.00025287i,-0.00062338-0.00015722i,-0.00044055-0.00049765i,-0.00045938-0.00098686i,-0.00050985-0.0012907i,-0.00057246-0.0011579i,-0.00068676-0.00088383i,-0.00076008-0.00044975i,-0.00034648+0.00016394i
0.0013345+0.00081976i,0.0005391+0.00057492i,0.0011081+0.00073599i,0.001425+0.00030559i,0.00054129-0.00066768i,-3.7542e-05-0.0010436i,0.00025222-0.00058384i,0.00055129-0.0005293i,0.00042185-0.00012975i,0.00032576-3.0642e-05i,-0.00010523-0.00039988i,-0.00015929-0.00093579i,-0.000422-0.00089804i,-0.00070552-0.00050582i,-0.00052888-0.00043713i,-0.00042695-0.00058626i,-0.0001976-6.5797e-05i,-0.00019057+0.0005034i,-0.00011067+4.6393e-07i,0.0001567-0.0012168i,7.9527e-05-0.0017601i,0.00040476-0.0010251i,-0.00016383+0.00014928i
-9.0867e-05-0.00023197i,0.00062156-0.00030943i,0.00055365-0.0003561i,0.00022753-0.00020371i,-0.00024564-0.00058038i,-0.0004039-0.00089426i,-0.00052712-0.00078356i,-0.00055606-0.00060939i,-0.00021829-0.000144i,4.8274e-05-6.6615e-05i,0.00023526+0.00017788i,0.00019716+0.0010296i,-0.00010294+0.00085635i,-0.000659+0.00038845i,-0.00043321+0.00027212i,0.00020171+0.00050601i,-5.0984e-05+0.00049806i,6.9366e-05-0.00012106i,0.00020667-0.00094244i,0.00041247-0.0012916i,0.00104-0.00097862i,0.00048317-0.00042637i,-0.00061757+7.0375e-05i
0.0017294+0.001185i,0.0018386+0.0011918i,0.0023866+0.00061217i,0.0018798+9.4418e-05i,0.0013206+0.00016726i,0.00089902+0.0005326i,0.00086093+0.00024129i,0.00058362-0.00050647i,-0.00016331+0.00013845i,0.00023861+0.00078671i,0.00085248+0.00033716i,6.5491e-05+0.00012123i,-0.00024301-0.0002145i,0.00031429-0.00056697i,-0.00014289+0.00014723i,-0.00043994+0.0010586i,-9.7848e-05+0.0010369i,4.8508e-05+0.0003849i,4.5115e-05-9.1785e-06i,0.00044122-0.00054835i,0.00014075-0.0010243i,-0.0002007-0.00095668i,-2.0426e-05-0.00026012i
0.00064413-0.00050985i,0.00048511-0.00096984i,0.0011583+0.00048474i,0.0014726+0.0012125i,0.0014682-0.0010902i,0.00030617-0.0022562i,-0.0011634-0.00099854i,-0.0017158+0.00038198i,-0.0010324+0.0010204i,-0.00070206+0.00043367i,-0.00026755-0.00024599i,-1.0757e-05-2.0642e-05i,-0.00095879+0.00030969i,-0.00047669+0.0001154i,0.00082398+5.7645e-05i,1.3542e-05+4.4984e-05i,-0.00076213-0.00021911i,-0.00081872-2.4134e-06i,-0.00042671-0.00012824i,-0.00039169-0.00021154i,-0.00054993-0.0002238i,-0.00019543+0.00018265i,-0.00013864+0.0006864i
-0.0021978+0.0027723i,-0.0014537+0.0025425i,0.0016064+0.0018454i,0.0027811+0.00034702i,0.0016627-0.00022031i,0.0001101-0.00012775i,-0.00019212-0.00034529i,0.00015144-0.00045736i,0.0002488-0.00013837i,-0.00027923-0.00010997i,-0.00043485-0.00046773i,0.00014467-0.00073428i,0.00018712-0.00080796i,-0.00037976-0.00090622i,-9.279e-05-0.0008712i,-0.00020657-0.00087752i,-0.00021912-0.00039511i,7.1209e-05-0.00012136i,0.00027521-0.00044814i,0.00079465-0.00062926i,0.00028702-0.00013225i,-6.1812e-05+0.00036625i,6.8215e-05+0.00035746i
0.00048846+0.0042963i,0.00091566+0.002915i,0.0022002+0.00082852i,0.0022491-0.0011789i,0.0012912-0.002287i,5.4741e-05-0.0022989i,-0.0012009-0.0012734i,-0.001132+0.00011974i,-2.523e-05+0.00099833i,0.00071663+0.00089342i,0.0010969-0.00028567i,0.0011123-0.0010637i,0.00044822-0.00063567i,2.1733e-05-0.00021475i,-6.6798e-05-0.00038973i,-0.0001515-0.0002799i,-0.00031584-7.757e-05i,-0.00027939-0.0010276i,-5.5289e-05-0.001284i,0.00011891-6.8138e-05i,0.00014063+0.00079965i,-0.00058532+0.00068652i,-0.0011092+0.00013796i
-0.0014093+0.0047585i,-0.00057424+0.0032371i,0.0020153+0.0031764i,0.0031329+0.0013902i,0.0026264-0.0010096i,0.0016807-0.0016061i,0.0014064-0.00084602i,0.00123-0.00037998i,0.00067712+0.00034512i,0.00067599+0.00010809i,0.00029001-0.00066523i,-0.00036878-0.00053281i,-0.00066756+0.00013582i,-0.00033759+0.00044836i,0.0002727-0.00022343i,-0.00054636-0.00029581i,-0.0010556+0.0004747i,-0.0002102+0.00085087i,2.4607e-05+0.00079227i,-0.00035221+0.00020325i,-0.00010866+4.9876e-05i,-0.00019839-4.6162e-05i,-0.00021632-0.00044357i
