-0.0032377+0.00042889i,-0.0020541+0.00019174i,-0.0026382+0.0012835i,-0.0018914+0.0022175i,-0.00043769+0.0035321i,0.00016496+0.0032795i,0.00022938+0.0027787i,0.0002566+0.0025105i,0.00051493+0.0017451i,0.0010837+0.001119i,0.0007277+0.00063149i,-0.00043641-0.00021131i,-0.00071748-0.0010976i,-0.00015841-0.0011579i,-0.00015841-0.0012084i,-0.0010665-0.00072727i,-0.0012373+0.00021229i,-0.00041314+0.00022362i,0.00044756+0.0005207i,0.00071787-0.00027777i,0.00071334-0.0010524i,0.00049167+0.00032875i,0.00075774+0.00059945i
-0.0036334+0.00049999i,-0.0024377+0.00056642i,-0.0012466+0.0018383i,-0.00054939+0.0025875i,0.00044081+0.0031311i,0.00093541+0.0023884i,0.00050334+0.00091227i,0.0010617+9.1932e-05i,0.0023835-1.4563e-05i,0.0017364+0.00011465i,6.3229e-05+0.00043958i,-0.00054074-9.1281e-05i,-0.00029338-0.00082719i,-0.0001287-0.00056364i,-0.00015912-0.00012541i,-0.00028093-4.9664e-05i,6.5735e-05-0.00044128i,5.31e-05-0.00032098i,-0.00046236+0.00041915i,-0.00023951+0.00045832i,0.00045786+1.4967e-05i,0.00062139-8.2051e-06i,0.00016873+0.00027369i
-0.0004454+0.0022313i,-0.000283+0.00080764i,0.0012062-0.0010227i,0.0018803-0.0015803i,0.00097149-0.00087439i,0.00020789+0.00035723i,-0.00046088+0.00061664i,-0.00070531-0.00073885i,-0.00088808-0.0021858i,-0.0011189-0.0029058i,-0.00095607-0.0024881i,-0.0011002-0.0012769i,-0.00084371-0.00013231i,-2.037e-05+0.00020426i,-0.00058585+0.0002799i,-0.0014642-9.7519e-05i,-0.00095267-0.00056884i,-0.00065674-0.00025528i,-0.00073949+0.0001989i,-0.00011169+0.00089301i,0.00057562+0.001381i,0.0010325+0.00074876i,0.00013971+0.000386i
0.003533-0.00044939i,0.00091646+0.00069162i,-0.0012507+0.00014631i,-0.0019646-0.00083722i,-0.00078538+2.2027e-05i,0.00052744+0.0018473i,0.00014918+0.0017677i,-0.00084053-0.00080419i,-0.0010903-0.0026626i,-0.0017789-0.0023719i,-0.0024261-0.0019819i,-0.0014787-0.00084974i,-0.00050418+0.00017183i,-0.00061201-0.00023246i,-0.00062089-0.00073709i,9.3904e-06-0.00055725i,0.00049151-0.00020469i,0.00011391-0.00023305i,0.00018423-0.00014141i,0.00043909-0.00056282i,-0.00019998-0.00057735i,-0.00048469-0.00048715i,5.9387e-05-0.00078913i
0.0034601-0.0017606i,0.0032794-0.0021526i,0.0022683-0.0028448i,0.0012051-0.0023344i,-6.562e-06-0.00058955i,0.00043777+0.00095333i,0.0015058+0.0016069i,0.001225+0.0021125i,0.00067164+0.0019278i,4.5523e-05+0.00091289i,-0.00054986+0.00065912i,-0.00025761+0.00083038i,-3.7518e-05+7.1961e-05i,0.00010972-0.00031244i,-5.0842e-05+0.00040461i,-8.138e-05+0.00037047i,0.00071608-0.00038042i,0.0010002+0.0001706i,0.00061954+0.00073683i,0.00031442-0.0001643i,0.00045165-0.00057573i,0.00044455-0.00030171i,0.00025092-0.00027989i
-0.0019229-0.0037615i,0.00023343-0.0027859i,0.0016603-0.00060172i,0.00082802-0.00086277i,0.00044566-0.0018384i,2.4534e-05-0.00060441i,-0.00044791+0.0006259i,0.00041906+0.0017177i,0.00086597+0.0017998i,0.00045535+0.00095397i,3.2943e-05+0.0011515i,-8.3046e-05+0.0012706i,0.0003413+0.00084858i,0.00024927+0.00046306i,-0.00038432+0.00028048i,-0.00022111-0.0002991i,-0.00018522-0.0017064i,0.00045343-0.0021874i,0.00070269-0.00099853i,-0.00020332-0.00010513i,-0.0004866-2.3264e-05i,0.00028916-5.667e-05i,-0.00037134+0.00010486i
-0.0020191+0.0014914i,7.3058e-05-0.00038331i,0.0017114-0.001308i,0.00031247-0.00065385i,-0.0010963+0.0010301i,-0.00084461+0.0017846i,-0.00054092+0.00051622i,0.00038783-0.001173i,0.0016324-0.0018754i,0.0020285-0.0020895i,0.002122-0.0018662i,0.001431-0.0016413i,5.2095e-05-0.0013542i,1.1435e-05-0.0011739i,0.00049599-0.0015i,-0.00012291-0.0013348i,-0.00072434-0.00096035i,-0.00083366-0.0011534i,-0.0012132-0.00066058i,-0.00044415+0.00056061i,0.00040239+0.00088676i,0.00024555+0.00038005i,0.00046379-0.00032846i
-0.0034728+0.0027289i,-0.0050038+0.0011656i,-0.0037183+0.00062986i,-0.001005+0.00093362i,0.00068032+0.0016428i,0.00049115+0.0013067i,0.00012575+0.00021563i,0.0003638-0.0002153i,0.00084452-0.00058012i,0.00095143-0.0020561i,-0.00012027-0.0024356i,0.00027362-0.0020911i,0.00117-0.0014241i,0.00059802-0.00059876i,-0.00016732-0.0010795i,-9.8505e-05-0.0012114i,-0.00029649+0.00019846i,-0.0006034+0.00077278i,-0.00034642+0.00037123i,-0.0001572+0.00053783i,8.4667e-05+0.0005311i,0.00038473-0.00013263i,0.00074711-0.00049859i
0.0037792+0.0025898i,0.002535+0.0024804i,0.0015646+0.0011008i,0.00068953+0.00082417i,-9.3254e-05+0.00087688i,-0.00053713+0.0014534i,-0.0016265+0.0021384i,-0.0030354+0.001366i,-0.0038275-0.00091401i,-0.003298-0.0017743i,-0.0026717-0.0015275i,-0.0020659-0.0013256i,-0.0010321-0.00027545i,-0.00023293+0.00044981i,-5.8414e-05-4.0476e-05i,-0.00050595-0.00050418i,5.3315e-06-0.00057963i,0.0006057-0.0002037i,0.00081017+0.00013869i,0.00077311+0.00032355i,0.00021091+0.00055808i,-0.00022719-0.00027786i,-0.00029451-0.00034466i
0.00313-0.00077072i,0.0023911-0.00056854i,0.0014004-0.00038942i,0.0012648+0.00042291i,0.0016229+0.0021091i,0.0010543+0.0020777i,0.00016359+0.0015751i,-0.0007887+0.0011613i,-0.001555+0.0001499i,-0.0017018-6.2371e-05i,-0.002027+0.00028628i,-0.0014981+0.00042136i,-0.0001342+0.00026208i,-6.1614e-05+8.4737e-05i,-0.00033994-3.432e-05i,-9.3102e-05-0.00042629i,0.00020527+0.00020708i,0.00070904+0.00043805i,0.00090694+0.00044592i,0.00095979+0.00054183i,0.00073787-0.00028812i,0.00011835-0.00076067i,3.6948e-05-0.0011143i
0.00082129-0.0040857i,0.0016266-0.0039239i,0.0016911-0.0027302i,0.00041434-0.0024382i,-0.00094886-0.0021135i,-0.00068347-0.0021094i,0.0013279+8.1586e-05i,0.0028944+0.0024907i,0.0028426+0.0022664i,0.0022629+0.0012636i,0.002169+0.0010217i,0.0012883+0.0011543i,-3.4334e-05+0.00018064i,3.9993e-06-0.00055921i,0.00039104-0.00059668i,0.00046138-0.00077796i,0.00072148-0.00053707i,0.0011444-0.00028214i,0.0010808-0.00060101i,0.00064216-5.12e-05i,7.8251e-05+0.00061234i,-0.00061063-5.7825e-05i,-0.00045285-0.00023807i
-0.0029591-0.0030113i,-0.00053795-0.0035311i,0.0012173-0.0016306i,-0.00048214-0.00031208i,-0.0023205-0.00010856i,-0.0018592+0.0006947i,-0.00050928+0.00019768i,0.00075719-0.00059538i,0.0014281-0.00041241i,0.00086595-0.00079897i,0.00066468-0.00089377i,0.00073507-0.00084895i,0.00022273-0.00092721i,-0.00068508-0.0001599i,-0.0010861+2.5217e-05i,-0.0010478-0.00079192i,-0.0015211-0.0007755i,-0.0012595-0.00049597i,-0.00041555-0.00057345i,0.00013322-0.00089863i,0.00019003-0.00062276i,-0.00038506+0.00027735i,-0.00061554+0.00054834i
-0.0039346+0.0049308i,-0.0037778+0.0022224i,-0.0024247+0.00036147i,-0.0015435+0.0011262i,-0.0012958+0.001987i,-0.00048513+0.0020122i,-0.000365+0.00060029i,-0.00050997-0.0019305i,-0.00025587-0.0032008i,-0.0014015-0.0028864i,-0.0021926-0.0021232i,-0.0019631-0.0014402i,-0.0014965-0.00063949i,-0.00066885-0.00046291i,-0.00024077-0.00095868i,-0.00010385-0.00084589i,-0.00041273-5.4246e-05i,-0.0001193+0.00038057i,0.00058051+0.00042613i,0.00030335+0.00035035i,-0.00023887+0.00037938i,-0.00096262+0.00028826i,-0.00068702+1.6273e-05i
0.0017851+0.0042926i,-0.0014867+0.0032511i,-0.001709+0.0010187i,-0.00057829+0.0002575i,-0.0012675+0.00079879i,-0.001342+0.0014524i,-0.00057208+0.0011735i,-0.00055645-3.9797e-06i,-0.00071347-0.00057726i,-0.00043041-0.00029904i,-0.0003943+8.6364e-05i,-0.0010702+0.00049151i,-0.0010581+3.3237e-05i,-0.00049926-0.00053563i,-0.00029539-0.00056025i,0.00032575-0.00088832i,0.00031149-0.00081403i,-0.00046143-0.00011533i,-0.0010498+0.00058121i,-0.0007405+0.0011206i,4.8971e-05+0.0010446i,0.00039598+0.00020325i,0.0001083-0.00058914i
0.0065633+0.001372i,0.0063677+0.0023585i,0.0037663+0.0023178i,0.0024836+0.0013853i,0.0017007+0.0017089i,0.00041934+0.0025054i,-0.00062508+0.0030843i,-0.0011049+0.0037832i,-0.00078751+0.0039139i,-0.00067609+0.0026632i,-0.00057622+0.0016986i,-0.00010708+0.0013913i,0.00044367-6.0197e-05i,0.00048175-0.0010612i,0.00020383-0.00086815i,-0.00039351-0.00071857i,-0.0011117-0.0014149i,-0.00025426-0.002036i,0.00078185-0.0010848i,0.00034079-0.00018789i,0.00019723-0.00031058i,-0.00013414-0.00043004i,-0.00068159-0.00064543i
0.00077657-0.0054999i,0.0017776-0.0038746i,0.00088472-0.0020381i,-0.0001635-0.0010376i,-0.00050573-0.00010823i,-0.00035895+0.00020358i,0.00054619+0.0001861i,0.00040185+0.0005524i,0.00011351+0.00022616i,-0.00044731+0.00010939i,-0.0013199+0.00052324i,-0.00086069+0.00031619i,-0.00015722-0.00024162i,0.00015673-0.00020238i,0.00046426+0.00027696i,-9.1948e-05+0.00011088i,-0.00097085-0.00049621i,-0.00096222-0.00097616i,-0.00046006-0.00052245i,0.00022129-0.00022452i,0.00047474-0.00085459i,0.00026517-0.0011935i,-0.0002515-0.00063066i
-0.0045244-0.0052951i,-0.0027413-0.004627i,-0.0024886-0.0030271i,-0.0029707-0.0021275i,-0.0029142-0.0010024i,-0.0016811-0.00078591i,0.00099261-0.0015453i,0.0024834-0.0021615i,0.0032249-0.0021429i,0.003073-0.0015927i,0.001712-0.0010865i,0.001257-0.0011653i,0.00049359-0.0016841i,-0.00042867-0.0014869i,-0.0008079-0.00027272i,-0.00091883-0.00041643i,-0.0006486-0.00076035i,-0.00060087-0.00035466i,-0.00038221+0.00020842i,-0.00011759+0.00038879i,0.00049937+0.00044616i,0.00050862+0.0009052i,-4.2199e-05+0.00066138i
-0.0065862+0.0017776i,-0.0039416-4.7323e-05i,-0.0020104+0.00012064i,-0.001933+0.0017894i,-0.0015135+0.0030643i,-0.001092+0.0031878i,-0.0010188+0.0012378i,-0.00076871-0.00016246i,-0.0011222-0.0002876i,-0.0015129-0.00018019i,-0.00136-0.00038111i,-0.00058585-0.00021646i,-3.0013e-05-9.3116e-06i,-0.00028888+0.00013668i,-0.00044605+1.562e-05i,-0.00020273-0.00063028i,-5.0164e-05-0.00053288i,-0.00020998+0.00027618i,-0.00028826+0.00050894i,-9.4097e-05-0.00024114i,-2.3011e-05-0.00034381i,-0.00023004+0.00030482i,0.00034096+0.0010092i
0.0015613+0.0048926i,-0.0028518+0.0026565i,-0.0030459-0.00052112i,-0.0011416-0.0011723i,-0.00096818+0.0007027i,-0.0014722+0.0021563i,-0.0026566+0.0018818i,-0.002774-0.00029305i,-0.0023991-0.0011251i,-0.0028377-0.0010375i,-0.0026693-0.0009116i,-0.0017006+0.00051829i,-0.0011255+0.00082288i,-0.00084409+0.00014258i,-0.00017421-0.00023816i,-0.00038597-0.00048367i,4.0234e-05-0.00084067i,0.0008289-0.00022273i,0.00054359+0.00048766i,0.00022267+0.00036378i,0.00075549-3.6885e-05i,0.00069741+2.9762e-05i,0.00040116+0.00021867i
0.0054319+0.0026918i,0.0029974+0.004809i,-0.00013393+0.0046148i,-0.0013453+0.0037267i,-0.00087477+0.0041267i,0.00057721+0.0037773i,0.00055989+0.0026251i,0.00045258+0.0023404i,0.0011351+0.0019613i,0.0012896+0.0010212i,0.0011443+0.00049068i,0.00034584+0.00034903i,-0.00039601-0.00017992i,-0.0003415-0.00096447i,-9.7518e-05-0.0014053i,-0.00016728-0.001296i,-0.00017262-0.00058947i,0.00028177-0.00019138i,0.00027341-0.0003681i,8.149e-05-0.00027203i,0.00077919-0.0003801i,0.0011162-0.00094012i,0.00060332-0.0010705i
0.0043863-0.0062025i,0.0056197-0.0028153i,0.0046054-0.00046634i,0.0028995-9.338e-05i,0.0029316-0.00041541i,0.0032825+0.00024917i,0.0027654+0.0021815i,0.002148+0.002915i,0.0014191+0.0022607i,0.00090938+0.00061854i,0.0011864-0.00054917i,0.00099207-0.00038073i,-9.6891e-06-0.00070032i,-0.00084714-0.0017283i,-0.00088845-0.001971i,-0.00011647-0.001164i,0.00023412-0.00025762i,-0.00011724-0.00054329i,-7.9219e-06-0.00048702i,0.00016572+0.00020503i,4.525e-05+0.00047218i,-0.00033978-8.008e-05i,-0.00041205-0.0013397i
-0.0019109-0.004751i,-0.00019757-0.0060014i,0.0024509-0.0037983i,0.0023256-0.0022734i,0.0005818-0.0030324i,-0.00032954-0.0032931i,-0.00010761-0.0029153i,0.00054992-0.0021328i,-0.00048562-0.0020867i,-0.0011006-0.002228i,-0.00099104-0.0010333i,-0.00077796-0.00014043i,-0.00040687-0.00085196i,-0.00011112-0.00095162i,-0.00035917-0.00018591i,-0.00038942+4.0446e-07i,-0.00052854-0.00022167i,-0.00098957-0.00055374i,-0.00084786-0.00031282i,0.00013265-0.00031457i,0.00060363-0.00040311i,3.321e-05-0.00027851i,-0.00085972-0.00029655i
-0.0063069+0.00030029i,-0.0044083-0.002949i,-0.0017244-0.0032935i,-0.0015389-0.0018486i,-0.0021092-0.0007713i,-0.0019743-0.00032911i,-0.0016537-0.0013256i,-0.00091353-0.0026847i,0.0010249-0.0028971i,0.00074405-0.0023807i,-0.0021794-0.0020631i,-0.0026118-0.00073655i,-0.0010722+0.00031281i,-0.00068365+0.00087079i,-0.00023893+0.00082511i,0.00057232+0.00024673i,0.0006279+0.00025238i,-0.00032838-0.00035477i,-0.00073081-0.00033223i,-0.00045826+0.00015459i,-0.0003104+0.0001488i,-0.00068784+0.00011559i,-0.0010046-0.00019384i
-0.0031294+0.0087214i,-0.0039486+0.0062427i,-0.0018248+0.0026319i,0.00035611+0.00059376i,0.00068866+0.00012058i,-0.00073985+0.0012578i,-0.0025823+0.0018518i,-0.0025874+0.0020287i,-0.0015103+0.0020848i,-0.00097835+0.0019356i,-0.00062915+0.0011193i,-9.2632e-06+0.00014871i,5.9264e-05+0.00033709i,0.00043876+0.00082969i,0.00045652+0.0007356i,0.00024431+0.00031966i,2.1549e-05+0.00038569i,-0.00023357+0.00035738i,-0.00011101+0.00013147i,0.0003441+0.00042614i,0.00051448+0.00063847i,-8.8797e-05+0.00047467i,0.00023736+8.0592e-05i
0.0077571+0.0049367i,0.0048836+0.006078i,0.0011046+0.0038643i,-0.001772+0.00047886i,-0.0025842+0.0006339i,-0.0020022+0.0040167i,-0.0024674+0.0049503i,-0.003187+0.0022501i,-0.0027255+0.00082234i,-0.0021959+0.00059876i,-0.001506+0.00060315i,-9.8556e-05+0.00083727i,0.000706-7.0009e-05i,0.00093824-0.00052769i,0.000855-0.00043419i,-5.9918e-06-0.00044971i,-0.0004804-0.00045597i,8.845e-05+0.00010141i,0.00032406+0.00065219i,0.00066812+0.0012736i,0.00039644+0.0010901i,-0.00068015+0.00036332i,-0.00073385+0.0002614i
0.007464-0.003744i,0.0068929-0.0012914i,0.0039773+0.00041275i,0.0016658+0.00093971i,0.0012516+0.0011833i,0.0024121+0.0018807i,0.0035382+0.0019455i,0.0039655+0.0011884i,0.0032134-0.00037368i,0.0024092-0.001286i,0.0014041-0.001493i,0.00048637-0.0014994i,0.00013493-0.0014141i,0.00029122-0.0012741i,0.00025508-0.00083756i,-0.00085381-0.001013i,-0.00078121-0.0010593i,-0.00010857-9.4142e-06i,-0.00047707+0.0006499i,-0.0006157+2.8474e-05i,-0.00057103-0.00013186i,-0.00050633-0.0003431i,-0.00035378-0.00089649i
0.00030271-0.0093902i,0.0029557-0.0083187i,0.0030063-0.0043138i,0.0016708-0.0024829i,0.0010085-0.0017058i,0.00073303-0.0012083i,0.001644-0.00089176i,0.0028993+0.00038352i,0.0024361+0.00059572i,0.0011777-0.00078614i,0.00022348-0.0016428i,-8.9182e-05-0.001591i,-0.00076627-0.0008282i,-0.0020755-0.00064244i,-0.0021043-0.00062093i,-0.0015285-0.00042651i,-0.0011657-0.00039955i,-0.00023128-0.00022275i,0.0013082+0.00023852i,0.0019699+0.00028583i,0.0013793+0.00029272i,0.00077022+0.00014619i,3.3526e-05-6.1027e-05i
-0.0091283-0.0032202i,-0.0069515-0.0050477i,-0.0036443-0.004514i,-0.002288-0.0022212i,-0.0026203-0.0011463i,-0.002319-0.001085i,-0.0025505-0.0018718i,-0.0035879-0.0029289i,-0.0037721-0.0033568i,-0.0035974-0.0022447i,-0.0021549-0.00072165i,-0.00059029+0.00035586i,-3.8244e-05+0.00077966i,-0.00034626+0.00031388i,-0.0011956+0.00027113i,-0.00098769+0.00057717i,-0.00088008+0.0003099i,-0.00068975-0.00042883i,3.7942e-05-0.001266i,0.00058532-0.0012129i,0.00052858-0.00075732i,-0.00048327-0.00049982i,-0.0013321-0.00021392i
-0.0088697+0.0091123i,-0.010308+0.0074643i,-0.0074547+0.0037737i,-0.0024801+0.0020133i,-0.00036681+0.0020241i,-0.0010407+0.0018134i,-0.0023124+0.00011044i,-0.0024196-0.0019706i,-0.0022897-0.0025219i,-0.0017021-0.0016349i,-0.00074836-0.00075405i,-0.00039313-0.00023205i,0.00044964-0.00033554i,0.0015659-0.00036729i,0.0014885+8.734e-05i,0.0010151-8.7583e-05i,0.00028346-0.00060451i,-0.00053164-0.00046545i,-0.0012408-0.00054357i,-0.0012921-0.0012211i,-0.00084473-0.001499i,-0.00067049-0.0012378i,-0.00055489-0.0011176i
0.0072845+0.0099019i,0.0032619+0.008627i,-0.00051066+0.0040009i,-0.0015729-0.00044268i,-0.0013142-0.00053179i,-0.0010224+0.001422i,-0.0010884+0.0025772i,-0.00031937+0.0041603i,0.00099537+0.0053888i,0.0008429+0.0039494i,0.00019693+0.0012767i,0.00023126-0.00038283i,0.00081478-0.00097299i,0.00098942-0.0010424i,0.00099414-0.00056751i,0.00060379-0.00027664i,-8.3054e-05-0.00029228i,-0.00043089+1.047e-05i,-0.00029334-0.00035298i,0.00087984-0.00093991i,0.00078498-0.00033055i,-0.00010056-5.5248e-07i,0.00012746+0.00015919i
0.011777-0.0039511i,0.0099366-0.0010039i,0.0049114+0.0006328i,0.0012215+0.0010748i,0.00047521+0.002568i,0.00092184+0.0041453i,0.0017165+0.0044278i,0.0011683+0.0033606i,-0.00028564+0.0017251i,-0.00066454+0.00013274i,1.4096e-05-0.00018985i,0.00062213+0.00014131i,0.00050488-0.00082827i,2.8022e-05-0.0017799i,-0.00080051-0.0015475i,-0.00086464-0.0018048i,-0.0003626-0.0019602i,0.00018308-0.0015549i,0.00020181-0.0010401i,-0.00018834-0.00041165i,-0.00027231+0.00018382i,-0.00046446+0.00033271i,-0.0011975-0.00071686i
0.0022792-0.012932i,0.0042208-0.010494i,0.0035127-0.0047656i,0.0008579-0.0014513i,-0.00024567-0.00053157i,0.0013486+0.00025039i,0.0027872-0.00058753i,0.0034834-0.0031945i,0.0033873-0.0045889i,0.0015618-0.0040679i,-0.0003733-0.0022296i,-0.0011736-0.00047903i,-0.00053259-0.00080574i,1.1741e-05-0.00053041i,-0.00035698+0.00022382i,-0.00083069-0.00018511i,-0.0010541-0.00041001i,-0.00046051+0.00041652i,-0.00032542+0.00096609i,-0.00022076+0.00026179i,-0.0001053-0.00096204i,-0.00015955-0.00088938i,6.0285e-07+8.9405e-06i
-0.008795-0.0086433i,-0.0055456-0.010652i,-0.001128-0.0084928i,-0.00054724-0.003337i,-0.0029423-0.00048837i,-0.0031156-0.00075665i,-0.00046963-0.0016184i,0.0019175-0.0019748i,0.0016253-0.0024472i,-0.0002632-0.0023712i,-0.0011725-0.0010829i,-0.00045683+0.00018281i,0.00012254+0.0007249i,0.00056675+0.0002861i,0.00044132+0.00015326i,3.868e-05+0.00053912i,-0.00035398-0.00020687i,-0.00025705-0.0012085i,0.00061618-0.00092997i,0.0016795-0.00016806i,0.0010434+0.00066052i,-6.1369e-06+0.00077691i,0.00015637-0.0001355i
-0.010068+0.0062512i,-0.0099941+0.0029897i,-0.0057665-0.0010601i,-0.00096682-0.0016149i,-0.00061607+5.3127e-06i,-0.0029038+0.0009823i,-0.0046035+0.0012146i,-0.005558+0.00051349i,-0.0057081+0.00026438i,-0.0048481-0.00022567i,-0.0020699-0.0011485i,0.0010702-0.0011553i,0.0011368-0.0004936i,-0.00013809+6.8374e-05i,-0.00053439+0.00069517i,-0.00060259+2.219e-06i,-0.00070926-0.000961i,-0.0003431-0.0012129i,-2.4382e-05-0.0010989i,0.00010225-0.00076968i,-0.00061252-0.00055852i,-0.001427-0.00043827i,-0.0013646-0.00044491i
0.0022814+0.012972i,-0.0012926+0.012426i,-0.0030439+0.0068128i,-0.0032614+0.0021816i,-0.0037459+0.0018053i,-0.0033601+0.0026788i,-0.0025807+0.0017164i,-0.0019534+0.00021712i,-0.00094921-0.00050964i,-8.483e-05-0.00058222i,-0.00023837-0.00049614i,0.00048334-0.00065269i,0.0017082-0.00050526i,0.0018815-0.00023458i,0.0011294-0.00012009i,0.00068402-0.0002594i,0.00093052-0.00064679i,0.00083149-0.00049894i,0.00013458-0.00020382i,-0.00054366-0.00020255i,-0.0010352-0.00031778i,-0.0012533+0.00031896i,-0.00056359+0.00040813i
0.014985-0.0021881i,0.011952+0.00046258i,0.0039401+0.0024034i,-0.00085826+0.0021947i,-0.0018544+0.0023753i,-0.0010756+0.0044082i,0.0013142+0.0064187i,0.0038163+0.0062166i,0.0045467+0.0041166i,0.0031222+0.002537i,0.00078275+0.0012708i,-0.0012265-0.00051786i,-0.0015869-0.0013194i,-0.00066147-0.0020949i,-7.1348e-05-0.0023606i,-0.00088818-0.0020066i,-0.0012675-0.0015915i,-0.00036906-0.0008002i,-0.00018315+0.00021041i,0.00014926+0.00071384i,0.0010068+0.00026786i,0.00081168+0.00019163i,0.00036823+0.00014031i
0.0068636-0.012506i,0.0085349-0.01032i,0.0066902-0.0049059i,0.0025371-0.0015576i,0.00065311+0.00043832i,0.0014585+0.0024073i,0.0027397+0.0016706i,0.0025293+0.00042024i,0.00094013-0.00013827i,0.00026879-0.0010995i,8.5106e-06-0.0011807i,-0.00033288+0.00030354i,-0.00073342+0.00065411i,-0.0010278-0.00015058i,-0.0011369-0.00041803i,-0.0011866-0.0005841i,-0.0009379-0.00075591i,0.00011757-0.0010076i,0.00079087-0.00052065i,0.00072935-8.2955e-05i,0.00070143-2.5923e-05i,0.00046439-6.0059e-05i,-0.00018611-0.00016983i
-0.0098262-0.013668i,-0.0081576-0.014159i,-0.0039023-0.010564i,-0.002081-0.0052845i,-0.0020061-0.0016825i,-0.00061577-0.0009629i,0.0011403-0.0028457i,0.0013344-0.0054182i,-0.0002247-0.0068169i,-0.0015871-0.0058339i,-0.0010709-0.003299i,0.00028853-0.00051134i,0.0015628+0.0010948i,0.0013529+0.0012368i,0.00016914+0.00093794i,-0.000792+0.00052911i,-0.0010061+0.00010753i,5.8789e-05-0.00030528i,0.00071419+4.3897e-05i,0.00082976+0.00057846i,0.001149-0.00026558i,0.00074707-0.0012653i,0.00023296-0.00086924i
-0.013385+0.001463i,-0.014442+5.5955e-05i,-0.010594-0.002999i,-0.006049-0.0037023i,-0.00421-0.0012514i,-0.003579+0.00038098i,-0.0026965-0.00082239i,-0.0013827-0.0015625i,-0.00042938-0.00074237i,-0.00076936-0.0005i,-0.0017165-9.999e-05i,-0.0015289+0.00062885i,-0.00017556+0.00029464i,9.2139e-05-0.0010387i,-0.00011195-0.0010236i,0.00068622-0.00016562i,0.00057881-8.0267e-05i,-0.00028903+0.00029607i,-0.00077805-4.6171e-05i,-0.00068406-0.00044227i,-0.00063147-0.00026547i,-0.00067147-0.00025095i,-0.00040911+0.00011822i
0.00013339+0.016604i,-0.0027942+0.01524i,-0.0032935+0.0071398i,-0.00097717+0.00085297i,-0.00082339-0.00042616i,-0.0033978+0.00088957i,-0.0055849+0.002368i,-0.0057862+0.0039025i,-0.0051012+0.0043731i,-0.0038301+0.0028842i,-0.0021451+0.00099078i,-0.0015751-0.00085544i,-0.0013699-0.0020354i,-0.001169-0.0017291i,-0.00034516-0.0014753i,0.0001717-0.0013891i,-0.00021308-0.0013347i,-0.0006801-0.00043689i,-0.00050401+0.00047417i,-0.00025083+5.0318e-05i,-0.00021506+4.2804e-05i,-0.00044685+0.00036334i,-0.001037+6.7126e-05i
0.015967+0.005815i,0.01541+0.007084i,0.0088266+0.0061039i,0.0023106+0.0050378i,-0.0017075+0.0038694i,-0.0025474+0.0029328i,-0.0013897+0.0030999i,0.0001888+0.0015814i,0.0011019-0.0012622i,0.0010047-0.0021036i,0.00084275-0.001367i,0.00081252-0.0010735i,0.00022844-0.0022336i,0.00038082-0.0020456i,0.00098626-0.00036859i,0.00088435+0.00017584i,0.0005887-0.00050605i,0.000682-0.00028273i,0.00038515+0.0011591i,0.00027198+0.001639i,0.00039308+0.001108i,0.00049299+0.00060098i,0.00026794+3.2622e-05i
0.010813-0.012896i,0.012437-0.011626i,0.0098007-0.0053605i,0.0047243+0.00018708i,0.0011911+0.0023172i,0.0025489+0.0025272i,0.0058992+0.0023829i,0.0069606+0.0019638i,0.0063916+0.00030295i,0.0052479-0.0012071i,0.0026813-0.00058887i,-8.9146e-06-0.00016436i,-0.00086346-7.9079e-05i,-0.00071003+0.00013313i,-0.00013218-0.00041559i,-0.00048057-0.00084727i,-0.00096203-0.0012887i,-0.00028921-0.00055587i,0.0003701+0.00011442i,0.00063962-0.0003115i,0.00076425-0.0002115i,0.0017546+0.00046772i,0.0016512+0.00036975i
-0.0068283-0.016675i,-0.0049637-0.018038i,1.6938e-05-0.013988i,0.0028083-0.0069106i,0.001572-0.0024625i,0.0012901-0.00067072i,0.0012848-0.00096307i,-0.00043327-0.0017765i,-0.002174-0.0023824i,-0.0026828-0.0024983i,-0.0028544-0.0016241i,-0.0021828-0.00068434i,-0.00026377-0.00016469i,0.00052537-0.00025352i,-0.00037632-0.00063425i,-0.00070314-0.00032095i,0.00031979+2.8115e-05i,0.00040393+0.00014119i,0.00054894+0.00019795i,0.0005041-0.00013508i,-0.00012783+0.00020755i,-0.00043623+0.00080934i,-0.0003074+0.0010184i
-0.017471+0.00057538i,-0.018629-0.0018512i,-0.012979-0.004682i,-0.0074641-0.0046295i,-0.0049349-0.0026824i,-0.003661-0.0011438i,-0.0032319-0.0023215i,-0.0037105-0.0043935i,-0.0039077-0.0050224i,-0.0036814-0.0037995i,-0.0026404-0.0024094i,-0.00086962-0.0014305i,0.00045678-0.0017806i,0.00079986-0.0024794i,0.00035336-0.0019936i,0.00036196-0.00037867i,0.00069578+0.00026889i,0.00090809+0.00035718i,0.00082114+0.00028863i,0.00093564-0.00033156i,0.00041405-0.00042632i,-0.000207-0.00020811i,-0.00020781-0.00043077i
