1.9511e-05-0.00050753i,-0.00073098+0.00022996i,-0.0011137+0.00024327i,-0.00097489-9.6835e-05i,-3.9288e-05-0.00044229i,0.00075442-0.0005739i,0.00094137-0.00055699i,0.00078504-0.00066654i,-4.9654e-05-0.00046304i,-0.0006927-0.00039218i,-0.000847-0.00098538i,-0.00043153-0.00085914i,0.0004013-0.00038292i,0.00048132-0.00012586i,0.00049791-0.00049042i,0.00066359-0.00082454i,0.00036164-0.00091269i,0.00080111-0.00041194i,0.0013976+0.00036899i,0.00068472-8.1368e-06i,-0.00049972-0.00035846i,-0.00043077-0.00044297i,0.00066398-0.00065027i
0.00087699-0.0012802i,-0.0006583-0.00084734i,-0.0020899-0.0013312i,-0.0016501-0.00014549i,-0.00020893+0.0016844i,0.0015582+0.0017017i,0.0018099+0.00059283i,0.0011669-0.00060871i,0.00081504-0.0015461i,0.00073494-0.0016267i,0.0012679-0.0011164i,0.00089724-0.00060569i,0.00037332-0.0005869i,0.00057432+6.6781e-05i,0.0009001+0.0011917i,0.00072863+0.0010502i,0.00046099+0.0002072i,0.00057646+0.00012749i,0.0010319+0.00015335i,0.0011202-0.00046215i,0.00031641-0.00082982i,0.00018847-0.0006752i,0.00013967-0.00055627i
0.00068643+0.0012416i,0.0028568-0.00082007i,0.0030451-0.0038171i,0.0017521-0.0040254i,0.00065321-0.003536i,0.00034784-0.0025425i,-0.00024274-0.0014687i,-0.00093222-0.00027142i,-0.00091345+0.00041725i,-4.0627e-06+0.00013539i,0.00056171+0.00031379i,0.00080055+0.00069628i,0.00073537+0.00062431i,-0.00013208+4.5062e-05i,-0.00053128+0.00031325i,-0.00051615+0.00074048i,0.00040114+0.00019576i,0.0010262-0.00014815i,0.00051645-0.00032192i,-6.0736e-05-0.00035306i,0.00048244+0.00026398i,0.001175+0.00016669i,0.00050754-0.00033871i
-0.00056188+0.00061038i,-7.1683e-05+5.6442e-05i,-0.00025086-0.00045668i,-0.00032097-0.0011047i,0.00050873-0.0014989i,-7.8298e-05-0.0020262i,-0.00078982-0.0019565i,-0.00023912-0.00063334i,0.0001916+0.00039i,-0.0002279+0.00018434i,-0.00017892-2.6655e-05i,0.0001441+0.00015914i,0.00024393+0.00034788i,-0.00047501+0.00050017i,-0.0010239-8.7947e-05i,-0.00025579-0.00058703i,9.8698e-05-0.00018741i,-0.00024272+0.00062333i,-7.0518e-05+0.0013697i,-3.0708e-05+0.0013838i,-1.3875e-05+0.0006986i,-0.00024739+0.00043014i,-0.00079219+0.00023432i
0.0023708-0.0024895i,0.0024273-0.0016026i,0.0021162-0.0013383i,0.00086095-0.0013494i,-0.00052784-0.00070892i,-0.001063+0.00026765i,-0.00083684+0.00014873i,0.00017351-5.5255e-05i,0.00099084+0.00025044i,0.0009183+0.00047835i,0.00021594+0.00020841i,-0.00040903+0.00057102i,-0.00035811+0.00072124i,-0.00010415+0.00034643i,0.0002068+0.00044525i,-0.00022975+0.00030366i,-0.0011812-0.00077677i,-0.00057034-0.001211i,0.00057392-0.00047774i,0.0011508-5.1736e-05i,0.00098978+0.00081276i,-0.00010369+0.00040391i,-0.00012456-0.00047828i
0.0017335-0.0016736i,-0.00062034-0.0018831i,-0.0016939-0.0016275i,-0.0019035-0.0011759i,-0.0022747-0.0011276i,-0.001114-0.00027487i,0.00012579-0.00021204i,0.00036049-0.00083278i,0.00080107-0.00047215i,0.0011083-0.00014593i,0.00039591+0.00010221i,0.00017882+0.00053379i,0.00024563+0.0018041i,-7.9385e-05+0.0019745i,-0.0006232+0.00072106i,-0.00095167+0.00044837i,-0.0013775+0.00012194i,-0.00096577-0.00030366i,4.1836e-05-0.0005193i,0.00066585-0.00041032i,0.00064988+0.0004979i,0.00055383+0.0003897i,0.00057181-0.00016721i
0.00060239+0.0017928i,0.0019356+0.0011163i,0.0016582-0.00099605i,0.0012397-0.0017292i,0.0012308-0.00099656i,0.0016303-0.00044726i,0.0013815+2.9451e-05i,-0.00037589-0.00021085i,-0.00099956-0.00064094i,-8.5695e-05-0.00063431i,-0.00014748+4.9043e-05i,-0.0011294+0.00013673i,-0.0011925+0.00011732i,-0.00051905-0.00033231i,0.00025449-0.00025076i,0.00026459+0.00088999i,-0.00030825+0.0008133i,-0.00011645+0.00049616i,0.00071965+0.00061126i,0.00072459+0.00033753i,6.6045e-05-0.00018081i,-0.00042402-0.00028743i,-0.00042883-0.00043632i
-0.002003-0.0012561i,-0.0022521-0.0022917i,-0.0025293-0.0016102i,-0.0021154-0.00050567i,-0.00063958-0.00011384i,0.00083964-0.00059029i,0.0010268-0.0014153i,0.00037148-0.0012346i,0.00010601-0.00024633i,0.00074468-5.7658e-06i,0.00056054-0.00035177i,0.00016241-0.00011672i,-6.4286e-06+0.00036025i,-0.00055775+0.0001974i,-0.00024963-2.2785e-05i,0.00017189-0.00015832i,-0.00020705-0.00077716i,-3.5049e-05-0.0011222i,0.00014644-0.00064651i,0.00044723+5.7945e-05i,0.00029931+0.00036132i,-8.293e-05-0.00042085i,0.00029151-0.00065925i
-0.00049988-0.0011555i,-0.00020435-0.0023685i,-0.0010674-0.0018521i,-0.0010054-0.00058533i,-0.00091631+0.00012036i,-0.0006485+0.00075194i,9.8119e-06+0.00054567i,0.00052428-0.00011861i,0.00057091+0.00011848i,-1.4142e-05+0.00060914i,-0.00011964+0.00040717i,6.4049e-06-3.9066e-05i,0.00031352-6.4247e-05i,4.0446e-05+0.00037793i,-0.00017745+0.00067801i,-0.00013517-2.0829e-06i,0.00014994-0.00064602i,0.00045928-0.00039631i,0.00018935-0.00016559i,-0.00018164-0.00048788i,-8.3122e-05-0.00069353i,-0.00012768-0.00038883i,-7.6843e-05-0.00017614i
0.0016844+0.0001405i,0.0020447-0.0003144i,0.0012895-0.00067716i,0.00075403-0.0017253i,0.00035795-0.0008466i,0.00047414+0.00018175i,0.00081374-0.00012906i,0.00078475-0.0010878i,0.00062193-0.00051058i,0.00014859+0.00083453i,0.00043064+0.00088857i,0.00062776+0.00018703i,0.00056415-0.00070137i,0.00043075-0.00079765i,-0.00022868-9.8546e-06i,-0.00055859+0.0004356i,-0.00045852+0.00057562i,-0.00031827+0.0005853i,0.00010381+0.0007116i,0.00051975+0.00021051i,0.0009073-0.00094974i,0.00066176-0.00098151i,-0.00015364-0.00081233i
