-0.0021904+6.7555e-06i,-0.0020668+4.3503e-05i,-0.0031552+0.00022474i,-0.0039086+0.0003436i,-0.0036169+0.00098636i,-0.0020775+0.0013872i,-0.00079604+0.001359i,0.00045032+0.00091405i,0.00088647+0.00037384i,0.00085992+1.2033e-05i,0.00043451-0.00073715i,-0.0002511-0.00044499i,5.8988e-05-0.0001815i,9.6871e-05-0.00033079i,0.00035136+0.00067664i,0.00030682+0.00040922i,0.00011739-0.00022958i,0.00016018-2.2472e-05i,-0.00013392+0.00015375i,-0.00073458+0.00043437i,-0.00025062+0.00031541i,0.0002691-4.2577e-05i,-0.00011565-0.00041629i
-0.0085762+0.017923i,-0.0044098+0.010588i,-0.00085024+0.0049136i,0.0015952+0.0015764i,0.0023706-0.0004519i,0.0017274-0.0002624i,0.00099422+0.00054835i,0.00015044+0.00011685i,-0.00046414-0.00021149i,9.2972e-05-0.00012779i,0.00017715-0.0008215i,-6.6237e-05-0.0012577i,0.00013448-0.00081066i,0.00040802-0.00058022i,0.00013518-0.00047718i,0.00035602-2.1902e-05i,0.00093463+4.101e-05i,0.00075291+0.00022972i,-4.0718e-05+0.0010036i,-0.00071136+0.00055052i,-0.00065912+0.00019755i,-0.00011526+0.00028808i,0.00013613+0.00039595i
0.015206+0.016088i,0.0091866+0.0085436i,0.0029168+0.003758i,0.00070606-0.0002397i,0.0011931-0.0031465i,0.001344-0.002181i,0.00088259-0.00012092i,0.00035001+0.00041143i,3.9007e-05-7.9033e-05i,0.00050537-0.00040342i,0.00064551-0.00055045i,0.00097624-0.00050884i,0.00082807-0.00011697i,-0.00017255+0.00016552i,-0.0005114+0.00078593i,0.00031139+0.00031759i,0.00090513-0.00052726i,0.00061314-0.00044604i,-0.00031316+0.00015548i,-0.0005005+0.00042048i,-0.00068109+0.00057468i,-0.00090957+0.0008546i,-0.00050911+0.00088958i
0.015968-0.0087647i,0.0075898-0.005634i,0.0013276-0.0030701i,-0.0012171-0.0018248i,-0.0013595-0.0014322i,-0.00013437-0.0014732i,0.0013323-0.00088731i,0.0016987-1.6361e-05i,0.0008545-0.00045416i,0.00051978-0.0010607i,0.00019866-0.00044687i,-0.00012921-0.00075541i,8.9425e-05-0.0014228i,-0.00067955-0.00079173i,-0.00097472+0.00046494i,-0.00045596+9.2557e-05i,-0.00055908-0.001204i,-0.0010633-0.0011798i,-0.00029821-0.00078614i,0.00057579+6.5429e-05i,0.00048985+0.00060106i,0.00015421-7.9921e-05i,-7.6222e-05+0.00036633i
-0.006699-0.018544i,-0.0034106-0.010191i,-0.00012812-0.002481i,-0.001092+0.001044i,-0.0015165+0.0019319i,-0.00041415+0.00046674i,-8.8624e-05-0.00099667i,-0.00047841-0.0017178i,-0.00074491-0.0018178i,-0.00095552-0.0010453i,-0.00057545-0.00092621i,3.2503e-05-0.00085765i,0.0005682-0.00051993i,0.00070936-0.00025539i,0.00012253+1.7954e-05i,-0.00038123+0.00019893i,-0.00069285+0.00013487i,-0.00063966+8.4695e-05i,-0.00062554+1.3951e-05i,-0.00049695-0.00037818i,-0.00032723-6.4296e-05i,-0.00026756+0.00059009i,0.00019651+0.0005431i
-0.021274+0.0010883i,-0.012967-2.9788e-05i,-0.0051439-0.00080268i,-0.0011905+0.0005882i,0.00046214+0.0012129i,0.00074265+0.00057904i,0.00011932+4.3517e-05i,-0.00047009-0.00043703i,-0.00089668-0.00059676i,-0.00053159-6.1748e-05i,-0.00014495+7.9228e-05i,0.00025342-0.00010742i,0.00098507-7.6379e-05i,0.0012317-7.3667e-05i,0.00058464+3.0563e-05i,-0.00011639-0.0001143i,-0.00030753-0.00032969i,0.00032447-2.2239e-05i,0.00027546-4.3349e-05i,-0.0008746-0.00029517i,-0.0011232+0.00026893i,-0.0005999+0.00077081i,-0.00030802+0.00066224i
-0.0035092+0.020566i,-0.0012499+0.012159i,-0.00090149+0.0043942i,0.00036547-0.00030651i,0.001768-0.0016657i,0.00096705-0.00035071i,-1.5198e-05+0.00087824i,-0.00065567+0.00085586i,-0.00042402+0.00072545i,-0.00025399+2.7328e-05i,-0.0003546-2.6123e-05i,1.7604e-05-0.00021345i,0.00050393-0.00070661i,0.00038774-0.00091642i,-0.00020866-0.00099576i,-8.702e-06-0.00065111i,0.00064086-0.00055431i,0.00019529+1.1895e-05i,-0.00023031+0.00065627i,0.00023614+0.00033406i,-0.00031052-1.7851e-05i,-0.00078293-0.00015311i,-0.0003151-8.2576e-06i
0.018747+0.0071792i,0.010212+0.0022184i,0.0028087-0.00083289i,1.9289e-05-0.0032999i,-0.00080166-0.0035636i,-0.00089201-0.0015569i,-0.00060516-0.00038987i,0.00038564-0.00014009i,0.0010647-0.00034468i,0.001231-0.000391i,0.00088255-0.00030736i,0.00042423-0.00019327i,-0.00013151-3.8456e-05i,-0.0007546-0.00040183i,-0.00083378-0.00068325i,-0.00058067-7.0442e-05i,-0.00084112+0.00032049i,-0.0010662-0.00038215i,-0.00038087-0.00024468i,-0.00020959+0.00067629i,-0.00057198+0.0013367i,-0.00096412+0.0020037i,-0.00045421+0.0021284i
0.011295-0.016615i,0.0051274-0.010391i,-0.00025223-0.004281i,-0.0018499-0.0019843i,-0.0021642-0.00045165i,-0.0014255-8.9611e-05i,-3.7329e-05-0.00098356i,0.00076237-0.0013355i,0.0010858-0.0017693i,0.0010803-0.0019262i,0.00097134-0.00086912i,0.00078439+0.00019582i,0.00016001+0.00031314i,-8.4061e-05-2.7496e-05i,-0.00027016+0.00022975i,-0.00054823+0.00081207i,-0.00073429+0.00029407i,-0.00023194-9.6272e-05i,0.00016381+0.00045242i,-0.00048398+0.00067516i,-0.00066592-0.00029589i,-2.5523e-05-0.00092464i,0.00075697-0.00047704i
-0.014372-0.014974i,-0.0083506-0.0072391i,-0.002325-0.0019605i,-0.001157+0.00010831i,-0.0015073+0.0010717i,-0.0017287-0.0001143i,-0.0018514-0.00069815i,-0.0012518-0.0012627i,-5.9018e-05-0.0022395i,5.9864e-06-0.0026306i,-0.00058112-0.0025465i,0.00036881-0.0015022i,0.0016936-0.00038247i,0.0011421-9.0613e-05i,0.00067062+7.5659e-06i,-2.5736e-05-0.00037897i,-0.00058599-0.0010925i,-0.00029132-0.00050085i,-7.2297e-06+0.00026338i,-0.00052952+0.0002913i,-0.00071863+0.00027263i,-0.00018541+7.8033e-05i,0.0003225+0.00075786i
-0.018453+0.0094035i,-0.011121+0.0050686i,-0.0049513+0.00018959i,-0.001741-0.0010134i,0.00023449-0.00046452i,1.3606e-05+0.000704i,-0.00078603+0.00082068i,-0.0013784+0.00069511i,-0.0012367+0.0012615i,-0.0015276+0.0016109i,-0.0015821+0.0010844i,-0.00068333-5.8174e-05i,0.00052629-0.00080611i,0.0011344-0.0007236i,0.00055776-0.00020668i,0.00010977+0.00031607i,-0.00024236-7.6501e-05i,-4.414e-05-0.00043909i,0.00021483-0.00051231i,0.00014136-0.0008532i,-1.7031e-05-0.00062795i,0.00020413-0.00078203i,0.00059606-0.00071434i
0.0044012+0.02253i,0.0036369+0.011904i,0.001307+0.0028775i,0.00079833-0.00016317i,0.00098201-0.00094463i,0.00045933+0.0002061i,-0.00015076+0.0011757i,-0.00015895+0.001116i,0.00017509+0.0013966i,0.00057542+0.001601i,-1.9432e-05+0.00058767i,2.038e-05-0.0012517i,0.00096645-0.0017028i,0.0011187-0.00035399i,-0.00017264+0.00054357i,-0.00078767-0.00011083i,2.0485e-05-0.00085377i,0.00032317-0.00039903i,-8.0763e-05+0.00049251i,-0.00023663+0.00027282i,-0.00023688+6.4035e-05i,-0.00012679+0.00069981i,0.00021216+0.0010466i
0.023061-0.0023142i,0.014287-0.0036403i,0.0055683-0.0037157i,0.0013551-0.0036932i,-0.0012608-0.0028805i,-0.0015574-0.0018826i,-1.4058e-05-0.00062125i,0.0013171-8.1631e-05i,0.0013574-0.00058237i,0.00078155-0.0013146i,-9.3e-05-0.0006375i,-0.00095028-0.00016304i,-0.00028077+0.00015875i,2.3524e-05+0.00069147i,-9.83e-05+0.00045178i,-0.00022499+0.00025914i,-1.0493e-05+0.00023774i,0.00037609+0.00098702i,-0.00058258+0.00097854i,-0.00060141+0.00037098i,0.00083738-0.00015195i,0.0013172-0.00026477i,0.001025-9.4024e-05i
0.0044392-0.02163i,0.0018891-0.013855i,0.00072255-0.0054041i,-0.00044419-0.0030177i,-0.0013174-0.002373i,-0.0010419-0.0023881i,-3.1531e-05-0.0023047i,0.00034083-0.002424i,0.00014549-0.0021618i,-0.00012307-0.001353i,-0.00016322-0.0012415i,0.00029912-0.00015154i,0.0005881+0.0010968i,0.0007999+0.0010163i,0.00062069+0.00034756i,-0.00041701-0.00021207i,-0.00086088-0.00049439i,-0.00095521-0.00044515i,-0.0014172-0.00028701i,-0.00085723-0.00029527i,-0.00034853-2.1328e-05i,0.00023205+0.00035234i,0.00051303+0.0002599i
-0.01759-0.0074911i,-0.0099667-0.0042041i,-0.0021591-0.00087759i,-0.00025655+0.00016285i,2.6873e-05+4.8179e-06i,0.00014348-0.00018752i,-0.00095896-0.00097792i,-0.00072431-0.0021532i,0.00076721-0.002325i,0.00036787-0.0016083i,6.8177e-05-0.0012411i,0.0008396-0.00065387i,0.0013507+0.00040868i,0.00098827+0.00067276i,0.00013118+0.00050001i,-0.00049337+0.00030388i,-0.000508-0.00011844i,-0.00033531-0.00050038i,-0.0003555-1.8148e-05i,-0.00057968+0.00068078i,-0.00065337+0.00029042i,0.00018561-0.00012742i,0.00059646+0.00031197i
-0.016113+0.018614i,-0.0086297+0.011509i,-0.0027871+0.0050617i,0.00039971+0.003175i,0.0014962+0.0022382i,0.0011064+0.0011143i,-0.00049135+0.00040042i,-0.0011121+0.00070457i,-0.000862+0.00078914i,-0.0012329+5.9242e-05i,-0.0010124-0.00056856i,-0.00047414-0.00084932i,-0.00036985-0.0011003i,0.0002641-0.00095605i,-0.00027374-0.0011691i,-0.00092449-0.0010913i,-0.00040814-3.5468e-05i,-0.00021129+0.00053999i,0.00027232+0.00017554i,-0.00041736-1.3113e-05i,-0.0014992+0.00030829i,-0.00090787+0.00034734i,-7.864e-05+0.0001033i
0.014571+0.016765i,0.010426+0.0090745i,0.0039205+0.0013144i,0.001633-0.0018115i,0.00027962-0.0026434i,-0.00064858-0.0020713i,0.00014437-6.6031e-06i,-6.7827e-05+0.001368i,-0.00040305+0.0013851i,-0.0002269+0.0010173i,8.2044e-06+0.00065845i,-0.00049546-0.00017831i,-0.00086935-0.0004141i,-0.00035934-9.472e-06i,9.8107e-05+0.00025085i,0.00010453+0.00045676i,-0.000446+4.1828e-06i,-0.00080275-0.00018116i,-0.0003622+0.00016462i,-4.6147e-05+0.00058894i,-8.6102e-05+0.0011829i,0.00035625+0.00073332i,0.00042016+0.00025117i
0.023137-0.0098506i,0.016245-0.0074042i,0.0078293-0.0024703i,0.0027029-0.0022222i,0.00030425-0.0027239i,-0.00049833-0.0010747i,0.00067751+0.00021267i,0.0021863+0.00018246i,0.0022686-0.00049802i,0.0018735-0.00079387i,0.00086551-0.00061288i,0.00020241-0.00014687i,0.00020689-0.00036465i,0.00034962-0.00080222i,0.00044754+0.0003855i,0.00034607+0.00073581i,0.00059937+8.2726e-05i,0.00065697+0.00074606i,-7.9092e-05+0.0010456i,-0.00043757+0.00027857i,-0.00027176-5.9954e-05i,-0.000425-0.00044301i,-0.00012487-0.00074465i
-0.0047031-0.02443i,-0.0041857-0.018329i,-0.0015313-0.0090885i,-0.0015611-0.0036884i,-0.0016912-0.00081785i,-0.0011181-0.00019893i,-0.00054196-0.00087211i,0.00059025-0.0016642i,0.0015132-0.0020925i,0.0012248-0.001993i,0.00094852-0.0019746i,0.00029659-0.00082681i,0.00014082-0.0005598i,0.00056335-0.0013281i,0.00055923-0.0010516i,0.0010159-0.00039234i,0.00092683-0.00078759i,0.00052896-0.0010026i,0.00014701-2.1307e-05i,-0.00058665+0.00029054i,-0.00039433-0.00022559i,0.00019736-0.00011185i,0.00045417-0.00014437i
-0.02527-0.0031322i,-0.017838-0.0012427i,-0.01001-0.00039504i,-0.0064069+0.001135i,-0.0036996+0.0020261i,-0.0014672+0.00092466i,-0.00029656-0.00067566i,-0.00039431-0.0011436i,6.7537e-06-0.0017617i,-4.3003e-05-0.0019153i,-0.001179-0.0012604i,-0.00043675-0.00087745i,0.00039892-0.0010186i,-0.00031518-0.00093394i,-0.00084431-0.00022921i,-0.0008644-0.00033096i,-0.00057788-0.00081845i,-0.00022205-0.0010271i,-0.00017714-0.0013265i,-3.3014e-05-0.0019163i,3.2734e-05-0.0015401i,-3.3325e-05-0.00056591i,-0.00014828-0.00035466i
-0.0068608+0.023785i,-0.0043823+0.017018i,-0.00212+0.0079007i,0.00054507+0.0030818i,0.0013762+0.00094137i,0.0001476+0.00033343i,-0.001197+0.0011137i,-0.0018109+0.0010134i,-0.0011598+0.0004387i,-0.00069616+0.00015032i,-0.0010828+9.4791e-05i,-0.00091448+8.7327e-05i,-0.00078684-0.00010307i,-0.00073728-0.00024097i,-0.00031354-0.0010785i,-0.00055972-0.00072874i,-0.0012321-6.7821e-05i,-0.0014401-0.00021075i,-0.0015492-0.00021553i,-0.0014904+7.1159e-05i,-0.00040364+0.00061265i,0.00017142+0.00069008i,-0.0005765+0.00062764i
0.023576+0.013257i,0.017306+0.0078731i,0.0076175+0.0026998i,0.003387-0.001741i,0.0015348-0.0038855i,0.0007022-0.0022804i,0.0009235+0.00044921i,0.00087179+0.0016766i,0.00012344+0.0010324i,-0.00014567+0.00063816i,-8.5546e-05+0.00030384i,-0.00029318-0.00016808i,-0.00068239-0.00012273i,-0.0012915+0.00053143i,-0.00099063+0.00090759i,-0.00017772+0.00048761i,-4.6721e-05+0.00045388i,-0.000514+0.00019937i,-0.00026438-8.2651e-05i,0.00015175+0.00034743i,-3.3456e-05+0.00056756i,-0.00032106+0.00038935i,0.00067899+0.0001484i
0.017004-0.019353i,0.011664-0.015532i,0.0047298-0.0078582i,0.00037533-0.0050439i,-0.0015696-0.003143i,-0.0014632-0.001115i,0.00019421+0.00018541i,0.0013343+0.0006875i,0.0013526-8.6952e-05i,0.00093555-0.00061004i,0.00015031+0.00022364i,-0.00030817+0.0013298i,-5.2199e-05+0.0017453i,-0.00025757+0.0016033i,-0.00052434+0.0010425i,3.8827e-05+0.00055859i,0.00081299+0.00047966i,0.001012+0.00053129i,0.00062279+0.00071996i,0.00063189+0.00057405i,0.00094046-0.0002106i,0.0013544-0.00043364i,0.00079996-5.7533e-05i
-0.01479-0.019288i,-0.010643-0.013733i,-0.0033347-0.0058921i,-0.0011803-0.0017549i,-0.00065601-0.0006458i,0.00063048-0.00066938i,0.00075312-0.001075i,0.00026863-0.0014597i,0.00073627-0.0013075i,0.0011769-0.0010655i,0.00098536-0.00091911i,0.00052819-0.00019427i,0.00049269+9.6536e-05i,0.00064695-0.00030287i,0.00014377-0.00072268i,4.5027e-05-0.00081634i,0.00038729-0.0011672i,0.00097549-0.00062671i,0.00087619+0.00062092i,0.00094516+0.00076771i,0.0010872+0.00022736i,0.00045439-0.00028349i,-7.8308e-05-0.00017436i
-0.022509+0.012387i,-0.01776+0.0079097i,-0.0097112+0.00074528i,-0.0051637-0.00084358i,-0.002264-0.00041398i,-0.00019766-0.00075024i,-0.00025759-0.00075325i,-0.00066867-0.00077057i,-0.00023492-0.0010952i,-0.00065259-0.0014918i,-0.0012852-0.00073994i,-0.00062848-0.0010464i,8.0162e-05-0.0017221i,-0.00024666-0.0010545i,6.5314e-05-0.0004732i,5.4191e-05-0.00044495i,-0.0001428-0.0017048i,0.00057396-0.0018955i,0.00058732-0.00059901i,-0.00034861+5.5285e-05i,-0.0011327-5.1383e-05i,-0.00154-0.00021529i,-0.001213-0.00037483i
0.004963+0.025268i,0.0038534+0.018075i,0.00083673+0.0077565i,0.00081799+0.0024357i,0.0018143-0.00030287i,0.0014757-0.0012394i,5.7666e-05-0.00071582i,-0.0016222-0.00015918i,-0.001611-0.00025358i,-0.00077094+0.000146i,-0.00027677+0.00043187i,3.8501e-05+0.0002846i,-0.00034671+0.00029555i,-0.0010091-0.00042422i,-0.0010209-0.0006623i,-0.0010819+2.0845e-05i,-0.0014397+0.0003748i,-0.00097984-0.00031663i,-0.00095422-0.00057903i,-0.0012626-0.00012552i,-0.00083938+0.00065144i,-0.00023491+0.00053271i,-0.00012588+0.0001909i
0.027583-0.001161i,0.021136-0.0010497i,0.009233+0.00011412i,0.0025937-0.001311i,0.00029931-0.0029725i,-0.00059428-0.0023508i,-0.0007692-0.00057345i,-0.00014175-0.00035395i,0.00059736-0.00067567i,0.00074137+7.5237e-05i,0.00081811+0.00040443i,0.00049025+0.00025594i,-0.00022971+0.00040052i,-0.0011384+0.00087861i,-0.00029012+0.00075771i,0.00099783+0.0010469i,0.00057186+0.0016021i,-0.00096739+0.0016406i,-0.0017832+0.0017329i,-0.00088234+0.0011918i,0.00045703+0.0015468i,0.00075826+0.0020733i,0.0011225+0.001012i
0.004979-0.025816i,0.0034946-0.021306i,0.0012321-0.010519i,-0.0016903-0.003741i,-0.0036594-0.0011506i,-0.0032852-0.00060761i,-0.0021769-0.00057454i,0.00032276-0.00036691i,0.0020216+0.00037857i,0.001574+0.00084946i,0.00064419+0.00041932i,0.00011148-0.00010968i,-2.7321e-05+0.00014098i,5.2803e-05+0.00063723i,0.00057081+6.5447e-05i,0.0014147-0.0002575i,0.0013925-0.00014835i,0.00023058+0.00094314i,-0.00047125+0.0015492i,0.00047839+0.0014977i,0.00082561+0.00092933i,0.00053765+2.0284e-05i,0.00039654-0.00021771i
-0.027116-0.0072687i,-0.021605-0.005923i,-0.0085942-0.0032943i,-0.00049836-0.0014758i,0.0022532+3.8566e-05i,0.0020072+0.00090211i,-6.5142e-05-0.00040081i,-0.00032978-0.0011082i,0.00084304-0.0016582i,0.0013166-0.0022582i,0.0014415-0.0015348i,0.0013502-0.00085719i,0.0010235+6.283e-06i,0.00075189+0.00058979i,0.00053614-0.00018591i,0.00074603-0.00067211i,0.00085979-0.00035893i,0.0012564-0.00031634i,0.0016325-0.00057095i,0.00084521-9.2444e-06i,0.00011032+0.0010121i,-0.00016696+0.00093428i,-0.00040205-0.00039695i
-0.017008+0.025233i,-0.013992+0.021234i,-0.0073783+0.0096555i,-0.0024778+0.0027646i,0.00068388+0.00091538i,0.0013622-0.00037632i,0.00047286-0.0010472i,1.718e-05-0.00082639i,-0.00045055-0.00077305i,-0.00040488-0.00099512i,-4.0596e-05-0.00059928i,0.00010279-0.00023153i,0.00053063+6.7531e-05i,0.00031838+0.00016083i,-0.00017699-0.00034747i,-0.00035032-0.00080463i,-0.00014471-0.0010959i,0.00044887-0.00081811i,0.0011406+0.00024746i,0.00013302+0.00079523i,-0.00075962+0.00090758i,-0.00063524+0.00099248i,-0.00066061+0.00087874i
0.020139+0.021677i,0.016934+0.01677i,0.0081064+0.0077113i,0.003457+0.00227i,0.0024804-0.00066981i,0.0014377-0.0018354i,3.7816e-05-0.00076092i,-0.00013178-0.0010107i,-0.00039605-0.0015588i,-0.00028979-0.0011395i,5.0128e-05-0.00013607i,-0.00080375+5.1799e-05i,-0.0014654-0.00049972i,-0.00076089-3.2768e-05i,-0.00022188+0.00074294i,-0.00045389+0.00063314i,-0.00084483+0.00037238i,-0.001024-0.00043306i,-0.0018373-0.0010525i,-0.0024776-0.00031835i,-0.0017105+0.00099038i,-0.0010427+0.0013655i,-0.0010056+0.00098401i
0.025019-0.019135i,0.017855-0.016515i,0.0057638-0.0095824i,-0.0012241-0.0064992i,-0.0030754-0.0037313i,-0.0023097-0.00040122i,-0.00037544-0.00036053i,0.0014928-0.0012974i,0.0012813-0.0011423i,2.2897e-05-0.00013305i,-0.00040598+0.00096811i,-0.00011028+0.0011711i,-9.7592e-05+0.00085643i,-0.00010876+0.00061307i,0.00019174+0.0012197i,0.00055768+0.0011995i,0.00032046+0.00063186i,-0.0011484-2.6159e-05i,-0.0018478+0.0004602i,-0.00053825+0.0016549i,0.00073642+0.0019874i,0.0010404+0.0014606i,0.00030736+0.00089013i
-0.013919-0.031233i,-0.013584-0.024811i,-0.0084429-0.010396i,-0.0059838-0.0024641i,-0.0054524+0.00017177i,-0.0029668+0.0016947i,-0.00058741+0.0015221i,0.00043821+0.00084986i,0.00093509+9.1683e-05i,0.0006486-0.00021747i,-0.00011196+0.00037177i,0.00016037+0.00067296i,0.0010544+0.00039221i,0.00056768-3.1369e-05i,-0.00021533-0.0005708i,1.0581e-05-0.00091407i,0.0013993-0.00061969i,0.0018392+2.1568e-05i,0.0012465+0.00079524i,0.00084716+0.00066547i,0.00027813-0.00043426i,-0.00015725-0.0011815i,-0.00024613-0.00058527i
-0.03547+0.0048654i,-0.030365+0.0067248i,-0.015649+0.0031739i,-0.006228+0.0019442i,-0.0021099+0.0034697i,0.0010606+0.0032034i,0.0015345+0.0019434i,0.00034879+0.00089856i,-0.00039223-0.00051467i,-0.00039755-0.0012536i,-0.00024822-0.0011446i,-7.5193e-06-0.00049525i,0.00064434+0.00038493i,0.0012044+0.00040143i,0.0013656+7.4359e-05i,0.0020196-0.00035975i,0.0012119-0.00050306i,0.0005641-0.00043448i,0.00096923-0.00029632i,0.00036544+0.00031033i,-2.1547e-05-6.9625e-05i,0.00045578-3.9424e-05i,0.0012643+0.00026643i
0.00043052+0.03154i,0.0009825+0.026561i,0.00082442+0.01303i,0.0014898+0.0045539i,0.0028844+0.0013967i,0.0023344-0.00029831i,0.0016299+0.00015501i,0.0019328-2.7832e-05i,0.0010169-0.00098752i,-0.00022133-0.0011247i,-8.5269e-05-0.0009259i,-0.00022397-8.7266e-05i,-0.00054221+0.0011449i,-0.00031453+0.0010564i,-0.00065361+0.00020652i,-0.00083312-0.00040602i,-0.00076055-0.00046833i,-0.00058351-0.00028914i,-0.0006781-0.0015263i,-0.00031792-0.0024212i,5.1644e-07-0.00094518i,-0.00026493+0.00062975i,-3.6588e-05+0.0006847i
0.034839+0.0082131i,0.031233+0.0038875i,0.017456-0.0010071i,0.0081442-0.0036479i,0.0040228-0.0057057i,0.00063364-0.0056666i,-0.00066174-0.003572i,0.00026977-0.0020357i,0.00031475-0.0013877i,-0.00054658-0.00082527i,-0.00034525-0.00078547i,-0.00015491-0.00090362i,-0.00051372-0.00044323i,-0.00013341-0.00052177i,0.00025099-0.0001831i,-0.00021599+0.00085943i,-0.00088391+0.00069788i,-0.0011616-0.00013849i,-0.0012508+0.00034452i,-0.00074583+0.0012664i,-0.00010879+0.0010131i,0.00067565+0.00033991i,0.00064534-0.00014243i
0.014661-0.030682i,0.010475-0.027491i,0.0035915-0.016171i,-0.00035288-0.0094008i,-0.0026188-0.0061287i,-0.004076-0.0028556i,-0.0034882-0.00066383i,-0.0015779-0.00033659i,-0.00049091-0.00080666i,0.00044837-0.0011427i,0.00039937-0.0005514i,0.00044031-0.00041011i,0.00084605-0.00067156i,-5.4076e-05-0.00051122i,-0.00051658-0.00017657i,0.00017555+0.0003448i,3.5862e-05+0.00077833i,-0.0011319+0.0015758i,-0.00085786+0.0022627i,-4.7255e-05+0.0020647i,0.00048372+0.00074807i,0.00096739-0.00078015i,0.0013399-0.00098371i
-0.029375-0.020464i,-0.026021-0.017644i,-0.014696-0.0097282i,-0.0081908-0.0035371i,-0.0060133+0.0010771i,-0.0041322+0.0029585i,-0.0015988+0.0017178i,0.00013265+0.00023283i,-0.00030893-0.00053124i,-0.00088445-0.00064832i,-0.00049933-6.0798e-05i,-9.8767e-05+0.00044898i,0.00014798-0.00023184i,0.00063775-0.0007312i,0.00092734+0.00016044i,0.00075561+0.00068347i,0.00095073+0.00061332i,0.00086667+0.00027069i,0.00059652+0.00031855i,9.6289e-05+0.00076639i,-0.00073592+0.00018262i,-0.00048857-0.000934i,-0.00057249-0.00061195i
-0.024966+0.022608i,-0.022151+0.02058i,-0.011396+0.0090071i,-0.0043202+0.0026476i,-0.001117+0.0024388i,0.00067974+0.0020154i,0.0010911+0.0008097i,0.00084182+0.00024498i,0.00016658+0.00062456i,-0.00026026-0.00012657i,-0.00032745-0.0013531i,-0.00084477-0.00086811i,-0.0007263+0.00011627i,0.00038033-4.7453e-05i,0.00037353-0.00059981i,0.00025556-0.00081024i,0.00017916-0.0012913i,6.8453e-05-0.0007476i,-0.00025206-8.2614e-05i,-0.00033888-0.00045203i,-0.00025617-0.00026076i,-0.00066814+0.00036498i,-0.00031738+0.0003883i
0.018899+0.031224i,0.017166+0.028061i,0.0083713+0.015916i,0.0046581+0.0068979i,0.005709+0.0021675i,0.0050068+0.0002036i,0.0029246+0.00033051i,0.0021539+9.3042e-05i,0.0012289-0.0005175i,-7.5174e-05-0.00080545i,-0.00038169-8.0172e-05i,-6.987e-05+0.00022815i,0.00030309-0.0003439i,0.00026789-0.00012998i,-0.00061337-0.00010452i,-0.0014135-0.00047636i,-0.0010572-0.00068066i,-0.00025835-0.0013842i,-0.000262-0.0012151i,-0.00078513-0.00033144i,-0.001027+0.0002378i,-0.00075975+0.0011473i,-0.00080062+0.00065537i
0.031573-0.013297i,0.029962-0.013507i,0.016325-0.008163i,0.00711-0.0049571i,0.0035421-0.0043698i,0.0011176-0.0039958i,-0.00054662-0.0030084i,-0.00025937-0.0016346i,0.00011171-0.00075877i,-0.0003162-0.00088698i,0.00016843-0.00077402i,0.00045161-0.00062615i,-0.00029336-0.00023898i,-0.0005961-7.0293e-06i,-0.0007404-0.00043913i,-0.0012035-0.00011546i,-0.00029351+0.0002379i,9.0118e-05+0.00042211i,-0.0011276+0.00078936i,-0.0016059+0.0003042i,-0.0013182-0.00050795i,-0.00078638-0.00038894i,-0.00021999-0.00042538i
-0.0046942-0.037239i,-0.00628-0.03574i,-0.0033061-0.021849i,-0.0023936-0.011659i,-0.0044048-0.0065882i,-0.0045118-0.0030738i,-0.0024583-0.0013877i,-0.0010906-0.00038119i,-0.0006298+0.0004688i,-0.00080652+7.0652e-05i,-0.00070269-0.00032534i,0.00023857-0.00055294i,0.00055434-0.00059562i,0.00031764-0.00032412i,0.00062725+6.3414e-05i,0.00097955+0.00093076i,0.0007661+0.00099816i,-0.00018161+0.0011094i,-0.00057282+0.0018909i,-4.2925e-05+0.0013347i,4.0311e-05-0.00011759i,0.0001482-0.00074658i,0.00042741+0.00016733i
-0.040305-0.0005343i,-0.039122+0.00035706i,-0.023739+0.0002187i,-0.011434+0.0014757i,-0.0053253+0.0029254i,-0.0017554+0.003554i,-4.2719e-05+0.0026246i,-0.00035151+0.001237i,-0.0009184+0.00035665i,-0.0012035-0.00058696i,-0.0009827-0.00030716i,-0.0003358-0.00048633i,9.157e-05-0.00093413i,0.00058862+9.0138e-05i,0.00040949+0.0013916i,0.00010248+0.00047265i,0.0005382-0.00052727i,0.0009436-6.5034e-05i,0.00083154+0.00027398i,0.00047906+0.00062804i,-0.00062443+4.863e-06i,-0.0012403-0.00075644i,-0.00054406+0.0001998i
-0.010587+0.034901i,-0.0094002+0.035078i,-0.0065232+0.021354i,-0.0038861+0.010655i,-0.0010196+0.0059386i,0.0011342+0.0034582i,0.0020276+0.0025662i,0.0023118+0.0012916i,0.0016239+4.2072e-05i,0.0011155-0.00031604i,0.00096107-1.0558e-05i,0.00052545+0.00012017i,-0.00033703-0.00048764i,-0.0001776-0.00099753i,0.00029467-0.00065144i,0.00025154-0.00059195i,0.00024306-0.0010532i,0.00047146-0.00093306i,0.00063188-0.00063215i,-0.00020208-0.00048459i,-0.00049814-0.00029273i,-0.00037068-3.9784e-05i,-0.00044801-0.00011045i
