-0.0015718-0.0013915i,-0.001784-0.0016887i,-0.0023577-0.00085664i,-0.0024729-1.409e-05i,-0.0026947+0.0010286i,-0.0026483+0.0021951i,-0.0017879+0.0019996i,-0.00052892+0.0014615i,0.00043037+0.00080166i,0.0012519+0.00050226i,0.0017907+0.00069105i,0.0015709-0.00025601i,0.00067584-0.0013617i,-0.00017497-0.00097517i,-5.6223e-05-7.5132e-05i,0.00072589-0.00014336i,0.00045084+7.9691e-05i,-0.0008409+0.00031185i,-0.0011403+0.00048046i,-0.00090744+0.00088916i,-0.00084505+0.0008998i,-0.00029298+0.00051123i,-0.00013445+0.00025935i
0.0024407+0.00095243i,0.0029724+0.0002276i,0.0037739-0.0016622i,0.0022372-0.0030981i,-0.00064046-0.003438i,-0.0030124-0.0015261i,-0.0029057+0.0017969i,-0.00079089+0.0025818i,0.0011384+0.0014665i,0.0025011-0.00010574i,0.0037637-0.0014188i,0.0033648-0.0010241i,0.0018674-0.00027098i,0.0014298-0.00071035i,0.0014394-0.0010543i,0.0010024-9.2397e-05i,0.00091475+0.00071629i,0.000394-0.00019458i,0.00028898-0.0009398i,9.2189e-06-0.00066765i,0.00014528-0.00014845i,0.00017635+0.00031306i,-8.0643e-05-0.00020115i
-0.0021348-0.0015263i,-0.0015717-0.0021545i,-0.0016106-0.0022106i,-0.0012117-0.0024215i,-0.0017888-0.0019392i,-0.0024352-0.0003613i,-0.001456+0.0012777i,0.00029716+0.0014418i,0.0010798+4.1461e-05i,0.00075349-0.00094581i,0.00065513-0.0012173i,0.00067229-0.001349i,0.00018594-0.0013608i,-0.00021835-0.00028915i,0.00045578-0.00019055i,0.00023736-0.00011479i,-0.000759+0.00057901i,-0.000246-1.1662e-05i,0.00025953-8.2858e-05i,2.3603e-05+0.00022832i,0.00019383+0.00026574i,-0.00033756+0.00032167i,-0.00071305-0.00021941i
0.00079501+0.0020054i,0.0012047-0.00049142i,0.0012114-0.00066891i,0.00036005-0.0011741i,-0.00051864-0.0015985i,-0.0013131-0.00094259i,-0.00086824+0.00050508i,0.00037149+0.0012187i,0.00096526-0.00019123i,0.00092869-0.0015999i,0.0010495-0.0019744i,0.00041552-0.0015479i,-9.1664e-05-0.0013994i,3.0597e-06-0.0011735i,4.4007e-05-0.00071711i,0.00038597+0.00045409i,0.00071743+0.0010184i,6.6788e-05-0.00013659i,-0.0011987-0.00053365i,-0.0011084-0.0007918i,-0.00077612-0.00022925i,-0.0010983+0.00019897i,-0.00068792-0.00049895i
-0.00018929-0.0022576i,0.00014856-0.0025453i,-0.000843-0.0029467i,-0.001917-0.0013983i,-0.0022391+0.00065685i,-0.000626+0.0017703i,0.0011864+0.0015162i,0.0026509-0.00011144i,0.0022684-0.001604i,0.00095215-0.0018334i,0.00061743-0.0012116i,0.00066031-0.001263i,0.0007103-0.0015285i,0.00055172-0.0015344i,0.00067718-0.001307i,0.00054908-0.0008581i,-0.00034212+0.00014445i,-0.0012834+0.00053377i,-0.0012016-0.00019279i,-0.00063016-0.00085397i,2.645e-05-0.00062077i,0.00016012-0.0006445i,-6.6664e-05-0.00061089i
0.00087146+0.00069309i,0.0017611-0.00085146i,0.0018236-0.0014735i,0.00027619-0.0014493i,-0.00056384-0.0010841i,-0.00072393-0.0005088i,-1.1043e-05+0.00019488i,0.0013785+0.00029902i,0.00045558-0.00073171i,-0.00056973-0.0010604i,-0.00062643-0.00051983i,-0.00074983-0.00020855i,-0.00027036+7.8516e-05i,0.00062049+0.00080388i,0.00052418+0.00079214i,0.0003979+0.00042887i,0.00069138+5.0053e-05i,0.00062161-0.0006106i,7.2455e-05+0.00031829i,0.00025197+0.0010417i,0.00043647+0.00061855i,0.00011055+0.0007607i,-0.00059851+0.00043118i
0.0023337-0.0014449i,0.0020316-0.0029873i,0.0023519-0.0043434i,0.0012668-0.0045621i,-2.8132e-05-0.0032217i,-0.00074538-0.0016019i,-0.00049527-0.00083333i,-0.0005064-0.0012973i,-0.0011673-0.0022915i,-0.0015536-0.0019221i,-0.0008034-0.00065825i,0.00036571-5.809e-05i,0.00031351+0.00104i,0.0012998+0.0015425i,0.0016327+0.00083892i,0.00080261-0.00026867i,0.00062181-0.0010667i,0.00017458-0.0013224i,-0.000392-0.00047013i,-0.00020049+0.00032026i,0.00020201+0.00080699i,0.00020777+0.00058676i,7.8517e-05-3.2566e-05i
0.0001846+0.00020255i,-0.0007003-0.00081875i,-0.0024189-0.001007i,-0.0022634-0.00068702i,-0.00054835-0.00015609i,0.00034666-0.00044969i,-0.00023082-0.0021209i,-0.0010674-0.0020944i,-0.0019896-0.00033571i,-0.0015603+0.00053982i,0.00021184+0.00035274i,0.00082638-0.00018724i,0.00052184-0.0002563i,0.00056793-0.00074332i,0.00074356-0.00048107i,0.00064164+0.00025063i,0.0001029-0.00057904i,-0.00053414-0.00061588i,-0.00087662-0.00019738i,-0.00092969-6.2453e-05i,-0.00053333-0.00018716i,-0.00044137-0.00023642i,-0.00014002+0.00045828i
0.00043132-0.00037183i,-5.8982e-05-0.0010794i,-0.00062252-0.00066988i,-0.00014402+0.00025234i,0.00021329+0.0011532i,0.0007185-0.00028371i,0.00035955-0.0024957i,-0.00087251-0.0021699i,-0.0011403-0.00052542i,-0.0003078+0.00064384i,7.5784e-05+0.0010974i,0.00016363+0.00034321i,0.0007231-0.00039301i,0.00046682-0.00056307i,0.00019885-0.0007954i,0.00032417-0.00055157i,0.00022327-0.00026755i,0.00019542-8.1103e-05i,-0.00038359-9.7483e-05i,-0.0011208+0.00046907i,-0.0012802+0.00079904i,-0.00073338-1.2517e-05i,-0.0010895-9.3267e-05i
0.001696+0.00054089i,0.0013133-0.00075805i,0.0028265-0.0016479i,0.0035438-0.0027207i,0.0022559-0.0036034i,-0.00039807-0.0038258i,-0.0018903-0.0023222i,-0.002053-6.5524e-05i,-0.0010114+0.0015179i,0.0003138+0.0014103i,0.0012875-0.00017125i,0.0011178-0.00071822i,0.00057676-0.00037857i,0.0010409-0.00012788i,0.0013263+0.00041922i,0.00093049+0.00066544i,0.00046398+0.00026965i,0.00028816-0.00026077i,-0.0002142-0.00043577i,-0.00039803-0.0006832i,-0.00070269-0.00047716i,-0.0009523-0.00041651i,-0.00039522-0.00034479i
0.0015151-0.001382i,0.00026778-0.0023057i,-0.00089505-0.0030839i,-3.5039e-06-0.0027883i,0.00094045-0.0025343i,-0.00021407-0.0019485i,-0.0018084-0.00034596i,-0.0018498+0.0013462i,-0.00015577+0.0017695i,0.00060027+0.0011793i,0.00066154+0.00042484i,0.0020453+0.00098213i,0.0022409+0.0013795i,0.0011073+0.00023093i,0.00044396-0.00012206i,0.00020559+0.00048736i,8.2301e-05+0.00083279i,-0.00016887+0.00074712i,-0.00036628+0.00070758i,-0.00033369+0.00059808i,-0.00058976-0.0003203i,-0.00067764-0.0011993i,-0.0001337-0.00093559i
0.00090964-0.0024342i,0.00020587-0.0024071i,-0.0012171-0.0023597i,-0.0015968-0.0018984i,-0.00056255-0.0019147i,-0.0010203-0.0030246i,-0.0028995-0.0024817i,-0.0026965-0.00010967i,9.7496e-05+0.00082268i,0.0018305-9.1579e-05i,0.0014244-0.0011745i,0.00084352-0.00088191i,0.00095763-0.00010596i,0.00050859+0.0002976i,0.00049295+0.00012951i,0.00036989-0.00033369i,3.7481e-05-2.252e-05i,0.00015705-0.00096437i,0.0001614-0.0018247i,-0.00021013-0.00093552i,-9.3348e-05-0.0006365i,-0.00024139-0.00042707i,-0.00091073-0.00021227i
-0.00024334-0.0028994i,-0.00060027-0.002017i,-0.00040216-0.0020962i,-0.0019457-0.0011987i,-0.0032134-0.00016462i,-0.0028316+0.00042336i,-0.0027064+0.00085678i,-0.001253+0.0013454i,0.00029884+0.00082986i,0.00091573-0.00026078i,0.0011211-0.00068436i,0.0017082-0.00076852i,0.002038-0.00054482i,0.0021374-0.00018953i,0.0022851+0.00012327i,0.001361-0.00039782i,0.00032725-0.00095218i,-0.00036577-0.0010289i,-0.00065447-0.0012133i,-0.00077474-0.0013551i,-0.00052765-0.0013426i,-0.00026633-0.00048403i,-0.00034092-9.223e-05i
0.00016085+0.0012047i,0.00022337-1.6565e-05i,0.0012468-0.00090988i,0.001522-0.00087346i,0.0016024-0.0019943i,0.00036428-0.0023602i,-0.0012729-0.00014889i,-0.00044621+0.0020209i,0.00039049+0.0017505i,0.00040984+0.00068996i,9.0413e-05+0.0001002i,-0.00017442+9.6015e-05i,0.00033545+0.00016996i,0.00050149+0.00033416i,0.00082094+0.00083375i,0.0011273+0.00096196i,0.0011518+0.0009676i,0.00069192+0.00045185i,-0.00066645-0.00076313i,-0.001155-0.00067158i,-0.001226+0.00023637i,-0.001087+0.00090526i,-0.00069988+0.00058071i
0.0009325-0.0024551i,0.0011067-0.0017469i,-0.00022175-0.001928i,-0.0019061-0.0023879i,-0.002728-0.0025233i,-0.0020853-0.0012843i,-0.0011199+0.00076078i,-0.00029395+0.0017815i,-5.8496e-05+0.0003057i,-0.00070278-0.0010597i,-0.0010712-0.0007196i,-1.6524e-05+0.00014013i,0.001825+0.00044675i,0.0025591-9.7391e-05i,0.0023884-0.00014862i,0.0011405+0.00013122i,0.00046504-0.0003964i,0.00029359-0.00077214i,-0.00078734-0.00035264i,-0.0014842+6.4492e-05i,-0.0015554+0.00072895i,-0.0015827+6.9431e-05i,-0.00042178-0.00098648i
0.0012075+0.0003975i,0.0019095-0.00070106i,0.00094834-0.0015079i,6.7298e-05-0.0015819i,-0.00070963-0.002112i,-0.0018796-0.0013765i,-0.0011054+0.00043463i,0.0012396+0.0012183i,0.0015341+0.00093681i,7.6791e-05+0.00029202i,6.9488e-05+0.00020245i,0.00047965+0.00032954i,0.0008016+0.00031356i,0.00083546+0.00020113i,0.0012167-6.0097e-06i,0.0020092+0.00014568i,0.0011516-0.00013713i,-0.00014274-0.001202i,-0.00011781-0.0015118i,0.00067233-0.00097542i,0.0012876-0.00023467i,0.00092405+0.00031171i,0.00029545+0.0003579i
0.00042992-7.5291e-05i,0.00024021-0.0013334i,0.00070653-0.0023936i,0.0015477-0.0029362i,0.00053231-0.0030605i,-0.0012045-0.0018903i,-0.00061981-0.00043924i,0.00083292-0.00021792i,0.00090057-0.0012904i,0.00016134-0.000985i,-0.00030484+0.00049134i,0.00047213+0.0010719i,0.001442+0.00092543i,0.0018693+0.00010205i,0.0013925-0.00032868i,0.00054779-0.00016363i,0.0005249-0.00051601i,0.00051652-0.00071623i,0.00042694-0.00043638i,6.2563e-06+0.00021022i,0.0005387+0.00055212i,0.00068881-0.00012214i,0.00055211-0.00065905i
0.00063804-0.0014674i,-0.00039135-0.0022648i,-0.00018305-0.0015075i,-0.0003658-0.0012951i,-0.0014803-0.0016231i,-0.0012448-0.00099383i,0.00042945-0.00019167i,0.0012992-0.0011324i,0.00061699-0.0020116i,0.00064285-0.0013526i,0.001702-0.00034848i,0.0022215-0.00056108i,0.0019508-0.001205i,0.0012843-0.0011203i,0.00044166-0.00058463i,0.00039749-0.00059307i,0.00016221-0.00054842i,-0.00028019-0.0010038i,-0.00047641-0.00079765i,-0.00063987+0.00024827i,-0.00055148-3.7232e-05i,-0.00048066-0.00040087i,3.0674e-05+9.7612e-05i
-0.00069848+0.0010667i,-0.0018384-0.00026247i,-0.0018067-0.0013723i,-0.0016321-0.0023004i,-0.0019496-0.0018036i,-0.0014866-0.00028715i,0.0001251+0.00017348i,0.00068991-0.00031537i,-0.00025354-0.00055081i,6.6712e-05-0.00033259i,0.0017974-3.6082e-05i,0.0017338-0.00022106i,0.0003386-0.00050659i,0.00085741-0.00026797i,0.0010701+0.00026312i,0.00032021+0.00046115i,0.00014316-0.00051761i,-0.00043746-0.0012835i,-0.0016673-0.00103i,-0.0020817-0.00041366i,-0.0011488-0.00022451i,-8.4827e-05-8.8059e-05i,0.00021246-0.00024478i
0.00052575-0.0021366i,0.0012453-0.0033679i,0.00046972-0.0035958i,-0.0001449-0.0022926i,-0.0011461-0.0012283i,-0.0014276-0.0012847i,-0.00092941-0.0020229i,-0.00081433-0.0021151i,-0.00085448-0.00089393i,0.00016494+0.0010077i,0.0013736+0.0014333i,0.001525+0.00029375i,0.00077799-0.00069113i,0.0006725-0.00071166i,0.0011249-0.00013897i,0.0012625+4.1377e-05i,0.00065575+0.00013967i,-1.7508e-05+3.7633e-05i,-0.00041945+0.00017473i,-0.0010012+0.00020525i,-0.0010664+9.6889e-06i,-0.0004381-0.00031463i,-0.00062204-0.0007282i
0.00059029-0.00070349i,0.0011056-0.0013282i,0.00046463-0.00097255i,0.00027687-0.00098042i,-0.00095949-0.0016735i,-0.0021086-0.001792i,-0.0021003-0.0010663i,-0.0015028-0.00050289i,-0.0010275+7.215e-05i,-0.00025695+0.00056564i,0.0005249-0.00021862i,0.00052711-0.00093198i,-0.00025706-0.00045148i,-0.00029083+0.00040685i,0.00056969+0.0012263i,0.00067978+0.0017862i,0.00011712+0.00084229i,-8.1654e-05-0.00059255i,0.00022664-0.00043773i,6.9617e-05-9.3988e-07i,-0.00020645-0.00050832i,-7.1982e-05-0.00020808i,0.00017042+0.00034071i
0.0012612-0.001423i,0.0018053-0.0026606i,0.0016812-0.0026456i,0.00062533-0.0030324i,5.1919e-05-0.0024083i,-0.001227-0.0010523i,-0.0025988-0.00077292i,-0.0031132-3.3654e-05i,-0.0022199+0.00098302i,-0.00037047+0.00012064i,0.0009829-0.0012282i,0.0014308-0.0017294i,0.00087301-0.00080528i,0.00010265+0.00027255i,-3.3873e-05+0.00078928i,-0.00027894+0.00017236i,-0.00071173-0.00077391i,-0.00033224-0.00048141i,3.4071e-05+0.0006282i,-0.00042689+0.00088433i,-0.00051338+0.00052313i,-0.00013908+0.00020912i,0.00045198-5.0013e-05i
0.0012667-0.00034159i,0.0017882-0.002004i,0.001554-0.0032449i,9.5174e-05-0.0029045i,-0.0012134-0.0017052i,-0.0014888-0.00073641i,-0.001546-0.0012681i,-0.0017357-0.00021197i,-0.0012494+0.0010822i,-0.00020965+0.0002799i,-0.00023042-0.00051414i,-0.0012604-0.00072808i,-0.00074255-0.00036824i,0.00105-0.00030841i,0.0015367-0.00026462i,0.00097264+0.00014121i,0.00044665+0.00080974i,-0.00040903+0.00061987i,-0.00067484+0.00017545i,-0.00031707-4.6898e-05i,-0.00074554-0.00041512i,-0.00091855-3.4344e-05i,-0.00019016+0.00013144i
0.001111-0.0020202i,-0.0001581-0.0015871i,-0.0018004-0.0014201i,-0.0023086-0.0014979i,-0.00070953-0.00093939i,4.8233e-05-0.00060159i,-0.00081102-0.00098341i,-0.00098153+8.2693e-05i,-0.0004682+0.0016009i,4.9131e-05+0.0012833i,0.00012193-0.00012301i,-0.00026393-0.00024472i,-0.00028851-0.00025825i,0.00041452-0.00026396i,0.0012661+9.1619e-05i,0.0017224+0.00050103i,0.0011007+0.00057094i,0.00079093+0.00041524i,0.001111+0.00047086i,-0.00018668+0.00021479i,-0.0012048-3.9455e-06i,-0.001114-0.00017712i,-0.0013304-0.00014392i
0.002776-6.5977e-05i,0.0032755-0.00081661i,0.0036399+0.0001368i,0.002216-0.00023723i,0.00063771-0.0015349i,-0.000957-0.0018502i,-0.0026427-0.00034302i,-0.0018303+0.0017633i,0.00024901+0.0020069i,0.00070086+0.0011295i,-0.00031013+0.00068637i,-0.00066752+0.0012557i,-0.00011738+0.0019723i,0.00060199+0.0019587i,0.0010932+0.001348i,0.0015134+0.00035047i,0.0015609-0.00098572i,0.0010243-0.0006981i,-0.00068376-0.00023062i,-0.0016889-0.00034475i,-0.0012069-0.00045407i,-0.0005365-0.00013852i,0.00042598+0.00060112i
0.00094428+0.0016389i,0.0003976+0.00082714i,0.0010812-0.0015385i,0.0020641-0.0026026i,0.0012782-0.0024716i,-0.00038152-0.0026118i,-0.0016941-0.00053729i,-0.00081106+0.0019808i,0.0016853+0.0021492i,0.0016976+0.0012895i,-0.00061004+0.00053205i,-0.0010334+0.00046898i,0.00094633+0.00097365i,0.0025822+0.0010334i,0.0022662+0.00092389i,0.0014692-0.00049048i,0.0014842-0.00098386i,0.0014329-0.00021201i,0.001111-0.00014285i,0.00066198-0.00078756i,0.00063802-0.00095478i,0.00033901-0.00070811i,-1.6829e-05-0.00046472i
0.00067522-0.0013569i,0.00027245-0.0013157i,-0.0010483-0.00108i,-0.0012306+0.00018775i,0.00013562+0.00077184i,0.00066454+0.00042076i,0.00049271+0.0012616i,0.0011603+0.0015757i,0.0026067+0.00063919i,0.0021965+0.0012648i,0.001073+0.0025491i,0.001606+0.0021405i,0.0029894+0.00037243i,0.0030168-0.00094108i,0.001809-0.00059598i,0.00025292-0.00035862i,-0.00063627-0.00020904i,-0.00033558+0.00014629i,0.00032168+0.00012116i,0.0002629+0.00045287i,-0.0002073+0.00036484i,-0.00044082-0.00044214i,-0.0004726-0.00032691i
0.0012991+0.0014043i,0.0019112+0.0003061i,0.0027405+0.00072809i,0.0022085+0.00027448i,0.0018595-0.0013658i,0.00096854-0.002094i,0.00047067-0.0016742i,0.001266-0.00077317i,0.0019426-0.00040321i,0.001719-0.00027429i,0.0008856+0.00049716i,0.0011323+0.0010375i,0.0014835+0.00029383i,0.0007279-0.00072612i,-1.8778e-05-0.00098333i,-0.00031478-0.0013434i,3.9397e-05-0.0015529i,0.00045365-0.0011753i,0.00040349-0.00058696i,6.8112e-06-0.00074885i,-0.00039194-0.00059524i,-4.2793e-06-0.00010815i,0.00031921-0.00035724i
-0.00096429-0.0018718i,-0.001263-0.0019504i,-0.00083622-0.0012631i,-0.00054738-0.0011753i,-0.00093012-0.0018734i,-0.0018441-0.0022455i,-0.0016425-0.0013437i,0.00017354-0.00063187i,0.0010128-0.0010659i,0.00043728-0.0014286i,0.00060526-0.0010157i,0.0016598-0.00059565i,0.0024708-0.00058797i,0.0018488-0.00036779i,0.00073561-0.00020694i,-0.00010625+8.7188e-05i,-0.00052005-0.00075603i,-0.00085543-0.0013813i,-0.0012309-0.00095423i,-0.00038657-0.00061589i,0.00045303-0.00073541i,-9.7196e-05-0.00066882i,-0.00039902+4.6048e-05i
0.0008342-2.7777e-06i,0.00037107-0.0014274i,-0.00056354-0.0018767i,-0.0012718-0.00089252i,-0.0016635-0.00028019i,-0.0017228-0.0010032i,-0.0008002-0.00072637i,0.00018671-0.00075355i,-0.00010861-0.0019862i,-4.5744e-05-0.0018243i,0.0017686-0.00071405i,0.002838-0.00074434i,0.0021066-0.00092616i,0.00064255-0.00015469i,-6.7935e-05-0.00010693i,-0.00016088-0.00060984i,-0.00047473-0.00097011i,-0.0013157-0.00065334i,-0.00048559-0.00035617i,0.00052562-0.00026541i,-0.0004522-4.5139e-05i,-0.0011548+0.00032162i,-0.00089045-8.1259e-05i
0.0011804-5.101e-05i,0.0021277+0.0001095i,0.0027482+0.00015037i,0.0032164-0.0012622i,0.0024592-0.0017442i,0.00054926-0.0011722i,-0.0011474-0.0019939i,-0.0013372-0.0033851i,-0.0013087-0.003682i,-0.00074702-0.0024444i,0.0011681-0.0016315i,0.0018949-0.0015682i,0.00087187-0.0012299i,0.00079298-0.00041171i,0.001126+0.00056605i,0.00016938+0.00093444i,-0.00072164+0.00082803i,-0.0007613+0.00059698i,-0.00077087+0.00044588i,-0.00087474+0.00053693i,-0.00024808+0.00044299i,0.00035031+5.9954e-05i,0.00053154-0.00022437i
0.00063852+0.00018465i,0.0010514-0.0006996i,0.0016599-0.0023155i,0.0020152-0.0028262i,0.00073676-0.0028475i,-0.00071496-0.002475i,-0.0015287-0.0020926i,-0.0017358-0.0016483i,-0.0027102-0.00072637i,-0.0026731-0.00040154i,-0.00089835-0.0013507i,0.00055441-0.0018064i,0.00018406-0.0012402i,-0.00071436+0.00044461i,-0.00052045+0.0014924i,-5.5523e-06+0.0009353i,0.00040018+0.00026466i,-0.00013499-0.00018493i,-0.00073642-0.00011107i,-0.0011391+0.00014011i,-0.0017663-0.00036603i,-0.0014859-0.00022447i,-0.0006321+0.00023692i
-0.00076275-0.0017435i,-6.4911e-05-0.0021725i,-0.0011152-0.001392i,-0.0017915-0.00088305i,-0.0013549-0.0005505i,-0.00077431-0.00023191i,-0.0014566-9.5941e-05i,-0.0029228-0.00064724i,-0.0030671-0.00042012i,-0.0019473+0.001354i,-0.00084218+0.001185i,-0.00088889+0.00014913i,-0.00097229-7.6961e-05i,-0.00010204+0.00073423i,-0.00012718+0.0012242i,-0.00034258+0.00029602i,-7.9763e-05-0.00076792i,-0.00017802-0.0006867i,-0.00050178-6.3553e-05i,-0.00031485-0.00030246i,0.00055258-0.00033768i,0.00040208+0.00050738i,-0.00075254+0.00066689i
-0.0012347-0.00092034i,-0.00033182-0.0008502i,-0.00043263+0.00031519i,-0.00020876-0.00032264i,-0.00016042-0.0016398i,-0.0012696-0.0015789i,-0.0012292-0.00053109i,-0.00085309+0.0012948i,-0.0011955+0.0019948i,-0.0012678+0.0012086i,-0.00086536-2.187e-05i,-0.0014378-0.00028914i,-0.0014125-0.00037153i,0.00028909-0.00078768i,0.00089592-0.00063297i,0.0010576+7.4366e-06i,0.00093339+0.00073996i,0.00012939+0.00023426i,-0.00066494-0.00030586i,-0.0013079-0.00031175i,-0.0017285-0.00067447i,-0.0012069-0.00039042i,-0.00041429+0.00012107i
0.00025502-0.0019887i,-0.00036861-0.0024233i,-0.0015245-0.0026263i,-0.0021058-0.0019446i,-0.0022832-0.0014777i,-0.0018904-0.0010896i,-0.001171-0.00060387i,-0.00062926+0.00080896i,-0.00043676+0.0026086i,-7.627e-05+0.002028i,0.00014344+0.0010261i,-0.00040127+0.00099811i,-0.00016664+0.00086399i,0.00058828+0.0011671i,0.0013094+0.0019858i,0.0010177+0.0015697i,0.00023803+0.00069544i,2.5742e-05+0.00027937i,-0.00037334-1.0823e-06i,-0.00075228+0.00014015i,-0.00096582+0.00027992i,-0.00028104-3.6943e-06i,0.0001234-0.00033029i
0.0011438+8.7424e-05i,-4.4557e-05+0.00050068i,-0.00032388+0.00060968i,0.00040734-0.00047633i,-0.00019325-0.0021563i,-0.0013226-0.0021487i,-0.0020406-0.00023089i,-0.0017194+0.0014374i,0.00041896+0.0022334i,0.0012929+0.0022743i,0.00077201+0.0016164i,1.256e-05+0.0013542i,0.00017779+0.00098869i,0.0012849+0.00049234i,0.002182+0.00061665i,0.0024181+0.00078195i,0.001613+0.00047375i,0.00027124-0.00040445i,-0.00061899-0.0012239i,-0.00053325-0.0009416i,-0.00047026-0.00036238i,-0.0004879+0.0002676i,5.2071e-05+9.5862e-05i
0.0016591-0.0012604i,0.0010847-0.0023321i,-7.3107e-06-0.002963i,-0.00095699-0.003081i,-0.0013234-0.0027477i,-0.0020184-0.0019045i,-0.0015771-0.00016133i,0.00027418+0.0020263i,0.0017642+0.0030834i,0.0018495+0.0023734i,0.0012054+0.0017588i,0.0010497+0.0014859i,0.0015444+0.0010186i,0.0022433+0.00043834i,0.0023823+0.00028704i,0.0012849+0.00056198i,0.00034299+0.00062845i,-0.00022247+3.9106e-06i,-0.00044633-0.00045713i,-0.00081853+0.00010207i,-0.00092966+0.00044632i,-0.00089004+0.00026732i,-0.0010117-0.00027712i
0.00058754-0.00063089i,0.0001997-0.0004884i,-0.00026126+8.8849e-05i,9.045e-05-0.00049441i,0.00069138-0.0014678i,-0.00062731-0.00095253i,-0.0017046+1.5502e-05i,-0.00036122+0.0010453i,0.0015192+3.6622e-05i,0.0023846-0.001018i,0.0026884-9.4042e-05i,0.0025909+0.0017922i,0.0020804+0.0027393i,0.0013418+0.001687i,0.0010254+0.00049875i,0.00062484-0.00020303i,0.00065795-0.0005762i,0.00079514+0.00027933i,9.4882e-05+0.00057738i,0.00030803-7.207e-05i,0.00037761-2.1467e-05i,0.00040436+0.0001101i,0.00085601-0.00028621i
0.0018863-0.001696i,0.0010993-0.0026515i,0.00018885-0.0033734i,-0.00049984-0.0032531i,-0.0014229-0.0027715i,-0.0017204-0.0014999i,-0.000625+0.00018611i,0.0011788+0.00036846i,0.001834-0.0013261i,0.0020931-0.0024696i,0.0031882-0.0017206i,0.0041269-0.00051544i,0.0036148-0.00011138i,0.0025941-3.9322e-05i,0.0017379-0.00095432i,0.0010068-0.0014881i,0.00042464-0.0013767i,-0.00039633-0.00041317i,-0.0012902+0.0004591i,-0.00075889+0.00061024i,-0.00015933+0.00079626i,-0.0002007+0.00036019i,3.0115e-05-0.00038059i
0.0010108-0.0007898i,0.00059842-9.0124e-05i,-0.00087319-0.00071786i,-0.0016932-0.0011287i,-0.0017127-0.0014303i,-0.0013583-0.00172i,-0.00034464-0.0010811i,0.00036106-0.00012258i,0.00040075-0.00042522i,0.00027284-0.0013003i,0.00092408-0.00096665i,0.0022365-0.00053914i,0.0024411-0.00090291i,0.0020008-0.00035182i,0.00087649+0.00057186i,-0.00029123+0.0003036i,-0.00058083-0.00024946i,9.0744e-05-0.00070422i,0.00094197-0.0012017i,0.0012693-0.00073247i,0.00065331-0.00027143i,8.14e-05-0.000586i,-0.00024233-0.00018423i
0.0024237+4.0063e-05i,0.00197-0.00082036i,0.0023951-0.002158i,0.0025552-0.002976i,0.0014526-0.0030166i,-0.00067774-0.0029582i,-0.001594-0.0018996i,-0.00026121-0.0012247i,0.00044529-0.0014852i,-0.00028507-0.0023215i,-0.00032144-0.0027639i,0.0013394-0.0023863i,0.0022059-0.0017069i,0.0012865-0.00056829i,0.00013629+0.00097706i,-0.00063513+0.0012501i,-0.00044885+0.00038101i,-0.00014507+0.0001131i,6.0474e-05+0.00011652i,0.00042465-0.00046637i,0.00037619-0.00029052i,0.00015314-0.00024144i,-0.00013177-0.00068868i
0.0039852-0.00079766i,0.0037956-0.0016746i,0.0029587-0.0024292i,0.0019353-0.0029787i,0.0014034-0.0029279i,0.00017242-0.0024819i,-0.0009167-0.0025217i,-0.0011814-0.0019119i,-0.001616-0.0011021i,-0.0024284-0.00020956i,-0.0019919-0.00082783i,-0.00012017-0.001659i,0.00082955-0.0010299i,0.0015708-0.00049445i,0.0020124+0.00023349i,0.0012303+0.00010123i,0.00059625-0.00010567i,-0.00016713+5.6361e-05i,-0.00062194-0.0006182i,-0.00035063-0.0014375i,-0.00053009-0.0012559i,-0.00059659-0.00082244i,-0.00018358-0.00084288i
0.0023269-0.00016056i,0.0030882-0.0010002i,0.0017946-0.0019992i,-0.00049005-0.0025053i,-0.0015737-0.0031881i,-0.0018992-0.0035573i,-0.0022385-0.0025639i,-0.0028474-0.0016508i,-0.003024-0.00028553i,-0.0029815+0.0012685i,-0.0022318+0.0010374i,-0.0014662-0.00015245i,-0.00092543-0.00013314i,6.909e-05+0.0012099i,0.00088117+0.0020556i,0.0009526+0.0017664i,0.00023335+0.0009047i,0.00020865-0.00019355i,-0.00042122-0.00095906i,-0.0014515-0.00047452i,-0.00093355-0.00013317i,-5.9518e-05-0.00033816i,-0.00018822-3.5613e-05i
0.00051236+0.00021818i,0.00077636-7.9177e-05i,0.0012841-0.00073305i,0.001243-0.0018617i,0.00081816-0.0026513i,-0.00084876-0.0024679i,-0.0022256-0.0017615i,-0.0017289-0.00070222i,-0.00066427+0.00085078i,-0.00093401+0.0018304i,-0.0017759+0.0011298i,-0.0019503+0.00026949i,-0.0010518-0.00024291i,0.00058196+3.2134e-05i,0.00085551+0.00027763i,0.00050743+0.00070827i,0.00058035+0.00066662i,0.00030333-0.00011783i,-0.00029199-0.00034513i,-0.0009418-0.00041022i,-0.00080124-0.00094965i,0.00019312-0.00049754i,0.00036197+0.00028822i
