0.00097527-0.00028338i,0.0015912-0.0019216i,0.00038542-0.0028795i,-0.0019233-0.0021212i,-0.0039612+3.2146e-06i,-0.0037963+0.001833i,-0.0017318+0.00099956i,-0.00063765+0.00048339i,8.1061e-05+0.00026568i,0.00040226-0.0006418i,5.2392e-05-0.0012714i,-0.00065394-0.001394i,-0.0011786-0.00054515i,-0.0010588+0.00011323i,-0.00060688+0.00055066i,2.4996e-06+0.00034023i,0.00017026-0.00098699i,0.00061615-0.0010282i,0.00095156-2.9228e-05i,0.0012575+0.00082108i,0.00078306+0.0017644i,-7.0676e-05+0.001769i,-0.00010958+0.00069514i
0.0012822+0.001428i,0.0016017+0.00018216i,0.0015649-9.5002e-05i,0.00052431+0.00059525i,-0.00070542+0.00061751i,-0.00067269+0.00018441i,-0.0006303-0.00017488i,-0.00051177-0.00083275i,-3.186e-05-0.00050367i,0.00033589-0.00015732i,0.00057199+0.00014079i,0.00024551+0.00070532i,-0.00017597-6.3267e-06i,-9.2667e-05-0.00042058i,-0.00039623-0.00055181i,-0.0010985-0.0012256i,-0.0015958-0.0014505i,-0.0013619-0.0018339i,-0.00031163-0.0016283i,-0.00030869-0.00035176i,-0.00053503+0.00033582i,-5.7094e-06-0.00035302i,0.00020637-0.00068936i
-0.0044412-0.0024437i,-0.0040191-0.0011978i,-0.0029611+0.00070706i,-0.0019023+0.0017222i,-0.00068592+0.0010702i,0.0002399+0.00012254i,-0.00028015-6.6332e-05i,-0.00124-0.00014934i,-0.0012117+0.00017352i,-0.00049538+0.00065625i,-0.00021435+0.00036887i,0.00035429-0.00084174i,0.00058375-0.0014812i,-0.00053107-0.0011562i,-0.00082171-0.00062759i,-7.4243e-06-0.00015949i,8.16e-05-0.00033412i,-0.00046433-0.0004429i,-0.00026458-0.0002095i,-0.00061288-0.00037969i,-0.00086893-0.00052254i,3.5936e-07-0.00024065i,0.00045457+1.5571e-05i
0.00078636+0.00047362i,0.00060323+0.00022709i,-0.0010165+0.00050766i,-0.002073+0.0013381i,-0.0010793+0.0018835i,-5.2967e-05+0.0011559i,0.00050124+0.00081222i,0.00048831+0.00097704i,-7.1314e-05+0.00052644i,-0.00042129+0.00040594i,0.00039178+0.00043327i,0.00051608+0.0003275i,-0.00014968-0.00049012i,0.00041569-0.00056418i,0.0010497+0.00019585i,0.0010378+0.00094747i,0.00098765+0.0018368i,0.00085247+0.0016235i,0.00064511+0.00090053i,0.0002569+0.00041744i,-0.00011492-0.000139i,-0.00036577-7.211e-05i,-0.00043209-0.00021761i
-0.00035106+0.0020578i,0.00035583+0.0018266i,0.0015596+0.0010722i,0.0012504+0.00045015i,-0.00031233+0.00044475i,-0.00077285+0.00030156i,-0.00094453+0.00011156i,-0.0016212+5.3725e-05i,-0.0010771+0.00024553i,-0.00036019+0.00059754i,-0.00045528+0.00097306i,-0.00027566+0.00083325i,0.00019947-0.00012991i,3.2996e-05-0.00060365i,6.96e-06+0.00029382i,0.00023641+0.0011408i,-0.00035898+0.00099237i,-0.00057942+0.0011488i,-0.00029278+0.001223i,-0.00025996+0.00049276i,-0.00020406+0.00023472i,0.00017728+0.00013813i,0.00049534+0.00017659i
0.0013026-0.0030436i,-0.00083575-0.0036914i,-0.003031-0.0036857i,-0.0034053-0.0017637i,-0.002213-0.00024381i,-0.00051408+0.00049098i,1.9996e-05-7.2257e-05i,-3.5801e-05-0.0012389i,0.0001145-0.0012664i,-0.00062085-0.00029788i,-0.0011879+0.00051768i,-0.00021329+0.0011831i,5.1565e-05+0.001174i,-0.00027171+0.00082776i,-2.7579e-05+0.00035088i,-0.00039795+0.00012268i,-0.00099242+0.00062444i,-0.00084607+0.00036631i,-0.00028174-0.00044641i,5.1694e-05-4.2534e-05i,-6.9044e-05+0.00029269i,-0.00010597+0.00023751i,0.00020035+0.00024302i
0.0014285+0.0011657i,0.00096762+0.0019852i,0.00062527+0.0010564i,0.00031935-0.00027277i,-0.00069898-0.00096722i,-0.0018896-0.00091958i,-0.0017629-0.00089109i,-0.0010992-0.0012733i,-0.0013915-0.0012289i,-0.0018166-0.00092683i,-0.0018362-0.00049985i,-0.0012789+9.7751e-05i,-0.00013325+0.0013363i,0.0006593+0.0021212i,0.00083199+0.00043534i,0.00056495-0.0011771i,0.00057006-0.001456i,0.00063194-0.0013943i,0.00061261-0.0013225i,0.00089376-0.00088067i,0.00099176-0.00087394i,0.00073088-0.00023393i,0.00041847+0.0010274i
-0.0014629+0.0021262i,-0.00041727+0.0024421i,0.00066892+0.0034054i,0.00021661+0.0035869i,-0.00036435+0.0025186i,-0.0001109+0.00027188i,-8.0334e-05-0.0010528i,-0.00016922-0.00066333i,0.00046564+0.00012329i,0.00028358+0.00051774i,-0.00042672+0.0004712i,-2.7359e-05+0.0007868i,-0.00030741+0.0010249i,-0.00074032-0.00031386i,-0.00036871-0.0010968i,0.0008184-0.00042881i,0.0011547-0.00010922i,0.00029431-4.5015e-06i,-0.00019992+0.00036795i,-0.00011933+0.00011739i,6.7118e-05-0.00069093i,5.4121e-05-6.0679e-05i,6.1709e-05+0.00029223i
0.00066943-0.00049213i,0.0012477-0.00083567i,0.0016435-0.00032013i,0.00097+0.00052377i,0.00059353+0.00058838i,5.5495e-05-0.00032903i,-0.0014262-0.0011799i,-0.0022871-0.00053448i,-0.0012505+0.00026461i,0.00024303+0.00044364i,0.00043433+0.00020361i,-0.00023532-4.1059e-05i,-0.00050839+0.00016866i,-0.00042357+0.00025579i,-0.00040159-0.00028071i,-0.00053985-0.00013563i,-0.00032829-0.0001649i,0.00036663-1.2322e-05i,0.00026224+0.00079821i,0.0002207+0.00035387i,0.00032009+0.00051733i,0.00018449+0.00057661i,0.00083861-0.00021618i
0.00051836+0.0031196i,0.00033054+0.0029589i,0.00012571+0.0017757i,-0.00023619+0.0016068i,-0.00038594+0.00084191i,0.00029641-0.00029933i,0.00054936-0.00085996i,6.1515e-05-0.00045457i,2.5249e-05-0.00041943i,0.00087845-0.0010388i,0.0013876-0.00070581i,0.0014614-0.00017641i,0.00066709+7.8482e-05i,-1.7303e-05+0.00027049i,1.9795e-05+0.00048486i,-3.1473e-05+0.00083223i,-0.00041482+0.0010327i,-1.9567e-05+0.00070311i,0.00056509+0.00031033i,2.7994e-05+0.00027564i,-0.00049246-0.00028394i,0.00012268-0.00035754i,0.00040263+0.00019291i
-0.00087024+0.0014232i,-0.0011036+0.0019855i,0.00051184+0.0010413i,0.00019777+0.00014528i,-0.0014294-0.0005763i,-0.0018439-0.00042164i,-0.0012842+0.00047092i,-0.00065545+4.0005e-05i,1.5151e-05-0.00090381i,0.00015571-0.00052544i,-0.00034502-0.00090253i,-0.0007536-0.00072767i,-0.00079457+0.00043711i,-0.00061347+0.00036177i,-0.00047723-0.00062322i,-0.00027322-0.0012072i,-0.00019389-0.00065943i,-0.00011787-0.00051256i,0.00053967-0.00039253i,0.0014449-0.00026642i,0.0011406+0.00030112i,0.00011128+0.00092382i,-1.8527e-05+0.00038076i
0.0034569-0.0033496i,0.0030386-0.0039311i,0.0024641-0.003168i,-0.00017321-0.0014292i,-0.0021727+0.0001041i,-0.0013399+0.0013483i,-0.00030055+0.001127i,0.00015039+0.00045154i,0.00059501+0.00036134i,0.00045777+0.00022325i,0.00022744-0.00037556i,0.000191+0.00020441i,0.00022296+0.0010273i,0.0006491+0.00090972i,0.0014737+0.00030298i,0.0017075-0.00022072i,0.0012572-0.00056329i,-0.00011533-0.0009041i,-0.00022786-0.0013069i,0.00035123-0.00059956i,0.0003086-7.0492e-06i,0.00030993-0.00035724i,0.00036077-0.0004068i
0.00033311+0.00016683i,-0.00019908-0.00028694i,-0.00062669-0.0014966i,-0.00024562-0.00097342i,0.00056577-0.00039014i,0.00018848-0.00063088i,-0.00099908-0.0013112i,-0.0019538-0.00094724i,-0.0018756-0.00019004i,-0.0013738-0.00017971i,-0.00095664+0.00065897i,-8.0012e-05+0.0011047i,0.00076263+0.00086747i,0.00049615+0.00044325i,-7.1384e-05+0.00024225i,1.5088e-05+0.00041256i,0.00035999+4.3648e-05i,-0.00058518-0.00024817i,-0.00091085-0.00039764i,-0.00030486-0.0004455i,0.0001176-0.00047332i,0.00086178-0.00053584i,0.00071882-0.00027137i
-0.0011172+0.0010527i,-0.0013462+0.0024881i,-0.0013637+0.0029306i,-0.0015411+0.002158i,-0.0011893+0.001057i,-0.00059248+0.00031793i,-0.0011109-0.00035269i,-0.0013357-0.00034105i,-0.00090027+0.00010377i,-0.00077982+1.0981e-05i,-0.0006553-0.00036244i,-0.00044443-0.00023055i,0.00048269+0.00017373i,0.00044283+0.0003276i,-0.00013209+0.0004793i,-0.00031471+0.00075082i,-0.00056944+0.00082482i,-0.00021627+0.00064398i,0.00033495+0.00025002i,0.00040177+4.0129e-05i,0.00041833-0.00020692i,0.00019683-0.00075903i,-0.00019596-0.00088963i
-0.0011985-0.00043532i,-0.0016353-0.00049065i,-0.0011433+0.00085272i,-0.0011003+0.0012294i,-0.00069681+0.00092134i,0.00029342+0.00092645i,0.0003008-0.00031962i,0.00038205-0.0015005i,0.00026461-0.0008097i,-0.00032888+3.0062e-05i,-0.00028279-9.2895e-06i,-4.0095e-05-0.00015549i,6.428e-06-0.00067667i,2.0522e-05-0.0015188i,-0.00045985-0.0014884i,-0.0010611-0.00076756i,-0.0010423-0.00022178i,-0.0002685+0.00043349i,-0.00023544+0.0010219i,-0.00074757+0.00066407i,-0.00081382-0.00012114i,-0.00047269-6.467e-05i,3.8986e-05+0.00045175i
-0.00022453-0.0027111i,0.0003576-0.002834i,0.00037373-0.0018052i,-0.00075259-0.00090626i,-0.0017021-0.00045545i,-0.00098122-0.00030375i,0.00010349-0.00091594i,0.00058894-0.00050875i,0.0014063+7.4287e-05i,0.0016456-0.00028626i,0.001147-0.00038054i,0.00078994-9.654e-06i,1.2568e-05+0.00014334i,-0.00062944-0.000279i,-0.00093007-0.00088361i,-0.00064084-0.0012128i,0.00042919-0.00042502i,0.00056738+0.00053987i,0.00034618+0.00054425i,0.00048304+0.00032403i,1.4445e-05+0.00016655i,9.8151e-05+0.00026901i,-0.00027472+4.2158e-05i
0.00093517-0.0029308i,0.00014471-0.0026613i,-0.0018364-0.0024354i,-0.0027978-0.001652i,-0.0024129-0.00040224i,-0.0011356+0.00062298i,-0.00044713+0.00021061i,-0.0005658-0.00048027i,-7.0617e-05-5.1908e-05i,0.00023535-0.00036854i,-0.00032475-0.00076446i,-0.00020755-0.00023468i,-3.8255e-06+0.00051704i,0.0010374+0.00089205i,0.0016382+0.00081593i,0.00086877+0.00014398i,-0.00030578-0.00048828i,-0.0014061-0.00010182i,-0.0017435+0.00052572i,-0.0011419+0.00089558i,-0.00010982+0.00062625i,0.00026435-0.00015696i,0.00023513+0.00018752i
0.00097784+0.0018313i,0.00084367+0.001933i,3.2347e-05+0.0013553i,-0.00072418+0.0010642i,-0.001583+0.0010001i,-0.00098203-6.6462e-05i,-0.00036736-0.000428i,-0.0010481-0.00043182i,-0.0012413-3.6918e-05i,-0.00083233-0.00015623i,-0.0011569-0.00078924i,-0.0010859-0.00045437i,-0.00030751+0.00017872i,0.00034657+0.00070742i,0.00053412+0.0010178i,0.00024149+0.00058232i,0.00041097+0.00072332i,0.00059425+0.0014895i,-0.0001052+0.0015427i,-0.00055573+0.00095136i,-0.00040296+0.00032906i,-0.00018695-0.0003276i,0.00048639-0.00063349i
0.0011299-0.00087889i,0.0014591-0.0013634i,-0.00055263-0.00058406i,-0.0015624-0.00049589i,-0.0018359-0.00062035i,-0.00056421-0.0003368i,0.00036054-0.00027928i,-0.0011669-0.00046208i,-0.0014552-0.00015705i,-0.00091372+0.00014109i,-0.00015741+0.00040301i,4.0267e-05+0.00084784i,-0.00059669+0.0011523i,-0.00029621+0.00095567i,6.8424e-05+0.0011011i,-0.00027507+0.0010259i,-0.00042009+8.8828e-05i,0.00021733-0.00016167i,0.00030297-0.00051568i,-1.84e-05-0.00040331i,-0.00013978-0.00050519i,-0.00011446-0.00054329i,-0.00044022-0.00011679i
-0.0014303-0.00039571i,-0.0019746-0.00069808i,-0.0020576-0.0011069i,-0.0021067-0.0015794i,-0.0012563-0.00077025i,0.00038436-0.0004294i,0.00029041-0.00093504i,-0.00064958-0.00045355i,-0.0010976+0.00012803i,-0.00062194+0.00019418i,0.00044865+0.00059811i,0.00057341+0.00046681i,0.00025293-0.00066425i,-0.00014005-0.00083336i,-0.00090298-0.00016049i,-0.00027122-0.00066832i,0.00090473-0.0014817i,0.00077814-0.00072786i,0.00072676-0.0003475i,0.00084721-7.0255e-05i,0.00029344+0.000222i,-0.00060957+3.7251e-05i,-0.00062691+0.00037223i
0.0028028-4.5412e-05i,0.0023087-0.00035026i,-8.4835e-05-0.00063776i,-0.0010636+0.00029539i,-0.00053448+0.0013407i,-0.00017583+0.0014245i,-0.00086818+0.00085084i,-0.0011084+0.00039756i,-0.00086898+0.00058168i,-0.00049817+0.0005929i,-0.00029592-7.2571e-05i,-9.3315e-05-1.9025e-05i,0.00056366+0.00029747i,0.0010512+0.00063096i,0.00052432+0.00095171i,-0.00011441+0.00044234i,0.00056769-9.4748e-05i,0.00066508-0.00015638i,4.299e-06-0.00043063i,0.00017452-0.00072945i,0.00070972-0.0005401i,0.00086693+0.00015448i,5.2465e-05+4.8954e-05i
0.0012857-0.0028359i,0.0025215-0.002896i,0.00014208-0.0029479i,-0.0027544-0.001139i,-0.0030563+0.00068676i,-0.0012302+0.0010917i,-0.00024745+0.00095198i,-0.00017296+0.00016285i,-0.00023218-0.00023272i,-0.00036351-0.00078516i,-4.4998e-05-0.0012563i,5.1512e-05-0.00030326i,-0.00027879+0.0010733i,0.00061601+0.00069982i,0.0013648+0.00062206i,0.00065484+0.0014906i,-0.0002006+0.00050036i,-0.00024665-0.00075787i,-0.00037702-0.00060413i,-0.0007392-0.00080569i,-0.00010039-0.00050482i,0.00029379-8.8554e-05i,-0.00026216-0.00031946i
-0.0016121-0.0010506i,-0.0016994-0.00085351i,-0.0023675+0.00011113i,-0.0022111+0.0019241i,-0.00098818+0.0022677i,-0.00033789+0.00079785i,0.00025117-0.00054039i,0.00050173-0.00050664i,0.00096879+3.732e-05i,0.00092996-0.00053317i,0.00045272-0.00067626i,0.00093828-1.9821e-05i,0.0010603-0.00040666i,8.0809e-05-0.00036694i,-0.00016513+0.00026772i,-5.9098e-05+7.5631e-05i,0.00015624-0.00090208i,0.00014028-0.00103i,-0.00048959-0.00056984i,-0.00091489-0.00042857i,-0.00068264-0.0002831i,-0.0002216+1.3728e-05i,-0.00016305+0.00042107i
-0.00094969+0.00084052i,-0.0025617+0.00057292i,-0.0040487+0.0013049i,-0.0032924+0.0024335i,-0.001164+0.0014945i,0.00024603-0.00044729i,0.00030278-0.0011526i,7.4989e-05-0.00072637i,-0.00023094+6.1206e-06i,-7.8182e-05+0.00055982i,-0.00020711+0.0001793i,-0.00052025-9.5013e-06i,-0.00036707+0.00026436i,-0.00086426-0.00019687i,-0.0013341-0.00021894i,-0.00065903+0.00017377i,-0.00016032+0.00091237i,0.00016297+0.00035808i,0.00026275-0.00077986i,-0.00032763-0.00058333i,-0.00049005-0.00025944i,-0.00061105-0.00063992i,-0.00060587-0.00078726i
0.00052284-0.00033456i,0.00056794-0.00045578i,0.0013325+0.00015777i,0.00046681+0.00071741i,-0.0017797+0.00065955i,-0.001383+0.00015817i,-0.00052053-0.00075534i,-0.00046914-0.00083426i,-0.0004524-0.00026331i,-0.00080598-0.00024985i,-0.0014665+0.00015292i,-0.0015689+0.00096856i,-0.00024125+0.00091261i,0.00090382-0.00015215i,0.00093927-0.00044975i,0.00062685-6.2409e-05i,-0.00018789+0.0001904i,-0.0011711+0.00028505i,-0.00087473+0.00054781i,-0.00010543-0.00032026i,0.00012085-0.00069058i,-3.7672e-06-0.0004347i,7.2689e-06+1.4054e-05i
-0.00084522-0.0021889i,0.00017967-0.0020603i,0.00033686-0.00029726i,-0.0006195+0.0010515i,-0.0014344+0.00062365i,-0.00071984-0.00028052i,-0.00013795-0.00037212i,-0.00062004+0.00015551i,-0.0009106+0.00063829i,-0.00055078+0.0010094i,0.00034857+0.00064096i,0.0014263+0.00047524i,0.0012902-6.0146e-05i,0.00046378-0.00074044i,0.000276-0.00036502i,1.5148e-05+0.00022327i,-0.00076809+3.748e-06i,-0.00029836-0.00040537i,0.00021397-0.00021877i,0.00048681-0.00066351i,0.00093844-0.0013945i,0.0011586-0.0013818i,0.00053112-0.00055791i
0.0026669-0.0018298i,0.0030038-0.00096856i,0.00048336-0.0021416i,-0.0017107-0.0013929i,-0.002308+0.00059283i,-0.0019573+0.00086274i,-0.00090864+0.00064375i,-0.00094833+0.00059454i,-0.0015692+8.9951e-05i,-0.0013552-0.00018659i,-0.00069751-0.00024941i,-0.00017202+0.00016525i,0.00036725+0.00085278i,0.00062276+0.00089347i,0.00038111+5.1721e-05i,0.00011038-0.00031582i,0.00035765-0.00020274i,5.1215e-05-3.6813e-05i,-0.00080725-0.00085532i,-0.00086808-0.0011836i,-0.00029554-0.0012182i,0.00035926-0.00060836i,0.00076373+0.00018244i
-0.0013856-0.00075688i,-0.0031009-0.0011044i,-0.0048567-0.0012729i,-0.0050987+0.00042093i,-0.0039688+0.0015317i,-0.0026929+0.0012739i,-0.0016767+0.00047062i,-0.00087723+8.0272e-05i,0.00014618-0.00024115i,0.00052298-0.00132i,-0.00029311-0.00046363i,-9.1747e-05+0.00037467i,0.0006635+0.00045283i,0.00018139+0.00094104i,-0.00022623+0.0011756i,-0.0003221+0.00075145i,-0.00042261+0.00033801i,-0.00023924+1.386e-05i,-0.0003727-0.0003955i,-0.00036139-0.00027924i,0.00078901+0.00031359i,0.0011236+0.00018213i,0.00077753-0.00013574i
0.0021204-0.0017998i,0.0019735-0.001766i,0.0016239-0.0019084i,0.00048743-0.0012815i,-0.00064823-0.00010976i,-0.00019005+0.00073727i,0.00011618+0.0008957i,0.0002449+0.0011019i,-0.00067557-6.8733e-05i,-0.001751-0.0013183i,-0.0013923-0.00099746i,-0.0010662-0.00056045i,-0.00092428+0.00026074i,-0.00077355+0.0012925i,-0.001037+0.0012834i,-0.00036845+0.00034777i,0.00028993-0.00047025i,0.00029099-0.00028968i,-0.00024505+0.00030179i,-0.0007791+0.00064248i,-0.00038327+0.00083762i,0.00024496+0.0010838i,0.00024091+0.00061058i
0.0016695-0.0031606i,0.0015502-0.0035198i,0.00084167-0.0014469i,-0.0019138+0.001189i,-0.0029197+0.0016497i,-0.0012642+0.00075551i,-0.00054288-0.00035297i,-0.0011795-0.00061137i,-0.0020243-0.00054397i,-0.0019325-0.00081651i,-0.0011197-0.00074946i,-0.00035173-0.00046972i,-0.00012606+1.5087e-05i,4.7031e-06+0.00044413i,-1.4795e-05-0.00051461i,-0.00037771-0.0016319i,-0.00083712-0.0013697i,-0.00095101-0.00052699i,-0.0003242-0.00037007i,-0.00069168-0.0003802i,-0.0010736-0.00043313i,-0.00079251-0.00046965i,1.9785e-05+8.1395e-05i
-0.0016488+0.0017679i,-0.0014956+0.00081716i,-0.00031049+0.00055879i,-0.00037447+0.00042362i,-0.00055626+0.0002525i,-0.00021897-9.2601e-05i,-0.00064418-0.00072981i,-0.0014269-0.00071698i,-0.00086308-0.00017375i,0.00060931-0.00025677i,0.0011092+4.5342e-05i,0.00076398+0.00059313i,0.001365-0.0002311i,0.0015835-0.00082019i,0.00063516-0.00055824i,0.00051263-0.00015712i,0.00053955-0.00060579i,-0.00028533-0.0015195i,-0.00057785-0.0020831i,-0.00014901-0.0016116i,0.00014671-0.0011934i,0.0002101-0.00066055i,0.00064407-0.00013707i
0.0014011-0.0010578i,0.00095741-0.0010475i,-0.0013324-0.00098577i,-0.0023365-0.00040369i,-0.0018715+9.3734e-05i,-0.0010575+0.00020551i,0.00010068-0.00082482i,0.000376-0.00080919i,5.7919e-05-0.00064491i,-0.0010735-0.00020483i,-0.0014001+0.00014549i,4.5607e-05+0.0006162i,-0.00044668+0.00082729i,-0.00057356+0.0015154i,0.00043616+0.0014791i,0.00063721+0.00044778i,0.00034194+0.00014021i,0.00012861-0.0008184i,0.00056395-0.0012307i,0.00044707-0.00029719i,1.6352e-05-0.00020943i,0.00079471-0.0002309i,0.00084374+0.00020194i
-0.0018032+0.0010663i,-0.00080525-0.00094768i,0.00018803-0.0015676i,-0.00045802-0.0014919i,-0.00039384-0.0010276i,-0.00011064-0.00040029i,0.00020603-0.00020118i,0.00048036-0.00026071i,0.0001646-2.7149e-06i,0.00035061+6.3101e-05i,0.00041535-0.00030771i,-0.00055991-0.00083777i,-0.001203-0.00056115i,-0.0012265+0.00035487i,-0.001113+0.00053134i,-0.0013803+4.3735e-05i,-0.00086876-6.4576e-05i,-0.00047236+0.00056762i,-0.00063927+3.0614e-05i,-0.00037733-0.00031609i,0.00031531+0.00040822i,0.00091365+0.0014016i,-0.00054121+0.0012707i
0.0013944-0.00069063i,0.0017161+0.00073373i,0.0010949+0.0016787i,0.000431+0.0022005i,0.00020802+0.0019014i,-0.00012513+0.00064821i,-0.00014068-0.0010861i,-8.5286e-05-0.00163i,-0.00028891-0.0014925i,0.00043709-0.00078118i,0.00069794+0.00029261i,0.00029492+0.00037926i,0.00037064+0.00014925i,0.00074131-0.00092699i,5.9885e-05-0.0019832i,-0.0011439-0.0014038i,-0.00094023-0.0010626i,5.9296e-05-0.00029404i,0.00052783+0.0004598i,-0.0001719+0.00018774i,-0.00029955+0.00069838i,0.00030436+0.000466i,0.0003274+4.6305e-05i
-0.0008715+0.0002303i,-0.0021298+0.00041682i,-0.0027847+0.00087231i,-0.0027652+0.00097694i,-0.0011928+0.00079392i,-0.00055391+0.00055788i,-0.001353-0.00011874i,-0.0010469-0.00030251i,-0.00044796-0.000292i,-0.00014859-0.0006373i,0.00025176-0.00017551i,0.00025802+0.00028471i,9.5121e-05-0.00018129i,-0.0001276-0.00056448i,-4.2408e-05-0.0010768i,0.00041588-0.0011686i,0.0010071-0.00052176i,0.00052886-0.00027988i,-0.00016678-0.00081939i,-0.00054011-0.00077876i,-0.0010831-0.0005098i,-0.00093482-0.0011733i,-0.00015097-0.0013844i
-0.0020143+0.0025788i,-0.0033039+0.0022636i,-0.0028877+0.0019683i,-0.0011914+0.00096694i,-0.00027018+9.6326e-05i,-2.7768e-06-0.00069056i,1.6604e-05-0.00085363i,-0.00012101+0.00012265i,5.1463e-05+0.00010933i,-0.0003293-0.00025311i,-0.0010581-0.00047296i,-0.0010146-0.00023724i,-0.00048428+0.0010659i,-0.00033251+0.0017887i,0.00030522+0.00091927i,0.001289+0.00043575i,0.00059016-1.8139e-06i,0.00017087-0.00082074i,0.0010708-0.00035321i,0.0011962-0.00059941i,0.0010898-0.0014532i,0.00073734-0.00098887i,1.7705e-05-0.00040505i
-0.0029558+0.001209i,-0.00286+0.0011252i,-0.0024238+0.001918i,-0.002066+0.0017851i,-0.00066107+0.00066051i,9.2166e-05-0.00028926i,0.00018975-0.00028176i,0.00012773+0.00029535i,-0.00077455-5.0531e-05i,-0.0010637+0.00018559i,-0.00066911+0.00074823i,-0.00052684+0.0012299i,-0.0004976+0.00093225i,-0.0010587+0.00054519i,-0.0014759+0.00072163i,-0.00056053+0.00063563i,0.00050416+0.00062365i,0.00051558+0.00043809i,0.00079064+3.1545e-05i,0.0017305+6.9395e-05i,0.0017074+0.00042046i,0.0015159+0.00056225i,0.00079019+0.00079848i
0.003153-0.00014335i,0.0045344-0.00081497i,0.0038992-0.001174i,0.0023573-0.0008152i,0.0011689+0.00054516i,0.00069673+0.00094758i,-3.9765e-05-0.00042898i,-2.5658e-05-0.0010837i,0.00031858-0.00079266i,0.00047307-0.00029196i,0.00040228-0.000251i,0.00020401-0.00017579i,8.7845e-05+0.00043168i,0.0001359+0.00017321i,2.3555e-06-0.0012645i,-0.0003825-0.0011113i,-0.00053-0.00024201i,-6.4699e-05+4.6251e-05i,-0.00027549+0.00013498i,-0.0010528+0.00053887i,-0.00077423+0.0012565i,-0.0004391+0.0014804i,-0.00086692+0.0012747i
-0.00020268+0.0010158i,-0.0016433+0.00077985i,-0.0020473+0.0016266i,-0.0016735+0.001928i,-0.0013661+0.0019412i,-0.00059909+0.0016872i,0.0005488+0.00091731i,0.00031125+1.2049e-05i,-0.00078224+0.00045252i,-0.00053005+0.0013629i,-0.00044032+0.0014504i,-0.00051923+0.0010308i,-7.6712e-05+0.00039969i,0.00047391+0.00035977i,0.00091014+0.00021805i,0.00062482+5.9139e-05i,4.5189e-05-7.0693e-05i,-8.5136e-05-0.00062545i,-0.00049233-0.0012268i,-0.0010069-0.0012276i,-0.00098905-0.00083908i,-0.00079256-0.00047171i,-0.00059522-0.00047366i
-0.0016276+0.00041836i,-0.0010574-0.00021629i,0.00041113-0.00052975i,9.5528e-05-0.00069875i,-0.00054769-0.00053398i,-0.00064418-0.00060794i,-0.00048233-0.0012325i,1.8178e-05-0.00082469i,-5.3257e-05-0.00042662i,-0.00033758-0.0014058i,-0.00069258-0.0019302i,-0.0011794-0.0011773i,-0.0013075-9.9075e-05i,-0.0011462+0.001114i,0.0003429+0.0012258i,0.0012516+0.00048592i,0.00069906-0.00039923i,0.00083863-0.00066331i,0.0015553-0.00016163i,0.0010692-0.00089063i,0.00022328-0.0021i,-1.0754e-05-0.0012359i,-0.00071787-0.00028126i
0.00039272-0.00028093i,0.00026457+0.0010738i,-0.00018414+0.0017891i,-0.00056285+0.00076128i,-0.00035328-0.00032364i,-0.00084934-0.0010696i,-0.00040091-0.0018443i,0.00080196-0.0019348i,0.00053631-0.0010715i,6.8607e-05-0.00074943i,-4.7234e-05-0.0012714i,8.2425e-05-0.0014607i,0.00062658-0.00099089i,0.00054337-0.00031058i,-4.3196e-05+5.6475e-05i,-0.000194+0.00030555i,0.00032327+0.00047521i,0.00010182+7.974e-05i,0.00014367+7.4019e-05i,0.00097929+0.00013998i,0.0015349-0.00018945i,0.0018826-0.00024558i,0.00082923-0.00039397i
0.0025231+0.000544i,0.0038421-0.00063394i,0.0043696-0.0022582i,0.0024306-0.0027889i,0.00020863-0.0021352i,-0.0009255-0.0015885i,-0.00095941-0.00087797i,-0.0002213-0.00034872i,0.00069374-0.00069179i,0.0010086-4.1118e-05i,0.00011779+0.00064076i,-0.00066264+0.00074121i,-0.0012801+0.00080979i,-0.0016917+0.00015458i,-0.00096916+0.00032797i,-0.00081308+0.00081473i,-0.00045975+0.000397i,-0.00024616+6.7757e-05i,-0.00052825-0.000452i,0.00010352+3.2442e-05i,0.00065065+0.0012874i,0.00039622+0.0016817i,-6.8061e-05+0.00067585i
-0.00025413+0.0026104i,-0.00021158+0.0037839i,0.00019214+0.0036628i,0.00043141+0.0029891i,0.00049502+0.0028277i,0.00014355+0.00092529i,-0.0010279-0.00080337i,-0.001303-0.0003923i,-0.0014566-5.188e-05i,-0.0016787+0.00051226i,-0.00048186+0.00097585i,0.00062484+0.00076137i,0.0006994+0.00019373i,0.0003846-0.00013718i,-0.00023561+0.00064265i,-0.00073721+0.00057309i,-0.00038168+8.5116e-05i,0.00019519+3.5019e-05i,-0.00014915-0.00019622i,-0.0009205-0.00048539i,-0.0014223-0.0006038i,-0.0018693+6.3544e-05i,-0.001357+0.000928i
