-0.0015336+0.0011735i,-7.5732e-05+0.00067925i,-0.00067268-0.0006538i,-0.0012278-0.00088405i,-0.0015165+0.00019513i,-0.0021051+0.00055274i,-0.0017922+0.00098415i,-0.00010525+0.0013042i,0.0010901+0.0014421i,0.00079968+0.00086509i,-6.4359e-05-7.8069e-05i,-0.00066285-0.00067507i,-0.00060565-0.00064741i,-0.00051547-0.0001732i,0.00027471+8.6646e-05i,0.00026498+0.00094631i,-6.4107e-05+0.00088309i,0.00025967-0.00011819i,5.315e-05+0.00011117i,-0.0004499+0.00060252i,-0.00029067-0.00014191i,0.00016654-0.00068261i,0.00031359-4.0757e-05i
-0.00069973-0.00042366i,-0.00061347+0.00061425i,0.00011423+0.0010566i,0.00026789+0.0015729i,0.00081337+0.0018642i,0.0013331+0.0010545i,0.00095459-0.00032606i,9.2849e-05-0.00076484i,-0.00066114-0.00045905i,-0.00094386-0.00059454i,1.6867e-05-0.00051832i,0.00045446-0.00057526i,0.00052124-0.001227i,-0.00013259-0.0010775i,-0.00077584-0.00052591i,-0.00087413-0.00057284i,-0.00038563-0.00039481i,-0.00016762-0.0001631i,-4.2216e-05-0.00047788i,0.00031146-0.00039855i,8.6358e-05-5.1874e-05i,0.00031312-7.3137e-05i,0.00082349-1.265e-05i
-2.2099e-05+0.00047527i,0.00017624-0.00022836i,0.00078418+0.00066172i,0.0019987+0.0017596i,0.0014041+0.00083996i,0.00091188-0.0007044i,0.00093893-0.0012562i,0.00014309-0.00069347i,-0.00043211+0.00026746i,-0.0010099+0.00045366i,-0.0014258-6.8425e-05i,-0.0011311-0.00019702i,-0.0008089-0.00017549i,-0.0005473-0.00016788i,-0.0006877+6.5183e-05i,-0.00035897-0.00033767i,-0.00015345-0.00072528i,-0.00014131-0.00018257i,0.00024027+0.00010261i,0.00028005-0.00019441i,0.00074441+0.00013453i,0.00067014+0.00096166i,-0.00055146+0.0011139i
0.0015591+0.00048344i,0.0015317+0.00095874i,0.0017909+0.00091881i,0.0017269+0.00070638i,0.0010017+0.00089891i,0.0002811+0.001136i,0.00041055+0.00088496i,0.00053071+0.00041609i,-6.7409e-05-0.00028886i,-0.0008095-0.00082466i,-0.00055749-0.00090566i,-8.4763e-05-0.0010913i,-0.00014455-0.00037253i,-0.00024927+0.00043122i,0.00016291+0.00013962i,-0.00018314+0.0002812i,-0.00048153+0.00013465i,-0.00015451-7.7276e-05i,0.00011626-0.00027512i,-6.9145e-05-0.00059888i,-0.00077406-0.00045036i,-0.00063998+0.00014341i,-0.00015584+0.00062721i
1.3223e-05+0.00089326i,0.00024412+0.0013862i,0.00069325+0.0015976i,0.00070134+0.0020289i,0.0012009+0.0024324i,0.0016036+0.0018156i,0.00094576+0.00088625i,0.00068991-8.143e-05i,0.0002236-0.00027959i,-0.00048818-0.00018551i,0.00045393-0.00071555i,0.0014708-0.0011145i,0.00040537-0.00095949i,-0.00032519+2.1072e-05i,-0.00073243+0.0009696i,-0.0013172+0.00081295i,-0.000414+0.00031151i,-0.00021323-0.00024372i,-1.3711e-05-0.00042601i,0.00080326-6.4637e-05i,0.00098551+0.00038027i,-5.1973e-05-0.00019891i,-0.00029256-0.00016639i
0.00010514-0.00067198i,-0.00086674+0.00028195i,-0.00034094+0.00102i,0.0011522+0.0013148i,0.0012297+0.0010871i,0.00087683+4.1022e-05i,0.00069918-0.0005987i,0.00041496-0.00074233i,-0.00013854-0.00061156i,-0.00030336-0.00084597i,0.00010442-0.00051227i,0.00033164-7.9274e-05i,0.00013645+0.00023539i,-0.00038906-4.3201e-05i,-0.00063722-0.00087193i,-0.00070206-0.00079489i,-0.00059237-0.00024716i,-1.9308e-05-0.00040847i,0.00044213-0.00021689i,0.00019721+0.00037589i,-0.00022074+0.00062128i,-0.00034662+0.0010965i,2.995e-05+0.00075155i
-0.00025834-0.00055911i,0.00019787-0.00024495i,0.00064098+0.00044407i,0.00073731+0.00014193i,0.00031317-0.00052329i,-0.00043704-0.00059641i,-0.00082794-0.00065821i,-0.0015738-0.00070288i,-0.0012302-0.0012732i,0.00014271-0.00096731i,0.00032181-0.00087244i,-0.00054072-0.0012807i,-0.0010302-0.00076765i,-0.00089663-0.00021252i,0.00010034+0.00030471i,0.0004692+0.0010206i,-0.00055475+0.0011605i,-0.00030886+0.00076913i,0.00031209-0.00013982i,0.00051936-0.00061574i,0.00064584-0.00064128i,0.00061169-0.00041433i,0.00044791-0.00084516i
0.0010163+0.0021327i,0.0013964+0.0013502i,0.0025757+0.0023379i,0.0023622+0.0022967i,0.0015219+0.00078799i,0.00091304+0.00041867i,0.00081892+0.00056942i,0.0007726+0.00045238i,-4.6911e-05+3.785e-05i,-0.00063541-0.00087248i,-0.00050733-0.0010525i,-4.0299e-05-0.00044943i,-7.842e-05-7.4019e-05i,-0.00016543+0.00011377i,0.00035295-4.8363e-05i,-0.00016028+0.00018567i,-0.0010576-8.598e-05i,-0.00059369-0.00098019i,-0.00030884-0.00077206i,-0.00047434+0.00015473i,0.00013627+0.00023602i,0.00058929+0.00014863i,0.00037084+0.00049517i
-0.0014562-0.00025871i,-0.0016764+0.0020439i,-0.00014108+0.0029239i,0.0016347+0.0030148i,0.0014939+0.0025871i,0.00058398+0.0014879i,0.00030523+0.00066849i,0.000698-3.0442e-05i,0.0003921-0.00017657i,-0.00092538-0.00019704i,-0.001361-0.00078384i,-0.0012296-0.00076327i,-0.0011032-0.00034861i,-0.00050351-0.00012957i,-0.00050841+6.9866e-05i,-4.6562e-05+0.00036967i,0.00013699+0.00028408i,-0.0002357+0.00043229i,-5.0007e-05+0.0001415i,-0.00037144-0.00058389i,-0.00091019-8.0781e-05i,-0.00053589+0.00058694i,-0.00010451+0.0007211i
4.4137e-06-0.00058085i,-0.00027828+1.3323e-05i,0.00055066+0.00087854i,0.0011115+0.00065546i,0.0014337+0.0003527i,0.0013402+9.7881e-05i,0.00059431+3.4607e-05i,-0.00036538+0.00021177i,-0.0011048-0.00021992i,-0.00062629-0.00050652i,-0.00041426-0.0008792i,-0.00054283-0.0015212i,-0.00030544-0.0011625i,-0.0007243-0.0009961i,-0.00032862-0.00079341i,0.00050499-0.00033573i,0.00025448-0.00025045i,0.00032678-0.00014054i,0.00044335+0.00012571i,0.00032704+0.00011314i,7.0451e-05+2.598e-05i,1.0871e-05+0.00033391i,0.00031937+0.00044904i
8.011e-05-0.00012144i,0.0010327+0.0012515i,0.0014018+0.0026231i,0.0012235+0.0023467i,0.0014725+0.0012947i,0.00093945+0.00046374i,-0.00036245+0.00070877i,-0.00051303+0.00095749i,0.00038331+7.9941e-05i,0.00049926-0.00077857i,7.9402e-05-0.00046005i,-0.00022138-0.00064565i,-0.00011299-0.00051526i,-0.00028288+0.00020127i,-0.00057247+8.1921e-05i,-5.3907e-05-1.9731e-05i,1.774e-06+0.00010563i,-0.0010299+0.00024819i,-0.00072561+0.00044811i,0.00015496+0.0005862i,0.0002983+1.3746e-06i,0.0001363-0.00018022i,0.00032717+0.00036628i
0.00019251+0.0020447i,-0.00049014+0.0028258i,0.00038917+0.0037523i,0.0014445+0.003558i,0.0018936+0.0020882i,0.0022536+0.00044099i,0.0022696-0.00070438i,0.0014294-0.0012214i,0.00077251-0.0014771i,-8.0252e-05-0.001129i,-0.00029503-0.0008806i,0.00010625-0.00075185i,-0.00028012-0.00070079i,-0.00097441-0.00038658i,-0.0010919+0.0004479i,-0.00070905+0.00053749i,-0.00052873-0.00035064i,-0.00027887-0.00032011i,-0.00013359+0.00030687i,0.00020739+0.0011769i,-4.675e-05+0.00093057i,-0.0010718-0.00034163i,-0.0010925-0.00072211i
-0.0013968-0.00036183i,-0.0012609+0.00060927i,-0.0010181+0.0024158i,-0.00013368+0.0030752i,0.0011215+0.0020961i,0.0013309+0.00087892i,0.00071127-0.00048857i,0.00024903-0.00057514i,-0.00066653-0.00016202i,-0.00045119-0.00039022i,0.00081528-0.00043202i,0.0012322-0.00038713i,0.0010097+2.126e-05i,0.0011784+0.00024941i,0.0003894-0.00031154i,-0.00018044-0.00043566i,-0.00030141-2.5382e-05i,-0.0010855+0.0002244i,-0.0010737+0.00032381i,-0.00038159+0.0002847i,5.9057e-05+2.8122e-05i,-0.00022115-0.00048679i,-0.00013-0.00019942i
-0.00036799-0.00077291i,0.0004298-0.00034895i,0.00011078+0.00036749i,-0.00047173+0.00056733i,-0.00027183+0.001427i,0.0010066+0.001092i,0.0018394+0.00040249i,0.0012257+0.00043673i,0.00011608+0.0001853i,-0.00020637-0.00010969i,-5.9113e-05-0.00015562i,-0.00058606-0.00021801i,-0.00047438-0.00049884i,-5.9533e-05-0.00053984i,-0.00017425-0.00028557i,0.00018629-0.00010605i,-0.00018668-0.00034272i,-0.00048098-0.0010386i,-7.5247e-05-0.00084544i,0.00024844-0.00024923i,0.0001486+2.3569e-06i,-4.2988e-05-0.00011856i,-0.00040235+4.0987e-05i
-0.00039795+0.0018276i,-0.0015203+0.0013149i,-0.00023863+0.0012359i,0.00095311+0.001329i,0.0012444+0.0010485i,0.0012849+9.419e-06i,0.00055094-0.00040421i,-0.00029025-0.00041694i,-0.00046407-0.00071206i,-0.00021217-0.00019531i,-0.00025627+6.9653e-05i,-2.5831e-07-0.00047286i,-0.00024141+0.00024704i,-0.00064777+0.001565i,-0.00094816+0.0018795i,-0.00099499+0.00092712i,-0.00063982-0.00013728i,0.00030115-6.144e-05i,0.0008414+0.00051347i,-7.0263e-05+5.0537e-05i,-0.00012743-0.00055578i,-0.00023507-0.00058266i,-0.00026029-0.00062706i
0.00035563-0.0028669i,0.00024803-0.0025626i,-0.00083595-0.00093034i,-1.3209e-06+0.0013667i,0.00099581+0.0020341i,0.0010088+0.0010023i,0.00073356-0.00026474i,3.3761e-05-0.00037801i,-9.6191e-05-0.00046317i,-0.00051211-0.0004735i,-0.00063549-0.00059923i,-4.988e-05-0.00048137i,3.9913e-05-0.000488i,0.00018973-0.00022206i,0.0001318+0.00053903i,-0.00010455+0.00045162i,-0.00010989+0.00054591i,-0.00040489+0.00063239i,-0.00088163-0.00026069i,-0.0013157-6.1758e-05i,-0.00076799+0.00069065i,5.0557e-05+0.0005213i,3.2365e-05+2.0627e-05i
-0.00076892+0.0012885i,-0.00033629+0.0014105i,-0.00011409+0.0013337i,0.00051121+0.0021761i,0.0017283+0.0024848i,0.0017905+0.0012766i,0.0008785+0.00042841i,0.00068213+0.00025792i,-0.00031431-0.00047016i,-0.00045758-0.0011789i,0.00054552-0.0008685i,0.00064108-0.00058982i,-1.1671e-05-0.00088578i,-0.0008176-0.00088257i,-0.00027263-0.00081892i,0.00019678-0.00080173i,3.232e-05-0.00015158i,-0.00010516+0.00032748i,-0.00031573+0.00026739i,-0.00038923+0.00014977i,-0.00012729+5.841e-05i,-0.00012584+0.00014049i,-3.0982e-05+3.6619e-05i
-0.0009287-0.00093327i,-0.0020564-0.0013127i,-0.0023395-0.0011406i,-0.0011139-0.0001465i,-0.00036697+0.0004953i,-0.00035751+6.5829e-05i,-0.00039976+0.00040038i,-0.00088683+0.00038837i,-0.0020554-0.00047685i,-0.0019794-0.00093036i,-0.00099003-0.0011688i,-0.00021931-0.00072608i,9.9153e-05-0.00012627i,-0.00078115+0.00036239i,-0.0012559-1.3322e-05i,-0.00014249-0.0002368i,0.00055279-0.00020082i,0.00038614-7.0753e-05i,0.0003095+0.00074953i,-0.00043637+0.0002352i,-0.0003558-0.00046867i,0.00040798-0.00027496i,0.00083718-0.00043253i
0.00073042-0.0010057i,0.0011598-0.00033706i,0.0011975+0.00052387i,0.0011246+0.00047331i,0.00095815+0.00089598i,0.00035873+0.0010372i,8.4665e-05+0.00080209i,-0.00034987+0.00084208i,0.00010056+0.00016097i,0.00082289-0.00019735i,0.00066692-0.00019562i,0.00043709-0.00012747i,-0.0004704+0.00010744i,-0.00087399-0.00029357i,-0.0004787-0.00019394i,-6.2791e-05+0.00010551i,0.00012167+0.00037013i,-2.6634e-06+0.00064072i,5.5828e-05+0.00059934i,0.00042433+0.0001841i,0.00084598-0.00035975i,5.6305e-05+8.7056e-05i,-0.00024888+0.00033125i
-0.0003575-0.0010832i,-0.0010124-0.00059939i,-0.00040791-1.3796e-05i,-2.072e-05+0.0010963i,-0.00077696+0.0013195i,-0.0012295+0.00033339i,-0.00036809-0.00071978i,0.00080042-0.00091947i,0.00082505-0.00078748i,0.00024775-0.00072737i,0.00049172-0.00081939i,0.00068246-0.00083695i,0.00042569-0.00082811i,0.00018657-0.00060447i,-0.00015656-0.00015138i,-0.0010827+9.0494e-05i,-0.00050368+0.00064128i,0.00047261+0.00093193i,0.00043803+0.00045468i,0.00060741+0.00028293i,0.00093743+0.00055251i,0.00030732-0.00041052i,-0.00074901-0.00077939i
0.00060668+0.00074253i,0.00085004+0.0012262i,0.00037909+0.0021337i,0.0020054+0.002416i,0.0028181+0.0017832i,0.0015314+0.0011247i,0.00020225+0.00091963i,-0.00037403+0.00053265i,-0.00062642-0.00094925i,-0.00075909-0.0016554i,-0.00026593-0.00061799i,0.00042551-3.1697e-05i,-0.0007486-0.00037213i,-0.001423-0.00027521i,-0.00034953-3.2172e-05i,0.00054242-0.00064728i,0.00057237-0.00035483i,0.00014187-0.00010369i,0.00034174-0.00028766i,0.00088499+0.0003789i,0.0006757+0.00062148i,0.00030339-0.00020109i,-8.6558e-05-0.00037306i
0.00088434-0.00030012i,-9.8589e-05+0.00045766i,-2.1479e-05+0.00046922i,-1.6626e-05+0.00048311i,0.00048702+0.00057453i,0.0012596-3.9587e-05i,0.0004255-0.0014984i,-0.00024838-0.0019749i,-1.7712e-05-0.0020714i,0.00018082-0.0014076i,6.5281e-05+0.00013726i,-0.00024656+0.00030746i,-0.00056156-5.4688e-05i,-3.9854e-06-0.00039408i,0.0007515-0.00018934i,0.00042219+0.00072111i,-5.7057e-05+0.0011261i,-0.00012013+0.00070591i,0.00029745-1.008e-05i,0.00052518-4.3041e-05i,0.00037101+0.00026997i,0.00019928+0.00046439i,-0.00041353+0.00019172i
-0.00073441+0.00096378i,-0.00015399+0.0026331i,0.0012357+0.0027069i,0.002447+0.0023314i,0.002548+0.0018842i,0.0014756+9.2341e-05i,0.00082717-0.00038385i,0.00088699-0.00051803i,0.00075696-0.0010893i,0.00073855-0.0014483i,0.00077675-0.0014162i,6.4615e-06-0.0011211i,-0.00052778-0.00059249i,-0.00062367-0.00014674i,-0.0010066-5.6361e-06i,-0.0010411+0.00056369i,-0.00041756+0.00031647i,0.0002623-0.00012218i,0.00050958-0.00040787i,0.00099459-0.00032655i,0.00082755+0.00046697i,0.00013468+0.00032285i,-0.00012462+0.00016328i
0.0023077-0.00054831i,0.0020682-0.00049614i,0.0019535-0.0011134i,0.0012019-0.0011344i,0.00076806-0.00024514i,-0.0001227-0.00016275i,-0.00039217-0.00031495i,-0.00048419-3.3891e-05i,-0.00034537+0.00036004i,0.00024183-0.00022656i,0.00071334-0.00065129i,0.00038428+0.00037769i,-0.00057509+0.00075643i,-0.0004262-0.00036628i,-0.00015441-0.00073989i,-0.00085219-0.00031893i,-0.00016777+0.00017959i,0.00016771+0.00048956i,-0.00025242+0.00046919i,0.00033068+0.00069748i,0.00095732+0.00047846i,0.00093733+8.1854e-05i,-1.603e-06-0.00018623i
0.00021421+0.0027846i,0.0010341+0.0034765i,0.0025458+0.0042929i,0.0036881+0.0031298i,0.0031837+0.0012656i,0.0022679+9.7478e-05i,0.00058028-0.00013611i,-0.00032725-6.6841e-05i,0.00053446-0.00037705i,0.00097473-0.00055203i,0.00072302-0.00031072i,0.00048135-0.0004576i,-0.00053697-0.0006142i,-0.0013066-0.00063752i,-0.00090198-0.00018565i,-0.00087273+0.0006685i,-0.00059611+0.0008509i,-0.0001216+0.00049688i,-4.4154e-05+9.3769e-06i,5.8583e-05+0.00028123i,0.00020135+9.5963e-05i,6.768e-05+4.1612e-06i,-0.0001279-6.7564e-05i
-0.00080935+0.00025338i,-0.00046338-0.00079822i,0.0013429+0.00022565i,0.0018044+0.0021772i,0.0014474+0.002401i,0.00092375+0.0014724i,-0.00019506+2.5208e-05i,-0.00040572-0.0011546i,-0.00025995-0.0010996i,0.00023852-0.00059093i,-0.00036044-0.00025982i,-0.00045148+0.00017262i,-0.00011151+0.00052707i,-0.00066613+0.00079925i,-0.00046981+0.0011506i,-0.00044922+0.0011251i,-0.00056132+0.00053646i,-5.137e-05+0.00068498i,0.00031482+0.0013351i,0.0003057+0.0010422i,0.0006023+0.00012569i,0.00025597-0.00043649i,-0.00025075-0.0004048i
0.0012386+0.0017748i,0.0013797+0.0029329i,0.0023019+0.0042975i,0.0027114+0.0038402i,0.0030069+0.001764i,0.0019268+0.00014675i,0.00041173-0.00045474i,0.00026145-0.00055404i,0.00069472-0.00057292i,0.0002461-0.0004608i,-5.0664e-05+0.00025697i,-2.8136e-06+0.00073311i,-0.00025414+0.0006053i,-0.00037415+0.00044793i,-0.00056685+0.00077258i,-0.00063226+0.00056451i,-0.0011327+0.00019509i,-0.001377-0.00012446i,-0.00046419+0.0004611i,0.00023982+0.00070578i,0.00077473+0.00043911i,0.00092009+0.00047624i,0.00025731+0.0001853i
0.00014347+0.00031869i,0.0009246+0.00099518i,0.0012185+0.0018032i,0.00082584+0.0013961i,0.00088894+0.00088487i,0.00090952+0.00033068i,4.1482e-05+3.2661e-05i,-0.00053662-0.00018035i,-0.00037193-0.00013546i,-0.00017889+0.00050125i,0.00044453+0.0010104i,0.00042461+0.00097943i,-0.00041924-0.00015548i,-0.001017-0.00075126i,-0.00061952+0.00021964i,-0.0004046+0.0007057i,-0.00079303+0.00043743i,-0.00069085+0.00016745i,-0.00026179-0.00047469i,0.0002441-0.00054076i,0.00061052-0.00013915i,0.00052823+0.00012643i,7.4876e-06+0.00044566i
-0.0011544+0.0019539i,-0.00093292+0.0017356i,-0.00020707+0.0019846i,0.0010739+0.0028273i,0.0018359+0.0019668i,0.0019097+0.00072742i,0.0022445+0.00040054i,0.0018839+0.00053059i,0.0011786+0.00045339i,0.00091239+0.0003479i,0.00071471+2.0082e-05i,-6.9686e-06-0.00067173i,-0.00073978-0.00077547i,-0.00025743+1.4073e-05i,-0.00015649+0.00078912i,-0.00019439+0.00042007i,0.00025354+0.00039989i,0.00024837+0.00057551i,-0.00031574+0.00065163i,-0.00086922+0.00016734i,-0.00060814-0.00043351i,7.0939e-05-0.00017885i,0.00015049+1.1879e-05i
-0.00050031-4.8326e-06i,-0.0010666+0.00030295i,-0.001147+0.0014292i,-0.0007272+0.0023457i,-0.00043948+0.0018829i,0.00024462+0.00077362i,0.00012783-0.00069563i,-0.00040011-0.00077138i,-0.0013589-0.00066338i,-0.00037483-0.00080767i,0.00093531-0.00028587i,0.00083477-0.00036268i,-0.000316-0.00010583i,-0.0010482-0.00017556i,-0.00092608-0.00037706i,-0.00071746+0.00034163i,-0.00053676+0.00075382i,-0.0001127+0.00067781i,1.8844e-05+0.001156i,-0.00060972+0.0012513i,-0.0012341+0.00046293i,-0.001217-0.00043769i,-0.00046451-0.0006979i
-0.0014041-0.00056653i,-0.00085137+0.00024218i,-0.00083441+0.0018143i,-0.00075632+0.002669i,0.00041695+0.0024533i,0.0012435+0.0011312i,0.0012897+0.00018572i,0.00053189-0.00025214i,-0.00061725-0.0013983i,-0.00098036-0.0013852i,-0.001016-0.00046293i,-0.00064134+0.00012768i,-0.00052167+0.00044082i,5.218e-05-0.00028492i,0.00021753-0.00078999i,-0.00062194-2.1918e-05i,-0.0010461+0.00035466i,-0.00075611+0.00010625i,-0.00019014-0.00012455i,-0.00073382-0.00012307i,-0.0010151-0.00018571i,-0.00017121-0.00051893i,0.00028589-0.00037885i
0.0011282+0.00044205i,4.5439e-05-0.00034535i,-0.0002453-0.00056551i,2.2762e-05+0.00048907i,0.0005975+0.0013064i,0.0011894+0.0013231i,0.00094+0.00073222i,0.00062076-0.00010798i,0.00053076-0.00029129i,0.0007041-0.00038647i,-0.00021643-0.00095504i,-0.00022507-0.0015958i,2.782e-05-0.0018234i,-0.00031437-0.0016044i,-0.00049444-0.00076267i,-0.00078723-3.7793e-05i,-0.0004963-6.9568e-05i,0.00035375+3.6815e-05i,0.00057463+0.00013369i,-8.6656e-05+0.00033176i,-0.00058852+0.00014807i,-0.00067825+0.00010879i,-0.0001209+7.021e-05i
-0.00053946+2.3135e-05i,0.00034953-0.00020107i,2.8613e-06+0.00032693i,-0.00030339+0.0016278i,0.00032095+0.0014815i,0.00035076+0.0004953i,-0.00020785+0.00060825i,-0.00054214+0.00043544i,-0.00027347-0.00040326i,-9.7972e-05-0.00055938i,4.6197e-05-0.00040896i,0.00039367-8.288e-05i,-0.00013743+0.00067601i,-0.00018857+0.00037759i,0.00014741-0.0004065i,-0.00021115+0.0003792i,-0.00039229+0.00034389i,-0.0002786-8.6779e-05i,8.1393e-05+0.00069644i,0.00031973+0.0014193i,0.00052874+0.00094945i,0.0002714-0.00034672i,-0.00061336-0.00080202i
-0.00074418-0.00028541i,-0.0003731+0.001277i,-0.00098641+0.0019683i,-0.00060216+0.0020021i,-0.00020296+0.0015561i,-0.00022445+0.00056941i,-2.4056e-06-0.0003404i,4.3491e-06-0.00015059i,-4.3266e-05+0.00020718i,-0.00042732-0.00039434i,-0.00052648-0.00045799i,-0.00038329-0.00016809i,-0.0013488+0.00021028i,-0.0015413-0.00029741i,-0.00053852-0.00012826i,-0.00041546+0.00019904i,-0.00026188+0.00031159i,-0.00049567+0.00095534i,-0.0010023+0.000682i,-0.00061518-2.5473e-05i,0.0001199-0.00033526i,0.00063621-0.00076436i,0.00049084-0.00030665i
-0.00049073+0.00052821i,-8.8693e-05+0.0022702i,0.00028766+0.0021163i,0.001563+0.0016246i,0.0027538+0.0013173i,0.001671+0.0011764i,0.00055781+0.00056402i,-0.00037524-0.00080944i,-0.0011362-0.00099102i,-0.00093954-0.0002829i,-0.00036419-0.00032979i,-0.00033377-0.00059864i,-0.00064339-0.00023993i,-0.001222+0.00058332i,-0.0015354+0.00091492i,-0.00079574+0.0010477i,-0.00025674+0.0010186i,-0.00024068+0.00045541i,-0.00089311-0.00011494i,-0.00079905-0.00031471i,0.00038317-0.00033775i,0.00050409+3.6399e-05i,5.6199e-06+0.00023584i
0.001341-0.00055569i,0.00088216+0.00031992i,-0.00058434-0.00040044i,-0.0005913-0.00021812i,6.3677e-05+0.00067174i,-0.00030772+0.0003759i,-0.00076814+5.0822e-05i,-0.00017847+0.00051459i,-0.00034685-0.00013933i,-0.00048851-0.00073645i,-7.9543e-05-0.00091425i,0.00025398-0.0014787i,-3.913e-05-0.0015517i,0.00047421-0.0013798i,0.00092111-0.00040835i,0.00061418+0.00022848i,-1.5401e-05-2.1266e-05i,-0.00092752-0.00013493i,-0.00078491-0.00084089i,-0.00018208-0.00046485i,0.00016753-0.00017833i,0.00032758-0.0005369i,0.00051672+9.269e-05i
0.0002166-0.0008006i,0.00021142-0.00030923i,0.00039972+0.00030182i,0.00035727+0.0013954i,0.00085048+0.0013377i,0.0014199+0.0012075i,0.00038391+0.0013155i,-0.00028018+0.0003058i,-0.00015854-0.00045716i,-0.00014232-0.00070611i,-9.9351e-05-0.0003994i,-0.00047973+2.0886e-05i,-0.00057176-0.00054806i,-0.00055878-0.00073015i,-0.00045212-6.3881e-05i,-6.112e-05+0.00080044i,-0.0002236+0.00046231i,-0.00039115-8.3126e-06i,-0.00036557+0.00015755i,8.518e-05-0.00053544i,0.00046734-0.00085093i,5.8907e-05+1.3647e-05i,0.00018737+4.3091e-05i
-0.00013189-0.00058892i,0.00043797-0.00052738i,-3.2892e-05+0.00022987i,-0.00045196+0.0011689i,-0.00044914+0.001066i,2.0572e-06+0.00066453i,0.00055043+0.00020173i,-0.00017524-0.00029144i,-0.0011105-0.00064957i,-0.0011286-0.00072908i,-0.0012702-0.0001024i,-0.0013229-2.503e-06i,-0.00014557-0.00014456i,0.00046824+0.00023508i,-0.00045413-0.00024042i,-0.0012497-0.00095208i,-0.00044275-0.00096456i,0.00013085-0.00038827i,-0.00057777+0.00039377i,-0.0011815+0.00062173i,-0.00055544-3.3073e-05i,0.00022134-0.00049552i,0.00058747-0.00010482i
-0.0010443-0.00026972i,-0.00092901+0.00050646i,-0.0003638+0.0020357i,0.00099323+0.0025449i,0.0015694+0.0022984i,0.00093223+0.001149i,0.00031101+0.00042704i,-3.5348e-06+0.00030065i,-9.887e-05+0.0002071i,-0.00040882-0.00024178i,-0.00012165-0.00018448i,-6.5937e-05-0.00034959i,-0.00034918-0.00065474i,-0.00091828-0.00059246i,-0.001151-0.00065614i,-0.00047836-0.00015298i,-0.00042866+0.00073641i,-0.00045803+0.00093598i,0.00040022+0.00030565i,0.00037472+1.2246e-06i,-0.00015323+0.00047712i,-0.000327+0.00066492i,-0.00050566+0.00061647i
0.00043303-0.0022104i,0.00054723-0.0022548i,-0.00070465-0.00084299i,-0.0017106+0.0011208i,-0.0013101+0.001916i,-4.163e-05+0.0011989i,0.00082764+0.00055137i,0.00099191+0.00050875i,0.00041668+0.00030692i,-0.00049532+0.00039427i,-3.3588e-05+0.00027463i,8.1623e-05-0.00021742i,3.4574e-05-0.00075705i,0.00012256-0.0013916i,0.00021063-0.001081i,0.00031754-1.6041e-05i,0.00022857+0.00014942i,0.0003267+0.00053471i,-4.6431e-05+3.3488e-05i,-0.000525-0.00081562i,-0.00034423-0.00015984i,-0.00036653+0.00014771i,-0.00021028+0.00023162i
0.0007404+0.0020186i,0.0011072+0.0017978i,0.0023744+0.002023i,0.0020669+0.0023848i,0.00079607+0.0015385i,0.00042935+0.00066297i,0.00071565-6.1926e-05i,0.0004883-0.0007943i,-0.00024333-0.0014305i,3.8477e-05-0.0013661i,0.00049652-0.00080608i,-0.0003384-0.00049795i,-0.00083737+0.00015125i,-0.0010527+0.00051535i,-0.001403+0.00058068i,-0.0011053+0.0005285i,-0.00079389+0.0003208i,-0.0015631+0.00015921i,-0.00094869+7.2384e-05i,0.00041847+9.0149e-05i,0.00067659+9.1056e-05i,0.00049136+5.6008e-05i,-7.5837e-05-5.5282e-05i
0.0012221-0.0020848i,0.00061-0.00060505i,-0.00040573+0.00044837i,-0.00092816+0.0010036i,-0.00034629+0.0014017i,0.00042432+0.0020796i,0.00027065+0.0015346i,-0.00023717+0.00033536i,-0.00023184-0.00032147i,-0.00025145-0.00070962i,-0.00031276-0.0010024i,-0.00061885-0.0012581i,-0.00099082-0.00081601i,-0.00090217-2.7719e-05i,-0.00080642+0.00041693i,-0.00085545+0.00053192i,-0.00051941+0.00012016i,0.00029355+0.00035129i,0.00013224+0.00017887i,-0.00015546-0.0006314i,0.00021239-0.00054555i,-0.00015062-0.00032487i,-1.2504e-05-0.00029562i
0.0015809-0.0002762i,0.00077035-0.00091055i,0.0005518-0.0010512i,0.00065697-3.7687e-05i,0.0012568+0.00065274i,0.0016731+0.001075i,0.0017134+0.001909i,0.0013686+0.0015293i,0.0013986-0.00054461i,0.0011566-0.0015015i,0.00012297-0.0012012i,-0.0005421-0.0010506i,-0.00078622-0.00089466i,-9.0611e-05-0.0004345i,-0.00016489-3.1037e-05i,-0.00041836+0.00047009i,-0.00033104+0.00095652i,-0.0004054+0.00067858i,-0.00075206+0.00023059i,-0.0010848+0.0001899i,-0.00042826+1.0395e-05i,-1.2384e-05+0.00027993i,0.00075494+0.00049557i
