-7.4456e-06+0.00049666i,0.00045883+6.5533e-05i,0.00064047-0.00044965i,0.00023058-0.0013525i,-0.00050684-0.0012219i,-0.0013504+0.00032308i,-0.0012791+0.0021709i,-0.00061829+0.0022363i,0.0006647+0.0012099i,0.00083908+0.00057534i,0.00040391+4.5689e-05i,0.00057594-0.00078037i,0.00020064-0.0008451i,-0.00020156-0.00021524i,-0.00034592-8.0315e-06i,-0.00041659-0.00020144i,-8.7683e-05-0.00051988i,-0.00017285-0.0003594i,-0.00053518-0.00046194i,-0.00038708-0.0002841i,-2.8696e-05+0.00045824i,-0.00036178+0.00041344i,-0.00096059+0.00040701i
-0.0012899+0.0023614i,-0.0013878+0.0020884i,0.0003469+0.00056633i,0.00089423-0.00042405i,-0.00032942-0.0011174i,-0.0017496-0.00097819i,-0.0018436+0.00032703i,-0.00099449+0.0006455i,0.00012827+3.39e-06i,0.00041305-0.00019231i,-2.8815e-05+0.00017899i,0.00012901-0.00047394i,0.00071229-0.0007674i,0.00011804+0.00039034i,-0.0011242+0.000538i,-0.0013836-0.00074773i,-0.00043457-0.0010976i,0.00055509-0.0004886i,0.00034879-0.00042563i,-0.00013986-0.00024615i,-0.00030742+0.00077555i,-0.00023062+0.0010805i,8.7271e-05+0.00028416i
-0.0017099+0.0026374i,-0.00064676+0.0042795i,0.00027828+0.0047263i,0.0011103+0.0028531i,0.00078321+0.0013484i,-8.3422e-05+0.0004634i,-0.00056674-0.00035407i,-0.00076778+0.00018615i,-0.00058381+0.00059274i,0.00037112+8.7959e-05i,0.0012908-0.00028666i,0.00059007-0.00056856i,0.00050271-0.00033332i,0.00084747+3.3208e-05i,8.8265e-05-6.074e-05i,-0.00045169+0.00015175i,5.5431e-05+0.00083175i,0.00036512+0.00087363i,0.00022846+0.00072341i,0.00012155+0.00091651i,0.00034463+0.0013288i,0.00064727+0.0011495i,0.0003553+0.00073034i
-0.00084259+0.00049618i,-0.00089238+8.538e-05i,-0.00099795+0.00021861i,-0.0014188-0.00012778i,-0.0017733-0.00097516i,-0.0010376-0.00084835i,-0.00098247+5.9344e-05i,-0.0007069+2.8588e-05i,-8.6715e-06-0.00021339i,8.354e-05+0.00015523i,0.00011037+0.0002408i,0.00059438+4.6486e-05i,0.00080606+1.255e-05i,0.00074599+3.4394e-05i,0.00067471+0.00053461i,0.00047492+0.00030292i,0.00035064-0.00051728i,0.00045295-0.00068156i,0.00046345+6.5911e-06i,0.0009168+0.00020977i,0.0012384+0.00011841i,0.00078356+0.0002353i,6.083e-05+0.00010807i
-0.00019591-0.0012057i,-0.00071596-0.0004127i,-0.0011641+0.0013136i,-0.00023588+0.0022118i,0.00035255+0.00087642i,0.00047942-0.001544i,0.0004354-0.0014479i,-1.2068e-05+0.00026434i,-0.0006195+0.00025169i,-0.00049086+0.00034805i,-0.0002192+0.0010004i,0.00020125+0.00049389i,0.0002419-0.00031255i,0.00057621-0.00018626i,0.00080462+8.976e-05i,6.6267e-05-0.00037274i,-0.00056262-0.00084228i,-0.00019129-0.00081254i,0.00015603+6.6011e-05i,-0.00032125+0.00013991i,-0.00055314+0.00029709i,-0.00049989+0.00041394i,-2.0969e-08-0.00021453i
6.9624e-05+0.0017449i,0.00018316+0.0019648i,0.00013157+0.0025126i,-0.00059128+0.0028234i,-0.00078926+0.0021301i,-0.0011484+0.0016101i,-0.00075495+0.0012584i,0.00032204+0.00053145i,0.00038963-0.00016877i,0.00032842-0.00030236i,-0.00029919-0.00025349i,-0.00064021-0.00042441i,-0.00050764-0.0008108i,-0.0001444-0.0006459i,0.00092261+6.8994e-05i,0.0013363+0.0011831i,0.0009929+0.0014576i,0.00050573+0.00039141i,-0.00011388-0.00064155i,-0.00030561-0.00039198i,-2.0814e-05-0.00022678i,0.00037832-0.0001724i,0.00011095+0.00029875i
-1.0227e-05+0.00229i,0.00022837+0.0019483i,0.00010895-5.972e-06i,-0.00022285-0.0013231i,0.00048505-0.00037531i,0.00032207+0.00023494i,-0.00038863+0.00024419i,-3.2514e-05+0.00047048i,0.00025154-0.00020458i,-0.0003798-0.00085834i,-0.00075781-0.00078933i,-3.8386e-05-0.00095416i,0.00025683-0.0011626i,0.00042318+0.00021142i,0.00046194+0.00023378i,-3.1868e-05-0.00059975i,-3.1481e-05+0.00012747i,0.00014204-0.00013401i,-0.00021979-0.00058059i,-0.00028948-0.00050578i,0.00021697-0.00058092i,0.000123-0.0001647i,2.872e-05-0.00016762i
-0.001646+0.00037359i,-0.001088+0.00037689i,-0.00060428+0.00019559i,-0.00038948+8.0355e-05i,-0.00019534+0.00069881i,-0.00032575+0.00071165i,-0.00053902+0.00063673i,-0.00045983+0.00020421i,0.00019771-0.00081763i,0.00054845-0.00073488i,2.1852e-06-0.00021686i,-0.0005557-0.00014044i,-0.00056088-0.00040954i,0.00013623+5.4951e-06i,0.00028142+0.00046073i,-4.2098e-05+5.1916e-05i,-0.00067896+0.00053688i,-0.000393+0.00028923i,0.00026198-0.00057656i,0.00055188-0.00053839i,0.00034053-0.00044336i,-0.00014825-0.00067272i,-0.00026556-0.0008323i
-0.0009696-0.00015328i,-0.00088935-2.7557e-05i,-0.0012967+0.00052055i,-0.0014803+0.00096852i,-0.0013718+0.00044633i,-0.00098831-0.00040668i,-0.00074624+0.00024995i,-0.00023342+0.00042013i,-7.598e-05+0.00026148i,0.00021879-0.0001912i,0.00040025-0.00037466i,0.00056577-0.00053858i,0.00058002-0.00056775i,5.2033e-05+6.375e-05i,0.00021076-0.00019121i,0.00058601-0.00069388i,0.00051602-0.00037144i,-0.0003574+2.9085e-05i,-0.00089928-0.00028774i,0.00011501-0.00067513i,0.0015043-0.00067254i,0.001418-0.00045227i,0.00077311-0.00054912i
-0.00091601+0.00075222i,-0.00051733+0.0023665i,0.00066971+0.0021612i,0.00086499+0.00029959i,-1.1001e-05+0.00068845i,-0.0010534+0.001347i,-0.0010495+0.00057818i,-5.7667e-05+0.00094573i,0.00014055+0.0014879i,-0.0004233+0.00079499i,-0.00044098-8.6871e-05i,-0.00044958-0.00075315i,-0.00096707-0.00057495i,-0.0010885+1.2573e-05i,-0.00069136+0.00051475i,-0.00066482+0.00068078i,-0.00060253+0.00061874i,-0.00035833+8.3773e-05i,-0.00082076+0.00031183i,-0.0005382+0.00056718i,-0.0010675+0.00079125i,-0.0014842+0.00082485i,-0.00018818-6.105e-05i
-0.00019973-0.00061423i,-0.0005128+0.00019484i,-0.00071151-0.00063662i,-0.00090265-0.0012146i,-0.0011292+0.00038527i,-0.00033585+0.00089938i,0.00020097+0.00096088i,-0.00095348+0.0011652i,-0.0012051+0.0002126i,-0.00041755-0.00050565i,-0.00016776-0.00053722i,0.00017545+0.0001286i,0.0004572+0.00061197i,0.00027971+0.00043843i,0.0005485+0.0002132i,0.00066763-0.00028199i,3.2195e-05+6.2577e-06i,-0.00054815+0.00059914i,-0.00067007-0.00019725i,-0.00028258-0.0012462i,-0.00054753-0.00051684i,-0.0010096+0.00069509i,-0.00064566+0.00064821i
0.00024022+0.0019407i,-0.00014957+0.0026935i,-2.7812e-05+0.002156i,-2.6335e-05+0.00089347i,-0.00020487+0.00047602i,-0.00015208-0.00019385i,-0.00023929-0.00047103i,-0.00041325+0.00018488i,-2.3461e-05+0.00035237i,0.00020729+0.00033274i,0.00013208+0.00041028i,-0.00023883+0.00051647i,-0.00011599+0.00027513i,0.00016096+0.00045887i,-0.00043425+0.00039402i,-0.00070484-0.00012057i,-0.00014367-0.00061826i,-2.8884e-05-0.00027641i,-0.00093053-4.4682e-05i,-0.0011041+0.00046392i,-0.00081474+0.00076921i,-4.1262e-05+0.00012178i,0.0014767-0.00043315i
-0.0013524+0.00024494i,-0.00095143-0.00056338i,-0.00082746+3.1253e-05i,-0.00062592+0.00041538i,-0.00041152+0.00035553i,-0.00026299+0.0010944i,-0.0005474+0.0016314i,-0.0010231+0.00084716i,-0.00055841-0.00013262i,-0.00026529+6.6537e-05i,-0.0006276+0.00082823i,-0.00081177+0.0003635i,-0.00055702-0.0009077i,-0.00029342-0.0011857i,-0.0001103-0.00057467i,-0.00013028-0.00030487i,0.00042915-0.00040201i,0.0010789+0.00041485i,0.00029042+0.00077997i,-0.00080812+0.00041934i,-0.0006454-2.8248e-05i,-0.00044473-0.00027972i,-0.0012321-0.00048472i
-0.00028027+1.4108e-05i,1.7437e-06+0.0014572i,-0.00051843+0.0011245i,-0.00078309+0.00096861i,-0.00056733+0.0016228i,-0.00072955+0.0013938i,-0.0015905+0.00061053i,-0.001086+6.8743e-05i,-0.00023525+0.00010072i,-0.00050626+0.00021138i,-0.0002921+0.00023443i,0.00011483-9.6016e-06i,0.0005516-0.00043193i,0.00044292-0.00023258i,0.00015278-6.4855e-05i,0.00036496-0.00062407i,0.00039642-0.000627i,-2.0055e-05-0.00060854i,-0.00041718-0.00070827i,-0.00057692-0.00032135i,-0.00040531-0.00029052i,-0.00019889+0.00022879i,-0.00029475+0.00016385i
-0.00097341+0.0011196i,-0.00013631+0.0016218i,0.0014864+0.0018839i,0.001744+0.0014381i,0.00099965-0.00032997i,0.00015438-0.0017348i,-0.00069023-0.00068731i,-0.00057606-0.00019349i,0.00019669-0.00056636i,0.00043684-0.0011511i,1.7593e-05-0.0012947i,-0.00053614-0.00019392i,-0.0010367-0.00046435i,-0.0006544-0.0005755i,-0.00034605+0.00027871i,-0.00077701-0.00013943i,-6.2826e-05-0.00052569i,0.00063671+6.2295e-05i,-0.00015574+0.00053219i,-0.00054422+0.00067319i,-6.5584e-05-8.5269e-05i,0.00055113-0.001098i,0.00044354-0.0013981i
-0.0022138-0.0014139i,-0.0019273-0.00096398i,-0.0022157+0.00053251i,-0.0022699+0.0011244i,-0.00099543+0.0014441i,0.0011853+0.0014336i,0.0010909+0.00088244i,0.00026634+0.00083149i,-0.00018523+0.0006585i,-0.00051853+0.00050246i,0.0003444+0.0011728i,0.000933+0.00060057i,0.001408-0.00097285i,0.0013901-0.00090845i,0.00098172-0.0003628i,0.00060426-0.00069545i,0.00072079-0.00072911i,0.00041322-0.00049209i,-8.2348e-05-0.00024682i,-0.00029633-0.00017028i,-0.00057574+5.6619e-05i,-0.0004575+0.00025953i,-0.00071131+0.00042537i
-0.001049+0.00043066i,0.00024822+0.00041985i,0.00070052+0.0010376i,-0.00010686+0.0010302i,-0.00085152+0.00023586i,-0.00090234-8.454e-05i,-0.0014018+0.00023585i,-0.0017367+0.0007624i,-0.0010709+0.00012857i,-0.00010234-0.00056873i,0.00048078-0.00028043i,0.00090455-0.00057069i,0.00043141-0.00095527i,0.00048455-0.00043331i,0.0011566-8.6387e-05i,0.00080425+8.796e-05i,0.00027326+0.00012948i,-0.00067658-3.7662e-05i,-0.0013114-0.00021968i,-0.00092954-0.00094045i,-0.00065871-0.0010753i,0.000189-0.00032686i,0.00021354+8.1808e-05i
0.0014758+0.0019026i,0.0010601+0.0022432i,5.2682e-05+0.0012854i,-0.0002035+3.2137e-05i,0.0001511+0.0001187i,0.0002243-0.00036249i,0.00017296-0.00060183i,0.00032435+0.00046679i,-1.2615e-05+0.0002553i,-0.00055152-0.00040732i,0.00014485-0.00076087i,0.00072336-0.00040696i,-6.2507e-06+0.00034948i,-0.00054879+0.00072629i,-0.00072706+0.0010143i,-0.00024722+0.00089204i,0.0005705+0.00046237i,0.0014475-9.8404e-05i,0.0011719-0.00022986i,0.0005241-0.00020437i,0.00062065-0.00025293i,0.00026881-0.00033319i,6.4451e-05+0.00013995i
-0.00010354+9.5574e-05i,-0.00091378+0.00049499i,-0.0013966+0.00033892i,-0.00068695-3.5141e-05i,-0.00051353-0.0001385i,-0.0011073-3.1954e-05i,-0.0013649-2.1933e-05i,-0.00074111-4.838e-05i,-2.1115e-05-0.00015394i,0.00050026-0.00051711i,-4.9234e-05-0.00043545i,-0.00030547-0.00043288i,5.7416e-05-0.00063386i,1.1445e-05-0.00034746i,-5.0315e-05-0.00018792i,-0.00026108-0.00091109i,-1.6706e-05-0.001049i,-0.00026203-0.00071886i,-0.00059235-0.00070016i,-0.00010986-0.00078054i,0.00034515-0.00062289i,0.00075976+9.2658e-05i,0.00026718+0.00036583i
-0.00018991+0.00079871i,0.0003429+0.0012611i,0.00108+0.0007658i,-0.00017874-0.00078805i,-0.0019711-0.0008538i,-0.0023423-0.00035573i,-0.0019108-5.723e-06i,-0.00091077+0.00067847i,0.00017491+0.00082432i,0.00018414+0.00051242i,-0.00020002-0.00046211i,-0.00022218-0.00081139i,-0.00015464-0.00023164i,-6.5854e-05+0.00056989i,9.3711e-05+0.0013586i,7.7327e-05+0.0011698i,-1.3341e-05+0.00036276i,0.00022633+0.00024101i,0.00032456-7.7144e-05i,-0.00055572-0.00067152i,-0.0008296-0.00064237i,-0.00055358-0.00011943i,-0.00061671-0.0004305i
0.0016812-0.00077566i,0.00054481-0.00081919i,0.00096455-0.0011591i,0.00053264-0.00040597i,-0.00099239+0.00049975i,-0.0015273+0.00080771i,-0.00083024+0.00092265i,-7.622e-05+0.00067313i,-8.2961e-05+5.329e-05i,-0.0004446-0.00024629i,-0.00058159-0.00059949i,-0.00055139-0.00038563i,-4.0318e-05+0.00058278i,5.8422e-05+0.00049832i,-0.00030589+0.00011997i,-0.00017318+0.00049465i,-0.00064154+0.00086713i,-0.0011153+0.00021665i,0.00035463-0.00082364i,0.0017213-0.0010882i,0.0014032+4.9778e-05i,0.00074889+0.00054845i,-0.00026355-0.00014033i
0.0010518+0.0017969i,0.0011214+0.0011417i,0.0026456+0.0011182i,0.0024199+0.00040291i,0.00051778+4.1318e-06i,-0.0010042+2.6489e-05i,-0.001634-0.00043877i,-0.0010318-9.709e-05i,-0.00043754+0.00024206i,-0.00032058-0.00065946i,-0.00020689-0.00092698i,-0.00031542-0.000723i,-0.00083613-0.00052466i,-0.0013822+8.4704e-05i,-0.0010916-0.00015146i,0.00029637-0.00018975i,0.0016809+5.6525e-05i,0.0014985-0.00045926i,0.00049783-0.00083888i,0.00023852-0.00061148i,0.00067196-0.00017994i,0.00064436+0.00063149i,0.00045613+0.00035751i
0.0011649-0.00066016i,-0.00016884-0.0003274i,-0.0015574-0.0012585i,-0.00099007-0.0017418i,-0.00042587-0.0013229i,-0.00098262-0.00037221i,-0.00099423+0.00030712i,-0.00037934+0.00021614i,8.5647e-05-0.00027235i,0.00043279+0.00043717i,0.00013155+0.0010659i,0.00034367+0.00082878i,0.0010262+3.8721e-06i,0.0010855-0.0008797i,0.0010181-0.0005924i,0.0012053-0.00017388i,0.00060269-0.00028712i,0.00040421-0.00014723i,0.00028407-5.1179e-05i,4.478e-05+0.00015976i,0.0002664+0.00047842i,-0.00031569+0.00071961i,-0.00075598+0.00033275i
3.1303e-06+0.0036808i,0.0010121+0.0039851i,0.0010335+0.0034069i,0.00027918+0.0020603i,-0.00050483+0.0012601i,-0.0012649+0.00038173i,-0.0011709-0.00018855i,-0.00063677+0.00033522i,-0.00010705+0.00090785i,-6.1409e-05+0.00098427i,-0.00012752+0.00076231i,-9.1098e-05+8.9276e-05i,-0.00022573-0.00072241i,-0.00021738-0.00057327i,-0.00015888-4.114e-05i,-0.00044373-1.4249e-05i,-0.0005438+0.000196i,-0.0008575+0.00033525i,-0.0017665+0.00031242i,-0.0011372-2.7381e-05i,-0.00011275-0.00038851i,-0.00019877-0.00034501i,-0.0001049-0.00011338i
-0.0014464+0.0015194i,-0.0010435+0.0015161i,-6.8953e-05+0.00074573i,-3.9051e-05-4.5407e-05i,-0.00067789-7.176e-05i,-0.0013337-0.00095221i,-0.0017125-0.0010746i,-0.0012258-0.00020651i,-0.0005468-0.00017353i,0.00034065-0.00082122i,0.00066018-0.00075102i,-0.00010089-0.00013946i,-0.0002725-6.9435e-05i,0.00030455-0.00072839i,0.00060654-0.00061248i,0.00038053-9.4378e-05i,0.00039715+0.00015637i,0.00053216+0.00019017i,0.00042348-0.00037461i,0.00028359-0.00032438i,0.00020238+1.9283e-05i,3.0558e-05-0.00041858i,-9.2479e-05-0.0008335i
-0.00021559-0.0011394i,0.00054546-0.00069664i,6.7715e-05-0.00016115i,0.00073828-0.00038964i,0.0015387+0.00012697i,0.00035076+1.9075e-05i,-0.00068387+0.00015584i,-0.00069395+0.00057133i,-5.8575e-05+0.00061271i,-5.5442e-05-0.0003293i,-0.00087605-0.0003705i,-0.0012555+0.00012435i,-0.0010233-0.00019423i,-0.00013142-0.0006923i,0.00034482-0.0010974i,-0.00021018-0.00020165i,1.7594e-05+0.00066746i,0.00085101-0.00020225i,0.0010097-0.00011774i,0.00077819+0.00031524i,0.0010821+0.00027804i,0.00075224+0.00096662i,0.00011342+0.0011511i
4.8336e-05-0.001608i,-0.00093031-0.0021442i,-0.00095225-0.0013513i,-0.000953-0.00047391i,-0.00058383-0.00089808i,-0.0013634-0.00061783i,-0.0028484-4.1337e-05i,-0.0019427+0.00033432i,-0.00065703+6.0006e-05i,-0.00056578-0.00011558i,-0.00044562-0.00013537i,-7.586e-05+0.00026408i,-0.00065867+0.00026362i,-0.0013612-0.00045481i,-0.00069924-0.00062152i,0.00048019-2.7146e-05i,0.0011151+0.00010312i,0.00055735-4.7708e-05i,0.00062495+0.00011436i,0.00050943+0.00031231i,0.00020731+0.00023751i,-7.6617e-05+5.7905e-05i,0.00011669-7.3917e-05i
-0.0010622+0.0016708i,-5.0054e-05+0.0038306i,0.00089821+0.0040258i,0.0013613+0.0027007i,0.0014958+0.0011574i,0.00057551+0.00019089i,-0.00093319+0.00042118i,-0.0015281+0.00042301i,-0.00060348+0.00043043i,9.2945e-06+0.00079456i,-0.0002182+0.00035814i,0.00021336-0.00081033i,0.00043847-0.0010412i,0.00020388-0.0011591i,-3.163e-05-0.0010045i,-9.4445e-05-0.0007109i,2.0924e-05-0.00024188i,4.9678e-05+0.00016536i,5.9995e-05+0.00032716i,0.00027113+0.00034732i,0.00095366+0.00048295i,0.0011196+0.00098447i,0.00036024+0.0008748i
0.00010653-0.00060104i,-0.00061043-0.00014941i,-0.00095564-0.0005738i,-0.00055923-0.0011811i,0.00017443-4.6451e-05i,-0.00020301+6.6886e-05i,-0.00088626-0.00032915i,-0.0008877+0.00061927i,-0.00074132+0.00056656i,-0.0013562-0.00031484i,-0.0013169-0.00016289i,-0.00037756+0.00074073i,-0.00011488+0.00044626i,0.00023818-0.00034638i,0.0002634-3.8749e-05i,-0.00048797-0.00010177i,-0.00032568-0.00074618i,-0.00018422-0.00014016i,-0.00077618+0.00032367i,-0.00045244+0.00016305i,-0.00037259-0.00023325i,-0.00079807-0.00048858i,-0.00066783+0.00017745i
-0.00015986+0.0013364i,-0.0017366+0.0025029i,-0.001978+0.0023456i,-0.002101+0.001809i,-0.0024322+0.0011578i,-0.0013722+0.0013445i,-2.6715e-05+0.0011505i,0.00025799+0.00090937i,0.00069121+0.00094428i,0.00045583+0.00043251i,-0.00016043+0.00031388i,0.00046666+0.0010389i,0.0014803+0.0014898i,0.0014689+0.0015932i,0.00084285+0.0014022i,-2.7228e-05+0.00095177i,-0.00041574+0.00019493i,-0.00049146+0.00027581i,-0.00010341+1.409e-05i,-0.00031518+8.3016e-06i,-0.0006923+0.00013029i,-5.6266e-05-0.00036379i,-7.0222e-05-0.0011503i
-0.0031176+0.0015327i,-0.0019086+0.0018838i,0.00013343+0.0020211i,0.0014899+0.0012645i,0.0012117+0.00080546i,-6.8621e-05+0.00049686i,-0.00085146+4.8203e-05i,-0.00024927-0.00020035i,4.4924e-05-0.00013354i,1.0995e-05-6.6109e-05i,0.00011575-0.00015025i,-0.00038029-0.000184i,-2.7097e-05-0.00018127i,0.00096916-0.00023311i,0.0013633-0.00035409i,0.0003368-0.00035649i,-0.00028262-0.00080802i,7.4295e-05-0.00090583i,0.00031043-0.00065364i,-1.4206e-05-0.00018683i,0.00047558-0.00027963i,0.00027219-0.00058758i,-0.00043561-0.00039372i
-0.0023581-0.00021142i,-0.0016777-0.00065256i,-0.0014375+0.00058353i,-0.0012554+0.0014191i,-0.00014109+0.0007676i,0.00028973+0.00046273i,-0.00025033+0.00079124i,-0.00062709+0.00052987i,-0.00032867+0.00034361i,-9.5072e-05+0.00042362i,-0.00038999-5.8529e-05i,0.00014658-0.00014986i,9.5413e-05-0.00070419i,0.00092807-0.00094187i,0.0010604+0.00012687i,-0.00031632+0.00025643i,-0.00024781-0.0007664i,0.00018458-0.0011463i,0.0005112+6.8216e-05i,0.00065083+0.00014083i,0.0006749-0.0007153i,3.365e-05-0.00094206i,-0.00034693-0.00029648i
0.0015569-0.0012882i,-0.00010021-0.0014336i,-0.0013069-0.0010103i,-0.0013354+0.00015463i,-0.0015557+0.0016666i,-0.0019628+0.0017586i,-0.00090132+0.00093426i,8.5575e-05+0.00043659i,0.00057817-0.00013165i,0.000762-0.00055303i,8.8423e-05-0.00034284i,-0.0012275-0.00031184i,-0.0013604-0.00048087i,-3.4528e-06+7.1474e-05i,0.00069739+0.00084959i,-0.00018568+0.0012038i,-0.00063655+0.00067601i,-0.00027333+0.00071984i,0.00015854+0.00012976i,0.00070885-0.00057173i,0.0003084-0.00067387i,-0.00011953-0.00076475i,-4.0566e-05-0.00041589i
-0.0011861+0.0012328i,-0.00066803+0.0023922i,0.00049724+0.001489i,0.00094986+1.6511e-05i,0.0001139-0.00062489i,-0.00063139-0.0010708i,-0.0015447-0.00073838i,-0.0020239+0.00036525i,-0.0011901+0.00022775i,-0.00052022-3.6377e-05i,-0.0007479+0.00075075i,-0.0005735+0.0012533i,-0.00039229+0.00027402i,-6.3817e-05+0.00012846i,0.00063397+0.00040079i,0.00030236+0.00024502i,-0.0005152+3.9979e-05i,-0.00028032-5.8736e-06i,0.00085999+0.00015006i,0.00078633+0.00061219i,-0.00010446+0.00071855i,7.7771e-05-0.00020371i,0.001028-0.00011371i
-0.00057146+0.0027061i,0.00087159+0.0035427i,0.0011138+0.0035514i,0.00061715+0.0020244i,0.00068528+0.00023386i,9.6426e-05-0.00073482i,-0.00037395-0.00068063i,-0.00088652-0.00030393i,-0.0010762-0.00035452i,-0.00057305-0.00039373i,0.00030363-0.00053305i,0.00076379-0.00012222i,0.0007247-0.00011342i,0.00039787-0.00080608i,-7.5191e-05-0.0010685i,-0.00020914-0.00056101i,0.00012114-0.00023887i,0.00063225-0.00060759i,0.00083829-0.00070193i,0.00031934-0.00056716i,9.9109e-05-0.00016468i,0.00018894+0.00031607i,-0.00036473+0.00014446i
-0.00055882+0.00054385i,-0.00079648+0.00053437i,-0.00064824+9.1332e-05i,-0.00066759-0.00015319i,-0.0012858+1.1833e-05i,-0.0019969-0.00040161i,-0.0010532-0.00036188i,0.00032294+0.00028967i,0.00052017-8.7726e-05i,-8.712e-05-0.00076398i,-0.00043942-0.00017109i,0.0002169+5.9045e-05i,0.0013675+9.9668e-05i,0.00080816+0.0001479i,0.00010182-0.0002054i,0.00010924+0.00014751i,-0.0006578+0.00066706i,-0.00078199+0.0011474i,-5.1827e-05+0.0011543i,0.0007606+0.00072517i,0.00061388+0.00025892i,0.00019051-0.00018226i,5.7701e-06-0.00058632i
-0.00024345+0.0025971i,0.00040185+0.0034144i,0.0008542+0.0033906i,0.001403+0.0019797i,0.00078306+0.0013467i,0.00017473+0.0011837i,-0.00015903+0.00047834i,-0.00058094-0.0008032i,-0.00039278-0.0011024i,-0.00041781-0.00093379i,-0.00048345-0.00076267i,-0.00067194-0.00063064i,0.00010167-0.00048875i,-0.00015641-0.00013974i,-0.00058294-0.0001202i,-0.00035969-4.9594e-05i,-0.00050899-0.00065085i,-0.00043224-0.00083003i,-0.00061305+0.00035748i,-0.00021783+0.00094974i,0.00020318+0.00044278i,-0.00029749+0.00024057i,0.00017708+0.00015303i
-0.00048464-0.001454i,-0.0010267-0.0022989i,-0.0015868-0.0023642i,-0.0018214-0.0015441i,-0.0020106-0.00057358i,-0.0021895+0.00044569i,-0.0019093+0.00077075i,-0.0011538+0.00088675i,-0.0004697+0.00025693i,5.782e-05-0.00087927i,0.00075938-0.00076429i,0.00079631+6.2647e-05i,0.00063225+1.8236e-05i,0.00051581+2.9343e-05i,-9.1559e-05+0.00041269i,-0.00021398+0.00045063i,-0.00011083-0.00020773i,0.00020057-0.00075033i,0.00049266-0.00051544i,0.00017124-0.00011866i,4.1076e-06-0.00035039i,0.00034092-0.00023836i,0.00042007-0.00017659i
7.5236e-06+0.00049872i,-4.6396e-05+0.0019426i,0.00027541+0.0019687i,0.00043882+0.0020402i,-0.00013746+0.0011002i,-0.000393-0.00029751i,-0.00090309-0.00066362i,-0.0016236-0.00040369i,-0.00089154+0.00015624i,-0.00021409+0.00071097i,-0.00039022+0.00063555i,-0.00052288+0.00015189i,-0.00077233-0.00038834i,-0.00026493-0.00036761i,0.00062087+0.00027547i,0.00069052+0.00054221i,0.00033974+0.00038276i,-4.4501e-05+0.00027852i,-0.00020295-9.413e-05i,0.00033819-0.00073802i,0.00031103-0.00013186i,-0.00049263+0.00088143i,-0.00067932+0.00061534i
0.00035875+0.00032252i,-0.00070657+0.00016872i,-0.0013061-0.00029177i,-0.001327+0.00024304i,-0.0010861+0.00050771i,-0.0016521+0.00094615i,-0.0014034+0.0009513i,0.0002261+0.00044094i,0.0001039+3.8293e-05i,-0.00065324+3.5897e-05i,-0.00099794-1.4514e-05i,-0.00010094+0.00018932i,0.0012391+0.0008295i,0.00099675+0.00036197i,0.00090431+0.00014582i,0.0010574+0.00042386i,0.00066564+0.00013448i,0.00020131-0.00065596i,-0.00057091-0.00016038i,-0.00024565+0.00047865i,0.00023389-0.00019457i,-0.00017932-0.0009215i,-0.00012341-0.00064363i
-0.00013305-0.0019097i,-0.0011184-0.00038511i,-0.00045423-3.8187e-05i,-0.00025176-0.0011373i,-0.0010106-0.0013779i,-0.00093374-0.00054705i,-0.00046698+0.00032353i,-9.7622e-05+0.0004653i,2.9137e-05+0.00026597i,-0.00058588-3.1083e-05i,-0.00061761+0.00034842i,9.7192e-05+0.00088657i,-0.00030073+0.0011507i,-0.00022681+0.0010542i,0.00098355+0.0010222i,0.0012721+0.0010582i,0.0010451+0.00084617i,0.00045064-0.00037607i,0.00019435-0.00060169i,0.00066365-0.00014175i,0.0009637+3.6882e-05i,0.00055586-0.00015282i,0.00015748-0.0002916i
1.5586e-06-0.0014064i,-0.00067602-0.000477i,-0.00095496-0.00010666i,-0.0010254-2.046e-05i,-0.0011186+0.00059192i,-0.00086046+0.00067192i,-0.00083996+9.5957e-06i,-0.00047909+0.00015122i,-0.00029982+0.00020588i,1.8761e-05-0.00044427i,0.00019682+0.00030089i,1.2255e-05+0.0016002i,0.00031001+0.0017133i,0.00026536+0.0006399i,-8.6259e-05-0.0003964i,-0.00027565-0.0010259i,-1.8259e-05-0.001102i,0.00028843-6.8551e-05i,0.00019907+0.0006125i,0.00052284+0.00030865i,0.00022938+9.6101e-06i,-6.0536e-05-0.0003268i,0.00041919+0.00033903i
2.3606e-05+0.0010961i,-0.0011813+0.0014431i,-0.0020299+0.00071802i,-0.0011283+0.00035101i,-0.00080325+0.00090688i,-0.00047867+0.00098069i,0.00029169-0.00012588i,0.0012198-0.00020911i,0.0014296-0.00021238i,-3.5346e-05-0.00029872i,-0.00096659+9.0643e-05i,4.7254e-06-0.00024725i,0.00086462-0.00018373i,0.00098476+0.00023751i,0.00093226+0.00027619i,0.00035633+0.00041219i,0.0004901+1.2214e-05i,0.0008959-0.00075771i,0.00068582-0.00072758i,-0.00010088-0.00034621i,-0.00040149+0.00010975i,-0.00037469-7.9194e-05i,-0.00051003-0.00035965i
