0.00063045-7.0004e-05i,0.00099011-4.2222e-05i,0.00046223-0.0010401i,-0.00061818-0.0016269i,-0.00149-5.1328e-05i,-0.0014921+0.0022675i,-0.00040506+0.0037837i,0.0006999+0.0031733i,0.0017928+0.0013175i,0.0022166-0.00011581i,0.0014417-0.00098106i,0.00059553-0.001114i,0.00050404-6.5077e-05i,0.00033342+0.0010299i,-4.311e-05+0.00095268i,0.00027433+0.00089363i,2.464e-05+0.00055938i,-0.00013481+0.00040987i,-0.00046425+0.00071912i,-0.0010115+0.00017414i,-0.0010628-0.00053331i,-0.00030879-0.00018623i,0.00048437+0.0002581i
0.00010299+0.0014198i,9.7387e-05+0.0031696i,0.00015631+0.0039589i,0.00019303+0.0029774i,8.7167e-05+0.0025578i,-0.00042063+0.0018775i,-0.0012254+0.0012832i,-0.0015903+0.0013473i,-8.9569e-06+0.00099865i,0.001104+0.0004184i,0.00091353-0.00061667i,0.00093992-0.0014295i,0.00079309-0.001702i,0.00039778-0.0017071i,0.00086808-0.001284i,0.00093629-0.00066303i,0.00023698-0.00052014i,-0.00040401-0.00031002i,-0.0010737-0.00027588i,-0.0010957-0.00035472i,-0.00040141-0.00025702i,-0.00063431-0.00057905i,-0.0013267-0.0012891i
0.00041959-0.0013338i,-3.4314e-05-0.0012504i,-0.00027382-0.0019987i,-0.00058169-0.0017688i,-0.0020427-0.0011576i,-0.0024193-0.00075671i,-0.0019146+4.4068e-05i,-0.0015524+0.0010417i,-0.00046186+0.00089368i,0.00047005-0.000248i,0.0010129+4.4005e-05i,0.0015851+0.00037603i,0.0017854-0.00024544i,0.0011542-0.00055969i,0.00053686-0.0003315i,0.0007098+9.8919e-05i,0.00054727-0.00011245i,0.000145-0.00097461i,-0.0004526-0.00080061i,-0.00067469-7.8438e-05i,-0.00057546-0.000294i,0.0003329-0.00037147i,0.00032429-0.00035639i
-0.00043514+0.0023558i,0.0018438+0.0019843i,0.0037399+0.00075674i,0.0027522+3.5173e-05i,0.0011139-0.00016747i,-0.00018947+0.00022417i,-0.0011864+0.00093266i,-0.0012482+0.0015276i,-0.00076537+0.0013621i,-0.00028744-4.1457e-05i,0.00072739-0.00037972i,0.0017297+8.1157e-05i,0.0021645+0.00037643i,0.0014193+0.00071438i,0.00031659+0.00022825i,0.00017185-0.00016953i,0.0005456+0.0001651i,-6.2159e-05-3.2764e-05i,-0.00039083-0.00039091i,0.00066281+0.00047036i,0.00078335+0.00065272i,0.00010846+0.00011295i,7.6281e-05+0.00040258i
-0.0022415+0.0010047i,-0.0017134+0.0019614i,-0.0002003+0.0016008i,0.0005468+0.0012876i,-0.00029776+0.00076486i,-0.00053232+0.00019176i,-0.00093757-0.0003733i,-0.0012337-7.7056e-05i,-0.00079339+0.00055122i,-0.00023397-0.00015803i,0.00094348-0.0006265i,0.001052-0.00045592i,0.00010655-0.00039326i,0.0005283+0.00038462i,0.0013225+0.00054983i,0.00033605+0.00023123i,-0.00083453-5.7808e-05i,-0.00076268-0.00045079i,-0.00079867+0.00011133i,-0.00089162-0.00010766i,-0.00043071-0.00052688i,-0.00040692-0.00030754i,-0.00076941+0.00032785i
-3.6092e-05-0.0020892i,0.00031052-0.001878i,0.0004992-0.0016607i,-0.00050791-0.00052121i,-0.001567+0.00080537i,-0.0019521+0.0010655i,-0.002145+0.00034138i,-0.0016851+0.00078416i,-0.0011727+1.4465e-05i,-0.00083196-0.00068537i,-0.00073283-0.00020676i,-0.0010246-0.00047754i,-0.0014134-0.00010057i,-0.0018826+0.00036069i,-0.0011399+0.0001757i,-0.00019622+0.00033499i,-0.0003035+0.00035389i,-0.00065904-0.00041419i,-0.00070827-0.00064757i,-7.3399e-05-0.00027366i,9.2554e-05-0.00040372i,-6.1742e-05+7.2689e-05i,0.00014042+0.00075227i
-0.0013052+0.0012353i,-0.00084197+0.0024642i,0.00018493+0.0029937i,0.00067947+0.0025417i,-0.00068832+0.0014325i,-0.0017965+0.0013728i,-0.001877+0.0014406i,-0.0017298+0.0014788i,-0.0008956+0.0010659i,0.00022614+0.00056738i,0.00032233+0.00023881i,-0.00027942-0.00031083i,-0.00024174-0.00062206i,-0.0003498-0.00028904i,-0.00040651-0.00042403i,-0.00030111-0.00044499i,-0.00015107-0.00020405i,-0.00015112+4.0495e-05i,-0.00049471+0.00045444i,-0.0005507-0.00010517i,-0.00017465-0.00049262i,-0.00030322+0.00013755i,-0.00019107+0.00030371i
0.00084993-0.00031464i,-1.2106e-05-0.00032577i,-0.00011859-0.00096638i,-0.00021935-0.00083607i,-0.00028678-0.0010183i,-0.0010995-0.00025128i,-0.0026961+0.00066686i,-0.0026404+0.00068778i,-0.0013059+0.00099951i,-0.00081456+0.0013594i,0.00048059+0.00049888i,0.0022546+0.0003803i,0.0031619-2.1231e-05i,0.0024044-0.00088302i,0.0012027-0.00094171i,0.0013535-0.00070674i,0.0017023-0.00050174i,0.00061686-0.00035523i,-0.00052741-0.0004512i,-0.00053016-9.8041e-05i,8.8649e-05+0.00070123i,-0.00028416+0.00095569i,-0.00093412+0.00018523i
0.00064774-6.6742e-05i,0.00089287-0.00023963i,0.0010045-0.00127i,0.00056297-0.00019311i,0.00024913+0.0015844i,-0.00049907+0.0021319i,-0.0009689+0.0019331i,0.00053108+0.0019119i,0.0019187+0.0016472i,0.0021968+0.0010608i,0.0014549+0.0011758i,0.0013758+0.001529i,0.001384+0.0018287i,0.00042463+0.0018262i,0.00038729+0.0015647i,0.00042459+0.0011644i,0.00030723+0.00093103i,6.0594e-05+0.00025689i,-1.7138e-05-0.00047441i,-0.00019853-0.00011546i,-0.00070838+0.00023391i,-0.00077831-0.00053212i,-0.00032141-0.00090352i
9.5209e-05+0.00079682i,0.00052685+0.0023315i,0.001052+0.0025708i,0.0014733+0.0020219i,0.00013435+0.0010414i,-0.0025575+6.7417e-05i,-0.003313+0.00030481i,-0.0014893+0.00043451i,-0.00044216-0.00038495i,-6.2549e-05-0.00021163i,0.00015154+0.00060118i,-0.00010054+0.00063181i,0.00010952+0.00079269i,0.00045719+0.0013485i,0.00054961+0.0014658i,0.00068274+0.00091288i,0.00010947+0.0001962i,0.00012295-0.00074878i,9.1608e-05-0.00060533i,-0.00032386+0.00012759i,-7.7945e-05-5.0122e-05i,0.00013214-0.00065766i,0.00034513-0.0010285i
-0.00029643-0.0010282i,0.00039048-0.00097577i,0.00010769-0.001925i,-0.00060218-0.0022774i,0.00024502-0.00086033i,0.00026621-0.00037157i,-0.0015-0.00022905i,-0.002221+4.1496e-05i,-0.0010701-0.00041867i,0.00010141-8.4485e-05i,-0.00021149-1.6463e-05i,-0.0010694-0.00094905i,-0.0010671-0.0016965i,-0.00017066-0.0011868i,0.00053689+0.00010853i,1.3269e-05+0.00081475i,-0.00070227+0.00053246i,-0.00075612-9.2198e-06i,7.6068e-05-0.0004464i,0.00098664-0.00019112i,0.00094852+0.00037739i,0.00055265-0.00019761i,0.00029977-0.0006829i
-0.0012547-0.00019552i,-0.0016548+0.0017844i,-0.0025453+0.0019001i,-0.001533+0.001629i,-0.001955+0.002218i,-0.0031195+0.0018585i,-0.0028977+0.0012833i,-0.0021739+0.00050807i,-0.0017063-0.00088337i,-0.0014414-0.00069778i,-0.00027897-0.00015315i,0.00094144-0.00075887i,0.0010241-0.0018529i,0.00097853-0.0015322i,0.0014443-0.00088377i,0.0014426-0.00089322i,0.00056676-0.00092462i,6.9993e-05-0.00035015i,0.00016094+0.0008293i,0.00022702+0.00042071i,0.00058776-0.0005589i,0.00073358-0.00039278i,0.00074458-0.00011055i
0.0009304-0.00019749i,0.00067533+0.0010567i,-0.00044766+0.00082707i,-0.000826+0.00029953i,-0.00076676+7.0645e-06i,-0.00095705+0.00077829i,-0.0014603+0.0015935i,-0.001744+0.0021836i,-0.0011159+0.0018561i,0.00029738+0.0013098i,0.0013556+0.0013346i,0.0017251+0.0012161i,0.0018881+0.00016447i,0.0014166-0.00084825i,0.00047226-8.5065e-05i,0.00026824+0.00045351i,0.00099394+0.00041226i,0.0010253+8.8601e-05i,-0.00013551-8.5157e-05i,-0.00055026-0.000307i,1.1704e-06-0.0011841i,0.00043159-0.00065192i,0.00061308+9.2058e-05i
-0.0005803-0.00090376i,-0.0013269-0.00021719i,-0.0011659-0.00089175i,-0.0011728-0.00070551i,-0.0013919+0.00054959i,-0.0014809+0.00070763i,-0.0011551+0.001283i,-0.00060232+0.0027455i,0.00044901+0.0025079i,0.0011437+0.0016569i,0.0011967+0.0016987i,0.0014264+0.0021284i,0.0018259+0.0022718i,0.0012078+0.0017506i,0.00063809+0.00057274i,0.0004134+0.00041838i,-0.00012912+0.00064589i,-0.00055285+0.00034944i,-0.00080778+0.00015009i,-0.00031298+0.00056467i,-1.7389e-05+0.00053913i,-0.00044645+0.00021284i,-0.0011369+0.00043698i
-0.0012999+0.00052988i,-0.00026992+0.0012102i,0.0018012+0.00054382i,0.0036218-0.00018553i,0.0031179-2.2574e-05i,0.0010096+4.997e-05i,-0.00085997+0.00054958i,-0.0010251+0.00086627i,1.4602e-05+0.0010626i,0.0008854+0.0014206i,0.0012446+0.00020357i,0.00056304-0.0011653i,-0.0010031-0.00019968i,-0.0011332+0.00032439i,-0.00021057-0.00058895i,0.00078542+0.00018047i,0.0011858+0.00095631i,0.00086683-0.00011861i,-9.0628e-05-0.00013556i,-0.0011449+0.00060551i,-0.00083425+0.00020746i,0.0003595-0.00036211i,0.00043146-0.00025757i
-0.00069086+0.0013237i,-0.00075562+0.0023363i,-0.0009166+0.0021449i,-0.00099877+0.0014059i,-0.0013889+0.00072021i,-0.0022443-0.00046975i,-0.0017489-0.00012272i,-0.00028283+0.00094913i,0.0010813+0.00077746i,0.00091906-0.00031314i,3.261e-05-0.001298i,-0.00051975-0.0023082i,-0.00069686-0.0019246i,-9.0167e-05-0.00045651i,-1.9497e-05+9.0737e-05i,-0.00036223-0.00036444i,-0.00037272-0.00076388i,-0.00095693-7.4896e-05i,-0.0014741+0.00066492i,-0.00051176-0.00013408i,0.00041232-0.00038016i,0.00048441+0.00030596i,-1.3805e-05-8.2204e-05i
0.0005495+0.0016062i,0.00083033+0.00057122i,0.0017734-0.00062522i,0.0016211-0.0003539i,0.00043549+0.00021195i,-0.00072273+0.00056507i,-0.0021179+0.00070105i,-0.0024249+0.00074813i,-0.0017597+0.00042575i,-0.00092918-0.00046577i,-0.00019111-0.0012495i,0.00063866-0.0015408i,0.00072354-0.0011921i,-0.0004954+8.6339e-06i,-0.00076404+0.00055691i,0.00021609-0.00047988i,0.00089189-0.0016483i,0.00033686-0.00061993i,-0.00041555+0.0003898i,-0.00066134-6.2294e-05i,-0.00039015-0.00041318i,-0.00027404+5.3338e-05i,0.00037509+0.0010477i
0.00039229+0.00079684i,0.00055194+0.0018756i,0.0013124+0.0023302i,0.00062966+0.0019855i,-0.00055164+0.001497i,-0.0014125+0.0023448i,-0.0029155+0.0025757i,-0.0026257+0.0023984i,-0.001199+0.0016092i,-0.00079086+0.00092021i,-0.00061501+0.0008524i,0.0011142+0.00080954i,0.0024991+0.00074169i,0.0014132+0.00032622i,-0.00013914+0.00014828i,-0.00098427+0.0001372i,-0.0012946-0.00019568i,-0.0005939+0.00018648i,0.00057713+0.0013199i,0.00089367+0.0011525i,0.00026935+0.00067778i,0.00025535+0.00053517i,0.00014686-0.0004178i
0.00059507-0.0007789i,-0.00064791+0.00010844i,-0.00084329+0.00055531i,-3.1185e-05+0.0002838i,0.00049886+0.00073854i,-0.0005523+0.0012824i,-0.0013033+0.0017215i,-0.0011673+0.0016704i,-0.0014105+0.0013073i,-0.00081063+0.0016365i,0.00037312+0.002211i,0.0013633+0.0025717i,0.0015624+0.0023233i,0.0016232+0.0016743i,0.0017162+0.0016557i,0.0011485+0.00099341i,0.00025095+0.0005928i,2.6336e-05+0.0004106i,0.00052463+8.7399e-05i,0.00020604+5.1967e-05i,-0.00053046-0.00011188i,-0.00034289-0.00049778i,0.00048492-0.00043793i
0.001956-0.0023063i,0.0023341-0.0028494i,0.0020011-0.0037694i,0.00022331-0.0038097i,-0.0017478-0.0019132i,-0.0019005+0.00065454i,-0.00038531+0.0016747i,0.0014418+0.0015974i,0.0014322+0.0016766i,0.00080513+0.0012164i,0.0004498+0.00082795i,0.0003363+0.00076874i,5.9349e-05+0.00033988i,-0.00051165+0.00035162i,-4.1861e-05+0.0012913i,7.3887e-05+0.00092865i,-0.00057175-0.00020529i,-0.00010905-0.00022485i,0.00027229+0.00079714i,0.00056908+0.0013703i,0.00024256+0.0009642i,-0.00060861+0.00092067i,-0.00045338+0.0010371i
0.00162+0.0026394i,0.0017776+0.0032287i,0.0017647+0.0036234i,0.0012254+0.0032339i,-9.8694e-05+0.0018239i,-0.0025868+0.001233i,-0.0027834+0.0013638i,-0.0005298+0.00079i,0.00098851+0.00030179i,0.00078507-2.6172e-05i,0.00098508-0.0013691i,0.00062337-0.002568i,-0.00034007-0.0024243i,-0.00063179-0.0012599i,-0.00026293-0.00066103i,0.00032867+0.00011516i,0.00028439+0.00058916i,-0.00080793-8.2097e-06i,-0.0013376-0.000366i,-0.00047746-0.00035787i,-0.00021947-0.00034296i,-0.00092094+0.00034533i,-0.0014139+0.00066356i
0.00073267+0.0002769i,0.000466+0.0003532i,-0.00029134+0.00050191i,-0.00064707-0.00037005i,-0.00089531-0.00073727i,-0.0017666+9.0287e-05i,-0.0023549+0.0011208i,-0.0018565+0.0014158i,-0.0005282+0.00017172i,6.4606e-05-0.0011101i,0.0005965-0.0017076i,0.0014946-0.0014402i,0.00071207-0.00091365i,-0.00073356-0.00075558i,-0.00064288-0.00018665i,0.00022723+0.00029591i,0.0001127+0.00032806i,-0.00016849-0.00028538i,-3.0966e-05-0.00050662i,4.8351e-05-8.7305e-05i,-0.00040679+0.00054971i,-0.00063522+0.00035877i,-0.00034586-0.00051638i
-0.0014904-8.912e-05i,-0.0016344+0.0004181i,-0.00033188+0.0014545i,0.0019727+0.0016679i,0.0021913+0.0013487i,0.00035161+3.7106e-05i,-0.0017402-0.00036028i,-0.0025371+0.00060142i,-0.0023631+0.001322i,-0.0016299+0.0010765i,-3.0028e-05+0.0013656i,0.0013529+0.0021639i,0.0017904+0.0010147i,0.0010045-0.00080306i,-0.0006298-0.0013122i,-0.00090865-0.00090814i,0.000199-0.0002443i,0.00065391+0.00020037i,0.00012844-2.2378e-05i,-0.00013455-0.00030672i,-0.00042226-0.0008163i,3.0324e-05-0.0014555i,0.00043864-0.0014448i
0.0011764-0.000872i,0.0019413-2.6443e-05i,0.0021134+0.00071626i,0.0011203+0.00051296i,-0.0010748+0.00032234i,-0.002345+0.0013021i,-0.0021642+0.0023565i,-0.0017536+0.0020214i,-0.0016752+0.0007435i,-0.0015544+0.00059123i,-0.00059603+0.0017335i,-0.00020361+0.002291i,0.00040159+0.0018446i,0.00088986+0.0016334i,0.00081725+0.0013851i,0.00015975+0.00096002i,-0.00042483+0.00034341i,-0.00046215+0.00034215i,-0.00021974+0.00052886i,0.0003891+0.0003318i,0.00023358+0.00016739i,-0.00035794-1.3917e-05i,-0.00011663-0.0001909i
0.0016575+3.1448e-05i,0.0023997-0.00051506i,0.0023618-0.0025014i,-8.1172e-05-0.0036175i,-0.0023312-0.0021083i,-0.0025996-0.00082789i,-0.0021215+0.00016687i,-0.0010187+0.0013724i,0.00025578+0.0012615i,0.00045936+0.00054967i,-0.00028722-4.6077e-06i,-0.00089247-0.00058993i,-0.0013558+1.4872e-05i,-0.0014707+0.00069276i,-0.0008451+0.00013666i,-0.00046868-0.00035614i,-0.00099179-0.00043547i,-0.0010941+0.00020533i,-0.00078299+0.00081534i,0.00038311+0.00019041i,0.00069693+0.00015106i,-0.00020833+0.00095547i,-0.0002078+0.0015031i
0.00070966+0.00066367i,0.0011074+0.00093132i,0.0021153+0.0017266i,0.0011983+0.0012966i,-0.00087665+7.8093e-05i,-0.0023859+0.00046088i,-0.0023921+0.001362i,-0.00079963+0.0017907i,0.00077721+0.0013212i,0.0015314-0.00028297i,0.0020631-0.002216i,0.0010089-0.0030474i,-0.0014493-0.0024118i,-0.0023789-0.00076448i,-0.0010441+0.00035423i,-0.0002935-1.221e-05i,-0.00016084-0.00091359i,4.1247e-05-0.00069598i,-0.00011917+8.0513e-05i,0.00025212+0.00058861i,0.00044378+0.00085325i,-0.00046484+0.00082763i,-0.00055703+0.0010115i
-0.0016149-0.0021911i,-0.0015649-0.0011042i,-0.0017981+0.0001588i,-0.0013493+0.0014785i,-0.00029604+0.001572i,-0.00025934+0.0009378i,-0.00049098+0.00040558i,9.7494e-05+6.3088e-06i,0.00051173-0.00041317i,0.00025382-0.00065044i,0.00076367-0.00034773i,0.0020304-0.00032532i,0.0019476-0.00072286i,0.00092595-0.00054686i,-2.9935e-05+0.00033028i,0.00027209+0.00021639i,0.0010945-0.00088874i,0.00068257-0.0011066i,-0.00041109-0.00049934i,-0.0011572-0.00077527i,-0.0012342-0.00079627i,-0.0013124+4.6648e-05i,-4.986e-05+0.00062342i
-0.0006063+4.1926e-05i,-0.000616+2.2774e-05i,4.5091e-05+0.00037828i,0.00060673+0.00051285i,0.00014781+0.00017506i,-0.001173-0.00093875i,-0.0025947-0.00090776i,-0.00275+0.00021947i,-0.0014522+0.00053272i,-0.00018779+0.00047549i,0.00048427+0.0011228i,0.00096493+0.0021963i,0.0014627+0.002009i,0.0010075+0.00076993i,-0.00049526+0.00013467i,-0.00135+0.00052862i,-0.00070004+0.0011022i,-0.00028798+0.0010333i,-0.00012963+0.00024586i,0.00020121-0.00040508i,0.00045994-0.0012376i,0.00037009-0.0012669i,-0.00019731-0.00033222i
-0.00064304-0.00079059i,-7.26e-05+0.00076406i,-0.00032049+0.00064365i,-1.7318e-06+0.00010081i,0.0001502+0.000427i,-0.001022+0.00066619i,-0.0025928+0.0011569i,-0.0019625+0.0019156i,-0.0010891+0.0011626i,-0.0014434+0.00036518i,-0.001201+0.0014431i,-0.00090839+0.0022541i,0.00032063+0.0016805i,0.000843+0.0013047i,0.00031084+0.00074494i,-0.00014063-0.00020819i,-0.00015407-9.4219e-05i,0.00046185+0.00012454i,0.00072847+0.00021849i,0.00046308+3.9248e-05i,0.00013369-0.00050453i,-0.00012087-0.00067429i,-0.00028427-0.00080678i
0.0025011-0.0011634i,0.0026754-0.0014928i,0.0019301-0.0023829i,-0.00089562-0.0024551i,-0.0029393-0.0011963i,-0.0036417+0.00010564i,-0.0032616+0.001466i,-0.0019203+0.0021306i,-0.00017365+0.001351i,0.00076112+0.00040461i,0.00060775-0.00029808i,-0.00021447-0.0011476i,-0.0016988-0.0010425i,-0.0017894-0.00050608i,-0.00052638+0.00047594i,2.7951e-05+0.0005592i,2.8413e-05+0.0001466i,-0.00035059+0.00040677i,5.0953e-05+0.0011242i,0.00058165+0.00092429i,0.00065694-0.00026947i,0.0011518-0.00024609i,0.0008221+6.635e-05i
0.00085465+0.0012136i,0.0019647+0.0013633i,0.0028245+0.0015009i,0.0025655+0.0017643i,0.00040608+0.0011355i,-0.0019296+0.00057584i,-0.0031021+0.00071142i,-0.0020431+0.00089216i,0.00015274+0.00074119i,0.00091877+0.00029422i,0.0012073-0.00071916i,0.0019189-0.0017413i,0.0016219-0.0023902i,-0.0006744-0.001863i,-0.0013106-0.00061975i,-0.00071886-0.00026563i,-0.0006461+0.00023378i,-0.00025118+0.00052578i,-0.00037673+0.00076575i,-0.00049774+0.0012116i,-0.00018648+0.001766i,1.0738e-05+0.0018717i,0.00032536+0.0013831i
0.0017449+0.00074772i,0.0013646+0.001401i,0.001171+0.0011415i,0.0012368+0.00044708i,0.00071178+0.00045731i,-0.00071901+0.0015122i,-0.00090012+0.0022413i,-0.00040041+0.0014756i,0.00015893+0.00024119i,0.00097265-0.00033664i,0.0018838-0.00041324i,0.0024686-2.4452e-05i,0.0023451-0.00030636i,0.00040291+1.5784e-05i,-0.00038169+0.00031913i,0.00022615-7.8285e-05i,0.00039479-0.00081419i,0.00050666-0.00094759i,-0.00056343-0.00030208i,-0.0012815-0.00039577i,-0.00079372+0.00021788i,-0.00056881+0.0005779i,-0.00030797-0.00017906i
-0.0012369-0.00043756i,-0.0026447+0.0015751i,-0.0021842+0.0023812i,-0.00082127+0.0014079i,-0.00031007+0.00028007i,-0.0011143+0.0007848i,-0.0023406+0.0011086i,-0.001739-5.0742e-05i,-0.00020681-0.00093624i,0.00044006-0.00049618i,-3.4116e-05+0.0010144i,-0.00013576+0.0023202i,0.00041539+0.001853i,0.0014193+0.00075106i,0.0015449+0.00032561i,0.00066803+0.00044265i,-0.00048635-0.00016346i,-0.00070709-0.0010061i,-5.1001e-05-0.0012884i,6.6256e-05-0.00079729i,-0.00064939-0.00061438i,-0.0010506-0.00045367i,-0.00090134-2.0359e-05i
0.00056933+0.0025904i,0.00052305+0.0022123i,0.0014448+0.00047293i,0.0014632-0.0014413i,-7.4589e-05-0.0023775i,-0.0018768-0.0015149i,-0.0030655+0.00034724i,-0.0028304+0.0012347i,-0.0020549+0.00061449i,-0.002012+0.0002146i,-0.0022091+0.00034579i,-0.0018578+0.00072896i,-0.00095228+0.0010971i,-0.000436+0.0002463i,-0.0007212-0.00051346i,-0.000363+0.00016677i,0.00036744+0.0006291i,0.00066355+0.00028152i,0.00089373-0.00015032i,0.00057323-0.00048212i,-5.8319e-05-0.00027079i,-0.00041636-0.00075571i,0.00013279-0.0013203i
0.00021309-0.00064785i,0.00083825-0.00050563i,3.5124e-05-0.0013541i,-0.0019315-0.0013714i,-0.0028871-0.00048948i,-0.0031105+0.00087972i,-0.0034354+0.0011553i,-0.0024589+0.0012752i,-0.0008491+0.00094933i,-0.00070027-0.00045541i,-0.00022123-0.00032147i,0.00028712+0.00035343i,-0.000535+0.00019484i,-0.00099886+0.00014327i,-0.00039701-5.9369e-05i,0.00033392-0.00036256i,0.00050468+0.00014544i,0.00026983+0.00028907i,9.8331e-05+0.00032581i,7.3685e-05+0.00080848i,-0.00027518+0.00014881i,-0.00083317-0.000686i,-0.0003029-0.0001445i
0.0020996+0.00054359i,0.0022312-9.0588e-05i,0.0019937+9.2417e-05i,0.00097216+0.00059115i,0.00018362+0.00062763i,-0.00075949+0.00065808i,-0.0022215+0.0010665i,-0.0016105+0.0017013i,0.00022746+0.0014787i,0.0017654+0.00057536i,0.0024501-0.00056987i,0.0023623-0.0016923i,0.0014301-0.0022433i,-0.00048358-0.00069677i,-0.001046+0.00098825i,-0.00030176+0.00061273i,-0.00012784+0.00018098i,-6.1488e-05+0.00028334i,0.00017699+0.00046209i,0.00080729+0.001085i,0.0013683+0.0016199i,0.0011671+0.0010718i,0.0011177+0.0009107i
-0.00065348+0.0010784i,-0.0013461+0.0013539i,-0.00078052+0.0014002i,0.00072609+0.0011228i,0.00084787+0.0011193i,-0.0008529+0.0009885i,-0.002254+0.00084535i,-0.0018002+0.0013429i,-1.6376e-06+0.0013571i,0.0016486-4.9665e-05i,0.0026288+0.0002354i,0.0028878+0.00065838i,0.001145-0.00014169i,-2.8963e-05-0.0004947i,-0.00014722-0.00013933i,-0.00044108+0.00064197i,-0.00046628+0.00074737i,-7.4847e-05-0.00016868i,0.00023807+0.00047i,0.00013665+0.0014149i,8.6422e-05+0.00091941i,-0.00044247+0.00065512i,-0.00063788+0.00049484i
-0.0022658-4.8277e-05i,-0.002176+0.0014946i,-0.0014576+0.0032855i,-0.00035106+0.0029747i,-7.3209e-05+0.00076096i,-0.0011365+0.00039086i,-0.0020816+0.0015314i,-0.0015439+0.0014858i,-0.00088769+0.00079202i,-0.00040632+7.3446e-05i,0.00022999+0.00032302i,0.00019921+0.001345i,3.8709e-05+0.0010561i,0.00030468+0.00015626i,0.00058755-0.00016346i,0.00057771-0.00071519i,-0.00013645-0.001334i,-0.0012293-0.0014536i,-0.0012378-0.00077396i,-0.00049109+0.00045331i,-0.00067893+0.00091687i,-0.00079103+0.0009572i,1.801e-05+0.00079508i
0.0010437+0.00058678i,0.0011733+0.0012343i,0.00085412+0.00072721i,-0.00076271-0.00056155i,-0.0023662-0.00099213i,-0.0035369+0.00016294i,-0.0030476+0.0016035i,-0.0015316+0.0020179i,-0.00048221+0.00044839i,-0.0013115-0.00083994i,-0.0026125-0.00062364i,-0.0026938-0.00015171i,-0.0022218+0.00029972i,-0.00083707+0.00045646i,-0.00075027+0.00010379i,-0.0012203-0.00089367i,-0.0002934-0.0010839i,7.3422e-05-0.0003436i,5.273e-06+0.00040338i,0.00035682+5.8082e-05i,6.6794e-05-0.00049278i,-0.0004091-0.00060566i,-0.00019839-0.00031417i
-3.3486e-06+0.00044283i,-0.00049922+0.00039928i,-0.00087808+0.00047241i,-0.0010361+0.00032736i,-0.0004497+0.00070283i,-0.0012608+0.000765i,-0.0027214+0.001017i,-0.0028018+0.0015187i,-0.0013102+0.00091995i,-0.00025715+0.00033491i,-0.0004328-0.000526i,-0.00078069-0.0021904i,-0.00081905-0.002246i,-0.00068429-0.00026361i,0.00030916-0.00014987i,0.0009143-0.0008731i,0.00074264-0.0009954i,0.00019807-0.0010508i,0.00032635-0.00055778i,0.00015645-0.00060893i,-0.00044152-0.001068i,-0.0011295-0.00066481i,-0.0017423+0.00030008i
0.00040968-0.00075105i,0.00066452-7.3345e-05i,0.0013934+0.00070069i,0.001052+0.00027933i,0.00059176-0.00029228i,-0.00088475-0.00030084i,-0.0025668-0.00020227i,-0.0015155-0.0010429i,0.00063189-0.0015559i,0.0018766-0.0014452i,0.0031502-0.0013463i,0.0034581-0.00083589i,0.0021537-0.00064432i,0.00074193-0.00041866i,2.6126e-05+0.00038632i,-0.00020863+0.0008377i,0.00028759+0.0008857i,0.00056547+0.00033404i,0.00082253-0.00070238i,0.0011146-0.00066449i,0.0010709-0.00072586i,0.00052539-0.00072038i,-1.6357e-05-0.00031619i
0.0028602-0.0010301i,0.0018311-0.0011755i,0.00031672-0.001552i,-0.00086973-0.00053572i,-0.0016903+0.00127i,-0.0021776+0.0020074i,-0.0019986+0.0022721i,-0.00076484+0.0021157i,0.00067608+0.001645i,0.0010703+0.0018347i,0.0013953+0.0019006i,0.0027343+0.0016759i,0.0036292+0.00077311i,0.0031349+0.00027608i,0.0012469+0.0008722i,-0.00013804+0.0017219i,0.0005047+0.0016552i,0.00012835+0.00096528i,-0.00061377+0.00022853i,0.00058021-0.00043631i,0.0019449-0.0011632i,0.0016759-0.001133i,0.00033157-0.00046703i
-0.00048731+0.0025843i,0.00016245+0.0027754i,0.0021245+0.0020563i,0.0020175+0.00039221i,0.00049391-0.0010188i,-0.0014767-0.001002i,-0.0025599+0.00016679i,-0.0015198+0.001404i,0.0006275+0.0013281i,0.00075814+0.0010802i,0.00048765+0.0015789i,0.00010157+0.0020309i,-0.00023045+0.0013824i,1.7463e-05-3.8351e-05i,-0.00039902-0.00098348i,-0.00069658-0.00087482i,-0.00076219-0.00021791i,-0.00054427-0.00010668i,0.0004317-8.3421e-05i,0.0011208+0.00076375i,0.00042005+0.0011871i,-0.00078697+0.0006948i,-0.00085474+0.00089322i
-0.0014751-0.0018159i,-0.0021334-0.0013766i,-0.00096766-0.0014022i,0.00030312-0.00091188i,-5.4081e-05+0.00013286i,-0.0010478+0.0015166i,-0.0020547+0.0029884i,-0.0024557+0.0035781i,-0.0016601+0.0017293i,-0.00098976-0.00064963i,-0.0013779-0.00093123i,-0.0015437-0.00079681i,-0.0019713-0.00090153i,-0.0015333-0.00054707i,-0.00027945-0.00087217i,-0.00076436-0.0013853i,-0.0020201-0.0011896i,-0.0016701-0.00088684i,-0.00093606+8.8091e-05i,-0.00048086+0.00093759i,-0.00036371+0.0014034i,-0.00062255+0.001594i,-0.00071979+0.00017376i
