-0.0014218+0.00070947i,0.00023762-7.8751e-05i,-0.00021218-0.00069261i,-0.00073623-0.00032582i,-0.0004762+0.00025435i,-0.00019995+0.0012277i,0.00019341+0.0017846i,0.0005638+0.001556i,0.0008628+0.0013888i,0.0013383+0.0014073i,0.0011757+0.00080088i,0.00043449+5.0743e-05i,-0.00019281+0.00062919i,-0.00054289-2.3258e-05i,-0.00097921-0.00084472i,-0.001433+0.00016538i,-0.0011382+0.00082461i,-0.00016659+0.00030178i,0.00064679+0.00069831i,0.00091075+0.0011676i,0.00026399+0.0002064i,-0.00012135-3.9613e-05i,0.00092469+0.0002745i
-0.0020498+0.0029651i,-0.0019664+0.0028454i,-0.00097741+0.0028727i,-0.00043413+0.0021294i,0.00034091+0.00085459i,0.0011894+0.0010048i,0.0013049+0.00094165i,0.00072042+0.00019496i,0.00025069+0.00010495i,0.00019318+0.00032412i,0.00053408+0.00010781i,0.00019642+0.00046436i,9.4932e-05+0.0014044i,0.00023839+0.0014811i,0.00062103+0.00066761i,0.0010018+0.00019906i,0.0010959+0.0004182i,0.00082383+0.00058045i,0.00060514+0.00075717i,0.00072323+0.00066947i,0.00060925+0.00052199i,0.00049328+0.00097103i,-0.00016905+0.00014281i
-0.00072177+0.001003i,-0.00066688-0.00018041i,-0.00055546+0.00042033i,-0.00041931+0.0012235i,0.00068797+0.00072328i,0.0014114+0.00045346i,0.0012462+0.00027188i,0.00056999-0.00068407i,0.00030058-0.0015409i,-2.624e-05-0.00046086i,-0.00042026+0.0011512i,1.2415e-05+0.0011655i,0.00027092+0.00017977i,0.00079152-0.00070065i,0.0012666-0.00096359i,0.00063949-0.0010175i,-0.00020805-0.00027518i,-0.00051694+0.00032614i,-6.7547e-06+0.00053848i,9.0338e-06+0.00018624i,-0.00032685-0.00035877i,-0.00016536-0.00065473i,-1.8265e-05-0.00048813i
-0.00025127+0.00070307i,0.0013745+0.0011538i,0.001582+0.00086567i,0.0012749+0.00056053i,0.0011432+0.00061456i,0.0016714+0.00047367i,0.0019242+0.00046737i,0.0016424+0.00047264i,0.0012104+1.2123e-05i,0.0012384-5.4708e-05i,0.00097473+0.00055141i,0.0003973+0.0010003i,0.00010709+0.00098972i,-8.9442e-05+0.00038114i,0.0001845-0.00028997i,-6.0724e-05-0.00085176i,-0.00013427-0.00073887i,0.00024743-0.00023837i,0.00018749-0.0001745i,0.00014674-6.2621e-05i,0.0002432+0.00036445i,0.00057322+0.00036486i,3.8289e-05+0.0006765i
-0.0023331+0.0010395i,-0.003209+0.0010351i,-0.0027543+0.0014442i,-0.0021709+0.00098621i,-0.0017011-4.8523e-05i,-0.00065026-0.00012584i,0.00058365-0.00018286i,0.00079605-0.00043961i,0.00012195-0.00014094i,-0.00018122-0.0003175i,0.00025662-0.00074081i,0.00018844-0.00039194i,-0.00046109-0.00024129i,-0.00093812+0.00021535i,-0.00095678+0.00025531i,-0.00059313-0.00020306i,-0.00099972+0.0002821i,-0.0010947+5.2855e-05i,-0.00031814-8.3696e-05i,-0.00028232+0.0010443i,-0.00029709+0.0020058i,-0.00031056+0.0016853i,4.4276e-05+0.00057357i
0.0010611-0.00083123i,8.3224e-05-0.0021632i,-0.00085332-0.0022779i,-0.00087238-0.000325i,0.00018083+0.0011732i,0.001347+0.0014324i,0.001954+0.00074771i,0.0011217+0.0002217i,0.00036631+6.7686e-05i,-4.4893e-06-0.00049327i,-0.00040646-0.0004498i,-0.0007869-0.00010346i,-0.0013602+1.6818e-05i,-0.0007117-0.00098676i,0.00013439-0.00093278i,-0.00025569-0.00016492i,-0.00058338+0.00024327i,-0.00052948+0.00056393i,-0.00033707+0.00055381i,-0.00019622+0.00030723i,0.0002607+2.6445e-05i,0.00022801+0.00049137i,-0.00028114+0.00042317i
-0.00069717+0.00027609i,-0.00017948-0.00077933i,-0.00045023+0.00019561i,-0.00079248+0.00085966i,-0.0001824+0.0012042i,0.00025823+0.0012163i,0.00079629+0.0003603i,0.0010243+8.928e-05i,0.00010992-0.0002158i,-0.00057713-0.00032482i,-0.00032888-0.00012836i,-0.00050652-0.00017788i,-0.00079408+0.00030866i,-0.00022329+0.0018222i,0.00048103+0.0017725i,0.00054864+0.0011262i,0.00030792+0.0011597i,-0.00018044+0.0011834i,-0.000419+0.00039847i,-0.00030828-0.00097917i,-0.00053545-0.0013137i,-0.0011994-0.00020326i,-0.0010114+0.00088978i
-0.0016487-4.6026e-05i,-0.0014614+0.00052331i,-0.00079185+0.00024102i,-0.00093432-0.00056622i,-0.00097756-0.00052413i,-0.00048331+0.00052895i,0.00024463+0.0006147i,0.0003861+0.00063618i,-0.00021694+0.00083565i,-0.00084844+0.00055123i,-0.0012069+0.00041249i,-0.00026153+0.0010429i,0.00038064+0.0018896i,0.00063897+0.0012819i,0.00085957+0.00014579i,0.00029422-0.00041568i,0.00042105-0.00029199i,0.0004766-0.00046283i,-3.0089e-06-0.00027898i,-0.00067016-0.00032408i,-0.00055746-0.0005455i,0.00033113+0.0002198i,0.00074845+0.0010483i
0.00069597-0.0017316i,0.00047898-0.0022935i,0.00040169-0.0024407i,-0.00038991-0.0012031i,-0.00048517-3.5886e-05i,-0.00020923+3.6566e-06i,0.0004965+7.9249e-05i,0.00094499-0.00022211i,0.00055851-0.00096489i,0.0004319-0.0014422i,0.00054416-0.00087287i,-0.00032457-6.3921e-05i,-0.00075235-0.00037099i,-0.00034972-0.00051232i,-0.00015003+0.00023739i,0.00013485+0.00072472i,-0.00013858+0.00016171i,-2.2908e-05-0.00016859i,-0.0003881+0.00027091i,-0.00096209-2.8995e-05i,-0.00056066-0.00062577i,-0.00022441-0.00052619i,-0.00017174-0.00044581i
-0.0024595-0.0030104i,-0.0016741-0.0028522i,-0.0020273-0.0017012i,-0.0021055+0.00032832i,-0.0012146+0.002066i,-3.8852e-05+0.0028332i,0.00078898+0.0020769i,0.00094837+0.00037961i,0.00065422-0.0007614i,0.0006676-0.00015721i,0.00050952+0.000898i,-0.00043481+0.00047658i,-0.00051588-0.00018472i,1.7955e-05-0.00061039i,0.00030559-0.00016097i,-8.7612e-05-0.00036196i,-8.175e-05-0.00087451i,0.00030637-0.00013577i,-0.00029309+0.00036749i,-0.00067496+0.00044416i,-0.00040339+9.7426e-05i,0.00018527-7.1646e-05i,0.00071387+0.00033187i
0.00074213+3.8625e-05i,0.0012184+0.00017829i,0.00074556-0.00012111i,-0.0003946-0.0007444i,0.00010107-0.001424i,0.0010748-0.00072762i,0.0015043-0.00018065i,0.0010177-0.00072803i,0.00011982-0.00072311i,-6.6543e-05-0.00025118i,0.00028217-0.00046769i,1.2977e-05-0.0012607i,-0.0010657-0.0006692i,-0.0013492-0.00031439i,-0.00092034-0.00035086i,-0.001068+0.00016644i,-0.0011195+0.000721i,-0.00019979+0.00055997i,0.00018652+0.00062189i,-7.22e-05+0.00086313i,0.00025886+0.0006271i,0.00018645+0.00054156i,0.00020131+0.00025988i
-0.0023906+0.00068354i,-0.0024076-0.00047687i,-0.0022932+0.00069989i,-0.0015335+0.0018278i,-0.0010339+0.0019925i,0.00026776+0.0022951i,0.0018446+0.0014468i,0.0014951+0.00022209i,0.00035744+0.00054723i,8.6714e-05+0.0015746i,5.2956e-05+0.00085309i,-0.0005102+2.7854e-06i,-0.0010163+0.00030521i,-0.00079871+0.00059247i,0.0001056+0.00084394i,0.00012983+0.00046778i,-0.00048026-0.00039494i,-0.00048481-0.00055673i,-0.00012811-0.00012086i,0.00015995+0.00026856i,-0.00011469+0.00043293i,-0.00014744-2.0021e-05i,-0.00031458+1.5026e-05i
0.0006991-0.0002167i,0.00069351-0.0004109i,0.00096332-0.00023245i,0.00075094-0.00031371i,0.00098356-1.439e-05i,0.00080352+0.00028507i,0.00047658+0.00027914i,0.00059621-3.2644e-05i,0.00036445+2.7149e-05i,-0.00036545+0.00025358i,-0.00021114+0.0003234i,0.00020223+0.00029858i,0.00036393+2.7538e-05i,0.00057018-5.2748e-08i,-0.00019599+0.00038109i,-0.0010091+0.00074333i,-0.0010237+0.00085451i,-0.00051641+0.00053949i,8.7618e-05+0.00015679i,0.00014758+0.00011624i,-0.00029167+0.00034i,-0.00029215+0.00020687i,0.00014359-0.00010492i
0.0022867-0.0005534i,0.0027571-0.00077811i,0.0030023+0.00013381i,0.0019392+0.00066189i,0.00083139+0.00012241i,0.0003491+0.00051575i,0.00073286+0.00064842i,0.00089608-1.0778e-05i,0.00050984-0.00046406i,0.00045743-0.00016969i,0.00020368+0.00071717i,-0.00017925+0.0012164i,-0.00046522+0.0010304i,-0.0002599+4.5411e-05i,-0.00017987-0.0003927i,-0.00029742+0.00018746i,-0.00015682+0.0002179i,-0.00021058+0.00020571i,1.2954e-05+0.00028942i,0.00087323+2.9686e-05i,0.00053418+0.00042827i,0.00038679+0.00036523i,0.00081859-0.00018465i
0.0012427+0.0010224i,0.0017901+0.00019539i,0.0015239-0.00030852i,0.00018421-0.00032078i,-0.000694-9.4307e-06i,-9.5172e-05+0.00084033i,0.00080935+0.00066318i,0.00079658-0.00023548i,0.00055462-5.7965e-05i,0.00055006+0.00044176i,-5.6495e-05+0.0003423i,-0.00016074-0.00045971i,0.00039499-0.00022978i,0.00020023+0.0010914i,-0.00018218+0.00067012i,-3.1458e-05-0.00025064i,5.9548e-05-0.00010933i,0.00056878+0.0005448i,0.00060037+0.0003697i,0.0002741-0.00052253i,0.00054171-0.00053232i,0.00038603-0.00024883i,-2.5791e-05+0.00060244i
0.001558+0.0018249i,0.00086966+0.0025729i,0.0013965+0.0032493i,0.0007398+0.002179i,0.0004985+0.0008258i,0.00056009+0.00056647i,0.00067933+0.00040949i,0.00099377-0.00012664i,-0.00028976-0.00077687i,-0.00080503-0.00086607i,-0.00048401-0.0008446i,-0.00024589-0.0013796i,0.00062236-0.0012026i,0.00073492-0.00084362i,0.00033437-0.0011389i,0.00082489-0.0015883i,0.00085932-0.0011842i,0.00020354-0.00027551i,-0.00047733-0.00023113i,-0.00061855-0.00027923i,8.3513e-06+0.00034774i,0.00015873+0.00039077i,0.00018679-8.8701e-05i
-0.00043932-0.0040613i,-0.00097985-0.0043198i,-0.0012312-0.0048812i,-0.0011888-0.0029585i,-0.0012313-8.7121e-05i,0.00019422+0.0015458i,0.0016955+0.00087167i,0.0013902-0.0003079i,0.00077827-0.00064893i,0.00053272-0.0005628i,0.00043882-0.00069299i,-0.0002069-0.0010353i,-0.00051193-0.0012759i,-0.00038712-0.0011646i,-0.0014501-0.00044202i,-0.0021774-0.00015953i,-0.0023398+2.2386e-05i,-0.0018514+0.00016213i,-0.0010941-0.00022873i,-0.00064014-0.00068561i,-0.00012646-0.00022117i,-0.00027175+4.8605e-05i,-0.00025818+4.6489e-05i
0.0011672+0.0013305i,0.0016414+0.00012114i,0.0025728-0.00034184i,0.0016312-0.00074064i,0.0011168-0.00044425i,0.001484+1.3065e-05i,0.00073198-0.00037006i,0.00024728-0.00062714i,0.00032747-0.0003698i,0.00064063-0.00084077i,0.00078713-0.0015215i,0.0010324-0.0010547i,0.00041798+0.00025343i,-0.00028811+0.00071671i,4.7959e-05+0.0003541i,-0.00018328+0.00027839i,-0.00099839-0.00023009i,-0.00074193-0.00031098i,3.3516e-05+9.284e-05i,0.00015292+0.00057884i,-0.00023084+0.00017854i,-0.00021029-0.00028572i,0.00026389-0.00045005i
-0.00011412+0.000218i,0.00024204+0.00020214i,-0.00046012+5.809e-05i,-0.00053708+0.00011867i,-0.00025114+0.0010486i,0.00040457+0.0018162i,0.00095136+0.0010695i,0.0010972-0.00044796i,0.00021363-0.00095639i,-0.00072575-0.00025888i,-0.00067963-0.00037299i,-0.00012832-0.00099218i,-0.00061687+9.1553e-05i,-0.00062192+0.0010566i,-0.00022313+0.00079337i,-0.0005454+0.00091052i,-0.00019781+0.00048162i,0.00025657-0.00023217i,-0.00019747+0.00035293i,-0.00080332+0.0006011i,-0.00066631+0.00036071i,3.5921e-05+0.00057394i,0.0012+0.00098116i
-0.0010217+0.0040875i,-0.0010017+0.0042928i,0.00037909+0.0039718i,0.0011921+0.0020667i,0.0014578+0.00037463i,0.0015668+0.00042429i,0.0018232+0.00032849i,0.0023296+2.0952e-05i,0.0011681+0.00015991i,-3.7754e-05+0.00016736i,0.00074274+0.00080807i,0.00066243+0.00046622i,0.00035524-0.00042863i,0.00052136-5.1285e-05i,0.00040905+3.0563e-05i,0.00036246-0.00021987i,0.00053826-0.00040398i,0.0006831-0.00069232i,3.0194e-05-0.00060669i,-0.00045192-0.00031852i,-0.00024778-0.00036134i,-2.486e-05-0.00046988i,-0.0004826-0.0001128i
-0.0025281-0.00061727i,-0.0027212-0.00024117i,-0.0020706+0.0011304i,-0.00072185+0.0015696i,-3.2447e-05+0.0010371i,0.0002427+0.0014048i,0.00065223+0.00041936i,0.00056521-0.0007565i,-0.00069512-9.8747e-05i,-0.00039038+0.00047968i,0.00091265+0.00053593i,0.0012278+0.00043329i,0.0011738+0.00054542i,0.0012784+0.00034709i,0.0016839+0.00023584i,0.0011475+0.00078637i,0.00043782+0.00045087i,-9.8389e-05-0.00021176i,-0.00075388-0.00032871i,-0.00067315+7.2638e-05i,-0.00014955+0.00077977i,-3.697e-05+0.001186i,-0.00038973+0.001431i
0.0023386-0.0024205i,0.0021306-0.0031608i,0.00079945-0.0037093i,-0.0010838-0.0025013i,-0.0015435-0.00048671i,-0.00036636+0.00073552i,9.2702e-05+0.00056232i,-0.00019554-0.00011079i,-0.00036651-0.00039809i,-0.00059122-4.9845e-05i,-0.0003768-0.00026344i,6.828e-06-0.0011529i,-0.00066397-0.0016208i,-0.00078605-0.00059832i,-0.00023896-0.00051717i,4.1436e-05-0.0012968i,0.0004686-0.00071807i,0.00014003+0.00011456i,1.9012e-05+0.00024478i,0.00021739+0.00024307i,-0.00034975+9.7431e-05i,-0.00069854+0.00013976i,-0.00044909+0.00024798i
0.00055051+0.002622i,0.0012862+0.0026087i,0.0015827+0.0030898i,0.0012211+0.00308i,0.001527+0.0025269i,0.0019817+0.002331i,0.0025448+0.0014094i,0.0025742+8.5504e-05i,0.0012238-0.00029455i,0.00032839-0.00054606i,0.00059058-0.0015913i,0.0006135-0.0014195i,0.00029509-0.00085514i,0.00038454-0.00071915i,6.8514e-05-0.0002551i,-0.00024742-0.0003501i,-0.00063966-0.00028204i,-0.0012545+0.00037731i,-0.0014153+0.00059048i,-0.00088499+0.00038532i,-0.00032822-4.7152e-05i,-0.00021664-8.4843e-05i,-0.00013752+0.00022361i
-0.0014737+0.0012249i,-0.0025528+0.0017302i,-0.0019931+0.0016443i,-0.00057004+0.00054128i,0.00020058+0.00051168i,0.0002082+0.00041056i,0.0011684-0.00020157i,0.0014237-0.00087283i,0.00047875-0.00072353i,1.6166e-05-0.00018031i,0.00039663-0.00085278i,0.00070213-0.0007021i,0.00097669+2.1502e-05i,0.00056688-0.00026651i,-0.000139-0.00063876i,-0.001333-0.00034821i,-0.0009535-0.00054832i,0.0005219-0.0010018i,0.0013505-0.00079041i,0.0012019-0.00013414i,0.00033138+0.00014617i,5.7965e-05+0.00065219i,0.00033934+0.00086407i
0.0011091-0.0014315i,0.0010452-0.0018637i,0.00035188-0.00158i,-0.00053435-3.5199e-05i,-0.00068965+0.00068749i,0.00042736+0.00074798i,0.001362+0.00040029i,0.001764-0.00055994i,0.0012552-0.0013199i,6.5665e-05-0.0013262i,-0.00042449-0.00087475i,-0.00056824-0.0003581i,-0.0005998+0.00025344i,-0.00018165+0.0012388i,-0.00046234+0.0019814i,-0.00013535+0.0015458i,0.00071704+0.00056591i,-0.00015911-0.00012822i,-0.00059819-0.00042133i,-0.00020602-0.00041441i,-0.00015142-0.00078694i,0.00030351-0.00067616i,9.5436e-05+2.39e-05i
0.0032868+0.00015439i,0.0029637-0.00015617i,0.0024212-0.00063672i,6.4746e-05-0.0003053i,-0.0013674-0.00038125i,-0.00060449-8.9168e-05i,0.00040253+0.00081533i,0.00080127+0.00068331i,0.00059812+0.00065951i,0.00013229+0.00058001i,-0.00024051-0.00019205i,5.8804e-05-0.00043476i,0.00059028-0.00068096i,0.00057044-0.00041454i,0.00022369+0.00020572i,-7.2069e-06+7.9525e-05i,-0.00022156-0.00020371i,-0.00038542-0.00040619i,-0.00031081-0.00052156i,-0.00017301+8.1557e-05i,-0.00042795+0.00050198i,-0.00033716+7.7034e-05i,0.00012558-2.9368e-05i
0.00060474+0.00035713i,-0.00013033+0.00048588i,0.00065468+0.00016707i,0.0012122+0.00047958i,0.00058041+0.00079587i,0.00014397+0.0015723i,0.00041967+0.0018851i,0.0013861+0.00046601i,0.0015283-0.00014104i,0.00026439+0.00027011i,-0.00014842-0.00038476i,0.00083616-0.00067835i,0.00099747-0.00065286i,0.00058386-0.00061688i,0.00080978-0.00032475i,0.00054011-8.6626e-05i,-0.00043683-9.6248e-05i,-0.00061217-0.00025682i,-0.00035873-0.00033524i,-0.00036409+0.00051345i,0.00017269+0.00084862i,0.00023228+1.3448e-05i,-0.0002931-0.0006364i
0.0016097+0.0012795i,0.00046359+0.00090668i,0.00038574-0.00092175i,0.0004526-0.0014974i,4.0767e-05-0.00031841i,0.00024443+0.00099197i,0.0011023+0.0014897i,0.00092666+0.0006511i,0.0004203-0.00077659i,0.00056194-0.0011343i,0.00072127-0.00026906i,0.000777+5.6836e-05i,0.00099642-0.00054013i,0.00064247-0.00017049i,-0.00028773+0.00047234i,-0.00099364-0.00063363i,-0.00077605-0.00099696i,-0.00072029-0.00017633i,-0.00080161-0.0001846i,-0.0003222-1.7999e-06i,-0.0002655+0.0001664i,-0.00031578+0.00032676i,-8.3111e-05+0.00010652i
-0.00029463+0.0022122i,0.00063293+0.0032627i,0.0008923+0.0036108i,0.0011123+0.0010569i,0.00062883-0.00046815i,-7.4773e-05-0.00090951i,0.00062815-0.00028881i,0.0011958+1.9188e-05i,0.00096476-0.00053768i,0.00089613-0.00044957i,0.0013715+0.00024917i,0.0011758+0.00046286i,0.00038304+0.00081927i,-0.00051611+0.00060529i,-0.0010389-0.00086921i,-0.00088701-0.0013468i,-0.0013842-0.0008488i,-0.0013082+7.4193e-05i,-0.00063036+0.00014643i,-0.00035219+0.00016598i,0.00014976+0.00065751i,3.9621e-05+0.00071275i,-0.00011148+0.00076929i
0.0026649+0.0010829i,0.0019193+0.0011322i,0.0023598+0.00043686i,0.0026046+0.00072173i,0.00085857+0.00079198i,0.00022478-6.9975e-05i,0.00084157+0.00035185i,0.00018738+0.00066554i,-0.00024984+0.0001412i,0.00019658-0.00021566i,0.00051392-0.00082278i,0.00087532-0.00027243i,0.00028693+0.00091371i,-0.00048809+0.00043246i,-0.00025011-0.00042692i,-0.00013977-0.00021949i,-0.00038557+0.00026469i,-0.00032879+0.00059525i,0.0003804+0.00069543i,0.00096713+0.00065719i,0.00042184+0.0005971i,-0.00040528+0.00048689i,-0.00049698+0.00057444i
4.2846e-06+0.0016972i,-0.00057645+0.0010691i,-0.0013612+0.00052627i,-0.0016637+0.00013215i,-0.00073464-3.7865e-05i,0.00028429+0.00011789i,0.00031344+0.00015883i,-0.00018754-0.00033807i,-0.00017176-0.00082734i,-0.00033417-0.00022003i,-0.0006194-3.6664e-05i,-0.00078062-0.00025454i,-0.00071305+0.00068347i,-0.00035312+0.0013286i,-3.3171e-05+0.0011941i,-7.3102e-05+0.0005768i,8.17e-06-0.00026901i,0.00025701-0.00030444i,5.1935e-05-0.00083466i,6.1371e-05-0.0012383i,-0.00036342-0.00021194i,-0.00050503+0.00071051i,-0.00014838+0.0008751i
-0.00074655+0.0004658i,-0.00067889+0.0010363i,-0.0010718+0.0018834i,-0.00010423+0.0015328i,0.00028521+0.0012793i,-8.2277e-05+0.00145i,0.00038256+0.00047961i,0.00085899-0.00068834i,0.00078364-0.00098352i,0.00024331-0.00080353i,-0.00019901-0.00056998i,-0.00061103-0.00043515i,-0.0009235-0.00060885i,2.4305e-05-0.0004394i,0.00029919-1.9125e-06i,0.00050677-0.00088806i,0.00062592-0.0014931i,-7.6314e-05-0.00050573i,7.0611e-05+0.00016129i,0.00053853-3.61e-05i,0.00072063+0.00027419i,0.00081649+0.0011793i,0.00073103+0.0011435i
0.00071499-0.0018101i,-0.0010533-0.0018294i,-0.002474-0.0013295i,-0.0021888-0.00013079i,-0.0010239+0.0013371i,-7.8384e-05+0.0016579i,0.0005495+0.0010051i,0.0010947-7.4455e-05i,0.00094894-0.00046755i,0.00050373+0.00044443i,-6.7107e-05+0.0012669i,0.00034631+0.00070354i,0.00088437-4.5548e-06i,0.00049638-0.00012394i,0.0001443+0.00010655i,-0.00018569+0.00015033i,-0.00051228+2.1281e-05i,-0.00013416-0.00030423i,-8.9627e-05-8.7722e-05i,-0.00030751+0.00017002i,-0.00027144-0.00036221i,-0.00052031-0.00019618i,-0.00060058+0.000579i
0.002809+0.0010873i,0.0019477-0.00011561i,0.0015545-0.0012027i,0.0010597-0.00069978i,0.00036918+0.00037269i,0.0001818+0.0011185i,0.00081154+0.00089841i,0.0011509+4.8903e-05i,0.00061923-0.0011514i,0.00052173-0.00077866i,0.001042+0.00082824i,0.0013795+0.00024473i,0.00069947-0.0010496i,0.00015025-0.0010279i,0.00029416-0.00049618i,-0.00035755-0.0001055i,-0.00095317-0.00029735i,-0.00078847-0.0004871i,-0.00054194-0.00067911i,0.00034486-0.00065972i,0.0012858-0.00034693i,0.00074055-1.7715e-05i,0.00043678+0.00018958i
-0.0015133+0.00063471i,-0.0010611+0.0011676i,-0.0012979+0.0014324i,-0.0016492+0.0015044i,-0.00082134+0.00061154i,-7.8204e-05+0.00078987i,0.0003452+0.00096049i,0.00046608-1.5102e-05i,5.6615e-05-0.00032145i,8.12e-05-9.5973e-06i,-0.00023948+0.00075566i,-0.00090124+0.00015259i,-0.00074769-0.00064884i,-0.0013794+9.0548e-05i,-0.0016339+0.00059096i,-0.00065494+8.1107e-05i,0.00026335-0.00045604i,0.0005146+0.00010176i,-0.00015123+0.00036422i,-0.00075042-0.00026219i,-0.00013845+0.00016104i,-7.9401e-05+0.00081593i,-1.1895e-05+0.00025581i
0.00028059-0.001487i,-0.00052735-0.00017721i,-0.0017898+0.000657i,-0.00029965+0.0008692i,0.00085069+0.00098298i,0.001308+0.0011936i,0.0013713+0.00085794i,0.0013331+0.00040952i,0.0010376-0.00021691i,-2.8657e-05-0.0012446i,0.0001742-0.0010557i,0.00033278-0.00050369i,0.00054097-0.00053821i,0.00063553+8.2068e-05i,-0.00048927+0.00019829i,-0.00092919-0.00051901i,-0.00065667-0.00071959i,-0.0002852-0.00086003i,7.0321e-05-0.00078202i,0.00020308-3.8869e-05i,0.00012738+0.00044762i,-0.00044064+0.00037541i,-0.00049782+2.65e-05i
-0.0017408+0.00098337i,-0.0009675-0.00021918i,-0.00046142-4.6666e-05i,0.00017429+0.00064699i,0.00070404+0.0013621i,0.00074198+0.0013982i,0.00040717+0.00023339i,0.00057902-0.00053252i,0.00018852-0.00017913i,8.6834e-05+4.5841e-05i,0.00031328-8.2668e-05i,-4.1006e-06-0.00066715i,-8.858e-05-0.00044958i,9.3966e-05+0.00066487i,-0.00040162+0.00011207i,-0.0010563-0.00079919i,-0.00063293-0.00039386i,7.994e-05+0.00018064i,0.00061388+0.00071758i,0.0006918+0.00011857i,0.00035908-0.00058262i,-0.00036657-0.00024842i,0.00013841-0.00027156i
0.0010303+0.0011629i,0.0018569+0.0014047i,0.0022972+0.0013519i,0.0016446+0.0011643i,0.00048359+0.0006967i,0.0011137+0.00018603i,0.0018555+0.00069249i,0.0013981+0.00084458i,0.0012638+0.00050126i,0.0011168+0.00037283i,0.0010765-1.4646e-05i,0.0011737+9.933e-05i,0.00082929+0.00061562i,-0.00012782+0.00073965i,-2.7191e-06+0.00084928i,0.00061345+0.00074966i,0.00035884+0.00021592i,-5.4952e-05-0.00038601i,-0.00035778+5.8629e-05i,-0.00012069-6.6572e-05i,6.9857e-05-1.7008e-05i,-0.0001457+0.00013409i,-0.00018579-0.00020354i
0.0013093+0.00079539i,-8.119e-05+0.0013737i,-0.00054942+0.00086613i,-0.0004158+0.00070347i,-0.0007379+0.00054028i,-0.00045548+0.0010157i,0.00031097+0.0016851i,0.00090636+0.00059131i,0.0011625-0.0004233i,0.00069592+3.3289e-05i,0.00027384+0.00062995i,0.00051981+0.00061886i,0.00051121+0.00018624i,0.00078493+0.00039633i,0.00030145+0.00072492i,-0.00024625+0.00049085i,0.00021329+0.00018992i,0.00058685-0.00015717i,-0.00023695+0.00016226i,-0.0010833-0.00017032i,-0.0007965-0.00032614i,-0.00020797+0.0002229i,-0.00011911+6.3928e-05i
0.00075287-0.00036173i,0.00035968-0.0005958i,-0.00020624-0.00033991i,-0.00079001-0.00057957i,-0.00051828-0.00056703i,-0.00042787+0.00034304i,-1.0437e-05+0.0011816i,0.00092261+0.00081789i,0.0010473+8.1518e-05i,0.00092637-0.00028931i,0.00058446-0.00059183i,-0.00028895-0.00088826i,-0.00039347-0.00054407i,-5.5648e-05+0.00019438i,0.0003853+0.00026717i,-3.6505e-05-0.00019381i,-0.00067747+0.00050453i,-0.00030659+0.0011893i,0.00023313+0.00030427i,0.0003734-0.0001503i,0.00011042-0.00025482i,-0.0001347-0.00073826i,-4.5324e-05-0.00072267i
0.00071018-0.0012577i,0.0011405-0.00048859i,0.0015476-0.00079776i,0.0011919-3.7578e-05i,0.00044648+0.00086784i,-0.00029878+0.00071788i,-0.00067422+0.00048488i,0.00036114+6.471e-05i,0.0005714-0.00029027i,0.00033004+2.8558e-05i,-0.00047549-9.7088e-05i,-0.00077592-0.00079883i,-0.00058311-0.00070405i,-0.00030529-0.00020259i,-0.00024619+0.00049116i,-0.00052844+0.00051172i,-0.00039151+1.1593e-05i,-0.00062858-6.7533e-05i,-0.00091178+0.00011368i,-0.00079208+1.3588e-05i,-0.00082031-0.00072803i,-0.00069587-0.0010723i,0.00030591-0.00070106i
-0.0001025+0.00090174i,-0.001534+0.00036473i,-0.0014193+0.00037332i,-0.00036194-0.00035251i,0.00027786-0.0010625i,0.00095334-0.00050774i,0.00094261-9.0068e-05i,0.00059184-0.00010302i,0.00074825-0.0004352i,3.9935e-05-0.00060279i,-0.00059886-0.00083987i,-0.00066222-0.00050467i,-0.00086161+0.00030313i,-0.00064421+0.00034605i,-9.7063e-05+0.00029873i,-0.00026006+8.8015e-05i,-0.00073879-0.00078056i,-0.00094016-0.00099543i,-0.00049498-0.00012687i,-0.00018383+0.00032923i,3.1008e-05-0.00013188i,0.00095483-0.00019936i,0.00081209+0.00023381i
-0.0015059+0.00034976i,-0.0011865-0.00052065i,-0.0016653+0.00038499i,-0.0012469+0.0023497i,-3.2553e-05+0.0026637i,0.00098946+0.0016093i,0.0011004+9.161e-05i,-0.00015905-0.000726i,-0.0011539-0.00094889i,-0.00053254-0.00071775i,0.0003048-0.00057117i,-0.00060743-0.00028749i,-0.0012634+0.00014445i,-0.00029466+0.00058269i,6.1644e-06+0.00081662i,-0.00044201+0.00075923i,-0.00059227+0.00094569i,3.643e-05+0.00043068i,0.00070434-0.0001283i,0.00026445+9.223e-06i,-1.1181e-06+0.00019802i,7.9709e-05+0.00060396i,-0.00025599+0.00050202i
-0.001518+0.00090126i,-0.00070592+0.0014339i,0.00029431+0.0024013i,-0.00018831+0.0022385i,-0.00051369+0.0022718i,0.00042282+0.0016916i,0.0011984+0.00047424i,0.0012213-0.00010876i,0.00052368-0.0007022i,0.0002203-0.00055545i,0.00033203+0.00039711i,0.00026245-0.00011991i,0.0007143-0.00051366i,0.00075528+0.00032148i,0.00023013+0.00096762i,-2.6285e-05+0.00094454i,-5.8277e-05+0.00078899i,-0.0001413+0.00067686i,0.00035715+0.000326i,0.00038518+0.00078316i,0.0003793+0.0011608i,0.00027116+0.00080986i,0.00016271-1.0595e-05i
