-0.0037967+0.00025199i,-0.0021613+0.0003452i,-0.0018493+0.0010626i,-0.0011864+0.0017107i,8.6659e-05+0.0029063i,0.00084956+0.0032294i,0.00092735+0.0023403i,0.00054239+0.0014861i,0.00053316+0.00078085i,0.0013239-5.9718e-05i,0.0011315-0.00047111i,3.617e-06-0.0007345i,-0.00068978-0.0014243i,-0.0013216-0.0014578i,-0.0015444-0.00069375i,-0.00072577-0.0002332i,2.3696e-05-3.8641e-05i,-3.9906e-05-0.0004421i,-2.6459e-06-0.0011153i,0.0003866-0.00085341i,-0.00020704-0.00052153i,-0.00077763-0.00053182i,-0.00049046-0.00011383i
-4.0028e-05+0.0012032i,5.5481e-05+0.00043528i,0.00043312+0.00044238i,0.00075571+0.00038355i,0.0015301-1.8474e-06i,0.0011328+0.00034515i,-0.00016226+0.00093649i,-0.00071877+0.0011916i,9.3585e-05+0.00023918i,0.00047826+0.00013796i,-0.00049122+0.00037658i,-0.00030962-0.00027426i,-0.00018481-0.00030638i,5.0999e-06-0.00010607i,0.00028312+0.00048235i,-0.0002894+0.0015226i,-0.00011094+0.0013645i,0.0011233+0.00062465i,0.0016329+0.00022032i,0.001207-0.00032863i,0.00066743-0.0010817i,0.00051011-0.00090445i,9.6464e-05-0.00018327i
-0.00088202+7.574e-05i,0.00029657+0.0011303i,0.00021569+0.0034878i,0.00076822+0.0026107i,0.00088795+0.00082701i,-1.5989e-05+9.4467e-05i,-4.4794e-05+0.00099681i,-0.0001381+0.0014133i,-8.4247e-06+0.00078709i,-0.00026493+0.00042469i,-0.00084747-0.00017272i,-0.00061867-0.00047269i,-6.4987e-05-0.00015826i,0.00022037-0.00018463i,0.00034182-0.00028612i,-3.5738e-05+3.9296e-05i,-0.00076698-0.00018869i,-0.00069764-0.00076454i,-0.00035992-0.00067691i,0.00015481-4.5448e-05i,0.00068113+0.00049645i,0.0010933+0.00026545i,0.0010743-0.00025221i
-0.00075798-0.0015665i,-0.00047456-0.0011716i,-0.000172-0.0020521i,-0.00058462-0.0017894i,-0.00082016-0.00063352i,-1.5473e-05+0.00055774i,0.0003968+0.0013209i,0.00029963+0.001262i,0.00029229-5.3425e-05i,0.00039754-0.0013595i,-0.00024082-0.0010139i,-0.00039622+9.8657e-05i,0.00032318-0.00032751i,6.5939e-05-0.0012772i,-0.00062537-0.00067191i,-0.00042855+0.00017946i,-0.0002754+7.9388e-05i,7.2591e-05-0.00011152i,0.00051926-0.00015416i,0.00056262-0.00012055i,0.00052256+2.4106e-05i,0.00089482-0.00019985i,0.00066617-0.00062621i
-4.9795e-06+0.00087982i,0.00060568+0.00076002i,-0.00059124-0.00015897i,-0.0011001-0.00083394i,-0.00055612+0.00036445i,9.1986e-05+0.0010749i,0.00048859+0.00060839i,0.0005001-0.00026812i,0.00094973-0.00029755i,0.0010367+0.00012854i,0.00067695-0.00025235i,0.00010537-0.00060187i,-0.0005641-0.00071449i,-0.00079945-0.0005155i,-0.0010813+1.9807e-05i,-0.0010435+0.00028204i,-0.00040673+0.00091407i,0.00054065+0.00070518i,0.0006815-0.00037091i,0.00047831-0.00055911i,-8.2952e-05+1.0874e-05i,-0.00063106+0.00039949i,-0.00050059+0.00059189i
0.0019618-0.0015184i,0.0027778-0.0004187i,0.00176+2.2251e-05i,0.00094341+6.3353e-05i,-4.3665e-05+0.00012638i,-0.00078593+0.00070814i,-0.0011086+0.0014113i,-0.0007663+0.0011091i,-0.00058617+0.00015678i,-4.3321e-05-0.00091405i,0.00048145-0.00089772i,-0.00051336-0.00062131i,-0.0004804-0.000439i,0.00013743+0.00015039i,-0.00038022+0.0002507i,-0.00030437+0.00014189i,9.1923e-05-0.00010553i,0.00051607+0.0001452i,0.00058402+0.00030354i,3.4934e-06-1.9629e-06i,-0.00038392-3.8067e-05i,-0.00032859+0.00032949i,0.00016238+0.00054228i
-0.0023003-2.9638e-06i,-0.0026202+0.0004333i,-0.0015574-0.00032531i,-0.00022703-0.00074766i,0.00014311-0.00042197i,0.00048243+0.0003092i,0.00048046+0.00042696i,-0.00042462+0.00027279i,-0.0008917+0.00060819i,-0.00063059+0.00019106i,-0.00025863-0.0004978i,0.00068609-0.0001944i,0.00056918+0.00030058i,-0.00020047-0.00030374i,-0.00027265-0.00079383i,-5.7951e-05-0.0008214i,0.00033066-0.00070137i,0.00037157-0.00052412i,0.00087742-0.0011345i,0.001416-0.00094397i,0.00079087-0.00068527i,0.00038901-0.0013833i,-0.00025962-0.00073005i
0.00054554-0.00071925i,0.00030403-0.00099521i,0.00087211-0.0010337i,0.00040461-0.00065067i,0.00034781-0.00031756i,0.00091521+0.00045049i,0.00065193+0.00044869i,0.0001603+0.00040606i,0.000477+0.00010833i,6.3819e-05-0.00094351i,-0.00016227-0.001743i,-5.6285e-05-0.0014729i,-0.00021835-0.0011196i,0.00013647-0.00085883i,-0.00041787-0.0004398i,-0.001069-0.00063663i,-0.00046972-0.00054235i,-8.4285e-05-7.0247e-05i,0.00077598-0.00015819i,0.0016274-0.00052223i,0.001222-0.00094059i,0.00023627-0.00048293i,0.00023618+0.00041232i
0.00038306-0.00050893i,6.9537e-05-0.00085856i,-0.00039851-0.00019485i,0.00016309+0.00068589i,0.00025627+0.0012505i,-0.00037322+0.00059891i,-0.00030371+2.3916e-05i,-0.00020838+0.001041i,-0.00063313+0.00111i,-0.00051903+0.00020147i,-0.00024916-0.00011657i,0.00068587-0.00028179i,0.0012167-0.00066872i,0.0012523-0.00063964i,0.00054166+8.4024e-05i,-0.00050858+0.00024732i,-2.4938e-05+0.00016688i,0.00028129+4.079e-05i,0.00031491-0.00026606i,0.00031269-0.00053822i,4.2885e-05-0.00033962i,-0.00030882-0.00051324i,-0.0003228-0.00066446i
0.0020852-0.00035382i,0.0025193-0.00028425i,0.0021545-0.00089639i,0.0012082-0.0017164i,-0.00025958-0.0018775i,-0.0019109-0.0013191i,-0.0018795+0.00030448i,-0.00077861+0.0010363i,0.00022355+8.6859e-05i,0.00061489-0.00034167i,0.00023329-0.00045107i,-0.00015798-0.00060106i,-0.00018873-4.1839e-05i,-0.00041907+0.00033872i,-0.00021807+0.00050224i,0.0010109+0.00031559i,0.0013276+9.7069e-05i,0.00082791-0.00031385i,0.00070913-0.00054047i,0.00021206+0.00037864i,-0.00039418+0.00043803i,-0.00060238-0.00051408i,-0.0008726-0.00083429i
1.2929e-05-0.00056736i,-0.00041975-0.00011298i,-0.00054238-0.0001627i,0.00014884+8.7123e-05i,0.00080646+0.00035564i,0.00037601+0.00057487i,-0.00011021+0.00084155i,0.00020148+0.00077739i,0.00072527+0.00033967i,0.00059424-0.00020344i,-3.2486e-05-0.00038401i,-0.00065633-0.000689i,-0.000849-0.0007753i,-0.00043902-0.0012953i,-0.00057367-0.00029214i,-0.00057972+0.00077568i,0.00010001-0.00014819i,0.0002201-3.0152e-06i,-0.00012399+0.0009698i,0.00032771+0.00058186i,0.00053163-0.00028205i,0.00039462-0.00052197i,0.00059186-0.00049754i
8.458e-05+0.00094255i,-0.00071952+0.00091359i,-0.0010875-0.00017267i,-0.00011315-0.0018686i,0.00018782-0.0016011i,0.00010737-0.00028924i,0.00025787+0.0010696i,0.0001818+0.0016279i,0.00097374+0.0002968i,0.00087194-0.0007891i,-0.00032748-0.00032299i,-0.00065208-0.00032571i,-0.00018115-0.00044771i,0.00036715+0.0001167i,0.00090142+0.00049818i,0.00072501+0.0011305i,3.0104e-05+0.0013933i,-0.00044567+0.00015891i,-0.0005183-0.00054622i,-0.00063245-0.00026617i,-0.00077034-0.00025871i,-0.00035434-0.0002288i,0.00071186-0.00023959i
0.00064045+0.0028204i,0.0014577+0.0017906i,0.0028616+0.00085851i,0.0034381-0.00014144i,0.0024607-0.00047394i,0.00053264-9.2848e-05i,-0.00028592+0.00040363i,4.8702e-05+0.0014675i,0.00070557+0.0015353i,0.0011278+0.00029797i,0.0005277-0.00045939i,9.9273e-05-0.00038306i,0.00018841-0.00058749i,0.00019262-0.00035131i,0.00019914-0.00012625i,0.00057014-0.00055749i,0.00066768-0.00019062i,0.00053651+0.00039816i,0.00043419-0.00010836i,0.00049661-0.00055562i,0.00056603-0.00060862i,0.00044823-0.00047861i,0.00061796-0.00063831i
0.00012973+0.00085169i,0.0011705+0.00025599i,0.0010955-0.00020251i,-0.00026977-0.00097204i,-0.00013694-0.0010631i,0.00018861+0.0001504i,3.8952e-05+0.00097335i,0.00012534+0.00081318i,0.00020043+0.00040907i,-3.2638e-05+0.00021467i,-0.00022536-0.00058223i,0.00050395-0.00062556i,0.00027427-0.00014622i,6.5504e-05-6.0063e-05i,5.3093e-05+6.8125e-05i,-0.00039088+0.00016079i,-0.0005235-0.00040358i,-4.0012e-05-0.00042081i,0.00057402+0.00050064i,0.00056234+0.00094462i,-7.3131e-05+0.0002308i,-0.00025609-0.00049947i,0.0004091-0.00045108i
0.00096839+0.0016494i,0.0016111+0.0011553i,0.0019521-9.0619e-06i,0.001028-0.00096378i,-0.00021914-0.0010949i,-0.0014318-4.6254e-05i,-0.0012821+0.00073337i,-0.00021453+0.00034229i,0.00053815-0.00041053i,0.00049265-0.00076671i,9.4504e-05-0.0014457i,-3.1849e-05-0.0018136i,5.1174e-06-0.00092456i,-0.00012992-5.7699e-05i,1.91e-05-0.00020474i,0.00051824-0.00035277i,0.00066236+8.1965e-05i,0.00067151-0.00019478i,0.00086993+1.5026e-06i,0.00064923-4.0422e-05i,-7.8569e-05-0.00037094i,0.00020975-0.00036428i,6.734e-05-0.00040007i
0.00024739-0.0011185i,0.00074599-0.00087645i,0.00066222-0.00082992i,0.00087732-0.00074863i,0.00091853-0.00029361i,0.00028983+0.00057207i,-2.4126e-05+0.0013384i,0.00074862+0.0019519i,0.0014441+0.0014194i,0.0014089+0.00020149i,0.00082347-0.00059588i,0.00063288-0.00082069i,0.0011615-0.00081185i,0.00086669-0.00021146i,-0.0004921+0.00081107i,-0.00094976+0.0009494i,0.00053791+0.00033178i,0.00063104-6.5645e-05i,0.0002038+2.6696e-06i,0.00020887-0.00010746i,-0.00021418+9.8303e-06i,-0.0010117+3.445e-05i,-0.0012441-0.00037628i
0.00021107-0.00050012i,0.0011933-0.0012889i,0.0015563-0.0027467i,-0.00012755-0.0027508i,-0.0011928-0.0016991i,-0.0013569-8.8656e-05i,-0.00041064+0.0012314i,0.00064679+0.0012982i,0.0012554+0.00020646i,0.0010449-0.0005638i,0.00015434-0.00019252i,-0.00027082+0.00062132i,-0.00029679+0.00046937i,0.00048385+7.8108e-05i,0.00078928-0.00056042i,0.00053673-0.0014536i,0.00024855-0.0015727i,0.00040349-0.0010074i,0.00057433+0.00033539i,-7.7198e-05+0.00084263i,-0.0006471+0.0003531i,-0.00025947-9.9235e-05i,5.9209e-05-0.00045069i
0.0014061-0.001153i,0.0013615-0.00021371i,0.0010124-0.00035151i,0.0007467-0.00057682i,-0.00075012+0.00057235i,-0.0015739+0.0016699i,-0.0014818+0.0017485i,-0.0010378+0.0012601i,0.00017269+0.00080228i,0.00041004+0.00032541i,-0.00034009-0.00049071i,-0.00075226-0.00074586i,-0.00025256-0.00056159i,0.00019042-1.4823e-05i,-0.00029577+0.00015766i,-0.0006121+0.00046675i,-0.0003753+0.0004872i,-0.00030258-6.9926e-05i,2.4631e-05-0.00015428i,0.00034016+0.00019358i,0.00024127+0.00060825i,-0.00023585+0.000769i,-0.00028197+0.00020486i
0.00058118-0.00057338i,0.00082176-0.0014964i,2.0026e-05-0.0024435i,-0.00082716-0.0012252i,-0.0011395-0.00074452i,-0.00078745-0.00039382i,-0.00066893+0.001131i,-0.00055765+0.0012938i,-0.00025352+0.00041704i,-0.00030893-0.0008512i,0.00019229-0.001526i,0.00078204-0.0013392i,0.00055838-0.00044336i,0.00017688-7.5159e-05i,-0.00025616-0.00040244i,-0.00021499+0.00011075i,0.0007141+0.00038326i,0.0012322-0.00047025i,0.00088738-0.0011038i,0.00070106-0.0013194i,0.00048843-0.00094041i,-0.00049974-0.0004514i,-0.00080824-0.00043958i
-0.0038651+0.00078183i,-0.0040625+0.00089977i,-0.0017632+0.0014515i,0.00015347+0.0013603i,0.00060854+0.00022404i,5.099e-05-0.00012523i,-4.7032e-05-4.9696e-05i,0.00040103+0.00033779i,0.0010297+0.0004324i,0.0011512-0.00055869i,0.00053958-0.0011106i,0.00014243-0.00082528i,0.00030271-0.0005938i,-0.00016105-0.00085824i,-0.00087845-0.0009877i,-0.00063136-0.00044007i,-0.00028633-0.00018515i,-0.00037236+0.00033789i,-4.675e-05+0.00063387i,0.00067321-0.00032546i,0.0004575-0.00081463i,0.00026338-0.00015028i,2.1586e-05+0.00043556i
0.0021174+0.002328i,0.0012666+0.00146i,0.0015911-0.0001005i,0.0023705-0.00061954i,0.0017287-0.00010965i,0.00030835-7.9386e-05i,-0.00043203+0.0001656i,-0.00023479+0.0011192i,-8.1271e-05+0.0014427i,-0.0001506+0.00096728i,0.00029863+0.00038228i,0.00026995-0.00023876i,0.00069861-0.00042301i,0.00081704-0.00050657i,0.00041177-0.0003242i,0.00031761-0.00023747i,0.0002001+0.0001207i,0.00040333+0.0004991i,7.4666e-05+0.00034464i,-0.0008068+0.0004897i,-0.0012531+0.00075172i,-0.00046241+0.00055378i,0.00021606-0.00010105i
-0.00032532+0.00131i,0.0015296+0.00059289i,0.0016333-0.00078059i,-0.00026693-0.0012435i,-0.00072924-0.00034858i,-0.0001516+0.00044204i,1.157e-05+0.00058163i,-0.00017709+0.00043398i,-0.00030436+0.00024019i,-0.001088-0.00074751i,-0.0010394-0.0017147i,0.00024089-0.0012509i,0.00086181-0.00062437i,0.00037248-0.00081089i,-5.0988e-05-0.00039803i,-0.0004523+0.00059534i,-0.00035745+0.0012984i,0.00050963+0.0015273i,0.0006942+0.0010171i,0.00082829+0.00051306i,0.00076407-0.0001555i,0.00051711-0.00076766i,0.00024611-0.0011629i
-0.0025947+0.00032571i,-0.0015276+0.00018711i,0.00035953+0.00034883i,0.0015201+0.00017322i,0.0015767-0.00079945i,0.00028531-0.0014007i,-0.00034437-0.00056295i,0.00038492+0.00036367i,0.00076186+9.0607e-05i,0.00040511-0.00053459i,-0.00084351-0.00088659i,-0.00092698-0.00077925i,-0.00011153-0.00021512i,7.8439e-05-5.6477e-05i,-8.1619e-05-0.00020741i,-0.00019842+0.00069229i,-0.00033754+0.0012102i,-0.00049842+0.00035532i,-6.2474e-05+0.00047607i,0.00088515+0.00070425i,0.0014146+7.4368e-05i,0.0010863+0.00029439i,4.0456e-05+0.00049291i
0.0015147+0.0012087i,0.00080867+0.00052305i,-0.00015051-0.0014358i,-0.00046314-0.0021441i,-0.00088159-0.0012785i,-0.0010196-0.000457i,-0.00026217+0.00036383i,0.0005285+0.0014519i,0.00061816+0.0012742i,0.00044163-0.00019427i,0.00070547-0.00081203i,0.0009703-0.00049394i,0.0013213-0.0005011i,0.0013454-0.00014157i,0.0010568+7.2176e-05i,0.0008058-0.00092177i,0.000577-0.0016547i,6.3621e-07-0.0015426i,-0.0005926-0.00055805i,-0.00020097-0.00024894i,0.00056171-0.00027674i,0.00019007-9.1701e-06i,0.00039811-0.00066879i
0.0002007-0.00087949i,0.00083375-0.00056716i,0.0004922+0.00025931i,-0.0010748+0.00057929i,-0.0011696+0.00052109i,0.00013442+0.00031499i,0.00075587+0.00063093i,-4.2248e-06+0.0013906i,-0.00056089+0.00043503i,4.4007e-06-0.00079537i,8.1469e-05-0.00012721i,-0.00030359+0.0003579i,0.00041618+0.00012443i,0.00026207-0.00027555i,-0.00062046+0.00023306i,-0.00051091+0.00059177i,-0.00025199-0.00022084i,9.4675e-05-0.00062726i,0.00024997-0.00025651i,0.00077677-9.3547e-05i,0.00092915+0.00034923i,0.00030558+0.00042701i,0.00053941-0.00035383i
-0.00052006-0.0011764i,0.00039787-0.0011092i,0.0011008-0.0010564i,0.00097842-0.00059265i,0.0012069-0.00063804i,0.00064283-0.00038299i,8.3358e-05+0.00039855i,0.00048625+0.0011973i,0.00065996+0.00055656i,0.00058337-0.0010117i,0.00054951-0.00096513i,0.00030716-0.00047353i,9.2706e-05-1.1971e-05i,0.00017197+0.00035111i,-7.171e-05+0.00057332i,-0.00029364+0.00087438i,0.00043232+0.00019351i,0.0015504-0.00044123i,0.0015425+0.00013861i,0.00052594+0.00048424i,0.00028423+0.00045878i,0.00054896-0.00012106i,1.7325e-05-0.00063423i
-0.00033756+0.00051147i,-0.00097851-9.207e-05i,-0.00079941-0.0021879i,-0.00092162-0.0037067i,-0.0017413-0.0024015i,-0.0023333+0.00079972i,-0.0011134+0.0021923i,0.00053876+0.0014467i,0.0013799+1.7635e-05i,0.0014889-0.00090176i,0.00061191-0.0012937i,6.9519e-05-0.0014985i,0.00020359-0.0010771i,0.00030135-0.00013148i,0.00057234+0.00010177i,0.00068613-0.00016215i,0.00040388+1.4516e-05i,0.00041804+0.00053345i,0.00010504+0.00033989i,-0.00029236+3.7399e-05i,-0.00027234-9.2795e-05i,0.00011485-0.00031246i,0.00077595-0.00094625i
0.0011988+0.00013508i,0.0011023+0.00091976i,0.0021529+0.0012454i,0.0019797+0.00041251i,0.00087687+6.2354e-05i,0.00033328+0.00075164i,0.0011458+0.0029236i,0.0030524+0.0032544i,0.0040899+0.0010121i,0.0031963-0.0012531i,0.0012327-0.0022886i,8.7406e-05-0.002163i,-0.00065087-0.001743i,-0.00060944-0.0010463i,0.00036035-0.00029862i,0.00080809-0.00011897i,0.00044632-0.00011659i,0.00012784+0.00028717i,0.00010035+0.00057722i,-0.0002911+0.00037752i,-0.00043766-0.00072157i,-2.3477e-05-0.0010451i,0.0002726+0.00023659i
0.0012117-0.002585i,-3.5847e-05-0.0033033i,-0.0017596-0.0047271i,-0.0021662-0.0037466i,-0.0022541-0.0011384i,-0.0019227+0.00067837i,-0.0024038-0.00012104i,-0.0042249-0.0006011i,-0.0052119+0.00041061i,-0.0042707+0.0018279i,-0.0027935+0.0034141i,-0.0015193+0.0036694i,-1.328e-05+0.0033976i,0.0012361+0.0026441i,0.00098214+0.00072621i,0.00069304-0.00030274i,0.00029243-0.00033978i,-0.00068888-0.0005208i,-0.00044262-0.00031384i,-7.1504e-05+1.9224e-05i,0.00015164+9.0765e-05i,0.00094323-0.00037908i,0.00090448-0.00065368i
0.0014513-0.00064353i,0.00047196-0.0018187i,0.0010698-0.0015481i,0.0017292-0.0015047i,0.00037835-0.0010409i,-0.00086959+0.00019275i,-0.00092659-0.00022692i,-0.00047406-0.0010891i,-0.00023816-0.0016214i,-0.00094814-0.0016391i,-0.0017366-0.00063142i,-0.0016164-0.00055696i,-0.0010674-0.00073456i,-0.00044396+0.00080722i,-0.0005952+0.001637i,-0.00096664+0.00080851i,-0.00062858-0.00032804i,9.8104e-05-0.00037055i,0.00022316+0.0003031i,0.00014969+0.00036187i,0.00026266-0.00034372i,0.00018687-0.00039783i,0.00066403+0.0003493i
-0.0023736+0.0012955i,-0.00083999+0.0014178i,-0.00028732+0.00033956i,-0.00048163-0.00036232i,-0.00016759-0.00062804i,-0.00018585-0.0011769i,-0.00050797-0.0015567i,-0.00044506-0.00041353i,-0.00014209+0.00023896i,-0.00053483-0.0001538i,-0.0010275-0.00046262i,-0.00085936-0.00023928i,-0.00062503-0.0011082i,-0.00061122-0.0018147i,-0.00097013-0.00064056i,-0.001187+0.0009873i,-0.00040301+0.0002898i,0.00042805-0.00039441i,-0.00015905-0.00012839i,-0.00049189-0.00098808i,-0.00035336-0.00097942i,-0.00022725-0.00023161i,-0.00038474+2.2256e-05i
0.0018937-0.0022617i,0.0017122-0.0018825i,0.0015546-0.0012761i,0.00055182-0.0013416i,-0.00031198-0.0011909i,-0.00082165-0.00043598i,-0.0012329+0.00040635i,-0.00036341+0.00090233i,0.00074417+0.00077722i,0.00062114-0.00045186i,0.00015779-0.00056573i,-3.307e-05+0.00043752i,0.00013147+0.00028748i,0.00030761+0.00012941i,4.6343e-06+2.3998e-05i,-0.00023186-0.0003579i,-0.00039278-0.00081606i,8.1425e-05-0.00051801i,0.00061813+3.3291e-05i,0.00046636-0.00010161i,8.1023e-05-0.0007224i,5.8986e-05-0.00057307i,-0.00026935-6.2209e-05i
0.0012762+0.00015861i,0.0016685+0.00023103i,0.00088404+9.1723e-06i,0.00051976-0.00085759i,0.00063131-0.0015261i,0.0005515-2.6307e-05i,0.00097643+0.0013771i,0.00050676+0.0012227i,-0.00063+0.00078605i,-0.00059963+0.00072726i,-0.00051153+3.9533e-05i,-0.00048394+9.724e-05i,4.3511e-05+0.00030167i,0.00012911+0.00019956i,9.0379e-05-0.00012813i,0.00074445-6.1934e-05i,0.0010281+3.9998e-05i,-0.00013022-0.00021357i,-0.0011379-7.3322e-05i,-0.00010171+0.0002526i,0.00073309+0.00051334i,0.00033072-6.6888e-05i,0.00032241-0.0010496i
0.00025891+0.00037598i,0.00035212+0.0003606i,0.00060962-0.00060742i,0.00011375-0.0015974i,-0.00056253-0.0014803i,-0.00072322-0.00058161i,-0.0006818+0.00017157i,-0.0011028-4.6714e-05i,-0.00073839-0.0010824i,-0.00067254-0.0017575i,-0.00046727-0.00095573i,0.00022613-0.00013636i,1.0182e-05+2.5918e-06i,0.00035612-5.594e-05i,0.0010152-0.00055075i,0.00088772-0.00073721i,4.1868e-05+9.211e-05i,-0.0011345+0.00054337i,-0.0012696+0.0007586i,0.00016493+0.0004875i,0.00065623+5.7153e-05i,-0.00015628-7.6352e-06i,-0.0002481-0.00046832i
0.0030728+0.00019872i,0.002189+0.00040094i,0.0019418-0.00035965i,0.0019325-0.00099946i,0.0013136-0.00095046i,0.00039288-0.00048179i,-0.00039298+0.00034877i,0.00013897+0.00078219i,0.00096064+0.00030405i,0.00050878-0.00085258i,1.6331e-05-0.00189i,0.000213-0.0017657i,0.00018128-0.00082605i,-0.00087723-0.00036152i,-0.00073214-0.00028786i,0.00066857+0.00017887i,0.00047559+0.0010404i,-0.00025215+0.00078888i,-0.0003744+1.7812e-05i,-0.00065738+0.0001279i,-0.00063951+0.0007394i,-0.00047733+0.00057556i,-0.00045558-9.735e-05i
-0.00054633+0.00041568i,1.7977e-05+0.0002563i,0.00012593+0.00073202i,0.00080756+0.00098456i,0.0012704+0.0010414i,7.504e-05+0.00085657i,-0.00085925+0.0012308i,-0.00038698+0.0017412i,-0.00028306+0.0020978i,0.00018475+0.0016793i,0.00092726+2.0507e-05i,0.0008799-0.0001026i,0.00025182+0.00064926i,-0.00047342+2.1387e-05i,-0.00089732-0.0010579i,-0.00057144-0.00081606i,0.00053409-7.1929e-05i,0.00085119-0.00016986i,0.00031105-0.00030323i,-0.00026363-2.0267e-06i,-0.00045493-0.00024511i,-0.00035438-0.0004595i,0.00078449-0.00013172i
-0.0024431-0.00037103i,-0.0010858+9.8271e-06i,0.00032876-0.00023148i,0.00050878-0.00036572i,-0.00025344+0.00036769i,-0.00058917+0.000856i,-0.00054281+0.0011945i,-0.00011567+0.00029412i,-0.00041961-0.00069368i,-0.0010291-0.00034452i,-0.0010015-2.5788e-05i,-0.00013358+0.00040545i,0.00019894+0.00019908i,-0.00046489+0.00024795i,-0.00051914+0.00032076i,-0.00024554-0.00060934i,-9.3452e-05-0.00092785i,0.00028096-0.00076892i,0.00062715-0.00048277i,8.1636e-05+0.00022705i,1.4822e-05+0.00028918i,0.00052533+0.00031153i,-7.5817e-05+0.00091624i
0.0018512+0.00033725i,0.0010848+0.00037788i,0.0010341-8.5268e-05i,0.00144-0.00060754i,0.00022867-0.00093829i,-0.0013747-0.0005541i,-0.0010729+0.00061143i,-0.00016579+5.4257e-05i,0.00064125-0.0014362i,0.00068989-0.0019689i,0.00029427-0.0010792i,-0.0001234-0.00048804i,-0.00022686-0.00061267i,0.00020001-0.00098414i,0.00014692-0.00042604i,-6.9728e-05+0.0004703i,-0.00030076+0.00053811i,-0.0003375+6.4613e-05i,0.00044826-0.0002876i,0.00072174-0.00036742i,0.00024242-0.00039972i,0.0001236+5.1893e-05i,-8.0215e-05+0.00038604i
-0.00095723+0.0019812i,-0.00054882+0.0024744i,-0.00040293+0.0018389i,0.00018528+0.0012979i,0.00081559+0.0010471i,6.7782e-05+0.00066853i,-8.8151e-07+0.00053735i,0.0012169+0.001215i,0.0016455+0.00095273i,0.0020368-0.00065401i,0.0023379-0.00077836i,0.0012757-0.00051916i,0.00035676-0.0013336i,0.00046097-0.00040355i,5.7629e-05+0.001033i,-0.00078593+0.00052216i,-0.00046948+0.00034972i,0.00040807+0.00033654i,0.00037168-0.00066337i,0.00031724-0.00041283i,0.0001463+0.0004504i,-0.00026743+0.00020742i,-0.00054886-0.00017952i
-6.2951e-05+0.00057279i,-0.00045439+9.6702e-05i,0.00047945+7.4989e-05i,0.0014681-0.00023284i,0.00066463-0.00041991i,-0.00068694+0.00027269i,-0.00093351+0.001304i,-0.00085846+0.0023075i,-0.00044652+0.0025608i,-0.0002567+0.0014811i,-0.00028538+0.00017491i,-6.6639e-05-2.6152e-05i,-0.00060184-1.7725e-05i,-0.00087203-0.0002822i,-0.00085387+0.00048402i,-0.00094611+0.00089683i,1.9531e-06+0.0003451i,0.00077191-7.7244e-05i,0.00096327+0.0002698i,0.00050369+0.00032154i,0.00042559-0.00042636i,0.00054161-0.00022046i,0.00025973+0.00027605i
-0.00044122+0.0019749i,0.0012091+0.0030103i,0.002441+0.0024075i,0.0020128+0.00048216i,0.00079178-0.00045454i,0.00013345-0.00035356i,-0.00014802-4.8213e-05i,-0.00080845+0.00020111i,-0.001111-0.00015956i,-0.00080856-0.00098813i,-8.8559e-05-0.0012474i,0.00049561-0.00073112i,0.00040279+2.4458e-06i,-0.00015377-0.00013196i,-0.0002891-0.00015471i,-0.00052186+0.00033575i,0.00012495+0.00069484i,0.00098539+0.00064827i,0.00020577+0.0011119i,-0.00060397+0.0012037i,4.8047e-05+0.00061463i,0.00092544+0.00050496i,0.00068604+0.00080572i
0.00016158+0.0008593i,0.00092005+0.00060934i,0.0017886-0.00072941i,0.0017804-0.00027323i,0.0004988+0.001159i,-0.00057629+0.0012249i,-0.0010672+0.0013394i,-0.00070571+0.00079316i,0.00038558-0.0013178i,0.0010101-0.0028749i,0.00080518-0.0027509i,0.00039057-0.0013565i,-0.00030811-8.77e-05i,-0.0004065-0.00010854i,-2.0696e-05-0.00041483i,0.000111-0.00044605i,-4.6905e-05-0.00034924i,-0.00046654-0.00048049i,-0.000821-0.00037501i,-0.00056894-7.9529e-05i,3.8875e-05-0.00041958i,0.00043991-0.00075819i,0.00020012-0.00043998i
-0.001391-0.0011219i,-0.0014313-0.0019394i,-0.0014379-0.0012436i,-0.0010882-0.00017808i,-0.00083529-0.00028009i,-0.00080562+0.00021745i,-0.00014904+0.0011711i,0.0013513+0.0013465i,0.0020268+0.0010968i,0.0018569+0.00066388i,0.0011377-0.00016928i,0.00027844-0.00083696i,-7.7546e-05-0.0012965i,-0.00023312-0.0013909i,-0.00048907-0.00037105i,-0.00057411+4.7883e-05i,0.00033194+0.00047638i,0.00072523+0.00062416i,0.00017927-0.00016115i,-0.00054785-0.00019736i,-0.0010336-0.00031747i,-0.0012007-0.00087951i,-0.0003682-0.00062407i
4.4754e-05+2.6666e-05i,0.0010979+0.00016521i,0.0019406-0.00016199i,0.0011726-0.00078943i,-1.8261e-05-0.00068692i,-1.4723e-05+0.00014587i,-0.00031997+0.00077535i,-0.0017369+0.0016211i,-0.0021852+0.0014042i,-0.0024425+0.0011513i,-0.0017971+0.00075051i,-0.00082529+7.4638e-05i,-0.00055405+0.00023222i,7.866e-05+0.00048377i,0.00073502+0.00072406i,0.00012413+0.00061659i,-0.00051073+5.085e-05i,-0.00022515-0.00081204i,-7.9291e-05-0.0013278i,0.00026831-0.00061065i,-0.00053279+0.00022955i,-0.00093015+0.00015776i,-0.00059785+0.00011503i
