-0.00011734+0.0006892i,0.0010043-7.95e-05i,-0.0010265-6.5668e-05i,-0.00082792-9.4196e-05i,-3.5574e-05+0.0011099i,-0.0013339+0.0025494i,-0.0019944+0.0034552i,-0.00039819+0.0029584i,0.0012684+0.00034306i,0.0013996-0.0018193i,0.00074064-0.0025113i,0.00087875-0.0025223i,0.0011774-0.0016541i,0.00030841-0.00091498i,-0.00048301-0.00068334i,-6.694e-05-0.00054066i,-0.00021031+0.00012504i,-0.00078271+0.00068814i,-0.00015969+0.00012885i,0.00036649+0.00014058i,0.00048849+6.9107e-05i,0.00061237-0.00036488i,0.00080597-0.00018017i
0.00019172-0.0010488i,-0.00070115-0.0016703i,-0.0020989-0.00069357i,-0.002314+0.00054139i,-0.0018695+0.0016451i,-0.0012863+0.0026795i,-0.00066932+0.0030639i,0.00041295+0.0023664i,0.001972+0.00024716i,0.0027552-0.00079765i,0.0029072-0.00026583i,0.0040751-0.00015537i,0.0046757-0.00058412i,0.0033092-0.0010303i,0.0023539-0.001049i,0.0022782-0.0006131i,0.00095952-0.00037186i,-0.00043-0.00055545i,-0.0010186-0.00021683i,-0.0010849-0.0003218i,-0.00055618-0.00041183i,-0.0003963+9.1739e-05i,-0.00022139-0.00032375i
0.0018536-0.00056525i,0.0037206+0.00016804i,0.0036349-1.993e-05i,0.0019722-0.00064475i,0.00072696-0.001325i,0.00024897-0.0012213i,-0.00021088+1.2097e-05i,-3.8081e-05+0.00019433i,0.0011498-0.00075585i,0.0017731-0.0011762i,0.00189-0.0018171i,0.0023942-0.0031924i,0.0025918-0.0039548i,0.0017999-0.0035145i,0.00071451-0.0030512i,0.00012909-0.0027601i,-0.00042436-0.0020052i,-0.00059551-0.0011204i,6.4008e-05-8.981e-05i,0.00048221+0.00041045i,-0.00013004+0.00051811i,-0.00025757+0.0002705i,0.00041342-0.00013151i
0.00074899+0.0010476i,0.00073217+0.0022323i,0.00091+0.0014026i,0.00094851-0.00035972i,-0.00026266-0.0015906i,-0.0010575-0.0010109i,-0.00090882+0.0007867i,0.00049174+0.0018372i,0.0021243+0.0010444i,0.0018993-0.0012762i,0.0014126-0.0036153i,0.0010856-0.0054835i,0.000497-0.0053308i,-0.0004925-0.003679i,-0.0015439-0.0028761i,-0.0019093-0.0018877i,-0.0019149-0.0014345i,-0.0015138-0.0012545i,-0.00036852-0.00078553i,-0.00081664-0.00083278i,-0.0013769-0.00075203i,-0.00022331+0.00038472i,0.00042506+0.0014917i
-0.0012351-0.0011972i,-0.0015856-0.0016367i,-0.00083002-0.0016156i,8.4251e-05-0.00046925i,-5.0395e-05+0.00036594i,0.00011802+0.00095008i,-0.00045042+0.001439i,-0.00034124+0.00082563i,0.0013222-0.00029816i,0.0012791-0.0011723i,-0.00070678-0.0021614i,-0.00096006-0.0019381i,-0.00061964-0.00025478i,-0.00070461+0.00053959i,-0.00021373+5.0533e-05i,-0.00010954-0.00020388i,-0.00053963-0.00087247i,-0.00085152-0.0016046i,-0.0014171-0.0013087i,-0.0011977-0.00069272i,-0.00036846-0.00019135i,-0.0003758+0.00017398i,-0.00058381+0.00032953i
0.00029762+0.00082532i,0.00054426+4.3091e-05i,0.00057603-0.00010138i,0.00031278-0.00012764i,0.00075812-0.00048172i,0.00065829-0.00035981i,-0.00044682+0.00086813i,0.00039696+0.00094372i,0.0015676+0.0007068i,0.0008977+0.00070864i,0.00010731+0.0012132i,0.00084209+0.0026096i,0.0019509+0.0024508i,0.0017296+0.00076208i,0.00068304+0.00023008i,0.00053386+0.00066926i,0.00032201+0.00073729i,-0.00072411-8.3133e-05i,-0.00056322-0.0015269i,0.00024561-0.001559i,0.00063912-0.00063116i,3.153e-05-0.00025563i,-0.00092176+9.445e-05i
7.243e-05+0.0015388i,7.6165e-05+0.0021593i,-0.00094415+0.0021834i,-0.0018378+0.0019918i,-0.0015758+0.0022953i,-0.0009937+0.0024426i,-0.0010797+0.0021596i,-0.00052026+0.0015799i,0.00094457+0.00088444i,0.0012921+0.00032363i,0.0010611+9.5711e-05i,0.002207+0.0010177i,0.0033183+0.00062705i,0.0024796-0.000974i,0.00085227-0.00083655i,0.00031784+0.00046884i,0.00044117+0.00091276i,0.00037322+0.00024855i,0.00044205+0.00029708i,-0.00014495+0.00022155i,-0.00024504+0.00013254i,-0.00026429+0.00076328i,-0.00065775+0.00090175i
-0.00040678-0.0020665i,7.065e-05-0.0016516i,0.0012828-0.0011644i,0.0012885-0.0018406i,0.00065801-0.0011425i,-0.0005818+4.7721e-05i,-0.0007564+0.00098094i,0.00065687+0.0011555i,0.0017851+0.00016928i,0.0020427-0.0013847i,0.0028545-0.0024376i,0.0037391-0.0027574i,0.0038277-0.0035025i,0.0028308-0.0040394i,0.0013395-0.0038972i,-0.00015587-0.0026556i,-0.000959-0.0015566i,-0.00087887-0.00089815i,-0.00048882-0.00061273i,-0.00063234+0.00016096i,-0.00071784+0.00076502i,-0.00025625+0.00044957i,-0.00013133+0.00032447i
0.0058011+0.00034973i,0.0055265-0.0014813i,0.0059272-0.002574i,0.0042226-0.0031522i,0.00084966-0.0033081i,-0.0011129-0.00076106i,-0.00089236+0.001992i,0.00091156+0.0018012i,0.0026873+0.00077284i,0.0030348-0.001242i,0.0033208-0.0037714i,0.0039702-0.0046266i,0.0036906-0.0042314i,0.0018575-0.003343i,0.00058305-0.0025397i,-0.00022825-0.0022374i,-0.0012936-0.0010213i,-0.0017596-0.00080075i,-0.0014846-0.0011839i,-0.00077637-0.0010009i,-0.00068008-0.00047261i,-0.0004098-0.00012584i,-0.00038854+0.00023153i
-0.0019549-0.00055574i,-0.0024349-0.00024106i,-0.0027306+0.0014634i,-0.0024358+0.0031479i,-0.00094399+0.002938i,4.4229e-05+0.0019771i,-0.00053733+0.0012178i,0.00017769+0.0016708i,0.0015141+0.0012862i,0.0020723+0.00015636i,0.00095208-0.0003098i,2.4156e-05-0.00011159i,0.00026288+0.00048393i,-0.0003655+0.00033471i,-0.0010527-0.00075057i,-0.00073421-0.0010511i,-0.0010531-0.00081138i,-0.0016439-0.00082566i,-0.0014082-0.0014853i,-0.0007984-0.0013772i,-0.00078428-0.00075155i,-0.0012813-0.00072565i,-0.00042792-5.913e-05i
-0.0030965-0.0014969i,-0.0040154-0.0012503i,-0.0036684-0.000754i,-0.0022872-0.00034385i,-0.00090049+0.00033034i,-0.0008576+0.00066596i,-0.0016216+0.0012307i,-0.00075879+0.0011288i,0.00050085-0.00020733i,0.00058883-0.00073567i,-0.00046944+0.00060436i,-0.00076441+0.0019317i,-0.00037725+0.0017426i,-0.00067464+0.00096457i,-0.0010957+0.00094419i,-0.00083319+0.0008185i,-0.00051929+7.7287e-05i,-0.00079617+6.2344e-06i,-0.00076519+0.00047902i,-0.0002903+0.00073308i,0.00017092+0.00025786i,-0.00033231+0.0004196i,-0.00027414+0.0013537i
-0.0010652+0.0013799i,-0.00099057+0.0009643i,-0.0004822+0.0019148i,0.00014517+0.0023847i,0.00027277+0.0010405i,-3.5471e-05+0.00015192i,-0.0011542+5.8717e-05i,-0.00097028+0.00083656i,0.00086095+0.0016147i,0.0010428+0.00026979i,0.00024142-0.00077564i,0.0017804-0.00057081i,0.0029969-0.0012751i,0.0026886-0.0019262i,0.00226-0.00031286i,0.0011525+0.0009866i,5.7898e-05+0.00016864i,-0.00016609-0.0012115i,-0.000449-0.0014281i,-0.00071668-0.00079269i,-0.00037163-0.00026307i,-0.00053771-0.00056006i,0.00033825+0.00025518i
0.00076483-0.00099693i,0.00071223-0.00044966i,-0.00014784+9.8157e-05i,-0.00034911-0.00044308i,-0.00080151-0.0011919i,-0.0018969-0.00035004i,-0.001668+0.0012341i,6.9427e-05+0.00153i,0.0017608+0.0010278i,0.0030949-0.00015717i,0.0038301-0.0013058i,0.0047868-0.0010253i,0.0052353-0.00057753i,0.0037639-0.00094493i,0.0019054-0.00093165i,0.0010251-0.0012945i,0.00056323-0.00168i,0.00025569-0.0014368i,-0.00058623-0.0017564i,-0.001414-0.0021604i,-0.00079892-0.0013288i,-0.00043319+0.00011024i,-0.0011469+0.00064769i
-0.0010873+0.00044095i,-0.00103-2.4833e-05i,-0.00094621-0.00039768i,-0.00082526-0.00034099i,0.00062377+0.00018116i,0.00074029+0.0013753i,-7.2616e-05+0.002184i,-6.6539e-05+0.002124i,0.0013098+0.001261i,0.0033673-0.0001893i,0.0045635-0.0013959i,0.0051896-0.0024873i,0.0045651-0.0023949i,0.0025398-0.0017435i,0.0014404-0.0016187i,7.7834e-05-0.0016626i,-0.00099088-0.0014813i,-0.0013413-0.00082124i,-0.0012294-0.0010365i,-0.00049235-0.0016614i,-0.00069015-0.0010416i,-0.00073462-0.00029528i,-0.00048848+0.00036268i
0.00011461+0.0004338i,-2.3084e-06+0.0015616i,-0.00064739+0.0024761i,-9.0671e-05+0.0019406i,0.00075679+0.0015881i,0.00033819+0.00086615i,-0.0016072+0.00034351i,-0.0014261+0.0010697i,0.0011156+0.00031048i,0.0014407-0.0015496i,0.0001385-0.0015099i,-0.00077716-0.00057838i,-0.0012256-0.0011142i,-0.0011617-0.0016691i,-0.00094792-0.0014586i,-0.00056658-0.00081915i,-0.00084908-0.0003573i,-0.0018172-0.0008812i,-0.001511-0.0016528i,-0.00050191-0.0011195i,-0.00027935-2.3995e-05i,0.00031181+0.00024013i,0.00097701+0.00078253i
0.0015413+0.001658i,0.0020579+0.00092922i,0.0034462+0.00019675i,0.0028512-0.00030236i,0.00071826-0.00076218i,-0.00078661-0.00074525i,-0.00065306+0.00045778i,3.7682e-05+0.0014272i,0.00043578+7.4707e-05i,0.00070882-0.0020899i,-0.00021852-0.0025012i,-0.001283-0.0017147i,-0.001046-0.0025344i,-0.00024308-0.0032427i,-0.00040741-0.0023537i,-0.00044618-0.00052931i,-0.00018077+0.00071654i,-0.00065299+0.00086214i,-0.0014156+0.0008239i,-0.0013733+0.0010284i,-0.00062154+0.0015676i,0.00026168+0.0012959i,0.00072487+0.00088386i
-0.0020628+0.00078193i,-0.0010831+0.0012759i,-0.0012975+0.0017555i,-0.0014568+0.0016031i,-0.00099826+0.0012127i,-0.0008631+0.00074755i,-0.0010103+0.00085034i,-0.00034717+0.0013821i,0.0014458+0.0012246i,0.0013268-7.9434e-05i,0.0008283-0.0010272i,0.0014978-0.0011771i,0.0024063-0.0013241i,0.002279-0.0008355i,0.001428-0.00056174i,0.0014551-0.00028009i,0.0010858+7.4589e-05i,0.000125-0.00045684i,-0.00064017-0.00062386i,-0.00030636+0.00017753i,0.00015615+0.00073011i,-6.8916e-05+0.00032878i,7.2685e-05+8.707e-05i
-0.0010536-0.001319i,-0.00082698-0.0015638i,-0.00039707-0.00086609i,-0.0003811-0.00089754i,-0.0007446-0.00046026i,-0.00092729+0.00033865i,-0.00054803+0.0010015i,0.0004728+0.0015351i,0.0007349+0.00057035i,0.0015809-0.00068413i,0.0040082-2.6099e-05i,0.0064437+0.00095562i,0.0067627+0.00097662i,0.0037485+3.2158e-05i,0.00067238-0.00023795i,-9.1744e-05-0.00040487i,-0.000775-0.0016254i,-0.0010566-0.0021517i,-0.000841-0.0014197i,-0.00039944-0.0009574i,-0.00042771-0.00025451i,-0.00092792+0.00065317i,-0.0011119+0.00053572i
0.0009143+0.0028824i,0.0012832+0.003028i,0.0024238+0.0031845i,0.0030652+0.0023608i,0.0033056+0.00085491i,0.0018351-0.00021983i,0.00039249+0.00049877i,0.0011781+0.0021496i,0.0022743+0.0022111i,0.0030348+0.0010396i,0.0037933+0.00061067i,0.0045349-0.00010233i,0.0044071-0.00080269i,0.0023972-0.0010044i,0.0011639-0.00059633i,0.0012283-0.00028088i,-0.00026969-0.00026547i,-0.00097061-0.00023875i,-0.00081608-0.00053485i,-0.00089419-0.00060948i,-0.00029572-0.00048722i,0.00029611-0.00040202i,0.00047371+8.9995e-05i
0.0022926-0.0017585i,0.0024199-0.0011228i,0.0010689-0.0011027i,8.4055e-05-0.00071678i,-0.0001873-4.3182e-05i,-0.0011487+0.00041916i,-0.0011926+0.001775i,-2.4598e-05+0.0022192i,0.0015954+0.0011579i,0.0022464-0.00029553i,0.00087827-0.002168i,-0.00067851-0.0032992i,-0.00099227-0.0033001i,-0.00066786-0.0026645i,-0.00031917-0.0013507i,-0.00048926-0.00040307i,-0.00083081+0.00027279i,-0.00099568-9.0429e-05i,-0.00080563-0.00073256i,-0.00037271-0.00047263i,-7.4831e-05+0.00030182i,-0.00051777+0.0005282i,-0.0015124+0.0003693i
0.00089679-0.0023956i,0.00014443-0.0027708i,-0.00035944-0.00429i,-0.00090914-0.0044528i,-0.0019671-0.0028335i,-0.0017445-0.00071268i,-0.00055849+0.00087148i,0.00011355+0.0013802i,0.00079689+0.00049719i,0.0011791-0.0019388i,0.00061499-0.0045587i,0.00025243-0.0050816i,0.00067464-0.0047685i,0.00085064-0.0035565i,-0.00031741-0.001681i,-0.0013241-0.00070327i,-0.00077442+0.00020858i,0.00026963+0.0010891i,0.00018177+0.001364i,0.00063336+0.0011i,0.00049441+0.0012983i,-0.00043157+0.0014155i,-0.00090131+0.0015354i
0.00089787+0.00064847i,-0.00017836-0.00045044i,-0.00015587-0.00010616i,-0.0016299+0.00016952i,-0.002929+0.00039743i,-0.0027308+0.00091606i,-0.0022284+0.00164i,-0.00075916+0.00224i,0.0010851+0.00080099i,0.0018937-0.0014471i,0.0013297-0.0023234i,0.0010996-0.001672i,0.0021931-0.0011245i,0.002412-0.0011977i,0.0014466-0.00041735i,0.0001856+0.00058027i,0.00025069+9.7224e-05i,0.00076406-0.00052202i,-0.00020969-0.00030868i,-0.00067298-0.00032898i,-0.00033539-7.2112e-05i,-0.00090537+0.0003816i,-0.0012429+0.00013008i
0.0011004+0.0018992i,0.0024046+0.0012219i,0.0039777+0.00080371i,0.0040333+0.0007493i,0.0033842+0.00016706i,0.0024043-0.00078628i,0.00067468-5.0973e-05i,-0.00041004+0.0014796i,0.00010862+0.0016309i,0.00079316+0.0013248i,0.0017439+0.0021924i,0.003374+0.0039129i,0.0037346+0.0037925i,0.0022134+0.0020542i,0.00068745+0.0004328i,0.00065568-2.9912e-05i,-0.00068134-0.00045916i,-0.0024859-0.0013547i,-0.0028431-0.0011138i,-0.0021653-0.00059517i,-0.001381-0.00035624i,-0.00062241+7.2284e-06i,0.00023182-0.00056051i
-0.00031043-0.00062537i,-0.00099408+0.00067229i,-0.0015002+0.00045055i,-0.00088781-0.00080804i,0.00013344-0.0011689i,0.00010897+9.8071e-05i,-0.00042769+0.00097305i,-5.0164e-05+0.0012744i,0.0017193+0.0013786i,0.0025381+0.0011693i,0.002471+0.0010299i,0.001845+0.00066837i,0.00057968-0.001231i,-0.00043542-0.001463i,6.6895e-05-0.00073735i,0.00083775-0.0013539i,0.00023471-0.0016122i,-0.00025981-0.0014062i,-0.00069721-0.0017125i,-0.00081866-0.0015589i,-0.00012814-0.0012286i,0.0012026-9.0696e-05i,0.0011627+0.0011892i
0.0011701+0.00081488i,-0.000408-0.0008908i,-0.00088747-0.0012916i,-0.0005346-7.1567e-05i,-0.0013133+0.00028505i,-0.0014748-0.00015134i,-0.0015322+0.00095274i,-0.00039875+0.0020432i,0.0020687+0.0013558i,0.0036761-0.00072759i,0.0042453-0.0032508i,0.0042501-0.0051348i,0.0026762-0.0060897i,0.00162-0.0049306i,0.0016722-0.0026689i,0.0010579-0.0019471i,-3.5011e-07-0.0021041i,-0.00053391-0.0012842i,-0.00028145-0.0015398i,0.00088055-0.0019391i,0.0012675-0.00093008i,0.00046711+0.00015657i,-0.00022298+0.0010373i
0.001459-0.00039123i,0.0030455-0.0013804i,0.0033979-0.0027462i,0.0023929-0.002353i,0.0018855-0.00044353i,0.001314+0.0013591i,0.00030394+0.0022268i,0.00041525+0.0020632i,0.0019346+0.00078984i,0.0031469-0.0017221i,0.0032858-0.0045482i,0.0031186-0.0049143i,0.0027916-0.0034942i,0.0020397-0.002874i,0.00049249-0.001847i,-0.00056038+6.9417e-05i,-0.00048966+0.001714i,0.0005589+0.001683i,0.0013816+0.0014333i,0.0014594+0.0012235i,0.00069029+0.00031463i,0.00013644+0.00024302i,-8.2146e-05+0.00085306i
-0.00021554+0.0024978i,-0.00066479+0.0040005i,-0.0014587+0.0049021i,-0.00076125+0.0033834i,-0.00078009+0.001504i,-0.00047531+0.0006392i,-0.00024622+0.00033324i,0.00014654+0.0011482i,0.0016419+0.00077973i,0.0020058-0.0011539i,0.00085556-0.0015268i,0.00062126+0.0006084i,0.0012433+0.0022636i,0.0019465+0.0012362i,0.0016468+0.00084091i,0.00040315+0.0006178i,-0.00066631-0.00040911i,-0.0018154-0.00094578i,-0.0020094-0.00097775i,-0.00083145-0.00050298i,0.00015746+0.00060144i,0.00033404+0.0012463i,-0.00055303+0.00083899i
0.0018006-0.0021132i,0.00070204-0.0027374i,0.00038491-0.003092i,2.6518e-05-0.0019192i,-0.00083424-0.00047896i,-0.0013281+0.00031068i,-0.0011976+0.0011551i,-0.00023438+0.0015704i,0.00092106+0.00054821i,0.00092661-0.00066958i,0.00021614-0.00028316i,-0.0002625+0.0011159i,-0.00065997+0.0013171i,-0.0013513+0.00051146i,-0.0013355+0.0008136i,-0.00077366+0.00081867i,-0.00097864-0.00035339i,-0.0023145-0.00077236i,-0.0027225-0.00031738i,-0.0018491-0.0007388i,-0.0008066-0.00043703i,-0.00041347+0.00061676i,-0.0006918+0.00082915i
0.00040885-0.0034318i,0.00066113-0.0040566i,-0.0012447-0.003906i,-0.0032048-0.0019484i,-0.0020491-0.00076235i,-0.00058493+0.00033946i,0.00021963+0.0014698i,0.0011961+0.0013228i,0.0021744+0.00087825i,0.0022414+0.00029721i,0.0011786-3.5738e-05i,0.0013465-0.00065824i,0.0014905-0.0026745i,0.00025346-0.0036589i,0.00015874-0.002565i,0.001109-0.00085975i,0.00049392-0.00079965i,-4.8349e-05-0.0012782i,0.00043599-0.0018608i,0.00063008-0.0017461i,-2.9193e-05-0.00084441i,6.6503e-05-0.00067926i,0.00038736-0.00047766i
-0.0025086+0.0027276i,-0.0012184+0.002745i,-0.0012499+0.0031697i,-0.0011213+0.0024717i,-0.00031304+0.0019578i,0.00067402+0.001878i,-0.00053363+0.0012658i,-0.00043728+0.0013043i,0.0021024+0.00070512i,0.00396+9.752e-05i,0.0057122-0.00025127i,0.0071822-0.0026768i,0.007034-0.0047914i,0.0053449-0.0041784i,0.0029844-0.0031129i,0.0011466-0.0023027i,0.00028508-0.00152i,0.00035614-0.0012231i,0.00083597-0.0019225i,0.001235-0.0017984i,0.00054796-0.00021461i,-0.00027389+0.001098i,-0.00012316+0.0011747i
0.00046504+0.0021773i,-0.00051165+0.0014153i,-0.00022351+0.0013828i,0.0010149+0.0010365i,0.0019864+3.3257e-05i,0.00071275-0.00015422i,-0.00037199+0.00079376i,0.00036751+0.0016255i,0.001933+0.0012693i,0.0033326+0.00026891i,0.003833-0.0010307i,0.0042742-0.0012563i,0.0051279-0.00055029i,0.0045679+0.0002753i,0.003251+3.9966e-05i,0.0025441-0.00041443i,0.0018955+4.3915e-05i,0.0013844+0.00052483i,0.0012937+0.0010889i,0.0009267+0.00072716i,-0.0002893-0.00029171i,-0.00087137-0.00022296i,0.00011555+0.00026978i
-0.00090836-0.0035228i,-0.00060917-0.0036849i,-0.0010184-0.0037997i,-0.0012835-0.0015346i,-0.0015948+0.0012352i,-0.0026015+0.0018967i,-0.0017386+0.0022629i,-0.00023851+0.002316i,0.00080767+0.00094958i,0.0011469-0.00073707i,-0.00028859-0.00079049i,-0.001427+0.00022725i,-0.0019374+0.0021179i,-0.0026411+0.0025362i,-0.0028051+0.0014177i,-0.0015921+0.00079955i,-0.00038042+9.9735e-05i,-0.00089244-0.00056771i,-0.0019955-0.0013125i,-0.0020811-0.001555i,-0.0013247-0.00033222i,-0.00073064+0.00042828i,-0.00079748+0.00078717i
0.00047354+0.0014758i,0.00033625+0.0022105i,0.0012108+0.0017813i,0.0012586-0.00014422i,0.00061369-0.0017688i,0.0014541-0.0019254i,0.001988-0.00027405i,0.0014512+0.000945i,0.0022706-0.00080922i,0.0023343-0.0024975i,0.00024076-0.0020467i,-0.0013142-0.0011287i,-0.0019519-0.0020067i,-0.0023869-0.0030942i,-0.0020035-0.0024734i,-0.0014916-0.00095583i,-0.001849-0.00053476i,-0.0029685-0.0010224i,-0.0036784-0.00059284i,-0.0022641-0.00016909i,-0.00046106-0.00022036i,-0.00039263-0.00046047i,0.00016132-0.00035969i
0.0012981+0.0013942i,0.00057551+0.00080517i,-0.00028937+0.00090473i,-0.00097983+0.0013194i,-0.00078994+0.0016017i,-0.0013966+0.0020175i,-0.0020694+0.0019964i,-0.00077094+0.0010998i,0.0010267+0.00013571i,0.0018212-0.00033054i,0.001867-0.00053199i,0.0035946-0.00093739i,0.0049643-0.0025659i,0.0035568-0.0043156i,0.0029312-0.0045103i,0.002393-0.0038309i,0.0007658-0.002999i,0.0003426-0.0027934i,0.00031442-0.0022376i,0.0005131-0.00057108i,0.00017483-0.00049707i,-0.00029538-0.0011782i,0.00011792-0.00041225i
0.0012037-2.7125e-05i,0.0016728-0.0011429i,0.0036478-0.0021914i,0.0040473-0.0027186i,0.0026335-0.0024616i,0.00077809-0.0007217i,-0.0008216+0.0012632i,-0.00088253+0.0020382i,0.00060366+0.0014801i,0.0019567+0.00053556i,0.0039024+0.00042287i,0.0070696-0.000152i,0.0078057-0.0013748i,0.0059717-0.0010573i,0.0040085-0.00011373i,0.0018278-0.00028668i,0.00052697-0.0013102i,9.8232e-05-0.0019908i,0.0002186-0.0020781i,-0.00049962-0.001147i,-0.0013852+0.00027084i,-0.00060652+0.00043845i,-0.00015951+0.00079565i
0.0070539-0.0012801i,0.0060418-0.0010131i,0.004422-0.0014714i,0.0010103-0.001439i,-0.0025481-0.0014927i,-0.0037101-0.0013794i,-0.0024594-8.835e-05i,-0.00027112+0.00073385i,0.0018456+0.00054694i,0.0026599-0.00063319i,0.0032014-0.0018288i,0.0028158-0.0010963i,0.0012602+0.00034905i,-0.00027889+0.0018062i,0.00025337+0.0022412i,0.001099+0.0015962i,0.00057094+0.0013121i,0.00040823+0.0012928i,0.0006529+0.00087988i,-0.00041302+0.00017109i,-0.0013603-0.00046987i,-0.0011647-0.00064027i,-0.00077399-0.00020627i
-0.0012556+0.0015027i,-0.0018834+0.0025598i,0.00029559+0.0030498i,0.0021677+0.0023883i,0.0019746+0.0018173i,0.0008979+0.0019043i,-0.00039387+0.0020769i,1.4373e-05+0.0017323i,0.0022664+0.0016791i,0.0031415+0.00077608i,0.0018462-0.00095766i,-0.00074036-0.0010839i,-0.0032606-0.00068679i,-0.0037479-0.0012486i,-0.0043752-0.00078792i,-0.0040503-0.00011663i,-0.0032411-0.0002452i,-0.0032115-0.00018618i,-0.0031214-3.3938e-05i,-0.0027989+4.5607e-05i,-0.0020161+9.5352e-05i,-0.001855-4.8199e-05i,-0.0017103-0.0006504i
-0.0052643-8.3724e-05i,-0.0055197-0.00064662i,-0.0050093-0.0016238i,-0.0029563-0.0021177i,-0.0004853-0.0014663i,0.00033668-0.00083175i,0.00019839-0.00023062i,0.00068501+0.0015067i,0.0013849+0.0016555i,0.0018792+0.00086648i,0.001248-0.00059911i,0.00098566-0.002i,0.0011731-0.0030042i,0.00041504-0.004328i,-0.00065075-0.0035361i,-0.0014251-0.001863i,-0.0015254-0.0013535i,-0.0017178-0.0016199i,-0.0018484-0.0012857i,-0.0013865+0.00062615i,-0.00018764+0.0010495i,0.00043974+0.00056591i,8.5523e-05+0.00054035i
0.0036256+0.00091642i,0.0035936+0.0017052i,0.0039851+0.002768i,0.0034206+0.0036134i,0.0010448+0.0032476i,-0.0014522+0.002738i,-0.0022352+0.0025859i,-0.00084321+0.0020059i,0.00076297+0.00080013i,0.0016779-0.00012723i,0.0025676-0.00051815i,0.0047507+9.6374e-05i,0.007389-0.001082i,0.0073189-0.0038455i,0.0058036-0.0036963i,0.0042324-0.0029796i,0.0017191-0.0031934i,-0.0006835-0.0025626i,-0.0011191-0.0020176i,-0.00015599-0.0013271i,0.0005368-0.00027157i,0.00056599+0.00023059i,0.00018618+0.001166i
-0.00021941+0.0012372i,-0.00026359+0.00014389i,-0.00036418-0.00080559i,0.00057647-0.0011776i,0.0011766-0.0011997i,0.0003344-0.0013867i,5.4601e-05+0.00015642i,0.00065543+0.0011539i,0.0011886+0.00025326i,0.0020642-0.00018207i,0.0034055-0.00036341i,0.0051102-2.7884e-06i,0.0052928+0.00074547i,0.003417+0.0012566i,0.00178+0.0011224i,0.0014829+0.00072951i,0.0010267+2.5208e-05i,0.00073389-0.00046631i,0.001606-0.00011916i,0.00096019-4.1311e-05i,-0.0001595+0.00028034i,-8.6578e-05+0.0011723i,-0.0006415+0.0017213i
-0.0012173-0.00074838i,-0.0027341-0.0011382i,-0.0042422-7.1497e-05i,-0.0041131+0.0010543i,-0.0038589+0.0012361i,-0.0032705+0.0019072i,-0.0023199+0.0015982i,-0.0011741+0.0013391i,0.0010797+0.00048915i,0.0026027-0.0016778i,0.0028018-0.0019843i,0.0019345-0.0014792i,-0.00013049-0.00092011i,-0.0022227+0.0006547i,-0.0022545+0.0025198i,-0.0007447+0.0027589i,-0.00085087+0.0018711i,-0.0010497+0.00092059i,-0.00024527-0.00049497i,-8.8532e-05-0.0013505i,-0.00086726-0.00063801i,-0.0012146-9.6355e-05i,-0.0011693-0.00020615i
0.00065647-0.00021449i,0.0022373-0.00049812i,0.0038455-0.0010799i,0.0031588-3.4119e-06i,0.0025662+0.00030123i,0.0014802+0.00027749i,0.00053076+0.0012267i,0.0012875+0.0013538i,0.0024161+0.0010528i,0.0031668+0.00016257i,0.0032176-0.001389i,0.001395-0.0025371i,-0.0012931-0.003449i,-0.0030335-0.0043987i,-0.004404-0.0048909i,-0.0058092-0.0037201i,-0.0050815-0.0020773i,-0.0023173-0.00047074i,-0.0012897+0.00019643i,-0.0019713+8.2029e-05i,-0.0017377-8.853e-05i,-0.0012196-5.6023e-05i,-0.00092666+0.00015025i
-0.0026236+0.00098937i,-0.0027504+0.00052319i,-0.0021527-0.00041479i,-0.0015898-0.00040043i,-0.0013235-0.00083314i,-0.00077262-0.0011309i,0.00014735+0.00051204i,0.00033057+0.0025129i,0.00078609+0.0023737i,0.0010376+0.00096636i,0.0013237-0.00016225i,0.001974-0.00098637i,0.003199-0.0022995i,0.0044434-0.0038017i,0.0032755-0.0041878i,0.0013868-0.0037814i,0.00032286-0.0028747i,-0.00052937-0.0029307i,-0.0010166-0.0023374i,-0.00094479-0.00037655i,-0.00028003+0.00052002i,0.00068944-0.00017986i,0.00058155-8.9621e-05i
0.0013297-0.0023351i,0.00049822-0.0022499i,4.2872e-05-0.001198i,-0.0005307+0.00033993i,-0.0011716+0.0014032i,-0.001737+0.0035079i,-0.0013863+0.0046013i,-0.00025032+0.0039323i,0.00070455+0.0019351i,0.00096969+1.8367e-05i,0.0012559-0.00025563i,0.0029569+0.0016984i,0.0053337+0.0029946i,0.0062427+0.0014792i,0.0054858+0.00040651i,0.0038857+0.00046593i,0.0023946-0.00053496i,0.00011427-0.00089356i,-0.00090582-0.001096i,0.00017387-0.0017561i,0.00069642-0.0013033i,0.00070208+0.00047578i,0.00057723+0.0012051i
