-0.0023582+0.00056872i,-0.00094994-0.00035788i,-0.0011802-0.00066314i,-0.0010922+0.00032106i,-0.00049296+0.0010514i,-0.00027969+0.001085i,-0.00067921+0.0012531i,-0.00016647+0.0015134i,0.00029322+0.0018003i,0.00021249+0.00044939i,0.00051066-0.0011349i,-0.00025564-0.0013782i,-0.0007318-0.0006254i,9.0516e-05-0.00047383i,-0.00016358-0.0005864i,-0.00090561-0.00055716i,-0.0013744-0.0007515i,-0.001743-0.00064196i,-0.0010344-0.00013178i,-7.0716e-05+0.00094158i,4.9027e-05+0.001419i,-4.2884e-05+0.0010651i,0.00025534+0.00010409i
-0.00030519+0.00041696i,0.00039497-0.0008216i,0.0015082-0.0014386i,0.0011724-0.0016697i,-0.00029014-0.0017076i,-0.00056972-0.0013742i,0.00050028-0.0013997i,0.0004901-0.0013837i,-3.2185e-05-0.00050271i,-9.2772e-05+0.00023293i,-0.00015575+0.00015574i,-0.00029506-0.0012402i,0.00010694-0.0026157i,0.0010938-0.0016444i,0.0012673-0.00042928i,0.00021632-0.00057504i,-0.00011287-0.00037999i,0.00034388+0.00030435i,0.00072375+0.00066999i,0.00019925+0.00076371i,-0.00053015+0.00058885i,-0.00078221-0.0001325i,-0.001346-0.00073087i
-0.00083189+7.0913e-05i,-0.0017502+0.00020098i,-0.0019143-7.3829e-06i,-0.0015581+0.0010174i,-0.00083811+0.0015986i,-0.00070171+0.00060988i,-0.00054406-0.0007311i,0.00040796-0.00047173i,0.00055939+0.0002632i,0.00016265-0.00045693i,0.0008967-0.0011858i,0.0023333-0.00073766i,0.002096-0.00032951i,0.0014487-0.00015948i,0.0020983+0.00022698i,0.0018356-0.00024481i,0.0018172-0.00026579i,0.0013131+0.00060366i,0.00022975+0.00068347i,-0.00025194+0.00038027i,1.7937e-05+0.0004159i,0.00029501+3.0223e-05i,0.00012844-0.00056803i
1.4734e-05-0.002148i,0.00033975-0.0028157i,-0.00047918-0.001588i,-0.0010614+0.00041021i,-0.00051267+0.00036597i,-0.00022896-0.00042417i,-0.00078529-0.00030788i,-0.0007466+0.00013608i,-0.0006434+6.1417e-05i,-0.0003936+0.00013853i,0.00015773+0.00061432i,0.00089135+0.0011601i,0.0006798+0.0012883i,-0.000255+0.00066433i,-0.00077203+0.00046466i,-0.0007394+0.00033572i,0.00048967-0.0002681i,0.00075941-0.00026611i,0.00028635+0.00031743i,0.00036706+0.00075982i,3.0341e-05+0.0005188i,-0.00023691-0.00017517i,-0.00025-0.00064339i
0.00013745+0.00081142i,0.00059362+0.00061945i,0.0012218-0.00094538i,0.00065479-0.0022714i,-0.00087115-0.0014191i,-0.00058996-0.00012987i,0.0006326-0.00027441i,0.00025212-0.00096131i,-2.6732e-05-0.0014878i,0.00084491-0.00064892i,0.00099287+0.00079032i,-9.5381e-06+0.00093014i,-0.00010318+0.00056877i,-3.5652e-05+0.00063937i,-0.0003122+0.0005032i,-0.0010319-9.3613e-05i,-0.0012216-0.00022407i,-0.00063375-0.00023802i,-0.00046836-0.00020408i,-0.00093534+0.00057154i,-0.0010294+0.001075i,-0.00059349+0.00036642i,-0.00037095-0.00014963i
0.0011018-9.2955e-05i,0.00064953+0.00033688i,0.0012606+0.00093585i,0.0011802+0.0012282i,-0.00034592+0.0010135i,-0.0010897+0.00010615i,-0.0002575-0.0010684i,0.00062138-0.0009386i,0.00038216-0.00041071i,0.00010843-0.00041384i,3.8502e-06-0.0004686i,-0.00093062-0.00083168i,-0.0017427-0.0014182i,-0.00070575-0.0021302i,0.00016481-0.0023539i,0.00038424-0.0021921i,0.00061287-0.0020669i,0.00041116-0.0018515i,0.00010102-0.0012693i,0.00026336-0.00037524i,0.0002479+3.9915e-05i,0.00029147+1.3328e-05i,-9.359e-05+0.00023334i
-0.0014868-0.00088835i,-0.0014545-0.0017263i,-0.00061827-0.0021657i,-0.00040846-0.0015468i,-0.00042629-0.00047659i,-0.00032962-8.3434e-05i,0.00016062-0.00082765i,0.00039678-0.00079795i,0.0005239-0.00047959i,0.00041678-0.00058696i,0.00072389-0.00052343i,0.0016824-0.00067466i,0.0022795-0.0018244i,0.0022635-0.0020261i,0.0021495-0.00094473i,0.0021287-0.00023997i,0.0017246-0.00073803i,0.0015458-0.0010152i,0.00070325-0.00072323i,6.151e-05-0.00036058i,0.00065912-0.00036879i,0.00084451-0.00050462i,0.00078681-9.4178e-05i
-0.0012839-0.0027917i,-0.0010287-0.001573i,-0.0010379-0.0009664i,-0.0014765-0.00040669i,-0.0015877+0.00044661i,-0.0010898+0.0011491i,-0.00092139+0.00048961i,-0.00055901-0.00062231i,-0.00023204-0.0011227i,-0.00021887-0.0008643i,0.00036518-0.00016657i,0.0016927+3.3496e-08i,0.0023214+0.00074409i,0.0017049+0.0020917i,0.00086742+0.0022361i,0.00052741+0.00095122i,0.00071248+7.2098e-05i,0.00043617+0.0005715i,0.00013404+0.0014173i,0.00023164+0.0013915i,0.00054029+0.00082128i,0.00086369+0.00017483i,0.00058516+0.00014364i
0.0013853+0.0011647i,0.0016332+0.0011104i,0.0011396+0.00060633i,0.00081979+0.00032378i,0.00043654+0.00054707i,0.00086872+0.00021552i,0.00083435-0.0012361i,0.00012429-0.0017253i,-0.00010349-0.0016649i,0.00050103-0.00088218i,0.00020072+0.0006813i,-0.00052519+0.0012002i,-0.00082758+0.0016696i,-0.0013776+0.0015524i,-0.0018106+0.00055084i,-0.0021857+0.00027598i,-0.0013269+3.0471e-05i,5.141e-05-0.00012698i,-2.657e-05+0.0004889i,-0.00040524+0.00085462i,-6.435e-05+0.00045231i,-0.00014292+0.00070371i,0.00021348+0.00072172i
0.00013014+0.00010659i,-0.00032134-0.00092059i,-0.00048435-0.0016086i,-0.0010963-0.00079358i,-0.0020052-0.00021915i,-0.0015615-0.00053386i,0.00011955-0.00046954i,0.0016049-0.00094354i,0.0016873-0.0013291i,0.00031131-0.00075462i,-0.0011028-0.00029237i,-0.0020871-0.00058191i,-0.0024085-0.00086874i,-0.0020351-0.0016832i,-0.0009575-0.0019742i,-0.0001743-0.0011014i,-0.00041916-0.00029283i,-0.001087-0.00010259i,-0.00075485-0.00050243i,-4.4133e-05+0.00021528i,-3.9733e-05+0.00093623i,0.00014037+0.00084092i,-7.4404e-07+0.00049592i
-0.00012033-0.0034272i,-0.00020514-0.002702i,2.0613e-05-0.0018047i,-0.00093325-0.0019047i,-0.002272-0.0010749i,-0.0015778+0.00070496i,-0.00034194+0.00057119i,0.00038597-0.00062668i,0.0005639-0.00047388i,-0.00033916+0.00025667i,-0.0005692-0.00027921i,-0.00031777-0.0011716i,0.00080815-0.0016495i,0.0021624-0.00152i,0.0020238-0.0012124i,0.00070867-0.0011688i,0.00025727-0.00082943i,0.0006344-0.000918i,0.00063926-0.001309i,-0.00030128-0.0012338i,-0.00012155-0.00052075i,0.00024105+0.00066323i,-1.4959e-07+0.0014025i
0.00034004-3.9655e-06i,-0.00062232+2.8992e-05i,-0.0020763+0.00032762i,-0.0035709+0.0011676i,-0.0027057+0.0012778i,-0.00097528+0.0012013i,-0.0002879+0.00010842i,-2.4759e-05-0.0014226i,0.00029208-0.0014913i,-0.00011961-0.00068702i,0.00047865-0.00021625i,0.0014697+6.0895e-05i,0.0015677+1.0223e-05i,0.0013919-0.00044002i,0.0015441-0.00071293i,0.00070944-0.00031033i,-0.0004919+0.00055877i,-0.00013265+0.00022209i,0.00042344-0.00035034i,0.00067429-0.00013887i,0.0011105-0.00055438i,0.00079647-0.00040685i,-6.433e-06+4.1816e-06i
6.9962e-05-0.0004741i,0.00076134-0.00068633i,0.0016669-0.00031502i,0.00083054-0.00077692i,0.00014926-0.00066208i,-5.8527e-05-0.00063966i,-0.00015693-0.00078505i,-0.00020317-0.0011542i,0.00020402-0.00091357i,0.0013898+0.00048528i,0.0013418+0.0012486i,0.00069826+0.0010286i,0.00053935+0.00089518i,0.00028492+0.00053683i,-0.00013492-2.3379e-05i,0.00015849+4.0592e-05i,0.00029789+0.00026289i,0.00051518+0.00021596i,0.00056401+0.00021228i,8.2714e-06+0.0002175i,1.999e-05-6.613e-06i,0.00069177+0.00060972i,0.00091749+0.00064069i
-0.00054641+3.2517e-05i,-0.00070293-0.00012074i,-0.0011005-0.00075667i,-0.00098771-0.00060128i,-0.00014331-0.00055759i,0.0010102-0.0010726i,0.0013866-0.0015806i,0.0019433-0.0015563i,0.0022233-0.00071984i,0.0012373+0.00054034i,5.3203e-05+0.00093707i,-0.00079122+0.00034343i,-0.0014117-0.00039503i,-0.001541-0.00074853i,-0.0015938+7.4387e-05i,-0.0010929-0.00015975i,-0.00041482-0.00059807i,-0.0005265-0.00025055i,-0.00084883+2.5319e-05i,-0.00089097+0.00023822i,-0.00045154+0.00041509i,-0.00014088+0.00071987i,-8.5825e-05+0.00085739i
-0.00093294+0.00059095i,-0.0014724+0.00030386i,-0.0017311+2.98e-05i,-0.0017105-3.1078e-05i,-0.0016068-0.00042652i,-0.0011957-0.0010698i,-0.00029332-0.0011485i,-0.00016128-0.00017765i,-0.0012076+0.00046144i,-0.0015552+0.00055919i,-0.001058+3.577e-05i,-0.0012003-0.00068855i,-0.0015392-0.0011831i,-0.00050415-0.00090238i,0.00037798-0.00056945i,0.00018258-0.0014866i,0.00039826-0.0018797i,0.00027197-0.00061107i,6.2243e-05-0.0001277i,-0.00064758-0.00091302i,-0.00054981-0.00090325i,-0.00013424-0.00068763i,-0.00035619-0.00014628i
0.0010088-0.00030274i,0.001249-2.9622e-05i,0.00031416-0.00019779i,-0.00081935-0.00063709i,-0.00069167-0.00050417i,0.0004773-0.00055522i,0.0009445-0.00027618i,0.00044071-0.00049448i,-0.00011632-0.0013692i,0.00031719-0.0017391i,0.00076747-0.0019479i,0.0012386-0.0012568i,0.0011759-0.0005731i,0.00038595-0.00080041i,0.00015318-0.0002947i,5.871e-06-2.657e-05i,0.00036156+0.00010956i,0.00064257+0.00016346i,0.00059895-0.00015618i,0.00011563-0.00011762i,-0.00033833-2.3082e-05i,-0.0005734-0.00014652i,-0.0007087-0.0003426i
-0.0027317+0.00010556i,-0.003078+0.0012817i,-0.0035342+0.0022932i,-0.0029842+0.0019777i,-0.0010215+0.0021218i,1.3328e-05+0.0015734i,0.00019517-9.7537e-05i,0.00048961-0.0011482i,0.00056183-0.001719i,0.0013914-0.0015471i,0.0018144-0.0015478i,0.0011862-0.00092226i,0.0010821+0.00061871i,0.00099962+0.00058195i,0.00066177+0.00022031i,0.00081316+0.0004582i,9.384e-05+0.00040098i,-0.0005246+9.7763e-05i,9.1912e-05+0.00021441i,0.0003746+0.00041546i,0.00050357+0.00041553i,0.00088521-0.00021227i,0.0013297-0.0010509i
0.0019729-0.0021921i,0.0022837-0.0024328i,0.0028353-0.0022528i,0.0016854-0.0020679i,-0.0003146-0.0013904i,-0.00090212-0.0010148i,-0.00038263-0.0011911i,0.00082506-0.0011545i,0.0017542-0.00080444i,0.0021487+0.00055987i,0.0014253+0.0018263i,-0.00011376+0.0019226i,-0.00025998+0.0011008i,5.1119e-05+0.0010066i,-0.00090425+0.00068264i,-0.00084508-1.002e-05i,-0.00014357+0.00048981i,-0.00037937-5.2074e-05i,-0.00086194-0.00064947i,-0.0012202+0.00029782i,-0.0012643+0.00085108i,3.5968e-05+0.00063548i,0.00050172+0.00044796i
-0.00083373+0.0014465i,-0.00064106+0.0010432i,-0.00020878+0.0011944i,-0.00019477+0.001259i,-0.0002973+0.00030377i,-0.00021833-0.0003066i,-0.00029934-0.00079332i,-0.00050726-0.0001839i,0.00033531+0.0014076i,-0.00012375+0.0018675i,-0.0014161+0.0012749i,-0.0015527+0.00019987i,-0.0014617+6.3331e-05i,-0.0011602+0.00034597i,-0.00039642+0.00044924i,-0.00025998+0.00072792i,-0.00042335-0.00022007i,-0.0005571-0.00076264i,-0.0010688-0.00078296i,-0.00092693-0.00087993i,-0.00042242-0.00059442i,-0.0015169+0.00011935i,-0.0013004+0.00088485i
8.8675e-05-0.0002534i,0.0005927-0.00063491i,-0.00083071-0.00056787i,-0.0026961-0.00045394i,-0.0020597+0.0002386i,-0.00058444+0.00070676i,-0.0003866+9.3888e-05i,-0.00090873-0.00032993i,-0.00097169-0.00070456i,-0.0011368-0.0013338i,-0.00088974-0.0016522i,-0.00048256-0.0019775i,-0.00058824-0.0021212i,-0.00053671-0.0016974i,-0.00017432-0.0010829i,7.1404e-05-0.00040079i,0.00024637-0.00065123i,0.00038888-0.00090064i,0.00070605-0.0010738i,0.00037781-0.0010567i,-0.00017117-0.00081505i,-0.00033119-0.00067815i,-0.00060298-0.00063287i
0.00079004-0.00066975i,0.0020169-0.00085182i,0.0013609-0.0016213i,0.00016904-0.0016323i,-0.00015424-0.0011114i,-0.00028251-0.0014867i,-0.00015763-0.0012375i,0.00035412-0.00078605i,0.0011376-0.0016175i,0.0015103-0.0020418i,0.0011491-0.0008865i,0.0010618+0.00010792i,0.0014895+0.00056376i,0.00071329+0.00072294i,0.00017664+0.0010044i,0.0005979+0.00083934i,0.0012753-0.0001029i,0.00091917-0.00059396i,-6.3239e-05-5.6407e-05i,-0.00036879+0.00060579i,-5.5844e-05+0.00053453i,0.00080263-5.3889e-06i,0.00067605-0.00052185i
0.0011599+0.00099498i,0.0019261+0.0011136i,0.0020463-0.00049244i,0.00015683-0.0010267i,-0.0016959-0.0005932i,-0.0014265-0.00099588i,-0.00029086-0.0013778i,0.0012567-0.0013646i,0.0025555-0.00054098i,0.0028482+0.00073981i,0.0019806+0.001471i,0.00094048+0.0012056i,0.0011994+0.0012811i,0.0013199+0.00043274i,0.0010526+0.0006699i,0.0013189+0.00072565i,0.00092579-0.00016948i,5.8333e-05+0.00020832i,-0.00013867+0.0013004i,-0.00064233+0.0014183i,-0.00048722+0.00062075i,0.00050971+0.00050939i,0.00052823+0.00051969i
-0.00099257-0.00067842i,-0.0015964-0.0023749i,-0.0019271-0.0027689i,-0.0017099-0.00089455i,-0.001813+0.0010293i,-0.00096799+0.0010574i,0.0006701+0.00012638i,0.001152+5.1849e-05i,0.00033693+0.00078079i,-0.00036178+0.0015707i,-0.00082084+0.0016427i,-0.00099505+0.0016479i,-0.00071833+0.0019007i,0.00023925+0.0010408i,0.00040601-0.00018393i,0.00073231-0.00037109i,0.00034819-0.00012237i,0.00013133-1.3641e-05i,0.0004946-0.000159i,0.00020058+0.0001101i,0.00038343+0.00088824i,0.00036266+0.00061187i,-0.00028859+0.00039944i
-0.0042441+0.00052339i,-0.0039985+0.0011698i,-0.0036042+0.0023158i,-0.0021757+0.0024458i,-1.3032e-05+0.0019359i,0.00064082+0.00035185i,-0.00019137-0.0014553i,-0.00048686-0.0018824i,-0.00062676-0.0014069i,-0.0015354-0.0009729i,-0.0020081-0.0012086i,-0.001948-0.0013066i,-0.0013474-0.00099798i,-0.00085271-0.00062628i,-0.0009687-0.00046391i,-0.00063799-0.00050442i,-0.00031303-0.00067833i,-0.0001416-0.00036117i,-0.00057599-0.0004993i,-0.00096222-0.0011025i,-0.00081259-0.00062264i,-0.00099101-0.00032988i,-0.0011448-0.0002353i
0.0018042+0.0012504i,0.0023745+0.0017984i,0.002539+0.0014472i,0.001484+0.001373i,0.0012783+0.00088421i,0.0012272-0.00039792i,0.00071019-0.0014013i,0.0011882-0.0020502i,0.0012313-0.0020458i,0.0015984-0.0022634i,0.0019105-0.0025084i,0.0015487-0.002469i,0.00026122-0.0023663i,-0.0010862-0.001944i,-0.00040433-0.00095861i,0.0008003-0.00010735i,0.00079646+0.00089873i,0.00057598+0.001426i,0.00064013+0.0010706i,-0.00036341+0.00074447i,-0.00094521+0.0004249i,-0.00018632+9.9218e-05i,0.00065732-0.00011079i
-0.00036545+0.0019756i,-0.00040668+0.00021469i,0.00040727-0.00017495i,0.0004393+0.00026865i,-0.00084638-0.00039203i,-0.00045169-0.0010668i,-0.00010873-0.00058132i,-9.8646e-06+7.8543e-05i,0.001132+0.00060179i,0.0020373+0.0014736i,0.0025134+0.0017216i,0.0023132+0.00089126i,0.00098496+6.3509e-05i,-0.00015937-0.00034342i,-5.3326e-05-0.00063841i,0.00016296-6.7652e-05i,-0.00019719+0.00017164i,0.00052827-0.00026463i,0.0012855-6.4135e-07i,0.00036003+0.00028561i,-0.00082208+0.00037816i,-0.00076855-0.00027029i,9.252e-05-0.00055039i
-0.002077-0.0011874i,-0.00077722-0.0023356i,-0.00085655-0.0032461i,-0.001982-0.002417i,-0.0018183-0.000899i,-0.00024339-0.00028512i,0.0011119+0.00045431i,0.00057562+0.00098886i,-0.00049798+0.0010325i,-0.00063459+0.00087876i,-0.00093725+0.0012169i,-0.00072885+0.0016928i,0.00055678+0.0012407i,0.00064974+0.00028775i,-0.00043594-0.00055701i,-0.00037077-0.00081299i,0.00020925-0.0012147i,0.00062423-0.00052552i,0.00021421+0.00047554i,-0.00045742+0.00059269i,-0.00085923+0.00030741i,-0.00073843-0.00018751i,-0.00079273+3.7788e-05i
0.0014752-0.0020036i,0.00070366-0.0017413i,0.0001752-0.0014955i,-0.00051558-0.0015591i,-0.0015873-0.0014331i,-0.0018576-0.00068672i,-0.0018663-0.00099632i,-0.0020435-0.00098661i,-0.0016915-0.00080588i,-0.0014658-0.00093865i,-0.001247-0.0010337i,-0.0014036-0.00030486i,-0.0010947+0.00077085i,-0.00048661+0.00076981i,-0.00019628+0.00054901i,-0.00011553-8.0083e-05i,-0.00038365-0.00053494i,-0.00021871-0.00076512i,0.00042705-0.0011762i,0.000763-0.00082628i,0.00054651-0.00054557i,7.7917e-06-0.00020313i,6.8653e-06-0.00017308i
0.0027702+0.0019444i,0.0025934+0.00026131i,0.0016495+0.00055581i,0.00033589+0.001037i,0.00016025+0.00064655i,0.0003109-0.00030929i,-0.00029001-0.0014706i,0.0005481-0.0021175i,0.0014828-0.002123i,0.0011784-0.0020817i,0.00070481-0.0024885i,0.00020829-0.0020886i,-0.00013028-0.00081518i,-7.2556e-05-7.7723e-05i,-0.00034714+5.9384e-05i,-0.00056038+0.00016022i,-0.00016722+0.00028758i,0.00027147+0.00062834i,-0.00030856+0.0010977i,-0.00045763+0.00098018i,2.0959e-05+0.00052846i,-0.00034953+0.00046839i,-0.00091934+0.00023379i
-0.0025934+0.0011534i,-0.00059122+0.00086085i,0.00041773+4.263e-05i,0.00010933-0.00051971i,0.0004859-1.9199e-05i,0.0008449-0.00030775i,0.00062243-0.0011414i,0.0005917-0.00096675i,0.0010535-0.00045275i,0.0016547+0.00019972i,0.0026898+0.00049011i,0.0022903-0.00039349i,0.0011148-0.0011792i,0.00098352-0.001374i,0.00098334-0.0014271i,0.00097087-0.0018569i,0.001461-0.0013545i,0.00097034-0.00050023i,-0.00053811-0.00072518i,-0.00065402-0.00068107i,0.00015085+9.3809e-05i,0.00044328+0.00011394i,0.0012933+0.00010022i
-0.00097674-0.0022595i,-0.00074789-0.0012296i,0.00011297-0.0013848i,-0.00022914-0.0012265i,-0.00090911-0.0001731i,-0.00037972+0.0010498i,-0.00050832+0.00088433i,-0.0009616-0.00028283i,-0.0010431-0.0010277i,-0.00046691+0.0004402i,0.00042459+0.0019795i,0.00028381+0.0013122i,0.00056392+0.0003631i,0.0012532+5.8772e-05i,0.0013942-0.00041339i,0.0013803-0.00080255i,0.00080275-0.00014437i,0.00011095+0.00022822i,-0.00057867-0.00055351i,-0.00054478-0.00073699i,0.00024259-0.00032765i,0.00069309+0.00017253i,0.00061849+0.00047463i
-0.00011015-0.0018128i,-0.0015109-0.0019323i,-0.002222-0.00074319i,-0.0013852+0.0003518i,-0.00027328+0.00023262i,-7.022e-05-0.0005668i,-0.00011514-0.002004i,-0.00031284-0.0024125i,-0.0013764-0.0017214i,-0.0020137-0.00074507i,-0.0018426-0.0001196i,-0.00089454+0.00079883i,0.00062229+0.00094805i,0.00091567+0.0009244i,0.00084332+0.00024085i,0.00084734-0.00062955i,0.00010504-0.00034364i,0.00030135-4.8217e-05i,0.0007232-3.0295e-05i,0.00052899+0.00030298i,0.00052913+0.00062212i,-0.00022719+0.00079091i,-0.00052089+0.0011105i
-8.8958e-05+0.0044532i,0.0015995+0.0026241i,0.0013909+0.0019155i,0.00042126+0.0010068i,0.00075549-0.00011268i,0.0002805-0.0012636i,2.3266e-05-0.0017229i,0.00019144-0.001244i,0.00055452-0.00124i,0.0010488-0.002125i,0.00053537-0.0027682i,-0.0010219-0.0018912i,-0.0017148-7.0104e-05i,-0.0016465+0.0010498i,-0.0018248+0.0010457i,-0.0018155+0.00020349i,-0.0010057+0.00023398i,-0.0003549+0.00067731i,0.00013688+0.00072945i,0.00026263+0.0012579i,-0.00026688+0.001392i,-0.00046764+0.00053223i,-0.00040291-0.00045682i
0.00094105-0.000593i,0.0030917-0.0020192i,0.0032223-0.0042699i,0.0013958-0.0034155i,0.00044635-0.00057785i,-0.00050688+0.0006668i,-0.00030047+0.00019297i,0.00077432+0.0001395i,0.0012791+0.00018007i,0.0025911-0.00079718i,0.002364-0.0014438i,0.00091423-0.00068281i,-0.00072836-0.00016221i,-0.000796+0.00015466i,-0.00046647+0.00017733i,-0.00039165-0.00030992i,0.00022295-8.3846e-05i,0.00016104+0.00080493i,-0.00033664+0.0012703i,-0.00045661+0.00038236i,-0.00033752+0.00042861i,-0.00078289+0.0011955i,-0.00080684+0.00096772i
-0.00027004-0.0035279i,-0.0012824-0.0040012i,-0.0013961-0.0046149i,-0.0015426-0.0040997i,-0.0025957-0.0016738i,-0.0025132+8.5439e-05i,-0.0020889+0.00036552i,-0.0012859+0.00054905i,-0.00064684+0.00055814i,-0.00014588+0.00080968i,0.0006077+0.0015228i,0.00088876+0.0014668i,0.00057729+0.0006476i,-0.00024627+7.6642e-05i,2.667e-05+0.00014124i,4.9815e-05+0.00026852i,-0.00069892+0.00012373i,-0.00058123-0.00040482i,-8.4925e-05-0.00054472i,0.00022004+0.00010507i,0.00036045+0.00039016i,0.00083276+0.00052305i,0.0010565+0.00024721i
0.00024999-0.0011976i,-0.00078727-0.0022686i,-0.0019251-0.0035447i,-0.0027116-0.002093i,-0.0027516+0.00060999i,-0.0022857+0.0014461i,-0.00064246-0.00034982i,0.00077436-0.0025787i,9.5995e-05-0.0025643i,-0.00046081-0.00043183i,-0.00016642+0.0010667i,0.00057416+0.0013391i,0.001637+0.00049099i,0.0020379+0.00013766i,0.0013761+0.00058504i,0.0006115-0.00011064i,0.00059857-0.0013184i,0.00023882-0.0015603i,-0.0003943-0.0009614i,-0.00018065+0.00021038i,-0.00032135+0.00031025i,-0.00045847+0.00061015i,-0.00033684+0.00073169i
0.0017004+0.00086199i,0.0025176+0.00046615i,0.000835+0.00039196i,0.00026481+0.0012195i,0.00053268+0.0010754i,0.0011346-0.00031519i,0.0018847-0.0015086i,0.0019754-0.0016872i,0.0018749-0.0013058i,0.0010359-0.00172i,0.00035432-0.0021736i,0.00016113-0.0016184i,2.5216e-05-0.0010336i,-7.171e-05-0.00022941i,4.3999e-05+0.00041576i,-5.7122e-05-0.00053034i,0.00032214-0.0017306i,0.00075042-0.0011907i,0.0001362-8.7933e-07i,-5.422e-06+0.00056193i,0.00013341+0.00079574i,0.00018527+0.00045242i,-7.7545e-05-0.00024925i
0.00066326+0.0013005i,0.001812+0.00095113i,0.0026406-0.00040577i,0.0014866-0.00050595i,0.00088186-0.001117i,0.0011131-0.0019726i,0.00075088-0.00081488i,0.00073609+4.5597e-05i,0.00068469-0.00015526i,0.00090829-0.0015179i,0.0015145-0.0021175i,0.00099391-0.00074991i,-0.00071031+0.00062474i,-0.0018411+0.00076222i,-0.0016348+0.00035885i,-0.00035657+0.0002762i,0.00062452+0.00015465i,0.00043047-0.00070821i,-0.00039085-0.0005546i,-0.00091711-0.00012372i,-0.0010076-1.3071e-05i,-0.001203+0.00013196i,-0.0010859-0.00088672i
-0.00071162+0.0010586i,-0.0010037-0.00041624i,3.62e-05-0.0011813i,7.7373e-05-0.00093231i,-0.0010448-0.0010049i,-0.0015645-0.0012626i,-0.0010968-0.0013563i,-0.00087079-2.9338e-05i,-0.0004485+0.0010805i,0.00097218+0.0011671i,0.0013455+0.0012572i,-0.0002437+0.0010127i,-0.00082213+0.00026338i,-0.00087796-0.00047988i,-0.00073407-0.00090832i,-0.00078374-0.00049133i,-0.0011999-0.00044672i,-0.00047775-0.00012764i,0.00063636+0.00018718i,-0.00011022-0.00071493i,-0.00068801-0.0016101i,-0.00020934-0.0012306i,0.00010824+0.00025821i
-0.00049592-8.6382e-05i,-0.00050345-0.00057243i,-0.0013392-0.00105i,-0.0022001-0.001099i,-0.0016306-2.5207e-05i,-0.00042357+0.000139i,0.00052546-0.0016744i,0.0006056-0.0023121i,-0.00010913-0.0019452i,-0.00070043-0.00040544i,-0.0012949+0.0016588i,-0.0015017+0.0014001i,-8.5982e-05-0.00038276i,0.0011033-0.00095999i,0.0014063-0.00047417i,0.0012532+0.00011996i,0.000854+7.5368e-05i,0.00031475-0.0003213i,0.0006458-0.000205i,0.0013327-0.00028285i,0.0012954-0.00064031i,0.00063298-0.00057853i,-0.00022724-0.00084179i
0.001388-0.0013237i,0.0021568-0.0020266i,0.0013598-0.0031532i,5.501e-05-0.0018809i,-0.00092533+4.5531e-05i,-3.1124e-05-0.00052406i,0.00093512-0.001022i,0.00079462-0.00063108i,0.0013473-0.00064734i,0.00072754-0.00081489i,-0.00053433-0.0013563i,-0.00053445-0.0020259i,0.0015122-0.00073263i,0.0023856+0.0010396i,0.0017155+0.00072189i,0.0011277-0.00010166i,0.00058772-0.00014598i,0.0004546-5.4987e-05i,0.00057403+3.6163e-05i,0.0010296+0.0002508i,0.00089422+0.00083647i,-6.8559e-05+0.00056237i,-0.00052437-0.0003827i
-0.00062153+1.3247e-05i,-0.000916+0.00052046i,-0.00045183+0.00097236i,-0.0012018+0.00048424i,-0.0019134-0.00038616i,-0.0012085-0.0010618i,-0.00076557-0.00076514i,-0.00084952-0.00036213i,-0.00032302-0.0012256i,0.0001846-0.0026044i,0.00060752-0.0025784i,0.0013793-0.00045883i,0.0012056+0.0012531i,0.0010416+0.00086325i,0.001295+1.8426e-05i,0.00049016-0.00023506i,-0.00024025-0.00035211i,0.00035127-0.00014489i,0.00032647-0.00030485i,-0.00083281+0.00023077i,-0.001343+0.0012761i,-0.0012418+0.0010119i,-0.00059015+0.00012509i
-0.00014006-0.0015059i,0.00012286-0.0026605i,-0.00018426-0.0035149i,-0.00030145-0.0028686i,-0.00085615-0.00094823i,-0.00077838+0.00027456i,-0.0001972-0.00028694i,-0.00066294-0.00092856i,-0.00049306-0.00063977i,0.0011561+9.695e-05i,0.0024059+0.00045833i,0.0014453+0.00045082i,-0.0010622+0.00067059i,-0.0015697+0.00019531i,-0.00051936-0.00071125i,0.00053231-0.00095116i,0.00069422-0.00078164i,0.00065752-0.00089561i,0.00049787-0.0012227i,0.00064215-0.0016065i,0.0010246-0.0013528i,0.00089033-0.0011497i,0.00086099-0.00059684i
-0.00085031-0.0005497i,-0.00048916+0.00026515i,-0.00010814-0.0001542i,-0.00062123-0.00025348i,-0.00079846+0.00025342i,-0.00050435-0.00038385i,-0.00079331-0.0014905i,-0.00058904-0.0023875i,-8.8612e-07-0.001014i,-0.00013961+0.0013984i,-0.0010895+0.0023168i,-0.0019397+0.0015219i,-0.002191-5.2576e-05i,-0.0015073-0.00029238i,-0.00042005+0.00051605i,0.00015716+0.00065222i,-1.7585e-05+0.0004565i,9.7842e-05+0.00031863i,0.00057241+0.00012327i,0.00094596-0.00023835i,0.0012565-0.0006371i,0.0010909-0.00057354i,0.00034281-0.00058065i
