-0.002524+0.0022812i,-0.0026993+0.0017192i,-0.0022636+0.0017962i,-0.001536+0.0013225i,-0.0011266+0.00070565i,-0.0015046+0.00025458i,-0.0013818-9.0859e-05i,-7.3387e-05-0.00063788i,0.00079791-0.00040056i,0.00076724+0.00043627i,0.00088099+0.00059522i,0.0013763+3.2338e-05i,0.0018523-0.00017506i,0.0009572-0.0005653i,0.00038985-0.0014555i,8.767e-05-0.00069956i,5.4001e-05+0.00029373i,0.00052913-0.00055767i,-8.6207e-05-0.00064769i,-0.0013094-8.3308e-05i,-0.0011432+4.1621e-05i,-6.6713e-05+0.0005104i,0.00036593+0.00066175i
0.00043257+0.00021156i,0.0008967+0.00021253i,0.0012087+0.0012626i,0.00076518+0.0014044i,0.00013638+0.00074922i,-3.1729e-05+0.00031237i,-7.2387e-05+0.00050358i,-0.00011202+0.00058176i,0.00011479+0.00023832i,0.00023955+0.00021634i,0.00011757+0.0003817i,-0.00024992+0.00053815i,-0.00074944+0.0003725i,-0.00025633+0.00015294i,-0.00014055+0.00044739i,-0.00038921+0.00032291i,-0.00013781-0.00030799i,-0.00049225-0.00018467i,-0.0010806-8.015e-05i,-0.00096546-0.00063765i,-0.00030861-0.00055789i,0.00023494-0.00062773i,0.00016828-0.00048387i
0.0017789-0.0010005i,0.0023593-0.0023908i,0.0017705-0.0031425i,0.00043733-0.0023877i,-0.00036536-0.00083304i,-0.00087342-0.000472i,-7.2239e-05-0.00054966i,0.00075353-0.0003747i,0.00015666+4.6792e-05i,-0.00068902+9.4244e-05i,-0.0011167-5.1787e-05i,-0.0010389-0.00011513i,-0.0012154-0.00041849i,-0.0016446+1.2527e-05i,-0.0016255+0.00069154i,-0.001189+0.00015861i,-0.00041568+0.00023644i,-1.9913e-05+0.00085874i,0.00045098+0.00086902i,0.00082114+0.00027134i,0.00049637-0.00045765i,-0.00011509-0.00071197i,0.00021131-0.00035153i
-0.0016269+0.00035806i,-0.0022237+0.0013545i,-0.0017375+0.0024335i,-0.00038466+0.0022268i,0.00065528+0.00049573i,0.00089127-0.00085228i,-9.469e-05-0.00071303i,-0.00050281-0.00063898i,-3.3462e-05-0.00035189i,-8.9535e-05+0.00030358i,-0.00046001-0.00020243i,-0.00036219-0.00037155i,-0.00079955-5.2076e-06i,-0.00069862+5.5469e-05i,-0.00022599+0.00033885i,-0.00059833-0.00016675i,-0.00076762-0.00073679i,-0.00047156-0.00056193i,-0.00020995-0.00049796i,0.00013118-0.00043111i,0.00015508+2.7487e-05i,0.00010236+5.4094e-05i,0.00034466-0.00016896i
0.00029991-0.0012452i,0.00151-0.00038391i,0.0019667+0.00088819i,0.0014966+0.00033796i,0.0011709+1.8685e-05i,0.00061671+0.00017047i,-0.00019947-0.00095238i,-0.00051282-0.0012975i,-0.000399-0.00033i,-0.00063985+0.00031558i,-0.00069561+0.00042149i,-0.00011761+0.00059793i,0.0002098+0.00012152i,0.00047036-0.00061299i,0.00064972-7.797e-05i,0.00064532+0.00014932i,0.00021553-0.00021658i,-0.00012177-0.00032723i,8.709e-05-0.00077226i,1.8772e-05-0.00052296i,-0.00064437-0.00024136i,-0.00060818+5.9568e-05i,0.00031494-0.00038539i
-0.0020516+0.00051542i,-0.001761+0.001081i,-0.0012502+0.0020678i,-0.00021458+0.0028811i,0.00070034+0.0018519i,0.00063809+0.00090697i,-0.00024802+0.00019603i,-0.00071915-0.00095649i,-0.00024026-0.00052493i,4.7013e-05+0.00076012i,-0.00027126+0.00080792i,-0.00067886+0.00064425i,-0.00054135-0.00012396i,-4.1853e-06-0.00093773i,0.0002184-0.00048093i,-6.2912e-05-0.00044149i,-0.0005474+3.179e-05i,-0.001203+7.3016e-05i,-0.0013037-0.00083736i,-0.0012715-0.00050532i,-0.00087423-9.3743e-05i,2.8778e-05+0.00019521i,-0.00013792+0.00046932i
-0.0019067+0.0014851i,-0.0013125+0.0013739i,0.00032232+0.0012951i,0.0011363+0.00050339i,0.0012613-0.00046937i,0.00084491-0.00028947i,0.0001343+0.0002121i,-0.00027789-0.00027699i,-0.00040767-0.00033475i,-0.00032811-0.000217i,0.00020445-0.00056015i,-4.1859e-05-0.0005686i,-0.00088139-0.00036485i,-0.0010739-0.00049378i,-0.00082717-0.0011222i,1.2046e-05-0.0015167i,0.00053098-0.0010289i,0.00041031+0.00014254i,0.00013298+0.00030511i,-0.00025396-8.823e-05i,-0.00063895+0.00055978i,-0.00055069+0.00023118i,-1.6424e-06-0.00045358i
0.0010209-0.0011176i,0.00021663-0.00034276i,-0.00068627-0.00071803i,-0.00067556-0.00043592i,-0.00025159+0.00083807i,4.1634e-05+0.00087407i,0.00012348+0.00019183i,0.00023589+0.00016804i,-1.0178e-05+0.00043265i,-0.00026044+0.00056895i,-0.00017412+0.00084383i,0.00048869+0.00085539i,0.00077945+0.0010811i,0.00026738+0.0011i,-4.3892e-05+0.00070123i,0.00020437+0.0010207i,0.00026427+0.00024385i,-0.00018715-0.0010326i,-0.00040366-0.00074038i,-0.00035309+0.00037129i,-0.00058328+0.00050133i,-0.00042925-0.0004234i,-8.9355e-05-0.00097585i
0.00022988-0.001205i,0.00054972-0.00081794i,0.00035561-0.00015171i,0.00063793+0.00080234i,0.000378+0.00075567i,0.00048263-6.6187e-05i,0.0010672+0.00022147i,0.0011215+6.0903e-05i,0.00073654-0.00041713i,-0.00010362-0.00040391i,-0.00062732-0.00097284i,-0.00052486-0.0011112i,0.00011409-0.0003051i,0.00023815-0.00032119i,0.00038993-0.00032913i,0.0012327+0.00012457i,0.0015267-0.00052077i,0.0010258-0.0011284i,6.3375e-05-0.00062819i,7.2873e-05-0.00082761i,0.00051384-0.00094621i,-0.00010926-0.00045414i,-0.00022785-5.4641e-05i
-0.00038622-0.0017869i,-0.0014662-0.0020794i,-0.0019273-0.0013301i,-0.0016433+0.00057871i,-0.00093648+0.0013432i,1.6818e-05+0.00066576i,0.00076339-0.00047702i,0.00064992-0.00068194i,0.00090693-0.00012922i,0.00061899+0.00012165i,0.00053545-6.0334e-05i,0.00090122+5.0598e-05i,0.00096903+0.00024882i,0.00084596+0.00024522i,8.9424e-05-8.6097e-05i,-0.00030118-0.00067035i,-0.00040368-0.00085724i,-0.00061865+0.0005054i,-0.00085301+0.0003905i,-0.00073075-0.00087814i,0.00037245-0.00075025i,0.00090076-0.00012456i,0.00085444+0.00043271i
-0.0016977-0.00073069i,-0.0019042-0.001148i,-0.0020671-0.00052912i,-0.0015807+0.00093283i,-0.00084212+0.0014078i,-0.0010779+0.0010208i,-0.00082331+0.00022183i,-0.00020579-0.0010659i,-0.00012412-0.0011563i,-4.1955e-05-0.00013227i,-0.00030449+0.00080262i,-0.00019231+0.00069823i,0.0005221+0.00022568i,0.00098443+0.00047518i,0.00062208+0.00075563i,-3.9377e-05+0.00015939i,5.7018e-05-0.00032125i,-0.00032859-0.00082114i,-0.00072641-0.0010647i,-0.0003677-0.00055271i,-0.00053741-0.001019i,-0.00036485-0.0013791i,0.00051589-0.00051968i
0.00027155-0.00010111i,-4.353e-05+0.00071308i,-0.00019796+0.00086566i,0.00015392+0.00057349i,0.00031343+0.00025233i,0.00066211+0.00029183i,0.00088072-0.00017716i,0.0011539-0.0010806i,0.00081498-0.0010072i,-0.00020375-5.1849e-05i,-0.00018139+0.00090447i,0.00037465+0.0012982i,3.9653e-05+0.00074647i,-0.00051832-0.00059393i,-0.00017506-0.00097213i,0.00012799-0.00057754i,-0.00027197-0.00023511i,-0.0005066-0.00090399i,-0.00043416-0.0011882i,-0.0004661+7.586e-06i,7.3091e-05+0.00024592i,0.00023594-0.00024872i,-0.00084459-6.2868e-05i
