0.002078+0.00090661i,0.0014671+0.00076157i,5.898e-05+6.3724e-06i,-0.00068327-0.00022907i,-0.0019345+0.00084266i,-0.0015047+0.0022495i,-0.00051956+0.0023713i,-7.8184e-06+0.0023983i,0.00098643+0.0018521i,0.00064603+0.00030061i,-0.00023019-0.00059124i,-0.00023857-0.00079114i,-0.00022027-0.00059356i,-0.00083804-0.00071181i,-0.000894-0.00060049i,-0.00019695-0.00010812i,0.00030564+0.00031951i,-6.3482e-05+0.00036282i,5.5929e-05-0.00027349i,0.0004137-0.00060088i,0.00034294-0.00073698i,-0.00019747-0.00085887i,-0.00052533-0.0010266i
-0.013712+0.021577i,-0.010572+0.022891i,-0.0054671+0.01285i,-0.0026474+0.0058438i,-0.001722+0.0051099i,-0.00020581+0.0042432i,-6.8887e-05+0.0018333i,-0.00023114+0.0012466i,0.00062437+0.0013533i,0.0014515+0.0011207i,0.0013716+0.00070863i,0.00080463+0.00025891i,0.00071333-5.5783e-05i,0.0006974-0.0001882i,0.00014281-0.00016996i,-0.0002968+0.00032108i,-0.00091858+0.0010966i,-0.0012503+0.0015593i,-0.00076516+0.0011331i,-0.00027023+0.00028191i,0.00012928-0.00041534i,0.00017284-0.00044028i,-2.8854e-05-9.4342e-05i
0.016543+0.020424i,0.019512+0.01896i,0.012524+0.012359i,0.0067678+0.0073254i,0.0057199+0.0046335i,0.0040373+0.0013101i,-0.00012337-0.00080776i,-0.0028549-0.00035796i,-0.0031413+0.00039732i,-0.0019658-0.00040227i,-0.00015798-0.00095416i,9.7636e-05-0.00057474i,-8.554e-05+3.1285e-05i,0.00023569+0.00074593i,0.00039809+0.0014118i,0.00048121+0.0013236i,0.00052449+0.00094952i,0.00029245+0.00088229i,-0.0002878+0.0008831i,-0.00014946+0.00032233i,-0.00013888+0.00037466i,-0.00044152+0.00058268i,-0.00069807+0.00052626i
0.021485-0.013762i,0.019917-0.016794i,0.012049-0.010526i,0.0052822-0.0046422i,0.0012786-0.0031378i,-0.00034254-0.0018643i,-0.00082693-0.00066431i,-0.0017217-0.00029265i,-0.0015368+0.00021789i,-0.00051175-0.00029835i,-0.00030764-0.0011034i,-0.00073498-0.00048332i,-0.0010246+3.1435e-05i,-0.000735-0.00023219i,9.3427e-05+0.00026224i,0.0003521+0.00039048i,0.00045467-0.00065066i,0.0004592-0.0010732i,0.0010585+6.5503e-05i,0.0007046+0.00095974i,-0.00044481+8.2524e-05i,-0.00037172-0.00062207i,0.00024111-2.3949e-05i
-0.010997-0.022151i,-0.015409-0.019497i,-0.011406-0.0098198i,-0.0059842-0.0031306i,-0.0037787+0.00076555i,-0.0020994+0.0031017i,-0.00076835+0.0026669i,-0.00055996+0.0021672i,0.00084033+0.0018722i,0.0019509+0.00073755i,0.0016155-0.00029735i,0.0010807-0.00021107i,0.00076875-2.4138e-05i,0.00019621-0.00023725i,-2.6756e-05+0.00010754i,4.6997e-05+0.00083792i,-0.00058762+0.0010339i,-0.00045867+0.00021416i,0.00017858-0.00026633i,0.00031677-0.0001103i,0.00039822-5.1096e-05i,0.00019078+0.00042071i,-0.00062677+0.00059019i
-0.0232+0.0048248i,-0.023709+0.010201i,-0.014471+0.0073144i,-0.0081896+0.0036467i,-0.0059689+0.0034416i,-0.0019465+0.00322i,0.00039576+0.0022051i,-0.00097777+0.0022139i,-0.0010012+0.0022822i,7.3352e-05+0.001393i,-0.00050701+0.00041513i,-0.00082916+0.0001074i,-1.5088e-05+0.0006938i,2.9126e-05+0.0010887i,-0.00041059+0.00046123i,-0.00052274+0.00078955i,-0.0012626+0.0018074i,-0.0011953+0.001533i,-0.00029909+0.00059649i,-0.00025343+3.4701e-05i,-8.9705e-05-0.00054519i,0.00021178-0.00021597i,-0.00024762-1.9494e-05i
0.0035911+0.023032i,0.0066013+0.023705i,0.0041835+0.015598i,0.0013209+0.009217i,0.0011718+0.0072429i,0.0013123+0.0036074i,0.00069939-0.00019306i,0.00010766-0.0001165i,-0.00092958+0.00016549i,-0.00082716-0.00024032i,-0.00049918+0.00013519i,-0.00040989+0.00047496i,-0.00016664+0.00024787i,-0.00048813-0.00063963i,-0.00091689-0.00082236i,-0.00062143-0.00053857i,9.811e-05-0.00050849i,0.00041673-0.00062769i,0.00053019-0.00017792i,7.8454e-05-0.00041781i,-0.00025293-0.0014034i,-2.9144e-05-0.0010293i,-0.00060697-4.6185e-05i
0.024107+0.0018961i,0.026517-0.0014359i,0.017144-0.0024529i,0.0083816-0.0018791i,0.0038984-0.0014806i,0.00041262-0.0011079i,-0.0010903-0.00095671i,-0.00057378-0.0005536i,4.4165e-05-0.00027068i,2.9333e-05-0.00091189i,0.00010588-0.0013845i,0.00057971-0.0017457i,9.0816e-05-0.0011994i,-0.0011225+0.00021573i,-0.00056186+0.00083833i,0.00079862+0.001438i,0.00088669+0.0016036i,0.00031531+0.00051247i,0.00034309-0.00028553i,0.00080194-0.00011937i,0.00041195-9.465e-05i,-0.00051812-0.00032853i,0.00017102+0.00012203i
0.0043243-0.018902i,0.0022216-0.021237i,0.001019-0.013807i,-0.0010344-0.0064071i,-0.0028612-0.0025669i,-0.0022473-0.00046882i,-0.0019504+0.00049503i,-0.0026693+0.0020839i,-0.0020091+0.0035233i,-0.0005569+0.0025889i,0.001007+0.001255i,0.0015627+0.0010034i,0.0014545+0.0010348i,0.0015998+0.00061793i,0.00042631+0.00029667i,-0.00057929-0.00041989i,-0.00039849-0.00072956i,-0.00035397-0.00076813i,-0.00061005-0.00040973i,-0.00035057-0.00027662i,0.00071351+0.00029955i,0.00030729+0.0011513i,-0.00047365+0.0010013i
-0.020095-0.0066079i,-0.024036-0.0023066i,-0.016873+0.0017872i,-0.0097927+0.0031496i,-0.0062704+0.0035111i,-0.0024661+0.0039964i,-0.00039848+0.0030008i,-0.0004709+0.0016213i,-0.00023908+0.0010221i,-0.00022457+0.00040744i,-0.00062087-7.3072e-05i,-1.4202e-06-0.00042069i,0.00026035-6.7149e-05i,-0.0004087+0.0004092i,-0.0009154+0.00026152i,-0.00087196+5.0931e-05i,-0.00070046+7.7032e-05i,-0.00017937-0.0001237i,0.00020406+0.00087202i,0.00027579+0.00082601i,-0.00041099-0.0006654i,-0.0010573-0.00092145i,-0.00052325-0.00014138i
-0.011762+0.020329i,-0.0085442+0.026088i,-0.0035035+0.018414i,-0.0026008+0.01002i,-0.0012997+0.0069128i,0.0012078+0.0041179i,0.0011529+0.0012378i,0.00044564+0.0001626i,0.00087668-4.1739e-05i,0.00051335-0.00098378i,-0.00056274-0.0016153i,-0.00078845-0.0012545i,-0.00087345-0.00077734i,-0.00030512-0.00097527i,0.0002511-0.0004132i,0.00016356+0.0004052i,0.00025399+0.00015282i,-0.00048667-0.0001569i,-0.00090292+0.00040984i,-0.00077596+0.00048149i,-0.000113+0.00022555i,0.00036398+0.00027631i,0.000215+0.00021601i
0.015192+0.013241i,0.019656+0.01165i,0.014252+0.0068623i,0.0078727+0.0047623i,0.0045162+0.0040806i,0.002999+0.0017337i,0.0012214+2.9639e-05i,5.9097e-05+7.3457e-08i,0.00072473+0.00085583i,0.0015342+0.0005495i,0.0013455-0.00013078i,0.00081318-0.00012445i,0.00074999-2.8301e-05i,0.00045763-0.00016218i,-0.00042311+0.00019561i,-0.00043962+0.00032908i,0.00032532+0.00048301i,0.00078154+0.00028448i,0.00026878-0.00046723i,-9.9736e-05-0.0012901i,6.7478e-05-0.0014231i,2.3639e-05-0.0004618i,-0.00020631+0.00017191i
0.020497-0.01445i,0.019447-0.021483i,0.01271-0.016135i,0.0061954-0.0095036i,0.0015281-0.0066741i,-0.0025884-0.0040898i,-0.0039347-0.0026632i,-0.0031016-0.0012885i,-0.0014503+0.00016998i,-0.00047082+0.00011613i,-0.00026978+0.00012541i,0.00053016+0.00028623i,0.0011402-0.00036958i,0.000233-0.00018718i,-0.00099496+0.00036994i,-0.0011526+0.0004035i,-0.00021176+0.00016176i,-6.0427e-05+7.857e-05i,-0.00082944+0.00049482i,-0.00058183-0.00013647i,0.00020023-0.00023346i,-0.00025446+0.00047948i,-0.00060857-0.000131i
-0.013017-0.016932i,-0.018705-0.015828i,-0.014743-0.0092956i,-0.0090694-0.0037036i,-0.0065798+4.6502e-05i,-0.0047713+0.0012941i,-0.0029558+0.00015918i,-0.0019008+8.9392e-05i,-0.0016623+0.00070909i,-0.0015619-2.1262e-05i,-0.0011019-0.00088649i,-0.00017166-0.00019529i,-9.9541e-05+7.5597e-06i,-0.00027147-0.00013765i,-0.00091589+0.00014269i,-0.0014045+0.00030955i,-0.000245+6.2354e-06i,0.0011626-0.00061881i,0.0004233-0.00032469i,-0.00056204-0.00020762i,-0.00087114-0.00036465i,-0.0012209-0.00045876i,-0.0009654-5.6052e-05i
-0.018411+0.0079275i,-0.021166+0.01436i,-0.015122+0.011642i,-0.0092986+0.0077978i,-0.0056051+0.0073428i,-0.0011637+0.0061395i,0.00016619+0.0042155i,-0.001277+0.0034535i,-0.00064857+0.0021971i,0.00088777+0.00035099i,0.0005492-0.00082287i,0.00013648-0.0010531i,5.124e-05-0.0006606i,-0.00045267-6.707e-05i,-0.00065091+0.00029331i,-0.00018061+0.00028848i,-0.0003284-0.00011627i,-0.00074057-0.00056175i,-0.00011538-0.0005712i,0.00020233-0.00014004i,-4.2005e-05+0.00039366i,0.00029465-0.00010678i,3.9772e-05-0.00036145i
0.007071+0.022568i,0.013818+0.026489i,0.012001+0.02034i,0.0075227+0.012745i,0.0062088+0.0087585i,0.0058256+0.0045291i,0.003893+0.00045118i,0.001872+0.00014621i,0.0014126+0.001466i,0.00085926+0.0012656i,0.00041486+0.00064765i,0.00035769+0.00041487i,0.00040192+0.0002789i,0.00063031-0.00023339i,0.00011586-0.00045287i,-0.00052218+0.00075777i,-0.00079825+0.0010165i,-0.00093045+0.00093697i,-0.0014427+0.0012099i,-0.00053413+0.0011549i,4.7808e-05+0.00060732i,-0.0002594-9.4259e-05i,-7.716e-05+0.00043307i
0.021163-0.0040027i,0.022815-0.0091276i,0.01466-0.0093448i,0.0076848-0.0052353i,0.003893-0.0035242i,0.00089174-0.0034054i,-0.00042566-0.0018249i,-0.00052863-0.0011359i,-0.00032349-0.00070956i,-0.00092036-0.00051475i,-0.0015894-0.00012542i,-0.0017333+0.00090602i,-0.0013445+0.001328i,-0.0012525-7.8393e-05i,-0.0007528-0.0010762i,0.00010131-0.00052579i,0.00036187+0.0001065i,0.00093633+0.0001778i,0.001408-0.00024355i,0.0011293-0.0006269i,0.00054652-0.00084178i,0.00045784-0.00082743i,-0.00021386-0.0010263i
-0.0024589-0.020982i,-0.0060734-0.023911i,-0.0045549-0.015756i,-0.0021921-0.0082243i,-0.0026211-0.0045895i,-0.0031379-0.0014318i,-0.003033+5.3269e-05i,-0.0029647+0.00016986i,-0.0019696+0.00013178i,-0.00032811-0.00042823i,0.00059486-0.00084325i,0.00075798-0.00023034i,0.00051397-0.00018012i,0.00055533-0.00097423i,0.00036802-0.00101i,-9.9126e-06-0.0013822i,-0.00036671-0.0016115i,-0.00013331-0.0011142i,0.00028573-0.00069782i,0.00072692-0.00020246i,0.00093324+0.00045319i,0.00037253+0.00018805i,-9.8318e-05+0.00021257i
-0.017995-0.00047472i,-0.024458+0.0027347i,-0.017908+0.0032203i,-0.010301+0.0021291i,-0.008086+0.003477i,-0.0056991+0.0049861i,-0.0031482+0.0041949i,-0.0020083+0.0032796i,-0.00070268+0.0022921i,0.00094726+0.00042426i,0.0017116-0.00094851i,0.0015525-0.00096943i,0.0011867-0.00078696i,0.00019538-0.00078433i,-0.00074842-0.00034101i,-0.00077725+0.00057297i,-0.00053816+0.00095297i,-0.00054446+0.00045931i,-0.0007259-0.00015405i,-0.00037716-9.7751e-06i,-0.00089159+0.00071499i,-0.001276+0.00067006i,-0.00036422+0.00021477i
-0.0020439+0.020626i,5.4918e-05+0.025136i,0.0011379+0.017232i,-0.00038395+0.010909i,-0.00071988+0.0090812i,0.00064672+0.0069016i,0.00060735+0.0038723i,3.1032e-05+0.0024054i,0.00013868+0.0017762i,7.0529e-05+0.00081332i,-0.00013401-8.8984e-05i,0.00017296-0.00055492i,0.00014639-7.4459e-05i,-0.00083826+0.00064467i,-0.0010601+0.00031238i,0.00017821+0.00022645i,0.00080027+0.00051264i,0.00091508+0.00059005i,0.00074299+0.00031753i,-0.00029929+0.00070861i,-0.00043621+0.0012256i,0.00023831+0.00082865i,0.0002742+0.00052736i
0.019467+0.0053226i,0.025473+0.0045203i,0.019058+0.0040814i,0.010065+0.0040773i,0.0066347+0.0030494i,0.0047811+0.00029805i,0.0023422-0.0010604i,0.0013492-0.00048521i,0.00095833+0.00019529i,0.00069954+7.2958e-05i,-8.6393e-05-7.813e-05i,-0.0010853+0.0002036i,-0.0010261+9.5862e-05i,-0.001053-0.00039527i,-0.00037775-4.9851e-07i,0.0002236+0.0011349i,-8.493e-05+0.0014935i,-3.4995e-05+0.00071987i,0.00042571+0.00036499i,0.00033789+0.00024268i,0.00081412-9.6687e-05i,0.00071013-0.0007831i,0.00016085-0.0010819i
0.011909-0.016685i,0.010911-0.023337i,0.0064402-0.017763i,0.0043548-0.0097376i,0.0025158-0.0056023i,-3.2965e-05-0.0031319i,-0.0014047-0.0020268i,-0.002565-0.0013799i,-0.0012444-0.00058422i,0.00048021-0.00063903i,0.00023599-0.00068931i,0.00022363-0.00032127i,0.00087809+0.00012676i,0.0011243-0.0001306i,0.00038657-0.00026224i,-0.00041346+9.3459e-05i,-0.00027558+0.0010043i,-0.00050947+0.00096979i,-8.4982e-05+0.0001594i,0.00046547+4.885e-05i,0.00030853+0.00012667i,0.00011567+0.00035587i,-0.00028816+0.00052361i
-0.01598-0.010381i,-0.022687-0.012231i,-0.016375-0.0078778i,-0.0089341-0.0044619i,-0.0060982-0.0024195i,-0.0046125-3.2401e-05i,-0.0040033+0.00028979i,-0.0036261-5.2311e-05i,-0.0012182+0.00012866i,0.00081732+6.3112e-05i,0.00095507+0.00020676i,0.0009738+0.0002922i,0.0011036-0.00029229i,0.00055833-0.0012483i,-7.9924e-05-0.0016354i,-9.0081e-05-0.00068095i,-0.00023283+0.00051067i,-0.00022333+0.00074326i,0.00017694+2.375e-05i,-3.1606e-05-0.00082648i,-0.00052666-0.00103i,-0.00012163-0.00061999i,0.00020502-0.0003185i
-0.011532+0.017268i,-0.013071+0.023173i,-0.008856+0.016744i,-0.007092+0.0090126i,-0.0058142+0.0061088i,-0.0022746+0.0045013i,-0.00085865+0.0026244i,-0.001338+0.0022765i,-0.0014065+0.0023321i,-0.0011819+0.0013397i,-0.0011219-0.00030711i,-0.00086791-0.0012819i,-0.00041636-0.0010296i,-0.00066072-0.0004744i,-0.00073082-8.5963e-05i,-0.00051903-0.00011457i,-0.0002561-0.00011063i,-0.00065535-0.00018231i,-0.00059124+0.00012335i,-0.00025363+0.00049518i,-0.00043476+0.00055841i,-0.0004617+0.00039871i,-0.00048989+0.00027516i
0.013487+0.019125i,0.020121+0.022229i,0.015903+0.016913i,0.0081218+0.010684i,0.0044587+0.0076524i,0.003157+0.0042284i,0.00080458+0.0013051i,-0.00042978+0.0019438i,-8.7259e-05+0.0020304i,0.00036792+0.00012351i,0.0012963-0.00080675i,0.0014432-0.0006294i,-0.00018452-0.00069925i,-0.00089112-0.0016159i,-0.00014873-0.0018609i,-0.00014669-0.0012762i,-0.00035574-0.0001597i,-0.00037788+0.001058i,-0.00036404+0.0014561i,-0.00044404+0.002038i,-0.0002759+0.001692i,0.00026418+0.00077174i,0.00047908+0.00038613i
0.017125-0.0093284i,0.022304-0.013712i,0.018325-0.0092374i,0.011658-0.0025536i,0.0068153-0.00037151i,0.0030574-0.0012108i,0.00082318-0.0023064i,8.1117e-05-0.0026324i,0.00041508-0.0019118i,0.0012771-0.0018166i,0.0013978-0.0012321i,0.00099607+0.00015545i,0.001379+0.0006491i,0.00092656+0.0010702i,-6.2959e-05+0.000725i,-0.0004322+0.00086985i,-0.00035428+0.00085528i,0.00038259+0.00023958i,0.0010421-0.00025128i,0.00085736-0.0010015i,0.00074822-0.0015943i,0.00059515-0.0012897i,0.00013856-0.00023765i
-0.0091183-0.018302i,-0.014732-0.023644i,-0.010391-0.017829i,-0.0037847-0.010212i,-0.0029005-0.0059866i,-0.0040317-0.0031537i,-0.003305-0.0021667i,-0.0016305-0.0014995i,-0.00037178+0.00056862i,0.0001242+0.00092619i,0.00014069+0.0006448i,0.00044284+0.00099833i,0.0011185+0.00016253i,0.0010453-0.0011719i,0.00061358-0.0010381i,-0.0001193-3.8677e-05i,-0.00032333+0.00026523i,-6.8466e-05+0.00016658i,-0.00096159-0.00015424i,-0.0013337-0.0010566i,-0.00019857-0.00095659i,0.00063329-0.00046717i,-0.00012644-0.0003885i
-0.019201+0.010718i,-0.024809+0.013748i,-0.018999+0.010445i,-0.011496+0.0046213i,-0.0066986+0.0026042i,-0.0033062+0.0037473i,-0.0027321+0.0036201i,-0.0030992+0.0028966i,-0.0021675+0.002483i,-0.0015746+0.0012944i,-0.00088206+0.00046463i,0.00048489-0.00031482i,0.00047531-0.0008023i,-0.00066735-0.00049309i,-0.001469-0.00036662i,-0.0017096-0.00021803i,-0.0017643+0.00035284i,-0.001479+0.00047837i,-0.00047654+0.00024152i,-0.00019015+0.00038165i,-0.0010381+0.00074877i,-0.0010053+0.00023108i,5.9415e-05-0.00075852i
0.0070097+0.019772i,0.0092846+0.025298i,0.0066342+0.017973i,0.0016299+0.0091854i,-0.00040982+0.0062258i,0.00068806+0.0049551i,0.00014401+0.0033791i,-0.0010338+0.002426i,-0.00073439+0.00099766i,-7.8627e-05-0.00094642i,-0.00032458-0.0023389i,-0.00045271-0.0031542i,-0.00060207-0.0031114i,-0.00060507-0.0022633i,-0.00033412-0.00091972i,-0.00038646-0.00017142i,-0.00020567-5.3757e-05i,2.7619e-05+7.5212e-06i,0.00022126+0.00017513i,5.7374e-05+0.00064099i,-0.00027007+0.0015171i,0.00012578+0.001675i,-0.00011478+0.00067879i
0.018971-0.001279i,0.026025-0.0014201i,0.020576+0.0013665i,0.011245+0.0040059i,0.0058644+0.0033745i,0.0030067+0.00090999i,0.0018701-0.0008448i,0.0022-0.0011037i,0.0023924+0.00084945i,0.0023345+0.0014328i,0.0014882+0.00021897i,-3.6735e-05-0.00027765i,-0.00062993+0.00026267i,0.00028373+0.0007813i,0.00064258+0.00035076i,0.00025421+8.2282e-05i,0.00031426-0.0001548i,0.0006266+5.0586e-05i,0.00049827+0.00067039i,-0.00020989+0.0010597i,-0.00041965+0.00056913i,0.0002549+0.00035098i,0.00064353+0.00050968i
0.00091507-0.021707i,0.0011748-0.02881i,0.0022782-0.021913i,0.002311-0.010722i,0.00068147-0.004514i,-0.00013769-0.002131i,1.2732e-06-0.0010547i,-0.0009249+0.00053096i,-0.001282+0.001965i,-0.0013941+0.0014408i,-0.0014971+0.00052459i,-0.00058572+0.0012348i,-1.2719e-06+0.0023341i,0.00027023+0.0017147i,0.00067139+0.00054952i,0.00035239+0.0004058i,-0.00025101+0.00032129i,-9.2561e-05+0.00027747i,0.00056764+0.00044888i,0.00054864+0.00024494i,0.00051661-4.3305e-05i,-9.0087e-05+6.6087e-05i,-0.0010273-0.00019769i
-0.020806-0.002307i,-0.03054-0.0034309i,-0.024145-0.0048391i,-0.011567-0.0057449i,-0.0064613-0.0032347i,-0.0053556+0.00078192i,-0.0044444+0.0014885i,-0.0040507+2.1283e-05i,-0.0033793-0.00086033i,-0.0021641-0.0017153i,-0.0016328-0.0018549i,-0.001122-0.0013242i,-9.7381e-05-0.0014438i,-0.00017042-0.0014768i,-0.00020366-0.0018376i,0.00031613-0.0015731i,0.0011674-0.00047515i,0.00091053-0.00016552i,-4.7794e-05-0.00046742i,-0.00045803-0.00046777i,-0.00041181-0.00032764i,-0.00020147-0.00036984i,0.00091753+0.00050256i
-0.0043623+0.020111i,-0.0067265+0.030203i,-0.0062203+0.024294i,-0.0058325+0.014237i,-0.0053764+0.010112i,-0.0024096+0.0067568i,-0.00068027+0.0030783i,-0.00047891+0.00092151i,0.00093907-7.8986e-05i,0.0013901-0.0010022i,0.001399-0.0016278i,0.0019522-0.0016143i,0.001278-0.0011307i,0.00026173-0.00063725i,-0.00019399-0.00021258i,-0.00028166+8.2165e-05i,-0.00062943+5.0132e-05i,-0.0010784+0.00054149i,-0.00033018+0.00082277i,4.9524e-05+0.00033237i,-0.00078609-0.00028067i,-0.0016358-0.0003011i,-0.0018169+7.7704e-05i
0.019317+0.0057199i,0.026804+0.010201i,0.01906+0.0090854i,0.0072777+0.0063622i,0.0034603+0.0056389i,0.0042892+0.0035144i,0.0031514+0.0015419i,0.0011659+0.0022575i,0.00061845+0.0034516i,0.00064322+0.003183i,0.00060265+0.0019059i,6.9855e-05+0.00075258i,-0.00078889+0.00049286i,-0.00090516+0.00087178i,-0.00061133+0.0013202i,2.0102e-05+0.0012421i,0.0011489+0.00085274i,0.0013797+0.00029701i,0.00052083+0.00020178i,0.00039286+0.00044039i,0.00025706+0.00088832i,-0.00091763+0.00067972i,-0.0010707+0.00051701i
0.0072297-0.01566i,0.012645-0.021142i,0.011882-0.01433i,0.008315-0.0043495i,0.0051867-0.0013081i,0.0026297-0.0025336i,-4.0522e-05-0.0020776i,-0.0025329-0.00017876i,-0.0025629+0.0015386i,-0.00092799+0.0017807i,-0.00075564+0.00082161i,-0.0007993+0.00045195i,2.8693e-05+0.000532i,0.00030586-4.2557e-05i,0.0011861-0.0004549i,0.0010789-0.00044621i,-1.336e-06-8.989e-05i,-0.00015902+0.00089929i,0.00051544+0.0010231i,0.00087792+0.00028382i,0.00089393-6.4086e-05i,0.001381-0.00026165i,0.00089545-0.00071961i
-0.018545-0.013931i,-0.024657-0.01883i,-0.018106-0.014431i,-0.0089385-0.0085768i,-0.0062362-0.0046382i,-0.0051998-0.0018081i,-0.00383-0.0015614i,-0.0037394-0.0026335i,-0.0021787-0.0030877i,0.00019664-0.0028968i,0.00073719-0.0019764i,0.0014226-0.00032796i,0.0020729-0.00023846i,0.0018939-0.00085543i,0.0010021-0.00097295i,0.00013541-0.00091597i,0.00038493-0.00028231i,-0.00015564+0.00012116i,-0.00033472-7.5439e-05i,-5.8834e-05-0.00029864i,0.00049914-0.00060361i,0.00082432-0.00078197i,0.00052245-0.00042998i
-0.013631+0.019471i,-0.020785+0.025322i,-0.017754+0.019346i,-0.011306+0.0087549i,-0.0077481+0.0050003i,-0.0038636+0.0051754i,-0.00092184+0.0033221i,0.00024087+0.0018896i,0.0016199+0.0022538i,0.0026554+0.0019017i,0.002456+0.001023i,0.0018439+0.00027197i,0.00095592-0.00072687i,0.00013413-0.0013058i,-0.00016717-0.0014561i,-0.00048007-0.00080531i,-0.0010051+6.3002e-05i,-0.00077305-3.4266e-06i,-0.00019748-3.8764e-05i,-3.7498e-05+6.8254e-05i,-0.00026918-0.00057511i,-0.00028215-0.0011323i,-0.00022867-0.0002568i
0.013054+0.014382i,0.016566+0.022738i,0.010209+0.020356i,0.0020707+0.015016i,-0.00016651+0.011591i,0.0017081+0.007829i,0.0013693+0.0045406i,-0.00086382+0.0042894i,-0.0019228+0.0044614i,-0.0021045+0.002703i,-0.0010631+0.0016328i,0.00027577+0.001177i,-0.00045791+0.00048919i,-0.0018332+0.0005588i,-0.0021314+0.0010646i,-0.0016332+0.0014051i,-0.0011552+0.0013979i,-0.0007345+0.00068938i,-0.0006185+0.00067728i,-0.00041906+0.0017108i,-0.0009633+0.0014857i,-0.0014032+0.00068599i,-0.0007816+0.00043587i
0.01479-0.011136i,0.022692-0.012716i,0.017864-0.0061162i,0.010002+0.00069879i,0.0066908+0.0017482i,0.0045466-0.00067705i,0.00076187-0.0019533i,-0.0018796-0.0018908i,-0.0027671-0.0017579i,-0.0028042-0.0018991i,-0.0015942-0.0017397i,-0.00067458-0.00087929i,-0.00083457-0.0003864i,-0.0010962+0.00033153i,-0.00072515+0.00046389i,-0.00015158+3.1956e-05i,-5.3505e-05+0.0002836i,-3.3328e-05-0.00019021i,-0.00030235-0.00093261i,-0.00022907-0.00067364i,0.00025538+6.4444e-05i,0.00087722+0.0013138i,0.00097969+0.0012907i
-0.011039-0.019108i,-0.012455-0.026166i,-0.0074803-0.020098i,-0.0012057-0.010369i,-0.00041429-0.0054246i,-0.0011444-0.003768i,0.00033912-0.0031023i,0.0016089-0.0028251i,0.0029652-0.0024278i,0.0036009-0.0018337i,0.0030133-0.0013875i,0.0027974-0.00039726i,0.0029782-0.00054195i,0.0022114-0.00031328i,0.0014536+0.00029427i,0.0018231+0.00042357i,0.001668+0.00061031i,0.00068367+0.0008437i,0.00014977-0.00010026i,0.00070798-0.001229i,0.0009093-0.00096801i,-5.9538e-05-0.00087062i,-0.00073994-0.00094394i
-0.023532+0.011974i,-0.030056+0.012746i,-0.021977+0.0084355i,-0.011566+0.0011173i,-0.0071656-0.00070161i,-0.003996+0.0012941i,-0.0015937+0.0018242i,-0.0015176+0.0034772i,-0.0010143+0.0053046i,0.00032873+0.0048393i,0.0014533+0.0028361i,0.0017223+0.00085183i,0.0017165-0.00054187i,0.0016618-0.0014434i,0.00099844-0.0019535i,0.00041605-0.0018069i,0.0002611-0.00049117i,0.0008965+0.00073755i,0.00068808+0.00066881i,0.00056669+0.00019213i,0.00059914-0.00025386i,0.0005302-0.00051411i,0.00013081-4.3319e-05i
0.0071795+0.023734i,0.0066423+0.033341i,0.0013374+0.025963i,-0.0043323+0.015252i,-0.0057634+0.011389i,-0.0025229+0.0079216i,-0.0023032+0.0042137i,-0.0052797+0.0027608i,-0.0055914+0.0017207i,-0.0038552+0.00091955i,-0.0029545+9.7375e-05i,-0.0026329-0.00040037i,-0.0015817+0.00053386i,-0.0010188+0.00034203i,-0.0013977-0.0010634i,-0.0019386-0.0013531i,-0.0017581-0.00042035i,-0.001054+0.00029194i,-0.00055241+0.00036351i,-0.00040999+0.00065298i,-0.00048263-0.00027932i,-0.0006938-0.0015673i,-0.00074529-0.00115i
0.022001-0.0047127i,0.029696-0.00080874i,0.021743+0.0026946i,0.010295+0.0069208i,0.0049764+0.0080265i,0.0039813+0.0043885i,0.0030219+0.00033666i,0.0022176-0.001933i,0.0021138-0.0026731i,0.0021473-0.0025186i,0.0014982-0.0021516i,0.00080336-0.0021708i,-0.00020755-0.0018264i,-0.0011306-0.0010564i,-0.0011473-0.00022879i,-0.00063129+0.00019998i,-0.00010638+0.00020533i,0.00055592-0.00059685i,0.0016638-0.0011209i,0.0012554-0.00017712i,0.00015317-7.8031e-05i,-0.00081646+0.00046899i,-0.0012699+0.0017775i
-0.001281-0.027162i,0.0010828-0.035177i,0.0026457-0.025658i,0.0039226-0.011461i,0.004346-0.0044168i,0.0022165-0.0016467i,0.0010578+0.00018659i,0.0014411+0.0023188i,0.0021207+0.003745i,0.0028726+0.0032734i,0.0020277+0.00214i,0.0012436+0.0016028i,0.0014387+0.0015212i,0.0012735+0.0013079i,0.00043226+0.0010814i,-0.00031756+0.00086i,-0.00019504+0.0006449i,0.00036013+0.00060342i,0.0011468+0.00037134i,0.0011384+0.00056569i,0.00071398-0.00011734i,0.00085996-0.0011819i,7.5014e-05-0.0011314i
-0.024568+0.0045866i,-0.031598+0.00063561i,-0.02219-0.0015258i,-0.0087965-0.0031405i,-0.0048139-0.0037329i,-0.0046483-0.0018249i,-0.0042966-0.0004539i,-0.0051127+0.0012492i,-0.0055264+0.0030878i,-0.0040785+0.0020615i,-0.0022231+0.00083422i,-0.00040157+0.00047027i,0.0015465+0.00043157i,0.0018454+0.00026497i,0.0014112-0.0008219i,0.0011208-0.00071727i,0.00063684+0.00091499i,-0.00042354+0.0019811i,-0.00099116+0.0010471i,-0.0007906-0.00046986i,-0.0013843-0.00027708i,-0.0015042-0.00059915i,-0.0013509-0.0011268i
