1.1461e-05+0.0013952i,-0.00063297+0.00076065i,1.9613e-05+0.00014525i,0.00057405-0.00065018i,-0.00036375-0.00080745i,-0.0011075+9.6541e-05i,-0.00033931+0.00017565i,0.00097729+0.00013887i,0.0013183+0.00052394i,0.00095151+0.00031471i,0.00046642-0.00068137i,-0.00012086-0.00092348i,-0.00058626-0.00022539i,-0.00065207-0.00021643i,-0.00084102-0.00066406i,-0.00056932-0.00076027i,-5.2127e-06-0.00036642i,0.00049812-1.093e-05i,0.00062048+1.976e-05i,-7.3309e-05+0.00012659i,-0.00071862+0.00025841i,-0.00021098+0.00042584i,-3.0877e-05-8.6048e-05i
-0.00059396+0.00052215i,-0.00019325+0.00035759i,-0.00070688+0.0010705i,-0.00063106+0.0003551i,0.0002174-0.00040744i,0.00062824-0.00091709i,0.0012891-0.0015592i,0.0013496-0.0023766i,0.00049245-0.0029187i,0.00017443-0.0013393i,8.6287e-05+8.0425e-05i,0.00054304-2.9028e-05i,0.0012446+0.00016789i,0.0013421+0.00044488i,0.001038-0.00022842i,0.00026443-0.00085871i,-0.00069265-0.0002727i,-0.00045597-6.0321e-05i,0.00042637-1.8002e-05i,0.00029681-0.0002624i,-6.4852e-05-0.00020498i,6.9007e-05+0.0004221i,0.00066258+0.0002453i
-0.0017302+0.0022733i,-0.0013157+0.0040252i,0.00022154+0.0054403i,0.0015082+0.002698i,0.0025351-0.00011634i,0.0027447-0.0025264i,0.0017576-0.0037194i,-0.00014961-0.0023012i,-0.0013921-0.00087309i,-0.00067815-0.00024176i,-0.00037681-3.9875e-05i,0.00041804-6.6279e-05i,0.0011-0.00064567i,0.00047978-0.001701i,0.0008274-0.0022281i,0.00080922-0.0018725i,0.00014088-0.00087479i,-0.00019833-0.00012751i,-0.00084459-0.00010357i,-0.00099507-7.9869e-05i,-0.00027045-0.00039466i,1.2784e-05-0.00031057i,-0.00052153+5.5852e-05i
0.006256-0.0027437i,0.0062318-0.0070626i,0.0024349-0.0093612i,-0.0025012-0.005877i,-0.0055832-0.0018716i,-0.0043323+0.0017581i,-0.0013826+0.0023062i,-0.00012759+0.00041264i,0.00045272-0.00081096i,-0.00036603-0.00071488i,-0.0010878-0.00019241i,-0.00091564+0.00081849i,-0.0012189+0.0020109i,-0.0016546+0.0027999i,-0.0019296+0.0023397i,-0.0016218+0.0014549i,-0.00077028+0.00096661i,-0.00045301+0.00061631i,6.3595e-05+0.00031516i,0.00052589-3.4454e-05i,0.00073132-0.00062842i,0.00043647-0.00095867i,-0.00019274-0.00071842i
0.00056158-0.002375i,0.00052646-0.0027496i,-0.001103-0.0025713i,-0.001852-0.00028624i,-0.0012461+0.00087658i,0.00010374+0.00099766i,0.0010783+0.00028477i,0.0014571-0.00051416i,0.0010056-0.00015353i,0.000351+0.00020285i,0.00026448-0.00025906i,0.00013854+0.00024346i,0.00036364+0.0013855i,0.00055499+0.00163i,0.00018739+0.0007i,-0.00036663-0.0004813i,-0.00055358-0.00054495i,-0.00019819+0.00010958i,-8.8684e-06+0.00074494i,0.00043021+0.00029575i,0.00056862-0.00033448i,5.1121e-07-0.00012511i,6.8911e-05-0.00012294i
0.00055409+0.00041505i,-4.8971e-05-0.00089146i,-0.0011748-0.0028651i,-0.0014244-0.001927i,-0.00085997-0.00062727i,9.9244e-05-0.00012114i,0.0018785+0.00019138i,0.0028075+0.00019569i,0.0012048+0.00013234i,-0.00032927+0.00031532i,-0.00068221+0.00042271i,-0.00074516+0.00078394i,-0.00057656+0.001488i,-0.0011217+0.0016262i,-0.0013944+0.0017807i,-0.00080654+0.0014005i,-0.0001903+0.0010369i,0.00019667+0.00060255i,0.0010343-0.00037016i,0.0013381-0.00056542i,0.00060363+0.00013598i,9.5131e-05+0.00044638i,9.2717e-05+0.00081421i
-0.00024034-0.0021737i,-0.0015802-0.0015234i,-0.0024983-0.00070562i,-0.0016028-0.00086109i,0.00050418-0.00084145i,0.0023693-0.00070212i,0.0034866-0.0017184i,0.0030372-0.0026138i,0.0012117-0.0019621i,-0.00012253+6.773e-05i,-0.0003928+0.0010826i,-0.00041395+0.0012889i,0.00025185+0.00090866i,0.00059147+0.00027487i,-0.000263+0.00020865i,-0.00068477-0.00018018i,4.7972e-05-0.0003768i,0.00011559+0.00023836i,0.00041275+0.00014277i,0.00098342-0.00076105i,-0.00016976-0.00075412i,-0.00084569+0.00027097i,-0.00065437+0.0010072i
0.0031677-0.00066813i,0.0022286-0.00093785i,0.0012869-0.0022612i,0.0012967-0.0023996i,4.2977e-05-0.0026318i,-0.0015678-0.0021177i,-0.00071219-0.0014067i,-1.9034e-05-0.0018869i,-6.318e-05-0.0021497i,0.00024454-0.0013891i,0.00077372-0.00058099i,0.0015236+0.00049904i,0.000581+0.00096178i,-0.00076001+0.00039531i,-0.00065017+6.6447e-06i,-0.0001472+0.00015817i,0.00055895+0.00014799i,0.00012896+0.00038642i,2.0905e-05+0.0006583i,0.000247+0.00052094i,0.00057291+0.00089369i,0.0013353+0.0015545i,0.0013282+0.0012024i
0.00060472-0.00061562i,0.00086191-0.00013606i,0.00018474-0.00090049i,-0.00097549-0.001143i,-0.0015132+0.00032044i,-0.00055451+0.0010707i,0.00056121+0.00047125i,0.0010005-0.00095017i,0.0005461-0.001113i,0.00039611-0.00050591i,0.001236+4.9522e-05i,0.00040364+0.00014236i,-0.00056643+0.0005994i,-0.00046307-4.1944e-05i,-0.00014895-0.00076332i,-9.1636e-05+0.0002064i,-0.00019658+0.00039972i,-6.8962e-05-0.00014334i,4.5424e-05-0.00073691i,-0.0001335-0.00057865i,0.0001399+0.00010415i,0.000315-0.00032579i,0.00077548-0.0005862i
-0.00077604-0.0030843i,-0.0014422-0.0037431i,-0.003294-0.0021992i,-0.0039319+0.0002689i,-0.0021004+0.0015465i,0.00025998+0.0017001i,0.001108+0.0012105i,0.00045031-5.3831e-05i,-0.00010306-0.00051668i,-0.00040329-0.00053969i,-0.0005103-0.00037182i,-0.00050797-0.00025042i,-0.000745-9.1948e-05i,2.8726e-05+0.00020522i,0.00077764-0.00014515i,0.00074232-0.001158i,0.00093158-0.0013991i,0.0010758-0.0006736i,0.00037281-0.00017258i,-6.1384e-06-0.00020419i,0.0001598-0.00029992i,0.00076784+9.7963e-05i,0.00071026+0.00031522i
0.0013538+0.0022787i,0.0016987+0.0015302i,0.0019043+0.00016606i,0.0013035+8.2604e-05i,0.00093218+0.00052152i,0.00051335+0.00098897i,0.0012526+0.001324i,0.0017265+0.0013348i,0.00075602+0.0009807i,-0.00038034+0.00047294i,-0.00058-0.00036465i,-0.00024039-0.00017785i,-0.0007512+0.00048675i,-0.001264+0.00070724i,-0.0017538+0.00012545i,-0.0011909-0.0010701i,0.0002157-0.0011169i,0.00076666-0.00031822i,0.00056086-3.5584e-06i,0.00028816+0.00042366i,0.00042962+0.00038057i,0.00067199-0.00036752i,7.9861e-05-0.00053524i
0.00063868+0.0019851i,6.3069e-05+0.0013325i,-0.00053225+0.0014238i,-0.00012426+0.0013083i,0.0011259+0.00014923i,0.0029237-0.00066478i,0.0037749-0.001447i,0.0027282-0.0017643i,0.00083059-0.001003i,-0.00036015-0.0010601i,1.9963e-05-0.00108i,0.00041608-0.0009795i,0.00083478-0.0010845i,0.0014163-0.0010004i,0.00041568-0.00082997i,-0.00076339-7.3192e-05i,-0.0016079+0.00071707i,-0.0018203+0.00032527i,-0.00090721-0.00059783i,-0.00012881-0.00024695i,0.00027828+0.00060744i,0.0003609+0.00061766i,0.00041552+0.00069867i
-0.00025114-0.003037i,-0.00038155-0.0036952i,-0.00035365-0.00351i,0.0001228-0.0025578i,0.00097204-0.0016782i,0.0010067-0.0011255i,0.00095574-0.0011894i,0.0011245-0.0012957i,0.00054008-0.00043864i,0.00032654+0.00014427i,0.00076459+3.4571e-05i,0.00038142+0.00026248i,0.00011863-0.0001592i,0.00080299-0.00093147i,0.00075712-7.7642e-05i,0.00023614+0.00066086i,-1.6511e-05+0.00081866i,0.0003652+0.00092195i,0.00080667+0.001051i,0.00059379+0.00073344i,0.00012859+8.1522e-06i,0.0006667-0.00022261i,0.0011429+0.00015683i
0.0017056+0.00010834i,0.0020661-4.8479e-05i,0.0021216-0.0006337i,0.0007251-0.00086085i,-0.0014515+0.00015546i,-0.0013486+0.00061112i,0.00089517+0.0004495i,0.001946+0.00027674i,0.00098963-0.00029915i,0.00012771-0.00024175i,-0.00036452-0.00052529i,-0.00068715-0.00091816i,-0.00035533-0.0003471i,0.00040676+0.00025882i,0.00066881+0.00060245i,0.00096078+0.00031631i,0.00098309+0.00026961i,0.00049549+0.0009147i,0.0001072+0.0012757i,9.7811e-05+0.00065407i,1.7218e-05+8.85e-05i,0.00024201+9.8146e-06i,0.0005443+0.00024163i
0.00043954+0.00040052i,0.0006814-0.0016002i,0.00067615-0.0023627i,0.00026369-0.0011568i,-6.9211e-05-0.00019229i,0.00024051+0.0011386i,0.00016656+0.0011595i,0.00072018-0.00058284i,0.0011967-0.00067489i,0.00082712-5.1871e-05i,0.00045361-0.00036123i,-0.00059964-0.00019422i,-0.0006578-0.00029546i,-0.0001898-5.0148e-05i,-0.001234-0.00070126i,-0.0011264-0.0014404i,-0.00025682-0.00088453i,-2.1986e-05-0.00069168i,-0.00010246-0.00012191i,0.00062727-0.00031606i,0.00077935-0.00073434i,0.0001414-0.00081602i,-0.00035816-0.0011315i
-0.001323+7.8416e-05i,-0.0010206+0.0010005i,-0.00075027+0.00053184i,-0.0011926+0.00072058i,-3.7418e-05+0.0024269i,0.0018099+0.0026529i,0.002157+0.0011136i,0.0016609-0.0010133i,0.0010601-0.0019625i,0.00011711-0.0012099i,-0.00069802-0.00020732i,-0.00093755-0.00012745i,-0.00035922-0.00092837i,0.0004338-0.00083413i,0.00025811+0.00047732i,0.00037051+0.00094724i,0.00068384+0.00050125i,-0.0005239-0.0001907i,-0.0010679-0.00073377i,-0.00057761-0.00032099i,-0.000296-0.00037523i,-6.562e-05-0.00059769i,0.00018465-0.00041775i
-0.00077838-5.2357e-06i,-0.0017672+0.00030634i,-0.0023192+0.00077389i,-0.0012273+0.00074616i,0.00017712+0.00071982i,0.0015679+0.00040485i,0.0019502-0.00034312i,-1.7048e-05-0.0016229i,-0.0010633-0.0014101i,-0.0011247-0.00035712i,-0.0013017+0.00058721i,-0.00075409+0.0009357i,-2.6336e-05+0.00019422i,0.00044337-0.00060197i,-0.00033183-0.00036401i,-0.0014659+0.00019092i,-0.00085299+0.00031347i,3.2733e-05+0.00017252i,-0.00083476-0.00051048i,-0.0012666-0.00078569i,-0.00053149-0.0010533i,-0.00022234-0.0012749i,-0.00022558-0.00031495i
0.00084419-0.00013228i,0.0017896-0.00059629i,0.00085409-0.00060101i,-5.8674e-05-0.00023735i,0.00026745-5.0073e-05i,0.00046969-0.00074354i,-0.0001659-0.0012928i,-0.00028098-0.00064145i,-0.0006261-0.00035188i,-0.00060028-0.00038021i,0.00054206-0.0003125i,0.0006823-0.00023795i,0.00024398+7.3159e-05i,0.0001015-0.00020236i,-0.00020662-0.00030596i,-0.00024082-0.0002891i,-0.00016071-0.00033526i,0.00034533-0.00019671i,0.00034546-0.00057662i,-0.00058506-0.00032613i,-0.00094757+0.00057188i,-0.0013717+0.00034769i,-0.0010349-0.00028742i
0.0024735-0.001817i,0.002171-0.0017793i,0.0011518-0.0021383i,-0.00069232-0.0017186i,-0.0017964-0.0010015i,-0.00076428-0.00020979i,0.00078813+0.00048876i,0.00087191+0.00012233i,0.00042622-0.00080934i,0.00027022-0.00097029i,-0.00012123-0.00042574i,-0.00029967+0.0003174i,-0.00025995+0.00082432i,-0.00062879+0.00070183i,-0.00077892+0.00052099i,0.00017381+0.00028332i,0.0017343+0.00018774i,0.0020491-3.9389e-05i,0.0011143+6.0668e-05i,0.00050875+0.00011822i,0.00067118-0.00012393i,0.00096524+0.00010757i,0.00076415+0.00096018i
-0.00041781-0.00043865i,-0.00039646-0.0010685i,0.00031148-0.0012714i,0.00026131-0.00035897i,0.0001584+0.00019861i,0.00028042+0.00050467i,0.0009459+0.00083687i,0.0015454+0.00069204i,0.0013844+0.00043257i,0.00087035+2.5119e-05i,-5.3359e-05-0.00067418i,3.1971e-06-0.0012262i,0.00042843-0.00077698i,0.00024724-0.00073582i,-0.00023537-0.0011176i,-0.0005092-0.0014122i,-0.00043055-0.0013846i,6.3928e-05-0.00035115i,7.7931e-05-0.00016403i,0.00014535-0.00019538i,0.00010019-0.00040892i,-0.0002654-0.00026248i,-0.00059522-7.0204e-05i
0.0008715+4.582e-05i,0.0015015-0.00028923i,0.00073796-7.3373e-05i,-0.00028876-0.00039413i,0.00010869-0.00032213i,0.0011099+0.00088256i,0.0026335+0.0011868i,0.0025795+0.00033697i,0.001345-0.00017355i,0.00055549-0.00029586i,5.3094e-05-0.0011585i,-0.00013522-0.0017419i,-0.00039738-0.00077367i,-0.00063657-0.00047164i,-0.00052558-0.0011401i,-0.00042895-0.0012767i,-0.00058019-0.0014154i,-0.00062181-0.001217i,-0.00076471-0.00054574i,-0.00066572-0.00058224i,-0.00013831-0.0006316i,0.00026322-0.00045828i,0.00061737-0.00062858i
0.0016119+7.6545e-05i,0.00095289+4.5314e-05i,0.0010313-0.00028004i,0.0004125-0.00044837i,0.0010798-4.0964e-05i,0.0031669+0.00049495i,0.0030935+0.00035517i,0.001635-6.6368e-05i,0.00046394-0.00018818i,-0.00048586-0.00023582i,-0.00037353+0.00036286i,-0.00048963+0.00019565i,-0.0012119-0.00058347i,-0.00069635-0.00054908i,-0.00055699-0.00093198i,-0.00087387-0.0010552i,-0.00051627-0.00078303i,9.919e-05-0.00071004i,0.00026443-0.00046048i,0.00011226-0.00084409i,0.0005506-0.001285i,0.0003916-0.00028646i,-0.0001146+0.000541i
0.00098638-0.00044018i,0.00073834-0.001901i,-0.00055609-0.0026475i,-0.0002857-0.0016021i,0.0007571-0.00044048i,0.0014221-0.0010007i,0.0017448-0.0017034i,0.0012138-0.0018225i,6.5346e-05-0.0010376i,-0.00058532-0.00035297i,-0.00073999-0.000147i,-0.00041742-8.3228e-06i,-0.00020095+0.00044531i,0.00015338+0.00075812i,0.00043935+0.00068032i,-0.00013097+0.00063149i,-0.00081103+0.00050285i,-0.00080986+0.00091001i,6.5839e-05+0.001482i,2.7343e-05+0.0008029i,-0.00071128+0.00031208i,-0.00018018+0.00042179i,0.0010234+0.00084201i
0.00027573-0.0032675i,-0.00073091-0.0022711i,-0.0027679-0.00196i,-0.0027428-0.0008256i,-0.0016968-0.00031857i,-0.00092873+0.00015001i,0.0001127+0.00019603i,0.00042342-0.0005842i,-0.00028576-0.001083i,-0.00027894-0.00081672i,-6.7486e-05-0.00090291i,-4.3413e-05-0.00031674i,-6.828e-05+0.00064913i,0.00014166+0.00027741i,0.0010022-3.0279e-06i,0.00079632+0.00035854i,-0.00030723+0.00081611i,0.00015933+0.000559i,0.0016742+0.0008929i,0.001294+0.0017899i,-5.777e-05+0.0011131i,-0.00024112+0.00057728i,0.00025191+0.00064748i
0.00091007+0.00085165i,0.0015645-0.00010303i,0.0010573-0.00096644i,1.1708e-05-0.0010016i,-0.0010522+0.00079152i,-0.0011647+0.0015237i,6.2711e-05+0.0014525i,5.0848e-05+0.00092298i,-0.00099478+4.2251e-05i,-0.00093582-0.00030591i,-0.00023681-0.00078456i,0.00056727-0.0012402i,0.0011682-0.0010382i,0.00039804-0.00050332i,-0.0004984-0.00035964i,-0.00023013-0.00053355i,0.00084371-0.00062558i,0.00095287-0.00069593i,0.00045676-0.00049269i,0.00051859+0.00027308i,0.00072463+0.00071554i,0.00052068+0.00063449i,0.00034354+0.00029034i
-0.00070935-0.00017808i,-0.0018636-0.0015191i,-0.0010396-0.0018751i,-0.00032543-0.00067968i,-0.00026681+0.0010186i,0.00018548+0.001687i,0.00097699+0.00078074i,0.0013417+0.00022921i,0.00086026+0.00026616i,-5.0961e-05+0.00061428i,-0.00013513+0.0003451i,0.00028858-0.00034367i,0.00013773-0.00060454i,-9.442e-05-0.0004699i,-0.00059381-0.00028515i,-0.00046811-0.00060628i,-0.00052714-0.001089i,-0.00071334-0.0010644i,-0.00043814-0.0007499i,-0.00022992-0.00035351i,0.00033039-0.000257i,0.00022768-0.00045112i,-2.6464e-05-0.00010412i
-0.00021019+0.0017563i,0.00046023+0.00076156i,0.0016919+0.00057843i,0.0010887+0.0010993i,0.0012637+0.0011131i,0.0033925+0.00079572i,0.0031964+0.00095998i,0.0011919+0.00029359i,0.00038361-0.00018932i,0.00039116+0.00041009i,0.00041888+0.00034849i,0.000299-0.00033661i,0.00027123-0.0004609i,0.00016605-0.00042485i,-0.00031809-0.00036381i,-0.00086496-1.4453e-05i,-0.001364+0.00037436i,-0.00094019-7.7491e-05i,-0.00015129-0.00048839i,-5.8814e-06-0.00073636i,-8.3835e-05-0.00099249i,-7.342e-05+9.7879e-05i,-5.4291e-06+0.00056478i
0.00034944+0.00052506i,0.00045535+0.00081435i,8.1259e-05+0.0012721i,0.00076609+0.0015271i,0.0012546+0.00017588i,0.0012342-0.00035855i,0.0019974-0.00080867i,0.0020351-0.0016897i,0.00094771-0.00085729i,0.00071969-0.00020359i,0.00084823-0.00016385i,0.00020997-0.00026553i,-0.00024398-0.00046258i,0.00022126-0.00035429i,0.0002031-0.0004397i,-0.00046159+0.00043646i,-0.0003167+0.001212i,-8.4479e-05+0.00047375i,0.0003319-0.00032328i,0.00052228-0.00025838i,0.00027756+0.00017031i,-8.9692e-05+0.00062374i,8.818e-05+0.00074457i
0.0017474-0.0011679i,0.00072198-0.001232i,-0.00042721-0.0018165i,-4.7474e-05-0.0030295i,0.00048314-0.0039586i,7.7111e-06-0.0032926i,0.00024226-0.0016703i,0.0010284-0.00039592i,0.00056814-0.00053975i,-7.5e-05-0.00066152i,-1.8821e-05-3.0314e-05i,0.0003966-9.5477e-05i,0.00078333+0.00051097i,0.00057318+0.0013171i,0.00030101+0.00081191i,0.00014184+0.00045601i,0.00065591+0.00078963i,0.0014065+0.0010421i,0.0015406+0.00072718i,0.0013059-4.5507e-05i,0.00093789-0.00056619i,0.00041906+4.9976e-05i,0.00036312+0.00053992i
-0.00050196-0.00030667i,3.4702e-05+0.00033705i,0.00050311+0.00071942i,-0.00027777-3.366e-05i,-0.001733-0.0011244i,-0.0017032-0.0010108i,-0.0003076+0.0005127i,0.00073282+0.00073331i,0.00094392-0.00024138i,0.00064214-0.00028242i,-0.00039495-6.5368e-05i,-0.0011661+0.00033044i,-0.00089672+0.00011727i,-0.00059772-0.00056239i,-0.00050237-0.00068843i,-0.00018128-0.00047199i,0.00057364-0.00071189i,0.0017974-0.00077801i,0.0021887-0.00048063i,0.0010919-0.00026807i,0.00031533-0.00027706i,0.00013061-0.00024085i,0.00034239-0.00030118i
0.0018078-0.00073138i,0.002117-0.0022317i,0.00082501-0.0025816i,-0.0014586-0.0013795i,-0.0023987+0.00012366i,-0.00050204+0.002464i,0.0017056+0.0024027i,0.0022312+0.00033297i,0.00097522-0.00070767i,-0.00027997-0.00067823i,-0.00068243-0.00030293i,-0.0011613-0.00025781i,-0.00076419-0.00038424i,0.00061822+0.00017001i,0.00052283+0.00066613i,2.6439e-06-7.0225e-05i,0.00012543-0.0014013i,0.00040317-0.0012736i,0.00028254-0.00026573i,-0.00037328+0.00033744i,-0.00044009+0.00028631i,-0.00048101+0.00038878i,-0.00086353+0.00045139i
-0.0023837+0.0019021i,-0.0021497+0.0016472i,-0.0023193+0.0016776i,-0.001809+0.0014208i,8.7298e-05+0.0021534i,0.0018389+0.0022503i,0.0027104+0.00072019i,0.0016545-0.00047026i,-5.3092e-05+0.00024714i,-0.00034984+0.00052138i,0.00049902+0.00019805i,0.00028462+4.6161e-05i,-0.00031713-0.00037608i,0.00015328-0.00013037i,8.5496e-05-9.4715e-05i,-0.00025925-0.00027262i,-0.00085031-0.00025041i,-0.00093985-0.00017862i,6.2478e-05+1.4299e-05i,0.00072315-0.00055876i,0.0012281-0.00072132i,0.0010662+0.00048918i,-2.1517e-05+0.0011737i
-0.00016066-0.00062293i,-0.0010479-0.0010172i,-0.0011894-0.00066425i,-0.0008711+0.00055212i,0.00054236+0.00057719i,0.0023225-0.00034452i,0.0020006-0.00094956i,0.0004013-0.00084349i,0.00023894-4.7799e-05i,0.0010439+0.00058197i,0.00071445+0.0010686i,0.00029312+0.0010387i,2.6658e-05+0.00090463i,-0.00035373+0.00065228i,-0.00094832+0.00014373i,-0.00095385-0.00060171i,-0.00062239-0.00063133i,-0.00066372+0.0002626i,-0.00079856+0.00054759i,-0.00080925-0.00016041i,-0.00023856-0.00084691i,0.00011018-0.00067027i,0.00081006-0.00055485i
0.0012858+8.3413e-05i,-0.00045809+0.00023131i,-0.00062114-0.00018073i,0.00023428-0.00059255i,0.0011253-0.0015985i,0.0011647-0.0020607i,0.0016169-0.001209i,0.0018839+1.7216e-05i,0.0010323+0.00060133i,-2.2464e-05+0.00041821i,-0.00037245+9.16e-05i,-0.00020356-0.00062067i,-0.00032989-0.0013844i,-6.7017e-05-0.0018937i,9.7656e-05-0.0014639i,0.0006384+3.5166e-05i,0.00073901+0.00011624i,6.6096e-05-1.6647e-05i,-0.00010036+0.00060065i,-0.00046027+0.00050218i,-0.00031535+9.3544e-05i,0.00011614+0.00018889i,0.00017661+0.00042621i
0.0020313-0.00073536i,0.0017591+0.00063853i,0.00097202-0.00071699i,0.00044405-0.0017897i,-0.00024832-0.0013343i,-0.0010548+0.00046742i,-0.00057852+0.0017074i,0.00065258+0.00096468i,0.00067402-0.00030815i,0.00018688-0.00014436i,-0.00041073+0.00015683i,-0.0004629-0.00014466i,-4.0706e-05+0.00031834i,0.00042055+0.0002091i,0.00057791-0.00022548i,0.00016173-0.0001774i,0.00038205-9.5591e-05i,0.0010994+0.00014413i,0.0013559+0.00037632i,0.00066096+0.00036738i,-0.00013112+0.00050792i,-0.00056907+0.00047806i,-0.0010182+0.00018935i
-0.00055784-0.0017345i,-0.00029272-0.0023321i,-0.00044006-0.0011629i,-0.00030982-0.00020303i,-0.00045007+0.0001233i,0.00014642+0.0016686i,0.0013211+0.0025353i,0.00077145+0.0014425i,-0.00081435+0.00029539i,-0.0010009+0.00075113i,-5.5628e-05+0.00064982i,-0.00014021+9.3335e-05i,-0.00022877+0.00050894i,0.00018612+0.0007515i,0.00034828-8.6233e-05i,0.00013582-0.0004733i,-0.00021458-0.0002776i,0.0001818-0.00019692i,0.0008707-0.00018688i,0.00092875+5.2088e-05i,0.00073269+0.00022286i,0.00022051+0.00059462i,-0.00011861+0.0010941i
-0.002825-0.00036047i,-0.0013078-0.00074982i,0.0003304-0.00049588i,0.00051917+8.5816e-05i,-1.619e-05+0.0008894i,0.0011703+0.0013544i,0.0017272+0.00031492i,0.00065838-0.0013255i,-0.00055061-0.00089132i,-0.00079004+8.9413e-06i,-0.00029515+9.2359e-05i,-0.00087048+0.00011946i,-0.00057283+0.00018466i,8.8961e-05-0.00025759i,-0.0003623-0.0015928i,-0.00064497-0.0019742i,0.00015815-0.001237i,-0.00034531-0.00053162i,-0.00093331+4.1002e-05i,-0.0002929+0.00027461i,0.00041041+0.0010167i,0.00040567+0.0015471i,0.00011318+0.00084166i
-0.00077093+0.0019235i,-0.0021278+0.00052356i,-0.0037841-0.000864i,-0.0034035-4.9879e-05i,-0.00089965+0.0015782i,0.0019762+0.0018923i,0.0031347-0.00012535i,0.0016014-0.0015834i,-0.00018794-0.0012765i,-8.9934e-05-0.00053195i,9.6283e-05-0.00016502i,-3.6389e-06+7.824e-05i,6.5055e-05-0.00016564i,0.00049257-0.0011031i,0.00029083-0.0012324i,-0.00028071-0.00037701i,-0.00023818-0.00039397i,-0.00070026-0.00078154i,-0.00095588-0.00048137i,0.00035293+5.8443e-06i,0.00029702+0.00032791i,-0.0001932+0.0007212i,0.00031248+0.00063234i
-0.00061426+0.0028948i,-0.0027517+0.0023347i,-0.0026091+0.0013283i,-0.00078302+0.0017714i,0.00074517+0.0019409i,0.0012563-0.0001504i,0.00088602-0.0016211i,0.00056934-0.0011226i,0.00076601+0.00032921i,0.00031253+0.00089792i,-0.00024974+2.2883e-05i,-0.00017838-0.00078333i,0.00066172-0.00072283i,0.00094187-0.00012313i,0.00047983+0.00015225i,0.00090969+0.00053009i,0.00064815+0.00062533i,0.00015976+6.0656e-05i,-0.00040161-5.9794e-05i,-0.00061313-0.00049105i,0.00030988-0.00092306i,0.00060652-0.00064439i,0.00046331-0.00030761i
-0.000156+0.0010107i,0.00026399+0.0019245i,0.00085427+0.0029103i,0.0019463+0.0019229i,0.0010904-0.00027611i,0.00047152-0.00090534i,1.2469e-05-0.00012084i,0.00045704+0.00061745i,0.0011758+5.8714e-05i,-9.806e-05-0.00076042i,-0.00062747-0.00041876i,-0.00048982-0.00026043i,-0.0014755-0.00089782i,-0.0016541-0.001458i,-0.00069804-0.0011114i,-0.00081435-0.00085666i,-0.00083638-0.00065181i,1.2882e-05-0.00010355i,7.1331e-05-0.00010049i,-0.00069735-0.0003865i,-0.00078454-0.00086553i,-0.00034585-0.0010201i,-0.000323-0.00074209i
0.0022695-0.0014175i,0.0031909-0.00053115i,0.0028627-0.00083979i,0.00158-0.0015158i,0.00024839-0.0010751i,-0.0001697+0.00039343i,0.0015301+0.0012036i,0.0020959+0.0001489i,0.00083443-0.0010548i,0.00047361-0.001021i,-0.00011354-0.0012001i,-0.0011611-0.00097151i,-0.0010586-0.00063647i,-0.00056564-0.00034927i,-0.00023693-0.00025783i,-0.00017844-0.00065518i,-0.00023785-0.00068265i,0.00025075+0.00023217i,0.00080737+0.00024209i,0.00048074+0.00012428i,-0.00043144+0.00055988i,-0.00073153+0.0004168i,-0.00096468+0.00053984i
-0.0028628+0.0021606i,-0.0012246+0.0018799i,0.00043189+0.0013202i,0.0012472-0.000139i,0.00082062-0.0010337i,0.00097027-0.00035456i,0.0029722+0.00013331i,0.0028849-0.00092001i,-4.6504e-05-0.0013717i,-0.00093577-0.00017945i,-0.00075561-7.5911e-05i,-0.00079002-0.00062071i,-0.00074345-0.00076093i,-0.00022776-0.00076022i,0.00057359-0.0010128i,7.6998e-06-0.0011635i,-0.00049392-0.00073272i,1.1351e-05-0.00097509i,0.00019611-0.00091045i,-0.00036671-0.00011559i,-0.0004336+7.6308e-05i,-0.00035732+0.000654i,-0.00021269+0.0012528i
-6.4609e-06+0.0011906i,-3.9962e-05-0.0011712i,-0.00040868-0.0023907i,-0.00015751-0.0018247i,0.00045555-0.00077744i,0.0012906+5.7093e-05i,0.0024096-0.00044179i,0.0012779-0.0014088i,-0.00034187-0.00041879i,-0.00018111+0.00030937i,0.0001281+3.6396e-06i,0.00021315-0.00053616i,0.00054162-0.00034189i,0.00098467+0.00065116i,0.0008711+0.00077369i,-9.0027e-05-0.00023832i,-0.00065242-0.00049538i,-0.00074727-0.00032221i,-0.00088212-2.1329e-05i,-0.00032575-0.00031585i,0.00059633-0.0006375i,0.00046093-0.00022734i,0.00040861-0.00040831i
0.0023392+0.0015133i,0.0012033+0.00071392i,-0.0014594+0.00052938i,-0.0018547+0.00071412i,-0.00021078+0.00034069i,0.0013184-2.2036e-05i,0.0022734-0.00057205i,0.001817-9.2128e-05i,0.00072526+0.00088409i,0.00011286+0.00048142i,-0.00037355-1.6526e-05i,-0.00043885+0.00042963i,-0.00049054+0.0015739i,-0.00078574+0.0016001i,-0.0013014+0.00021414i,-0.0011961-0.00040252i,-0.00067887-0.00081488i,0.00030998-0.00072339i,0.00065147+0.00024129i,0.00029167+0.0010319i,0.00077149+0.00020894i,0.00111-0.00067806i,0.00060868-0.00043787i
