-0.0035344-0.00082871i,-0.0030871-0.0015464i,-0.0029745-0.00085329i,-0.0017955-0.0015167i,-0.0010192-0.0013938i,-0.000895-0.00011405i,-0.00030883+0.0008343i,0.00014585+0.00080105i,-0.00022397+0.0009337i,-0.00049559+0.00077967i,-0.00066751-0.00034971i,-0.00051379-0.00097186i,-0.00024425-0.00075903i,-4.2938e-05-0.00092123i,0.000334-0.0007998i,8.1845e-05+0.00084314i,-8.4292e-05+0.0012207i,0.00064829+0.00024516i,-0.00023618-0.00020045i,-0.0011636-0.00020881i,-0.00025379-0.00020247i,0.00046588-0.00052804i,0.00080456-0.00060393i
-0.003123-0.00144i,-0.0026848-0.0042531i,0.00054302-0.0067282i,0.0023494-0.0052149i,0.0017104-0.0020482i,0.00025026-0.0010271i,0.00011012-0.00074087i,-0.00018921-0.00075288i,-0.0009198-0.00058918i,-0.00085027-0.00038345i,5.8153e-05+7.6322e-05i,0.00019678-0.00013111i,-0.00020865-0.0015224i,-9.6928e-05-0.0016163i,-2.6186e-05-0.00075813i,-0.00060292-0.0006106i,-0.00038767-0.0006644i,8.309e-05-0.00067723i,-0.00029749-0.00052817i,-0.0005742-0.00041331i,0.00019891+0.00025154i,0.00064227+0.00050265i,0.00021945-0.00033946i
-0.0048156+0.0035791i,-0.0074683+0.0024665i,-0.0077842+0.0011066i,-0.0046529-0.0003004i,-0.0021465-0.0010483i,-0.0015126-0.0011132i,-0.00077067-0.00056528i,-0.00012945-0.00031403i,-0.00020248+0.00012011i,-6.8362e-05+0.00090732i,0.00018397+0.00052006i,0.00056883-0.00051152i,0.00067703-0.0010066i,-0.00036771-0.00064865i,-0.00088508-2.8827e-05i,-0.0010308+0.00053354i,-0.00059406+0.00089515i,-1.3545e-06+0.00086907i,0.00027552+0.0010351i,8.0332e-05+0.0015799i,-0.00047284+0.0012753i,-0.00015659+0.00041176i,1.7912e-05+0.00051054i
0.0016655+0.0057077i,-0.00095781+0.0069912i,-0.0023279+0.0037767i,-0.0021723-0.00028289i,-0.0014056-0.00030217i,-0.00093499+0.0012477i,-0.00090282+0.0014792i,-0.0007569+0.00017706i,-0.00014597-0.0006758i,0.00013488+0.00026628i,0.00028389+0.00051349i,0.00049991+8.7767e-05i,0.00033781-2.1413e-05i,5.7106e-05+0.0004157i,-0.0003175+0.0013243i,-0.00025867+0.00078301i,2.7885e-05-0.00032844i,-2.9224e-05+1.7973e-05i,-0.00039439+0.0004546i,-0.00035585+0.00042068i,-0.00010089+0.00050506i,5.2949e-05+0.0005699i,-2.5377e-05+0.0010168i
0.0031901+0.0031355i,0.0038196+0.0058681i,0.0026905+0.0068566i,0.00088469+0.0049736i,6.8388e-05+0.0030149i,2.6896e-05+0.0013396i,-0.00018824+0.00072293i,-0.00026251+0.00077858i,0.00035426+0.00045512i,0.00022533-0.00017581i,-0.00054402-0.00053188i,-0.0010698-0.00041681i,-0.00096128+3.3446e-05i,-0.00046637+0.00085352i,-0.00051862+0.0010211i,-0.00051634+0.00045973i,-0.00054812+0.00028294i,-0.00077904+0.0005569i,-0.00060099+0.00051453i,-0.00042268+0.00035343i,-0.00043671+0.00059258i,-0.0001543+0.00032691i,0.00058482+0.00064321i
0.0060279-0.0024802i,0.0092586-0.0014543i,0.0086385-0.00028598i,0.0050834-0.0005664i,0.0027844-0.0011747i,0.00096266-0.0012366i,0.00038505-0.00089742i,-7.1668e-05-0.00091182i,-0.00096288-0.0010525i,-0.0012615-0.0011657i,-0.00050117-0.0011294i,0.00045205-0.00022734i,0.0012892+0.0004769i,0.0016027+0.00082165i,0.00095311+0.0010372i,0.00050962+6.1155e-05i,0.00095438-0.0007929i,0.00021153-0.0002404i,-0.00095888-0.00041467i,-0.00066112-0.00064537i,1.057e-05+0.00020974i,8.2772e-05+0.00064488i,-0.00030206-0.00016135i
-1.6187e-05-0.0055061i,0.0015506-0.0065383i,0.002535-0.0030012i,0.0025002-0.00056966i,0.001238-0.00095613i,0.00015563-0.00026454i,3.6785e-05+1.713e-05i,0.00057078-0.00083732i,0.0002582-0.00041086i,0.00023046+0.00025473i,0.001159+0.00015609i,0.00097566-0.00025542i,0.00047318-9.5528e-05i,0.00042111-0.00028691i,0.00076875-0.00057971i,0.0004857-0.00048515i,0.00012075-0.00037323i,-0.00013384+0.00013075i,0.00019753+0.00036798i,0.00043193+0.00033104i,-2.4023e-05+0.0010915i,0.00016107+0.000886i,0.00061285-0.00010509i
-0.0055328-0.0021111i,-0.0052194-0.005715i,-0.0029562-0.0065902i,-0.00029263-0.005318i,0.00094888-0.0028272i,-0.00013549-0.00052053i,-0.00097358+0.00034271i,-0.00077006-9.669e-05i,-0.00049043-0.00096861i,-0.00031554+8.7677e-05i,-0.00023891+0.00027635i,-7.5835e-05-0.0011366i,0.00043749-0.0012223i,0.00013545-0.00095544i,-0.00048095-0.00035785i,-0.00028622+0.00025448i,-0.00030419+2.6506e-05i,-0.00046038-0.00021143i,0.00062024-2.0246e-05i,0.00072648+0.00018717i,-0.00091453-0.00020468i,-0.00091473-0.00044466i,0.00010606-0.00032717i
-0.0055106+0.0012785i,-0.0068537+0.0012198i,-0.0063682-0.00096247i,-0.0039297-0.0022366i,-0.0017192-0.0012773i,-0.00073584-0.00025594i,0.00017493+8.5937e-05i,-0.00024413-0.00014376i,-0.00086531-3.139e-05i,-0.00035756+0.000982i,-0.00017818+0.00065122i,-0.00029694-0.00080992i,-0.00045848-0.0004512i,-0.00027718+0.00064856i,6.6147e-05+0.0013321i,-0.00064846+0.001051i,-0.0015091+0.0005613i,-0.00079475+0.00075491i,-0.00043745+0.00067652i,-0.00094783+0.00057002i,-0.0007793+0.00023596i,-0.00053938+0.00078882i,-0.000549+0.0017718i
-0.0010374+0.0077959i,-0.0028543+0.0082914i,-0.0045934+0.0059264i,-0.0043219+0.0021653i,-0.0025175-4.0428e-05i,-0.0008397-0.00098559i,0.00066311-0.0018683i,0.0007481-0.0016538i,0.0005265-0.00047847i,0.00038435-0.00048258i,-0.00050692-0.00014825i,-0.00072967-0.00010872i,0.00019525-0.0007336i,0.00024009-0.00010328i,0.00043124+0.00029923i,0.00081322-0.00041585i,0.00051396-0.00029701i,-0.00024071-0.00014934i,-0.00032766-0.00028792i,4.7546e-06-0.00059435i,0.00041281-0.00045805i,0.0014042+0.00094561i,0.00096543+0.00091902i
0.0070194+0.0026011i,0.0079407+0.0075574i,0.0063142+0.0088952i,0.0039147+0.005591i,0.0021417+0.0011906i,0.0012392-0.00086036i,0.00078951-0.00051438i,0.00015009-0.00015201i,0.00017039-0.00064001i,0.00063403-0.00063261i,0.00064143-0.00051162i,-0.00017093-7.8452e-05i,-0.00077356+0.00028902i,-0.0013697+0.00016463i,-0.00091435-0.00039002i,-0.00019408-6.9464e-06i,-0.00075936+0.00039931i,-0.0014208-0.00030209i,-0.00078344-0.00037213i,0.00024799+0.00046228i,0.00064487+0.00069917i,0.0008096+0.00058495i,0.00029608-0.00016168i
0.0044802-0.0017987i,0.0071635-0.000772i,0.0070988+0.0011162i,0.0047399+0.0011682i,0.0028171+0.00112i,0.0015322+0.00037486i,0.00071599+0.00030225i,0.00072864+0.0007111i,0.00022082+9.1769e-06i,-0.00041561+0.00025487i,-0.00060569+0.00071824i,-0.00053382+0.00078663i,-0.00051937+0.00070423i,-0.00036238+0.00052072i,0.00088259+0.00027788i,0.0013996-0.00012811i,0.00047629-0.00029245i,-0.00019855-6.1357e-05i,-0.00061143+0.00015143i,-0.00042241+0.00031282i,0.00036942+0.00010447i,0.00098184+2.3243e-05i,0.00046318+0.00036536i
0.00076168-0.007373i,0.0036788-0.0094439i,0.005041-0.0078065i,0.0036047-0.0047559i,0.001367-0.0024968i,3.7757e-05-0.00086367i,0.00017459+0.00039224i,0.00021902+0.0005047i,-0.00030063+0.00010251i,-0.00023584-5.1425e-05i,-7.3489e-05-0.00030391i,0.00025612-0.00057641i,0.00061764-0.00066522i,0.00099084-0.0005752i,0.00062189-0.00023613i,0.00042788+0.00045519i,-0.00024977+0.00057381i,-0.00031886+0.00090312i,-0.00032573+0.00088595i,-0.0010036+0.00040571i,-0.00067907+2.8789e-06i,4.9489e-05-0.00037754i,0.00034717-0.00033644i
-0.0057345-0.0050515i,-0.0082359-0.0064757i,-0.0052098-0.0067185i,-0.0015035-0.0045148i,-0.001515-0.0026182i,-0.0015723-0.0016224i,-0.0010206-0.00047859i,-0.00063716-0.00057446i,-0.00023065-0.0010039i,-0.0002531-0.00017825i,-0.0003861-0.00010172i,-0.00047408-0.00064218i,-0.00079617-0.00051178i,-0.0005218-0.0001465i,4.6771e-05+0.0002223i,0.00024956+0.00040119i,0.00036283+0.00069865i,-0.00052502+0.00069093i,-0.00071534+0.0003358i,-0.00051591+0.00052396i,-0.00049827+0.00092978i,-0.00061346+0.00050762i,-0.00050899+0.00025031i
-0.0070784+0.0024624i,-0.0094342+0.00086798i,-0.008897-0.0018889i,-0.0049408-0.0016593i,-0.0011006-0.00020779i,2.5277e-05+0.00049374i,4.9543e-05+0.00012367i,-0.0002684-0.00018976i,-0.00071333-0.00081776i,-0.00023718-0.00091316i,0.00052504-0.00035598i,0.0013933-0.00084388i,0.00080827-0.00076884i,5.4855e-05-0.0002965i,0.00031159-0.00032651i,0.00025044-8.6588e-05i,-0.00017246-0.00063729i,-0.00058071-0.0010626i,-0.00039786-0.00073492i,-0.00016752-0.00016628i,-0.00037609+0.00071224i,-0.00031532+0.0010136i,0.00038578+0.00049571i
-0.0028702+0.0078906i,-0.0042245+0.010764i,-0.0050755+0.0085478i,-0.0039653+0.0040701i,-0.0017861+0.0016793i,-0.00062435+0.00034588i,-0.0005539+2.0175e-05i,-0.00042353+0.00019216i,-0.00031311+0.00013442i,-0.00050518+0.00085299i,-0.00040108+0.00055219i,-0.00048664-0.00057186i,-0.00067301-9.6185e-06i,-0.00022835+0.00028474i,-5.6134e-05-0.00010113i,-0.00046311+0.00023483i,-0.00075382-0.00017758i,-0.00064398-5.7073e-05i,3.505e-05+0.00050442i,0.0010641+0.00027131i,0.00096108+0.00034689i,0.00012322+0.00012047i,0.0001277-0.00053464i
0.0052117+0.0052303i,0.0067093+0.0078018i,0.0047525+0.0075386i,0.0015333+0.0053627i,-0.00017663+0.0026808i,0.00021158+0.0013529i,0.00069827+0.00091252i,-0.00018925+0.00026306i,-0.0011381-0.0002337i,-0.00085769-0.00020522i,5.2768e-05+0.00022874i,0.0004062+7.3021e-05i,8.9155e-05-0.00052436i,-0.0003521-0.00066772i,-0.0012533-0.00059011i,-0.0014735+1.5974e-05i,-0.0012391+3.6194e-05i,-0.0016785+3.4868e-05i,-0.0015609+0.00023775i,-0.00050404+0.00066924i,-0.00026215+0.001218i,-0.00074771+0.0011497i,-0.00041109+0.00049995i
0.0067258-0.0010592i,0.011224-0.00062943i,0.011076+0.00055113i,0.0072226+0.0010861i,0.0036474+7.3541e-05i,0.0013619-0.00031018i,-7.7156e-05-0.00016017i,-1.7518e-05-0.00058454i,7.8364e-05+0.00025661i,-6.9132e-05+0.001165i,-0.00015481+0.0010258i,-5.3145e-05+0.00080205i,0.00020083-0.00024892i,-0.00070292-0.00036077i,-0.00036221+0.0006179i,0.00043619+0.0006076i,4.8719e-05+0.00037096i,-0.00040453+0.00063554i,-0.00076714+0.00023343i,-0.00057248-0.00014428i,-0.00027449-9.7079e-05i,-0.00022011+0.00036738i,-0.00015444+0.00022581i
0.0053383-0.0096333i,0.0071533-0.012398i,0.0071896-0.010996i,0.0056223-0.0072919i,0.0031234-0.0048838i,0.00078436-0.0031605i,-0.00062611-0.00097494i,-0.00071813-0.0005564i,-0.00066039-0.0011935i,-0.00065871-0.0011347i,0.00072305-0.00082569i,0.00099305-0.00050812i,-0.00054704-0.00050564i,-0.00086076-0.00034182i,-0.00076932-0.00064339i,-0.00073751-0.00069246i,-0.00082196-0.00046891i,-0.00087587-8.7499e-05i,-0.00073711+0.00042542i,-0.00055518+0.00021673i,-0.00051449-0.00030184i,-0.00037532-0.00023827i,-0.00045696+0.00020549i
-0.0055097-0.0084447i,-0.0068376-0.01082i,-0.0048406-0.01089i,-0.0018583-0.0078746i,-0.00078138-0.0043218i,-1.8118e-05-0.0027698i,0.00012934-0.0015677i,-0.00018339-0.0010856i,-0.0010123-0.0012338i,-0.001216-0.00052114i,5.997e-05+0.00031616i,0.00060562-0.00029648i,-0.0006856-0.00097037i,-0.0012001-0.00058174i,-0.00038929+0.00019963i,0.00012714+0.00039307i,0.00043426-5.3522e-05i,0.00033061-0.00022116i,0.00031947+0.00014585i,0.00016454+0.00033313i,-3.0808e-05+0.00012918i,-0.00025306-0.00019261i,-0.00050729-0.00055507i
-0.0086439+0.0014163i,-0.012703+0.0014192i,-0.011426-0.00017265i,-0.0068032-0.0021112i,-0.0032939-0.0021948i,-0.0021162-0.001105i,-0.0012709-3.8824e-05i,-0.00059007-0.00022237i,-0.0012625-0.00081404i,-0.0016425-0.00050119i,-0.00054179-4.2035e-05i,0.00034834-0.00045091i,0.00011961-0.00081564i,0.00035848-0.001133i,0.00037146-0.0013933i,0.00015613-0.00095802i,-0.00010261-0.00049522i,-0.00053062-0.0010777i,-0.00014746-0.0007926i,0.00015951+0.00036649i,0.00010436+0.00060594i,-0.00021377+0.00015081i,-0.00025335+0.00040823i
-0.0026967+0.0070114i,-0.0048952+0.010054i,-0.0047811+0.0089118i,-0.0036846+0.004283i,-0.0032728+0.00076783i,-0.0021826+0.00012737i,-0.0011744+0.00035751i,-0.0011875+0.00017074i,-0.0011027+0.00015337i,-0.00044654+0.00053041i,0.00018006+0.00058919i,0.00081181+0.00071196i,0.0011976+0.00066927i,0.0011551+0.000364i,0.0012204-0.00061727i,0.00093303-0.00074682i,-0.00030216-0.00042308i,-0.0015404-9.5364e-05i,-0.0011037+0.00032574i,-0.00015827-7.7415e-05i,-0.00036767-0.00029649i,-0.00076792-0.00056634i,-0.00086377-0.00076919i
0.0059521+0.006412i,0.0076066+0.0092868i,0.006325+0.0084865i,0.0034564+0.0063517i,0.001711+0.0033889i,0.00037704+0.0014945i,-0.00042115+0.00051185i,-0.00039192+0.00045799i,-0.00070148+0.00043504i,-0.00071291+0.00032487i,-0.00022278+0.00080015i,-2.6936e-05+0.00075905i,0.00029483+0.00039138i,7.5856e-05-0.00059536i,0.00026921-0.0013005i,0.00016005-0.00034278i,-0.00072919+0.00045322i,-0.00092759+0.00087281i,-0.00087101+0.00060228i,-0.00029191+0.00046813i,0.00024186+0.00068232i,0.00074136+0.00067168i,0.00093631+0.00062228i
0.0085963-0.0010563i,0.011291-0.00079265i,0.010476-0.00062827i,0.0068982-0.00068189i,0.0033593-0.00030579i,0.001384-0.0005331i,0.0010393-0.00021238i,0.00018018+0.00047387i,-0.00076425-9.7663e-05i,-0.0011381-0.00091677i,-0.00030838-0.00065721i,-0.00034706-0.0002197i,-0.00071062-0.00087734i,-0.00028319-0.0012479i,-0.00048287-0.00041329i,-0.00068854+0.00029191i,-0.00012419+0.00056593i,-0.00025729+0.00025338i,-0.00092036-0.0005647i,-0.00076801-0.00057903i,-0.00013657-0.00034213i,0.00011146-0.00032328i,0.00025655-0.00059536i
0.002868-0.0056908i,0.0042416-0.0083177i,0.0048184-0.0061169i,0.0041255-0.0036932i,0.0033952-0.0032187i,0.0021745-0.0032738i,0.00047774-0.0022189i,-0.00012197-0.001156i,-0.00026642-0.00066289i,-0.00016857-4.2484e-05i,0.00027673-0.00019034i,0.00024749-0.0012195i,0.00036118-0.001133i,0.00016022-0.00027384i,0.00025319+0.00041418i,0.0014871+0.00068315i,0.0020435+0.00023008i,0.0010536-0.00029862i,0.00024709-0.0002926i,-0.00029708-9.5722e-05i,-0.00072324-0.0001185i,0.00017644+0.00015294i,0.00067114+0.00019023i
-0.0057429-0.0088003i,-0.0076475-0.011716i,-0.0076442-0.011591i,-0.0039397-0.0076868i,-0.0012953-0.0031305i,-0.00087185-0.0012422i,-0.00085085-0.0011505i,-0.0014955-0.0011464i,-0.0019288-0.0008806i,-0.0011989+0.00025124i,-0.00030176+0.00021685i,2.0395e-05-0.00049927i,-0.00033836-0.00024604i,0.00021454+0.00083066i,0.00068265+0.0010553i,0.00013768+0.00048703i,-0.00050251+0.00027863i,-1.842e-05-5.7263e-05i,0.00016455-0.0001156i,-0.00050177+0.00010068i,-0.00033385+0.00016738i,0.00030215+0.00021436i,0.00042525-0.00048104i
-0.0081273-0.0032181i,-0.012175-0.003587i,-0.012113-0.0027398i,-0.0079125-0.0020072i,-0.0040148-0.0024886i,-0.0025358-0.0017881i,-0.0017774-0.00056592i,-0.0014601-0.0012141i,-0.0020691-0.0016696i,-0.0019308-0.00093843i,-0.00088129-9.8822e-05i,-0.00052282+0.00080378i,1.2591e-05+0.0010516i,0.00034101-0.00015157i,-7.1573e-05-0.00066833i,0.00039153-0.00091258i,5.5504e-05-0.0015295i,-0.00026106-0.0012953i,0.00042506-0.00035043i,0.00071531+0.00048209i,0.0002609+0.0010587i,-0.00053896+0.00038424i,-0.00037721-0.00072286i
-0.0044606+0.007269i,-0.0067275+0.010231i,-0.0073631+0.009531i,-0.0050577+0.0055595i,-0.0022914+0.0018287i,-0.0012852+0.00012883i,-0.0017758-0.00030168i,-0.0020029-0.00013264i,-0.0014747+0.00029103i,-0.0014902+0.0008681i,-0.0012079+0.00062172i,-9.4323e-05-0.00022176i,0.00090132-0.00079245i,0.00091436-0.0004173i,0.00027307-0.00017505i,0.00018999-0.0007755i,0.000248-0.00082878i,-1.4878e-05-0.00037084i,-0.00040956-0.00016292i,-0.00017595-0.00040656i,0.0001025-0.00041576i,-0.00013758+0.00072197i,-0.00018009+0.0010838i
0.0036995+0.0094374i,0.0042793+0.013312i,0.0042939+0.013823i,0.0033401+0.010191i,0.0023785+0.0056275i,0.002338+0.0031604i,0.0012923+0.0017658i,6.2056e-05+0.0009619i,-0.00019845+0.00075105i,0.0001033+0.00063893i,0.00021949+0.00095351i,0.00035283+0.0012523i,0.00048449+0.0009705i,-4.81e-05-0.00033479i,-0.00070116-0.00080568i,-0.00068208-0.00034355i,-0.00052318-0.00032332i,-2.7209e-05-0.00049454i,0.00021596-0.00016394i,-0.00023738+0.00052218i,-0.00011164+0.00046156i,0.00036075-0.00013008i,0.0002224+0.0001339i
0.0081001+0.0008104i,0.011284-0.00041622i,0.0099636-0.00043928i,0.0066073-0.00023891i,0.0041418+0.00045929i,0.0023495+0.00021793i,0.002124-0.00029577i,0.001974-0.0001608i,0.00045732-1.1315e-05i,-0.00029829+4.794e-05i,0.00016614+0.0001533i,0.00053122-9.6027e-05i,0.00038429-0.0011182i,-1.9479e-05-0.00046789i,-0.00056617+0.00058257i,-0.00025641+0.00018533i,4.3164e-05+0.00015611i,-0.00020967+0.00078012i,-0.00056829+0.00085201i,-0.00085679+0.00095037i,-0.00077774+0.00049957i,-0.0003209-9.262e-05i,0.00065041+3.9787e-05i
0.0047558-0.0082509i,0.0056454-0.011019i,0.0056559-0.0096467i,0.0041937-0.0065429i,0.0022506-0.0037786i,0.0016546-0.0021847i,0.0017252-0.0015844i,0.00074611-0.0012372i,-0.00082039-0.0010174i,-0.00081364-0.00063082i,-0.00044701-0.00034423i,7.3959e-05-0.00038561i,0.00041219-0.00066648i,4.4393e-05-3.0057e-05i,-0.00015084+0.00098721i,-2.9038e-05+0.0004879i,0.00018679+0.00010384i,3.1006e-05+0.00010943i,0.00035313+0.00038544i,0.00021163+0.00070443i,-0.00080057+0.00048096i,-0.00054076-8.7028e-05i,0.00081363+0.00014128i
-0.0046452-0.007893i,-0.0074152-0.01103i,-0.0077542-0.010458i,-0.004804-0.0074016i,-0.0021248-0.004604i,-0.0015823-0.0031082i,-0.0025153-0.0015646i,-0.0024571-0.0010655i,-0.0017052-0.0015768i,-0.0015705-0.0010136i,-0.001002-0.00070806i,0.00012391-0.00074639i,0.00060746-0.00035396i,0.0003314+0.00024642i,0.00089119-0.00015109i,0.0012568-0.00014852i,0.00072997-0.00021011i,0.0004104-0.0010352i,0.00075994-0.0015751i,0.00076545-0.0012894i,0.00018028-4.4909e-05i,5.8008e-05+0.00049432i,-5.3364e-05+0.00039252i
-0.0088528-0.0010026i,-0.01148+0.00043363i,-0.010738-7.9589e-06i,-0.0070137-0.00047916i,-0.0037372-0.0012984i,-0.0022861-0.0011796i,-0.0017026+2.0719e-05i,-0.0017076+5.3469e-05i,-0.0021442-0.0009219i,-0.0017317-0.00092664i,-0.00036452-0.000637i,0.00070357-0.00020336i,0.0007405-0.00066027i,0.00056254-0.00086548i,0.00044289-0.00018427i,0.00036222-0.0001842i,4.3296e-05-0.00048897i,-0.00045433-0.0010372i,-7.5831e-05-0.00053829i,0.0002337-0.00047437i,0.00050025-0.00056775i,0.00054801+0.00022972i,-1.8553e-05+0.00094254i
-0.0069713+0.0064633i,-0.009138+0.01061i,-0.0082688+0.011884i,-0.0051509+0.0079984i,-0.0025225+0.0028694i,-0.0015674+0.00061046i,-0.0012879+0.00027165i,-0.00099663-0.00068266i,-0.0010192-0.00091682i,-0.0003241+0.00035732i,0.00015485+0.00067686i,0.00026327+0.00042012i,0.00019555+0.0007251i,-0.00024861+0.00021008i,-0.00045841+0.00012702i,-0.00041861+9.3104e-05i,-0.00059751-0.00015198i,-0.00066114+0.00023062i,-0.00048887+0.00040314i,-0.00029265-3.16e-05i,0.00010303+0.00080178i,0.0006319+0.00098956i,0.00039152+0.00013628i
0.0016833+0.0081176i,0.0040505+0.01045i,0.0050045+0.010264i,0.0038358+0.0070486i,0.0018554+0.0045283i,0.00096513+0.0026631i,0.00019306+0.0016863i,-0.00057018+0.0014517i,-0.0012441+0.00029187i,-0.0006566+0.0002863i,-0.00024075+0.00098607i,-0.0003873+0.0015288i,-4.816e-05+0.0012337i,0.00052047+0.00026841i,0.00076448-0.00011644i,-0.00030912+7.5679e-05i,-0.00077396+0.0003707i,-0.00021786+0.00099268i,-0.00027569+0.00054093i,-0.00099696-0.00026265i,-0.0010676+9.234e-05i,1.6373e-05+0.0002619i,0.00062371+0.0004534i
0.0078754+0.0045126i,0.012+0.0028022i,0.012631+0.0025264i,0.0092177+0.0019916i,0.0049666+0.00028144i,0.0029186-0.00083862i,0.0018673-0.00025707i,0.0011367+0.00034067i,0.00035155+0.00030698i,8.417e-05+0.00037657i,0.00078463-7.7283e-05i,0.0014075-0.00057261i,0.0017053-0.00043523i,0.0016547-0.00012923i,0.00084262+1.4903e-05i,5.6258e-05-0.00037965i,0.00051589-0.00038568i,0.0013601+0.00042635i,0.0010202+0.0003837i,-0.00022553+0.00042107i,-0.00048521+0.00045318i,0.0010374-0.00026768i,0.0014124-0.00036956i
0.0054707-0.0062584i,0.0054769-0.010238i,0.0034545-0.011748i,0.0024719-0.0083492i,0.0022847-0.0047986i,0.0021214-0.0026999i,0.0013892-0.0012096i,0.00074153-0.000799i,0.00037058-0.00063757i,-0.00015822-0.00029059i,-0.00020167-0.0013079i,-0.00032064-0.0017474i,-0.0003513-0.00031085i,0.00035551+0.00096479i,0.0006009+0.0004015i,0.0004403-0.0011248i,0.00063541-0.0016722i,0.00053202-0.00076348i,8.589e-05+0.00033847i,-0.00042953+0.00037959i,-0.00014523+0.00017591i,0.00056762+0.00011675i,0.00022174-9.9395e-05i
-0.0014848-0.010141i,-0.0045145-0.013251i,-0.0074977-0.013244i,-0.0056868-0.01047i,-0.0022549-0.0073795i,-0.00085176-0.0040241i,-0.0010975-0.001485i,-0.0012338-0.0011451i,-0.0008997-0.0014858i,-0.00082209-0.0015276i,0.00025301-0.0013193i,7.3157e-05-0.00089496i,-0.00031031-0.00026912i,0.00030641-0.00032555i,0.00093382-0.00024637i,0.0010597-0.0003773i,-0.00039886-0.00083423i,-0.0011686-0.00014289i,-0.0001845-6.3737e-06i,0.00047391+0.00020384i,0.00077727+0.00085863i,0.00020947+0.00088705i,0.0005434+0.00014435i
-0.0079051-0.0042213i,-0.01265-0.0021i,-0.013693-0.00038286i,-0.010052-7.4805e-05i,-0.0056373-0.0013089i,-0.0031718-0.0020838i,-0.0021495-0.0010391i,-0.0018568-0.00046582i,-0.0015249-0.0011807i,-0.0015289-0.00080256i,-0.0011922+0.00041269i,-0.00068797+0.00049444i,-0.0002079+0.00055094i,-1.7651e-05+0.00029688i,-0.00058447+0.00017631i,-0.0015013+0.00037233i,-0.0011528+0.00026415i,-0.00039472-4.2754e-05i,-0.00032773-0.0010263i,-0.00013953-0.0015418i,-0.00043359-0.0011068i,2.4158e-05-0.0003478i,0.00058908+0.00073504i
-0.002841+0.005983i,-0.0038674+0.010391i,-0.0024373+0.012606i,-0.00072346+0.0083848i,-0.00064231+0.0021823i,-0.00096575+0.00012209i,-0.00059938+0.00084657i,-0.00063925+0.00029652i,-0.0017013-0.00043348i,-0.0017905-0.00024637i,-0.00085896-0.00042404i,-8.1075e-05-0.00060159i,4.2847e-05-0.00014189i,-0.00024459-0.00023666i,-0.00040899-0.00088935i,-0.00050848-7.3821e-05i,-0.0006915+0.00080075i,-0.00027361+0.00076778i,-0.00031256+0.00088111i,-0.00088856+0.00033798i,-0.00038603-0.00020362i,0.0003139-2.0364e-05i,0.00084136+0.00033889i
0.0019502+0.0094903i,0.0067184+0.012199i,0.0099016+0.011001i,0.0072975+0.0081298i,0.0031124+0.0049781i,0.0011554+0.0026701i,0.00074864+0.001522i,4.7214e-05+0.0009954i,-0.00068844+0.00084128i,-0.00056856+0.0012973i,0.00058145+0.00081547i,0.00088055-7.8691e-05i,3.0985e-05-4.5177e-05i,-0.00081131+0.00039069i,-0.0011667+0.00037029i,-0.00055536-0.00014235i,-0.00012966-0.00020941i,-0.00023269-0.0002292i,0.00014864-0.00018371i,0.00028777+0.00081151i,-0.00075486+0.0013979i,-0.00089327+0.001113i,-0.00035407+0.00022935i
0.010604+0.0037555i,0.01432+0.001553i,0.015905-0.0023651i,0.012409-0.003904i,0.0073747-0.0032265i,0.0041984-0.0021852i,0.0020526-0.00088061i,0.00054519-0.000513i,0.00013033-0.00061157i,0.00042439-0.00019211i,0.0011988-0.00028091i,0.00096964-0.00035938i,-0.00019299-0.00022511i,-0.00018227+5.3047e-05i,0.00032974+6.6721e-05i,0.00065829+0.00047255i,-1.3413e-05+0.00061351i,-0.0014594+9.1889e-05i,-0.0013668-0.00048343i,-1.9492e-05-0.00030401i,0.00086238+0.00053784i,0.00045932+0.00062682i,0.00017672-0.00053556i
0.0079348-0.0048748i,0.0071475-0.0095002i,0.0055611-0.012242i,0.0035013-0.011407i,0.0015104-0.0082631i,0.00091608-0.0049939i,0.00081892-0.0029019i,0.0004082-0.0016197i,9.1297e-05-0.0012924i,0.00018508-0.0015632i,0.00096789-0.0013438i,0.0013748-0.0011454i,0.0013464-0.0012534i,0.00097058-0.00069545i,0.00064028+8.6453e-06i,0.0003201-0.0007782i,-0.00022061-0.00083745i,-0.00074819-0.00017488i,-0.00012383+0.00042342i,0.00037295+0.00091901i,-0.00012291+0.00080567i,-0.0002412+0.00027986i,-0.00030193+0.00010438i
0.0031552-0.0065346i,-0.00096592-0.009723i,-0.0050765-0.010063i,-0.0056222-0.008347i,-0.003827-0.0063415i,-0.00359-0.004305i,-0.0029559-0.002393i,-0.0017521-0.0014657i,-0.00068638-0.0013452i,-6.5835e-06-0.0016926i,-0.00010945-0.0019999i,-0.0002687-0.0019681i,0.00021338-0.0011995i,0.00082207-0.0012689i,0.0010692-0.0019609i,0.00097381-0.0017882i,0.00079493-0.0009632i,0.00089977-0.00026214i,0.00057969+8.9854e-05i,-0.00064435-0.00021947i,-0.00058294-0.00074223i,0.00054465-0.0010959i,0.00080584-0.0010705i
