0.00074219+0.00050191i,0.0010837-0.00052111i,0.0011732-0.0014757i,0.0007882-0.0015569i,4.0293e-06-0.0016504i,0.00036205-0.0013725i,0.0013817+0.00047804i,0.0011759+0.0016084i,0.00090174+0.0010085i,0.00095562+0.00027593i,0.00086689-0.00023112i,0.0004193-0.00059574i,-0.00031603-0.00035294i,-0.00083791-0.00021576i,-0.001279-0.00046611i,-0.0012741-3.9827e-05i,-0.0012934+0.00024724i,-0.0011245+0.00054256i,-0.00043004+8.033e-05i,0.00020833-0.00038827i,0.00041652-7.8973e-05i,0.00029837-0.00011824i,-0.00017663-0.00034684i
0.0017519-0.00092708i,-0.00038414+0.00019299i,0.00016748+0.00086444i,0.0018853+0.00095106i,0.0018797+0.0006072i,0.0023743+0.0012606i,0.0026679+0.0016199i,0.0023108+0.0010566i,0.0019426+0.00015265i,0.00097558-0.00061632i,0.00042478-0.00066813i,0.00063695-7.8643e-05i,0.00075039-0.00031581i,0.00014103-0.00039155i,-1.1457e-05+0.0002379i,0.00040841+0.00092985i,0.00022569+0.0014653i,2.7821e-05+0.00096215i,-0.0005075+0.00068619i,-0.0009108+0.00073509i,-0.00071919+0.00022035i,-0.00035366-0.0001576i,0.00012732+1.0294e-05i
0.0013572+0.0011434i,0.0011347+0.00081651i,0.0019172+0.00083117i,0.0026439+0.0012313i,0.0030773+0.00062746i,0.0032802+0.00085204i,0.0023036+0.0011742i,0.0014809-0.00032155i,0.0010345-0.002305i,-0.00037464-0.0024699i,-0.0015209-0.0013111i,-0.00080826-0.00022078i,0.00071425-0.00027587i,0.00042892-0.00050377i,9.8448e-05-4.9035e-05i,0.00075454+0.00057308i,0.00062296+0.00080076i,-0.00020665+0.00035492i,-0.00051875+0.00047705i,-0.00043052+0.00069758i,-0.00010191+0.00034152i,0.00026353-1.3999e-05i,0.000625+0.00055009i
-0.0035374+0.00074627i,-0.0025996+0.00084471i,-0.0010144+0.0011209i,0.0012178+0.0014147i,0.0040091+0.0019224i,0.0047206+0.0016144i,0.0038732+0.00088398i,0.0027517-0.00010481i,0.00027996-0.001274i,-0.0017988-0.00096291i,-0.0010153+0.00035425i,0.00070164+0.00058804i,0.0015198+0.00024812i,0.0017806-4.0951e-05i,0.00049636-0.0005732i,-9.7771e-06-0.00099195i,-6.0476e-05-0.00077179i,6.1359e-05-0.00043374i,0.00030379+0.00035867i,-0.0006986+0.00064942i,-0.0011776-0.00016312i,-0.00034551-0.00069308i,-0.00020415-0.0001767i
-0.00022375+0.00066199i,0.00017593+0.0020994i,0.0012029+0.0029667i,0.002635+0.0019456i,0.0029039-8.3096e-05i,0.0015574-0.00038422i,7.0069e-05+0.00043849i,-0.0007573+0.00077437i,-0.00085436+0.00087668i,-0.0015827+0.001002i,-0.0024586+0.0014107i,-0.0019508+0.0018513i,-0.0018272+0.00058451i,-0.0013735-0.00099663i,-0.00090849-0.0012815i,-0.00094813-0.00089609i,-9.8345e-05-0.00028227i,6.5031e-05+0.00042123i,-0.00054806+0.00085264i,-0.00014507+0.00037268i,0.00067758-7.1923e-05i,0.0011043+7.0175e-05i,0.00022904+6.7275e-06i
-5.1221e-05+0.00070124i,-0.00048603+0.0014801i,0.00041163+0.0020576i,0.0023867+0.0011659i,0.0037184+6.2966e-05i,0.0038995-0.00023608i,0.0026939+0.00023831i,0.00021179+0.00095794i,-0.00067953+0.0011628i,3.667e-05+0.0010604i,0.00034409+0.00086627i,0.00045029-0.00011817i,0.00090397-0.0010184i,0.00062413-0.001215i,-0.00057509-0.00093364i,-0.00080908-0.00075087i,-0.00058326-0.00041039i,-0.00044373+0.00038694i,-0.00034511+0.0008796i,0.00034573+0.00093862i,0.00065829-6.2377e-05i,0.00052163-0.000236i,4.8e-05+0.00066791i
6.9964e-05+0.0003383i,-0.00011344+0.00074617i,0.00092952+0.00045616i,0.0023101+0.0008799i,0.0024627+0.0010907i,0.0026524+0.0012688i,0.0025999+0.0011477i,0.0025644+0.00055139i,0.0026029-2.9719e-05i,0.0017742-0.0002779i,0.000759+0.00036159i,0.00070823+0.00065568i,8.3104e-05-9.7279e-05i,-0.00089929-7.2174e-05i,-0.0006158+0.00048704i,-0.00076123+0.00096984i,-0.00085405+0.0012663i,-0.00041058+0.00099879i,-0.00037185+2.9302e-05i,-0.00033331-0.0005674i,3.1127e-05+0.00026029i,0.00018339+0.00089729i,-0.00030263+0.00088358i
-0.0023294+0.0014176i,-0.001159+0.0025898i,0.00098277+0.0038289i,0.0025215+0.0032159i,0.0025389+0.0018292i,0.00081939+0.0013236i,-0.00023516+0.0013132i,0.0012798+0.0012179i,0.002381-0.00021306i,0.0024559-0.0010367i,0.0015672-0.00093101i,0.00066018-0.00036736i,0.00086996-0.00034847i,0.00077666-0.0009632i,0.00027648-0.00061819i,-0.00022898+0.00016963i,-0.00035372+0.00037804i,-0.0001029+0.00044679i,-2.715e-07+0.00054568i,-0.00019786+0.00069837i,-2.9574e-05+0.00021149i,-0.00031839-4.3813e-05i,-0.00070816+6.1504e-05i
0.001886+0.001374i,0.0020161+0.001681i,0.0030915+0.0010097i,0.0037336+0.00043098i,0.0038478+0.00061143i,0.0032744+0.0012428i,0.002108+0.0011846i,0.0015749+0.00080921i,0.00095212-9.5717e-05i,-0.00041466-0.0007058i,-0.00054476-0.00079564i,7.2084e-05-3.3611e-06i,-0.00041592+0.00042805i,-4.1403e-05+7.5518e-05i,0.00048569+0.00022594i,-8.7561e-06+0.00029454i,0.00035092+4.4049e-05i,0.0010824+0.00029567i,0.0004227+0.0003586i,-0.0002661+0.00020886i,5.5017e-05+0.00015627i,0.00019843-0.00023594i,4.785e-05-0.00091494i
-0.00086389+0.0051131i,-0.00033478+0.0052803i,0.0011847+0.0042207i,0.0030637+0.0020953i,0.0048506+0.0002791i,0.0047066+0.00045071i,0.0036011+0.001123i,0.0025341+0.00080532i,0.00081141-0.00039829i,-0.00088115-0.0011372i,-0.00081508-0.00087406i,-0.000143-0.0013168i,-0.00059699-0.0007185i,-0.00017285-0.00052914i,0.00075293-0.001562i,0.00051714-0.0017994i,-0.00051691-0.0012913i,-0.00059397-0.00064625i,0.00018679-0.0010204i,0.0006635-0.00075375i,0.00079381+0.00021532i,0.00070105+0.00032575i,0.00077334-0.00036587i
-0.0030909-0.0032988i,-0.0027537-0.00059636i,-0.0011408+0.0021129i,0.0015069+0.0021092i,0.0035911+0.001668i,0.0035022+0.0018311i,0.0019369+0.00041428i,0.001176-0.0010857i,0.00014827-0.00032177i,-0.0010643+0.00059253i,-0.00096101-0.00018324i,-7.2709e-05-0.00062489i,0.00078192-0.00085597i,0.0010682-0.00052314i,0.00099937+0.00069843i,0.0001274+0.0010934i,-0.00083679+0.0005938i,-0.00055804+0.0003877i,-0.0003493+0.0005025i,6.7474e-05+0.00044879i,0.00040216+7.5421e-05i,6.5181e-05+0.00013882i,-0.00013915-9.6738e-05i
-0.0010052+0.0025596i,-0.0018658+0.0026161i,-0.0014569+0.0031726i,0.0011493+0.0029164i,0.0026403+0.0017612i,0.0027919+0.0017801i,0.0015641+0.0013234i,0.00042887+0.0013994i,-0.00045215+0.0018387i,-0.00067982+0.0014008i,-0.00029107+0.0011145i,-0.00046274+0.0014461i,-0.00039938+0.00097346i,-0.00010771+0.00026202i,-0.00013046-0.00021505i,-0.00028704+0.00011712i,-0.0006783+0.00075761i,-0.00093438+0.00058116i,-0.00102+0.00039468i,-0.00011262+7.6408e-06i,0.00043317-0.00035568i,0.00042676-0.00015045i,0.0002504-0.00058078i
-0.0023715-0.0011627i,-0.0017059-0.0011418i,-0.0028167+0.0004545i,-0.0026585+0.0017823i,-0.0010692+0.0019402i,0.00035447+0.0023856i,0.00091579+0.0021594i,0.000608+0.00091817i,0.0002752-0.00032189i,-0.00019403-0.00027038i,-0.00097098+0.00098707i,-0.00017651+0.0010852i,0.00070928+0.0006156i,0.00048868+0.00069932i,-9.0998e-05+0.00051317i,-0.00067641+0.00043288i,-0.0002785+0.00045316i,0.00018213+0.00055722i,8.9231e-05+0.0013043i,4.0516e-05+0.0017033i,1.556e-05+0.00089777i,-0.0002938+0.00013974i,0.00045037+4.5957e-05i
-0.0021734+0.0010883i,-0.0017138+0.0037548i,0.00083182+0.0039635i,0.0035291+0.0022586i,0.0042892+0.0014626i,0.0031002+0.0020988i,0.0018052+0.0022942i,0.0011101+0.00096046i,0.0011988+0.00038938i,0.0011226+0.00015131i,0.00098851+0.00023837i,0.00041403+0.00042053i,0.00014995-0.00029149i,0.00068726-0.00099783i,0.00041564-0.0013346i,0.00038497-0.00094223i,0.00022986-0.00069593i,0.00021171-0.00049019i,0.00033494+6.3011e-05i,-0.00065282+0.00013877i,-0.00037703-0.00033024i,0.00033966-0.00018202i,0.00028372+0.00032956i
0.0022095-0.0034255i,0.0018265-0.0020793i,6.3731e-05-0.00068217i,0.0002027+0.0010264i,0.0023056+0.0016107i,0.0026675+0.00074945i,0.001662+0.00042415i,0.0015508-3.6313e-06i,0.0017782-0.0010541i,0.0014089-0.0015655i,0.00014749-0.0012205i,-7.0418e-05-5.0475e-05i,0.00052903+0.00073789i,-3.774e-05+0.0004048i,-0.00079207-0.00019448i,-0.00080303-0.00059237i,6.4643e-06-0.00038811i,0.00013627+0.00015078i,-0.00092217+0.00049851i,-0.00077813+0.00098352i,-0.00010335+0.00081357i,0.00025266-0.00053393i,0.0002137-0.00064884i
-0.005442+0.0018003i,-0.0053644+0.0021846i,-0.0035775+0.0034766i,0.00022939+0.0028396i,0.0031642+0.0012886i,0.0034502+0.0010116i,0.0020439+0.0016458i,0.00039718+0.0010305i,-0.0014225-0.00039896i,-0.0021876-0.00055365i,-0.0010105-0.0001627i,-0.00011512+0.00034915i,-4.4332e-05-4.3934e-05i,-6.4698e-05-0.00053324i,-0.00067279-0.00038271i,-0.0011926-0.00040197i,-0.0011646-0.00049986i,-0.00096631-0.00049944i,-0.00056513-0.00013489i,0.00025746+6.3479e-05i,0.00058071+0.00035512i,0.00053276+0.00045285i,0.00063821-0.00019781i
-0.0010605+0.0016128i,0.00087453+0.0028952i,0.0029052+0.0023222i,0.0029918+0.0012862i,0.0025098+0.0010353i,0.0021591+0.0019718i,0.0019109+0.0016437i,0.0012484+0.00055154i,0.00011752-8.6375e-05i,-0.00087022-0.00019278i,-0.0011518-0.00018669i,-0.0014188+0.00011236i,-0.0014737+0.00067247i,-0.0012349+0.00091579i,-0.0011024-2.1809e-05i,-0.00106-0.0011737i,-0.00064391-0.00069559i,-0.00070645+0.00015472i,-0.0008257+0.00060058i,-0.0008662-9.6947e-05i,-0.00094577-0.0010499i,-0.00011504-0.00095204i,-0.00025344-0.00093442i
0.002553-0.0017333i,0.0010067-0.0018308i,0.00082981-0.001359i,0.0022662-0.00082298i,0.0036976+1.9923e-05i,0.0034212+0.00040368i,0.001983+0.00019193i,0.00070807+0.00029988i,0.00022031+0.00067335i,0.00075922+0.00076662i,-0.0001598+0.00070579i,-0.0013374+0.00039014i,-0.00051707+0.00018166i,3.9025e-05-0.00038537i,-6.7095e-05-6.5498e-05i,-0.00030817+0.00013754i,-0.00030945+0.00040522i,-0.00065058+0.00035591i,-0.0014747+0.00010121i,-0.0014809+0.0010608i,-0.00021935+0.00074878i,0.00049266-0.00018196i,9.7972e-05-0.00084355i
0.00035872+0.0046369i,0.00011659+0.0041548i,0.0009966+0.0033523i,0.002057+0.0024296i,0.0013159+0.00057654i,0.00035456+0.00075906i,0.00018997+0.0016788i,0.00050415+0.00069914i,0.0011165+0.00043994i,0.0011054+0.001355i,0.00064785+0.0019233i,0.0004281+0.0014255i,3.6045e-06+0.00039241i,-0.00011694-7.801e-05i,-0.00054842-6.5366e-05i,-0.00086035+8.4417e-05i,-0.00075681+0.00056536i,-0.00048044+0.00057225i,9.0947e-05+0.00025176i,0.0001913-0.0002234i,0.00014507+8.8829e-05i,0.00026228+0.00077327i,0.00026841+6.833e-05i
0.0026648+0.0013345i,0.0040797-0.00029997i,0.0037056-0.001459i,0.0038179-0.00071147i,0.0046854-0.00028055i,0.0033158-0.00085758i,0.00074598-0.0014152i,9.0163e-05-0.00096256i,0.0012928-0.0010155i,0.0018405-0.0013008i,0.00052122-0.00076767i,0.0001233-0.00023831i,0.00065951-0.00036878i,-0.00036024+6.9305e-05i,-0.0011406-7.8108e-05i,-0.00065487-0.00095425i,0.00022937-0.0012065i,0.00028852-0.00029544i,-0.0002354-0.00015101i,-0.00079902-0.00013415i,-0.00065258+6.5058e-05i,0.00036374-0.00015234i,0.00084111-0.00023766i
-0.0023868-0.00011338i,-0.0040336-0.000823i,-0.0031771+0.0016036i,0.0002596+0.0029042i,0.0035246+0.001299i,0.0031753-3.6881e-05i,0.0012262+4.5722e-06i,0.00019411+0.00021929i,7.563e-05-1.176e-05i,0.00024068+1.1068e-05i,0.00043593-0.00079424i,0.00039052-0.0018259i,0.00058793-0.0021393i,0.0011861-0.0019649i,0.0005916-0.0015109i,6.6965e-05-0.0010162i,-0.00018934-0.00048983i,-0.00052993-0.00057971i,-0.00058991-0.0006606i,-0.00080789-0.00032015i,-0.00088832+9.1898e-05i,-0.00029487-0.00024989i,6.055e-05-0.0011116i
-0.0034806+0.0058611i,-0.001782+0.006469i,0.00070704+0.0066999i,0.0021082+0.0047211i,0.0036684+0.0024506i,0.003881+0.0020717i,0.002361+0.002273i,0.00053182+0.0014798i,-0.00035449+0.00067834i,-0.00054607-0.00051318i,-0.00063699-0.00094893i,-0.00085761-0.00061949i,-0.0009612-0.00068592i,-0.00068091+0.00010305i,-0.00036618+0.00010402i,-0.0004266-0.00028966i,-0.0005257-0.00019648i,-0.00093311+0.00036836i,-0.0011805+0.00076656i,-0.00060116-0.00040798i,8.1055e-05-0.0010929i,0.00036616-0.0012724i,0.0009192-0.00077689i
0.00030858+4.5694e-05i,0.0015728-7.4945e-05i,0.0022121-0.00027853i,0.003248-0.0007103i,0.0040977-0.00056031i,0.0039547+0.0001061i,0.0023331+0.00048004i,0.0010282+0.00074204i,-0.00034748+0.0003145i,-0.0023224+0.00033694i,-0.0027495+0.00085037i,-0.0010983+0.00045399i,0.00073796+0.00054229i,0.00047752+0.0013612i,-0.00011071+0.0017039i,-0.00043268+0.00097996i,-0.00078512+0.00053434i,-0.0010186+0.00049707i,-0.0008931-0.00032958i,-0.00036363-0.00023669i,-0.00072595-4.2859e-05i,-0.0010788+0.00013097i,-0.0012604+0.00018261i
-0.0016651+0.0005442i,-0.0032987+0.0020124i,-0.0024706+0.0024219i,9.9749e-05+0.0026455i,0.0023038+0.0021132i,0.0034159+0.0010992i,0.0035462+0.0011407i,0.0031055+0.0014683i,0.0021529+0.0014728i,-0.00028449+0.0012669i,-0.0014636+0.001082i,-0.00045209+0.00099165i,0.00030329-0.00016037i,0.0002642-0.0013422i,-0.0011211-0.0013023i,-0.0018084-0.00065484i,-0.0015464+0.00050231i,-0.0015474+0.00088682i,-0.0011287+0.00042319i,0.00026308+0.0003092i,0.00044315-0.00018265i,-0.00019057-0.00087676i,3.2067e-05-0.00069301i
0.0022872+0.0007266i,0.0021555+0.0014014i,0.0024715+0.0020505i,0.0032707+0.0025036i,0.0041652+0.0017256i,0.0038415+0.00058923i,0.003007+0.00022898i,0.0018704+0.00038237i,0.0007569+0.00057338i,0.00047926+0.0016265i,0.0010193+0.002517i,0.0010674+0.0020421i,0.00053037+0.0011717i,0.00033324+0.0013524i,0.00023747+0.0017927i,0.00064054+0.0014101i,0.0011201+0.00099964i,0.00081315+0.0006404i,-0.00020693+3.5573e-05i,-0.0003069-0.00064446i,0.0002286-0.00044204i,0.0010258+0.000425i,0.00082983+0.00018016i
-0.0016597-0.00047909i,-0.0023455+0.00045284i,-0.0002942+0.0011667i,0.0028975+0.0012805i,0.003766+0.0010408i,0.0028227+0.0017548i,0.0016278+0.0019143i,0.0012449+0.0013484i,0.0011424+0.00037352i,0.0013474-0.00086997i,0.0016458-0.0014529i,0.00085672-0.0016441i,-0.00016068-0.0017717i,-0.00036855-0.0012928i,0.00022901-0.0008634i,0.00086851-7.9226e-05i,0.00059934+0.00073352i,0.00010588+0.00052693i,0.00027941-0.0001152i,0.00040004-0.00039633i,0.00054641-0.00047i,0.0012333+0.00025432i,0.0004526+0.00043667i
-0.0032122+0.0037655i,-0.0026195+0.0037469i,-0.00035737+0.0021889i,0.0016533+0.001348i,0.0031093+0.00062142i,0.0030796+0.00034784i,0.0014754+0.00083708i,0.0011305+0.00048908i,0.0012138-0.0010901i,0.00074067-0.0025195i,0.00054606-0.0024068i,-0.00033647-0.0014574i,-0.0010482-0.00072624i,-0.00073847-0.00057476i,-0.00041553-0.0012559i,-0.00096361-0.00084115i,-0.0013407-0.00020497i,-0.0014018-0.00023966i,-0.0012964-0.00035656i,1.6379e-05+0.00047505i,0.00068996+0.00013404i,0.00014475-0.0011378i,0.00064994-0.0011386i
-0.00020437+0.0017673i,-6.5517e-05+0.0041943i,0.0018329+0.0062605i,0.0042885+0.0057498i,0.0039711+0.0038828i,0.0029199+0.0027491i,0.0015665+0.0016535i,0.00042607+0.00081568i,-0.00049241-5.1057e-05i,-0.0016281-0.0012191i,-0.001719-0.0012745i,-0.00054354-0.00019794i,0.00073332+0.00030129i,0.0012311+6.372e-05i,0.0010017+0.00018084i,0.00088715+0.00021121i,-0.00021452+0.00018569i,-0.0011572-0.00014748i,-0.00087109-0.00046562i,-0.00063441-0.00083392i,4.046e-05-0.00079948i,0.00056294-0.00039188i,0.00049722-0.00016508i
-0.0028923-4.1681e-05i,-0.0028123+0.0015184i,-0.00089951+0.0023577i,0.0024749+0.002504i,0.0045798+0.002677i,0.0047282+0.002107i,0.0025773+0.001222i,-2.1547e-05+0.00051016i,-0.0016027+0.00016266i,-0.0022576+0.00091533i,-0.0018485+0.0015924i,-0.00046017+0.0010415i,-0.00019564+0.00030499i,-0.00055066+4.8664e-05i,-0.00056071+0.00015093i,-0.00032772+0.00038303i,-0.00054099+0.00012823i,-0.0010031+0.00030937i,-0.0014111+0.00078322i,-0.0012108+0.00073005i,-0.00058146+0.0003604i,0.00015377+0.00036201i,0.00068495+0.00040558i
0.0011256+0.00026983i,-0.00024893+0.0004524i,5.4044e-05-0.00031199i,0.0015067-0.00064025i,0.0018135+0.0004477i,0.0014272+0.0016912i,0.00057104+0.0019358i,-9.6938e-05+0.0014644i,-7.3164e-05+0.0014656i,-0.00092163+0.0016947i,-0.0020708+0.0010422i,-0.0015525+0.0010455i,-0.00032053+0.0011795i,0.00054024+0.00088409i,-0.00045266+0.0014618i,-0.0014416+0.0010968i,-0.00083922+0.00024445i,0.00057296-0.00018825i,0.0010735+0.00017804i,-9.8489e-05+0.0010163i,-0.00056657+0.00071945i,0.00044257-9.4135e-05i,0.00092785-0.00010427i
-0.00037227+6.4551e-05i,0.00012881+0.0027821i,-0.00098593+0.0036052i,0.00080616+0.0027125i,0.0030732+0.0019802i,0.003304+0.0015893i,0.0028913+0.0016605i,0.001618+0.00091829i,0.00058961+0.00057444i,0.00098966+0.0011073i,0.001517+0.00070448i,0.0013999-0.00033198i,0.0013029-0.00059285i,0.001826-0.00071786i,0.0016821-0.00076823i,0.00034289-0.00030417i,-0.00059968+0.00053134i,-0.00089224+0.00079647i,-0.00025548+0.00012714i,0.00015171-7.9873e-05i,0.00021679+0.00056813i,0.0004109+0.00046336i,0.00079039-0.00049894i
-0.0001336-0.0052445i,-0.00081934-0.0039282i,-0.00075712-0.0031052i,-0.0003905-0.0010465i,-0.0003019+0.0012947i,0.00049142+0.0026495i,0.0012045+0.0021588i,0.0020392+0.0013144i,0.0024279+0.00051969i,0.001456-0.0010285i,0.0003653-0.0019178i,-0.00085351-0.0019843i,-0.001621-0.001554i,-0.0017309-0.00057378i,-0.00089781+0.00056135i,-0.00033997+0.00039705i,-0.00036924-3.0967e-05i,-0.00044124+7.2027e-05i,-0.00069294+0.00011999i,-0.00059283+0.00020946i,0.00019921+0.00014579i,0.0010429+0.0002282i,0.00043049+0.00062402i
0.0018947-0.00073839i,-0.00084475+0.0011543i,-0.0025269+0.0018002i,-0.00070471+0.0022693i,0.0016689+0.0025805i,0.0019317+0.0022812i,0.0016191+0.0013208i,0.0017755+0.00016313i,0.00093372-0.00059058i,-0.00037046-0.001086i,-0.0011488-0.00072743i,-0.00089507+0.00078041i,-0.00067844+0.0014875i,0.00026397+0.00030702i,0.00046693+0.00036925i,-6.0294e-05+0.0014814i,5.5958e-05+0.0010688i,0.00035008+0.00077863i,-7.4966e-07+0.00087719i,-0.00027622+0.00085194i,-1.0848e-05+0.00023304i,0.00019749+0.00011465i,-6.2918e-05+0.00012207i
0.00030147+0.0020882i,0.00045427+0.0023613i,0.0028437+0.0018648i,0.004229+0.0012849i,0.0034408+2.4273e-05i,0.0021739-0.0001551i,0.0013254-0.00016452i,0.0006247-0.00014346i,-0.00033106-0.00043122i,-0.0018711-0.00173i,-0.0024439-0.0014594i,-0.0016821-0.00079621i,-0.0011772-0.00082721i,-0.00083309-0.0011603i,-0.00097365-0.0014776i,-0.0014123-0.00062377i,-0.0014257+0.00016448i,-0.0006558+0.0001434i,0.00015915+0.00069911i,-0.00020298+0.00072921i,-0.00036795+8.7646e-05i,-0.00010232-0.00028024i,3.4874e-05+3.896e-05i
-0.0017959+0.0011238i,-0.00077959+0.002035i,0.0022071+0.0030262i,0.0042741+0.0023941i,0.0035266+0.00043933i,0.0020513+9.9938e-05i,0.00049435+0.0013682i,-0.00046336+0.0013459i,-0.0014043+0.00028499i,-0.0021193-0.00040319i,-0.0023669+2.8896e-05i,-0.0015842+0.00030635i,-0.00094038+6.9399e-05i,-0.0017153+0.00039799i,-0.0023029+0.0002259i,-0.0018926-0.00023298i,-0.00087707-0.00044141i,-0.00023433+0.00025776i,-0.00064832+0.00090398i,-0.0010386+0.00055505i,-0.0010693+0.001112i,-0.00071454+0.001144i,1.6866e-05+0.00044444i
0.0017897-8.0441e-05i,0.0013821+3.4126e-05i,0.00053477+0.00035681i,0.00093767+0.00069014i,0.002121+0.00023692i,0.0027766+0.00086751i,0.002382+0.0019711i,0.0010347+0.0023409i,-0.00011258+0.0030155i,-0.0011765+0.003891i,-0.0007778+0.0034048i,0.00098036+0.001587i,0.001607-5.8375e-06i,0.0015347-0.00061617i,0.0016062-0.00085957i,0.0019004-0.0010489i,0.00089339-0.001189i,-0.00045329-0.0014001i,-4.8205e-05-0.00070206i,-0.00031136-0.00010593i,-0.00048297-2.1004e-05i,0.00036847-0.00016445i,0.00075761-0.0002181i
-0.0034913-0.00053075i,-0.0024296+0.00079775i,-0.0012707+0.0035047i,0.0011277+0.0055278i,0.0038384+0.0051905i,0.0045182+0.0031497i,0.0028379+0.0018546i,0.0010797+0.001679i,-7.1121e-05+0.0017019i,0.00031324+0.0018418i,0.0006502+0.0016646i,0.00069594+6.2148e-05i,0.00078515-0.00070416i,6.6026e-05+0.00025802i,-0.00078086+0.0016724i,-0.0015457+0.001877i,-0.0012489+0.0012289i,-0.00087498+0.00018808i,-0.0003963-0.00034646i,0.00057874+9.4986e-05i,0.00028179+7.1535e-05i,-0.00024383-0.0005952i,-0.00038634-0.00045477i
-0.0039589-0.0006327i,-0.003912+0.0010596i,-0.0037652+0.0026817i,-0.0016446+0.0030694i,0.0013324+0.0028095i,0.0033981+0.0021684i,0.0039196+0.0019219i,0.0033736+0.0015024i,0.0017075+0.00023393i,0.00078425-0.001213i,0.00095156-0.0017323i,0.001414-0.0013741i,0.0015164-0.00011125i,0.0014832+0.00091807i,0.0012842+0.00032381i,0.00030535+0.00018303i,-0.00091197+0.00035118i,-0.0015189+0.00018325i,-0.00055649+0.00019621i,0.00046549+7.9188e-05i,0.0004393+5.6095e-05i,0.00043309+2.5005e-05i,0.00039424+0.00013444i
-0.0018068+0.00056162i,-0.0019789+0.0023979i,-3.204e-05+0.0031282i,0.0034665+0.002599i,0.0051643+0.0013603i,0.0034329-0.00036788i,0.0027935-0.00075233i,0.0023131-0.0010411i,0.0018366-0.0028502i,0.0012198-0.0037455i,-9.4837e-06-0.0021534i,-0.00078861-0.00066019i,-0.00055531-0.00046259i,-3.1758e-05-0.00063056i,0.00025436-0.0013909i,0.00022765-0.0016968i,0.00030514-0.0014064i,0.0006936-0.00082146i,0.0005462+0.00013795i,-0.00020141+0.00032557i,-0.0004741+0.00038297i,-0.00041434+0.0004199i,0.00010141-0.00014803i
-0.0010243-0.002439i,-0.00088789+0.00011687i,-0.00095702+0.001477i,0.00042013+0.0021831i,0.0018651+0.0022681i,0.0029515+0.0019742i,0.0025302+0.0011408i,0.0010967-0.00074053i,-0.00028796-0.0020479i,-0.0017466-0.0013128i,-0.002001+8.0781e-05i,-0.00092802+0.00048193i,-0.00020253+0.00044143i,-0.00059913+0.0013498i,-0.00056614+0.0019815i,3.3426e-05+0.0015373i,0.00010474+0.0015575i,-5.5161e-05+0.0013433i,0.00056508-3.7318e-05i,0.00072243-0.00095351i,0.00043939-0.00083143i,0.00065206-0.00022921i,0.00052144-0.00023903i
3.9615e-05-0.0027269i,-0.0003531-0.0023052i,-0.0033299-0.0025949i,-0.0033265-0.001013i,-0.00083552+0.0019409i,0.00069297+0.0031452i,-0.00091643+0.0018146i,-0.003253+0.00092704i,-0.0049655+0.0012321i,-0.004798+0.0012309i,-0.0028095+0.0022624i,-0.00058702+0.0033373i,0.00070252+0.0018296i,0.00069178+0.00084418i,-0.00081532+0.0011207i,-0.0014498+0.0010645i,-0.0003241+0.00065647i,-0.00037743+0.00022578i,-0.00067625+0.00012469i,-0.0007018+7.5306e-05i,-0.0006747-0.00025855i,0.00010345-0.00040171i,0.00048807+0.00032504i
9.063e-06-0.0054747i,-0.0021315-0.0010142i,-0.0042984+0.00081527i,-0.0037304+0.0026422i,-0.0010389+0.0036523i,0.00040708+0.0033546i,0.00085748+0.002577i,4.9105e-06+0.0018966i,-0.0015815+0.0013911i,-0.0021017+0.0018904i,-0.0011578+0.0026636i,-0.00027546+0.0016843i,-0.00050826+0.00055377i,-0.0021573-0.00016657i,-0.0029662-0.00044677i,-0.0020079-0.00087436i,-0.00080907-0.0013547i,-0.00066034-0.00037785i,-0.0007741+0.00027819i,-0.00026293+0.00025362i,0.00079044+0.00086591i,0.00075055+0.0010989i,-9.0018e-05+0.00063802i
0.0036745-0.012065i,0.00082707-0.0082248i,-0.0019019-0.0050959i,-0.0021715-0.0010642i,-0.0016164+0.0015673i,-0.00098695+0.0037408i,-0.00027955+0.0047816i,0.0015491+0.004532i,0.003353+0.0027648i,0.0019089+0.0013358i,-0.00013513+0.0015246i,-0.00042855+0.0017491i,0.00014189+0.0023731i,0.00011918+0.0021152i,-0.0004863+0.00064505i,-0.00054799-0.00033092i,-0.00019705-0.0010807i,0.00017437-0.0010495i,-0.00059851+5.5113e-05i,-0.00096652+0.00042496i,1.0968e-06-0.00039967i,0.00010979-0.00088182i,-0.00014267+0.00026709i
-0.011727+0.036171i,-0.0052609+0.027224i,0.013865+0.02722i,0.026749+0.01282i,0.028332-0.0029443i,0.018174-0.0085874i,0.0069228-0.0023886i,0.0048409+0.0035103i,0.0065829+0.0051161i,0.0099494+0.0023574i,0.010097-0.0044338i,0.0056115-0.0083978i,0.0020834-0.0080363i,0.0022973-0.0043408i,0.0045472-0.0017754i,0.0044827-0.001409i,0.0010868+0.00032275i,-0.0012756+0.0015196i,-0.0014573+0.00084529i,-0.00083413-0.00049892i,-0.00037014-0.0011551i,2.3087e-05-0.0024456i,0.00028146-0.0033597i
