-0.001256-0.00016756i,-0.0009272-0.00086048i,-0.0015103-0.00091044i,-0.0020595-0.0010743i,-0.00201-0.00069264i,-0.0016341+0.00015769i,-0.0014045+8.5649e-05i,-0.00072555+0.00051723i,0.00018884+0.00063134i,0.0010706-0.00030596i,0.0013907-0.00050156i,0.00083125-0.000604i,0.00056313-0.00075511i,0.00030417-0.0010391i,0.00011832-0.00066935i,0.00018961+0.00028604i,0.00016724-0.00016849i,0.00097947-0.00032297i,0.0011578-0.00025219i,0.00051764-0.00073802i,0.00011149-0.0006552i,-0.00041093-0.00052111i,-0.00022777-0.0004488i
-0.00076422-0.0014278i,-0.0019359-0.00044153i,-0.0020059+0.00064792i,-0.0012677+0.0013499i,-0.00090845+0.00057224i,-0.0015892-0.0012201i,-0.001889-0.0015054i,-0.00093183-0.0013925i,-0.00010346-0.0014866i,-0.00029437-0.00096689i,-0.00062608-0.0001039i,-0.0006459+0.00060091i,-0.00059146+0.00056986i,-0.00044786-0.00027277i,0.00036705-0.00087545i,0.00070025-0.00018935i,-0.00068933+3.7471e-05i,-0.0012119-6.0123e-05i,-0.00045426-0.0002845i,-0.00023042-0.00040638i,-0.0009616-0.00020257i,-0.00070495-0.0011997i,0.00013893-0.0013484i
-0.0012299+0.0009513i,-0.0013218+0.0014703i,2.8829e-05+0.0013165i,0.0019082+0.00082044i,0.0021543+0.00021405i,0.0010155-0.00057007i,1.2127e-05-0.00051864i,0.00010653-0.00018697i,-0.00015345-7.4384e-05i,-0.00029912-1.7451e-05i,-0.00019644+0.00034143i,-0.00024362+0.00068213i,-1.0361e-05+0.00095269i,0.00054425+0.00030836i,0.00087107-2.581e-05i,0.00077004+0.00023765i,0.00043778+0.00024636i,-0.00022784+0.00017791i,-0.00044267-0.00050652i,0.00030913-0.00062776i,0.00014655-0.00015246i,-0.00092026+2.5188e-05i,-0.00054186-0.00053269i
-0.0016142-0.000833i,-0.0019084-0.0013088i,-0.00093663-0.0020035i,-0.00087158-0.0018338i,-0.0013494-0.0017215i,-0.0014847-0.0021594i,-0.0014907-0.0020144i,-0.0018655-0.0013657i,-0.0015602-0.00058857i,-0.00095115-8.1633e-05i,-0.00044365+2.6712e-05i,-0.00087477+0.00032268i,-0.00090029-0.00031403i,-0.00044852-0.0010179i,-0.00044111-0.00084728i,-0.00021213-0.00044745i,0.00019839-0.00039976i,0.00023191-0.00027495i,1.7752e-05-0.00022364i,0.00039213-0.00088214i,0.00073713-0.00075088i,9.4796e-05+0.00022006i,-9.6633e-05+0.00022306i
-0.0018319-0.0022272i,-0.0026887-0.0013932i,-0.0026175-0.00078753i,-0.0012062-0.00084105i,-0.00032295-0.00027852i,-0.0012347-3.204e-05i,-0.0010352-0.00039697i,-0.00015392-0.00024194i,-0.00022371+0.00011127i,-0.00025626-0.00043235i,4.6641e-05-0.00069572i,-0.00012789+0.00018298i,-0.00041573-1.2681e-05i,0.00017882-0.000565i,0.00051948-0.00041321i,0.00021166-0.00076084i,0.00010526-0.00043431i,-3.4508e-05+0.00016485i,-0.00030141+0.00054651i,0.00063699+0.00070973i,0.0011561+0.00048729i,0.00076703-0.00050604i,0.00064286-0.00047694i
0.0010226-0.00032046i,0.00095267-0.00040918i,-0.00093292+0.00039307i,-0.0018906-0.00011275i,-0.0010936-0.0016399i,-0.00069624-0.0019055i,-0.0011586-0.00061717i,-0.0014145+0.00016564i,-0.00083582+0.00054964i,-0.00010638+0.00027911i,-0.000121+0.00034327i,-0.00031121+0.00122i,-0.00055253+0.00080936i,-0.00050273-0.00059383i,-0.00028698-0.0009157i,0.00020263-0.00023774i,0.00034302-0.00019233i,9.0929e-05-0.00045754i,1.9117e-05-0.00042548i,-0.00016533-0.00029667i,-0.00022181+0.00014852i,-9.9204e-05+8.3673e-05i,-0.00025151-0.00054983i
0.00041182-6.1281e-05i,0.001045-0.00030617i,0.0012873-0.0015647i,0.0018106-0.0018871i,0.0012755-0.001583i,0.00038674-0.00084487i,-0.00026574-0.00023163i,-4.4956e-05-0.00041845i,0.00020159-0.00053954i,-0.0008576+0.00050304i,-0.0022398+0.001364i,-0.0017769+0.0014534i,-0.0014917+0.00095491i,-0.0012435+0.00050314i,-0.00098976+0.00046259i,-0.0014705+0.00025988i,-0.00047937-1.1568e-05i,0.00086604-0.00033756i,0.0012861-0.00031639i,0.0011882+8.976e-05i,0.00014209-1.4137e-05i,-0.00093039-0.00067838i,-0.00085957-0.00051577i
-0.0010834-0.00023174i,-0.0012981-0.00092591i,-0.0010598-0.0013382i,-0.0013015-0.0019272i,-0.0012251-0.0023635i,-0.00088451-0.002188i,-0.00088836-0.001801i,-0.0011323-0.00073811i,-0.0011273+0.00072496i,-0.00093633+0.00069309i,-0.00030326+0.00033183i,0.00017298+0.00014412i,-0.00025181-0.00011132i,-0.00034563+0.00034075i,-0.0001249+0.0003863i,-0.00035656+0.00021477i,0.00015915+0.00093446i,0.00057693+0.00092671i,8.3188e-05-0.00028556i,0.00016556-0.00045994i,0.00031714+0.00040458i,0.00027791+0.0002196i,0.00095713-0.00051843i
0.00084828-0.0037434i,0.0011156-0.0028638i,0.0018311-0.0025521i,0.001321-0.0022994i,-0.0002483-0.0012269i,-0.0009424-0.00065163i,-0.0008961-0.0008721i,-0.0002384-0.001273i,0.00022928-0.0012858i,-0.00033654-0.00057435i,-0.00046431+0.00017684i,-1.335e-05+0.0011167i,1.4337e-06+0.0011726i,-0.00024674+0.00064882i,-0.00075017+0.00082653i,-0.0010076+0.00029748i,-0.00033826-0.00074632i,5.9353e-05-0.00042809i,0.00025831+0.00049776i,-0.00016996+0.00054798i,-0.00074488+0.00021118i,-0.00060431+0.00099483i,-0.00066767+0.0011884i
0.00055865-0.0021464i,-0.00044955-0.0026302i,-0.0019364-0.0022182i,-0.0022891-0.0028714i,-0.0019825-0.0035693i,-0.0015626-0.0027456i,-0.00073811-0.0014671i,0.00047631-0.00096505i,0.00049653-0.00044599i,-0.0003593+0.00038202i,-0.0010785+0.0006221i,-0.00066008+0.00036589i,-0.0001241-0.00043675i,8.2985e-05+0.00013721i,0.00029012+0.0010104i,-0.00019727+0.00048978i,-0.00029485+0.00013623i,0.00032389-0.00018508i,0.00029825-0.00071121i,1.0343e-05-0.00085002i,1.5115e-05-0.00042988i,0.00031637-0.00061944i,0.00051888-0.00039043i
-0.0010267-0.0011403i,-0.0017964-0.001027i,-0.0014796-6.3828e-05i,-0.0006997+0.00051357i,0.00018619-4.7071e-07i,-0.00029949-0.00096759i,-0.00060313-0.0013323i,-7.4301e-05-0.0011532i,-0.00010118-0.00065219i,-0.00065646+0.00020789i,-0.00088813+0.00052785i,-0.00046299+0.00022947i,-0.0003957+0.00020737i,-4.7658e-05+0.0005835i,0.00094402+0.00124i,0.00082257+0.00090198i,-5.2208e-05-0.00022389i,-0.00024785-0.00092348i,0.0001827-0.00076022i,-3.2121e-05-0.0006526i,-0.00088646-0.00052739i,-0.00044399-0.00070887i,0.00016929-0.00070183i
-0.00085343-0.00044965i,-0.0011462-0.0016632i,-0.00095609-0.0029975i,-0.0013564-0.0033426i,-0.0014613-0.0022784i,-0.00038869-0.00066374i,0.00041145-0.00010818i,0.00036327-0.00033155i,-2.1659e-06-0.00022855i,-0.00013272+5.0246e-05i,-5.2033e-06+0.00033042i,-0.0001911+0.00058399i,-0.00050663+0.0010485i,-0.00039431+0.0014637i,4.0989e-05+0.0011694i,-0.00076279+0.00058204i,-0.00085033-0.00025453i,-0.00054846-0.00095435i,-6.0779e-05-0.0011231i,-0.00030433-0.00049109i,-0.00032566+0.0003173i,-0.00042201+0.00051209i,-0.00068268-4.9872e-05i
-0.0019251-0.0024915i,-0.0014471-0.0022253i,-0.0003524-0.00099257i,0.00083459+0.0006954i,0.0011376+0.0010131i,8.7741e-05-0.00051583i,-0.00068094-0.0017832i,-0.00089759-0.0016895i,-0.0007689-0.00090901i,-0.000665+9.8809e-05i,-0.00082468+0.00069394i,-0.00021855+0.0008288i,1.6018e-05+0.00024982i,-0.00031701-0.0002338i,-0.00056815+0.00041944i,-0.00019303+0.0010647i,-0.00060599+0.00093801i,-0.0005386+0.00049243i,0.00013423+0.00023144i,-0.00011758-0.00031478i,-0.00012887-5.8058e-05i,0.00059011+0.0005763i,0.0010937+0.00044993i
-0.000561-0.00013057i,-0.00068446-0.0012267i,0.00027161-0.0013337i,0.00053746-0.0013783i,-0.00033752-0.0020747i,-0.0008578-0.0022447i,-0.0010279-0.0015822i,-0.00084591-0.00093567i,-0.00018895-0.0011047i,-2.973e-05-0.0012383i,-0.00042174-0.00093461i,-0.00061857-0.00038805i,-2.6829e-05-0.00055006i,0.00032514-0.0010826i,0.00018739-0.0011822i,-0.0002565-0.0009172i,-0.00027445-0.00029994i,0.00021834-0.00023039i,0.00059407-0.00071497i,0.000568-0.00053135i,-1.4526e-05-0.00017188i,0.00011274-7.1023e-05i,0.00089658-0.00066614i
0.0011978-0.0012607i,0.00083604-0.0008046i,-4.0276e-05-0.00012912i,-2.7146e-05+0.00046995i,-1.0936e-05+0.0004111i,-1.8225e-05-0.0013243i,0.00013533-0.0017759i,0.00054988-0.00040447i,-4.8324e-05+5.1049e-05i,-0.00010049-3.7927e-05i,0.0003827+0.00052545i,0.0005611+0.00071978i,0.00054071+0.00031085i,0.0007235+0.00072049i,0.0008513+0.0015009i,0.00015199+0.0011724i,-0.00043938-1.3093e-05i,-0.00063897-0.0004722i,-0.00019907-0.00024685i,0.00054269-0.0002465i,0.00060294-0.00063323i,0.00070038-0.0011708i,0.00014618-0.00081551i
-0.00037461+0.0035579i,-6.196e-05+0.0043052i,0.0018032+0.0025042i,0.002238-0.00057926i,0.00075624-0.0018027i,-0.00067934-0.001479i,-0.00062045-0.001218i,-0.00047392-0.0005501i,-0.00043184-7.5986e-05i,-0.00043527+0.00030652i,-0.00037055+0.00047834i,0.00016495+0.00050139i,0.0010249+0.00036019i,0.0012589-0.00056362i,0.00040376-0.0015123i,-5.6825e-05-0.0012122i,-0.00085416-0.00043735i,-0.0015127-9.8071e-05i,-0.00082273-0.00023807i,0.00027779-0.00028483i,0.00076744+0.0002815i,0.00033824+0.00038334i,2.8323e-05-0.00051241i
-0.0011802-0.00076393i,-0.0017205-5.0392e-05i,-0.0014184+0.00051908i,-0.0013609+9.6849e-05i,-0.0013333-0.0006853i,-0.00038352-0.0005765i,-0.00046069-0.00050773i,-0.00071398-0.00076482i,-0.00077012-0.00035451i,-0.00091982+0.00066512i,-0.00041573+0.00098073i,0.00024828+0.00082203i,0.00094633+0.00045925i,0.00071512-0.0002081i,-8.9004e-05-0.0006006i,0.00013476-0.00025914i,0.00083533-0.00034979i,0.0010828-0.00032016i,0.00075888+0.00021609i,-1.2094e-05+0.00052714i,-0.00032915+0.00039141i,-0.00021371+0.00031089i,5.9838e-05-0.0001867i
-0.0019894+0.0011916i,-0.00069985+0.00057121i,0.002006+0.00029568i,0.003212-0.00038978i,0.0019117-0.0013231i,-0.0003243-0.0020441i,-0.00098949-0.0022701i,-0.00070106-0.001472i,-0.00035025+0.0004281i,-0.00026076+0.0013197i,-0.00047416+0.00079516i,-0.00053476+3.4768e-05i,-0.00065328-0.00044127i,-0.00099998-0.0012474i,-0.00099847-0.0018448i,-0.00037716-0.0010932i,-0.00022709-0.00027361i,-0.0004288-8.8085e-05i,-9.6709e-05+0.00031844i,0.00073892+0.0011524i,0.00052093+0.0012925i,0.00053151+0.0013439i,0.00091578+0.001301i
0.00049598-0.00023764i,-0.00080606+0.00021477i,-0.0020432+0.00065833i,-0.0018375+0.00056063i,-0.0019738-0.00020885i,-0.0021687-0.00072028i,-0.0013118+2.3347e-05i,-0.00034333-0.00034279i,-2.9329e-05-0.00096011i,-0.00052517-0.00059081i,-0.00042237+0.00031813i,-8.36e-05+0.00044518i,0.000635-0.00024773i,0.00099612-0.00013794i,0.00082702-0.00020788i,0.00050117-0.00043978i,2.3148e-05+0.00053042i,-0.00058931+0.0005887i,-0.0011123-0.00033529i,-0.0010756-0.00021303i,-0.0010247+0.00058273i,-0.00098695+0.00082108i,-0.00015066+0.00045417i
-0.00062599+0.0011439i,-0.001149-1.7068e-05i,9.538e-05-0.0012808i,0.0019917-0.0026612i,0.0019697-0.0032939i,0.00078743-0.0025152i,-0.00037077-0.0013723i,-0.00095016-0.0005096i,-0.00074169+0.00017458i,-0.00054628+0.00055085i,-0.00012642+0.00068805i,0.00041775+0.00088816i,0.0011129+0.001308i,0.0012536+0.00095079i,0.00088095-0.00030182i,0.00090884-0.00082829i,0.00039137-0.00058421i,-0.00012077+9.7767e-05i,-2.1399e-05+9.4863e-05i,0.0002124-0.00047059i,-4.095e-05-0.0010401i,7.0594e-05-0.00073676i,0.00052875-0.00028491i
-0.0010365+0.0011855i,-0.0013484+0.0026685i,-0.0010651+0.0035803i,-0.00080962+0.002555i,-0.0014023+0.0011924i,-0.0012886-0.0002333i,-0.00099113-0.00084543i,-0.0012412+6.2786e-06i,-0.00081544+0.00016946i,-0.00029635-0.00041113i,-0.00025097-0.00034255i,-0.00027133+0.00040214i,-0.0003401+0.0010745i,-0.0004693+0.00075335i,-0.0012153+0.00018967i,-0.0018552+0.00045999i,-0.001108+0.00060988i,-0.00053324+9.8593e-05i,-0.00034189+2.3955e-05i,0.00037439+0.00053672i,0.0004179+0.00049353i,0.00062626+0.00011046i,6.9572e-05+0.00035802i
-0.00064076+0.0020199i,-7.9246e-05+0.0023396i,0.00098394+0.0030619i,0.0019815+0.0020429i,0.0016782-0.00067818i,-9.7161e-05-0.001862i,-0.0010311-0.0013604i,-0.00091156-0.00075289i,-0.00087399-0.00045962i,-0.00060452-0.00018505i,-5.2537e-05+0.00011609i,0.00016228-0.00010025i,0.00025671-0.00037571i,0.0001185-0.0004101i,-0.00061741-0.00083076i,-0.00097923-0.0012847i,-0.0004854-0.00090672i,7.2275e-05-0.00082406i,0.00062737-0.00017618i,0.00076649+0.00061642i,0.00020411+0.00070206i,-0.00027016+0.00056539i,-0.00016146-0.00029282i
-0.0024046-0.0027906i,-0.0027242-0.0033653i,-0.0020338-0.0028474i,-0.0010196-0.0026757i,-0.00059544-0.0024843i,-0.00084165-0.0018201i,-0.0007896-0.0014317i,-0.00040074-0.0010666i,-0.00082558-0.00029619i,-0.00065481+0.00012372i,-0.00015542+0.00033992i,-0.00012379+0.00061853i,0.00018821+0.00044542i,0.00052722+4.7808e-05i,0.0010309-0.0003414i,0.0011131-0.00049819i,0.00041462-0.00089041i,-0.0010797-0.00078799i,-0.0013324-0.0010116i,-0.00014269-0.0015718i,0.00047368-0.00066065i,0.00031171+0.00017269i,-7.0107e-05-0.00063271i
-0.00098417-0.0017252i,-0.00041146-0.00097986i,-0.001332+0.00077157i,-0.0011472+0.0009635i,-0.00020306+6.4252e-05i,-0.00013658-0.0016088i,-0.00021702-0.0021193i,0.00026533-0.0015595i,-5.3031e-05-0.00094522i,-0.00069332-0.0001302i,-0.00075903+0.00072037i,-0.00010428+0.00084712i,0.00065851+0.00035398i,0.00047051+0.00067783i,-4.1561e-05+0.00050765i,0.00054087-0.00029301i,0.00071747-0.00032919i,0.00041328-0.00056162i,0.00011879-0.00068459i,-0.0002625-0.00048569i,-0.00073182-0.00040791i,-0.00069649+0.00031207i,9.6235e-05+0.00033736i
-0.0002638-9.9952e-05i,-0.0018219-0.00098283i,-0.003003-0.0016826i,-0.0039603-0.0013167i,-0.0037845-0.00056356i,-0.0028552+6.4819e-05i,-0.0015755+6.6852e-05i,-0.00072932+0.00077577i,-0.00050586+0.00090396i,-0.00066019+0.00073409i,-0.0013712+2.3672e-05i,-0.0011084-6.0056e-05i,-0.00049417+0.00072379i,-8.305e-05+0.00035289i,-0.00030247-1.2176e-05i,-0.00083575+0.00022028i,0.00021279+1.2897e-05i,0.00057477+0.00039444i,0.00060897+0.00035351i,0.0015041-0.00016443i,0.00093058-0.00027952i,-0.00050054-8.5696e-05i,-0.0011749+0.00030997i
0.00014954+0.00097011i,0.0014434+0.00094172i,0.0022664+0.0018389i,0.0017727+0.0015461i,0.00019177+7.4109e-05i,-0.00085642-0.0010313i,-0.00087248-0.0013741i,-0.00053341-0.0011308i,-3.6687e-06-0.00080041i,-0.00053976-0.00039755i,-0.00058188+0.0004303i,-3.3862e-05+0.0005826i,0.00020305+0.00096194i,0.00054301+0.0011334i,6.8601e-06+0.00041458i,-0.00067432+0.00015726i,-0.00073949-0.00019209i,-0.00070685+4.1954e-05i,-0.00027345+0.00036537i,0.00046112-8.5682e-05i,0.00079437-0.00023326i,0.00093394-8.8731e-05i,0.00058083-1.9646e-05i
0.00032359-0.0018741i,0.00053047-0.0022152i,0.0013033-0.0012897i,0.00080977-0.0014262i,-0.00055721-0.0028011i,-0.0013828-0.0027992i,-0.001137-0.001556i,-0.0011257-0.00040639i,-0.001409+0.00022827i,-0.00079351+0.00056586i,-5.7258e-05+0.00051837i,-0.00037909+0.00053258i,-0.001147+0.00032368i,-0.001221+0.00051062i,-0.0013577+0.00016789i,-0.0015875-0.00082657i,-0.00086785-0.00047478i,-0.00046432+0.00017646i,0.00017738-3.1209e-05i,0.00061517-0.00022761i,0.00065497-0.00039207i,0.00051811-0.00068646i,4.8359e-05-0.00040025i
-0.00096116-0.0023637i,-0.0021661-0.0021606i,-0.0021818-0.0020055i,-0.00066478-0.0019437i,-4.7408e-05-0.0006045i,-0.00063683-0.00084915i,-0.00045097-0.0022008i,0.00049824-0.0015193i,0.00064174-0.00023288i,0.00024472+0.00024765i,4.3679e-05+0.00047602i,0.00014138+0.00091179i,0.00024378+0.00056298i,0.00028353+0.00012072i,0.00034236+0.00035306i,-0.00021174+0.00064618i,-0.00035337+0.00011548i,-0.00025687-0.00047358i,-0.00044284-0.00038147i,-0.00049988-0.0002115i,-0.0010509-0.00040823i,-0.0011312-0.00038103i,-0.00033734-0.00022907i
-0.0015033-0.00056323i,-0.0021081-0.0004201i,-0.0019442-0.00022837i,-0.0013547-0.00081916i,-0.001184-0.0012089i,-0.0011625-0.000923i,-0.00083933-0.00019924i,-0.00051538-0.00058459i,-0.0003731-0.00045061i,-0.0006935+0.00040258i,-0.00079366+0.00083121i,-0.00075805+0.00015066i,-0.00068267-0.0010076i,-0.00049713-0.00027927i,-0.00018184+0.00033122i,0.00055765-0.00030551i,0.0011602-0.00015156i,0.00074341-0.00011805i,-0.00025436-2.3744e-05i,-0.00070961+0.00029607i,-0.00077712+0.00029207i,-0.00011581-0.00031082i,0.00019943+7.4575e-06i
-0.00027105-0.00080775i,-0.00049966+0.00041964i,-0.00064027+0.00026788i,-0.0007674-0.00029132i,-0.0011382-0.00082016i,-0.0020094-0.0022537i,-0.0017587-0.0020583i,-0.00049443-0.00023487i,-0.00023344+0.0001987i,-0.00050019-0.00023766i,-0.0010056+0.00044824i,-0.00075014+0.0010011i,-0.00018878+0.0013769i,-0.000398+0.00085318i,-0.0010091+8.3222e-05i,-0.0016089+0.00017839i,-0.0010534+0.00033375i,-0.00046165+0.00056989i,1.3495e-06+0.00045177i,4.5588e-05-0.00010887i,-0.00050691-0.00032199i,-0.00044811+0.0004863i,-0.00040044+0.00042106i
0.0011807-0.00045347i,0.0016899-0.0021618i,0.0034647-0.0029716i,0.0024196-0.0030371i,-0.0005097-0.003586i,-0.0014561-0.0030898i,-0.0011879-0.0021933i,-0.00079638-0.0011367i,-0.00083843+0.00048377i,-0.0015832+0.00020894i,-0.0014311-0.00060422i,-0.0011252+0.00063365i,-0.0015532+0.0010789i,-0.0017425-0.00018845i,-0.0014345-0.0002526i,-0.00097549+0.00075668i,-0.0010753+0.00080742i,-0.0013845+1.2136e-05i,-0.00097921-0.00022065i,0.00018124-0.00022921i,0.0011153+1.3025e-05i,0.0008206+0.00035346i,0.00045291+0.00038382i
0.00094873+0.00078109i,0.00069098+0.00023631i,0.0012377+0.00051012i,0.0015155-0.00052769i,0.00063176-0.0020161i,-0.00089263-0.0027838i,-0.0010456-0.0024964i,-8.7499e-05-0.0011857i,0.00057413-0.00028369i,-0.00030213+0.00024255i,-0.0011862+0.00044044i,-0.0011606-0.00041256i,-0.0010573-0.0011784i,-0.00053714-0.001319i,-0.00054488-0.0013748i,-0.00045246-0.0013219i,0.00018628-0.00055682i,7.5913e-05-0.00050347i,-0.00019178-0.00038195i,-0.0010379+0.00036412i,-0.001143+0.00058759i,-0.00038925+0.00017708i,0.00027005+8.7209e-05i
-0.0004164+0.0013661i,-0.0012615+0.0013476i,-0.0015688+0.00046181i,-0.0013627-0.0012086i,-0.0011617-0.0012332i,-0.0014296-0.00075887i,-0.0016952-0.0006984i,-0.0015026-0.00020134i,-0.00046168+0.00012395i,0.00015754+0.0006003i,-0.00055668+0.0014794i,-0.00083217+0.0013492i,-8.1921e-05+0.00064524i,0.00015938+0.00070162i,-0.00058121+0.00063557i,-0.00058737+0.00017781i,0.00012132+0.00043593i,0.00038507+0.00058312i,0.0002517+0.00051493i,-0.00012503+0.00063004i,-4.4386e-05+0.0011182i,-0.00056186+0.0012309i,-0.00053642+0.00046299i
0.0011354+0.002046i,0.0013034+0.0021577i,0.0012311+0.0010418i,0.0014538+0.00023452i,0.00097962-0.0003625i,2.7323e-06-4.7753e-05i,0.00030361-4.1677e-05i,0.0011833-0.0010082i,0.00064759-0.00059702i,-0.00013261+0.00013432i,-0.00015019+0.00031847i,-4.7269e-05+0.00028739i,-0.00049047+0.00026849i,-0.00087084+4.8994e-05i,-0.00052492-0.00064281i,-0.00045152-0.00082695i,-0.0006524-0.00039255i,-0.00077104+0.00024625i,-0.00085228+0.00093608i,-6.4193e-05+0.00083361i,0.00048013+0.00077846i,-9.4387e-05+0.00075031i,-0.00041949+0.00026959i
-0.00055346-0.0023726i,-0.00018473-0.0027705i,9.0231e-05-0.0019572i,-0.00031234-0.00088791i,-0.00038219-0.0016196i,-0.00025018-0.0023311i,-0.00022952-0.0020465i,-0.00090442-0.0014187i,-0.0011462-0.00027964i,-0.00086093+0.00054172i,-0.00031936+0.0003694i,9.8645e-05+0.0002903i,-0.00047321+0.00015178i,-0.00087528-3.1634e-05i,-0.00027514-0.00020969i,-0.00013533+0.00010097i,-0.00017436+0.0008123i,-0.00019783+0.00051863i,-4.7543e-05-0.00014074i,-0.00022117+0.00013078i,-0.00052241-9.8862e-05i,-0.0010143-0.00041723i,-0.00071298-0.00012208i
-0.0027372-0.00073284i,-0.0027286-0.00028432i,-0.0019452+0.00094386i,-0.00085944+0.00052634i,-9.796e-05-0.0021354i,-0.00062634-0.0037931i,-0.0017093-0.0034316i,-0.0020565-0.0018429i,-0.0011406-0.00071238i,-0.00036284-0.00040146i,-9.4946e-05-0.00013725i,0.00026086-0.000702i,0.00037735-0.0012725i,0.00040338-0.00084969i,0.00072506-0.00037761i,0.00029736-0.00024713i,0.00061812-0.00028124i,0.00066194-0.00038574i,-6.1418e-05-0.00075261i,-0.00048504-0.0010809i,-0.000961-0.0003924i,-0.0006379+0.00025615i,-4.9426e-05-0.00049144i
-0.00042687-0.00064907i,-0.0017473-0.0007692i,-0.0019556+9.7764e-05i,-0.00098895+0.00034934i,-0.00045985-0.00056411i,-0.00054516-0.0013239i,-9.2258e-05-0.0012236i,0.00017338-0.0006586i,-8.127e-05-0.00013265i,-0.00029963+0.00034671i,-0.00025454-0.00014829i,-0.00044495-0.00027784i,-0.00034859+0.00033061i,0.00012229+5.7907e-05i,6.2633e-05-6.4414e-05i,-0.00066085-3.5595e-05i,9.1584e-05+3.1206e-05i,0.00062089-0.0002576i,-8.598e-05-0.00085503i,1.1717e-05-0.0008604i,0.0004146-0.00058105i,0.00012715+0.00012998i,-0.00018146+0.00093904i
-0.0025838-0.0011345i,-0.0027816-0.00017495i,-0.0012462+0.00071078i,-0.00096517+0.0007786i,-0.00072724+4.8723e-05i,-0.00013093-0.00074778i,-0.00046913-0.00087697i,-0.00040592-8.8237e-05i,-0.00061277+0.00063506i,-0.00079569+0.00023659i,-0.00026014+0.00016553i,4.1944e-05+0.00018099i,-0.00045458+0.00016917i,-0.00095201+0.00074891i,-0.00060187+0.00081064i,-0.00020919-0.00042613i,-0.00055347-0.00052624i,-0.00063013+2.8388e-05i,-8.1155e-05-0.0001324i,-0.00020763-0.00035603i,-0.00040814-0.00043868i,-0.00030849-9.677e-05i,0.00048043+0.00017794i
-0.0024104+0.001154i,-0.0010514+0.0009003i,-0.0002402+0.0015433i,0.0007244+0.00090763i,0.0014528-0.00059286i,0.00053226-0.0016035i,-0.00071509-0.0021845i,-0.00010396-0.0018061i,-6.2593e-05-0.00018061i,-0.00055038+0.00065946i,-0.00051318+0.00046341i,-5.4004e-05+0.00014203i,-4.5807e-05-0.00043335i,0.00044345-0.00049834i,0.0006622-0.00030722i,0.00014122-0.0006265i,-0.00044147-0.00025968i,-0.0003987+0.00019253i,-1.3385e-05+5.5175e-05i,-0.00025615+0.00018932i,-0.00049264+0.00074691i,-0.00032061-7.3181e-05i,0.00025884-0.00084464i
-0.00076714-0.00039641i,0.00011203-0.0019289i,0.0015424-0.0013317i,0.00067209-0.00091311i,-0.00056949-0.0019183i,-0.0010767-0.0029601i,-0.0014087-0.0030838i,-0.00065031-0.0018058i,-0.00035006-0.00078755i,4.2249e-05+0.00045204i,0.00061032+0.0012918i,0.00049448+0.00079386i,0.00014085-0.00025227i,-9.4776e-05-0.00071684i,-0.00028469-0.00051773i,-0.00090163+0.00017567i,-0.00080159-3.6824e-05i,-0.00024367-0.00029622i,-2.9102e-07-0.00045304i,-0.00021804-0.0007247i,-0.00015168-0.0002439i,0.00021942-0.00046052i,-0.00027225-0.00085531i
-0.0005643+0.00091868i,-0.00064921+0.0014104i,-0.00097461+0.0021398i,0.00010161+0.0020241i,0.00050532+0.00066932i,-0.00011091-0.0012028i,-0.00075852-0.0011627i,-0.00036374-0.00046875i,8.8911e-05-0.00044564i,-0.00023805+0.00042969i,-0.00037789+0.0012246i,-5.4494e-05+0.0009263i,-0.00019081-0.00010133i,0.00018564-0.00020149i,0.00049314-0.00015774i,0.00044834-0.00036502i,0.00030194-0.00054939i,0.00014539-7.6828e-05i,-0.00014228+0.00040116i,-0.00069511-5.0964e-05i,-0.00054703+0.00015618i,0.00020092+0.00010656i,0.00041239-0.00046365i
0.00050493-0.002308i,-0.00052214-0.0022773i,-0.0016499-0.0023951i,-0.0014542-0.0025585i,-0.00075325-0.0026854i,-0.00068081-0.0016687i,-0.0009128-0.00073185i,-0.00054532-0.00080014i,0.00037869-0.00036786i,0.00029133+0.00039309i,-0.00040029+0.00078036i,-0.00011505+0.00074596i,0.00029019+0.00076268i,-0.00019945+0.0004971i,-0.00024436-0.00018648i,-0.00023971-0.0006332i,0.00013542-0.00079638i,0.00055721-0.0016616i,0.0010085-0.0013552i,0.0010675-0.00042165i,0.00063737-0.00072954i,0.00036409-0.00025364i,-0.00028665+3.7311e-05i
-0.0010364-0.0010952i,8.9019e-05-0.0013694i,-0.00045722-0.0019647i,-0.00076859-0.0016957i,-0.00084347-0.00095453i,-0.0014675-0.00085486i,-0.0011675-0.00076773i,-0.00045339-0.0004148i,2.2475e-05-0.0009304i,-0.00021323-0.00099471i,-0.000505+0.00027025i,0.00013883+0.0008317i,5.7677e-05+0.00032781i,-0.0011741+0.00012329i,-0.0016556+0.00015239i,-0.0008407-0.00039605i,0.00028077+4.3824e-05i,0.00049184+0.00021472i,0.00073949-0.00011867i,0.00062205+0.00015015i,0.00095576-0.00049042i,0.0014083-0.00029627i,0.0013187+0.00025275i
