-0.0023886+0.0016377i,-0.0022975+0.0020343i,-0.0019431+0.0014354i,-0.0012534+0.0010037i,-0.00038815+0.0012014i,0.001099+0.00086767i,0.0021279-6.3467e-05i,0.0015844+0.00012792i,0.0010168+0.00015107i,0.00067783-0.00010139i,0.00073236-0.00042846i,0.00061465-0.00073133i,0.00087501-0.00086993i,0.00084334-0.0007448i,0.00074193-0.00058842i,0.00064959-0.0013914i,0.00031416-0.001533i,5.0051e-05-0.00071619i,-0.00034819-0.00037035i,-0.00044477-0.00059771i,-0.00034986-0.00024691i,-0.00045827+0.00043677i,-0.00083621+0.00059293i
0.00057425+0.00071839i,0.00014138+0.0010817i,0.0007374+0.0012086i,0.00087213+0.00093703i,0.00073951+0.00011645i,0.0013022-0.00068259i,0.0013877-0.00063197i,0.00051597-0.00052937i,8.0705e-05-0.00068099i,0.00064878-0.00039667i,0.00085868-0.00024819i,0.00016118-0.00068358i,-0.00037785-0.00021576i,-0.00088846-0.00019817i,-0.00043173-0.0006999i,-0.00027515-0.00063883i,6.9232e-05-0.00055341i,4.6405e-05-0.00024598i,-0.00070951-0.00020349i,-0.00084223-0.00034292i,-0.0002966+8.8784e-05i,7.8158e-05+0.00031739i,-3.2352e-05+0.00054391i
-0.00051082-0.001794i,-0.0014223-0.0012839i,-0.0013669-0.0019815i,-0.00052276-0.001488i,0.00090023-0.0003832i,0.0021395+4.53e-05i,0.002487-0.00044803i,0.0020354-0.0010722i,0.00075342-0.0005312i,6.5172e-05-0.00052416i,-1.3441e-05-0.00018964i,0.00038091+0.00076524i,0.00065449+0.00056203i,9.3776e-05-0.00051181i,-0.00017683-0.00034795i,-0.0001041+0.00021521i,-0.00083586-9.5831e-05i,-0.00099369-0.00037843i,-0.00054318-0.00011747i,6.8437e-05-8.6176e-05i,0.00012176-6.2058e-05i,-0.00038406+0.00015151i,-0.00048081+0.00075308i
-0.00048851+0.0010298i,-0.00050521+0.00073234i,-0.0016618-7.9902e-05i,-0.0011031-3.2256e-05i,0.00030352+0.00036653i,0.00095437-9.4586e-05i,0.00090408-0.00095836i,0.00085291-0.00090136i,0.00080347-0.00031747i,0.00047739-0.00030281i,0.00018395+0.00010026i,-0.00021412+0.00027429i,-0.00091209+0.00046885i,-0.00023854+0.00019652i,0.00047491+0.00011589i,-0.00039097-9.8908e-05i,-0.00067295-0.00073878i,0.00034004-0.0007517i,0.00061033-0.00017966i,-0.00023421+0.00012338i,-0.00079088-1.6462e-05i,-0.00064769-0.00012631i,-0.00012101+0.00013303i
0.0017228+0.0007632i,0.001929+0.001176i,0.0004018+0.00097486i,-0.0001553+0.00067149i,0.00024005+0.00078735i,4.1526e-05+0.0007186i,0.00016563-5.3107e-05i,0.00030474-0.001133i,4.676e-06-0.00062432i,-0.00037384+0.00017403i,1.8691e-05+0.0001019i,0.0005127+0.00016161i,5.4409e-05-0.00015822i,-0.00049135-0.00035242i,-1.6834e-05+0.00035213i,0.00074819+0.00053632i,0.00091837+0.0006819i,0.00051119+0.00072919i,0.00021495+0.00040458i,3.1991e-05-0.00040474i,-0.0001961-0.0010678i,6.9223e-05-0.00065516i,0.00070427-0.00049903i
-0.00053094+0.0012604i,-0.0006344+0.0011681i,-0.00072776+0.0012225i,-0.00049761+0.0001857i,0.00063344-0.00048868i,0.0015814-0.00028834i,0.0012182-0.00097043i,0.00054941-0.0018529i,0.0001966-0.0012962i,-0.00032367-0.00073529i,-0.00077633-0.00050314i,-0.00099196-0.00030884i,-0.00061609-0.00018791i,-0.00017574-0.00098671i,0.00012472-0.0017581i,0.00036985-0.0010916i,0.00039001-0.0002551i,0.00057632+3.5109e-05i,0.0007791+3.5384e-05i,0.0010768+6.1539e-05i,0.0011768+3.7788e-05i,0.00068208+0.0003134i,0.00069236-0.00012582i
0.00090842+0.00027002i,0.00012463-0.00075373i,-0.00034346-0.0007784i,-0.00080449-7.9281e-05i,0.00025505-0.00035019i,0.0017659-0.00070843i,0.002179-4.8028e-05i,0.0011988+0.00062539i,-0.00033289+0.00058478i,-0.00050463+0.00036821i,0.0001498+0.00040977i,0.00081095+0.00085549i,0.0010823+0.0014253i,0.00098389+0.0014183i,0.0005854+0.00073099i,7.7554e-05+0.00045512i,6.2317e-05+0.00027162i,0.0001309-0.00011239i,-0.00034626+4.6169e-05i,-0.00029881+0.00022421i,0.00020413-0.00054418i,0.00012977-0.00026344i,-0.00033911+0.00095756i
0.0010888+0.0018172i,0.001746+0.0017942i,0.0028243+0.0011055i,0.0023784+8.4509e-05i,0.0011794-0.0004335i,0.0013713-0.00013696i,0.0015886+6.2192e-06i,0.00068245-0.00030126i,0.00053458-0.00022665i,0.00082314-0.00036885i,-6.8638e-05-0.0010527i,-0.00013902-0.00043925i,-7.1593e-06+0.00034044i,-0.00060321-0.00037924i,-0.00070019-0.00099527i,0.00017887-0.00097559i,0.00052063-0.00049989i,3.5617e-05-4.4432e-05i,-0.00017841+0.00016195i,-0.00011298-3.0039e-05i,-0.00037565+0.00054692i,-0.00021356+0.0011592i,-1.4755e-06+0.00082495i
0.00024421-0.0012087i,-0.00031156-0.0015383i,-0.00079633-0.0021406i,-0.00020758-0.0012341i,0.00098167-9.8953e-05i,0.0023478+0.00050856i,0.0022381+0.00072793i,0.0013358-0.00030166i,0.0011125-0.0004534i,0.00070302+0.00047996i,-0.00033915-0.00015225i,-0.00022047-0.00053109i,0.00013605+2.2212e-05i,0.00064405+0.00024643i,0.0012734+0.00021345i,0.0012513-5.8662e-05i,0.00056459-0.00043969i,0.00015164-6.5715e-05i,-0.00010932+0.0001259i,-8.7715e-05-5.5447e-05i,-9.6797e-06+0.00018977i,-0.00027258+6.3671e-05i,-0.00021355-0.00065838i
-0.0019716+0.0015628i,-0.0018251+0.001587i,-0.00043987+0.0013827i,-0.00058217-0.00020982i,0.00022985-0.00082848i,0.00099581-0.00013458i,0.0010062-0.00034708i,0.00031721-0.0011095i,9.4688e-05-0.0011949i,0.00091087-0.00086414i,0.00034649-0.00050214i,-0.00078204-0.00015266i,-0.00072033+7.9466e-06i,-0.00017594+0.00060484i,-0.00017207+0.00031537i,-0.00040366-0.00026198i,-0.00092751-0.00026204i,-0.00037506-0.0005409i,0.0016232-0.0006356i,0.0020398+0.0001427i,0.001047+0.00030769i,0.00023801+1.1016e-05i,-0.00016076-0.00037389i
0.00074264+0.0012884i,0.00096541+0.0010694i,0.0011172+0.00035458i,0.00084508-0.0004974i,0.00015721-0.00033057i,0.00042611-0.00031993i,0.0007932+0.0002143i,0.00028273+0.00024468i,-0.00035075+1.9614e-05i,-0.00076378+3.9889e-05i,0.00011981-0.00027235i,0.00045038+0.00038622i,6.5372e-05+0.00054116i,0.00017822-0.00029537i,0.0001516-0.00029864i,-4.7262e-05+0.00020329i,-0.00023161+0.00038819i,2.7272e-05+0.00040878i,0.00046704+0.00074914i,0.00016192+0.00071778i,-0.00022355+0.00046411i,-0.0005489+0.00078219i,-0.00030647+0.00077728i
0.0012307+7.8923e-05i,0.00071381-0.00029298i,0.00020207-0.00039457i,0.00023851-0.00046498i,0.0011775-0.0009756i,0.0019897-0.00047811i,0.0020086-0.0003976i,0.00099101-0.001062i,-0.0002546-0.0010893i,0.00015553-0.0014701i,-8.1939e-05-0.0013797i,-0.0011437-0.00052589i,-0.0007222-8.5085e-05i,-0.00067532-0.00013608i,-0.00070554+0.00011655i,-0.00088037+0.00037247i,-0.00087732+0.0009012i,-0.00072476+0.00094855i,-0.00084743-2.1782e-05i,-0.00019156-0.00057338i,4.7771e-05+0.00045632i,-0.00037195+0.0013135i,-0.00075468+0.000903i
0.00063647+0.00072734i,-0.00031994+0.00065873i,-0.00085952-0.00043004i,-0.00056296-0.00033624i,0.00018126+0.00077806i,0.0016408+0.0014497i,0.0025976+0.00028214i,0.0012169-0.0010378i,-0.00053157-0.00085449i,-0.0012328-0.00036348i,-0.0014506-0.000611i,-0.0009559-0.00055023i,-0.00021177+0.00056822i,-2.3322e-05+0.00060771i,0.0002253+6.816e-05i,0.00019497-0.00023591i,-0.0003184-0.00059164i,-0.00060519-4.8326e-05i,-0.00040582+0.00029867i,0.00020007-0.00040254i,0.00042554-0.00085674i,0.00026432-0.00041352i,-0.00030312-0.00026413i
0.0024263-0.00054407i,0.0021501-0.00037007i,0.0011909-0.00073088i,-0.00024531-0.00072282i,-0.00045137+0.00038202i,4.3825e-05+0.001025i,0.00083034+0.00017005i,0.0014218-0.00047366i,0.00077125-0.0011781i,6.5162e-05-0.0012354i,-0.0007857-0.00080458i,-0.0013426-0.00016526i,-0.0015499+0.00039157i,-0.00084508+0.00040529i,5.0234e-05+0.00049526i,0.00045193-0.00029655i,0.00066084-0.0007707i,0.00088431-0.00038143i,0.0011113-0.00035538i,0.00035184-0.00064478i,-0.00060462-0.00023045i,-0.0001963+0.0005861i,0.0003631+0.00018139i
0.0015856-9.146e-05i,0.0011237-0.0014967i,0.0010684-0.0020213i,0.00061744-0.0016913i,-0.00042677-0.00042282i,0.00025592+0.0010125i,0.0022903+0.00086715i,0.0022629-0.00031438i,0.0013869-0.0011692i,0.00088165-0.00075678i,0.00058983+0.00026814i,0.0010018+0.00066111i,0.00096504-0.00011847i,-0.00021806-0.0003506i,-0.0013313+0.00048293i,-0.00051549+0.0004282i,0.00055394-0.00022826i,0.00030649+0.00019548i,-8.0215e-05+0.00083059i,-0.00011863+0.00085862i,0.00010634+0.00079788i,0.00072015+0.00087426i,0.00072725+0.00074274i
-0.0013182-0.00042926i,-0.0031603+0.00029261i,-0.0033392+0.00084924i,-0.0013598+0.00061267i,0.0008299+0.00068745i,0.0016639+0.00074418i,0.0014657-0.0011076i,0.00043637-0.002445i,-0.00049183-0.0021308i,-0.0002946-0.0014891i,0.00028098-0.001036i,0.00032094-0.00033808i,0.00033624+4.9915e-05i,0.0010563-0.00016406i,0.0013602+3.0826e-05i,0.00072132+3.3525e-06i,0.00041076-0.00057488i,9.1993e-05-0.0010435i,0.00021736+5.0216e-06i,-4.5241e-06+0.00057553i,-0.00057836-0.000256i,-0.0003726-0.00040476i,-0.00036225+0.00093451i
-0.00054277+0.00024217i,8.0585e-05-0.00020044i,4.3555e-05-0.00057186i,-0.00040547+6.5665e-05i,-0.00053027+0.0002539i,1.6304e-05-2.3578e-05i,0.00045168+0.00048823i,7.7736e-05+9.8425e-05i,-0.00042849-0.00060587i,-0.00037446-0.00075213i,-0.00018139-0.00026208i,-0.00049161+0.00057285i,-9.1588e-05+0.00052118i,0.00037815-0.00012742i,0.00045564-8.5573e-05i,0.00050772+0.00041062i,0.00044351+0.00074064i,-0.00012759+0.0012709i,-0.00041741+0.001614i,-0.0004069+0.0012228i,-0.00032726+0.00041647i,-0.0003957-0.0003024i,-0.00028187+0.00023784i
0.00071773-0.00033787i,0.00073686-0.00015776i,0.00083014+0.00036964i,0.001311+0.00066369i,0.0014011+0.0012948i,0.00080699+0.0017209i,0.0012359+0.00086273i,0.00078112-0.00019655i,-0.00011972+0.0007232i,0.00023012+0.0011154i,0.00042587+0.00025881i,0.00046463+0.0003483i,-0.00031521+0.00039544i,-0.00096386-0.00018063i,-0.00082124-0.00050935i,-0.00061154-0.00019199i,-0.00033353+0.0004855i,-0.0006926+0.00070966i,-0.00095366-7.5848e-07i,-0.00016091-0.00016437i,0.00034995-8.1801e-05i,0.00051051-0.00036562i,0.00057639-0.00061609i
-0.00095116+0.00059498i,-0.00028517+0.00097716i,0.00021785+0.00073414i,0.00075145+0.00044055i,0.00026874+0.00031932i,0.00075592-0.00025623i,0.001324+0.00030416i,0.00077799+0.00034188i,0.0003883-9.3143e-05i,0.00064907-1.0304e-05i,0.00097346+0.00038895i,0.0004582+0.00012442i,-8.1839e-06-0.00020622i,-0.00049053+6.9566e-05i,-0.00022231-0.00033286i,0.00069354-0.00046012i,0.00052682+0.00010859i,0.00041808+0.00090799i,0.00047916+0.00065779i,-0.00036522+0.00019635i,-0.00018295+0.00058945i,0.00048973+0.00070964i,0.00073674+0.00096763i
0.00041147-0.00098942i,0.00038529-0.00028707i,-0.00010192-0.00082914i,-0.00037341-0.00059967i,-0.00015508+0.00099944i,0.00068933+0.0016103i,0.0019419+0.00014734i,0.0022134-0.00094059i,0.00094878-0.00050804i,-6.671e-05-0.00059987i,-0.00044365-0.00072023i,-0.00078837-0.00045214i,-0.00073591-3.2198e-05i,-0.00063028+0.00014439i,-6.1271e-05-0.00037697i,0.00067967-9.8949e-05i,0.00030518-5.9225e-05i,-0.00017285-0.00025884i,1.2115e-05+0.00041685i,0.00080372+0.00065293i,0.00093656-0.0001853i,1.1036e-05-0.00025393i,-0.00035548+0.00052172i
0.00052163-0.00043141i,0.00082137-0.0004858i,0.00051631+0.00029416i,0.0010316+0.00017155i,0.0014765-0.00039037i,0.0013399-0.0001419i,0.0015442-9.9122e-05i,0.00074996-0.00021608i,-0.00017024+3.1337e-05i,0.00032275+0.00026624i,0.00049052+0.00017204i,0.00017071-3.256e-05i,-0.00050205+4.5044e-07i,-0.00061321-5.5345e-05i,0.00029751+0.00036913i,0.0010556+0.00057469i,0.00093528+0.0007956i,-0.00015908+0.00040781i,-0.00054245-2.997e-05i,-0.00017596+9.6513e-05i,-0.0001118-0.00015121i,-0.00022515-0.00038394i,-0.00078185-6.8771e-05i
0.00012961+0.00098231i,-0.00043779-0.00039373i,0.00016916-0.0014722i,0.00045221-0.0011268i,0.0002444-0.00053022i,0.00098486-8.7292e-05i,0.0017243-0.0002834i,0.0012618-0.00079346i,0.00064479-0.0010499i,0.00078362-0.00096899i,-0.00023093-0.00041926i,-0.00097578+0.00017254i,-0.00068036+6.9186e-05i,-0.00014216-0.00018885i,0.0002383-0.00018695i,3.6383e-05-8.605e-05i,-0.00041459+0.00071896i,-0.00067798+0.00063352i,-0.00056132-0.00054942i,-0.00047733-0.00070828i,-0.0006784-0.00017912i,-0.0007709+0.00017864i,-0.00065331+0.00035903i
-0.0014653+0.0023638i,-0.00092723+0.0016818i,-0.00028527+0.00088753i,-0.00027307+0.00093967i,-0.00082695+0.00041675i,0.00016495+0.00029042i,0.0002989+0.00068001i,-0.0002829+0.00091862i,-0.00022634+0.00012589i,-0.00041847-0.00054217i,-0.00034314-0.00077805i,-0.00027308-0.00086001i,-0.00056548-0.0005609i,-0.00063815-0.00050552i,-0.00075725+0.00013993i,-0.0015387+0.00029504i,-0.0013351-5.3971e-05i,-6.6513e-05+0.00045295i,0.00044479+0.0010052i,0.00038684+0.0010815i,-9.7097e-05+0.0014431i,0.00011557+0.0012013i,0.00023852+0.0013818i
-0.00018357-0.0017545i,0.00061142-0.00091184i,0.00017532-0.00062924i,0.00039596+3.682e-05i,2.1922e-05+0.00086066i,-1.023e-05+0.00071207i,0.00085822+0.00036163i,0.00096204+0.00016659i,-0.00013505+0.00090945i,-0.001304+0.0016216i,-0.0015796+0.0010062i,-0.00095401-2.0096e-05i,-1.3461e-05-0.0005255i,4.3801e-05-0.00069173i,-3.2136e-05-0.00091886i,-0.0010808-0.00062286i,-0.0016793-0.00013973i,-0.00089953+0.00030754i,-0.00055929+0.00061567i,-0.00060167+0.00050065i,-2.6975e-06+0.00097205i,0.00031623+0.00084743i,0.00064888+0.00013032i
-0.0016298-0.00029529i,-0.00090671-0.00044412i,-0.00027348+0.0001209i,0.00077979+0.00082674i,0.0025463+0.00086976i,0.0024793+2.6684e-05i,0.0017657-0.0013155i,0.00037375-0.0010144i,-0.0012764-0.00017413i,-0.0010622-7.285e-05i,-0.00076031-0.00013129i,-0.00046625-0.00047996i,0.00066658-0.00092406i,0.00058813-0.0011357i,-0.00025493-0.00052913i,-0.00032065+0.00016934i,-0.00028893-6.3174e-05i,-5.6817e-05-0.00030265i,-0.00012154-0.0002292i,-0.00017805-0.00026871i,-0.00081043-6.9027e-05i,-0.0012413-1.6539e-05i,-0.00057997-7.7642e-05i
0.0012017+0.001216i,0.00029705+0.0010689i,0.00026242+0.0002674i,8.8841e-06-0.00059633i,-0.00033216-0.0010023i,0.00015481-0.00085732i,0.0006363-0.00020946i,0.0010726-0.00011505i,0.00096049-0.00043349i,0.00044223-0.00052918i,1.9961e-05-0.00053951i,-0.00032432-0.00069251i,-0.00043409-3.4621e-05i,-0.00054357+0.00077068i,-0.00053757+0.00048847i,-0.00090812+0.00026478i,-0.00091684+0.00018158i,-0.00020612+0.00069929i,9.364e-05+0.00084241i,-3.2292e-06+0.00027294i,0.00022203+0.00022981i,0.00032502+0.00019755i,2.0697e-05+0.00013189i
-0.00092982-0.00036149i,-0.0018273-0.00090967i,-0.0010848+0.00057018i,0.00077924+0.0017507i,0.0020684+0.0016164i,0.0023813+0.0011283i,0.0024248+0.00016273i,0.0013098-0.00068399i,0.00039403-0.0005995i,0.00020573+9.8268e-05i,-0.00031407-7.4313e-05i,-0.0005771-0.00025887i,1.1037e-05+1.29e-05i,-0.00035096+6.5166e-05i,-0.00061974-9.8572e-05i,0.00054821+0.00012363i,0.00067392+0.00018396i,-0.00034596+0.0003851i,-0.00069578-9.871e-05i,-9.7624e-05-0.00066867i,-1.6489e-05-0.00050636i,-0.00025373+0.00028879i,-0.00044104+0.0007849i
0.00043395+0.00037827i,0.0005634+0.0003812i,0.0010728+0.00022216i,0.001929+4.3964e-06i,0.0026211-0.00034926i,0.0026566-0.0003638i,0.0022513-0.00042178i,0.0007934-0.00049336i,-0.00045673-0.00062018i,-0.00022244-0.0012372i,-7.6818e-05-0.00073178i,-0.00018365+9.4119e-05i,1.4481e-05+0.00049613i,0.00067037+0.00084331i,0.0010084+0.00074205i,0.0003243+0.00037436i,-0.00035521-0.00024117i,-0.00047563-0.00071071i,-0.00043351-0.0013569i,0.00044296-0.0013153i,0.00024356-0.0010258i,-0.00032532-0.00077174i,0.00041878-0.00048174i
-0.0016738+0.0010412i,-0.00080108+0.00085828i,0.0003791+0.0005005i,0.00029446-0.00058006i,-7.9189e-06-0.00086903i,0.00061189-0.0010001i,0.00094446-0.0014065i,0.00010905-0.0012818i,-0.00093432-0.0011178i,0.0001696-0.0009175i,0.00026017-0.00044712i,-0.00079089-0.00015112i,-0.00089294+0.00048453i,-0.0008694+0.00020816i,-9.7531e-05-0.0001413i,0.00047882+2.8673e-06i,0.00012219-0.00014149i,0.00027322+0.00016253i,0.00068522+0.0003345i,0.00028816+0.0002688i,-0.00059492-0.00062057i,-0.0012223-0.0012614i,-0.0005716-0.00075597i
0.0029494-0.00023272i,0.0015827-0.00053228i,-0.00021905-0.0019249i,-0.0013351-0.0011983i,-0.0010239+0.00031071i,-0.00016174+0.00080907i,0.00078712+0.00060056i,0.00082789+0.00030022i,3.882e-06-0.00019877i,-0.00089735-0.00065944i,-0.00089052-0.00053736i,-0.00058277-0.00024819i,-0.00045519+8.9371e-05i,-0.00022076+0.00019179i,0.00021505-0.0003936i,-2.6563e-05+0.00034405i,-0.00081201+0.0011351i,-0.00070795+0.00073822i,-0.00021814+0.0005605i,-0.00032381+0.00029322i,-0.00048278-3.8349e-05i,-0.00059998+0.00026335i,-0.00064014+0.00061436i
-0.0018867+0.0045177i,-2.4864e-05+0.0029065i,0.0016619+0.0018963i,0.0018588+0.00041806i,0.00080788-0.00079584i,1.6243e-06-0.0011782i,-0.00050727+0.0002351i,-0.0004238+0.0013944i,0.00032114+0.0011445i,0.00052792-4.9813e-05i,0.00024872-0.00043888i,-0.00035262+9.8344e-05i,-0.0010999+0.00022246i,-0.0011331-0.00039347i,-0.00088769-0.00093936i,-0.00084515-0.00018146i,-0.00063904+0.00024232i,-0.00059376+0.00018594i,-0.00028712+0.00051574i,-0.00069945-0.00011031i,-0.0011864-0.00085505i,-0.0005628-0.00052899i,0.00047832-0.00045473i
0.0012583-8.3363e-05i,0.00093964+0.00019849i,0.0014202+0.00053106i,0.0018864+0.00019792i,0.0012482+8.8298e-05i,0.00089691+0.0012812i,0.0017365+0.0010477i,0.0016198+0.00046519i,0.0005358+0.00010737i,0.00029034-0.0001184i,7.4821e-05+0.00011688i,-0.00040178-0.00043275i,9.7179e-05-0.00064213i,7.5484e-05-7.5827e-05i,-0.00044346+0.00074616i,-0.00081176+0.0012339i,-0.00033611+0.00086395i,0.00035805+9.978e-05i,-0.00057616+0.00019626i,-0.0011464+0.00049556i,-0.00026435+1.7501e-05i,0.00066955-0.00020561i,0.00062872+0.000171i
3.493e-05+0.001726i,-0.00021261+0.00071494i,-0.00033378+0.00090497i,0.00027026+0.00060472i,0.0013446-1.7313e-05i,0.0022052-6.1524e-05i,0.0024453-1.6415e-05i,0.0015405-0.00071935i,0.00083927-0.000621i,0.0007584+0.00048223i,0.00081451+0.00040259i,0.00036336-0.00074199i,-0.00056136-0.00092257i,-0.00080843-0.00054683i,-0.00013271-0.00091058i,-0.00032021-0.00051757i,-0.00036648-0.00024626i,0.00032355-0.00073761i,7.0777e-05-0.00053203i,-0.00070127+0.00031781i,-0.001022+0.001136i,-0.00063723+0.00061275i,-6.9085e-05-0.00030598i
0.00048743-0.000791i,0.00097553-0.0017997i,0.0016902-0.0012963i,0.0016248-0.00049804i,0.0015227-0.00035044i,0.0010505+8.5464e-05i,0.00083924+0.00044554i,0.00028665-0.00050628i,-0.00071878-0.0017344i,-0.00075772-0.0011501i,0.00014296-0.0001654i,0.00011556+0.00029005i,-6.96e-05+0.00067699i,-3.2284e-05+0.00069795i,-0.00079+0.00033861i,-0.0008135-4.0406e-05i,-0.00049022-2.86e-05i,-0.0006105-0.00012168i,-0.00068186-0.00038381i,0.00026327-0.00042452i,0.0005439+7.8512e-05i,0.00019135+0.0004458i,0.00046079+0.00015701i
0.00019237+0.0012856i,-0.00048653+0.00076512i,0.0004551+0.00037958i,0.0007378-0.00010612i,0.00095012-0.00065287i,0.0028316-0.00085428i,0.0031143+2.5178e-05i,0.0016621+0.00018322i,0.00056481-0.00064401i,0.00024865-0.00092439i,0.00012858-0.00096743i,9.0137e-06-0.00064698i,-0.0002623+0.00046811i,-5.9956e-05+0.00045612i,0.00071267-0.00010237i,0.00066748-0.00025119i,-0.0002887-0.00042439i,-0.00077826-0.00016959i,-0.00029208+0.00017309i,0.00028979+1.5479e-05i,8.2722e-05-4.2811e-05i,-3.598e-05+0.00028888i,0.00012677-0.00037187i
0.00021802+0.0016834i,8.2138e-05+0.0026217i,0.00016003+0.0023852i,-0.00028323+0.00070895i,-0.00047354-0.0010614i,0.00041793-0.0015116i,0.0015428-0.00068844i,0.00078834-0.00060764i,-0.00029523-0.0012071i,-0.0011673-0.0011982i,-0.0014515-0.00026287i,-0.000566-0.00010284i,0.00011765-0.00051753i,0.00020721-0.00082323i,0.0003113-0.00058663i,0.00019945+0.00046682i,-0.0001838+0.00070527i,-2.7368e-05+7.1383e-05i,-7.5139e-05-0.00048298i,-0.00060287-8.868e-05i,-0.00031225-0.00014666i,-0.00027365-0.0011642i,-0.00029877-0.00093664i
0.0001502+0.00031579i,0.00063257-0.00095533i,0.0014813-0.0018757i,0.00067145-0.0020334i,-0.00031662-0.00086855i,-0.00017943+0.00048415i,0.00061862+0.00036456i,0.0010776-0.0001626i,0.00016231-0.00023819i,-0.00027653-0.00092894i,-0.00035646-0.0010467i,-0.0010923-0.0002135i,-0.00043969-0.00023672i,0.0007485-0.00040774i,-0.00013103-0.0002093i,-0.00064685-8.7626e-05i,-0.0005738+0.00024884i,-0.00021864+8.7007e-05i,0.00035184-0.00066916i,7.144e-05-0.00011275i,0.00026969+0.0004937i,0.00081626+0.00014951i,0.00082676+0.00012774i
0.0010711+0.0025962i,0.0014434+0.0014503i,0.0029169+0.0007935i,0.0029275+0.00066087i,0.0017707+0.00045347i,0.00055915+0.00078279i,0.00047447+0.001268i,0.00079006+0.00078704i,0.00054513+0.00061295i,0.00017118-0.00010571i,-0.00020136-0.00050575i,-0.0011855-8.7376e-05i,-0.00098519-0.00032175i,-0.00050468-0.001544i,-0.0013765-0.0011112i,-0.0018608+0.00013396i,-0.00066422-0.00023206i,0.0012593-0.00064322i,0.0010469+2.3607e-05i,0.00037773+0.0004055i,0.00045303+0.00060476i,0.00016459+0.00059872i,3.036e-05+0.00055466i
7.4126e-05+0.0012919i,0.00054052+0.0016888i,0.001717+0.0013668i,0.0017221+0.00021397i,0.001527-0.00042926i,0.0014518-5.1173e-05i,0.0012629+0.00011289i,0.00094949-0.00040426i,0.00077919-0.00064689i,0.0011039-0.00023867i,0.001305+3.5626e-05i,0.00061915-7.8714e-05i,0.00023318+0.00034188i,-0.00019089+0.00070989i,-0.0006648+0.00016708i,-0.00030692+0.00067053i,7.7071e-05+0.0010113i,-0.00041032+0.00064624i,-0.00076736+0.00048895i,-0.00047629+0.00019436i,-0.00056525+0.00029795i,-0.00035493+0.00045633i,-8.0498e-05+0.00036352i
-0.00010015+0.0017948i,-0.00035958+0.0019286i,0.00064539+0.0010556i,0.0023677+0.00030481i,0.0024175-0.00022649i,0.0011426-0.00068687i,0.00041013-0.00086706i,-0.00052804-0.00088113i,-0.00010926-0.0012048i,0.0003683-0.0011309i,-0.00013514-0.001091i,-0.0002274-0.00082522i,-0.00094757-0.0007821i,-0.00056358-0.00077534i,4.6025e-05+7.0845e-05i,-5.3753e-05+9.8352e-05i,-0.0001231-0.00048338i,0.00028041-0.0014255i,0.00090757-0.0015969i,0.00054357-0.00035594i,0.00064173+0.00042953i,8.4837e-05-3.8442e-06i,-0.00044566-0.00083202i
0.00061446+0.00017567i,0.0005026-0.00049173i,0.00079034-0.00074908i,0.00085094-0.00075265i,0.0015145+5.017e-05i,0.0031002+0.00097275i,0.0027992+0.001096i,0.00096787+0.00098615i,-7.1688e-05-0.00015096i,-0.00012216-0.001204i,3.7153e-05-0.00036164i,0.00026114+0.00010929i,0.0004112+9.4463e-05i,0.00012855+0.00043957i,-0.00066995+0.00073601i,-0.0011322+0.00014518i,-0.00074554-0.00057771i,-0.00030537-9.2178e-05i,-9.2395e-05+0.00036689i,0.00011516-4.0414e-05i,8.397e-05-0.00014166i,-4.418e-05+0.00071531i,-0.00074799+0.00013424i
0.00083826+0.0011576i,0.00091367+0.00074283i,0.001345+0.00022806i,0.00086005-0.0013668i,-0.00021917-0.0020762i,-0.00056419-0.0013766i,0.00033598-0.00051467i,0.00077103-0.00016327i,0.00040586+0.00033138i,-0.00057178-0.00068624i,-0.0014792-0.0017927i,-0.0012579-0.0013126i,-0.0013612-0.00073148i,-0.0011844-0.00067971i,-6.4541e-05-0.00036991i,0.00027493-0.00012854i,0.00046967-0.00035224i,0.00041734-6.7619e-05i,0.00036355+0.00082773i,0.00015035+0.00099983i,9.7877e-05+0.0002679i,0.00030796-0.00085293i,0.00024776-0.0012789i
0.0008539+0.0010229i,-0.00012055+0.0014405i,0.00015398+0.0010651i,0.00066065+8.1755e-05i,0.00023015-0.00024279i,-0.00014558-0.00015852i,0.001146+0.00031371i,0.0021674+0.0011i,0.0014335+0.00069296i,-0.00020834-0.00071782i,-0.00111-0.00088689i,-0.0013006-0.00052246i,-0.00095023-0.00016606i,-0.001122+0.00010178i,-0.0010136+0.00017527i,2.4406e-05-4.3929e-05i,0.00075887-0.00037115i,0.00050573-5.8484e-05i,-8.0594e-05+4.786e-05i,7.3468e-05+0.0011384i,-2.8018e-05+0.0012438i,-8.3182e-05-4.6559e-06i,6.007e-05-0.0007728i
