-0.00011639+0.0015286i,0.00019826-0.00023225i,-0.00070819-0.0020217i,-0.0017411-0.0011478i,-0.0025789+0.00033927i,-0.0026232+0.0013866i,-0.0014973+0.0018653i,-0.00080706+0.0012676i,0.00028089+0.00063854i,0.00042429+0.00072012i,2.0292e-05+0.00048972i,0.0001841+8.8933e-05i,2.6103e-05+0.00042002i,-0.00078741+0.00072034i,-0.0012865+0.00068837i,-0.0005637+0.00042318i,0.000105-5.194e-05i,0.00036879-0.00048875i,0.00070424-0.00057276i,0.00058103-0.00067453i,0.00056204-0.00065716i,0.00074754-1.6329e-05i,0.00047226+0.00060644i
0.00022749-0.0011531i,-0.00036285-0.00083994i,-0.00069989+6.0134e-05i,-0.00048514+0.00039334i,-4.5928e-05+0.00015446i,0.00049006+0.00023439i,0.00038923+1.3796e-05i,-0.00017135+0.0001376i,0.00017977+0.00051475i,0.00065022+0.00083517i,0.0004949+0.00080312i,0.00048735+2.1778e-05i,4.5219e-05-0.00040162i,-0.00073836+0.00019013i,-0.0005626+0.00057322i,9.02e-05+0.00071946i,0.00026731+0.0008886i,-0.00018795+0.00037397i,-0.0005459-0.00016415i,-0.00046809-0.001172i,6.2538e-05-0.0017421i,0.00069002-0.00036494i,-0.00022689+0.00011769i
-0.0015962+0.0016819i,-0.00064784+0.0016947i,0.00070271+0.00023112i,0.00041233-0.00063246i,-0.00061559-0.0013398i,0.00020859-0.0013813i,0.00088236-0.00068223i,0.00016023-0.00022286i,-0.0004341+0.00035111i,-0.00060867+0.00042835i,-0.0010665+0.00012192i,-0.0008665-0.00014936i,-0.00048471-0.00027585i,-0.0013515-8.4152e-05i,-0.0019595-0.00011432i,-0.001129+0.0006721i,-0.00018431+0.0005141i,0.00024204+0.00027242i,0.00021884+0.00034018i,0.00066082+0.00032154i,0.0010132+0.0012253i,0.00037768+0.0015585i,-0.00041842-6.1928e-05i
-0.0012807+0.0012723i,-0.0014156+0.0020756i,-0.001255+0.00088889i,-0.0015505-0.00087597i,-0.0012693-0.00086407i,-0.00014515+0.00012805i,0.00013561-0.00012762i,-0.00030517-0.00059886i,1.6213e-05-0.00025663i,0.0011202-0.00017026i,0.00085952-0.00035692i,-0.00021597-2.4867e-06i,-0.00024111-3.3694e-05i,-0.00022365-0.00038845i,-0.00029334-0.00043481i,-0.00050167+0.00037602i,-0.00039706+0.00078942i,-0.00019936+0.00061618i,-0.00057032+0.0011102i,-0.00057931+0.0014434i,0.00022098+0.00056172i,0.00070513+0.00029339i,-0.00030855+0.00069879i
0.00048982-0.00094201i,0.00052721-0.00049952i,-0.00026532-0.0005976i,-0.00066781-0.0013643i,-0.00052656-0.0019392i,-3.5234e-05-0.0014155i,0.00050306-0.0014432i,-0.00021084-0.0012723i,-0.00089735-0.00045188i,-0.00036804-0.00031083i,-0.00085703-0.00071388i,-0.00067183-0.00045476i,0.00027076-7.0004e-05i,9.1794e-05-5.2624e-05i,0.00012622+0.00049636i,0.00075602+0.00097533i,0.00044607+0.001032i,8.319e-05+0.00070377i,0.00014112+6.784e-05i,-0.00021788+0.00013556i,-0.00085421+0.00034082i,-0.0015707+0.00035757i,-0.0012426+0.00045231i
0.0011002+0.0029519i,0.0011617+0.0027434i,0.00093343-1.474e-05i,-0.00059342-0.00164i,-0.0016962-0.00086172i,-0.0013365-0.00020086i,-0.00033402-0.00023292i,4.152e-05-0.00058717i,0.00011162-0.00045908i,-0.00034014-0.00082468i,-0.00075257-0.00065072i,-0.00063997+0.00030868i,-0.0010122+0.0005351i,-0.00094126+5.9624e-05i,-0.00027021+6.3238e-05i,0.00060322+0.00041952i,0.00048667+0.00082666i,-0.00045332+0.00092106i,-0.00085245+0.00017595i,-0.00050692-0.00029606i,0.00014776-0.00010594i,0.00019299+0.00021508i,-0.00025345+0.0010509i
-0.0031962+0.00037407i,-0.0031582+0.0021138i,-0.0018526+0.0017953i,-0.00043479+0.00064299i,0.00030349-0.00054547i,0.00084464-0.0016496i,0.00064718-0.0018356i,-0.00041268-0.0013398i,-0.0012812+0.0002607i,-0.00083517+0.0014892i,-0.00072969+0.0011357i,-0.00018095+0.00046486i,0.00074192-0.00029708i,0.00067593-0.00045687i,4.3818e-05+0.00081792i,-0.00060536+0.0013624i,1.0301e-05+0.00091117i,0.00074691+0.00017964i,0.00022272-1.6233e-05i,-0.00053551+0.00058816i,-0.00089352+0.00023121i,-7.7183e-05-0.00059206i,0.00055084-0.00061714i
0.0018228+0.0013942i,0.001643+0.00099451i,0.00073271+0.00033198i,9.9457e-05-0.0011863i,-0.00033264-0.0010212i,-0.00082371+9.9502e-05i,-0.00091315+0.00040788i,-0.00079867+0.00095431i,-0.00090659+0.00055097i,-0.00084478-7.7526e-05i,-0.00064142-0.00033421i,-0.00044429-0.00045177i,-0.0002707-0.00043061i,1.9402e-05-0.00040653i,-0.00055739-0.00032798i,-0.00092754-4.7311e-05i,-0.00049715-0.00020042i,-0.00021933-0.00097962i,-3.9079e-05-0.00081253i,0.00012113-0.0002639i,-4.0897e-05+0.00041778i,4.4464e-05+0.00070083i,-0.00054552+0.00010122i
-0.00039192+0.00060684i,-0.00084999-0.00035043i,-0.0010899-0.00109i,-0.0017322-0.0014902i,-0.0018431-0.0015615i,-0.00076508-0.0009789i,-0.00047691+0.00012159i,-0.00062746+0.00047869i,7.8962e-05+0.00047686i,0.00072726+0.00055116i,0.00029105+0.00042767i,0.00034304+0.00068681i,0.00086191+0.00083551i,0.00076324+0.00035202i,0.0002052-1.3259e-05i,0.00039622-0.00014456i,0.00063498+0.00028482i,0.00033755+7.7356e-05i,0.00066894+9.3517e-05i,0.00074609+0.00057419i,0.00012581+0.00051014i,-0.00022888+0.00073158i,-0.00061639+0.00062984i
0.0014988+0.00059112i,0.0018065+0.0014173i,0.0020318+0.0011633i,0.0018012-0.0011164i,0.00093132-0.0026818i,0.00014182-0.0024801i,-0.00065266-0.0011656i,-0.0012851+8.9005e-05i,-0.00057737+0.0007983i,0.00031215-5.7181e-05i,0.00028584-0.00072797i,-0.00015242-8.0232e-05i,-0.0002903+0.00023566i,-0.00041694+0.00013521i,-0.00028882-2.7881e-05i,-4.3041e-05+0.00010687i,9.8804e-05+0.0004045i,6.2342e-05-1.312e-05i,-0.00022394-0.00018983i,-0.00042468-0.00041782i,-0.0010104-0.00089196i,-0.0011592-0.00054064i,-0.00025466+0.00021268i
0.0021623-0.00047308i,0.0022366+4.5965e-05i,0.00072453-0.0010894i,-0.001223-0.0022059i,-0.0021959-0.0012216i,0.00016244-0.00029395i,0.0019413-0.00096107i,0.0009957-0.0014962i,0.00066729-0.00097574i,0.00073397-0.00026572i,-7.8827e-05+0.00087359i,-0.00049872+0.0013886i,-0.00021901+0.00071296i,-0.00023425+0.00052852i,0.0001909+0.0012964i,0.00031+0.0017281i,-0.00012575+0.0010508i,-0.00018791+3.3749e-05i,0.00020244-0.0010288i,0.00066705-0.001494i,0.00052251-0.0016521i,5.8775e-06-0.0017615i,-0.00033346-0.0011297i
-0.00053975-0.00047235i,-0.0017796-0.00035866i,-0.0023158-0.00091516i,-0.001746-0.00087494i,-0.0014307-0.00041052i,-0.0015763+0.00013047i,-0.0012246-0.00022297i,-0.00085893-0.0012537i,-0.00052525-0.00091015i,-7.611e-05-0.00053794i,0.00012584-0.00028049i,-0.00023158+0.00015019i,-0.00029502-0.00034153i,-0.00029651-0.00080961i,-0.00061993-9.9013e-05i,-0.00037675+0.00063526i,-0.00010784+0.00096519i,2.9041e-06+0.0011539i,-3.5549e-05+0.0005383i,-0.00025353-0.00054985i,6.1438e-05-0.00089523i,0.0002028-0.00041636i,3.5994e-05-0.0001586i
0.0014185+0.00055272i,0.0025349+0.00083944i,0.0024091+0.00079448i,0.0013814-0.0011299i,0.00017889-0.0016872i,-0.00046171-0.00094443i,-0.00018953-0.0012701i,-0.00040684-0.0016233i,7.9509e-05-0.00098738i,-3.5615e-05-0.00044624i,-0.00041572-0.00037176i,0.0002306+0.00044492i,0.00011008+0.00096189i,-0.00042626+8.0903e-05i,-0.00012485-0.00049623i,-8.6981e-07-0.00012553i,-0.00031174+0.00056114i,-0.00046359+0.00057015i,2.7081e-05+0.00013381i,0.00081844+0.00020947i,0.0012141+0.00095373i,0.00085211+0.0007694i,0.00051434+0.000208i
0.0016471-0.0021679i,0.00073671-0.0025977i,6.1652e-06-0.0025825i,-0.0012972-0.001977i,-0.00092406-0.0012745i,-0.00017251+0.00031825i,-0.0010586+0.00082844i,-0.0014983-0.00011927i,-0.001124+0.00023677i,-0.00073537+0.00029755i,-0.00061336-0.00072441i,-0.00071684-0.0008782i,-0.00064299-0.0006947i,-2.9842e-05-0.00086961i,-8.2836e-05-0.00027754i,-0.00043467-0.00057837i,-0.00029936-0.00052516i,5.485e-05+0.00029424i,2.8946e-05+0.00048154i,-0.0010293+8.222e-05i,-0.0013008+0.00022067i,-0.0010087+0.00079683i,-0.0010254+0.001015i
-0.00094635+0.0009204i,-0.0010974+0.0011747i,-0.0019574+0.00054721i,-0.001859-0.0007346i,-0.00050475-0.00082469i,-0.00011537+0.00012091i,-0.00058803+0.00027796i,-0.0017819+0.0002715i,-0.002114+0.00086597i,-0.0013893+0.0012769i,-0.00043641+0.0010258i,2.0972e-05+0.00031059i,-0.00024094+0.00016709i,6.6101e-06+0.0003819i,0.00072143-8.7214e-05i,0.00073211-0.00078056i,0.00080056-0.0013444i,0.00054532-0.0011238i,-0.00034829-0.00050873i,-0.0010635-0.00033774i,-0.00081942-0.00062572i,-0.00030496-0.00049675i,-0.00078614-0.00013782i
-0.0014914+0.0011604i,-0.0013551+0.0010285i,-0.00039044+0.001665i,-0.00024948+0.00078291i,-0.00011571-0.0013442i,4.8903e-05-0.0016747i,0.00027888-0.00070887i,0.00030868+7.4386e-05i,-0.00020632+0.00071513i,-0.00045296+0.00067901i,-0.00032369-0.00011832i,-3.8025e-05+0.00081844i,0.00022979+0.0017746i,-2.9641e-05+0.001061i,-0.00013859+0.0011032i,0.00052125+0.0014247i,0.00095925+0.00037731i,0.00074081+0.00010762i,0.00014468+2.0776e-05i,0.00053444-0.00026536i,0.0002828+0.00039306i,-0.00012421+0.00020147i,0.00038028-0.00040584i
-4.2489e-05+0.00021769i,0.00013828-0.00019371i,-0.00029318-0.0011145i,-0.00034111-0.0014171i,-1.1896e-05-0.001115i,0.00054158-0.0011696i,0.00092373-0.0011492i,0.00095154-0.00030613i,0.0010591+0.00073487i,0.00067853+0.0012836i,2.5918e-05+0.0010354i,7.9257e-05-0.00046897i,-0.00060759-0.001032i,-0.0012159-0.00061038i,-0.0011395-0.00085406i,-0.00095611-0.00066024i,-0.00041759+0.00019576i,-0.00056335+0.00039879i,-0.00046326+0.00016397i,-7.9601e-05+0.00024967i,0.00065038+0.00027904i,0.0009503-0.00046603i,0.00049277-0.00060127i
0.0013773-0.00017382i,0.001545+0.00021843i,0.0010102-7.3073e-05i,-0.00062524-0.00065192i,-0.0012593-0.00018336i,-0.00067274-0.00039185i,-9.9147e-05-0.0015906i,0.00058718-0.0017723i,0.00083779-0.0008783i,0.00074171-0.00056429i,0.00068876-0.00020574i,0.00062669-0.00039051i,0.00071093-0.0011852i,0.001037-0.0014264i,0.0010873-0.0014264i,0.00045907-0.00092236i,-0.00072058+0.00028276i,-0.0013249+0.0011116i,-0.0006358+0.00060233i,-0.00059903+0.00050799i,-0.00053955+0.0006854i,0.00048271+0.00030483i,-4.7414e-05-0.0001614i
0.0021146-0.0014459i,0.002845-0.0022122i,0.0016901-0.0037138i,-0.001557-0.0037095i,-0.0028922-0.0021265i,-0.0022324-0.00084179i,-0.0010761-0.0011943i,0.00011451-0.0016418i,-1.0451e-05-0.001244i,-0.00087373-0.00040337i,-0.00078446-0.00017297i,-0.0002508-0.00030123i,0.00034312+0.00085178i,0.00078319+0.0016178i,0.0012521+0.001172i,0.0008365+0.00022501i,-0.00044903-0.0006359i,-0.0010509-0.00081084i,-0.0011578-0.00087638i,-3.0402e-05-0.00057585i,0.00060738-0.00011292i,0.00022695-1.9247e-05i,0.00064427-3.8308e-05i
-0.0012979-0.00060256i,-0.0024117-0.00097303i,-0.0024947-0.0020431i,-0.0019302-0.0025719i,-0.0017778-0.001736i,-0.0020124-0.0008069i,-0.0023824-0.00074512i,-0.0022174-0.001321i,-0.00185-0.0010696i,-0.0016092-0.0010945i,-0.00079615-0.00073128i,-0.00024799-0.00022104i,0.00020257+0.00018516i,0.00068713+0.00099628i,0.00063305+0.0012574i,0.00040318+0.00067519i,-0.00031367-0.00017684i,3.6478e-06-0.00037154i,0.0013142+0.0004176i,0.0019725+0.0010363i,0.0013669+0.0010485i,0.00030614+0.00093452i,-2.9621e-05+0.00082509i
0.001068-0.00059898i,0.0019907+0.00019236i,0.0017843+0.00031134i,-0.00011317-0.0002998i,-0.00053877-0.00013561i,-7.5924e-05+0.0004606i,-0.00036277+0.0003403i,-0.0010094+0.00048292i,-0.0013577+0.00081082i,-0.0011245+4.0144e-05i,-0.00016246-7.8088e-05i,0.00031578+0.0010944i,0.00021207+0.0021835i,0.00010331+0.0019565i,-0.00015561+0.000606i,-0.00077622+0.00019729i,7.3581e-05+0.00069897i,0.00074998+5.5069e-05i,0.00099059-0.00065202i,0.0011624-0.00021117i,-0.00024532-9.8756e-05i,-0.00085376-0.00047587i,-0.00032492-0.00055793i
-0.00027928-0.0025234i,-0.00023713-0.0024488i,-0.0014361-0.003922i,-0.0022048-0.0032247i,-0.0013126-0.00097585i,-0.00096571+0.00061111i,-0.000592+0.00049163i,-0.00060054+0.00052484i,-0.00060385+0.0013707i,0.00052926+0.0013227i,0.00090402+0.0011734i,0.00043086+0.0014061i,2.053e-05+0.00065398i,-0.00057694-0.00064685i,-0.00020518-0.0011303i,4.1134e-05-0.00063083i,0.00017571-0.00035957i,6.6327e-05-0.00060956i,-0.0003532-0.00045229i,-0.0008726+1.2168e-05i,-0.00077564+0.00012555i,0.0003724-0.00033418i,0.00068964-0.00069349i
0.0010582+0.0010988i,-0.00014363+0.0012826i,-0.0011136+0.00026868i,-0.00055221-0.0013013i,-0.00010398-0.0012672i,0.00019538-0.00030109i,5.0427e-06+0.00026089i,0.00010268+0.0015171i,0.00056665+0.002428i,0.0011014+0.0018927i,0.00084071+0.0013964i,0.00026995+0.00055311i,0.00052759-0.0014705i,0.00086553-0.0019725i,0.0010829-0.0012107i,0.00038668-0.0010937i,-0.00045495-0.00084247i,-0.00024763-0.00064906i,0.00031179-0.00063424i,0.00062625-5.2641e-05i,0.00032419+1.1104e-05i,0.00026764+0.00065322i,0.00067038+0.00083125i
-0.0012158+0.0017363i,-0.00093725+0.0028569i,-0.0010943+0.0018479i,-0.0013792+0.00026917i,-0.00090966+6.0954e-05i,0.00010458-0.00014792i,0.00083796-0.00059049i,0.00068468-0.00055904i,0.00047324+0.00030542i,0.00041877+0.00071683i,0.00087773+0.00020756i,0.0018312-0.00013776i,0.0010203+0.00041401i,-9.7107e-05+0.00030801i,-5.8057e-05-0.00042825i,-0.00064152-0.00064537i,-0.0013924-0.0011263i,-0.0011753-0.00086969i,-0.00078933-0.0003268i,-9.1235e-05-0.00045251i,0.00090942+0.00029142i,0.0010487+0.0012137i,0.00045004+0.00070221i
-0.00015809-0.00025864i,-6.2497e-05-0.00082404i,-8.0531e-06-0.0026702i,-0.00054393-0.0035358i,-0.0011921-0.0025576i,-0.0010443-0.0006511i,-0.00023151+0.00027145i,1.3031e-05-0.00025569i,0.00059523-0.001301i,0.0016346-0.001475i,0.001946-0.00062657i,0.00036561-0.00038974i,-0.0014996+0.0011207i,-0.0018356+0.0020954i,-0.0011051+0.0012632i,-0.00052431+0.00038551i,-0.00044715+1.5056e-05i,0.00019873-0.00028434i,0.001008-0.00032564i,0.00073623+1.5351e-05i,-8.1765e-05+0.00015511i,-3.9712e-06+0.00013481i,0.00062311+0.00024321i
0.0036527-0.0019267i,0.0035687-0.0014407i,0.001687-0.0013611i,-0.00080496-0.0016507i,-0.0019066-0.0012751i,-0.0012241-0.00029896i,-0.0002342-0.0010362i,-0.00011723-0.0016993i,-0.00039612-0.00069645i,-0.00022749-9.7946e-05i,-0.00017699-0.00014695i,-0.00037711-7.6895e-05i,-0.00099649+0.00097584i,-0.0016723+0.0013827i,-0.0012682+0.00066925i,-0.00042229-0.000196i,-0.00027936-0.00032529i,-0.00047957-0.0001515i,-0.00077793+0.00064148i,-0.0012336+0.00052815i,-0.00099737-0.00022716i,-0.00033848-0.00058012i,-0.00034718-0.00053233i
-0.0011653+0.0016099i,-0.0014464+0.0011678i,0.00011056+0.00092353i,0.0011464-0.0012771i,0.0005957-0.0027262i,-0.00012703-0.0023563i,-0.00059853-0.0014251i,-0.0015525-0.001031i,-0.0019802-0.00020472i,-0.0011+0.00082207i,-0.00081886+0.0012926i,-0.0012354+0.00082678i,-8.2746e-05-0.00072777i,0.0005127-0.0017006i,0.00022957-0.0013332i,0.00078128-0.00017581i,0.0012135+0.00086032i,0.00080536+0.00049288i,0.00047146-0.00018248i,-0.00084242-0.00089157i,-0.0011834-0.00071142i,6.3713e-05+0.00047901i,0.00036048+0.00055342i
8.5172e-05+0.0028254i,-0.00013376+0.0028138i,-0.001638+0.0025179i,-0.0024024+0.0006489i,-0.0011948-0.0010159i,-0.0003408-0.0016312i,-0.00072666-0.001556i,-0.0013372-0.00062223i,-0.0011322+0.00054756i,-0.00032854+0.00098393i,0.00048793+0.00054898i,0.00052932+0.0010179i,0.00046748+0.0012812i,0.00083217+0.00053915i,0.00060735+0.00036982i,8.0767e-05+0.00046277i,0.00024474+0.00065519i,0.00058136+0.00046605i,0.00047695+0.00027523i,0.00084736+0.00044154i,0.0010771-4.1219e-05i,0.0003323-0.00055141i,0.00047202-0.00067582i
0.00025715+0.0012852i,2.0901e-05+0.00096059i,0.00026847+0.0017298i,0.00061659+0.0014527i,0.00082844-0.00059672i,0.00073092-0.0012147i,0.00055754-0.00029885i,0.00043341+0.0002472i,0.00081401+0.00043329i,0.0017573+0.00012674i,0.0017529+4.6521e-05i,0.0006829-0.00013585i,-0.00027154-0.00040163i,-0.00033585+0.0003335i,-0.00047834+0.00031597i,-0.00048905-0.00063625i,-0.00042522-0.0011843i,-0.00046455-0.0010312i,0.00019118+0.00023516i,0.0006034+0.0018818i,0.00047276+0.0012347i,0.0006743+0.00058733i,0.00018812+0.0010119i
-0.0030728+9.4597e-05i,-0.0031722-0.00052604i,-0.0013058-0.0005929i,-0.00073765-0.0012542i,-0.00061482-0.00077043i,0.00093682+0.00019257i,0.0011901-0.00089544i,-0.00010455-0.0012512i,0.00038052+0.00017944i,0.0010855+0.00099339i,0.00072015+0.00081122i,1.1525e-05-9.9754e-06i,-0.00069207-0.00039779i,-0.0010407-0.00026598i,-0.0012923-0.00057028i,-0.0010344-0.00085109i,-0.0012727-0.00017707i,-0.0010547-0.00015961i,-0.00047297-2.0338e-05i,0.00010299+0.00058282i,-2.5866e-05+0.00044247i,-0.0003271+7.387e-05i,-0.00045664+0.00059558i
-0.00095292+0.00066752i,-0.0011687+0.00064264i,-0.0023138+0.0010827i,-0.0027102+0.0013206i,-0.0020923+0.001011i,-0.00060304+0.00066425i,0.00021906-0.00023395i,0.00048708-0.00076517i,0.0002972-7.8459e-05i,6.8644e-05+0.00047007i,8.0938e-06+3.3711e-06i,-0.00063494-0.00045871i,-0.0016513-0.00074095i,-0.0019384-0.00080607i,-0.0010824-0.00082123i,-5.3177e-05-0.0012469i,3.2749e-05-0.00069928i,-0.00042065-0.00013286i,-0.00037078-2.6475e-05i,-0.0008464+0.00012149i,-0.0018297+0.00034547i,-0.0018783+0.0001962i,-0.00015154-0.00065277i
-0.0020426+0.0014074i,-0.0016314+0.0015509i,-0.00093243+0.00090869i,-0.00052335-0.00046226i,-0.00032234-0.00088755i,0.00036459+0.00040099i,0.00028291+0.00074851i,0.00022911-0.00034237i,0.00011463-0.00061935i,0.00014603-0.00044225i,-0.00084745-0.00040148i,-0.0014138-0.00063982i,-0.00058679-0.0007789i,0.0002003-0.00019514i,0.00083663+0.00019964i,0.00054089+7.569e-05i,-0.00027489+0.0010777i,-0.00020041+0.0017997i,3.7287e-05+0.0011442i,0.00048218-0.00056982i,0.00096926-0.001539i,0.000418-0.0013834i,-0.00011561-0.00065905i
-0.00038423-0.0023613i,-4.2656e-06-0.001648i,-0.0017088-0.00074438i,-0.0023408-0.00083556i,-0.00088821-0.0013356i,0.00026074-0.0011393i,0.00074267-0.00084775i,0.00046925-0.00077905i,-0.0006195+5.6384e-05i,-0.00067923+0.00029072i,0.00021968-0.00016381i,0.00024654+0.00024509i,0.00052079+0.0010045i,0.00091508+0.0012126i,0.00018731+0.0010701i,-0.00087803+0.0014046i,-0.00085017+0.00083377i,-0.00011119+4.3146e-05i,0.00064466+0.00036441i,0.0012264+0.00015284i,0.0013547-0.00040261i,0.00093894-0.00017613i,0.00044431+0.00017137i
0.0018661+0.00055053i,0.0016753+0.0018909i,0.0021523+0.0016864i,0.0011735+2.588e-05i,-0.00098358-0.0015421i,-0.0012054-0.0020435i,-0.00069418-0.0018409i,-0.00017032-0.0011763i,6.0939e-05+0.00047917i,-0.00020296+0.0011271i,-0.00072668+0.0003013i,-0.0013101+0.00036451i,-0.0010737+0.0010423i,-0.0007424+0.0014413i,-0.00079286+0.00066247i,-0.0011097-0.00045452i,-0.0010981-0.00062067i,-0.00043663+6.088e-06i,4.3401e-05+0.0011057i,0.00010651+0.0013283i,0.00042057+0.00093333i,0.00066026+0.00056396i,0.00019684+0.00039194i
0.00030875+0.0032953i,9.9275e-05+0.0024911i,0.0006593+1.5719e-05i,0.0011147-0.0018413i,6.737e-05-0.0014802i,-0.00087364-0.00072376i,-0.00086704-0.00010383i,-0.0014367+0.00035671i,-0.0014789+0.0011345i,-0.00031632+0.0014466i,-0.0002612+0.000494i,-7.1747e-05-1.8354e-05i,0.00046834+0.00060129i,-8.1008e-05+0.00017055i,-0.00031969-0.00090684i,0.00010895-0.00068898i,0.00039943+0.00027625i,0.00042684+4.3746e-05i,3.5368e-05-1.2246e-05i,-0.00096214+0.00053503i,-0.0015908+0.00097113i,-0.00083808+0.001302i,-3.8424e-05+0.00079094i
-0.00059659-0.00082536i,-0.0014016-0.00072692i,-0.0026466-0.0015409i,-0.0024765-0.0018675i,-0.0010508-0.0012436i,0.00054107-0.00038902i,0.00049457+0.00010461i,0.00036137+0.00093533i,0.00015421+0.0013701i,-0.0001575+0.00117i,0.00023355+0.0012079i,0.00055232+0.00085455i,0.0001559-0.00077721i,6.3279e-05-0.001755i,0.00019135-0.0011981i,0.00032958-0.00064101i,8.4524e-05-0.00082239i,0.00030319-0.0016273i,-0.00021328-0.0016896i,-0.00069811-0.0013845i,-0.00034764-0.001295i,-0.00054484-0.0013376i,-0.00062622-0.0013641i
-3.526e-05+0.00033047i,0.001409+0.0017446i,0.0032101+0.00068513i,0.0021866-0.0013026i,-0.00055218-0.0018842i,-0.0017629-5.9352e-05i,-0.0010362+0.00094881i,-0.00043873+0.0002876i,-0.0004418+0.00024891i,2.002e-05-0.00036293i,-0.00013009-0.0016661i,-0.00013859-0.001611i,0.00073155-0.00087794i,0.00102-0.00058511i,0.00023956-0.00086389i,-0.00042586-0.00056224i,-4.277e-05+0.00011126i,0.0001946+0.000501i,3.9891e-05+0.0010397i,-8.6608e-05+0.0015195i,-0.000498+0.0010463i,0.00013626+0.00036242i,0.00040469+0.00064228i
0.00033958-0.00039095i,0.00018648+0.0001372i,-0.00026894+2.224e-05i,-0.0013879-0.00070662i,-0.001491+7.5173e-05i,0.00066477-0.00020027i,0.0014277-0.0011113i,0.00011686-0.00070038i,-0.00045073-2.2711e-05i,-0.00010642+0.00033047i,0.00011714+0.00018091i,-0.0005024-0.00064118i,-0.0010244-0.00040459i,-0.00047383+0.00087173i,0.00012339+0.0014232i,-0.00036108+0.00088383i,-0.00097696+0.00083455i,-0.00031798+0.0002112i,0.00035767-0.0010101i,0.00031228-0.0013801i,0.00055258-0.00084528i,0.0001227-0.00024568i,-0.0003549-0.00064309i
-0.0012601-0.00065523i,-0.0022504+0.00035464i,-0.0028468-0.00041794i,-0.0029431-0.0018139i,-0.0024904-0.001901i,-0.0013354-0.001535i,-0.00031243-0.0013858i,-0.00082094-0.0016024i,-0.0014647-0.0014295i,-0.0012256-0.0015472i,-0.00074884-0.0011838i,-0.00043116+0.00014569i,-0.0010577+0.00067569i,-0.0013586+0.0010395i,-0.00072307+0.0013748i,-0.00033857+0.00069624i,-0.00046118+0.00010159i,6.6545e-05+0.00060096i,-3.5726e-06+0.0014162i,-0.00013357+0.0013946i,3.5021e-05+0.00098441i,0.00020556+0.00016363i,0.00039851-0.00046654i
-0.00064971+0.00473i,0.00062958+0.0055934i,0.0022859+0.0047258i,0.0016739+0.0011746i,0.00092086-0.00062026i,0.0011783-0.00010359i,0.00057394-0.00046093i,-0.00097106-0.00084021i,-0.0019121-0.00081777i,-0.001839-5.1899e-05i,-0.00083151+0.0006161i,9.9188e-05+0.00071099i,-0.00013697+0.00075326i,-0.00099931+0.00016764i,-0.0013679-0.00013337i,-0.00068899+3.1868e-05i,0.0003788+0.00015285i,0.00077943+0.0002895i,0.00040455+0.00090771i,-0.00028723+0.0012471i,-0.00039402+0.0006605i,-0.00050732-0.0001113i,-0.00015505-0.00025344i
0.0016059-0.0036862i,0.00024898-0.0043372i,-0.0003008-0.0043991i,-0.0015795-0.0042064i,-0.0014147-0.0026784i,-0.00050088-0.0012068i,-0.0010797-0.0019219i,-0.0023986-0.0021171i,-0.0021991-0.00075023i,-0.000636+9.6919e-05i,0.00016391+0.00028579i,-0.00036807+0.00081897i,-0.00062193+0.0010134i,0.00015651+0.00057613i,0.0011379-0.00055539i,0.0017115-0.0015596i,0.0010234-0.00075328i,-5.253e-05-0.00030101i,-0.0002665-0.00068053i,6.1411e-05+0.00020664i,0.00017575+0.00039329i,-0.00012159-0.0003858i,-0.00053522-7.7359e-05i
-0.00083294-0.0012311i,-0.0017925-0.0010062i,-0.0011973-0.00094624i,-0.00057429-0.00096878i,-0.0014294-0.00077516i,-0.0011545-0.00022686i,-0.00078285+0.00068459i,-0.0013821+0.0011233i,-0.00068892+0.0011439i,-4.318e-05+0.0019291i,0.00029245+0.0017818i,0.0006152+0.00022544i,0.00045443-0.00074079i,0.00066113-0.00017536i,0.0009038+0.00092089i,0.00094441+0.00057063i,0.0011189-0.00017369i,0.001321-0.00056523i,0.00090652-0.0003795i,0.00069759+0.00029806i,0.00083529+0.00024864i,0.0011925-2.1494e-06i,0.00030797+4.3062e-05i
0.0012464+0.00086111i,0.00096991+0.00069927i,-0.00029566+0.00014802i,-0.0017229-0.00051969i,-0.0022383-0.00017875i,7.6891e-05+0.001045i,0.0013134+0.0006711i,0.00051545-0.00024798i,0.00019251+0.00010253i,0.00047462+0.00015082i,0.00035644-0.00047007i,-0.00027844-0.00030716i,-0.0002672-3.383e-05i,0.00027311+9.3231e-05i,5.7162e-05+0.00032874i,-0.00032951+0.00070177i,-0.00037207+0.00089142i,-0.00028557+0.00046025i,0.00042526-0.00046052i,0.00035965-0.0010491i,0.00037315-0.0011i,0.0011293-0.0009644i,0.0010669-6.1946e-05i
