-0.0016051+5.1184e-05i,-0.00070899-0.0016465i,-0.00043064-0.0021931i,-0.00068447-0.0011547i,-0.0009565+0.00072224i,-0.00089071+0.0018096i,-5.4651e-05+0.001788i,0.00059167+0.0022969i,0.00053639+0.0017876i,0.00083738+0.00041011i,0.0012658-0.0003894i,0.0013299-0.0014143i,0.00081259-0.00059779i,-0.00017584+0.00034751i,-0.00018204-4.9573e-05i,9.9079e-05-0.00017661i,-0.00019348-0.00014943i,-1.4056e-05+0.00030975i,5.791e-05+4.0476e-05i,-0.00031885-0.00098611i,-0.00058333-0.00084147i,-0.00054504-0.00044549i,-4.1408e-05+4.8535e-05i
-0.0006994-0.00010278i,-0.00086198-0.0019711i,-0.00050057-0.0015454i,8.9547e-05+4.6594e-05i,-7.9397e-05+0.0012642i,0.00035311+0.0011045i,0.00103+0.00047545i,0.0017955+0.00044605i,0.0015308-0.00066487i,-9.1176e-07-0.00079999i,-6.0377e-05-0.00095919i,0.0011171-0.0013831i,0.0017614-0.00076526i,0.0015354-0.00081476i,0.00086017-0.00086558i,-5.5549e-05-0.00063822i,-0.00036388-0.0010286i,-6.9688e-05-0.00082874i,0.00020723+1.0793e-05i,0.00019438+5.4521e-05i,4.2499e-05-0.00064089i,0.00041991-2.4108e-05i,0.00012479+0.00081346i
0.0010654+0.0014627i,-0.0005853+0.0021252i,-0.00031877+0.0015764i,0.0005906-0.00023983i,0.00051489-0.00068594i,0.00017363-0.00035092i,0.00052166+0.00018009i,0.00083123+0.00088245i,0.0002145+0.00082744i,-0.00051288+0.00085876i,-0.00028395+0.0011853i,0.00017032+0.0010029i,-3.5217e-05+0.00095166i,-0.00085611+0.00040443i,-0.00083082-0.00052649i,-0.00061696-0.00048511i,1.0755e-05+0.00017432i,0.00047925+0.00039123i,0.00075249+0.00060794i,0.0012544+0.00069676i,0.0015263+0.0002524i,0.0017834+0.00010028i,0.0015013+0.00048633i
-0.00054047-0.00054248i,0.00028483-0.00055229i,0.00092914+0.00095454i,0.0011864+0.0020598i,0.00096985+0.0023092i,0.0012686+0.0017215i,0.00079626+0.00099347i,0.00037988-0.00042139i,0.00046674-0.0013311i,3.8254e-05+0.00036902i,-0.00032281+0.0013015i,0.00020337+0.00059468i,0.0011154-0.00045555i,0.00097606-0.0010171i,-5.9991e-05-0.0012101i,-0.00056186-0.0015719i,-0.00018934-0.0016838i,1.5748e-05-0.0014736i,0.00017472-0.00028368i,0.00016564+0.00088822i,0.00020256+0.00094333i,0.00031471+0.00031478i,0.00040678-0.00014661i
-0.0012434-0.00078254i,-0.00056552-0.0011102i,-0.0001661-0.0017749i,-0.00010537-0.0014713i,0.00012878-0.00015309i,-0.00044806+0.00087736i,-0.0014398+0.00075815i,-0.0014333+0.00027409i,-0.0010235+4.1305e-05i,-0.0010472+0.00044556i,-0.0015541+8.1185e-05i,-0.0010646-0.00049161i,-0.00033106-0.0001334i,0.00016172+0.00086585i,3.5589e-05+0.0011828i,-0.00011314+0.00017764i,0.00032795-0.0007013i,0.00031249-0.00073129i,-0.00045687-0.00022582i,-0.00047582-0.00011214i,1.5905e-05-0.00034449i,6.3654e-05-0.00048665i,0.00043942+0.00014375i
-0.0018233-0.0016052i,-0.0014308+0.00031747i,-0.0014915+0.00066457i,-0.0013077+0.00023322i,-0.00158+0.0012444i,-0.00083222+0.0015952i,0.00042344+0.0010335i,0.0011086+0.0002429i,0.00069592+5.1266e-05i,0.00011829+0.00021414i,8.2705e-05+0.0004694i,0.00053299+0.00044054i,0.00056673+0.00062185i,0.00063537+0.0004539i,-0.00010566-0.00022982i,-0.0013387-0.0004134i,-0.00090248+8.7519e-05i,-0.00012862+0.00025177i,-0.00011446-0.0001623i,-0.0001472-0.00056937i,-0.00043311-0.00037781i,-0.00071949-0.00072617i,-0.00020762-0.0011184i
0.00054314-0.0002425i,0.00069437-0.0013269i,0.00065764-0.00093663i,-9.2418e-05+0.00053761i,-0.00016606+0.0016465i,1.2072e-05+0.0017203i,-0.0004436+0.0012327i,-0.0010151+0.00077684i,-0.00046747-0.00010791i,0.00040836-0.00019903i,0.0012271-0.00016674i,0.0017726-0.00029787i,0.0017082-7.5208e-05i,0.0011865-0.00035593i,0.00046446+0.00011806i,0.00021243+0.00040701i,0.00045164-0.00037731i,5.7945e-05-0.00077627i,-9.3582e-05-0.00092166i,-0.00024049-0.0010461i,-0.000742-0.0006751i,0.00019212-4.6953e-05i,0.00080929+0.0003849i
0.00065562-0.0013931i,-0.00038128-0.0014143i,-0.0014959-0.0009127i,-0.0013736+4.3229e-05i,-0.0010097-0.00020038i,-0.0011319-1.1778e-05i,-0.00058548-0.00011181i,1.3969e-05-0.00056411i,-0.00087788-0.00046565i,-0.00095337+0.00016382i,1.3125e-05+0.0011743i,0.00073004+0.0012748i,0.0012987+0.00072074i,0.00070262-9.879e-06i,6.6743e-05-0.0010653i,0.00010846-0.0011147i,0.00049375-0.00059815i,0.00032691-0.00071258i,-0.00011949-0.0014182i,5.9456e-05-0.0014295i,0.00047555-0.0005571i,0.00067485-3.1597e-06i,0.00065308-0.00077029i
-0.00043118-0.00067602i,-6.0624e-06-0.00014468i,0.00044511+0.00064864i,0.0012541+0.00095509i,0.0017184+0.001278i,0.0010638+0.0010879i,0.0008923+0.00059447i,0.00084956+0.00072859i,-0.00049886+0.00049887i,-0.0013178+7.3703e-05i,-0.00066719+0.00017859i,0.00030314-0.00015591i,0.00057148-0.00045605i,0.00062175-9.1107e-06i,0.00052663+0.00049966i,0.00046021+7.1093e-05i,5.2297e-05-0.00028184i,-0.00056105-0.00041957i,-0.0004105+0.00023633i,0.00045705+0.00060288i,0.00076941+0.00053082i,0.00053184+0.0003224i,-8.7772e-05+0.00020662i
-0.0010514+0.00079118i,-0.00065089+0.0010085i,0.00055976+0.0010867i,0.00018864+0.0012794i,0.00050261+0.0016137i,0.0014825+0.00076427i,0.0011063-0.00024309i,0.00018184+0.00017069i,0.00011869+0.00026925i,-0.00034208+0.00049892i,-0.00031758+0.0011693i,0.00028827+0.00066385i,0.00091127-0.00011428i,0.0007313-0.00040669i,0.00022608-0.00071601i,0.00067868-0.00095726i,0.00062187-0.001195i,0.00021385-0.0010722i,0.00033321-0.00078064i,0.0003817-0.00077927i,0.00015222-0.00085497i,0.00015325-0.00068198i,0.0002347-0.00074112i
-0.00017402+0.0012014i,-0.00075801+0.00091751i,-0.00028281+0.0017076i,-0.00064639+0.0016607i,-0.00089073+0.0013262i,-8.1729e-05+0.0012745i,1.1816e-05+0.00080646i,-0.00043013+0.00027838i,0.00012723+0.00034475i,0.00029904+0.00069595i,-0.00016288+0.00010593i,-0.00012763-8.5607e-05i,-2.4884e-05+0.00035724i,0.00059825+0.00035796i,0.0008311-0.00073203i,0.00056518-0.0011334i,0.00011642-0.00082329i,-0.00014047-0.00057432i,0.00030006-0.0002165i,0.00030207+1.5266e-05i,-2.7525e-05-0.00013649i,-0.00030513-0.00018451i,5.625e-05+0.00024494i
0.0012477+0.00024813i,-1.5503e-05+0.0015668i,-0.00070045+0.0013784i,-0.00095161+0.0010555i,-0.0010134+0.0017554i,-0.00063669+0.0017262i,-9.5296e-05+0.00082164i,0.00077058+0.0004892i,0.00041382+0.00025522i,1.5952e-05+0.00052045i,0.00040432+0.0010048i,0.00070097+0.00086427i,0.00089219+0.0011662i,0.0012904+0.00093653i,0.0015486+0.00039571i,0.00056143+0.00053265i,-0.00016837+0.00035911i,-0.00011156-0.00014622i,-0.00028446+0.00012271i,-0.00057961-2.5166e-05i,5.9946e-05-0.00047594i,0.00060205+0.00016503i,0.00045267+0.00012793i
-0.0008432-0.0018328i,-0.0014024-0.0022797i,-0.0018785-0.0010401i,-0.0018067+0.00098208i,-0.0013617+0.0019249i,-0.0010707+0.0022543i,-0.0005779+0.0015296i,-0.00050954+0.00035014i,-0.00058363-0.00018023i,-0.00048709+0.00030253i,-1.7143e-05+0.00080166i,0.0011015+0.00047903i,0.0017906+0.00012372i,0.001554-0.00035678i,0.00084337-0.00098663i,0.00066144-0.00078901i,0.00040868+3.3799e-05i,0.00041827+0.00026236i,0.000459+9.6335e-05i,-9.2408e-05+0.00022342i,-0.00026797+0.00028091i,0.00028695-0.00012699i,0.00049332-0.00055938i
-0.0019853-1.2174e-05i,-0.00054587+0.0010631i,-0.0010446+0.0022988i,-0.00081057+0.0023466i,-0.00015474+0.0025869i,0.00022385+0.0025552i,0.0010933+0.0010432i,0.00099566-0.00051213i,-5.7575e-05-0.00061448i,-0.0012335+0.00043303i,-0.00078852+0.00095726i,0.00031011-0.0001897i,0.00077884-0.00023737i,0.00042516+0.00028572i,-4.6814e-05-0.00058728i,-0.00033006-0.001212i,-0.00028034-0.0010723i,0.00015308-0.00062102i,0.00029682-3.9343e-05i,0.00049811-0.00013546i,0.00072365+0.00031968i,0.00094634+0.001087i,0.00061225+0.0010434i
0.00069866+0.0014533i,0.000557+0.00098665i,0.0002399+7.4739e-05i,-0.00062011-0.00031899i,-0.0016639-8.0849e-05i,-0.0016202+0.00018952i,-0.0014183+0.00019109i,-0.00072829+0.00015143i,-0.00026057+0.00040695i,-0.00092603+6.3626e-07i,-0.0015123+0.00013152i,-0.00064324+0.00056154i,0.00039417+0.00045365i,0.00049926-0.00041379i,-0.00030733-0.0012416i,-0.00095332-0.0010108i,-3.5567e-05-0.0001365i,0.001122+0.00022696i,0.00054561+0.00014272i,-0.00048735-0.00038539i,-0.00051997-0.00086586i,-0.00024485-0.0007373i,5.0733e-05-0.00010935i
0.0021056-0.0006809i,0.0012819-0.0014744i,0.0020607-0.0015666i,0.0014679-0.0011014i,0.00092804+0.00024227i,0.00090289+0.0014912i,0.00025918+0.0015522i,2.876e-06+0.0012038i,-0.00051063+0.00047886i,-0.0010012+0.00025418i,5.8288e-05+0.00086767i,0.00050213+0.00074174i,0.00042892-0.00023166i,0.0012656-0.00072779i,0.0017285-0.00055976i,0.0016041+0.00018133i,0.0011872+0.00027855i,0.00080199+1.5521e-05i,0.00059451-6.5092e-05i,0.0008003+0.00013595i,0.00067083+1.1435e-05i,5.4454e-05+0.00026381i,-0.00044574+0.00037761i
-0.00034371-0.0013687i,-0.00091981-0.0014454i,-0.0010307-0.00097513i,-0.00097579+6.5625e-05i,-0.00086775+0.00064776i,-0.0003569+0.00095565i,-5.1284e-05+0.0015906i,-0.00020052+0.0013617i,-0.00021915+0.00062163i,-6.3627e-05+0.00049355i,9.1889e-06+0.0010799i,0.00030471+0.001014i,0.0007477-5.9007e-05i,0.0017061+0.00021229i,0.0016261+0.00025144i,0.0011424-9.3233e-05i,0.00080623+2.2103e-05i,0.00022229-0.00039786i,0.00032503-0.00058098i,0.00042016-0.00069565i,0.0004276-0.0006774i,0.00061876-0.00026614i,0.00081059+0.00041889i
-0.00040576-0.001288i,-0.0010551-8.2574e-05i,-0.0013713+0.0014564i,-0.00072275+0.002503i,-0.0007988+0.0022053i,-0.00047434+0.0010582i,7.246e-05+0.00027734i,-4.7214e-05-0.00030189i,-0.00060859-0.00041562i,-0.0010819+0.00016893i,-0.00067058+0.00059728i,-4.4981e-05+0.00028781i,-1.5891e-08-1.0884e-05i,-0.00044952-0.00065326i,-0.00041284-0.0012445i,-8.1889e-05-0.00078321i,-0.00018177-0.00010498i,-0.00029173+0.00065951i,-0.00012482+0.00096889i,-2.3143e-05+0.00028554i,-0.00081774-4.7957e-05i,-0.0012429-0.00056565i,-0.00045078-0.0011764i
-0.0003522-0.0013677i,-0.00039248-0.0011723i,0.00042941-0.00022296i,0.00035631-0.00014004i,8.3127e-05+0.00040315i,-0.00034672+0.0014979i,-0.00073008+0.0013638i,-0.00053838+0.00047534i,-0.00079801-0.00067402i,-0.00020759-0.00045605i,0.00094386+0.00025206i,0.0011761+3.8407e-05i,0.00033261+0.00012536i,-0.00028532+0.00052399i,-0.00038329+0.00068932i,0.00053651+0.00046974i,0.00099394-3.2988e-05i,9.0943e-05-0.00026595i,-0.00028285-0.00059064i,-0.00010422-0.00065141i,-0.0001254-0.00014327i,-5.7698e-05+0.00018699i,0.00019386+0.00037588i
0.0013491-0.00024744i,0.001292-0.00027556i,0.001585+1.8251e-05i,0.00045289+0.0011724i,-0.00082658+0.0017423i,-0.00038318+0.0013372i,0.00043049+0.0010356i,-0.00013031+0.00018351i,-0.00068112-0.00048192i,-0.0010672-0.00047011i,-0.0010593-0.00038044i,-5.4853e-05+4.3686e-05i,0.00097521+0.00033309i,0.00091994-7.9899e-05i,0.00059504-0.0004207i,0.001077-0.00074959i,0.00090118-0.0004286i,0.00011756-0.00059741i,7.4899e-05-0.00083388i,-8.505e-05-0.00042244i,2.6324e-05+0.00032469i,0.00045707+0.00041504i,0.00047356+1.2723e-05i
-0.0026362+0.00040662i,-0.0022666+0.00065498i,-0.00021511+0.0017458i,0.0015933+0.0027229i,0.0019977+0.0027315i,0.0014286+0.0013943i,0.00075259+0.0005137i,-0.00016758+0.00035352i,-0.00066196+6.0537e-05i,-4.8765e-05-0.00010986i,0.00054571-0.00025696i,0.00035707-0.00016518i,-0.00011654-4.7779e-05i,-0.00061147-8.9735e-06i,-0.00079184-0.00061186i,-0.00079451-0.001186i,-0.00053194-0.00086506i,-0.00039448-0.00062474i,-0.0019791-0.00043138i,-0.0019847-1.8023e-05i,-0.00050103+0.000764i,-4.5179e-05+0.00074784i,-1.3656e-06+9.841e-05i
0.00057259-0.0014141i,0.0006238-0.00092886i,0.0012846-0.00068586i,0.00030786-0.0012285i,-0.00090131-0.0012181i,-0.0011192+3.5817e-05i,-3.4182e-05+0.00078309i,0.00068591+0.00013366i,-8.4916e-06+6.6105e-05i,-0.00039267+0.00091042i,-0.00056187+0.00050327i,-0.00016394-0.00013512i,0.0005874+0.00037078i,0.0014594+0.00096344i,0.0015224+0.00047185i,0.0011446-6.352e-05i,0.00098242-0.00042657i,0.00087517-0.00022016i,0.00057103+2.7268e-06i,-0.00015648-2.5331e-05i,-0.00010158+0.0004736i,0.0001096+0.0012786i,-6.6514e-05+0.00083028i
-0.0011002+4.2356e-05i,-0.0011199+0.00035867i,-0.0012729+0.00063255i,-0.00041288+0.002366i,0.00047453+0.0035062i,0.000777+0.0025811i,0.00091016+0.0016625i,0.00020172+0.0006144i,-6.2649e-05+0.00058255i,0.00044849+0.001086i,0.0011633+0.00049421i,0.0011181-0.00020681i,0.00064368+3.9453e-05i,0.00039148+3.4201e-05i,2.0822e-05-0.00085073i,-0.00036521-0.0013943i,-0.00023768-0.0011077i,-0.00067532-0.00023018i,-0.00041221-0.00025557i,0.0002539-0.00077848i,0.00019329-0.00046406i,0.00018591-0.00018468i,-0.00034068-0.00074269i
0.00092601+0.0011532i,-0.00036729+0.001493i,0.00022714+0.0013578i,0.00051864+0.00084937i,5.3947e-05+0.00085597i,0.00070858+0.00086383i,0.0010096+0.00077086i,0.000619-0.00024245i,0.00085105-0.00084819i,-5.5812e-05-0.00046243i,0.00021164-9.8909e-05i,0.00058184-0.00033624i,-3.8092e-05-0.00042474i,-0.00033285+0.00036721i,-0.00030821+0.00055496i,-0.00049502+0.00056422i,-9.324e-05+0.00070161i,0.00045716+4.5023e-06i,-8.0718e-05-0.0004117i,-0.00012759-0.00038693i,0.00055893-0.00041833i,0.00073133+0.00050792i,0.00036092+0.00077482i
-0.00072798-0.0019845i,-0.00094054-0.0012828i,-0.0013493-0.00031037i,-0.0016761+0.00083658i,-0.0017842+0.0022755i,-0.0012162+0.0024628i,0.00030876+0.0013035i,0.0011251+0.00050144i,0.00093636-0.00025985i,0.00062319-0.00058742i,8.2489e-05-0.00039758i,-0.00057638-0.00020086i,-0.00052323-0.0003603i,-0.00053835-0.00060984i,-0.00028529-0.0010813i,-0.00023794-0.0010043i,-0.00033904+0.00021156i,-0.00014302+0.00019442i,-0.0001673-0.00050542i,-0.00061807-0.00023377i,-0.0011236-0.00016411i,-0.00089648-0.00053161i,-0.00077414-0.00046233i
0.0028854+0.00081743i,0.001467+0.00035953i,0.002-0.0016041i,0.0023304-0.0018411i,0.001491-0.0008481i,0.00043999-0.00032977i,0.00039234+0.00015429i,0.00019216-0.00012389i,-0.00047222-0.00062554i,2.564e-05+8.5979e-05i,0.00045557+0.00062922i,-3.1066e-05+0.00025029i,0.00019589+0.00034687i,0.00045682+0.00066359i,0.00036044+0.00089549i,0.00026996+0.00093112i,0.00020128+0.0006779i,0.00026157+0.00029712i,0.00037709+0.0001723i,0.00045443-0.00024804i,0.00065666-0.00086342i,0.00092727-0.00061905i,0.00054465+0.00018301i
-0.0013505+0.0012484i,-0.001458+0.0013376i,-0.0016439+0.0021682i,-0.00087561+0.0024015i,-0.0010888+0.0021166i,-0.00066693+0.0013833i,0.00076582+0.00068386i,0.00088913-0.00013305i,0.00063657-0.0005054i,0.00049732+0.0004293i,0.00011796+0.0013118i,0.00088636+0.00078868i,0.0023969-0.00041341i,0.0019694-0.00015109i,0.00047355+0.00039489i,0.00052929-0.00030875i,0.00073564-0.00081009i,-7.7504e-05-0.00088869i,-0.0005742-0.00042438i,-0.00056443-0.00025368i,-0.00075557-0.00096068i,-0.00070648-0.0010335i,-0.00075402-0.000856i
-0.0017291+0.0010132i,-0.0011473+0.00087225i,0.00042958+0.0017977i,0.00078333+0.0026052i,0.0012409+0.0025366i,0.0013634+0.0020683i,0.00061446+0.0013679i,0.00032226+0.0011222i,0.00021772+0.00074181i,0.00013534+1.3006e-05i,0.00010492-9.4442e-05i,3.6868e-05+0.00068379i,-0.00020733+0.00092046i,-0.00058085+0.00031339i,-0.00067419+0.00014728i,-6.3317e-06-0.00028021i,0.0004356-0.0010604i,0.00040014-0.0002011i,5.0616e-05+0.00092358i,-0.0002728+0.000504i,-0.00011516+0.00061604i,-0.00010016+0.00044106i,-0.00019119-0.00022016i
-5.2374e-05+0.00028292i,-4.691e-05+0.00062994i,-0.00063982+1.4911e-05i,-0.00084487-0.00090365i,-0.0005285-0.00051786i,-0.0016384-0.00013668i,-0.0012231-1.6973e-05i,-3.8742e-05-0.00041164i,6.8771e-05-0.00033564i,-0.00056197+0.00020866i,-7.3863e-05+0.00076679i,0.00077483+0.00073609i,0.001419+0.00016725i,0.001303-5.7607e-05i,0.00050825-0.00027032i,9.4572e-05-0.00028236i,-0.00055882-0.00029785i,-0.00050826-0.00050667i,-0.00011247-0.001074i,-0.00019733-0.0011239i,-0.00041207+0.00015931i,3.1527e-06+0.0006952i,0.00075291+0.00072597i
0.00060579-0.0027715i,0.00031721-0.0029843i,-0.00075759-0.0013769i,-0.0014393-0.00010252i,-0.0011384+0.0013829i,-0.00031361+0.0026733i,0.00062951+0.0024617i,0.00061108+0.0015336i,0.00021061+0.00052817i,-0.000333+0.00052832i,-0.00038585+0.00069799i,0.0004133+0.00036119i,0.00096065-9.771e-05i,0.0011304-0.00029977i,0.00083036-0.00036423i,0.00014569-0.00031796i,3.0053e-05-0.00036605i,-0.00014915-0.00075289i,0.00029996-0.0013342i,0.00087583-0.0012642i,-9.0419e-05-0.0005122i,-0.0004453+0.00017605i,5.9891e-05+0.00032036i
0.0014883+0.000928i,0.00072772+0.00094066i,0.0015213+0.0016001i,0.0019479+0.0015512i,0.0014209+7.0116e-05i,0.00085096+0.00027853i,0.00061864+0.00063551i,0.00036672-0.00011372i,-0.0005513-0.00064323i,-0.00071653-0.00074515i,-0.00022044-0.00098784i,-2.5772e-05-0.00096552i,0.00017541+0.00023325i,0.00071899+0.0010347i,0.00014408+0.00070346i,-0.00029236+0.00015998i,0.0001767-4.5193e-05i,0.00057608-0.00040485i,0.0010846-0.00099908i,3.7633e-05-0.00070607i,-0.0014711-0.00014614i,-0.00085139+3.7267e-05i,-0.00024072+0.00092439i
-0.0016414+0.0029732i,-0.0007909+0.002702i,-0.0004726+0.0033563i,0.00042147+0.0028277i,0.001114+0.0016951i,0.0004523+0.0014913i,-0.00010235+0.00097773i,-0.00023952+0.00059027i,-0.00049883+0.0011067i,-0.00062871+0.001208i,0.00018284+0.00053285i,0.0012567+0.00017985i,0.0015881-0.00037099i,0.0011075-0.00018574i,0.0005836-0.00024218i,0.00045317-0.00051843i,0.0010287-0.00058958i,0.0013158-0.00066038i,0.00043682+0.00021683i,-0.00049966+0.00040551i,-0.00095415+0.00024876i,-7.1897e-05+0.00047328i,0.0002666+9.6254e-05i
-0.0027039-0.0029263i,-0.0028671-0.002282i,-0.0041437-0.0012448i,-0.0043396+0.00019655i,-0.0027104+0.001619i,-0.00038359+0.0018829i,0.00043829+0.0012177i,0.00055555+0.00049609i,0.0003852+0.00020867i,8.1478e-05+0.00069243i,0.00057909+0.00083044i,0.0010128+0.00042511i,0.00096301+0.00093904i,0.00076464+0.00071534i,0.00031251-3.1069e-05i,-0.00073462-0.00033314i,-0.0010817-0.00014203i,-0.0005864-0.00049357i,-0.00033673-3.9308e-05i,-0.00052574+0.00082806i,-0.00067533+9.9919e-05i,-0.00088623-0.00050972i,-0.00083806+1.3039e-05i
-0.00034483-0.00075916i,-0.00089348-0.00065125i,-0.0014397-0.00036101i,-0.0019167+0.001183i,-0.0018037+0.0017409i,-0.0011753+0.0017569i,-0.00051595+0.0011637i,-0.00034267-0.00017844i,-0.00030218-0.00060919i,-0.00028176+5.9873e-06i,0.001022+0.00050517i,0.0017768+0.0006171i,0.00046146+0.00050758i,-0.00042898+0.00061073i,0.00025691+0.00054335i,0.00046416+0.00015224i,-0.00040199-0.00028532i,-0.00012486-0.00054128i,0.00065015-0.00066821i,0.00069963-0.00026885i,0.00046326+0.00047914i,0.00066469+0.0012665i,0.00061799+0.00084599i
0.0017235-0.00012563i,0.0015276+0.00016771i,0.00070323+0.00090618i,0.00043915+0.0015984i,0.00043798+0.0014892i,2.2698e-05+0.0014428i,0.00013619+0.00054437i,0.00045641-0.0004801i,0.000377-0.001219i,0.00031193-0.0012797i,0.00013822-0.00045535i,-0.00026532+0.00039824i,0.00012624+0.00071558i,0.00097033+6.4542e-05i,0.0007226-0.00039547i,1.2125e-05-0.00069006i,0.00034884-0.00057056i,0.00083171-3.6856e-06i,0.00086074+0.00042911i,0.00037968+0.00045269i,7.5792e-05-0.00017581i,0.00056507-0.000658i,0.00091484-0.0002342i
-0.0011918+0.0011234i,-0.001594+0.00059031i,-0.0017964+8.5434e-05i,-0.0013466+0.00017925i,-0.0014957+0.0011245i,-0.001687+0.0017206i,-0.00084647+0.0014087i,-0.00023984-0.00017101i,-8.1495e-05-0.00075403i,-0.00015934+0.0004758i,-0.00012529+0.00065599i,0.00044856+0.00028298i,0.00074915+8.5625e-05i,0.0007574-0.00027456i,0.00079739-0.00050522i,0.001003-0.00097946i,0.00069708-0.0011488i,9.6482e-05-5.4143e-05i,-0.00051487+0.0009002i,-0.00058204+0.0011837i,0.00013719+0.0011671i,0.00055868+0.00085043i,0.00057075+0.00067052i
0.00052017-0.0021367i,-0.00067255-0.0010514i,-0.0012962-0.00015057i,-0.0022802+0.00093705i,-0.0016302+0.0014749i,0.00012495+0.001651i,0.00072496+0.0009564i,0.00037994+0.00031892i,5.6241e-05+0.00062437i,-0.00034493+0.0010151i,-0.00046837+0.00054191i,-2.4386e-05+0.00078429i,0.00051274+0.00071276i,0.0015925+0.00041741i,0.0014247+5.9715e-06i,3.6816e-05-0.00082965i,-0.00024341-0.00094713i,0.00054286-0.0011839i,0.00072159-0.0012161i,0.00058609-0.00063107i,0.00043594+0.00026494i,-0.00049434+0.00074054i,-0.00057302-0.000106i
0.0022368-0.00094133i,0.0022267-0.00064756i,0.0025639-0.00080726i,0.0015644-5.1049e-05i,-0.00078605+0.00080218i,-0.0018388+0.00069404i,-0.00082768+0.00074439i,0.00046225+0.0005504i,0.00035538-8.4597e-05i,-0.00013255+0.00059515i,0.00019994+0.001007i,0.00085423+0.00073977i,0.0011128+0.001414i,0.0008044+0.0013034i,0.00039522+0.0010303i,4.4452e-06+0.00071983i,-5.7942e-05-1.5853e-05i,-0.00016827-0.00057243i,-0.00049996-0.00084136i,-0.00031717-0.0010173i,-6.6247e-05-0.00087199i,-0.00029291-0.00050193i,-0.00044671-0.00013092i
0.0009578+0.0015568i,0.0006634+0.00057144i,0.0007684+0.001328i,0.0016629+0.00154i,0.0015445+8.8442e-05i,0.0011451-0.00030932i,0.0011819+0.00010073i,0.001352-0.00014474i,0.00064452-0.00016008i,-0.00023814-0.00010904i,-0.00035889+0.00050728i,-0.00025943+0.00053741i,0.00027684-0.00018915i,0.00048561-0.00044805i,7.3339e-05-0.00020231i,-0.00030478+4.8306e-05i,0.00040203+7.5947e-05i,0.00057151-0.0002413i,0.00024229-0.00080867i,-4.2608e-05-0.00052414i,-3.3977e-05-0.00022845i,-0.00017446+0.00010079i,-0.00092859+0.00077658i
-0.00094396+0.0024958i,0.00012379+0.0012798i,0.00075388+0.0009037i,0.00073487+0.00057461i,0.00068198+0.00031007i,1.6473e-05-0.00014319i,0.00026214-6.8009e-06i,0.00053116+0.00023447i,-0.00047892+3.0889e-05i,-0.00086673-0.00016553i,-0.00061327-0.00089803i,9.6901e-05-0.0017153i,0.00018562-0.0011228i,-0.00034017-0.00041234i,-0.0011354-0.0003973i,-0.0014782-0.00051195i,-0.00054261-0.0012239i,0.00017796-0.00082827i,0.00037897-0.00022503i,0.0002854-7.5559e-05i,-4.7177e-05+0.00022441i,-0.00017108+0.00030491i,0.00029077+4.6877e-05i
-0.0031824-0.0031234i,-0.0042899-0.0025868i,-0.0054621-0.00014674i,-0.0040669+0.0031516i,-0.001574+0.0049238i,0.00033704+0.0039636i,0.0012332+0.0016399i,0.00092519+0.00090056i,3.0366e-05+0.0012041i,-0.00082713+0.00059138i,-0.00032364-8.5399e-05i,0.00067038-0.00057447i,0.0011112-0.0012488i,7.8546e-05-0.0012592i,-0.0011585-0.0016993i,-0.0010173-0.0012596i,-0.00038134-0.00049592i,-0.00014364-0.00031857i,-0.00059938+0.00014494i,-0.00029776+0.0012375i,-0.00039908+0.0017734i,-0.0012122+0.00060539i,-0.00049501-0.00041266i
-0.00083732+0.00011215i,-0.00030384+0.00015917i,0.0015397+0.0014624i,0.0014129+0.0021669i,0.00026424+0.0016729i,-0.00028378+0.00057542i,-0.00058865+0.00079578i,-0.00116+0.00093711i,-0.0018669+0.00064143i,-0.0021018+0.00027196i,-0.00093884+0.00025273i,0.00071931+0.00063231i,0.0010299+0.00057543i,0.0013111+0.00030366i,0.00083758-0.00040306i,3.7081e-05-0.00053001i,0.00075573-9.0697e-05i,0.0016206-0.00026663i,0.0014456-0.0007919i,0.00063967-0.00042044i,5.0991e-05-0.00036907i,0.00034598-0.00039794i,0.00053489-0.00065357i
0.0010385-0.0018738i,0.0012318-0.0018893i,0.0004215-0.0022553i,-0.00059298-0.0014777i,-0.0015682+0.00044278i,-0.0011465+0.0020453i,0.00058333+0.0017349i,0.0012354+0.0006075i,0.00025741+0.00011917i,-0.00059447+0.00073431i,-0.00092674+0.0014639i,-0.00053516+0.0020627i,0.0013458+0.0020214i,0.0018758+0.0012928i,0.0018262+0.00070397i,0.0010585-0.00025827i,-0.00035045-0.00098042i,-0.0004676-0.0015244i,-0.00086026-0.0010608i,-0.00064822-1.1343e-05i,0.0001759+0.00030879i,5.8818e-05+0.00023515i,-0.00024344+7.6528e-05i
