-0.0013173-0.00028982i,-0.0023228+0.00070725i,-0.0034089+0.0014125i,-0.001982+0.00073762i,-0.0014581+0.00082404i,-0.0018414+0.0013656i,-0.00096021+0.0014263i,0.00041076+0.0013316i,0.0011284+0.0011836i,0.0011087+0.00021185i,0.0010639-0.00032466i,0.00070819-0.00042964i,0.00065621-0.0011602i,0.00050856-0.00098184i,0.00053676+0.00035685i,0.00031758+0.00050115i,-0.00030827-0.00052049i,0.00044327-0.0010331i,0.0008326-0.00031293i,2.948e-05+0.00035335i,-0.00034927+0.00068476i,-0.00060834+0.00017445i,-0.00032688-0.00020592i
-0.00097506-0.0026064i,-0.0020803-0.0027545i,-0.0014627-0.0019632i,-0.00064423-0.0011203i,2.9322e-05-0.00016014i,0.00026341+0.000388i,-0.00012339+0.00073447i,-0.00023085+0.00076632i,0.00013715-0.00024143i,0.00022825-0.00087706i,-0.00015258-0.00075155i,-0.00028171-0.00035897i,-0.00011211-6.6831e-05i,-0.00080382-0.00015462i,-0.00070779-5.9392e-05i,-1.3183e-05+0.00036145i,-0.00082743+0.00011188i,-0.00062797-0.00026257i,8.8767e-05-0.0008051i,0.00079847-0.0011683i,0.00085191-0.00052176i,-0.00030968-0.00048142i,-0.00048894-0.00052297i
0.0009535+0.0011874i,9.6829e-06+0.0026781i,0.00092437+0.0022808i,0.00073348+0.00069988i,-0.0011556+0.00036981i,-0.0023514+0.00092161i,-0.0015942+0.00097594i,-0.0004669+0.00080483i,0.00081945+0.00037408i,0.0014972-0.0003948i,0.0011936-0.00034627i,0.0003622+0.00030875i,-0.00075514+0.0010657i,-0.0011086+0.0015322i,-0.00072118+0.00072177i,-8.3728e-05-0.00044991i,-7.3039e-05-0.0006114i,-3.8415e-05-0.00068656i,0.00068043+1.1818e-05i,0.00055264-0.00012564i,0.00024087-0.00066778i,0.00025176-0.00019947i,0.00035469+0.00053749i
0.00020362+0.00023735i,-0.00087329+0.00012768i,-0.00074801+0.00097709i,0.00070433+0.0016614i,0.0017536+0.00022135i,0.00073594-0.0011157i,-0.00066403-0.0005062i,-0.0010356+0.00093377i,-0.00040099+0.0012955i,3.6705e-05+0.00073388i,0.00019339+0.00044769i,0.00075185+0.00017772i,0.0010624-8.7468e-05i,0.00037905-8.0086e-05i,-0.0008529+0.00056483i,-0.0012581+0.00068948i,-0.00043142+0.00023453i,1.6112e-05+0.00014244i,0.00043317+0.00033866i,0.00053074+0.00012372i,7.6213e-05+0.00016294i,-0.00060733-0.00015425i,-0.0010604-0.00015926i
-0.0012465-0.0034901i,-0.0031592-0.0039292i,-0.004193-0.0037559i,-0.0036425-0.0021808i,-0.0025643-0.00093786i,-0.00085645-0.00084628i,0.00056772-0.00062913i,0.00075863-0.00031123i,0.00051974-0.00033386i,0.00046046-0.00017167i,-0.00055527+0.00038679i,-0.0007231+0.00010293i,0.00030298+8.7809e-05i,0.0013393+0.00069854i,0.0018244+0.00047972i,0.00094663+0.00022117i,0.00037148+0.00013789i,0.00048631-0.00012383i,0.00067486+0.00027766i,0.00049794+0.00059994i,0.00018287+0.00054632i,-7.5908e-05+0.00021953i,-0.0005059+0.00010543i
-0.001249-0.00028988i,-0.00075612+0.0014643i,-0.00075108+0.0035549i,0.00015167+0.0038341i,0.00067929+0.002619i,0.00067422+0.0016965i,0.00049545+0.00052957i,-0.00035958-0.0001508i,-0.00075235+0.00030608i,0.0003916+0.00093079i,0.00088674+0.00094386i,0.00038682+4.0055e-06i,0.00036877-0.00013291i,0.00080318-0.0002216i,0.0013652-0.00080403i,0.0018157-0.00029455i,0.001401+0.00039042i,5.8276e-05-5.3644e-05i,-0.00010268+0.00012052i,-0.00050788+0.00016809i,-0.00070093-5.0625e-05i,-0.00017734-0.00046488i,-0.00053019-0.0012865i
-0.0027217+0.00033862i,-0.0041216+0.001865i,-0.0046876+0.0033318i,-0.0033501+0.0026914i,-0.00096397+0.0012233i,-0.00054033+0.00061745i,-0.00041402-5.1115e-05i,-0.00047449-0.00072528i,-0.00075483-0.0012743i,-0.00067963-0.00083036i,-2.1383e-05+0.00018787i,0.0014399+0.00082169i,0.0023722+0.00036872i,0.0019409-0.00075012i,0.0011386-0.0010825i,0.00051235-0.00050215i,0.00017135-0.00055614i,0.0001398+1.1838e-06i,-0.00031563+0.00063377i,-0.00063333+0.00077694i,-0.00029895+0.00032081i,-0.00032047+0.00022645i,-0.00071813-0.00017405i
-0.0020603-0.0026568i,-0.0026734-0.0011502i,-0.0016457+0.00029531i,0.00015679+0.0010299i,0.0006605+0.0013997i,-0.00049435+0.0015136i,-0.0012115+0.0016533i,0.00011312+0.0012497i,0.00066168+0.00044839i,8.5414e-05-0.0001454i,0.00044378-0.00010998i,0.00087512+0.00011483i,0.00054858-0.00076706i,0.00073027-0.0012278i,0.00053168-0.0001795i,-0.00048802+4.9415e-05i,-0.0011016-0.00062135i,-0.00044741-0.00052638i,-4.8204e-05-1.2625e-05i,-0.00027031+0.00022611i,-0.00062578-0.00030911i,-0.00033089-0.00089453i,0.00026295-0.00030289i
-0.0017179-0.0022815i,-0.0020866-0.0012119i,-0.0014039-0.00068994i,-0.0010045-0.00033229i,-0.0009604+0.00036316i,-0.00033161+0.00066873i,9.3361e-05+0.00074698i,0.0004839+0.00071848i,0.00023087+0.00059044i,-0.00017697+0.00040315i,-8.7313e-05+0.00015666i,-0.00053341+0.00027563i,-3.1969e-05+0.00042145i,0.00067211+0.00056349i,0.00023933+0.0001415i,-0.00054648+5.2147e-05i,-0.00065464+0.00063535i,-0.00056114+0.00034452i,-0.00022444-0.00076689i,0.00051474-0.00078949i,0.00040919-0.00020338i,-0.00015913+0.00010238i,0.00033538+0.00015624i
-0.0019149+0.0015382i,-0.0011372+0.0034002i,-0.00016862+0.0050935i,0.00017325+0.0045927i,0.0017387+0.0019492i,0.0015841+0.00059671i,-0.00029758+0.00085405i,-0.0012682+0.0011765i,-0.00051059+0.0010372i,0.00052012+0.0011192i,0.00016244+0.00056241i,3.9795e-05+0.00014103i,0.00029088-0.00018383i,-0.00018054-0.0012522i,-0.00079641-0.0015807i,-0.00040446-0.0010525i,0.00050702-0.00056229i,0.00036968-0.00031431i,0.00028727+2.8958e-05i,0.0006697-4.9154e-05i,0.00094692-0.00054791i,0.00031159-0.00086498i,-0.0005443-0.00025282i
-0.0013438-0.00095589i,-0.002905-0.0014003i,-0.0031152-0.0016636i,-0.002217-0.0022101i,-0.0013959-0.001221i,-0.0011103-0.00050413i,-0.00046188+0.00022472i,-0.00012295+0.00032801i,3.0591e-05+0.0001203i,0.00028732+0.00031195i,-0.00030227+0.00043451i,-0.00060628+0.00050528i,-9.3948e-05+5.4095e-05i,-7.8591e-06-0.00064233i,-0.00017221-0.0004822i,-0.00061757+0.00027168i,-0.00082666-0.0001739i,-0.00023693-0.00058907i,-0.00010806-0.00038981i,-0.00041219-0.00036428i,-0.00043429-0.00036728i,0.00037993-0.00044479i,0.00042043-0.00026417i
-3.4456e-05+0.00098538i,-5.2573e-05+0.0019456i,0.0010347+0.0024198i,0.0015977+0.0025448i,0.00078124+0.00205i,-0.00076189+0.00081034i,-0.001806+0.00048954i,-0.0012452+0.00018268i,-0.00018721-0.00040707i,0.00027394-0.00059459i,0.00038806-0.00089753i,-0.0003898-0.00098919i,-0.0011914-0.0005432i,-0.0010253-5.4112e-05i,-0.00036616-4.4905e-05i,0.00014105-0.00037114i,0.00055586+6.4996e-05i,0.00051146+0.00022493i,-0.00037026-0.00012596i,-0.00049183-0.00023328i,0.00031641-0.00026417i,0.00050897-0.0004216i,0.0002346-0.00054864i
-0.00073696-0.00068045i,0.00050705-0.00023497i,0.00038092+0.00023543i,2.8531e-05-0.00014268i,-0.00052676-5.5907e-05i,-0.000605+0.00019138i,0.00038602+0.00074738i,0.0014573+0.00075542i,0.0013209+0.0002923i,0.0004324+0.00052995i,-0.00012701+0.00067123i,-0.00026884+0.00049688i,4.3908e-05+0.00031478i,-0.00057062+0.00013205i,-0.00085515-0.00039494i,-0.00024783-0.00080891i,6.8238e-05-0.00027366i,0.00032791-0.00053097i,-0.00015059-0.00028929i,-0.00066138+0.00033394i,-0.00052346+0.00033133i,-0.00011154-4.5514e-05i,-2.2634e-05-0.00072084i
-0.0023912-2.3352e-05i,-0.0040153+0.00019315i,-0.0037479+0.00060008i,-0.002522+0.00062438i,-0.0014921+0.00094319i,-0.00095748+0.0020709i,-0.00061208+0.0026812i,-0.00079306+0.0022354i,-0.00058076+0.00081147i,-0.00016104+0.00033501i,-0.00011973+0.00067546i,-0.00079916+0.00049478i,-0.00071361-0.00031792i,-0.0003596-0.0011949i,-0.00024963-0.0013723i,0.00019844-0.0011008i,0.00049882-0.00021218i,0.00015283+0.00077061i,-0.00027698+0.00093222i,-1.8295e-05+0.0002438i,0.00043925-0.00026311i,0.00036452-2.6824e-05i,0.00012017-0.00020688i
-0.001734-0.0016198i,-0.0018365-0.00145i,-6.844e-05-0.00044484i,0.00036113-0.00089664i,0.00044947-0.0012851i,0.0010468-0.00028187i,0.00070822+0.00066244i,0.00043659+0.001183i,0.0003353+0.00037632i,0.00034541-0.00016891i,-4.4052e-05+0.00059731i,-0.00041576+0.00042696i,-9.0944e-06+0.00024042i,9.717e-05+0.0002041i,-0.00029974-2.9328e-05i,2.0232e-05+0.00073865i,0.0011412+0.00069509i,0.0014518-0.00021492i,0.00083856-0.00038946i,0.00015537-0.0002744i,-0.00018729-0.00063512i,-1.2227e-05-0.0007674i,0.00063818-0.00024461i
0.0017114+0.0012595i,0.00081571+0.0012369i,0.00082382+0.0011688i,0.0011071+0.001176i,0.00032237+0.0012445i,-0.0010743+0.00067679i,-0.0015659+0.00075371i,-0.0011319+0.0010493i,-0.00044483+5.2631e-05i,0.00027021-9.1763e-05i,0.0010333-0.000175i,0.0011563+8.5132e-05i,0.00098736-0.00017948i,9.4105e-05-0.00072313i,-0.00062873-0.0005107i,-0.00092039-7.2656e-05i,-0.00069907-0.00039219i,-0.00025852-0.00093028i,-0.00059214-0.0008188i,-0.00056954-0.00014073i,9.0818e-06+0.00032234i,0.00058845+0.00055978i,0.0011724+0.00078655i
-0.0011901-0.00028995i,-0.0022803+0.001816i,-0.0028579+0.0027614i,-0.0026213+0.0017393i,-0.0021504+0.00035989i,-0.0014182+0.00044658i,-0.00041309+0.0012409i,0.00029776+0.0007337i,0.0011928+9.1219e-05i,0.0010328+0.00023012i,0.00056816+0.00054775i,0.00042596+0.00083466i,0.0006389+0.00094517i,0.00067209+0.0001911i,-0.00025151-0.00055691i,-0.00063991-0.00092302i,-0.00042638-0.00067829i,-0.00027853-0.00028605i,0.00018163+3.8599e-05i,0.00056591+0.00030857i,0.00076328+0.00038294i,0.00097183-0.00047259i,0.00042584-0.00081218i
-0.0015867+0.0006488i,-0.00049756+0.00076406i,0.00050141+0.0008456i,0.00071445+0.0013159i,0.00030415+0.0015582i,9.026e-05+0.00066867i,-0.00086897-7.5435e-05i,-0.0017614+0.00028207i,-0.0012451+0.00054638i,-0.0002011+0.0006269i,0.00042944+0.00068937i,0.00069671+0.00056434i,0.0010282+1.7751e-05i,0.00065318-0.00073921i,-0.00027012-0.0017419i,-0.00071523-0.0017148i,2.9002e-05-0.00046971i,-9.5813e-06-0.00047998i,-0.00087666-0.00084441i,-0.00091383-0.00062757i,-0.00051088+0.00046587i,-0.00065437+0.0012579i,-0.00051985+0.0010703i
-0.0025956+0.00091264i,-0.002607+0.0024775i,-0.0015169+0.0021637i,0.0006261+0.0012358i,0.0010368+0.00074076i,-0.0006064+0.00098026i,-0.00069249+0.0017226i,9.8477e-05+0.0010591i,-0.00012123-2.4001e-05i,-0.00020747+7.9864e-05i,0.00019482+0.00087624i,0.0010017+0.00044183i,0.00064466-0.00060889i,-0.00033057-0.00066276i,7.6643e-05-0.00063864i,0.00060538-0.00081794i,0.0004852-0.00048547i,4.2499e-05-0.00021095i,-0.00050405+0.00017986i,-0.000373-0.00026446i,-8.1239e-06-0.00046349i,-0.00052396-0.00016294i,-0.00023548-0.00020611i
-0.0021942-6.9716e-05i,-0.0025969+0.0012093i,-0.00191+0.0032012i,-0.00069007+0.0035236i,0.00030564+0.0022601i,0.00057171+0.0003531i,-0.00017638+5.0557e-05i,-0.0012493+0.0010545i,-0.00037684+0.0012806i,0.0010705+0.0012018i,0.0010582+0.00053396i,0.0006892-0.00052746i,0.0009025-0.00030951i,0.0012394-0.00067411i,0.00071415-0.0017679i,0.00036133-0.0011719i,0.00073767-0.00057026i,0.00064449-0.00093728i,0.00015478-0.00062913i,-0.0004037-0.00035878i,-0.0010377-0.00070748i,-0.0010001-0.00039212i,-0.00056524+3.5116e-05i
-0.0019813-0.00053235i,-0.002521-0.00088784i,-0.0012013-0.0009293i,-0.00041685-0.00030229i,-0.00061319-7.3205e-05i,-0.0010756-0.00026945i,-0.0017095+0.00038524i,-0.00082144+0.00060979i,-0.0001162+0.00038647i,2.0442e-05+7.4725e-05i,-8.0622e-05-3.443e-05i,-0.00075784+0.00015184i,-0.00053031-0.00059168i,-0.00027459-0.0016297i,-0.00016921-0.0014576i,-0.00013262-0.00025886i,5.3183e-05+4.7954e-05i,0.00096437+0.00017267i,0.0011681+7.2296e-05i,0.00066069-3.746e-05i,0.00072346+0.00010679i,0.0013121-0.00066899i,0.00095952-0.00063417i
0.00085562-0.001229i,0.00062282-0.00062418i,0.00051438+0.00056355i,0.00054959+0.00023265i,-0.00012176+0.00043142i,-0.0012024+0.0017227i,-0.0014336+0.0021328i,-0.00080469+0.0013923i,-0.000217-0.00032028i,2.7217e-05-0.0012645i,-0.0001669-0.00079643i,0.00016236-0.00057807i,0.000297+0.00018859i,-0.00017431+0.00055585i,-0.00034974-4.8509e-05i,-0.00020005+0.00023837i,-0.00060196+0.0012321i,-0.00085573+0.0004296i,-0.00035643-0.00067065i,7.5162e-05-0.00081511i,-0.00041201-0.0011319i,-0.00047939-0.00047129i,-0.00027535+0.00012955i
-0.0017493-0.0013454i,-0.0045494-0.00077985i,-0.0058889-0.00013344i,-0.0040702+0.00037239i,-0.0016363+0.00051017i,-0.00070928+1.2273e-05i,-0.00062896+0.00030679i,-0.00069897+0.0010252i,-0.00048214+0.00084032i,-0.00047646+0.0001893i,-0.00034611+0.00045373i,0.00016086+0.00065965i,0.0004999+0.0003804i,0.00089184+0.00046608i,0.0006356+0.00088022i,8.3255e-05+0.00073738i,-0.00028863+0.00036931i,-0.00079064+0.00016725i,-0.00083109+0.00031403i,-0.00066132+0.00041926i,-0.00045295+0.00032815i,0.0001565+0.00079495i,0.00030919+0.0013368i
0.00059038+0.0011044i,-0.00042734+0.0027381i,0.000532+0.0024821i,0.0012904+0.0022163i,0.00087368+0.0022229i,-0.00029313+0.0022618i,-0.00076366+0.0019213i,-0.00041957+0.00067728i,-0.00064606-0.00021457i,-0.00013812+0.00019568i,0.00099529+0.00043481i,0.0012891-0.00016072i,0.0012371-0.00040104i,0.00065397+1.3846e-05i,6.3418e-05+0.00010802i,-0.00057883-0.0010012i,-0.0013008-0.0016438i,-0.0010615-0.0012663i,4.6585e-05-3.2232e-05i,0.00050486+0.0013115i,0.00054574+0.0012635i,0.00058309+0.00078139i,0.00031799+0.00018586i
-0.0016825-0.0027251i,-0.0013562-0.0025759i,-0.0016693-0.0022711i,-0.001361-0.0014811i,-0.00083378-0.00046272i,-0.00059168+0.00017379i,-0.0003255+0.00061418i,0.0001725+0.00012738i,0.00036574-6.4199e-05i,-0.00040755+0.00049722i,-0.00071731+0.00048419i,8.8313e-05-0.00012481i,0.0010464-4.5217e-06i,0.00017558+0.00021188i,-0.000627-0.00018408i,-0.00041924-0.00091033i,-0.00049059-0.0012648i,-0.00041193-0.00073394i,-0.00098006-0.00060973i,-0.0011634-0.00047175i,-0.00073083+0.00039923i,-0.00021772+0.00046572i,0.00055014-1.9587e-05i
-0.0012344-0.00086452i,-0.0024654-9.6873e-05i,-0.0025859+0.0011421i,-0.0021517+0.0016456i,-0.0012114+0.0015526i,-0.00089857+0.002172i,-0.00045044+0.0022748i,0.00038687+0.0011085i,0.00050797-0.00025223i,0.00068212-3.5942e-05i,0.00069582+0.00055579i,0.00043267+0.00097914i,0.00038564+0.0010603i,-0.00041837+0.00066744i,-0.0012511-0.00024557i,-0.00030259-0.00096444i,0.00056943-0.0010752i,0.001064-0.0010612i,0.00088188-0.00016907i,0.00066725-9.6818e-05i,-3.067e-05+0.00018199i,-0.0007772+0.00015884i,-0.00095482-0.00046131i
0.00058061-0.0010483i,0.00052087-0.0013954i,-0.00051981-0.0014127i,-0.0016929-0.00098827i,-0.0019095-0.00034172i,-0.0013945-5.0427e-05i,-0.00037863+0.00021664i,0.00011429+0.0006248i,0.00016241+0.00049793i,0.00013861+0.00069861i,-0.00034305+0.00098605i,-0.00086189+0.00040674i,-0.00036901+9.7507e-05i,-0.0002253+0.00019418i,0.00088502+1.431e-05i,0.0017226-0.0001706i,0.0007935+8.9545e-05i,-0.00038667+0.00072599i,-0.00090573+0.00080091i,-0.00040264+7.5763e-05i,-4.4651e-05-0.00036079i,-0.00017379-0.00036344i,0.00035338-0.00029653i
-0.0013408+0.00083026i,-0.0024041+0.00067965i,-0.0020879+0.00011445i,-0.00053619+0.0009339i,0.00093943+0.0014706i,0.0008873+0.0015199i,-0.00035903+0.001118i,-0.00093122+0.00039958i,-7.1925e-05-0.00026035i,0.0010327-0.0011571i,0.0013331-0.0010578i,0.0010731-3.7062e-05i,0.00035499-0.00046419i,0.000666-0.00072032i,0.0010191-0.00019021i,0.00046359+0.00038519i,0.00024015+0.00063456i,0.00011102-3.8203e-05i,-9.6097e-05-0.00067196i,-0.00012849-0.0010427i,0.00051846-0.0010627i,0.00080433-0.00092081i,0.00013296-0.00037871i
-0.00061915+0.0024388i,0.00030809+0.003411i,0.0017138+0.0040938i,0.0014759+0.0022871i,0.00035594+7.1896e-05i,-0.00069423-0.0016955i,-0.00080437-0.001334i,-0.0010488+0.00031036i,-0.0008794+0.00084858i,0.00044661+0.00052365i,9.5675e-05-0.000231i,-0.00040991-0.00032555i,0.00013144-1.4553e-05i,-0.00071805-0.00055417i,-0.0016129-0.0011963i,-0.0013236-0.0010049i,-0.00023061-0.00011005i,-0.00036685+0.00015456i,-0.00014924-0.00084581i,0.00069708-0.00083719i,0.00054832-3.918e-06i,0.00022615-0.00040335i,-0.00010941-0.0012467i
-0.00077878-0.0015309i,-0.00053357-0.0024566i,0.00018668-0.0025621i,-0.00027233-0.0016223i,-0.00094301-0.00067945i,-0.0017158-0.00024697i,-0.0017507+0.00073199i,-0.00093087+0.00092619i,-0.00044981+0.00023579i,-0.00033939+0.00035886i,3.1595e-05+2.8746e-05i,-0.00013323-0.0004057i,-0.00036871-0.0010465i,-0.0008612-0.001034i,-0.0016138+0.00028165i,-0.0017526+0.00068219i,-0.0013406+8.8169e-06i,-0.00034465-3.7806e-05i,0.0005099+0.00039618i,0.00033186+0.00094612i,0.00010285+0.001234i,0.00015949+0.0010283i,-6.0456e-05+0.00060719i
-0.00020877+4.1011e-05i,-0.0023197+0.00027313i,-0.0023434+0.0007924i,-0.0010331+0.00034971i,-0.00047664-7.5341e-05i,-0.00086372+0.00071526i,-0.00041366+0.0019654i,0.00077935+0.0020436i,0.0012641+0.0012808i,0.00018648+0.00072996i,-6.7379e-05+0.00025015i,0.00063687+0.00016244i,0.00025767+0.00041235i,-0.001168+0.00054105i,-0.0016055+0.00014909i,-0.00077493-0.00033796i,-0.00034521-2.6653e-05i,-0.0005957+6.4826e-05i,-0.00069953-2.4331e-05i,-0.00043771+0.00077807i,0.00012256+0.0005705i,0.00047649-0.00017318i,-0.00018366-0.00021295i
0.00041692+0.00061103i,-0.00027526-0.00022134i,-0.0006481-0.00027092i,0.00031253+0.00070217i,0.00076511+0.0016617i,0.00073316+0.00064491i,0.00012254+4.8637e-05i,-0.00052091+0.00035546i,-0.0001694+0.00018239i,0.00052993+0.00084599i,0.00077416+0.0016052i,0.0011393+0.0015501i,0.00074442+0.0012543i,0.0002605+0.00037223i,0.00031987-0.00069563i,5.1264e-05-0.0013227i,0.00042008-0.00099043i,0.00049163-0.00037628i,-0.00042807-0.00046917i,-0.0010913-0.00059054i,-0.00096553-0.00079948i,-0.00044496-0.00046887i,-0.00018582-0.00016912i
-0.0025506+0.00054709i,-0.0028526+0.00079793i,-0.0032417+0.00077111i,-0.0018929+0.00048283i,-0.0014516+9.5431e-05i,-0.002397+0.00084627i,-0.002059+0.0019705i,-0.0013123+0.0013835i,-0.00062684+0.00044347i,9.328e-05+0.0004035i,0.00013804+0.00034182i,-0.00036751-6.2516e-05i,-0.00028096-0.00089085i,-6.833e-06-0.0018486i,0.00073819-0.0018409i,0.00089227-0.00069404i,-7.4157e-06-0.00044777i,0.00023692-0.00081487i,6.4372e-05-0.00019475i,-0.00012217-0.00020476i,0.00050603-0.00074593i,0.0001536-0.0005516i,-0.00074623+6.4406e-05i
0.00035657-0.0019368i,-0.0004197-0.00049123i,-0.0013289-0.00060043i,-0.0015361-0.00022739i,-0.00078703+0.0014738i,-9.6961e-05+0.0020499i,-0.00060535+0.0011109i,-0.0010142-6.2153e-05i,-0.00091895-0.0010017i,-0.0010431-0.00039979i,-0.00097802+0.00012107i,-0.00042157-0.00076939i,0.00062257-0.001524i,0.0010631-0.00069191i,0.0013058+0.00056737i,0.0016094+0.00095544i,0.00049702+0.00065265i,-0.00034932-5.6011e-05i,-0.00023817-0.00050117i,0.00052409-0.00085866i,0.00092471-0.00072709i,5.3855e-05-0.00044045i,-0.00080298+0.00012062i
-0.0012086-7.886e-05i,-0.0025015-0.0004778i,-0.0011512-0.00018187i,0.00026257-0.00034154i,-0.00066762-0.00075864i,-0.0015899-0.00059207i,-0.0021584+0.00096307i,-0.001952+0.0011285i,-0.00039027+0.00088991i,0.00040527+0.0010341i,-5.2038e-05+0.00048177i,-0.00036945+0.00018577i,-0.00031718-0.00012088i,-0.00052113-0.00039137i,-0.00092939+0.00010507i,-0.00052707+0.0014689i,9.8308e-05+0.0017272i,0.00020279+0.00075003i,-0.00029231+0.00078847i,-0.00041247+0.00028667i,-9.2831e-05-0.00012664i,-0.00025223-0.00015901i,-0.00067894-0.00060781i
-0.0022147+0.0026468i,-0.0022839+0.0029234i,-0.0015531+0.0025542i,-0.00034479+0.0018042i,0.0004255+0.00051133i,-0.00060993-0.00029125i,-0.0010637+0.00039181i,-0.00047204+0.00056504i,-0.00048969+0.00031302i,-0.00032773-0.00010892i,0.00075095-0.00035099i,0.00024394+0.00032117i,-0.00065177+0.00044381i,-0.00079275-0.00014038i,-0.00080131-2.8859e-05i,-0.0011133+0.000241i,-0.0011675+0.00031332i,-0.00091568-8.8733e-05i,-0.0005128-0.0007422i,-0.0002757+0.00019288i,-0.00027341+0.0016884i,-0.00013276+0.0010901i,0.00049913-0.00051239i
0.0024803-0.00033455i,0.0029361+1.0423e-05i,0.002304+0.00078825i,0.00032806-0.00015299i,-0.0017229-0.00058471i,-0.0029223-0.00024148i,-0.0017434+0.00094467i,-0.00054544+0.0016059i,0.00029949+0.0012021i,0.0002332+0.00077299i,-0.00020547+0.00069875i,0.00018726+0.00099631i,-0.00012112+0.00069072i,-0.001304+0.00010156i,-0.001089-0.00056909i,-0.00098434-0.00084719i,-0.0012545-3.9492e-06i,-0.00056712-0.00011789i,-0.00049667-0.00071243i,-0.00096232-0.00053641i,-0.00062023+0.00041202i,-0.00084135+0.00088341i,-0.00072837+0.00033518i
0.0037582+0.0035577i,0.0030962+0.0018198i,0.0030868+0.0010816i,0.0028096-0.00070226i,0.0018112-0.0022303i,-0.00045531-0.00091543i,-0.0020014+0.00097336i,-0.00087346+0.00097795i,0.0004205+8.5669e-05i,0.00020679+8.0123e-05i,0.00051673-4.2266e-05i,0.00078435-1.6773e-05i,-3.6681e-05-0.00012581i,-0.0015906-0.00052965i,-0.0018443-0.00079356i,-0.0015512-0.00096836i,-0.0016537-0.0015801i,-0.00092568-0.0012381i,-0.00059391-0.00052157i,-0.00050892-0.00024523i,0.00023395-0.00045875i,0.00037521-0.0010082i,0.00057433-0.0013245i
-0.0023254+0.001919i,-0.0027047+0.0015947i,-0.002088+0.00077007i,-0.0014298+0.0011811i,-0.00089094+0.0011819i,-0.00073091-0.00038427i,-0.00098491-0.001621i,-0.00046005-0.0010714i,0.00015014-0.00087883i,0.00031354-0.00065137i,0.00036017+0.00035675i,0.00049513+0.00083263i,0.00078186+0.00039727i,0.0012102-0.00019849i,0.00088785-0.00099824i,0.00043416-0.0012079i,0.00044557-0.00086102i,0.00047383-0.00071207i,0.0002715-0.00058271i,0.00041078-0.00032016i,0.00032318+0.00033793i,-0.00014611+0.0010147i,-0.00025346+0.00094224i
-0.0010344+0.0010906i,-0.0028984+0.0015502i,-0.0033375+0.0015789i,-0.002732+0.00068568i,-0.0010594+0.00052386i,-0.00034286+0.0014357i,-0.0010874+0.0018402i,-0.0011814+0.001145i,-0.0010284-0.00047962i,-0.00076043-0.00092376i,-0.00030059-0.00012121i,7.7518e-05+0.00010074i,-5.0894e-06+0.0001958i,-0.00017632+0.00059042i,-0.00030023+0.00043458i,0.00020516+0.00037957i,0.0012123+0.00018572i,0.001877+0.00036782i,0.0014219+0.00026876i,0.00067682-0.00078238i,0.00037724-0.0010725i,0.00036631-0.00072194i,-9.6641e-05+0.0005625i
-0.0012824+0.0013356i,-0.0011556+0.0025498i,0.00010268+0.0032501i,0.00078734+0.0025034i,-0.00051953+0.0016371i,-0.00078707+0.0016983i,-0.00072264+0.0017608i,-0.00097214+0.0017178i,-0.00022421+0.00127i,0.00068345+7.8513e-05i,0.00026971+4.6222e-05i,6.8867e-05+5.4774e-06i,-0.00022178-0.00045363i,0.0002579-0.00036328i,0.0011198+0.00030991i,0.00058883+0.00032687i,9.915e-05-0.000136i,0.00010084+3.8405e-05i,-0.00046525+0.00044798i,-0.00068214+0.00071551i,0.00026878+0.00093319i,0.0010343+0.00053719i,0.000888+0.0004491i
0.0010721+0.00053119i,0.00083879-0.0014284i,0.00044712-0.0014426i,0.00051919-0.00025062i,-0.00033948-0.00045241i,-0.0015991-0.00059896i,-0.0015134+0.00024379i,-0.00070853+0.0001038i,-0.00097227-0.00048086i,-0.0013775-0.00056353i,-0.0010399-0.00058371i,-0.0011874-0.00053506i,-0.0015203-0.000785i,-0.0013057-0.00082977i,-0.00069923-8.3123e-06i,-0.00015868+0.00098144i,0.00019068+0.00084151i,0.00014148+0.00033121i,-0.00012459+0.00095507i,-6.6646e-05+0.0014216i,-0.00033202+0.001295i,-0.00058034+0.00051992i,-4.2299e-05-0.00032595i
0.00077803-0.0033937i,-0.0011275-0.0032593i,-0.0016811-0.0022772i,-0.0013223-0.00089452i,-0.0021135+0.0013329i,-0.0023356+0.0027678i,-0.0012574+0.0027748i,-5.7071e-05+0.0019511i,0.00024963+0.0010325i,0.00063848+0.00071117i,0.00046602+0.00085251i,-0.00083263+0.00058104i,-0.0015035+7.5935e-05i,-0.0012528-4.015e-05i,-0.0012357+0.00011519i,-0.0013053+0.0010573i,-0.0014865+0.0016525i,-0.00093717+0.0010992i,-0.00036957+0.00015478i,-0.00059287-0.00054566i,-0.0007528-0.00073182i,-0.0010338-0.00027453i,-0.00098097-0.00041993i
