-0.0048759+0.0017919i,-0.0033015+0.0014256i,-0.0036011+0.00024387i,-0.0032201-4.1337e-07i,-0.0021581+0.0010621i,-0.0014082+0.001816i,-0.0010656+0.0018916i,-0.0008361+0.0017275i,2.335e-05+0.0013425i,0.0015651-0.00043489i,0.0016546-0.0011028i,0.00077862-0.000603i,0.00029284-0.00021142i,0.00038489+0.00078423i,0.0005309+0.00052803i,0.00012212-0.00017675i,0.00048145-0.00019882i,0.0013219+4.3456e-05i,0.00084643-0.00044759i,0.0010105-0.0010896i,0.0018986-0.00073406i,0.0017995-0.00036528i,0.0002699-0.00049472i
0.0016681+0.0015859i,0.0027031+0.0010667i,0.0035789+0.0010728i,0.0032279-0.0009028i,0.0015433-0.0029966i,0.00014874-0.0040907i,0.00016085-0.0037964i,-2.7084e-05-0.0024264i,0.00069462-0.0014141i,0.0024043-0.0020064i,0.0033939-0.003544i,0.0037768-0.0045995i,0.0016979-0.0042906i,-0.00055155-0.003397i,-0.0019201-0.0018998i,-0.0035356-5.8094e-05i,-0.0037602+0.0010826i,-0.0020696+0.0012122i,-0.00037987+0.00064109i,0.00016876+0.00028162i,0.00053333+0.00087157i,0.00065233+0.0012056i,0.00046867+6.8312e-05i
0.0028959+0.002005i,0.0029232+0.0021936i,0.0013841+0.0028177i,0.00025882+0.0023858i,0.00028857-4.5482e-05i,0.00080217-0.0013807i,0.0021504-0.00068267i,0.0034485+0.00034707i,0.0035641-0.00017998i,0.0026766-0.0014277i,0.0012788-0.0020035i,0.00055859-0.0019813i,0.00015793-0.001974i,-0.00028452-0.0022162i,-0.0015792-0.0025579i,-0.0034839-0.0020595i,-0.0031617-0.00097618i,-0.00092149-6.7759e-05i,-0.00030395+0.00057495i,-0.00049703+0.00061011i,-0.00077349+0.00017764i,-5.2593e-05-0.00041595i,0.00094691-0.00046967i
-0.00036733-0.00020444i,-0.00059148-0.00081527i,-0.00052058-0.0019039i,0.00025002-0.0017156i,0.0011196-0.00021036i,0.0014617+0.0020934i,0.0018124+0.0041486i,0.0020883+0.0053981i,0.0017289+0.004039i,0.00086492+0.0010227i,0.00057653+0.00067116i,0.00097441+0.0023299i,0.0021478+0.0019422i,0.0030043-0.00010384i,0.002794-0.001967i,0.0020163-0.0033584i,0.00086034-0.0035331i,0.00021353-0.0018445i,-0.00056138-0.00027703i,-0.00045657+0.0004933i,0.00016581+0.00026304i,-0.00029478-0.00052262i,-0.0011305-0.00089851i
0.0015148-0.0012328i,0.0019057-8.3623e-05i,0.0022595-0.0013051i,0.00062617-0.0025361i,-0.00081655-0.0017056i,-0.0019013+7.7346e-05i,-0.0036222+0.002463i,-0.0033368+0.0042818i,-0.0015492+0.0036452i,-0.00076638+0.0016562i,0.00030394+0.00056079i,0.0014451-0.00047235i,0.0017606-0.0011372i,0.0023623-0.00098435i,0.0041529-0.00071528i,0.004437-0.0018808i,0.002678-0.0029085i,0.0015106-0.0022579i,0.00094131-0.0015541i,0.00057131-0.0010547i,-8.1052e-05-0.00042845i,-0.00045152-0.00011988i,-0.0014754-0.00051714i
0.00050246-0.00090751i,0.00045373-0.00084362i,-0.00031455+5.1615e-06i,2.9942e-05-0.00015946i,-0.00053873-0.00028279i,-0.002583-0.00040936i,-0.0047675-0.00061025i,-0.0056273-6.0907e-05i,-0.004272+0.00068818i,-0.0014987+0.00058855i,0.00068941-0.0012228i,0.0013432-0.0032501i,-0.00011781-0.0026653i,-0.00047211-0.00011263i,0.001452+0.0017365i,0.0033563+0.0015217i,0.0031947+0.0012634i,0.0022585+0.0011292i,0.0018258+0.00047972i,0.00067815-0.0004949i,-0.00072571-0.00092394i,-0.00022728-0.00072177i,0.00039582-0.00025172i
0.0039634-0.0002906i,0.0046023-0.00042166i,0.0041941-0.00047728i,0.0019958-0.00024624i,-0.00049053-0.00097239i,-0.0024087-0.0024073i,-0.0029251-0.0033075i,-0.0019861-0.003061i,-0.001063-0.0025351i,0.00074145-0.0026032i,0.0015478-0.002285i,0.00026356-0.0021365i,-0.0012177-0.0012422i,-0.0016739+0.0012438i,-0.0012314+0.0036804i,-0.00015226+0.0046484i,0.00049805+0.0038357i,-1.2712e-05+0.0025186i,-2.544e-05+0.0013909i,0.00022953+0.00027981i,-0.00032184-0.00029248i,-0.00026465-0.00051121i,0.00016627-0.00049963i
0.00099707-0.00025707i,0.0004018+5.4706e-05i,-0.00016362-0.00097869i,-0.00047595-0.0016704i,-0.00025159-0.00318i,5.6206e-06-0.0047099i,0.00029821-0.003997i,0.0014622-0.0034279i,0.0024403-0.0029207i,0.0021928-0.0010789i,0.0024413+0.00046102i,0.0021692+0.000943i,0.0011757+0.00069324i,-5.159e-05+0.00022098i,-0.0017483+0.0010598i,-0.0020177+0.0031591i,-0.0014777+0.0033907i,-0.0014076+0.0013088i,-0.0014278+2.3555e-05i,-0.00044687-0.00030784i,0.00063728-0.00017956i,0.0005653+0.00050687i,-0.00015377+0.00063386i
-0.0022257-0.0019813i,-0.0022198-0.0019756i,-0.0021829-0.0017398i,-0.0019301-0.0022791i,-0.0012896-0.00083374i,-4.0886e-05+0.00053085i,0.0015086+0.0018163i,0.0027998+0.0029055i,0.0031269+0.0020144i,0.0024231+0.00050258i,0.0033709+0.00037988i,0.0046653+0.00078154i,0.0043501-0.0007768i,0.002125-0.0028483i,-0.0020303-0.0038862i,-0.0047367-0.0040559i,-0.0039826-0.0030658i,-0.0018984-0.0017456i,-0.0012561-0.0011788i,-0.001014-0.00070447i,-0.00095204+0.0003551i,-0.0010842+0.0011775i,-0.00087061+0.00091172i
0.0032553-0.0040602i,0.0025436-0.0041034i,0.0026816-0.0035571i,0.0029345-0.0029146i,0.0023629-0.0019671i,0.0010288+0.00036818i,-0.0007153+0.0024029i,-0.0008874+0.0044642i,0.00059301+0.0049283i,0.0010351+0.0026634i,0.0010553+0.00065186i,0.0012525-0.0013754i,0.00073953-0.0031767i,0.00028313-0.003055i,0.00015987-0.0036482i,-0.00094375-0.0049651i,-0.0029526-0.0038484i,-0.0024841-0.0019581i,4.0275e-05-0.0013704i,0.00066478-0.00077254i,0.00019132-0.00017074i,-8.7788e-05-0.00020885i,-0.00038245-0.00011221i
0.0012502+0.00066786i,0.00081017+0.0016472i,-0.00034844+0.0023373i,-0.001047+0.0022433i,-0.0011871+0.0013454i,-0.0021985+0.00031203i,-0.0039541+0.0010351i,-0.0034331+0.0032773i,-0.00072055+0.0038384i,0.0011702+0.0026314i,0.00032277+0.0013078i,-0.0012642+0.00034882i,-0.00052421+1.3411e-05i,0.0015999+0.00038945i,0.0028047+0.0005994i,0.0027001-0.00093019i,0.0025499-0.0028305i,0.0026233-0.0026387i,0.0025516-0.00075762i,0.002389+0.00086609i,0.0017794+0.001346i,0.00071528+0.0010612i,-0.00011653+0.00051851i
-0.0017444+0.0023675i,-0.0011272+0.0016092i,-0.00069942+0.00064357i,9.2554e-06+0.00091184i,0.00046524+0.00073248i,-0.0003727-0.001156i,-0.002675-0.002032i,-0.0032797-0.00018978i,-0.0020607+0.0015741i,-0.0012791+0.001781i,-0.00060093+0.0013738i,2.9075e-05+0.0011031i,0.00074369+0.0012113i,0.0018143+0.0024726i,0.0035074+0.0025919i,0.0048098+0.00090129i,0.0045546-0.0003611i,0.0033048-0.00058253i,0.0020702-0.00027509i,0.00056056+0.00042283i,-0.00033529+0.0002849i,-8.6221e-05-8.9352e-05i,-0.00050886-0.00057111i
-0.00051712-0.00075754i,-0.00093262+0.00059113i,-0.00078067+0.00066858i,-0.00097957+0.00011524i,-0.00085344-0.0015635i,-0.00057858-0.0038481i,-0.00051614-0.0037524i,-0.0014507-0.0020911i,-0.0021479-0.001958i,-0.0016862-0.0027033i,0.00014677-0.002265i,0.0019682-0.0018585i,0.0025166-0.0014946i,0.00094316-0.0005427i,-0.00054819+0.0011484i,0.00069433+0.0023409i,0.0027785+0.0020685i,0.002861+0.0014963i,0.001291+0.0010975i,0.00037169+0.00034116i,0.00010084-0.00032137i,-0.00020209-0.00062431i,-0.00019896-0.00051776i
-0.0018371+3.2867e-05i,-0.0023319+0.00054523i,-0.0024712+0.0011578i,-0.00017558+0.00072041i,0.0010229-0.0006941i,0.0011129-0.00062641i,0.0012892+0.00063258i,0.0011819+0.00022776i,0.00090393-0.0014429i,0.00066112-0.0021095i,0.00061797-0.0022679i,0.00096787-0.0034889i,3.5197e-05-0.0040264i,-0.0018053-0.0033134i,-0.0026328-0.00081704i,-0.0027767+0.0021159i,-0.0022528+0.0040063i,-0.0013992+0.0028648i,-0.00069907+0.00049261i,0.00018791+0.00021678i,0.000419+0.00011018i,5.6767e-05-0.00048614i,0.00068097-0.00052259i
-0.0015428+0.0011861i,-0.0019822+0.00011238i,-0.00266-0.0008537i,-0.0013126-0.0016456i,0.00068151-0.0015516i,0.00042278-4.9955e-05i,-0.0004131+0.0004636i,0.00065877+0.00053088i,0.0023307+0.00095819i,0.0029914+0.00054137i,0.003239-7.0333e-05i,0.0028833-0.00027007i,0.0019283-1.4785e-05i,0.0013541-0.00049839i,-0.00015562-0.0010948i,-0.0028293+0.00051633i,-0.0035343+0.0027298i,-0.0022231+0.0022264i,-0.0010998+0.00023958i,-0.00030886-0.00092381i,0.00043576-0.00074717i,0.00049771-0.00016726i,0.00027837-0.00036824i
0.001108+0.0040675i,0.0013383+0.0034476i,0.001349+0.0037982i,0.0019675+0.0035054i,0.002177+0.0025673i,7.4985e-05+0.0024329i,-0.0020819+0.0021649i,-0.00043016+0.0023634i,0.0029908+0.0028669i,0.0050537+0.0023175i,0.0052537+0.0008662i,0.0056065-0.00010119i,0.0055649-0.0004914i,0.0046987-0.00069416i,0.0034685-0.00087591i,0.00070029-0.0021874i,-0.0018944-0.0017722i,-0.0021118-0.0006341i,-0.00094029-5.7448e-05i,-0.00036222+0.00043107i,-0.00021126+0.00099935i,-0.00043859+0.0016666i,-0.0001689+0.00079167i
-0.00016579+0.001711i,0.0011905+0.0025495i,0.0011718+0.0019196i,0.00060973+0.0005501i,9.223e-05-0.00025072i,-0.00074332-0.0016562i,-0.0010482-0.0018829i,-0.00098907+0.00080067i,0.00017529+0.0026242i,0.0021486+0.0013266i,0.0028416+0.00047665i,0.0027126+0.00061317i,0.0026018-0.00032547i,0.002198-0.0014193i,0.0010252-0.0024217i,-0.00018053-0.0043558i,-0.001485-0.0050394i,-0.0019593-0.0034522i,-0.00047687-0.0013188i,0.00014384-0.00029469i,6.1583e-05-0.00015654i,0.00051615+0.00018312i,0.00022114+9.6331e-05i
-5.3692e-05-0.0010515i,-0.0020872-0.00097613i,-0.0022665-0.00064249i,-0.0020732+1.2219e-05i,-0.0027014-0.0011638i,-0.0021374-0.0026829i,-0.0015016-0.0015441i,-0.0019321+0.0014167i,-0.0022576+0.0029261i,-0.0014822+0.0025674i,-0.00055824+0.00080888i,-0.0005552-0.0010662i,-0.001404-0.00096787i,-0.0015176+0.0003769i,-0.00055313+0.00039573i,3.6304e-05-0.0014157i,0.00023347-0.0031722i,-9.8839e-05-0.003106i,0.00013963-0.00099046i,-0.00016497-0.00015857i,-0.0006947-0.00047741i,-0.00048682-0.00041984i,-0.00047649-0.00041734i
0.00014387+0.0019989i,0.00046188+0.00086074i,0.00085649-0.00024462i,0.00096831-0.0016921i,0.0013731-0.0030031i,0.0015146-0.0027768i,0.0005779-0.0010445i,-0.0010919+6.2924e-05i,-0.0012942+0.00066094i,-0.00057573+0.00096574i,0.00016453+0.0007285i,0.00048318+2.6628e-05i,-0.00051336+0.00011142i,-0.00043114+0.001449i,0.001448+0.002638i,0.0031671+0.0023i,0.0044828+0.00042095i,0.0036712-0.0011893i,0.0014937-0.00091707i,0.0004914-4.2437e-05i,0.0004247-0.00040246i,0.00011286-0.00080799i,-0.00096112-0.0006277i
-0.00048546-0.0021752i,-0.0015267-0.0018227i,-0.0032489-0.0012052i,-0.0021387+0.00031534i,0.00094167+0.00076371i,0.0017362+0.0010372i,-0.00039418+0.0012563i,-0.0022396-2.9356e-06i,-0.0012651-0.0011768i,0.00053002-0.00042549i,0.0012517+0.00015579i,0.0018487-0.00087631i,0.0018938-0.0020244i,0.0013865-0.0019026i,0.0011938+1.0175e-05i,0.0029262+0.0014261i,0.0046813+0.00091351i,0.0036313-0.00038941i,0.002683-0.00046199i,0.0016118-0.00019282i,-0.00012268-0.0007473i,-0.00065383-0.0010987i,-0.00070554-0.00096277i
-0.0017497-0.0033022i,-0.0014371-0.0045097i,-0.0014265-0.0052697i,-0.00070613-0.0022788i,-0.00052684+0.0015402i,-0.0011842+0.0025588i,-0.0021242+0.00048165i,-0.0014174-0.0015562i,0.0013603-0.0019439i,0.0020645-0.0019048i,0.0010774-0.0016381i,0.0021863-0.0028751i,0.0026494-0.0036375i,0.00067402-0.0030782i,-0.0011981-0.0022766i,-0.0011652-0.00053099i,1.0601e-06+0.0010272i,0.0012223+0.0017428i,0.0014362+0.001269i,0.0003586-0.00020566i,-0.00049094-0.00054194i,0.00013559+0.00027405i,0.00093364-2.9896e-05i
0.00067677+0.0018709i,0.001697+0.0023513i,0.0015666+0.0027884i,0.00037581+0.002566i,-0.0013228+0.0022308i,-0.0036627-0.00065202i,-0.0035374-0.0025701i,-4.6022e-06-0.0010233i,0.0020226+0.0005475i,0.0024859+0.00010918i,0.0027197-0.0010186i,0.0020572-0.001693i,0.0015642-0.0013816i,0.00020444-0.00026495i,-0.001507+0.00064507i,-0.0032802+0.0013222i,-0.0042402+0.0025i,-0.002402+0.0034052i,-0.00019176+0.0025892i,0.00021688+0.0015185i,-0.00051945+0.0013877i,-0.00035767+0.0013826i,0.001277+0.0012483i
-0.0018734-0.00037649i,-0.0031585+0.00039114i,-0.0044894+0.0014356i,-0.0034014+0.0019398i,-0.0030653-0.00060044i,-0.003085-0.0036172i,-0.0012482-0.0025761i,0.00021469+0.0011865i,0.0014859+0.0028654i,0.0023463+0.00147i,0.0019113+7.9233e-05i,0.00014818+0.00057648i,-0.0009158+0.0020773i,-0.00033231+0.0022666i,3.0373e-05+0.0014071i,-0.0010228+0.00088382i,-0.0028939+0.00042104i,-0.0027755+0.00051474i,-0.0017809+0.00022472i,-0.0012518-0.00079823i,-0.0013264-0.00094302i,-0.0017623+0.00014515i,-0.0018255+0.000562i
-0.00081398+0.0017477i,-0.00068842+0.00094223i,-0.0012926-0.0017552i,-0.001184-0.0029959i,0.0015638-0.0042779i,0.0032201-0.0047474i,0.0017905-0.0013809i,-0.00079555+0.0019014i,-0.00091165+0.0022881i,0.0018065+0.00075239i,0.0035758+0.00026562i,0.0030895+0.00034004i,0.0018854-0.00027031i,0.0014398-0.0012195i,0.0018492-0.0016026i,0.0016646-0.0024842i,-5.1396e-05-0.0041386i,-0.0010681-0.0032482i,-0.00081684-0.0010838i,-0.00086659+2.4772e-05i,-0.00099256+6.3006e-05i,-0.00061465-0.00013426i,-0.00075472-0.00070758i
0.0012937+0.0022079i,0.0019542+0.0026845i,0.0044967+0.0012053i,0.005008-0.0016605i,0.0051972-0.0034347i,0.0050851-0.0014004i,0.0030501+0.0023467i,0.00049746+0.0038284i,0.0003436+0.0024453i,0.0024522+0.00059989i,0.0027345+2.4979e-05i,0.0014636-0.00058918i,0.00034839-0.0021032i,-4.4391e-05-0.0026747i,0.00023754-0.002324i,0.00093426-0.002526i,0.0011744-0.0037648i,-0.00026447-0.0040705i,-0.00081725-0.0022621i,-0.00056378-0.00027955i,-0.00081108+2.2308e-05i,-0.000137-0.00090196i,-0.00016158-0.0011841i
-0.0026064-0.0012357i,-0.0037258+0.00028339i,-0.0044297+0.00089009i,-0.0025314+0.0015101i,0.00022092+0.0047325i,0.0010317+0.0065127i,-0.0012913+0.0045374i,-0.0035281+0.0031377i,-0.0029477+0.0014595i,-0.0012589-0.00020466i,-0.00066002-0.00060846i,-0.00013749-0.0016165i,-2.6603e-05-0.0022459i,-0.0011113-0.00097624i,-0.0014243+3.3835e-05i,0.00032204-0.00012232i,0.0014063-0.00094718i,0.0013033-0.0023256i,0.0017697-0.002417i,0.0022468-0.0017037i,0.0020729-0.0015079i,0.0015096-0.0010987i,0.0010756-0.00097619i
0.0030827+0.002216i,0.0024889+0.0025338i,0.0030186+0.0019359i,0.0030032+0.0022277i,0.00020561+0.003063i,-0.0045749+0.0023052i,-0.0078832+0.0014911i,-0.0060212+0.00048884i,-0.0031762-0.0002006i,-0.0020881-0.00068298i,-0.001207-0.00090178i,0.00041098-0.0012145i,0.0015142-0.0012816i,0.0016351-8.8888e-05i,0.00086984+0.00068164i,0.0005978+0.0010283i,0.002463+0.00021777i,0.003412-0.001374i,0.00237-0.0016798i,0.0011812-0.001366i,0.0009589-0.00037182i,0.0012198+0.00045806i,0.0013919+0.00015567i
-0.0032341+0.0016383i,-0.0034268+0.00073936i,-0.0038455+0.00078081i,-0.0055081+0.00049268i,-0.0068727-0.0019974i,-0.0071448-0.0055373i,-0.006124-0.0070217i,-0.0039209-0.0050252i,-0.00066677-0.0021289i,0.0015018-0.0013448i,0.0020049-0.0021447i,0.0034666-0.001999i,0.0040738-7.7711e-05i,0.0031724+0.0011558i,0.002424+0.00061761i,0.0018874+0.00034966i,0.0019209+0.0010403i,0.002477+0.0013096i,0.0019413+0.0011183i,0.00054813+0.0010285i,-0.00018458+0.00192i,-0.0001523+0.0025212i,-0.00036089+0.0017954i
6.0188e-05-0.0011783i,0.00099668-0.0018645i,0.00094055-0.0013854i,-0.0012234-0.0023493i,-0.0012052-0.0063696i,0.00079229-0.0094223i,0.0021656-0.0081201i,0.0028802-0.0050449i,0.0036005-0.0028769i,0.0035895-0.0023556i,0.0029335-0.0027288i,0.0022017-0.0017884i,0.0018503-0.00040383i,0.0006825+2.6643e-06i,-0.00025526+0.00020821i,-0.00022245+0.00045991i,-0.00062245+0.0018638i,0.00048198+0.0034346i,0.0022153+0.0032575i,0.001236+0.0016093i,-0.00031121+0.00038938i,-0.00091449+0.0010401i,-0.0014552+0.0013089i
0.0041532-0.0029193i,0.004653-0.0026183i,0.0047563-0.0045142i,0.0047441-0.0064618i,0.0069032-0.0062093i,0.0085838-0.0043524i,0.0071759-0.0012876i,0.005032+0.00079636i,0.0039929+0.00046463i,0.0040181-0.001715i,0.0037879-0.0023958i,0.0028993-0.0022445i,0.001199-0.0024376i,-0.0010277-0.0018017i,-0.0019402-0.0007412i,-0.0016953-0.00029585i,-0.001985+0.00076429i,-0.0020326+0.0021168i,-0.00071904+0.0021307i,0.00021351+0.00124i,-0.00055018-0.00052616i,-0.0010946-0.0011278i,-0.00080384-0.00018452i
0.00052071+0.002208i,-0.00020244+0.0026364i,-0.00013813+0.0022595i,0.0029298+0.0014732i,0.0063219+0.0034709i,0.0057851+0.0079576i,0.0034811+0.010143i,0.0020219+0.0089195i,0.0024435+0.0058551i,0.0028023+0.0036918i,0.0021475+0.0017827i,0.0016507-0.00052268i,0.00043665-0.00065522i,-0.00089748+7.6839e-05i,-0.000498+0.00068734i,-0.00077292+0.0010241i,-0.0023986+0.00034316i,-0.0035038+0.00012982i,-0.0024677+0.00035698i,-0.00095866-0.00014365i,-0.00064649-0.00086013i,-0.00070158-0.0015701i,-0.0004743-0.00096503i
-0.0012492-0.0016455i,-0.0016088-0.0014879i,9.6949e-05-0.00090232i,0.00067069+0.00153i,-0.0015894+0.0063625i,-0.0059421+0.0091298i,-0.0078975+0.0084997i,-0.0063347+0.0078452i,-0.0028616+0.0069218i,-0.00037012+0.0045355i,0.0013241+0.0025964i,0.0024458+0.00081168i,0.0017067-0.00078955i,0.0011326-0.0011946i,0.0003676-0.0014856i,-0.00056149-0.002779i,-0.0013657-0.0035433i,-0.0027417-0.0030148i,-0.0025325-0.00123i,-0.0007874-7.1187e-05i,0.00081473-0.00036345i,0.00042642-0.0009909i,-0.00055613-0.0016483i
0.00010557-0.0044454i,0.00025919-0.0048734i,-0.00025952-0.0040683i,-0.003701+0.00026325i,-0.0096424+0.0017201i,-0.014143-0.00171i,-0.014118-0.0035824i,-0.010542-0.0010713i,-0.0063677+0.0018718i,-0.0026351+0.0018362i,0.00084743+0.0012468i,0.0026625+0.0011731i,0.0023716-0.00053838i,0.00091822-0.0017309i,-0.00071049-0.0010228i,-0.00041291-0.00071982i,0.00036374-0.0017548i,0.00051395-0.0033396i,0.00038201-0.0023243i,0.00053334+0.00032711i,0.00095508+0.0015293i,0.0012044+0.0010352i,0.0011386-0.00027022i
0.0027047+0.00054817i,0.0027658+0.0010057i,0.0020521+0.0015404i,-0.00052804-0.0017142i,-0.003697-0.0087935i,-0.0037745-0.014471i,-0.0031448-0.014272i,-0.0041089-0.010095i,-0.0038976-0.0057361i,-0.0023819-0.0029422i,-0.00087508-0.0015153i,4.2096e-05-0.001218i,-0.0001415-0.0016467i,-0.00060218-0.0021571i,-0.00024407-0.0018464i,0.0011725-0.0013031i,0.002337-0.0015312i,0.0030737-0.0023759i,0.0017022-0.0021779i,-0.00047908-0.0010495i,-0.0007799-0.00023859i,-0.00019366-0.00011148i,0.00063144+0.00038489i
0.00094814+0.0016117i,0.0014113+0.0027048i,0.0001565+0.00059561i,0.00032024-0.004028i,0.0044877-0.0091834i,0.0098916-0.010916i,0.010696-0.0088269i,0.006788-0.0062959i,0.0033492-0.0046127i,0.0016976-0.0040661i,8.7603e-05-0.0031237i,0.00013156-0.0025872i,0.00097771-0.0021409i,0.00057203-0.00093578i,9.2955e-05+0.00073377i,0.0012031+0.0021618i,0.0032174+0.0027954i,0.0039194+0.0018457i,0.0029651-0.00083051i,0.00078552-0.0014481i,-0.00081914-0.00063047i,-0.0012837-0.00077623i,-0.00051424-0.00018624i
-0.00027388+0.00073026i,-0.0014933-0.00020113i,0.00031649-0.0021931i,0.0045214-0.0030166i,0.0095797-0.00017276i,0.012306+0.0049223i,0.011346+0.0070156i,0.0090325+0.004421i,0.0071951+0.0002899i,0.0057428-0.0019134i,0.0044926-0.0020556i,0.0039841-0.0018654i,0.003363-0.0018834i,0.003153-0.0021198i,0.0032925-0.0011832i,0.0024529-0.00020507i,0.0010037+0.00091035i,0.00083199+0.0017653i,0.0022492+0.00081009i,0.0024277+0.00010397i,0.0010464-0.00034048i,-0.00042257-0.0006754i,-0.0013568+0.00028863i
0.00036058-0.0033343i,0.0020213-0.003351i,0.0025689-0.0028297i,0.0031088+0.00030002i,0.002479+0.0068178i,-0.0015247+0.012366i,-0.004354+0.013555i,-0.0015056+0.01076i,0.0027881+0.0057863i,0.0050714+0.00083148i,0.0059411-0.0019563i,0.0055779-0.0036671i,0.0035371-0.0041252i,0.0011689-0.0022257i,-0.0010276-0.00056522i,-0.0022164-0.00022636i,-0.0019935+0.0017499i,-0.0011283+0.0039207i,0.0008324+0.0039128i,0.0026167+0.0022598i,0.0019272+0.00015346i,0.00049675-0.00032491i,-0.00074434-0.0001261i
-0.00033151+0.00069637i,0.0016202+0.0012575i,0.0017348+0.0023446i,-0.00090866+0.0030769i,-0.0071717+0.0041543i,-0.014221+0.0042238i,-0.015552+0.004298i,-0.0096891+0.0060214i,-0.0028189+0.006412i,0.0011222+0.0041219i,0.0021235+0.001739i,0.0022355+0.00061612i,0.0019445+0.00070287i,0.000829+0.001212i,0.00018914+0.00056937i,-0.00019993-0.00040685i,-0.0011658+5.7571e-05i,-0.0021471+0.0013612i,-0.0016944+0.0017443i,-0.00014854+0.00087003i,0.0007-0.0009465i,0.00019413-0.001412i,-0.00025562-0.0012042i
0.0014038+0.0037585i,0.00042145+0.0048447i,-0.0011429+0.0052781i,-0.0031426+0.0015823i,-0.0069879-0.0047507i,-0.010286-0.012668i,-0.011197-0.014515i,-0.0095561-0.0066682i,-0.0060821+0.00083032i,-0.0032084+0.0032361i,-0.0013577+0.0030138i,0.0005197+0.0024435i,0.0012626+0.0020548i,-0.00038624+0.0014421i,-0.0014228+0.0010982i,-0.001254-0.00029413i,-0.0021785-0.0018336i,-0.0034087-0.0014906i,-0.0034155+0.00046525i,-0.0029612+0.0020519i,-0.0025859+0.0018405i,-0.00094691+0.00074849i,0.00061632-0.00064953i
-0.0044797+0.00098893i,-0.0048123+0.00063366i,-0.0039238+0.0012205i,-0.00046423-0.0012323i,0.0053549-0.0094956i,0.0090494-0.015903i,0.0074648-0.014398i,0.0018917-0.0083366i,-0.0021855-0.0028195i,-0.0020413-3.2575e-05i,-0.00057913+0.0011869i,0.00033207+0.0014226i,0.00037415+0.00032516i,0.0011956-0.00088122i,0.0020529-0.0011315i,0.0016852-0.0016277i,0.0004743-0.0032502i,-0.0017001-0.0042468i,-0.002964-0.0032569i,-0.0029507-0.0010253i,-0.0029231+0.0001261i,-0.002108+0.0008686i,-0.00093024+0.00080455i
-0.0015692-0.0040502i,-0.0019117-0.0055247i,-0.0024071-0.0060925i,0.00047964-0.004953i,0.006886-0.0014941i,0.013626+0.0027391i,0.013829+0.0032665i,0.0063974+0.0013691i,0.0003477-0.00084732i,0.00016472-0.0034076i,0.0020712-0.0050232i,0.0026887-0.0052301i,0.0015602-0.0043021i,0.00010321-0.002615i,-0.0016377-0.0018473i,-0.0017773-0.0018252i,-1.0233e-05-0.0018465i,0.0013145-0.0019032i,0.0013421-0.0020262i,0.00037988-0.0025071i,-0.00049512-0.0021873i,-0.00082077-0.00046127i,-0.00089648+0.0011227i
0.0026629+0.00058561i,0.0030545+0.0011124i,0.0031361+0.00059345i,0.0032012+0.0033287i,0.0027804+0.0098189i,0.0016892+0.016055i,0.00066428+0.016414i,0.0011654+0.010371i,0.0023095+0.002823i,0.0021124-0.0017791i,0.0012576-0.003275i,0.00090017-0.0036774i,0.00072119-0.0029201i,0.00093188-0.00098284i,0.001389+0.00028244i,0.0013907+2.7033e-05i,0.0027362-0.00074425i,0.0037642-0.0011271i,0.0030333-0.0011038i,0.0015895-0.0018553i,0.00074422-0.0028122i,-0.00068539-0.0016801i,-0.0012206-0.00029038i
4.4494e-05+0.0001168i,-4.8271e-05+0.0011092i,-0.00030552+0.00047968i,-0.0031707+0.001297i,-0.009003+0.0033999i,-0.014992+0.0064479i,-0.01573+0.0087491i,-0.0087559+0.0070229i,-0.00068123+0.0022469i,0.0031532-7.8384e-05i,0.0034322+0.00083679i,0.0030453+0.0014826i,0.0030015+0.0013013i,0.0030092+0.00039639i,0.0029817+0.00016866i,0.0029803+0.00070479i,0.0026727+0.001253i,0.0018516+0.0008686i,0.0016528-0.0001106i,0.0025796-0.00037782i,0.0026952-1.9964e-06i,0.0014498+0.00063453i,-0.00039044+0.00013923i
0.00073854-0.0024332i,0.00035882-0.0031029i,-0.0011688-0.003843i,-0.0041628-0.0060612i,-0.0098364-0.012011i,-0.015881-0.015727i,-0.016841-0.012938i,-0.010562-0.0057507i,-0.0018894-0.00093875i,0.0032301-8.2032e-05i,0.0046118+0.00084947i,0.0053571+0.00099942i,0.0048088-0.00046564i,0.0026546-0.00032448i,0.0019251+0.0018892i,0.0019301+0.0032377i,0.0014973+0.0026448i,0.0013479+0.0017394i,0.0016933+0.00066692i,0.0018089+5.2744e-05i,0.0017554+0.00037758i,0.0012648+6.0131e-06i,5.0924e-05-0.0010052i
0.0011181-5.291e-05i,0.0017951+0.00039178i,0.0027075-0.00065331i,0.0057265-0.0041025i,0.0091615-0.011687i,0.0089658-0.01882i,0.0052974-0.018034i,0.0011061-0.0089072i,0.00024525-0.00087924i,0.001417+0.00019053i,0.0031804-0.0023279i,0.0042077-0.0031979i,0.0023668-0.0024445i,-0.00021221-0.0016842i,-0.0013437-0.00031222i,-0.0017244+0.00080944i,-0.0019379+0.0013584i,-0.001656+0.0017806i,-0.0005905+0.0020964i,-0.00034652+0.001946i,-0.00096278+0.0016478i,-0.00065042+0.0015488i,0.00021106+0.00048564i
